ERR1913308.242__1.242	28117__B0MUR5__BHV66_03900
ERR1913308.4162__1.4162	40518__R5DZB3__RB5AMG_01719
ERR1913308.4235__1.4235	74426__yccM
ERR1913308.4246__1.4246	1262753__R5BC47__BN813_02064
ERR1913308.4362__1.4362	166486__D4KW03__ERS852572_03114
ERR1913308.4469__1.4469	166486__D4L284__ERS852572_01651
ERR1913308.4481__1.4481	39491__A0A396FKI6__mltF
ERR1913308.4601__1.4601	39491__A0A396FJA4__DXB99_05435
ERR1913308.4647__1.4647	626940__E8LGZ9__DCQ00_03475
ERR1913308.4652__1.4652	1262753__R5B7Q8__BN813_00846
ERR1913308.4720__1.4720	1262753__R5BCJ3__BN813_02219
ERR1913308.4729__1.4729	46228__V8CE24__thiD
ERR1913308.4732__1.4732	46228__B5CPF2__RUMLAC_01345
ERR1913308.4734__1.4734	39491__A0A396FS17__envC
ERR1913308.4841__1.4841	40518__R5E1J7__RBL236_02062
ERR1913308.4894__1.4894	649756__D4MYV7__HMPREF0369_00400
ERR1913308.5027__1.5027	626929__F3PGY0__SAMN05444376_1243
ERR1913308.5084__1.5084	820__A0A3E4WCX3__C801_02709
ERR1913308.5166__1.5166	39491__C4ZHS4__EUR_24420
ERR1913308.5381__1.5381	820__A0A3E4VXP2__yesR
ERR1913308.5470__1.5470	39485__A0A174ZLH6__EUBELI_01564
ERR1913308.5525__1.5525	39491__A0A395UYA6__EUBREC_0408
ERR1913308.5708__1.5708	820__A0A3E4G826__C801_01612
ERR1913308.5813__1.5813	39491__A0A396FRE7__EUR_27520
ERR1913308.5725__1.5725	39491__A0A174LTW7__DXD13_08720
ERR1913308.5825__1.5825	487174__K0X591__DDY40_01805
ERR1913308.5874__1.5874	649756__L1QBG9__ERS852520_01392
ERR1913308.5909__1.5909	39491__A0A173VH71__ERS852497_01827
ERR1913308.6046__1.6046	310298__B3JFI7__BACCOP_00636
ERR1913308.6175__1.6175	39491__A0A395ZHV7__ykvU
ERR1913308.6260__1.6260	39496__A5Z5I2__EUBVEN_00963
ERR1913308.6341__1.6341	301302__R5UPH9__M72_00521
ERR1913308.6716__1.6716	39491__A0A174IJH1__DXB76_01865
ERR1913308.6778__1.6778	46228__V8C7P7__HMPREF1202_01523
ERR1913308.7377__1.7377	626929__R6MD77__SAMN05444376_2510
ERR1913308.7347__1.7347	39491__A0A396FJA4__DXB99_05435
ERR1913308.7528__1.7528	1897011__A0A1Q6RHB1__BHW41_01830
ERR1913308.7582__1.7582	214856__R6Z288__ERS852447_00734
ERR1913308.7596__1.7596	820__A0A174F0C1__nreB
ERR1913308.7659__1.7659	1262753__R5B0D1__BN813_02073
ERR1913308.7696__1.7696	1262753__R5B189__BN813_02086
ERR1913308.7793__1.7793	820__R9I3N4__M093_0061
ERR1913308.7942__1.7942	301302__R5V671__M72_27831
ERR1913308.8741__1.8741	1262753__R5B890__BN813_02145
ERR1913308.8825__1.8825	626929__F3PHN6__B5F24_06330
ERR1913308.8897__1.8897	1262753__R5B0D6__BN813_01004
ERR1913308.9005__1.9005	39485__C4Z0I4__ERS852492_00258
ERR1913308.9190__1.9190	1262753__R5B3F1__BN813_01888
ERR1913308.9206__1.9206	328814__GCA_004558275.1_00078
ERR1913308.9265__1.9265	853__A0A174C5M1__CGS58_04460
ERR1913308.9417__1.9417	823__D7ILK2__ERS852380_00031
ERR1913308.9493__1.9493	28117__B0MT73__ALIPUT_00412
ERR1913308.9817__1.9817	853__A0A173T8T3__DW882_06555
ERR1913308.9942__1.9942	820__A7UYX8__DXD40_11635
ERR1913308.10042__1.10042	818__A0A0P0F4D0__BT_2503
ERR1913308.10104__1.10104	853__A0A2A7A4A9__C4N21_14870
ERR1913308.10166__1.10166	28052__A0A174I2V6__ERS852499_00643
ERR1913308.10240__1.10240	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913308.10287__1.10287	820__A0A139K024__B5G17_02060
ERR1913308.10426__1.10426	166486__D4L2C5__ERS852572_01688
ERR1913308.10641__1.10641	384638__B7APR1__BACPEC_00667
ERR1913308.10620__1.10620	853__E2ZGD9__C7J97_11715
ERR1913308.10870__1.10870	61171__B9Y5T8__HOLDEFILI_01170
ERR1913308.11093__1.11093	166486__A0A173VSA0__ROSINTL182_06124
ERR1913308.11102__1.11102	246787__A0A3D6AWM8__BACCELL_01963
ERR1913308.11180__1.11180	853__A0A173XRA8__CGS56_09290
ERR1913308.11369__1.11369	39491__A0A396FNY7__LD38_16155
ERR1913308.11316__1.11316	39485__A0A174ZLH6__EUBELI_01564
ERR1913308.11401__1.11401	820__A0A174RFI5__SAMN05444418_12240
ERR1913308.11658__1.11658	853__A0A173T751__C4N24_10280
ERR1913308.11668__1.11668	39491__A0A395UWZ1__DXC13_02175
ERR1913308.11917__1.11917	39491__A0A395ZE48__DXB76_02395
ERR1913308.11982__1.11982	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913308.12164__1.12164	1550024__G9RWW8__TQ39_12140
ERR1913308.12125__1.12125	246787__A0A3D6AWJ7__AA416_00506
ERR1913308.12195__1.12195	166486__D4KX83__ERS852572_01103
ERR1913308.12294__1.12294	626940__E8LCB4__DCQ00_08105
ERR1913308.12500__1.12500	626929__F3PGX7__B5F97_10750
ERR1913308.12612__1.12612	1160721__W0U1Y5__BHW50_01965
ERR1913308.12789__1.12789	1262753__R5AZB4__BN813_00782
ERR1913308.13038__1.13038	820__A0A174Q0F0__DXB48_08080
ERR1913308.13094__1.13094	1262753__R5B895__BN813_02150
ERR1913308.13153__1.13153	626929__F3PGX9__HMPREF9445_01323
ERR1913308.13240__1.13240	1232426__topA
ERR1913308.13211__1.13211	33039__A0A173VTT4__frdB_1
ERR1913308.13513__1.13513	1897011__A0A1Q6RDI3__BHW41_05415
ERR1913308.13752__1.13752	246787__A0A0P0GCR8__xynD_3
ERR1913308.13992__1.13992	166486__D4L2C5__ERS852572_01688
ERR1913308.14162__1.14162	394340__gyrB
ERR1913308.14387__1.14387	246787__R6KCH8__csbC
ERR1913308.14402__1.14402	853__A0A2A7A4A9__C4N21_14870
ERR1913308.14780__1.14780	626929__R6MD77__SAMN05444376_2510
ERR1913308.14781__1.14781	1262930__R6AVG7__BN693_02115
ERR1913308.14822__1.14822	39491__A0A395UWA3__DXB69_11805
ERR1913308.14958__1.14958	820__A0A174QLF0__SAMN05444418_109151
ERR1913308.14994__1.14994	39491__A0A395V0X2__EUBREC_3007
ERR1913308.15087__1.15087	820__A0A3E4RU03__M093_0563
ERR1913308.15103__1.15103	853__A0A2A7AXC8__C4N21_14120
ERR1913308.15264__1.15264	371601__I9JHG7__DXD80_12945
ERR1913308.15348__1.15348	823__A0A174LWY0__lepB
ERR1913308.15626__1.15626	39491__A0A395V5R3__EUBREC_1883
ERR1913308.15817__1.15817	1262753__R5B732__BN813_01861
ERR1913308.16342__1.16342	39491__A0A396FPV7__ERS852580_01177
ERR1913308.16479__1.16479	626940__R6WRD5__BN587_01498
ERR1913308.16588__1.16588	820__A0A139K4T0__ERS852510_03146
ERR1913308.17173__1.17173	820__A0A174VD39__DXD90_12235
ERR1913308.17511__1.17511	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913308.17580__1.17580	821__A0A396F598__CUU_3259
ERR1913308.17716__1.17716	301302__R5UNC5__M72_02681
ERR1913308.17718__1.17718	40518__R5DYU1__DXD86_01160
ERR1913308.17810__1.17810	649756__A0A173RNX6__ERS852475_00267
ERR1913308.17865__1.17865	821__A0A174NSU0__BVU_3144
ERR1913308.18034__1.18034	1263000__R5F0H8__BN466_00254
ERR1913308.18255__1.18255	301302__R5UMU6__M72_26821
ERR1913308.18308__1.18308	626940__E8LBA2__DCQ00_02620
ERR1913308.18377__1.18377	1628085__A0A396MGZ2__C7386_12111
ERR1913308.18393__1.18393	626940__E8LCL8__DCQ00_09880
ERR1913308.18487__1.18487	820__A0A174F0C1__nreB
ERR1913308.18526__1.18526	328814__GCA_004558275.1_00035
ERR1913308.18602__1.18602	46228__B5CPX5__RUMLAC_01520
ERR1913308.18569__1.18569	853__A0A2A7AXC8__C4N21_14120
ERR1913308.18632__1.18632	214851__D1PSL1__SUBVAR_07394
ERR1913308.18714__1.18714	820__A0A174LJB2__HMPREF1072_04112
ERR1913308.18767__1.18767	853__A0A173TAZ8__DWZ46_14590
ERR1913308.18791__1.18791	853__A0A329UEG4__CHR60_00585
ERR1913308.18874__1.18874	823__A0A3E4PAQ2__DDY96_18275
ERR1913308.19327__1.19327	88431__A6BDF9__ERS852573_01553
ERR1913308.19797__1.19797	28117__R7JIJ8__BHV66_01635
ERR1913308.20068__1.20068	853__A0A174BZY1__xerD_1
ERR1913308.20207__1.20207	1160721__W0U4N3__BHW50_05270
ERR1913308.20211__1.20211	853__D4JY61__C4N21_10560
ERR1913308.20187__1.20187	1262743__R5C054__BN727_01980
ERR1913308.20397__1.20397	626929__F3PKZ6__B5F24_10665
ERR1913308.20517__1.20517	821__U6RDC2__DXD46_15675
ERR1913308.20738__1.20738	46228__V8BRK8__RUMLAC_01169
ERR1913308.20761__1.20761	1160721__R6T344__RBI_I00565
ERR1913308.21064__1.21064	328814__GCA_004558275.1_00291
ERR1913308.21036__1.21036	1160721__R6TAA3__BHW50_03385
ERR1913308.21041__1.21041	246787__A0A0P0GNX3__BACCELL_00807
ERR1913308.21121__1.21121	820__A0A139K024__B5G17_02060
ERR1913308.21145__1.21145	820__A0A173WUD7__DXB48_08055
ERR1913308.21169__1.21169	39485__A0A174ZTY8__ycfH
ERR1913308.21174__1.21174	1262777__R5W3Z5__BN512_01216
ERR1913308.21358__1.21358	649756__D4MTV5__sorC
ERR1913308.21324__1.21324	39485__A0A174ZLH6__EUBELI_01564
ERR1913308.21515__1.21515	39486__G1WPN2__DORFOR_01095
ERR1913308.21645__1.21645	166486__D4L337__msbA_4
ERR1913308.21652__1.21652	818__A0A3E5HN77__HMPREF2534_00072
ERR1913308.21705__1.21705	853__A0A2A7B9I6__DW855_13690
ERR1913308.21778__1.21778	1472761__GCA_002159295.1_00731
ERR1913308.21828__1.21828	166486__D4KZ14__inlA_1
ERR1913308.21867__1.21867	246787__R6K7I2__BcellWH2_03256
ERR1913308.22060__1.22060	1262777__R5WDK3__BN512_01332
ERR1913308.22317__1.22317	626929__F3PGX9__HMPREF9445_01323
ERR1913308.22326__1.22326	28052__R7NBF2__ERS852451_02191
ERR1913308.22443__1.22443	39491__A0A174G6M3__DXD13_14470
ERR1913308.22497__1.22497	214856__I3YMC8__ERS852447_02666
ERR1913308.22575__1.22575	1263000__R5EFA7__BN466_01197
ERR1913308.22669__1.22669	166486__D4KRN9__ERS852572_01822
ERR1913308.22743__1.22743	78257__A0A087CUE0__BSAE_1156
ERR1913308.22767__1.22767	820__A0A174F696__macB_13
ERR1913308.22911__1.22911	214856__R6Y2Y4__ERS852447_01086
ERR1913308.23004__1.23004	821__A0A174AYT0__DXC02_03530
ERR1913308.23013__1.23013	74426__nifJ
ERR1913308.23025__1.23025	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1913308.23090__1.23090	394340__queF
ERR1913308.23218__1.23218	745368__A0A1T4Y6I3__SAMN02745178_02753
ERR1913308.23222__1.23222	39491__A0A395V0E5__ERE_31370
ERR1913308.23295__1.23295	40518__R5E6U1__yunB
ERR1913308.23299__1.23299	823__A0A173TMY6__M096_4753
ERR1913308.23359__1.23359	166486__D4L1H3__sacC
ERR1913308.23438__1.23438	820__A0A3E4G8F8__ERS852421_01645
ERR1913308.23589__1.23589	246787__A0A0P0G254__axeA1_2
ERR1913308.23591__1.23591	39491__C4ZCV5__DXB99_11855
ERR1913308.23694__1.23694	328814__GCA_004558275.1_01621
ERR1913308.23700__1.23700	820__A0A174CG08__DXB62_13215
ERR1913308.23857__1.23857	1150298__A0A174HHW8__yhbU_1
ERR1913308.23984__1.23984	39496__A5Z5I2__EUBVEN_00963
ERR1913308.24063__1.24063	1262753__R5BCD8__BN813_02149
ERR1913308.24066__1.24066	626940__E8LBR6__DCQ00_10150
ERR1913308.24132__1.24132	853__A0A3E2V168__FAEPRAM212_00929
ERR1913308.24156__1.24156	28117__B0MXR1__BHV66_08035
ERR1913308.24247__1.24247	291644__I9HGG9__HMPREF1071_03600
ERR1913308.24456__1.24456	1262930__R6AVG7__BN693_02115
ERR1913308.24579__1.24579	820__A0A173XIP7__B5G17_16050
ERR1913308.24662__1.24662	39491__A0A396FBR6__DXC13_08575
ERR1913308.24793__1.24793	33039__A0A174YA68__ribU
ERR1913308.24897__1.24897	40520__A0A396A2X4__RUMOBE_00875
ERR1913308.24941__1.24941	40518__R5DUU0__DXD93_03985
ERR1913308.25368__1.25368	1262753__R5AZK1__BN813_01611
ERR1913308.25475__1.25475	28052__R7NDG4__ERS852499_01797
ERR1913308.25564__1.25564	301302__A0A0M6WPH4__ERS852420_01173
ERR1913308.25712__1.25712	28117__R7JIY2__BHV66_06465
ERR1913308.25842__1.25842	357276__A0A076ISJ4__B5F95_19420
ERR1913308.25861__1.25861	823__A0A355XKQ8__DHP27_04010
ERR1913308.26152__1.26152	820__A0A3E4WCC2__lptB_1
ERR1913308.26165__1.26165	28116__A7M0E3__AA414_00536
ERR1913308.26302__1.26302	394340__lcfB_2
ERR1913308.26388__1.26388	853__A0A173TAZ8__DWZ46_14590
ERR1913308.26501__1.26501	820__A0A174GYA8__DXB64_07370
ERR1913308.26696__1.26696	820__A0A396EXA7__DXB37_15530
ERR1913308.26783__1.26783	384638__B7APR0__BACPEC_00666
ERR1913308.27011__1.27011	820__A0A174M9V5__M093_0237
ERR1913308.27239__1.27239	39491__A0A174K1W6__DXB99_15020
ERR1913308.27395__1.27395	246787__A0A3D6AZF8__BACCELL_02529
ERR1913308.27407__1.27407	820__A0A174G065__DXB62_08975
ERR1913308.27451__1.27451	46228__V8C8N0__RUMLAC_01038
ERR1913308.27580__1.27580	246787__A0A0P0GNX3__BACCELL_00807
ERR1913308.27621__1.27621	820__A0A174R952__DXB48_02570
ERR1913308.27587__1.27587	820__A0A396EUV1__B5G17_06465
ERR1913308.27606__1.27606	820__A0A173W419__DXC68_17760
ERR1913308.27748__1.27748	214856__R6XUN2__rcsC_1
ERR1913308.27837__1.27837	418240__A0A173XT66__ERS852478_00742
ERR1913308.28042__1.28042	820__R9HXK9__DXB62_08265
ERR1913308.28047__1.28047	74426__rpoB
ERR1913308.28165__1.28165	820__A0A139JUD3__DXC91_19380
ERR1913308.28294__1.28294	39485__A0A174ZQ05__EUBELI_01606
ERR1913308.28317__1.28317	853__A0A2A7A628__CGS57_13755
ERR1913308.28397__1.28397	166486__D4L1P5__ERS852572_00758
ERR1913308.28440__1.28440	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913308.28475__1.28475	328814__GCA_004558275.1_02279
ERR1913308.28695__1.28695	853__A0A174C5M1__CGS58_04460
ERR1913308.28648__1.28648	1262753__R5B0D1__BN813_02073
ERR1913308.28783__1.28783	28117__B0MTS2__ALIPUT_00159
ERR1913308.28790__1.28790	821__A0A174NM17__lacZ_6
ERR1913308.28948__1.28948	246787__R6KM92__AA416_01456
ERR1913308.29048__1.29048	28117__B0MYW7__ALIPUT_02336
ERR1913308.29111__1.29111	1262777__R5VUR9__BN512_00013
ERR1913308.29272__1.29272	820__A0A173YYG4__evgS_3
ERR1913308.29360__1.29360	820__A0A3E4PYB0__yejM
ERR1913308.29409__1.29409	626940__E8LE41__DCQ00_06695
ERR1913308.29480__1.29480	1262753__R5AYZ5__BN813_01435
ERR1913308.29496__1.29496	820__A0A3E4W084__BACUNI_04042
ERR1913308.29515__1.29515	626933__H1DGX0__HMPREF9449_01506
ERR1913308.29533__1.29533	301302__R5UHX5__M72_14301
ERR1913308.29685__1.29685	301302__R5UNC5__M72_02681
ERR1913308.29745__1.29745	166486__D4L3K7__ERS852572_00904
ERR1913308.29776__1.29776	39485__C4Z6V1__ERS852492_02640
ERR1913308.29929__1.29929	820__A0A139KJ23__celCCA
ERR1913308.29950__1.29950	820__A0A3E4W9D9__B5G17_12400
ERR1913308.30136__1.30136	40518__R5DZC6__mreC
ERR1913308.30260__1.30260	821__A0A0P0M2J4__DXD46_10295
ERR1913308.30268__1.30268	706562__GCA_900112995.1_02104
ERR1913308.30293__1.30293	1262753__R5B732__BN813_01861
ERR1913308.30544__1.30544	820__A0A3E4RTP0__C801_01067
ERR1913308.31022__1.31022	246787__A0A3D6AVT6__BACCELL_02130
ERR1913308.31350__1.31350	821__E5UY21__C800_02204
ERR1913308.31426__1.31426	28117__B0MXD0__ALIPUT_01669
ERR1913308.31509__1.31509	39485__C4Z069__EUBELI_00981
ERR1913308.31552__1.31552	820__R9I2U8__DXC68_09590
ERR1913308.31745__1.31745	2108523__A0A2P2F705__LAWASA_1811
ERR1913308.31863__1.31863	820__A0A174FUF0__HMPREF1073_03308
ERR1913308.31949__1.31949	28052__R7NAV8__ERS852451_01869
ERR1913308.31982__1.31982	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913308.32022__1.32022	46228__V8BSH8__HMPREF1202_02173
ERR1913308.32031__1.32031	204516__U6R9H3__HMPREF1534_03348
ERR1913308.32163__1.32163	1262753__R5B1D7__BN813_01254
ERR1913308.32172__1.32172	39492__D4JTF2__mutS2
ERR1913308.32270__1.32270	246787__R6KIG0__BcellWH2_02358
ERR1913308.32299__1.32299	821__C6ZAA5__ERS852556_00403
ERR1913308.32321__1.32321	214851__D1PSM7__SUBVAR_07410
ERR1913308.32419__1.32419	820__A0A3E4W4Y7__B5G17_02055
ERR1913308.32675__1.32675	28052__A0A174P6J3__comEA
ERR1913308.33088__1.33088	820__A0A396EWL3__ERS417307_03868
ERR1913308.33158__1.33158	166486__D4KVZ2__cbiT
ERR1913308.33316__1.33316	39491__C4Z9K7__EUBREC_0050
ERR1913308.33471__1.33471	572010__napA
ERR1913308.33476__1.33476	39491__A0A396FJA4__DXB99_05435
ERR1913308.34010__1.34010	246787__A0A0P0FSC9__BACCELL_02534
ERR1913308.34033__1.34033	39491__A0A173U0X0__DXB72_05865
ERR1913308.34073__1.34073	166486__A0A173VSP1__ERS852572_03465
ERR1913308.34245__1.34245	39491__A0A174EQV2__DXB69_10230
ERR1913308.34335__1.34335	820__A0A374QGD2__ERS852421_02382
ERR1913308.34275__1.34275	166486__D4KZ45__ROSINTL182_05738
ERR1913308.34392__1.34392	853__A0A2A7A4A9__C4N21_14870
ERR1913308.34483__1.34483	821__A0A174WBC9__ERS852556_03145
ERR1913308.34498__1.34498	1501392__A0A0B2JMA7__PU94_00895
ERR1913308.34506__1.34506	28052__A0A174M9U3__ERS852451_02548
ERR1913308.34507__1.34507	39491__A0A395V5R3__EUBREC_1883
ERR1913308.34665__1.34665	821__A6L0C7__ERS852556_03520
ERR1913308.35036__1.35036	40518__R5E1J7__RBL236_02062
ERR1913308.35656__1.35656	301302__R5UTG6__M72_25801
ERR1913308.35662__1.35662	357276__I9QBT7__BSEG_03340
ERR1913308.35696__1.35696	301302__R5UVE7__ERS852420_01292
ERR1913308.35911__1.35911	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913308.35882__1.35882	1263000__R5EI35__BN466_01649
ERR1913308.35991__1.35991	853__A0A329UEG4__CHR60_00585
ERR1913308.36110__1.36110	626929__F3PL44__SAMN05444376_0934
ERR1913308.36320__1.36320	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913308.36392__1.36392	626929__F3PLK3__SAMN05444376_0455
ERR1913308.36484__1.36484	626929__F3PJ28__B5F24_03465
ERR1913308.36692__1.36692	1262753__R5B890__BN813_02145
ERR1913308.36973__1.36973	418240__A0A174AX68__ERS852478_00844
ERR1913308.36994__1.36994	165179__A0A174SA26__PREVCOP_05758
ERR1913308.37071__1.37071	820__A0A173WUD7__DXB48_08055
ERR1913308.37013__1.37013	1160721__R6TH97__BHW50_04165
ERR1913308.37095__1.37095	820__A0A139K8N1__ERS852554_00951
ERR1913308.37129__1.37129	1262753__R5B5Z6__BN813_00492
ERR1913308.37363__1.37363	74426__rpoC
ERR1913308.37743__1.37743	39491__A0A174LTW7__DXD13_08720
ERR1913308.38256__1.38256	1262753__R5B0D6__BN813_01004
ERR1913308.38422__1.38422	574930__A0A0F5JBX4__HMPREF1536_02722
ERR1913308.38519__1.38519	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913308.38844__1.38844	626940__E8LFE6__DCQ00_00370
ERR1913308.39014__1.39014	39485__R5ZX10__ERS852492_02330
ERR1913308.38984__1.38984	820__A0A3E4VZT7__DXB48_16145
ERR1913308.39180__1.39180	28052__A0A174Z2D5__mcp2_3
ERR1913308.39328__1.39328	820__A0A139K4T0__ERS852510_03146
ERR1913308.39222__1.39222	853__E2ZJT1__C4N23_03535
ERR1913308.39609__1.39609	39491__A0A395UZL1__DXB76_05950
ERR1913308.39627__1.39627	291644__R5JUY5__HMPREF1071_00941
ERR1913308.39879__1.39879	40518__R5DV58__htrA
ERR1913308.39882__1.39882	821__A0A174JYD3__ERS852457_02610
ERR1913308.40010__1.40010	1262753__R5AVN4__BN813_00577
ERR1913308.40213__1.40213	626929__F3PF45__B5F24_16795
ERR1913308.40257__1.40257	39485__A0A175A403__EUBELI_20577
ERR1913308.40254__1.40254	626929__F3PGY0__SAMN05444376_1243
ERR1913308.40537__1.40537	1262753__R5B6B4__BN813_01625
ERR1913308.40592__1.40592	204516__U6RA51__HMPREF1534_03959
ERR1913308.40599__1.40599	166486__C7GCP5__ROSINTL182_07683
ERR1913308.40554__1.40554	39491__A0A395ZG74__licR
ERR1913308.40608__1.40608	291644__R5JMN9__HMPREF1532_00991
ERR1913308.40746__1.40746	39491__A0A395ZF49__DXB69_05290
ERR1913308.41027__1.41027	28118__R6F6C0__Odosp_0731
ERR1913308.41061__1.41061	820__A0A139K4T0__ERS852510_03146
ERR1913308.41128__1.41128	1720294__U2BDJ8__DXC51_22245
ERR1913308.41157__1.41157	820__A0A3E4RUC4__DHU98_02635
ERR1913308.41173__1.41173	39491__A0A396FRE7__EUR_27520
ERR1913308.41282__1.41282	1262753__R5B9Q6__BN813_01353
ERR1913308.41547__1.41547	820__R9HUV5__HMPREF2141_02582
ERR1913308.41760__1.41760	820__A0A139KHD8__ERS417307_00569
ERR1913308.41782__1.41782	820__A0A139K0J1__HMPREF2141_03205
ERR1913308.41858__1.41858	671266__GCA_004801615.1_01294
ERR1913308.41873__1.41873	39491__D6E2U1__EUBREC_3278
ERR1913308.41886__1.41886	166486__D4L402__ROSINTL182_05182
ERR1913308.41905__1.41905	1262753__R5B0X8__BN813_02011
ERR1913308.42038__1.42038	301302__R5VE75__M72_12161
ERR1913308.42222__1.42222	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913308.42272__1.42272	88431__A0A174L1Y3__cat
ERR1913308.42547__1.42547	28117__B0MTI4__ALIPUT_00084
ERR1913308.42652__1.42652	39485__A0A174YZZ2__ERS852492_00215
ERR1913308.42737__1.42737	246787__A0A3D6AZF8__BACCELL_02529
ERR1913308.42794__1.42794	853__A0A173T0Y8__CGS54_07215
ERR1913308.42924__1.42924	572010__group_1842
ERR1913308.42949__1.42949	74426__nifJ
ERR1913308.43347__1.43347	28117__R7JH62__BHV66_05735
ERR1913308.43491__1.43491	246787__A0A3D6AWJ7__AA416_00506
ERR1913308.43649__1.43649	1262777__R5VJ30__BN512_00110
ERR1913308.43845__1.43845	820__A0A3E4G493__ERS417307_00253
ERR1913308.43905__1.43905	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913308.43955__1.43955	418240__A0A174NZX7__tagF_1
ERR1913308.43957__1.43957	820__A0A374MXK3__HMPREF1072_00166
ERR1913308.44183__1.44183	821__A0A174NM17__lacZ_6
ERR1913308.44246__1.44246	626933__H1DGX0__HMPREF9449_01506
ERR1913308.44317__1.44317	1262753__R5BCD8__BN813_02149
ERR1913308.44392__1.44392	39491__C4Z8S1__DXB76_06750
ERR1913308.44458__1.44458	820__A0A374Q351__DXD40_05850
ERR1913308.44573__1.44573	820__A0A139KHD8__ERS417307_00569
ERR1913308.44579__1.44579	46228__V8CDA4__DXD17_12295
ERR1913308.44688__1.44688	626929__F3PF45__B5F24_16795
ERR1913308.44988__1.44988	1262753__R5B0D6__BN813_01004
ERR1913308.45758__1.45758	626929__A0A1Y4JTW9__B5F97_02770
ERR1913308.45986__1.45986	39485__C4Z0T2__ykvU
ERR1913308.46028__1.46028	418240__A0A173XM56__ERS852478_01689
ERR1913308.46035__1.46035	39491__A0A396FVC0__ERE_15900
ERR1913308.46417__1.46417	1262930__R6AVG7__BN693_02115
ERR1913308.46491__1.46491	39491__C4Z8S1__DXB76_06750
ERR1913308.46515__1.46515	88431__A0A3D0F0I7__DORLON_00967
ERR1913308.46432__1.46432	39491__A0A395UZZ5__htpG_1
ERR1913308.46792__1.46792	418240__A0A174B589__ERS852523_01681
ERR1913308.46803__1.46803	246787__A0A0P0GPP9__BACCELL_01902
ERR1913308.46863__1.46863	853__A0A173T751__C4N24_10280
ERR1913308.46888__1.46888	39486__B0G346__HMPREF9457_00670
ERR1913308.47003__1.47003	649756__B0P3M9__ERS852475_01934
ERR1913308.47123__1.47123	649756__D4MXY1__ERS852425_00764
ERR1913308.47172__1.47172	820__A0A139KG60__M094_2679
ERR1913308.47180__1.47180	821__A0A174NSU0__BVU_3144
ERR1913308.47209__1.47209	821__A6L0C7__ERS852556_03520
ERR1913308.47216__1.47216	116085__D4J7J1__DW747_10195
ERR1913308.47300__1.47300	1262753__R5B2M4__BN813_00702
ERR1913308.47312__1.47312	301302__A0A0M6WVL0__celA
ERR1913308.47800__1.47800	853__A0A173XRA8__CGS56_09290
ERR1913308.47832__1.47832	301302__R5VE56__M72_25941
ERR1913308.47904__1.47904	820__A0A139K5E7__DXC68_09550
ERR1913308.47930__1.47930	820__A0A078STJ8__DXC68_04690
