ERR1913290.39__1.39	28118__F9Z5N6__SAMEA44545918_01718
ERR1913290.7081__1.7081	853__A0A2J4JL53__CRH10_10795
ERR1913290.7293__1.7293	820__A0A3E4VXP2__yesR
ERR1913290.7352__1.7352	39492__D4JWY0__EUBSIR_01648
ERR1913290.7355__1.7355	239935__A0A2N8IRL2__CXU06_01170
ERR1913290.7499__1.7499	246787__A0A3D6ARN8__yehU_6
ERR1913290.7524__1.7524	556259__I0PYL9__BSGG_5205
ERR1913290.7724__1.7724	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913290.7773__1.7773	28116__C3QXZ9__DXA80_15295
ERR1913290.7923__1.7923	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913290.7979__1.7979	1150298__A0A174BE63__ERS852406_01048
ERR1913290.8015__1.8015	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913290.8150__1.8150	1628085__A0A2U1BHQ4__C7386_101458
ERR1913290.8337__1.8337	246787__A0A3D6AYV2__BcellWH2_03647
ERR1913290.8496__1.8496	371601__F7LHU5__B5E52_04280
ERR1913290.8627__1.8627	28116__A0A1Y4PH15__DXA80_17985
ERR1913290.8698__1.8698	821__A6L0C7__ERS852556_03520
ERR1913290.8732__1.8732	39492__D4JWR6__dnaN
ERR1913290.8736__1.8736	28116__A0A395VSP8__ERS852555_02642
ERR1913290.8740__1.8740	214856__A0A174EJT5__mnmA
ERR1913290.8756__1.8756	1897011__A0A1Q6RE59__BHW41_04605
ERR1913290.8783__1.8783	820__A0A139K426__B5G17_09115
ERR1913290.8996__1.8996	821__A0A174NVL6__NCTC10583_01782
ERR1913290.9036__1.9036	28117__B0MY41__BHV66_05165
ERR1913290.9039__1.9039	1262824__R6RKD3__BN719_00225
ERR1913290.9133__1.9133	39492__D4MIY5__EUBSIR_00233
ERR1913290.9214__1.9214	357276__A0A076ISJ4__B5F95_19420
ERR1913290.9278__1.9278	28116__E5CCI2__M089_3437
ERR1913290.9484__1.9484	214856__R6YD52__ERS852447_02171
ERR1913290.9632__1.9632	823__A0A173VS36__M091_4727
ERR1913290.9739__1.9739	28116__A7M617__SAMN05192582_105025
ERR1913290.10000__1.10000	820__R9HP61__DXC91_01090
ERR1913290.10012__1.10012	823__A0A355XLQ9__DXC05_02185
ERR1913290.10118__1.10118	820__A0A174CG08__DXB62_13215
ERR1913290.10105__1.10105	556259__E5C690__BSGG_1431
ERR1913290.10154__1.10154	39492__D4JUJ6__ssuB_2
ERR1913290.10211__1.10211	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913290.10221__1.10221	820__A0A078S4C2__ERS417307_00828
ERR1913290.10303__1.10303	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913290.10460__1.10460	1150298__A0A174DX06__ERS852498_00491
ERR1913290.10558__1.10558	28116__A7M019__HMPREF1070_01109
ERR1913290.10788__1.10788	28116__A7LYG5__M089_5828
ERR1913290.10943__1.10943	487174__K0WWT0__DIT83_10190
ERR1913290.10918__1.10918	1262911__R6H1A6__BN557_01286
ERR1913290.10952__1.10952	28116__A0A3D2LPA1__CUY_3388
ERR1913290.11154__1.11154	357276__A0A0K2HDP3__IY41_00705
ERR1913290.11217__1.11217	1262911__R6GI18__BN557_01377
ERR1913290.11239__1.11239	28116__A7LYG5__M089_5828
ERR1913290.11251__1.11251	28116__A0A3D2LWY1__ERS852555_01619
ERR1913290.11344__1.11344	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913290.11416__1.11416	556259__E5C8S0__BSGG_1769
ERR1913290.11405__1.11405	28116__A7LUQ0__CUY_2205
ERR1913290.11386__1.11386	853__A0A2J4JL53__CRH10_10795
ERR1913290.11725__1.11725	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913290.11807__1.11807	214851__D1PSK8__SUBVAR_07391
ERR1913290.11833__1.11833	28116__A7LXT7__HMPREF1070_00356
ERR1913290.11854__1.11854	246787__A0A3D6AZ54__BcellWH2_03646
ERR1913290.12079__1.12079	818__A0A3E5HEU1__NCTC10582_02468
ERR1913290.12204__1.12204	28116__C3QVY2__SAMN05444282_12234
ERR1913290.12238__1.12238	214856__R6Z5D0__resA_4
ERR1913290.12320__1.12320	823__A0A174UI22__CF162_13840
ERR1913290.12334__1.12334	28116__A0A1Y4Q114__DXF98_00470
ERR1913290.12360__1.12360	28116__A0A1Y4PNX5__DXF98_26515
ERR1913290.12379__1.12379	853__A0A2A7B9I6__DW855_13690
ERR1913290.12403__1.12403	371601__G1UK36__HMPREF1074_03496
ERR1913290.12474__1.12474	1262992__R5DBG3__BN795_01416
ERR1913290.12551__1.12551	33025__A0A395J8P0__C8D73_1144
ERR1913290.12624__1.12624	821__A0A395UNT8__DXD64_15275
ERR1913290.12635__1.12635	28116__A0A3D2LWY1__ERS852555_01619
ERR1913290.12664__1.12664	823__A0A174LWY0__lepB
ERR1913290.12688__1.12688	246787__E2N7F5__AA416_04404
ERR1913290.12737__1.12737	371601__E5CE41__ERS852396_04351
ERR1913290.12906__1.12906	357276__A0A076IRZ5__BACDOR_00630
ERR1913290.13135__1.13135	246787__A0A0P0FSC9__BACCELL_02534
ERR1913290.13148__1.13148	28116__A0A396DFW5__C5Z02_07010
ERR1913290.13204__1.13204	28116__C3QXZ9__DXA80_15295
ERR1913290.13281__1.13281	328814__GCA_004558275.1_02280
ERR1913290.13636__1.13636	28116__E5CH91__B5F02_11815
ERR1913290.13643__1.13643	28116__A0A1Y4PVG3__imd
ERR1913290.13736__1.13736	28116__A0A1Y4PH15__DXA80_17985
ERR1913290.13804__1.13804	821__A0A3E4WAR6__DXD64_10735
ERR1913290.13884__1.13884	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913290.13867__1.13867	820__A0A3E4XDK3__ERS852554_03650
ERR1913290.13978__1.13978	821__A0A174NM17__lacZ_6
ERR1913290.14035__1.14035	371601__G1UK36__HMPREF1074_03496
ERR1913290.14061__1.14061	1897011__A0A1Q6RD70__BHW41_05845
ERR1913290.14269__1.14269	28117__B0MVL5__BHV66_01660
ERR1913290.14387__1.14387	820__A0A139K2N9__DXB62_12420
ERR1913290.14411__1.14411	821__C6ZAA5__ERS852556_00403
ERR1913290.14538__1.14538	487174__K0XLC3__HMPREF9448_01065
ERR1913290.14539__1.14539	821__A6L0C7__ERS852556_03520
ERR1913290.14500__1.14500	28116__C3QMW5__M089_4133
ERR1913290.14677__1.14677	246787__E2N7F5__AA416_04404
ERR1913290.14830__1.14830	28116__C3QZB5__M088_3811
ERR1913290.15200__1.15200	28116__A0A1Y4PHM7__DXA80_25130
ERR1913290.15295__1.15295	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913290.15326__1.15326	47678__R5U8P0__DW706_15950
ERR1913290.15302__1.15302	214856__A0A173YDP1__ERS852559_00120
ERR1913290.15581__1.15581	328814__GCA_004558275.1_01976
ERR1913290.15611__1.15611	387661__K5ZVM2__HMPREF1077_00246
ERR1913290.15688__1.15688	246787__R6KBH9__HMPREF1062_04676
ERR1913290.15710__1.15710	821__A0A0P0L952__M097_4235
ERR1913290.15749__1.15749	2108523__A0A2P2FCM2__LAWASA_3816
ERR1913290.15814__1.15814	28116__E5CEE4__SAMN05444282_12363
ERR1913290.15817__1.15817	1472761__GCA_002159295.1_00744
ERR1913290.16202__1.16202	28116__A7M4E1__NCTC11153_01558
ERR1913290.16316__1.16316	28116__A7M019__HMPREF1070_01109
ERR1913290.16505__1.16505	1150298__R7JTX5__ERS852535_01291
ERR1913290.16520__1.16520	28116__A0A1Y4PWE4__M089_4352
ERR1913290.16670__1.16670	821__A0A174T998__DXB82_10860
ERR1913290.16696__1.16696	28118__R6FCY1__DER54_07335
ERR1913290.16709__1.16709	39492__D4MIY5__EUBSIR_00233
ERR1913290.16723__1.16723	821__C6Z087__DXB90_00750
ERR1913290.16768__1.16768	301301__A0A395VAL3__mcp2_2
ERR1913290.16790__1.16790	328814__GCA_004558275.1_00221
ERR1913290.17006__1.17006	28116__E5C3L0__B5F02_21065
ERR1913290.17192__1.17192	820__A0A1Y3V743__M093_0235
ERR1913290.17421__1.17421	371601__E5CE41__ERS852396_04351
ERR1913290.17626__1.17626	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913290.17596__1.17596	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913290.17755__1.17755	1897011__A0A1Q6RBR7__BHW41_06875
ERR1913290.17758__1.17758	821__A6L0C7__ERS852556_03520
ERR1913290.17779__1.17779	820__A0A3E4VZT7__DXB48_16145
ERR1913290.17890__1.17890	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913290.17929__1.17929	821__A0A396F9T7__M097_3427
ERR1913290.17965__1.17965	28116__A0A1Y4Q119__DXD69_10975
ERR1913290.18092__1.18092	387090__S0F8B2__BACCOPRO_02129
ERR1913290.18128__1.18128	853__A0A173YYY4__DWZ04_09420
ERR1913290.18254__1.18254	28116__A7LYG5__M089_5828
ERR1913290.18333__1.18333	214856__R6Y2Y4__ERS852447_01086
ERR1913290.18394__1.18394	39492__D4JUL3__nreC_2
ERR1913290.18485__1.18485	28116__A0A1Y4P7B7__M088_2098
ERR1913290.18441__1.18441	28116__A7M617__SAMN05192582_105025
ERR1913290.18550__1.18550	1262882__R5MIC9__BN519_00834
ERR1913290.18738__1.18738	28116__C3QZB5__M088_3811
ERR1913290.18861__1.18861	820__A0A3E4PYB0__yejM
ERR1913290.19120__1.19120	28116__R6DIL2__DXD69_10970
ERR1913290.19263__1.19263	28116__A0A139LL51__B5F02_01570
ERR1913290.19427__1.19427	28116__A0A1G8P076__AA414_01051
ERR1913290.19664__1.19664	487174__K0WZ94__HMPREF9448_00984
ERR1913290.19667__1.19667	357276__I9QBT7__BSEG_03340
ERR1913290.19807__1.19807	357276__I9QBT7__BSEG_03340
ERR1913290.20152__1.20152	556259__I0PXW0__BSGG_5187
ERR1913290.20287__1.20287	1262743__R5C054__BN727_01980
ERR1913290.20543__1.20543	1262882__R5MT08__BN519_01706
ERR1913290.20603__1.20603	28116__A0A3D2LPA1__CUY_3388
ERR1913290.20705__1.20705	28116__I9ST00__M088_5588
ERR1913290.20854__1.20854	28116__A0A3D2LWY1__ERS852555_01619
ERR1913290.20862__1.20862	28116__A7M019__HMPREF1070_01109
ERR1913290.20990__1.20990	820__A0A3E4VXP2__yesR
ERR1913290.21038__1.21038	556259__E5C445__BSGG_0931
ERR1913290.21163__1.21163	28116__A0A078QF71__HMPREF1070_01231
ERR1913290.21191__1.21191	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913290.21433__1.21433	821__A0A3E4WAR6__DXD64_10735
ERR1913290.21489__1.21489	820__R7E9Z4__DXC68_06065
ERR1913290.21566__1.21566	371601__E5CE41__ERS852396_04351
ERR1913290.21666__1.21666	818__Q8A0V7__BSIG_2755
ERR1913290.21709__1.21709	818__A0A0P0FI06__BJP75_017205
ERR1913290.21814__1.21814	1897011__A0A1Q6RBT0__BHW41_06785
ERR1913290.22057__1.22057	28116__A0A1Y4P7B7__M088_2098
ERR1913290.22087__1.22087	216816__B7GTR6__BLD_0992
ERR1913290.22097__1.22097	214856__R6XUN2__rcsC_1
ERR1913290.22216__1.22216	371601__A0A139LNL6__ERS852396_04350
ERR1913290.22228__1.22228	214856__R6XKT4__ERS852559_01719
ERR1913290.22417__1.22417	28116__I9ST00__M088_5588
ERR1913290.22498__1.22498	28116__E5C3L8__DXF98_06270
ERR1913290.22658__1.22658	871325__A0A1M5CAW7__SAMN05444349_12350
ERR1913290.22694__1.22694	371601__D6D6P1__DXD03_13270
ERR1913290.22806__1.22806	1262911__R6GMH5__BN557_00511
ERR1913290.22812__1.22812	674529__A0A174K9D7__SAMN05444400_1164
ERR1913290.23013__1.23013	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913290.23153__1.23153	239935__A0A2N8ITG2__Amuc_0335
ERR1913290.23259__1.23259	214856__I3YMC8__ERS852447_02666
ERR1913290.23275__1.23275	28116__E5CCI2__M089_3437
ERR1913290.23373__1.23373	674529__A0A174I6X2__DXB21_05420
ERR1913290.23536__1.23536	28116__F7L4X5__M089_2857
ERR1913290.23600__1.23600	214856__R6Y9P5__ERS852559_01811
ERR1913290.23856__1.23856	28116__F7LC60__AA414_00422
ERR1913290.23921__1.23921	1628085__A0A396QC65__C7386_101113
ERR1913290.24086__1.24086	1262911__R6H2J2__BN557_01228
ERR1913290.24112__1.24112	246787__A0A3D6AQP8__AA416_04153
ERR1913290.24195__1.24195	39491__A0A395V0E5__ERE_31370
ERR1913290.24158__1.24158	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913290.24128__1.24128	820__A0A139K4W5__HMPREF2141_02394
ERR1913290.24512__1.24512	817__D1JSR5__M071_2945
ERR1913290.24518__1.24518	301301__A0A395VA99__rpfG_5
ERR1913290.24662__1.24662	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913290.24814__1.24814	821__A0A174AYT0__DXC02_03530
ERR1913290.25021__1.25021	246787__A0A0P0GG22__BACCELL_01899
ERR1913290.24990__1.24990	292800__A0A173ZCZ3__A4U99_03035
ERR1913290.25159__1.25159	371601__C3QP88__BN890_39790
ERR1913290.25257__1.25257	301301__A0A395V6Z6__ERS852391_00966
ERR1913290.25296__1.25296	823__A0A395YSW8__CF162_05645
ERR1913290.25406__1.25406	28116__A0A1Y4Q367__ERS852555_04706
ERR1913290.25417__1.25417	39492__D4JWJ4__EUBSIR_01090
ERR1913290.25472__1.25472	1263044__GCA_000433375.1_02953
ERR1913290.25672__1.25672	28116__F7L4X5__M089_2857
ERR1913290.25723__1.25723	410072__A0A173ZG02__ERS852574_01061
ERR1913290.25742__1.25742	28116__A0A1Y4Q112__evgS_13
ERR1913290.25815__1.25815	823__A0A395YRW4__DD466_15895
ERR1913290.25947__1.25947	28116__A0A395VSP8__ERS852555_02642
ERR1913290.25954__1.25954	28116__I9ST00__M088_5588
ERR1913290.26109__1.26109	246787__A0A0P0FSC0__cytR_2
ERR1913290.26114__1.26114	853__A0A174BZY1__xerD_1
ERR1913290.26085__1.26085	28118__F9Z9Z7__B5F99_12650
ERR1913290.26038__1.26038	28118__A0A1Y3Y204__NCTC10826_02015
ERR1913290.26121__1.26121	674529__R6V0V1__DXB21_06395
ERR1913290.26160__1.26160	28116__A0A1G8H1M8__DXF98_11065
ERR1913290.26372__1.26372	487174__K0XH97__HMPREF9448_01909
ERR1913290.26518__1.26518	28116__A0A395VSP8__ERS852555_02642
ERR1913290.26522__1.26522	821__A0A395UNT8__DXD64_15275
ERR1913290.26842__1.26842	853__A0A2A7B9I6__DW855_13690
ERR1913290.26812__1.26812	28116__A0A078QF71__HMPREF1070_01231
ERR1913290.27087__1.27087	821__A0A174NSU0__BVU_3144
ERR1913290.27183__1.27183	246787__A0A3D6AZ54__BcellWH2_03646
ERR1913290.27185__1.27185	556259__I0PXW0__BSGG_5187
ERR1913290.27277__1.27277	823__A0A355XLS2__ERS852380_02644
ERR1913290.27364__1.27364	28116__I9TDA4__BACOV975_03134
ERR1913290.27471__1.27471	28116__E5C458__BACOV975_02730
ERR1913290.27694__1.27694	28116__I9SW74__BACOVA_04237
ERR1913290.27715__1.27715	28116__A7LYG5__M089_5828
ERR1913290.27836__1.27836	820__A0A139KHD8__ERS417307_00569
ERR1913290.27882__1.27882	821__C6Z087__DXB90_00750
ERR1913290.28086__1.28086	28116__A0A396DFW5__C5Z02_07010
ERR1913290.28177__1.28177	301301__A0A395VAV8__ERS852391_02437
ERR1913290.28354__1.28354	28116__A7M018__M089_5540
ERR1913290.28458__1.28458	246787__R6KQ08__AA416_01934
ERR1913290.28480__1.28480	371601__C3QR34__DXD03_22980
ERR1913290.28488__1.28488	246787__A0A108T429__BACCELL_00192
ERR1913290.28703__1.28703	28116__I9ST00__M088_5588
ERR1913290.28717__1.28717	28116__R6DIL2__DXD69_10970
ERR1913290.28738__1.28738	820__A7V9F9__B5G17_14640
ERR1913290.28986__1.28986	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913290.28902__1.28902	39492__D4JVG7__ERS852540_00946
ERR1913290.29265__1.29265	823__A0A395YQ63__B5F32_15335
ERR1913290.29500__1.29500	28116__C3QSX8__SAMN05444282_101331
ERR1913290.29680__1.29680	28116__F7L4X5__M089_2857
ERR1913290.29805__1.29805	166486__D4KZW9__degS
ERR1913290.29860__1.29860	28116__F7L4N5__BACOVA_00137
ERR1913290.29931__1.29931	821__E5UY21__C800_02204
ERR1913290.29952__1.29952	28116__I8YA07__C5Z02_15915
ERR1913290.30162__1.30162	39492__D4JQS6__ykoD
ERR1913290.30165__1.30165	28116__A0A078Q626__HMPREF1070_02735
ERR1913290.30173__1.30173	371601__E5CE41__ERS852396_04351
ERR1913290.30201__1.30201	28116__A0A395VSP8__ERS852555_02642
ERR1913290.30257__1.30257	357276__A0A0M1W9N4__GV66_05135
ERR1913290.30264__1.30264	246787__A0A3D6AS39__ina
ERR1913290.30582__1.30582	823__A0A355XN36__DXB14_02385
ERR1913290.30630__1.30630	823__D7IRG1__NCTC11152_02276
ERR1913290.30668__1.30668	246787__A0A108THP8__HMPREF1062_03171
ERR1913290.30946__1.30946	28116__D7J6B1__B5F02_07870
ERR1913290.30996__1.30996	820__A0A174F0C1__nreB
ERR1913290.31110__1.31110	820__A0A1Q6IDS8__chtA
ERR1913290.31252__1.31252	28116__A7M018__M089_5540
ERR1913290.31270__1.31270	28117__R7JN92__BHV66_00550
ERR1913290.31310__1.31310	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913290.31409__1.31409	39492__D4JRR5__ERS852540_02089
ERR1913290.31531__1.31531	820__A0A173YYG4__evgS_3
ERR1913290.31604__1.31604	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913290.31642__1.31642	357276__I9QBT7__BSEG_03340
ERR1913290.31706__1.31706	328814__GCA_004558275.1_00296
ERR1913290.31925__1.31925	246787__A0A0P0FSC0__cytR_2
ERR1913290.32028__1.32028	28118__R6FGF7__SAMEA44545918_01338
ERR1913290.32233__1.32233	28117__B0MUT8__ALIPUT_00879
ERR1913290.32248__1.32248	818__A0A139JVX2__ERS852557_01101
ERR1913290.32277__1.32277	246787__A0A3D6AXU9__BACCELL_01366
ERR1913290.32356__1.32356	1263044__GCA_000433375.1_02953
ERR1913290.32483__1.32483	487175__R5E5C4__HMPREF9439_00381
ERR1913290.32559__1.32559	1262911__R6GUQ4__BN557_01581
ERR1913290.32515__1.32515	39492__D4JWI6__EUBSIR_01073
ERR1913290.32527__1.32527	556259__I0PXW0__BSGG_5187
ERR1913290.32531__1.32531	1262911__R6GPQ2__BN557_00967
ERR1913290.32617__1.32617	487174__K0X2W8__HMPREF9448_02611
ERR1913290.32723__1.32723	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913290.32769__1.32769	487174__K0WUZ1__DIT83_10815
ERR1913290.32788__1.32788	820__A0A139KJR5__M093_4469
ERR1913290.32744__1.32744	1628085__A0A2U1B935__C7386_11439
ERR1913290.32805__1.32805	821__A0A0P0LNX8__ERS852509_03015
ERR1913290.32932__1.32932	39492__D4MMZ8__ERS852540_01407
ERR1913290.32994__1.32994	387090__S0F8B2__BACCOPRO_02129
ERR1913290.33011__1.33011	28116__A7LXU0__HMPREF1070_00358
ERR1913290.33184__1.33184	671267__R9IEN1__C802_02405
ERR1913290.33309__1.33309	371601__W6P631__B5E50_14625
ERR1913290.33510__1.33510	1262824__R6S1A7__BN719_01944
ERR1913290.33548__1.33548	28116__I9ST00__M088_5588
ERR1913290.33565__1.33565	39492__D4MN06__EUBSIR_02672
ERR1913290.33586__1.33586	28116__A7M4E1__NCTC11153_01558
ERR1913290.33593__1.33593	853__A0A173YYY4__DWZ04_09420
ERR1913290.33691__1.33691	28116__A0A395VSP8__ERS852555_02642
ERR1913290.33701__1.33701	28116__A0A1Y4Q363__Bovatus_00608
ERR1913290.33872__1.33872	821__A0A396F1N0__M099_1553
ERR1913290.33934__1.33934	821__A0A174V2F3__NCTC10583_01474
ERR1913290.34064__1.34064	1262882__R5MFY4__BN519_00529
ERR1913290.34103__1.34103	28116__A0A1Y4Q114__DXF98_00470
ERR1913290.34167__1.34167	674529__A0A174IB93__SAMN05444400_10956
ERR1913290.34453__1.34453	820__A0A139JY23__B5G17_06330
ERR1913290.34471__1.34471	1263044__GCA_000433375.1_00904
ERR1913290.34596__1.34596	28116__A7M0E3__AA414_00536
ERR1913290.34656__1.34656	821__A0A174K302__CUU_3129
ERR1913290.34760__1.34760	28116__I8YA07__C5Z02_15915
ERR1913290.34770__1.34770	821__E5UY21__C800_02204
ERR1913290.34828__1.34828	28117__B0MU57__ALIPUT_00175
ERR1913290.34853__1.34853	820__A0A139KJR5__M093_4469
ERR1913290.34954__1.34954	28116__I9ST00__M088_5588
ERR1913290.35141__1.35141	1262911__R6GIB9__BN557_01439
ERR1913290.35292__1.35292	28116__E5C3L0__B5F02_21065
ERR1913290.35364__1.35364	853__A0A2A7B9I6__DW855_13690
ERR1913290.35375__1.35375	322505__group_1116
ERR1913290.35443__1.35443	556259__E5CCQ2__BSGG_3225
ERR1913290.35475__1.35475	39492__D4JR08__ERS852540_02467
ERR1913290.35505__1.35505	28116__A0A1Y4Q112__evgS_13
ERR1913290.35637__1.35637	556259__I0PXW0__BSGG_5187
ERR1913290.35708__1.35708	820__A0A174F0C1__nreB
ERR1913290.35756__1.35756	28117__B0MT73__ALIPUT_00412
ERR1913290.35761__1.35761	39492__D4JQU6__ERS852540_02194
ERR1913290.35791__1.35791	28116__A7M344__BACOV975_04644
ERR1913290.35887__1.35887	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913290.35963__1.35963	821__C6Z087__DXB90_00750
ERR1913290.35977__1.35977	823__A0A078SYK6__DXB14_02485
ERR1913290.36267__1.36267	28116__C3QMW4__BACOVA_04147
ERR1913290.36268__1.36268	1628085__A0A1C6BMM1__C7386_11221
ERR1913290.36346__1.36346	371601__A0A1H3XPY7__CW1_0993
ERR1913290.36358__1.36358	410072__A0A174RDI4__drrA_6
ERR1913290.36452__1.36452	853__A0A2A7A4A9__C4N21_14870
ERR1913290.36504__1.36504	28118__F9Z587__Odosp_2804
ERR1913290.36532__1.36532	28116__A0A1Y4PNX5__DXF98_26515
ERR1913290.36828__1.36828	853__A0A3E2U7E6__ERS852582_01640
ERR1913290.36999__1.36999	1262882__R5MFR3__BN519_00473
ERR1913290.37001__1.37001	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913290.37110__1.37110	246787__A0A3D6AQP8__AA416_04153
ERR1913290.37128__1.37128	328813__A0A1Y3QZ64__B5G41_14235
ERR1913290.37129__1.37129	823__A0A355XKQ8__DHP27_04010
ERR1913290.37257__1.37257	1262743__R5C054__BN727_01980
ERR1913290.37421__1.37421	371601__W6P631__B5E50_14625
ERR1913290.37470__1.37470	1262537__GeneID:16385341
ERR1913290.37582__1.37582	1897011__A0A1Q6REY1__BHW41_04470
ERR1913290.37630__1.37630	28116__A0A1Y4Q3M4__NCTC11153_02254
ERR1913290.37832__1.37832	301301__A0A395VG30__RHOM_05975
