ERR1913176.458__1.458	818__A0A0P0F391__BJP75_009470
ERR1913176.9766__1.9766	74426__pdxS
ERR1913176.9811__1.9811	1262761__R6RBJ5__BN606_02022
ERR1913176.9937__1.9937	310297__R5VBY3__DXC17_13855
ERR1913176.10673__1.10673	310297__B5CU49__DXD04_00310
ERR1913176.10918__1.10918	310297__B5D2V1__DXC17_04215
ERR1913176.11354__1.11354	1304__J7TW34__msbA
ERR1913176.11538__1.11538	239935__A0A2N8IHY1__CXU06_00035
ERR1913176.11620__1.11620	1263006__R6LRT3__BN515_00657
ERR1913176.11977__1.11977	1318__E8K6Z8__gtfB
ERR1913176.12202__1.12202	28116__A7LS02__DXF98_24100
ERR1913176.12212__1.12212	39492__D4JU94__ispE
ERR1913176.12339__1.12339	310297__B5CZI0__BACPLE_02145
ERR1913176.12548__1.12548	387090__S0F7Y3__BACCOPRO_02028
ERR1913176.12685__1.12685	1628085__A0A3E2XST6__C7386_11832
ERR1913176.12768__1.12768	1262886__R6QHS7__BN563_00615
ERR1913176.12986__1.12986	1262783__R6CXU2__BN558_01543
ERR1913176.13085__1.13085	671267__R9ICJ5__C802_00559
ERR1913176.13100__1.13100	46506__S3YS03__DXC34_03445
ERR1913176.13727__1.13727	1262927__R7F070__BN677_00338
ERR1913176.14049__1.14049	301301__A0A395V8E1__RHOM_11160
ERR1913176.14154__1.14154	820__A0A1Q6IDS8__chtA
ERR1913176.14449__1.14449	246787__A0A3D6AZF8__BACCELL_02529
ERR1913176.14621__1.14621	46228__V8CHY9__HMPREF1202_00030
ERR1913176.14645__1.14645	46228__B5CLE1__HMPREF1202_01861
ERR1913176.14723__1.14723	1304__J7THB8__A6J87_02295
ERR1913176.15019__1.15019	820__R9I2U8__DXC68_09590
ERR1913176.15122__1.15122	823__A0A174PAQ4__ERS852429_04218
ERR1913176.15411__1.15411	357276__A0A076J8M3__ABI39_13695
ERR1913176.15651__1.15651	820__A0A3E4VZY4__ERS852554_01211
ERR1913176.15691__1.15691	818__Q8A3A6__Btheta7330_00071
ERR1913176.15707__1.15707	823__A0A355XF06__B5F32_11480
ERR1913176.15770__1.15770	1263109__GCA_000438135.1_00035
ERR1913176.15873__1.15873	1263006__R6LGA5__BN515_00076
ERR1913176.16284__1.16284	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913176.16374__1.16374	40576__D3UYX6__XBJ1_0354
ERR1913176.16414__1.16414	818__A0A3E5HN77__HMPREF2534_00072
ERR1913176.16447__1.16447	301301__A0A395V7C8__RHOM_02390
ERR1913176.16673__1.16673	387090__S0F7Y3__BACCOPRO_02028
ERR1913176.16779__1.16779	552398__F4XCR9__HMPREF0866_01636
ERR1913176.16889__1.16889	310297__B5D433__DXC17_02005
ERR1913176.16962__1.16962	246787__A0A108T429__BACCELL_00192
ERR1913176.16965__1.16965	246787__R6LGB3__BcellWH2_02361
ERR1913176.16966__1.16966	823__A0A174DZM1__DDY96_10310
ERR1913176.17683__1.17683	1262886__R6RCF6__BN563_00371
ERR1913176.17761__1.17761	820__A0A374Q351__DXD40_05850
ERR1913176.17769__1.17769	818__A0A0N7IAS6__HMPREF2534_04869
ERR1913176.17812__1.17812	46506__S3YBS6__AA415_01011
ERR1913176.17939__1.17939	310297__B5D038__BACPLE_02359
ERR1913176.17958__1.17958	46506__S3YBS6__AA415_01011
ERR1913176.17935__1.17935	871324__A0A1M6F7U8__SAMN05444350_11168
ERR1913176.18246__1.18246	46506__A0A3E4USX2__BACSTE_03107
ERR1913176.18406__1.18406	328814__GCA_004558275.1_00034
ERR1913176.18519__1.18519	820__A0A3E4VZT7__DXB48_16145
ERR1913176.18556__1.18556	1263107__GCA_000436995.1_00223
ERR1913176.18640__1.18640	39491__A0A173TAZ5__DXB99_09520
ERR1913176.18713__1.18713	246787__A0A3D6AQP8__AA416_04153
ERR1913176.19101__1.19101	47678__A5ZEA3__ERS852558_00257
ERR1913176.19104__1.19104	1263000__R5EGP9__BN466_01419
ERR1913176.19168__1.19168	820__R9I2U8__DXC68_09590
ERR1913176.19203__1.19203	487174__K0WX70__DDY40_01710
ERR1913176.19266__1.19266	172901__A0A2U1ASZ8__C8D82_1208
ERR1913176.19427__1.19427	28117__B0N007__BHV66_10275
ERR1913176.19566__1.19566	166486__D4L1D0__ROSINTL182_06446
ERR1913176.19637__1.19637	28117__B0MXR1__BHV66_08035
ERR1913176.19809__1.19809	1262911__R6GHG8__BN557_01301
ERR1913176.19819__1.19819	487174__K0XF08__DDY40_09050
ERR1913176.19731__1.19731	820__A0A174B4N2__M093_2531
ERR1913176.20317__1.20317	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913176.20480__1.20480	310297__A0A174A833__DXB87_09380
ERR1913176.20482__1.20482	853__A0A2A7B9I6__DW855_13690
ERR1913176.20605__1.20605	820__A7V092__hldE
ERR1913176.20645__1.20645	310297__B5D495__DXB87_13420
ERR1913176.20669__1.20669	1262927__R7EZM4__BN677_00280
ERR1913176.20671__1.20671	357276__I9QBT7__BSEG_03340
ERR1913176.20749__1.20749	1262761__R6QUM5__BN606_02048
ERR1913176.20942__1.20942	853__A0A173YYY4__DWZ04_09420
ERR1913176.20983__1.20983	301301__A0A395VA74__RHOM_00280
ERR1913176.21094__1.21094	1263006__R6LT73__BN515_01094
ERR1913176.21117__1.21117	46506__S3YT03__AA415_01895
ERR1913176.21213__1.21213	246787__A0A3D6AWM8__BACCELL_01963
ERR1913176.21292__1.21292	47678__A5ZEA3__ERS852558_00257
ERR1913176.21427__1.21427	301301__A0A395VFD3__ERS852391_02492
ERR1913176.21489__1.21489	28117__B0MUL5__ALIPUT_00722
ERR1913176.21587__1.21587	28117__B0MXW9__ALIPUT_01981
ERR1913176.21686__1.21686	246787__A0A0P0G254__axeA1_2
ERR1913176.21624__1.21624	28111__E5WZR2__HMPREF1016_02168
ERR1913176.21761__1.21761	46228__V8CD18__DXD17_11645
ERR1913176.21777__1.21777	820__A0A1T4IY71__HMPREF2141_02402
ERR1913176.21878__1.21878	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913176.21880__1.21880	1263006__R6LI44__BN515_01329
ERR1913176.22437__1.22437	818__A0A3E5HZF3__HMPREF2534_03697
ERR1913176.22503__1.22503	328814__GCA_004558275.1_00014
ERR1913176.22641__1.22641	1263030__R5CUH1__BN705_00716
ERR1913176.22713__1.22713	46506__R6AEM4__DXC41_06545
ERR1913176.22836__1.22836	166486__D4L1P5__ERS852572_00758
ERR1913176.22877__1.22877	1262886__R6QSD5__BN563_01674
ERR1913176.23047__1.23047	1262886__R6QCG3__BN563_00145
ERR1913176.22958__1.22958	246787__A0A3D6ARC7__BACCELL_03328
ERR1913176.23076__1.23076	47678__R5U8S9__DW706_06260
ERR1913176.23118__1.23118	46506__S3YBS6__AA415_01011
ERR1913176.23205__1.23205	1262989__R6YF14__BN815_00533
ERR1913176.23435__1.23435	39491__A0A174K9A3__DXB69_07785
ERR1913176.23457__1.23457	853__C7H7F5__DWZ46_01780
ERR1913176.23622__1.23622	301301__G2T5V7__RHOM_15795
ERR1913176.23763__1.23763	1318__W1VLP5__HMPREF1195_01494
ERR1913176.23766__1.23766	46506__B0NUC3__SAMN05444283_1019
ERR1913176.23823__1.23823	301301__A0A395V8E1__RHOM_11160
ERR1913176.23999__1.23999	246787__R6K756__HMPREF1062_01819
ERR1913176.24033__1.24033	569__A0A377PB62__CD201_16305
ERR1913176.24091__1.24091	246787__A0A0P0GM08__BcellWH2_01845
ERR1913176.24143__1.24143	1262911__R6H1D2__BN557_00855
ERR1913176.24121__1.24121	820__R9I2U8__DXC68_09590
ERR1913176.24274__1.24274	1262886__R6QD55__BN563_01713
ERR1913176.24354__1.24354	1263006__R6LVW5__BN515_01964
ERR1913176.24361__1.24361	818__A0A139K2A0__SAMN02910322_00898
ERR1913176.24418__1.24418	28117__B0MSR5__BHV66_02095
ERR1913176.24446__1.24446	246787__R6LGA6__tmoS_11
ERR1913176.24685__1.24685	39496__A5Z937__EUBVEN_02230
ERR1913176.24718__1.24718	853__A8SB03__C4Q21_07960
ERR1913176.24800__1.24800	310297__B5CXJ7__DXB87_06645
ERR1913176.24816__1.24816	310297__B5CYH8__BHV76_07815
ERR1913176.24913__1.24913	39491__C4ZHS4__EUR_24420
ERR1913176.24948__1.24948	46506__B0NUC3__SAMN05444283_1019
ERR1913176.25024__1.25024	47678__A5ZB44__C5Z00_17730
ERR1913176.25692__1.25692	310297__B5D3X5__BHV76_01155
ERR1913176.26263__1.26263	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913176.26408__1.26408	2027459__W1W8I5__VRHSUH10_04550
ERR1913176.26472__1.26472	46506__R6AEP1__HMPREF1181_01415
ERR1913176.26572__1.26572	823__A6LBY1__ERS852380_00510
ERR1913176.26524__1.26524	40520__A0A396A356__DXB81_07630
ERR1913176.26894__1.26894	446660__GCA_003428235.1_01822
ERR1913176.26994__1.26994	301301__G2T2X5__ERS852391_00403
ERR1913176.27053__1.27053	1263107__GCA_000436995.1_00193
ERR1913176.27069__1.27069	246787__R6KDR9__BcellWH2_02360
ERR1913176.27178__1.27178	28117__B0MT73__ALIPUT_00412
ERR1913176.27240__1.27240	28117__B0MXU6__ALIPUT_01958
ERR1913176.27310__1.27310	410072__A0A3E4GRE0__DXD67_07105
ERR1913176.27714__1.27714	1897011__A0A1Q6RE78__BHW41_04770
ERR1913176.27963__1.27963	853__A0A2A7B9I6__DW855_13690
ERR1913176.28042__1.28042	338188__A0A174ETX3__ERS852397_01955
ERR1913176.28257__1.28257	1981510__A0A2K9P4C9__B9O19_01933
ERR1913176.28409__1.28409	46506__B0NPY3__BACSTE_02000
ERR1913176.28590__1.28590	46506__B0NM94__HMPREF1181_03250
ERR1913176.28827__1.28827	310297__R5VRJ6__DXC17_13755
ERR1913176.28854__1.28854	820__A0A139JRS5__HMPREF1073_04025
ERR1913176.29034__1.29034	328814__GCA_004558275.1_00993
ERR1913176.29041__1.29041	387090__S0F8B2__BACCOPRO_02129
ERR1913176.29187__1.29187	28117__B0MU76__ALIPUT_00202
ERR1913176.29474__1.29474	28117__B0MWP2__ALIPUT_01468
ERR1913176.29497__1.29497	301301__A0A395V8E1__RHOM_11160
ERR1913176.29514__1.29514	310297__B5CUD7__BHV76_11070
ERR1913176.29601__1.29601	310297__B5CV67__DXD04_03690
ERR1913176.29606__1.29606	1262927__R7EXW0__BN677_01681
ERR1913176.29611__1.29611	239935__A0A2N8HTZ8__CXU09_01270
ERR1913176.29690__1.29690	28117__B0MTS2__ALIPUT_00159
ERR1913176.29918__1.29918	1263109__GCA_000438135.1_00348
ERR1913176.29978__1.29978	28117__B0MUL5__ALIPUT_00722
ERR1913176.29991__1.29991	544645__A0A373UEZ6__DXC42_11590
ERR1913176.30082__1.30082	820__A0A3E4PYB0__yejM
ERR1913176.30671__1.30671	46506__A0A108TDB0__DXC34_12240
ERR1913176.31184__1.31184	310297__B5D0X9__BACPLE_02656
ERR1913176.31258__1.31258	357276__A0A0M1W657__HMPREF1064_04629
ERR1913176.31354__1.31354	847__C3XAM7__BRW83_0838
ERR1913176.31473__1.31473	246787__A0A0P0G254__axeA1_2
ERR1913176.31574__1.31574	853__A0A173YYY4__DWZ04_09420
ERR1913176.31588__1.31588	853__A0A3E2U7E6__ERS852582_01640
ERR1913176.31640__1.31640	820__A0A139KH21__DXC80_01780
ERR1913176.31711__1.31711	46506__S3YBS6__AA415_01011
ERR1913176.31977__1.31977	1263006__R6LU28__BN515_01365
ERR1913176.32079__1.32079	1796613__A0A1C7H300__A4V03_17350
ERR1913176.32228__1.32228	28118__F9Z3G8__B5F99_01835
ERR1913176.32324__1.32324	357276__B6VXX7__HMPREF1063_02683
ERR1913176.32488__1.32488	28117__R7JIJ8__BHV66_01635
ERR1913176.32618__1.32618	2292352__A0A374UKE7__DXC23_09500
ERR1913176.32721__1.32721	328814__GCA_004558275.1_01846
ERR1913176.32695__1.32695	39492__D4JVZ6__truB
ERR1913176.32990__1.32990	1160721__W0U330__BHW50_08125
ERR1913176.32960__1.32960	28118__F9Z690__SAMEA44545918_01782
ERR1913176.33013__1.33013	357276__A0A076IXE0__HMPREF1064_04364
ERR1913176.33144__1.33144	301301__A0A395V9S1__RHOM_03365
ERR1913176.33185__1.33185	46506__B0NRJ1__DXC41_14065
ERR1913176.33202__1.33202	310297__B5CZ21__DXB87_00235
ERR1913176.33311__1.33311	239935__A0A2N8ITW6__CXT91_06265
ERR1913176.33485__1.33485	1262927__R7EXG0__BN677_01561
ERR1913176.33738__1.33738	1263000__R5EGP9__BN466_01419
ERR1913176.33741__1.33741	246787__A0A3D6AXG0__BACCELL_01743
ERR1913176.33954__1.33954	33039__A0A173VTT4__frdB_1
ERR1913176.34057__1.34057	266762__GCA_000769135.1_00284
ERR1913176.34012__1.34012	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913176.34090__1.34090	853__C7H1R8__DW905_06675
ERR1913176.34183__1.34183	46506__S3YBS6__AA415_01011
ERR1913176.34211__1.34211	1318__I1ZL91__HMPREF9971_1533
ERR1913176.34225__1.34225	310297__R5VRJ6__DXC17_13755
ERR1913176.34575__1.34575	310297__R5VVP4__DXC17_11285
ERR1913176.34617__1.34617	1150298__R7JRJ7__ERS852406_01438
ERR1913176.34650__1.34650	1262761__R6QYZ5__BN606_00402
ERR1913176.34866__1.34866	1262886__R6Q946__BN563_00499
ERR1913176.34885__1.34885	1262927__R7EZJ5__BN677_01850
ERR1913176.34987__1.34987	246787__R6LGB3__BcellWH2_02361
ERR1913176.35017__1.35017	28117__B0MSS9__BHV66_06085
ERR1913176.35152__1.35152	1262927__R7EXX6__BN677_01694
ERR1913176.35186__1.35186	1262927__R7EYX1__BN677_00214
ERR1913176.35450__1.35450	1262986__R6AH25__BN492_00747
ERR1913176.35527__1.35527	1263107__GCA_000436995.1_00246
ERR1913176.35530__1.35530	1262992__R5CXM7__BN795_01016
ERR1913176.35739__1.35739	820__A0A139KEW8__DXB64_06405
ERR1913176.35796__1.35796	239935__A0A139TPU7__CXT91_06575
ERR1913176.35890__1.35890	1897011__A0A1Q6RC30__BHW41_06700
ERR1913176.36062__1.36062	246787__R6KQ08__AA416_01934
ERR1913176.36102__1.36102	39492__R6SPM9__pheT
ERR1913176.36230__1.36230	39491__A0A395UVM9__DXB76_04540
ERR1913176.36195__1.36195	823__D7IUM6__M091_1082
ERR1913176.36466__1.36466	820__A0A3E4VZY4__ERS852554_01211
ERR1913176.36571__1.36571	820__A0A139KHX1__HMPREF2141_00289
ERR1913176.36621__1.36621	46506__A0A120A0V1__DXC41_00280
ERR1913176.36665__1.36665	46506__S3YGB4__DXC41_06355
ERR1913176.36826__1.36826	46506__S3YS03__DXC34_03445
ERR1913176.36840__1.36840	1263006__R6LRT3__BN515_00657
ERR1913176.36860__1.36860	28118__F9Z8Y7__DHW44_02235
ERR1913176.36880__1.36880	853__C7H7F8__yccM_1
ERR1913176.36918__1.36918	301301__A0A395VG51__RHOM_05870
ERR1913176.37012__1.37012	310297__B5CU49__DXD04_00310
ERR1913176.37023__1.37023	28117__B0MY40__BHV66_05170
ERR1913176.37129__1.37129	28117__B0MXL6__ALIPUT_01851
ERR1913176.37399__1.37399	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913176.37514__1.37514	1262886__R6Q7C7__BN563_00709
ERR1913176.37922__1.37922	310297__B5CV52__DXC17_10455
ERR1913176.38193__1.38193	28117__R7JIY2__BHV66_06465
ERR1913176.38243__1.38243	310297__B5CWI6__DXB87_12520
ERR1913176.38452__1.38452	1235835__R9LCU2__C814_02677
ERR1913176.38475__1.38475	46506__B0NM94__HMPREF1181_03250
ERR1913176.38486__1.38486	28117__B0MUB3__ALIPUT_00727
ERR1913176.38878__1.38878	410072__A0A174AMX4__dacB_1
ERR1913176.38896__1.38896	310297__B5CZW4__BACPLE_02283
ERR1913176.39005__1.39005	1262945__R6YP20__BN600_01819
ERR1913176.39054__1.39054	823__A0A355XLT7__HMPREF1075_03402
ERR1913176.39136__1.39136	1628085__A0A2U1BAW1__C7386_11048
ERR1913176.39176__1.39176	28117__B0MU57__ALIPUT_00175
ERR1913176.39185__1.39185	446660__GCA_003428235.1_00802
ERR1913176.39388__1.39388	46228__V8CAY6__HMPREF1202_00567
ERR1913176.39436__1.39436	394340__group_617
ERR1913176.39562__1.39562	310297__B5CUF3__DXB87_07245
ERR1913176.39689__1.39689	1262992__R5D6J2__BN795_00288
ERR1913176.40136__1.40136	1262886__R6Q8T6__BN563_00369
ERR1913176.40161__1.40161	246787__R6K756__HMPREF1062_01819
ERR1913176.40207__1.40207	820__A0A174P0L5__glcK_3
ERR1913176.40228__1.40228	28117__B0MXR4__BHV66_08025
ERR1913176.40244__1.40244	310297__B5CVA3__DXD04_03885
ERR1913176.40622__1.40622	46506__R6AEZ1__BACSTE_01801
ERR1913176.40661__1.40661	246787__R6LGA6__tmoS_11
ERR1913176.40731__1.40731	853__D4JY61__C4N21_10560
ERR1913176.40771__1.40771	246787__A0A3D6AWM8__BACCELL_01963
ERR1913176.41099__1.41099	1343__E3CNF4__comA
ERR1913176.41128__1.41128	569__A0A1C6Z2N4__PU01_01280
ERR1913176.41370__1.41370	1235835__R9LCU2__C814_02677
ERR1913176.41448__1.41448	39491__A0A396FJJ9__DXB76_11995
ERR1913176.41400__1.41400	310297__B5D3X3__DXB87_14935
ERR1913176.41548__1.41548	43675__D2NTV8__CYK05_07620
ERR1913176.41517__1.41517	552398__F4XCQ4__HMPREF0866_01621
ERR1913176.41609__1.41609	823__A0A174VHT1__DHP27_04775
ERR1913176.41740__1.41740	1262927__R7EZB4__BN677_01243
ERR1913176.41827__1.41827	1263109__GCA_000438135.1_01184
ERR1913176.42018__1.42018	1262886__R6QI91__BN563_00800
ERR1913176.42411__1.42411	1262927__R7EV52__BN677_01072
ERR1913176.42516__1.42516	1263000__R5EU91__BN466_01432
ERR1913176.42941__1.42941	46506__B0NM94__HMPREF1181_03250
ERR1913176.42971__1.42971	1262927__R7F0X2__BN677_00218
ERR1913176.42986__1.42986	46506__B0NM94__HMPREF1181_03250
ERR1913176.43306__1.43306	246787__R6LGA6__tmoS_11
ERR1913176.43304__1.43304	28117__R7JLL3__ALIPUT_02219
ERR1913176.43454__1.43454	1263000__R5EF60__BN466_01316
ERR1913176.43654__1.43654	47678__R5U332__C5Z00_16810
ERR1913176.43719__1.43719	1897011__A0A1Q6RGC4__BHW41_02800
ERR1913176.43767__1.43767	487174__K0X429__HMPREF9448_00932
ERR1913176.43857__1.43857	310297__B5CTT3__DXC17_00385
ERR1913176.43951__1.43951	239935__A0A2N8HT68__ADH72_00510
ERR1913176.44045__1.44045	1262886__R6QD45__BN563_01703
ERR1913176.44040__1.44040	46503__A7AHZ8__PARMER_03051
ERR1913176.44188__1.44188	246787__A0A3D6ARE5__HMPREF1062_01788
ERR1913176.44171__1.44171	821__A0A173XDD3__DXB82_17180
ERR1913176.44366__1.44366	1263006__R6MLA8__BN515_00853
ERR1913176.44398__1.44398	1262761__R6R1G2__BN606_01397
ERR1913176.44480__1.44480	46506__B0NPF6__BACSTE_01357
ERR1913176.44483__1.44483	39491__A0A173U130__ERE_16110
ERR1913176.44517__1.44517	131111__K0YP59__HMPREF9241_01537
ERR1913176.44613__1.44613	818__Q8A112__BT_3859
ERR1913176.44857__1.44857	853__D4JY61__C4N21_10560
ERR1913176.44997__1.44997	1262886__R6RCB2__BN563_00311
ERR1913176.45069__1.45069	246787__R6LGB3__BcellWH2_02361
ERR1913176.45118__1.45118	1263000__R5EJ76__BN466_01936
ERR1913176.45202__1.45202	820__A0A139K4W5__HMPREF2141_02394
ERR1913176.45272__1.45272	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913176.45282__1.45282	818__D7I7V5__BJP75_001030
ERR1913176.45420__1.45420	28117__B0MTH2__ALIPUT_00061
ERR1913176.45537__1.45537	28117__B0MU57__ALIPUT_00175
ERR1913176.45568__1.45568	820__A7VAR9__ERS852421_00197
ERR1913176.45601__1.45601	246787__A0A0P0GPP9__BACCELL_01902
ERR1913176.45554__1.45554	310298__B3JII2__BACCOP_01694
ERR1913176.45734__1.45734	820__A0A3E4WA06__ERS852554_03404
ERR1913176.45907__1.45907	310297__R5VD67__BHV76_00270
ERR1913176.45985__1.45985	46228__B5CKT3__RUMLAC_00047
ERR1913176.46053__1.46053	1262927__R7EX56__BN677_00089
ERR1913176.46643__1.46643	487174__K0WYG8__HMPREF9448_01522
ERR1913176.46645__1.46645	239935__R6JFR5__CXT84_04850
ERR1913176.46684__1.46684	853__D4KAK8__C4N21_13380
ERR1913176.46809__1.46809	820__A0A1T4IYF4__mprA_1
ERR1913176.46921__1.46921	328814__GCA_004558275.1_00035
ERR1913176.47093__1.47093	46506__S3YGB4__DXC41_06355
ERR1913176.47211__1.47211	1263006__R6LWN2__BN515_02179
ERR1913176.47366__1.47366	820__A0A3E4VZY4__ERS852554_01211
ERR1913176.47411__1.47411	820__A0A174G065__DXB62_08975
ERR1913176.47501__1.47501	46228__V8C7Q2__RUMLAC_01460
ERR1913176.47597__1.47597	28117__B0MU53__ALIPUT_00569
ERR1913176.47720__1.47720	820__A0A173XIP7__B5G17_16050
ERR1913176.47726__1.47726	820__A0A174A6K0__M093_0079
ERR1913176.47736__1.47736	1897011__A0A1Q6RE92__BHW41_04980
ERR1913176.47895__1.47895	357276__D1JZM4__HMPREF1065_01278
ERR1913176.47970__1.47970	301301__A0A395VBK4__RHOM_13190
ERR1913176.48436__1.48436	360807__A0A173VDL4__dosC_2
ERR1913176.48501__1.48501	1263006__R6LGA5__BN515_00076
ERR1913176.48580__1.48580	357276__I9FRW5__B5F95_21685
ERR1913176.48605__1.48605	39491__A0A396FRE7__EUR_27520
ERR1913176.48780__1.48780	1262911__R6H1D2__BN557_00855
ERR1913176.48793__1.48793	53345__A0A377KKR0__BH742_02865
ERR1913176.48815__1.48815	246787__A0A3D6ARN8__yehU_6
ERR1913176.49112__1.49112	1262886__R6QP39__BN563_00737
ERR1913176.49263__1.49263	166486__D4L2T9__lytM
ERR1913176.49279__1.49279	218538__C9LMG6__GCWU000321_00719
ERR1913176.49310__1.49310	1897011__A0A1Q6RG59__BHW41_02475
ERR1913176.49554__1.49554	458033__GCA_001482755.1_02203
ERR1913176.49603__1.49603	1262886__R6QHT9__BN563_00630
ERR1913176.49807__1.49807	310297__B5CW17__DXC17_13800
ERR1913176.50125__1.50125	1263006__R6LQ17__BN515_02097
ERR1913176.50821__1.50821	821__A0A174AYT0__DXC02_03530
