ERR1913207.106__1.106	39492__D4JSU6__dacB_3
ERR1913207.7117__1.7117	1099853__U5CKP4__NSB1T_03700
ERR1913207.7120__1.7120	820__A0A139KHX1__HMPREF2141_00289
ERR1913207.7151__1.7151	2014542__A0A220SSC6__CEK62_19860
ERR1913207.7431__1.7431	40519__U2M5D2__RUMCAL_00691
ERR1913207.7669__1.7669	820__A0A174CG08__DXB62_13215
ERR1913207.7773__1.7773	1796613__A0A1C7H300__A4V03_17350
ERR1913207.7711__1.7711	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913207.7866__1.7866	239935__A0A3F3KBB8__CXU16_06755
ERR1913207.7998__1.7998	208479__A8RIT5__C5Z06_05095
ERR1913207.8077__1.8077	239935__A0A2N8IQ67__CXU20_08505
ERR1913207.8533__1.8533	239935__R6IZT7__CXU18_11710
ERR1913207.8656__1.8656	246787__A0A0P0GR24__BcellWH2_03263
ERR1913207.8563__1.8563	1262743__R5C054__BN727_01980
ERR1913207.9101__1.9101	821__E5UY21__C800_02204
ERR1913207.9299__1.9299	239935__A0A2N8HZZ2__CXU19_04895
ERR1913207.9535__1.9535	823__A0A395YZG9__M092_4358
ERR1913207.9542__1.9542	821__A0A396F1N0__M099_1553
ERR1913207.9770__1.9770	189722__E0NQU7__HMPREF0658_0548
ERR1913207.9852__1.9852	821__R9HFW2__DXD01_00365
ERR1913207.10009__1.10009	1501391__GCA_000786575.1_00052
ERR1913207.10088__1.10088	189722__E0NQU7__HMPREF0658_0548
ERR1913207.10219__1.10219	28118__F9Z667__NCTC10826_00403
ERR1913207.10232__1.10232	239935__A0A2N8IAY7__CXU13_02935
ERR1913207.10314__1.10314	820__A0A3E4W984__pssA
ERR1913207.10258__1.10258	544644__GCA_001915615.1_02007
ERR1913207.10387__1.10387	239935__A0A2N8I390__CXU16_10675
ERR1913207.10593__1.10593	84112__F0HQA3__Elen_0032
ERR1913207.10749__1.10749	239935__R7E4Y3__CXU15_13135
ERR1913207.10784__1.10784	818__A0A139KW19__nedA_1
ERR1913207.10970__1.10970	239935__A0A2N8HX65__CXU17_02540
ERR1913207.11192__1.11192	239935__A0A2N8IQ67__CXU20_08505
ERR1913207.11264__1.11264	357276__A0A076ITU4__EL88_22160
ERR1913207.11307__1.11307	239935__A0A139TPD8__CXU12_11015
ERR1913207.11693__1.11693	820__A0A174TRB5__DXD40_11305
ERR1913207.12148__1.12148	1262700__R5XM04__BN695_00162
ERR1913207.12272__1.12272	357276__D1K3K9__EL88_23995
ERR1913207.12252__1.12252	239935__R6JWM7__CXU14_12295
ERR1913207.12359__1.12359	40518__R5E5W1__RBL263_01034
ERR1913207.12503__1.12503	410072__C0BC38__ERS852574_02017
ERR1913207.12507__1.12507	239935__A0A2N8HWS3__CXU19_10285
ERR1913207.12546__1.12546	239935__B2UNF6__CXU17_03450
ERR1913207.12707__1.12707	818__A0A139KDV3__HMPREF2534_02467
ERR1913207.12743__1.12743	820__A0A1T4IYF4__mprA_1
ERR1913207.12798__1.12798	28117__B0MTV5__BHV66_06415
ERR1913207.12847__1.12847	40518__R5DU28__DXD86_07960
ERR1913207.12937__1.12937	1262700__R5XAC9__BN695_00822
ERR1913207.12998__1.12998	1262700__R5X902__BN695_00437
ERR1913207.13044__1.13044	33025__A0A395JE82__C8D73_101732
ERR1913207.13087__1.13087	821__E5UY21__C800_02204
ERR1913207.13163__1.13163	189722__E0NQU7__HMPREF0658_0548
ERR1913207.13166__1.13166	818__A0A0P0F7K1__ERS852461_02719
ERR1913207.13281__1.13281	239935__A0A2N8IDX4__CXU20_07380
ERR1913207.13294__1.13294	47678__R5UU99__C5Z00_11925
ERR1913207.13396__1.13396	820__A0A3E4VXP2__yesR
ERR1913207.13446__1.13446	1501391__GCA_000786575.1_00057
ERR1913207.13565__1.13565	818__A0A1H7X9X1__SAMN02910322_04797
ERR1913207.13573__1.13573	239935__A0A2N8I1R3__CXU05_06075
ERR1913207.13580__1.13580	821__A0A174RA14__M099_1655
ERR1913207.13738__1.13738	328814__GCA_004558275.1_00059
ERR1913207.13819__1.13819	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913207.13867__1.13867	214856__R6Z288__ERS852447_00734
ERR1913207.13947__1.13947	1262743__R5C054__BN727_01980
ERR1913207.13958__1.13958	333367__C0D6P1__CLOSTASPAR_04938
ERR1913207.13967__1.13967	189722__E0NQU7__HMPREF0658_0548
ERR1913207.14129__1.14129	820__A0A396EUU8__luxQ_3
ERR1913207.14236__1.14236	1550024__G9RWG1__ASJ35_03770
ERR1913207.14251__1.14251	820__A0A3E4G2R7__DXC07_00510
ERR1913207.14385__1.14385	1547__B0N724__DXB93_07600
ERR1913207.14494__1.14494	246787__A0A3D6AZF7__BcellWH2_04504
ERR1913207.14593__1.14593	208479__R5FK50__HMPREF1095_04662
ERR1913207.14653__1.14653	820__A0A3E4WA06__ERS852554_03404
ERR1913207.14664__1.14664	28118__F9Z923__B5F93_10455
ERR1913207.14730__1.14730	1262700__R5Y6U0__BN695_00696
ERR1913207.14909__1.14909	28117__B0MU76__ALIPUT_00202
ERR1913207.14951__1.14951	818__A0A3E5HY51__rpfC_2
ERR1913207.15443__1.15443	626933__H1DGX0__HMPREF9449_01506
ERR1913207.15547__1.15547	39488__A0A173RDQ1__EUBHAL_02348
ERR1913207.15614__1.15614	292800__A0A174UHC7__A4U99_05910
ERR1913207.15637__1.15637	820__A0A139K8N1__ERS852554_00951
ERR1913207.15669__1.15669	246787__R6KK25__HMPREF1062_01860
ERR1913207.15733__1.15733	208479__R5FLQ9__HMPREF1089_05074
ERR1913207.15839__1.15839	246787__A0A3D6AXI0__AA416_04256
ERR1913207.15903__1.15903	1262989__R6YB80__BN815_02299
ERR1913207.16144__1.16144	357276__I9QBT7__BSEG_03340
ERR1913207.16119__1.16119	820__A7V470__HMPREF1072_02076
ERR1913207.16240__1.16240	40518__R5E2F3__artQ
ERR1913207.16415__1.16415	239935__A0A2N8IU14__ADH72_05655
ERR1913207.16473__1.16473	820__E5VA63__DXC80_01025
ERR1913207.16493__1.16493	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913207.16419__1.16419	239935__A0A2N8IUE8__CXU20_02935
ERR1913207.16826__1.16826	818__A0A1H7X9X1__SAMN02910322_04797
ERR1913207.17255__1.17255	820__A0A174CK74__DXB48_07060
ERR1913207.17568__1.17568	239935__A0A2N8IQX1__dnaA
ERR1913207.17765__1.17765	39492__D4JUT9__ERS852540_01449
ERR1913207.18024__1.18024	1099853__U5CMJ0__NSB1T_01275
ERR1913207.18110__1.18110	818__A0A174N1L6__ERS852511_02039
ERR1913207.18137__1.18137	820__A7UYX8__DXD40_11635
ERR1913207.18325__1.18325	820__A7V092__hldE
ERR1913207.18810__1.18810	2108523__A0A2P2F489__LAWASA_800
ERR1913207.18785__1.18785	821__A0A174WBC9__ERS852556_03145
ERR1913207.18790__1.18790	821__A0A0P0L952__M097_4235
ERR1913207.18857__1.18857	1297617__A0A2U1BI43__BIV19_10795
ERR1913207.19104__1.19104	310298__B3JII2__BACCOP_01694
ERR1913207.19361__1.19361	292800__A0A1C7FRR6__A4U99_16870
ERR1913207.19366__1.19366	341220__A0A1M4VHT5__SAMN02745158_01232
ERR1913207.19374__1.19374	1501391__GCA_000786575.1_00032
ERR1913207.19386__1.19386	246787__A0A0P0FS62__HMPREF1062_05447
ERR1913207.19422__1.19422	820__A0A174CG08__DXB62_13215
ERR1913207.19496__1.19496	246787__A0A3D6AXI0__AA416_04256
ERR1913207.19741__1.19741	820__R9HVB9__DXC68_17285
ERR1913207.19706__1.19706	310298__B3JII2__BACCOP_01694
ERR1913207.19711__1.19711	820__A0A174M9V5__M093_0237
ERR1913207.19886__1.19886	239935__A0A2N8IUE8__CXU20_02935
ERR1913207.20086__1.20086	239935__A0A2N8HL91__holA
ERR1913207.20167__1.20167	333367__C0CTU3__CLOSTASPAR_00392
ERR1913207.20362__1.20362	239935__A0A2N8HWQ2__CXU13_01775
ERR1913207.20907__1.20907	28117__B0MTV3__BHV66_06405
ERR1913207.20950__1.20950	28117__R7JPX7__BHV66_00900
ERR1913207.20972__1.20972	818__A0A174LEN9__BJP75_006595
ERR1913207.20978__1.20978	1099853__G9S6U1__NSB1T_01770
ERR1913207.21009__1.21009	821__A0A395VLM8__BvMPK_3650
ERR1913207.21022__1.21022	818__A0A139K1T6__SAMN05216253_11033
ERR1913207.21038__1.21038	820__A0A139KHD8__ERS417307_00569
ERR1913207.21098__1.21098	239935__R6J4Y4__CXU17_09810
ERR1913207.21121__1.21121	1501391__GCA_000786575.1_00101
ERR1913207.21126__1.21126	820__A0A139KJR5__M093_4469
ERR1913207.21474__1.21474	310298__B3JMG0__BACCOP_03099
ERR1913207.21568__1.21568	820__A0A3E4G826__C801_01612
ERR1913207.21596__1.21596	310298__B3JII2__BACCOP_01694
ERR1913207.21901__1.21901	239935__A0A2N8I368__CXT95_04550
ERR1913207.22004__1.22004	821__A0A174JYD3__ERS852457_02610
ERR1913207.22187__1.22187	818__A0A139KW19__nedA_1
ERR1913207.22295__1.22295	821__E5UY21__C800_02204
ERR1913207.22277__1.22277	821__A0A0P0LFP6__C5Z04_13890
ERR1913207.22469__1.22469	239935__A0A139TSG7__CXU17_09600
ERR1913207.22472__1.22472	820__A7VAR9__ERS852421_00197
ERR1913207.22608__1.22608	246787__I8V2S2__BACCELL_02524
ERR1913207.22578__1.22578	47678__A5ZF31__DXB67_11050
ERR1913207.22526__1.22526	821__A0A174NM17__lacZ_6
ERR1913207.22646__1.22646	1099853__U5CBZ4__NSB1T_00950
ERR1913207.22752__1.22752	853__A0A174BA00__DW905_01145
ERR1913207.22972__1.22972	2108523__A0A2P2F7S5__LAWASA_2095
ERR1913207.23046__1.23046	820__A7V470__HMPREF1072_02076
ERR1913207.23464__1.23464	1501391__GCA_000786575.1_00156
ERR1913207.23820__1.23820	47678__R5U325__HMPREF1061_03209
ERR1913207.23943__1.23943	1099853__U5CDG7__NSB1T_14260
ERR1913207.23992__1.23992	1535__A7VNP7__CH238_15000
ERR1913207.24077__1.24077	47678__R5UU99__C5Z00_11925
ERR1913207.24079__1.24079	239935__A0A2N8HB50__CXU17_02615
ERR1913207.24272__1.24272	818__Q8A112__BT_3859
ERR1913207.24384__1.24384	246787__E2N7F5__AA416_04404
ERR1913207.24404__1.24404	239935__B2UQP8__CXU15_01110
ERR1913207.24350__1.24350	820__A7VAR9__ERS852421_00197
ERR1913207.24331__1.24331	47678__A5ZB44__C5Z00_17730
ERR1913207.24496__1.24496	239935__A0A2N8HAQ1__DEF40_05290
ERR1913207.24546__1.24546	820__A0A174B4N2__M093_2531
ERR1913207.24633__1.24633	2108523__A0A2P2FE85__LAWASA_4404
ERR1913207.24757__1.24757	333367__C0DBD2__CLOSTASPAR_06587
ERR1913207.24774__1.24774	1262746__R5SS80__BN750_02125
ERR1913207.25069__1.25069	310298__B3JII2__BACCOP_01694
ERR1913207.25201__1.25201	820__A0A139K0J1__HMPREF2141_03205
ERR1913207.25534__1.25534	239935__A0A2N8IVT6__CXU13_08520
ERR1913207.25568__1.25568	28118__R6F5X8__DF785_07935
ERR1913207.25597__1.25597	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913207.25766__1.25766	246787__I8V2S2__BACCELL_02524
ERR1913207.25847__1.25847	671267__R9IB12__C802_00696
ERR1913207.25975__1.25975	338188__A0A174ETX3__ERS852397_01955
ERR1913207.26012__1.26012	28117__B0MUL5__ALIPUT_00722
ERR1913207.26048__1.26048	47678__R5U7X8__C5Z00_18270
ERR1913207.26542__1.26542	246787__R6LCL3__AA416_03522
ERR1913207.26694__1.26694	820__A7VAR9__ERS852421_00197
ERR1913207.26634__1.26634	47678__R5UZM4__DW706_15680
ERR1913207.26809__1.26809	821__D4VD59__BHV80_04260
ERR1913207.26891__1.26891	821__A0A3E4WAR6__DXD64_10735
ERR1913207.27118__1.27118	820__A0A3E4QZJ7__C801_01798
ERR1913207.27140__1.27140	471189__GCA_003340385.1_00017
ERR1913207.27183__1.27183	357276__B6VYT9__HMPREF1063_05030
ERR1913207.27302__1.27302	47678__R5UXJ2__DW706_08325
ERR1913207.27462__1.27462	310298__B3JII2__BACCOP_01694
ERR1913207.27480__1.27480	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913207.27494__1.27494	1547__H1AI54__DXB93_10690
ERR1913207.27533__1.27533	357276__I8WFU9__BACDOR_02006
ERR1913207.27593__1.27593	33025__A0A395JB30__C8D73_1034
ERR1913207.27602__1.27602	246787__A0A3D6AWM8__BACCELL_01963
ERR1913207.27621__1.27621	818__R7KZF1__C5Z03_07410
ERR1913207.27700__1.27700	821__A0A0P0L8F8__ERS852509_03705
ERR1913207.27672__1.27672	246787__A0A3D6AV26__BcellWH2_02579
ERR1913207.27803__1.27803	821__C6ZAA5__ERS852556_00403
ERR1913207.28104__1.28104	39492__D4JTK2__EUBSIR_01439
ERR1913207.28126__1.28126	820__A0A396EUV1__B5G17_06465
ERR1913207.28349__1.28349	239935__A0A139TPU7__CXT91_06575
ERR1913207.28324__1.28324	818__A0A3E5HVB7__Btheta7330_02386
ERR1913207.28627__1.28627	239935__A0A2N8I693__CXU17_08410
ERR1913207.28950__1.28950	818__A0A174SMH7__C799_03313
ERR1913207.28901__1.28901	820__A0A174G065__DXB62_08975
ERR1913207.28958__1.28958	823__D7IT19__DHP27_03495
ERR1913207.29125__1.29125	214856__A0A175A6T5__ERS852447_02658
ERR1913207.29220__1.29220	1501392__A0A0B2JJH7__PU94_02630
ERR1913207.29228__1.29228	820__A0A3E4W4W5__ERS852554_02179
ERR1913207.29239__1.29239	818__A0A3E5HEV0__BT_3682
ERR1913207.29354__1.29354	1550024__A0A0D8IVH7__TQ39_18980
ERR1913207.29398__1.29398	1263005__R6F1V0__BN497_00939
ERR1913207.29525__1.29525	1653434__A0A150YA26__DW166_06960
ERR1913207.29599__1.29599	821__E5UY21__C800_02204
ERR1913207.29793__1.29793	239935__A0A2N8I368__CXT95_04550
ERR1913207.29895__1.29895	246787__R6LCL3__AA416_03522
ERR1913207.30238__1.30238	820__R7E9Z4__DXC68_06065
ERR1913207.30243__1.30243	39492__D4JRM9__bglB_2
ERR1913207.30269__1.30269	820__A0A139K024__B5G17_02060
ERR1913207.30350__1.30350	1099853__U5CDR1__NSB1T_05400
ERR1913207.30607__1.30607	820__A0A174TRB5__DXD40_11305
ERR1913207.30633__1.30633	820__A0A3E4VXP2__yesR
ERR1913207.30653__1.30653	1099853__U5CER2__NSB1T_13270
ERR1913207.30859__1.30859	818__A0A1H7L4U6__BSIG_3287
ERR1913207.30909__1.30909	357276__B6W1J2__BACDOR_03380
ERR1913207.30921__1.30921	821__C6ZAA5__ERS852556_00403
ERR1913207.30929__1.30929	821__A0A395VIK7__BVU_1225
ERR1913207.30965__1.30965	818__Q8A2L4__Btheta7330_05011
ERR1913207.31081__1.31081	246787__A0A0P0GG22__BACCELL_01899
ERR1913207.31183__1.31183	28117__B0MXG8__ALIPUT_01814
ERR1913207.31208__1.31208	820__A0A396EUU8__luxQ_3
ERR1913207.31418__1.31418	821__A0A3E4WAR6__DXD64_10735
ERR1913207.31543__1.31543	823__A0A355XFH7__ERS852513_00769
ERR1913207.31688__1.31688	1550024__A0A3B9WH35__TQ39_04960
ERR1913207.31741__1.31741	239935__R6J4Y4__CXU17_09810
ERR1913207.31867__1.31867	292800__A0A174SE17__dppA_5
ERR1913207.31925__1.31925	47678__R5UAF6__ERS852494_02966
ERR1913207.32095__1.32095	239935__A0A2N8HUU6__CXT90_06150
ERR1913207.32128__1.32128	246787__I9QX02__HMPREF1062_01641
ERR1913207.32181__1.32181	1235835__R9LCU2__C814_02677
ERR1913207.32310__1.32310	239935__A0A2N8ILG3__CXT93_10135
ERR1913207.32470__1.32470	239935__A0A2N8HB50__CXU17_02615
ERR1913207.32579__1.32579	246787__R6KRT7__BACCELL_01801
ERR1913207.32656__1.32656	1262989__R6XZS6__BN815_00506
ERR1913207.33049__1.33049	239935__A0A2N8HJX0__CXU19_08380
ERR1913207.33121__1.33121	239935__A0A2N8IUQ8__CXU09_01665
ERR1913207.33167__1.33167	40518__R5E4V5__RBL263_01242
ERR1913207.33147__1.33147	821__A0A174MBW9__SAMN04487923_10272
ERR1913207.33335__1.33335	239935__B2UPP2__CXU20_12035
ERR1913207.33340__1.33340	820__A0A174R952__DXB48_02570
ERR1913207.33364__1.33364	310298__B3JFI7__BACCOP_00636
ERR1913207.33387__1.33387	820__A7V092__hldE
ERR1913207.33394__1.33394	239935__A0A139TVJ4__CXT86_02020
ERR1913207.33460__1.33460	246787__A0A0P0GMR5__HMPREF1062_04678
ERR1913207.33661__1.33661	544645__A0A1Y3VYF4__DXC42_05190
ERR1913207.33773__1.33773	821__A0A174MBW9__SAMN04487923_10272
ERR1913207.33823__1.33823	818__A0A139L1D5__BT_2967
ERR1913207.34128__1.34128	820__A0A174DZ97__SAMN05444418_101240
ERR1913207.34130__1.34130	1522__A0A174Z8S8__HMPREF1094_00134
ERR1913207.34131__1.34131	1512__A0A174ACV8__prpR_2
ERR1913207.34438__1.34438	818__D7I8A4__C799_02600
ERR1913207.34572__1.34572	820__A0A3E4VZY4__ERS852554_01211
ERR1913207.34720__1.34720	1262989__R6Y4S3__BN815_02095
ERR1913207.34825__1.34825	820__A0A173YYG4__evgS_3
ERR1913207.34902__1.34902	820__A0A3E4WCC2__lptB_1
ERR1913207.34924__1.34924	28117__B0MSS1__ALIPUT_00273
ERR1913207.34953__1.34953	820__A0A173WZS4__DXD90_10250
ERR1913207.34962__1.34962	1796613__A0A1C7GYK5__ADH74_16440
ERR1913207.35147__1.35147	292800__A0A174WGI6__uxuA
ERR1913207.35208__1.35208	246787__A0A0P0GET5__AA416_04410
ERR1913207.35405__1.35405	487174__K0XBH1__DIT83_01445
ERR1913207.35700__1.35700	47678__R5UAI1__BACCAC_01922
ERR1913207.35732__1.35732	246787__A0A0P0GLJ1__BcellWH2_01674
ERR1913207.35929__1.35929	239935__A0A2N8IQX1__dnaA
ERR1913207.35936__1.35936	47678__R5U3A7__ERS852494_02965
ERR1913207.36020__1.36020	818__Q8A112__BT_3859
ERR1913207.36043__1.36043	818__Q8A3I3__HMPREF2534_00068
ERR1913207.36333__1.36333	246787__R6KM92__AA416_01456
ERR1913207.36298__1.36298	1501391__GCA_000786575.1_00035
ERR1913207.36379__1.36379	821__A6L0C7__ERS852556_03520
ERR1913207.36472__1.36472	821__A0A173WG51__BVU_2549
ERR1913207.36607__1.36607	239935__A0A2N8IVR0__CXT87_07115
ERR1913207.36699__1.36699	820__A0A174CG08__DXB62_13215
ERR1913207.36903__1.36903	47678__R5UPZ8__ERS852494_01752
ERR1913207.37026__1.37026	1099853__G9S0L9__NSB1T_05150
ERR1913207.37107__1.37107	820__A0A3E4IBC1__M094_0628
ERR1913207.37128__1.37128	47678__R5U558__ERS852558_02232
ERR1913207.37154__1.37154	1262989__R6ZIJ7__BN815_01511
ERR1913207.37272__1.37272	820__A0A3E4G826__C801_01612
ERR1913207.37475__1.37475	820__R9HP61__DXC91_01090
ERR1913207.37566__1.37566	821__A0A3E4WAR6__DXD64_10735
ERR1913207.37683__1.37683	1796652__ltrA_3
ERR1913207.37795__1.37795	1512__G5F8T2__HMPREF9475_01740
ERR1913207.37815__1.37815	820__A0A3E4RUC4__DHU98_02635
ERR1913207.38131__1.38131	246787__A0A3D6AWM8__BACCELL_01963
ERR1913207.38138__1.38138	47678__R5USR9__HMPREF1061_01404
ERR1913207.38179__1.38179	239935__A0A2N8HZZ2__CXU19_04895
ERR1913207.38444__1.38444	1796613__A0A1C7H300__A4V03_17350
ERR1913207.38392__1.38392	821__A0A0P0L952__M097_4235
ERR1913207.38582__1.38582	239935__A0A139TSG7__CXU17_09600
ERR1913207.38642__1.38642	820__A0A1T4IY80__ERS852554_01621
ERR1913207.38940__1.38940	239935__A0A2N8I390__CXU16_10675
ERR1913207.39069__1.39069	818__A0A0P0F391__BJP75_009470
ERR1913207.39003__1.39003	357276__A0A0K2HJA6__DXD47_07320
ERR1913207.39013__1.39013	821__E5UY21__C800_02204
ERR1913207.39114__1.39114	239935__A0A2N8I390__CXU16_10675
ERR1913207.39146__1.39146	487174__R5ER56__HMPREF9448_02812
ERR1913207.39231__1.39231	47678__A5ZGW9__HMPREF1061_01068
ERR1913207.39233__1.39233	39492__D4JVZ6__truB
ERR1913207.39367__1.39367	1262700__R5XD02__BN695_01659
ERR1913207.39413__1.39413	820__A0A174QT76__B5G17_18060
ERR1913207.39912__1.39912	292800__A0A1C7FHV2__HMPREF9460_00045
ERR1913207.40171__1.40171	821__A0A397WGD6__M098_0084
ERR1913207.40610__1.40610	823__E1YR62__HMPREF1059_02331
ERR1913207.40686__1.40686	820__A7V9F9__B5G17_14640
ERR1913207.40670__1.40670	820__A0A1T4IYF4__mprA_1
ERR1913207.40734__1.40734	818__A0A139L1N9__ERS852430_00647
ERR1913207.40816__1.40816	53442__A0A1E7RZK1__SAMN04515649_10365
ERR1913207.40905__1.40905	820__A0A3E4VXP2__yesR
ERR1913207.41058__1.41058	1262756__R5WQE4__BN568_01999
ERR1913207.41131__1.41131	820__A0A3E4VZY4__ERS852554_01211
ERR1913207.41284__1.41284	820__A0A174F0C1__nreB
ERR1913207.41313__1.41313	1099853__U5CA60__NSB1T_01535
ERR1913207.41368__1.41368	820__A0A174VD39__DXD90_12235
ERR1913207.41485__1.41485	1262700__R5XJU2__BN695_00943
ERR1913207.41509__1.41509	1262700__R5XK32__BN695_00091
ERR1913207.41691__1.41691	853__A8S882__C4N23_07600
ERR1913207.41821__1.41821	820__A0A139KG04__ERS852459_01249
ERR1913207.41885__1.41885	1262700__R5XUF1__BN695_00765
ERR1913207.41953__1.41953	28117__B0MXG8__ALIPUT_01814
ERR1913207.42317__1.42317	820__A0A3E4HWJ4__DXD40_05945
ERR1913207.42385__1.42385	1262824__R6RHT4__BN719_00008
ERR1913207.42680__1.42680	28117__B0MXU0__BHV66_07550
ERR1913207.42617__1.42617	328814__GCA_004558275.1_00139
ERR1913207.42840__1.42840	821__A0A3E4XY72__NCTC10583_01067
ERR1913207.43097__1.43097	818__A0A3E5HPU8__ERS852430_01891
ERR1913207.43257__1.43257	818__A0A3E5HWN5__BSIG_3066
ERR1913207.43266__1.43266	818__A0A0P0F004__SAMN02910322_02925
ERR1913207.43459__1.43459	328814__GCA_004558275.1_00291
ERR1913207.43488__1.43488	100884__E7GEL7__HMPREF9488_03159
ERR1913207.43531__1.43531	239935__A0A2N8HWQ2__CXU13_01775
ERR1913207.43542__1.43542	28117__B0MYI9__BHV66_05415
ERR1913207.43624__1.43624	47678__R5UBT0__CGC64_12195
ERR1913207.43681__1.43681	821__U6RDC2__DXD46_15675
ERR1913207.43696__1.43696	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913207.43853__1.43853	821__E5UY21__C800_02204
ERR1913207.44039__1.44039	818__A0A139K2A0__SAMN02910322_00898
ERR1913207.44133__1.44133	47678__R5U7X5__ERS852558_01354
ERR1913207.44150__1.44150	74426__rpoC
ERR1913207.44200__1.44200	357276__A0A0K2HDP3__IY41_00705
ERR1913207.44208__1.44208	820__A7VAS1__HMPREF2141_03259
ERR1913207.44260__1.44260	1262989__R6XV98__BN815_00688
ERR1913207.44624__1.44624	821__E5UMZ6__BVU_1450
ERR1913207.44726__1.44726	1547__H1AP73__DXB93_08690
ERR1913207.44793__1.44793	40518__R5E328__DXD86_08885
ERR1913207.44865__1.44865	47678__A5ZBL9__C5Z00_18710
ERR1913207.44867__1.44867	821__A0A3E4WAR6__DXD64_10735
ERR1913207.44935__1.44935	820__A7V8C2__ERS852554_01338
ERR1913207.45173__1.45173	818__A0A174Q773__SAMN02910322_03683
ERR1913207.45178__1.45178	820__A0A3E4PYB0__yejM
ERR1913207.45342__1.45342	28117__B0MXW9__ALIPUT_01981
ERR1913207.45459__1.45459	28117__B0MVL5__BHV66_01660
ERR1913207.45649__1.45649	357276__B6VYT9__HMPREF1063_05030
ERR1913207.45720__1.45720	821__A0A173XDD3__DXB82_17180
