ERR1912996.488__1.488	45851__D4RY81__BUTYVIB_00786
ERR1912996.11510__1.11510	165179__A0A3E5DY64__CFT61_10025
ERR1912996.12129__1.12129	40518__A0A2N0UK36__RBATCC27255_01376
ERR1912996.12537__1.12537	45851__R5LHP6__BUTYVIB_00994
ERR1912996.12800__1.12800	74426__sigA
ERR1912996.12915__1.12915	39496__A5Z8N9__EUBVEN_02081
ERR1912996.13103__1.13103	901__B6WUY7__DHV46_11425
ERR1912996.13198__1.13198	1680__A0A0B5BL52__ERS852382_00480
ERR1912996.13886__1.13886	28111__E5WTP7__NCTC11155_01925
ERR1912996.13872__1.13872	147206__GCF_000156215.1_01776
ERR1912996.13883__1.13883	1680__A0A0C2VBJ4__birA
ERR1912996.14150__1.14150	154288__A0A0X8G2R4__ERS852561_01260
ERR1912996.14279__1.14279	1262911__R6GY22__BN557_00023
ERR1912996.14632__1.14632	301302__R5VBF4__ERS852420_01650
ERR1912996.14696__1.14696	1680__A0A173Y6N7__yhaH
ERR1912996.14858__1.14858	301302__R5UL57__ERS852420_00622
ERR1912996.14881__1.14881	39485__A0A174YZZ2__ERS852492_00215
ERR1912996.15067__1.15067	292800__A0A174W622__ADH75_01915
ERR1912996.15073__1.15073	1262924__R7HL71__BN585_01341
ERR1912996.15129__1.15129	1262911__R6GPX9__BN557_00406
ERR1912996.15142__1.15142	301302__A0A173SUI7__M72_11091
ERR1912996.15340__1.15340	338188__K5CC46__BACFIN_04779
ERR1912996.15757__1.15757	1897011__A0A1Q6RH61__BHW41_01970
ERR1912996.15977__1.15977	301302__R5UQW7__ERS852420_02102
ERR1912996.16132__1.16132	45851__D4RYZ4__BHV86_03155
ERR1912996.16359__1.16359	45851__D4RWC8__BHV86_07020
ERR1912996.16747__1.16747	39485__A0A175A023__yhhT
ERR1912996.16866__1.16866	901__B6WUY7__DHV46_11425
ERR1912996.16880__1.16880	1628085__A0A374VS54__C7386_101156
ERR1912996.16899__1.16899	301302__R5UNJ6__M72_26701
ERR1912996.17234__1.17234	853__A0A2A7B9I6__DW855_13690
ERR1912996.17374__1.17374	301302__R5UI99__M72_25591
ERR1912996.17461__1.17461	1550024__A0A3B9WKW6__TQ39_07780
ERR1912996.17564__1.17564	1262936__R7IYJ1__BN799_00810
ERR1912996.17769__1.17769	1680__A0A2R4G1K8__BBMN23_0315
ERR1912996.17801__1.17801	1897011__A0A1Q6RBR9__BHW41_06830
ERR1912996.17921__1.17921	1680__A0A174BEE7__BSTER_1311
ERR1912996.18109__1.18109	901__B6WVN3__DHV46_02690
ERR1912996.18157__1.18157	454155__F3QYI2__HMPREF9442_03276
ERR1912996.18490__1.18490	1262936__R7J420__BN799_00406
ERR1912996.18522__1.18522	901__B6WUI5__DESPIGER_1817
ERR1912996.18591__1.18591	301302__R5UIY5__M72_17461
ERR1912996.18732__1.18732	39485__A0A174YTF7__ERS852490_01271
ERR1912996.19031__1.19031	1263006__R6LK25__BN515_01963
ERR1912996.19066__1.19066	901__B6WUL1__DESPIG_01755
ERR1912996.19201__1.19201	28052__A0A174HY73__ERS852451_01605
ERR1912996.19273__1.19273	74426__group_4823
ERR1912996.19563__1.19563	1262882__R5MIC9__BN519_00834
ERR1912996.19581__1.19581	1262911__R6H2J2__BN557_01228
ERR1912996.19657__1.19657	1262889__R7HBH6__BN634_02400
ERR1912996.19829__1.19829	1262911__R6H1D2__BN557_00855
ERR1912996.19971__1.19971	1262936__R7J358__BN799_01390
ERR1912996.20037__1.20037	360807__C0FVT5__RIL183_27241
ERR1912996.20082__1.20082	301302__R5ULM4__M72_25081
ERR1912996.20182__1.20182	1680__A0A374QDL4__LMG18897_0432
ERR1912996.20202__1.20202	2173__A5ULD0__BK798_05990
ERR1912996.20264__1.20264	301302__R5UQK8__M72_11501
ERR1912996.20435__1.20435	246787__A0A0P0GJP1__BcellWH2_03982
ERR1912996.20539__1.20539	165179__D1P9T6__PREVCOP_04016
ERR1912996.20700__1.20700	901__B6WRB3__DESPIGER_0300
ERR1912996.20861__1.20861	1628085__A0A2U1BGN2__C7386_10147
ERR1912996.20872__1.20872	2022527__A0A264Y5L2__CHL74_10875
ERR1912996.21015__1.21015	2022527__A0A264YAP7__CHL74_01035
ERR1912996.21805__1.21805	147206__GCF_000156215.1_01775
ERR1912996.21868__1.21868	40518__R5DT16__ysdC_2
ERR1912996.21930__1.21930	1680__A0A174BEE7__BSTER_1311
ERR1912996.22023__1.22023	1262936__R7J169__BN799_00083
ERR1912996.22110__1.22110	1262911__R6GVN8__BN557_01732
ERR1912996.22137__1.22137	1680__A0A174BEE7__BSTER_1311
ERR1912996.22188__1.22188	74426__rpoC
ERR1912996.22195__1.22195	1262882__R5MZ58__BN519_00525
ERR1912996.22974__1.22974	1897011__A0A1Q6RE78__BHW41_04770
ERR1912996.23074__1.23074	147206__GCF_000156215.1_01772
ERR1912996.23219__1.23219	901__A0A1K1LI09__BHW59_05710
ERR1912996.23362__1.23362	1262936__R7J6F9__BN799_00540
ERR1912996.23424__1.23424	1628085__A0A1C6CGB4__C7386_11411
ERR1912996.23502__1.23502	216816__B3DNW2__BL171B_07980
ERR1912996.23576__1.23576	1680__R5GRA4__ERS852382_01548
ERR1912996.23654__1.23654	1897011__A0A1Q6RC19__BHW41_06415
ERR1912996.23752__1.23752	61171__B9Y5T8__HOLDEFILI_01170
ERR1912996.23977__1.23977	1680__A1A132__B0703_0684
ERR1912996.24008__1.24008	45851__D4S283__BUTYVIB_02205
ERR1912996.24015__1.24015	1680__A0A2R4G1K8__BBMN23_0315
ERR1912996.24157__1.24157	1897011__A0A1Q6RH29__BHW41_01570
ERR1912996.24564__1.24564	28111__R5JN40__HMPREF1016_01803
ERR1912996.24588__1.24588	1262936__R7J1I3__BN799_01554
ERR1912996.24667__1.24667	39491__A0A396FEV5__EUR_24750
ERR1912996.24693__1.24693	572010__ppdK
ERR1912996.24731__1.24731	1262936__R7J0S3__BN799_01459
ERR1912996.24745__1.24745	1628085__A0A2U1B8P6__C7386_11432
ERR1912996.24789__1.24789	239935__A0A2N8HAQ1__DEF40_05290
ERR1912996.25018__1.25018	28052__A0A174M373__speA_2
ERR1912996.25192__1.25192	1897011__A0A1Q6RHB1__BHW41_01830
ERR1912996.25260__1.25260	1680__A0A087DHN0__AL0462_1532
ERR1912996.25496__1.25496	1263027__R6ZKH6__BN699_02129
ERR1912996.25770__1.25770	301302__R5UMU6__M72_26821
ERR1912996.25922__1.25922	239935__A0A2N8IRH4__CXT92_05605
ERR1912996.26389__1.26389	1689__D2Q5E8__HMPREF0168_0340
ERR1912996.26530__1.26530	1150298__A0A174HHW8__yhbU_1
ERR1912996.26612__1.26612	1263027__R7A314__BN699_00650
ERR1912996.26614__1.26614	901__B6WXI1__DESPIGER_1636
ERR1912996.26844__1.26844	1262911__R6GPC5__BN557_00852
ERR1912996.26870__1.26870	1262936__R7IYJ1__BN799_00810
ERR1912996.27057__1.27057	39496__A5ZAI8__EUBVEN_02735
ERR1912996.27114__1.27114	28052__A0A174GZE8__ERS852451_00311
ERR1912996.27231__1.27231	853__A0A3E2U7E6__ERS852582_01640
ERR1912996.27359__1.27359	1262882__R5MSX6__BN519_01697
ERR1912996.27638__1.27638	40518__R5DU38__DXD83_06770
ERR1912996.27663__1.27663	301302__A0A0M6WTB1__M72_11101
ERR1912996.28541__1.28541	1628085__A0A1C5ZCR8__C7386_10447
ERR1912996.28635__1.28635	572010__pnp
ERR1912996.28665__1.28665	39485__A0A174YMP3__ERS852490_01032
ERR1912996.28748__1.28748	1680__R5GRA4__ERS852382_01548
ERR1912996.29130__1.29130	28111__E5WVI9__BACEGG_03583
ERR1912996.29327__1.29327	1262959__R5YDI8__BN680_00380
ERR1912996.29575__1.29575	901__B6WV45__DESPIGER_1962
ERR1912996.29670__1.29670	216816__A0A087BBV6__BFS26_06210
ERR1912996.29767__1.29767	572010__pnp
ERR1912996.29752__1.29752	1262882__R5MZZ3__BN519_00482
ERR1912996.29791__1.29791	147206__GCF_000156215.1_01777
ERR1912996.29801__1.29801	2049043__A0A316N1W5__DBY37_00725
ERR1912996.29815__1.29815	1680__A0A173XYA2__B0703_0121
ERR1912996.29859__1.29859	901__A0A1K1LGQ2__DESPIG_02072
ERR1912996.30077__1.30077	1262936__R7IZ52__BN799_00980
ERR1912996.30722__1.30722	1262924__R7HQD9__BN585_00129
ERR1912996.31017__1.31017	1262936__R7J358__BN799_01390
ERR1912996.31304__1.31304	1680__A0A0C2YPV2__AL0462_1474
ERR1912996.31420__1.31420	165179__A0A174W369__PREVCOP_04548
ERR1912996.31435__1.31435	1680__A0A173XYA2__B0703_0121
ERR1912996.32008__1.32008	1897011__A0A1Q6RIF1__BHW41_00635
ERR1912996.32500__1.32500	1262741__R6CSK3__BN697_02205
ERR1912996.32699__1.32699	552398__F4XCQ4__HMPREF0866_01621
ERR1912996.32791__1.32791	1628085__A0A2U1B935__C7386_11439
ERR1912996.32897__1.32897	901__B6WUI5__DESPIGER_1817
ERR1912996.32980__1.32980	1550024__A0A0D8IWH3__ASJ35_08185
ERR1912996.33033__1.33033	1680__A0A087DHN0__AL0462_1532
ERR1912996.33425__1.33425	1680__R5GKP2__DXD60_06200
ERR1912996.33501__1.33501	40518__R5DW64__RBL236_01394
ERR1912996.33618__1.33618	74426__group_1871
ERR1912996.33721__1.33721	552398__F4XCQ4__HMPREF0866_01621
ERR1912996.33727__1.33727	853__A0A174C5M1__CGS58_04460
ERR1912996.33823__1.33823	39491__A0A396FM36__DXB99_00820
ERR1912996.33877__1.33877	1262959__R5XYF1__BN680_00647
ERR1912996.34202__1.34202	1262741__R6CSK3__BN697_02205
ERR1912996.34461__1.34461	74426__nifJ
ERR1912996.34500__1.34500	2022527__A0A264YCK3__CHL74_00095
ERR1912996.34526__1.34526	61171__B9Y5T8__HOLDEFILI_01170
ERR1912996.34770__1.34770	204516__U6R838__HMPREF1534_03867
ERR1912996.35042__1.35042	165179__A0A3E4SDC8__PREVCOP_05706
ERR1912996.35106__1.35106	147206__GCF_000156215.1_01777
ERR1912996.35328__1.35328	45851__D4RWC6__BHV86_07010
ERR1912996.35511__1.35511	239935__A0A139TPU7__CXT91_06575
ERR1912996.35514__1.35514	1263000__R5EKR4__BN466_01609
ERR1912996.35708__1.35708	301302__A0A173TWC1__phoR_7
ERR1912996.35858__1.35858	1680__A0A173XYA2__B0703_0121
ERR1912996.36055__1.36055	1897011__A0A1Q6RH97__BHW41_01945
ERR1912996.36130__1.36130	394340__fabF
ERR1912996.36249__1.36249	2022527__A0A264Y9H9__CHL74_04045
ERR1912996.36449__1.36449	2022527__A0A264Y8G4__CHL74_05770
ERR1912996.36607__1.36607	239935__A0A3F3K9J9__DEF40_00940
ERR1912996.36786__1.36786	147206__GCF_000156215.1_01776
ERR1912996.37052__1.37052	1680__A0A2R4G1K8__BBMN23_0315
ERR1912996.37146__1.37146	572010__ppdK
ERR1912996.37297__1.37297	301302__R5UIY5__M72_17461
ERR1912996.37507__1.37507	1262911__R6GTF7__BN557_01242
ERR1912996.37586__1.37586	1680__R5GKP2__DXD60_06200
ERR1912996.37830__1.37830	39485__A0A174YZE2__spoIIE
ERR1912996.37879__1.37879	39485__C4Z6B7__EUBELI_20364
ERR1912996.37949__1.37949	901__B6WR27__lnt
ERR1912996.38113__1.38113	1262911__R6H2J2__BN557_01228
ERR1912996.38534__1.38534	97253__N2A756__C823_05027
ERR1912996.38640__1.38640	1680__A0A076JNH5__DXC60_03835
ERR1912996.38674__1.38674	1897011__A0A1Q6RF44__BHW41_03065
ERR1912996.38829__1.38829	147206__GCF_000156215.1_01777
ERR1912996.38835__1.38835	28111__R5K5V1__NCTC11155_02461
ERR1912996.38876__1.38876	1680__A0A0B5BIU5__BSTER_0145
ERR1912996.39051__1.39051	1897011__A0A1Q6RIP3__BHW41_00615
ERR1912996.39109__1.39109	901__B6WXH2__DESPIGER_1643
ERR1912996.39926__1.39926	46503__R6Y9P8__evgS_3
ERR1912996.40010__1.40010	1660__S2ZAT6__hisC
ERR1912996.40462__1.40462	216816__A0A133LQN7__BL15B_00780
ERR1912996.40675__1.40675	74426__purL
ERR1912996.40681__1.40681	2022527__A0A264Y6R0__CHL74_08515
ERR1912996.40794__1.40794	166486__D4KX18__ROSINTL182_07596
ERR1912996.40894__1.40894	1263000__R5EXT3__BN466_02213
ERR1912996.41131__1.41131	328814__GCA_004558275.1_01621
ERR1912996.41215__1.41215	1550024__G9RVD5__ASJ35_04350
ERR1912996.41365__1.41365	1680__A0A1V8QAM8__BIFADO_02272
ERR1912996.41437__1.41437	165179__R6CNX7__DXB80_02200
ERR1912996.41487__1.41487	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1912996.41700__1.41700	1897011__A0A1Q6RH97__BHW41_01945
ERR1912996.41793__1.41793	45851__D4S2F3__BUTYVIB_02275
ERR1912996.41922__1.41922	1262936__R7IYJ1__BN799_00810
ERR1912996.41949__1.41949	301302__R5V631__ERS852420_03369
ERR1912996.42058__1.42058	1680__A0A087DHN0__AL0462_1532
ERR1912996.42069__1.42069	1262919__R5PRP3__BN465_00924
ERR1912996.42119__1.42119	239935__R6JWJ7__CXT94_02580
ERR1912996.42348__1.42348	33039__D4M325__ERS852390_01663
ERR1912996.42482__1.42482	40518__R5DWP7__ansA
ERR1912996.42620__1.42620	301302__A0A173SUI7__M72_11091
ERR1912996.42724__1.42724	706562__GCA_900112995.1_02502
ERR1912996.42726__1.42726	147206__GCF_000156215.1_01776
ERR1912996.42747__1.42747	39485__R5ZPP8__EUBELI_20334
ERR1912996.43028__1.43028	216816__D6D9A3__BLNIAS_01911
ERR1912996.43126__1.43126	74426__asnS
ERR1912996.43267__1.43267	1680__A0A087DHN0__AL0462_1532
ERR1912996.43915__1.43915	33039__D4M1J4__ERS852390_02215
ERR1912996.43857__1.43857	2022527__A0A264Y4S4__CHL74_12270
ERR1912996.43927__1.43927	901__B6WR17__DHV46_00835
ERR1912996.44211__1.44211	1897011__A0A1Q6RIC6__BHW41_01345
ERR1912996.44318__1.44318	853__A0A173TAZ8__DWZ46_14590
ERR1912996.44388__1.44388	33039__D4M1J4__ERS852390_02215
ERR1912996.44570__1.44570	1680__A0A0C2YPV2__AL0462_1474
ERR1912996.44658__1.44658	2173__A0A1D2WT96__BK798_08100
ERR1912996.44718__1.44718	165179__A0A3E5E2C8__folA
ERR1912996.44853__1.44853	1262911__R6GPX9__BN557_00406
ERR1912996.44962__1.44962	116085__D4JC58__DW747_00230
ERR1912996.45290__1.45290	45851__D4RZ82__BHV86_03550
ERR1912996.45567__1.45567	901__B6WRW6__DHV46_04315
ERR1912996.45582__1.45582	28052__R7NCQ8__ERS852499_02306
ERR1912996.45827__1.45827	88431__A0A3D0EXT6__ERS852423_01007
ERR1912996.45895__1.45895	901__B6WUN6__DHV46_11020
ERR1912996.46152__1.46152	301302__R5UMB3__M72_01421
ERR1912996.46274__1.46274	901__B6WR34__DHV46_00895
ERR1912996.46305__1.46305	45851__D4RYG8__BUTYVIB_00874
ERR1912996.46552__1.46552	40518__R5DY98__mepA_5
ERR1912996.46634__1.46634	1262936__R7IY33__BN799_00622
ERR1912996.46676__1.46676	45851__R5LRP4__BUTYVIB_00447
ERR1912996.46951__1.46951	1262882__R5N1R4__BN519_00788
ERR1912996.47320__1.47320	1550024__G9RVP3__TQ39_06315
ERR1912996.47501__1.47501	116085__D4JA02__DW747_02945
ERR1912996.47504__1.47504	821__A0A174JYD3__ERS852457_02610
ERR1912996.47580__1.47580	46503__K5ZAK9__NCTC13052_03308
ERR1912996.47609__1.47609	239935__A0A2N8HAQ1__DEF40_05290
ERR1912996.47691__1.47691	1262919__R5PC04__BN465_00249
ERR1912996.48005__1.48005	901__A0A1K1LGQ2__DESPIG_02072
ERR1912996.48165__1.48165	853__A0A173YYY4__DWZ04_09420
ERR1912996.48105__1.48105	1262992__R5CWT5__BN795_00747
ERR1912996.48615__1.48615	1262919__R5PRP3__BN465_00924
ERR1912996.48587__1.48587	2022527__A0A264YAP7__CHL74_01035
ERR1912996.48796__1.48796	471189__GCA_003340385.1_00679
ERR1912996.48901__1.48901	39485__A0A174YYW2__benM
ERR1912996.48981__1.48981	74426__gap
ERR1912996.49112__1.49112	1262936__R7J146__BN799_01697
ERR1912996.49134__1.49134	2022527__A0A264Y9Y7__CHL74_02905
ERR1912996.49384__1.49384	853__A0A3E2V168__FAEPRAM212_00929
ERR1912996.49332__1.49332	39485__A0A174Z8V5__fliU_2
ERR1912996.49420__1.49420	1262936__R7J3N4__BN799_00434
ERR1912996.49494__1.49494	745368__A0A1T4X705__SAMN02745178_01472
ERR1912996.49657__1.49657	45851__D4RZF5__BUTYVIB_01221
ERR1912996.49774__1.49774	901__B6WYD7__DESPIG_03118
ERR1912996.49792__1.49792	1262936__R7IZQ9__BN799_01228
ERR1912996.49859__1.49859	216816__A0A3D8U0T6__BN57_1990
ERR1912996.49937__1.49937	1680__A0A087DHN0__AL0462_1532
ERR1912996.49995__1.49995	2173__A0A1D2WU48__Msm_1454
ERR1912996.50005__1.50005	901__B6WQT6__DESPIG_00415
ERR1912996.50494__1.50494	901__B6WY50__DESPIGER_1446
ERR1912996.50573__1.50573	1263006__R6LZM6__BN515_01762
ERR1912996.50781__1.50781	853__A0A173RZ39__C4N22_01650
ERR1912996.50933__1.50933	40518__R5DVR2__RBL236_00303
ERR1912996.50997__1.50997	821__A0A0P0L8F8__ERS852509_03705
ERR1912996.51292__1.51292	357276__I9F327__DXD47_22495
ERR1912996.51325__1.51325	39485__R6AET9__EUBELI_01205
ERR1912996.51460__1.51460	853__A0A173SUU8__CGS54_06840
ERR1912996.51693__1.51693	1262919__R5PQZ5__BN465_00701
ERR1912996.51798__1.51798	1263027__R6ZDX1__BN699_02052
ERR1912996.51865__1.51865	39486__G1WX25__DXD84_13390
ERR1912996.51881__1.51881	40518__R5DUG7__sbcC
ERR1912996.51836__1.51836	1232426__group_1915
ERR1912996.51924__1.51924	1262919__R5P6R9__BN465_01120
ERR1912996.51887__1.51887	1263027__R6ZI16__BN699_01371
ERR1912996.52034__1.52034	74426__purL
ERR1912996.52333__1.52333	1263027__R6ZL17__BN699_01298
ERR1912996.52339__1.52339	1262936__R7J1R1__BN799_00897
ERR1912996.53341__1.53341	1680__A0A374QDL4__LMG18897_0432
ERR1912996.53430__1.53430	2022527__A0A264Y8D3__CHL74_06055
ERR1912996.54271__1.54271	116085__D4JC38__DW747_00355
ERR1912996.54308__1.54308	1897011__A0A1Q6RGB6__BHW41_02790
ERR1912996.54371__1.54371	39485__R5ZRT8__gmr_6
ERR1912996.54534__1.54534	901__B6WS58__glk
ERR1912996.54507__1.54507	2022527__A0A264YAK6__CHL74_02645
ERR1912996.54771__1.54771	1262936__R7J0S3__BN799_01459
ERR1912996.55055__1.55055	901__B6WTG1__glpB
ERR1912996.55278__1.55278	165179__A0A174MTF2__DXC61_13200
ERR1912996.55592__1.55592	1262936__R7J2L3__BN799_01877
ERR1912996.55997__1.55997	1262936__R7J169__BN799_00083
ERR1912996.56434__1.56434	1262882__R5MRS7__BN519_01490
ERR1912996.56495__1.56495	1263000__R5EKG2__BN466_02040
ERR1912996.56549__1.56549	301302__A0A0M6WV88__dhaS_2
ERR1912996.56570__1.56570	1262936__R7J420__BN799_00406
ERR1912996.57106__1.57106	74426__infB
ERR1912996.57293__1.57293	301302__A0A0M6WYM9__ERS852420_02669
ERR1912996.57439__1.57439	1680__A1A0V3__C8077_03025
ERR1912996.57397__1.57397	40518__A0A373KL92__RBATCC27255_01378
ERR1912996.57403__1.57403	901__B6WPS9__DHV46_04165
ERR1912996.57452__1.57452	45851__D4RYI3__BHV86_01630
ERR1912996.57453__1.57453	820__A0A174VD39__DXD90_12235
ERR1912996.57475__1.57475	1656__F2UYI5__HMPREF0059_01140
ERR1912996.57665__1.57665	1520815__A0A1I3PQ86__SAMN02910435_01613
ERR1912996.57790__1.57790	1550024__A0A0W7TR84__TQ39_05305
ERR1912996.57838__1.57838	1263011__R6EMV8__BN553_01996
ERR1912996.57903__1.57903	216816__B7GQF0__CE170_00160
ERR1912996.57965__1.57965	1262959__R5Y0V4__BN680_01500
ERR1912996.57969__1.57969	116085__D4J6L8__DW747_08035
ERR1912996.58084__1.58084	853__D4JY61__C4N21_10560
ERR1912996.58432__1.58432	39491__A0A395ZL98__DXB99_00620
ERR1912996.58461__1.58461	901__B6WUL1__DESPIG_01755
ERR1912996.58591__1.58591	40518__R5DR72__RBL236_02110
ERR1912996.58620__1.58620	1680__A1A132__B0703_0684
ERR1912996.58764__1.58764	28052__A0A174N8X0__ERS852499_02136
ERR1912996.58731__1.58731	165179__D1PCT4__DXB80_09470
ERR1912996.58797__1.58797	147206__GCF_000156215.1_01774
ERR1912996.58864__1.58864	147206__GCF_000156215.1_01775
ERR1912996.59038__1.59038	901__A0A1K1LG50__DESPIG_01817
ERR1912996.59068__1.59068	1897011__A0A1Q6RG85__BHW41_02670
ERR1912996.59389__1.59389	1680__A0A076JNH5__DXC60_03835
ERR1912996.59529__1.59529	1263006__R6LU28__BN515_01365
ERR1912996.59552__1.59552	1897011__A0A1Q6RH37__BHW41_01795
ERR1912996.59609__1.59609	165179__A0A3E5E5M2__PREVCOP_03530
ERR1912996.59610__1.59610	28052__A0A174M9U3__ERS852451_02548
ERR1912996.59719__1.59719	40518__R5E4V5__RBL263_01242
ERR1912996.59728__1.59728	1262936__R7J281__BN799_01079
ERR1912996.60081__1.60081	301302__R5UQ67__M72_23121
ERR1912996.60126__1.60126	2022527__A0A264Y4S4__CHL74_12270
ERR1912996.60267__1.60267	901__B6WUN6__DHV46_11020
ERR1912996.60258__1.60258	39491__A0A396FUZ3__phoR_1
ERR1912996.60755__1.60755	301302__R5UMB9__M72_25011
ERR1912996.60822__1.60822	901__B6WR34__DHV46_00895
ERR1912996.61349__1.61349	216816__B3DNW2__BL171B_07980
ERR1912996.61688__1.61688	1262959__R5Y157__BN680_01625
ERR1912996.62342__1.62342	39488__A0A173SSM6__EUBHAL_01799
ERR1912996.62371__1.62371	823__A0A173W404__DHP27_04905
