ERR1913161.22__1.22	1550024__A0A0D8J179__ASJ35_09245
ERR1913161.18513__1.18513	328814__GCA_004558275.1_00079
ERR1913161.18643__1.18643	1262882__R5MIW5__BN519_00945
ERR1913161.18929__1.18929	40518__R5E6K5__speA
ERR1913161.18948__1.18948	1124654__GeneID:3952984
ERR1913161.18979__1.18979	328814__GCA_004558275.1_02030
ERR1913161.19039__1.19039	357276__B6VW91__BACDOR_01584
ERR1913161.19022__1.19022	1262882__R5MYP8__BN519_00439
ERR1913161.19178__1.19178	239935__A0A2N8IU45__DEF40_02365
ERR1913161.19848__1.19848	1262869__R7CU80__BN625_00417
ERR1913161.19922__1.19922	357276__D1K3K9__EL88_23995
ERR1913161.20408__1.20408	1263005__R6EQI9__BN497_00072
ERR1913161.20507__1.20507	239935__A0A2N8ITX2__CXT86_11265
ERR1913161.20562__1.20562	410072__A0A174QU55__luxQ
ERR1913161.20606__1.20606	2173__A0A1D2WT64__METSMIALI_01143
ERR1913161.20637__1.20637	1262924__R7HRJ9__BN585_00557
ERR1913161.20642__1.20642	1262882__R5MMD8__BN519_01576
ERR1913161.20790__1.20790	1550024__A0A3B9WDR6__TQ39_19225
ERR1913161.20806__1.20806	1965604__A0A1Y4EPW2__B5F54_10640
ERR1913161.20917__1.20917	103807__GeneID:929674
ERR1913161.21005__1.21005	1297617__A0A2U1CF61__BIV19_14170
ERR1913161.21061__1.21061	1780376__A0A143XQT4__BN3659_01658
ERR1913161.21406__1.21406	1683__C4FG38__Bang102_008165
ERR1913161.21631__1.21631	239935__A0A139TPD4__CXT86_06450
ERR1913161.21678__1.21678	301301__A0A395V7C8__RHOM_02390
ERR1913161.21729__1.21729	239935__A0A139TQT9__Amuc_1197
ERR1913161.22026__1.22026	1262986__R6APA7__BN492_01206
ERR1913161.22101__1.22101	239935__A0A2N8J2P6__ADH72_06730
ERR1913161.22086__1.22086	1550024__G9RTA6__TQ39_10970
ERR1913161.22117__1.22117	214856__I3YPQ3__Alfi_2711
ERR1913161.22290__1.22290	239935__A0A2N8IV82__CXT99_06735
ERR1913161.22251__1.22251	1262869__R7CTK3__BN625_00198
ERR1913161.22268__1.22268	1262911__R6H2J2__BN557_01228
ERR1913161.22225__1.22225	2173__A0A1D2WSL0__METSMIF1_03725
ERR1913161.22641__1.22641	239935__A0A2N8IVK9__CXU08_03750
ERR1913161.22765__1.22765	28117__B0MYI9__BHV66_05415
ERR1913161.23085__1.23085	1262869__R7CTU1__BN625_00702
ERR1913161.23086__1.23086	544645__A0A1Y3VLY1__DXC42_17440
ERR1913161.23188__1.23188	239935__A0A2N8IG27__CXT85_07805
ERR1913161.23365__1.23365	823__A6LBY1__ERS852380_00510
ERR1913161.23370__1.23370	28117__B0MTD2__ALIPUT_00428
ERR1913161.23494__1.23494	1703337__A0A2U0U7Q7__C7379_11089
ERR1913161.23650__1.23650	1235835__R9LCU2__C814_02677
ERR1913161.23668__1.23668	1550024__A0A0D8J0M2__TQ39_06330
ERR1913161.23709__1.23709	239935__A0A2N8IMC9__CXU09_02095
ERR1913161.23774__1.23774	1683__C4FCW5__BIFANG_02141
ERR1913161.23864__1.23864	1550024__A0A0W7TSP5__ASJ35_06140
ERR1913161.23911__1.23911	147206__GCF_000156215.1_02055
ERR1913161.24212__1.24212	1262882__R5MYX5__BN519_00333
ERR1913161.24251__1.24251	1262992__R5CXL9__BN795_01014
ERR1913161.24253__1.24253	1550024__A0A3B9WJJ2__TQ39_18110
ERR1913161.24367__1.24367	61171__B9Y5T9__HOLDEFILI_01171
ERR1913161.24452__1.24452	1262882__A0A356PSJ4__BN519_01180
ERR1913161.24498__1.24498	626930__F3PVE3__HMPREF9446_02721
ERR1913161.24572__1.24572	328814__GCA_004558275.1_00293
ERR1913161.24665__1.24665	823__A0A395YRW4__DD466_15895
ERR1913161.24704__1.24704	1262882__R5MKV8__BN519_01281
ERR1913161.24968__1.24968	239935__A0A139TVH7__CXU22_00215
ERR1913161.25098__1.25098	214856__A0A174G9T6__ERS852447_02535
ERR1913161.25482__1.25482	1262882__R5MIW5__BN519_00945
ERR1913161.25548__1.25548	239935__A0A3F3K9J9__DEF40_00940
ERR1913161.25643__1.25643	1550024__A0A0D8IY45__ASJ35_05575
ERR1913161.25839__1.25839	410072__A0A3E4GPS4__tagA
ERR1913161.26002__1.26002	214856__R6XUN2__rcsC_1
ERR1913161.26285__1.26285	818__A0A3E5HHE1__Btheta7330_00796
ERR1913161.26314__1.26314	1262869__R7CQK4__BN625_01693
ERR1913161.26955__1.26955	239935__A0A139TPD4__CXT86_06450
ERR1913161.26988__1.26988	239935__A0A2N8HT18__CXT93_06135
ERR1913161.27215__1.27215	823__A0A173TL14__M095_0764
ERR1913161.27724__1.27724	214856__I3YPP9__Alfi_2707
ERR1913161.27743__1.27743	1099853__U5CJQ4__NSB1T_11640
ERR1913161.27830__1.27830	357276__I9R4T1__IY41_06800
ERR1913161.28121__1.28121	1262882__A0A356PSJ4__BN519_01180
ERR1913161.28183__1.28183	214856__A0A173Z1B0__ERS852447_00765
ERR1913161.28260__1.28260	821__E5UY21__C800_02204
ERR1913161.28274__1.28274	239935__A0A139TPD8__CXU12_11015
ERR1913161.29249__1.29249	239935__A0A139TT05__CXU09_03335
ERR1913161.29407__1.29407	1262882__R5N3T7__BN519_01188
ERR1913161.29513__1.29513	47678__A5ZLX1__C5Z00_04825
ERR1913161.29560__1.29560	239935__A0A2N8IMC3__CXT96_03840
ERR1913161.29638__1.29638	1683__C4FGG6__Bang102_000315
ERR1913161.29852__1.29852	1550024__G9RZG0__ASJ35_05540
ERR1913161.29965__1.29965	853__A0A2A7B1Y7__C7K05_11930
ERR1913161.30075__1.30075	1235835__R9LCU2__C814_02677
ERR1913161.30227__1.30227	29361__B6FRT6__CLONEX_02860
ERR1913161.30236__1.30236	1124654__GeneID:3952984
ERR1913161.30254__1.30254	239935__A0A2N8HUU6__CXT90_06150
ERR1913161.30701__1.30701	239935__A0A139TPG3__CXT86_08810
ERR1913161.30769__1.30769	371601__G1UK36__HMPREF1074_03496
ERR1913161.30812__1.30812	47678__A5ZF31__DXB67_11050
ERR1913161.30890__1.30890	1235835__R9LCU2__C814_02677
ERR1913161.31000__1.31000	28117__B0MXR4__BHV66_08025
ERR1913161.31041__1.31041	239935__A0A2N8IMC3__CXT96_03840
ERR1913161.31057__1.31057	357276__D1K3K9__EL88_23995
ERR1913161.31073__1.31073	410072__C0B8D2__DXD67_01675
ERR1913161.31396__1.31396	487175__R5E441__HMPREF9439_02785
ERR1913161.31443__1.31443	1263044__GCA_000433375.1_00023
ERR1913161.31614__1.31614	47678__A0A174TQR6__CGC64_14735
ERR1913161.31584__1.31584	1262882__R5MHQ8__BN519_00707
ERR1913161.31653__1.31653	1780376__A0A143XSC4__BN3659_01663
ERR1913161.31931__1.31931	371601__A0A1C7H1Z9__BN890_35950
ERR1913161.31955__1.31955	33043__A0A173SS22__yceG
ERR1913161.33068__1.33068	1147152__GeneID:14181982
ERR1913161.33269__1.33269	1124654__GeneID:3952987
ERR1913161.33612__1.33612	28118__R6FJE6__NCTC10826_00111
ERR1913161.33873__1.33873	458033__GCA_001482755.1_02203
ERR1913161.33966__1.33966	357276__C3RA36__HMPREF1065_03270
ERR1913161.34213__1.34213	820__A0A174GK47__ERS852421_00200
ERR1913161.34275__1.34275	1262869__R7CS43__BN625_00206
ERR1913161.34536__1.34536	1262869__R7CSQ8__BN625_00058
ERR1913161.34693__1.34693	214856__I3YPQ4__Alfi_2712
ERR1913161.34926__1.34926	328814__GCA_004558275.1_00051
ERR1913161.34994__1.34994	1262882__R5N5H2__BN519_01493
ERR1913161.35108__1.35108	610243__A0A060QJF7__ASAP_2763
ERR1913161.35132__1.35132	328814__GCA_004558275.1_00391
ERR1913161.35224__1.35224	239935__A0A139TMY7__CXU13_02020
ERR1913161.35281__1.35281	1262869__R7CML6__BN625_01178
ERR1913161.35488__1.35488	239935__B2UPZ6__CXU03_03800
ERR1913161.35579__1.35579	1160721__R6SUP4__vanY3
ERR1913161.35636__1.35636	239935__A0A2N8I3G2__CXT89_00720
ERR1913161.35783__1.35783	239935__A0A2N8ITG2__Amuc_0335
ERR1913161.35904__1.35904	239935__A0A2N8IVK9__CXU08_03750
ERR1913161.35927__1.35927	189722__E0NQU7__HMPREF0658_0548
ERR1913161.35868__1.35868	1262882__R5MEN9__BN519_00201
ERR1913161.36199__1.36199	28117__B0MWX3__BHV66_03010
ERR1913161.36264__1.36264	626933__H1DGX0__HMPREF9449_01506
ERR1913161.36308__1.36308	328814__GCA_004558275.1_00056
ERR1913161.36521__1.36521	239935__A0A2N8HUU6__CXT90_06150
ERR1913161.36641__1.36641	46503__R6Y2Y6__ERS852463_03103
ERR1913161.36604__1.36604	301301__A0A395VDQ5__RHOM_08975
ERR1913161.36717__1.36717	357276__D1K3K9__EL88_23995
ERR1913161.36744__1.36744	823__A0A078SYK6__DXB14_02485
ERR1913161.36774__1.36774	1262869__R7CRJ0__BN625_01726
ERR1913161.36903__1.36903	1550024__G9RT86__ASJ35_16935
ERR1913161.36942__1.36942	28117__R7JIJ8__BHV66_01635
ERR1913161.37126__1.37126	1262869__R7CL97__BN625_00982
ERR1913161.37071__1.37071	239935__A0A2N8IIB9__CXU04_01970
ERR1913161.37186__1.37186	1262869__R7CLS0__BN625_01160
ERR1913161.37201__1.37201	1235835__R9LCU2__C814_02677
ERR1913161.37392__1.37392	1262869__R7CUJ0__BN625_00053
ERR1913161.37491__1.37491	29466__A0A100YNN3__HMPREF9323_1889
ERR1913161.37906__1.37906	46503__R6WWH2__DXB85_00365
ERR1913161.38179__1.38179	1262882__R5MGK3__BN519_00655
ERR1913161.38231__1.38231	1262882__R5MFY4__BN519_00529
ERR1913161.38245__1.38245	214856__A0A175A1E6__ERS852447_01907
ERR1913161.39351__1.39351	239935__R6JD78__CXU05_09250
ERR1913161.39364__1.39364	239935__A0A2N8IEP3__CXT84_03735
ERR1913161.39421__1.39421	454154__G5SVM9__HMPREF9441_03446
ERR1913161.39427__1.39427	387090__S0F7Y3__BACCOPRO_02028
ERR1913161.39619__1.39619	820__A0A3E4RU03__M093_0563
ERR1913161.39688__1.39688	239935__A0A2N8HT44__CXT84_11035
ERR1913161.39856__1.39856	239935__A0A2N8I1R3__CXU05_06075
ERR1913161.39963__1.39963	853__A0A173XRA8__CGS56_09290
ERR1913161.39974__1.39974	2173__A0A1D2WWQ7__METSMIF1_03169
ERR1913161.40438__1.40438	410072__A0A3E4GPD6__DXD67_10205
ERR1913161.40457__1.40457	1262882__R5MGX3__BN519_00046
ERR1913161.40458__1.40458	47678__R5UUB1__DXB67_02860
ERR1913161.40483__1.40483	328814__GCA_004558275.1_00239
ERR1913161.40548__1.40548	1262882__R5MZ58__BN519_00525
ERR1913161.40586__1.40586	47678__R5U3A7__ERS852494_02965
ERR1913161.40918__1.40918	1262882__R5MND9__BN519_00831
ERR1913161.41077__1.41077	214856__R6Z4Q8__ERS852447_00885
ERR1913161.41112__1.41112	39488__C0EVS1__ERS852450_02297
ERR1913161.41286__1.41286	214856__R6Z288__ERS852447_00734
ERR1913161.41396__1.41396	1262869__R7CTL8__BN625_00218
ERR1913161.41721__1.41721	818__A0A0P0EVZ1__SAMN02910322_03499
ERR1913161.41798__1.41798	39492__D4JT87__clpC
ERR1913161.41893__1.41893	487175__R5E3X8__HMPREF9439_02794
ERR1913161.42007__1.42007	28026__A0A267WNN6__menA
ERR1913161.42134__1.42134	1262882__R5MEW7__BN519_00010
ERR1913161.42202__1.42202	239935__A0A139TQT9__Amuc_1197
ERR1913161.42366__1.42366	821__D4VD59__BHV80_04260
ERR1913161.42401__1.42401	1262992__R5CXL9__BN795_01014
ERR1913161.42422__1.42422	239935__A0A139TPG3__CXT86_08810
ERR1913161.43080__1.43080	239935__A0A2N8IMC9__CXU09_02095
ERR1913161.43086__1.43086	328814__GCA_004558275.1_01741
ERR1913161.43311__1.43311	214856__I3YPN0__ERS852447_01398
ERR1913161.43336__1.43336	301301__A0A395VEZ0__mcp4_1
ERR1913161.43849__1.43849	1262882__R5MEN2__BN519_00200
ERR1913161.43865__1.43865	818__Q8A3A6__Btheta7330_00071
ERR1913161.43917__1.43917	1262882__R5MHZ2__BN519_00742
ERR1913161.44082__1.44082	228229__M5J7F1__D271_00618
ERR1913161.44183__1.44183	187327__G4Q3H7__Acin_1761
ERR1913161.44252__1.44252	28117__R7JPX7__BHV66_00900
ERR1913161.44327__1.44327	1262869__R7CTX9__BN625_00495
ERR1913161.44642__1.44642	357276__A0A076IN21__BSEG_03078
ERR1913161.44834__1.44834	301301__A0A395V948__rsgA_2
ERR1913161.44948__1.44948	1262938__R5FBS3__BN812_01973
ERR1913161.44949__1.44949	1262869__R7CRV8__BN625_00418
ERR1913161.45092__1.45092	28052__A0A174YX76__mcp4_5
ERR1913161.45136__1.45136	1262869__R7CLN4__BN625_00089
ERR1913161.45234__1.45234	40518__R5DU52__RB5AMG_02245
ERR1913161.45332__1.45332	357276__I8VN30__HMPREF1065_03051
ERR1913161.45382__1.45382	357276__I9QBT7__BSEG_03340
ERR1913161.45698__1.45698	239935__A0A139TPU7__CXT91_06575
ERR1913161.45719__1.45719	471189__GCA_003340385.1_00088
ERR1913161.45927__1.45927	410072__C0B830__ERS852525_01946
ERR1913161.46064__1.46064	1550024__G9RZN9__ASJ35_05735
ERR1913161.46067__1.46067	1550024__A0A3B9WKW6__TQ39_07780
ERR1913161.46112__1.46112	214856__I3YMC8__ERS852447_02666
ERR1913161.46194__1.46194	239935__A0A2N8HT44__CXT84_11035
ERR1913161.46282__1.46282	239935__R6JD78__CXU05_09250
ERR1913161.46332__1.46332	544645__A0A3E4T3I1__DXC42_11810
ERR1913161.46472__1.46472	1262743__R5C054__BN727_01980
ERR1913161.46928__1.46928	239935__A0A2N8HT44__CXT84_11035
ERR1913161.47029__1.47029	239935__A0A139TT05__CXU09_03335
ERR1913161.47077__1.47077	1263000__R5EKG2__BN466_02040
ERR1913161.47081__1.47081	357276__I9R2M6__BSEG_03499
ERR1913161.47759__1.47759	214856__A0A174G9T6__ERS852447_02535
ERR1913161.47826__1.47826	239935__A0A2N8HPS5__Amuc_0950
ERR1913161.47910__1.47910	2173__A0A1D2WVA1__Msm_0411
ERR1913161.47988__1.47988	328814__GCA_004558275.1_02028
ERR1913161.48127__1.48127	1262882__R5MPY4__BN519_01128
ERR1913161.48256__1.48256	458033__GCA_001482755.1_02203
ERR1913161.48324__1.48324	40518__R5DNY7__RBATCC27255_00367
ERR1913161.48358__1.48358	46503__A7AKE6__DCY29_01960
ERR1913161.48486__1.48486	1262869__R7CNL6__BN625_01290
ERR1913161.48676__1.48676	1262882__R5N3T7__BN519_01188
ERR1913161.48798__1.48798	1262882__R5MM90__BN519_01721
ERR1913161.49307__1.49307	1262948__R7E6E7__BN671_00098
ERR1913161.49323__1.49323	214856__R6Z288__ERS852447_00734
ERR1913161.49431__1.49431	239935__A0A139TQT9__Amuc_1197
ERR1913161.49522__1.49522	239935__A0A2N8I8X8__B5G29_00185
ERR1913161.49543__1.49543	1262882__R5MHZ2__BN519_00742
ERR1913161.49536__1.49536	1262882__R5MPY4__BN519_01128
ERR1913161.49595__1.49595	1262803__R6NL95__BN649_00814
ERR1913161.49769__1.49769	387090__S0F541__BACCOPRO_00727
ERR1913161.49811__1.49811	328814__GCA_004558275.1_02023
ERR1913161.49781__1.49781	1262924__R7HQ14__BN585_00419
ERR1913161.49856__1.49856	357276__D1JZM4__HMPREF1065_01278
ERR1913161.49939__1.49939	1262882__R5MEN9__BN519_00201
ERR1913161.50013__1.50013	39485__A0A174YMC1__recN
ERR1913161.50041__1.50041	1262882__R5N3T7__BN519_01188
ERR1913161.50071__1.50071	1897011__A0A1Q6RC34__BHW41_06455
ERR1913161.50222__1.50222	823__A0A355XKQ8__DHP27_04010
ERR1913161.50397__1.50397	1263005__R6EPW2__BN497_01384
ERR1913161.50572__1.50572	28117__B0MY36__BHV66_05185
ERR1913161.50679__1.50679	239935__A0A2N8I5A2__DEF40_08455
ERR1913161.50837__1.50837	1796613__A0A1C7H300__A4V03_17350
ERR1913161.50991__1.50991	1550024__G9RP65__ASJ35_11645
ERR1913161.51136__1.51136	28117__B0N028__BHV66_05935
ERR1913161.51178__1.51178	301301__A0A395VA63__sbcC
ERR1913161.51312__1.51312	1550024__G9RPC6__TQ39_05630
ERR1913161.51355__1.51355	328814__GCA_004558275.1_00391
ERR1913161.51377__1.51377	410072__C0BBR9__yqeC
ERR1913161.51498__1.51498	1550024__A0A0D8J296__ASJ35_12655
ERR1913161.51790__1.51790	239935__R6JWJ7__CXT94_02580
ERR1913161.52088__1.52088	239935__R6IZT7__CXU18_11710
ERR1913161.52268__1.52268	1235835__R9LCU2__C814_02677
ERR1913161.52348__1.52348	61171__B9Y5T8__HOLDEFILI_01170
ERR1913161.52408__1.52408	487175__D9Y8L9__HMPREF9439_01212
ERR1913161.52444__1.52444	216816__D6DCL7__BFS26_02835
ERR1913161.52491__1.52491	821__R7P1Q7__M099_2990
ERR1913161.52701__1.52701	818__A0A0P0F4D0__BT_2503
ERR1913161.52750__1.52750	239935__A0A2N8IF99__lpdA
ERR1913161.53042__1.53042	1550024__A0A3B9WI04__ASJ35_06105
ERR1913161.53390__1.53390	1262785__R6LW91__BN565_02430
ERR1913161.53414__1.53414	1262882__R5N1L4__BN519_00757
ERR1913161.53470__1.53470	1262869__R7CQA4__BN625_01547
ERR1913161.53634__1.53634	46503__R6WYJ8__DXB85_13825
ERR1913161.53718__1.53718	239935__A0A139TVJ4__CXT86_02020
ERR1913161.53994__1.53994	1262882__R5MHQ8__BN519_00707
ERR1913161.54079__1.54079	1550024__A0A0D8J3J4__TQ39_01275
ERR1913161.54244__1.54244	1262869__R7CTK7__BN625_00203
ERR1913161.54284__1.54284	239935__A0A2N8I3G2__CXT89_00720
ERR1913161.54303__1.54303	1262869__R7CR66__BN625_01456
ERR1913161.54384__1.54384	301301__A0A395VFD3__ERS852391_02492
ERR1913161.54444__1.54444	410072__A0A3E4GMB7__COPCOM_03357
ERR1913161.54659__1.54659	1262869__R7CVG2__BN625_00790
ERR1913161.54716__1.54716	1550024__A0A3B9WFD4__ASJ35_04875
ERR1913161.54805__1.54805	544644__GCA_001915615.1_00956
ERR1913161.54905__1.54905	1263006__R6MLU5__BN515_01014
ERR1913161.54938__1.54938	823__A0A355XKQ8__DHP27_04010
ERR1913161.54973__1.54973	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913161.55019__1.55019	39488__A0A173SXL5__DXD91_06505
ERR1913161.55089__1.55089	239935__A0A2N8ILG3__CXT93_10135
ERR1913161.55182__1.55182	1297617__A0A0S2W3V6__C7373_102343
ERR1913161.55308__1.55308	239935__A0A2N8ITX2__CXT86_11265
ERR1913161.55322__1.55322	239935__A0A2N8IRW0__A4V05_11620
ERR1913161.55465__1.55465	1262882__R5MM90__BN519_01721
ERR1913161.55504__1.55504	1262882__R5MKW1__BN519_00390
ERR1913161.56070__1.56070	28117__B0MTW8__ALIPUT_00502
ERR1913161.56129__1.56129	544645__A0A1Y3W0T0__DXC42_17695
