ERR1913209.41__1.41	39492__D4JTU4__ykfG
ERR1913209.15197__1.15197	39492__D4JVG7__ERS852540_00946
ERR1913209.15250__1.15250	853__A0A174BA00__DW905_01145
ERR1913209.15308__1.15308	853__A0A2A7B1Y7__C7K05_11930
ERR1913209.15357__1.15357	46228__V8C6B2__DXD17_09805
ERR1913209.15699__1.15699	10678__GeneID:2777485
ERR1913209.15824__1.15824	39491__A0A395ZG96__DXB69_15120
ERR1913209.15857__1.15857	1262918__R5CBG7__BN458_01203
ERR1913209.15949__1.15949	40518__R5DYU1__DXD86_01160
ERR1913209.16097__1.16097	1262882__R5N4P6__BN519_01346
ERR1913209.16107__1.16107	1262882__R5MXW0__BN519_00317
ERR1913209.16221__1.16221	1262992__R5D546__BN795_00726
ERR1913209.16342__1.16342	1262744__R6FQ74__BN744_02358
ERR1913209.16444__1.16444	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913209.16725__1.16725	39492__R6SPM9__pheT
ERR1913209.16812__1.16812	1263006__R6LLF3__BN515_00392
ERR1913209.17080__1.17080	10678__GeneID:2777483
ERR1913209.17085__1.17085	46228__V8BLY3__RUMLAC_01802
ERR1913209.17302__1.17302	46228__V8CGG7__RUMLAC_01115
ERR1913209.17342__1.17342	1262921__R5LMK9__BN473_01331
ERR1913209.17363__1.17363	818__A0A174TT69__SAMN02910322_02680
ERR1913209.17380__1.17380	1099853__G9S6Y8__NSB1T_06345
ERR1913209.17454__1.17454	39492__D4JQM9__EUBSIR_00669
ERR1913209.17626__1.17626	1262744__R6FBT4__BN744_00882
ERR1913209.17690__1.17690	10678__GeneID:2777477
ERR1913209.17751__1.17751	853__A0A2A7B1Y7__C7K05_11930
ERR1913209.17803__1.17803	394340__group_3173
ERR1913209.17836__1.17836	820__A0A174F0C1__nreB
ERR1913209.17862__1.17862	301302__A0A0M6WIX9__ERS852420_01972
ERR1913209.17867__1.17867	189722__E0NQU7__HMPREF0658_0548
ERR1913209.17872__1.17872	28026__C0BQA9__BBPC_0402
ERR1913209.17882__1.17882	239935__A0A139TPD8__CXU12_11015
ERR1913209.18105__1.18105	821__C6ZAA5__ERS852556_00403
ERR1913209.18178__1.18178	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913209.18330__1.18330	10678__GeneID:2777483
ERR1913209.18306__1.18306	28026__A0A396BDZ7__DXC83_06050
ERR1913209.18418__1.18418	39492__D4JRM4__tap_5
ERR1913209.18998__1.18998	39492__D4JSG7__EUBSIR_01006
ERR1913209.19094__1.19094	39492__D4JU56__hemZ
ERR1913209.19150__1.19150	10678__GeneID:2777484
ERR1913209.19301__1.19301	1147152__GeneID:14181998
ERR1913209.19260__1.19260	853__A0A173T751__C4N24_10280
ERR1913209.19267__1.19267	384638__B7APR0__BACPEC_00666
ERR1913209.19553__1.19553	454154__G5ST93__HMPREF9441_02594
ERR1913209.19672__1.19672	820__A0A139K426__B5G17_09115
ERR1913209.19884__1.19884	39488__A0A173URV1__DXD91_07100
ERR1913209.20041__1.20041	246787__A0A3D6AS39__ina
ERR1913209.20464__1.20464	1262958__R7GRH2__BN645_00998
ERR1913209.20477__1.20477	1262921__R5LMK9__BN473_01331
ERR1913209.20454__1.20454	1897011__A0A1Q6RBT0__BHW41_06785
ERR1913209.20641__1.20641	820__A0A3E4RUC4__DHU98_02635
ERR1913209.21055__1.21055	165179__A0A229I4J4__proA
ERR1913209.21074__1.21074	1263000__R5EXT3__BN466_02213
ERR1913209.21115__1.21115	454154__G5SLR2__HMPREF9441_00281
ERR1913209.21126__1.21126	1262882__R5MGX3__BN519_00046
ERR1913209.21278__1.21278	563769__GeneID:6973158
ERR1913209.21338__1.21338	39492__D4JRM9__bglB_2
ERR1913209.21657__1.21657	1262921__R5M2B7__BN473_00561
ERR1913209.21590__1.21590	301302__R5UQK8__M72_11501
ERR1913209.21596__1.21596	310298__B3JMG0__BACCOP_03099
ERR1913209.21678__1.21678	28026__C0BRQ1__BPS1E_0883
ERR1913209.21686__1.21686	357276__I9FTR0__HMPREF1065_02861
ERR1913209.21875__1.21875	357276__A0A076IS73__GV66_00410
ERR1913209.21977__1.21977	418240__A0A174EFK2__ERS852478_02213
ERR1913209.21916__1.21916	853__A0A2A7B1Y7__C7K05_11930
ERR1913209.21933__1.21933	10678__GeneID:2777432
ERR1913209.22024__1.22024	823__A0A395YRW4__DD466_15895
ERR1913209.22247__1.22247	1262744__R6F8K3__BN744_00841
ERR1913209.22519__1.22519	239935__A0A2N8IVR0__CXT87_07115
ERR1913209.22592__1.22592	39492__R6SPM9__pheT
ERR1913209.22648__1.22648	239935__R7DVL7__CXT93_01180
ERR1913209.22705__1.22705	1262882__R5MGX3__BN519_00046
ERR1913209.22742__1.22742	1262882__R5MLP5__BN519_01602
ERR1913209.22791__1.22791	39492__D4JVN3__spsA
ERR1913209.22856__1.22856	820__A0A173WUD7__DXB48_08055
ERR1913209.23026__1.23026	820__A0A174F0C1__nreB
ERR1913209.23060__1.23060	821__A0A174MBW9__SAMN04487923_10272
ERR1913209.23126__1.23126	1965639__A0A1Y3XLD6__B5G03_08035
ERR1913209.23285__1.23285	1262911__R6H2J2__BN557_01228
ERR1913209.23531__1.23531	39492__D4JR20__trmD
ERR1913209.23647__1.23647	820__A0A139JRS5__HMPREF1073_04025
ERR1913209.23664__1.23664	1262992__R5CX54__BN795_00843
ERR1913209.23723__1.23723	28118__F9Z856__macA_2
ERR1913209.23809__1.23809	10868__GeneID:1261859
ERR1913209.23942__1.23942	357276__A0A0K2HKT7__B5F95_21090
ERR1913209.24057__1.24057	1262882__R5N1T9__BN519_00804
ERR1913209.24124__1.24124	820__A0A174TRB5__DXD40_11305
ERR1913209.24240__1.24240	10678__GeneID:2777432
ERR1913209.24443__1.24443	1262911__R6HJT1__BN557_00291
ERR1913209.24516__1.24516	1628085__A0A2U1BE42__C7386_104118
ERR1913209.24627__1.24627	821__A0A174AYT0__DXC02_03530
ERR1913209.24889__1.24889	39492__D4MJF3__EUBSIR_02248
ERR1913209.24965__1.24965	562__P0ABQ5__COD41_16240
ERR1913209.24966__1.24966	1262882__R5MIC9__BN519_00834
ERR1913209.25550__1.25550	562__P52045__CW278_17595
ERR1913209.25600__1.25600	820__A0A174A6K0__M093_0079
ERR1913209.25749__1.25749	1099853__G9S1W7__NSB1T_07110
ERR1913209.25818__1.25818	1855371__A0A1I2BEE3__SAMN05216563_10687
ERR1913209.25911__1.25911	1262911__R6GSH8__BN557_00939
ERR1913209.26029__1.26029	10678__GeneID:2777456
ERR1913209.26174__1.26174	246787__A0A3D6AS39__ina
ERR1913209.26315__1.26315	823__D7IRG1__NCTC11152_02276
ERR1913209.26342__1.26342	1262882__R5MIW5__BN519_00945
ERR1913209.26464__1.26464	1262921__R5M5S6__BN473_01072
ERR1913209.26922__1.26922	1150298__R7JSE8__coaX_1
ERR1913209.27119__1.27119	39492__D4JT87__clpC
ERR1913209.27155__1.27155	10678__GeneID:2777449
ERR1913209.27182__1.27182	218538__C9LPF0__GCWU000321_01429
ERR1913209.27393__1.27393	246787__A0A0P0FV02__AA416_03728
ERR1913209.27921__1.27921	1150298__A0A174S2H3__spoIIQ
ERR1913209.28264__1.28264	239935__A0A2N8HQR1__Amuc_0287
ERR1913209.28325__1.28325	39492__A0A174ZL16__EUBSIR_01269
ERR1913209.28349__1.28349	39492__D4JUL4__ERS852540_01381
ERR1913209.28441__1.28441	39492__B0MNL5__phoR_1
ERR1913209.28502__1.28502	46228__V8CAV6__addA
ERR1913209.28698__1.28698	1262989__R6YMK4__BN815_00105
ERR1913209.28823__1.28823	301302__R5UQ61__M72_23071
ERR1913209.28884__1.28884	214856__A0A174CRY5__ERS852559_01060
ERR1913209.29115__1.29115	818__A0A0P0F7K1__ERS852461_02719
ERR1913209.29238__1.29238	562__A0A377AAV3__CDL32_10800
ERR1913209.29324__1.29324	10678__GeneID:2777456
ERR1913209.29386__1.29386	820__A0A174A6K0__M093_0079
ERR1913209.29534__1.29534	239935__A0A2N8IRL2__CXU06_01170
ERR1913209.29871__1.29871	357276__D1JY58__BACDOR_04277
ERR1913209.30099__1.30099	1262882__R5MGS8__BN519_00565
ERR1913209.30273__1.30273	820__A0A174QT76__B5G17_18060
ERR1913209.30339__1.30339	706562__GCA_900112995.1_02230
ERR1913209.30387__1.30387	1262958__R7GU31__BN645_01201
ERR1913209.30445__1.30445	28026__C0BVD4__DXC83_04115
ERR1913209.30583__1.30583	1263000__R5EH44__BN466_01492
ERR1913209.30513__1.30513	1262882__R5MLP5__BN519_01602
ERR1913209.30614__1.30614	39492__D4JTI2__ERS852540_00694
ERR1913209.30705__1.30705	1262882__R5N678__BN519_01604
ERR1913209.30791__1.30791	239935__R6J5N6__CXT99_10770
ERR1913209.30864__1.30864	246787__A0A3D6AXG0__BACCELL_01743
ERR1913209.30883__1.30883	1262958__R7GRH2__BN645_00998
ERR1913209.30993__1.30993	39492__D4JT68__spoIIIE
ERR1913209.31066__1.31066	189722__E0NQU7__HMPREF0658_0548
ERR1913209.31073__1.31073	1897011__A0A1Q6RJH2__BHW41_00235
ERR1913209.31193__1.31193	1262824__R6RVE9__BN719_01395
ERR1913209.31232__1.31232	310298__B3JQJ5__BACCOP_04231
ERR1913209.31221__1.31221	33039__D4LZZ3__psf-1
ERR1913209.31350__1.31350	1262882__R5MRT2__BN519_01494
ERR1913209.31307__1.31307	1262921__R5LSI3__BN473_01312
ERR1913209.31399__1.31399	328814__GCA_004558275.1_02023
ERR1913209.31447__1.31447	1897011__A0A1Q6RDI3__BHW41_05415
ERR1913209.31534__1.31534	1263000__R5ESM1__BN466_01440
ERR1913209.31696__1.31696	39492__D4JVG7__ERS852540_00946
ERR1913209.31830__1.31830	371601__I9ABK9__B5E50_12420
ERR1913209.32021__1.32021	1262744__R6FLC0__BN744_01107
ERR1913209.32281__1.32281	46503__A7AB74__DD461_00855
ERR1913209.32237__1.32237	239935__A0A2N8HSC0__CXU06_05505
ERR1913209.32459__1.32459	1263107__GCA_000436995.1_00213
ERR1913209.32462__1.32462	246787__A0A3D6AXJ7__BACCELL_02379
ERR1913209.32504__1.32504	820__A0A396EUU8__luxQ_3
ERR1913209.32530__1.32530	1262992__R5DBG3__BN795_01416
ERR1913209.32552__1.32552	214856__R6XKT4__ERS852559_01719
ERR1913209.32637__1.32637	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913209.32913__1.32913	239935__A0A2N8HT18__CXT93_06135
ERR1913209.33037__1.33037	823__D7IW29__DXD05_13365
ERR1913209.33053__1.33053	853__D4JY61__C4N21_10560
ERR1913209.33232__1.33232	1262882__R5MM90__BN519_01721
ERR1913209.33498__1.33498	820__R9I324__HMPREF2141_02414
ERR1913209.33513__1.33513	33039__D4M1A7__RTO_02350
ERR1913209.33692__1.33692	1262882__R5MHA1__BN519_00763
ERR1913209.33966__1.33966	39488__C0ET99__ERS852578_00102
ERR1913209.33997__1.33997	40520__A5ZRI6__DXC87_12175
ERR1913209.34072__1.34072	46228__V8BLJ0__DXD17_08675
ERR1913209.34088__1.34088	166486__C7GCP5__ROSINTL182_07683
ERR1913209.34120__1.34120	310298__B3JNR4__BACCOP_03579
ERR1913209.34283__1.34283	1262882__R5MY46__BN519_00355
ERR1913209.34489__1.34489	1099853__U5CBZ4__NSB1T_00950
ERR1913209.34493__1.34493	820__A7V470__HMPREF1072_02076
ERR1913209.34879__1.34879	28117__B0MZ50__ALIPUT_02424
ERR1913209.34886__1.34886	820__A0A139JRS5__HMPREF1073_04025
ERR1913209.34968__1.34968	563769__GeneID:6973158
ERR1913209.35015__1.35015	1262882__R5MSX6__BN519_01697
ERR1913209.35403__1.35403	562__P0AFH7__oppC
ERR1913209.35430__1.35430	1262744__R6FA70__BN744_01325
ERR1913209.35436__1.35436	1965576__A0A1Y4L5L1__B5F19_13760
ERR1913209.35777__1.35777	1463165__A0A232GPX4__BME54_11980
ERR1913209.35761__1.35761	10678__GeneID:2777417
ERR1913209.36138__1.36138	418240__C6JAZ7__ERS852478_01462
ERR1913209.36388__1.36388	1262958__R7GRH2__BN645_00998
ERR1913209.36509__1.36509	39492__D4JTJ1__EUBSIR_01453
ERR1913209.36555__1.36555	563769__GeneID:6973141
ERR1913209.36745__1.36745	394340__glyQ
ERR1913209.36765__1.36765	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913209.36721__1.36721	40518__R5DP21__RBATCC27255_00348
ERR1913209.36723__1.36723	1262882__R5N587__BN519_01643
ERR1913209.36724__1.36724	1262911__R6GP58__BN557_00798
ERR1913209.37019__1.37019	239935__A0A2N8I8X8__B5G29_00185
ERR1913209.37103__1.37103	39492__D4JWD3__EUBSIR_00151
ERR1913209.37187__1.37187	10678__GeneID:2777457
ERR1913209.37268__1.37268	1262921__R5LTU7__BN473_01717
ERR1913209.37335__1.37335	1262743__R5C054__BN727_01980
ERR1913209.37601__1.37601	1099853__G9S297__NSB1T_13915
ERR1913209.37603__1.37603	1263030__R5CW77__BN705_01278
ERR1913209.37878__1.37878	35833__E5Y5K1__HMPREF0179_01464
ERR1913209.37956__1.37956	28116__A0A1Y4Q119__DXD69_10975
ERR1913209.38015__1.38015	1262882__R5N0F4__BN519_00593
ERR1913209.38036__1.38036	1262882__R5MKV8__BN519_01281
ERR1913209.38049__1.38049	39491__A0A395ZDC6__addB
ERR1913209.38091__1.38091	28052__A0A174P635__ERS852499_02418
ERR1913209.38227__1.38227	1262744__R6FSD9__BN744_00303
ERR1913209.38312__1.38312	1262882__R5MMY3__BN519_00724
ERR1913209.38302__1.38302	239935__A0A2N8IMC3__CXT96_03840
ERR1913209.38517__1.38517	817__A0A395WMP7__M107_2481
ERR1913209.38574__1.38574	28118__F9ZCN1__B5F99_10605
ERR1913209.38680__1.38680	214856__R6XS46__ERS852559_00812
ERR1913209.38968__1.38968	239935__A0A2N8HUU6__CXT90_06150
ERR1913209.39130__1.39130	674529__R6V111__SAMN05444400_14521
ERR1913209.39186__1.39186	820__A7VAS1__HMPREF2141_03259
ERR1913209.39263__1.39263	1535__G9RWN9__CH238_11575
ERR1913209.39313__1.39313	246787__A0A0P0GIS1__BcellWH2_02680
ERR1913209.39563__1.39563	562__C6EBU6__ESQG_00710
ERR1913209.39643__1.39643	823__D7IRG1__NCTC11152_02276
ERR1913209.39711__1.39711	823__A0A174PAQ4__ERS852429_04218
ERR1913209.39889__1.39889	1262882__R5MIC9__BN519_00834
ERR1913209.39934__1.39934	1262882__R5MZ41__BN519_00356
ERR1913209.40023__1.40023	46228__V8BPQ7__HMPREF1202_02326
ERR1913209.40045__1.40045	820__A0A174NUS8__DXC80_12885
ERR1913209.40149__1.40149	46503__R6Y6S8__xynB_2
ERR1913209.40267__1.40267	1897011__A0A1Q6RFG0__BHW41_03665
ERR1913209.40329__1.40329	1262958__R7H622__BN645_00771
ERR1913209.40341__1.40341	1262921__R5M2J9__BN473_00593
ERR1913209.40494__1.40494	39488__A0A173TAA3__EUBHAL_03220
ERR1913209.40547__1.40547	1262921__R5LSI3__BN473_01312
ERR1913209.40593__1.40593	454155__F3QTU9__HMPREF9442_01618
ERR1913209.40695__1.40695	1263000__R5EFY3__BN466_01416
ERR1913209.40681__1.40681	820__A0A174Q0F0__DXB48_08080
ERR1913209.40761__1.40761	39492__D4MIK7__EUBSIR_00676
ERR1913209.40783__1.40783	239935__A0A2N8ITW6__CXT91_06265
ERR1913209.40828__1.40828	46228__B5CQX4__RUMLAC_01871
ERR1913209.41061__1.41061	357276__A0A076INK2__BSEG_04225
ERR1913209.41222__1.41222	1897011__A0A1Q6RE78__BHW41_04770
ERR1913209.41291__1.41291	820__A0A1T4IYF4__mprA_1
ERR1913209.41433__1.41433	1262882__R5N2A9__BN519_00921
ERR1913209.41544__1.41544	39491__A0A395UVM9__DXB76_04540
ERR1913209.41594__1.41594	338188__A0A174IGK1__ERS852397_02962
ERR1913209.41721__1.41721	454155__G5SQY4__HMPREF9442_01708
ERR1913209.41731__1.41731	1262911__R6GZX7__BN557_00838
ERR1913209.41981__1.41981	1262921__R5LMK9__BN473_01331
ERR1913209.41957__1.41957	28117__B0N028__BHV66_05935
ERR1913209.42147__1.42147	310298__B3JFK4__BACCOP_00654
ERR1913209.42158__1.42158	357276__A0A0K2HI25__DXD47_04465
ERR1913209.42448__1.42448	46228__B5CS18__RUMLAC_02269
ERR1913209.42610__1.42610	310298__B3JFK5__BACCOP_00655
ERR1913209.42688__1.42688	1262882__R5N4P6__BN519_01346
ERR1913209.42757__1.42757	820__A0A3E4W4W5__ERS852554_02179
ERR1913209.42792__1.42792	1262911__R6GUQ4__BN557_01581
ERR1913209.42889__1.42889	820__A0A078S4C2__ERS417307_00828
ERR1913209.42938__1.42938	1263000__R5EFJ5__BN466_01372
ERR1913209.42951__1.42951	357276__B6W1J2__BACDOR_03380
ERR1913209.43018__1.43018	823__E1YV41__BDI_1376
ERR1913209.43156__1.43156	1262882__R5MEW7__BN519_00010
ERR1913209.43384__1.43384	1262882__R5MEN2__BN519_00200
ERR1913209.43472__1.43472	820__R9I3N4__M093_0061
ERR1913209.43507__1.43507	239935__A0A2N8ITX2__CXT86_11265
ERR1913209.43739__1.43739	39492__D4JUR4__ERS852540_01427
ERR1913209.43970__1.43970	28052__A0A174KGM3__ERS852451_01819
ERR1913209.44177__1.44177	1262911__R6GT76__BN557_01150
ERR1913209.44185__1.44185	1262921__R5LTJ9__BN473_02529
ERR1913209.44229__1.44229	1150298__R7JPI7__cotI
ERR1913209.44404__1.44404	39492__D4JX87__EUBSIR_00361
ERR1913209.44416__1.44416	626933__H1DGX0__HMPREF9449_01506
ERR1913209.44526__1.44526	328814__GCA_004558275.1_01614
ERR1913209.44488__1.44488	1262882__R5MYS0__BN519_00284
ERR1913209.44621__1.44621	166486__D4L402__ROSINTL182_05182
ERR1913209.44832__1.44832	820__A0A1Y3V743__M093_0235
ERR1913209.44899__1.44899	1124654__GeneID:14005781
ERR1913209.44901__1.44901	1262911__R6GYH2__BN557_00590
ERR1913209.44949__1.44949	28118__F9Z3U6__B5F99_03365
ERR1913209.44969__1.44969	820__A0A374QGD2__ERS852421_02382
ERR1913209.45241__1.45241	39492__D4JQL8__ywpJ
ERR1913209.45356__1.45356	1099853__U5CFJ1__NSB1T_13500
ERR1913209.45611__1.45611	28052__R7N8Y2__ERS852451_01598
ERR1913209.45565__1.45565	39492__B0MN61__epsF_2
ERR1913209.45750__1.45750	1262911__R6H2J2__BN557_01228
ERR1913209.45760__1.45760	172901__A0A2U1B4R0__C8D82_10832
ERR1913209.45769__1.45769	853__A0A173T0Y8__CGS54_07215
ERR1913209.45840__1.45840	674529__A0A174PUY5__SAMN05444400_103201
ERR1913209.45902__1.45902	1262882__R5MSX6__BN519_01697
ERR1913209.45972__1.45972	562__A0A377AAV3__CDL32_10800
ERR1913209.46194__1.46194	39492__D4JRP0__yetF
ERR1913209.46260__1.46260	820__A7V049__DXB48_04755
ERR1913209.46479__1.46479	414970__GeneID:5204371
