ERR1913186.42__1.42	1262882__R5N5S3__BN519_00085
ERR1913186.18545__1.18545	45851__D4RZ86__BHV86_03570
ERR1913186.18687__1.18687	1262936__R7J172__BN799_01663
ERR1913186.19288__1.19288	1262911__R6H2J2__BN557_01228
ERR1913186.19497__1.19497	1262919__R5PNW7__BN465_00903
ERR1913186.19969__1.19969	301302__A0A173T010__M72_26571
ERR1913186.21093__1.21093	45851__D4S1R7__BUTYVIB_02039
ERR1913186.21030__1.21030	74426__rpoB
ERR1913186.21270__1.21270	1262911__R6GY22__BN557_00023
ERR1913186.21271__1.21271	552398__T5S086__HMPREF0866_01580
ERR1913186.21903__1.21903	1262959__R5YE88__BN680_00633
ERR1913186.22237__1.22237	1680__A0A087DHN0__AL0462_1532
ERR1913186.22324__1.22324	147206__GCF_000156215.1_00014
ERR1913186.22512__1.22512	39485__R5ZRT8__gmr_6
ERR1913186.23169__1.23169	1262911__R6HHR1__BN557_01622
ERR1913186.23300__1.23300	2022527__A0A264Y4S4__CHL74_12270
ERR1913186.23707__1.23707	88431__A0A173XSN2__ERS852526_00723
ERR1913186.24128__1.24128	1628085__A0A2U1B935__C7386_11439
ERR1913186.24376__1.24376	1262924__R7HQV3__BN585_00017
ERR1913186.24354__1.24354	1262924__R7HL71__BN585_01341
ERR1913186.24518__1.24518	901__B6WVE1__DESPIGER_2036
ERR1913186.24720__1.24720	1262959__R5YGY6__BN680_01546
ERR1913186.24679__1.24679	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913186.24894__1.24894	1263006__R6MLL2__BN515_00946
ERR1913186.25004__1.25004	74426__pta
ERR1913186.25098__1.25098	1262911__R6GT76__BN557_01150
ERR1913186.25067__1.25067	706562__GCA_900112995.1_01618
ERR1913186.26115__1.26115	2022527__A0A264Y8G4__CHL74_05770
ERR1913186.26201__1.26201	216816__Q8G585__APC1473_0508
ERR1913186.26251__1.26251	1262936__R7J169__BN799_00083
ERR1913186.26353__1.26353	74426__purL
ERR1913186.26455__1.26455	1262936__R7J144__BN799_01386
ERR1913186.26601__1.26601	147206__GCF_000156215.1_01776
ERR1913186.26674__1.26674	61171__B9Y5T8__HOLDEFILI_01170
ERR1913186.27154__1.27154	1680__A0A174BEE7__BSTER_1311
ERR1913186.27374__1.27374	357276__B6VYT9__HMPREF1063_05030
ERR1913186.27525__1.27525	1262911__R6GHG8__BN557_01301
ERR1913186.27689__1.27689	74426__purL
ERR1913186.28056__1.28056	901__B6WY04__BHW59_00740
ERR1913186.28337__1.28337	301302__R5VGE0__ERS852420_00121
ERR1913186.28481__1.28481	1550024__A0A0D8J1Q0__ASJ35_04495
ERR1913186.28516__1.28516	1897011__A0A1Q6RIN7__BHW41_00540
ERR1913186.28652__1.28652	745368__A0A1T4X373__SAMN02745178_01365
ERR1913186.28743__1.28743	1262936__R7J354__BN799_00281
ERR1913186.29500__1.29500	1262959__R5XVV1__BN680_00303
ERR1913186.29618__1.29618	901__B6WQD5__DESPIG_00255
ERR1913186.29914__1.29914	1897011__A0A1Q6RHD3__BHW41_02220
ERR1913186.30048__1.30048	147206__GCF_000156215.1_01776
ERR1913186.30520__1.30520	1262911__R6GY78__BN557_00532
ERR1913186.30605__1.30605	1262936__R7J0W9__BN799_00634
ERR1913186.30826__1.30826	45851__D4RWC6__BHV86_07010
ERR1913186.31636__1.31636	74426__group_4823
ERR1913186.32102__1.32102	1262936__R7J2K7__BN799_00229
ERR1913186.32251__1.32251	471189__GCA_003340385.1_00499
ERR1913186.32360__1.32360	901__B6WUH5__DESPIGER_1779
ERR1913186.32365__1.32365	40518__R5E6X5__sbcD
ERR1913186.32470__1.32470	1897011__A0A1Q6RH37__BHW41_01795
ERR1913186.32613__1.32613	40518__R5DZE2__DXD86_07400
ERR1913186.33001__1.33001	1262936__R7J6F9__BN799_00540
ERR1913186.33012__1.33012	1262919__R5P5W6__BN465_00822
ERR1913186.33208__1.33208	1262936__R7J429__BN799_00416
ERR1913186.33449__1.33449	45851__D4S1P1__BHV86_08290
ERR1913186.33557__1.33557	74426__pflB_2
ERR1913186.33792__1.33792	1262882__R5MSQ8__BN519_01647
ERR1913186.33951__1.33951	454154__G5SPR9__HMPREF9441_01352
ERR1913186.34701__1.34701	1262911__R6GTZ0__BN557_01437
ERR1913186.35266__1.35266	418240__A0A174EFK2__ERS852478_02213
ERR1913186.35328__1.35328	301302__R5V671__M72_27831
ERR1913186.35785__1.35785	1680__A0A2R4G1K8__BBMN23_0315
ERR1913186.35862__1.35862	1680__A0A087DKM6__B0042_0664
ERR1913186.36094__1.36094	1262919__R5P5W6__BN465_00822
ERR1913186.36124__1.36124	45851__R5LVD9__BHV86_05140
ERR1913186.36203__1.36203	239935__R6IZU4__CXT87_08085
ERR1913186.36372__1.36372	301302__R5VCB8__M72_07901
ERR1913186.36790__1.36790	39485__C4Z6J9__ERS852492_02049
ERR1913186.37025__1.37025	1550024__A0A3B9WFL2__ASJ35_03875
ERR1913186.37147__1.37147	1897011__A0A1Q6RDX0__BHW41_05325
ERR1913186.37181__1.37181	901__B6WXG9__DESPIG_02795
ERR1913186.37764__1.37764	1550024__G9RPP6__ASJ35_08860
ERR1913186.38026__1.38026	1680__R5GRA4__ERS852382_01548
ERR1913186.38250__1.38250	1628085__A0A1C6CQE7__C7386_12126
ERR1913186.38444__1.38444	301302__A0A0M6WIX9__ERS852420_01972
ERR1913186.38609__1.38609	1262882__R5MYP8__BN519_00439
ERR1913186.38781__1.38781	1680__A0A174BEE7__BSTER_1311
ERR1913186.39018__1.39018	28052__R7N6Q7__rafA
ERR1913186.39453__1.39453	1550024__G9RWW8__TQ39_12140
ERR1913186.39463__1.39463	40518__R5DWP7__ansA
ERR1913186.39906__1.39906	1262936__R7J358__BN799_01390
ERR1913186.40235__1.40235	1262911__R6GS70__BN557_00854
ERR1913186.40436__1.40436	1262936__R7IYJ1__BN799_00810
ERR1913186.40491__1.40491	1262936__R7J3B1__BN799_00034
ERR1913186.40568__1.40568	1628085__A0A374VUI1__C7386_11920
ERR1913186.40534__1.40534	165179__D1PCL6__DXB80_13435
ERR1913186.40587__1.40587	1680__A7A7Z9__AAX71_05385
ERR1913186.40654__1.40654	1735__B7CC21__EUBIFOR_01746
ERR1913186.40679__1.40679	39485__A0A174YR99__ERS852492_00943
ERR1913186.40954__1.40954	1680__A7A7Z9__AAX71_05385
ERR1913186.41271__1.41271	301302__A0A0M6W9I4__M72_19871
ERR1913186.41802__1.41802	901__B6WXH1__DESPIGER_1644
ERR1913186.42708__1.42708	301302__R5UTE0__ERS852420_02625
ERR1913186.42783__1.42783	40518__R5DYM0__DXD86_08165
ERR1913186.43515__1.43515	1262936__R7J169__BN799_00083
ERR1913186.43907__1.43907	1680__A0A087DHN0__AL0462_1532
ERR1913186.44440__1.44440	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913186.44452__1.44452	1262911__R6H2J2__BN557_01228
ERR1913186.44699__1.44699	2045441__A0A2M9HGL7__CSQ87_03315
ERR1913186.44729__1.44729	1262936__R7IY18__BN799_00607
ERR1913186.45143__1.45143	216816__B3DR71__CE159_04070
ERR1913186.45432__1.45432	74426__rpoB
ERR1913186.46058__1.46058	1680__A0A076JNH5__DXC60_03835
ERR1913186.46018__1.46018	1262936__R7J1S4__BN799_01918
ERR1913186.46033__1.46033	1262911__R6HIV6__BN557_01807
ERR1913186.46338__1.46338	328814__GCA_004558275.1_00296
ERR1913186.46892__1.46892	901__B6WVE1__DESPIGER_2036
ERR1913186.46911__1.46911	1262936__R7J1I2__BN799_01776
ERR1913186.46916__1.46916	239935__R7DVL7__CXT93_01180
ERR1913186.46952__1.46952	1680__A0A174BEE7__BSTER_1311
ERR1913186.46968__1.46968	1628085__A0A1C6CK16__C7386_11434
ERR1913186.47028__1.47028	74426__group_4808
ERR1913186.47064__1.47064	45851__D4S1B2__BHV86_08920
ERR1913186.47097__1.47097	301302__A0A173R048__M72_22311
ERR1913186.47191__1.47191	47678__R5U325__HMPREF1061_03209
ERR1913186.47621__1.47621	301302__A0A0M6WTN6__ERS852420_01659
ERR1913186.47627__1.47627	1262959__R5YDI8__BN680_00380
ERR1913186.47997__1.47997	1680__A0A087DHN0__AL0462_1532
ERR1913186.48742__1.48742	147206__GCF_000156215.1_01777
ERR1913186.48764__1.48764	1628085__A0A374VV54__C7386_11332
ERR1913186.49077__1.49077	1263006__R6LWP7__BN515_00823
ERR1913186.49332__1.49332	1680__A0A0C2VBJ4__birA
ERR1913186.49421__1.49421	454154__G5SPR9__HMPREF9441_01352
ERR1913186.49562__1.49562	901__B6WWB4__DESPIGER_2273
ERR1913186.49603__1.49603	1897011__A0A1Q6RCL1__BHW41_06190
ERR1913186.49609__1.49609	1262936__R7IYW8__BN799_00842
ERR1913186.49830__1.49830	45851__D4S330__BHV86_03650
ERR1913186.49852__1.49852	216816__D6D9A3__BLNIAS_01911
ERR1913186.50232__1.50232	301302__R5UMB3__M72_01421
ERR1913186.50330__1.50330	1262936__R7J0Z2__BN799_00650
ERR1913186.50426__1.50426	40518__R5DYU1__DXD86_01160
ERR1913186.50496__1.50496	823__A0A173TL14__M095_0764
ERR1913186.50631__1.50631	1262936__R7J6M0__BN799_00574
ERR1913186.50862__1.50862	301301__G2SZM9__ERS852391_00601
ERR1913186.51418__1.51418	1897011__A0A1Q6RE47__BHW41_04715
ERR1913186.52092__1.52092	40518__R5E642__RBATCC27255_00729
ERR1913186.52314__1.52314	1628085__A0A2U1BGK0__C7386_10145
ERR1913186.52843__1.52843	45851__D4RWS6__BHV86_06350
ERR1913186.53072__1.53072	1680__A0A3E4SB79__BAD_1517
ERR1913186.53092__1.53092	61171__B9Y5T8__HOLDEFILI_01170
ERR1913186.53122__1.53122	552398__F4XCQ4__HMPREF0866_01621
ERR1913186.53994__1.53994	1680__A0A173XYA2__B0703_0121
ERR1913186.54066__1.54066	901__B6WTQ4__DESPIGER_1255
ERR1913186.54147__1.54147	1550024__G9RPS1__TQ39_05000
ERR1913186.54359__1.54359	1656__F2UYI2__HMPREF0059_01137
ERR1913186.54575__1.54575	39485__C4Z6R3__mcp2_1
ERR1913186.54585__1.54585	33043__A8SWZ6__ERS852386_02582
ERR1913186.54611__1.54611	1262936__R7IY41__BN799_00608
ERR1913186.54615__1.54615	45851__D4RZ17__BUTYVIB_01081
ERR1913186.54910__1.54910	1680__A0A087DHN0__AL0462_1532
ERR1913186.55196__1.55196	1897011__A0A1Q6RHD3__BHW41_02220
ERR1913186.55839__1.55839	901__B6WUN9__DESPIGER_1850
ERR1913186.55990__1.55990	1897011__A0A1Q6RGB4__BHW41_02795
ERR1913186.56143__1.56143	216816__B3DU85__APC1504_0160
ERR1913186.56279__1.56279	74426__purL
ERR1913186.56320__1.56320	1262911__R6GT99__BN557_01335
ERR1913186.56393__1.56393	74426__rpoC
ERR1913186.56537__1.56537	301302__A0A0M6WJW1__ERS852420_02245
ERR1913186.56946__1.56946	1680__A7A2Y2__NCTC11814_00537
ERR1913186.57206__1.57206	301302__R5UKF2__M72_19701
ERR1913186.57254__1.57254	1680__A0A0C2YPV2__AL0462_1474
ERR1913186.57481__1.57481	301302__R5UUM8__ganB_1
ERR1913186.57513__1.57513	301302__R5UJW6__ERS852420_01698
ERR1913186.57759__1.57759	39491__A0A395ZHV7__ykvU
ERR1913186.57779__1.57779	1680__A0A087DHN0__AL0462_1532
ERR1913186.57783__1.57783	1232426__glmS_3
ERR1913186.57887__1.57887	74426__infB
ERR1913186.57917__1.57917	1262936__R7J172__BN799_01663
ERR1913186.58617__1.58617	1680__A0A174BEE7__BSTER_1311
ERR1913186.58855__1.58855	1680__A0A1E7Y0K2__DXC59_05185
ERR1913186.58935__1.58935	1262924__R7HPZ6__BN585_00681
ERR1913186.58964__1.58964	901__B6WUL1__DESPIG_01755
ERR1913186.59207__1.59207	1897011__A0A1Q6RF44__BHW41_03065
ERR1913186.59283__1.59283	1262741__R6CSW0__BN697_02275
ERR1913186.59298__1.59298	1262992__R5DE88__BN795_00202
ERR1913186.60201__1.60201	1897011__A0A1Q6REW8__BHW41_04435
ERR1913186.60383__1.60383	39485__C4Z434__tilS
ERR1913186.60673__1.60673	901__B6WVE0__DESPIG_02056
ERR1913186.60641__1.60641	28111__E5WZI1__BACEGG_01444
ERR1913186.60798__1.60798	1680__A0A173XYA2__B0703_0121
ERR1913186.60858__1.60858	301301__A0A395VA18__RHOM_11700
ERR1913186.61022__1.61022	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913186.60987__1.60987	1680__A0A0C2YNK5__BADO_0780
ERR1913186.61552__1.61552	166486__A0A1Q6SCR5__ROSINTL182_05686
ERR1913186.61543__1.61543	74426__groL
ERR1913186.62013__1.62013	74426__rpoB
ERR1913186.62249__1.62249	45851__D4RWG7__BUTYVIB_00298
ERR1913186.62365__1.62365	74426__pta
ERR1913186.62339__1.62339	74426__pdxS
ERR1913186.62403__1.62403	901__A0A1K1LGQ2__DESPIG_02072
ERR1913186.62808__1.62808	2022527__A0A264YCK3__CHL74_00095
ERR1913186.63687__1.63687	301302__R5ULM4__M72_25081
ERR1913186.64151__1.64151	1680__A7A7Z9__AAX71_05385
ERR1913186.64313__1.64313	2022527__A0A264Y9Y7__CHL74_02905
ERR1913186.64400__1.64400	1263000__R5ESM1__BN466_01440
ERR1913186.64402__1.64402	301302__R5VFV9__ERS852420_01969
ERR1913186.64520__1.64520	1680__A1A1R1__BIFADO_00076
ERR1913186.64900__1.64900	1628085__A0A374VP93__C7386_10150
ERR1913186.65668__1.65668	45851__R5LAF0__BHV86_08225
ERR1913186.66125__1.66125	1262936__R7J2L3__BN799_01877
ERR1913186.66272__1.66272	1262959__R5XZD4__BN680_00969
ERR1913186.66350__1.66350	1262882__R5N1L4__BN519_00757
ERR1913186.66563__1.66563	1735__B7CAW3__EUBIFOR_01334
ERR1913186.66554__1.66554	1897011__A0A1Q6REZ1__BHW41_04525
ERR1913186.66637__1.66637	1263006__R6LWN2__BN515_02179
ERR1913186.66790__1.66790	853__A0A173YYY4__DWZ04_09420
ERR1913186.67020__1.67020	1262919__R5PFE6__BN465_02118
ERR1913186.67677__1.67677	1262936__R7IZZ2__BN799_01307
ERR1913186.67899__1.67899	1680__A0A374QDL4__LMG18897_0432
ERR1913186.68205__1.68205	74426__nifJ
ERR1913186.68408__1.68408	1262936__R7J1E6__BN799_01664
ERR1913186.68664__1.68664	301302__R5UJV1__ERS852420_01672
ERR1913186.68735__1.68735	818__D7I7V5__BJP75_001030
ERR1913186.69246__1.69246	74426__purL
ERR1913186.69273__1.69273	1897011__A0A1Q6RCU3__BHW41_05920
ERR1913186.69519__1.69519	45851__D4RWC3__BUTYVIB_00254
ERR1913186.70034__1.70034	40518__R5DYU1__DXD86_01160
ERR1913186.70657__1.70657	1262936__R7J3B1__BN799_00034
ERR1913186.71696__1.71696	1262936__R7IYJ1__BN799_00810
ERR1913186.71775__1.71775	901__B6WR34__DHV46_00895
ERR1913186.72177__1.72177	853__A0A2A7B9I6__DW855_13690
ERR1913186.72237__1.72237	1262936__R7IZZ2__BN799_01307
ERR1913186.72573__1.72573	1897011__A0A1Q6RGG6__BHW41_02770
ERR1913186.72916__1.72916	1262959__R5YVJ9__BN680_01667
ERR1913186.73101__1.73101	216816__A0A2U0BLP0__tsaB
ERR1913186.73186__1.73186	166486__D4KVY5__ERS852572_03136
ERR1913186.73240__1.73240	1262911__R6GZX7__BN557_00838
ERR1913186.73851__1.73851	1262882__R5MQ63__BN519_01173
ERR1913186.73870__1.73870	2173__A0A1D2WSY6__Msm_1050
ERR1913186.74062__1.74062	1262911__R6H212__BN557_01031
ERR1913186.74099__1.74099	1262936__R7IY18__BN799_00607
ERR1913186.74145__1.74145	40518__R5DUU0__DXD93_03985
ERR1913186.74160__1.74160	40518__R5DUU0__DXD93_03985
ERR1913186.74295__1.74295	301302__R5USI9__prsA3
ERR1913186.74361__1.74361	239935__B2UPZ6__CXU03_03800
ERR1913186.74378__1.74378	1262936__R7IZ38__BN799_00965
ERR1913186.74797__1.74797	1150298__A0A173YHI7__ERS852406_00466
ERR1913186.74835__1.74835	1660__A0A2X0VEF1__ACTODO_00390
ERR1913186.75085__1.75085	39485__C4Z467__ERS852490_01684
ERR1913186.75438__1.75438	901__B6WR27__lnt
ERR1913186.75678__1.75678	74426__rpoB
ERR1913186.75841__1.75841	1262911__R6GTN3__BN557_01365
ERR1913186.75848__1.75848	136841__A0A0A8RTC5__AN470_19585
ERR1913186.76098__1.76098	39485__C4Z389__ERS852490_01920
ERR1913186.76249__1.76249	1262936__R7IYJ1__BN799_00810
ERR1913186.76300__1.76300	1262882__R5MYP8__BN519_00439
ERR1913186.77411__1.77411	2173__A0A1D2WWU1__METSMIALI_01068
ERR1913186.77573__1.77573	410072__A0A174GUX6__COPCOM_03717
ERR1913186.78289__1.78289	1262911__R6HHR1__BN557_01622
ERR1913186.78496__1.78496	131111__K0YPR8__CYJ25_02955
ERR1913186.78695__1.78695	2317__Q2NH08__CA615_02350
ERR1913186.78709__1.78709	147206__GCF_000156215.1_01777
ERR1913186.79137__1.79137	28052__A0A174GR15__mcp3_1
ERR1913186.79484__1.79484	1680__R5GRA4__ERS852382_01548
ERR1913186.79688__1.79688	172901__A0A2U1B0G1__C8D82_11268
ERR1913186.80127__1.80127	45851__D4RY08__BUTYVIB_00711
ERR1913186.80425__1.80425	147206__GCF_000156215.1_01776
ERR1913186.81085__1.81085	1262936__R7J169__BN799_00083
ERR1913186.81171__1.81171	1680__A0A087DHN0__AL0462_1532
ERR1913186.81180__1.81180	901__B6WUN9__DESPIGER_1850
ERR1913186.81222__1.81222	301301__A0A395V7C8__RHOM_02390
ERR1913186.81330__1.81330	572010__rpoB
ERR1913186.81346__1.81346	39485__C4Z355__ERS852490_01971
ERR1913186.81834__1.81834	1680__A0A087DHN0__AL0462_1532
ERR1913186.81900__1.81900	1262911__R6GTZ4__BN557_01440
ERR1913186.81917__1.81917	39485__A0A174ZG70__ERS852492_00929
ERR1913186.82031__1.82031	1262936__R7IYW8__BN799_00842
ERR1913186.82257__1.82257	28111__R5JVV2__BACEGG_02950
ERR1913186.82359__1.82359	853__A0A2A7ATM9__DWZ89_13645
ERR1913186.82444__1.82444	116085__D4J6U2__DW747_08350
ERR1913186.82506__1.82506	1262954__R7FFX1__BN611_00665
ERR1913186.82780__1.82780	45851__D4S283__BUTYVIB_02205
ERR1913186.82922__1.82922	45851__D4S0D7__BUTYVIB_01556
ERR1913186.82865__1.82865	901__B6WYC9__DHV46_00060
ERR1913186.83258__1.83258	39485__R5ZVC3__ERS852490_00250
ERR1913186.83364__1.83364	1550024__G9RX76__ASJ35_12355
ERR1913186.83737__1.83737	1263000__R5EXT3__BN466_02213
ERR1913186.84509__1.84509	292800__A0A174Y0J1__HMPREF0372_03035
ERR1913186.84819__1.84819	28111__R5K5Y0__NCTC11155_03071
ERR1913186.84850__1.84850	1262924__R7HLU6__BN585_01291
ERR1913186.84732__1.84732	1897011__A0A1Q6RH29__BHW41_01570
ERR1913186.85326__1.85326	2317__Q2NHR9__Msp_0146
ERR1913186.85295__1.85295	147206__GCF_000156215.1_00437
ERR1913186.85397__1.85397	706562__GCA_900112995.1_01617
ERR1913186.85978__1.85978	74426__purL
ERR1913186.86282__1.86282	1262936__R7J5M6__BN799_00272
ERR1913186.86497__1.86497	853__A0A3E2V168__FAEPRAM212_00929
ERR1913186.87048__1.87048	1262882__R5MND9__BN519_00831
ERR1913186.87029__1.87029	216816__A0A0S2MCH0__AYW81_04880
ERR1913186.87278__1.87278	1262882__R5MFR3__BN519_00473
ERR1913186.87548__1.87548	1262936__R7J5M9__BN799_00277
ERR1913186.87808__1.87808	901__B6WTQ4__DESPIGER_1255
ERR1913186.87928__1.87928	1628085__A0A1C5ZCR8__C7386_10447
ERR1913186.88003__1.88003	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913186.88057__1.88057	1262911__R6H2J2__BN557_01228
ERR1913186.88284__1.88284	301302__A0A173UPG6__ERS852420_03127
ERR1913186.88937__1.88937	418240__A0A174AWY8__ERS852523_00988
ERR1913186.89095__1.89095	1262936__R7J3B1__BN799_00034
ERR1913186.89102__1.89102	301302__A0A173T3P5__ERS852420_01836
ERR1913186.89115__1.89115	1680__A0A174BEE7__BSTER_1311
ERR1913186.89256__1.89256	1680__R5GZJ8__BSTER_1195
ERR1913186.89245__1.89245	901__B6WXI0__DHV46_02055
ERR1913186.89328__1.89328	216816__E5XYF2__APC1480_0509
ERR1913186.89295__1.89295	1262911__R6GXS5__BN557_00160
ERR1913186.89351__1.89351	1680__R5GRA4__ERS852382_01548
ERR1913186.89378__1.89378	28111__E5WWI8__HMPREF1016_01036
ERR1913186.89456__1.89456	1262919__R5PRP3__BN465_00924
ERR1913186.89960__1.89960	1680__A0A1X3A951__AL0462_1583
ERR1913186.90054__1.90054	165179__D1P9T6__PREVCOP_04016
ERR1913186.90096__1.90096	2108523__A0A2P2F586__LAWASA_1166
ERR1913186.90246__1.90246	39485__C4Z1W5__ERS852492_01530
ERR1913186.90357__1.90357	1680__A0A174BEE7__BSTER_1311
ERR1913186.91304__1.91304	1262936__R7J169__BN799_00083
ERR1913186.92670__1.92670	28111__R5K2I8__HMPREF1016_03182
ERR1913186.92738__1.92738	28052__A0A174I0A5__ERS852499_00618
ERR1913186.92760__1.92760	1680__A0A087DHN0__AL0462_1532
ERR1913186.92845__1.92845	471189__GCA_003340385.1_00697
ERR1913186.93105__1.93105	45851__D4S1I1__BHV86_08605
ERR1913186.93563__1.93563	46506__B0NRL4__HMPREF1181_00205
ERR1913186.93610__1.93610	901__B6WUN6__DHV46_11020
ERR1913186.93670__1.93670	1262700__R5XC07__BN695_01332
ERR1913186.93739__1.93739	1680__A0A076JM61__DXD63_05245
ERR1913186.93789__1.93789	1897011__A0A1Q6RGX0__BHW41_01465
ERR1913186.94459__1.94459	1262936__R7J276__BN799_01074
ERR1913186.94724__1.94724	1262929__R6F5P4__BN691_01119
ERR1913186.94697__1.94697	39491__A0A173QT73__alaS_2
ERR1913186.94759__1.94759	1680__A0A174BEE7__BSTER_1311
ERR1913186.94901__1.94901	147206__GCF_000156215.1_01777
ERR1913186.95149__1.95149	147206__GCF_000156215.1_01776
ERR1913186.95195__1.95195	2022527__A0A264YAJ7__CHL74_00810
ERR1913186.95493__1.95493	1628085__A0A1C5YAJ9__C7386_10197
ERR1913186.95613__1.95613	1262961__R6E1C5__BN710_01058
ERR1913186.96356__1.96356	165179__A0A229I1J2__DXB80_03950
ERR1913186.96505__1.96505	1680__A0A087DLC6__C8077_00815
ERR1913186.96626__1.96626	239935__A0A2N8IKW7__pstA
ERR1913186.96948__1.96948	301302__A0A0M6WZT5__M72_18331
