ERR1913260.118__1.118	39488__A0A173UQ83__mutY
ERR1913260.6026__1.6026	853__A0A3E2U7E6__ERS852582_01640
ERR1913260.6085__1.6085	39491__A0A3E4E7C5__DXB69_03255
ERR1913260.6232__1.6232	1550024__A0A3B9WFL2__ASJ35_03875
ERR1913260.6304__1.6304	39485__A0A174YMC1__recN
ERR1913260.6319__1.6319	39491__C4ZHS4__EUR_24420
ERR1913260.6454__1.6454	2173__A0A1D2WRY2__Msm_1736
ERR1913260.6707__1.6707	39491__A0A395ZHW3__ERS852417_01359
ERR1913260.6737__1.6737	820__A0A174Q0F0__DXB48_08080
ERR1913260.6795__1.6795	1262848__R6UB32__BN818_01453
ERR1913260.6919__1.6919	1680__A0A173W5Z2__DXC53_01290
ERR1913260.7268__1.7268	820__A0A374QGD2__ERS852421_02382
ERR1913260.7550__1.7550	74426__gap
ERR1913260.7588__1.7588	214856__A0A173W3Y5__ERS852559_02032
ERR1913260.7728__1.7728	39491__A0A396FFW0__ERE_10580
ERR1913260.7862__1.7862	1262911__R6GI18__BN557_01377
ERR1913260.8007__1.8007	1262848__R6UMZ1__BN818_01403
ERR1913260.8311__1.8311	40520__A0A174Q336__RUMOBE_02539
ERR1913260.8270__1.8270	820__A0A174F696__macB_13
ERR1913260.8250__1.8250	74426__thrZ
ERR1913260.8554__1.8554	1263000__R5EXT3__BN466_02213
ERR1913260.8599__1.8599	1150298__A0A174MFX3__ERS852498_01752
ERR1913260.8682__1.8682	2173__A5ULL1__Msm_0884
ERR1913260.8951__1.8951	239935__R7DVL7__CXT93_01180
ERR1913260.9141__1.9141	239935__A0A2N8HBM4__CXT85_06270
ERR1913260.9306__1.9306	1680__A0A174BEE7__BSTER_1311
ERR1913260.9607__1.9607	74426__nifJ
ERR1913260.9778__1.9778	39491__A0A395UWA3__DXB69_11805
ERR1913260.9973__1.9973	88431__A0A3E5GJ50__DORLON_02273
ERR1913260.10145__1.10145	357276__A0A076IKP2__HMPREF1063_00218
ERR1913260.10153__1.10153	1262992__R5D0E5__BN795_01570
ERR1913260.10129__1.10129	1308__A0A0M3RT46__CV712_09030
ERR1913260.10228__1.10228	1262848__R6U0K1__BN818_00616
ERR1913260.10276__1.10276	239935__A0A2N8ITW6__CXT91_06265
ERR1913260.10370__1.10370	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913260.10530__1.10530	454154__G5SLB0__HMPREF9441_00129
ERR1913260.10685__1.10685	40520__R7D610__ERS852533_02951
ERR1913260.10729__1.10729	310298__B3JMI6__BACCOP_03139
ERR1913260.10826__1.10826	649756__R7C0E8__ERS852387_01288
ERR1913260.10984__1.10984	40518__R5DUG7__sbcC
ERR1913260.11153__1.11153	301301__A0A395V8E1__RHOM_11160
ERR1913260.11251__1.11251	40520__A0A174QAE1__DXB81_16880
ERR1913260.11308__1.11308	1681__U2DMQ1__LMG13200_0318
ERR1913260.11279__1.11279	1263000__R5EXT3__BN466_02213
ERR1913260.11336__1.11336	1262911__R6GZX7__BN557_00838
ERR1913260.11500__1.11500	239935__A0A2N8IMD6__CXU03_05585
ERR1913260.11535__1.11535	116085__D4J5D0__DW747_06710
ERR1913260.11735__1.11735	823__C7XA51__BDI_0499
ERR1913260.11844__1.11844	239935__A0A2N8IVK9__CXU08_03750
ERR1913260.11931__1.11931	40518__R5DVL2__penA
ERR1913260.11965__1.11965	28052__A0A174MI15__pleD
ERR1913260.12118__1.12118	214856__A0A173YXX1__ERS852559_01651
ERR1913260.12069__1.12069	630129__A0A3E5HJB5__AH68_08040
ERR1913260.12176__1.12176	1262848__R6UAA6__BN818_01734
ERR1913260.12289__1.12289	2108523__A0A2P2F4E1__LAWASA_871
ERR1913260.12367__1.12367	1681__E4V7X5__BBNG_00264
ERR1913260.12396__1.12396	301302__R5VC75__ERS852420_02858
ERR1913260.12570__1.12570	1680__R5GSL8__DXD60_03315
ERR1913260.12779__1.12779	1897011__A0A1Q6RH12__BHW41_01505
ERR1913260.12802__1.12802	1680__A0A174BEE7__BSTER_1311
ERR1913260.12882__1.12882	820__A0A3E4W6P0__gmhA
ERR1913260.12935__1.12935	2173__A0A1D2WT86__METSMIF1_02584
ERR1913260.12948__1.12948	184870__A0A2I1YCC8__Q618_VCMC00002G0009
ERR1913260.13066__1.13066	46503__R6WUT7__NCTC13052_01657
ERR1913260.13097__1.13097	454155__F3QY50__HMPREF9442_03142
ERR1913260.13151__1.13151	357276__A0A076IRZ5__BACDOR_00630
ERR1913260.13207__1.13207	239935__R6J9Y2__CXT85_07000
ERR1913260.13348__1.13348	487174__K0XDI7__DIT83_12065
ERR1913260.13417__1.13417	357276__D1K3K9__EL88_23995
ERR1913260.13993__1.13993	820__A0A139KIL9__DXC68_05945
ERR1913260.14199__1.14199	28117__B0MXU6__ALIPUT_01958
ERR1913260.14459__1.14459	1550024__G9RVU1__TQ39_06560
ERR1913260.14569__1.14569	239935__A0A2N8I5H6__CXT92_05565
ERR1913260.14698__1.14698	28025__D3R4P4__ADH71_002855
ERR1913260.15106__1.15106	1680__R5GR82__AD0028_0014
ERR1913260.15319__1.15319	820__A0A3E4WA06__ERS852554_03404
ERR1913260.15544__1.15544	147206__GCF_000156215.1_01971
ERR1913260.15568__1.15568	2173__A0A1D2WST6__METSMIALI_00213
ERR1913260.15766__1.15766	40520__R7D6C0__RUMOBE_01488
ERR1913260.15918__1.15918	239935__A0A2N8HBM4__CXT85_06270
ERR1913260.15930__1.15930	216816__B7GPE8__I118_0062
ERR1913260.15972__1.15972	820__A7VAS1__HMPREF2141_03259
ERR1913260.16533__1.16533	1263107__GCA_000436995.1_00020
ERR1913260.16793__1.16793	1550024__G9RX51__TQ39_04720
ERR1913260.16899__1.16899	1681__E4VB90__DXD45_06585
ERR1913260.16970__1.16970	384638__B7APR0__BACPEC_00666
ERR1913260.17279__1.17279	301301__A0A174AM08__gluP_1
ERR1913260.17301__1.17301	1550024__A0A0D8IY61__ASJ35_05690
ERR1913260.17350__1.17350	39491__C4ZHS4__EUR_24420
ERR1913260.17424__1.17424	1681__A0A0M4LK35__LMG13200_0631
ERR1913260.17472__1.17472	394340__group_470
ERR1913260.17548__1.17548	1680__A0A2R4G1K8__BBMN23_0315
ERR1913260.18155__1.18155	246787__A0A3D6AZX0__BACCELL_00122
ERR1913260.18313__1.18313	410072__C0BES0__ERS852389_01714
ERR1913260.18671__1.18671	410072__A0A173S248__ERS852525_02992
ERR1913260.18688__1.18688	1262911__R6GR13__BN557_00618
ERR1913260.18703__1.18703	39491__A0A396FNY7__LD38_16155
ERR1913260.18737__1.18737	487174__K0X694__DIT83_09060
ERR1913260.18769__1.18769	410072__A0A174E1G6__phoR_6
ERR1913260.18877__1.18877	39491__D4JM76__DXC13_02150
ERR1913260.19006__1.19006	39491__A0A395ZGE4__ERS852497_01269
ERR1913260.19284__1.19284	28117__B0MUX7__ALIPUT_00918
ERR1913260.19638__1.19638	418240__C6JDI6__ERS852478_02871
ERR1913260.19663__1.19663	40518__R5DU52__RB5AMG_02245
ERR1913260.19731__1.19731	820__A0A174CK74__DXB48_07060
ERR1913260.19963__1.19963	216816__C5EC66__tcrA
ERR1913260.20043__1.20043	239935__A0A2N8I9P4__CXT85_05050
ERR1913260.20213__1.20213	1680__R5GZJ8__BSTER_1195
ERR1913260.20302__1.20302	626940__E8LGM9__DCQ00_02420
ERR1913260.20502__1.20502	39491__A0A395UUN5__EUBREC_0291
ERR1913260.20512__1.20512	1262848__R6UDU2__BN818_00313
ERR1913260.20554__1.20554	1680__A0A3E4SB79__BAD_1517
ERR1913260.20557__1.20557	46503__R6X0F0__DD461_05620
ERR1913260.20817__1.20817	1304__J7SHP5__SALIVA_1499
ERR1913260.21036__1.21036	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913260.21042__1.21042	1263107__GCA_000436995.1_00088
ERR1913260.21087__1.21087	1263107__GCA_000436995.1_00197
ERR1913260.21228__1.21228	1680__A0A174BEE7__BSTER_1311
ERR1913260.21256__1.21256	1550024__A0A0W7TNX6__ASJ35_13710
ERR1913260.21279__1.21279	216816__Q8G585__APC1473_0508
ERR1913260.21411__1.21411	1263107__GCA_000436995.1_00046
ERR1913260.21490__1.21490	1680__A0A374QDL4__LMG18897_0432
ERR1913260.21741__1.21741	1099853__R7DG25__NSB1T_10155
ERR1913260.22005__1.22005	239935__A0A2N8HAQ1__DEF40_05290
ERR1913260.22019__1.22019	28117__R7JLL3__ALIPUT_02219
ERR1913260.21970__1.21970	2045441__A0A2M9HFV5__gnd
ERR1913260.22116__1.22116	239935__A0A2N8J2P6__ADH72_06730
ERR1913260.22273__1.22273	1681__I3WKG9__BBJK_01327
ERR1913260.22277__1.22277	216816__A0A0S2MI06__pepV
ERR1913260.22411__1.22411	2173__A0A1D2WXI2__METSMIF1_02140
ERR1913260.22489__1.22489	626940__R6X4V5__DCQ00_10410
ERR1913260.22572__1.22572	33043__A0A173XM20__ERS852445_01573
ERR1913260.22714__1.22714	116085__D4JC97__DW747_00040
ERR1913260.22739__1.22739	216816__C2GUV2__APC1478_0430
ERR1913260.22893__1.22893	1550024__A0A0D8J136__TQ39_12150
ERR1913260.22925__1.22925	239935__A0A139TPD4__CXT86_06450
ERR1913260.23131__1.23131	40518__R5DZU5__RBL263_00458
ERR1913260.23143__1.23143	1150298__A0A173ZYU8__sipT_2
ERR1913260.23340__1.23340	853__A0A3E2U7E6__ERS852582_01640
ERR1913260.23468__1.23468	1235790__S0J8L6__C805_00148
ERR1913260.23411__1.23411	418240__A0A173XCL4__ERS852523_02725
ERR1913260.23518__1.23518	301301__A0A395VAX9__ERS852391_01264
ERR1913260.23609__1.23609	45851__D4RXA5__BHV86_02525
ERR1913260.23734__1.23734	39491__A0A396FS17__envC
ERR1913260.23991__1.23991	239935__R6JAS2__CXU02_10725
ERR1913260.24069__1.24069	216816__R5MZK3__DPC6320_1630
ERR1913260.24166__1.24166	40518__R5E4X1__DXD93_05270
ERR1913260.24254__1.24254	39491__C4ZHS4__EUR_24420
ERR1913260.24549__1.24549	1262942__R7R1C2__BN520_00457
ERR1913260.24567__1.24567	28117__R7JIJ8__BHV66_01635
ERR1913260.24646__1.24646	626940__E8LGB7__BN587_02010
ERR1913260.24756__1.24756	1262848__R6U3I8__BN818_00546
ERR1913260.24934__1.24934	239935__A0A2N8INK7__Amuc_0521
ERR1913260.25033__1.25033	246787__A0A0P0GR24__BcellWH2_03263
ERR1913260.25123__1.25123	28117__B0MTY2__BHV66_06485
ERR1913260.25426__1.25426	1262736__R5YX38__BN496_01145
ERR1913260.25445__1.25445	45851__D4RZK8__BUTYVIB_01274
ERR1913260.25399__1.25399	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913260.25415__1.25415	651609__E6KUZ9__HMPREF9006_2051
ERR1913260.25797__1.25797	28052__A0A174HXN2__ERS852499_00609
ERR1913260.25891__1.25891	39496__A5Z5I2__EUBVEN_00963
ERR1913260.25982__1.25982	1262924__R7HL71__BN585_01341
ERR1913260.25959__1.25959	907__A0A269TDG0__feoB
ERR1913260.26341__1.26341	74426__group_4823
ERR1913260.26384__1.26384	1262911__R6H2B5__BN557_01151
ERR1913260.26434__1.26434	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913260.26507__1.26507	1150298__R7JPI7__cotI
ERR1913260.26590__1.26590	39491__C4Z9E9__T1815_12341
ERR1913260.26552__1.26552	1262924__R7HKX0__BN585_01279
ERR1913260.26639__1.26639	1681__A0A292G7V3__BBIF_1776
ERR1913260.26814__1.26814	1262848__R6UJQ9__BN818_01594
ERR1913260.26833__1.26833	46228__V8CAH7__HMPREF1202_00795
ERR1913260.26841__1.26841	626940__R6WNN9__BHW43_04575
ERR1913260.26882__1.26882	1262848__R6V9U2__BN818_00685
ERR1913260.26887__1.26887	78345__A0A087BK46__SAMN02745589_0061
ERR1913260.26903__1.26903	39485__C4Z1W5__ERS852492_01530
ERR1913260.26938__1.26938	1150298__A0A174MSM0__toxA_2
ERR1913260.27028__1.27028	39491__A0A396FF17__EUR_31400
ERR1913260.27043__1.27043	2173__A0A1D2WRC1__Msm_0093
ERR1913260.27156__1.27156	1150298__A0A174KW35__cbbX
ERR1913260.27232__1.27232	1262777__R5VHT0__BN512_00736
ERR1913260.27276__1.27276	1965587__A0A1Y4HVC6__B5F35_09360
ERR1913260.27307__1.27307	74426__nifJ
ERR1913260.27343__1.27343	39492__D4JRV7__EUBSIR_01513
ERR1913260.27420__1.27420	40518__R5DT16__ysdC_2
ERR1913260.27475__1.27475	1681__A0A0M4LK35__LMG13200_0631
ERR1913260.27524__1.27524	1550024__A0A0D8J259__TQ39_04100
ERR1913260.27862__1.27862	301302__A0A0M6W9I4__M72_19871
ERR1913260.27878__1.27878	1681__A0A3E4TVE9__HMPREF3196_01855
ERR1913260.27917__1.27917	239935__A0A2N8I1R3__CXU05_06075
ERR1913260.27985__1.27985	239935__A0A2N8HB50__CXU17_02615
ERR1913260.28189__1.28189	40520__A0A396G1I4__DXB81_08365
ERR1913260.28359__1.28359	40520__R7D3S9__DXD81_14140
ERR1913260.28426__1.28426	357276__A0A076INK2__BSEG_04225
ERR1913260.28583__1.28583	239935__R6JAS2__CXU02_10725
ERR1913260.28675__1.28675	39491__C4ZAT2__ERE_28440
ERR1913260.28712__1.28712	39485__A0A174ZQT9__EUBELI_20278
ERR1913260.28793__1.28793	40520__R7DD10__glgB
ERR1913260.28809__1.28809	454155__F3QX17__HMPREF9442_02751
ERR1913260.29137__1.29137	820__A0A078STJ8__DXC68_04690
ERR1913260.29160__1.29160	820__A0A374QGD2__ERS852421_02382
ERR1913260.29233__1.29233	1150298__A0A174E950__ERS852498_02096
ERR1913260.29241__1.29241	45851__D4S0B1__BHV86_10120
ERR1913260.29494__1.29494	418240__C6J9W6__ERS852523_00370
ERR1913260.29915__1.29915	39491__A0A395V5R3__EUBREC_1883
ERR1913260.30109__1.30109	74426__thrZ
ERR1913260.30253__1.30253	410072__A0A173XQG6__ERS852574_01620
ERR1913260.30276__1.30276	1262992__R5DCV6__BN795_00412
ERR1913260.30247__1.30247	1550024__A0A0D8IY45__ASJ35_05575
ERR1913260.30468__1.30468	33037__C7HV97__HMPREF0078_1198
ERR1913260.30550__1.30550	28117__B0MXR1__BHV66_08035
ERR1913260.30555__1.30555	1550024__G9RQ59__TQ39_14360
ERR1913260.30818__1.30818	187327__G4Q6V9__ACDG_01231
ERR1913260.30798__1.30798	1680__A0A087DHN0__AL0462_1532
ERR1913260.30858__1.30858	1550024__G9RZ52__TQ39_02420
ERR1913260.30985__1.30985	1150298__A0A174BC67__ERS852498_00837
ERR1913260.31103__1.31103	1550024__G9RTA6__TQ39_10970
ERR1913260.31164__1.31164	1262848__R6UJQ9__BN818_01594
ERR1913260.31142__1.31142	360807__C0FT10__ROSEINA2194_01877
ERR1913260.31226__1.31226	239935__A0A2N8IRW0__A4V05_11620
ERR1913260.31270__1.31270	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913260.31496__1.31496	116085__D4JBW6__DW747_00745
ERR1913260.31895__1.31895	74426__sufB
ERR1913260.32020__1.32020	204516__U6RGK1__HMPREF1534_01924
ERR1913260.32195__1.32195	39491__A0A174K9A3__DXB69_07785
ERR1913260.32411__1.32411	626940__E8LGW7__HMPREF9443_02123
ERR1913260.32860__1.32860	1150298__A0A174KW35__cbbX
ERR1913260.32891__1.32891	357276__B6VXX7__HMPREF1063_02683
ERR1913260.32897__1.32897	45851__D4S0B1__BHV86_10120
ERR1913260.32930__1.32930	1550024__A0A0D8J084__TQ39_06930
ERR1913260.33058__1.33058	39491__C4Z9Y3__ERS852417_01808
ERR1913260.33468__1.33468	1262992__R5CXM8__BN795_01024
ERR1913260.33526__1.33526	1308__A0A0P6UXR1__T303_02640
ERR1913260.33533__1.33533	2173__A0A1D2WRQ8__METSMIALI_00487
ERR1913260.33709__1.33709	1262848__R6U804__BN818_00069
ERR1913260.34072__1.34072	1897011__A0A1Q6RI93__BHW41_01175
ERR1913260.34022__1.34022	2173__A0A1D2WU59__Msm_1444
ERR1913260.34525__1.34525	1262924__R7HQN1__BN585_00550
ERR1913260.34604__1.34604	40518__R5E2R8__nnr_2
ERR1913260.34727__1.34727	1686__B6XS54__BCAT_0916
ERR1913260.34760__1.34760	1262911__R6GP42__BN557_00222
ERR1913260.34774__1.34774	116085__D4J6U4__DW747_08365
ERR1913260.34946__1.34946	357276__I9FGI3__EL88_12385
ERR1913260.35083__1.35083	1897011__A0A1Q6RIQ3__BHW41_00450
ERR1913260.35071__1.35071	46503__R6Y9P8__evgS_3
ERR1913260.35134__1.35134	418240__C6JGM0__ERS852478_02067
ERR1913260.35249__1.35249	820__A0A3E4VZY4__ERS852554_01211
ERR1913260.35396__1.35396	1520810__A0A1H5XYJ5__SAMN02910276_02047
ERR1913260.35450__1.35450	418240__C6J8B6__ERS852523_03677
ERR1913260.35555__1.35555	1550024__G9RXY7__TQ39_00100
ERR1913260.35662__1.35662	116085__D4J8P5__DW747_08795
ERR1913260.35768__1.35768	357276__A0A076IP73__BACDOR_04237
ERR1913260.35782__1.35782	745368__A0A1T4Y437__SAMN02745178_02934
ERR1913260.35743__1.35743	1897011__A0A1Q6RF88__BHW41_03295
ERR1913260.35890__1.35890	216816__B7GPH6__DXC74_08225
ERR1913260.36020__1.36020	1262848__R6U4C5__BN818_01040
ERR1913260.36145__1.36145	1680__A0A3E4SB79__BAD_1517
ERR1913260.36146__1.36146	40520__R7D9N7__RUMOBE_02765
ERR1913260.36163__1.36163	28025__D3R731__ADH71_006495
ERR1913260.36420__1.36420	39491__A0A395ZF49__DXB69_05290
ERR1913260.36423__1.36423	40520__D4LUV4__DXB81_08455
ERR1913260.36511__1.36511	239935__A0A2N8HT44__CXT84_11035
ERR1913260.36564__1.36564	39491__A0A173RA59__EUR_24800
ERR1913260.36657__1.36657	572010__infC
ERR1913260.36728__1.36728	28116__A7M344__BACOV975_04644
ERR1913260.36754__1.36754	907__G0VR96__CJO36_08885
ERR1913260.37038__1.37038	1680__A0A3E4SB79__BAD_1517
ERR1913260.37141__1.37141	28117__B0N007__BHV66_10275
ERR1913260.37161__1.37161	301302__A0A173R1Q9__M72_20711
ERR1913260.37226__1.37226	1150298__A0A174I6Y0__ERS852498_00576
ERR1913260.37513__1.37513	246787__I9QX02__HMPREF1062_01641
ERR1913260.37673__1.37673	1680__A0A3E4SB79__BAD_1517
ERR1913260.37739__1.37739	1472761__GCA_002159295.1_00660
ERR1913260.37807__1.37807	239935__A0A139TMG9__CXU07_10650
ERR1913260.37831__1.37831	39488__C0EZ49__ERS852578_00234
ERR1913260.37910__1.37910	28117__B0MTD2__ALIPUT_00428
ERR1913260.38043__1.38043	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913260.38438__1.38438	1681__A0A0H2P6E1__BBPR_1084
ERR1913260.38450__1.38450	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913260.38496__1.38496	39491__A0A396FFW0__ERE_10580
ERR1913260.38596__1.38596	853__A0A329UEG4__CHR60_00585
ERR1913260.38597__1.38597	45851__D4S2J5__BUTYVIB_02317
ERR1913260.38817__1.38817	820__A0A174M9V5__M093_0237
ERR1913260.38960__1.38960	239935__A0A3F3K985__CXT98_05805
ERR1913260.39266__1.39266	239935__A0A2N8IZ16__CXT84_05850
ERR1913260.39314__1.39314	1262992__R5CXM7__BN795_01016
ERR1913260.39463__1.39463	106588__A6NUL8__BACCAP_01900
ERR1913260.39574__1.39574	40518__R5DUG7__sbcC
ERR1913260.39542__1.39542	39491__A0A174LTW7__DXD13_08720
ERR1913260.39639__1.39639	1262924__R7HP04__BN585_02027
ERR1913260.39826__1.39826	39491__A0A396FNY7__LD38_16155
ERR1913260.39854__1.39854	1897011__A0A1Q6RFK0__BHW41_03420
ERR1913260.40078__1.40078	116085__D4J8E0__DW747_09165
ERR1913260.40084__1.40084	39491__C4Z9K0__DXD95_07445
ERR1913260.40179__1.40179	823__A0A173VPM3__DHW69_17170
ERR1913260.40394__1.40394	39485__C4Z538__EUBELI_00734
ERR1913260.40583__1.40583	1680__A0A2R4G1K8__BBMN23_0315
ERR1913260.40699__1.40699	1262848__R6U804__BN818_00069
ERR1913260.41024__1.41024	39492__D4JR58__EUBSIR_02090
ERR1913260.41075__1.41075	45851__D4S1R9__BHV86_08150
ERR1913260.41150__1.41150	39491__D6DXZ8__DXB72_15035
ERR1913260.41152__1.41152	40518__R5DNI6__RBATCC27255_00844
ERR1913260.41156__1.41156	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913260.41167__1.41167	820__A0A139KHX1__HMPREF2141_00289
ERR1913260.41338__1.41338	1262777__R5WDV0__BN512_00124
ERR1913260.41437__1.41437	116085__D4JBB0__DW747_02175
ERR1913260.41459__1.41459	2173__A0A1D2WXH6__METSMIALI_01616
ERR1913260.41472__1.41472	246787__E2NCX3__HMPREF1062_01637
ERR1913260.41520__1.41520	2173__A5UKM7__METSMIALI_01538
ERR1913260.41675__1.41675	39491__C4ZF05__vpr
ERR1913260.41663__1.41663	1680__A0A087DHN0__AL0462_1532
ERR1913260.41843__1.41843	39491__A0A395UVM9__DXB76_04540
ERR1913260.41883__1.41883	216816__Q8G5T7__HMPREF0175_0394
ERR1913260.42010__1.42010	1680__A0A173XYA2__B0703_0121
ERR1913260.42392__1.42392	1680__A0A0C2YNK5__BADO_0780
ERR1913260.42399__1.42399	45851__D4S069__spoIVA
ERR1913260.42481__1.42481	1550024__G9RT86__ASJ35_16935
ERR1913260.42792__1.42792	1680__A0A0B5BME4__DXD63_05015
ERR1913260.42893__1.42893	1262848__R6U804__BN818_00069
ERR1913260.43019__1.43019	39491__C4ZC33__DXC13_11585
ERR1913260.43026__1.43026	818__A0A0P0FWH4__Btheta7330_05099
ERR1913260.43143__1.43143	410072__R6LD64__ERS852525_02440
ERR1913260.43119__1.43119	1680__R5GR82__AD0028_0014
ERR1913260.43204__1.43204	1263011__R6DRE4__BN553_01302
ERR1913260.43318__1.43318	239935__A0A2N8I694__CXU04_06245
ERR1913260.43443__1.43443	39491__A0A395ZDC6__addB
ERR1913260.43681__1.43681	28025__D3R3F9__BLC1_0248
ERR1913260.43707__1.43707	216816__R5MZK3__DPC6320_1630
ERR1913260.43886__1.43886	28117__B0MXU0__BHV66_07550
ERR1913260.44063__1.44063	626940__E8LF01__HMPREF9443_01436
ERR1913260.44071__1.44071	572010__pnp
ERR1913260.44031__1.44031	239935__A0A2N8I3G2__CXT89_00720
ERR1913260.44155__1.44155	39491__A0A396FFW0__ERE_10580
ERR1913260.44348__1.44348	239935__A0A2N8IUW6__Amuc_1525
ERR1913260.44334__1.44334	39488__A0A174JUI0__EUBHAL_01212
ERR1913260.44540__1.44540	74426__purL
ERR1913260.44541__1.44541	239935__A0A2N8HT44__CXT84_11035
ERR1913260.44500__1.44500	39491__C4ZF05__vpr
ERR1913260.44616__1.44616	39496__A5Z872__EUBVEN_01912
ERR1913260.44790__1.44790	1897011__A0A1Q6RI93__BHW41_01175
ERR1913260.44795__1.44795	39491__A0A395UXH0__EUBREC_0021
ERR1913260.44720__1.44720	1680__A0A374QDL4__LMG18897_0432
ERR1913260.44930__1.44930	246787__R6K756__HMPREF1062_01819
ERR1913260.45038__1.45038	1686__B6XS54__BCAT_0916
ERR1913260.45062__1.45062	301301__A0A395V7P2__ERS852391_05080
ERR1913260.45082__1.45082	40520__R7D6X4__addA
ERR1913260.45137__1.45137	216816__D6DAZ0__DXD28_02040
ERR1913260.45378__1.45378	820__A7V470__HMPREF1072_02076
ERR1913260.45534__1.45534	239935__A0A2N8HQR1__Amuc_0287
ERR1913260.45551__1.45551	1262848__R6UNC8__BN818_01440
ERR1913260.45611__1.45611	1550024__G9RZ38__ASJ35_12765
ERR1913260.45657__1.45657	239935__A0A139TPU7__CXT91_06575
ERR1913260.45718__1.45718	39491__A0A173VYV1__DXC13_02710
ERR1913260.45712__1.45712	1262924__R7HQV3__BN585_00017
ERR1913260.45713__1.45713	39491__A0A395ZKJ0__DXD13_11010
ERR1913260.45769__1.45769	1681__A0A0H3ED55__IF1010_1588
ERR1913260.46050__1.46050	239935__A0A2N8HW65__CXU09_08515
ERR1913260.46152__1.46152	446660__GCA_003428235.1_01223
ERR1913260.46203__1.46203	239935__A0A2N8I6R6__CXU04_04335
ERR1913260.46221__1.46221	1262924__R7HQI4__BN585_00500
ERR1913260.46305__1.46305	100886__E2NPD3__ERS852383_04249
ERR1913260.46287__1.46287	239935__A0A139TPD4__CXT86_06450
ERR1913260.46369__1.46369	39492__B0MM84__lgt
ERR1913260.46615__1.46615	2173__A0A1D2WSD4__METSMIALI_00416
ERR1913260.46658__1.46658	28111__E5WYC8__BACEGG_00347
ERR1913260.46776__1.46776	1262848__R6U2F0__BN818_00838
