ERR1913319.248__1.248	47678__R5U8S9__DW706_06260
ERR1913319.3578__1.3578	291644__I9HHY2__HMPREF1071_03364
ERR1913319.3523__1.3523	39492__D4JWY1__rnfA_1
ERR1913319.3646__1.3646	544644__GCA_001915615.1_01797
ERR1913319.3624__1.3624	106588__A6NUL8__BACCAP_01900
ERR1913319.3747__1.3747	820__R9HXK9__DXB62_08265
ERR1913319.3866__1.3866	239935__A0A2N8I9N0__CXT97_09915
ERR1913319.3893__1.3893	39492__D4JWP8__EUBSIR_00699
ERR1913319.4272__1.4272	74426__rpoB
ERR1913319.4663__1.4663	820__A0A3E4RU03__M093_0563
ERR1913319.4716__1.4716	47678__R5UD76__BACCAC_01373
ERR1913319.4764__1.4764	821__A0A395UNT8__DXD64_15275
ERR1913319.4852__1.4852	28117__B0MUT8__ALIPUT_00879
ERR1913319.4863__1.4863	820__A0A139K4T0__ERS852510_03146
ERR1913319.4923__1.4923	820__A7V9F9__B5G17_14640
ERR1913319.4978__1.4978	291644__I8YFE9__HMPREF1071_02973
ERR1913319.5124__1.5124	39492__D4MJF6__EUBSIR_02251
ERR1913319.5126__1.5126	487174__K0WRH0__DDY40_05725
ERR1913319.5057__1.5057	823__K6APS3__DDY96_02400
ERR1913319.5138__1.5138	823__D7IV95__DXC05_09565
ERR1913319.5213__1.5213	821__A6L0C7__ERS852556_03520
ERR1913319.5418__1.5418	820__A7V8C2__ERS852554_01338
ERR1913319.5513__1.5513	820__A0A174DZ97__SAMN05444418_101240
ERR1913319.5669__1.5669	291644__R5JRX7__HMPREF1532_01053
ERR1913319.5735__1.5735	820__A0A174B4N2__M093_2531
ERR1913319.6011__1.6011	821__A0A0P0LJ37__DXB82_14270
ERR1913319.6202__1.6202	291644__R5JG91__HMPREF1532_01961
ERR1913319.6417__1.6417	823__A0A355XKQ8__DHP27_04010
ERR1913319.6409__1.6409	214856__A0A174FW22__ERS852447_02437
ERR1913319.6431__1.6431	820__A0A174M9V5__M093_0237
ERR1913319.6447__1.6447	820__A0A3E4RUC4__DHU98_02635
ERR1913319.6608__1.6608	214856__A0A174ZLY7__ERS852447_02456
ERR1913319.6620__1.6620	39492__D4JT75__EUBSIR_01776
ERR1913319.6803__1.6803	328814__GCA_004558275.1_00289
ERR1913319.6836__1.6836	28117__B0MXX3__BHV66_07695
ERR1913319.6912__1.6912	246787__A0A0P0GNX3__BACCELL_00807
ERR1913319.7011__1.7011	487174__K0WTQ3__HMPREF9448_02140
ERR1913319.7205__1.7205	291644__I8Z4G9__ina_1
ERR1913319.7224__1.7224	820__A0A173XIP7__B5G17_16050
ERR1913319.7272__1.7272	821__A0A3E4WAR6__DXD64_10735
ERR1913319.7283__1.7283	246787__R6LGA6__tmoS_11
ERR1913319.7318__1.7318	291644__I9T9F4__HMPREF1532_02079
ERR1913319.7451__1.7451	28117__B0N028__BHV66_05935
ERR1913319.7457__1.7457	291644__I9I2F9__HMPREF1532_01625
ERR1913319.7413__1.7413	28117__B0MTH2__ALIPUT_00061
ERR1913319.7433__1.7433	820__A0A174M9V5__M093_0237
ERR1913319.7614__1.7614	39492__D4JR31__EUBSIR_00106
ERR1913319.7642__1.7642	823__A6LDT7__CEQ22_002595
ERR1913319.7729__1.7729	214856__A0A174FWM7__ERS852559_00590
ERR1913319.7745__1.7745	39492__D4JW25__EUBSIR_02203
ERR1913319.8298__1.8298	357276__A0A0K2HJA6__DXD47_07320
ERR1913319.8362__1.8362	820__A0A174Q0F0__DXB48_08080
ERR1913319.8412__1.8412	821__I9R3W6__DXC16_12455
ERR1913319.8596__1.8596	214856__I3YPP9__Alfi_2707
ERR1913319.8672__1.8672	1150298__A0A174PZ15__lytA
ERR1913319.8735__1.8735	39492__D4JTI2__ERS852540_00694
ERR1913319.8822__1.8822	1262824__R6SUI3__BN719_00366
ERR1913319.8793__1.8793	328814__GCA_004558275.1_00296
ERR1913319.8956__1.8956	39492__A0A174ZP27__EUBSIR_00033
ERR1913319.9119__1.9119	239935__A0A2N8HL50__CXT98_09135
ERR1913319.9133__1.9133	47678__A5ZL09__BACCAC_03608
ERR1913319.9175__1.9175	28117__B0MSL1__BHV66_06710
ERR1913319.9467__1.9467	820__A0A139KIL9__DXC68_05945
ERR1913319.9630__1.9630	821__A0A174WBC9__ERS852556_03145
ERR1913319.9714__1.9714	239935__A0A2N8HHY4__DEF40_10850
ERR1913319.9715__1.9715	39492__R6SA81__EUBSIR_00402
ERR1913319.9766__1.9766	214856__I3YPP0__ERS852447_01388
ERR1913319.9823__1.9823	291644__R5JC88__HMPREF1532_00990
ERR1913319.9861__1.9861	28118__F9ZAE1__DF785_04930
ERR1913319.10007__1.10007	818__A0A0P0F525__C799_04575
ERR1913319.9986__1.9986	28117__B0MY41__BHV66_05165
ERR1913319.10079__1.10079	820__A7V470__HMPREF1072_02076
ERR1913319.10096__1.10096	820__A0A174M9V5__M093_0237
ERR1913319.10146__1.10146	820__A7V049__DXB48_04755
ERR1913319.10229__1.10229	820__A0A173WUD7__DXB48_08055
ERR1913319.10261__1.10261	291644__R5J2A9__HMPREF1071_01590
ERR1913319.10409__1.10409	821__A0A0P0M6M0__M097_4734
ERR1913319.10446__1.10446	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913319.10763__1.10763	821__A0A174T998__DXB82_10860
ERR1913319.10799__1.10799	820__A0A3E4G826__C801_01612
ERR1913319.10857__1.10857	47678__A5ZJ14__ERS852494_02225
ERR1913319.10849__1.10849	39492__A0A174ZL16__EUBSIR_01269
ERR1913319.10904__1.10904	371601__C3QME2__CW1_3650
ERR1913319.11112__1.11112	1897011__A0A1Q6RIP3__BHW41_00615
ERR1913319.11085__1.11085	328814__GCA_004558275.1_00129
ERR1913319.11088__1.11088	544645__A0A3E4T3K9__DXC42_11565
ERR1913319.11139__1.11139	820__A0A173WUD7__DXB48_08055
ERR1913319.11234__1.11234	246787__R6K756__HMPREF1062_01819
ERR1913319.11324__1.11324	1897011__A0A1Q6RH37__BHW41_01795
ERR1913319.11444__1.11444	820__A0A396EXA7__DXB37_15530
ERR1913319.11445__1.11445	544644__GCA_001915615.1_00059
ERR1913319.11820__1.11820	820__A0A3E4FWC8__DXC91_14635
ERR1913319.12146__1.12146	1897011__A0A1Q6RBV8__BHW41_06760
ERR1913319.12285__1.12285	28117__B0MTY2__BHV66_06485
ERR1913319.12443__1.12443	820__A0A3E4G3J9__ERS852459_02265
ERR1913319.12601__1.12601	46503__A7AB27__DXB85_00430
ERR1913319.12664__1.12664	387090__S0F7Y3__BACCOPRO_02028
ERR1913319.12862__1.12862	291644__I9TBY1__HMPREF1532_01991
ERR1913319.13488__1.13488	821__A0A395UNT8__DXD64_15275
ERR1913319.13439__1.13439	214856__A0A174FZ29__ERS852559_00600
ERR1913319.13544__1.13544	820__A0A3E4VZY4__ERS852554_01211
ERR1913319.13573__1.13573	291644__I8Z4G9__ina_1
ERR1913319.13629__1.13629	328814__GCA_004558275.1_01621
ERR1913319.13676__1.13676	820__A7V092__hldE
ERR1913319.13700__1.13700	626929__K9EMN2__SAMN05444376_2987
ERR1913319.13945__1.13945	28118__R6F5T0__Odosp_2509
ERR1913319.13964__1.13964	46503__R6X607__HMPREF1060_03545
ERR1913319.13996__1.13996	33025__A0A395JBA6__C8D73_1039
ERR1913319.14019__1.14019	820__A0A139KG60__M094_2679
ERR1913319.14024__1.14024	626932__G5H8N0__HMPREF9450_01290
ERR1913319.14093__1.14093	239935__A0A139TVJ4__CXT86_02020
ERR1913319.14599__1.14599	357276__I9QBT7__BSEG_03340
ERR1913319.14780__1.14780	291644__I9TEJ3__luxQ_1
ERR1913319.14792__1.14792	239935__A0A2N8I390__CXU16_10675
ERR1913319.14816__1.14816	39492__D4JW28__spoVFA
ERR1913319.15294__1.15294	214856__I3YPP0__ERS852447_01388
ERR1913319.15539__1.15539	821__A0A173XDD3__DXB82_17180
ERR1913319.15553__1.15553	291644__I9TBY1__HMPREF1532_01991
ERR1913319.15587__1.15587	820__A0A396EUU8__luxQ_3
ERR1913319.15656__1.15656	46228__V8CBW1__HMPREF1202_00636
ERR1913319.15662__1.15662	28117__B0MTV5__BHV66_06415
ERR1913319.15704__1.15704	820__R7E9Z4__DXC68_06065
ERR1913319.15809__1.15809	821__D4VD59__BHV80_04260
ERR1913319.15911__1.15911	821__A0A174NSU0__BVU_3144
ERR1913319.15972__1.15972	28118__F9Z408__NCTC10826_01194
ERR1913319.16047__1.16047	820__A0A174GYA8__DXB64_07370
ERR1913319.16147__1.16147	820__A7V8C2__ERS852554_01338
ERR1913319.16363__1.16363	820__A0A174EV88__HMPREF1072_01427
ERR1913319.16460__1.16460	291644__I9TJP2__ERS852428_00842
ERR1913319.16463__1.16463	291644__I9SK54__HMPREF1532_03743
ERR1913319.16504__1.16504	246787__A0A108T1Y3__fepA_8
ERR1913319.16609__1.16609	821__I9R3W6__DXC16_12455
ERR1913319.16838__1.16838	291644__I9SMF9__HMPREF1532_02933
ERR1913319.16879__1.16879	39492__D4JTB5__EUBSIR_01720
ERR1913319.16893__1.16893	820__A0A3E4VZY4__ERS852554_01211
ERR1913319.16895__1.16895	39492__D4JVW2__EUBSIR_02285
ERR1913319.17032__1.17032	328814__GCA_004558275.1_00135
ERR1913319.17261__1.17261	745368__A0A1T4Y7V7__SAMN02745178_02833
ERR1913319.17354__1.17354	214856__A0A174A1J3__ERS852447_01000
ERR1913319.17640__1.17640	239935__A0A2N8IVR0__CXT87_07115
ERR1913319.17724__1.17724	820__A0A173WUD7__DXB48_08055
ERR1913319.18016__1.18016	39492__D4JTG7__EUBSIR_00572
ERR1913319.18043__1.18043	820__A0A173WUD7__DXB48_08055
ERR1913319.18178__1.18178	820__A0A174GYA8__DXB64_07370
ERR1913319.18186__1.18186	239935__A0A2N8INZ4__CXU08_03560
ERR1913319.18242__1.18242	301301__A0A395V9V2__nplT_1
ERR1913319.18417__1.18417	239935__A0A2N8I5H6__CXT92_05565
ERR1913319.18516__1.18516	239935__A0A2N8IU14__ADH72_05655
ERR1913319.18531__1.18531	820__A0A3E4RU03__M093_0563
ERR1913319.18641__1.18641	28117__B0MT38__BHV66_05995
ERR1913319.18644__1.18644	820__A0A374Q351__DXD40_05850
ERR1913319.18686__1.18686	28117__B0MY40__BHV66_05170
ERR1913319.18722__1.18722	28117__B0MT86__BHV66_02450
ERR1913319.18746__1.18746	853__A0A3E2V168__FAEPRAM212_00929
ERR1913319.18934__1.18934	820__A0A139K426__B5G17_09115
ERR1913319.19077__1.19077	823__D0TCC2__HMPREF1075_01590
ERR1913319.18995__1.18995	544644__GCA_001915615.1_02043
ERR1913319.19085__1.19085	291644__I9TBY1__HMPREF1532_01991
ERR1913319.19175__1.19175	1897011__A0A1Q6RH97__BHW41_01945
ERR1913319.19189__1.19189	823__A0A174EFT7__luxQ_5
ERR1913319.19204__1.19204	820__A0A139JUD3__DXC91_19380
ERR1913319.19300__1.19300	820__A0A3E4GA19__SAMN05444418_10562
ERR1913319.19352__1.19352	820__A7UYX8__DXD40_11635
ERR1913319.19520__1.19520	39492__D4JSA4__ERS852540_00596
ERR1913319.19543__1.19543	39492__D4JR43__ERS852540_02379
ERR1913319.19555__1.19555	820__I9A4U7__DHU98_12785
ERR1913319.19586__1.19586	2108523__A0A2P2F3W3__LAWASA_692
ERR1913319.19696__1.19696	820__A0A396EUU8__luxQ_3
ERR1913319.19700__1.19700	28117__B0MXD0__ALIPUT_01669
ERR1913319.19866__1.19866	821__A0A395US34__C5Z04_18975
ERR1913319.19871__1.19871	559104__W1G851__CD006_27725
ERR1913319.19955__1.19955	166486__D4L449__ROSINTL182_08802
ERR1913319.20291__1.20291	820__A7V049__DXB48_04755
ERR1913319.20555__1.20555	291644__I8Y2A3__HMPREF1532_03851
ERR1913319.20890__1.20890	214856__A0A174A257__ERS852447_01007
ERR1913319.21003__1.21003	39492__D4JQP0__ypeB
ERR1913319.21204__1.21204	821__A0A174K302__CUU_3129
ERR1913319.21272__1.21272	28117__R7JJM9__ALIPUT_00662
ERR1913319.21294__1.21294	239935__A0A2N8IRW0__A4V05_11620
ERR1913319.21455__1.21455	33043__A0A173ZDC4__malL_1
ERR1913319.21657__1.21657	47678__R5UAY9__DW706_07200
ERR1913319.22042__1.22042	28111__R5JTT9__BACEGG_01644
ERR1913319.22063__1.22063	820__A0A173XIP7__B5G17_16050
ERR1913319.22287__1.22287	214856__I3YMN6__Alfi_1938
ERR1913319.22315__1.22315	291644__I8Y2A3__HMPREF1532_03851
ERR1913319.22482__1.22482	28117__B0MXG8__ALIPUT_01814
ERR1913319.22660__1.22660	291644__I8Y2A3__HMPREF1532_03851
ERR1913319.22778__1.22778	328814__GCA_004558275.1_00025
ERR1913319.22947__1.22947	820__A0A078S4C2__ERS417307_00828
ERR1913319.22958__1.22958	823__A0A395YZG9__M092_4358
ERR1913319.23007__1.23007	821__A0A174WBC9__ERS852556_03145
ERR1913319.23015__1.23015	28118__R6FBE6__DHW44_11635
ERR1913319.23041__1.23041	39492__D4JW10__pppA
ERR1913319.23158__1.23158	821__A0A174T998__DXB82_10860
ERR1913319.23186__1.23186	823__A0A174WTX5__DD466_11965
ERR1913319.23221__1.23221	418240__C6J839__ERS852478_02454
ERR1913319.23383__1.23383	239935__A0A2N8IHY1__CXU06_00035
ERR1913319.23482__1.23482	820__A0A174G065__DXB62_08975
ERR1913319.23580__1.23580	46503__R6X6L7__HMPREF1060_00291
ERR1913319.23715__1.23715	47678__R5UMC3__CGC64_08380
ERR1913319.23729__1.23729	328814__GCA_004558275.1_00293
ERR1913319.23775__1.23775	357276__I8WFU9__BACDOR_02006
ERR1913319.23890__1.23890	291644__I8YFE9__HMPREF1071_02973
ERR1913319.24278__1.24278	820__A0A173YYG4__evgS_3
ERR1913319.24373__1.24373	214856__A0A174ZB00__ERS852559_00631
ERR1913319.24411__1.24411	820__A0A3E4W4W5__ERS852554_02179
ERR1913319.24549__1.24549	39492__D4JVT0__EUBSIR_00059
ERR1913319.24590__1.24590	1262824__R6S1A7__BN719_01944
ERR1913319.24634__1.24634	291644__R5JAW4__HMPREF1071_01744
ERR1913319.24775__1.24775	301301__G2T3Q2__ERS852391_00522
ERR1913319.24809__1.24809	820__A0A139K1Y6__DXB48_02610
ERR1913319.24901__1.24901	291644__R5JUW8__wecA_3
ERR1913319.24959__1.24959	821__A0A174NSU0__BVU_3144
ERR1913319.24965__1.24965	820__A0A139K8N1__ERS852554_00951
ERR1913319.25033__1.25033	1501391__GCA_000786575.1_00145
ERR1913319.25042__1.25042	820__A0A173WUD7__DXB48_08055
ERR1913319.25301__1.25301	39492__A0A174Z2N0__EUBSIR_01615
ERR1913319.25558__1.25558	47678__A5ZF31__DXB67_11050
ERR1913319.25563__1.25563	46503__R6XCJ0__PARMER_01847
ERR1913319.25862__1.25862	39492__D4JWY0__EUBSIR_01648
ERR1913319.25970__1.25970	291644__U6RV10__ERS852428_00490
ERR1913319.25993__1.25993	39492__A0A174ZHV5__msbA_2
ERR1913319.26032__1.26032	46503__A7ADV9__ERS852463_01504
ERR1913319.26183__1.26183	214856__A0A174H3U9__ERS852559_00612
ERR1913319.26244__1.26244	328812__S0GEV6__HMPREF1535_04989
ERR1913319.26338__1.26338	820__A0A174CG08__DXB62_13215
ERR1913319.26577__1.26577	28117__B0MT73__ALIPUT_00412
ERR1913319.26607__1.26607	820__A0A173YYG4__evgS_3
ERR1913319.26754__1.26754	371601__F7M1V2__DXD80_13245
ERR1913319.26897__1.26897	818__A0A3E5H5M0__SAMN05216253_12081
ERR1913319.26964__1.26964	1965646__A0A1Y3W8B8__B5G10_11420
ERR1913319.26976__1.26976	820__A0A374Q8T2__DXB64_16190
ERR1913319.27084__1.27084	33043__A0A174H1Y6__ERS852575_02698
ERR1913319.27309__1.27309	1263000__R5EHB0__BN466_01647
ERR1913319.27445__1.27445	329854__R5LZK1__DXD27_00590
ERR1913319.27649__1.27649	246787__R6KBH9__HMPREF1062_04676
ERR1913319.27722__1.27722	28117__B0MXW9__ALIPUT_01981
ERR1913319.27747__1.27747	214856__E4MF20__Alfi_0697
ERR1913319.27868__1.27868	820__A0A139K8X8__DXC80_17665
ERR1913319.28094__1.28094	246787__R6KIG0__BcellWH2_02358
ERR1913319.28214__1.28214	291644__I9T2X5__ERS852428_03729
ERR1913319.28217__1.28217	39492__R6RT40__prkC_3
ERR1913319.28861__1.28861	820__A0A3E4G3J9__ERS852459_02265
ERR1913319.29176__1.29176	371601__I9JEF3__DXD80_17785
ERR1913319.29069__1.29069	358743__A0A0J9F352__SAMN05216568_103423
ERR1913319.29105__1.29105	853__A0A2J4JL53__CRH10_10795
ERR1913319.29228__1.29228	214856__A0A174G1M7__ERS852559_00594
ERR1913319.29410__1.29410	46503__R6X5I4__ERS852463_01136
ERR1913319.29492__1.29492	291644__I8Y011__HMPREF1071_04228
ERR1913319.29512__1.29512	820__A0A3E4W4Y7__B5G17_02055
ERR1913319.29516__1.29516	291644__R5JG91__HMPREF1532_01961
ERR1913319.29657__1.29657	214856__I3YPQ6__Alfi_2714
ERR1913319.29803__1.29803	291644__R5JCI3__HMPREF1532_04074
ERR1913319.29711__1.29711	39492__D4JV38__EUBSIR_01205
ERR1913319.29725__1.29725	820__A0A173XIP7__B5G17_16050
ERR1913319.29972__1.29972	39492__D4JR20__trmD
ERR1913319.29980__1.29980	820__A0A139KJR5__M093_4469
ERR1913319.30217__1.30217	820__A7V470__HMPREF1072_02076
ERR1913319.30219__1.30219	820__A0A139KIL9__DXC68_05945
ERR1913319.30247__1.30247	39492__D4JR58__EUBSIR_02090
ERR1913319.30422__1.30422	28117__B0MT38__BHV66_05995
ERR1913319.30533__1.30533	39492__D4JUT9__ERS852540_01449
ERR1913319.30595__1.30595	820__A0A174G065__DXB62_08975
ERR1913319.30661__1.30661	820__A0A3E4W084__BACUNI_04042
ERR1913319.31097__1.31097	371601__A0A1C7H1B8__BN890_22320
ERR1913319.31333__1.31333	291644__I8YYM8__HMPREF1532_01562
ERR1913319.31438__1.31438	291644__I9TJP2__ERS852428_00842
ERR1913319.31483__1.31483	820__A0A374Q854__HMPREF1073_03281
ERR1913319.31499__1.31499	47678__A5ZI88__BACCAC_02617
ERR1913319.31928__1.31928	239935__A0A2N8HHB6__B5G29_11500
ERR1913319.32013__1.32013	246787__R6KCH8__csbC
ERR1913319.31993__1.31993	328814__GCA_004558275.1_00991
ERR1913319.32027__1.32027	820__A7V859__ERS852462_00341
ERR1913319.32080__1.32080	39492__D4MIK7__EUBSIR_00676
ERR1913319.32185__1.32185	47678__R5U6J0__ERS852558_00310
ERR1913319.32796__1.32796	291644__R5JAW4__HMPREF1071_01744
ERR1913319.32808__1.32808	39492__D4JT68__spoIIIE
ERR1913319.33101__1.33101	820__A0A3E4RUC4__DHU98_02635
ERR1913319.33327__1.33327	820__A0A174M9V5__M093_0237
ERR1913319.33667__1.33667	39492__D4JQX3__EUBSIR_01310
ERR1913319.33792__1.33792	28117__B0MXR4__BHV66_08025
ERR1913319.33957__1.33957	40518__R5DTJ1__DXD86_03635
ERR1913319.34039__1.34039	820__A0A3E4G493__ERS417307_00253
ERR1913319.34294__1.34294	823__A0A355XLS2__ERS852380_02644
ERR1913319.34334__1.34334	1965631__A0A1Y4AKV8__B5F90_03510
ERR1913319.34338__1.34338	28117__B0MYW7__ALIPUT_02336
ERR1913319.34444__1.34444	214856__A0A174FWM7__ERS852559_00590
ERR1913319.34688__1.34688	39492__D4JVC7__yfgF
ERR1913319.34856__1.34856	39492__D4JW28__spoVFA
ERR1913319.34968__1.34968	328814__GCA_004558275.1_00089
ERR1913319.35135__1.35135	328814__GCA_004558275.1_00986
ERR1913319.35226__1.35226	821__A0A395UNT8__DXD64_15275
ERR1913319.35437__1.35437	291644__I9T671__HMPREF1071_02076
ERR1913319.35442__1.35442	821__A0A395UNT8__DXD64_15275
ERR1913319.35645__1.35645	820__A0A3E4WCC2__lptB_1
ERR1913319.35646__1.35646	166486__D4KUE6__ROSINTL182_08604
ERR1913319.35835__1.35835	820__R9I3N4__M093_0061
ERR1913319.35917__1.35917	328814__GCA_004558275.1_00090
ERR1913319.36224__1.36224	821__A0A3E4KIM1__M097_3660
ERR1913319.36236__1.36236	820__A0A3E4VZT7__DXB48_16145
ERR1913319.36238__1.36238	820__A0A173YYG4__evgS_3
ERR1913319.36390__1.36390	820__A7V470__HMPREF1072_02076
ERR1913319.36427__1.36427	818__A0A174SHK6__ERS852511_01161
ERR1913319.36497__1.36497	239935__A0A2N8ITX2__CXT86_11265
ERR1913319.36553__1.36553	1263005__R6FM26__BN497_00689
ERR1913319.36687__1.36687	820__A0A3E5E0T0__ERS852554_00312
ERR1913319.36826__1.36826	47678__R5U878__ERS852494_03300
ERR1913319.36927__1.36927	291644__I9SJA4__ERS852428_03529
ERR1913319.37017__1.37017	239935__A0A2N8IG27__CXT85_07805
ERR1913319.37154__1.37154	28117__B0MTY2__BHV66_06485
ERR1913319.37312__1.37312	39492__D4JRX7__EUBSIR_01480
ERR1913319.37378__1.37378	328814__GCA_004558275.1_00236
ERR1913319.37393__1.37393	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913319.37446__1.37446	328814__GCA_004558275.1_01847
ERR1913319.37864__1.37864	328814__GCA_004558275.1_00239
ERR1913319.37843__1.37843	1262945__R6YT88__BN600_00074
ERR1913319.37943__1.37943	821__A0A0P0M4G3__M099_3092
ERR1913319.38038__1.38038	328814__GCA_004558275.1_01976
ERR1913319.38053__1.38053	214856__A0A174G0N0__ERS852447_02436
ERR1913319.38235__1.38235	820__A0A174M9V5__M093_0237
ERR1913319.38447__1.38447	820__A7UYX8__DXD40_11635
ERR1913319.38479__1.38479	1897011__A0A1Q6RC54__BHW41_06555
ERR1913319.38529__1.38529	28117__R7JJM9__ALIPUT_00662
ERR1913319.38660__1.38660	820__A0A174GYA8__DXB64_07370
ERR1913319.38779__1.38779	820__A0A139KJ23__celCCA
ERR1913319.38803__1.38803	820__A0A139KHX1__HMPREF2141_00289
ERR1913319.38908__1.38908	39492__D4JWL2__ERS852540_01201
ERR1913319.39083__1.39083	291644__I9SQZ5__ERS852428_01656
ERR1913319.39255__1.39255	821__A0A396F9T7__M097_3427
ERR1913319.39442__1.39442	328814__GCA_004558275.1_01621
ERR1913319.39629__1.39629	821__U6RDC2__DXD46_15675
ERR1913319.39631__1.39631	47678__R5UBT0__CGC64_12195
ERR1913319.39685__1.39685	820__A0A139KA34__B5G17_05520
ERR1913319.39915__1.39915	39492__D4JQY4__EUBSIR_01325
ERR1913319.40038__1.40038	246787__A0A0N7IFC5__HMPREF1062_01960
ERR1913319.40633__1.40633	1263005__R6F114__BN497_00356
ERR1913319.40723__1.40723	246787__R6K756__HMPREF1062_01819
ERR1913319.40727__1.40727	821__A0A395UNT8__DXD64_15275
ERR1913319.40749__1.40749	28117__B0MTI4__ALIPUT_00084
ERR1913319.40824__1.40824	823__A0A355XN73__DXC05_07000
ERR1913319.40909__1.40909	821__U6RDC2__DXD46_15675
ERR1913319.41125__1.41125	371601__D6CXF7__BN891_50120
ERR1913319.41155__1.41155	821__A0A396F9T7__M097_3427
ERR1913319.41285__1.41285	47678__R5UAI1__BACCAC_01922
ERR1913319.41384__1.41384	291644__R5JG91__HMPREF1532_01961
ERR1913319.41450__1.41450	39492__D4JW10__pppA
ERR1913319.41575__1.41575	239935__B2URG6__CXU02_00030
ERR1913319.41597__1.41597	458033__GCA_001482755.1_02203
ERR1913319.41680__1.41680	246787__R6KCH8__csbC
ERR1913319.41750__1.41750	291644__I8YR49__ERS852428_01188
ERR1913319.41852__1.41852	39492__D4JT68__spoIIIE
ERR1913319.41883__1.41883	820__A0A1Y3V743__M093_0235
ERR1913319.41939__1.41939	1501391__GCA_000786575.1_00008
ERR1913319.42169__1.42169	28116__C3QSX8__SAMN05444282_101331
ERR1913319.42292__1.42292	214856__A0A174CRY5__ERS852559_01060
ERR1913319.42346__1.42346	820__A0A1T4IYF4__mprA_1
ERR1913319.42471__1.42471	1262743__R5C054__BN727_01980
ERR1913319.42782__1.42782	328814__GCA_004558275.1_02280
ERR1913319.42931__1.42931	28117__B0MT86__BHV66_02450
ERR1913319.42979__1.42979	1262992__R5D3W6__BN795_00533
ERR1913319.43104__1.43104	39492__D4JQU2__EUBSIR_01294
ERR1913319.43229__1.43229	823__A0A173V751__DXD05_02690
ERR1913319.43420__1.43420	820__R9I2U8__DXC68_09590
ERR1913319.43439__1.43439	821__A0A395UNT8__DXD64_15275
ERR1913319.43521__1.43521	328814__GCA_004558275.1_00035
ERR1913319.43748__1.43748	39492__D4JVG7__ERS852540_00946
ERR1913319.43902__1.43902	39492__D4JWL2__ERS852540_01201
ERR1913319.44144__1.44144	820__A0A1T4IYF4__mprA_1
ERR1913319.44200__1.44200	28117__B0MUL5__ALIPUT_00722
ERR1913319.44215__1.44215	820__A0A174QT76__B5G17_18060
ERR1913319.44296__1.44296	28117__B0MU76__ALIPUT_00202
ERR1913319.44493__1.44493	239935__A0A139TPG3__CXT86_08810
ERR1913319.44502__1.44502	39490__U2P932__ERS852448_00304
ERR1913319.44801__1.44801	820__A0A174DZ97__SAMN05444418_101240
ERR1913319.45086__1.45086	410072__C0BER6__DXD67_15575
ERR1913319.45282__1.45282	1501392__A0A0B2JRR1__PU94_02645
ERR1913319.45335__1.45335	39491__C4ZF05__vpr
ERR1913319.45340__1.45340	246787__A0A0P0GCR8__xynD_3
ERR1913319.45381__1.45381	820__A0A174Q0F0__DXB48_08080
ERR1913319.45419__1.45419	487174__W0ES49__HMPREF9448_00709
