ERR1913042.39__1.39	39491__A0A395ZDC6__addB
ERR1913042.2319__1.2319	1262924__R7HTA4__BN585_00391
ERR1913042.2372__1.2372	1262924__R7HR75__BN585_00689
ERR1913042.2376__1.2376	487173__H1D020__HMPREF9453_00958
ERR1913042.2440__1.2440	165179__D1PEQ5__PREVCOP_05711
ERR1913042.2476__1.2476	165179__D1PER3__DXB80_11525
ERR1913042.2484__1.2484	39491__A0A395ZHV7__ykvU
ERR1913042.2617__1.2617	69974__A0A090FEL8__MPL3365_630008
ERR1913042.2669__1.2669	69974__A0A090FEL8__MPL3365_630008
ERR1913042.2727__1.2727	28116__E5C3L0__B5F02_21065
ERR1913042.2791__1.2791	322505__frlB
ERR1913042.2803__1.2803	40518__R5DXW3__DXD86_07900
ERR1913042.2815__1.2815	165179__D1PHD6__DXC61_03380
ERR1913042.2847__1.2847	47678__A0A174H7W9__ERS852494_00524
ERR1913042.2948__1.2948	487173__H1D0E0__HMPREF9453_01078
ERR1913042.2988__1.2988	310298__B3JH76__BACCOP_01230
ERR1913042.2994__1.2994	820__R9I2U8__DXC68_09590
ERR1913042.3014__1.3014	40518__R5E1J7__RBL236_02062
ERR1913042.3056__1.3056	1735__B7CE08__EUBIFOR_02443
ERR1913042.3167__1.3167	40520__R7D6C0__RUMOBE_01488
ERR1913042.3198__1.3198	69974__A0A090FEL8__MPL3365_630008
ERR1913042.3238__1.3238	626933__H1DGX0__HMPREF9449_01506
ERR1913042.3604__1.3604	28118__F9Z7B3__SAMEA44545918_00670
ERR1913042.3764__1.3764	69974__A0A090FEL8__MPL3365_630008
ERR1913042.3814__1.3814	28118__F9ZCH4__kfoC_2
ERR1913042.4051__1.4051	291645__I9SGK8__HMPREF1068_00004
ERR1913042.4064__1.4064	69974__A0A090FEL8__MPL3365_630008
ERR1913042.4125__1.4125	69974__A0A090FEL8__MPL3365_630008
ERR1913042.4138__1.4138	301301__A0A395VB45__ERS852391_02575
ERR1913042.4211__1.4211	39485__A0A174YMD0__EUBELI_01093
ERR1913042.4219__1.4219	1150298__A0A174TDE7__ERS852535_00299
ERR1913042.4230__1.4230	47678__A5ZBL9__C5Z00_18710
ERR1913042.4445__1.4445	39485__A0A174YNW2__cph2_3
ERR1913042.4446__1.4446	384639__GCA_003096855.1_00995
ERR1913042.4499__1.4499	853__A0A173T6P2__DWZ46_14595
ERR1913042.4543__1.4543	165179__D1PHD6__DXC61_03380
ERR1913042.4599__1.4599	1262743__R5C3A8__BN727_00457
ERR1913042.4624__1.4624	853__A0A173T6P2__DWZ46_14595
ERR1913042.4639__1.4639	204516__U6RSX5__HMPREF1534_00314
ERR1913042.4646__1.4646	165179__A0A3E5AFJ9__CFT61_15180
ERR1913042.4652__1.4652	39491__D4JM76__DXC13_02150
ERR1913042.4665__1.4665	487173__H1D020__HMPREF9453_00958
ERR1913042.4695__1.4695	626933__H1DGX0__HMPREF9449_01506
ERR1913042.4710__1.4710	69974__A0A090FEL8__MPL3365_630008
ERR1913042.4746__1.4746	820__A0A139K024__B5G17_02060
ERR1913042.4757__1.4757	69974__A0A090FEL8__MPL3365_630008
ERR1913042.4807__1.4807	204516__U6RFU0__HMPREF1534_02545
ERR1913042.5114__1.5114	820__A0A139K8X8__DXC80_17665
ERR1913042.5237__1.5237	853__A0A2A7B9I6__DW855_13690
ERR1913042.5245__1.5245	39485__C4Z1W5__ERS852492_01530
ERR1913042.5338__1.5338	165179__D1PHV2__PREVCOP_06822
ERR1913042.5390__1.5390	40518__R5DU52__RB5AMG_02245
ERR1913042.5459__1.5459	310298__B3JMG0__BACCOP_03099
ERR1913042.5588__1.5588	310298__B3JFQ2__BACCOP_00703
ERR1913042.5591__1.5591	165179__A0A3E4SB95__DXC61_13455
ERR1913042.5594__1.5594	165179__A0A229I3Z6__PREVCOP_03666
ERR1913042.5655__1.5655	310298__B3JEE8__BACCOP_00239
ERR1913042.5661__1.5661	853__A0A173YYY4__DWZ04_09420
ERR1913042.5729__1.5729	69974__A0A090FEL8__MPL3365_630008
ERR1913042.5755__1.5755	165179__A0A174IPI3__CFT61_10940
ERR1913042.5775__1.5775	204516__U6R7Y8__HMPREF1534_03942
ERR1913042.5932__1.5932	74426__groL
ERR1913042.5964__1.5964	165179__A0A3E5AER8__DXB80_07075
ERR1913042.5948__1.5948	165179__A0A3E5EB26__CFT61_02800
ERR1913042.6019__1.6019	165179__D1PCL6__DXB80_13435
ERR1913042.6162__1.6162	69974__A0A090FEL8__MPL3365_630008
ERR1913042.6246__1.6246	39485__R5ZPP8__EUBELI_20334
ERR1913042.6314__1.6314	820__A0A3E4FZM1__adaA_2
ERR1913042.6406__1.6406	39491__D6E408__EUBREC_1466
ERR1913042.6501__1.6501	310298__B3JGJ2__BACCOP_00994
ERR1913042.6518__1.6518	165179__D1PEQ5__PREVCOP_05711
ERR1913042.6551__1.6551	39490__A0A173QWQ2__bga
ERR1913042.6635__1.6635	40518__R5DVR2__RBL236_00303
ERR1913042.6690__1.6690	28117__B0MTY2__BHV66_06485
ERR1913042.6715__1.6715	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913042.6720__1.6720	821__D4VC51__M099_1508
ERR1913042.6760__1.6760	33039__D4M340__sleB_2
ERR1913042.6768__1.6768	487173__H1CYN8__HMPREF9453_00476
ERR1913042.6786__1.6786	69974__A0A090FEL8__MPL3365_630008
ERR1913042.6840__1.6840	69974__A0A090FEL8__MPL3365_630008
ERR1913042.6896__1.6896	165179__A0A174UTZ7__DXC61_06705
ERR1913042.7072__1.7072	204516__U6RSX5__HMPREF1534_00314
ERR1913042.7093__1.7093	1262948__R7EG47__BN671_01193
ERR1913042.7254__1.7254	69974__A0A090FEL8__MPL3365_630008
ERR1913042.7358__1.7358	39491__A0A395UUN5__EUBREC_0291
ERR1913042.7470__1.7470	47678__R5UES3__CGC64_00760
ERR1913042.7479__1.7479	301301__A0A173WYG1__ERS852391_00117
ERR1913042.7497__1.7497	204516__U6R9E6__HMPREF1534_03149
ERR1913042.7580__1.7580	165179__D1PGU8__PREVCOP_06463
ERR1913042.7606__1.7606	853__A0A2A7B1Y7__C7K05_11930
ERR1913042.7611__1.7611	47678__R5UAG4__DW706_17045
ERR1913042.7727__1.7727	39491__A0A173RJ81__DXB76_01570
ERR1913042.7799__1.7799	69974__A0A090FEL8__MPL3365_630008
ERR1913042.7838__1.7838	69974__A0A090FEL8__MPL3365_630008
ERR1913042.7817__1.7817	39485__C4Z5L9__ERS852490_00668
ERR1913042.7889__1.7889	165179__D1PHV2__PREVCOP_06822
ERR1913042.8061__1.8061	626933__H1DGX0__HMPREF9449_01506
ERR1913042.8251__1.8251	1796613__A0A1C7GYD6__A4V03_03700
ERR1913042.8276__1.8276	39485__A0A174ZKZ4__spoIIQ_1
ERR1913042.8294__1.8294	69974__A0A090FEL8__MPL3365_630008
ERR1913042.8296__1.8296	33039__D4M6I1__nadB_2
ERR1913042.8298__1.8298	40518__R5E670__DXD93_06195
ERR1913042.8361__1.8361	40518__R5DV58__htrA
ERR1913042.8391__1.8391	39491__C4Z872__LD38_07250
ERR1913042.8489__1.8489	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913042.8546__1.8546	39492__R6SPM9__pheT
ERR1913042.8635__1.8635	39491__D6E2U1__EUBREC_3278
ERR1913042.9046__1.9046	39485__R5ZNG4__yerB
ERR1913042.9220__1.9220	165179__D1PES9__DXB80_11585
ERR1913042.9285__1.9285	68891__E8KCF9__hsdS
ERR1913042.9300__1.9300	69974__A0A090FEL8__MPL3365_630008
ERR1913042.9346__1.9346	418240__C6J8B6__ERS852523_03677
ERR1913042.9328__1.9328	33038__A0A2N5Q1T9__ERS852409_01319
ERR1913042.9406__1.9406	821__A0A395UNT8__DXD64_15275
ERR1913042.9458__1.9458	1160721__W0U309__BHW50_02320
ERR1913042.9481__1.9481	853__A0A173T8T3__DW882_06555
ERR1913042.9535__1.9535	820__A0A078S4C2__ERS417307_00828
ERR1913042.9541__1.9541	853__A0A329UEG4__CHR60_00585
ERR1913042.9631__1.9631	40518__R5DYU1__DXD86_01160
ERR1913042.9722__1.9722	39485__R5ZSI4__ERS852492_00875
ERR1913042.9972__1.9972	1628085__A0A1C5YAJ9__C7386_10197
ERR1913042.10032__1.10032	1262924__R7HQ73__BN585_02030
ERR1913042.10096__1.10096	165179__A0A229I7F5__DXB80_02650
ERR1913042.10253__1.10253	47678__R5UV30__C5Z00_12615
ERR1913042.10287__1.10287	310298__B3JEV4__BACCOP_00398
ERR1913042.10312__1.10312	1262992__R5D8P4__BN795_00650
ERR1913042.10393__1.10393	39491__C4Z9Y3__ERS852417_01808
ERR1913042.10538__1.10538	626933__H1DGX0__HMPREF9449_01506
ERR1913042.10687__1.10687	853__A0A2A7AXC8__C4N21_14120
ERR1913042.10918__1.10918	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913042.10936__1.10936	165179__A0A3E5DV57__DXB80_11400
ERR1913042.10966__1.10966	40518__R5E6K4__RB5AMG_02070
ERR1913042.11029__1.11029	39491__A0A174K9A3__DXB69_07785
ERR1913042.11135__1.11135	39491__R6UMS6__DXD13_07035
ERR1913042.11176__1.11176	39485__A0A174YMI9__cph2_5
ERR1913042.11272__1.11272	39492__D4JRX7__EUBSIR_01480
ERR1913042.11282__1.11282	1262913__R7JG96__BN646_02132
ERR1913042.11380__1.11380	511969__GeneID:3959334
ERR1913042.11405__1.11405	69974__A0A090FEL8__MPL3365_630008
ERR1913042.11479__1.11479	69974__A0A090FEL8__MPL3365_630008
ERR1913042.11650__1.11650	626933__H1DGX0__HMPREF9449_01506
ERR1913042.11679__1.11679	69974__A0A090FEL8__MPL3365_630008
ERR1913042.11801__1.11801	165179__A0A174IPI3__CFT61_10940
ERR1913042.11815__1.11815	487173__H1D0A3__HMPREF9453_01041
ERR1913042.11836__1.11836	39485__C4Z6V1__ERS852492_02640
ERR1913042.11840__1.11840	820__A0A174CG08__DXB62_13215
ERR1913042.11902__1.11902	69974__A0A090FEL8__MPL3365_630008
ERR1913042.11948__1.11948	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913042.12028__1.12028	487173__H1D1S1__HMPREF9453_01559
ERR1913042.12064__1.12064	69974__A0A090FEL8__MPL3365_630008
ERR1913042.12059__1.12059	69974__A0A090FEL8__MPL3365_630008
ERR1913042.12168__1.12168	165179__A0A3E4SB95__DXC61_13455
ERR1913042.12181__1.12181	39491__A0A395UVM9__DXB76_04540
ERR1913042.12349__1.12349	821__A0A174WBC9__ERS852556_03145
ERR1913042.12325__1.12325	69974__A0A090FEL8__MPL3365_630008
ERR1913042.12440__1.12440	1262929__R6F6C8__BN691_01344
ERR1913042.12655__1.12655	39485__A0A174YR79__EUBELI_20418
ERR1913042.12797__1.12797	69974__A0A090FEL8__MPL3365_630008
ERR1913042.12915__1.12915	69974__A0A090FEL8__MPL3365_630008
ERR1913042.12992__1.12992	39491__A0A395V2P3__DXB69_08700
ERR1913042.12994__1.12994	39485__R5ZNS8__rsmG
ERR1913042.13059__1.13059	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913042.13394__1.13394	28118__F9Z857__DER54_07670
ERR1913042.13469__1.13469	165179__A0A3E5A554__DXB80_13805
ERR1913042.13539__1.13539	39485__A0A174YVS4__EUBELI_00620
ERR1913042.13576__1.13576	28116__A7LS06__HMPREF2532_04668
ERR1913042.13907__1.13907	823__K6AMD2__B5F32_04565
ERR1913042.13998__1.13998	47678__R5UMP1__CGC64_03365
ERR1913042.14000__1.14000	28118__R6FHC4__NCTC10826_00338
ERR1913042.14009__1.14009	69974__A0A090FEL8__MPL3365_630008
ERR1913042.14066__1.14066	69974__A0A090FEL8__MPL3365_630008
ERR1913042.14121__1.14121	821__A6L0C7__ERS852556_03520
ERR1913042.14295__1.14295	69974__A0A090FEL8__MPL3365_630008
ERR1913042.14337__1.14337	310298__B3JFK6__BACCOP_00656
ERR1913042.14344__1.14344	28117__B0MWP2__ALIPUT_01468
ERR1913042.14399__1.14399	39485__C4Z6U7__EUBELI_20545
ERR1913042.14479__1.14479	69974__A0A090FEL8__MPL3365_630008
ERR1913042.14596__1.14596	1262924__R7HPZ6__BN585_00681
ERR1913042.14602__1.14602	821__A0A0P0L8F8__ERS852509_03705
ERR1913042.14782__1.14782	28118__F9Z6J0__DHW44_06845
ERR1913042.14899__1.14899	371601__D7J4W7__CW3_3382
ERR1913042.14933__1.14933	410072__A0A174DFS8__ERS852574_01251
ERR1913042.14934__1.14934	204516__U6RHJ9__HMPREF1534_02071
ERR1913042.15147__1.15147	310298__B3JNR4__BACCOP_03579
ERR1913042.15182__1.15182	1965632__A0A1Y4A853__B5F91_11650
ERR1913042.15192__1.15192	39485__A0A175A2T1__EUBELI_02034
ERR1913042.15229__1.15229	1796652__group_1831
ERR1913042.15263__1.15263	1160721__R6U7V4__BHW50_02190
ERR1913042.15268__1.15268	69974__A0A090FEL8__MPL3365_630008
ERR1913042.15277__1.15277	40520__R7D7V1__DXC87_12020
ERR1913042.15312__1.15312	310298__B3JKM0__BACCOP_02451
ERR1913042.15401__1.15401	1262924__R7HMB7__BN585_01717
ERR1913042.15493__1.15493	69974__A0A090FEL8__MPL3365_630008
ERR1913042.15555__1.15555	487175__A0A350CXX6__HMPREF9439_00888
ERR1913042.15569__1.15569	165179__D1PHV2__PREVCOP_06822
ERR1913042.15571__1.15571	39491__R6UMS6__DXD13_07035
ERR1913042.15641__1.15641	69974__A0A090FEL8__MPL3365_630008
ERR1913042.15763__1.15763	2293125__A0A374CIC9__DW917_02045
ERR1913042.15735__1.15735	165179__A0A174UTZ7__DXC61_06705
ERR1913042.15845__1.15845	204516__U6R838__HMPREF1534_03867
ERR1913042.15862__1.15862	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913042.15896__1.15896	28116__A0A0J9IIV5__M089_5519
ERR1913042.15923__1.15923	69974__A0A090FEL8__MPL3365_630008
ERR1913042.16015__1.16015	1262924__R7HR75__BN585_00689
ERR1913042.16039__1.16039	853__A0A174BZY1__xerD_1
ERR1913042.16119__1.16119	1262924__R7HQI4__BN585_00500
ERR1913042.16199__1.16199	39491__A0A173U0X0__DXB72_05865
ERR1913042.16203__1.16203	69974__A0A090FEL8__MPL3365_630008
ERR1913042.16152__1.16152	165179__A0A3E5DY64__CFT61_10025
ERR1913042.16241__1.16241	1262743__R5C054__BN727_01980
ERR1913042.16296__1.16296	39485__C4Z0F4__ERS852490_00945
ERR1913042.16341__1.16341	487175__R5EEQ9__HMPREF9439_02786
ERR1913042.16351__1.16351	820__A0A1T4IYF4__mprA_1
ERR1913042.16352__1.16352	820__A0A1T4IYF4__mprA_1
ERR1913042.16382__1.16382	69974__A0A090FEL8__MPL3365_630008
ERR1913042.16452__1.16452	610243__A0A060QJF7__ASAP_2763
ERR1913042.16595__1.16595	154288__A0A0X1TLK1__ERS852422_01507
ERR1913042.16648__1.16648	1550024__G9RZN9__ASJ35_05735
ERR1913042.16731__1.16731	1262743__R5C054__BN727_01980
ERR1913042.16818__1.16818	165179__D1PAV8__DXB80_13055
ERR1913042.16902__1.16902	165179__D1PGU8__PREVCOP_06463
ERR1913042.16903__1.16903	487173__H1D1P5__HMPREF9453_01533
ERR1913042.17032__1.17032	165179__D1PER3__DXB80_11525
ERR1913042.17205__1.17205	69974__A0A090FEL8__MPL3365_630008
ERR1913042.17277__1.17277	39485__A0A175A273__plsX_2
ERR1913042.17304__1.17304	165179__A0A3E5E8N5__DXC61_13460
ERR1913042.17342__1.17342	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913042.17422__1.17422	39491__R6TNE2__LD38_07270
ERR1913042.17810__1.17810	626933__H1DGX0__HMPREF9449_01506
ERR1913042.17824__1.17824	69974__A0A090FEL8__MPL3365_630008
ERR1913042.17901__1.17901	69974__A0A090FEL8__MPL3365_630008
ERR1913042.17949__1.17949	39485__A0A174YSS6__trxB_2
ERR1913042.18027__1.18027	69974__A0A090FEL8__MPL3365_630008
ERR1913042.18126__1.18126	1262986__R5ZX08__BN492_01351
ERR1913042.18188__1.18188	69974__A0A090FEL8__MPL3365_630008
ERR1913042.18172__1.18172	1262924__R7HQI4__BN585_00500
ERR1913042.18194__1.18194	1262992__R5CWT5__BN795_00747
ERR1913042.18281__1.18281	40518__R5DME2__DXD86_07315
ERR1913042.18296__1.18296	69974__A0A090FEL8__MPL3365_630008
ERR1913042.18307__1.18307	165179__D1PHD6__DXC61_03380
ERR1913042.18318__1.18318	487173__H1D020__HMPREF9453_00958
ERR1913042.18492__1.18492	410072__C0B8H9__ERS852481_01810
ERR1913042.18629__1.18629	165179__A0A3E5DR10__DXC61_03505
ERR1913042.18673__1.18673	69974__A0A090FEL8__MPL3365_630008
ERR1913042.18675__1.18675	165179__A0A3E5A554__DXB80_13805
ERR1913042.18867__1.18867	165179__D1PHC0__PREVCOP_06640
ERR1913042.18961__1.18961	410072__A0A174DFS8__ERS852574_01251
ERR1913042.18964__1.18964	410072__A0A3E4GPD6__DXD67_10205
ERR1913042.19110__1.19110	40518__R5DP21__RBATCC27255_00348
ERR1913042.19117__1.19117	39488__A0A173UR01__ERS852450_02793
ERR1913042.19172__1.19172	165179__A0A3E5DY64__CFT61_10025
ERR1913042.19332__1.19332	310298__B3JFK5__BACCOP_00655
ERR1913042.19351__1.19351	40518__R5DQK2__DXD93_03730
ERR1913042.19414__1.19414	39491__A0A396FUZ3__phoR_1
ERR1913042.19417__1.19417	371601__A0A139LNL6__ERS852396_04350
ERR1913042.19422__1.19422	69974__A0A090FEL8__MPL3365_630008
ERR1913042.19427__1.19427	69974__A0A090FEL8__MPL3365_630008
ERR1913042.19591__1.19591	884684__GCA_002892425.1_01408
ERR1913042.19622__1.19622	165179__A0A174IPI3__CFT61_10940
ERR1913042.19627__1.19627	69974__A0A090FEL8__MPL3365_630008
ERR1913042.19687__1.19687	39496__A5Z5I2__EUBVEN_00963
ERR1913042.19712__1.19712	357276__A0A0M1W657__HMPREF1064_04629
ERR1913042.19719__1.19719	1262761__R6QYZ5__BN606_00402
ERR1913042.19816__1.19816	853__E2ZGD9__C7J97_11715
ERR1913042.19819__1.19819	69974__A0A090FEL8__MPL3365_630008
ERR1913042.19931__1.19931	39488__A0A285PS63__DXD91_02115
ERR1913042.19938__1.19938	69974__A0A090FEL8__MPL3365_630008
ERR1913042.20066__1.20066	853__A0A174BA00__DW905_01145
ERR1913042.20136__1.20136	69974__A0A090FEL8__MPL3365_630008
ERR1913042.20186__1.20186	487173__H1D2K8__HMPREF9453_01846
ERR1913042.20300__1.20300	39485__A0A174YJA4__EUBELI_20421
ERR1913042.20330__1.20330	69974__A0A090FEL8__MPL3365_630008
ERR1913042.20394__1.20394	165179__A0A3E5EB26__CFT61_02800
ERR1913042.20481__1.20481	39491__A0A395ZG74__licR
ERR1913042.20586__1.20586	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913042.20715__1.20715	69974__A0A090FEL8__MPL3365_630008
ERR1913042.20728__1.20728	626933__H1DGX0__HMPREF9449_01506
ERR1913042.20830__1.20830	69974__A0A090FEL8__MPL3365_630008
ERR1913042.20843__1.20843	69974__A0A090FEL8__MPL3365_630008
ERR1913042.20947__1.20947	165179__A0A3E5AER8__DXB80_07075
ERR1913042.20988__1.20988	40518__R5DUJ5__DXD83_01635
ERR1913042.21052__1.21052	165179__D1PGU8__PREVCOP_06463
ERR1913042.21072__1.21072	165179__A0A174IPI3__CFT61_10940
ERR1913042.21110__1.21110	410072__C0B4V0__ERS852481_02420
ERR1913042.21154__1.21154	410072__A0A3E4GSQ6__cusS
ERR1913042.21544__1.21544	74426__pdxS
ERR1913042.21669__1.21669	1393034__GCA_001552785.1_00515
ERR1913042.21687__1.21687	310298__B3JH75__BACCOP_01229
ERR1913042.21714__1.21714	39485__C4Z5L2__ERS852490_00659
ERR1913042.21792__1.21792	820__A7V470__HMPREF1072_02076
ERR1913042.21987__1.21987	69974__A0A090FEL8__MPL3365_630008
ERR1913042.22071__1.22071	165179__A0A3E5AER8__DXB80_07075
ERR1913042.22131__1.22131	165179__A0A3E5DY64__CFT61_10025
ERR1913042.22168__1.22168	310298__B3JQL6__BACCOP_04252
ERR1913042.22183__1.22183	69974__A0A090FEL8__MPL3365_630008
ERR1913042.22284__1.22284	69974__A0A090FEL8__MPL3365_630008
ERR1913042.22325__1.22325	165179__D1PAV8__DXB80_13055
ERR1913042.22355__1.22355	165179__D1PGU8__PREVCOP_06463
ERR1913042.22471__1.22471	820__A0A396EUU8__luxQ_3
ERR1913042.22502__1.22502	69974__A0A090FEL8__MPL3365_630008
ERR1913042.22546__1.22546	821__A0A396F9T7__M097_3427
ERR1913042.22561__1.22561	69974__A0A090FEL8__MPL3365_630008
ERR1913042.22619__1.22619	2293125__A0A374BLR6__DW917_15555
ERR1913042.22678__1.22678	39485__A0A174YZE2__spoIIE
ERR1913042.22855__1.22855	69974__A0A090FEL8__MPL3365_630008
ERR1913042.22908__1.22908	2292284__A0A374V9L1__DXC10_09375
ERR1913042.23026__1.23026	853__D4JY61__C4N21_10560
ERR1913042.23121__1.23121	39485__A0A175A273__plsX_2
ERR1913042.23283__1.23283	69974__A0A090FEL8__MPL3365_630008
ERR1913042.23294__1.23294	310298__B3JFK5__BACCOP_00655
ERR1913042.23378__1.23378	418240__A0A173WVP8__acm
ERR1913042.23411__1.23411	204516__U6R7Y8__HMPREF1534_03942
ERR1913042.23448__1.23448	39491__A0A395ZG96__DXB69_15120
ERR1913042.23542__1.23542	165179__A0A3E4SB95__DXC61_13455
ERR1913042.23646__1.23646	69974__A0A090FEL8__MPL3365_630008
ERR1913042.23668__1.23668	69974__A0A090FEL8__MPL3365_630008
ERR1913042.23677__1.23677	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913042.23722__1.23722	39491__A0A396FKI0__DXC13_11560
ERR1913042.23727__1.23727	69974__A0A090FEL8__MPL3365_630008
ERR1913042.23732__1.23732	69974__A0A090FEL8__MPL3365_630008
ERR1913042.23766__1.23766	165179__D1PHC0__PREVCOP_06640
ERR1913042.23788__1.23788	853__A0A173T6P2__DWZ46_14595
ERR1913042.23811__1.23811	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913042.23870__1.23870	410072__A0A173SHF2__COPCOM_03201
ERR1913042.23966__1.23966	84024__A0A174KV25__bacE
ERR1913042.24007__1.24007	1796652__ltrA_3
ERR1913042.24235__1.24235	649756__B0NWY5__DO83_02030
ERR1913042.24277__1.24277	817__A0A0E2SZV3__M087_0730
ERR1913042.24287__1.24287	39491__C4ZAT2__ERE_28440
ERR1913042.24385__1.24385	310298__B3JFK4__BACCOP_00654
ERR1913042.24507__1.24507	69974__A0A090FEL8__MPL3365_630008
ERR1913042.24568__1.24568	626933__H1DGX0__HMPREF9449_01506
ERR1913042.24661__1.24661	165179__A0A229I7F5__DXB80_02650
ERR1913042.24734__1.24734	33039__D4M5R9__ERS852502_01774
ERR1913042.24812__1.24812	1262924__R7HUJ5__BN585_00830
ERR1913042.24852__1.24852	39491__A0A174K1W6__DXB99_15020
ERR1913042.24910__1.24910	69974__A0A090FEL8__MPL3365_630008
ERR1913042.24926__1.24926	487174__R5EP60__DIT83_09045
ERR1913042.24981__1.24981	204516__U6R9E0__HMPREF1534_03742
ERR1913042.25104__1.25104	69974__A0A090FEL8__MPL3365_630008
ERR1913042.25299__1.25299	28117__R7JLL3__ALIPUT_02219
ERR1913042.25496__1.25496	69974__A0A090FEL8__MPL3365_630008
ERR1913042.25525__1.25525	821__D4V4X2__DXC16_18525
ERR1913042.25621__1.25621	69974__A0A090FEL8__MPL3365_630008
ERR1913042.25680__1.25680	820__E5VEH7__ERS852459_01300
ERR1913042.25727__1.25727	821__D4VC51__M099_1508
ERR1913042.25806__1.25806	853__A0A174AML0__FPR_08640
ERR1913042.25821__1.25821	165179__A0A3E5DZ45__DXC61_02820
ERR1913042.25903__1.25903	204516__U6RDD8__HMPREF1534_02559
ERR1913042.26032__1.26032	853__A0A173YYY4__DWZ04_09420
ERR1913042.26146__1.26146	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913042.26509__1.26509	371601__D7J175__DXD03_05675
ERR1913042.26492__1.26492	165179__W1I4H6__DXB80_13655
ERR1913042.26544__1.26544	28116__E5C3L0__B5F02_21065
ERR1913042.26555__1.26555	817__A0A0E2SZV3__M087_0730
ERR1913042.26725__1.26725	40518__R5E4V5__RBL263_01242
ERR1913042.26832__1.26832	69974__A0A090FEL8__MPL3365_630008
ERR1913042.26837__1.26837	69974__A0A090FEL8__MPL3365_630008
ERR1913042.26903__1.26903	853__E2ZJT1__C4N23_03535
ERR1913042.27017__1.27017	40518__R5E6K4__RB5AMG_02070
ERR1913042.26991__1.26991	310298__B3JM32__BACCOP_00571
ERR1913042.27043__1.27043	310298__B3JNH4__BACCOP_03487
ERR1913042.27093__1.27093	820__A0A3E4VZY4__ERS852554_01211
ERR1913042.27116__1.27116	823__A0A355XKQ8__DHP27_04010
ERR1913042.27145__1.27145	69974__A0A090FEL8__MPL3365_630008
ERR1913042.27199__1.27199	487173__H1D1P5__HMPREF9453_01533
ERR1913042.27393__1.27393	821__E5UY21__C800_02204
ERR1913042.27411__1.27411	626933__H1DGX0__HMPREF9449_01506
ERR1913042.27461__1.27461	39492__D4JRZ7__smc
ERR1913042.27463__1.27463	310298__B3JK97__BACCOP_02326
ERR1913042.27421__1.27421	310298__B3JGJ2__BACCOP_00994
ERR1913042.27500__1.27500	39485__A0A174ZJ13__ssuB
ERR1913042.27639__1.27639	69974__A0A090FEL8__MPL3365_630008
