ERR1913301.129__1.129	28118__F9Z8K4__Odosp_0843
ERR1913301.4133__1.4133	39485__C4Z6N2__EUBELI_20479
ERR1913301.4189__1.4189	1262929__R6F558__BN691_01421
ERR1913301.4326__1.4326	28118__F9Z7P4__B5F99_17665
ERR1913301.4335__1.4335	166486__D4KZA5__ERS852572_03317
ERR1913301.4359__1.4359	28025__A0A0L7CV69__BLC1_1290
ERR1913301.4388__1.4388	1262929__R6EZP7__BN691_00230
ERR1913301.4538__1.4538	166486__R6AY46__ROSINTL182_06128
ERR1913301.4641__1.4641	165179__A0A3E5DX33__PREVCOP_05190
ERR1913301.4736__1.4736	820__A7VAR9__ERS852421_00197
ERR1913301.4737__1.4737	39485__A0A174YMD0__EUBELI_01093
ERR1913301.4787__1.4787	166486__D4L1P2__ROSINTL182_05240
ERR1913301.4983__1.4983	39492__D4JU81__xseA
ERR1913301.4965__1.4965	1262929__R6FV20__BN691_00610
ERR1913301.5042__1.5042	301302__R5UJV1__ERS852420_01672
ERR1913301.5130__1.5130	820__A0A173W419__DXC68_17760
ERR1913301.5183__1.5183	28116__E5CCI3__NCTC11153_04275
ERR1913301.5286__1.5286	39492__D4JTH4__ERS852540_00702
ERR1913301.5317__1.5317	454155__F3QRN7__HMPREF9442_00841
ERR1913301.5576__1.5576	47678__A0A174TQR6__CGC64_14735
ERR1913301.5787__1.5787	820__A0A174I980__gldH
ERR1913301.5948__1.5948	363265__R6F6E7__HMPREF0673_02119
ERR1913301.6093__1.6093	165179__W1I4H6__DXB80_13655
ERR1913301.6119__1.6119	1262936__R7J116__BN799_01346
ERR1913301.6290__1.6290	165179__D1PFV4__PREVCOP_06112
ERR1913301.6292__1.6292	301302__A0A173SUI7__M72_11091
ERR1913301.6465__1.6465	165179__A0A3E5EDS1__DXC61_03115
ERR1913301.6490__1.6490	40518__A0A1C6H8C4__DXD93_02535
ERR1913301.6745__1.6745	410072__A0A3E4GMB7__COPCOM_03357
ERR1913301.6674__1.6674	84024__A0A174H0B2__ERS852384_00063
ERR1913301.6796__1.6796	1203556__S3A9V3__HMPREF1478_00699
ERR1913301.7307__1.7307	1262929__R6FV20__BN691_00610
ERR1913301.7522__1.7522	28052__A0A174GFL5__ERS852451_00478
ERR1913301.7513__1.7513	820__R9I2U8__DXC68_09590
ERR1913301.7602__1.7602	1262929__R6F7M1__BN691_00234
ERR1913301.7684__1.7684	1262929__R6F4F7__BN691_01167
ERR1913301.7771__1.7771	1262929__R6F9R1__BN691_00465
ERR1913301.7804__1.7804	1262936__R7J1V8__BN799_00957
ERR1913301.7859__1.7859	1262929__R6F8A0__BN691_00413
ERR1913301.8091__1.8091	1105031__J1H3W2__HMPREF1141_2783
ERR1913301.8097__1.8097	410072__A0A3E4GUH0__COPCOM_01729
ERR1913301.8190__1.8190	357276__B6W5Q7__DXD47_13945
ERR1913301.8240__1.8240	1262929__R6F8L7__BN691_00557
ERR1913301.8319__1.8319	165179__A0A174SA26__PREVCOP_05758
ERR1913301.8494__1.8494	28052__R7NAP6__ERS852499_01969
ERR1913301.8754__1.8754	88431__A0A3D0EYE9__rafA
ERR1913301.8773__1.8773	820__A0A173YYG4__evgS_3
ERR1913301.8672__1.8672	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913301.8863__1.8863	46503__K5ZKR1__dnaB
ERR1913301.8813__1.8813	46228__V8BYC1__RUMLAC_00426
ERR1913301.8842__1.8842	166486__D4L0E1__ypdA_4
ERR1913301.8950__1.8950	1262929__R6EZ86__BN691_00765
ERR1913301.9025__1.9025	853__A0A2A7A4A9__C4N21_14870
ERR1913301.9068__1.9068	166486__D4KZY5__ROSINTL182_07635
ERR1913301.9277__1.9277	39485__A0A174YZZ2__ERS852492_00215
ERR1913301.9406__1.9406	165179__A0A3E5DX33__PREVCOP_05190
ERR1913301.9449__1.9449	39778__A0A3D2WPN5__VEIDISOL_01722
ERR1913301.9716__1.9716	363265__R7H1Q3__HMPREF0673_02409
ERR1913301.9807__1.9807	820__R9I324__HMPREF2141_02414
ERR1913301.9853__1.9853	853__A0A3E2U7E6__ERS852582_01640
ERR1913301.9904__1.9904	74426__yccM
ERR1913301.9905__1.9905	166486__D4L255__mcp4_5
ERR1913301.10142__1.10142	1262924__R7HM17__BN585_01318
ERR1913301.10149__1.10149	820__A0A3E4QZJ7__C801_01798
ERR1913301.10240__1.10240	820__A7V049__DXB48_04755
ERR1913301.10294__1.10294	363265__R6F7I6__HMPREF0673_02057
ERR1913301.10347__1.10347	823__A0A174XJM9__CEQ22_007230
ERR1913301.10445__1.10445	626940__E8LCD6__BHW43_01655
ERR1913301.10584__1.10584	165179__A0A3E4SEG4__DXC61_11235
ERR1913301.10772__1.10772	363265__R6F9Q7__HMPREF0673_00179
ERR1913301.10820__1.10820	410072__C0BD90__rpoD
ERR1913301.10889__1.10889	47678__A5ZHL2__DXB67_12495
ERR1913301.11144__1.11144	165179__A0A3E5DZD8__DXB80_09150
ERR1913301.11151__1.11151	1262929__R6EW63__BN691_01045
ERR1913301.11156__1.11156	1262929__R6F5I2__BN691_01051
ERR1913301.11283__1.11283	165179__A0A174IHQ2__PREVCOP_05478
ERR1913301.11243__1.11243	39492__D4JR58__EUBSIR_02090
ERR1913301.11324__1.11324	363265__G6B0R4__HMPREF0673_02482
ERR1913301.11368__1.11368	166486__A0A173VSA0__ROSINTL182_06124
ERR1913301.11428__1.11428	1262911__R6HMT5__BN557_00797
ERR1913301.11438__1.11438	360807__C0FUR6__RIL183_24171
ERR1913301.11457__1.11457	1262886__R6Q9S2__BN563_00641
ERR1913301.11600__1.11600	28052__A0A174YX76__mcp4_5
ERR1913301.11792__1.11792	165179__A0A3E5EDS1__DXC61_03115
ERR1913301.11822__1.11822	165179__R6CJG8__DXC61_09290
ERR1913301.11861__1.11861	165179__D1PDF6__DXB80_12430
ERR1913301.11944__1.11944	165179__D1PGD2__DXC61_10875
ERR1913301.12148__1.12148	39485__R5ZRN3__ERS852490_00208
ERR1913301.12192__1.12192	1262924__R7HSM4__BN585_00913
ERR1913301.12197__1.12197	39492__A0A174ZP27__EUBSIR_00033
ERR1913301.12322__1.12322	1628085__A0A3E2XZQ1__C7386_101439
ERR1913301.12874__1.12874	166486__D4KUE4__ROSINTL182_08606
ERR1913301.13135__1.13135	1897011__A0A1Q6RFG1__BHW41_03725
ERR1913301.13186__1.13186	39485__C4Z6J7__ERS852492_02047
ERR1913301.13224__1.13224	1262886__R6QH23__BN563_00463
ERR1913301.13432__1.13432	165179__R6CJG8__DXC61_09290
ERR1913301.13796__1.13796	39485__A0A174YNW2__cph2_3
ERR1913301.13968__1.13968	165179__A0A3E5A5E5__DXC61_13965
ERR1913301.14006__1.14006	626940__E8LF89__BHW43_10640
ERR1913301.14023__1.14023	166486__D4L082__yicI_5
ERR1913301.14026__1.14026	40518__R5DYP7__envC
ERR1913301.14042__1.14042	853__A0A2A7B9I6__DW855_13690
ERR1913301.14270__1.14270	853__D4JY61__C4N21_10560
ERR1913301.14372__1.14372	1262929__R6F6P4__BN691_01423
ERR1913301.14524__1.14524	39492__D4JRM9__bglB_2
ERR1913301.14651__1.14651	40518__R5E2R8__nnr_2
ERR1913301.14668__1.14668	165179__A0A174SR12__DXB80_04410
ERR1913301.14834__1.14834	853__C7H1R8__DW905_06675
ERR1913301.14837__1.14837	1263107__GCA_000436995.1_00067
ERR1913301.14871__1.14871	626940__R6WR72__HMPREF9443_00288
ERR1913301.14887__1.14887	165179__A0A3E5AEF7__DXC61_05000
ERR1913301.15089__1.15089	823__A6LBY1__ERS852380_00510
ERR1913301.15267__1.15267	1501391__GCA_000786575.1_00085
ERR1913301.15402__1.15402	301302__A0A0M6WIX9__ERS852420_01972
ERR1913301.15663__1.15663	28116__C3R1N5__SAMN05444282_12443
ERR1913301.15665__1.15665	166486__D4KUE4__ROSINTL182_08606
ERR1913301.15812__1.15812	33043__D5HIS6__ERS852575_02019
ERR1913301.15823__1.15823	363265__R7H608__HMPREF0673_01944
ERR1913301.15867__1.15867	165179__W1I4H6__DXB80_13655
ERR1913301.16102__1.16102	363265__G6AYV3__HMPREF0673_01814
ERR1913301.16058__1.16058	360807__A0A173XR05__RIL183_10401
ERR1913301.16309__1.16309	1262929__R6EU29__BN691_01068
ERR1913301.16313__1.16313	1358__Q9CE00__yvdE
ERR1913301.16681__1.16681	39492__D4JUS6__accD5
ERR1913301.16801__1.16801	820__A0A1T4IY71__HMPREF2141_02402
ERR1913301.16839__1.16839	165179__D1PGU8__PREVCOP_06463
ERR1913301.16912__1.16912	745368__A0A1T4X705__SAMN02745178_01472
ERR1913301.16913__1.16913	39485__C4Z6F3__EUBELI_20400
ERR1913301.17031__1.17031	363265__R6F6E7__HMPREF0673_02119
ERR1913301.17037__1.17037	165179__A0A174SA26__PREVCOP_05758
ERR1913301.17058__1.17058	39492__D4JWP8__EUBSIR_00699
ERR1913301.17087__1.17087	165179__A0A3E5E5H1__DXC61_07220
ERR1913301.17275__1.17275	454155__F3QXB7__HMPREF9442_02852
ERR1913301.17282__1.17282	1262929__R6EYQ0__BN691_00631
ERR1913301.17363__1.17363	818__Q8A5L9__BJP75_000955
ERR1913301.17381__1.17381	165179__A0A229I4J4__proA
ERR1913301.17448__1.17448	1501391__GCA_000786575.1_00048
ERR1913301.17419__1.17419	729__A0A377JKH0__yceB
ERR1913301.17566__1.17566	39492__D4JV86__spoIIE
ERR1913301.17523__1.17523	301302__A0A0M6WKN8__M72_27741
ERR1913301.17725__1.17725	1262929__R6EXK5__BN691_00233
ERR1913301.17782__1.17782	47678__R5U878__ERS852494_03300
ERR1913301.18001__1.18001	360807__A0A0M6WKR9__ROSEINA2194_01912
ERR1913301.18100__1.18100	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913301.18121__1.18121	626940__E8LF94__DCQ00_07860
ERR1913301.18126__1.18126	2293125__A0A374CIC9__DW917_02045
ERR1913301.18209__1.18209	46228__V8C5S1__RUMLAC_02063
ERR1913301.18192__1.18192	626940__E8LD48__DCQ00_06315
ERR1913301.18536__1.18536	363265__R7H1Q3__HMPREF0673_02409
ERR1913301.18496__1.18496	363265__G6B1A8__HMPREF0673_02679
ERR1913301.18578__1.18578	166486__D4KPQ7__ROSINTL182_09065
ERR1913301.18714__1.18714	166486__D4KWN4__ERS852572_01865
ERR1913301.18622__1.18622	363265__G6AUM0__HMPREF0673_00305
ERR1913301.18648__1.18648	1262929__R6FUB1__BN691_00386
ERR1913301.18742__1.18742	40518__R5DQR9__DXD83_00030
ERR1913301.18920__1.18920	301302__A0A173SCU7__M72_12871
ERR1913301.18999__1.18999	39485__A0A174ZA72__glgB_1
ERR1913301.19014__1.19014	33039__D4M1A4__ERS852502_00742
ERR1913301.18930__1.18930	39492__R6SA81__EUBSIR_00402
ERR1913301.19162__1.19162	166486__C7GCP5__ROSINTL182_07683
ERR1913301.19170__1.19170	1262929__R6F839__BN691_00353
ERR1913301.19261__1.19261	1262761__R6RU22__BN606_01110
ERR1913301.19274__1.19274	39485__A0A174YZE2__spoIIE
ERR1913301.19280__1.19280	165179__A0A3E5A5E5__DXC61_13965
ERR1913301.19323__1.19323	33039__A0A174YCL2__ERS852424_00029
ERR1913301.19440__1.19440	28118__F9ZCN9__DHW44_07820
ERR1913301.19475__1.19475	357276__A0A076IN30__DXD47_09350
ERR1913301.19495__1.19495	301302__R5UTG6__M72_25801
ERR1913301.19549__1.19549	572010__rpoB
ERR1913301.19684__1.19684	165179__A0A229I2W6__PREVCOP_04332
ERR1913301.19653__1.19653	1262929__R6EUN6__BN691_01271
ERR1913301.19626__1.19626	1262929__R6ETB4__BN691_00101
ERR1913301.19630__1.19630	39485__C4Z2J8__ERS852490_02044
ERR1913301.19777__1.19777	165179__A0A3E4SEG4__DXC61_11235
ERR1913301.19944__1.19944	1262929__R6EV93__BN691_01445
ERR1913301.20253__1.20253	387661__K5ZCY3__B5F96_06960
ERR1913301.20374__1.20374	165179__D1PCL6__DXB80_13435
ERR1913301.20399__1.20399	818__A0A0P0F7K1__ERS852461_02719
ERR1913301.20332__1.20332	39491__A0A396FEW6__T1815_18721
ERR1913301.20621__1.20621	33039__R6NZL9__RTO_21970
ERR1913301.20655__1.20655	165179__A0A3E4SG51__DXC61_10575
ERR1913301.20759__1.20759	1262929__R6EUZ3__BN691_01356
ERR1913301.21154__1.21154	820__A0A374Q854__HMPREF1073_03281
ERR1913301.21609__1.21609	40518__R5E7S2__RBL263_00671
ERR1913301.22028__1.22028	165179__D1PB89__DXC61_08425
ERR1913301.22033__1.22033	166486__D4KWP5__ROSINTL182_06014
ERR1913301.22172__1.22172	363265__R6FPM1__HMPREF0673_01826
ERR1913301.22370__1.22370	166486__D4KUC4__arcB_1
ERR1913301.22302__1.22302	165179__A0A3E5E9I4__DXB80_09745
ERR1913301.22321__1.22321	1262929__R6F825__BN691_00333
ERR1913301.22503__1.22503	39485__A0A174YTF7__ERS852490_01271
ERR1913301.22515__1.22515	301302__A0A173RQG1__M72_18491
ERR1913301.22604__1.22604	1897011__A0A1Q6RGG6__BHW41_02770
ERR1913301.22753__1.22753	39492__B0MNQ2__EUBSIR_01459
ERR1913301.22864__1.22864	363265__R6FQP4__HMPREF0673_00216
ERR1913301.23089__1.23089	39485__C4Z5L8__ERS852490_00665
ERR1913301.23096__1.23096	39492__D4JSA4__ERS852540_00596
ERR1913301.23194__1.23194	1262929__R6F4F7__BN691_01167
ERR1913301.23263__1.23263	165179__D1PCL6__DXB80_13435
ERR1913301.23402__1.23402	820__A0A173W419__DXC68_17760
ERR1913301.23461__1.23461	39492__D4JW25__EUBSIR_02203
ERR1913301.23521__1.23521	410072__A0A173ZGJ2__ERS852389_01316
ERR1913301.23577__1.23577	40520__A0A174IJ62__DXC87_06795
ERR1913301.23674__1.23674	39492__D4JR04__phoU
ERR1913301.23787__1.23787	165179__R6XIF8__DXC61_07265
ERR1913301.23807__1.23807	165179__D1PCL6__DXB80_13435
ERR1913301.23928__1.23928	1262936__R7J1D1__BN799_01770
ERR1913301.24012__1.24012	166486__D4L082__yicI_5
ERR1913301.23963__1.23963	626940__E8LCL8__DCQ00_09880
ERR1913301.23970__1.23970	360807__A0A173T4V2__ROSEINA2194_02477
ERR1913301.24133__1.24133	165179__A0A3E5E4T9__DXB80_08030
ERR1913301.24109__1.24109	820__A0A174A6K0__M093_0079
ERR1913301.24454__1.24454	28025__D3R5W6__BAA6_1120
ERR1913301.24471__1.24471	39492__B0MS79__ERS852540_01394
ERR1913301.24736__1.24736	1262924__R7HUJ5__BN585_00830
ERR1913301.24857__1.24857	357276__I9QBT4__GV66_09000
ERR1913301.25021__1.25021	1501391__GCA_000786575.1_00042
ERR1913301.25010__1.25010	165179__A0A174SA26__PREVCOP_05758
ERR1913301.25064__1.25064	1262929__R6EYQ0__BN691_00631
ERR1913301.25091__1.25091	820__A0A3E4VZY4__ERS852554_01211
ERR1913301.25246__1.25246	1262929__R6F0P0__BN691_00563
ERR1913301.25332__1.25332	39485__C4Z5L2__ERS852490_00659
ERR1913301.25434__1.25434	39492__A0A174Z2N0__EUBSIR_01615
ERR1913301.25529__1.25529	39492__D4JUL4__ERS852540_01381
ERR1913301.25560__1.25560	39492__D4JT68__spoIIIE
ERR1913301.25622__1.25622	1262929__R6ETB4__BN691_00101
ERR1913301.25623__1.25623	166486__D4L456__rpfG_10
ERR1913301.25816__1.25816	40520__A0A3E5EE58__RUMOBE_02861
ERR1913301.25878__1.25878	28132__D9RV83__HMPREF0660_00835
ERR1913301.26255__1.26255	39492__D4JUJ6__ssuB_2
ERR1913301.26214__1.26214	165179__A0A3E5AE59__DXC61_12885
ERR1913301.26375__1.26375	39485__A0A174YQX9__ERS852490_00864
ERR1913301.26398__1.26398	454155__F3QX11__HMPREF9442_02745
ERR1913301.26458__1.26458	39485__C4Z637__ERS852490_00218
ERR1913301.26538__1.26538	626940__E8LGA6__BHW43_03960
ERR1913301.26523__1.26523	165179__R6CNX7__DXB80_02200
ERR1913301.26478__1.26478	1262929__R6FTQ6__BN691_00232
ERR1913301.26479__1.26479	1262929__R6ETB4__BN691_00101
ERR1913301.26484__1.26484	166486__D4KZ69__ERS852572_01502
ERR1913301.26698__1.26698	165179__A0A229I443__DXB80_10950
ERR1913301.26769__1.26769	2022527__A0A264Y3X7__CHL74_13910
ERR1913301.26996__1.26996	301302__A0A173S3L8__vpr
ERR1913301.27291__1.27291	165179__A0A174SA26__PREVCOP_05758
ERR1913301.27329__1.27329	1262929__R6FPM9__BN691_00854
ERR1913301.27745__1.27745	1262929__R6F4F7__BN691_01167
ERR1913301.27825__1.27825	165179__A0A3E5AGH1__DXB80_05820
ERR1913301.27874__1.27874	1262929__R6F4F7__BN691_01167
ERR1913301.27982__1.27982	46228__B5CSE2__HMPREF1202_00716
ERR1913301.28045__1.28045	39485__C4Z355__ERS852490_01971
ERR1913301.28059__1.28059	1262929__R6FUB1__BN691_00386
ERR1913301.28138__1.28138	39485__C4Z390__EUBELI_01689
ERR1913301.28195__1.28195	1262929__R6F053__BN691_00334
ERR1913301.28302__1.28302	1262929__R6EUZ3__BN691_01356
ERR1913301.28450__1.28450	39485__R5ZYJ0__ERS852492_00222
ERR1913301.28421__1.28421	165179__A0A3E5E189__PREVCOP_06699
ERR1913301.28574__1.28574	166486__D4KX18__ROSINTL182_07596
ERR1913301.28647__1.28647	1262929__R6F825__BN691_00333
ERR1913301.28748__1.28748	1262929__R6EYQ0__BN691_00631
ERR1913301.28862__1.28862	1262886__R6QHX8__BN563_00685
ERR1913301.28973__1.28973	1262736__R5Y4Z2__BN496_01801
ERR1913301.28997__1.28997	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913301.29132__1.29132	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913301.29372__1.29372	301302__A0A0M6WF57__M72_22681
ERR1913301.29651__1.29651	39485__A0A174Z7G5__EUBELI_01168
ERR1913301.29631__1.29631	47678__R5U4P2__CGC64_17185
ERR1913301.29695__1.29695	2137880__A0A316NXQ0__DBY21_05020
ERR1913301.30049__1.30049	33039__A0A173VSH9__ERS852530_05439
ERR1913301.30025__1.30025	410072__A0A173ZG02__ERS852574_01061
ERR1913301.30067__1.30067	46503__R6X5E7__PARMER_00245
ERR1913301.29992__1.29992	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913301.30372__1.30372	165179__R6CJG8__DXC61_09290
ERR1913301.30577__1.30577	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913301.30596__1.30596	820__A0A374MXK3__HMPREF1072_00166
ERR1913301.30567__1.30567	39485__A0A174ZBK4__ERS852490_01585
ERR1913301.30847__1.30847	1262886__R6QAI4__BN563_00898
ERR1913301.30923__1.30923	1262886__R6Q9D7__BN563_00573
ERR1913301.30987__1.30987	1262929__R6EU29__BN691_01068
ERR1913301.31060__1.31060	39492__D4JUJ6__ssuB_2
ERR1913301.31250__1.31250	1262929__R6F573__BN691_00942
ERR1913301.31390__1.31390	28118__R6F5X8__DF785_07935
ERR1913301.31417__1.31417	165179__R6B8D8__DXC61_09245
ERR1913301.31431__1.31431	1262929__R6F9R1__BN691_00465
ERR1913301.31473__1.31473	823__A0A173TL14__M095_0764
ERR1913301.31616__1.31616	165179__A0A3E5AE59__DXC61_12885
ERR1913301.31913__1.31913	165179__A0A3E5AE59__DXC61_12885
ERR1913301.31990__1.31990	410072__A0A174BWR4__ERS852389_00309
ERR1913301.32046__1.32046	39492__D4JWL2__ERS852540_01201
ERR1913301.32126__1.32126	166486__D4L1P2__ROSINTL182_05240
ERR1913301.32179__1.32179	1262924__R7HM72__BN585_01169
ERR1913301.32369__1.32369	729__E1W237__A9297_01965
ERR1913301.32307__1.32307	853__A0A2A7B9I6__DW855_13690
ERR1913301.32387__1.32387	39492__D4JW10__pppA
ERR1913301.32532__1.32532	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913301.32533__1.32533	1262929__R6F3S2__BN691_00920
ERR1913301.32761__1.32761	626940__E8LG81__BHW43_02530
ERR1913301.32977__1.32977	1262929__R6FTR6__BN691_00242
ERR1913301.33060__1.33060	820__A0A3E5E0T0__ERS852554_00312
ERR1913301.33365__1.33365	1262929__R6FUB1__BN691_00386
ERR1913301.33366__1.33366	820__A0A396EUU8__luxQ_3
ERR1913301.33383__1.33383	1262929__R6F4F7__BN691_01167
ERR1913301.33448__1.33448	165179__D1P8V8__DXC61_01940
ERR1913301.33635__1.33635	820__A0A139KEW8__DXB64_06405
ERR1913301.33929__1.33929	301302__A0A0M6WWC3__M72_11371
ERR1913301.33935__1.33935	363265__R7GTF4__HMPREF0673_02453
ERR1913301.34126__1.34126	1608898__A0A369YM93__HMPREF3279_00190
ERR1913301.34273__1.34273	165179__R6CNX7__DXB80_02200
ERR1913301.34429__1.34429	363265__G6AW62__HMPREF0673_00859
ERR1913301.34537__1.34537	39492__D4MIK7__EUBSIR_00676
ERR1913301.34643__1.34643	40518__R5DTJ1__DXD86_03635
ERR1913301.34646__1.34646	166486__D4L1P3__ERS852572_00760
ERR1913301.34740__1.34740	363265__G6AYV3__HMPREF0673_01814
ERR1913301.34784__1.34784	363265__G6B0R4__HMPREF0673_02482
ERR1913301.34912__1.34912	39485__C4Z028__ERS852492_00100
ERR1913301.34929__1.34929	1262929__R6F558__BN691_01421
ERR1913301.35081__1.35081	1262924__R7HRJ9__BN585_00557
ERR1913301.35248__1.35248	39492__D4JTJ1__EUBSIR_01453
ERR1913301.35291__1.35291	39485__A0A174YMM2__ERS852490_01019
ERR1913301.35630__1.35630	39492__D4MIK7__EUBSIR_00676
ERR1913301.35713__1.35713	1262929__R6F3S2__BN691_00920
ERR1913301.35740__1.35740	165179__A0A3E5DZA5__DXB80_12550
ERR1913301.35810__1.35810	2022527__A0A264Y3X7__CHL74_13910
ERR1913301.35990__1.35990	1262929__R6EZX4__BN691_00295
ERR1913301.36047__1.36047	1262929__R6FPM9__BN691_00854
ERR1913301.36132__1.36132	165179__D1PEZ7__DXC61_06515
ERR1913301.36195__1.36195	165179__R6C3A5__DXC61_11820
ERR1913301.36535__1.36535	165179__A0A3E5E4P9__DXB80_07930
ERR1913301.36546__1.36546	853__A0A3E2U7E6__ERS852582_01640
ERR1913301.36574__1.36574	165179__A0A174IYW3__DXC61_01235
ERR1913301.36605__1.36605	166486__D4KV38__ROSINTL182_06841
ERR1913301.36608__1.36608	357276__C3RA36__HMPREF1065_03270
ERR1913301.36756__1.36756	820__A0A139KIL9__DXC68_05945
ERR1913301.36711__1.36711	165179__D1PEW8__DXB80_13775
ERR1913301.36824__1.36824	1262929__R6F8F6__BN691_02017
ERR1913301.36837__1.36837	1262992__R5DDW9__BN795_00572
ERR1913301.36903__1.36903	360807__A0A0M6WVC6__ERS852444_01433
ERR1913301.37026__1.37026	1262929__R6EXI8__BN691_01531
ERR1913301.37035__1.37035	165179__D1PGD2__DXC61_10875
ERR1913301.37207__1.37207	39492__D4JWT3__ERS852540_00301
ERR1913301.37260__1.37260	818__A0A3E5HDU6__C799_04515
ERR1913301.37264__1.37264	46506__A0A108TCV1__AA415_00106
ERR1913301.37600__1.37600	1262929__R6FAR5__BN691_00788
ERR1913301.37890__1.37890	1262929__R6ETB4__BN691_00101
ERR1913301.37865__1.37865	39485__A0A174ZA72__glgB_1
ERR1913301.38121__1.38121	363265__R6EW17__HMPREF0673_02095
ERR1913301.38168__1.38168	165179__A0A3E5A5E5__DXC61_13965
ERR1913301.38281__1.38281	301302__R5UTG6__M72_25801
ERR1913301.38448__1.38448	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913301.38687__1.38687	360807__A0A1Q6T5F3__ERS852392_00510
ERR1913301.38696__1.38696	1262929__R6EU29__BN691_01068
ERR1913301.38901__1.38901	820__A0A3E4VZT7__DXB48_16145
ERR1913301.38909__1.38909	165179__D1PCT4__DXB80_09470
ERR1913301.38799__1.38799	165179__R6XIF8__DXC61_07265
ERR1913301.38839__1.38839	626940__E8LER5__BHW43_05405
ERR1913301.38845__1.38845	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913301.39137__1.39137	165179__A0A3E5DZA5__DXB80_12550
ERR1913301.39293__1.39293	820__A0A139KHX1__HMPREF2141_00289
ERR1913301.39404__1.39404	165179__R6CNX7__DXB80_02200
ERR1913301.39350__1.39350	1262929__R6EX87__BN691_01422
ERR1913301.39621__1.39621	165179__D1PDJ4__DXB80_08505
ERR1913301.39625__1.39625	1262929__R6EZA2__BN691_02113
ERR1913301.39781__1.39781	165179__A0A3E5E3D6__DXC61_05750
ERR1913301.39855__1.39855	165179__A0A3E5A5E5__DXC61_13965
ERR1913301.39886__1.39886	28118__F9Z5M1__NCTC10826_02946
ERR1913301.40142__1.40142	1262929__R6F825__BN691_00333
ERR1913301.40293__1.40293	1262929__R6F8T1__BN691_00162
ERR1913301.40343__1.40343	1501391__GCA_000786575.1_00008
ERR1913301.40351__1.40351	166486__D4KVX6__ROSINTL182_06735
