ERR1913171.1__1.1	74426__group_4823
ERR1913171.26466__1.26466	246787__A0A3D6AXJ7__BACCELL_02379
ERR1913171.26492__1.26492	823__A0A3E4PAQ2__DDY96_18275
ERR1913171.26548__1.26548	357276__C3RA36__HMPREF1065_03270
ERR1913171.26605__1.26605	40518__R5E282__DXD86_08940
ERR1913171.26610__1.26610	239935__A0A2N8HL50__CXT98_09135
ERR1913171.26647__1.26647	371601__C3QB87__BN890_8390
ERR1913171.26670__1.26670	820__A0A3E4VZY4__ERS852554_01211
ERR1913171.26871__1.26871	357276__A0A076INK2__BSEG_04225
ERR1913171.26928__1.26928	39491__D4JM76__DXC13_02150
ERR1913171.26959__1.26959	649756__D4MVS5__yxeP
ERR1913171.27008__1.27008	357276__I8WEY2__ABI39_04185
ERR1913171.27163__1.27163	39486__R6SE83__DXD82_03080
ERR1913171.27220__1.27220	39491__A0A395ZBQ4__cph2_2
ERR1913171.27255__1.27255	239935__R6IZT7__CXU18_11710
ERR1913171.27262__1.27262	357276__B6W1Y1__BSEG_03960
ERR1913171.27272__1.27272	40518__R5E5I9__yvhJ_2
ERR1913171.27533__1.27533	61171__B9Y368__HOLDEFILI_00243
ERR1913171.27653__1.27653	823__A6L9D3__ERS852560_03374
ERR1913171.27706__1.27706	28116__F7M1Q5__CUY_1584
ERR1913171.27763__1.27763	820__A0A139KHX1__HMPREF2141_00289
ERR1913171.27803__1.27803	820__A0A396EUU8__luxQ_3
ERR1913171.27983__1.27983	166486__D4L1D8__ROSINTL182_06455
ERR1913171.27907__1.27907	823__A6LHK0__M090_1297
ERR1913171.27923__1.27923	820__A0A3E4XM43__DXC91_13960
ERR1913171.28166__1.28166	820__R9I2U8__DXC68_09590
ERR1913171.28210__1.28210	360807__A0A173T4V2__ROSEINA2194_02477
ERR1913171.28416__1.28416	28117__B0MTS2__ALIPUT_00159
ERR1913171.28423__1.28423	338188__A0A174ETX3__ERS852397_01955
ERR1913171.28509__1.28509	357276__I8WBQ9__HMPREF1065_03212
ERR1913171.28631__1.28631	387090__S0FBZ8__BACCOPRO_01470
ERR1913171.28712__1.28712	820__A0A3E4VZY4__ERS852554_01211
ERR1913171.28913__1.28913	357276__U6R8F9__DXD47_04035
ERR1913171.29091__1.29091	28117__B0N007__BHV66_10275
ERR1913171.29140__1.29140	39491__A0A395V0H6__ERS852580_02570
ERR1913171.29200__1.29200	820__A0A174I980__gldH
ERR1913171.29289__1.29289	239935__A0A3F3KBB8__CXU16_06755
ERR1913171.29443__1.29443	39491__A0A396FM36__DXB99_00820
ERR1913171.29559__1.29559	1150298__A0A174SZP5__ERS852535_02327
ERR1913171.29629__1.29629	33038__A7B7J5__DXD36_03640
ERR1913171.29635__1.29635	239935__A0A2N8IHY1__CXU06_00035
ERR1913171.29755__1.29755	357276__A0A0K2HDV9__DXD47_02600
ERR1913171.29860__1.29860	357276__I9R002__HMPREF1064_01826
ERR1913171.29881__1.29881	820__A0A1Q6IDS8__chtA
ERR1913171.30027__1.30027	246787__A0A0P0G684__cirA_10
ERR1913171.30169__1.30169	745368__A0A1T4XIF3__SAMN02745178_01889
ERR1913171.30194__1.30194	40518__R5DZM6__lytR_3
ERR1913171.30219__1.30219	40518__R5DR96__RBATCC27255_01185
ERR1913171.30240__1.30240	357276__I9FTR0__HMPREF1065_02861
ERR1913171.30563__1.30563	820__A0A3E4GA19__SAMN05444418_10562
ERR1913171.30597__1.30597	28117__B0MTV3__BHV66_06405
ERR1913171.30767__1.30767	823__A0A355XN36__DXB14_02385
ERR1913171.30714__1.30714	1263076__GCA_000437615.1_00180
ERR1913171.30783__1.30783	820__A0A3E4RU03__M093_0563
ERR1913171.30954__1.30954	39491__R6TQ09__DXC13_03010
ERR1913171.30970__1.30970	820__R9HP61__DXC91_01090
ERR1913171.31083__1.31083	387090__S0F7Y3__BACCOPRO_02028
ERR1913171.31121__1.31121	28116__F7LEX0__CUY_5042
ERR1913171.31154__1.31154	28117__B0MY45__ALIPUT_02164
ERR1913171.31188__1.31188	1393034__GCA_001552785.1_00510
ERR1913171.31205__1.31205	357276__I8WEY2__ABI39_04185
ERR1913171.31359__1.31359	1262911__R6GTZ4__BN557_01440
ERR1913171.31445__1.31445	357276__I8WC65__EL88_00520
ERR1913171.31632__1.31632	820__A0A174QLF0__SAMN05444418_109151
ERR1913171.31714__1.31714	357276__I9R994__BACDOR_04044
ERR1913171.31730__1.31730	28118__R6F891__NCTC10826_02656
ERR1913171.31778__1.31778	39486__R6SW59__DORFOR_03117
ERR1913171.31786__1.31786	147206__GCF_000156215.1_01777
ERR1913171.31806__1.31806	84026__C0EDS4__CLOSTMETH_02002
ERR1913171.31851__1.31851	487174__K0X2Q8__DDY40_04590
ERR1913171.31914__1.31914	47678__A5ZEA3__ERS852558_00257
ERR1913171.32048__1.32048	820__A0A078S4C2__ERS417307_00828
ERR1913171.32064__1.32064	371601__D7K8P3__SAMN05216250_10395
ERR1913171.32137__1.32137	820__A0A173YYG4__evgS_3
ERR1913171.32149__1.32149	28117__B0MTY2__BHV66_06485
ERR1913171.32160__1.32160	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913171.32274__1.32274	47678__R5U978__ERS852558_01076
ERR1913171.32366__1.32366	1150298__R7JU58__ssuC_2
ERR1913171.32482__1.32482	371601__F7LA63__HMPREF1074_04288
ERR1913171.32519__1.32519	820__A7V092__hldE
ERR1913171.32594__1.32594	371601__D7J175__DXD03_05675
ERR1913171.32606__1.32606	239935__A0A2N8HPS5__Amuc_0950
ERR1913171.32625__1.32625	239935__R7E524__CXT91_06180
ERR1913171.32905__1.32905	47678__A5ZEA3__ERS852558_00257
ERR1913171.32846__1.32846	28052__A0A174NHE1__spoIIIE
ERR1913171.32920__1.32920	246787__A0A3D6AQP8__AA416_04153
ERR1913171.33029__1.33029	820__A0A174CG08__DXB62_13215
ERR1913171.33091__1.33091	487174__K0XH97__HMPREF9448_01909
ERR1913171.33272__1.33272	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913171.33253__1.33253	239935__R7E524__CXT91_06180
ERR1913171.33438__1.33438	357276__B6VVS0__HMPREF1064_03951
ERR1913171.33484__1.33484	820__A0A374Q854__HMPREF1073_03281
ERR1913171.33493__1.33493	821__A0A174NVL6__NCTC10583_01782
ERR1913171.33497__1.33497	820__A0A173YYG4__evgS_3
ERR1913171.33500__1.33500	28117__B0MTH2__ALIPUT_00061
ERR1913171.33523__1.33523	357276__I9RCD3__IY41_15070
ERR1913171.33557__1.33557	1262992__R5D733__BN795_00375
