ERR1913261.83__1.83	1150298__A0A174AM35__ERS852498_00645
ERR1913261.7245__1.7245	28117__R7JJM9__ALIPUT_00662
ERR1913261.7255__1.7255	649756__D4MV03__ERS852425_01248
ERR1913261.7381__1.7381	1160721__W0U811__RBI_II00162
ERR1913261.7402__1.7402	1628085__A0A3E2XSL7__C7386_12131
ERR1913261.7461__1.7461	410072__C0BF38__DXD67_15395
ERR1913261.7529__1.7529	39491__D6E118__DXB69_05765
ERR1913261.7557__1.7557	823__A0A078S9Y4__M096_1441
ERR1913261.8127__1.8127	1262922__R6E5N1__BN487_01313
ERR1913261.8128__1.8128	1262933__R7P835__BN736_01586
ERR1913261.8368__1.8368	46228__V8C7M2__RUMLAC_01453
ERR1913261.8382__1.8382	1263000__R5EFY3__BN466_01416
ERR1913261.8548__1.8548	1501391__GCA_000786575.1_00045
ERR1913261.8733__1.8733	39491__A0A396FJJ9__DXB76_11995
ERR1913261.8753__1.8753	39491__C4Z9D4__DXD95_00055
ERR1913261.8837__1.8837	39491__A0A395V464__EUBREC_1509
ERR1913261.8866__1.8866	46228__B5CPX5__RUMLAC_01520
ERR1913261.8982__1.8982	1262899__R7J831__BN657_01859
ERR1913261.8984__1.8984	853__A0A173YYY4__DWZ04_09420
ERR1913261.9039__1.9039	2108523__A0A2P2FCF2__LAWASA_3737
ERR1913261.9099__1.9099	39491__A0A395ZG74__licR
ERR1913261.9376__1.9376	1965629__A0A1Y4BDB9__B5F88_17705
ERR1913261.9609__1.9609	1501391__GCA_000786575.1_00079
ERR1913261.9688__1.9688	823__A0A073I748__M096_3057
ERR1913261.9768__1.9768	1263000__R5ES99__BN466_01121
ERR1913261.9769__1.9769	1262922__R6DZZ7__BN487_00771
ERR1913261.9774__1.9774	214856__A0A175A6T5__ERS852447_02658
ERR1913261.9797__1.9797	39491__A0A173QT73__alaS_2
ERR1913261.9976__1.9976	821__A0A395US34__C5Z04_18975
ERR1913261.9984__1.9984	1472761__GCA_002159295.1_00731
ERR1913261.10064__1.10064	39491__A0A396FMT0__EUBREC_3020
ERR1913261.10161__1.10161	853__A0A329UEG4__CHR60_00585
ERR1913261.10256__1.10256	216816__A0A1S2VTC3__BLIC_e00847
ERR1913261.10393__1.10393	39491__A0A395V1Y4__DXB99_08035
ERR1913261.10572__1.10572	1262922__R6E3T8__BN487_00972
ERR1913261.10603__1.10603	1262922__R6E5H3__BN487_01250
ERR1913261.10728__1.10728	821__A0A0P0LFP6__C5Z04_13890
ERR1913261.10745__1.10745	853__A0A2J4JL53__CRH10_10795
ERR1913261.10841__1.10841	1262922__R6E9Q9__BN487_00767
ERR1913261.10917__1.10917	28117__B0MU76__ALIPUT_00202
ERR1913261.10963__1.10963	853__A0A173YYY4__DWZ04_09420
ERR1913261.10992__1.10992	1262922__R6E5H3__BN487_01250
ERR1913261.11084__1.11084	214856__A0A174H6R3__ERS852447_02809
ERR1913261.11168__1.11168	1262922__R6EBQ6__BN487_01100
ERR1913261.11326__1.11326	1501391__GCA_000786575.1_00127
ERR1913261.11604__1.11604	39491__A0A173QT73__alaS_2
ERR1913261.11709__1.11709	39491__A0A173VYV1__DXC13_02710
ERR1913261.11756__1.11756	1262920__R5KD76__BN467_01465
ERR1913261.11875__1.11875	39485__R5ZVC3__ERS852490_00250
ERR1913261.11888__1.11888	1262922__R6ECX9__BN487_01332
ERR1913261.11942__1.11942	39485__A0A174ZBK4__ERS852490_01585
ERR1913261.12216__1.12216	1262922__R6E5W2__BN487_01361
ERR1913261.12252__1.12252	160404__R6PYA5__B5G26_09600
ERR1913261.12307__1.12307	1262899__R7JDZ7__BN657_00077
ERR1913261.12346__1.12346	39485__C4Z1Y9__EUBELI_00143
ERR1913261.12637__1.12637	46503__A7AG53__DD461_14240
ERR1913261.12649__1.12649	821__A0A3E4HP25__SAMN04487923_102450
ERR1913261.12734__1.12734	28117__B0MT73__ALIPUT_00412
ERR1913261.12828__1.12828	28117__B0MUR5__BHV66_03900
ERR1913261.12862__1.12862	214856__I3YMN6__Alfi_1938
ERR1913261.12875__1.12875	28117__B0MZ50__ALIPUT_02424
ERR1913261.13191__1.13191	291645__I8WZT8__HMPREF1068_04327
ERR1913261.13337__1.13337	1262933__R7PDD7__BN736_00786
ERR1913261.13464__1.13464	1262889__R7H773__BN634_02377
ERR1913261.13611__1.13611	649756__B0P476__ERS852475_00941
ERR1913261.13800__1.13800	1263000__R5EFJ5__BN466_01372
ERR1913261.13846__1.13846	39491__D6E555__DXB99_06765
ERR1913261.13880__1.13880	1262922__R6E5U1__BN487_01344
ERR1913261.13962__1.13962	1263000__R5EQI3__BN466_00125
ERR1913261.14047__1.14047	328814__GCA_004558275.1_00296
ERR1913261.14083__1.14083	40518__R5E2R8__nnr_2
ERR1913261.14271__1.14271	1262922__R6EF32__BN487_01642
ERR1913261.14347__1.14347	853__A0A173RZ39__C4N22_01650
ERR1913261.14385__1.14385	1262922__R6E3S7__BN487_01394
ERR1913261.14428__1.14428	39491__A0A395V2P3__DXB69_08700
ERR1913261.14505__1.14505	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913261.14517__1.14517	39485__C4Z434__tilS
ERR1913261.14535__1.14535	823__A0A174VHT1__DHP27_04775
ERR1913261.14614__1.14614	39491__C4Z9J5__DXB69_02495
ERR1913261.14661__1.14661	853__A0A2A7A628__CGS57_13755
ERR1913261.14688__1.14688	1099853__U5CHR3__NSB1T_13310
ERR1913261.14744__1.14744	40518__R5DS68__hcpC
ERR1913261.14769__1.14769	39491__A0A396FJJ9__DXB76_11995
ERR1913261.14795__1.14795	39491__A0A395V5R3__EUBREC_1883
ERR1913261.15006__1.15006	2137880__A0A316NL22__DBY21_08905
ERR1913261.15027__1.15027	1262933__R7PDJ8__BN736_00265
ERR1913261.15289__1.15289	823__A0A173W8N5__ERS852513_00780
ERR1913261.15681__1.15681	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913261.15739__1.15739	1263000__R5EMZ8__BN466_00707
ERR1913261.15760__1.15760	1262980__R5C0H7__BN814_00054
ERR1913261.15825__1.15825	39491__A0A174K9A3__DXB69_07785
ERR1913261.15796__1.15796	39491__A0A174LTW7__DXD13_08720
ERR1913261.15815__1.15815	291645__I8WZT8__HMPREF1068_04327
ERR1913261.16322__1.16322	1262922__R6DWT1__BN487_00269
ERR1913261.16599__1.16599	1262922__R6ECX9__BN487_01332
ERR1913261.16723__1.16723	28117__B0MZ50__ALIPUT_02424
ERR1913261.16756__1.16756	1263000__R5EPJ2__BN466_00954
ERR1913261.17137__1.17137	823__A6LDT7__CEQ22_002595
ERR1913261.17400__1.17400	301301__A0A395VG30__RHOM_05975
ERR1913261.17616__1.17616	301302__A0A173TYC8__M72_00761
ERR1913261.17836__1.17836	1965538__A0A1Y4WCQ2__B5E43_06450
ERR1913261.17851__1.17851	1263064__GCA_000431175.1_03556
ERR1913261.17947__1.17947	39491__A0A395UVM9__DXB76_04540
ERR1913261.17976__1.17976	39491__A0A2U2EED4__ERS852580_01584
ERR1913261.18022__1.18022	1262922__R6E4W9__BN487_01554
ERR1913261.18096__1.18096	39491__A0A396FFW0__ERE_10580
ERR1913261.18199__1.18199	328814__GCA_004558275.1_00007
ERR1913261.18283__1.18283	39491__A0A395UWZ1__DXC13_02175
ERR1913261.18357__1.18357	1262922__R6DZZ7__BN487_00771
ERR1913261.18436__1.18436	1150298__A0A174LKY6__ERS852535_00447
ERR1913261.18473__1.18473	1262933__R7PDH6__BN736_00833
ERR1913261.18552__1.18552	39491__C4ZF05__vpr
ERR1913261.18629__1.18629	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913261.18836__1.18836	214856__I3YMN6__Alfi_1938
ERR1913261.18954__1.18954	1262922__R6EG39__BN487_01800
ERR1913261.19083__1.19083	39485__A0A174YMD0__EUBELI_01093
ERR1913261.19362__1.19362	1150298__A0A174S2H3__spoIIQ
ERR1913261.19452__1.19452	1262922__R6EIW5__BN487_01923
ERR1913261.19544__1.19544	1262922__R6E5H3__BN487_01250
ERR1913261.19878__1.19878	1262989__R6ZIJ7__BN815_01511
ERR1913261.19999__1.19999	1262922__R6E9U7__BN487_01899
ERR1913261.20028__1.20028	1262922__R6E5H3__BN487_01250
ERR1913261.20035__1.20035	216816__U2TWA1__DD678_00805
ERR1913261.20088__1.20088	1262933__R7PCH9__BN736_01779
ERR1913261.20129__1.20129	360807__A0A0M6WV00__ERS852444_02114
ERR1913261.20232__1.20232	1262922__R6E8Y1__BN487_01778
ERR1913261.20254__1.20254	160404__R6QVR7__B5G26_03040
ERR1913261.20456__1.20456	487174__K0X551__HMPREF9448_02151
ERR1913261.20541__1.20541	823__A0A173W404__DHP27_04905
ERR1913261.20696__1.20696	1099853__U5CJQ4__NSB1T_11640
ERR1913261.20850__1.20850	1262922__R6E4W9__BN487_01554
ERR1913261.20884__1.20884	1965588__A0A1Y4HAD7__B5F36_01590
ERR1913261.20892__1.20892	328814__GCA_004558275.1_00007
ERR1913261.21391__1.21391	39492__D4JQS6__ykoD
ERR1913261.21398__1.21398	160404__R6Q1S5__SAMN02745138_02315
ERR1913261.21540__1.21540	821__A0A395UNT8__DXD64_15275
ERR1913261.21543__1.21543	39491__C4ZHS4__EUR_24420
ERR1913261.21886__1.21886	1262922__R6E3V4__BN487_00986
ERR1913261.22015__1.22015	39491__A0A395ZDC6__addB
ERR1913261.22204__1.22204	39491__A0A395ZHW9__DXC13_02590
ERR1913261.22299__1.22299	487174__K0X079__DIT83_00640
ERR1913261.22312__1.22312	28117__B0MU76__ALIPUT_00202
ERR1913261.22363__1.22363	446660__GCA_003428235.1_02195
ERR1913261.22382__1.22382	39491__A0A395ZHV7__ykvU
ERR1913261.22391__1.22391	665033__GeneID:2636293
ERR1913261.22466__1.22466	44742__A0A109W4N0__AXF13_11490
ERR1913261.22633__1.22633	29361__B6FKH5__CLONEX_00621
ERR1913261.22771__1.22771	28116__F7L4X5__M089_2857
ERR1913261.22953__1.22953	853__A0A2J4JL53__CRH10_10795
ERR1913261.23045__1.23045	1465754__A0A1H4CZ66__SAMN05444145_10580
ERR1913261.23087__1.23087	818__A0A1H7X9X1__SAMN02910322_04797
ERR1913261.23142__1.23142	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913261.23158__1.23158	1262933__R7P8Q1__BN736_01811
ERR1913261.23214__1.23214	823__A0A355XJ56__DDY96_07685
ERR1913261.23217__1.23217	39491__D4JMW8__ERS852497_01971
ERR1913261.23256__1.23256	487174__K0XM88__DDY40_02935
ERR1913261.23463__1.23463	46503__R5DLM3__HMPREF1078_03417
ERR1913261.23538__1.23538	1501391__GCA_000786575.1_00017
ERR1913261.23625__1.23625	28117__B0MZ14__ALIPUT_02383
ERR1913261.23628__1.23628	487174__R5FJY1__DDY40_07045
ERR1913261.23808__1.23808	823__A0A174VHT1__DHP27_04775
ERR1913261.23825__1.23825	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913261.23951__1.23951	1262933__R7PDM3__BN736_00294
ERR1913261.24064__1.24064	1501391__GCA_000786575.1_00129
ERR1913261.24095__1.24095	1263000__R5EHI3__BN466_01684
ERR1913261.24153__1.24153	1262933__R7PA34__BN736_01673
ERR1913261.24216__1.24216	28117__B0MXW9__ALIPUT_01981
ERR1913261.24233__1.24233	28117__B0MVL5__BHV66_01660
ERR1913261.24345__1.24345	39491__A0A396FJA4__DXB99_05435
ERR1913261.24413__1.24413	1262922__R6E9C2__BN487_00401
ERR1913261.24535__1.24535	821__I9R3W6__DXC16_12455
ERR1913261.24637__1.24637	301302__A0A173RJJ7__ERS852420_00620
ERR1913261.24738__1.24738	1262922__R6ETB6__BN487_00396
ERR1913261.24874__1.24874	39491__A0A396FUZ3__phoR_1
ERR1913261.24912__1.24912	1262922__R6E3S7__BN487_01394
ERR1913261.24937__1.24937	487174__K0XLV6__DIT83_00940
ERR1913261.24886__1.24886	39491__R6TNE7__T1815_09811
ERR1913261.24982__1.24982	1465754__A0A1H4FS96__SAMN05444145_11263
ERR1913261.25044__1.25044	1262922__R6EEP0__BN487_01314
ERR1913261.25076__1.25076	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913261.25198__1.25198	1262945__R6YIH0__BN600_01967
ERR1913261.25206__1.25206	823__A6LB63__M095_1847
ERR1913261.25284__1.25284	1262922__R6EXS9__BN487_01090
ERR1913261.25285__1.25285	39491__A0A395ZEN3__DXD95_12655
ERR1913261.25394__1.25394	39491__A0A174EQV2__DXB69_10230
ERR1913261.25593__1.25593	39491__A0A395ZM93__DXD13_03490
ERR1913261.25598__1.25598	1263000__R5EDV4__BN466_01097
ERR1913261.25702__1.25702	1262922__R6EBN7__BN487_01095
ERR1913261.25692__1.25692	853__A0A173YYY4__DWZ04_09420
ERR1913261.25730__1.25730	29361__B6FKH5__CLONEX_00621
ERR1913261.25894__1.25894	46503__A7AG59__ERS852463_00349
ERR1913261.26010__1.26010	39485__A0A174ZA72__glgB_1
ERR1913261.26047__1.26047	1262933__R7PAP7__BN736_01677
ERR1913261.26143__1.26143	39491__A0A396FSN2__EUBREC_0707
ERR1913261.26161__1.26161	1262922__R6E4W9__BN487_01554
ERR1913261.26296__1.26296	39491__A0A396FS17__envC
ERR1913261.26510__1.26510	39491__R6TQ09__DXC13_03010
ERR1913261.26618__1.26618	1262792__R6ZPX7__BN593_00514
ERR1913261.26680__1.26680	1262922__R6EEB5__BN487_01228
ERR1913261.26697__1.26697	1262933__R7PAV0__BN736_01209
ERR1913261.26760__1.26760	1501391__GCA_000786575.1_00056
ERR1913261.27038__1.27038	39491__A0A396FJJ9__DXB76_11995
ERR1913261.27067__1.27067	46228__B5CLE1__HMPREF1202_01861
ERR1913261.27197__1.27197	1262922__R6DZZ7__BN487_00771
ERR1913261.27317__1.27317	1150298__A0A173ZYU8__sipT_2
ERR1913261.27396__1.27396	28118__F9Z9C4__B5F93_16310
ERR1913261.27418__1.27418	2108523__A0A2P2FCM1__LAWASA_3821
ERR1913261.27496__1.27496	39491__C4ZF05__vpr
ERR1913261.27658__1.27658	39491__D4JMW8__ERS852497_01971
ERR1913261.27859__1.27859	46503__R6X275__DD461_10840
ERR1913261.28195__1.28195	39492__D4JWI6__EUBSIR_01073
ERR1913261.28228__1.28228	328814__GCA_004558275.1_00131
ERR1913261.28276__1.28276	1262933__R7PCN5__BN736_00717
ERR1913261.28400__1.28400	1465754__A0A1H4FGH5__SAMN05444145_11058
ERR1913261.28557__1.28557	28117__R7JPX7__BHV66_00900
ERR1913261.28575__1.28575	821__A0A174V2F3__NCTC10583_01474
ERR1913261.28594__1.28594	823__A0A173VPM3__DHW69_17170
ERR1913261.29208__1.29208	1262824__R6RLS2__BN719_02323
ERR1913261.29186__1.29186	1262933__R7PAM5__BN736_01124
ERR1913261.29257__1.29257	39491__A0A395UWZ1__DXC13_02175
ERR1913261.29513__1.29513	1262922__R6EIW5__BN487_01923
ERR1913261.29580__1.29580	823__A0A355XKQ8__DHP27_04010
ERR1913261.29703__1.29703	823__A0A395YQ63__B5F32_15335
ERR1913261.29719__1.29719	1262922__R6EEB5__BN487_01228
ERR1913261.29777__1.29777	39491__A0A395ZHW9__DXC13_02590
ERR1913261.29994__1.29994	820__A0A139K4T0__ERS852510_03146
ERR1913261.30129__1.30129	1965588__A0A1Y4HAK5__B5F36_01745
ERR1913261.30198__1.30198	39491__D4JMW8__ERS852497_01971
ERR1913261.30428__1.30428	39491__A0A396FRE7__EUR_27520
ERR1913261.30500__1.30500	39491__A0A395UYA6__EUBREC_0408
ERR1913261.30502__1.30502	39491__A0A396FJJ9__DXB76_11995
ERR1913261.30594__1.30594	1150298__A0A174DX06__ERS852498_00491
ERR1913261.30543__1.30543	28118__R6FCU5__B5F99_14335
ERR1913261.31307__1.31307	1262922__R6E4W9__BN487_01554
ERR1913261.31385__1.31385	39491__A0A395V0E5__ERE_31370
ERR1913261.31523__1.31523	1965537__A0A1Y4WLJ1__B5E42_08115
ERR1913261.31615__1.31615	1262922__R6E5H3__BN487_01250
ERR1913261.31585__1.31585	1262922__R6EEP0__BN487_01314
ERR1913261.31748__1.31748	214856__A0A174H6R3__ERS852447_02809
ERR1913261.31844__1.31844	39485__A0A174ZA72__glgB_1
ERR1913261.31869__1.31869	39485__C4Z5L2__ERS852490_00659
ERR1913261.31960__1.31960	28118__R6F6C0__Odosp_0731
ERR1913261.32223__1.32223	39491__A0A395V464__EUBREC_1509
ERR1913261.32325__1.32325	39491__A0A395ZEI6__ERE_07950
ERR1913261.32306__1.32306	39485__C4Z2J8__ERS852490_02044
ERR1913261.32365__1.32365	39491__A0A395V464__EUBREC_1509
ERR1913261.32428__1.32428	562__P63202__gadW
ERR1913261.32565__1.32565	823__A6LDT7__CEQ22_002595
ERR1913261.32585__1.32585	39491__A0A396FVC0__ERE_15900
ERR1913261.32815__1.32815	1263000__R5EKG2__BN466_02040
ERR1913261.32843__1.32843	39491__A0A173SH34__EUR_24920
ERR1913261.33085__1.33085	292800__A0A1C7FQ87__atpH
ERR1913261.33152__1.33152	1150298__A0A174HYM9__ERS852406_01664
ERR1913261.33206__1.33206	360807__C0FVL1__ERS852392_00394
ERR1913261.33208__1.33208	1262873__R6WKN1__BN605_00901
ERR1913261.33241__1.33241	39491__A0A395ZG96__DXB69_15120
ERR1913261.33278__1.33278	1262889__R7HD81__BN634_00648
ERR1913261.33433__1.33433	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913261.33509__1.33509	1262922__R6DXH2__BN487_00387
ERR1913261.33629__1.33629	1262933__R7PBZ0__BN736_00523
ERR1913261.34443__1.34443	28117__B0MTW8__ALIPUT_00502
ERR1913261.34428__1.34428	1262933__R7P5X0__BN736_00941
ERR1913261.34504__1.34504	1262922__R6ECW3__BN487_01323
ERR1913261.34634__1.34634	1262922__R6EHA3__BN487_01987
ERR1913261.34667__1.34667	1262743__R5C054__BN727_01980
ERR1913261.34675__1.34675	1262922__R6E5W2__BN487_01361
ERR1913261.34788__1.34788	39491__A0A174K9A3__DXB69_07785
ERR1913261.34905__1.34905	29361__B6FRT6__CLONEX_02860
ERR1913261.34991__1.34991	1262922__R6EZH3__BN487_01393
ERR1913261.35436__1.35436	28117__B0MZ50__ALIPUT_02424
ERR1913261.35533__1.35533	1262922__R6EYJ3__BN487_01212
ERR1913261.35811__1.35811	28117__B0MY34__BHV66_05195
ERR1913261.35958__1.35958	28117__B0MY40__BHV66_05170
ERR1913261.36155__1.36155	28117__B0MU58__BHV66_05630
ERR1913261.36314__1.36314	2108523__A0A2P2FDD8__LAWASA_4079
ERR1913261.36351__1.36351	39491__A0A395ZEI6__ERE_07950
ERR1913261.36518__1.36518	1263000__R5ES99__BN466_01121
ERR1913261.36617__1.36617	1262922__R6E682__BN487_01726
ERR1913261.36563__1.36563	1262922__R6E5H3__BN487_01250
ERR1913261.36726__1.36726	28117__B0MZ22__BHV66_04430
ERR1913261.36836__1.36836	1262933__R7PDU8__BN736_00041
ERR1913261.36865__1.36865	39491__A0A173VYV1__DXC13_02710
ERR1913261.36940__1.36940	28117__B0MXW9__ALIPUT_01981
ERR1913261.37024__1.37024	1263107__GCA_000436995.1_00014
ERR1913261.37438__1.37438	2108523__A0A2P2FDD9__LAWASA_4026
ERR1913261.37514__1.37514	1099853__U5CKV1__NSB1T_12505
ERR1913261.37903__1.37903	28117__B0MWZ9__ALIPUT_01735
ERR1913261.37987__1.37987	823__A0A395YZ10__NCTC11152_02955
ERR1913261.38065__1.38065	39491__C4ZC33__DXC13_11585
ERR1913261.38363__1.38363	626932__G5HA13__HMPREF9450_01478
ERR1913261.38460__1.38460	1263000__R5F0H8__BN466_00254
ERR1913261.38461__1.38461	384639__GCA_003096855.1_00253
ERR1913261.38467__1.38467	1262922__R6EVQ0__BN487_00762
ERR1913261.38469__1.38469	853__A0A2A7B9I6__DW855_13690
ERR1913261.38529__1.38529	574930__A0A0F5ISN8__DXB27_11180
ERR1913261.38664__1.38664	1262922__R6DZZ7__BN487_00771
ERR1913261.38844__1.38844	853__E2ZGD9__C7J97_11715
ERR1913261.38919__1.38919	1550024__A0A3B9WGK5__TQ39_08450
ERR1913261.39036__1.39036	39491__A0A396FRK0__ERS852417_00541
ERR1913261.39111__1.39111	2137880__A0A316NIX6__DBY21_09290
ERR1913261.39254__1.39254	39491__A0A396FNY7__LD38_16155
ERR1913261.39258__1.39258	39491__D4JMW8__ERS852497_01971
ERR1913261.39292__1.39292	39485__C4Z1W5__ERS852492_01530
ERR1913261.39404__1.39404	2108523__A0A2P2FCF2__LAWASA_3737
ERR1913261.39424__1.39424	1262824__R6RVE9__BN719_01395
ERR1913261.39696__1.39696	2137880__A0A316NUD0__DBY21_06900
ERR1913261.39953__1.39953	28117__B0MWC6__BHV66_00965
ERR1913261.40048__1.40048	39491__A0A173U130__ERE_16110
ERR1913261.40192__1.40192	28117__B0MUL5__ALIPUT_00722
ERR1913261.40279__1.40279	1262922__R6E290__BN487_01114
ERR1913261.40388__1.40388	1965537__A0A1Y4WEK3__B5E42_15445
ERR1913261.40435__1.40435	39491__A0A395ZBQ4__cph2_2
ERR1913261.40490__1.40490	46503__R6WTN6__PARMER_00136
ERR1913261.40500__1.40500	1262922__R6ECX9__BN487_01332
ERR1913261.40522__1.40522	1262922__R6E736__BN487_01852
ERR1913261.40813__1.40813	1262922__R6EG39__BN487_01800
ERR1913261.40956__1.40956	39491__A0A395ZF49__DXB69_05290
ERR1913261.40979__1.40979	39491__A0A395ZHV7__ykvU
ERR1913261.40992__1.40992	1150298__A0A174S2H3__spoIIQ
ERR1913261.41098__1.41098	214856__I3YMN6__Alfi_1938
ERR1913261.41251__1.41251	28117__B0MY41__BHV66_05165
ERR1913261.41626__1.41626	821__D4VD59__BHV80_04260
ERR1913261.41761__1.41761	1262933__R7PAA0__BN736_01753
ERR1913261.41794__1.41794	1262933__R7PA85__BN736_00556
ERR1913261.41882__1.41882	1263000__R5EHB0__BN466_01647
ERR1913261.42020__1.42020	360807__C0FNY7__ERS852392_01257
ERR1913261.42025__1.42025	39491__A0A174LTW7__DXD13_08720
ERR1913261.42113__1.42113	821__A0A174T998__DXB82_10860
ERR1913261.42227__1.42227	39491__A0A396FUZ3__phoR_1
ERR1913261.42276__1.42276	1550024__A0A0D8IY61__ASJ35_05690
ERR1913261.42278__1.42278	821__R6F3Y1__SAMN04487923_104318
ERR1913261.42438__1.42438	1262933__R7PCP8__BN736_00732
ERR1913261.42441__1.42441	28117__R7JR95__ALIPUT_01367
ERR1913261.43027__1.43027	1262922__R6EEB5__BN487_01228
ERR1913261.43191__1.43191	39491__A0A396FPV7__ERS852580_01177
ERR1913261.43137__1.43137	28117__B0MY40__BHV66_05170
ERR1913261.43310__1.43310	821__A0A395VMG0__DXC44_18080
ERR1913261.43374__1.43374	106588__A6NUL8__BACCAP_01900
ERR1913261.43633__1.43633	40518__R5E1J7__RBL236_02062
ERR1913261.43638__1.43638	39485__C4Z1Y9__EUBELI_00143
ERR1913261.43620__1.43620	1262922__R6EVQ0__BN487_00762
ERR1913261.43703__1.43703	1262922__R6E8Y1__BN487_01778
ERR1913261.43755__1.43755	39491__C4ZHS4__EUR_24420
ERR1913261.43782__1.43782	1262922__R6EEP0__BN487_01314
ERR1913261.44171__1.44171	821__A0A174T998__DXB82_10860
ERR1913261.44181__1.44181	544645__A0A373UZ25__DXC42_17170
ERR1913261.44400__1.44400	39491__A0A396FSN2__EUBREC_0707
ERR1913261.44471__1.44471	357276__I8VN48__ABI39_07855
ERR1913261.44624__1.44624	471189__GCA_003340385.1_00344
ERR1913261.44734__1.44734	39491__A0A396FSK3__ERS852417_00383
