ERR1913276.154__1.154	1262929__R6EXF7__BN691_00015
ERR1913276.5247__1.5247	28117__B0N028__BHV66_05935
ERR1913276.5287__1.5287	818__A0A3E5HY51__rpfC_2
ERR1913276.5345__1.5345	823__A0A173W8N5__ERS852513_00780
ERR1913276.5391__1.5391	28116__R6DIL2__DXD69_10970
ERR1913276.5407__1.5407	28117__B0MZ50__ALIPUT_02424
ERR1913276.5613__1.5613	820__A7V9F9__B5G17_14640
ERR1913276.5683__1.5683	820__A0A139KJ23__celCCA
ERR1913276.5701__1.5701	28117__B0MXL6__ALIPUT_01851
ERR1913276.5764__1.5764	74426__pdxS
ERR1913276.5823__1.5823	410072__A0A3E4GRE0__DXD67_07105
ERR1913276.6067__1.6067	820__A0A3E4RUC4__DHU98_02635
ERR1913276.6373__1.6373	239935__A0A2N8IFA0__CXT92_02050
ERR1913276.6446__1.6446	821__R9HFW2__DXD01_00365
ERR1913276.6570__1.6570	817__A0A395WNA4__HMPREF1067_03282
ERR1913276.6583__1.6583	1896974__A0A1Q6H018__BHV77_13175
ERR1913276.6627__1.6627	357276__I9QBT7__BSEG_03340
ERR1913276.6842__1.6842	216816__A0A374SVM3__BLSL_0492
ERR1913276.7084__1.7084	818__R7KWE7__HMPREF2534_03255
ERR1913276.7127__1.7127	820__A0A174FUF0__HMPREF1073_03308
ERR1913276.7198__1.7198	823__C7X996__DD466_12595
ERR1913276.7336__1.7336	1686__B6XS54__BCAT_0916
ERR1913276.7353__1.7353	214856__A0A174ZEW0__ERS852447_00985
ERR1913276.7577__1.7577	820__I9TWZ7__DXC80_10550
ERR1913276.7716__1.7716	853__A0A3E2U7E6__ERS852582_01640
ERR1913276.7727__1.7727	1150298__A0A174M5F7__ERS852535_00457
ERR1913276.7775__1.7775	1263006__R6LIE4__BN515_01447
ERR1913276.7927__1.7927	214856__A0A174ZEW0__ERS852447_00985
ERR1913276.8116__1.8116	74426__pdxS
ERR1913276.8144__1.8144	214856__A0A174FWM7__ERS852559_00590
ERR1913276.8253__1.8253	544581__G9PQQ5__HMPREF1979_00445
ERR1913276.8293__1.8293	28052__A0A174I9N3__ERS852499_00684
ERR1913276.8335__1.8335	820__A0A139K4W5__HMPREF2141_02394
ERR1913276.8339__1.8339	74426__sugC
ERR1913276.8580__1.8580	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913276.8711__1.8711	39492__D4JWI6__EUBSIR_01073
ERR1913276.8778__1.8778	671232__I0SK89__ANG4_0955
ERR1913276.8854__1.8854	1160721__W0U633__BHW50_00240
ERR1913276.8977__1.8977	239935__A0A2N8IEP3__CXT84_03735
ERR1913276.9211__1.9211	2108523__A0A2P2FE85__LAWASA_4404
ERR1913276.9224__1.9224	328814__GCA_004558275.1_00076
ERR1913276.9454__1.9454	40518__R5DYT8__mscS
ERR1913276.9689__1.9689	301302__R5VBF4__ERS852420_01650
ERR1913276.9761__1.9761	39490__U2PCP5__HMPREF0373_03001
ERR1913276.9893__1.9893	28117__B0MTW8__ALIPUT_00502
ERR1913276.9878__1.9878	487174__K0XKB7__DDY40_03475
ERR1913276.10028__1.10028	1965650__A0A1Y3VEZ6__B5G16_11190
ERR1913276.10283__1.10283	328814__GCA_004558275.1_00997
ERR1913276.10269__1.10269	39492__A0A174ZP27__EUBSIR_00033
ERR1913276.10345__1.10345	487174__K0WV19__HMPREF9448_01820
ERR1913276.10409__1.10409	853__A8SCP3__C4N26_07960
ERR1913276.10410__1.10410	487174__K0X1V7__DIT83_03020
ERR1913276.10452__1.10452	216816__E5Y0K4__B8809_0128
ERR1913276.10470__1.10470	33039__R6P284__spoIIIE
ERR1913276.10549__1.10549	165179__R6XIF8__DXC61_07265
ERR1913276.10639__1.10639	33039__A0A174ZCB2__ERS852577_04014
ERR1913276.10786__1.10786	246787__R6LGB3__BcellWH2_02361
ERR1913276.10753__1.10753	1160721__A0A1C6CMR2__BHW50_00085
ERR1913276.11032__1.11032	74426__rpoB
ERR1913276.11118__1.11118	165179__A0A174UTZ7__DXC61_06705
ERR1913276.11214__1.11214	40518__R5DU92__DXD93_03170
ERR1913276.11429__1.11429	33039__A0A173RPT9__ERS852502_02389
ERR1913276.11496__1.11496	33039__A0A174ZKC1__RTO_00250
ERR1913276.11552__1.11552	410072__A0A3E4GQ67__sigV_1
ERR1913276.11650__1.11650	818__A0A0P0FI06__BJP75_017205
ERR1913276.11657__1.11657	28117__B0MU76__ALIPUT_00202
ERR1913276.11808__1.11808	823__A0A355XN73__DXC05_07000
ERR1913276.12136__1.12136	214856__A0A174G1M7__ERS852559_00594
ERR1913276.12161__1.12161	47678__R5U3A7__ERS852494_02965
ERR1913276.12164__1.12164	363265__G6AY35__HMPREF0673_01544
ERR1913276.12168__1.12168	214856__A0A174ZLY7__ERS852447_02456
ERR1913276.12206__1.12206	35833__E5YAA4__HMPREF0179_03124
ERR1913276.12272__1.12272	28117__B0MVL2__BHV66_01645
ERR1913276.12465__1.12465	39488__C0ESJ6__EUBHAL_00369
ERR1913276.12476__1.12476	214856__A0A174ZB00__ERS852559_00631
ERR1913276.12530__1.12530	1262911__R6GLA5__BN557_01456
ERR1913276.13120__1.13120	1262911__R6GLA5__BN557_01456
ERR1913276.13080__1.13080	28117__B0MTH2__ALIPUT_00061
ERR1913276.13199__1.13199	165179__D1PE06__DXC61_05975
ERR1913276.13206__1.13206	1262924__R7HQB3__BN585_00435
ERR1913276.13227__1.13227	823__D7IV95__DXC05_09565
ERR1913276.13352__1.13352	1680__A0A173XYA2__B0703_0121
ERR1913276.13474__1.13474	214856__A0A174FWM7__ERS852559_00590
ERR1913276.13571__1.13571	1262929__R6F5G9__BN691_01545
ERR1913276.13581__1.13581	28117__B0MXI8__BHV66_08505
ERR1913276.13700__1.13700	39492__D4JR31__EUBSIR_00106
ERR1913276.13909__1.13909	39491__A0A395UYL9__ERS852417_00624
ERR1913276.13926__1.13926	1550024__A0A0D8IWH3__ASJ35_08185
ERR1913276.13939__1.13939	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913276.14096__1.14096	39485__C4Z355__ERS852490_01971
ERR1913276.14199__1.14199	214856__A0A174ZED5__ERS852559_00591
ERR1913276.14322__1.14322	823__A0A395YRW4__DD466_15895
ERR1913276.14336__1.14336	216816__A0A2U0BT35__BL1206_1860
ERR1913276.14433__1.14433	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913276.14463__1.14463	820__A0A3E4HWJ4__DXD40_05945
ERR1913276.14503__1.14503	820__A0A174LJB2__HMPREF1072_04112
ERR1913276.14794__1.14794	556259__E5C638__BSGG_0201
ERR1913276.14853__1.14853	1550024__G9RXY7__TQ39_00100
ERR1913276.14865__1.14865	147206__GCF_000156215.1_01777
ERR1913276.14892__1.14892	301301__A0A395VA04__RHOM_13090
ERR1913276.14894__1.14894	649756__D4MY23__ERS852571_00200
ERR1913276.14947__1.14947	745368__A0A1T4Y6Y5__SAMN02745178_02810
ERR1913276.15121__1.15121	246787__A0A3D6AQP8__AA416_04153
ERR1913276.15193__1.15193	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913276.15325__1.15325	1550024__G9RX51__TQ39_04720
ERR1913276.15313__1.15313	40518__R5DZE2__DXD86_07400
ERR1913276.15694__1.15694	28117__B0MTD2__ALIPUT_00428
ERR1913276.15736__1.15736	820__A0A374QGD2__ERS852421_02382
ERR1913276.15760__1.15760	28117__B0MSS1__ALIPUT_00273
ERR1913276.15922__1.15922	28117__B0MWC6__BHV66_00965
ERR1913276.15951__1.15951	357276__B6W1Y5__IY41_11405
ERR1913276.16046__1.16046	33039__D4M5J1__spoIIIAE_2
ERR1913276.16071__1.16071	301302__A0A173TYC8__M72_00761
ERR1913276.16134__1.16134	239935__A0A2N8HL14__CXT98_09285
ERR1913276.16202__1.16202	310298__B3JII2__BACCOP_01694
ERR1913276.16506__1.16506	28117__B0MYW5__ALIPUT_02334
ERR1913276.16671__1.16671	1262736__R5YCJ8__BN496_00369
ERR1913276.16700__1.16700	1965650__A0A1Y3VEZ6__B5G16_11190
ERR1913276.16922__1.16922	1744__A0A2C8ALX4__PFR_JS2_1736
ERR1913276.16961__1.16961	1628085__A0A374VS54__C7386_101156
ERR1913276.17077__1.17077	328814__GCA_004558275.1_01621
ERR1913276.17326__1.17326	1262929__R6F4F7__BN691_01167
ERR1913276.17433__1.17433	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913276.17609__1.17609	823__A6LB63__M095_1847
ERR1913276.17779__1.17779	28117__B0MWP2__ALIPUT_01468
ERR1913276.17863__1.17863	33040__A0A380LXC9__NCTC11063_01939
ERR1913276.17978__1.17978	1262911__R6GT76__BN557_01150
ERR1913276.18116__1.18116	1550024__A0A3B9WIB6__TQ39_08435
ERR1913276.18182__1.18182	387661__K5ZPK6__HMPREF1077_00748
ERR1913276.18284__1.18284	762211__A0A087DH98__BSTEL_1561
ERR1913276.18319__1.18319	1680__A0A173YLK6__BAD_0868
ERR1913276.18370__1.18370	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913276.18398__1.18398	820__A7V470__HMPREF1072_02076
ERR1913276.18484__1.18484	487174__K0X551__HMPREF9448_02151
ERR1913276.18494__1.18494	544644__GCA_001915615.1_00036
ERR1913276.18764__1.18764	47678__R5UU99__C5Z00_11925
ERR1913276.18772__1.18772	10742__GeneID:1262491
ERR1913276.18782__1.18782	47678__A5ZEA3__ERS852558_00257
ERR1913276.18973__1.18973	39491__A0A395ZBQ4__cph2_2
ERR1913276.19010__1.19010	29361__B6FKH5__CLONEX_00621
ERR1913276.19018__1.19018	28117__B0MY82__BHV66_04755
ERR1913276.19154__1.19154	820__A0A139JY23__B5G17_06330
ERR1913276.19564__1.19564	410072__A0A174BMP0__DXD67_03635
ERR1913276.19797__1.19797	33039__D4M149__ERS852390_03118
ERR1913276.19969__1.19969	28117__B0MTW8__ALIPUT_00502
ERR1913276.20065__1.20065	1680__A0A0C2VBJ4__birA
ERR1913276.20100__1.20100	626932__G5H751__HMPREF9450_00894
ERR1913276.20201__1.20201	214856__R6Y7P0__ERS852447_00307
ERR1913276.20162__1.20162	239935__A0A139TT05__CXU09_03335
ERR1913276.20361__1.20361	28116__C3QMW4__BACOVA_04147
ERR1913276.20364__1.20364	310298__B3JFI7__BACCOP_00636
ERR1913276.20618__1.20618	47678__R5U7T0__CGC64_00755
ERR1913276.20638__1.20638	1550024__G9RWE3__TQ39_04170
ERR1913276.20680__1.20680	214856__A0A174FWM7__ERS852559_00590
ERR1913276.20682__1.20682	28117__B0MTS2__ALIPUT_00159
ERR1913276.20736__1.20736	47678__A5ZEP4__DXB67_14045
ERR1913276.20746__1.20746	853__A0A174C5M1__CGS58_04460
ERR1913276.20762__1.20762	1680__R5GZF2__DXC60_01925
ERR1913276.20845__1.20845	216816__A0A1V8RHV4__DXD44_06445
ERR1913276.21301__1.21301	823__A0A174XJM9__CEQ22_007230
ERR1913276.21325__1.21325	820__A0A374QGD2__ERS852421_02382
ERR1913276.21641__1.21641	1262911__R6GMD8__BN557_01647
ERR1913276.21655__1.21655	214856__R6YD52__ERS852447_02171
ERR1913276.21837__1.21837	147206__GCF_000156215.1_01920
ERR1913276.22091__1.22091	214856__A0A174G1M7__ERS852559_00594
ERR1913276.22195__1.22195	1550024__A0A3B9WIB6__TQ39_08435
ERR1913276.22212__1.22212	1262989__R6Y8I0__BN815_00658
ERR1913276.22280__1.22280	1680__A0A3E4SB79__BAD_1517
ERR1913276.22723__1.22723	301302__A0A173TZN3__M72_00321
ERR1913276.22738__1.22738	1262911__R6GQM3__BN557_01245
ERR1913276.22784__1.22784	1262929__R6F7S9__BN691_01792
ERR1913276.22930__1.22930	820__A0A3E4WCX3__C801_02709
ERR1913276.23242__1.23242	823__A0A395YVY3__ERS852513_03204
ERR1913276.23166__1.23166	626940__E8LFN2__DCQ00_04835
ERR1913276.23547__1.23547	626932__G5H751__HMPREF9450_00894
ERR1913276.23585__1.23585	39492__R6SPM9__pheT
ERR1913276.23565__1.23565	28117__B0MXJ1__BHV66_08445
ERR1913276.23569__1.23569	823__A0A355XH29__lolE_1
ERR1913276.23647__1.23647	487174__K0WY34__DDY40_07435
ERR1913276.23668__1.23668	2108523__A0A2P2F666__LAWASA_1491
ERR1913276.23874__1.23874	626932__G5H897__HMPREF9450_01157
ERR1913276.23958__1.23958	1550024__G9RT86__ASJ35_16935
ERR1913276.24173__1.24173	28117__B0MTD2__ALIPUT_00428
ERR1913276.24251__1.24251	239935__R6J9N8__CXT96_07990
ERR1913276.24444__1.24444	28117__B0MTY2__BHV66_06485
ERR1913276.24445__1.24445	214856__A0A173ZSM1__ERS852447_00944
ERR1913276.24503__1.24503	1550024__A0A3B9WJX7__ASJ35_07080
ERR1913276.24583__1.24583	328814__GCA_004558275.1_01002
ERR1913276.24771__1.24771	33039__D4M1A7__RTO_02350
ERR1913276.24701__1.24701	626940__E8LF01__HMPREF9443_01436
ERR1913276.24722__1.24722	214856__A0A174A1J3__ERS852447_01000
ERR1913276.24730__1.24730	214856__R6XUN2__rcsC_1
ERR1913276.24953__1.24953	214856__I3YPI7__pepD_1
ERR1913276.25282__1.25282	818__Q8A335__HMPREF2534_01154
ERR1913276.25324__1.25324	820__A0A3E4HWJ4__DXD40_05945
ERR1913276.25544__1.25544	33039__R6P270__sleB_2
ERR1913276.25641__1.25641	28117__B0MSS1__ALIPUT_00273
ERR1913276.25796__1.25796	821__R7P1Q7__M099_2990
ERR1913276.26075__1.26075	28117__B0N028__BHV66_05935
ERR1913276.26251__1.26251	28117__B0MY34__BHV66_05195
ERR1913276.26343__1.26343	214856__A0A175A6T5__ERS852447_02658
ERR1913276.26507__1.26507	674529__R6V9C9__DXB21_16435
ERR1913276.26521__1.26521	165179__A0A229I1J2__DXB80_03950
ERR1913276.26814__1.26814	214856__A0A174FWM7__ERS852559_00590
ERR1913276.26770__1.26770	357276__A0A076IRX4__ABI39_13585
ERR1913276.26889__1.26889	2293125__A0A374CIC9__DW917_02045
ERR1913276.26979__1.26979	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913276.26980__1.26980	39492__D4JWY5__rpe
ERR1913276.27288__1.27288	328814__GCA_004558275.1_00074
ERR1913276.27362__1.27362	33039__D4M0U9__mucD
ERR1913276.27401__1.27401	239935__A0A139TMY7__CXU13_02020
ERR1913276.27467__1.27467	214856__A0A174FWM7__ERS852559_00590
ERR1913276.27693__1.27693	823__A0A395YZG9__M092_4358
ERR1913276.27680__1.27680	28117__R7JR95__ALIPUT_01367
ERR1913276.27963__1.27963	214856__A0A174ZJU0__ERS852559_00619
ERR1913276.28029__1.28029	165179__D1PCL6__DXB80_13435
ERR1913276.28154__1.28154	1680__A1A0V3__C8077_03025
ERR1913276.28231__1.28231	40518__R5DYU1__DXD86_01160
ERR1913276.28527__1.28527	1735__B7CE12__EUBIFOR_02447
ERR1913276.28710__1.28710	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913276.28731__1.28731	28116__I9JM49__NCTC11153_01044
ERR1913276.28988__1.28988	820__I9TWZ7__DXC80_10550
ERR1913276.29116__1.29116	820__A0A396EUU8__luxQ_3
ERR1913276.29258__1.29258	39492__D4JWT3__ERS852540_00301
ERR1913276.29529__1.29529	1535__A7VUN3__CLOLEP_02280
ERR1913276.29550__1.29550	820__A0A139JRS5__HMPREF1073_04025
ERR1913276.29599__1.29599	387661__K5YX23__B5F96_10165
ERR1913276.29690__1.29690	1680__A7A2Y2__NCTC11814_00537
ERR1913276.29764__1.29764	820__A0A396EWL3__ERS417307_03868
ERR1913276.29772__1.29772	214856__A0A174FW22__ERS852447_02437
ERR1913276.29822__1.29822	1262911__R6GKS1__BN557_00184
ERR1913276.29894__1.29894	39491__A0A396FJJ9__DXB76_11995
ERR1913276.30061__1.30061	28117__B0MWP2__ALIPUT_01468
ERR1913276.30071__1.30071	39492__D4JV86__spoIIE
ERR1913276.30271__1.30271	487174__K0XRA9__HMPREF9448_00572
ERR1913276.30540__1.30540	1550024__A0A0D8J0K7__TQ39_06245
ERR1913276.30594__1.30594	1150298__A0A174S2H3__spoIIQ
ERR1913276.30730__1.30730	214856__A0A174G1M7__ERS852559_00594
ERR1913276.30763__1.30763	626940__E8LG36__BN587_00913
ERR1913276.30869__1.30869	820__A0A3E4G3J9__ERS852459_02265
ERR1913276.31022__1.31022	301302__A0A173UPG6__ERS852420_03127
ERR1913276.31044__1.31044	28117__B0MTV3__BHV66_06405
ERR1913276.31046__1.31046	39491__C4ZC33__DXC13_11585
ERR1913276.31380__1.31380	853__A0A3E2U7E6__ERS852582_01640
ERR1913276.31383__1.31383	820__R7E9Z4__DXC68_06065
ERR1913276.31451__1.31451	1262924__R7HT26__BN585_00306
ERR1913276.31493__1.31493	28117__B0MVL5__BHV66_01660
ERR1913276.31589__1.31589	1550024__A0A0D8J296__ASJ35_12655
ERR1913276.31709__1.31709	823__A0A355XN36__DXB14_02385
ERR1913276.31717__1.31717	1150298__R7JPI7__cotI
ERR1913276.31724__1.31724	1262743__R5C054__BN727_01980
ERR1913276.31732__1.31732	46503__R6Y9P8__evgS_3
ERR1913276.31825__1.31825	28117__B0MWX3__BHV66_03010
ERR1913276.31929__1.31929	74426__nifJ
ERR1913276.32043__1.32043	1160721__W0U3Q4__BHW50_08110
ERR1913276.32193__1.32193	823__A6LHU5__M092_0203
ERR1913276.32273__1.32273	820__A0A3E4G2R7__DXC07_00510
ERR1913276.32409__1.32409	28117__B0MY36__BHV66_05185
ERR1913276.32512__1.32512	39492__D4JT75__EUBSIR_01776
ERR1913276.32449__1.32449	487174__K0X5B1__DDY40_01695
ERR1913276.32556__1.32556	1262929__R6FRG9__BN691_01453
ERR1913276.32619__1.32619	28117__R7JJM9__ALIPUT_00662
ERR1913276.32632__1.32632	28117__B0MSR5__BHV66_02095
ERR1913276.32804__1.32804	28117__B0N028__BHV66_05935
ERR1913276.32875__1.32875	853__A0A3E2U7E6__ERS852582_01640
ERR1913276.33004__1.33004	360807__C0FZM4__RIL183_06871
ERR1913276.33292__1.33292	214856__R6XS46__ERS852559_00812
ERR1913276.33312__1.33312	820__R9HP61__DXC91_01090
ERR1913276.33505__1.33505	1680__A0A1E7XZY9__DXC60_05815
ERR1913276.33601__1.33601	40518__R5DXH2__DXD83_10135
ERR1913276.33629__1.33629	572010__nrdD
ERR1913276.33692__1.33692	165179__D1P8V8__DXC61_01940
ERR1913276.33725__1.33725	214856__R6XP73__ERS852447_00886
ERR1913276.33773__1.33773	28117__B0MY41__BHV66_05165
ERR1913276.33851__1.33851	1680__A1A132__B0703_0684
ERR1913276.33908__1.33908	1262911__R6HG37__BN557_01341
ERR1913276.33983__1.33983	360807__C0FYV5__comEA
ERR1913276.34208__1.34208	74426__sigA
ERR1913276.34518__1.34518	818__A0A0N7IB02__BT_3500
ERR1913276.34542__1.34542	1680__A0A3E4SB79__BAD_1517
ERR1913276.34652__1.34652	853__A0A174C5M1__CGS58_04460
ERR1913276.34679__1.34679	214856__A0A174ZEF7__mboIIM_1
ERR1913276.34717__1.34717	28117__B0MUX4__ALIPUT_00911
ERR1913276.35035__1.35035	214856__A0A174ZLY7__ERS852447_02456
ERR1913276.35352__1.35352	216816__A0A0A1GSN4__DVB78_03875
ERR1913276.35472__1.35472	360807__C0FPW0__ROSEINA2194_00763
ERR1913276.35505__1.35505	78535__A0A0P0N9J4__strH
ERR1913276.35531__1.35531	1680__A0A173XYA2__B0703_0121
ERR1913276.35575__1.35575	1160721__W0U633__BHW50_00240
ERR1913276.35605__1.35605	853__C7H1R8__DW905_06675
ERR1913276.35817__1.35817	239935__A0A2N8HHY4__DEF40_10850
ERR1913276.35877__1.35877	291645__I8WZT8__HMPREF1068_04327
ERR1913276.36355__1.36355	216816__E8MFM6__DXC54_08560
ERR1913276.36521__1.36521	88431__A0A174A952__ugpA_1
ERR1913276.36603__1.36603	33039__D4M149__ERS852390_03118
ERR1913276.36592__1.36592	214856__R5UN64__ERS852447_02669
ERR1913276.36733__1.36733	165179__A0A3E4SB80__DXC61_12880
ERR1913276.36746__1.36746	214856__A0A174ZB00__ERS852559_00631
ERR1913276.36989__1.36989	40518__R5DVL2__penA
ERR1913276.37112__1.37112	821__A0A396F598__CUU_3259
ERR1913276.37115__1.37115	1965576__A0A1Y4L5T5__B5F19_13710
ERR1913276.37206__1.37206	1262911__R6GZX7__BN557_00838
ERR1913276.37316__1.37316	74426__group_4823
ERR1913276.37347__1.37347	35833__S2KT27__HMPREF0179_05324
ERR1913276.37448__1.37448	39492__D4MIY5__EUBSIR_00233
ERR1913276.37450__1.37450	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913276.37472__1.37472	820__A0A3E4W984__pssA
ERR1913276.37721__1.37721	360807__A0A396ACQ8__ROSEINA2194_00690
ERR1913276.37753__1.37753	214856__A0A174ZLY7__ERS852447_02456
ERR1913276.37949__1.37949	40518__R5DV66__DXD83_04215
ERR1913276.37985__1.37985	1463165__A0A1D3KCY8__B6I49_07590
ERR1913276.37993__1.37993	1262929__R6EZP7__BN691_00230
ERR1913276.38013__1.38013	40518__R5E550__aroK
ERR1913276.38040__1.38040	1262988__R7N3R7__BN816_01427
ERR1913276.38093__1.38093	573__A0A1D3KHD8__phnU
ERR1913276.38219__1.38219	100886__E2NPX9__ERS852383_03583
ERR1913276.38235__1.38235	39488__R5GAY8__EUBHAL_01199
ERR1913276.38270__1.38270	626940__R6WNR3__DCQ00_05790
ERR1913276.38313__1.38313	28117__B0MUY3__BHV66_00515
ERR1913276.38322__1.38322	357276__A0A076IN21__BSEG_03078
ERR1913276.38393__1.38393	1262911__R6GUQ1__BN557_01356
ERR1913276.38436__1.38436	1105031__J1H3W2__HMPREF1141_2783
ERR1913276.38470__1.38470	820__A0A139K1Y6__DXB48_02610
ERR1913276.38476__1.38476	216816__C2GSX7__DD678_03555
ERR1913276.38579__1.38579	116085__D4J5J9__atpH
ERR1913276.38711__1.38711	214856__A0A174ZJU0__ERS852559_00619
ERR1913276.38822__1.38822	1160721__W0U3Q4__BHW50_08110
ERR1913276.38860__1.38860	74426__nifJ
ERR1913276.38903__1.38903	165179__A0A3E5E8N5__DXC61_13460
ERR1913276.38911__1.38911	33040__A0A380L431__NCTC11063_00768
ERR1913276.39175__1.39175	28117__B0N028__BHV66_05935
ERR1913276.39190__1.39190	823__A0A173RD26__B5F32_03910
ERR1913276.39288__1.39288	1262911__R6GKS1__BN557_00184
ERR1913276.39354__1.39354	1263064__GCA_000431175.1_00321
ERR1913276.39379__1.39379	214856__I3YPI7__pepD_1
ERR1913276.39488__1.39488	28117__B0MWC6__BHV66_00965
ERR1913276.39498__1.39498	165179__A0A3E5DN34__DXC61_07865
ERR1913276.39622__1.39622	28117__B0MSL1__BHV66_06710
ERR1913276.39670__1.39670	28117__B0MYW7__ALIPUT_02336
ERR1913276.39728__1.39728	216816__B7GQ29__APC1465_1199
ERR1913276.39703__1.39703	1550024__G9RPC6__TQ39_05630
ERR1913276.39887__1.39887	74426__group_4823
ERR1913276.39890__1.39890	1965576__A0A1Y4LPA8__B5F19_05805
ERR1913276.40097__1.40097	1680__A0A087DHN0__AL0462_1532
ERR1913276.40395__1.40395	239935__A0A2N8I6R6__CXU04_04335
ERR1913276.40478__1.40478	165179__A0A3E5E189__PREVCOP_06699
ERR1913276.41000__1.41000	46228__V8BPJ7__DXD17_00330
ERR1913276.41090__1.41090	820__A0A174QLF0__SAMN05444418_109151
ERR1913276.41037__1.41037	410072__C0BBS7__ERS852525_00851
ERR1913276.41101__1.41101	556259__E5C6L5__BSGG_0298
ERR1913276.41175__1.41175	28117__B0MWC6__BHV66_00965
ERR1913276.41188__1.41188	270498__A0A0M2NJR7__CHK_0040
ERR1913276.41698__1.41698	28117__B0MWH8__BHV66_01330
ERR1913276.41706__1.41706	817__F7LVE5__HMPREF1066_03880
ERR1913276.41811__1.41811	1262736__R5YYI5__BN496_01562
