ERR1913284.369__1.369	40519__U2KBF3__RUMCAL_01572
ERR1913284.5971__1.5971	165179__A0A3E5E8M8__DXB80_11580
ERR1913284.6003__1.6003	626940__R6WJ89__HMPREF9443_01234
ERR1913284.6405__1.6405	165179__A0A3E5E2S3__DXB80_03455
ERR1913284.6491__1.6491	28052__A0A174YNE8__ERS852451_00845
ERR1913284.6728__1.6728	39491__A0A0M6WPN4__DXB69_06325
ERR1913284.6788__1.6788	1262924__R7HPZ6__BN585_00681
ERR1913284.6865__1.6865	100886__A0A174GT42__ERS852383_03762
ERR1913284.6881__1.6881	100886__A0A174K9V8__CATMIT_02543
ERR1913284.6911__1.6911	165179__D1PCL6__DXB80_13435
ERR1913284.7034__1.7034	626940__E8LCM1__HMPREF9443_00590
ERR1913284.7291__1.7291	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913284.7413__1.7413	39491__A0A396FPV7__ERS852580_01177
ERR1913284.7628__1.7628	39492__R6RYB8__ERS852540_00322
ERR1913284.7749__1.7749	357276__B6W1J2__BACDOR_03380
ERR1913284.7730__1.7730	40518__R5DX93__DXD93_03055
ERR1913284.7789__1.7789	820__A0A3E4W084__BACUNI_04042
ERR1913284.7771__1.7771	33043__A0A173W9Y8__ERS852575_00062
ERR1913284.7970__1.7970	239935__A0A2N8IU45__DEF40_02365
ERR1913284.8166__1.8166	165179__A0A3E5E2S3__DXB80_03455
ERR1913284.8201__1.8201	820__A0A078STJ8__DXC68_04690
ERR1913284.8213__1.8213	357276__A0A1Y3Z6X3__GV66_07715
ERR1913284.8295__1.8295	165179__A0A174WRI9__DXB80_04870
ERR1913284.8349__1.8349	1263107__GCA_000436995.1_00023
ERR1913284.8354__1.8354	649756__B0NZZ8__DO83_09740
ERR1913284.8364__1.8364	820__A0A3E4PYB0__yejM
ERR1913284.8461__1.8461	33043__D5HIS6__ERS852575_02019
ERR1913284.8600__1.8600	33043__D5HIS6__ERS852575_02019
ERR1913284.8785__1.8785	394340__metG_1
ERR1913284.8874__1.8874	1235790__S0J8L6__C805_00148
ERR1913284.8907__1.8907	33043__D5HEE1__ERS852386_01671
ERR1913284.8978__1.8978	165179__R6CNX7__DXB80_02200
ERR1913284.9050__1.9050	165179__A0A174WRI9__DXB80_04870
ERR1913284.9183__1.9183	821__E5UY21__C800_02204
ERR1913284.9311__1.9311	214856__A0A174ZJU0__ERS852559_00619
ERR1913284.9330__1.9330	33043__A0A173WI60__ERS852445_00977
ERR1913284.9337__1.9337	357276__A0A076IN30__DXD47_09350
ERR1913284.9566__1.9566	1262889__R7H9A4__BN634_00112
ERR1913284.9631__1.9631	1262924__R7HQB3__BN585_00435
ERR1913284.9659__1.9659	301302__R5UQW7__ERS852420_02102
ERR1913284.9779__1.9779	39491__A0A174A751__DXB69_15525
ERR1913284.9781__1.9781	52226__C9KNB4__MITSMUL_04601
ERR1913284.9827__1.9827	28118__R6F9B8__Odosp_3480
ERR1913284.9881__1.9881	1262803__R6PU37__BN649_01002
ERR1913284.9903__1.9903	165179__A0A3E5AER8__DXB80_07075
ERR1913284.10051__1.10051	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913284.10124__1.10124	1262743__R5C9M2__BN727_01394
ERR1913284.10149__1.10149	626940__E8LCQ8__BHW43_05915
ERR1913284.10330__1.10330	39491__A0A395V1R3__T1815_08181
ERR1913284.10459__1.10459	649756__D4MUE9__ERS852425_03110
ERR1913284.10546__1.10546	1262736__R5Y2P0__BN496_01097
ERR1913284.10727__1.10727	39491__A0A396FF17__EUR_31400
ERR1913284.10788__1.10788	28117__B0MYI9__BHV66_05415
ERR1913284.11300__1.11300	293939__A0A0S7DXK2__ALT_7486
ERR1913284.11315__1.11315	360807__A0A174EVF2__RIL183_27331
ERR1913284.11506__1.11506	1262743__R5C5Y3__BN727_01337
ERR1913284.11773__1.11773	33043__A0A173YEP6__ERS852575_00888
ERR1913284.11884__1.11884	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913284.11943__1.11943	1262911__R6GSH0__BN557_00934
ERR1913284.12230__1.12230	1262889__R7HCP6__BN634_01556
ERR1913284.12232__1.12232	165179__A0A3E5A554__DXB80_13805
ERR1913284.12391__1.12391	28132__D9RV83__HMPREF0660_00835
ERR1913284.12607__1.12607	1262803__R6NU90__BN649_01506
ERR1913284.12832__1.12832	165179__A0A3E5AGH1__DXB80_05820
ERR1913284.12812__1.12812	1262924__R7HRW9__BN585_00665
ERR1913284.12950__1.12950	165179__A0A3E5E2S3__DXB80_03455
ERR1913284.12955__1.12955	165179__A0A3E5E3D6__DXC61_05750
ERR1913284.12967__1.12967	239935__A0A139TVJ4__CXT86_02020
ERR1913284.13020__1.13020	823__A0A073I5R7__cloSI
ERR1913284.13089__1.13089	39491__A0A395V464__EUBREC_1509
ERR1913284.13153__1.13153	853__A0A174C5M1__CGS58_04460
ERR1913284.13546__1.13546	39491__A0A396FPV7__ERS852580_01177
ERR1913284.13965__1.13965	33043__A0A174BZH6__ERS852400_01477
ERR1913284.14060__1.14060	33043__D5HF43__ERS852445_00477
ERR1913284.14025__1.14025	818__A0A174RFL1__ERS852511_03380
ERR1913284.14242__1.14242	28052__A0A174KLS3__ERS852451_01864
ERR1913284.14262__1.14262	239935__A0A2N8HBP0__CXT94_04450
ERR1913284.14346__1.14346	1262889__R7HAY6__BN634_02225
ERR1913284.14418__1.14418	165179__A0A3E5AER8__DXB80_07075
ERR1913284.14535__1.14535	39491__A0A396FVC0__ERE_15900
ERR1913284.14783__1.14783	165179__D1PCL6__DXB80_13435
ERR1913284.14916__1.14916	39492__D4JWA3__ERS852540_01332
ERR1913284.15078__1.15078	239935__A0A2N8I1R3__CXU05_06075
ERR1913284.15249__1.15249	46228__B5CP91__RUMLAC_01282
ERR1913284.15304__1.15304	39492__D4JUS6__accD5
ERR1913284.15532__1.15532	371601__I9UNH8__SAMN04487924_12147
ERR1913284.15709__1.15709	28052__R7NAJ8__ERS852451_02374
ERR1913284.15769__1.15769	39492__D4MM10__EUBSIR_01460
ERR1913284.15792__1.15792	33043__A0A374K1H3__ykoD_2
ERR1913284.15933__1.15933	39488__A0A374NJP4__DXD91_10845
ERR1913284.16024__1.16024	1262803__R6NCT2__BN649_01225
ERR1913284.16417__1.16417	823__A6L9W2__DXB14_07905
ERR1913284.16443__1.16443	28117__B0MWX3__BHV66_03010
ERR1913284.16478__1.16478	33043__A0A174B7D6__ERS852400_01331
ERR1913284.16554__1.16554	33043__A0A174B7D6__ERS852400_01331
ERR1913284.16635__1.16635	165179__A0A3E5EB26__CFT61_02800
ERR1913284.16696__1.16696	39492__D4JVW2__EUBSIR_02285
ERR1913284.16755__1.16755	239935__A0A2N8IUQ8__CXU09_01665
ERR1913284.16923__1.16923	28052__A0A174H9I6__ERS852451_00172
ERR1913284.17101__1.17101	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913284.17106__1.17106	165179__A0A3E5DX15__DXC61_00345
ERR1913284.17129__1.17129	165179__D1PGU8__PREVCOP_06463
ERR1913284.17408__1.17408	338188__A0A173XK96__BACFIN_08439
ERR1913284.17422__1.17422	33043__A0A174B7D6__ERS852400_01331
ERR1913284.17453__1.17453	52226__C9KQ38__MITSMUL_05346
ERR1913284.17566__1.17566	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913284.17671__1.17671	1262803__R6NYF7__BN649_02038
ERR1913284.17729__1.17729	394340__thiC
ERR1913284.17962__1.17962	360807__A0A0M6WQ40__hisK_1
ERR1913284.18122__1.18122	165179__A0A3E5E3D6__DXC61_05750
ERR1913284.18141__1.18141	165179__R6CNX7__DXB80_02200
ERR1913284.18241__1.18241	626940__E8LFN2__DCQ00_04835
ERR1913284.18469__1.18469	1150298__A0A174I2L4__ERS852535_01377
ERR1913284.18522__1.18522	338188__C9L213__ERS852397_00630
ERR1913284.18478__1.18478	1472761__GCA_002159295.1_00743
ERR1913284.18490__1.18490	165179__A0A174WRI9__DXB80_04870
ERR1913284.18602__1.18602	360807__C0FVL6__ERS852444_00333
ERR1913284.18649__1.18649	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913284.18814__1.18814	40518__R5DX31__DXD86_09775
ERR1913284.18840__1.18840	28117__B0MTW8__ALIPUT_00502
ERR1913284.18943__1.18943	1263011__R6DYN1__BN553_00853
ERR1913284.19122__1.19122	357276__A0A076J4B1__DXD47_03445
ERR1913284.19132__1.19132	1262911__R6GHG8__BN557_01301
ERR1913284.19180__1.19180	165179__A0A3E4SB95__DXC61_13455
ERR1913284.19232__1.19232	39491__A0A174K1W6__DXB99_15020
ERR1913284.19238__1.19238	33043__D5HHT2__ERS852445_02796
ERR1913284.19375__1.19375	301302__R5UKP4__cbiT
ERR1913284.19385__1.19385	165179__A0A3E5E5M2__PREVCOP_03530
ERR1913284.19434__1.19434	1262986__R6A878__BN492_00369
ERR1913284.19442__1.19442	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913284.19493__1.19493	28117__B0MY40__BHV66_05170
ERR1913284.19790__1.19790	239935__A0A2N8IAZ5__xseA
ERR1913284.19993__1.19993	821__D4VD59__BHV80_04260
ERR1913284.20131__1.20131	820__R9HUV5__HMPREF2141_02582
ERR1913284.20351__1.20351	410072__C0B8M3__ERS852574_02182
ERR1913284.20454__1.20454	626940__E8LF75__HMPREF9443_01516
ERR1913284.20533__1.20533	360807__A0A173XR05__RIL183_10401
ERR1913284.20539__1.20539	39491__A0A396FMF1__EUR_28700
ERR1913284.20558__1.20558	39491__A0A396FMF1__EUR_28700
ERR1913284.20641__1.20641	39491__A0A0M6WPN4__DXB69_06325
ERR1913284.20812__1.20812	853__A8SCP3__C4N26_07960
ERR1913284.20885__1.20885	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913284.21165__1.21165	33043__D5HF50__ERS852386_02415
ERR1913284.21203__1.21203	817__A0A0E2T2A5__M103_4787
ERR1913284.21291__1.21291	820__A7VAS1__HMPREF2141_03259
ERR1913284.21500__1.21500	33043__A0A173ZZ54__ERS852400_00193
ERR1913284.21534__1.21534	1262924__R7HML0__BN585_01508
ERR1913284.21631__1.21631	39491__A0A396FRK0__ERS852417_00541
ERR1913284.21828__1.21828	39491__A0A395UZ89__DXB72_12805
ERR1913284.22088__1.22088	165179__A0A229I1J2__DXB80_03950
ERR1913284.22211__1.22211	28117__B0MXR1__BHV66_08035
ERR1913284.22441__1.22441	74426__purC
ERR1913284.22403__1.22403	706562__GCA_900112995.1_02230
ERR1913284.22504__1.22504	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913284.22502__1.22502	33043__A0A173YEP6__ERS852575_00888
ERR1913284.22552__1.22552	165179__A0A3E5E189__PREVCOP_06699
ERR1913284.22556__1.22556	165179__A0A229I6N7__DXC61_06720
ERR1913284.22564__1.22564	853__A0A2A7AXC8__C4N21_14120
ERR1913284.22843__1.22843	1262803__R6NHJ2__BN649_01811
ERR1913284.22849__1.22849	165179__D1PCL6__DXB80_13435
ERR1913284.23039__1.23039	165179__D1PFV4__PREVCOP_06112
ERR1913284.23091__1.23091	165179__A0A229I1J2__DXB80_03950
ERR1913284.23144__1.23144	1628085__A0A374VRS5__C7386_10481
ERR1913284.23395__1.23395	239935__A0A2N8J1K0__CXT97_05765
ERR1913284.23518__1.23518	165179__D1PAJ7__PREVCOP_04222
ERR1913284.23539__1.23539	1262538__GeneID:16384854
ERR1913284.23823__1.23823	165179__A0A3E5E7J5__DXC61_10360
ERR1913284.23829__1.23829	1262803__R6NI66__BN649_01917
ERR1913284.23855__1.23855	40518__R5DTJ1__DXD86_03635
ERR1913284.23929__1.23929	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913284.24056__1.24056	853__A0A173TAZ8__DWZ46_14590
ERR1913284.24256__1.24256	301302__R5UQ67__M72_23121
ERR1913284.24262__1.24262	165179__D1PGD2__DXC61_10875
ERR1913284.24291__1.24291	33043__D5HIS6__ERS852575_02019
ERR1913284.24488__1.24488	39492__D4JVX0__udk
ERR1913284.24567__1.24567	360807__A0A173UZ94__ssuC_2
ERR1913284.24578__1.24578	39491__D4JMW8__ERS852497_01971
ERR1913284.24860__1.24860	410072__C0B9A6__yvhJ
ERR1913284.24830__1.24830	39491__D6E408__EUBREC_1466
ERR1913284.24877__1.24877	1680__A0A3E4SB79__BAD_1517
ERR1913284.24906__1.24906	33043__D5HGR0__rpfC_2
ERR1913284.24923__1.24923	28118__F9Z5M1__NCTC10826_02946
ERR1913284.25010__1.25010	39491__D4JMW8__ERS852497_01971
ERR1913284.25435__1.25435	1796613__A0A1C7H446__ADH74_13370
ERR1913284.25502__1.25502	28052__A0A174JQH3__ERS852499_01195
ERR1913284.25584__1.25584	165179__A0A3E5E2S3__DXB80_03455
ERR1913284.25611__1.25611	33043__D5HFA1__ERS852400_02183
ERR1913284.25687__1.25687	1262736__R5Z0V0__BN496_00387
ERR1913284.25701__1.25701	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913284.25859__1.25859	40518__R5DS23__DXD86_01715
ERR1913284.25910__1.25910	357276__A0A076IYG1__B5F95_22465
ERR1913284.25949__1.25949	46503__R6Y9P8__evgS_3
ERR1913284.26040__1.26040	33043__D5HFA1__ERS852400_02183
ERR1913284.26076__1.26076	28116__R6DIL2__DXD69_10970
ERR1913284.26096__1.26096	239935__A0A2N8ITG2__Amuc_0335
ERR1913284.26236__1.26236	165179__D1PCT4__DXB80_09470
ERR1913284.26285__1.26285	165179__A0A3E5E920__DXB80_11625
ERR1913284.26265__1.26265	301301__A0A395VDE1__ERS852391_03099
ERR1913284.26337__1.26337	165179__A0A229I1J2__DXB80_03950
ERR1913284.26470__1.26470	165179__A0A174MTF2__DXC61_13200
ERR1913284.26475__1.26475	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913284.26486__1.26486	1262924__R7HQD4__BN585_02072
ERR1913284.26514__1.26514	33043__A0A174CLG4__hemA
ERR1913284.26552__1.26552	165179__A0A3E5A832__DXC61_13685
ERR1913284.26613__1.26613	33043__A0A173WXS1__ERS852445_00262
ERR1913284.26722__1.26722	39492__D4JS87__EUBSIR_02328
ERR1913284.26778__1.26778	165179__A0A174W369__PREVCOP_04548
ERR1913284.26783__1.26783	410072__A0A174K1D5__hscC
ERR1913284.27094__1.27094	821__A0A3E4HP25__SAMN04487923_102450
ERR1913284.27254__1.27254	39491__A0A395V0H6__ERS852580_02570
ERR1913284.27384__1.27384	821__A0A396F598__CUU_3259
ERR1913284.27478__1.27478	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913284.27551__1.27551	338188__A0A174FPA3__BACFIN_06857
ERR1913284.27566__1.27566	33043__A0A173X520__ERS852575_01617
ERR1913284.27732__1.27732	165179__A0A3E5AER8__DXB80_07075
ERR1913284.27779__1.27779	33043__A0A173S5P8__ERS852445_00566
ERR1913284.27798__1.27798	165179__A0A3E5E2S3__DXB80_03455
ERR1913284.28119__1.28119	165179__D1PDG7__DXB80_11180
ERR1913284.28215__1.28215	165179__A0A3E5AEF7__DXC61_05000
ERR1913284.28291__1.28291	28118__F9Z3U6__B5F99_03365
ERR1913284.28526__1.28526	1262889__R7HD87__BN634_01680
ERR1913284.28536__1.28536	28117__R7JIJ8__BHV66_01635
ERR1913284.28588__1.28588	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913284.28620__1.28620	39492__D4JTF2__mutS2
ERR1913284.28724__1.28724	40518__R5DY73__DXD86_02865
ERR1913284.28735__1.28735	1262911__R6HN72__BN557_00911
ERR1913284.28834__1.28834	33043__A0A174AHE2__ERS852445_01187
ERR1913284.29159__1.29159	458033__GCA_001482755.1_02203
ERR1913284.29226__1.29226	33043__A0A173YPE0__thiD
ERR1913284.29384__1.29384	33039__A0A173VTT4__frdB_1
ERR1913284.29465__1.29465	239935__R6JCH3__CXT95_08205
ERR1913284.29500__1.29500	33043__D5HHT0__ERS852445_02798
ERR1913284.29501__1.29501	360807__A0A173WJE3__mcp4_4
ERR1913284.29650__1.29650	165179__A0A3E5E920__DXB80_11625
ERR1913284.29936__1.29936	39491__A0A395V297__EUR_01010
ERR1913284.30028__1.30028	33043__A0A374K1H3__ykoD_2
ERR1913284.30097__1.30097	28052__R7NCE8__cph2_1
ERR1913284.30399__1.30399	165179__A0A3E5EDV6__DXC61_03365
ERR1913284.30588__1.30588	239935__A0A2N8J1K0__CXT97_05765
ERR1913284.30589__1.30589	33043__A0A174B7D6__ERS852400_01331
ERR1913284.30683__1.30683	239935__A0A2N8IKW7__pstA
ERR1913284.30716__1.30716	1262924__R7HRA8__BN585_01680
ERR1913284.30883__1.30883	28117__B0MXU6__ALIPUT_01958
ERR1913284.31086__1.31086	39491__A0A395ZG74__licR
ERR1913284.31012__1.31012	301302__A0A0M6WYM9__ERS852420_02669
ERR1913284.31111__1.31111	28117__B0MWZ3__BHV66_03240
ERR1913284.31648__1.31648	165179__D1PDG7__DXB80_11180
ERR1913284.31605__1.31605	39492__D4JUP6__ERS852540_01404
ERR1913284.31668__1.31668	239935__A0A2N8I3G2__CXT89_00720
ERR1913284.31669__1.31669	33043__D5HHE4__ERS852445_02332
ERR1913284.31708__1.31708	165179__A0A3E5E8N5__DXC61_13460
ERR1913284.32087__1.32087	626929__F3PKG7__SAMN05444376_0720
ERR1913284.32853__1.32853	239935__R6J9Y2__CXT85_07000
ERR1913284.33117__1.33117	165179__A0A3E5DY64__CFT61_10025
ERR1913284.33143__1.33143	239935__A0A139TPG3__CXT86_08810
ERR1913284.33297__1.33297	823__A0A395YS82__M091_1569
ERR1913284.33308__1.33308	649756__D4MWA6__HMPREF0369_02259
ERR1913284.33504__1.33504	28117__B0MYW7__ALIPUT_02336
ERR1913284.33651__1.33651	46228__V8BMA2__DXD17_11785
ERR1913284.33721__1.33721	165179__A0A3E5E3D6__DXC61_05750
ERR1913284.33741__1.33741	239935__A0A2N8ITX2__CXT86_11265
ERR1913284.33814__1.33814	1262929__R6FTR6__BN691_00242
ERR1913284.34048__1.34048	1262924__R7HPY0__BN585_01950
ERR1913284.34203__1.34203	39486__G1WN57__DORFOR_02477
ERR1913284.34332__1.34332	33043__D5HJ22__ERS852575_02302
ERR1913284.34406__1.34406	165179__D1PCT4__DXB80_09470
ERR1913284.34421__1.34421	165179__A0A3E5DRF6__DXC61_00200
ERR1913284.34573__1.34573	33043__D5HIE6__ERS852445_01796
ERR1913284.34584__1.34584	28117__B0MWC6__BHV66_00965
ERR1913284.34613__1.34613	28052__R7NCE0__ERS852499_00449
ERR1913284.34731__1.34731	43675__D2NRX1__ROTMU0001_0767
ERR1913284.35041__1.35041	165179__D1PEZ7__DXC61_06515
ERR1913284.35277__1.35277	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913284.35398__1.35398	46503__A7AHZ8__PARMER_03051
ERR1913284.35460__1.35460	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913284.35494__1.35494	46228__B5CPX5__RUMLAC_01520
ERR1913284.35506__1.35506	165179__A0A3E5EBQ2__DXC61_01930
ERR1913284.35696__1.35696	1263011__R6EMV8__BN553_01996
ERR1913284.35754__1.35754	818__A0A1H7S810__BJP75_003270
ERR1913284.35907__1.35907	28052__A0A174NW82__lytR_1
ERR1913284.35922__1.35922	28117__B0MYM2__BHV66_04910
ERR1913284.35957__1.35957	820__I9TWZ7__DXC80_10550
ERR1913284.36048__1.36048	360807__A0A173R6E5__ERS852444_00251
ERR1913284.36027__1.36027	28117__B0MT38__BHV66_05995
ERR1913284.36080__1.36080	39491__R6TQ09__DXC13_03010
ERR1913284.36119__1.36119	410072__A0A173SJX0__ytpA
ERR1913284.36132__1.36132	1262924__R7HTA4__BN585_00391
ERR1913284.36337__1.36337	165179__D1PCL6__DXB80_13435
ERR1913284.36296__1.36296	165179__R6CNX7__DXB80_02200
ERR1913284.36380__1.36380	39491__A0A3E4YFT8__DXB69_10940
ERR1913284.36434__1.36434	165179__R6C330__DXC61_04975
ERR1913284.36451__1.36451	33039__R6PZ42__mprA_2
ERR1913284.36703__1.36703	1262743__R5C5Y3__BN727_01337
ERR1913284.36901__1.36901	165179__W1I4H6__DXB80_13655
ERR1913284.37169__1.37169	165179__D1PGU8__PREVCOP_06463
ERR1913284.37312__1.37312	357276__C3RA36__HMPREF1065_03270
ERR1913284.37469__1.37469	165179__D1PEQ5__PREVCOP_05711
ERR1913284.37507__1.37507	33043__A0A174B7D6__ERS852400_01331
ERR1913284.37497__1.37497	1262743__R5C9M2__BN727_01394
ERR1913284.37664__1.37664	410072__A0A173WM89__DXD67_03705
ERR1913284.37731__1.37731	100886__E2NW10__ERS852383_04483
ERR1913284.37761__1.37761	853__A0A174CVG7__CGS58_09335
ERR1913284.38091__1.38091	821__A0A0P0M2J4__DXD46_10295
ERR1913284.38146__1.38146	165179__D1P9T6__PREVCOP_04016
ERR1913284.38181__1.38181	39491__A0A396FE96__EUR_00280
ERR1913284.38193__1.38193	165179__A0A174IPI3__CFT61_10940
ERR1913284.38232__1.38232	39491__C4Z9E9__T1815_12341
ERR1913284.38282__1.38282	46228__V8C9H7__RUMLAC_01008
ERR1913284.38290__1.38290	33043__A8SQU6__ERS852386_01237
ERR1913284.38521__1.38521	410072__A0A174LWU8__ERS852481_03155
ERR1913284.38596__1.38596	239935__A0A2N8I9P4__CXT85_05050
ERR1913284.38634__1.38634	165179__D1PGU8__PREVCOP_06463
ERR1913284.38802__1.38802	301302__R5UM41__M72_15921
ERR1913284.38714__1.38714	165179__D1PAJ7__PREVCOP_04222
ERR1913284.38885__1.38885	239935__R6J776__CXU07_02355
ERR1913284.38912__1.38912	1262911__R6GMD8__BN557_01647
ERR1913284.38954__1.38954	165179__D1PEZ7__DXC61_06515
ERR1913284.39031__1.39031	165179__A0A174MTF2__DXC61_13200
ERR1913284.39076__1.39076	33043__D5HIK4__ERS852400_01112
ERR1913284.39138__1.39138	818__A0A174TXD9__C799_03229
ERR1913284.39177__1.39177	1262911__R6GSH0__BN557_00934
ERR1913284.39260__1.39260	487175__F3QGM6__HMPREF9439_00065
ERR1913284.39320__1.39320	39488__C0EUW7__ERS852578_01381
ERR1913284.39430__1.39430	1262803__R6PU18__BN649_00987
ERR1913284.39413__1.39413	1262803__R6NLI1__BN649_00352
ERR1913284.39473__1.39473	820__R9HXK9__DXB62_08265
ERR1913284.39526__1.39526	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913284.39549__1.39549	165179__D1PGU8__PREVCOP_06463
ERR1913284.39737__1.39737	165179__A0A3E5E4P9__DXB80_07930
ERR1913284.39851__1.39851	820__A0A174CK74__DXB48_07060
ERR1913284.39855__1.39855	165179__A0A3E5EB26__CFT61_02800
ERR1913284.39881__1.39881	52226__A0A174AFF4__rbsK
ERR1913284.39989__1.39989	328814__GCA_004558275.1_00075
ERR1913284.39965__1.39965	33043__D5HH51__ERS852386_00147
ERR1913284.40036__1.40036	239935__A0A2N8IIB9__CXU04_01970
ERR1913284.40055__1.40055	853__A0A173TAZ8__DWZ46_14590
ERR1913284.40104__1.40104	1262743__R5CCR3__BN727_00712
ERR1913284.40180__1.40180	1150298__A0A174D6N6__accB
ERR1913284.40221__1.40221	40518__R5E7S2__RBL263_00671
ERR1913284.40274__1.40274	165179__A0A3E5E2S3__DXB80_03455
ERR1913284.40315__1.40315	46503__R6Y901__HMPREF1060_01754
ERR1913284.40378__1.40378	165179__D1PCT4__DXB80_09470
ERR1913284.40379__1.40379	165179__A0A229I1J2__DXB80_03950
ERR1913284.40466__1.40466	671266__GCA_004801615.1_02101
ERR1913284.40602__1.40602	239935__A0A2N8INK7__Amuc_0521
ERR1913284.40622__1.40622	39486__B0G239__DXD82_09385
ERR1913284.40628__1.40628	39491__A0A173TFQ1__rsmF
ERR1913284.40635__1.40635	39492__B0MNL5__phoR_1
ERR1913284.40729__1.40729	357276__G5SMD3__BSEG_02959
ERR1913284.40745__1.40745	33043__A0A173WCG7__ERS852575_01602
ERR1913284.40832__1.40832	33043__A0A173SS22__yceG
ERR1913284.40932__1.40932	33043__D5HDB6__sipT_2
ERR1913284.41236__1.41236	39491__C4ZAT2__ERE_28440
ERR1913284.41263__1.41263	165179__A0A3E5E643__DXB80_06030
ERR1913284.41592__1.41592	40518__R5DZ88__DXD93_06320
ERR1913284.41649__1.41649	853__A0A173YYY4__DWZ04_09420
ERR1913284.41669__1.41669	357276__B6W5Q7__DXD47_13945
