ERR1913167.17__1.17	47678__R5U3D5__DW706_05635
ERR1913167.6302__1.6302	820__A0A139K2N9__DXB62_12420
ERR1913167.6394__1.6394	820__A0A174QT76__B5G17_18060
ERR1913167.6439__1.6439	39492__D4JVG1__ERS852540_00951
ERR1913167.6532__1.6532	487174__K0X068__DDY40_07105
ERR1913167.6618__1.6618	820__A0A374QGD2__ERS852421_02382
ERR1913167.6713__1.6713	820__A0A139KJ23__celCCA
ERR1913167.6847__1.6847	454155__F3QTL7__HMPREF9442_01535
ERR1913167.6888__1.6888	454155__F3QSU2__HMPREF9442_01256
ERR1913167.7068__1.7068	820__A0A3E4W6P0__gmhA
ERR1913167.7009__1.7009	820__R9HVB9__DXC68_17285
ERR1913167.7571__1.7571	823__A6LHJ7__ERS852380_00253
ERR1913167.7701__1.7701	820__A0A139KHX1__HMPREF2141_00289
ERR1913167.7706__1.7706	1262882__R5N708__BN519_00095
ERR1913167.7713__1.7713	820__R9I2U8__DXC68_09590
ERR1913167.7740__1.7740	1263044__GCA_000433375.1_01409
ERR1913167.7920__1.7920	820__A0A139KHX1__HMPREF2141_00289
ERR1913167.7986__1.7986	820__A0A139KHD8__ERS417307_00569
ERR1913167.7943__1.7943	239935__B2UQP8__CXU15_01110
ERR1913167.8296__1.8296	1262882__R5MM96__BN519_01545
ERR1913167.8301__1.8301	820__A0A3E4G2R7__DXC07_00510
ERR1913167.8309__1.8309	820__A0A3E4VZY4__ERS852554_01211
ERR1913167.8359__1.8359	820__A0A1T4IYF4__mprA_1
ERR1913167.8586__1.8586	338188__A0A174FPA3__BACFIN_06857
ERR1913167.8746__1.8746	1262882__R5N4F5__BN519_01266
ERR1913167.8840__1.8840	47678__A5ZEX0__DW706_08045
ERR1913167.8881__1.8881	1262924__R7HQ73__BN585_02030
ERR1913167.9019__1.9019	204516__U6RPN2__HMPREF1534_00368
ERR1913167.9021__1.9021	821__A0A174NM17__lacZ_6
ERR1913167.9100__1.9100	820__A7V470__HMPREF1072_02076
ERR1913167.9150__1.9150	487174__K0X068__DDY40_07105
ERR1913167.9161__1.9161	239935__A0A2N8HHB6__B5G29_11500
ERR1913167.9208__1.9208	39492__D4JV86__spoIIE
ERR1913167.9354__1.9354	820__A0A3E4VZT7__DXB48_16145
ERR1913167.9402__1.9402	371601__G1UK36__HMPREF1074_03496
ERR1913167.9513__1.9513	246787__I8V2S2__BACCELL_02524
ERR1913167.9567__1.9567	821__A0A174T998__DXB82_10860
ERR1913167.9773__1.9773	820__A0A139JY23__B5G17_06330
ERR1913167.10048__1.10048	47678__R5U4P2__CGC64_17185
ERR1913167.10117__1.10117	1550024__A0A0D8IUW2__TQ39_17855
ERR1913167.10271__1.10271	28111__E5WYC1__BACEGG_00354
ERR1913167.10363__1.10363	820__A0A139KHX1__HMPREF2141_00289
ERR1913167.10811__1.10811	39492__D4JUR4__ERS852540_01427
ERR1913167.10977__1.10977	1262882__R5MZZ3__BN519_00482
ERR1913167.10987__1.10987	820__A0A173YYG4__evgS_3
ERR1913167.11057__1.11057	1150298__A0A174LYE0__ERS852535_00529
ERR1913167.11134__1.11134	338188__A0A173XBX1__BACFIN_07139
ERR1913167.11498__1.11498	820__A0A139KHX1__HMPREF2141_00289
ERR1913167.11698__1.11698	1297617__A0A0S2W507__C7373_104145
ERR1913167.11821__1.11821	821__A0A3E4WAR6__DXD64_10735
ERR1913167.12008__1.12008	1262992__R5DBG3__BN795_01416
ERR1913167.12060__1.12060	338188__A0A174IDH7__ERS852397_02952
ERR1913167.12128__1.12128	1262882__R5MND9__BN519_00831
ERR1913167.12277__1.12277	239935__A0A2N8IF99__lpdA
ERR1913167.12286__1.12286	823__A0A355XF06__B5F32_11480
ERR1913167.12393__1.12393	1262882__R5MS31__BN519_01529
ERR1913167.12410__1.12410	487173__H1CYJ4__HMPREF9453_00432
ERR1913167.12473__1.12473	454155__F3QTM3__HMPREF9442_01541
ERR1913167.12483__1.12483	28111__E5X0Y0__HMPREF1016_02598
ERR1913167.12529__1.12529	1262882__R5MSS9__BN519_01662
ERR1913167.12575__1.12575	28117__B0MT38__BHV66_05995
ERR1913167.12589__1.12589	28111__R5K5V1__NCTC11155_02461
ERR1913167.12691__1.12691	28111__R5K3D9__NCTC11155_02788
ERR1913167.12665__1.12665	2173__A0A1D2WST6__METSMIALI_00213
ERR1913167.12642__1.12642	1262882__R5N587__BN519_01643
ERR1913167.12737__1.12737	820__A7UYX8__DXD40_11635
ERR1913167.12822__1.12822	820__A0A3E4W9W8__C801_01069
ERR1913167.13048__1.13048	544645__A0A3E4TCM9__DXC42_06490
ERR1913167.13071__1.13071	821__A0A396ER29__ERS852457_02298
ERR1913167.13129__1.13129	820__R9I324__HMPREF2141_02414
ERR1913167.13230__1.13230	1262992__R5D1X3__BN795_00176
ERR1913167.13288__1.13288	674529__R6V0V1__DXB21_06395
ERR1913167.13302__1.13302	820__A0A1Y3V743__M093_0235
ERR1913167.13349__1.13349	106588__A6P303__BACCAP_04887
ERR1913167.13385__1.13385	823__A0A395YZ10__NCTC11152_02955
ERR1913167.13578__1.13578	820__A0A139KJR5__M093_4469
ERR1913167.13585__1.13585	820__A0A3E4GA19__SAMN05444418_10562
ERR1913167.13750__1.13750	239935__A0A2N8ITX2__CXT86_11265
ERR1913167.13804__1.13804	853__A0A173RZ39__C4N22_01650
ERR1913167.13872__1.13872	544644__GCA_001915615.1_02092
ERR1913167.13976__1.13976	820__A0A174QLF0__SAMN05444418_109151
ERR1913167.14027__1.14027	239935__A0A2N8HAQ1__DEF40_05290
ERR1913167.14131__1.14131	820__I9J701__ERS852510_01809
ERR1913167.14133__1.14133	1262882__R5MSX6__BN519_01697
ERR1913167.14180__1.14180	239935__A0A2N8IDX4__CXU20_07380
ERR1913167.14211__1.14211	338188__R6RV06__HMPREF1057_00250
ERR1913167.14281__1.14281	820__A0A174Q0F0__DXB48_08080
ERR1913167.14268__1.14268	820__A0A173WUD7__DXB48_08055
ERR1913167.14271__1.14271	28117__B0MTW8__ALIPUT_00502
ERR1913167.14398__1.14398	674529__R6V0V1__DXB21_06395
ERR1913167.14403__1.14403	1262992__R5D3X7__BN795_00539
ERR1913167.14431__1.14431	820__A0A3E4PYB0__yejM
ERR1913167.14542__1.14542	39492__D4JR43__ERS852540_02379
ERR1913167.14701__1.14701	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913167.14752__1.14752	1262882__R5MKL9__BN519_00353
ERR1913167.14859__1.14859	487174__K0X4L2__pgl
ERR1913167.14842__1.14842	820__A0A174F0C1__nreB
ERR1913167.14915__1.14915	1160721__W0U8M9__RBI_II00386
ERR1913167.15160__1.15160	820__A0A374Q854__HMPREF1073_03281
ERR1913167.15355__1.15355	1262924__R7HRI6__BN585_00824
ERR1913167.15360__1.15360	39491__C4ZCH3__EUR_17560
ERR1913167.15436__1.15436	1262882__R5MGI7__BN519_00643
ERR1913167.15381__1.15381	239935__A0A2N8IEP3__CXT84_03735
ERR1913167.15394__1.15394	39491__A0A396FRE7__EUR_27520
ERR1913167.15454__1.15454	47678__A5ZI88__BACCAC_02617
ERR1913167.15656__1.15656	820__A0A174KKV6__DXC07_02635
ERR1913167.15617__1.15617	820__A0A139K4T0__ERS852510_03146
ERR1913167.15765__1.15765	329854__R5M2X4__DXD57_07795
ERR1913167.15867__1.15867	410072__A0A174LWU8__ERS852481_03155
ERR1913167.15947__1.15947	454154__G5SPR9__HMPREF9441_01352
ERR1913167.15991__1.15991	387090__S0F8B2__BACCOPRO_02129
ERR1913167.16114__1.16114	820__A0A139KJR5__M093_4469
ERR1913167.16207__1.16207	820__A0A174F0C1__nreB
ERR1913167.16269__1.16269	820__I9A4U7__DHU98_12785
ERR1913167.16552__1.16552	1262924__R7HUJ5__BN585_00830
ERR1913167.16588__1.16588	820__A0A3E4PYB0__yejM
ERR1913167.16645__1.16645	1262882__R5MFA5__BN519_00331
ERR1913167.16751__1.16751	820__A0A1T4IY71__HMPREF2141_02402
ERR1913167.16765__1.16765	1262980__R5BIJ7__BN814_02293
ERR1913167.16771__1.16771	1897011__A0A1Q6RGX0__BHW41_01465
ERR1913167.16808__1.16808	820__A0A139JRS5__HMPREF1073_04025
ERR1913167.16949__1.16949	820__A0A396EWL3__ERS417307_03868
ERR1913167.17080__1.17080	28118__F9Z408__NCTC10826_01194
ERR1913167.17146__1.17146	371601__D7J5K1__DXD80_05805
ERR1913167.17442__1.17442	820__A7V470__HMPREF1072_02076
ERR1913167.17653__1.17653	1262882__R5MIY9__BN519_01097
ERR1913167.17754__1.17754	820__R9I3Q7__HMPREF1072_01668
ERR1913167.17713__1.17713	1965537__A0A1Y4WEK3__B5E42_15445
ERR1913167.17810__1.17810	820__A0A174TRB5__DXD40_11305
ERR1913167.17909__1.17909	820__A0A3E4IBC1__M094_0628
ERR1913167.17937__1.17937	454154__G5SWP8__HMPREF9441_03821
ERR1913167.18018__1.18018	820__A0A139JV05__B5G17_18125
ERR1913167.18057__1.18057	820__A0A3E4FZM1__adaA_2
ERR1913167.18139__1.18139	820__A7UYX8__DXD40_11635
ERR1913167.18150__1.18150	1263044__GCA_000433375.1_03406
ERR1913167.18218__1.18218	821__A0A3E4HP25__SAMN04487923_102450
ERR1913167.18226__1.18226	204516__U6RNF5__HMPREF1534_00381
ERR1913167.18521__1.18521	40518__R5DXI4__DXD86_07420
ERR1913167.18706__1.18706	39492__A0A174ZHV5__msbA_2
ERR1913167.18744__1.18744	1262963__R6C7W6__BN718_00713
ERR1913167.18745__1.18745	820__A0A139K1Y6__DXB48_02610
ERR1913167.18788__1.18788	820__A0A3E4QZJ7__C801_01798
ERR1913167.18912__1.18912	1262882__R5N1L4__BN519_00757
ERR1913167.18932__1.18932	239935__A0A139TVJ4__CXT86_02020
ERR1913167.19121__1.19121	40518__R5DPI9__DXD83_07375
ERR1913167.19313__1.19313	1262882__R5N4D8__BN519_01497
ERR1913167.19321__1.19321	204516__U6RGN8__HMPREF1534_01465
ERR1913167.19389__1.19389	820__A7UYX8__DXD40_11635
ERR1913167.19442__1.19442	1262882__R5MFR3__BN519_00473
ERR1913167.19463__1.19463	39492__D4JU56__hemZ
ERR1913167.19694__1.19694	338188__K5CLC2__BACFIN_05485
ERR1913167.19827__1.19827	820__A0A3E4W084__BACUNI_04042
ERR1913167.19884__1.19884	1262882__R5N3T7__BN519_01188
ERR1913167.20302__1.20302	820__A0A173WUD7__DXB48_08055
ERR1913167.20389__1.20389	1297617__A0A0S2W4S3__C7373_104197
ERR1913167.20759__1.20759	820__A0A139KHX1__HMPREF2141_00289
ERR1913167.20781__1.20781	820__A0A174CG08__DXB62_13215
ERR1913167.20862__1.20862	820__A0A374MMF0__HMPREF1073_03811
ERR1913167.20979__1.20979	820__A0A1Q6IDS8__chtA
ERR1913167.20998__1.20998	1262980__R5BJP7__BN814_02447
ERR1913167.21059__1.21059	28117__B0MYM2__BHV66_04910
ERR1913167.21124__1.21124	239935__A0A2N8IXN0__CXT95_01765
ERR1913167.21167__1.21167	820__A0A078STJ8__DXC68_04690
ERR1913167.21223__1.21223	1262882__R5MZ41__BN519_00356
ERR1913167.21289__1.21289	820__A0A139KEW8__DXB64_06405
ERR1913167.21611__1.21611	1262992__R5D637__BN795_00221
ERR1913167.22119__1.22119	28117__R7JLL3__ALIPUT_02219
ERR1913167.22280__1.22280	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913167.22393__1.22393	820__A0A396EUU8__luxQ_3
ERR1913167.22608__1.22608	35833__S2KWP6__HMPREF0179_05248
ERR1913167.22743__1.22743	40518__R5DX17__DXD86_01230
ERR1913167.22746__1.22746	820__A0A3E4WA06__ERS852554_03404
ERR1913167.22749__1.22749	820__A7V859__ERS852462_00341
ERR1913167.22757__1.22757	28116__A0A396DFW5__C5Z02_07010
ERR1913167.22896__1.22896	1262882__R5MF51__BN519_00287
ERR1913167.22870__1.22870	674529__R6V730__DXB21_06405
ERR1913167.22872__1.22872	39492__D4JSS2__EUBSIR_00553
ERR1913167.23014__1.23014	1262882__R5MKL9__BN519_00353
ERR1913167.23018__1.23018	820__A0A173WUD7__DXB48_08055
ERR1913167.23177__1.23177	820__A0A174M9V5__M093_0237
ERR1913167.23330__1.23330	820__A0A173XIP7__B5G17_16050
ERR1913167.23373__1.23373	239935__A0A2N8IYM5__CXT84_05130
ERR1913167.23422__1.23422	1262882__R5MHQ8__BN519_00707
ERR1913167.23499__1.23499	820__A0A396CMY7__HMPREF1072_03009
ERR1913167.23560__1.23560	820__A0A1Y3V743__M093_0235
ERR1913167.23564__1.23564	823__E1YT73__NCTC11152_02675
ERR1913167.23798__1.23798	301302__R5UMB9__M72_25011
ERR1913167.23800__1.23800	239935__R6JD78__CXU05_09250
ERR1913167.23958__1.23958	820__A0A3E4PYB0__yejM
ERR1913167.24142__1.24142	1262924__R7HQD9__BN585_00129
ERR1913167.24360__1.24360	39492__D4JRY3__EUBSIR_01473
ERR1913167.24399__1.24399	820__A0A3E4GA19__SAMN05444418_10562
ERR1913167.24456__1.24456	1262992__R5D6G0__BN795_00277
ERR1913167.24440__1.24440	47678__R5UPZ8__ERS852494_01752
ERR1913167.24518__1.24518	823__A6LEF3__ERS852560_01356
ERR1913167.24540__1.24540	820__R9I2U8__DXC68_09590
ERR1913167.24642__1.24642	1297617__A0A0S2W0K9__C7373_10194
ERR1913167.24783__1.24783	39492__D4JQP0__ypeB
ERR1913167.24826__1.24826	1262924__R7HSB4__BN585_00816
ERR1913167.24883__1.24883	28116__E5CCI1__HMPREF1070_04782
ERR1913167.25120__1.25120	674529__A0A174EXC1__DXB21_01255
ERR1913167.25170__1.25170	40518__R5DVL2__penA
ERR1913167.25208__1.25208	820__A0A3E4W4Y7__B5G17_02055
ERR1913167.25221__1.25221	454155__F3QX42__HMPREF9442_02776
ERR1913167.25235__1.25235	853__A0A173RZ39__C4N22_01650
ERR1913167.25238__1.25238	818__A0A1H7L4U6__BSIG_3287
ERR1913167.25468__1.25468	204516__U6REI9__HMPREF1534_02357
ERR1913167.25642__1.25642	2292352__A0A374UJE7__DXC23_11305
ERR1913167.25689__1.25689	820__A0A3E4W984__pssA
ERR1913167.25763__1.25763	820__A0A3E4WCC2__lptB_1
ERR1913167.25943__1.25943	1262882__R5MIY9__BN519_01097
ERR1913167.26004__1.26004	2292284__A0A374V7I9__DXC10_12980
ERR1913167.26186__1.26186	204516__U6R9E6__HMPREF1534_03149
ERR1913167.26153__1.26153	820__A0A174CG08__DXB62_13215
ERR1913167.26282__1.26282	28118__F9Z3G8__B5F99_01835
ERR1913167.26222__1.26222	820__A0A396EXA7__DXB37_15530
ERR1913167.26233__1.26233	1262882__R5MRS7__BN519_01490
ERR1913167.26317__1.26317	544645__A0A1U7L9U1__DXC42_00420
ERR1913167.26368__1.26368	1262882__R5ML49__BN519_01361
ERR1913167.26424__1.26424	322505__xre_3
ERR1913167.26531__1.26531	820__A0A139K4W1__M093_0353
ERR1913167.26708__1.26708	216816__B3DR71__CE159_04070
ERR1913167.26764__1.26764	301301__A0A395VGH2__dltB_2
ERR1913167.26820__1.26820	39492__D4JVX0__udk
ERR1913167.27029__1.27029	1262882__R5MQ68__BN519_01178
ERR1913167.27167__1.27167	1780376__A0A143XQT4__BN3659_01658
ERR1913167.27373__1.27373	1262882__R5MEN2__BN519_00200
ERR1913167.27451__1.27451	820__A0A139K0K1__DXB37_05460
ERR1913167.27584__1.27584	820__A0A174TRB5__DXD40_11305
ERR1913167.27585__1.27585	820__A7V8C2__ERS852554_01338
ERR1913167.27610__1.27610	1262882__R5MGI7__BN519_00643
ERR1913167.27805__1.27805	820__A7V859__ERS852462_00341
ERR1913167.27757__1.27757	1262882__R5MPY4__BN519_01128
ERR1913167.27772__1.27772	487173__H1D168__HMPREF9453_01356
ERR1913167.27914__1.27914	820__A0A174F696__macB_13
ERR1913167.28118__1.28118	823__A0A395YZ10__NCTC11152_02955
ERR1913167.28185__1.28185	239935__A0A2N8IF99__lpdA
ERR1913167.28116__1.28116	39491__A0A174EQV2__DXB69_10230
ERR1913167.28193__1.28193	820__A0A396EUU8__luxQ_3
ERR1913167.28392__1.28392	820__A0A3E4PYB0__yejM
ERR1913167.28354__1.28354	1262882__R5MEN9__BN519_00201
ERR1913167.28487__1.28487	1262882__R5MM69__BN519_00075
ERR1913167.28658__1.28658	820__A0A078S569__gmhB
ERR1913167.28917__1.28917	1262882__R5MHZ2__BN519_00742
ERR1913167.29006__1.29006	1262992__R5D3T4__BN795_00483
ERR1913167.29011__1.29011	1262882__R5MM69__BN519_00075
ERR1913167.29247__1.29247	820__A0A3E4VZT7__DXB48_16145
ERR1913167.29312__1.29312	1297617__A0A0S2W0X1__IB211_00621
ERR1913167.29387__1.29387	820__A7V092__hldE
ERR1913167.29440__1.29440	820__A0A1T4IY80__ERS852554_01621
ERR1913167.29454__1.29454	239935__R7DVL7__CXT93_01180
ERR1913167.29456__1.29456	239935__A0A2N8IMC9__CXU09_02095
ERR1913167.29663__1.29663	239935__A0A2N8HPS5__Amuc_0950
ERR1913167.29981__1.29981	39485__A0A174ZQT9__EUBELI_20278
ERR1913167.30234__1.30234	106588__A6P303__BACCAP_04887
ERR1913167.30338__1.30338	820__A0A3E4WA06__ERS852554_03404
ERR1913167.30386__1.30386	820__A0A3E4GA19__SAMN05444418_10562
ERR1913167.30382__1.30382	626929__F3PJN9__B5F24_15155
ERR1913167.30457__1.30457	419015__U1SGM9__CYJ33_04830
ERR1913167.30485__1.30485	1262882__R5N1R4__BN519_00788
ERR1913167.30750__1.30750	1550024__A0A0D8IZ65__TQ39_09425
ERR1913167.30926__1.30926	823__A0A355XF06__B5F32_11480
ERR1913167.30962__1.30962	1262958__R7H0I4__BN645_01809
ERR1913167.31054__1.31054	1262882__R5N3H1__BN519_01121
ERR1913167.31090__1.31090	1262882__R5N3H1__BN519_01121
ERR1913167.31245__1.31245	39492__D4JRP0__yetF
ERR1913167.31251__1.31251	820__A0A374MXK3__HMPREF1072_00166
ERR1913167.31309__1.31309	820__A0A3E4G3J9__ERS852459_02265
ERR1913167.31416__1.31416	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913167.31662__1.31662	820__A0A3E4VXP2__yesR
ERR1913167.31713__1.31713	820__A0A139K1Y6__DXB48_02610
ERR1913167.31818__1.31818	1550024__A0A0D8IY45__ASJ35_05575
ERR1913167.31777__1.31777	246787__A0A0P0FS62__HMPREF1062_05447
ERR1913167.31835__1.31835	1262882__R5N3T7__BN519_01188
ERR1913167.32089__1.32089	820__A0A139KHX1__HMPREF2141_00289
ERR1913167.32133__1.32133	820__A0A1Q6IDS8__chtA
ERR1913167.32202__1.32202	487174__K0X3V7__DIT83_01400
ERR1913167.32309__1.32309	2108523__A0A2P2F8Z8__LAWASA_2511
ERR1913167.32338__1.32338	820__A0A173YYG4__evgS_3
ERR1913167.32509__1.32509	1262882__R5MFK5__BN519_00378
ERR1913167.32652__1.32652	47678__R5U206__C5Z00_07065
ERR1913167.32675__1.32675	820__A0A374Q854__HMPREF1073_03281
ERR1913167.32913__1.32913	301302__A0A173T3P5__ERS852420_01836
ERR1913167.32985__1.32985	853__A0A174CVG7__CGS58_09335
ERR1913167.33203__1.33203	39492__D4JSB6__ERS852540_00627
ERR1913167.33210__1.33210	823__E1YSG0__DHP27_00465
ERR1913167.33390__1.33390	1262882__R5MXS6__BN519_00286
ERR1913167.33455__1.33455	28117__B0MU58__BHV66_05630
ERR1913167.33494__1.33494	820__A0A374Q351__DXD40_05850
ERR1913167.33506__1.33506	487174__R5EP60__DIT83_09045
ERR1913167.33528__1.33528	1689__D2Q8E1__HMPREF0168_1531
ERR1913167.33709__1.33709	487174__K0WWY0__DIT83_10195
ERR1913167.33717__1.33717	820__A0A173XIP7__B5G17_16050
ERR1913167.33721__1.33721	39492__D4JT87__clpC
ERR1913167.33870__1.33870	820__A0A173WUD7__DXB48_08055
ERR1913167.33922__1.33922	820__A0A1T4IYF4__mprA_1
ERR1913167.34227__1.34227	35833__E5YAY4__HMPREF0179_03355
ERR1913167.34245__1.34245	1160721__R6U5L6__RBI_I01802
ERR1913167.34520__1.34520	820__A0A139K0J1__HMPREF2141_03205
ERR1913167.34504__1.34504	820__A0A139KHX1__HMPREF2141_00289
ERR1913167.34641__1.34641	820__A0A173WZS4__DXD90_10250
ERR1913167.34674__1.34674	820__I9A4U7__DHU98_12785
ERR1913167.34769__1.34769	74426__pflB_2
ERR1913167.34967__1.34967	853__A0A173TAZ8__DWZ46_14590
ERR1913167.34968__1.34968	1550024__G9RXH7__TQ39_11565
ERR1913167.35311__1.35311	820__A0A1T4IYF4__mprA_1
ERR1913167.35320__1.35320	820__A0A139KJR5__M093_4469
ERR1913167.35498__1.35498	1262882__R5N532__BN519_01420
ERR1913167.35500__1.35500	820__A0A3E4WCX3__C801_02709
ERR1913167.35930__1.35930	1262882__R5MYX5__BN519_00333
ERR1913167.36151__1.36151	1965576__A0A1Y4L4M7__B5F19_14830
ERR1913167.36216__1.36216	820__A0A3E4QZJ7__C801_01798
ERR1913167.36324__1.36324	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913167.36370__1.36370	820__A7V9F9__B5G17_14640
ERR1913167.36379__1.36379	1262882__R5N4I8__BN519_01293
ERR1913167.36461__1.36461	239935__B2UNF6__CXU17_03450
ERR1913167.36504__1.36504	39492__D4JSS2__EUBSIR_00553
ERR1913167.36489__1.36489	1262992__R5DE88__BN795_00202
ERR1913167.36606__1.36606	1262746__R5SS80__BN750_02125
ERR1913167.36652__1.36652	204516__U6R9E6__HMPREF1534_03149
ERR1913167.36727__1.36727	1262743__R5C7B5__BN727_00586
ERR1913167.36787__1.36787	820__A0A174M9V5__M093_0237
ERR1913167.36889__1.36889	28118__R6F045__B5F99_10560
ERR1913167.36922__1.36922	216816__B3DRU6__DPC6323_0992
ERR1913167.37020__1.37020	1297617__A0A2U1BD74__C7373_11416
ERR1913167.37029__1.37029	357276__B6W1J2__BACDOR_03380
ERR1913167.37032__1.37032	820__A0A139K4W5__HMPREF2141_02394
ERR1913167.37104__1.37104	820__A0A3E4VZT7__DXB48_16145
ERR1913167.37177__1.37177	820__A0A139K4T0__ERS852510_03146
ERR1913167.37279__1.37279	204516__U6RFV1__HMPREF1534_02560
ERR1913167.37359__1.37359	820__A0A139K4W5__HMPREF2141_02394
ERR1913167.37473__1.37473	1160721__R6UAE5__BHW50_03280
ERR1913167.37523__1.37523	1297617__A0A0S2W084__IB211_00376c
ERR1913167.37589__1.37589	1628085__A0A2U1BCY4__C7386_10635
ERR1913167.37684__1.37684	1160721__R6TH23__RBI_I00201
ERR1913167.37781__1.37781	28116__R6JAK2__DXD69_23875
ERR1913167.37746__1.37746	239935__R7DVW2__CXU02_03915
ERR1913167.37858__1.37858	1263000__R5EXT3__BN466_02213
ERR1913167.37881__1.37881	1262743__R5C7B5__BN727_00586
ERR1913167.38051__1.38051	40518__R5E8B6__RB5AMG_00876
ERR1913167.38199__1.38199	1550024__G9RZG5__TQ39_11180
ERR1913167.38247__1.38247	1262882__R5MIY9__BN519_01097
ERR1913167.38242__1.38242	820__A0A139KJR5__M093_4469
