ERR1913224.352__1.352	853__A0A173RZ39__C4N22_01650
ERR1913224.6338__1.6338	1262911__R6HHR1__BN557_01622
ERR1913224.6340__1.6340	106588__A6NUL8__BACCAP_01900
ERR1913224.6404__1.6404	1262889__R7HDL3__BN634_01924
ERR1913224.6454__1.6454	820__A0A174CK74__DXB48_07060
ERR1913224.6761__1.6761	1262911__R6GR13__BN557_00618
ERR1913224.6868__1.6868	1262761__R6QHS8__BN606_00445
ERR1913224.7025__1.7025	1720294__U2B0A6__DWY69_01110
ERR1913224.7069__1.7069	155148__GeneID:921005
ERR1913224.7113__1.7113	820__A0A139JY23__B5G17_06330
ERR1913224.7371__1.7371	823__A0A174DZM1__DDY96_10310
ERR1913224.7446__1.7446	1501391__GCA_000786575.1_00003
ERR1913224.7638__1.7638	1262988__R7N1E2__BN816_00832
ERR1913224.7642__1.7642	2293125__A0A374BSW4__DW917_13420
ERR1913224.7685__1.7685	562__P76135__CTY41_23560
ERR1913224.7690__1.7690	853__A0A173YYY4__DWZ04_09420
ERR1913224.7787__1.7787	853__A0A173XRA8__CGS56_09290
ERR1913224.7809__1.7809	1262942__R7QVK2__BN520_01389
ERR1913224.8100__1.8100	446660__GCA_003428235.1_00881
ERR1913224.8305__1.8305	2293125__A0A374BZ93__DW917_11205
ERR1913224.8416__1.8416	821__A0A3E4WAR6__DXD64_10735
ERR1913224.8492__1.8492	853__A0A173XRA8__CGS56_09290
ERR1913224.8818__1.8818	39492__D4MMN2__EUBSIR_00964
ERR1913224.8917__1.8917	820__A0A3E4WA06__ERS852554_03404
ERR1913224.8957__1.8957	820__A0A139K426__B5G17_09115
ERR1913224.8959__1.8959	1262911__R6GZ01__BN557_00641
ERR1913224.9095__1.9095	1262944__R7IUC6__BN596_02095
ERR1913224.9129__1.9129	1263000__R5EMU9__BN466_00667
ERR1913224.9133__1.9133	820__I9TWZ7__DXC80_10550
ERR1913224.9216__1.9216	1680__A0A3E4SB79__BAD_1517
ERR1913224.9276__1.9276	39485__A0A174YVB5__lyc
ERR1913224.9445__1.9445	820__A0A1T4IYF4__mprA_1
ERR1913224.9590__1.9590	1501391__GCA_000786575.1_00035
ERR1913224.9746__1.9746	853__A0A2A7ATM9__DWZ89_13645
ERR1913224.10015__1.10015	1262761__R6QR72__BN606_01181
ERR1913224.10053__1.10053	39485__C4Z6R3__mcp2_1
ERR1913224.10258__1.10258	820__R7E9Z4__DXC68_06065
ERR1913224.10995__1.10995	820__R9HXK9__DXB62_08265
ERR1913224.11049__1.11049	820__A0A139K426__B5G17_09115
ERR1913224.11078__1.11078	1501391__GCA_000786575.1_00074
ERR1913224.11094__1.11094	39485__A0A174ZTY8__ycfH
ERR1913224.11127__1.11127	214856__R6XKT4__ERS852559_01719
ERR1913224.11393__1.11393	1501391__GCA_000786575.1_00122
ERR1913224.11531__1.11531	165179__D1PGU8__PREVCOP_06463
ERR1913224.11575__1.11575	1160721__R6U304__BHW50_05725
ERR1913224.11612__1.11612	820__A0A374Q1D8__SAMN05444418_112114
ERR1913224.11776__1.11776	1262911__R6H072__BN557_00615
ERR1913224.11860__1.11860	33038__A0A396G729__RUMGNA_01796
ERR1913224.11979__1.11979	46228__B5CPX5__RUMLAC_01520
ERR1913224.12135__1.12135	28116__I8YA52__M088_0798
ERR1913224.12159__1.12159	1160721__W0U3P8__RBI_I00386
ERR1913224.12588__1.12588	820__A0A3E4RUC4__DHU98_02635
ERR1913224.12672__1.12672	1262761__R6RB22__BN606_01933
ERR1913224.12905__1.12905	165179__D1PGU8__PREVCOP_06463
ERR1913224.12908__1.12908	301301__A0A395VA63__sbcC
ERR1913224.12960__1.12960	2293125__A0A374CFZ2__DW917_03445
ERR1913224.13221__1.13221	1262777__R5VL94__BN512_01961
ERR1913224.13280__1.13280	239935__A0A2N8I1R3__CXU05_06075
ERR1913224.13444__1.13444	2293125__A0A374BQ34__DW917_14250
ERR1913224.13450__1.13450	820__A0A174G065__DXB62_08975
ERR1913224.13786__1.13786	820__A0A1T4IY71__HMPREF2141_02402
ERR1913224.13810__1.13810	218538__C9LPE5__GCWU000321_01424
ERR1913224.13993__1.13993	357276__B6VT86__IY41_22515
ERR1913224.14158__1.14158	2293125__A0A374CFZ2__DW917_03445
ERR1913224.14387__1.14387	39492__D4JQM9__EUBSIR_00669
ERR1913224.14424__1.14424	853__A0A3E2U7E6__ERS852582_01640
ERR1913224.14433__1.14433	418240__A0A174G147__toxA_4
ERR1913224.14903__1.14903	39485__R5ZVC3__ERS852490_00250
ERR1913224.15063__1.15063	817__E1WSL3__M137_1835
ERR1913224.15139__1.15139	384638__B7ANI2__BACPEC_00236
ERR1913224.15189__1.15189	820__A0A174B4N2__M093_2531
ERR1913224.15197__1.15197	40518__R5DUG7__sbcC
ERR1913224.15299__1.15299	853__A0A3E2U7E6__ERS852582_01640
ERR1913224.15340__1.15340	2293125__A0A374CII0__DW917_03470
ERR1913224.15348__1.15348	2293125__A0A374BUM7__DW917_12980
ERR1913224.15370__1.15370	821__A0A174NSU0__BVU_3144
ERR1913224.15412__1.15412	1262761__R6QVL2__BN606_00807
ERR1913224.15472__1.15472	88431__A0A3E5GJ50__DORLON_02273
ERR1913224.15620__1.15620	1628085__A0A3E2XZQ1__C7386_101439
ERR1913224.15957__1.15957	1262761__R6R8B3__BN606_01478
ERR1913224.16188__1.16188	33043__A0A174A481__ERS852400_01067
ERR1913224.16194__1.16194	820__A7V9F9__B5G17_14640
ERR1913224.16478__1.16478	487174__K0WRZ5__HMPREF9448_02826
ERR1913224.16710__1.16710	1262761__R6QTV2__BN606_01879
ERR1913224.16680__1.16680	1501391__GCA_000786575.1_00052
ERR1913224.16756__1.16756	1262988__R7N7H3__BN816_00684
ERR1913224.16795__1.16795	39485__C4Z355__ERS852490_01971
ERR1913224.16813__1.16813	2293125__A0A374CFU2__DW917_03475
ERR1913224.16865__1.16865	39485__C4Z6F3__EUBELI_20400
ERR1913224.17149__1.17149	40518__R5DTG5__RBATCC27255_00890
ERR1913224.17516__1.17516	2293125__A0A374BRB6__DW917_13815
ERR1913224.17632__1.17632	1262761__R6QJJ2__BN606_00358
ERR1913224.17682__1.17682	2293125__A0A374CFZ2__DW917_03445
ERR1913224.17690__1.17690	821__A0A174MBW9__SAMN04487923_10272
ERR1913224.17937__1.17937	39485__A0A174YSU1__ERS852492_00576
ERR1913224.18143__1.18143	1501391__GCA_000786575.1_00068
ERR1913224.18154__1.18154	28116__A7M018__M089_5540
ERR1913224.18257__1.18257	2293125__A0A374CBD1__DW917_06995
ERR1913224.18230__1.18230	1262944__R7IRM6__BN596_01473
ERR1913224.18337__1.18337	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913224.18340__1.18340	165179__A0A3E5A5E5__DXC61_13965
ERR1913224.18379__1.18379	28118__R6F2P2__NCTC10826_02131
ERR1913224.18444__1.18444	820__A0A139K4W1__M093_0353
ERR1913224.18482__1.18482	1262911__R6GYU2__BN557_00621
ERR1913224.18703__1.18703	823__A0A355XKQ8__DHP27_04010
ERR1913224.18743__1.18743	820__A0A174M9V5__M093_0237
ERR1913224.18784__1.18784	1501391__GCA_000786575.1_00067
ERR1913224.18856__1.18856	218538__C9LL79__GCWU000321_00015
ERR1913224.19195__1.19195	820__A0A3E4W6P0__gmhA
ERR1913224.19228__1.19228	1150298__R7JNQ8__ERS852406_00857
ERR1913224.19368__1.19368	820__A0A3E4VXP2__yesR
ERR1913224.19434__1.19434	1262911__R6GQ41__BN557_00435
ERR1913224.19467__1.19467	745368__A0A1T4YBA4__SAMN02745178_02873
ERR1913224.19585__1.19585	39492__D4MIK7__EUBSIR_00676
ERR1913224.19649__1.19649	239935__A0A2N8IMD6__CXU03_05585
ERR1913224.19853__1.19853	165179__A0A174SA26__PREVCOP_05758
ERR1913224.19947__1.19947	1501391__GCA_000786575.1_00092
ERR1913224.20403__1.20403	1262911__R6GI18__BN557_01377
ERR1913224.20489__1.20489	1262761__R6QU78__BN606_01972
ERR1913224.20550__1.20550	820__A0A1T4IY71__HMPREF2141_02402
ERR1913224.20582__1.20582	1262911__R6GKS1__BN557_00184
ERR1913224.20654__1.20654	1262988__R7N8P2__BN816_00013
ERR1913224.20656__1.20656	165179__A0A3E5EB26__CFT61_02800
ERR1913224.20719__1.20719	214856__R6Z7Q9__ERS852447_02172
ERR1913224.20813__1.20813	2293125__A0A374BR61__DW917_14880
ERR1913224.20934__1.20934	1262824__R6RR47__BN719_02604
ERR1913224.21031__1.21031	2293125__A0A374CII0__DW917_03470
ERR1913224.21132__1.21132	1262761__R6QJQ2__BN606_00751
ERR1913224.21146__1.21146	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913224.21231__1.21231	821__A0A3E4HP25__SAMN04487923_102450
ERR1913224.21527__1.21527	1262761__R6RBJ5__BN606_02022
ERR1913224.21553__1.21553	1501391__GCA_000786575.1_00073
ERR1913224.21690__1.21690	2293125__A0A374C955__DW917_08135
ERR1913224.21781__1.21781	1160721__W0U4D5__RBI_I01230
ERR1913224.21968__1.21968	853__A0A2A7B9I6__DW855_13690
ERR1913224.22045__1.22045	39491__A0A173TAZ5__DXB99_09520
ERR1913224.22058__1.22058	820__A0A173W419__DXC68_17760
ERR1913224.22098__1.22098	563769__GeneID:6972918
ERR1913224.22104__1.22104	2293125__A0A374BLR6__DW917_15555
ERR1913224.22115__1.22115	1501391__GCA_000786575.1_00033
ERR1913224.22409__1.22409	820__A0A174R952__DXB48_02570
ERR1913224.22410__1.22410	39492__D4JSD3__EUBSIR_00131
ERR1913224.22551__1.22551	1262911__R6GP58__BN557_00798
ERR1913224.22609__1.22609	2293125__A0A374CHT4__DW917_03485
ERR1913224.22640__1.22640	384638__B7ASX7__BACPEC_02185
ERR1913224.22781__1.22781	33043__A8SQU6__ERS852386_01237
ERR1913224.22822__1.22822	39492__D4JUR4__ERS852540_01427
ERR1913224.23375__1.23375	1262736__R5Y3Z8__BN496_01484
ERR1913224.23435__1.23435	2293125__A0A374BRB6__DW917_13815
ERR1913224.23577__1.23577	2293125__A0A374CFU2__DW917_03475
ERR1913224.23709__1.23709	1262761__R6RMH1__BN606_00005
ERR1913224.23960__1.23960	1501391__GCA_000786575.1_00123
ERR1913224.23885__1.23885	2293125__A0A374BY09__DW917_11855
ERR1913224.24221__1.24221	156456__G9YIG5__HMPREF0080_01457
ERR1913224.24945__1.24945	1263107__GCA_000436995.1_00056
ERR1913224.24862__1.24862	39485__A0A174ZTY8__ycfH
ERR1913224.24921__1.24921	821__E5UY21__C800_02204
ERR1913224.25015__1.25015	1680__R5GMB5__AD0028_1137
ERR1913224.25159__1.25159	1262988__R7N1E2__BN816_00832
ERR1913224.25194__1.25194	301301__A0A395V4S5__RHOM_15770
ERR1913224.25452__1.25452	39491__A0A395UZL1__DXB76_05950
ERR1913224.25620__1.25620	487174__K0XH97__HMPREF9448_01909
ERR1913224.25657__1.25657	2108523__A0A2P2F666__LAWASA_1491
ERR1913224.25809__1.25809	46228__V8C4T8__RUMLAC_02058
ERR1913224.25831__1.25831	165179__A0A174SA26__PREVCOP_05758
ERR1913224.25867__1.25867	301301__A0A395V5W5__RHOM_01200
ERR1913224.25890__1.25890	562__P0AF07__motB_2
ERR1913224.25892__1.25892	1262988__R7N324__BN816_01933
ERR1913224.25929__1.25929	1262988__R7N1P1__BN816_02071
ERR1913224.25997__1.25997	357276__I9QBT7__BSEG_03340
ERR1913224.26082__1.26082	418240__C6J879__ERS852523_04053
ERR1913224.26188__1.26188	1501391__GCA_000786575.1_00057
ERR1913224.26228__1.26228	46228__V8C458__DXD17_08090
ERR1913224.26278__1.26278	1628085__A0A374VPL1__C7386_10315
ERR1913224.26335__1.26335	1262761__R6R744__BN606_01303
ERR1913224.26437__1.26437	28116__A0A139KS89__HMPREF2532_04387
ERR1913224.26483__1.26483	10679__GeneID:1261533
ERR1913224.26514__1.26514	487174__K0X068__DDY40_07105
ERR1913224.26565__1.26565	2293125__A0A374CFZ2__DW917_03445
ERR1913224.26699__1.26699	33039__A0A173VTT4__frdB_1
ERR1913224.26686__1.26686	820__A0A3E4WCX3__C801_02709
ERR1913224.26827__1.26827	2293125__A0A374CC93__DW917_06625
ERR1913224.27039__1.27039	1262911__R6GZX7__BN557_00838
ERR1913224.27169__1.27169	39492__D4JT68__spoIIIE
ERR1913224.27399__1.27399	1262736__R5YZQ5__BN496_01941
ERR1913224.27470__1.27470	47678__A0A3E5BQM1__DXB67_08970
ERR1913224.27518__1.27518	1501391__GCA_000786575.1_00043
ERR1913224.27536__1.27536	821__A0A0P0M2J4__DXD46_10295
ERR1913224.27549__1.27549	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913224.27573__1.27573	2293125__A0A374CFZ2__DW917_03445
ERR1913224.27594__1.27594	1262911__R6H212__BN557_01031
ERR1913224.27692__1.27692	1262911__R6GR13__BN557_00618
ERR1913224.27875__1.27875	2293125__A0A374CHQ0__DW917_02295
ERR1913224.28001__1.28001	820__A0A3E4VZY4__ERS852554_01211
ERR1913224.28220__1.28220	165179__A0A3E5AGH1__DXB80_05820
ERR1913224.28286__1.28286	817__E1WN51__M137_2771
ERR1913224.28352__1.28352	823__A0A174XJM9__CEQ22_007230
ERR1913224.28491__1.28491	1262911__R6GVG8__BN557_01498
ERR1913224.28525__1.28525	239935__A0A2N8ITW6__CXT91_06265
ERR1913224.28628__1.28628	106588__A6NUL8__BACCAP_01900
ERR1913224.28738__1.28738	10680__GeneID:1261099
ERR1913224.28958__1.28958	165179__D1PGU8__PREVCOP_06463
ERR1913224.29144__1.29144	820__A0A3E4IGA7__DXD40_07110
ERR1913224.29614__1.29614	165179__A0A229I7F5__DXB80_02650
ERR1913224.30010__1.30010	2293125__A0A374BSW4__DW917_13420
ERR1913224.30080__1.30080	410072__A0A3E4GT98__ERS852574_02351
ERR1913224.30093__1.30093	218538__C9LPF0__GCWU000321_01429
ERR1913224.30260__1.30260	1501391__GCA_000786575.1_00147
ERR1913224.30276__1.30276	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913224.30364__1.30364	487174__R5F3K6__DDY40_04230
ERR1913224.30605__1.30605	39485__A0A174ZBK4__ERS852490_01585
ERR1913224.30613__1.30613	47678__A5ZF31__DXB67_11050
ERR1913224.30672__1.30672	2293125__A0A374CFZ2__DW917_03445
ERR1913224.30815__1.30815	165179__A0A3E5E8M8__DXB80_11580
ERR1913224.30893__1.30893	823__A0A355XPA0__DXB14_05710
ERR1913224.31037__1.31037	1262963__R6C7W6__BN718_00713
ERR1913224.31086__1.31086	544645__A0A1U7LBK0__DXC42_07670
ERR1913224.31228__1.31228	1501391__GCA_000786575.1_00080
ERR1913224.31398__1.31398	820__A0A3E5BMG9__DXD40_05130
ERR1913224.31403__1.31403	1263000__R5EXT3__BN466_02213
ERR1913224.31408__1.31408	820__A7V049__DXB48_04755
ERR1913224.31723__1.31723	820__A0A1T4IYF4__mprA_1
ERR1913224.31763__1.31763	371601__C3R2J2__ERS852396_04353
ERR1913224.31832__1.31832	2293125__A0A374C7Q7__DW917_07770
ERR1913224.32215__1.32215	1262736__R5YLP8__BN496_00010
ERR1913224.32285__1.32285	1262911__R6GYT4__BN557_00617
ERR1913224.32289__1.32289	820__A0A3E4G8F8__ERS852421_01645
ERR1913224.32327__1.32327	39492__D4JWT3__ERS852540_00301
ERR1913224.32407__1.32407	88431__A0A174G8Q6__ERS852526_02711
ERR1913224.32818__1.32818	2293125__A0A374C9I8__DW917_06795
ERR1913224.32832__1.32832	1262988__R7N4G5__BN816_01692
ERR1913224.32837__1.32837	1262761__R6QR72__BN606_01181
ERR1913224.32937__1.32937	1262911__R6H0U7__BN557_01104
ERR1913224.32947__1.32947	384638__B7AUF8__BACPEC_02356
ERR1913224.33174__1.33174	1501391__GCA_000786575.1_00055
ERR1913224.33323__1.33323	1501391__GCA_000786575.1_00003
ERR1913224.33331__1.33331	820__A0A3E4PYB0__yejM
ERR1913224.33484__1.33484	1263000__R5F0L3__BN466_00284
ERR1913224.33504__1.33504	1262777__R5VM31__BN512_00609
ERR1913224.33769__1.33769	2293125__A0A374C9M9__DW917_08170
ERR1913224.33813__1.33813	2293125__A0A374CFZ2__DW917_03445
ERR1913224.33958__1.33958	745368__A0A1T4Y5S3__SAMN02745178_02736
ERR1913224.33976__1.33976	820__A0A1Y3V743__M093_0235
ERR1913224.34195__1.34195	1262911__R6GXS5__BN557_00160
ERR1913224.34318__1.34318	2293125__A0A374BSW4__DW917_13420
ERR1913224.34417__1.34417	1160721__W0U864__BHW50_04040
ERR1913224.34623__1.34623	1897011__A0A1Q6REW8__BHW41_04435
ERR1913224.34640__1.34640	820__A0A374Q854__HMPREF1073_03281
ERR1913224.34714__1.34714	853__A0A2A7A628__CGS57_13755
ERR1913224.34783__1.34783	39488__A0A285PWQ3__DXD91_13870
ERR1913224.34845__1.34845	165179__A0A229I7F5__DXB80_02650
ERR1913224.35336__1.35336	39492__D4MIK7__EUBSIR_00676
ERR1913224.35459__1.35459	820__A0A139KIL9__DXC68_05945
ERR1913224.35426__1.35426	387090__S0F8B2__BACCOPRO_02129
ERR1913224.35583__1.35583	2293125__A0A374BVX3__DW917_12740
ERR1913224.35830__1.35830	1501391__GCA_000786575.1_00055
ERR1913224.35879__1.35879	1160721__R6TF33__sig6
ERR1913224.35885__1.35885	165179__D1PGU8__PREVCOP_06463
ERR1913224.36046__1.36046	821__A0A174K302__CUU_3129
ERR1913224.36048__1.36048	1501391__GCA_000786575.1_00076
ERR1913224.36134__1.36134	1262761__R6QR72__BN606_01181
ERR1913224.36206__1.36206	1262761__R6RU22__BN606_01110
ERR1913224.36234__1.36234	39485__A0A174YMM2__ERS852490_01019
ERR1913224.36278__1.36278	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1913224.36488__1.36488	820__A0A1T4IY71__HMPREF2141_02402
ERR1913224.36441__1.36441	88431__A0A174G8Q6__ERS852526_02711
ERR1913224.36619__1.36619	487174__K0XKD7__HMPREF9448_01550
ERR1913224.36694__1.36694	39485__C4Z389__ERS852490_01920
ERR1913224.36808__1.36808	301301__A0A395VBK1__RHOM_05255
ERR1913224.36945__1.36945	853__A0A329UEG4__CHR60_00585
ERR1913224.37028__1.37028	2293125__A0A374BVX3__DW917_12740
ERR1913224.37283__1.37283	214856__A0A174EQR4__rsmA
ERR1913224.37336__1.37336	2293125__A0A374CIX5__DW917_01125
ERR1913224.37429__1.37429	2293125__A0A374CFU2__DW917_03475
ERR1913224.37588__1.37588	1262743__R5C054__BN727_01980
ERR1913224.37825__1.37825	239935__A0A139TPU7__CXT91_06575
ERR1913224.37831__1.37831	820__A0A3E4XM43__DXC91_13960
ERR1913224.37836__1.37836	165179__R6C3K4__PREVCOP_05795
ERR1913224.37878__1.37878	1160721__W0U4Y3__sipW2
ERR1913224.37999__1.37999	214856__R6XNE7__ERS852447_02267
ERR1913224.38144__1.38144	47678__R5U8D1__CGC64_17595
ERR1913224.38483__1.38483	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913224.38893__1.38893	820__A0A173W419__DXC68_17760
ERR1913224.38944__1.38944	1262761__R6RU22__BN606_01110
ERR1913224.39002__1.39002	165179__D1PGU8__PREVCOP_06463
ERR1913224.38975__1.38975	1550024__G9RXY7__TQ39_00100
ERR1913224.39434__1.39434	823__A0A3E4P9U5__ERS852380_02719
ERR1913224.39604__1.39604	2293125__A0A374CII6__DW917_03460
ERR1913224.39769__1.39769	2293125__A0A374C8A8__DW917_07550
ERR1913224.39943__1.39943	384638__B7AVU0__BACPEC_02840
ERR1913224.40016__1.40016	1501391__GCA_000786575.1_00120
ERR1913224.40070__1.40070	2293125__A0A374CFT0__DW917_03440
ERR1913224.40277__1.40277	820__A0A139K4T0__ERS852510_03146
ERR1913224.40280__1.40280	458033__GCA_001482755.1_02203
ERR1913224.40617__1.40617	46228__B5CSA1__HMPREF1202_00678
ERR1913224.40961__1.40961	2293125__A0A374BQ34__DW917_14250
ERR1913224.40991__1.40991	1501391__GCA_000786575.1_00038
ERR1913224.41134__1.41134	853__A0A174BA00__DW905_01145
ERR1913224.41286__1.41286	820__A7V859__ERS852462_00341
ERR1913224.41382__1.41382	2293125__A0A374C4J1__DW917_09855
ERR1913224.41495__1.41495	2293125__A0A374CHT4__DW917_03485
ERR1913224.41512__1.41512	39491__A0A395V0E5__ERE_31370
ERR1913224.41618__1.41618	1160721__W0U6Y6__RBI_I01531
ERR1913224.41828__1.41828	821__A0A174WBC9__ERS852556_03145
ERR1913224.41862__1.41862	2293125__A0A374CLA5__DW917_01130
ERR1913224.41866__1.41866	1262911__R6GPB1__BN557_00837
ERR1913224.42002__1.42002	1262911__R6H0U7__BN557_01104
ERR1913224.42027__1.42027	165179__A0A229I7F5__DXB80_02650
ERR1913224.42290__1.42290	1262761__R6RU22__BN606_01110
ERR1913224.42310__1.42310	39485__R5ZRN3__ERS852490_00208
ERR1913224.42319__1.42319	165179__D1PGU8__PREVCOP_06463
ERR1913224.42347__1.42347	1247936__A0A1N7SP53__BN2475_1260008
ERR1913224.42787__1.42787	39485__A0A174Z8V5__fliU_2
ERR1913224.42855__1.42855	39485__R5ZVC3__ERS852490_00250
ERR1913224.42993__1.42993	821__A0A0P0LQT3__DXC03_05050
ERR1913224.43232__1.43232	1501392__A0A0B2JIS4__PU94_06055
ERR1913224.43447__1.43447	1501391__GCA_000786575.1_00028
ERR1913224.43488__1.43488	1160721__W0U3Z9__RBI_I00543
ERR1913224.43683__1.43683	1262761__R6QZS1__BN606_01236
ERR1913224.43838__1.43838	39492__D4JSU6__dacB_3
ERR1913224.43925__1.43925	1501391__GCA_000786575.1_00018
ERR1913224.43995__1.43995	39488__A0A173U8N3__yhbU_1
ERR1913224.44063__1.44063	821__E5UY21__C800_02204
ERR1913224.44177__1.44177	2293125__A0A374BZ50__DW917_11090
ERR1913224.44214__1.44214	1262783__R6DFJ3__BN558_01237
ERR1913224.44264__1.44264	1262911__R6GT76__BN557_01150
ERR1913224.44269__1.44269	39491__A0A396FMT0__EUBREC_3020
ERR1913224.44409__1.44409	817__D1JL38__M147_1752
ERR1913224.44528__1.44528	40518__R5DVV1__RBATCC27255_00999
ERR1913224.44640__1.44640	1262761__R6QJJ2__BN606_00358
ERR1913224.44708__1.44708	2293125__A0A374BSW4__DW917_13420
ERR1913224.44861__1.44861	820__A0A139K0J1__HMPREF2141_03205
ERR1913224.44948__1.44948	745368__A0A1T4Y5S3__SAMN02745178_02736
ERR1913224.45037__1.45037	820__A0A139KIL9__DXC68_05945
ERR1913224.45060__1.45060	458033__GCA_001482755.1_02203
ERR1913224.45087__1.45087	2293125__A0A374BZ50__DW917_11090
ERR1913224.45464__1.45464	46228__V8C5S1__RUMLAC_02063
ERR1913224.45486__1.45486	1235835__R9LCU2__C814_02677
ERR1913224.45523__1.45523	1262761__R6QU88__BN606_01983
ERR1913224.45810__1.45810	357276__A0A076IRZ5__BACDOR_00630
ERR1913224.45859__1.45859	820__A0A174LIN6__HMPREF1072_03144
ERR1913224.45863__1.45863	1262889__R7HA41__BN634_01028
ERR1913224.45968__1.45968	820__A0A174F0C1__nreB
ERR1913224.46289__1.46289	2293125__A0A374CII0__DW917_03470
ERR1913224.46382__1.46382	820__A0A1T4IY71__HMPREF2141_02402
ERR1913224.46627__1.46627	165179__A0A3E5AHY4__CFT61_07675
ERR1913224.46732__1.46732	2293125__A0A374BUM7__DW917_12980
ERR1913224.46742__1.46742	820__R9HP61__DXC91_01090
ERR1913224.46862__1.46862	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913224.47103__1.47103	301301__G2T152__RHOM_05005
ERR1913224.48059__1.48059	2293125__A0A374C9I8__DW917_06795
ERR1913224.48064__1.48064	544644__GCA_001915615.1_01170
ERR1913224.48171__1.48171	562__P0ABR8__antA
ERR1913224.48181__1.48181	853__A0A2A7B9I6__DW855_13690
ERR1913224.48234__1.48234	1263000__R5EXT3__BN466_02213
ERR1913224.48267__1.48267	2293125__A0A374CFZ2__DW917_03445
ERR1913224.48291__1.48291	1965631__A0A1Y4AIV0__B5F90_04660
ERR1913224.48368__1.48368	39485__C4Z434__tilS
ERR1913224.48319__1.48319	821__A0A3E4XY72__NCTC10583_01067
ERR1913224.48381__1.48381	2293125__A0A374BR61__DW917_14880
ERR1913224.48496__1.48496	2293125__A0A374CHT4__DW917_03485
