ERR1913181.91__1.91	39492__D4MMN2__EUBSIR_00964
ERR1913181.4680__1.4680	33043__D5HFA1__ERS852400_02183
ERR1913181.4902__1.4902	28117__R7JR95__ALIPUT_01367
ERR1913181.4922__1.4922	2173__A0A1D2WSZ3__Msm_1724
ERR1913181.4938__1.4938	1780376__A0A143XQT4__BN3659_01658
ERR1913181.4970__1.4970	165179__A0A229I6N7__DXC61_06720
ERR1913181.5012__1.5012	2173__A0A1D2WRY2__Msm_1736
ERR1913181.5075__1.5075	328814__GCA_004558275.1_00236
ERR1913181.5128__1.5128	40518__R5DU92__DXD93_03170
ERR1913181.5194__1.5194	33043__D5HGM5__ERS852575_00437
ERR1913181.5285__1.5285	69974__A0A090FEL8__MPL3365_630008
ERR1913181.5472__1.5472	1735__B7CDL6__EUBIFOR_02299
ERR1913181.5604__1.5604	820__A0A173XIP7__B5G17_16050
ERR1913181.5684__1.5684	1262911__R6H2J2__BN557_01228
ERR1913181.5691__1.5691	1262911__R6GPB1__BN557_00837
ERR1913181.5876__1.5876	1262882__R5N3H1__BN519_01121
ERR1913181.5878__1.5878	47678__R5UV30__C5Z00_12615
ERR1913181.5980__1.5980	853__E2ZGD9__C7J97_11715
ERR1913181.6019__1.6019	69974__A0A090FEL8__MPL3365_630008
ERR1913181.6176__1.6176	69974__A0A090FEL8__MPL3365_630008
ERR1913181.6196__1.6196	487174__K0WUJ5__HMPREF9448_02567
ERR1913181.6319__1.6319	33043__D5HGR0__rpfC_2
ERR1913181.6322__1.6322	69974__A0A090FEL8__MPL3365_630008
ERR1913181.6409__1.6409	1262911__R6GS70__BN557_00854
ERR1913181.6470__1.6470	1262882__R5MFK5__BN519_00378
ERR1913181.6566__1.6566	1262911__R6GLX2__BN557_01573
ERR1913181.7001__1.7001	820__A7V470__HMPREF1072_02076
ERR1913181.7120__1.7120	1262911__R6GZX7__BN557_00838
ERR1913181.7281__1.7281	33043__A0A3A6J8T3__yvhJ
ERR1913181.7297__1.7297	39492__D4JQY4__EUBSIR_01325
ERR1913181.7354__1.7354	40518__R5DZU5__RBL263_00458
ERR1913181.7629__1.7629	28117__B0MU57__ALIPUT_00175
ERR1913181.7839__1.7839	1262911__R6GPX9__BN557_00406
ERR1913181.7866__1.7866	39492__B0MM84__lgt
ERR1913181.7934__1.7934	69974__A0A090FEL8__MPL3365_630008
ERR1913181.8020__1.8020	69974__A0A090FEL8__MPL3365_630008
ERR1913181.8138__1.8138	69974__A0A090FEL8__MPL3365_630008
ERR1913181.8141__1.8141	1263000__R5EWT9__BN466_02076
ERR1913181.8199__1.8199	2173__A0A1D2WXE6__Msm_0136
ERR1913181.8200__1.8200	2173__A0A1D2WUH4__METSMIALI_01323
ERR1913181.8403__1.8403	28116__F7L4X5__M089_2857
ERR1913181.8435__1.8435	1262882__R5N2E1__BN519_01117
ERR1913181.8513__1.8513	33043__A0A173YEP6__ERS852575_00888
ERR1913181.8538__1.8538	40518__R5DPI9__DXD83_07375
ERR1913181.8627__1.8627	40518__R5DUU0__DXD93_03985
ERR1913181.8729__1.8729	69974__A0A090FEL8__MPL3365_630008
ERR1913181.8799__1.8799	69974__A0A090FEL8__MPL3365_630008
ERR1913181.8950__1.8950	47678__R5UUS9__ERS852558_01432
ERR1913181.8980__1.8980	1262882__A0A356PSJ4__BN519_01180
ERR1913181.9458__1.9458	165179__A0A3E5E2B6__DXB80_02820
ERR1913181.9536__1.9536	1262882__R5MY46__BN519_00355
ERR1913181.9584__1.9584	47678__A5ZB44__C5Z00_17730
ERR1913181.9852__1.9852	69974__A0A090FEL8__MPL3365_630008
ERR1913181.9866__1.9866	47678__A5ZG68__ERS852494_02968
ERR1913181.10009__1.10009	1262911__R6H0S8__BN557_01079
ERR1913181.10049__1.10049	33043__A0A174H1Y6__ERS852575_02698
ERR1913181.10102__1.10102	69974__A0A090FEL8__MPL3365_630008
ERR1913181.10178__1.10178	1262882__R5MZF2__BN519_00592
ERR1913181.10272__1.10272	1262882__R5N4P6__BN519_01346
ERR1913181.10291__1.10291	69974__A0A090FEL8__MPL3365_630008
ERR1913181.10323__1.10323	1262882__R5MZZ3__BN519_00482
ERR1913181.10715__1.10715	69974__A0A090FEL8__MPL3365_630008
ERR1913181.10718__1.10718	69974__A0A090FEL8__MPL3365_630008
ERR1913181.10780__1.10780	39492__A0A174ZP27__EUBSIR_00033
ERR1913181.10812__1.10812	853__A0A174UDE9__C4N25_12775
ERR1913181.11062__1.11062	360807__C0FRZ9__RIL183_20711
ERR1913181.11016__1.11016	46503__K5ZKR1__dnaB
ERR1913181.11194__1.11194	357276__I8WPR6__EL88_06675
ERR1913181.11404__1.11404	410072__A0A3E4GRE0__DXD67_07105
ERR1913181.11497__1.11497	28117__B0MU57__ALIPUT_00175
ERR1913181.11653__1.11653	69974__A0A090FEL8__MPL3365_630008
ERR1913181.11577__1.11577	39488__A0A173SK21__EUBHAL_00799
ERR1913181.11692__1.11692	1160721__W0U6N0__BHW50_08675
ERR1913181.11778__1.11778	291644__U6RV10__ERS852428_00490
ERR1913181.11908__1.11908	69974__A0A090FEL8__MPL3365_630008
ERR1913181.12208__1.12208	39491__A0A395ZG74__licR
ERR1913181.12261__1.12261	1160721__W0U8M9__RBI_II00386
ERR1913181.12475__1.12475	1262911__R6HIV6__BN557_01807
ERR1913181.12433__1.12433	40518__R5DPA7__RBATCC27255_01319
ERR1913181.12608__1.12608	40518__R5DU52__RB5AMG_02245
ERR1913181.12849__1.12849	33905__A0A0C2Z570__CQR47_0419
ERR1913181.12968__1.12968	69974__A0A090FEL8__MPL3365_630008
ERR1913181.13320__1.13320	1262945__R6YFE7__BN600_01049
ERR1913181.13402__1.13402	301302__A0A0M6WXK9__chtA
ERR1913181.13573__1.13573	39492__D4JRV7__EUBSIR_01513
ERR1913181.13960__1.13960	1262882__R5MSP5__BN519_01637
ERR1913181.13994__1.13994	1150298__A0A174I2L4__ERS852535_01377
ERR1913181.14004__1.14004	33043__A0A174BBC4__ERS852575_02261
ERR1913181.14025__1.14025	1262882__R5MYX5__BN519_00333
ERR1913181.14095__1.14095	1262948__R7EDA7__BN671_00036
ERR1913181.14236__1.14236	69974__A0A090FEL8__MPL3365_630008
ERR1913181.14278__1.14278	487174__K0X250__DDY40_03675
ERR1913181.14247__1.14247	1262882__R5MM90__BN519_01721
ERR1913181.14464__1.14464	1262882__R5MLP0__BN519_01597
ERR1913181.14777__1.14777	28116__A0A1G8P076__AA414_01051
ERR1913181.14705__1.14705	1262882__R5N5J6__BN519_01504
ERR1913181.14981__1.14981	1262882__R5N2E1__BN519_01117
ERR1913181.15285__1.15285	1262882__R5MYP8__BN519_00439
ERR1913181.15286__1.15286	487174__K0X1V7__DIT83_03020
ERR1913181.15373__1.15373	1263107__GCA_000436995.1_00006
ERR1913181.15337__1.15337	1235835__R9LRP6__C814_02336
ERR1913181.15485__1.15485	74426__nrdD
ERR1913181.15527__1.15527	28117__B0MY45__ALIPUT_02164
ERR1913181.16171__1.16171	1262882__R5N5W2__BN519_00074
ERR1913181.16382__1.16382	1680__A0A0B5BKZ3__DXD60_01450
ERR1913181.16505__1.16505	1262882__R5MYX5__BN519_00333
ERR1913181.16990__1.16990	33043__A0A173X520__ERS852575_01617
ERR1913181.17015__1.17015	1262911__R6GJ95__BN557_01617
ERR1913181.17074__1.17074	69974__A0A090FEL8__MPL3365_630008
ERR1913181.17125__1.17125	563769__GeneID:6972918
ERR1913181.17300__1.17300	29361__B6FTH3__CLONEX_03450
ERR1913181.17306__1.17306	33043__A0A173WXS1__ERS852445_00262
ERR1913181.17342__1.17342	1262882__R5MSI5__BN519_01596
ERR1913181.17369__1.17369	46503__A7AHZ8__PARMER_03051
ERR1913181.17566__1.17566	1262882__R5N2E1__BN519_01117
ERR1913181.17717__1.17717	374840__GeneID:2546403
ERR1913181.17735__1.17735	69974__A0A090FEL8__MPL3365_630008
ERR1913181.18019__1.18019	487174__K0WUM9__HMPREF9448_02608
ERR1913181.18030__1.18030	2080494__A0A2P5IGT2__C3408_25795
ERR1913181.18114__1.18114	1262882__R5N3T7__BN519_01188
ERR1913181.18130__1.18130	357276__A0A076ISJ4__B5F95_19420
ERR1913181.18219__1.18219	487174__R5EP60__DIT83_09045
ERR1913181.18241__1.18241	823__D7ILK2__ERS852380_00031
ERR1913181.18334__1.18334	820__R9HP61__DXC91_01090
ERR1913181.18522__1.18522	2107999__A0A366KEM0__LJCM5344_19250
ERR1913181.18888__1.18888	39492__D4JSB6__ERS852540_00627
ERR1913181.18987__1.18987	1262945__R6YUN7__BN600_01421
ERR1913181.19087__1.19087	39492__D4JWY0__EUBSIR_01648
ERR1913181.19252__1.19252	328814__GCA_004558275.1_00079
ERR1913181.19469__1.19469	69974__A0A090FEL8__MPL3365_630008
ERR1913181.19783__1.19783	821__A0A396F9T7__M097_3427
ERR1913181.19835__1.19835	88431__A0A174A952__ugpA_1
ERR1913181.19845__1.19845	33043__D5HI50__smf
ERR1913181.19941__1.19941	39496__A5Z5I2__EUBVEN_00963
ERR1913181.20001__1.20001	28117__B0MYI9__BHV66_05415
ERR1913181.20159__1.20159	69974__A0A090FEL8__MPL3365_630008
ERR1913181.20160__1.20160	69974__A0A090FEL8__MPL3365_630008
ERR1913181.20175__1.20175	39488__R6GBC5__DXD91_06450
ERR1913181.20262__1.20262	33043__A0A174B6N5__ERS852445_02414
ERR1913181.20220__1.20220	33043__D5HI86__ERS852575_00288
ERR1913181.20363__1.20363	1262911__R6GJ95__BN557_01617
ERR1913181.20571__1.20571	69974__A0A090FEL8__MPL3365_630008
ERR1913181.20702__1.20702	1262911__R6GYW1__BN557_00629
ERR1913181.20934__1.20934	28117__B0MSR5__BHV66_02095
ERR1913181.20971__1.20971	28117__B0MXG8__ALIPUT_01814
ERR1913181.21046__1.21046	1263000__R5EU91__BN466_01432
ERR1913181.21071__1.21071	33043__A0A173ZZF8__sbp_2
ERR1913181.21138__1.21138	544645__A0A3E4TGB7__DXC42_03705
ERR1913181.21397__1.21397	1304__A0A1V0GHL6__AWB63_08335
ERR1913181.21574__1.21574	1262882__R5MLP5__BN519_01602
ERR1913181.21796__1.21796	33043__D5HI36__ERS852400_02168
ERR1913181.21944__1.21944	33043__D5HFE5__ERS852445_00644
ERR1913181.22004__1.22004	487174__R5FMM3__DDY40_00820
ERR1913181.22066__1.22066	47678__R5UG30__ERS852558_03525
ERR1913181.22087__1.22087	40518__R5DZU5__RBL263_00458
ERR1913181.22220__1.22220	1262911__R6GTF7__BN557_01242
ERR1913181.22253__1.22253	1262911__R6HG37__BN557_01341
ERR1913181.22440__1.22440	1262911__R6GJ95__BN557_01617
ERR1913181.22797__1.22797	10678__GeneID:2777406
ERR1913181.22986__1.22986	47678__A5ZJ14__ERS852494_02225
ERR1913181.23079__1.23079	1160721__R6T344__RBI_I00565
ERR1913181.23097__1.23097	69974__A0A090FEL8__MPL3365_630008
ERR1913181.23131__1.23131	1160721__W0U2H8__BHW50_07775
ERR1913181.23284__1.23284	1262911__R6GTZ4__BN557_01440
ERR1913181.23307__1.23307	216816__C2GV16__APC1504_1666
ERR1913181.23335__1.23335	69974__A0A090FEL8__MPL3365_630008
ERR1913181.23500__1.23500	2173__A0A1D2WTN6__METSMIALI_01091
ERR1913181.23559__1.23559	821__A0A0P0L8F8__ERS852509_03705
ERR1913181.23827__1.23827	28116__A0A1Y4PIA6__BACOV975_04529
ERR1913181.23854__1.23854	69974__A0A090FEL8__MPL3365_630008
ERR1913181.23863__1.23863	301302__R5UHX5__M72_14301
ERR1913181.24060__1.24060	1262911__R6GQM3__BN557_01245
ERR1913181.24083__1.24083	39492__D4JS46__EUBSIR_02553
ERR1913181.24141__1.24141	1262882__R5MNC1__BN519_00818
ERR1913181.24335__1.24335	69974__A0A090FEL8__MPL3365_630008
ERR1913181.24495__1.24495	214856__A0A174BE12__ERS852559_01398
ERR1913181.24763__1.24763	410072__A0A3E4GNK4__COPCOM_02769
ERR1913181.24805__1.24805	1262824__R6RN09__BN719_01315
ERR1913181.24912__1.24912	374840__GeneID:2546403
ERR1913181.24869__1.24869	39492__D4JWA3__ERS852540_01332
ERR1913181.25133__1.25133	165179__A0A3E5EB26__CFT61_02800
ERR1913181.25265__1.25265	69974__A0A090FEL8__MPL3365_630008
ERR1913181.25409__1.25409	1150298__A0A174EA00__ERS852406_01720
ERR1913181.25376__1.25376	1262911__R6GS70__BN557_00854
ERR1913181.25588__1.25588	69974__A0A090FEL8__MPL3365_630008
ERR1913181.25597__1.25597	33043__A0A173YQY3__ERS852445_01438
ERR1913181.25789__1.25789	39492__D4JRX9__sepF
ERR1913181.25759__1.25759	69974__A0A090FEL8__MPL3365_630008
ERR1913181.25853__1.25853	820__A0A3E4IBC1__M094_0628
ERR1913181.26169__1.26169	1262882__R5MF51__BN519_00287
ERR1913181.26223__1.26223	69974__A0A090FEL8__MPL3365_630008
ERR1913181.26292__1.26292	384638__B7APR1__BACPEC_00667
ERR1913181.26370__1.26370	374844__GeneID:1260912
ERR1913181.26499__1.26499	1262882__R5MZZ3__BN519_00482
ERR1913181.26781__1.26781	46228__V8C7Q2__RUMLAC_01460
ERR1913181.27129__1.27129	28117__R7JPX7__BHV66_00900
ERR1913181.27141__1.27141	40518__R5DU74__RBATCC27255_00707
ERR1913181.27157__1.27157	136841__A0A1G5JMB2__HW10_18645
ERR1913181.27546__1.27546	1262911__R6GTG0__BN557_01247
ERR1913181.27845__1.27845	74426__sugC
ERR1913181.27971__1.27971	69974__A0A090FEL8__MPL3365_630008
ERR1913181.28174__1.28174	328814__GCA_004558275.1_00074
ERR1913181.28325__1.28325	10678__GeneID:2777421
ERR1913181.28415__1.28415	116085__D4JBQ3__DW747_01095
ERR1913181.28650__1.28650	1262911__R6GUQ4__BN557_01581
ERR1913181.28759__1.28759	69974__A0A090FEL8__MPL3365_630008
ERR1913181.28856__1.28856	28117__B0MY40__BHV66_05170
ERR1913181.29002__1.29002	88431__A0A174UW18__lytR_4
ERR1913181.29049__1.29049	47678__R5U9X5__BACCAC_01339
ERR1913181.28999__1.28999	310297__R5V8J1__DXD04_03870
ERR1913181.29146__1.29146	301301__G2SXB0__RHOM_09565
ERR1913181.29057__1.29057	239935__A0A2N8IVT6__CXU13_08520
ERR1913181.29472__1.29472	1262918__R5CSF5__BN458_00868
ERR1913181.29608__1.29608	1150298__R7JUS5__soxS_1
ERR1913181.29935__1.29935	1262915__R6HEI3__BN574_01430
ERR1913181.29939__1.29939	374840__GeneID:2546403
ERR1913181.29992__1.29992	47678__R5U4P2__CGC64_17185
ERR1913181.30121__1.30121	853__A0A173YYY4__DWZ04_09420
ERR1913181.30593__1.30593	69974__A0A090FEL8__MPL3365_630008
ERR1913181.30647__1.30647	1262882__R5MSS9__BN519_01662
ERR1913181.30741__1.30741	626929__F3PM80__HMPREF9445_02977
ERR1913181.30973__1.30973	1262911__R6GT76__BN557_01150
ERR1913181.30951__1.30951	69974__A0A090FEL8__MPL3365_630008
ERR1913181.31215__1.31215	1262882__R5N0J9__BN519_00773
ERR1913181.31103__1.31103	28117__B0MXU6__ALIPUT_01958
ERR1913181.31343__1.31343	1262915__R6IAH7__BN574_01095
ERR1913181.31390__1.31390	69974__A0A090FEL8__MPL3365_630008
ERR1913181.31419__1.31419	487174__K0X694__DIT83_09060
ERR1913181.31576__1.31576	1262882__R5MHA1__BN519_00763
ERR1913181.31919__1.31919	46503__R6X3F9__DCY29_09585
ERR1913181.31984__1.31984	1735__B7C9V5__EUBIFOR_00959
ERR1913181.31990__1.31990	40518__R5DZ88__DXD93_06320
ERR1913181.32045__1.32045	88431__A0A174A952__ugpA_1
ERR1913181.32132__1.32132	69974__A0A090FEL8__MPL3365_630008
ERR1913181.32353__1.32353	239935__A0A2N8IAZ5__xseA
ERR1913181.32355__1.32355	47678__R5U558__ERS852558_02232
ERR1913181.32374__1.32374	28117__B0MY82__BHV66_04755
ERR1913181.32530__1.32530	33043__A0A173QUA9__ERS852400_01795
ERR1913181.32721__1.32721	853__A0A173T0Y8__CGS54_07215
ERR1913181.32871__1.32871	33043__A0A173WZE5__ERS852386_00374
ERR1913181.32986__1.32986	1262882__R5N708__BN519_00095
ERR1913181.32938__1.32938	562__A0A377AAV3__CDL32_10800
ERR1913181.33735__1.33735	1262911__R6GK39__BN557_01755
ERR1913181.33791__1.33791	69974__A0A090FEL8__MPL3365_630008
ERR1913181.33870__1.33870	69974__A0A090FEL8__MPL3365_630008
ERR1913181.33866__1.33866	1262915__R6HB57__BN574_01044
ERR1913181.33957__1.33957	1262911__R6HLR5__BN557_00628
ERR1913181.33996__1.33996	69974__A0A090FEL8__MPL3365_630008
ERR1913181.34224__1.34224	1262882__R5MGI7__BN519_00643
ERR1913181.34364__1.34364	1262882__R5MPY4__BN519_01128
ERR1913181.34379__1.34379	1262882__R5N2U9__BN519_01221
ERR1913181.34510__1.34510	69974__A0A090FEL8__MPL3365_630008
ERR1913181.34664__1.34664	1501391__GCA_000786575.1_00110
ERR1913181.34880__1.34880	1263107__GCA_000436995.1_00065
ERR1913181.34978__1.34978	1680__A0A173Y6N7__yhaH
ERR1913181.35083__1.35083	1262911__R6H174__BN557_01246
ERR1913181.35088__1.35088	69974__A0A090FEL8__MPL3365_630008
ERR1913181.35223__1.35223	33043__A8SWL7__ERS852386_02506
ERR1913181.35421__1.35421	1262882__R5MSX6__BN519_01697
ERR1913181.35535__1.35535	33043__D5HEQ5__gluP_2
ERR1913181.35728__1.35728	2173__A0A1D2WU59__Msm_1444
ERR1913181.35775__1.35775	626933__H1DGX0__HMPREF9449_01506
ERR1913181.35891__1.35891	1262882__R5MEN2__BN519_00200
ERR1913181.35897__1.35897	2173__A0A1D2WW40__BK798_07930
ERR1913181.35922__1.35922	1262882__R5N4P6__BN519_01346
ERR1913181.36295__1.36295	1150298__A0A173YHI7__ERS852406_00466
ERR1913181.36411__1.36411	2173__A5ULL1__Msm_0884
ERR1913181.37055__1.37055	28118__F9Z6B5__SAMEA44545918_01808
ERR1913181.37071__1.37071	556259__E5C8M7__BSGG_2978
ERR1913181.37351__1.37351	471189__GCA_003340385.1_00105
ERR1913181.37417__1.37417	820__A0A173YYG4__evgS_3
ERR1913181.37379__1.37379	69974__A0A090FEL8__MPL3365_630008
ERR1913181.37718__1.37718	1680__A7A4N3__ERS852382_00779
ERR1913181.38195__1.38195	69974__A0A090FEL8__MPL3365_630008
ERR1913181.38250__1.38250	1262882__R5MPY4__BN519_01128
ERR1913181.38580__1.38580	1735__B7CBD7__EUBIFOR_01512
ERR1913181.38847__1.38847	69974__A0A090FEL8__MPL3365_630008
ERR1913181.38941__1.38941	47678__A5ZHL2__DXB67_12495
ERR1913181.39011__1.39011	39492__A0A174ZG93__EUBSIR_00254
ERR1913181.39024__1.39024	40518__R5DWP7__ansA
ERR1913181.39168__1.39168	1150298__A0A174S2H3__spoIIQ
ERR1913181.39184__1.39184	165179__D1PGJ6__DXC61_07300
ERR1913181.39211__1.39211	69974__A0A090FEL8__MPL3365_630008
ERR1913181.39231__1.39231	47678__R5U332__C5Z00_16810
ERR1913181.39463__1.39463	1262882__R5MXW0__BN519_00317
ERR1913181.39571__1.39571	69974__A0A090FEL8__MPL3365_630008
ERR1913181.39639__1.39639	328814__GCA_004558275.1_01621
ERR1913181.39660__1.39660	69974__A0A090FEL8__MPL3365_630008
ERR1913181.40343__1.40343	39492__D4JR58__EUBSIR_02090
ERR1913181.40423__1.40423	1262882__R5N0M6__BN519_00794
ERR1913181.40442__1.40442	40518__R5DQW8__sipW_2
ERR1913181.40447__1.40447	1735__B7CDQ5__EUBIFOR_02338
ERR1913181.40459__1.40459	35833__E5Y6C5__HMPREF0179_01738
ERR1913181.40665__1.40665	33043__A0A173YEP6__ERS852575_00888
ERR1913181.40830__1.40830	1262882__R5MMP8__BN519_01654
ERR1913181.40949__1.40949	47678__R5UES3__CGC64_00760
ERR1913181.41224__1.41224	1735__B7C9Y8__EUBIFOR_00992
ERR1913181.41233__1.41233	47678__R5UZM4__DW706_15680
ERR1913181.41297__1.41297	487174__K0WZP2__DDY40_04000
ERR1913181.41384__1.41384	40518__R5E5W1__RBL263_01034
ERR1913181.41491__1.41491	1263000__R5EKR4__BN466_01609
ERR1913181.41596__1.41596	1262882__R5N3T7__BN519_01188
ERR1913181.41859__1.41859	1262882__R5N3T7__BN519_01188
ERR1913181.42032__1.42032	46228__V8BQJ4__DXD17_00215
ERR1913181.42072__1.42072	2173__A0A1D2WTR8__METSMIALI_00113
ERR1913181.42107__1.42107	821__A0A173WG51__BVU_2549
ERR1913181.42494__1.42494	1150298__A0A174TDE7__ERS852535_00299
ERR1913181.42524__1.42524	374844__GeneID:1260912
ERR1913181.42532__1.42532	1262911__R6GTG0__BN557_01247
ERR1913181.42625__1.42625	1262915__R6HDZ3__BN574_00306
ERR1913181.42781__1.42781	33043__A0A174CC83__ERS852575_02077
ERR1913181.42825__1.42825	69974__A0A090FEL8__MPL3365_630008
ERR1913181.42844__1.42844	1263000__R5EBJ1__BN466_00540
ERR1913181.42854__1.42854	823__A0A355XJT5__ERS852429_03504
ERR1913181.42918__1.42918	69974__A0A090FEL8__MPL3365_630008
ERR1913181.42872__1.42872	1262911__R6GYL3__BN557_00607
ERR1913181.43009__1.43009	69974__A0A090FEL8__MPL3365_630008
ERR1913181.43154__1.43154	40518__R5DR72__RBL236_02110
ERR1913181.43107__1.43107	69974__A0A090FEL8__MPL3365_630008
ERR1913181.43173__1.43173	1262882__R5MLE6__BN519_01423
ERR1913181.43175__1.43175	28117__B0MVL5__BHV66_01660
ERR1913181.43196__1.43196	1262915__R6HCJ7__BN574_00649
ERR1913181.43224__1.43224	40520__D4LUV4__DXB81_08455
ERR1913181.43454__1.43454	216816__A0A133LD41__NL89_06245
ERR1913181.43568__1.43568	47678__R5UAI1__BACCAC_01922
ERR1913181.43724__1.43724	40520__R7D565__DXC87_03555
ERR1913181.43841__1.43841	853__A0A173XRA8__CGS56_09290
ERR1913181.44080__1.44080	39492__D4JT67__EUBSIR_01784
ERR1913181.44305__1.44305	33043__D5HGZ8__nnr
ERR1913181.44323__1.44323	69974__A0A090FEL8__MPL3365_630008
ERR1913181.44554__1.44554	1262882__R5MJM8__BN519_01064
ERR1913181.44588__1.44588	69974__A0A090FEL8__MPL3365_630008
ERR1913181.44642__1.44642	292800__A0A096B9D4__HMPREF0372_02292
ERR1913181.44733__1.44733	69974__A0A090FEL8__MPL3365_630008
ERR1913181.44747__1.44747	1407493__GeneID:17503248
ERR1913181.44915__1.44915	28117__B0MTH2__ALIPUT_00061
ERR1913181.45295__1.45295	1262911__R6GXS5__BN557_00160
ERR1913181.45370__1.45370	1262882__R5MIW5__BN519_00945
ERR1913181.45359__1.45359	69974__A0A090FEL8__MPL3365_630008
ERR1913181.45715__1.45715	1262911__R6GMZ7__BN557_01741
ERR1913181.45745__1.45745	28117__B0MTD2__ALIPUT_00428
ERR1913181.45876__1.45876	1262911__R6GT76__BN557_01150
ERR1913181.45976__1.45976	1262915__R6HB57__BN574_01044
ERR1913181.46090__1.46090	511969__GeneID:3959334
ERR1913181.46182__1.46182	563769__GeneID:6973156
ERR1913181.46476__1.46476	40518__R5E1J2__DXD93_04070
ERR1913181.46853__1.46853	40518__R5DLU0__fmt
ERR1913181.46866__1.46866	328814__GCA_004558275.1_01570
ERR1913181.47024__1.47024	1262945__R6YNE9__BN600_00111
ERR1913181.47036__1.47036	1263000__R5EGY6__BN466_00973
ERR1913181.47172__1.47172	28117__B0MXX2__ALIPUT_01984
ERR1913181.47278__1.47278	1262882__R5N2E1__BN519_01117
ERR1913181.47232__1.47232	69974__A0A090FEL8__MPL3365_630008
ERR1913181.47321__1.47321	487174__K0XLV6__DIT83_00940
ERR1913181.47391__1.47391	40518__R5E7G3__DXD86_03405
ERR1913181.47450__1.47450	69974__A0A090FEL8__MPL3365_630008
ERR1913181.47508__1.47508	69974__A0A090FEL8__MPL3365_630008
ERR1913181.47608__1.47608	33043__D5HHE4__ERS852445_02332
ERR1913181.47649__1.47649	69974__A0A090FEL8__MPL3365_630008
ERR1913181.47803__1.47803	39488__A0A374NJ86__mltG
ERR1913181.47838__1.47838	1262882__R5MFY4__BN519_00529
ERR1913181.47855__1.47855	33043__A0A173WWJ5__ERS852386_00339
ERR1913181.48010__1.48010	1262911__R6HHG7__BN557_01574
ERR1913181.47937__1.47937	69974__A0A090FEL8__MPL3365_630008
ERR1913181.47936__1.47936	1735__B7C9Y8__EUBIFOR_00992
ERR1913181.48032__1.48032	2173__A0A1D2WW40__BK798_07930
ERR1913181.48126__1.48126	88431__A0A174MYZ5__ycjP_7
ERR1913181.48170__1.48170	301302__R5VFV9__ERS852420_01969
ERR1913181.48322__1.48322	1262882__R5N4P6__BN519_01346
ERR1913181.48330__1.48330	40518__R5DU92__DXD93_03170
ERR1913181.48359__1.48359	69974__A0A090FEL8__MPL3365_630008
ERR1913181.48392__1.48392	1780376__A0A143XQT4__BN3659_01658
ERR1913181.48403__1.48403	371601__A0A174G502__SAMN05216250_10758
ERR1913181.48515__1.48515	1262911__R6GN99__BN557_01784
ERR1913181.48745__1.48745	69974__A0A090FEL8__MPL3365_630008
ERR1913181.48907__1.48907	1262538__GeneID:16384850
ERR1913181.48985__1.48985	69974__A0A090FEL8__MPL3365_630008
ERR1913181.49014__1.49014	216816__B3DPC3__CE169_06855
