ERR1913258.46__1.46	1550024__A0A0D8IWM4__TQ39_15635
ERR1913258.13768__1.13768	216816__C2GSX7__DD678_03555
ERR1913258.13794__1.13794	40520__R7D7V1__DXC87_12020
ERR1913258.14028__1.14028	1262911__R6GMD8__BN557_01647
ERR1913258.14103__1.14103	1099853__U5CDR1__NSB1T_05400
ERR1913258.14147__1.14147	216816__A0A0A6VPB9__B624_1780
ERR1913258.15108__1.15108	45851__D4RZ40__BHV86_03390
ERR1913258.15157__1.15157	40520__A0A396A2X4__RUMOBE_00875
ERR1913258.15303__1.15303	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913258.15605__1.15605	1262924__R7HML0__BN585_01508
ERR1913258.15668__1.15668	39491__C4ZAT2__ERE_28440
ERR1913258.15893__1.15893	39491__A0A174K265__DXB76_05915
ERR1913258.15921__1.15921	218139__GCA_002259595.1_01322
ERR1913258.15986__1.15986	1393034__GCA_001552785.1_00506
ERR1913258.16040__1.16040	239935__A0A2N8I9P4__CXT85_05050
ERR1913258.16140__1.16140	1680__R5GRA4__ERS852382_01548
ERR1913258.16147__1.16147	821__A0A0P0M405__DXC02_15075
ERR1913258.16153__1.16153	1680__A0A2R4G1K8__BBMN23_0315
ERR1913258.16273__1.16273	1680__A0A174BEE7__BSTER_1311
ERR1913258.16424__1.16424	216816__C5E9N8__DD678_02795
ERR1913258.16464__1.16464	1262848__R6UEX2__BN818_00035
ERR1913258.16482__1.16482	2293125__A0A374C0H7__DW917_10480
ERR1913258.16510__1.16510	1262848__R6UEX2__BN818_00035
ERR1913258.16546__1.16546	360807__A0A1Q6T5F3__ERS852392_00510
ERR1913258.16634__1.16634	40520__A0A174HSN4__ltaS1_2
ERR1913258.16960__1.16960	853__A0A3E2U7E6__ERS852582_01640
ERR1913258.17385__1.17385	1550024__G9RWE3__TQ39_04170
ERR1913258.17391__1.17391	1550024__A0A3B9WIW5__TQ39_04755
ERR1913258.17672__1.17672	820__A0A3E4W9W8__C801_01069
ERR1913258.17787__1.17787	1897011__A0A1Q6RE76__BHW41_04850
ERR1913258.17941__1.17941	39491__A0A395ZBW8__DXC13_08840
ERR1913258.18069__1.18069	184870__W1TRR4__Q618_VCMC00003G0220
ERR1913258.18241__1.18241	239935__A0A2N8IVR0__CXT87_07115
ERR1913258.18256__1.18256	1897011__A0A1Q6RC54__BHW41_06555
ERR1913258.18275__1.18275	820__A0A3E4QZJ7__C801_01798
ERR1913258.18502__1.18502	28117__B0MTH2__ALIPUT_00061
ERR1913258.18737__1.18737	40520__R7D6X4__addA
ERR1913258.18745__1.18745	820__A0A374MMF0__HMPREF1073_03811
ERR1913258.19013__1.19013	239935__A0A2N8J1K0__CXT97_05765
ERR1913258.19147__1.19147	46503__A7ADV9__ERS852463_01504
ERR1913258.19166__1.19166	454155__F3QTG9__HMPREF9442_01487
ERR1913258.19525__1.19525	1897011__A0A1Q6RIP3__BHW41_00615
ERR1913258.19488__1.19488	28117__B0MU76__ALIPUT_00202
ERR1913258.19572__1.19572	384638__B7APR0__BACPEC_00666
ERR1913258.19615__1.19615	1262736__R5Y3Y0__BN496_01937
ERR1913258.19641__1.19641	1262848__R6VK39__BN818_01786
ERR1913258.19733__1.19733	1262736__R5YAF1__BN496_01614
ERR1913258.19913__1.19913	301302__A0A0M6WJW1__ERS852420_02245
ERR1913258.19994__1.19994	820__A0A174DZ97__SAMN05444418_101240
ERR1913258.20210__1.20210	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913258.20301__1.20301	1262848__R6TZN4__BN818_00122
ERR1913258.20454__1.20454	1681__A0A0M4LK35__LMG13200_0631
ERR1913258.20731__1.20731	1680__A1A0V3__C8077_03025
ERR1913258.20737__1.20737	626940__E8LCM1__HMPREF9443_00590
ERR1913258.20746__1.20746	46503__A7ADV9__ERS852463_01504
ERR1913258.20760__1.20760	239935__A0A2N8HSC0__CXU06_05505
ERR1913258.20903__1.20903	216816__A0A0A6VPB9__B624_1780
ERR1913258.21012__1.21012	572010__nifJ
ERR1913258.20991__1.20991	1263000__R5EET9__BN466_01245
ERR1913258.21211__1.21211	39491__A0A396FVC0__ERE_15900
ERR1913258.21293__1.21293	1681__A0A286TBJ5__LMG13195_1856
ERR1913258.21403__1.21403	1262882__R5MEK3__BN519_00296
ERR1913258.21436__1.21436	1262848__R6V8K7__BN818_00573
ERR1913258.21532__1.21532	1550024__G9RTA6__TQ39_10970
ERR1913258.22039__1.22039	1550024__A0A0W7TSP5__ASJ35_06140
ERR1913258.22118__1.22118	1680__A0A374QDL4__LMG18897_0432
ERR1913258.22136__1.22136	239935__A0A139TMG9__CXU07_10650
ERR1913258.22264__1.22264	1262911__R6H1B2__BN557_00840
ERR1913258.22246__1.22246	1681__A0A0H2PRA3__DXC55_01735
ERR1913258.22536__1.22536	40518__R5DUU0__DXD93_03985
ERR1913258.22723__1.22723	1550024__G9RWG5__TQ39_04290
ERR1913258.23317__1.23317	216816__C2GTV2__BLIF_0674
ERR1913258.23408__1.23408	216816__B7GPE8__I118_0062
ERR1913258.23427__1.23427	39491__A0A174M1X5__DXB99_18695
ERR1913258.23605__1.23605	357276__I8WPR6__EL88_06675
ERR1913258.23676__1.23676	1262882__R5MGX3__BN519_00046
ERR1913258.23839__1.23839	1680__A0A087CWH8__ERS852382_00646
ERR1913258.24190__1.24190	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913258.24479__1.24479	74426__purC
ERR1913258.24615__1.24615	39491__A0A0M6WWT1__dus_2
ERR1913258.24686__1.24686	239935__A0A2N8HH03__CXU09_08875
ERR1913258.24707__1.24707	216816__B3DNW2__BL171B_07980
ERR1913258.24888__1.24888	39491__A0A396FEV5__EUR_24750
ERR1913258.25025__1.25025	1680__R5GZJ8__BSTER_1195
ERR1913258.25084__1.25084	239935__A0A2N8HL50__CXT98_09135
ERR1913258.25107__1.25107	1263011__R6EMV8__BN553_01996
ERR1913258.25110__1.25110	1263000__R5EKG2__BN466_02040
ERR1913258.25165__1.25165	1262911__R6HKM0__BN557_00430
ERR1913258.25403__1.25403	301301__A0A395VCJ3__cbiT
ERR1913258.25490__1.25490	418240__A0A173XQZ4__yusO
ERR1913258.25559__1.25559	1550024__A0A0W7TR16__TQ39_07995
ERR1913258.25573__1.25573	40520__A0A3E5ENE1__DXB81_01340
ERR1913258.25590__1.25590	357276__I9RAC4__BSEG_00561
ERR1913258.25968__1.25968	853__A0A173RZ39__C4N22_01650
ERR1913258.26048__1.26048	246787__A0A3D6AWV8__gltP
ERR1913258.26200__1.26200	1263011__R6DNP5__BN553_01272
ERR1913258.26390__1.26390	239935__A0A139TT05__CXU09_03335
ERR1913258.26845__1.26845	1680__R5GZF2__DXC60_01925
ERR1913258.26791__1.26791	239935__A0A139TPG3__CXT86_08810
ERR1913258.27092__1.27092	40520__R7DD10__glgB
ERR1913258.27650__1.27650	39485__C4Z5L2__ERS852490_00659
ERR1913258.27793__1.27793	1263107__GCA_000436995.1_00071
ERR1913258.27814__1.27814	239935__A0A2N8HMQ8__pgsA
ERR1913258.27772__1.27772	216816__C2GSX7__DD678_03555
ERR1913258.27853__1.27853	1681__A0A286TBJ5__LMG13195_1856
ERR1913258.27880__1.27880	239935__A0A2N8IVR0__CXT87_07115
ERR1913258.28039__1.28039	1897011__A0A1Q6RG59__BHW41_02475
ERR1913258.28167__1.28167	116085__D4J5G5__DW747_05425
ERR1913258.28471__1.28471	267818__A0A0R1PCI5__FC94_GL001705
ERR1913258.28520__1.28520	246787__R6LGA6__tmoS_11
ERR1913258.28531__1.28531	40518__R5DUG7__sbcC
ERR1913258.28699__1.28699	39491__A0A395UZ89__DXB72_12805
ERR1913258.28792__1.28792	1897011__A0A1Q6RH12__BHW41_01505
ERR1913258.28871__1.28871	1262736__R5YKF5__BN496_01748
ERR1913258.28966__1.28966	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913258.29100__1.29100	239935__A0A2N8IMC3__CXT96_03840
ERR1913258.29170__1.29170	1680__R5GZJ8__BSTER_1195
ERR1913258.29207__1.29207	1681__K2IQE2__uvrD
ERR1913258.29315__1.29315	239935__A0A2N8I1R3__CXU05_06075
ERR1913258.29344__1.29344	301301__G2SZM9__ERS852391_00601
ERR1913258.30119__1.30119	1262911__R6GLG8__BN557_00337
ERR1913258.30221__1.30221	239935__A0A2N8INK7__Amuc_0521
ERR1913258.30318__1.30318	626940__E8LEF9__BHW43_08485
ERR1913258.30389__1.30389	74426__infB
ERR1913258.30409__1.30409	239935__A0A139TPG3__CXT86_08810
ERR1913258.30553__1.30553	357276__A0A076IN30__DXD47_09350
ERR1913258.30623__1.30623	88431__A6BGH9__ERS852408_02691
ERR1913258.31017__1.31017	1263107__GCA_000436995.1_00222
ERR1913258.31152__1.31152	45851__D4S069__spoIVA
ERR1913258.31167__1.31167	39491__A0A173TFQ1__rsmF
ERR1913258.31084__1.31084	246787__A0A0P0G684__cirA_10
ERR1913258.31183__1.31183	1550024__G9RWP9__TQ39_04320
ERR1913258.31336__1.31336	2173__A0A1D2WUJ0__Msm_1370
ERR1913258.31361__1.31361	823__A0A355XIK0__CEQ22_011965
ERR1913258.31436__1.31436	39491__D6DXZ8__DXB72_15035
ERR1913258.31484__1.31484	39488__A0A174AEG5__DXD91_14700
ERR1913258.31534__1.31534	239935__R6JCH3__CXT95_08205
ERR1913258.31939__1.31939	1262848__R6U148__BN818_00289
ERR1913258.32010__1.32010	102148__E7MPI3__HMPREF9430_01464
ERR1913258.32077__1.32077	28123__F4KLS3__HMPREF9294_0285
ERR1913258.32166__1.32166	1263011__R6DPZ1__BN553_01005
ERR1913258.32456__1.32456	1550024__G9RXI8__TQ39_11495
ERR1913258.32521__1.32521	28111__E5X237__NCTC11155_00628
ERR1913258.32607__1.32607	28111__E5WZI3__NCTC11155_00586
ERR1913258.32619__1.32619	1150298__A0A174DX06__ERS852498_00491
ERR1913258.32756__1.32756	40520__A5ZVE9__ERS852394_01939
ERR1913258.32887__1.32887	239935__R7DVW2__CXU02_03915
ERR1913258.33205__1.33205	301301__A0A395VAV8__ERS852391_02437
ERR1913258.33219__1.33219	1262924__R7HLK0__BN585_01496
ERR1913258.33503__1.33503	74426__asnS
ERR1913258.33690__1.33690	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913258.33699__1.33699	39491__C4ZAT2__ERE_28440
ERR1913258.33759__1.33759	39491__A0A174LTW7__DXD13_08720
ERR1913258.33784__1.33784	1680__A1A132__B0703_0684
ERR1913258.33858__1.33858	821__A0A174NVL6__NCTC10583_01782
ERR1913258.33943__1.33943	239935__A0A2N8HMQ8__pgsA
ERR1913258.34077__1.34077	384638__B7AT14__BACPEC_01282
ERR1913258.34219__1.34219	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913258.34290__1.34290	39491__A0A395ZBW8__DXC13_08840
ERR1913258.34320__1.34320	40520__R7D2W9__DXB81_15890
ERR1913258.34494__1.34494	1680__A0A173W5Z2__DXC53_01290
ERR1913258.34478__1.34478	45851__D4S247__BUTYVIB_02169
ERR1913258.34660__1.34660	1150298__A0A174QRU8__ERS852498_00962
ERR1913258.35042__1.35042	1680__A0A0C2VBJ4__birA
ERR1913258.35068__1.35068	39485__C4Z1S0__ERS852492_00886
ERR1913258.35234__1.35234	40520__A0A3E5EE58__RUMOBE_02861
ERR1913258.35324__1.35324	1308__V8LWY6__BBD27_0329
ERR1913258.35779__1.35779	1550024__G9RYB3__TQ39_01060
ERR1913258.36224__1.36224	907__G0VRN7__SAMN02910401_00240
ERR1913258.36331__1.36331	2173__A0A1D2WR01__Msm_0221
ERR1913258.36338__1.36338	40518__R5E0F2__RBATCC27255_01890
ERR1913258.36612__1.36612	239935__A0A2N8J1K0__CXT97_05765
ERR1913258.36661__1.36661	74426__thrZ
ERR1913258.36683__1.36683	1263000__R5EMU9__BN466_00667
ERR1913258.36769__1.36769	1680__A0A087DHN0__AL0462_1532
ERR1913258.36918__1.36918	301301__A0A395VFD3__ERS852391_02492
ERR1913258.36991__1.36991	239935__A0A2N8IVK9__CXU08_03750
ERR1913258.37004__1.37004	216816__B3DNW2__BL171B_07980
ERR1913258.37093__1.37093	1680__A0A0C2VBJ4__birA
ERR1913258.37202__1.37202	216816__E8MVM4__APC1480_1562
ERR1913258.37268__1.37268	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913258.37553__1.37553	74426__asnS
ERR1913258.37661__1.37661	1262924__R7HT26__BN585_00306
ERR1913258.37701__1.37701	45851__D4RWZ9__murF
ERR1913258.37787__1.37787	1550024__A0A0D8IWU5__TQ39_13940
ERR1913258.38142__1.38142	357276__D1K526__GV66_17250
ERR1913258.38118__1.38118	28025__A0A0L7CYK2__DD683_02425
ERR1913258.38425__1.38425	1263011__R6EJU5__BN553_01327
ERR1913258.38690__1.38690	1262924__R7HMN2__BN585_01573
ERR1913258.38698__1.38698	820__A0A3E4PYB0__yejM
ERR1913258.38744__1.38744	357276__A0A076INK2__BSEG_04225
ERR1913258.38785__1.38785	1197717__A0A1B2I3V8__BED41_05795
ERR1913258.39212__1.39212	1262911__R6HLR5__BN557_00628
ERR1913258.39412__1.39412	28052__R7NEJ4__ERS852451_01746
ERR1913258.39468__1.39468	1262911__R6HG37__BN557_01341
ERR1913258.39520__1.39520	1680__A1A2N8__LMG10734_1314
ERR1913258.39487__1.39487	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913258.39593__1.39593	1262924__R7HST1__BN585_00215
ERR1913258.39644__1.39644	1681__K2HRF5__B0156_0361
ERR1913258.39670__1.39670	74426__rpoC
ERR1913258.39746__1.39746	1262761__R6RU22__BN606_01110
ERR1913258.39808__1.39808	39491__A0A395ZHV7__ykvU
ERR1913258.39846__1.39846	301301__A0A395VFD3__ERS852391_02492
ERR1913258.39860__1.39860	116085__D4J7N7__DW747_15105
ERR1913258.40042__1.40042	253839__D9VQ27__SSNG_03091
ERR1913258.40065__1.40065	239935__B2UL21__CXT98_03395
ERR1913258.40086__1.40086	239935__A0A2N8HT68__ADH72_00510
ERR1913258.40326__1.40326	446660__GCA_003428235.1_00994
ERR1913258.40388__1.40388	46503__R6WPS1__lepB
ERR1913258.40553__1.40553	1393034__GCA_001552785.1_00510
ERR1913258.40626__1.40626	239935__A0A139TPG3__CXT86_08810
ERR1913258.40899__1.40899	1262924__R7HQD9__BN585_00129
ERR1913258.41031__1.41031	28025__A0A0L7CXE2__CDD75_01489
ERR1913258.41102__1.41102	1262992__R5D4Q0__BN795_01630
ERR1913258.41156__1.41156	1262924__R7HQX0__BN585_00307
ERR1913258.41173__1.41173	552398__F4XHN7__HMPREF0866_03141
ERR1913258.41302__1.41302	239935__A0A2N8HAQ1__DEF40_05290
ERR1913258.41343__1.41343	1681__U2BXF8__DXC70_05435
ERR1913258.41397__1.41397	1262911__R6GYT4__BN557_00617
ERR1913258.41803__1.41803	116085__D4JBW6__DW747_00745
ERR1913258.41812__1.41812	40518__R5DYU1__DXD86_01160
ERR1913258.42014__1.42014	1680__A0A087DHN0__AL0462_1532
ERR1913258.42041__1.42041	1897011__A0A1Q6RE52__BHW41_04690
ERR1913258.41985__1.41985	74426__purL
ERR1913258.42410__1.42410	74426__nifJ
ERR1913258.42424__1.42424	39492__D4JUS6__accD5
ERR1913258.42433__1.42433	39491__A0A395ZGU6__ERS852417_01456
ERR1913258.42503__1.42503	1680__A0A374QDL4__LMG18897_0432
ERR1913258.42592__1.42592	1681__A0A292G7V3__BBIF_1776
ERR1913258.42714__1.42714	301301__A0A395VFD3__ERS852391_02492
ERR1913258.42976__1.42976	239935__R6J5N6__CXT99_10770
ERR1913258.43013__1.43013	74426__sigA
ERR1913258.43061__1.43061	74426__gap
ERR1913258.43287__1.43287	214856__I3YPR5__ERS852447_01364
ERR1913258.43348__1.43348	1262756__R5X2S0__BN568_00766
ERR1913258.43428__1.43428	40520__R7D7V1__DXC87_12020
ERR1913258.43587__1.43587	458033__GCA_001482755.1_02203
ERR1913258.43671__1.43671	239935__R6J776__CXU07_02355
ERR1913258.43712__1.43712	418240__C6J8B6__ERS852523_03677
ERR1913258.43780__1.43780	45851__D4RYB8__BHV86_01965
ERR1913258.43817__1.43817	45851__R5LJL1__BHV86_09305
ERR1913258.44395__1.44395	267818__A0A0R1PKA2__B8W86_09675
ERR1913258.44434__1.44434	1262848__R6UAA6__BN818_01734
ERR1913258.44822__1.44822	2173__A0A1D2WU72__BK798_05485
ERR1913258.44910__1.44910	745368__A0A1T4XUU0__SAMN02745178_02347
ERR1913258.44949__1.44949	39491__A0A395ZDC6__addB
ERR1913258.44953__1.44953	1897011__A0A1Q6RFG0__BHW41_03665
ERR1913258.45025__1.45025	39491__A0A173VYV1__DXC13_02710
ERR1913258.45225__1.45225	1262848__R6U2B6__BN818_00428
ERR1913258.45228__1.45228	1550024__G9RZG5__TQ39_11180
ERR1913258.45250__1.45250	1150298__A0A174FT13__ERS852406_02197
ERR1913258.45266__1.45266	357276__A0A076IN21__BSEG_03078
ERR1913258.45285__1.45285	1197717__A0A1B2I1Y4__BED41_02005
ERR1913258.45365__1.45365	820__A0A139K4W1__M093_0353
ERR1913258.45456__1.45456	820__A0A3E4XM43__DXC91_13960
ERR1913258.45474__1.45474	187327__G4Q2R6__Acin_2204
ERR1913258.45673__1.45673	821__A0A3E4HP25__SAMN04487923_102450
ERR1913258.45754__1.45754	1263000__R5EH44__BN466_01492
ERR1913258.45827__1.45827	28117__R7JIJ8__BHV66_01635
ERR1913258.45851__1.45851	239935__B2URG6__CXU02_00030
ERR1913258.45928__1.45928	40520__R7D6C0__RUMOBE_01488
ERR1913258.46100__1.46100	626940__E8LD28__BHW43_10325
ERR1913258.46282__1.46282	239935__A0A2N8HT44__CXT84_11035
ERR1913258.46283__1.46283	216816__Q8G6X1__DD674_00140
ERR1913258.46545__1.46545	301301__G2T0P1__RHOM_03005
ERR1913258.46841__1.46841	239935__A0A2N8I3G2__CXT89_00720
ERR1913258.46953__1.46953	39491__A0A2U2EED4__ERS852580_01584
ERR1913258.47089__1.47089	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913258.47047__1.47047	384638__B7APR1__BACPEC_00667
ERR1913258.47237__1.47237	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913258.47255__1.47255	216816__C5E9A6__mutT4
ERR1913258.47394__1.47394	1550024__A0A0W7TVC5__TQ39_00835
ERR1913258.47540__1.47540	1262924__R7HNZ2__BN585_02017
ERR1913258.47528__1.47528	39491__A0A395UYM9__DXC13_07980
ERR1913258.47710__1.47710	1262848__R6U092__BN818_00195
ERR1913258.47916__1.47916	39491__A0A395UWZ1__DXC13_02175
ERR1913258.47932__1.47932	1550024__G9RX51__TQ39_04720
ERR1913258.47987__1.47987	820__A0A174M9V5__M093_0237
ERR1913258.48070__1.48070	39491__A0A173SH34__EUR_24920
ERR1913258.48277__1.48277	360807__A0A173R6E5__ERS852444_00251
ERR1913258.48726__1.48726	649756__D4MZ13__DCR88_08760
ERR1913258.48846__1.48846	1681__A0A0E2ZBQ4__DXD53_02285
ERR1913258.48885__1.48885	39491__A0A396FKI0__DXC13_11560
ERR1913258.49152__1.49152	853__A0A329UEG4__CHR60_00585
ERR1913258.49212__1.49212	1262848__R6V5C0__BN818_00210
ERR1913258.49427__1.49427	1550024__G9RXI8__TQ39_11495
ERR1913258.49546__1.49546	116085__D4JC97__DW747_00040
ERR1913258.49656__1.49656	45851__D4RZ86__BHV86_03570
ERR1913258.49781__1.49781	40518__R5DRY6__RB5AMG_00549
ERR1913258.49832__1.49832	47678__R5U558__ERS852558_02232
ERR1913258.49883__1.49883	626929__F3PKG7__SAMN05444376_0720
ERR1913258.50024__1.50024	1550024__G9RP69__ASJ35_11625
ERR1913258.50106__1.50106	147206__GCF_000156215.1_01777
ERR1913258.50117__1.50117	1681__E4V7T9__BJL93_02365
ERR1913258.50282__1.50282	1262882__R5MNC1__BN519_00818
ERR1913258.50375__1.50375	1263000__R5EXT3__BN466_02213
ERR1913258.50456__1.50456	820__A0A374Q854__HMPREF1073_03281
ERR1913258.50465__1.50465	1262736__R5Y0M0__BN496_00957
ERR1913258.50574__1.50574	40518__R5DX93__DXD93_03055
ERR1913258.50779__1.50779	39491__C4Z9Y3__ERS852417_01808
ERR1913258.50739__1.50739	1262761__R6RU22__BN606_01110
ERR1913258.50792__1.50792	28117__B0MU76__ALIPUT_00202
ERR1913258.50834__1.50834	39491__A0A396FP46__cobD_2
ERR1913258.50896__1.50896	40518__R5DX31__DXD86_09775
ERR1913258.51100__1.51100	1263107__GCA_000436995.1_00011
ERR1913258.51372__1.51372	216816__C5E9C3__CJO32_03030
ERR1913258.51396__1.51396	1150298__A0A174QZ74__ERS852406_01102
ERR1913258.51472__1.51472	1262848__R6V5C0__BN818_00210
ERR1913258.51881__1.51881	40520__R7DB69__lgt_1
ERR1913258.51944__1.51944	1550024__A0A0D8IYB1__TQ39_12130
ERR1913258.52004__1.52004	39488__A0A173UIN4__EUBHAL_00539
