ERR1913285.200__1.200	33043__A0A173YEP6__ERS852575_00888
ERR1913285.22952__1.22952	39491__A0A396FJJ9__DXB76_11995
ERR1913285.22973__1.22973	39491__A0A3E4E7C5__DXB69_03255
ERR1913285.23227__1.23227	853__A0A174AML0__FPR_08640
ERR1913285.23275__1.23275	820__A0A139K426__B5G17_09115
ERR1913285.23577__1.23577	39492__D4JQU6__ERS852540_02194
ERR1913285.23926__1.23926	165179__A0A174IHQ2__PREVCOP_05478
ERR1913285.23949__1.23949	28052__A0A174JFU5__yhbU_1
ERR1913285.24027__1.24027	28117__B0MYM2__BHV66_04910
ERR1913285.24082__1.24082	39492__R6RYB8__ERS852540_00322
ERR1913285.24404__1.24404	1262777__R5VM31__BN512_00609
ERR1913285.24592__1.24592	165179__A0A174SR12__DXB80_04410
ERR1913285.24595__1.24595	165179__A0A3E5AER8__DXB80_07075
ERR1913285.24605__1.24605	853__A0A2A7B9I6__DW855_13690
ERR1913285.24648__1.24648	39492__D4JQL8__ywpJ
ERR1913285.24569__1.24569	1780376__A0A143XSC4__BN3659_01663
ERR1913285.24666__1.24666	165179__A0A3E5EB26__CFT61_02800
ERR1913285.24729__1.24729	39491__A0A173VYV1__DXC13_02710
ERR1913285.24822__1.24822	39492__B0MS79__ERS852540_01394
ERR1913285.24848__1.24848	821__D4VD59__BHV80_04260
ERR1913285.24933__1.24933	165179__A0A3E5AER8__DXB80_07075
ERR1913285.24871__1.24871	39492__D4MIY5__EUBSIR_00233
ERR1913285.25014__1.25014	649756__D4MUT1__ERS852520_00545
ERR1913285.25103__1.25103	165179__R6CNX7__DXB80_02200
ERR1913285.25133__1.25133	165179__R6CNX7__DXB80_02200
ERR1913285.25153__1.25153	39485__A0A174ZLH6__EUBELI_01564
ERR1913285.25214__1.25214	165179__D1PE06__DXC61_05975
ERR1913285.25402__1.25402	165179__A0A174SA26__PREVCOP_05758
ERR1913285.25357__1.25357	165179__D1PGJ6__DXC61_07300
ERR1913285.25446__1.25446	1263000__R5EKG2__BN466_02040
ERR1913285.25453__1.25453	458033__GCA_001482755.1_02203
ERR1913285.25805__1.25805	239935__A0A2N8HB50__CXU17_02615
ERR1913285.25826__1.25826	33043__A0A173WPI1__ERS852400_02100
ERR1913285.25864__1.25864	39492__D4JUL3__nreC_2
ERR1913285.25947__1.25947	1262911__R6GPI7__BN557_00907
ERR1913285.26026__1.26026	165179__R6C3A5__DXC61_11820
ERR1913285.26202__1.26202	28117__B0N007__BHV66_10275
ERR1913285.26261__1.26261	165179__D1PAJ7__PREVCOP_04222
ERR1913285.26307__1.26307	165179__A0A174W369__PREVCOP_04548
ERR1913285.26400__1.26400	853__A0A173XRA8__CGS56_09290
ERR1913285.26502__1.26502	165179__W1I4H6__DXB80_13655
ERR1913285.26564__1.26564	165179__A0A3E5DWQ1__DXB80_06635
ERR1913285.26649__1.26649	1628085__A0A396MGZ2__C7386_12111
ERR1913285.26701__1.26701	28052__R7NAP6__ERS852499_01969
ERR1913285.26797__1.26797	487175__R5E5P8__HMPREF9439_00961
ERR1913285.26812__1.26812	410072__A0A174J5N8__sbcC
ERR1913285.26741__1.26741	1262945__R6YWN0__BN600_01989
ERR1913285.27072__1.27072	239935__A0A2N8IDX4__CXU20_07380
ERR1913285.27106__1.27106	46503__R6X8R7__PARMER_00141
ERR1913285.27125__1.27125	28117__B0MUB4__BHV66_01895
ERR1913285.27127__1.27127	39491__A0A395ZBW8__DXC13_08840
ERR1913285.27240__1.27240	39491__A0A395V0H3__ERS852417_01192
ERR1913285.27380__1.27380	649756__A0A173TB83__HMPREF0369_01758
ERR1913285.27400__1.27400	28052__A0A174NHE1__spoIIIE
ERR1913285.27828__1.27828	39491__A0A173TAZ5__DXB99_09520
ERR1913285.28164__1.28164	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913285.28143__1.28143	39491__A0A395V0E5__ERE_31370
ERR1913285.28144__1.28144	1263000__R5EIH8__BN466_01210
ERR1913285.28179__1.28179	165179__D1P8V8__DXC61_01940
ERR1913285.28251__1.28251	33043__A0A174AEP1__apr
ERR1913285.28336__1.28336	40519__U2KT09__RUMCAL_01667
ERR1913285.28811__1.28811	165179__A0A3E5A832__DXC61_13685
ERR1913285.28911__1.28911	360807__C0G0A1__ERS852444_02410
ERR1913285.29092__1.29092	301302__R5VCU3__cbiK_2
ERR1913285.29262__1.29262	46503__R5DLM3__HMPREF1078_03417
ERR1913285.29377__1.29377	487174__K0X3L3__DDY40_11345
ERR1913285.29505__1.29505	165179__R6XIF8__DXC61_07265
ERR1913285.29631__1.29631	301302__A0A173TYC8__M72_00761
ERR1913285.29716__1.29716	39491__A0A395ZBQ4__cph2_2
ERR1913285.29785__1.29785	823__C7XBX3__HMPREF1059_03212
ERR1913285.29841__1.29841	853__A0A2A7B1Y7__C7K05_11930
ERR1913285.29907__1.29907	1262924__R7HSM4__BN585_00913
ERR1913285.29908__1.29908	28052__A0A174KEN0__nagK
ERR1913285.29911__1.29911	216816__A0A0M0VK23__BLGT_09805
ERR1913285.30306__1.30306	46503__R6WTW1__NCTC13052_03440
ERR1913285.30500__1.30500	239935__A0A2N8IQX1__dnaA
ERR1913285.30501__1.30501	301302__A0A0M6WVU2__M72_13551
ERR1913285.30572__1.30572	165179__D1PCL6__DXB80_13435
ERR1913285.30636__1.30636	1262945__R6YT88__BN600_00074
ERR1913285.30606__1.30606	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913285.30727__1.30727	239935__A0A2N8HUU6__CXT90_06150
ERR1913285.30777__1.30777	39491__A0A395V0H6__ERS852580_02570
ERR1913285.31035__1.31035	165179__A0A3E5EDV6__DXC61_03365
ERR1913285.31049__1.31049	39492__D4JSS2__EUBSIR_00553
ERR1913285.31174__1.31174	40518__R5DME2__DXD86_07315
ERR1913285.31348__1.31348	39491__C4Z8S1__DXB76_06750
ERR1913285.31379__1.31379	357276__A0A076IXE0__HMPREF1064_04364
ERR1913285.31647__1.31647	39492__D4JW10__pppA
ERR1913285.31664__1.31664	2259594__B3DPV5__DR871_17155
ERR1913285.31762__1.31762	239935__A0A2N8IRL2__CXU06_01170
ERR1913285.31771__1.31771	706562__GCA_900112995.1_00062
ERR1913285.31844__1.31844	165179__D1PDJ4__DXB80_08505
ERR1913285.31875__1.31875	39491__A0A395ZHW9__DXC13_02590
ERR1913285.31877__1.31877	165179__A0A3E5E643__DXB80_06030
ERR1913285.32025__1.32025	165179__A0A174SR12__DXB80_04410
ERR1913285.32050__1.32050	84030__D6DEC1__B5F06_11815
ERR1913285.32061__1.32061	33043__A0A173R1J6__rpfG_1
ERR1913285.32095__1.32095	40518__R5DR39__mreB_2
ERR1913285.32225__1.32225	40518__R5DSI5__fieF
ERR1913285.32261__1.32261	818__A0A3E5HVB7__Btheta7330_02386
ERR1913285.32459__1.32459	39488__A0A285PTA0__EUBHAL_00097
ERR1913285.32620__1.32620	29361__B6FRT6__CLONEX_02860
ERR1913285.32805__1.32805	39491__A0A174EQV2__DXB69_10230
ERR1913285.32863__1.32863	1262924__R7HQ03__BN585_01295
ERR1913285.33060__1.33060	39492__D4JSS2__EUBSIR_00553
ERR1913285.33242__1.33242	165179__A0A3E5E3D6__DXC61_05750
ERR1913285.33319__1.33319	165179__A0A3E5DZ45__DXC61_02820
ERR1913285.33604__1.33604	1262889__R7H9Z3__BN634_00978
ERR1913285.34340__1.34340	165179__A0A174IYW3__DXC61_01235
ERR1913285.34534__1.34534	239935__A0A2N8HTZ8__CXU09_01270
ERR1913285.34686__1.34686	239935__A0A139TPD4__CXT86_06450
ERR1913285.34739__1.34739	39491__D6E2U1__EUBREC_3278
ERR1913285.34852__1.34852	29361__B6FRT6__CLONEX_02860
ERR1913285.34903__1.34903	821__A0A0P0L8F8__ERS852509_03705
ERR1913285.34879__1.34879	165179__A0A3E5E8N5__DXC61_13460
ERR1913285.35131__1.35131	28117__B0MWH8__BHV66_01330
ERR1913285.35204__1.35204	39485__A0A174YWE7__EUBELI_00979
ERR1913285.35423__1.35423	39491__C4Z9E9__T1815_12341
ERR1913285.35354__1.35354	214851__D1PSK7__SUBVAR_07390
ERR1913285.35502__1.35502	39491__D6E408__EUBREC_1466
ERR1913285.35471__1.35471	1262736__R5YZX5__BN496_00198
ERR1913285.35634__1.35634	360807__A0A0M6X184__ERS852392_03203
ERR1913285.36188__1.36188	39488__A0A173UK14__araC_3
ERR1913285.36637__1.36637	39491__A0A396FKG5__DXB76_07455
ERR1913285.36619__1.36619	1680__A0A0C2YNK5__BADO_0780
ERR1913285.36624__1.36624	1262924__R7HQX0__BN585_00307
ERR1913285.36998__1.36998	239935__A0A2N8I6R6__CXU04_04335
ERR1913285.36966__1.36966	165179__D1PGJ6__DXC61_07300
ERR1913285.37140__1.37140	33043__A0A173WPI1__ERS852400_02100
ERR1913285.37230__1.37230	39491__A0A396FQ67__DXB99_07505
ERR1913285.37531__1.37531	28052__A0A174LHM7__ERS852451_02351
ERR1913285.37555__1.37555	28052__R7NF69__ERS852451_02189
ERR1913285.38027__1.38027	40518__R5E328__DXD86_08885
ERR1913285.38284__1.38284	33043__A0A174GAW5__ydcV_2
ERR1913285.38325__1.38325	384638__B7AN60__BACPEC_00112
ERR1913285.38465__1.38465	165179__D1PCY7__DXB80_02765
ERR1913285.38514__1.38514	40518__R5DZ16__DXD86_01455
ERR1913285.38561__1.38561	1262803__R6NYF7__BN649_02038
ERR1913285.38614__1.38614	40520__U2ENY9__C4886_17680
ERR1913285.38622__1.38622	165179__A0A229I1J2__DXB80_03950
ERR1913285.38623__1.38623	239935__A0A2N8HL50__CXT98_09135
ERR1913285.38689__1.38689	706562__GCA_900112995.1_01591
ERR1913285.38794__1.38794	39491__A0A396FKG5__DXB76_07455
ERR1913285.38982__1.38982	28052__A0A174M373__speA_2
ERR1913285.39000__1.39000	239935__R7DVL7__CXT93_01180
ERR1913285.39182__1.39182	410072__A0A174EHQ6__ERS852481_02629
ERR1913285.39302__1.39302	1965560__A0A1Y4RMV7__B5E82_08380
ERR1913285.39469__1.39469	33043__A0A173WZE5__ERS852386_00374
ERR1913285.39513__1.39513	301302__R5UQK8__M72_11501
ERR1913285.39656__1.39656	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913285.39820__1.39820	39491__A0A395V0H6__ERS852580_02570
ERR1913285.39980__1.39980	1262746__R5S4S7__BN750_02366
ERR1913285.40097__1.40097	165179__A0A229I6N7__DXC61_06720
ERR1913285.40328__1.40328	39486__G1WPD7__DORFOR_00931
ERR1913285.40618__1.40618	40518__R5DTJ1__DXD86_03635
ERR1913285.40732__1.40732	33043__D5HI09__ERS852575_02656
ERR1913285.40745__1.40745	165179__D1PHV2__PREVCOP_06822
ERR1913285.40906__1.40906	357276__A0A0K2HG61__BACDOR_02028
ERR1913285.40947__1.40947	33043__A0A174A481__ERS852400_01067
ERR1913285.41027__1.41027	40518__R5E6X5__sbcD
ERR1913285.41028__1.41028	39491__A0A395V1Y4__DXB99_08035
ERR1913285.41124__1.41124	239935__A0A2N8HZW2__A4V05_11120
ERR1913285.41557__1.41557	1263005__R6FNC3__BN497_01046
ERR1913285.41576__1.41576	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913285.41749__1.41749	853__A0A173YYY4__DWZ04_09420
ERR1913285.41789__1.41789	39485__A0A174ZNW9__luxQ_1
ERR1913285.42035__1.42035	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913285.42050__1.42050	818__A0A3E5HHL6__C799_04659
ERR1913285.42152__1.42152	33043__A0A173YSY7__tilS
ERR1913285.42261__1.42261	165179__D1PEW8__DXB80_13775
ERR1913285.42282__1.42282	33043__D5HFE3__lacR
ERR1913285.42294__1.42294	39491__A0A396FP46__cobD_2
ERR1913285.42554__1.42554	46503__A0A3E4ZQ73__ERS852463_01043
ERR1913285.42634__1.42634	165179__A0A3E5EDV6__DXC61_03365
ERR1913285.42740__1.42740	1262803__R6P3Q2__BN649_00880
ERR1913285.42778__1.42778	39491__A0A395V1R3__T1815_08181
ERR1913285.42831__1.42831	39491__C4ZD70__LD38_03510
ERR1913285.42842__1.42842	39492__D4JQM9__EUBSIR_00669
ERR1913285.42939__1.42939	820__A0A174F0C1__nreB
ERR1913285.43004__1.43004	853__A0A173T751__C4N24_10280
ERR1913285.43186__1.43186	820__A0A174FUF0__HMPREF1073_03308
ERR1913285.43153__1.43153	165179__D1PE06__DXC61_05975
ERR1913285.43286__1.43286	28117__B0MTI4__ALIPUT_00084
ERR1913285.43730__1.43730	39485__C4Z028__ERS852492_00100
ERR1913285.43750__1.43750	1262803__R6NER1__BN649_01814
ERR1913285.43788__1.43788	47678__R5UWN2__BACCAC_01649
ERR1913285.43847__1.43847	33043__A0A173ZZ54__ERS852400_00193
ERR1913285.43860__1.43860	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913285.43866__1.43866	165179__A0A229I1J2__DXB80_03950
