ERR1913195.27__1.27	292800__G9YWZ8__A4U99_12635
ERR1913195.3531__1.3531	165179__D1PGD2__DXC61_10875
ERR1913195.3625__1.3625	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913195.3635__1.3635	363265__R6FQP4__HMPREF0673_00216
ERR1913195.3690__1.3690	100886__E2NNS9__CATMIT_00226
ERR1913195.3751__1.3751	165179__R6XIF8__DXC61_07265
ERR1913195.3961__1.3961	626940__E8LG07__BHW43_10200
ERR1913195.4169__1.4169	1284775__A0A095Y5G0__HMPREF1640_07060
ERR1913195.4285__1.4285	301302__R5UNJ6__M72_26701
ERR1913195.4368__1.4368	147206__GCF_000156215.1_00014
ERR1913195.4482__1.4482	454155__F3QUK4__HMPREF9442_01877
ERR1913195.4613__1.4613	649756__B0P3S8__ywpJ_4
ERR1913195.4627__1.4627	214851__D1PSL1__SUBVAR_07394
ERR1913195.4632__1.4632	165179__A0A174SA26__PREVCOP_05758
ERR1913195.4697__1.4697	384639__GCA_003096855.1_00996
ERR1913195.4781__1.4781	165179__A0A3E5A554__DXB80_13805
ERR1913195.4795__1.4795	165179__A0A3E5AER8__DXB80_07075
ERR1913195.4898__1.4898	1262882__R5MFY4__BN519_00529
ERR1913195.4905__1.4905	100886__E2NPD3__ERS852383_04249
ERR1913195.4994__1.4994	301302__R5UIY5__M72_17461
ERR1913195.5330__1.5330	1262929__R6F141__BN691_00686
ERR1913195.5419__1.5419	1262929__R6FV20__BN691_00610
ERR1913195.5374__1.5374	33043__A0A173ZXG0__ERS852400_00169
ERR1913195.5652__1.5652	214856__A0A174A1J3__ERS852447_01000
ERR1913195.5687__1.5687	165179__A0A3E5E920__DXB80_11625
ERR1913195.5678__1.5678	1262924__R7HRF6__BN585_01735
ERR1913195.5926__1.5926	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.5948__1.5948	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913195.5913__1.5913	100886__E2NWG2__CATMIT_02957
ERR1913195.5977__1.5977	301302__R5UKP4__cbiT
ERR1913195.6281__1.6281	626940__E8LFE6__DCQ00_00370
ERR1913195.6318__1.6318	165179__R6C3K4__PREVCOP_05795
ERR1913195.6379__1.6379	1680__R5GR82__AD0028_0014
ERR1913195.6677__1.6677	301302__R5UK77__M72_08681
ERR1913195.6753__1.6753	100886__A0A174M1T3__yijE
ERR1913195.6775__1.6775	384638__B7APR0__BACPEC_00666
ERR1913195.6914__1.6914	552398__F4XCQ4__HMPREF0866_01621
ERR1913195.7012__1.7012	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913195.7117__1.7117	2022527__A0A264YA42__CHL74_01870
ERR1913195.7259__1.7259	301302__A0A173T8V6__ERS852420_01966
ERR1913195.7264__1.7264	301302__R5V6L8__M72_16121
ERR1913195.7744__1.7744	2173__A0A1D2WT40__METSMIALI_00302
ERR1913195.7982__1.7982	328814__GCA_004558275.1_00036
ERR1913195.8227__1.8227	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913195.8268__1.8268	301302__A0A0M6WCT0__M72_03221
ERR1913195.8390__1.8390	165179__A0A3E5AER8__DXB80_07075
ERR1913195.8666__1.8666	2293125__A0A374BUJ0__DW917_13495
ERR1913195.8751__1.8751	649756__L1Q9A7__DCR88_02520
ERR1913195.8850__1.8850	165179__A0A3E5E4P9__DXB80_07930
ERR1913195.8930__1.8930	418240__A0A174AX68__ERS852478_00844
ERR1913195.8985__1.8985	28132__D9RV83__HMPREF0660_00835
ERR1913195.8996__1.8996	165179__D1PGJ6__DXC61_07300
ERR1913195.9028__1.9028	626940__E8LDK5__DCQ00_02560
ERR1913195.9337__1.9337	43768__E0DH50__CORMATOL_00003
ERR1913195.9267__1.9267	165179__A0A3E5DX33__PREVCOP_05190
ERR1913195.9594__1.9594	165179__A0A3E5E3D6__DXC61_05750
ERR1913195.9621__1.9621	165179__D1PCL6__DXB80_13435
ERR1913195.9634__1.9634	33043__A0A173W4M0__dnaD
ERR1913195.9646__1.9646	1262929__R6F4F7__BN691_01167
ERR1913195.9652__1.9652	165179__D1PAN5__PREVCOP_04260
ERR1913195.9667__1.9667	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913195.9669__1.9669	552398__F4XCR9__HMPREF0866_01636
ERR1913195.9805__1.9805	301302__A0A0M6WJW1__ERS852420_02245
ERR1913195.10015__1.10015	901__B6WVN9__DESPIG_02157
ERR1913195.10382__1.10382	165179__A0A3E5EB26__CFT61_02800
ERR1913195.10304__1.10304	301302__A0A173R6H4__M72_21671
ERR1913195.10418__1.10418	165179__A0A3E5EA83__DXC61_07750
ERR1913195.11156__1.11156	363265__G6B1B1__HMPREF0673_02682
ERR1913195.11339__1.11339	301302__R5UJW6__ERS852420_01698
ERR1913195.11449__1.11449	649756__A0A173TJC0__DO83_00275
ERR1913195.11574__1.11574	1284775__A0A095Y4Z7__HMPREF1640_07200
ERR1913195.11906__1.11906	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913195.12049__1.12049	1262882__R5MPY4__BN519_01128
ERR1913195.12197__1.12197	165179__D1PD99__PREVCOP_05186
ERR1913195.12295__1.12295	301302__A0A173TYC8__M72_00761
ERR1913195.12407__1.12407	745368__A0A1T4X705__SAMN02745178_01472
ERR1913195.12506__1.12506	165179__A0A3E5DRF6__DXC61_00200
ERR1913195.12526__1.12526	239935__A0A139TPD8__CXU12_11015
ERR1913195.12580__1.12580	820__A0A3E4PYB0__yejM
ERR1913195.12561__1.12561	39491__A0A173VYV1__DXC13_02710
ERR1913195.12683__1.12683	363265__R7GTF4__HMPREF0673_02453
ERR1913195.12843__1.12843	40518__R5DQK2__DXD93_03730
ERR1913195.12974__1.12974	165179__A0A3E5AER8__DXB80_07075
ERR1913195.13142__1.13142	165179__A0A3E5A554__DXB80_13805
ERR1913195.13313__1.13313	165179__A0A3E5E8M8__DXB80_11580
ERR1913195.13330__1.13330	626940__E8LG81__BHW43_02530
ERR1913195.13371__1.13371	1896974__A0A1Q6H018__BHV77_13175
ERR1913195.13452__1.13452	410072__C0BBR9__yqeC
ERR1913195.13640__1.13640	28117__B0MUY3__BHV66_00515
ERR1913195.13852__1.13852	301302__A0A173T929__M72_26841
ERR1913195.13875__1.13875	418240__C6JFI6__ERS852523_01129
ERR1913195.13961__1.13961	165179__W1I4H6__DXB80_13655
ERR1913195.14169__1.14169	301302__R5UTE0__ERS852420_02625
ERR1913195.14371__1.14371	1262882__R5MHA1__BN519_00763
ERR1913195.14350__1.14350	360807__A0A173V2S2__phoR_7
ERR1913195.14428__1.14428	165179__A0A3E5E2S3__DXB80_03455
ERR1913195.14684__1.14684	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913195.14602__1.14602	410072__A0A173RMJ4__ydfH_1
ERR1913195.14777__1.14777	165179__A0A229I4J4__proA
ERR1913195.14896__1.14896	626940__E8LD82__BHW43_05615
ERR1913195.15029__1.15029	100886__E2NPN4__mutX_3
ERR1913195.14986__1.14986	33043__A0A173X520__ERS852575_01617
ERR1913195.15057__1.15057	301302__R5V741__M72_13261
ERR1913195.15081__1.15081	1262882__R5MKU2__BN519_01271
ERR1913195.15169__1.15169	1262924__R7HM98__BN585_01697
ERR1913195.15367__1.15367	1680__A0A087DLC6__C8077_00815
ERR1913195.15508__1.15508	626940__E8LD82__BHW43_05615
ERR1913195.15541__1.15541	649756__B0NZI4__DCR88_08000
ERR1913195.15663__1.15663	626940__E8LE41__DCQ00_06695
ERR1913195.15719__1.15719	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913195.15845__1.15845	360807__A0A174F8N1__ERS852444_00648
ERR1913195.15961__1.15961	165179__A0A3E5AER8__DXB80_07075
ERR1913195.15916__1.15916	301302__A0A0M6WTN6__ERS852420_01659
ERR1913195.16006__1.16006	1263109__GCA_000438135.1_01183
ERR1913195.16192__1.16192	165179__A0A3E5AF88__DXC61_14960
ERR1913195.16240__1.16240	301302__A0A173TPA9__M72_14191
ERR1913195.16205__1.16205	165179__A0A174IYW3__DXC61_01235
ERR1913195.16427__1.16427	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913195.16437__1.16437	165179__A0A3E5E920__DXB80_11625
ERR1913195.16532__1.16532	165179__A0A3E5A554__DXB80_13805
ERR1913195.16521__1.16521	28117__B0MU58__BHV66_05630
ERR1913195.16551__1.16551	165179__D1PHM6__DXC61_06700
ERR1913195.16557__1.16557	39485__A0A174ZBK4__ERS852490_01585
ERR1913195.16653__1.16653	1262882__R5MF43__BN519_00282
ERR1913195.16661__1.16661	165179__A0A174IYW3__DXC61_01235
ERR1913195.16980__1.16980	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913195.17225__1.17225	301302__A0A173T248__M72_19091
ERR1913195.17270__1.17270	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913195.17353__1.17353	1623__E7FSH4__FC25_GL001131
ERR1913195.17397__1.17397	165179__A0A3E5E8M8__DXB80_11580
ERR1913195.17585__1.17585	1262882__R5MSQ8__BN519_01647
ERR1913195.17607__1.17607	649756__D4MVS5__yxeP
ERR1913195.17716__1.17716	626940__E8LE43__BN587_02187
ERR1913195.18311__1.18311	165179__R6CJG8__DXC61_09290
ERR1913195.18560__1.18560	626940__R6WN47__BHW43_00930
ERR1913195.18601__1.18601	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913195.18742__1.18742	1262882__R5MQW1__BN519_01295
ERR1913195.18897__1.18897	165179__A0A3E5DX15__DXC61_00345
ERR1913195.18950__1.18950	328814__GCA_004558275.1_00056
ERR1913195.19121__1.19121	165179__R6CNX7__DXB80_02200
ERR1913195.19286__1.19286	165179__A0A3E5EAM5__DXC61_07785
ERR1913195.19659__1.19659	40520__A0A396G5U6__DXC87_00520
ERR1913195.19615__1.19615	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913195.19865__1.19865	301302__R5VCB8__M72_07901
ERR1913195.19987__1.19987	418240__C6JAX8__ERS852478_02355
ERR1913195.20165__1.20165	28117__B0MZ50__ALIPUT_02424
ERR1913195.20234__1.20234	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913195.20563__1.20563	39491__A0A395V397__EUR_09960
ERR1913195.20604__1.20604	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913195.20608__1.20608	1262911__R6GPA3__BN557_00827
ERR1913195.20705__1.20705	1262929__R6EXK1__BN691_00228
ERR1913195.20821__1.20821	1680__A0A173XYA2__B0703_0121
ERR1913195.20979__1.20979	821__A0A174RA14__M099_1655
ERR1913195.21134__1.21134	360807__A0A1Q6TAV1__ROSEINA2194_00431
ERR1913195.21185__1.21185	33039__R6P9Z4__ERS852502_00114
ERR1913195.21295__1.21295	28117__B0MVL2__BHV66_01645
ERR1913195.21607__1.21607	165179__A0A229I3Z6__PREVCOP_03666
ERR1913195.21893__1.21893	165179__A0A174SA26__PREVCOP_05758
ERR1913195.22151__1.22151	33043__D5HHY4__luxQ_1
ERR1913195.22223__1.22223	165179__A0A3E5AE59__DXC61_12885
ERR1913195.22352__1.22352	853__C7H7F8__yccM_1
ERR1913195.22429__1.22429	328814__GCA_004558275.1_00056
ERR1913195.22527__1.22527	626940__E8LCB1__BHW43_07535
ERR1913195.22911__1.22911	28117__B0MYP3__BHV66_04995
ERR1913195.23017__1.23017	165179__D1PAJ7__PREVCOP_04222
ERR1913195.23279__1.23279	901__B6WV45__DESPIGER_1962
ERR1913195.23280__1.23280	33043__A0A173YPE0__thiD
ERR1913195.23593__1.23593	301302__A0A0M6WVU2__M72_13551
ERR1913195.23663__1.23663	626940__E8LBQ4__DCQ00_10225
ERR1913195.23844__1.23844	626940__E8LDI1__HMPREF9443_00908
ERR1913195.23883__1.23883	823__A0A173VPM3__DHW69_17170
ERR1913195.24103__1.24103	1262924__R7HPZ6__BN585_00681
ERR1913195.24316__1.24316	1262882__R5N3H1__BN519_01121
ERR1913195.24351__1.24351	1262882__R5MH81__BN519_00748
ERR1913195.24329__1.24329	901__B6WUF4__DESPIG_01712
ERR1913195.24406__1.24406	1262882__R5N3H1__BN519_01121
ERR1913195.24536__1.24536	1680__A0A173W9E6__C8077_07070
ERR1913195.24593__1.24593	821__A0A0P0M2J4__DXD46_10295
ERR1913195.24609__1.24609	1262882__R5MKU2__BN519_01271
ERR1913195.24807__1.24807	165179__R6B8D8__DXC61_09245
ERR1913195.24837__1.24837	301302__A0A173T010__M72_26571
ERR1913195.24847__1.24847	301302__A0A173S3L8__vpr
ERR1913195.25088__1.25088	165179__A0A3E5E4T9__DXB80_08030
ERR1913195.25095__1.25095	39485__A0A174ZQT9__EUBELI_20278
ERR1913195.25182__1.25182	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913195.25260__1.25260	165179__A0A3E5DX15__DXC61_00345
ERR1913195.25405__1.25405	1304__A0A110Z5J8__SSALIVM18_06191
ERR1913195.25598__1.25598	165179__A0A174SA26__PREVCOP_05758
ERR1913195.25716__1.25716	165179__A0A3E4SEG4__DXC61_11235
ERR1913195.25633__1.25633	33043__D5HDZ9__ERS852386_00394
ERR1913195.26042__1.26042	386414__D1VY80__HMPREF9019_1081
ERR1913195.26294__1.26294	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913195.26500__1.26500	301302__R5UHX5__M72_14301
ERR1913195.26596__1.26596	165179__D1PB89__DXC61_08425
ERR1913195.26640__1.26640	39492__D4JVN3__spsA
ERR1913195.26751__1.26751	360807__A0A173UCM1__RIL183_07511
ERR1913195.26865__1.26865	239935__A0A2N8HTZ8__CXU09_01270
ERR1913195.26935__1.26935	1150298__A0A174SLE6__mlc_1
ERR1913195.26978__1.26978	1262929__R6F0A6__BN691_00414
ERR1913195.27149__1.27149	363265__G6AUV5__HMPREF0673_00390
ERR1913195.27293__1.27293	1262924__R7HSB4__BN585_00816
ERR1913195.27309__1.27309	33043__D5HHE4__ERS852445_02332
ERR1913195.27326__1.27326	165179__A0A3E5E6S6__DXB80_07575
ERR1913195.27451__1.27451	165179__A0A3E5AE59__DXC61_12885
ERR1913195.27480__1.27480	165179__A0A3E5DWZ6__DXC61_10880
ERR1913195.27495__1.27495	1262929__R6F4H4__BN691_01187
ERR1913195.27630__1.27630	371601__D4WBK5__BN891_3970
ERR1913195.27653__1.27653	363265__R6FQP4__HMPREF0673_00216
ERR1913195.27745__1.27745	301302__A0A0M6WKN8__M72_27741
ERR1913195.27803__1.27803	100886__E2NNV6__CATMIT_00217
ERR1913195.28260__1.28260	1796613__A0A1C7GYD6__A4V03_03700
ERR1913195.28408__1.28408	360807__C0FR69__ERS852392_01939
ERR1913195.28442__1.28442	821__A0A174WBC9__ERS852556_03145
ERR1913195.28447__1.28447	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913195.28646__1.28646	1284775__A0A095Y5G0__HMPREF1640_07060
ERR1913195.28777__1.28777	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913195.28894__1.28894	292800__U2BU47__ERS852544_01880
ERR1913195.29091__1.29091	165179__A0A3E5DY64__CFT61_10025
ERR1913195.29144__1.29144	820__A0A174GYA8__DXB64_07370
ERR1913195.29384__1.29384	39490__A0A2V1JTN0__gltR
ERR1913195.29667__1.29667	301302__A0A0M6WIX9__ERS852420_01972
ERR1913195.29853__1.29853	39485__A0A174YYW2__benM
ERR1913195.29964__1.29964	360807__C0FVL6__ERS852444_00333
ERR1913195.30102__1.30102	1262930__R6AQF3__BN693_01271
ERR1913195.30349__1.30349	74426__nrdD
ERR1913195.30433__1.30433	165179__A0A174SR12__DXB80_04410
ERR1913195.30442__1.30442	165179__A0A229I3Z6__PREVCOP_03666
ERR1913195.30616__1.30616	165179__A0A3E5EBM5__DXC61_02170
ERR1913195.30878__1.30878	165179__D1PAJ7__PREVCOP_04222
ERR1913195.30936__1.30936	301302__R5UJW6__ERS852420_01698
ERR1913195.30957__1.30957	165179__D1PDT3__PREVCOP_05375
ERR1913195.31030__1.31030	28117__B0MTV0__BHV66_06395
ERR1913195.31246__1.31246	165179__A0A3E5EB26__CFT61_02800
ERR1913195.31407__1.31407	33043__A0A173YLD4__ERS852575_00535
ERR1913195.31449__1.31449	40518__R5E0F2__RBATCC27255_01890
ERR1913195.31603__1.31603	626940__E8LG36__BN587_00913
ERR1913195.31577__1.31577	301302__A0A0M6WKN8__M72_27741
ERR1913195.31862__1.31862	165179__A0A3E5E9I4__DXB80_09745
ERR1913195.32013__1.32013	626940__E8LFF6__BHW43_06155
ERR1913195.32015__1.32015	1262924__R7HQV3__BN585_00017
ERR1913195.32086__1.32086	301302__R5USZ5__dus_2
ERR1913195.32135__1.32135	1262882__R5MIP9__BN519_01028
ERR1913195.32194__1.32194	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913195.32202__1.32202	33043__A0A174A3W6__ERS852445_00349
ERR1913195.32361__1.32361	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913195.32531__1.32531	165179__A0A3E5EB26__CFT61_02800
ERR1913195.32489__1.32489	165179__D1PGU8__PREVCOP_06463
ERR1913195.32557__1.32557	706562__GCA_900112995.1_01428
ERR1913195.32789__1.32789	706562__GCA_900112995.1_01876
ERR1913195.33020__1.33020	165179__A0A3E5DWZ6__DXC61_10880
ERR1913195.33114__1.33114	33043__D5HGK4__ERS852445_01371
ERR1913195.33147__1.33147	363265__G6B055__HMPREF0673_02272
ERR1913195.33477__1.33477	1262919__R5PMI2__BN465_00447
ERR1913195.33607__1.33607	165179__D1PGU8__PREVCOP_06463
ERR1913195.33845__1.33845	40518__R5DVR2__RBL236_00303
ERR1913195.33752__1.33752	165179__A0A3E5E3D6__DXC61_05750
ERR1913195.33757__1.33757	165179__A0A3E5DX15__DXC61_00345
ERR1913195.33804__1.33804	301302__A0A0M6X038__M72_18501
ERR1913195.34069__1.34069	165179__A0A3E5DRF6__DXC61_00200
ERR1913195.34134__1.34134	301302__R5UMB3__M72_01421
ERR1913195.34201__1.34201	2022527__A0A264Y3X7__CHL74_13910
ERR1913195.34363__1.34363	46503__A7AB27__DXB85_00430
ERR1913195.34493__1.34493	2022527__A0A264Y4Q4__CHL74_12585
ERR1913195.34497__1.34497	1262882__R5MKL9__BN519_00353
ERR1913195.34892__1.34892	301302__R5UNC5__M72_02681
ERR1913195.34956__1.34956	28037__Q8DPI7__B7692_00105
ERR1913195.35102__1.35102	301302__R5UNC5__M72_02681
ERR1913195.35331__1.35331	1735__B7C934__EUBIFOR_00691
ERR1913195.35949__1.35949	165179__D1PGD2__DXC61_10875
ERR1913195.36288__1.36288	1262929__R6FV28__BN691_00620
ERR1913195.36371__1.36371	165179__A0A174WRI9__DXB80_04870
ERR1913195.36312__1.36312	40518__R5DU52__RB5AMG_02245
ERR1913195.36822__1.36822	165179__A0A3E5DWQ1__DXB80_06635
ERR1913195.36924__1.36924	165179__D1PAV8__DXB80_13055
ERR1913195.37196__1.37196	239935__A0A139TPD4__CXT86_06450
ERR1913195.37303__1.37303	165179__A0A3E5EAM5__DXC61_07785
ERR1913195.37585__1.37585	301302__A0A173SCU7__M72_12871
ERR1913195.37800__1.37800	88431__A0A3D0F1J0__ERS852526_00938
ERR1913195.37856__1.37856	40520__D4LXF6__RUMOBE_00717
ERR1913195.37932__1.37932	301302__R5VFQ6__ERS852420_00378
ERR1913195.37999__1.37999	2022527__A0A264Y834__CHL74_06340
ERR1913195.38156__1.38156	292800__G9YLB2__HMPREF0372_00277
ERR1913195.38630__1.38630	301302__R5VFU2__xynA1
ERR1913195.38994__1.38994	39488__A0A173RXS4__ribF
ERR1913195.39015__1.39015	363265__R7H1Q3__HMPREF0673_02409
ERR1913195.39102__1.39102	35517__V1CEQ1__HMPREF9089_01138
ERR1913195.39111__1.39111	165179__W1I4H6__DXB80_13655
ERR1913195.39208__1.39208	2022527__A0A264YA42__CHL74_01870
ERR1913195.39290__1.39290	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913195.39466__1.39466	384638__B7APR1__BACPEC_00667
ERR1913195.39491__1.39491	2024223__A0A255TFB9__CIL02_01190
ERR1913195.39654__1.39654	301302__R5UM41__M72_15921
ERR1913195.39683__1.39683	165179__A0A3E5AHY4__CFT61_07675
ERR1913195.40054__1.40054	28117__B0MST8__ALIPUT_00310
ERR1913195.40086__1.40086	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913195.40127__1.40127	165179__A0A3E5DX15__DXC61_00345
ERR1913195.40130__1.40130	1262930__R5ZWP2__BN693_01542
ERR1913195.40170__1.40170	165179__A0A3E5AHY4__CFT61_07675
ERR1913195.40155__1.40155	1262882__R5MEW7__BN519_00010
ERR1913195.40528__1.40528	1262917__R5AS71__BN456_00179
ERR1913195.40900__1.40900	1262882__R5MMD8__BN519_01576
ERR1913195.40907__1.40907	165179__A0A3E5E9I4__DXB80_09745
ERR1913195.40953__1.40953	1262882__R5N4F5__BN519_01266
ERR1913195.40961__1.40961	301302__A0A173T010__M72_26571
ERR1913195.41113__1.41113	165179__A0A3E5DN34__DXC61_07865
ERR1913195.41316__1.41316	418240__C6JGZ2__ERS852478_02682
ERR1913195.41524__1.41524	1262882__R5MFR3__BN519_00473
ERR1913195.41956__1.41956	165179__D1PFV4__PREVCOP_06112
ERR1913195.41864__1.41864	2024223__A0A255TFB9__CIL02_01190
ERR1913195.42233__1.42233	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913195.42236__1.42236	1262929__R6ETI0__BN691_00865
ERR1913195.42309__1.42309	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913195.42462__1.42462	1262882__R5MFK5__BN519_00378
ERR1913195.42482__1.42482	552398__F4XCR9__HMPREF0866_01636
ERR1913195.42610__1.42610	1284775__A0A095Y4Y3__HMPREF1640_07095
ERR1913195.42786__1.42786	165179__D1PHM6__DXC61_06700
ERR1913195.42808__1.42808	165179__A0A3E4SID1__DXB80_01945
ERR1913195.43247__1.43247	363265__G6B1B1__HMPREF0673_02682
ERR1913195.43345__1.43345	363265__R7GZ37__HMPREF0673_00915
ERR1913195.43536__1.43536	165179__A0A174IPI3__CFT61_10940
ERR1913195.43562__1.43562	301302__R5VBF4__ERS852420_01650
ERR1913195.43567__1.43567	1262929__R6F4F7__BN691_01167
ERR1913195.43675__1.43675	33043__D5HHE4__ERS852445_02332
ERR1913195.43781__1.43781	165179__A0A3E5E189__PREVCOP_06699
ERR1913195.43831__1.43831	165179__D1PHM6__DXC61_06700
ERR1913195.43869__1.43869	165179__A0A174IYW3__DXC61_01235
ERR1913195.44094__1.44094	1262882__R5MQ63__BN519_01173
ERR1913195.44205__1.44205	1262929__R6EXT3__BN691_00303
ERR1913195.44454__1.44454	363265__G6B1A9__HMPREF0673_02680
ERR1913195.44598__1.44598	165179__A0A3E5E4T9__DXB80_08030
ERR1913195.44737__1.44737	40518__R5DVR2__RBL236_00303
ERR1913195.44887__1.44887	165179__A0A3E5E7D5__PREVCOP_03928
ERR1913195.45122__1.45122	165179__A0A3E4SEG4__DXC61_11235
ERR1913195.45304__1.45304	165179__A0A3E5AGH1__DXB80_05820
ERR1913195.45253__1.45253	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913195.45307__1.45307	301302__A0A0M6WMV7__M72_28281
ERR1913195.45397__1.45397	165179__W1I4H6__DXB80_13655
ERR1913195.45474__1.45474	165179__R6B8D8__DXC61_09245
ERR1913195.45631__1.45631	165179__D1PHM6__DXC61_06700
ERR1913195.45838__1.45838	301302__R5USI9__prsA3
ERR1913195.45966__1.45966	360807__C0FVT5__RIL183_27241
ERR1913195.46251__1.46251	165179__D1PES9__DXB80_11585
ERR1913195.46312__1.46312	626940__E8LFN2__DCQ00_04835
ERR1913195.46316__1.46316	165179__A0A229I1J2__DXB80_03950
ERR1913195.46391__1.46391	165179__R6XIF8__DXC61_07265
ERR1913195.46506__1.46506	301302__R5UMU6__M72_26821
ERR1913195.46411__1.46411	40520__R7D9L9__DXC87_14715
ERR1913195.46606__1.46606	301302__R5UJV1__ERS852420_01672
ERR1913195.47012__1.47012	165179__A0A174K816__DXB80_12000
ERR1913195.46978__1.46978	1262882__R5N3H1__BN519_01121
ERR1913195.47057__1.47057	165179__A0A3E5E643__DXB80_06030
ERR1913195.47267__1.47267	40518__R5E2R8__nnr_2
ERR1913195.47573__1.47573	33043__A0A374K1H3__ykoD_2
ERR1913195.47788__1.47788	338188__C9KUV1__HMPREF1057_03061
ERR1913195.47954__1.47954	39491__A0A395ZG74__licR
ERR1913195.47972__1.47972	2022527__A0A264YA42__CHL74_01870
ERR1913195.48302__1.48302	165179__A0A3E5E189__PREVCOP_06699
ERR1913195.48248__1.48248	360807__C0FWL1__RIL183_24711
ERR1913195.48380__1.48380	214856__A0A173ZZ16__umuC_2
ERR1913195.48444__1.48444	165179__D1PCL6__DXB80_13435
ERR1913195.48593__1.48593	2024223__A0A255TFB9__CIL02_01190
ERR1913195.48647__1.48647	165179__A0A3E4SEG4__DXC61_11235
ERR1913195.48999__1.48999	165179__A0A3E5E7J5__DXC61_10360
ERR1913195.49022__1.49022	1262929__R6F4M1__BN691_00136
ERR1913195.49083__1.49083	301302__A0A0M6WTN6__ERS852420_01659
ERR1913195.49137__1.49137	28052__A0A174I2V6__ERS852499_00643
ERR1913195.49269__1.49269	39488__A0A173RU01__EUBHAL_00881
ERR1913195.49344__1.49344	165179__D1PAJ7__PREVCOP_04222
ERR1913195.49421__1.49421	2293125__A0A374CJ42__DW917_03305
ERR1913195.49529__1.49529	1262882__R5ML49__BN519_01361
ERR1913195.49915__1.49915	1262882__R5N5S3__BN519_00085
ERR1913195.50096__1.50096	823__A6LBY1__ERS852380_00510
