ERR1913236.229__1.229	357276__B6W1Y1__BSEG_03960
ERR1913236.8451__1.8451	562__A0A377AAV3__CDL32_10800
ERR1913236.8513__1.8513	821__A0A396F9T7__M097_3427
ERR1913236.8709__1.8709	820__A0A3E4VZS7__DXC07_14435
ERR1913236.8734__1.8734	40520__A0A3E5EE58__RUMOBE_02861
ERR1913236.8822__1.8822	1381__group_1591
ERR1913236.8840__1.8840	40518__R5E426__DXD93_04485
ERR1913236.8939__1.8939	384639__GCA_003096855.1_00253
ERR1913236.9018__1.9018	338188__A0A174K6G7__ERS852397_03397
ERR1913236.9032__1.9032	820__R7E9Z4__DXC68_06065
ERR1913236.9211__1.9211	1263044__GCA_000433375.1_01143
ERR1913236.9319__1.9319	214856__R6Z320__ERS852447_02148
ERR1913236.9469__1.9469	820__A0A139KH21__DXC80_01780
ERR1913236.9573__1.9573	40520__R7D3V1__RUMOBE_00518
ERR1913236.9694__1.9694	820__A0A139K8X8__DXC80_17665
ERR1913236.9769__1.9769	626929__A0A1Y4JTW9__B5F97_02770
ERR1913236.9806__1.9806	820__A0A3E4VZT7__DXB48_16145
ERR1913236.9993__1.9993	820__A0A3E4RUC4__DHU98_02635
ERR1913236.10253__1.10253	820__A0A374Q854__HMPREF1073_03281
ERR1913236.10255__1.10255	820__A0A1T4IYF4__mprA_1
ERR1913236.10293__1.10293	53443__C0CQK4__RUMHYD_03167
ERR1913236.10299__1.10299	338188__A0A174ETX3__ERS852397_01955
ERR1913236.10307__1.10307	166486__D4L457__ROSINTL182_07087
ERR1913236.10383__1.10383	166486__D4L3V9__ROSINTL182_07680
ERR1913236.10724__1.10724	39491__A0A395ZHW9__DXC13_02590
ERR1913236.10734__1.10734	1735__B7CDA5__EUBIFOR_02186
ERR1913236.10744__1.10744	357276__A0A076IXE0__HMPREF1064_04364
ERR1913236.10806__1.10806	40518__R5DQW8__sipW_2
ERR1913236.10918__1.10918	40520__A0A3E5ENE1__DXB81_01340
ERR1913236.10856__1.10856	410072__C0BC88__DXD67_11180
ERR1913236.10889__1.10889	1263107__GCA_000436995.1_00076
ERR1913236.11053__1.11053	1262743__R5C054__BN727_01980
ERR1913236.11065__1.11065	338188__A0A1Q6HJ51__endOF1_2
ERR1913236.11132__1.11132	820__A0A3E4PYB0__yejM
ERR1913236.11199__1.11199	291644__I9TEJ3__luxQ_1
ERR1913236.11255__1.11255	820__A0A1T4IY71__HMPREF2141_02402
ERR1913236.11273__1.11273	820__A0A139JY23__B5G17_06330
ERR1913236.11333__1.11333	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913236.11342__1.11342	357276__A0A076J9V8__BACDOR_01395
ERR1913236.11371__1.11371	29348__B1C3E6__B5F64_01340
ERR1913236.11521__1.11521	214856__A0A173ZQD5__ERS852559_00002
ERR1913236.11530__1.11530	820__A0A396EUV1__B5G17_06465
ERR1913236.11800__1.11800	853__A0A2A7B1Y7__C7K05_11930
ERR1913236.11849__1.11849	1262948__R7E9J4__BN671_00152
ERR1913236.12187__1.12187	371601__D0TQ02__CW3_2465
ERR1913236.12161__1.12161	1318__I1ZJB7__HMPREF8577_1638
ERR1913236.12163__1.12163	28117__R7JIJ8__BHV66_01635
ERR1913236.12156__1.12156	820__R7E9Z4__DXC68_06065
ERR1913236.12310__1.12310	820__A0A3E4VXP2__yesR
ERR1913236.12559__1.12559	821__A0A173XDD3__DXB82_17180
ERR1913236.12707__1.12707	28117__R7JIY2__BHV66_06465
ERR1913236.12743__1.12743	35833__E5Y5X2__HMPREF0179_01585
ERR1913236.12812__1.12812	357276__A0A0P0M2G3__BACDOR_03913
ERR1913236.12865__1.12865	39491__A0A2U2EI54__DXD95_12010
ERR1913236.12922__1.12922	39491__A0A396FE96__EUR_00280
ERR1913236.13085__1.13085	74426__argF
ERR1913236.13102__1.13102	39491__C4ZCH3__EUR_17560
ERR1913236.13140__1.13140	28117__B0MU53__ALIPUT_00569
ERR1913236.13229__1.13229	360807__C0G083__ROSEINA2194_04432
ERR1913236.13271__1.13271	1262743__R5C054__BN727_01980
ERR1913236.13353__1.13353	1720294__A0A3E3IA46__DWY69_27750
ERR1913236.13493__1.13493	344022__GeneID:3837292
ERR1913236.13571__1.13571	39491__A0A395UWZ1__DXC13_02175
ERR1913236.13663__1.13663	1262889__R7H889__BN634_02048
ERR1913236.13828__1.13828	552398__F4XA71__HMPREF0866_00188
ERR1913236.13848__1.13848	338188__A0A174ETX3__ERS852397_01955
ERR1913236.13932__1.13932	821__D4VD59__BHV80_04260
ERR1913236.13933__1.13933	820__A0A3E4W084__BACUNI_04042
ERR1913236.13936__1.13936	47678__A5ZBD0__ERS852494_02920
ERR1913236.13973__1.13973	29361__B6FRT6__CLONEX_02860
ERR1913236.13983__1.13983	544645__A0A3E4T3I2__DXC42_11395
ERR1913236.14031__1.14031	1263107__GCA_000436995.1_00071
ERR1913236.14043__1.14043	33039__A0A173VTT4__frdB_1
ERR1913236.14055__1.14055	821__C6ZAA5__ERS852556_00403
ERR1913236.14268__1.14268	166486__R6B4E4__sinR_2
ERR1913236.14445__1.14445	344021__GeneID:3707741
ERR1913236.14517__1.14517	1262889__R7HBH6__BN634_02400
ERR1913236.14892__1.14892	194966__GeneID:3837307
ERR1913236.14946__1.14946	1262948__R7EDK5__BN671_00579
ERR1913236.15020__1.15020	40518__R5DYU1__DXD86_01160
ERR1913236.14953__1.14953	357276__A0A076IXE0__HMPREF1064_04364
ERR1913236.14970__1.14970	820__A0A3E4QZJ7__C801_01798
ERR1913236.14973__1.14973	820__R9I324__HMPREF2141_02414
ERR1913236.15082__1.15082	39491__A0A3E4E7C5__DXB69_03255
ERR1913236.15186__1.15186	28117__B0MTH2__ALIPUT_00061
ERR1913236.15261__1.15261	410072__A0A174BWR4__ERS852389_00309
ERR1913236.15554__1.15554	33039__D4M0U3__ERS852577_02211
ERR1913236.15557__1.15557	410072__A0A3E4GQ67__sigV_1
ERR1913236.15542__1.15542	39491__A0A395V1R3__T1815_08181
ERR1913236.16043__1.16043	1262743__R5C054__BN727_01980
ERR1913236.16161__1.16161	850__C3W9E1__DXB84_06655
ERR1913236.16169__1.16169	821__C6Z087__DXB90_00750
ERR1913236.16344__1.16344	820__A0A3E4RU03__M093_0563
ERR1913236.16422__1.16422	820__A0A173YYG4__evgS_3
ERR1913236.16606__1.16606	820__A0A139KHD8__ERS417307_00569
ERR1913236.16670__1.16670	39491__C4ZCH3__EUR_17560
ERR1913236.16688__1.16688	1263044__GCA_000433375.1_03282
ERR1913236.16865__1.16865	246787__A0A108T1Y3__fepA_8
ERR1913236.16891__1.16891	357276__I9F327__DXD47_22495
ERR1913236.16921__1.16921	820__A0A3E4HWJ4__DXD40_05945
ERR1913236.16928__1.16928	1501392__A0A0B2JER2__PU94_14280
ERR1913236.17370__1.17370	338188__R6S5J0__HMPREF1057_01983
ERR1913236.17509__1.17509	820__A0A374QGD2__ERS852421_02382
ERR1913236.17588__1.17588	33025__A0A395J973__C8D73_11010
ERR1913236.17642__1.17642	823__A0A395YZ10__NCTC11152_02955
ERR1913236.17667__1.17667	1263107__GCA_000436995.1_00134
ERR1913236.17626__1.17626	204516__U6R898__HMPREF1534_03335
ERR1913236.17717__1.17717	39491__A0A395ZE48__DXB76_02395
ERR1913236.18022__1.18022	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913236.18241__1.18241	1263107__GCA_000436995.1_00080
ERR1913236.18250__1.18250	1262911__R6H0U7__BN557_01104
ERR1913236.18488__1.18488	1965631__A0A1Y4APU2__B5F90_03005
ERR1913236.18496__1.18496	820__A0A174A6K0__M093_0079
ERR1913236.18445__1.18445	820__A0A174M9V5__M093_0237
ERR1913236.18703__1.18703	39485__A0A1Q6PH92__cbbX
ERR1913236.18807__1.18807	1531__A0A0E2HDW8__SAMN05216528_10406
ERR1913236.18821__1.18821	357276__A0A076IXE0__HMPREF1064_04364
ERR1913236.19003__1.19003	204516__U6R9H3__HMPREF1534_03348
ERR1913236.19208__1.19208	853__D4JY61__C4N21_10560
ERR1913236.19216__1.19216	338188__A0A174JDF2__BACFIN_08537
ERR1913236.19375__1.19375	246787__A0A3D6ARE5__HMPREF1062_01788
ERR1913236.19377__1.19377	214856__A0A173ZQY0__ERS852559_00007
ERR1913236.19405__1.19405	166486__D4KRN2__ERS852572_01816
ERR1913236.19636__1.19636	39491__A0A395UYL9__ERS852417_00624
ERR1913236.19756__1.19756	821__A0A396EVC9__DXB90_03525
ERR1913236.19835__1.19835	338188__C9L246__HMPREF1057_00305
ERR1913236.19995__1.19995	166486__D4KY48__gmr_5
ERR1913236.20073__1.20073	410072__A0A174DJM1__DXD67_05275
ERR1913236.20260__1.20260	214856__I3YMC8__ERS852447_02666
ERR1913236.20363__1.20363	360807__A0A173T4V2__ROSEINA2194_02477
ERR1913236.20338__1.20338	204516__U6R9H3__HMPREF1534_03348
ERR1913236.20288__1.20288	46503__K5ZM81__DCY29_16460
ERR1913236.20294__1.20294	154046__A0A174LWC9__DWX31_17505
ERR1913236.20326__1.20326	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913236.20419__1.20419	2108523__A0A2P2F8F4__LAWASA_2326
ERR1913236.20579__1.20579	410072__A0A173S248__ERS852525_02992
ERR1913236.20649__1.20649	216816__A0A0A6VML2__DD678_06965
ERR1913236.20687__1.20687	204516__U6R9E6__HMPREF1534_03149
ERR1913236.20797__1.20797	338188__R6S5J0__HMPREF1057_01983
ERR1913236.20805__1.20805	820__A0A174NUS8__DXC80_12885
ERR1913236.20923__1.20923	47678__A0A3E5BQM1__DXB67_08970
ERR1913236.21259__1.21259	301302__A0A173UN64__manA_2
ERR1913236.21261__1.21261	626929__F3PGY0__SAMN05444376_1243
ERR1913236.21319__1.21319	820__A0A173WUD7__DXB48_08055
ERR1913236.21383__1.21383	821__A0A3E4XY72__NCTC10583_01067
ERR1913236.21414__1.21414	214856__R6Y9P5__ERS852559_01811
ERR1913236.21462__1.21462	853__A0A2A7B9I6__DW855_13690
ERR1913236.21492__1.21492	39491__A0A3E4E7C5__DXB69_03255
ERR1913236.21592__1.21592	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913236.21541__1.21541	33025__A0A395JBU5__C8D73_10423
ERR1913236.21715__1.21715	649756__A0A1Q2C724__CL2_20160
ERR1913236.21814__1.21814	338188__A0A174IDH7__ERS852397_02952
ERR1913236.21893__1.21893	33039__D4M1W4__RTO_04640
ERR1913236.22053__1.22053	40518__R5DUG7__sbcC
ERR1913236.22157__1.22157	28117__B0MT86__BHV66_02450
ERR1913236.22167__1.22167	820__A7V9F9__B5G17_14640
ERR1913236.22345__1.22345	371601__D0TUU4__BXY_31970
ERR1913236.22507__1.22507	823__A0A355XPA0__DXB14_05710
ERR1913236.22747__1.22747	40518__R5DYT8__mscS
ERR1913236.22777__1.22777	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913236.22859__1.22859	28117__B0MUR5__BHV66_03900
ERR1913236.22951__1.22951	214856__R5UN64__ERS852447_02669
ERR1913236.23030__1.23030	40518__R5DU38__DXD83_06770
ERR1913236.23193__1.23193	1262743__R5C054__BN727_01980
ERR1913236.23386__1.23386	1628085__A0A374VR48__C7386_10754
ERR1913236.23523__1.23523	1550024__A0A3B9WI73__ASJ35_03410
ERR1913236.23610__1.23610	881953__GeneID:10358971
ERR1913236.23618__1.23618	821__A0A396F9T7__M097_3427
ERR1913236.23624__1.23624	33039__D4M4L0__ERS852577_02891
ERR1913236.23680__1.23680	820__A0A174LJB2__HMPREF1072_04112
ERR1913236.23740__1.23740	166486__R6AY46__ROSINTL182_06128
ERR1913236.23938__1.23938	820__A0A1T4IYF4__mprA_1
ERR1913236.23878__1.23878	46228__V8BRK9__DXD17_11400
ERR1913236.24015__1.24015	84030__D4MS51__B5F06_01815
ERR1913236.24134__1.24134	40518__R5DLM5__RB5AMG_00422
ERR1913236.24139__1.24139	166486__D4L457__ROSINTL182_07087
ERR1913236.24528__1.24528	1263109__GCA_000438135.1_01683
ERR1913236.24597__1.24597	290052__A0A0V8QC42__ASU35_14215
ERR1913236.24857__1.24857	820__A0A174CK74__DXB48_07060
ERR1913236.24934__1.24934	820__A0A174QLF0__SAMN05444418_109151
ERR1913236.24883__1.24883	357276__B6W1J2__BACDOR_03380
ERR1913236.24956__1.24956	674529__A0A174I0V6__DXB21_05415
ERR1913236.24970__1.24970	649756__B0NWY5__DO83_02030
ERR1913236.25068__1.25068	820__A0A374Q854__HMPREF1073_03281
ERR1913236.25099__1.25099	820__A7V9F9__B5G17_14640
ERR1913236.25136__1.25136	820__A0A3E4WCC2__lptB_1
ERR1913236.25385__1.25385	410072__A0A174ND44__ERS852389_01731
ERR1913236.25499__1.25499	204516__U6RPN2__HMPREF1534_00368
ERR1913236.25551__1.25551	446660__GCA_003428235.1_01715
ERR1913236.25685__1.25685	410072__C0BC88__DXD67_11180
ERR1913236.25610__1.25610	310298__B3JFI7__BACCOP_00636
ERR1913236.25842__1.25842	820__R7E9Z4__DXC68_06065
ERR1913236.25945__1.25945	1262986__R6A878__BN492_00369
ERR1913236.26098__1.26098	823__A0A174XJM9__CEQ22_007230
ERR1913236.26148__1.26148	40518__R5DMZ0__DXD83_05610
ERR1913236.26159__1.26159	674529__A0A174VGI6__DXB21_24075
ERR1913236.26382__1.26382	371601__E5CE41__ERS852396_04351
ERR1913236.26392__1.26392	820__A0A3E5E0T0__ERS852554_00312
ERR1913236.26418__1.26418	820__A0A139K5A6__DXB48_12175
ERR1913236.26600__1.26600	28117__B0MT84__ALIPUT_00402
ERR1913236.26659__1.26659	820__A0A173W419__DXC68_17760
ERR1913236.26682__1.26682	214856__I3YMN6__Alfi_1938
ERR1913236.26652__1.26652	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913236.26757__1.26757	39491__A0A396FF17__EUR_31400
ERR1913236.26814__1.26814	410072__A0A174DFS8__ERS852574_01251
ERR1913236.26818__1.26818	626929__R5K4I0__B5F24_03615
ERR1913236.26839__1.26839	820__A0A139K4T0__ERS852510_03146
ERR1913236.26841__1.26841	338188__A0A173XK96__BACFIN_08439
ERR1913236.26944__1.26944	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913236.26997__1.26997	414970__GeneID:5204379
ERR1913236.27262__1.27262	338188__C9KT62__HMPREF1057_04108
ERR1913236.27314__1.27314	204516__U6R7W5__HMPREF1534_03766
ERR1913236.27405__1.27405	40518__A0A1C6H8C4__DXD93_02535
ERR1913236.27438__1.27438	28117__R7JJM9__ALIPUT_00662
ERR1913236.27449__1.27449	387090__S0F8B2__BACCOPRO_02129
ERR1913236.27457__1.27457	40518__R5DWQ2__DXD93_03810
ERR1913236.27565__1.27565	33039__A0A174YJ10__ERS852502_01829
ERR1913236.27623__1.27623	820__A0A374Q854__HMPREF1073_03281
ERR1913236.27702__1.27702	338188__K5CHU1__ERS852397_02431
ERR1913236.27979__1.27979	291644__I9TDL9__HMPREF1532_01624
ERR1913236.28068__1.28068	820__A0A173YYG4__evgS_3
ERR1913236.28326__1.28326	39491__A0A395ZG96__DXB69_15120
ERR1913236.28997__1.28997	1318__A0A359YHR5__HMPREF9626_0912
ERR1913236.29041__1.29041	40518__R5DLW4__thiN
ERR1913236.29191__1.29191	821__A0A0P0LNX8__ERS852509_03015
ERR1913236.29210__1.29210	820__A0A3E4IGA7__DXD40_07110
ERR1913236.29285__1.29285	820__A0A374MXK3__HMPREF1072_00166
ERR1913236.29286__1.29286	820__A0A173YYG4__evgS_3
ERR1913236.29261__1.29261	28117__B0MZ50__ALIPUT_02424
ERR1913236.29242__1.29242	39491__A0A173RA59__EUR_24800
ERR1913236.29314__1.29314	204516__U6RAM4__HMPREF1534_03439
ERR1913236.29342__1.29342	820__A7V470__HMPREF1072_02076
ERR1913236.29450__1.29450	384638__B7AVU0__BACPEC_02840
ERR1913236.29597__1.29597	33039__A0A3D0EY88__ERS852390_03120
ERR1913236.29502__1.29502	1735__B7CCF3__EUBIFOR_01880
ERR1913236.29510__1.29510	338188__R6RT73__HMPREF1057_02828
ERR1913236.29652__1.29652	820__A0A374QGD2__ERS852421_02382
ERR1913236.29658__1.29658	394340__hgdC
ERR1913236.29730__1.29730	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913236.29799__1.29799	881953__GeneID:10358920
ERR1913236.29826__1.29826	820__A0A174Q0F0__DXB48_08080
ERR1913236.29946__1.29946	39491__A0A395ZHW3__ERS852417_01359
ERR1913236.29974__1.29974	28117__R7JIJ8__BHV66_01635
ERR1913236.30002__1.30002	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913236.30207__1.30207	40518__R5E1J7__RBL236_02062
ERR1913236.30219__1.30219	821__A0A0P0L8F8__ERS852509_03705
ERR1913236.30180__1.30180	39488__A0A285PQP4__DXD91_02025
ERR1913236.30279__1.30279	28117__B0MY40__BHV66_05170
ERR1913236.30417__1.30417	387090__S0F7Y3__BACCOPRO_02028
ERR1913236.30551__1.30551	1780376__A0A143XSC4__BN3659_01663
ERR1913236.30564__1.30564	1262948__R7EGX1__BN671_01225
ERR1913236.30587__1.30587	39491__A0A396FEW6__T1815_18721
ERR1913236.30724__1.30724	47678__R5U9Z0__HMPREF1061_03210
ERR1913236.30622__1.30622	35833__E5YB06__HMPREF0179_03378
ERR1913236.30820__1.30820	39491__D4JMW8__ERS852497_01971
ERR1913236.30978__1.30978	214856__A0A173ZQB9__ERS852559_00006
ERR1913236.31037__1.31037	39491__D4JMW8__ERS852497_01971
ERR1913236.31131__1.31131	214856__A0A173ZPR4__ERS852447_00928
ERR1913236.31085__1.31085	39491__A0A173QT73__alaS_2
ERR1913236.31429__1.31429	166486__D4KMI6__ERS852572_01515
ERR1913236.31409__1.31409	1150298__A0A174PA84__sigM
ERR1913236.31627__1.31627	820__A0A1T4IYF4__mprA_1
ERR1913236.31958__1.31958	552398__F4XEV0__HMPREF0866_02122
ERR1913236.32013__1.32013	853__A0A2A7B1Y7__C7K05_11930
ERR1913236.32025__1.32025	820__A0A174QT76__B5G17_18060
ERR1913236.32128__1.32128	39491__A0A395UWZ1__DXC13_02175
ERR1913236.32205__1.32205	1263044__GCA_000433375.1_01861
ERR1913236.32374__1.32374	1735__B7CC21__EUBIFOR_01746
ERR1913236.32743__1.32743	820__A0A173YYG4__evgS_3
ERR1913236.32639__1.32639	2108523__A0A2P2FAD2__LAWASA_3010
ERR1913236.33164__1.33164	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913236.33284__1.33284	166486__C7GAX1__ERS852572_03188
ERR1913236.33232__1.33232	820__A7VAS1__HMPREF2141_03259
ERR1913236.33326__1.33326	39491__A0A395UZ89__DXB72_12805
ERR1913236.33648__1.33648	360807__A0A1Q6T8A0__mepA_13
ERR1913236.33837__1.33837	246787__A0A3D6AQP8__AA416_04153
ERR1913236.33917__1.33917	1262746__R5SS80__BN750_02125
ERR1913236.33949__1.33949	47678__A5ZG68__ERS852494_02968
ERR1913236.34205__1.34205	292800__A0A174VWN6__HMPREF9460_03556
ERR1913236.34340__1.34340	820__A0A174CK74__DXB48_07060
ERR1913236.34390__1.34390	821__A0A174T998__DXB82_10860
ERR1913236.34391__1.34391	821__A0A0P0M2J4__DXD46_10295
ERR1913236.34636__1.34636	820__A0A3E4FWC8__DXC91_14635
ERR1913236.34846__1.34846	216816__Q8G585__APC1473_0508
ERR1913236.34975__1.34975	39491__A0A395UZ82__EUR_31520
ERR1913236.34993__1.34993	344022__GeneID:3837332
ERR1913236.35016__1.35016	40518__R5DXI4__DXD86_07420
ERR1913236.35043__1.35043	214856__R6Y7P0__ERS852447_00307
ERR1913236.35063__1.35063	820__A0A396EUU8__luxQ_3
ERR1913236.35091__1.35091	820__A0A3E4IBC1__M094_0628
ERR1913236.35173__1.35173	820__A0A3E4W6P0__gmhA
ERR1913236.35106__1.35106	818__A0A396EA53__ERS852557_04332
ERR1913236.35308__1.35308	820__A7V8C2__ERS852554_01338
ERR1913236.35460__1.35460	166486__D4KVI9__comEA
ERR1913236.35528__1.35528	820__A0A396EUU8__luxQ_3
ERR1913236.35634__1.35634	246787__A0A3D6AU53__AA416_01665
ERR1913236.35713__1.35713	39485__C4Z208__ywiB
ERR1913236.35941__1.35941	39491__D4JMW8__ERS852497_01971
ERR1913236.36100__1.36100	821__R7P1Q7__M099_2990
ERR1913236.36135__1.36135	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913236.36146__1.36146	214856__R6XUN2__rcsC_1
ERR1913236.36198__1.36198	166486__D4L457__ROSINTL182_07087
ERR1913236.36336__1.36336	28117__B0MTD2__ALIPUT_00428
ERR1913236.36518__1.36518	881953__GeneID:10358906
ERR1913236.36631__1.36631	151536__GeneID:920321
ERR1913236.36632__1.36632	204516__U6RFV1__HMPREF1534_02560
ERR1913236.36713__1.36713	40518__R5DUU0__DXD93_03985
ERR1913236.36754__1.36754	1150298__A0A174QZ74__ERS852406_01102
ERR1913236.36755__1.36755	40518__R5DLM5__RB5AMG_00422
ERR1913236.36923__1.36923	28117__B0MTH2__ALIPUT_00061
ERR1913236.37057__1.37057	166486__D4L457__ROSINTL182_07087
ERR1913236.37140__1.37140	214856__R6Y9P5__ERS852559_01811
ERR1913236.37500__1.37500	46228__V8C4T8__RUMLAC_02058
ERR1913236.37571__1.37571	39491__A0A396FBR6__DXC13_08575
ERR1913236.37654__1.37654	357276__I9QBT7__BSEG_03340
ERR1913236.37659__1.37659	823__A0A395YX30__M090_4590
ERR1913236.37660__1.37660	823__A0A355XF06__B5F32_11480
ERR1913236.37666__1.37666	818__A0A174VV39__BT_3492
ERR1913236.37808__1.37808	166486__D4KYC3__ROSINTL182_05485
ERR1913236.37826__1.37826	820__A0A139K1Y6__DXB48_02610
ERR1913236.37901__1.37901	823__A0A174PAQ4__ERS852429_04218
ERR1913236.37998__1.37998	1735__B7C9S1__EUBIFOR_00931
ERR1913236.38008__1.38008	39491__A0A395UYA6__EUBREC_0408
ERR1913236.38065__1.38065	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913236.38213__1.38213	39488__C0EWC5__EHLA_2843
ERR1913236.38247__1.38247	1263044__GCA_000433375.1_03640
ERR1913236.38392__1.38392	820__A0A139K4W5__HMPREF2141_02394
ERR1913236.38407__1.38407	1150298__A0A174QS63__ERS852406_03087
ERR1913236.38511__1.38511	338188__A0A173XHS4__BACFIN_08438
ERR1913236.38565__1.38565	40518__R5DZB3__RB5AMG_01719
ERR1913236.38775__1.38775	357276__A0A076IRV2__BACDOR_02822
ERR1913236.38894__1.38894	820__A0A174Q0F0__DXB48_08080
ERR1913236.38823__1.38823	214856__I3YPI7__pepD_1
ERR1913236.39030__1.39030	40518__R5DYU1__DXD86_01160
ERR1913236.39126__1.39126	820__A0A173YYG4__evgS_3
ERR1913236.39267__1.39267	166486__D4KY84__ERS852572_02606
ERR1913236.39481__1.39481	39491__A0A174EQV2__DXB69_10230
ERR1913236.39669__1.39669	823__A0A173RD26__B5F32_03910
ERR1913236.39879__1.39879	820__A0A174QLF0__SAMN05444418_109151
ERR1913236.40251__1.40251	28117__B0MU57__ALIPUT_00175
ERR1913236.40294__1.40294	39486__B0G1X6__DXD50_11780
ERR1913236.40372__1.40372	820__A0A174FUG6__DXC91_11265
ERR1913236.40469__1.40469	40518__R5E4E8__phoR_4
