ERR1913287.193__1.193	39492__D4JUJ6__ssuB_2
ERR1913287.10177__1.10177	357276__A0A076IN30__DXD47_09350
ERR1913287.10216__1.10216	39491__A0A173QT73__alaS_2
ERR1913287.10461__1.10461	649756__L1PXG6__CL2_21620
ERR1913287.10540__1.10540	165179__A0A3E5DZ45__DXC61_02820
ERR1913287.10781__1.10781	823__A6LEF1__CF162_12695
ERR1913287.10783__1.10783	1263000__R5EF60__BN466_01316
ERR1913287.11119__1.11119	39491__C4Z8Y4__ERS852417_00909
ERR1913287.11162__1.11162	165179__A0A3E5E6S6__DXB80_07575
ERR1913287.11163__1.11163	165179__A0A3E5E2S3__DXB80_03455
ERR1913287.11175__1.11175	239935__R7DVW2__CXU02_03915
ERR1913287.11242__1.11242	165179__A0A3E5EDP4__DXB80_05800
ERR1913287.11263__1.11263	39485__A0A175A871__EUBELI_00414
ERR1913287.11269__1.11269	33043__A0A173YEP6__ERS852575_00888
ERR1913287.11285__1.11285	165179__A0A229I2W6__PREVCOP_04332
ERR1913287.11289__1.11289	853__A0A173XRA8__CGS56_09290
ERR1913287.11368__1.11368	165179__D1PGJ6__DXC61_07300
ERR1913287.11373__1.11373	1160721__W0U4W5__BHW50_05260
ERR1913287.11546__1.11546	28117__B0MXX2__ALIPUT_01984
ERR1913287.11857__1.11857	360807__A0A0M6WXW8__ERS852392_01614
ERR1913287.11968__1.11968	239935__A0A139TPU7__CXT91_06575
ERR1913287.12179__1.12179	1262948__R7EDA7__BN671_00036
ERR1913287.12222__1.12222	39485__A0A174Z8V5__fliU_2
ERR1913287.12275__1.12275	2293125__A0A374CA90__DW917_07695
ERR1913287.12356__1.12356	33043__A0A173YYE7__ERS852445_00670
ERR1913287.12362__1.12362	2293125__A0A374BY09__DW917_11855
ERR1913287.12575__1.12575	357276__I9QBT7__BSEG_03340
ERR1913287.12620__1.12620	820__A0A3E5BMG9__DXD40_05130
ERR1913287.12630__1.12630	165179__A0A174WGF6__PREVCOP_04095
ERR1913287.12671__1.12671	28118__R6F4F9__Odosp_1027
ERR1913287.12803__1.12803	165179__D1PE06__DXC61_05975
ERR1913287.12806__1.12806	165179__A0A229I740__DXC61_10430
ERR1913287.13062__1.13062	33043__A0A173WTV6__ERS852400_02153
ERR1913287.13210__1.13210	239935__A0A2N8IMC3__CXT96_03840
ERR1913287.13312__1.13312	39491__A0A395V464__EUBREC_1509
ERR1913287.13400__1.13400	823__D0TGE9__ERS852429_03294
ERR1913287.13464__1.13464	165179__A0A3E5AF88__DXC61_14960
ERR1913287.13638__1.13638	446660__GCA_003428235.1_00291
ERR1913287.13795__1.13795	33043__A0A174B7D6__ERS852400_01331
ERR1913287.13746__1.13746	165179__D1PGD2__DXC61_10875
ERR1913287.13754__1.13754	28118__F9Z3U6__B5F99_03365
ERR1913287.14162__1.14162	360807__A0A396AF38__RIL183_00781
ERR1913287.14180__1.14180	1262963__R6C7W6__BN718_00713
ERR1913287.14266__1.14266	39492__D4JQS6__ykoD
ERR1913287.14298__1.14298	165179__A0A174NK27__PREVCOP_06433
ERR1913287.14335__1.14335	165179__D1PGU8__PREVCOP_06463
ERR1913287.14321__1.14321	165179__A0A3E5E8N5__DXC61_13460
ERR1913287.14454__1.14454	1262803__R6NPX5__BN649_00999
ERR1913287.14533__1.14533	165179__A0A174XZU8__DXB80_12180
ERR1913287.14554__1.14554	1262803__R6NLI1__BN649_00352
ERR1913287.14560__1.14560	1262743__R5CB38__BN727_01708
ERR1913287.14563__1.14563	165179__A0A3E5E2C8__folA
ERR1913287.14648__1.14648	39492__D4JVG1__ERS852540_00951
ERR1913287.14833__1.14833	28052__R7NB18__tcrY_2
ERR1913287.14857__1.14857	39491__A0A3E4E7C5__DXB69_03255
ERR1913287.15016__1.15016	39491__C4ZCV7__ERE_23110
ERR1913287.15134__1.15134	2293125__A0A374C0K0__DW917_10610
ERR1913287.15213__1.15213	165179__R6B8D8__DXC61_09245
ERR1913287.15376__1.15376	1150298__A0A174TDE7__ERS852535_00299
ERR1913287.15834__1.15834	47678__R5UER2__CGC64_00710
ERR1913287.15880__1.15880	626940__E8LFN2__DCQ00_04835
ERR1913287.16025__1.16025	1262911__R6GMZ7__BN557_01741
ERR1913287.16147__1.16147	165179__D1P9T6__PREVCOP_04016
ERR1913287.16113__1.16113	2293125__A0A374BY09__DW917_11855
ERR1913287.16245__1.16245	165179__A0A3E5E920__DXB80_11625
ERR1913287.16281__1.16281	39496__A5Z7X3__EUBVEN_01813
ERR1913287.16373__1.16373	626940__R6XYY7__DCQ00_03935
ERR1913287.16587__1.16587	357276__D1JY58__BACDOR_04277
ERR1913287.16753__1.16753	1262924__R7HUJ5__BN585_00830
ERR1913287.16766__1.16766	1262803__R6NYJ9__BN649_02043
ERR1913287.17059__1.17059	47678__R5U6J0__ERS852558_00310
ERR1913287.17093__1.17093	745368__A0A1T4WAW2__SAMN02745178_00328
ERR1913287.17264__1.17264	39491__A0A396FGM9__fliU_1
ERR1913287.17291__1.17291	360807__A0A1Q6TAV1__ROSEINA2194_00431
ERR1913287.17414__1.17414	239935__A0A2N8I3G2__CXT89_00720
ERR1913287.17562__1.17562	165179__D1PE06__DXC61_05975
ERR1913287.17567__1.17567	165179__A0A3E4SB80__DXC61_12880
ERR1913287.17593__1.17593	216816__D6ZSV1__CE169_00930
ERR1913287.17691__1.17691	1263011__R6DQB4__BN553_01080
ERR1913287.17782__1.17782	39488__A0A174GS53__dnaC_1
ERR1913287.17889__1.17889	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913287.17958__1.17958	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913287.18255__1.18255	2293125__A0A374C7P4__DW917_07690
ERR1913287.18267__1.18267	1262924__R7HRW9__BN585_00665
ERR1913287.18351__1.18351	39488__A0A285PT25__EUBHAL_01908
ERR1913287.18624__1.18624	1262924__R7HRW9__BN585_00665
ERR1913287.18653__1.18653	28117__B0MTI4__ALIPUT_00084
ERR1913287.18657__1.18657	39491__D6E118__DXB69_05765
ERR1913287.18670__1.18670	239935__A0A2N8HEH9__CXU07_11710
ERR1913287.18752__1.18752	1262803__R6NCT2__BN649_01225
ERR1913287.18770__1.18770	165179__A0A229I9X5__CFT61_01205
ERR1913287.18942__1.18942	853__A0A173T751__C4N24_10280
ERR1913287.18946__1.18946	1262743__R5C054__BN727_01980
ERR1913287.19043__1.19043	165179__A0A174SA26__PREVCOP_05758
ERR1913287.19081__1.19081	28118__F9Z408__NCTC10826_01194
ERR1913287.19102__1.19102	165179__A0A174IHQ2__PREVCOP_05478
ERR1913287.19169__1.19169	33043__D5HHY4__luxQ_1
ERR1913287.19325__1.19325	1262911__R6H1B2__BN557_00840
ERR1913287.19281__1.19281	165179__A0A3E5E4T9__DXB80_08030
ERR1913287.19433__1.19433	165179__A0A174WRI9__DXB80_04870
ERR1913287.19724__1.19724	165179__A0A3E5EB26__CFT61_02800
ERR1913287.19899__1.19899	28118__F9ZCN9__DHW44_07820
ERR1913287.20000__1.20000	360807__A0A173SE91__murR
ERR1913287.20040__1.20040	165179__D1PDG7__DXB80_11180
ERR1913287.20081__1.20081	165179__A0A229I6N7__DXC61_06720
ERR1913287.20223__1.20223	33043__A0A374K1H3__ykoD_2
ERR1913287.20366__1.20366	1796652__ltrA_3
ERR1913287.20383__1.20383	52226__A0A173WMU8__MITSMUL_04982
ERR1913287.20468__1.20468	1262924__R7HRF6__BN585_01735
ERR1913287.20845__1.20845	165179__A0A174W369__PREVCOP_04548
ERR1913287.20976__1.20976	39491__A0A395UXH0__EUBREC_0021
ERR1913287.21028__1.21028	46503__K5ZAK9__NCTC13052_03308
ERR1913287.21134__1.21134	39491__A0A395ZHV7__ykvU
ERR1913287.21175__1.21175	239935__R7DVW2__CXU02_03915
ERR1913287.21253__1.21253	2293125__A0A374C7P4__DW917_07690
ERR1913287.21330__1.21330	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913287.21362__1.21362	165179__A0A3E4SID1__DXB80_01945
ERR1913287.21682__1.21682	165179__A0A229I1J2__DXB80_03950
ERR1913287.21832__1.21832	357276__A0A0K2HI42__ABI39_06975
ERR1913287.21990__1.21990	39491__C4Z9E9__T1815_12341
ERR1913287.22130__1.22130	165179__R6CNX7__DXB80_02200
ERR1913287.22256__1.22256	301302__A0A0M6WTB1__M72_11101
ERR1913287.22486__1.22486	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913287.22571__1.22571	40518__R5DVR2__RBL236_00303
ERR1913287.22769__1.22769	187979__A0A173Y1G6__ERS852385_00801
ERR1913287.22909__1.22909	328814__GCA_004558275.1_00998
ERR1913287.22968__1.22968	214856__A0A174FWM7__ERS852559_00590
ERR1913287.22923__1.22923	239935__A0A139TPU7__CXT91_06575
ERR1913287.22935__1.22935	165179__R6BQP4__DXC61_02015
ERR1913287.22937__1.22937	39492__D4JWD3__EUBSIR_00151
ERR1913287.23016__1.23016	33043__D5HGR0__rpfC_2
ERR1913287.23136__1.23136	239935__A0A2N8IUW6__Amuc_1525
ERR1913287.23208__1.23208	165179__D1PE06__DXC61_05975
ERR1913287.23223__1.23223	28052__A0A174YME0__acm_2
ERR1913287.23282__1.23282	28117__B0MTD2__ALIPUT_00428
ERR1913287.23314__1.23314	28117__B0MTI4__ALIPUT_00084
ERR1913287.23520__1.23520	165179__A0A3E5DX15__DXC61_00345
ERR1913287.23531__1.23531	165179__R6CNX7__DXB80_02200
ERR1913287.23554__1.23554	165179__A0A3E5E920__DXB80_11625
ERR1913287.23689__1.23689	39491__A0A395UVM9__DXB76_04540
ERR1913287.23701__1.23701	33043__A0A174CLG4__hemA
ERR1913287.23807__1.23807	84030__D4MQ19__B5F06_05065
ERR1913287.23871__1.23871	165179__A0A3E5ED28__PREVCOP_06655
ERR1913287.24135__1.24135	39492__D4JQS6__ykoD
ERR1913287.24159__1.24159	39485__A0A174YMC1__recN
ERR1913287.24430__1.24430	39491__A0A396FNY7__LD38_16155
ERR1913287.24451__1.24451	165179__A0A229I6N7__DXC61_06720
ERR1913287.24508__1.24508	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913287.24590__1.24590	1262911__R6HJT1__BN557_00291
ERR1913287.24702__1.24702	1262803__R6ND41__BN649_01257
ERR1913287.24760__1.24760	39491__A0A395ZHV7__ykvU
ERR1913287.24888__1.24888	1262803__R6NA26__BN649_01193
ERR1913287.25011__1.25011	28117__R7JIJ8__BHV66_01635
ERR1913287.25373__1.25373	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913287.25417__1.25417	239935__A0A2N8HQY4__CXT99_03170
ERR1913287.25548__1.25548	552398__F4XCQ4__HMPREF0866_01621
ERR1913287.25692__1.25692	1262911__R6H0U7__BN557_01104
ERR1913287.25746__1.25746	39492__D4JW10__pppA
ERR1913287.25840__1.25840	823__A0A355XJ56__DDY96_07685
ERR1913287.26055__1.26055	40518__R5DZM6__lytR_3
ERR1913287.26105__1.26105	39491__C4ZHS4__EUR_24420
ERR1913287.26310__1.26310	165179__A0A174UTZ7__DXC61_06705
ERR1913287.26409__1.26409	1262746__R5S6P3__BN750_01117
ERR1913287.26432__1.26432	649756__B0NZZ8__DO83_09740
ERR1913287.26492__1.26492	40518__R5DPA7__RBATCC27255_01319
ERR1913287.26672__1.26672	301302__R5UKE6__M72_05651
ERR1913287.26678__1.26678	1262803__R6PQZ2__BN649_00435
ERR1913287.26739__1.26739	165179__D1PAJ7__PREVCOP_04222
ERR1913287.26748__1.26748	853__A0A173XRA8__CGS56_09290
ERR1913287.26830__1.26830	1263000__R5EDV4__BN466_01097
ERR1913287.26833__1.26833	33043__A0A173S5P8__ERS852445_00566
ERR1913287.26880__1.26880	40518__R5DZE2__DXD86_07400
ERR1913287.26907__1.26907	357276__A0A076IRZ5__BACDOR_00630
ERR1913287.26973__1.26973	165179__A0A229I9X5__CFT61_01205
ERR1913287.27017__1.27017	1680__A0A3E4SB79__BAD_1517
ERR1913287.27111__1.27111	33043__A0A173ZXG0__ERS852400_00169
ERR1913287.27384__1.27384	165179__A0A3E5AG99__DXB80_04390
ERR1913287.27440__1.27440	1263030__R5CUH1__BN705_00716
ERR1913287.27459__1.27459	33043__D5HGR0__rpfC_2
ERR1913287.27570__1.27570	338188__C9KTQ6__BACFIN_05559
ERR1913287.27897__1.27897	626940__E8LDB3__prkC
ERR1913287.27925__1.27925	626940__E8LCL7__BN587_01653
ERR1913287.28123__1.28123	165179__D1PGU8__PREVCOP_06463
ERR1913287.28109__1.28109	39492__D4JQM9__EUBSIR_00669
ERR1913287.28182__1.28182	2293125__A0A374BSV3__DW917_13360
ERR1913287.28501__1.28501	33043__D5HHD5__ERS852575_00049
ERR1913287.28596__1.28596	33043__A8SPT5__yfiN_2
ERR1913287.28809__1.28809	28117__B0MXQ6__ALIPUT_01917
ERR1913287.28921__1.28921	165179__A0A174SA26__PREVCOP_05758
ERR1913287.29164__1.29164	39491__A0A395ZM93__DXD13_03490
ERR1913287.29243__1.29243	165179__D1PCL6__DXB80_13435
ERR1913287.29270__1.29270	165179__D1PE06__DXC61_05975
ERR1913287.29349__1.29349	626940__E8LBR4__BHW43_02255
ERR1913287.29384__1.29384	33043__A0A173ZDC4__malL_1
ERR1913287.29498__1.29498	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913287.29532__1.29532	28117__B0MTV3__BHV66_06405
ERR1913287.29617__1.29617	33043__D5HFA0__glfT2
ERR1913287.29676__1.29676	47678__R5U2B3__ERS852558_04029
ERR1913287.29684__1.29684	28117__B0MYI9__BHV66_05415
ERR1913287.29974__1.29974	239935__A0A2N8IRW0__A4V05_11620
ERR1913287.29997__1.29997	1262803__R6NU90__BN649_01506
ERR1913287.30027__1.30027	165179__D1PAJ7__PREVCOP_04222
ERR1913287.30030__1.30030	165179__A0A3E5E8N5__DXC61_13460
ERR1913287.30111__1.30111	820__A0A374Q8T2__DXB64_16190
ERR1913287.30198__1.30198	165179__D1PE06__DXC61_05975
ERR1913287.30370__1.30370	360807__A0A396AF38__RIL183_00781
ERR1913287.30387__1.30387	39491__A0A396FNY7__LD38_16155
ERR1913287.30388__1.30388	39491__C4ZAT2__ERE_28440
ERR1913287.30432__1.30432	1150298__R7JUS2__ERS852498_02193
ERR1913287.30534__1.30534	1150298__A0A174HXS4__ERS852498_00503
ERR1913287.30750__1.30750	39492__R6RT40__prkC_3
ERR1913287.30797__1.30797	487174__K0WUJ8__DIT83_08050
ERR1913287.30804__1.30804	1262924__R7HUJ5__BN585_00830
ERR1913287.30877__1.30877	360807__A0A1Q6T3E4__ROSEINA2194_03999
ERR1913287.31016__1.31016	165179__D1PEW8__DXB80_13775
ERR1913287.31122__1.31122	239935__A0A2N8I390__CXU16_10675
ERR1913287.31138__1.31138	239935__A0A2N8HZW2__A4V05_11120
ERR1913287.31444__1.31444	33043__A0A173YEP6__ERS852575_00888
ERR1913287.31557__1.31557	33043__A0A173YUV6__ERS852386_00507
ERR1913287.31796__1.31796	165179__D1P9T6__PREVCOP_04016
ERR1913287.32127__1.32127	239935__A0A2N8I791__CXT99_09415
ERR1913287.32184__1.32184	33043__D5HF43__ERS852445_00477
ERR1913287.32447__1.32447	1262924__R7HTA4__BN585_00391
ERR1913287.32490__1.32490	33043__A0A374K1H3__ykoD_2
ERR1913287.32498__1.32498	28118__F9ZAB2__SAMEA44545918_01079
ERR1913287.32584__1.32584	649756__L1Q4N9__CL2_26970
ERR1913287.32666__1.32666	46503__R6X3F9__DCY29_09585
ERR1913287.32675__1.32675	39492__D4JWD3__EUBSIR_00151
ERR1913287.32795__1.32795	39491__A0A0M6WWT1__dus_2
ERR1913287.32801__1.32801	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913287.32972__1.32972	39492__B0MM84__lgt
ERR1913287.32987__1.32987	33043__D5HIK4__ERS852400_01112
ERR1913287.33006__1.33006	165179__R6PU83__CFT61_14275
ERR1913287.33288__1.33288	1262803__R6P0X6__BN649_00395
ERR1913287.33315__1.33315	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913287.33492__1.33492	28132__D9RV83__HMPREF0660_00835
ERR1913287.33528__1.33528	239935__A0A2N8IV82__CXT99_06735
ERR1913287.33583__1.33583	165179__D1PCT4__DXB80_09470
ERR1913287.33648__1.33648	39491__A0A395ZM93__DXD13_03490
ERR1913287.33751__1.33751	165179__A0A229I1J2__DXB80_03950
ERR1913287.33768__1.33768	1262743__R5C9L3__BN727_01384
ERR1913287.33955__1.33955	165179__A0A174SR12__DXB80_04410
ERR1913287.34008__1.34008	187979__A0A173XW42__yceD_3
ERR1913287.34039__1.34039	821__A0A395UNT8__DXD64_15275
ERR1913287.34159__1.34159	165179__A0A3E5E3D6__DXC61_05750
ERR1913287.34194__1.34194	39492__D4JWI6__EUBSIR_01073
ERR1913287.34210__1.34210	33043__D5HIS6__ERS852575_02019
ERR1913287.34212__1.34212	165179__A0A3E5E3D6__DXC61_05750
ERR1913287.34289__1.34289	1263011__R6DQD4__BN553_01090
ERR1913287.34378__1.34378	165179__A0A3E4SID1__DXB80_01945
ERR1913287.34728__1.34728	39491__C4ZHS4__EUR_24420
ERR1913287.34736__1.34736	33043__A0A173YLD4__ERS852575_00535
ERR1913287.34872__1.34872	165179__A0A3E5E4P9__DXB80_07930
ERR1913287.35024__1.35024	360807__A0A173VUT6__RIL183_10071
ERR1913287.35107__1.35107	40518__R5DYM0__DXD86_08165
ERR1913287.35132__1.35132	165179__A0A229I9X5__CFT61_01205
ERR1913287.35454__1.35454	46503__R6WWC9__PARMER_03215
ERR1913287.35577__1.35577	165179__A0A3E5EBV0__DXB80_01745
ERR1913287.35514__1.35514	853__A0A3E2U7E6__ERS852582_01640
ERR1913287.35626__1.35626	1263011__R6DXZ6__BN553_01033
ERR1913287.35757__1.35757	853__A0A2A7B1Y7__C7K05_11930
ERR1913287.35669__1.35669	39491__A0A396FSN2__EUBREC_0707
ERR1913287.35836__1.35836	821__A0A174RA14__M099_1655
ERR1913287.35894__1.35894	214856__A0A174ZEF7__mboIIM_1
ERR1913287.36012__1.36012	239935__R6JWJ7__CXT94_02580
ERR1913287.36068__1.36068	338188__R6RPM5__bglX_6
ERR1913287.36250__1.36250	818__A0A0P0F2P7__BT_1771
ERR1913287.36369__1.36369	328814__GCA_004558275.1_00075
ERR1913287.36786__1.36786	1263011__R6EJU0__BN553_01322
ERR1913287.36898__1.36898	28117__B0MXX2__ALIPUT_01984
ERR1913287.36903__1.36903	821__A0A173WG51__BVU_2549
ERR1913287.36988__1.36988	165179__A0A3E5AGH1__DXB80_05820
ERR1913287.37015__1.37015	165179__A0A229I9X5__CFT61_01205
ERR1913287.37099__1.37099	39485__C4Z028__ERS852492_00100
ERR1913287.37137__1.37137	33043__A8SQU6__ERS852386_01237
ERR1913287.37255__1.37255	39491__A0A396FRE7__EUR_27520
ERR1913287.37262__1.37262	39491__D4JM76__DXC13_02150
ERR1913287.37365__1.37365	46503__R6WTP2__HMPREF1078_03512
ERR1913287.37383__1.37383	39491__A0A395UWZ1__DXC13_02175
ERR1913287.37446__1.37446	165179__A0A3E5E920__DXB80_11625
ERR1913287.37500__1.37500	39491__A0A174K1W6__DXB99_15020
ERR1913287.37505__1.37505	165179__D1PEW8__DXB80_13775
ERR1913287.37553__1.37553	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913287.37763__1.37763	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913287.37736__1.37736	165179__R6CNX7__DXB80_02200
ERR1913287.37900__1.37900	165179__A0A3E5DRF6__DXC61_00200
ERR1913287.37905__1.37905	40518__R5DV58__htrA
ERR1913287.37941__1.37941	360807__A0A0M6WZU2__ROSEINA2194_04025
ERR1913287.37943__1.37943	39485__A0A174YWE7__EUBELI_00979
ERR1913287.38041__1.38041	33043__A0A174BZH8__ERS852575_02145
ERR1913287.38126__1.38126	165179__A0A3E5DZD8__DXB80_09150
ERR1913287.38251__1.38251	1965650__A0A1Y3VEP0__B5G16_04275
ERR1913287.38442__1.38442	39491__C4ZHS4__EUR_24420
ERR1913287.38476__1.38476	360807__A0A1Q6T7T2__artP
ERR1913287.38529__1.38529	165179__A0A229I1J2__DXB80_03950
ERR1913287.38883__1.38883	165179__D1PE06__DXC61_05975
ERR1913287.38932__1.38932	165179__A0A3E5A554__DXB80_13805
ERR1913287.39167__1.39167	360807__C0FN02__ERS852392_01841
ERR1913287.39239__1.39239	166486__D4KZ24__ROSINTL182_05766
ERR1913287.39312__1.39312	301302__R5UQW7__ERS852420_02102
ERR1913287.39573__1.39573	187979__A0A173XSR0__ERS852385_00724
ERR1913287.39652__1.39652	47678__A5ZEP4__DXB67_14045
ERR1913287.39605__1.39605	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913287.39606__1.39606	28026__C0BV24__DXC75_08705
ERR1913287.39750__1.39750	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913287.39813__1.39813	853__A0A2A7B9I6__DW855_13690
ERR1913287.39915__1.39915	165179__D1PHV2__PREVCOP_06822
ERR1913287.40236__1.40236	239935__A0A2N8HPS5__Amuc_0950
ERR1913287.40284__1.40284	1263044__GCA_000433375.1_03387
ERR1913287.40500__1.40500	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913287.40492__1.40492	33043__A0A173ZL29__ERS852386_01345
ERR1913287.40563__1.40563	853__A0A2A7B1Y7__C7K05_11930
ERR1913287.40807__1.40807	165179__A0A3E5AGH1__DXB80_05820
ERR1913287.41013__1.41013	410072__A0A173S248__ERS852525_02992
ERR1913287.41025__1.41025	28117__B0MVL5__BHV66_01660
ERR1913287.41063__1.41063	28117__B0MWC6__BHV66_00965
ERR1913287.41235__1.41235	165179__A0A3E5DZA5__DXB80_12550
ERR1913287.41246__1.41246	1160721__W0U2W0__BHW50_02075
ERR1913287.41273__1.41273	418240__A0A174VMW5__ERS852478_01082
ERR1913287.41460__1.41460	823__A0A395YSW8__CF162_05645
ERR1913287.41579__1.41579	28117__B0MXW9__ALIPUT_01981
ERR1913287.41595__1.41595	28117__R7JH62__BHV66_05735
ERR1913287.41739__1.41739	823__A0A395YZG9__M092_4358
