ERR1913225.225__1.225	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913225.9207__1.9207	1235835__R9LCU2__C814_02677
ERR1913225.9495__1.9495	1263107__GCA_000436995.1_00214
ERR1913225.9517__1.9517	820__A0A1T4IYF4__mprA_1
ERR1913225.9600__1.9600	384638__B7AUF8__BACPEC_02356
ERR1913225.9716__1.9716	820__A0A174LJB2__HMPREF1072_04112
ERR1913225.9780__1.9780	165179__A0A229I1J2__DXB80_03950
ERR1913225.10031__1.10031	820__A0A3E4W9D9__B5G17_12400
ERR1913225.10046__1.10046	165179__A0A174XZU8__DXB80_12180
ERR1913225.10276__1.10276	1262988__R7N4A0__BN816_02360
ERR1913225.10286__1.10286	1262889__R7H8I0__BN634_00208
ERR1913225.10336__1.10336	218538__C9LNQ3__GCWU000321_01176
ERR1913225.10437__1.10437	1501391__GCA_000786575.1_00149
ERR1913225.10510__1.10510	2293125__A0A374CI55__DW917_03455
ERR1913225.10637__1.10637	39485__C4Z6K2__ERS852490_00407
ERR1913225.10704__1.10704	1262942__R7QZ34__BN520_02027
ERR1913225.10841__1.10841	46228__V8BL81__DXD17_11825
ERR1913225.10908__1.10908	820__A0A174DZ97__SAMN05444418_101240
ERR1913225.11096__1.11096	820__A0A078S4C2__ERS417307_00828
ERR1913225.11053__1.11053	853__A0A174BA00__DW905_01145
ERR1913225.11064__1.11064	39492__D4JX87__EUBSIR_00361
ERR1913225.11229__1.11229	1262911__R6H212__BN557_01031
ERR1913225.11430__1.11430	1262761__R6QMI9__BN606_00798
ERR1913225.11529__1.11529	820__A0A174R952__DXB48_02570
ERR1913225.11716__1.11716	2293125__A0A374BUM7__DW917_12980
ERR1913225.11720__1.11720	40518__R5E0G0__RBATCC27255_01787
ERR1913225.11921__1.11921	40518__R5DYM0__DXD86_08165
ERR1913225.12072__1.12072	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913225.12130__1.12130	1262761__R6RXA7__BN606_01380
ERR1913225.12163__1.12163	394340__group_3267
ERR1913225.12211__1.12211	820__A0A173YYG4__evgS_3
ERR1913225.12285__1.12285	820__A0A174CG08__DXB62_13215
ERR1913225.12383__1.12383	246787__R6KM92__AA416_01456
ERR1913225.12995__1.12995	88431__A0A173VJL7__ERS852526_01348
ERR1913225.13045__1.13045	2293125__A0A374BRB6__DW917_13815
ERR1913225.13225__1.13225	2293125__A0A374BQ34__DW917_14250
ERR1913225.13308__1.13308	1262761__R6QR25__BN606_01386
ERR1913225.13361__1.13361	823__A0A395YZG9__M092_4358
ERR1913225.13805__1.13805	820__A0A174F0C1__nreB
ERR1913225.14092__1.14092	165179__D1PGU8__PREVCOP_06463
ERR1913225.14154__1.14154	1501391__GCA_000786575.1_00109
ERR1913225.14244__1.14244	562__P23837__phoQ
ERR1913225.14255__1.14255	39485__C4Z0I4__ERS852492_00258
ERR1913225.14270__1.14270	39485__C4Z0G6__spoIVB
ERR1913225.14584__1.14584	165179__A0A174WGF6__PREVCOP_04095
ERR1913225.14716__1.14716	2293125__A0A374BSW4__DW917_13420
ERR1913225.14824__1.14824	39485__C4Z1Y9__EUBELI_00143
ERR1913225.15187__1.15187	820__A7V8C2__ERS852554_01338
ERR1913225.15376__1.15376	820__A0A396EWL3__ERS417307_03868
ERR1913225.15407__1.15407	384638__B7ASX8__BACPEC_02186
ERR1913225.15803__1.15803	2293125__A0A374CC93__DW917_06625
ERR1913225.16065__1.16065	384638__B7AP91__BACPEC_00495
ERR1913225.16124__1.16124	1160721__R6T344__RBI_I00565
ERR1913225.16192__1.16192	1262911__R6GKS1__BN557_00184
ERR1913225.16354__1.16354	218538__C9LPE5__GCWU000321_01424
ERR1913225.16428__1.16428	1262911__R6GZW9__BN557_00833
ERR1913225.16445__1.16445	820__A0A3E4VXP2__yesR
ERR1913225.16450__1.16450	2293125__A0A374BVX3__DW917_12740
ERR1913225.16651__1.16651	1262992__R5CXM7__BN795_01016
ERR1913225.16773__1.16773	820__A0A3E4VZY4__ERS852554_01211
ERR1913225.17007__1.17007	821__U6RDC2__DXD46_15675
ERR1913225.17110__1.17110	820__A0A1T4IY71__HMPREF2141_02402
ERR1913225.17212__1.17212	2293125__A0A374CFU2__DW917_03475
ERR1913225.17284__1.17284	1150298__A0A174EBT8__ERS852406_01739
ERR1913225.17712__1.17712	357276__B6VYT9__HMPREF1063_05030
ERR1913225.17646__1.17646	2293125__A0A374CII0__DW917_03470
ERR1913225.17858__1.17858	2293125__A0A374C4I0__DW917_08630
ERR1913225.17906__1.17906	820__A0A374Q4X1__HMPREF2141_02370
ERR1913225.18046__1.18046	1550024__A0A0D8J084__TQ39_06930
ERR1913225.18136__1.18136	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913225.18182__1.18182	820__A0A139K5A6__DXB48_12175
ERR1913225.18258__1.18258	1262783__R6CWS8__BN558_01039
ERR1913225.18357__1.18357	820__A0A174DZ97__SAMN05444418_101240
ERR1913225.18383__1.18383	853__A0A3E2U7E6__ERS852582_01640
ERR1913225.18425__1.18425	1501392__A0A0B2JJG4__PU94_02575
ERR1913225.18472__1.18472	1262743__R5C054__BN727_01980
ERR1913225.18754__1.18754	28116__A0A078Q626__HMPREF1070_02735
ERR1913225.18938__1.18938	2293125__A0A374BSW4__DW917_13420
ERR1913225.18940__1.18940	820__R7E9Z4__DXC68_06065
ERR1913225.19302__1.19302	821__A0A0P0LJ37__DXB82_14270
ERR1913225.19427__1.19427	1262761__R6QZS1__BN606_01236
ERR1913225.19435__1.19435	2293125__A0A374BVX3__DW917_12740
ERR1913225.19560__1.19560	88431__A0A174MAX1__ERS852423_01871
ERR1913225.19807__1.19807	1262889__R7HCV1__BN634_01227
ERR1913225.20022__1.20022	821__A0A3E4HP25__SAMN04487923_102450
ERR1913225.19978__1.19978	28118__F9Z6D0__DHW44_12795
ERR1913225.20113__1.20113	2293125__A0A374CFZ2__DW917_03445
ERR1913225.20141__1.20141	2293125__A0A374C7Q4__DW917_07745
ERR1913225.20253__1.20253	1262761__R6R3L8__BN606_01039
ERR1913225.20301__1.20301	33043__A8SPT5__yfiN_2
ERR1913225.20466__1.20466	357276__B6W1J2__BACDOR_03380
ERR1913225.20549__1.20549	820__A0A3E4G826__C801_01612
ERR1913225.20682__1.20682	39485__A0A174Z9M2__yhbU_1
ERR1913225.20710__1.20710	820__A0A3E4VZS7__DXC07_14435
ERR1913225.20915__1.20915	2293125__A0A374CFT0__DW917_03440
ERR1913225.21490__1.21490	40520__A0A174N7Q7__lutR_2
ERR1913225.21589__1.21589	218538__C9LL79__GCWU000321_00015
ERR1913225.21903__1.21903	1262992__R5CXM7__BN795_01016
ERR1913225.21908__1.21908	218538__C9LL79__GCWU000321_00015
ERR1913225.22029__1.22029	2293125__A0A374C955__DW917_08135
ERR1913225.22062__1.22062	1160721__R6THG6__RBI_I00012
ERR1913225.22130__1.22130	820__A0A173WZS4__DXD90_10250
ERR1913225.22267__1.22267	1160721__W0U8M9__RBI_II00386
ERR1913225.22359__1.22359	2293125__A0A374CII6__DW917_03460
ERR1913225.22374__1.22374	1262911__R6GT76__BN557_01150
ERR1913225.22738__1.22738	487174__K0X694__DIT83_09060
ERR1913225.22928__1.22928	1262911__R6H0U7__BN557_01104
ERR1913225.23096__1.23096	1262911__R6H072__BN557_00615
ERR1913225.23107__1.23107	820__A0A139JRS5__HMPREF1073_04025
ERR1913225.23167__1.23167	165179__A0A174SA26__PREVCOP_05758
ERR1913225.23178__1.23178	820__A0A174A6K0__M093_0079
ERR1913225.23222__1.23222	1262889__R7HAY6__BN634_02225
ERR1913225.23251__1.23251	28116__A7M018__M089_5540
ERR1913225.23301__1.23301	820__A0A139JY23__B5G17_06330
ERR1913225.23339__1.23339	301301__A0A395VAL3__mcp2_2
ERR1913225.23391__1.23391	853__A0A173T8T3__DW882_06555
ERR1913225.23591__1.23591	1796613__A0A1C7H6N8__ADH74_01350
ERR1913225.23592__1.23592	39488__A0A374NJ86__mltG
ERR1913225.23769__1.23769	745368__A0A1T4Y437__SAMN02745178_02934
ERR1913225.23821__1.23821	1262988__R7N3R7__BN816_01427
ERR1913225.23875__1.23875	817__D1JR15__M117_0303
ERR1913225.24123__1.24123	165179__A0A229I9X5__CFT61_01205
ERR1913225.24534__1.24534	853__A0A3E2U7E6__ERS852582_01640
ERR1913225.24572__1.24572	1262945__R6YZV2__BN600_00509
ERR1913225.24746__1.24746	487174__K0X4Y9__DDY40_09115
ERR1913225.24855__1.24855	1308__V8LZ20__amtB
ERR1913225.25009__1.25009	2293125__A0A374BUM7__DW917_12980
ERR1913225.25021__1.25021	2293125__A0A374BUM7__DW917_12980
ERR1913225.25130__1.25130	820__A0A174FUF0__HMPREF1073_03308
ERR1913225.25165__1.25165	1262761__R6QU88__BN606_01983
ERR1913225.25377__1.25377	820__A0A173W419__DXC68_17760
ERR1913225.25359__1.25359	823__A0A173VS36__M091_4727
ERR1913225.25608__1.25608	1262988__R7N4U5__BN816_00495
ERR1913225.25625__1.25625	46228__V8CE73__DXD17_11635
ERR1913225.25676__1.25676	853__A0A3E2U7E6__ERS852582_01640
ERR1913225.25755__1.25755	239935__A0A139TLF5__CXU18_06685
ERR1913225.25989__1.25989	1262889__R7H7F9__BN634_02079
ERR1913225.26030__1.26030	820__A0A139K8N1__ERS852554_00951
ERR1913225.25969__1.25969	820__A0A1T4IY71__HMPREF2141_02402
ERR1913225.26051__1.26051	410072__C0BBL7__ERS852389_00531
ERR1913225.26105__1.26105	2293125__A0A374CFT0__DW917_03440
ERR1913225.26262__1.26262	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913225.26442__1.26442	47678__A5ZHJ2__DXB67_12405
ERR1913225.26458__1.26458	39485__C4Z058__ERS852492_00130
ERR1913225.26509__1.26509	1262761__R6RUC6__BN606_00092
ERR1913225.26563__1.26563	239935__A0A2N8HHY4__DEF40_10850
ERR1913225.27141__1.27141	418240__C6JH13__ERS852478_02750
ERR1913225.27157__1.27157	410072__A0A174J5N8__sbcC
ERR1913225.27229__1.27229	301301__A0A395V683__RHOM_00495
ERR1913225.27237__1.27237	820__A0A173YYG4__evgS_3
ERR1913225.27397__1.27397	40518__R5DLM5__RB5AMG_00422
ERR1913225.27548__1.27548	47678__R5UU25__DXB67_16190
ERR1913225.27647__1.27647	39488__C0F0K5__DXD91_02265
ERR1913225.27680__1.27680	40520__A5ZSF0__DXC87_15965
ERR1913225.28039__1.28039	1262761__R6R4X3__BN606_01996
ERR1913225.28195__1.28195	2293125__A0A374BSW4__DW917_13420
ERR1913225.28239__1.28239	458033__GCA_001482755.1_02203
ERR1913225.28360__1.28360	1501391__GCA_000786575.1_00058
ERR1913225.28478__1.28478	214856__A0A174G9T6__ERS852447_02535
ERR1913225.28484__1.28484	2293125__A0A374CMK5__DW917_00330
ERR1913225.28529__1.28529	2293125__A0A374BZ50__DW917_11090
ERR1913225.28830__1.28830	823__D0T9Q9__M095_2648
ERR1913225.28832__1.28832	820__A0A139K0J1__HMPREF2141_03205
ERR1913225.29190__1.29190	165179__D1PAR0__DXB80_01190
ERR1913225.29221__1.29221	165179__A0A229I9X5__CFT61_01205
ERR1913225.29332__1.29332	1150298__R7JTX5__ERS852535_01291
ERR1913225.29446__1.29446	1262944__R7IVA1__BN596_00337
ERR1913225.29429__1.29429	1262911__R6GS52__BN557_00834
ERR1913225.29727__1.29727	1262942__R7R1C2__BN520_00457
ERR1913225.30120__1.30120	2293125__A0A374BQ34__DW917_14250
ERR1913225.30247__1.30247	820__A0A174LJB2__HMPREF1072_04112
ERR1913225.30330__1.30330	165179__A0A3E5DY64__CFT61_10025
ERR1913225.30337__1.30337	360807__C0FP30__ROSEINA2194_00482
ERR1913225.30344__1.30344	820__A0A3E4XM43__DXC91_13960
ERR1913225.30348__1.30348	823__A0A355XKR1__DHP27_04035
ERR1913225.30484__1.30484	218538__C9LPF0__GCWU000321_01429
ERR1913225.31120__1.31120	1262736__R5Y5X7__BN496_00238
ERR1913225.31308__1.31308	1501391__GCA_000786575.1_00144
ERR1913225.31394__1.31394	1262911__R6GZX7__BN557_00838
ERR1913225.31414__1.31414	2293125__A0A374C4J1__DW917_09855
ERR1913225.31504__1.31504	39492__D4JWX2__accB
ERR1913225.31580__1.31580	165179__D1PGU8__PREVCOP_06463
ERR1913225.31593__1.31593	218538__C9LM16__csm1
ERR1913225.31656__1.31656	1262911__R6GMD8__BN557_01647
ERR1913225.31723__1.31723	2293125__A0A374BRB6__DW917_13815
ERR1913225.32097__1.32097	817__D1JR62__M110_0404
ERR1913225.32272__1.32272	1262911__R6GQ41__BN557_00435
ERR1913225.32355__1.32355	1501392__A0A0B2JQC5__PU94_00940
ERR1913225.32610__1.32610	1262911__R6GPA9__BN557_00286
ERR1913225.32933__1.32933	1262761__R6RZF9__BN606_01803
ERR1913225.33225__1.33225	1262911__R6H0J9__BN557_01024
ERR1913225.33349__1.33349	487174__K0WYC5__HMPREF9448_01493
ERR1913225.33389__1.33389	410072__C0BES0__ERS852389_01714
ERR1913225.33504__1.33504	1262761__R6R4X3__BN606_01996
ERR1913225.33657__1.33657	1501391__GCA_000786575.1_00056
ERR1913225.33800__1.33800	10680__GeneID:1261099
ERR1913225.33991__1.33991	46228__B5CT56__RUMLAC_02679
ERR1913225.34268__1.34268	1262911__R6GQM3__BN557_01245
ERR1913225.34194__1.34194	2293125__A0A374C9M9__DW917_08170
ERR1913225.34206__1.34206	1501391__GCA_000786575.1_00119
ERR1913225.34464__1.34464	165179__R6C330__DXC61_04975
ERR1913225.34659__1.34659	1262761__R6R840__BN606_01433
ERR1913225.34805__1.34805	2293125__A0A374CJ42__DW917_03305
ERR1913225.34815__1.34815	853__A0A2A7ATM9__DWZ89_13645
ERR1913225.34862__1.34862	371601__A0A139LNL6__ERS852396_04350
ERR1913225.34869__1.34869	165179__A0A3E5EB26__CFT61_02800
ERR1913225.34952__1.34952	1501391__GCA_000786575.1_00064
ERR1913225.35005__1.35005	820__A7V049__DXB48_04755
ERR1913225.35227__1.35227	562__P77183__CDL50_13955
ERR1913225.35526__1.35526	2293125__A0A374BZ50__DW917_11090
ERR1913225.35622__1.35622	410072__A0A174AMX4__dacB_1
ERR1913225.35645__1.35645	853__A0A2A7B1Y7__C7K05_11930
ERR1913225.35800__1.35800	1262761__R6QNB5__BN606_00915
ERR1913225.35892__1.35892	1263000__R5EHB0__BN466_01647
ERR1913225.36052__1.36052	165179__A0A229I1J2__DXB80_03950
ERR1913225.36085__1.36085	820__A0A139KA34__B5G17_05520
ERR1913225.36094__1.36094	853__A0A173T6P2__DWZ46_14595
ERR1913225.36104__1.36104	39491__A0A395ZE48__DXB76_02395
ERR1913225.36197__1.36197	239935__R7E524__CXT91_06180
ERR1913225.36411__1.36411	39485__A0A174ZA72__glgB_1
ERR1913225.36359__1.36359	820__A0A396EUU8__luxQ_3
ERR1913225.36487__1.36487	39492__D4MJF3__EUBSIR_02248
ERR1913225.36488__1.36488	1262736__R5YLP8__BN496_00010
ERR1913225.36549__1.36549	1262889__R7HAC7__BN634_01118
ERR1913225.36660__1.36660	2293125__A0A374BVX3__DW917_12740
ERR1913225.36798__1.36798	1160721__W0U5X6__RBI_I01796
ERR1913225.36886__1.36886	820__A0A374Q854__HMPREF1073_03281
ERR1913225.37210__1.37210	165179__A0A229I9X5__CFT61_01205
ERR1913225.37943__1.37943	820__A0A3E4IBC1__M094_0628
ERR1913225.37944__1.37944	29466__D1BPR4__Vpar_1695
ERR1913225.38189__1.38189	853__A0A173TAZ8__DWZ46_14590
ERR1913225.38334__1.38334	2293125__A0A374CII6__DW917_03460
ERR1913225.38718__1.38718	1262942__R7QXC5__BN520_01461
ERR1913225.38751__1.38751	165179__A0A3E5E4T9__DXB80_08030
ERR1913225.38752__1.38752	1262761__R6RB22__BN606_01933
ERR1913225.38808__1.38808	1232426__group_1895
ERR1913225.38860__1.38860	820__A7V049__DXB48_04755
ERR1913225.38882__1.38882	39491__A0A395ZFH9__ERS852417_01193
ERR1913225.38890__1.38890	1501391__GCA_000786575.1_00156
ERR1913225.39175__1.39175	1262761__R6QJJ2__BN606_00358
ERR1913225.39321__1.39321	46228__B5CL07__DXD17_04190
ERR1913225.39513__1.39513	1262761__R6RML5__BN606_00248
ERR1913225.39658__1.39658	1501391__GCA_000786575.1_00073
ERR1913225.39708__1.39708	820__A0A3E4RUC4__DHU98_02635
ERR1913225.39723__1.39723	2293125__A0A374BUM7__DW917_12980
ERR1913225.39730__1.39730	1262944__R7IWY5__BN596_00510
ERR1913225.39767__1.39767	820__A0A174DZ97__SAMN05444418_101240
ERR1913225.39880__1.39880	218538__C9LPF0__GCWU000321_01429
ERR1913225.39900__1.39900	1501391__GCA_000786575.1_00082
ERR1913225.39957__1.39957	1262761__R6QUS0__BN606_00152
ERR1913225.40136__1.40136	1680__A0A0B5BKZ3__DXD60_01450
ERR1913225.40298__1.40298	384638__B7AVU0__BACPEC_02840
ERR1913225.40568__1.40568	817__A0A395WNA4__HMPREF1067_03282
ERR1913225.40627__1.40627	821__A0A174RA14__M099_1655
ERR1913225.40528__1.40528	1628085__A0A1C5YAJ9__C7386_10197
ERR1913225.40531__1.40531	2293125__A0A374BUM7__DW917_12980
ERR1913225.40662__1.40662	1262761__R6R3I7__BN606_01771
ERR1913225.40874__1.40874	1501391__GCA_000786575.1_00103
ERR1913225.40822__1.40822	817__A0A396C3S8__CQW36_02929
ERR1913225.40825__1.40825	1262988__R7N598__BN816_01951
ERR1913225.41121__1.41121	2108523__A0A2P2F4H9__LAWASA_905
ERR1913225.41160__1.41160	165179__A0A174SA26__PREVCOP_05758
ERR1913225.41305__1.41305	239935__A0A2N8I9I3__CXU19_12035
ERR1913225.41225__1.41225	823__A0A078SYK6__DXB14_02485
ERR1913225.41435__1.41435	2293125__A0A374BUM7__DW917_12980
ERR1913225.41521__1.41521	1160721__R6SUP4__vanY3
ERR1913225.41413__1.41413	39485__C4Z434__tilS
ERR1913225.42037__1.42037	39485__C4Z355__ERS852490_01971
ERR1913225.42068__1.42068	1262761__R6QMJ7__BN606_00803
ERR1913225.42323__1.42323	301301__A0A395V6Z6__ERS852391_00966
ERR1913225.42458__1.42458	1262911__R6H174__BN557_01246
ERR1913225.42522__1.42522	1262911__R6GN99__BN557_01784
ERR1913225.42594__1.42594	1262761__R6R8B3__BN606_01478
ERR1913225.42618__1.42618	40518__R5DPI9__DXD83_07375
ERR1913225.42772__1.42772	626940__E8LGF9__DCQ00_00015
ERR1913225.42828__1.42828	1262911__R6GQM3__BN557_01245
ERR1913225.42925__1.42925	410072__A0A174DFS8__ERS852574_01251
ERR1913225.43001__1.43001	820__A0A3E4VZY4__ERS852554_01211
ERR1913225.43003__1.43003	1262911__R6H2J2__BN557_01228
ERR1913225.43012__1.43012	39485__R5ZSH7__EUBELI_00953
ERR1913225.43472__1.43472	46228__V8C3Z1__RUMLAC_02619
ERR1913225.43557__1.43557	1263000__R5EQI3__BN466_00125
ERR1913225.43643__1.43643	2293125__A0A374BUM7__DW917_12980
ERR1913225.43772__1.43772	820__A0A139KH21__DXC80_01780
ERR1913225.44043__1.44043	853__A0A2J4JL53__CRH10_10795
ERR1913225.44021__1.44021	47678__R5USZ3__DXB67_12245
ERR1913225.44117__1.44117	166486__D4L402__ROSINTL182_05182
ERR1913225.44422__1.44422	39485__A0A174ZPH7__ERS852490_01992
ERR1913225.44645__1.44645	46228__V8C9H7__RUMLAC_01008
ERR1913225.44632__1.44632	28118__F9Z759__B5F93_05180
ERR1913225.44869__1.44869	165179__R6PU83__CFT61_14275
ERR1913225.45222__1.45222	1520810__A0A1H5XYJ5__SAMN02910276_02047
ERR1913225.45371__1.45371	1160721__W0U2P8__RBI_I00340
ERR1913225.45427__1.45427	820__A0A139K8N1__ERS852554_00951
ERR1913225.45477__1.45477	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913225.45920__1.45920	820__A0A3E4VZT7__DXB48_16145
ERR1913225.46338__1.46338	165179__D1PGU8__PREVCOP_06463
ERR1913225.46639__1.46639	28118__R6FJE6__NCTC10826_00111
ERR1913225.46640__1.46640	820__A0A3E4FWC8__DXC91_14635
ERR1913225.46704__1.46704	165179__A0A3E5EB26__CFT61_02800
ERR1913225.46947__1.46947	1501391__GCA_000786575.1_00024
ERR1913225.47066__1.47066	1160721__W0U3Z9__RBI_I00543
ERR1913225.47140__1.47140	29361__B6FKH5__CLONEX_00621
ERR1913225.47150__1.47150	39491__D6DXZ8__DXB72_15035
ERR1913225.47321__1.47321	853__A0A173YYY4__DWZ04_09420
ERR1913225.47514__1.47514	820__A0A173YYG4__evgS_3
ERR1913225.47719__1.47719	1262911__R6GT76__BN557_01150
ERR1913225.47842__1.47842	821__A0A174T998__DXB82_10860
ERR1913225.48087__1.48087	47678__R5UAY9__DW706_07200
ERR1913225.48199__1.48199	820__A0A174QT76__B5G17_18060
ERR1913225.48538__1.48538	1501391__GCA_000786575.1_00055
ERR1913225.48552__1.48552	649756__L1QA71__HMPREF0369_00510
ERR1913225.48576__1.48576	745368__A0A1T4Y5S3__SAMN02745178_02736
ERR1913225.48856__1.48856	821__R7P1Q7__M099_2990
ERR1913225.49080__1.49080	853__A0A2A7B9I6__DW855_13690
ERR1913225.49178__1.49178	39491__A0A173U0X0__DXB72_05865
ERR1913225.49259__1.49259	2293125__A0A374CKY3__DW917_01805
ERR1913225.49560__1.49560	165179__A0A174SA26__PREVCOP_05758
ERR1913225.49590__1.49590	1262963__R6CBY4__BN718_00134
ERR1913225.49606__1.49606	820__A0A139KG04__ERS852459_01249
ERR1913225.49712__1.49712	1262911__R6H212__BN557_01031
ERR1913225.49924__1.49924	2293125__A0A374CII6__DW917_03460
ERR1913225.49958__1.49958	1262761__R6RNL8__BN606_00387
ERR1913225.50159__1.50159	39485__C4Z6F3__EUBELI_20400
ERR1913225.50513__1.50513	2293125__A0A374C7Q7__DW917_07770
ERR1913225.50855__1.50855	39491__A0A396FJA4__DXB99_05435
ERR1913225.50906__1.50906	88431__A0A174MAX1__ERS852423_01871
ERR1913225.50950__1.50950	1501391__GCA_000786575.1_00131
ERR1913225.50975__1.50975	471189__GCA_003340385.1_00257
ERR1913225.51023__1.51023	10679__GeneID:1261534
ERR1913225.51087__1.51087	1262761__R6QTV2__BN606_01879
ERR1913225.51105__1.51105	2293125__A0A374BSW4__DW917_13420
