ERR1913246.489__1.489	84030__D6DE34__B5F06_14455
ERR1913246.5941__1.5941	291645__I8XVH1__HMPREF1068_00126
ERR1913246.5976__1.5976	371601__C3R2J2__ERS852396_04353
ERR1913246.6041__1.6041	214856__R6YD52__ERS852447_02171
ERR1913246.6161__1.6161	487174__K0XKD7__HMPREF9448_01550
ERR1913246.6230__1.6230	1263109__GCA_000438135.1_01230
ERR1913246.6253__1.6253	1501391__GCA_000786575.1_00121
ERR1913246.6628__1.6628	1262911__R6GQM3__BN557_01245
ERR1913246.6665__1.6665	214856__R6XUN2__rcsC_1
ERR1913246.6707__1.6707	379329__GeneID:4397429
ERR1913246.6762__1.6762	1432052__A0A1E3A4W5__BLA28_16335
ERR1913246.6851__1.6851	820__E5VA63__DXC80_01025
ERR1913246.6801__1.6801	10678__GeneID:2777399
ERR1913246.6989__1.6989	40518__R5E304__thiT
ERR1913246.7121__1.7121	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913246.7061__1.7061	40518__R5E6X5__sbcD
ERR1913246.7397__1.7397	1965576__A0A1Y4LK56__B5F19_04790
ERR1913246.7579__1.7579	357276__B6W1Y1__BSEG_03960
ERR1913246.7647__1.7647	418240__A0A173Y587__ERS852523_00316
ERR1913246.7695__1.7695	216816__A0A0M4NCP0__HMPREF1313_0712
ERR1913246.7700__1.7700	10678__GeneID:2777480
ERR1913246.7841__1.7841	328814__GCA_004558275.1_00059
ERR1913246.7950__1.7950	1432052__A0A1E3AC04__BEI64_32405
ERR1913246.8093__1.8093	10678__GeneID:2777453
ERR1913246.8344__1.8344	216816__V6XY04__APK78_02285
ERR1913246.8393__1.8393	196242__GeneID:5580412
ERR1913246.8571__1.8571	562__P26458__cydB
ERR1913246.8641__1.8641	1432052__A0A1E3ACI5__BEI64_32415
ERR1913246.8818__1.8818	216816__A0A0S2MCH0__AYW81_04880
ERR1913246.8843__1.8843	626932__G5HB69__HMPREF9450_01884
ERR1913246.9185__1.9185	218538__C9LQ92__GCWU000321_01724
ERR1913246.9304__1.9304	487174__K0X2Q8__DDY40_04590
ERR1913246.9580__1.9580	1262911__R6H1M1__BN557_00925
ERR1913246.9743__1.9743	1550024__A0A3B9WIA4__TQ39_14495
ERR1913246.9787__1.9787	1262911__R6GQ41__BN557_00435
ERR1913246.9788__1.9788	100886__R7GNA5__ERS852383_05535
ERR1913246.10177__1.10177	357276__A0A0P0M2G3__BACDOR_03913
ERR1913246.10289__1.10289	10678__GeneID:2777399
ERR1913246.10318__1.10318	40518__R5DLJ7__lytR_4
ERR1913246.10366__1.10366	823__A6LEF3__ERS852560_01356
ERR1913246.10443__1.10443	214856__R6XKW1__ERS852559_01141
ERR1913246.10576__1.10576	394340__lepA
ERR1913246.10741__1.10741	33039__A0A174ZC42__ppaC
ERR1913246.10816__1.10816	2173__A0A1D2WUJ0__Msm_1370
ERR1913246.10826__1.10826	40518__R5DXW3__DXD86_07900
ERR1913246.10846__1.10846	10678__GeneID:2777380
ERR1913246.11184__1.11184	214856__R6YD52__ERS852447_02171
ERR1913246.11247__1.11247	357276__A0A076J8M3__ABI39_13695
ERR1913246.11456__1.11456	10678__GeneID:2777481
ERR1913246.11554__1.11554	1262911__R6GPI7__BN557_00907
ERR1913246.11791__1.11791	47678__R5U8S9__DW706_06260
ERR1913246.11868__1.11868	10678__GeneID:2777415
ERR1913246.12053__1.12053	562__P0A9K7__AUQ29_19530
ERR1913246.12158__1.12158	328814__GCA_004558275.1_00296
ERR1913246.12278__1.12278	10678__GeneID:2777456
ERR1913246.12371__1.12371	214856__R6XUN2__rcsC_1
ERR1913246.12342__1.12342	10678__GeneID:2777395
ERR1913246.12488__1.12488	562__P52045__CW278_17595
ERR1913246.12504__1.12504	562__P77183__CDL50_13955
ERR1913246.12561__1.12561	508460__GCF_000585335.1_00048
ERR1913246.12824__1.12824	28116__A0A1Y4Q112__evgS_13
ERR1913246.12956__1.12956	1262911__R6GI18__BN557_01377
ERR1913246.13175__1.13175	33039__D4M6I1__nadB_2
ERR1913246.13235__1.13235	216816__B3DNW2__BL171B_07980
ERR1913246.13310__1.13310	360807__A0A174C9G9__ERS852392_02115
ERR1913246.13588__1.13588	10678__GeneID:2777483
ERR1913246.13619__1.13619	562__P0ABR8__antA
ERR1913246.13659__1.13659	357276__B6VUQ5__B5F00_10940
ERR1913246.13731__1.13731	562__P0AEK1__CR916_15790
ERR1913246.13823__1.13823	1262911__R6GMD8__BN557_01647
ERR1913246.13893__1.13893	10678__GeneID:2777406
ERR1913246.13939__1.13939	216816__E8MVC5__B5787_1493
ERR1913246.14041__1.14041	169435__B0PA22__B5F11_04900
ERR1913246.14163__1.14163	1262911__R6HN81__BN557_00921
ERR1913246.14165__1.14165	10678__GeneID:2777421
ERR1913246.14372__1.14372	28118__R6FX99__Odosp_1660
ERR1913246.14653__1.14653	1262873__R6WUQ9__BN605_01227
ERR1913246.14796__1.14796	214856__R6YC22__ERS852447_01215
ERR1913246.14934__1.14934	10678__GeneID:2777491
ERR1913246.15106__1.15106	214856__R6Y6H8__ERS852447_01719
ERR1913246.15154__1.15154	246787__A0A108T1Y3__fepA_8
ERR1913246.15239__1.15239	563769__GeneID:6973158
ERR1913246.15261__1.15261	216816__Q8G585__APC1473_0508
ERR1913246.15382__1.15382	28116__A0A1Y4PWN5__M088_3731
ERR1913246.15386__1.15386	35833__E5Y2V2__HMPREF0179_00466
ERR1913246.15431__1.15431	1262911__R6H0U7__BN557_01104
ERR1913246.15526__1.15526	1262911__R6GZX7__BN557_00838
ERR1913246.15706__1.15706	338188__K5BSQ8__HMPREF1057_02842
ERR1913246.15817__1.15817	216816__U2TWA1__DD678_00805
ERR1913246.16074__1.16074	10678__GeneID:2777403
ERR1913246.16109__1.16109	10678__GeneID:2777471
ERR1913246.16259__1.16259	10678__GeneID:2777431
ERR1913246.16320__1.16320	418240__A0A174NZX7__tagF_1
ERR1913246.16393__1.16393	40518__R5E426__DXD93_04485
ERR1913246.16625__1.16625	10678__GeneID:2777403
ERR1913246.16633__1.16633	214856__I3YPP0__ERS852447_01388
ERR1913246.17268__1.17268	246787__A0A0P0GM17__BACCELL_03224
ERR1913246.17779__1.17779	84030__D6DEU4__B5F06_01870
ERR1913246.18105__1.18105	10678__GeneID:2777494
ERR1913246.18476__1.18476	10678__GeneID:2777429
ERR1913246.18478__1.18478	10678__GeneID:2777425
ERR1913246.18415__1.18415	1262911__R6H212__BN557_01031
ERR1913246.18570__1.18570	1262911__R6GSH0__BN557_00934
ERR1913246.18676__1.18676	47678__R5UT79__ERS852558_03890
ERR1913246.18703__1.18703	1262911__R6GSH8__BN557_00939
ERR1913246.18827__1.18827	246787__A0A0P0GUU5__BACCELL_02894
ERR1913246.18982__1.18982	216816__B7GPE8__I118_0062
ERR1913246.19067__1.19067	216816__D6DBD5__DXC32_04335
ERR1913246.19092__1.19092	40518__R5DV58__htrA
ERR1913246.19230__1.19230	562__P0AEK1__CR916_15790
ERR1913246.19242__1.19242	214856__A0A174CRY5__ERS852559_01060
ERR1913246.19317__1.19317	10678__GeneID:2777482
ERR1913246.19489__1.19489	40518__R5DU92__DXD93_03170
ERR1913246.19511__1.19511	10678__GeneID:2777482
ERR1913246.19611__1.19611	360807__C0FNM3__ERS852392_00919
ERR1913246.19769__1.19769	246787__A0A0P0GV75__HMPREF1062_00095
ERR1913246.19835__1.19835	10678__GeneID:2777412
ERR1913246.19944__1.19944	40518__R5DXI4__DXD86_07420
ERR1913246.20328__1.20328	1965576__A0A1Y4LM34__B5F19_03815
ERR1913246.20617__1.20617	638849__D1Y656__HMPREF7215_2722
ERR1913246.20769__1.20769	216816__D6ZWI5__B5781_1661
ERR1913246.20770__1.20770	47678__A5ZB44__C5Z00_17730
ERR1913246.20783__1.20783	216816__D6DC91__DXC72_07710
ERR1913246.20994__1.20994	216816__C5E9A6__mutT4
ERR1913246.21123__1.21123	1262911__R6GZ01__BN557_00641
ERR1913246.21148__1.21148	1262911__R6GI18__BN557_01377
ERR1913246.21171__1.21171	1262911__R6GSH0__BN557_00934
ERR1913246.21728__1.21728	46503__R6Y9P8__evgS_3
ERR1913246.21744__1.21744	10678__GeneID:2777466
ERR1913246.21921__1.21921	1262992__R5DDC9__BN795_00492
ERR1913246.21974__1.21974	1263109__GCA_000438135.1_00036
ERR1913246.22024__1.22024	2173__A0A1D2WU72__BK798_05485
ERR1913246.22030__1.22030	357276__I8VN30__HMPREF1065_03051
ERR1913246.22158__1.22158	1262889__R7HDN9__BN634_01543
ERR1913246.22346__1.22346	47678__R5U8Y1__BACCAC_02615
ERR1913246.22372__1.22372	216816__D6DC91__DXC72_07710
ERR1913246.22385__1.22385	84030__D6DGC4__B5F06_12990
ERR1913246.22727__1.22727	562__P46855__PU39_09885
ERR1913246.23042__1.23042	357276__I9RCD3__IY41_15070
ERR1913246.23046__1.23046	33039__D4M0U9__mucD
ERR1913246.23277__1.23277	562__P76656__CD803_05075
ERR1913246.23454__1.23454	1262911__R6GT76__BN557_01150
ERR1913246.23558__1.23558	562__Q8XBR9__G770_00628
ERR1913246.23591__1.23591	821__A0A174T998__DXB82_10860
ERR1913246.23848__1.23848	214856__R6XS46__ERS852559_00812
ERR1913246.24436__1.24436	1262873__R6WUQ9__BN605_01227
ERR1913246.24605__1.24605	1501391__GCA_000786575.1_00019
ERR1913246.24607__1.24607	216816__D6DBD7__BL71B_09615
ERR1913246.24737__1.24737	10678__GeneID:2777413
ERR1913246.24983__1.24983	28116__A0A1Y4PWN5__M088_3731
ERR1913246.24986__1.24986	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1913246.25141__1.25141	47678__R5U2F6__HMPREF1061_00767
ERR1913246.25284__1.25284	1262911__R6GZX7__BN557_00838
ERR1913246.25296__1.25296	1262736__R5Y3S8__BN496_01861
ERR1913246.25366__1.25366	28025__D3R6X2__BAAM0499_07350
ERR1913246.25393__1.25393	246787__A0A0P0FSC9__BACCELL_02534
ERR1913246.25465__1.25465	84030__D4CEF1__B5F06_01185
ERR1913246.25609__1.25609	216816__A0A395XYV2__APC1468_1887
ERR1913246.26055__1.26055	84030__D4MQ19__B5F06_05065
ERR1913246.26098__1.26098	1262911__R6GZX7__BN557_00838
ERR1913246.26463__1.26463	214856__I3YPN9__ERS852447_01389
ERR1913246.26699__1.26699	562__A0A377AAV3__CDL32_10800
ERR1913246.26802__1.26802	418240__A0A174NZX7__tagF_1
ERR1913246.26850__1.26850	562__P64549__K758_00320
ERR1913246.27626__1.27626	239935__A0A139TQT9__Amuc_1197
ERR1913246.27656__1.27656	47678__A5ZEP5__CGC64_03450
ERR1913246.27929__1.27929	216816__R5MZK3__DPC6320_1630
ERR1913246.28037__1.28037	100886__E2NNQ5__CATMIT_00187
ERR1913246.28173__1.28173	84030__D4CE30__B5F06_06580
ERR1913246.28175__1.28175	246787__A0A3D6ARN8__yehU_6
ERR1913246.28307__1.28307	1262911__R6GY22__BN557_00023
ERR1913246.28344__1.28344	214856__I3YMC8__ERS852447_02666
ERR1913246.28460__1.28460	10678__GeneID:2777395
ERR1913246.28617__1.28617	40518__R5DZE2__DXD86_07400
ERR1913246.28765__1.28765	638849__D1Y6R3__HMPREF7215_1091
ERR1913246.28784__1.28784	10678__GeneID:2777420
ERR1913246.28885__1.28885	1262911__R6GI18__BN557_01377
ERR1913246.28908__1.28908	563769__GeneID:6973158
ERR1913246.28973__1.28973	329854__R5LZK1__DXD27_00590
ERR1913246.29083__1.29083	357276__I8WPR6__EL88_06675
ERR1913246.29097__1.29097	100886__E2NRI8__ERS852383_05979
ERR1913246.29129__1.29129	216816__R5MZK3__DPC6320_1630
ERR1913246.29389__1.29389	564886__GeneID:6973115
ERR1913246.29496__1.29496	28118__F9ZAE2__NCTC10826_03559
ERR1913246.29576__1.29576	100886__A0A174HQ52__sacA_2
ERR1913246.29607__1.29607	1262911__R6GQ41__BN557_00435
ERR1913246.29637__1.29637	10678__GeneID:2777387
ERR1913246.29809__1.29809	1147152__GeneID:14181982
ERR1913246.29872__1.29872	1531__A0A0E2HCH7__HMPREF1081_00333
ERR1913246.29921__1.29921	1535__A7VU82__CLOLEP_02128
ERR1913246.30008__1.30008	357276__I8WC65__EL88_00520
ERR1913246.30098__1.30098	10678__GeneID:2777407
ERR1913246.30235__1.30235	487174__K0X079__DIT83_00640
ERR1913246.30274__1.30274	28116__R6DIL2__DXD69_10970
ERR1913246.30381__1.30381	10678__GeneID:2777386
ERR1913246.30399__1.30399	100886__A0A174K8B7__lolD_6
ERR1913246.30436__1.30436	28116__A0A1Y4PHM7__DXA80_25130
ERR1913246.30656__1.30656	291645__I8X2C2__HMPREF1068_03658
ERR1913246.30529__1.30529	10678__GeneID:2777415
ERR1913246.30731__1.30731	1262911__R6GY78__BN557_00532
ERR1913246.30840__1.30840	823__A6LHU5__M092_0203
ERR1913246.31387__1.31387	10678__GeneID:2777415
ERR1913246.31388__1.31388	1232426__rpoB
ERR1913246.31541__1.31541	10678__GeneID:2777383
ERR1913246.31712__1.31712	84030__D6DGN1__B5F06_05085
ERR1913246.31837__1.31837	1262911__R6GP58__BN557_00798
ERR1913246.31932__1.31932	214856__I3YPP0__ERS852447_01388
ERR1913246.31942__1.31942	1262911__R6GZ01__BN557_00641
ERR1913246.32028__1.32028	10678__GeneID:2777481
ERR1913246.32063__1.32063	1262911__R6GI18__BN557_01377
ERR1913246.32229__1.32229	328814__GCA_004558275.1_00293
ERR1913246.32295__1.32295	100886__A0A174GV62__CATMIT_00996
ERR1913246.32483__1.32483	563769__GeneID:6973156
ERR1913246.32610__1.32610	357276__E5UTL1__HMPREF1065_03551
ERR1913246.32888__1.32888	357276__A0A0K2HG61__BACDOR_02028
ERR1913246.32926__1.32926	216816__E8MVM4__APC1480_1562
ERR1913246.32936__1.32936	84030__D6DHQ0__B5F06_03245
ERR1913246.33019__1.33019	328814__GCA_004558275.1_02280
ERR1913246.33190__1.33190	28116__I8YA07__C5Z02_15915
ERR1913246.33290__1.33290	1262873__R6WEY1__BN605_01359
ERR1913246.33521__1.33521	84030__D4CFA9__B5F06_00075
ERR1913246.33620__1.33620	357276__I8WBQ9__HMPREF1065_03212
ERR1913246.33835__1.33835	626932__G5HBL4__HMPREF9450_02324
ERR1913246.33852__1.33852	216816__B7GN29__BL72_08765
ERR1913246.33886__1.33886	10678__GeneID:2777422
ERR1913246.33951__1.33951	10678__GeneID:2777403
ERR1913246.34009__1.34009	214856__R6Z320__ERS852447_02148
ERR1913246.34174__1.34174	1262911__R6GZ01__BN557_00641
ERR1913246.34100__1.34100	1299998__GCA_001494635.1_00943
ERR1913246.34114__1.34114	10678__GeneID:2777404
ERR1913246.34257__1.34257	46503__A7AFT6__ERS852463_00204
ERR1913246.34275__1.34275	1472761__GCA_002159295.1_01478
ERR1913246.34436__1.34436	1262911__R6H0U7__BN557_01104
ERR1913246.34404__1.34404	239935__A0A2N8IQU3__CXU22_05890
ERR1913246.34508__1.34508	136841__W1MIZ9__AO892_04665
ERR1913246.34509__1.34509	214856__R6Z5D0__resA_4
ERR1913246.34561__1.34561	1232426__rpoB
ERR1913246.34692__1.34692	10678__GeneID:2777406
ERR1913246.34814__1.34814	214856__I3YMN6__Alfi_1938
ERR1913246.34757__1.34757	328814__GCA_004558275.1_02279
ERR1913246.35198__1.35198	10678__GeneID:2777413
ERR1913246.35210__1.35210	1262911__R6H212__BN557_01031
ERR1913246.35602__1.35602	10678__GeneID:2777408
ERR1913246.35635__1.35635	10678__GeneID:2777481
ERR1913246.35716__1.35716	216816__B7GPH6__DXC74_08225
ERR1913246.35717__1.35717	214856__A0A173YXX1__ERS852559_01651
ERR1913246.35809__1.35809	1432052__A0A1E3AAK2__BEI63_11305
ERR1913246.35849__1.35849	2173__A5UK74__pyrP
ERR1913246.35851__1.35851	1354__I6T489__EHR_02270
ERR1913246.35855__1.35855	216816__A0A2U0BT35__BL1206_1860
ERR1913246.36034__1.36034	214856__I3YPN9__ERS852447_01389
ERR1913246.36114__1.36114	246787__R6LGA6__tmoS_11
ERR1913246.36195__1.36195	820__A0A139KG04__ERS852459_01249
ERR1913246.36308__1.36308	84030__D4CBD2__B5F06_12740
ERR1913246.36413__1.36413	216816__A0A395XZB7__DXD37_04075
ERR1913246.36819__1.36819	2022527__A0A264Y937__CHL74_04095
ERR1913246.36973__1.36973	371601__A0A1H4GWY8__CW1_1428
ERR1913246.37039__1.37039	818__A0A3E5HGB5__ERS852511_02145
ERR1913246.37191__1.37191	471189__GCA_003340385.1_00196
ERR1913246.37277__1.37277	165179__A0A3E5A554__DXB80_13805
ERR1913246.37497__1.37497	10678__GeneID:2777481
ERR1913246.37548__1.37548	216816__C2GUV2__APC1478_0430
ERR1913246.37552__1.37552	357276__A0A0K2HDP3__IY41_00705
ERR1913246.37717__1.37717	100886__E2NQW1__murB
ERR1913246.37722__1.37722	28118__R6FFY9__DHW44_14630
ERR1913246.37797__1.37797	563769__GeneID:6973141
ERR1913246.37846__1.37846	78344__A0A087ARE2__BIGA_0788
ERR1913246.38131__1.38131	214856__R6Y6H8__ERS852447_01719
ERR1913246.38374__1.38374	823__A0A174PLE5__DXD05_03010
ERR1913246.38398__1.38398	100886__E2NRI8__ERS852383_05979
ERR1913246.38820__1.38820	196242__GeneID:5580412
ERR1913246.38870__1.38870	246787__A0A0P0FV02__AA416_03728
ERR1913246.38899__1.38899	487174__R5F2W8__HMPREF9448_01730
ERR1913246.39035__1.39035	10678__GeneID:2777402
ERR1913246.39383__1.39383	216816__A0A396FVC5__BL71B_00290
ERR1913246.39497__1.39497	1501391__GCA_000786575.1_00158
ERR1913246.39720__1.39720	40518__R5DV58__htrA
ERR1913246.39723__1.39723	10678__GeneID:2777452
ERR1913246.39752__1.39752	357276__A0A076IIL0__EL88_03065
ERR1913246.39781__1.39781	10678__GeneID:2777493
ERR1913246.39896__1.39896	100886__E2NRN8__CATMIT_01243
ERR1913246.39943__1.39943	10678__GeneID:2777481
ERR1913246.39843__1.39843	40518__R5DT16__ysdC_2
ERR1913246.40092__1.40092	216816__A0A061M1M5__HMPREF0177_01046
ERR1913246.40115__1.40115	357276__B6W5Q7__DXD47_13945
ERR1913246.40128__1.40128	1262911__R6GUQ4__BN557_01581
ERR1913246.40136__1.40136	10678__GeneID:2777408
ERR1913246.40145__1.40145	552398__F4XH38__HMPREF0866_02939
ERR1913246.40303__1.40303	10678__GeneID:2777413
ERR1913246.40367__1.40367	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913246.40434__1.40434	88431__A0A174JYP5__DORLON_02789
ERR1913246.40529__1.40529	357276__I9R2M6__BSEG_03499
ERR1913246.40685__1.40685	823__A0A174U5E4__BDI_3390
ERR1913246.40738__1.40738	1262911__R6GKS1__BN557_00184
ERR1913246.40856__1.40856	818__A0A3E5HDS4__BJP75_002620
ERR1913246.40956__1.40956	214856__A0A174CRY5__ERS852559_01060
ERR1913246.40982__1.40982	100886__A0A174HN43__ERS852383_04112
ERR1913246.41297__1.41297	28116__A7LS06__HMPREF2532_04668
ERR1913246.41547__1.41547	357276__D1JZM4__HMPREF1065_01278
ERR1913246.41681__1.41681	1262911__R6HN72__BN557_00911
ERR1913246.41660__1.41660	216816__C5EBT1__BLIF_1344
ERR1913246.41872__1.41872	216816__A0A0A6VPB9__B624_1780
ERR1913246.42001__1.42001	1943580__A0A1V4AM34__B0D78_04105
ERR1913246.42059__1.42059	357276__I8WEZ6__BACDOR_02323
ERR1913246.42200__1.42200	562__P23837__phoQ
ERR1913246.42123__1.42123	46503__R6WQ01__PARMER_03826
ERR1913246.42282__1.42282	84030__R5M2A8__B5F06_09860
ERR1913246.42374__1.42374	28116__A0A395VZB9__Bovatus_03205
ERR1913246.42457__1.42457	40518__R5DM08__DXD83_06415
ERR1913246.42544__1.42544	40518__R5E6X5__sbcD
ERR1913246.42553__1.42553	84112__F0HL92__Elen_0304
ERR1913246.42628__1.42628	357276__I8WAB8__B5F00_08100
ERR1913246.42705__1.42705	10678__GeneID:2777406
ERR1913246.42646__1.42646	357276__I9QWD4__DXD47_15075
ERR1913246.42782__1.42782	216816__V6XY04__APK78_02285
ERR1913246.42872__1.42872	28116__D7J6B1__B5F02_07870
ERR1913246.42957__1.42957	10678__GeneID:2777494
ERR1913246.43433__1.43433	216816__B7GP87__HMPREF0177_01055
ERR1913246.43875__1.43875	10678__GeneID:2777422
ERR1913246.43879__1.43879	47678__R5UT79__ERS852558_03890
ERR1913246.44349__1.44349	1262911__R6H2J2__BN557_01228
ERR1913246.44499__1.44499	10678__GeneID:2777427
ERR1913246.44878__1.44878	563769__GeneID:6973156
ERR1913246.44918__1.44918	821__A0A173XDD3__DXB82_17180
ERR1913246.44972__1.44972	10678__GeneID:2777481
ERR1913246.45107__1.45107	418240__R7CKF9__ERS852478_03305
ERR1913246.45138__1.45138	100886__A0A174PHR7__CATMIT_02609
ERR1913246.45165__1.45165	10678__GeneID:2777400
ERR1913246.45302__1.45302	47678__R5UXY0__CGC64_03535
ERR1913246.45317__1.45317	40518__R5DV58__htrA
ERR1913246.45453__1.45453	1501391__GCA_000786575.1_00085
ERR1913246.45578__1.45578	10678__GeneID:2777415
ERR1913246.45724__1.45724	33039__A0A174Y5G7__ERS852530_01222
ERR1913246.46447__1.46447	562__P77294__fimG
ERR1913246.46510__1.46510	487174__K0WTQ3__HMPREF9448_02140
ERR1913246.46578__1.46578	562__P0AFH7__oppC
ERR1913246.46754__1.46754	1685__A0A3D8UEL2__DRBB29_0129
ERR1913246.46995__1.46995	328814__GCA_004558275.1_00059
ERR1913246.47392__1.47392	103807__GeneID:929674
ERR1913246.47423__1.47423	246787__A0A0P0FS62__HMPREF1062_05447
ERR1913246.47504__1.47504	10678__GeneID:2777426
ERR1913246.47546__1.47546	100886__A0A174GWP1__CATMIT_01006
ERR1913246.47561__1.47561	562__P26458__cydB
ERR1913246.47563__1.47563	1851568__A0A1B8YKN4__Phpb_01224
ERR1913246.47573__1.47573	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913246.47712__1.47712	84030__D4MPY4__B5F06_05535
ERR1913246.47719__1.47719	357276__A0A0K2HKT7__B5F95_21090
ERR1913246.47877__1.47877	357276__I9QWD4__DXD47_15075
ERR1913246.47917__1.47917	562__P77393__PU31_14870
ERR1913246.47995__1.47995	357276__B6W1J2__BACDOR_03380
ERR1913246.48037__1.48037	357276__I8WAB8__B5F00_08100
ERR1913246.48071__1.48071	10678__GeneID:2777405
ERR1913246.48166__1.48166	214856__R6XP73__ERS852447_00886
ERR1913246.48284__1.48284	216816__A0A0M0VK23__BLGT_09805
ERR1913246.48288__1.48288	1232426__group_1840
ERR1913246.48261__1.48261	39492__B0MPL6__EUBSIR_01779
ERR1913246.48461__1.48461	114527__A0A2S0L6I7__C5Q96_08390
ERR1913246.48595__1.48595	562__A0A0E1LDD5__B9N12_14240
ERR1913246.48743__1.48743	418240__A0A174BCX7__ERS852478_02371
ERR1913246.48868__1.48868	823__A0A355XGQ3__prmC
ERR1913246.48905__1.48905	1965576__A0A1Y4LM34__B5F19_03815
ERR1913246.48929__1.48929	40518__R5DLM5__RB5AMG_00422
ERR1913246.49026__1.49026	2173__A0A1D2WUC2__METSMIALI_01296
ERR1913246.49236__1.49236	100886__A0A174HSW5__supH
ERR1913246.49327__1.49327	246787__A0A0P0GLJ1__BcellWH2_01674
ERR1913246.49450__1.49450	823__A6LB63__M095_1847
ERR1913246.49499__1.49499	357276__A0A076II57__GV66_07710
ERR1913246.49827__1.49827	216816__Q8G585__APC1473_0508
ERR1913246.49848__1.49848	418240__A0A174U9H0__folP
ERR1913246.50191__1.50191	246787__A0A3D6AS39__ina
ERR1913246.50311__1.50311	10678__GeneID:2777393
ERR1913246.50485__1.50485	357276__U6R8F9__DXD47_04035
ERR1913246.50457__1.50457	10678__GeneID:2777380
ERR1913246.50645__1.50645	1262911__R6H212__BN557_01031
ERR1913246.50620__1.50620	29361__B6FKH5__CLONEX_00621
ERR1913246.50798__1.50798	246787__R6KQ08__AA416_01934
ERR1913246.50943__1.50943	1432052__A0A1E3A4W5__BLA28_16335
ERR1913246.51047__1.51047	216816__A0A3D8U3T8__DXD41_09580
ERR1913246.51027__1.51027	100886__A0A174HSH4__CATMIT_02717
ERR1913246.51224__1.51224	246787__A0A3D6AVT6__BACCELL_02130
ERR1913246.51494__1.51494	214856__R6Z186__ERS852447_00718
ERR1913246.51520__1.51520	33039__A0A173V4G5__ERS852577_02906
ERR1913246.51715__1.51715	10678__GeneID:2777478
ERR1913246.51746__1.51746	357276__B6W1Y1__BSEG_03960
ERR1913246.51942__1.51942	216816__A0A0S2MCH0__AYW81_04880
ERR1913246.52144__1.52144	216816__E8MVM4__APC1480_1562
ERR1913246.52193__1.52193	246787__A0A3D6AXG0__BACCELL_01743
ERR1913246.52307__1.52307	544644__GCA_001915615.1_01041
ERR1913246.52606__1.52606	357276__A0A076INK2__BSEG_04225
ERR1913246.52707__1.52707	40518__R5DM08__DXD83_06415
ERR1913246.52860__1.52860	10678__GeneID:2777408
ERR1913246.52914__1.52914	10678__GeneID:2777481
ERR1913246.53107__1.53107	1547__H1ARK1__DXB93_05365
ERR1913246.53249__1.53249	84030__D6DI95__B5F06_10475
