ERR1913280.111__1.111	1262700__R5XM04__BN695_00162
ERR1913280.12124__1.12124	39491__A0A395ZKJ0__DXD13_11010
ERR1913280.12211__1.12211	487174__K0X429__HMPREF9448_00932
ERR1913280.12176__1.12176	47678__R5UZM4__DW706_15680
ERR1913280.12341__1.12341	39491__A0A395UWA3__DXB69_11805
ERR1913280.12348__1.12348	357276__I8WEY2__ABI39_04185
ERR1913280.12464__1.12464	1262743__R5C054__BN727_01980
ERR1913280.12516__1.12516	28117__R7JIJ8__BHV66_01635
ERR1913280.12847__1.12847	239935__A0A2N8I6R6__CXU04_04335
ERR1913280.12871__1.12871	820__A0A174F0C1__nreB
ERR1913280.12888__1.12888	39491__C4Z9E9__T1815_12341
ERR1913280.13177__1.13177	674529__R6W0I5__SAMN05444400_108102
ERR1913280.13182__1.13182	239935__A0A2N8IUW6__Amuc_1525
ERR1913280.13248__1.13248	239935__A0A2N8HPS5__Amuc_0950
ERR1913280.13302__1.13302	820__A0A3E4W9W8__C801_01069
ERR1913280.13426__1.13426	820__A7VAR9__ERS852421_00197
ERR1913280.13457__1.13457	853__C7H1R8__DW905_06675
ERR1913280.13464__1.13464	39491__A0A396FMT0__EUBREC_3020
ERR1913280.13662__1.13662	853__A0A3E2U7E6__ERS852582_01640
ERR1913280.13871__1.13871	1680__A0A173XYA2__B0703_0121
ERR1913280.14064__1.14064	371601__E5CE41__ERS852396_04351
ERR1913280.14731__1.14731	1160721__W0U2W0__BHW50_02075
ERR1913280.14754__1.14754	820__A0A174GYA8__DXB64_07370
ERR1913280.14946__1.14946	1262911__R6GSH8__BN557_00939
ERR1913280.14999__1.14999	1680__A0A173XYA2__B0703_0121
ERR1913280.15076__1.15076	1897011__A0A1Q6RIQ3__BHW41_00450
ERR1913280.15152__1.15152	820__A0A139KJ23__celCCA
ERR1913280.15219__1.15219	387090__S0F8B2__BACCOPRO_02129
ERR1913280.15366__1.15366	853__A0A173XRA8__CGS56_09290
ERR1913280.15351__1.15351	46228__V8C4T8__RUMLAC_02058
ERR1913280.15393__1.15393	820__A0A173XIP7__B5G17_16050
ERR1913280.15407__1.15407	823__A0A174VHT1__DHP27_04775
ERR1913280.15541__1.15541	239935__A0A2N8IG27__CXT85_07805
ERR1913280.15640__1.15640	1262700__R5XEF2__BN695_01474
ERR1913280.15702__1.15702	357276__A0A0P0M2G3__BACDOR_03913
ERR1913280.15703__1.15703	820__A0A174G065__DXB62_08975
ERR1913280.15829__1.15829	820__A0A174TRB5__DXD40_11305
ERR1913280.15962__1.15962	847__C3X9Z1__BRW84_05165
ERR1913280.16046__1.16046	239935__A0A2N8I9N0__CXT97_09915
ERR1913280.16081__1.16081	1262911__R6GSH8__BN557_00939
ERR1913280.16123__1.16123	1150298__A0A174DX06__ERS852498_00491
ERR1913280.16226__1.16226	328814__GCA_004558275.1_00078
ERR1913280.16290__1.16290	338188__C9KUV1__HMPREF1057_03061
ERR1913280.16323__1.16323	1680__A7A7Z9__AAX71_05385
ERR1913280.16443__1.16443	1262736__R5YW03__BN496_00822
ERR1913280.16530__1.16530	706562__GCA_900112995.1_01419
ERR1913280.16694__1.16694	1262700__R5Y7U2__BN695_00971
ERR1913280.16700__1.16700	823__D0T9Q9__M095_2648
ERR1913280.16711__1.16711	1262911__R6GZX7__BN557_00838
ERR1913280.17063__1.17063	338188__A0A1Q6HLG8__ERS852397_03417
ERR1913280.17084__1.17084	239935__A0A2N8HT18__CXT93_06135
ERR1913280.17123__1.17123	357276__I8WPR6__EL88_06675
ERR1913280.17166__1.17166	1262911__R6GQM3__BN557_01245
ERR1913280.17295__1.17295	28117__B0MY45__ALIPUT_02164
ERR1913280.17674__1.17674	820__A0A174F696__macB_13
ERR1913280.17738__1.17738	820__A0A173WUD7__DXB48_08055
ERR1913280.17771__1.17771	610243__A0A060QJF7__ASAP_2763
ERR1913280.17911__1.17911	166486__D4L337__msbA_4
ERR1913280.17931__1.17931	74426__infB
ERR1913280.18075__1.18075	39491__A0A395UWA3__DXB69_11805
ERR1913280.18397__1.18397	360807__A0A0M6WXW5__ROSEINA2194_00331
ERR1913280.18515__1.18515	1262700__R5XDY1__BN695_01269
ERR1913280.18434__1.18434	674529__A0A174EXC1__DXB21_01255
ERR1913280.18760__1.18760	1262911__R6HN81__BN557_00921
ERR1913280.18868__1.18868	706562__GCA_900112995.1_02127
ERR1913280.18966__1.18966	446660__GCA_003428235.1_01598
ERR1913280.19033__1.19033	40518__R5DP21__RBATCC27255_00348
ERR1913280.19353__1.19353	239935__A0A2N8I694__CXU04_06245
ERR1913280.19378__1.19378	1263000__R5EHB0__BN466_01647
ERR1913280.19416__1.19416	853__A0A2A7B9I6__DW855_13690
ERR1913280.19495__1.19495	166486__D4KZ14__inlA_1
ERR1913280.19559__1.19559	1262889__R7H8W0__BN634_02256
ERR1913280.19620__1.19620	39491__A0A396FBR6__DXC13_08575
ERR1913280.19698__1.19698	820__A0A173YYG4__evgS_3
ERR1913280.19814__1.19814	40520__R7DBI2__ERS852533_03021
ERR1913280.19874__1.19874	360807__C0FZM4__RIL183_06871
ERR1913280.19938__1.19938	1262911__R6GLG2__BN557_01501
ERR1913280.19982__1.19982	216816__E8MU45__DPC6316_1140
ERR1913280.19940__1.19940	39492__D4JSU6__dacB_3
ERR1913280.20009__1.20009	239935__R6JAS2__CXU02_10725
ERR1913280.20059__1.20059	357276__B6VXX7__HMPREF1063_02683
ERR1913280.20119__1.20119	1262700__R5X9G7__BN695_00632
ERR1913280.20122__1.20122	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913280.20279__1.20279	820__A7V780__adaA_3
ERR1913280.20595__1.20595	820__A0A173YYG4__evgS_3
ERR1913280.20790__1.20790	1262700__R5XVC6__BN695_01077
ERR1913280.21108__1.21108	1262700__R5XEX6__BN695_01651
ERR1913280.21216__1.21216	487174__R5FN40__HMPREF9448_01366
ERR1913280.21194__1.21194	1263000__R5EXT3__BN466_02213
ERR1913280.21201__1.21201	387090__S0F8B2__BACCOPRO_02129
ERR1913280.21368__1.21368	1862668__GCA_001945525.1_00026
ERR1913280.21459__1.21459	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913280.21638__1.21638	1262992__R5D749__BN795_01063
ERR1913280.21606__1.21606	338188__R6S0J1__BACFIN_08786
ERR1913280.21660__1.21660	74426__nifJ
ERR1913280.21809__1.21809	1965587__A0A1Y4HVC6__B5F35_09360
ERR1913280.21983__1.21983	1262700__R5XK36__BN695_01015
ERR1913280.22062__1.22062	47678__R5UES7__sipS
ERR1913280.22510__1.22510	820__A0A173WUD7__DXB48_08055
ERR1913280.22588__1.22588	371601__E5CE41__ERS852396_04351
ERR1913280.22631__1.22631	626932__G5H6E6__HMPREF9450_00506
ERR1913280.22825__1.22825	239935__A0A2N8IV82__CXT99_06735
ERR1913280.22903__1.22903	338188__A0A173WBJ8__rpoE_1
ERR1913280.23117__1.23117	116085__D4J519__DW747_07275
ERR1913280.23173__1.23173	328814__GCA_004558275.1_00056
ERR1913280.23233__1.23233	1105031__J1H3W2__HMPREF1141_2783
ERR1913280.23387__1.23387	626929__F3PJ28__B5F24_03465
ERR1913280.23392__1.23392	487174__K0X524__DDY40_09270
ERR1913280.23747__1.23747	820__A0A374Q854__HMPREF1073_03281
ERR1913280.23962__1.23962	338188__A0A173YWC2__BACFIN_08645
ERR1913280.24159__1.24159	823__A0A173RD26__B5F32_03910
ERR1913280.24227__1.24227	674529__R6UPX3__DXB21_06190
ERR1913280.24467__1.24467	1262700__R5XEQ4__BN695_01576
ERR1913280.24527__1.24527	1262736__R5YAV6__BN496_01775
ERR1913280.24666__1.24666	239935__A0A2N8IRL2__CXU06_01170
ERR1913280.24729__1.24729	1160721__A0A373ML50__RBI_I01893
ERR1913280.24739__1.24739	40518__R5DWB0__DXD86_00925
ERR1913280.24853__1.24853	1263011__R6DSV1__BN553_00294
ERR1913280.24917__1.24917	1262911__R6GSH8__BN557_00939
ERR1913280.24961__1.24961	239935__A0A2N8ITG2__Amuc_0335
ERR1913280.24968__1.24968	820__R9I3Q7__HMPREF1072_01668
ERR1913280.25017__1.25017	360807__A0A0M6WKR9__ROSEINA2194_01912
ERR1913280.25034__1.25034	28117__B0MWP2__ALIPUT_01468
ERR1913280.25052__1.25052	239935__A0A2N8IF99__lpdA
ERR1913280.25124__1.25124	853__C7H7F5__DWZ46_01780
ERR1913280.25132__1.25132	39492__D4JUJ6__ssuB_2
ERR1913280.25151__1.25151	626932__G5HAL1__HMPREF9450_01676
ERR1913280.25218__1.25218	239935__A0A2N8ITX2__CXT86_11265
ERR1913280.25252__1.25252	1262700__R5XDF3__BN695_01151
ERR1913280.25255__1.25255	239935__A0A2N8IRL2__CXU06_01170
ERR1913280.25414__1.25414	556259__E5C8S0__BSGG_1769
ERR1913280.25484__1.25484	1262777__R5VV55__BN512_00056
ERR1913280.25550__1.25550	823__C7XBX3__HMPREF1059_03212
ERR1913280.25833__1.25833	853__A0A174BA00__DW905_01145
ERR1913280.25873__1.25873	338188__R6D6U2__ERS852397_02840
ERR1913280.26097__1.26097	820__A7V049__DXB48_04755
ERR1913280.26308__1.26308	820__R9HP61__DXC91_01090
ERR1913280.26463__1.26463	820__A0A174M9V5__M093_0237
ERR1913280.26566__1.26566	39492__D4JRM9__bglB_2
ERR1913280.26575__1.26575	487174__K0XJ34__DDY40_06890
ERR1913280.26579__1.26579	1680__A0A1X3AAI9__BADO_1163
ERR1913280.26613__1.26613	239935__A0A2N8IV82__CXT99_06735
ERR1913280.26621__1.26621	1262533__GeneID:16385386
ERR1913280.26739__1.26739	1550024__G9RPH0__TQ39_05505
ERR1913280.26809__1.26809	360807__A0A0M6WBB8__ROSEINA2194_00909
ERR1913280.26815__1.26815	1262911__R6GLI1__BN557_01518
ERR1913280.26863__1.26863	651822__GCA_000210715.1_00753
ERR1913280.26948__1.26948	1262700__R5Y6F4__BN695_00541
ERR1913280.27325__1.27325	820__A0A3E4VZS7__DXC07_14435
ERR1913280.27338__1.27338	360807__C0FVT5__RIL183_27241
ERR1913280.27878__1.27878	47678__R5UMC3__CGC64_08380
ERR1913280.27906__1.27906	28117__B0MXX2__ALIPUT_01984
ERR1913280.27982__1.27982	239935__R6JAS2__CXU02_10725
ERR1913280.28203__1.28203	239935__A0A2N8INK7__Amuc_0521
ERR1913280.28359__1.28359	28117__B0MXR4__BHV66_08025
ERR1913280.28433__1.28433	360807__A0A0M6X0S9__RIL183_10591
ERR1913280.28545__1.28545	823__K6AMD2__B5F32_04565
ERR1913280.28612__1.28612	745368__A0A1T4YA51__SAMN02745178_02876
ERR1913280.28649__1.28649	39491__D4JM76__DXC13_02150
ERR1913280.28700__1.28700	216816__A0A2U0BT35__BL1206_1860
ERR1913280.28748__1.28748	1160721__W0U8M9__RBI_II00386
ERR1913280.28852__1.28852	360807__A0A173T236__RIL183_24471
ERR1913280.29030__1.29030	1262992__R5D7H2__BN795_00443
ERR1913280.29186__1.29186	301301__A0A395VAR4__yieL
ERR1913280.29667__1.29667	28117__R7JPX7__BHV66_00900
ERR1913280.30149__1.30149	853__C7H1R8__DW905_06675
ERR1913280.30190__1.30190	39492__D4JQX3__EUBSIR_01310
ERR1913280.30406__1.30406	1680__A7A7Z9__AAX71_05385
ERR1913280.30407__1.30407	853__A0A3E2U7E6__ERS852582_01640
ERR1913280.30535__1.30535	1262911__R6GU62__BN557_01488
ERR1913280.30635__1.30635	216816__A0A061M1M5__HMPREF0177_01046
ERR1913280.30811__1.30811	1263044__GCA_000433375.1_02419
ERR1913280.31005__1.31005	487174__R5F016__DDY40_05675
ERR1913280.31282__1.31282	487174__K0WS78__HMPREF9448_02825
ERR1913280.31340__1.31340	823__A0A174LDE8__M096_3277
ERR1913280.31363__1.31363	28052__R5HJU0__ERS852451_00148
ERR1913280.31497__1.31497	33025__A0A395JBU5__C8D73_10423
ERR1913280.31680__1.31680	239935__R6JCH3__CXT95_08205
ERR1913280.31824__1.31824	1262911__R6GSH8__BN557_00939
ERR1913280.32021__1.32021	39491__A0A396FGM9__fliU_1
ERR1913280.32239__1.32239	1262743__R5C054__BN727_01980
ERR1913280.32433__1.32433	338188__C9KS28__BACFIN_05109
ERR1913280.32461__1.32461	674529__R6V187__DXB21_21665
ERR1913280.32544__1.32544	820__A0A174DZ97__SAMN05444418_101240
ERR1913280.33007__1.33007	1262700__R5XT56__BN695_00308
ERR1913280.33058__1.33058	40518__R5DY98__mepA_5
ERR1913280.33357__1.33357	1262700__R5XWI0__BN695_01480
ERR1913280.33519__1.33519	218538__C9LQG6__GCWU000321_01798
ERR1913280.33627__1.33627	487174__K0WUZ1__DIT83_10815
ERR1913280.33724__1.33724	487174__K0WXI9__HMPREF9448_02340
ERR1913280.33735__1.33735	820__A0A1T4IY71__HMPREF2141_02402
ERR1913280.33915__1.33915	239935__A0A2N8HL50__CXT98_09135
ERR1913280.34279__1.34279	820__A0A1Q6IDS8__chtA
ERR1913280.34312__1.34312	1262889__R7HCR1__BN634_01576
ERR1913280.34359__1.34359	40518__R5DVL2__penA
ERR1913280.34798__1.34798	847__C3X9B4__OFBG_00818
ERR1913280.34837__1.34837	823__A0A395YRW4__DD466_15895
ERR1913280.34839__1.34839	239935__A0A3F3K9J9__DEF40_00940
ERR1913280.34929__1.34929	166486__D4KX18__ROSINTL182_07596
ERR1913280.35167__1.35167	1262911__R6GYU2__BN557_00621
ERR1913280.35156__1.35156	487174__K0X835__DIT83_09510
ERR1913280.35157__1.35157	338188__C9L0Q9__HMPREF1057_02408
ERR1913280.35253__1.35253	1150298__R7JQR1__sipW
ERR1913280.35392__1.35392	1262911__R6HN72__BN557_00911
ERR1913280.35562__1.35562	387090__S0F8B2__BACCOPRO_02129
ERR1913280.35582__1.35582	239935__A0A139TMG9__CXU07_10650
ERR1913280.35606__1.35606	820__A0A174TRB5__DXD40_11305
ERR1913280.35660__1.35660	357276__I9QBT7__BSEG_03340
ERR1913280.35731__1.35731	853__A0A174AML0__FPR_08640
ERR1913280.35921__1.35921	338188__C9L0Q1__HMPREF1057_02400
ERR1913280.35945__1.35945	239935__A0A2N8I3G2__CXT89_00720
ERR1913280.36397__1.36397	1263006__R6LJG8__BN515_01754
ERR1913280.36438__1.36438	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913280.36494__1.36494	626932__G5HAL1__HMPREF9450_01676
ERR1913280.36677__1.36677	487174__K0X0F6__HMPREF9448_01444
ERR1913280.36897__1.36897	39492__A0A174ZHV5__msbA_2
ERR1913280.37001__1.37001	357276__U6R8F9__DXD47_04035
ERR1913280.37055__1.37055	674529__R6V5A6__SAMN05444400_12636
ERR1913280.37128__1.37128	1262736__R5YX38__BN496_01145
ERR1913280.37133__1.37133	28116__A0A395VSP8__ERS852555_02642
ERR1913280.37386__1.37386	1262700__R5XBX2__BN695_01297
ERR1913280.37563__1.37563	823__A0A174GGT1__queG
ERR1913280.37567__1.37567	338188__A0A1Q6HCN7__ptrA
ERR1913280.37706__1.37706	338188__A0A174JXM7__ERS852397_03350
ERR1913280.37708__1.37708	853__A0A173XRA8__CGS56_09290
ERR1913280.37826__1.37826	28117__B0MTH2__ALIPUT_00061
ERR1913280.37852__1.37852	338188__K5CL92__BACFIN_07565
ERR1913280.38183__1.38183	239935__A0A2N8HQR1__Amuc_0287
ERR1913280.38288__1.38288	360807__A0A1Q6T542__RIL183_02161
ERR1913280.38299__1.38299	40518__R5DZE2__DXD86_07400
ERR1913280.38552__1.38552	239935__A0A139TPU7__CXT91_06575
ERR1913280.38588__1.38588	40520__A0A174RXB2__DXD81_16980
ERR1913280.38601__1.38601	626929__F3PKF0__SAMN05444376_0703
ERR1913280.38677__1.38677	28116__D6D0T8__DXA80_14760
ERR1913280.39005__1.39005	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913280.39086__1.39086	239935__R7DVL7__CXT93_01180
ERR1913280.39313__1.39313	820__A0A3E4G493__ERS417307_00253
ERR1913280.39403__1.39403	556259__E5C8S0__BSGG_1769
ERR1913280.39466__1.39466	239935__B2URG6__CXU02_00030
ERR1913280.39588__1.39588	357276__A0A0K2HJA6__DXD47_07320
ERR1913280.39641__1.39641	28117__B0MZ50__ALIPUT_02424
ERR1913280.39692__1.39692	35833__E5Y6S3__HMPREF0179_01886
ERR1913280.39944__1.39944	301301__G2SX14__RHOM_09085
ERR1913280.39997__1.39997	1262911__R6H1M1__BN557_00925
ERR1913280.40094__1.40094	239935__A0A2N8I368__CXT95_04550
ERR1913280.40112__1.40112	28117__B0MTD2__ALIPUT_00428
ERR1913280.40260__1.40260	239935__A0A139TT05__CXU09_03335
ERR1913280.40315__1.40315	239935__A0A2N8J1K0__CXT97_05765
ERR1913280.40453__1.40453	1262700__R5X9S4__BN695_00717
ERR1913280.40510__1.40510	1262889__R7HCR1__BN634_01576
ERR1913280.40551__1.40551	33039__A0A173TYC0__cobB_2
ERR1913280.40585__1.40585	674529__R6VF01__DXB21_13480
ERR1913280.40698__1.40698	823__D7IT19__DHP27_03495
ERR1913280.40798__1.40798	28116__A0A395VSP8__ERS852555_02642
ERR1913280.40841__1.40841	357276__A0A0M1W657__HMPREF1064_04629
ERR1913280.40960__1.40960	28117__R7JJM9__ALIPUT_00662
ERR1913280.40986__1.40986	1263044__GCA_000433375.1_01147
ERR1913280.41239__1.41239	218538__C9LQG6__GCWU000321_01798
ERR1913280.41573__1.41573	674529__A0A174I0V6__DXB21_05415
ERR1913280.41654__1.41654	39492__D4JRV5__acrR_2
ERR1913280.41667__1.41667	328814__GCA_004558275.1_00235
ERR1913280.42067__1.42067	239935__A0A2N8HDT1__CXT94_05270
ERR1913280.42070__1.42070	820__A0A174EV88__HMPREF1072_01427
ERR1913280.42175__1.42175	40518__R5DVU7__RBL236_00839
ERR1913280.42411__1.42411	706562__GCA_900112995.1_01419
ERR1913280.42432__1.42432	384638__B7ASZ6__BACPEC_02204
ERR1913280.42501__1.42501	487174__K0WTW4__DDY40_12630
ERR1913280.42522__1.42522	1160721__W0U7T4__BHW50_09645
ERR1913280.42617__1.42617	28116__D4WLZ3__C5Z02_24105
ERR1913280.42647__1.42647	46503__R6Y449__ERS852463_00137
ERR1913280.42704__1.42704	820__A0A374Q854__HMPREF1073_03281
ERR1913280.42822__1.42822	820__A0A173YYG4__evgS_3
ERR1913280.42888__1.42888	820__A0A3E4GA19__SAMN05444418_10562
ERR1913280.42919__1.42919	651822__GCA_000210715.1_00753
ERR1913280.43009__1.43009	1262911__R6GSH0__BN557_00934
ERR1913280.43161__1.43161	823__D7IV95__DXC05_09565
ERR1913280.43196__1.43196	823__A0A355XF06__B5F32_11480
ERR1913280.43219__1.43219	1683__A0A087BF97__Bang102_002885
ERR1913280.43295__1.43295	1160721__W0U2W0__BHW50_02075
ERR1913280.43462__1.43462	310298__B3JLT2__BACCOP_02879
ERR1913280.43541__1.43541	166486__C7G7A6__ROSINTL182_05773
ERR1913280.43731__1.43731	154046__A0A3E3DKY5__DWX31_16330
ERR1913280.43857__1.43857	820__A0A173YYG4__evgS_3
ERR1913280.43860__1.43860	310298__B3JJ24__BACCOP_01886
ERR1913280.43946__1.43946	338188__R6RPM5__bglX_6
ERR1913280.43973__1.43973	239935__A0A2N8I9P4__CXT85_05050
ERR1913280.44095__1.44095	338188__R6D6U2__ERS852397_02840
ERR1913280.44124__1.44124	239935__A0A139TQT9__Amuc_1197
ERR1913280.44261__1.44261	820__A0A3E5E0T0__ERS852554_00312
ERR1913280.44327__1.44327	360807__C0FZM4__RIL183_06871
ERR1913280.44457__1.44457	820__A0A174LJB2__HMPREF1072_04112
ERR1913280.44500__1.44500	74426__asnS
ERR1913280.44768__1.44768	1262911__R6GPM2__BN557_00937
ERR1913280.44769__1.44769	823__A6LEF1__CF162_12695
ERR1913280.44869__1.44869	39491__A0A396FFW0__ERE_10580
ERR1913280.44910__1.44910	239935__A0A2N8HT44__CXT84_11035
ERR1913280.44934__1.44934	338188__K5CL54__HMPREF1057_02531
ERR1913280.45005__1.45005	674529__R6UW30__SAMN05444400_107160
ERR1913280.45118__1.45118	1150298__A0A174S911__ERS852406_01972
ERR1913280.45140__1.45140	39492__B0MPL6__EUBSIR_01779
ERR1913280.45310__1.45310	818__C6ILT7__BSIG_2708
ERR1913280.45393__1.45393	552398__F4XHN7__HMPREF0866_03141
ERR1913280.45793__1.45793	39486__B0G7R1__DXD10_04295
ERR1913280.45856__1.45856	1262911__R6HJT1__BN557_00291
ERR1913280.45960__1.45960	853__E2ZJT1__C4N23_03535
ERR1913280.46322__1.46322	1262911__R6GPI7__BN557_00907
ERR1913280.46851__1.46851	28117__A0A1Q6FAD1__ALIPUT_01287
