ERR1913060.381__1.381	820__A7V092__hldE
ERR1913060.5791__1.5791	818__R7KV41__Btheta7330_04616
ERR1913060.5815__1.5815	310298__B3JJG1__BACCOP_02031
ERR1913060.5824__1.5824	2293125__A0A374C9I8__DW917_06795
ERR1913060.5936__1.5936	823__A0A073I748__M096_3057
ERR1913060.6266__1.6266	820__A0A3E4W9D9__B5G17_12400
ERR1913060.6287__1.6287	310298__B3JFI7__BACCOP_00636
ERR1913060.6734__1.6734	39496__A5Z778__EUBVEN_01561
ERR1913060.6824__1.6824	556259__I0PYM3__BSGG_5385
ERR1913060.6918__1.6918	821__A0A174WBC9__ERS852556_03145
ERR1913060.7057__1.7057	328814__GCA_004558275.1_00079
ERR1913060.7186__1.7186	821__I9R3W6__DXC16_12455
ERR1913060.7200__1.7200	1262924__R7HPU8__BN585_00010
ERR1913060.7396__1.7396	410072__A0A174AQ98__COPCOM_03377
ERR1913060.7674__1.7674	821__A0A174RA14__M099_1655
ERR1913060.7795__1.7795	46506__A0A108TAK3__fepA_3
ERR1913060.7853__1.7853	310298__B3JQJ5__BACCOP_04231
ERR1913060.7876__1.7876	165179__R6B8D8__DXC61_09245
ERR1913060.7948__1.7948	165179__D1PGU8__PREVCOP_06463
ERR1913060.7971__1.7971	1535__A7VQH7__CLOLEP_00807
ERR1913060.7976__1.7976	853__A0A2A7A628__CGS57_13755
ERR1913060.8035__1.8035	1262930__R6A8Q7__BN693_01064
ERR1913060.7999__1.7999	39488__R5G6A7__DXD91_05835
ERR1913060.8168__1.8168	39486__B0G7S3__HMPREF9457_01465
ERR1913060.8255__1.8255	1262948__R7EBV7__BN671_00578
ERR1913060.8316__1.8316	410072__C0BBL2__DXD67_02635
ERR1913060.8854__1.8854	1965632__A0A1Y4A628__B5F91_13735
ERR1913060.9325__1.9325	1262930__R5ZVH8__BN693_01324
ERR1913060.9597__1.9597	310298__B3JJX9__BACCOP_02203
ERR1913060.9583__1.9583	358743__A0A0F0CG77__DWZ14_01305
ERR1913060.9637__1.9637	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913060.9700__1.9700	1235798__R9NB29__C817_01776
ERR1913060.9781__1.9781	649756__E5VMQ9__prkC_2
ERR1913060.9816__1.9816	821__A0A0P0M6M0__M097_4734
ERR1913060.9847__1.9847	357276__A0A0M1W657__HMPREF1064_04629
ERR1913060.9955__1.9955	166486__D4L0J8__ROSINTL182_08089
ERR1913060.10011__1.10011	165179__D1PGU8__PREVCOP_06463
ERR1913060.10043__1.10043	88431__A0A3D0EZT9__ERS852423_01745
ERR1913060.10090__1.10090	310298__B3JFK4__BACCOP_00654
ERR1913060.10295__1.10295	2293125__A0A374BSW4__DW917_13420
ERR1913060.10427__1.10427	2293125__A0A374C9I8__DW917_06795
ERR1913060.10683__1.10683	357276__I9G0T7__BACDOR_04266
ERR1913060.10746__1.10746	820__A0A3E4FZM1__adaA_2
ERR1913060.10793__1.10793	165179__A0A229I4J4__proA
ERR1913060.10856__1.10856	35833__E5Y1J0__HMPREF0179_00049
ERR1913060.10944__1.10944	823__D0TDY6__DHP27_09090
ERR1913060.10970__1.10970	165179__D1PHC0__PREVCOP_06640
ERR1913060.11143__1.11143	884684__GCA_002892425.1_01408
ERR1913060.11153__1.11153	39488__A0A174D9D0__EUBHAL_02073
ERR1913060.11425__1.11425	1262739__R6MK77__BN659_00760
ERR1913060.11486__1.11486	28052__R7NBF1__yycG_1
ERR1913060.11585__1.11585	33039__D4M6I2__ERS852424_02124
ERR1913060.11662__1.11662	1262948__R7EH74__BN671_00077
ERR1913060.11703__1.11703	310298__B3JK97__BACCOP_02326
ERR1913060.11788__1.11788	853__A0A173T751__C4N24_10280
ERR1913060.11848__1.11848	218538__C9LR48__GCWU000321_00316
ERR1913060.11849__1.11849	410072__C0BC38__ERS852574_02017
ERR1913060.11905__1.11905	820__A0A396CMY7__HMPREF1072_03009
ERR1913060.11973__1.11973	165179__A0A229I3Z6__PREVCOP_03666
ERR1913060.11979__1.11979	360807__A0A173V2S2__phoR_7
ERR1913060.12072__1.12072	166486__D4L337__msbA_4
ERR1913060.12110__1.12110	818__A0A0N7I9M6__Btheta7330_00939
ERR1913060.12145__1.12145	357276__A0A076IS46__BACDOR_03265
ERR1913060.12300__1.12300	2293125__A0A374CJ42__DW917_03305
ERR1913060.12413__1.12413	165179__R6PU83__CFT61_14275
ERR1913060.12783__1.12783	357276__A0A076IXE0__HMPREF1064_04364
ERR1913060.12785__1.12785	33039__D4M4L7__ripA
ERR1913060.12824__1.12824	165179__A0A229I7F5__DXB80_02650
ERR1913060.13070__1.13070	2293125__A0A374BUM7__DW917_12980
ERR1913060.13495__1.13495	821__A0A174WBC9__ERS852556_03145
ERR1913060.13619__1.13619	823__A0A174DZM1__DDY96_10310
ERR1913060.13909__1.13909	371601__F7LYI1__BN891_45470
ERR1913060.13972__1.13972	823__A0A073I9P2__CF162_18000
ERR1913060.14017__1.14017	2293125__A0A374C9I8__DW917_06795
ERR1913060.14108__1.14108	301301__A0A395V9P9__ERS852391_00747
ERR1913060.14467__1.14467	418240__A0A174U9H0__folP
ERR1913060.14488__1.14488	88431__A0A174MYZ5__ycjP_7
ERR1913060.14651__1.14651	487174__K0WZU7__HMPREF9448_01154
ERR1913060.14675__1.14675	204516__U6RFB2__HMPREF1534_01733
ERR1913060.14791__1.14791	820__A0A173YYG4__evgS_3
ERR1913060.14879__1.14879	818__A0A173T914__ERS852430_01841
ERR1913060.15042__1.15042	626933__H1DGX0__HMPREF9449_01506
ERR1913060.15246__1.15246	820__A0A139KEW8__DXB64_06405
ERR1913060.15318__1.15318	410072__A0A174E1G6__phoR_6
ERR1913060.15357__1.15357	165179__A0A174UTZ7__DXC61_06705
ERR1913060.15486__1.15486	301301__A0A395VAX9__ERS852391_01264
ERR1913060.15771__1.15771	821__A6L0C7__ERS852556_03520
ERR1913060.15829__1.15829	1262930__R6ALR2__BN693_00077
ERR1913060.15890__1.15890	28116__D4WLZ3__C5Z02_24105
ERR1913060.15899__1.15899	165179__A0A3E5ED28__PREVCOP_06655
ERR1913060.16048__1.16048	572010__tufA
ERR1913060.16154__1.16154	357276__B6W1J2__BACDOR_03380
ERR1913060.16246__1.16246	1262930__R6A1X5__BN693_02075
ERR1913060.16247__1.16247	820__A7V049__DXB48_04755
ERR1913060.16392__1.16392	821__I9R3W6__DXC16_12455
ERR1913060.16367__1.16367	1628085__A0A2U1BAW1__C7386_11048
ERR1913060.16407__1.16407	310298__B3JQJ5__BACCOP_04231
ERR1913060.16583__1.16583	544645__A0A1U7L710__DXC42_05105
ERR1913060.16601__1.16601	820__A0A3E4VZY4__ERS852554_01211
ERR1913060.17018__1.17018	820__A0A174TRB5__DXD40_11305
ERR1913060.17019__1.17019	360807__C0FYL6__ROSEINA2194_03855
ERR1913060.17072__1.17072	1735__B7CCE4__EUBIFOR_01871
ERR1913060.17124__1.17124	821__A0A0P0LFP6__C5Z04_13890
ERR1913060.17187__1.17187	1262992__R5DBL4__BN795_01435
ERR1913060.17208__1.17208	1735__B7CEC3__EUBIFOR_02567
ERR1913060.17251__1.17251	216816__A0A1D7UQN6__CE165_02145
ERR1913060.17404__1.17404	33025__A0A395JDV3__C8D73_101685
ERR1913060.17622__1.17622	818__A0A3E5HK02__BSIG_1732
ERR1913060.17788__1.17788	310298__B3JM32__BACCOP_00571
ERR1913060.17885__1.17885	821__A0A3E4KIM1__M097_3660
ERR1913060.17921__1.17921	33039__D4M6E9__ERS852390_02866
ERR1913060.17996__1.17996	165179__A0A3E5AHY4__CFT61_07675
ERR1913060.18072__1.18072	1262930__R5ZV69__BN693_01268
ERR1913060.18244__1.18244	165179__R6B8D8__DXC61_09245
ERR1913060.18374__1.18374	165179__D1PHC0__PREVCOP_06640
ERR1913060.18447__1.18447	165179__A0A3E5DN34__DXC61_07865
ERR1913060.18408__1.18408	884684__GCA_002892425.1_01408
ERR1913060.18952__1.18952	39486__B0G912__DXD84_12340
ERR1913060.19072__1.19072	166486__D4KZW9__degS
ERR1913060.19120__1.19120	357276__A0A0K2HMX2__HMPREF1063_03979
ERR1913060.19582__1.19582	649756__A0A174B2V7__ERS852475_01064
ERR1913060.19693__1.19693	166486__D4L337__msbA_4
ERR1913060.19699__1.19699	418240__A0A174T5R0__yehU_2
ERR1913060.19706__1.19706	310298__B3JNH3__BACCOP_03486
ERR1913060.19713__1.19713	204516__U6RN30__HMPREF1534_00370
ERR1913060.19829__1.19829	1262930__R6AYK2__BN693_00543
ERR1913060.19898__1.19898	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913060.20129__1.20129	165179__A0A174SA26__PREVCOP_05758
ERR1913060.20273__1.20273	1262930__R6A775__BN693_00822
ERR1913060.20490__1.20490	310298__B3JJ24__BACCOP_01886
ERR1913060.20618__1.20618	1262992__R5D0P4__BN795_01631
ERR1913060.20654__1.20654	1263044__GCA_000433375.1_00353
ERR1913060.20772__1.20772	821__A0A173XDD3__DXB82_17180
ERR1913060.20829__1.20829	2293125__A0A374CBD1__DW917_06995
ERR1913060.20979__1.20979	821__A0A395US34__C5Z04_18975
ERR1913060.21039__1.21039	301301__A0A395V8E1__RHOM_11160
ERR1913060.21231__1.21231	745368__A0A1T4X373__SAMN02745178_01365
ERR1913060.21203__1.21203	28118__R6FBG5__B5F93_07375
ERR1913060.21180__1.21180	1262930__R6A8N0__BN693_02179
ERR1913060.21282__1.21282	1262930__R6A0L1__BN693_02245
ERR1913060.21571__1.21571	166486__D4KZY5__ROSINTL182_07635
ERR1913060.21670__1.21670	310298__B3JFK5__BACCOP_00655
ERR1913060.21953__1.21953	166486__D4L301__ROSINTL182_06234
ERR1913060.22112__1.22112	310298__B3JEV6__BACCOP_00400
ERR1913060.22285__1.22285	821__A0A174WBC9__ERS852556_03145
ERR1913060.22355__1.22355	166486__D4KQG8__ERS852572_02379
ERR1913060.22380__1.22380	821__A0A174NM17__lacZ_6
ERR1913060.22700__1.22700	1262930__R6AUX8__BN693_00160
ERR1913060.22647__1.22647	2293125__A0A374C4C8__DW917_09805
ERR1913060.22657__1.22657	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.22723__1.22723	39488__C0EYJ6__ERS852578_01971
ERR1913060.22768__1.22768	310298__B3JQJ5__BACCOP_04231
ERR1913060.23019__1.23019	371601__A0A1H4ANE8__SAMN05216250_10552
ERR1913060.23061__1.23061	166486__D4KZ24__ROSINTL182_05766
ERR1913060.23081__1.23081	39491__A0A396FMT0__EUBREC_3020
ERR1913060.23146__1.23146	2293125__A0A374BUM7__DW917_12980
ERR1913060.23362__1.23362	39496__A5Z7Y6__EUBVEN_01827
ERR1913060.23300__1.23300	1262948__R7EDA7__BN671_00036
ERR1913060.23407__1.23407	310298__B3JJ24__BACCOP_01886
ERR1913060.23889__1.23889	310298__B3JK49__BACCOP_02273
ERR1913060.24005__1.24005	357276__D1K3K9__EL88_23995
ERR1913060.24391__1.24391	2293125__A0A374C9I8__DW917_06795
ERR1913060.24526__1.24526	310298__B3JNH4__BACCOP_03487
ERR1913060.24611__1.24611	39488__C0EY66__prkC_1
ERR1913060.24729__1.24729	821__A0A0P0M405__DXC02_15075
ERR1913060.24689__1.24689	46503__R6WWH2__DXB85_00365
ERR1913060.24831__1.24831	2293125__A0A374CJ42__DW917_03305
ERR1913060.24893__1.24893	39488__A0A173TCD3__lytR_1
ERR1913060.24940__1.24940	328814__GCA_004558275.1_00059
ERR1913060.24989__1.24989	166486__D4KNM9__ERS852572_00072
ERR1913060.24990__1.24990	357276__A0A076INK2__BSEG_04225
ERR1913060.24967__1.24967	820__A0A3E4VXP2__yesR
ERR1913060.25054__1.25054	28118__F9Z750__Odosp_3044
ERR1913060.25337__1.25337	1735__B7CDA5__EUBIFOR_02186
ERR1913060.25369__1.25369	357276__I9R002__HMPREF1064_01826
ERR1913060.25689__1.25689	1262948__R7E838__BN671_01455
ERR1913060.25874__1.25874	487174__K0WV96__HMPREF9448_01901
ERR1913060.25894__1.25894	204516__U6R9H3__HMPREF1534_03348
ERR1913060.25974__1.25974	310298__B3JEE8__BACCOP_00239
ERR1913060.25997__1.25997	821__A0A174V2F3__NCTC10583_01474
ERR1913060.26149__1.26149	166486__D4L255__mcp4_5
ERR1913060.26162__1.26162	821__R7P1Q7__M099_2990
ERR1913060.26269__1.26269	1262930__R6AQL4__BN693_01311
ERR1913060.26366__1.26366	46503__K5ZV67__PARMER_03859
ERR1913060.26403__1.26403	371601__I9AGH0__BN890_47500
ERR1913060.26433__1.26433	28052__R7NBF1__yycG_1
ERR1913060.26439__1.26439	2293125__A0A374C0L7__DW917_11510
ERR1913060.26491__1.26491	2293125__A0A374BUM7__DW917_12980
ERR1913060.26644__1.26644	2293125__A0A374C9I8__DW917_06795
ERR1913060.26653__1.26653	39496__A5Z7Y4__EUBVEN_01825
ERR1913060.26803__1.26803	446660__GCA_003428235.1_00657
ERR1913060.26814__1.26814	853__D4KAK8__C4N21_13380
ERR1913060.26993__1.26993	820__A0A3E4PYB0__yejM
ERR1913060.26949__1.26949	166486__D4L398__ERS852572_03633
ERR1913060.27107__1.27107	1262930__R6AAD1__BN693_01367
ERR1913060.27113__1.27113	310298__B3JGJ2__BACCOP_00994
ERR1913060.27136__1.27136	853__A0A3E2U7E6__ERS852582_01640
ERR1913060.27138__1.27138	818__A0A0P0FI06__BJP75_017205
ERR1913060.27266__1.27266	166486__D4KJ39__ERS852572_02622
ERR1913060.27340__1.27340	544644__GCA_001915615.1_01895
ERR1913060.27370__1.27370	818__D7IK38__ERS852430_03017
ERR1913060.27593__1.27593	166486__D4KZ71__ERS852572_01500
ERR1913060.27595__1.27595	165179__A0A3E5AHY4__CFT61_07675
ERR1913060.27602__1.27602	418240__A0A173X9D3__ERS852478_00421
ERR1913060.27609__1.27609	821__A6L0C7__ERS852556_03520
ERR1913060.27793__1.27793	39490__U2PIQ8__ERS852448_02846
ERR1913060.27807__1.27807	552398__F4XAU1__HMPREF0866_00413
ERR1913060.27888__1.27888	165179__D1PHC0__PREVCOP_06640
ERR1913060.28169__1.28169	823__A0A355XP97__M092_2525
ERR1913060.28286__1.28286	310298__B3JQJ5__BACCOP_04231
ERR1913060.28294__1.28294	820__A0A139KJ23__celCCA
ERR1913060.28354__1.28354	360807__A0A0M6WW50__ROSEINA2194_00764
ERR1913060.28523__1.28523	410072__A0A3E4GRE0__DXD67_07105
ERR1913060.28537__1.28537	626929__F3PLF4__HMPREF9445_03185
ERR1913060.28799__1.28799	165179__A0A3E5ED28__PREVCOP_06655
ERR1913060.29119__1.29119	166486__D4L457__ROSINTL182_07087
ERR1913060.29302__1.29302	818__A0A0P0FKC9__Btheta7330_01050
ERR1913060.29474__1.29474	1262930__R6A468__BN693_01366
ERR1913060.29657__1.29657	357276__I9RCD3__IY41_15070
ERR1913060.29700__1.29700	33039__D4M0U3__ERS852577_02211
ERR1913060.29842__1.29842	626930__F3PVE3__HMPREF9446_02721
ERR1913060.29864__1.29864	357276__B6W1J2__BACDOR_03380
ERR1913060.29896__1.29896	39486__B0G7K1__HMPREF9457_01526
ERR1913060.30044__1.30044	410072__R6LKC9__ERS852525_01807
ERR1913060.30096__1.30096	2293125__A0A374CMK5__DW917_00330
ERR1913060.30336__1.30336	310298__B3JK49__BACCOP_02273
ERR1913060.30361__1.30361	418240__A0A174VMW5__ERS852478_01082
ERR1913060.30404__1.30404	39496__A5Z6F8__EUBVEN_01291
ERR1913060.30418__1.30418	823__A0A355XIK0__CEQ22_011965
ERR1913060.30399__1.30399	821__A0A174V2F3__NCTC10583_01474
ERR1913060.30457__1.30457	853__A0A2A7B9I6__DW855_13690
ERR1913060.30912__1.30912	28116__A0A078Q626__HMPREF1070_02735
ERR1913060.30849__1.30849	166486__D4KWN0__ERS852572_00733
ERR1913060.30857__1.30857	39488__A0A173UIN4__EUBHAL_00539
ERR1913060.31027__1.31027	1262924__R7HR75__BN585_00689
ERR1913060.31042__1.31042	165179__A0A3E5AHY4__CFT61_07675
ERR1913060.31496__1.31496	487174__K0X429__HMPREF9448_00932
ERR1913060.31466__1.31466	1262930__R5ZVH8__BN693_01324
ERR1913060.31638__1.31638	1262948__R7EBP7__BN671_00122
ERR1913060.31720__1.31720	28118__F9Z8K4__Odosp_0843
ERR1913060.31747__1.31747	357276__A0A0K2HKT7__B5F95_21090
ERR1913060.31762__1.31762	310298__B3JMG0__BACCOP_03099
ERR1913060.31833__1.31833	165179__A0A229I2W6__PREVCOP_04332
ERR1913060.32209__1.32209	39488__A0A174IFL3__DXD91_00270
ERR1913060.32285__1.32285	33039__D4M398__ERS852530_00575
ERR1913060.32383__1.32383	1735__A0A395WAL9__EUBIFOR_01618
ERR1913060.32392__1.32392	28052__R7NB47__msbA_2
ERR1913060.32458__1.32458	853__A0A173T751__C4N24_10280
ERR1913060.32748__1.32748	487174__K0X694__DIT83_09060
ERR1913060.32932__1.32932	1150298__A0A174AP40__ERS852535_01165
ERR1913060.32943__1.32943	1150298__A0A174HEB6__ypdC_2
ERR1913060.33163__1.33163	371601__A0A1H4GXQ8__CW1_1432
ERR1913060.33236__1.33236	88431__A0A3D0EYE9__rafA
ERR1913060.33396__1.33396	1262930__R5ZWP2__BN693_01542
ERR1913060.33615__1.33615	33039__A0A3D0EY88__ERS852390_03120
ERR1913060.33682__1.33682	821__A0A174T998__DXB82_10860
ERR1913060.33851__1.33851	360807__A0A1Q6T5F3__ERS852392_00510
ERR1913060.34070__1.34070	338188__A0A174ETX3__ERS852397_01955
ERR1913060.34009__1.34009	2293125__A0A374C9I8__DW917_06795
ERR1913060.34018__1.34018	28118__R6F7J8__Odosp_3206
ERR1913060.34102__1.34102	39486__B0G9I8__DXB36_03440
ERR1913060.34160__1.34160	853__A0A173XRA8__CGS56_09290
ERR1913060.34482__1.34482	165179__D1PGU8__PREVCOP_06463
ERR1913060.34530__1.34530	357276__A6L053__ABI39_04450
ERR1913060.34604__1.34604	820__A7V9F9__B5G17_14640
ERR1913060.34707__1.34707	310298__B3JHN9__BACCOP_01401
ERR1913060.34842__1.34842	1262930__R5ZXU1__BN693_01352
ERR1913060.34898__1.34898	204516__U6RPN2__HMPREF1534_00368
ERR1913060.34925__1.34925	853__A0A2J4JL53__CRH10_10795
ERR1913060.34955__1.34955	487174__K0X1D9__HMPREF9448_00919
ERR1913060.35107__1.35107	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.35177__1.35177	1262930__R6A8Q7__BN693_01064
ERR1913060.35414__1.35414	46503__R6Y0Q3__DCY29_15880
ERR1913060.35390__1.35390	360807__C0FR49__ROSEINA2194_01203
ERR1913060.35430__1.35430	853__D4K7X0__DW905_09540
ERR1913060.35530__1.35530	166486__R6AY46__ROSINTL182_06128
ERR1913060.35610__1.35610	2293125__A0A374BN09__DW917_16245
ERR1913060.35651__1.35651	357276__I9RAC4__BSEG_00561
ERR1913060.35712__1.35712	1735__A0A395WAL9__EUBIFOR_01618
ERR1913060.35964__1.35964	853__C7H1R8__DW905_06675
ERR1913060.35904__1.35904	820__A0A139K426__B5G17_09115
ERR1913060.35994__1.35994	818__A0A0P0F7K1__ERS852461_02719
ERR1913060.36184__1.36184	310298__B3JQJ5__BACCOP_04231
ERR1913060.36166__1.36166	1535__A7VXU2__CLOLEP_03418
ERR1913060.36216__1.36216	357276__B6W5Q7__DXD47_13945
ERR1913060.36420__1.36420	357276__A0A0K2HJA6__DXD47_07320
ERR1913060.36683__1.36683	310298__B3JFK4__BACCOP_00654
ERR1913060.36696__1.36696	821__A0A395US34__C5Z04_18975
ERR1913060.36716__1.36716	204516__U6R9H3__HMPREF1534_03348
ERR1913060.36811__1.36811	310298__B3JFK4__BACCOP_00654
ERR1913060.36858__1.36858	357276__A0A076IRX7__HMPREF1064_00526
ERR1913060.36995__1.36995	165179__R6B8D8__DXC61_09245
ERR1913060.37177__1.37177	487174__K0XA48__DDY40_03955
ERR1913060.37228__1.37228	1262911__R6HN81__BN557_00921
ERR1913060.37306__1.37306	821__U6RDC2__DXD46_15675
ERR1913060.37314__1.37314	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913060.37360__1.37360	2293125__A0A374C0L7__DW917_11510
ERR1913060.37366__1.37366	28052__A0A174H9I6__ERS852451_00172
ERR1913060.37496__1.37496	28052__R7NCE0__ERS852499_00449
ERR1913060.37536__1.37536	823__A6LEP0__M091_1976
ERR1913060.37600__1.37600	818__A0A3E5HWN5__BSIG_3066
ERR1913060.37970__1.37970	46503__R6Y4M7__HMPREF1078_03269
ERR1913060.38110__1.38110	1262924__R7HQD4__BN585_02072
ERR1913060.38116__1.38116	2293125__A0A374BMK9__DW917_16190
ERR1913060.38278__1.38278	357276__B6W1Y5__IY41_11405
ERR1913060.38313__1.38313	418240__C6J843__ERS852478_02458
ERR1913060.38340__1.38340	823__A6LEF3__ERS852560_01356
ERR1913060.38380__1.38380	357276__C3R5C9__HMPREF1063_00213
ERR1913060.38383__1.38383	310298__B3JQJ5__BACCOP_04231
ERR1913060.38457__1.38457	2293125__A0A374CBD1__DW917_06995
ERR1913060.38703__1.38703	823__A0A174LWY0__lepB
ERR1913060.39006__1.39006	821__A0A0P0L8F8__ERS852509_03705
ERR1913060.39065__1.39065	46503__R6X0L4__DXB61_05325
ERR1913060.39092__1.39092	1262930__R6AQL4__BN693_01311
ERR1913060.39261__1.39261	360807__A0A1Q6TAV1__ROSEINA2194_00431
ERR1913060.39550__1.39550	1262930__R6AQM8__BN693_01323
ERR1913060.39634__1.39634	823__D0TCC2__HMPREF1075_01590
ERR1913060.39614__1.39614	2293125__A0A374BUM7__DW917_12980
ERR1913060.39698__1.39698	853__A0A173TAZ8__DWZ46_14590
ERR1913060.39739__1.39739	823__A6LFW2__M095_1860
ERR1913060.40084__1.40084	310298__B3JPD1__BACCOP_02317
ERR1913060.40485__1.40485	1262930__R6A254__BN693_01006
ERR1913060.40493__1.40493	823__D7IRG1__NCTC11152_02276
ERR1913060.40502__1.40502	818__A0A396EBF0__ERS852430_00820
ERR1913060.40676__1.40676	165179__A0A3E5AHY4__CFT61_07675
ERR1913060.40633__1.40633	166486__D4L458__ROSINTL182_07088
ERR1913060.40704__1.40704	487174__K0WXB5__DIT83_09520
ERR1913060.40805__1.40805	487174__K0X4L2__pgl
ERR1913060.40823__1.40823	1628085__A0A2U1B935__C7386_11439
ERR1913060.41074__1.41074	166486__D4KXK8__xynB_1
ERR1913060.41097__1.41097	820__A0A139K4T0__ERS852510_03146
ERR1913060.41222__1.41222	2293125__A0A374BSW4__DW917_13420
ERR1913060.41254__1.41254	166486__D4KJ71__ERS852572_03479
ERR1913060.41304__1.41304	357276__B6VVS0__HMPREF1064_03951
ERR1913060.41350__1.41350	166486__D4KXZ4__ROSINTL182_05055
ERR1913060.41411__1.41411	410072__A0A174K1D5__hscC
ERR1913060.41450__1.41450	39491__A0A173VD97__DXB69_07350
ERR1913060.41598__1.41598	310298__B3JFK6__BACCOP_00656
ERR1913060.41613__1.41613	853__A0A2A7AXC8__C4N21_14120
ERR1913060.41628__1.41628	626930__F3PYU5__HMPREF9446_03903
ERR1913060.41727__1.41727	310298__B3JMZ2__BACCOP_03297
ERR1913060.41729__1.41729	820__A0A174KKV6__DXC07_02635
ERR1913060.42078__1.42078	487174__K0WV63__DIT83_11035
ERR1913060.42206__1.42206	544644__GCA_001915615.1_02267
ERR1913060.42375__1.42375	853__A0A173T751__C4N24_10280
ERR1913060.42433__1.42433	410072__A0A174GUX6__COPCOM_03717
ERR1913060.42473__1.42473	626932__G5H5D9__HMPREF9450_00149
ERR1913060.42781__1.42781	310298__B3JQJ5__BACCOP_04231
ERR1913060.42806__1.42806	487174__K0X068__DDY40_07105
ERR1913060.42956__1.42956	820__A0A139KJR5__M093_4469
ERR1913060.43025__1.43025	166486__D4L2C5__ERS852572_01688
ERR1913060.43126__1.43126	216816__A0A2U0BT35__BL1206_1860
ERR1913060.43093__1.43093	357276__B6VW91__BACDOR_01584
ERR1913060.43174__1.43174	853__A0A2J4JL53__CRH10_10795
ERR1913060.43152__1.43152	821__A0A173XDD3__DXB82_17180
ERR1913060.43248__1.43248	166486__D4KY48__gmr_5
ERR1913060.43607__1.43607	310298__B3JQJ5__BACCOP_04231
ERR1913060.43696__1.43696	853__A0A2J4JL53__CRH10_10795
ERR1913060.43706__1.43706	338188__R6RT73__HMPREF1057_02828
ERR1913060.43844__1.43844	28116__A0A1Y4Q112__evgS_13
ERR1913060.44004__1.44004	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913060.44318__1.44318	166486__D4KXA3__ROSINTL182_05894
ERR1913060.44373__1.44373	166486__D4KWZ7__cph2_5
ERR1913060.44535__1.44535	46503__R6X5W5__HMPREF1078_03156
ERR1913060.44782__1.44782	310298__B3JQJ5__BACCOP_04231
