ERR1913060.366__1.366	1262930__R6ACJ7__BN693_00131
ERR1913060.11497__1.11497	1262930__R6A090__BN693_00649
ERR1913060.11621__1.11621	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913060.11703__1.11703	310298__B3JK97__BACCOP_02326
ERR1913060.11788__1.11788	853__A0A173T751__C4N24_10280
ERR1913060.11849__1.11849	410072__C0BC38__ERS852574_02017
ERR1913060.11906__1.11906	649756__R7BXQ5__HMPREF0369_01797
ERR1913060.11979__1.11979	360807__A0A173V2S2__phoR_7
ERR1913060.12110__1.12110	818__A0A0N7I9M6__Btheta7330_00939
ERR1913060.12300__1.12300	2293125__A0A374CJ42__DW917_03305
ERR1913060.12785__1.12785	33039__D4M4L7__ripA
ERR1913060.12824__1.12824	165179__A0A229I7F5__DXB80_02650
ERR1913060.13070__1.13070	2293125__A0A374BUM7__DW917_12980
ERR1913060.13303__1.13303	821__A0A174V2F3__NCTC10583_01474
ERR1913060.13495__1.13495	821__A0A174WBC9__ERS852556_03145
ERR1913060.13614__1.13614	821__A0A0P0L952__M097_4235
ERR1913060.13619__1.13619	823__A0A174DZM1__DDY96_10310
ERR1913060.13678__1.13678	410072__A0A173WD04__penA_2
ERR1913060.13704__1.13704	544644__GCA_001915615.1_01893
ERR1913060.13909__1.13909	371601__F7LYI1__BN891_45470
ERR1913060.13972__1.13972	823__A0A073I9P2__CF162_18000
ERR1913060.14465__1.14465	1262924__R7HQN1__BN585_00550
ERR1913060.14467__1.14467	418240__A0A174U9H0__folP
ERR1913060.14488__1.14488	88431__A0A174MYZ5__ycjP_7
ERR1913060.14638__1.14638	1965560__A0A1Y4RFR5__B5E82_15700
ERR1913060.14731__1.14731	1735__B7CEC3__EUBIFOR_02567
ERR1913060.14791__1.14791	820__A0A173YYG4__evgS_3
ERR1913060.14879__1.14879	818__A0A173T914__ERS852430_01841
ERR1913060.15066__1.15066	853__D4KAK8__C4N21_13380
ERR1913060.15246__1.15246	820__A0A139KEW8__DXB64_06405
ERR1913060.15318__1.15318	410072__A0A174E1G6__phoR_6
ERR1913060.15357__1.15357	165179__A0A174UTZ7__DXC61_06705
ERR1913060.15486__1.15486	301301__A0A395VAX9__ERS852391_01264
ERR1913060.15673__1.15673	649756__D4MWA6__HMPREF0369_02259
ERR1913060.15755__1.15755	853__A0A174BZY1__xerD_1
ERR1913060.15829__1.15829	1262930__R6ALR2__BN693_00077
ERR1913060.15890__1.15890	28116__D4WLZ3__C5Z02_24105
ERR1913060.15899__1.15899	165179__A0A3E5ED28__PREVCOP_06655
ERR1913060.16247__1.16247	820__A7V049__DXB48_04755
ERR1913060.16367__1.16367	1628085__A0A2U1BAW1__C7386_11048
ERR1913060.16378__1.16378	544644__GCA_001915615.1_01170
ERR1913060.16392__1.16392	821__I9R3W6__DXC16_12455
ERR1913060.16487__1.16487	310298__B3JQJ5__BACCOP_04231
ERR1913060.16583__1.16583	544645__A0A1U7L710__DXC42_05105
ERR1913060.16601__1.16601	820__A0A3E4VZY4__ERS852554_01211
ERR1913060.16859__1.16859	853__A0A2J4JL53__CRH10_10795
ERR1913060.16928__1.16928	166486__D4KZH8__ERS852572_00419
ERR1913060.16947__1.16947	165179__A0A3E5AER8__DXB80_07075
ERR1913060.17018__1.17018	820__A0A174TRB5__DXD40_11305
ERR1913060.17019__1.17019	360807__C0FYL6__ROSEINA2194_03855
ERR1913060.17151__1.17151	165179__A0A229I2W6__PREVCOP_04332
ERR1913060.17207__1.17207	371601__F7LA63__HMPREF1074_04288
ERR1913060.17187__1.17187	1262992__R5DBL4__BN795_01435
ERR1913060.17251__1.17251	216816__A0A1D7UQN6__CE165_02145
ERR1913060.17404__1.17404	33025__A0A395JDV3__C8D73_101685
ERR1913060.17686__1.17686	310298__B3JNR4__BACCOP_03579
ERR1913060.17788__1.17788	310298__B3JM32__BACCOP_00571
ERR1913060.17885__1.17885	821__A0A3E4KIM1__M097_3660
ERR1913060.17921__1.17921	33039__D4M6E9__ERS852390_02866
ERR1913060.17996__1.17996	165179__A0A3E5AHY4__CFT61_07675
ERR1913060.18072__1.18072	1262930__R5ZV69__BN693_01268
ERR1913060.18134__1.18134	106588__A6NUL8__BACCAP_01900
ERR1913060.18506__1.18506	626933__H1DGX0__HMPREF9449_01506
ERR1913060.18526__1.18526	1262930__R6AF63__BN693_02166
ERR1913060.18688__1.18688	360807__A0A0M6WIL3__ERS852444_01365
ERR1913060.19137__1.19137	384639__GCA_003096855.1_00996
ERR1913060.19402__1.19402	1735__A0A395WAL9__EUBIFOR_01618
ERR1913060.19582__1.19582	649756__A0A174B2V7__ERS852475_01064
ERR1913060.19586__1.19586	46503__R6X6L7__HMPREF1060_00291
ERR1913060.19699__1.19699	418240__A0A174T5R0__yehU_2
ERR1913060.19713__1.19713	204516__U6RN30__HMPREF1534_00370
ERR1913060.19898__1.19898	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913060.20273__1.20273	1262930__R6A775__BN693_00822
ERR1913060.20333__1.20333	46503__R6Y2Y6__ERS852463_03103
ERR1913060.20356__1.20356	410072__A0A174DFS8__ERS852574_01251
ERR1913060.20618__1.20618	1262992__R5D0P4__BN795_01631
ERR1913060.20654__1.20654	1263044__GCA_000433375.1_00353
ERR1913060.20663__1.20663	165179__D1PGU8__PREVCOP_06463
ERR1913060.20772__1.20772	821__A0A173XDD3__DXB82_17180
ERR1913060.20940__1.20940	310298__B3JQJ5__BACCOP_04231
ERR1913060.20979__1.20979	821__A0A395US34__C5Z04_18975
ERR1913060.20952__1.20952	116085__D4J5J9__atpH
ERR1913060.21039__1.21039	301301__A0A395V8E1__RHOM_11160
ERR1913060.21180__1.21180	1262930__R6A8N0__BN693_02179
ERR1913060.21203__1.21203	28118__R6FBG5__B5F93_07375
ERR1913060.21282__1.21282	1262930__R6A0L1__BN693_02245
ERR1913060.21571__1.21571	166486__D4KZY5__ROSINTL182_07635
ERR1913060.21749__1.21749	2293125__A0A374CJ42__DW917_03305
ERR1913060.21953__1.21953	166486__D4L301__ROSINTL182_06234
ERR1913060.22064__1.22064	166486__A0A1Q6S852__ERS852572_03466
ERR1913060.22112__1.22112	310298__B3JEV6__BACCOP_00400
ERR1913060.22285__1.22285	821__A0A174WBC9__ERS852556_03145
ERR1913060.22355__1.22355	166486__D4KQG8__ERS852572_02379
ERR1913060.22380__1.22380	821__A0A174NM17__lacZ_6
ERR1913060.22657__1.22657	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.22723__1.22723	39488__C0EYJ6__ERS852578_01971
ERR1913060.22847__1.22847	360807__A0A0M6WIL3__ERS852444_01365
ERR1913060.23019__1.23019	371601__A0A1H4ANE8__SAMN05216250_10552
ERR1913060.23061__1.23061	166486__D4KZ24__ROSINTL182_05766
ERR1913060.23362__1.23362	39496__A5Z7Y6__EUBVEN_01827
ERR1913060.23407__1.23407	310298__B3JJ24__BACCOP_01886
ERR1913060.23518__1.23518	544644__GCA_001915615.1_02130
ERR1913060.23813__1.23813	626933__H1DGX0__HMPREF9449_01506
ERR1913060.23889__1.23889	310298__B3JK49__BACCOP_02273
ERR1913060.23878__1.23878	165179__D1PGU8__PREVCOP_06463
ERR1913060.24005__1.24005	357276__D1K3K9__EL88_23995
ERR1913060.24033__1.24033	357276__A0A1Y3Z6X3__GV66_07715
ERR1913060.24109__1.24109	357276__A0A0K2HNG3__HMPREF1064_03004
ERR1913060.24621__1.24621	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913060.24611__1.24611	39488__C0EY66__prkC_1
ERR1913060.24689__1.24689	46503__R6WWH2__DXB85_00365
ERR1913060.24729__1.24729	821__A0A0P0M405__DXC02_15075
ERR1913060.24831__1.24831	2293125__A0A374CJ42__DW917_03305
ERR1913060.24899__1.24899	357276__A0A076ISJ4__B5F95_19420
ERR1913060.24940__1.24940	328814__GCA_004558275.1_00059
ERR1913060.24989__1.24989	166486__D4KNM9__ERS852572_00072
ERR1913060.24990__1.24990	357276__A0A076INK2__BSEG_04225
ERR1913060.24967__1.24967	820__A0A3E4VXP2__yesR
ERR1913060.25369__1.25369	357276__I9R002__HMPREF1064_01826
ERR1913060.25469__1.25469	1099853__G9S2I6__NSB1T_08700
ERR1913060.25550__1.25550	487174__K0XA11__DDY40_03585
ERR1913060.25689__1.25689	1262948__R7E838__BN671_01455
ERR1913060.25643__1.25643	2293125__A0A374CMK5__DW917_00330
ERR1913060.25894__1.25894	204516__U6R9H3__HMPREF1534_03348
ERR1913060.25905__1.25905	1262930__R5ZV69__BN693_01268
ERR1913060.25974__1.25974	310298__B3JEE8__BACCOP_00239
ERR1913060.26036__1.26036	1262911__R6GSH8__BN557_00939
ERR1913060.25997__1.25997	821__A0A174V2F3__NCTC10583_01474
ERR1913060.26149__1.26149	166486__D4L255__mcp4_5
ERR1913060.26201__1.26201	1262930__R6AYG5__BN693_00491
ERR1913060.26220__1.26220	165179__A0A3E5E4T9__DXB80_08030
ERR1913060.26366__1.26366	46503__K5ZV67__PARMER_03859
ERR1913060.26433__1.26433	28052__R7NBF1__yycG_1
ERR1913060.26644__1.26644	2293125__A0A374C9I8__DW917_06795
ERR1913060.26803__1.26803	446660__GCA_003428235.1_00657
ERR1913060.26987__1.26987	821__A0A397WGD6__M098_0084
ERR1913060.26993__1.26993	820__A0A3E4PYB0__yejM
ERR1913060.26949__1.26949	166486__D4L398__ERS852572_03633
ERR1913060.27107__1.27107	1262930__R6AAD1__BN693_01367
ERR1913060.27113__1.27113	310298__B3JGJ2__BACCOP_00994
ERR1913060.27136__1.27136	853__A0A3E2U7E6__ERS852582_01640
ERR1913060.27138__1.27138	818__A0A0P0FI06__BJP75_017205
ERR1913060.27266__1.27266	166486__D4KJ39__ERS852572_02622
ERR1913060.27333__1.27333	2292284__A0A374VDM7__DXC10_06065
ERR1913060.27370__1.27370	818__D7IK38__ERS852430_03017
ERR1913060.27340__1.27340	544644__GCA_001915615.1_01895
ERR1913060.27419__1.27419	310298__B3JQJ5__BACCOP_04231
ERR1913060.27595__1.27595	165179__A0A3E5AHY4__CFT61_07675
ERR1913060.27602__1.27602	418240__A0A173X9D3__ERS852478_00421
ERR1913060.27609__1.27609	821__A6L0C7__ERS852556_03520
ERR1913060.27793__1.27793	39490__U2PIQ8__ERS852448_02846
ERR1913060.27807__1.27807	552398__F4XAU1__HMPREF0866_00413
ERR1913060.27888__1.27888	165179__D1PHC0__PREVCOP_06640
ERR1913060.27977__1.27977	821__A0A396F9T7__M097_3427
ERR1913060.28245__1.28245	165179__A0A174IPI3__CFT61_10940
ERR1913060.28286__1.28286	310298__B3JQJ5__BACCOP_04231
ERR1913060.28354__1.28354	360807__A0A0M6WW50__ROSEINA2194_00764
ERR1913060.28537__1.28537	626929__F3PLF4__HMPREF9445_03185
ERR1913060.29008__1.29008	39488__A0A374NGR8__soj_6
ERR1913060.29119__1.29119	166486__D4L457__ROSINTL182_07087
ERR1913060.29223__1.29223	310298__B3JQJ5__BACCOP_04231
ERR1913060.29302__1.29302	818__A0A0P0FKC9__Btheta7330_01050
ERR1913060.29474__1.29474	1262930__R6A468__BN693_01366
ERR1913060.29657__1.29657	357276__I9RCD3__IY41_15070
ERR1913060.29765__1.29765	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913060.29737__1.29737	1262930__R6AUX8__BN693_00160
ERR1913060.29842__1.29842	626930__F3PVE3__HMPREF9446_02721
ERR1913060.29864__1.29864	357276__B6W1J2__BACDOR_03380
ERR1913060.29896__1.29896	39486__B0G7K1__HMPREF9457_01526
ERR1913060.30044__1.30044	410072__R6LKC9__ERS852525_01807
ERR1913060.30404__1.30404	39496__A5Z6F8__EUBVEN_01291
ERR1913060.30361__1.30361	418240__A0A174VMW5__ERS852478_01082
ERR1913060.30418__1.30418	823__A0A355XIK0__CEQ22_011965
ERR1913060.30450__1.30450	33039__D4M1A4__ERS852502_00742
ERR1913060.30457__1.30457	853__A0A2A7B9I6__DW855_13690
ERR1913060.30629__1.30629	818__A0A3E5HY51__rpfC_2
ERR1913060.30857__1.30857	39488__A0A173UIN4__EUBHAL_00539
ERR1913060.30912__1.30912	28116__A0A078Q626__HMPREF1070_02735
ERR1913060.31027__1.31027	1262924__R7HR75__BN585_00689
ERR1913060.31042__1.31042	165179__A0A3E5AHY4__CFT61_07675
ERR1913060.31405__1.31405	28132__D9RV83__HMPREF0660_00835
ERR1913060.31496__1.31496	487174__K0X429__HMPREF9448_00932
ERR1913060.31466__1.31466	1262930__R5ZVH8__BN693_01324
ERR1913060.31605__1.31605	820__A0A174EV88__HMPREF1072_01427
ERR1913060.31588__1.31588	2293125__A0A374BN09__DW917_16245
ERR1913060.31747__1.31747	357276__A0A0K2HKT7__B5F95_21090
ERR1913060.32051__1.32051	46506__A0A108TAK3__fepA_3
ERR1913060.32209__1.32209	39488__A0A174IFL3__DXD91_00270
ERR1913060.32235__1.32235	165179__D1PGU8__PREVCOP_06463
ERR1913060.32383__1.32383	1735__A0A395WAL9__EUBIFOR_01618
ERR1913060.32458__1.32458	853__A0A173T751__C4N24_10280
ERR1913060.32748__1.32748	487174__K0X694__DIT83_09060
ERR1913060.32908__1.32908	821__C6Z451__BHV80_04265
ERR1913060.32943__1.32943	1150298__A0A174HEB6__ypdC_2
ERR1913060.33163__1.33163	371601__A0A1H4GXQ8__CW1_1432
ERR1913060.33203__1.33203	165179__A0A229I2W6__PREVCOP_04332
ERR1913060.33236__1.33236	88431__A0A3D0EYE9__rafA
ERR1913060.33355__1.33355	1262930__R6AYK2__BN693_00543
ERR1913060.33391__1.33391	165179__A0A229I2W6__PREVCOP_04332
ERR1913060.33615__1.33615	33039__A0A3D0EY88__ERS852390_03120
ERR1913060.33682__1.33682	821__A0A174T998__DXB82_10860
ERR1913060.33851__1.33851	360807__A0A1Q6T5F3__ERS852392_00510
ERR1913060.34009__1.34009	2293125__A0A374C9I8__DW917_06795
ERR1913060.34160__1.34160	853__A0A173XRA8__CGS56_09290
ERR1913060.34245__1.34245	384639__GCA_003096855.1_00996
ERR1913060.34482__1.34482	165179__D1PGU8__PREVCOP_06463
ERR1913060.34604__1.34604	820__A7V9F9__B5G17_14640
ERR1913060.34707__1.34707	310298__B3JHN9__BACCOP_01401
ERR1913060.34842__1.34842	1262930__R5ZXU1__BN693_01352
ERR1913060.34898__1.34898	204516__U6RPN2__HMPREF1534_00368
ERR1913060.34925__1.34925	853__A0A2J4JL53__CRH10_10795
ERR1913060.35012__1.35012	1262992__R5CWS7__BN795_00754
ERR1913060.35107__1.35107	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.35232__1.35232	2293125__A0A374BUM7__DW917_12980
ERR1913060.35344__1.35344	1262924__R7HMN2__BN585_01573
ERR1913060.35390__1.35390	360807__C0FR49__ROSEINA2194_01203
ERR1913060.35414__1.35414	46503__R6Y0Q3__DCY29_15880
ERR1913060.35530__1.35530	166486__R6AY46__ROSINTL182_06128
ERR1913060.35610__1.35610	2293125__A0A374BN09__DW917_16245
ERR1913060.35904__1.35904	820__A0A139K426__B5G17_09115
ERR1913060.35879__1.35879	626933__H1DGX0__HMPREF9449_01506
ERR1913060.35964__1.35964	853__C7H1R8__DW905_06675
ERR1913060.36166__1.36166	1535__A7VXU2__CLOLEP_03418
ERR1913060.36302__1.36302	853__A0A2A7B1Y7__C7K05_11930
ERR1913060.36420__1.36420	357276__A0A0K2HJA6__DXD47_07320
ERR1913060.36448__1.36448	165179__A0A3E5AHY4__CFT61_07675
ERR1913060.36683__1.36683	310298__B3JFK4__BACCOP_00654
ERR1913060.36716__1.36716	204516__U6R9H3__HMPREF1534_03348
ERR1913060.36995__1.36995	165179__R6B8D8__DXC61_09245
ERR1913060.37177__1.37177	487174__K0XA48__DDY40_03955
ERR1913060.37228__1.37228	1262911__R6HN81__BN557_00921
ERR1913060.37303__1.37303	853__A0A173RZ39__C4N22_01650
ERR1913060.37306__1.37306	821__U6RDC2__DXD46_15675
ERR1913060.37366__1.37366	28052__A0A174H9I6__ERS852451_00172
ERR1913060.37536__1.37536	823__A6LEP0__M091_1976
ERR1913060.37600__1.37600	818__A0A3E5HWN5__BSIG_3066
ERR1913060.38110__1.38110	1262924__R7HQD4__BN585_02072
ERR1913060.38180__1.38180	2293125__A0A374C8A8__DW917_07550
ERR1913060.38280__1.38280	74426__sufB
ERR1913060.38313__1.38313	418240__C6J843__ERS852478_02458
ERR1913060.38383__1.38383	310298__B3JQJ5__BACCOP_04231
ERR1913060.38427__1.38427	33039__A0A174XML0__RTO_02290
ERR1913060.38475__1.38475	1520815__A0A1I3K6R0__SAMN02910435_00571
ERR1913060.38622__1.38622	487174__K0XEB6__DDY40_08400
ERR1913060.38703__1.38703	823__A0A174LWY0__lepB
ERR1913060.39006__1.39006	821__A0A0P0L8F8__ERS852509_03705
ERR1913060.39007__1.39007	165179__A0A229I3Z6__PREVCOP_03666
ERR1913060.39016__1.39016	818__A0A0P0F7K1__ERS852461_02719
ERR1913060.39261__1.39261	360807__A0A1Q6TAV1__ROSEINA2194_00431
ERR1913060.39321__1.39321	1965632__A0A1Y4A628__B5F91_13735
ERR1913060.39550__1.39550	1262930__R6AQM8__BN693_01323
ERR1913060.39634__1.39634	823__D0TCC2__HMPREF1075_01590
ERR1913060.39611__1.39611	39491__A0A396FKI6__mltF
ERR1913060.39614__1.39614	2293125__A0A374BUM7__DW917_12980
ERR1913060.39739__1.39739	823__A6LFW2__M095_1860
ERR1913060.40065__1.40065	310298__B3JGJ2__BACCOP_00994
ERR1913060.40084__1.40084	310298__B3JPD1__BACCOP_02317
ERR1913060.40267__1.40267	28116__I8YA52__M088_0798
ERR1913060.40294__1.40294	1262930__R6AES4__BN693_02093
ERR1913060.40415__1.40415	820__A0A396EWL3__ERS417307_03868
ERR1913060.40426__1.40426	165179__A0A229I2W6__PREVCOP_04332
ERR1913060.40465__1.40465	1262930__R5ZWP2__BN693_01542
ERR1913060.40493__1.40493	823__D7IRG1__NCTC11152_02276
ERR1913060.40601__1.40601	823__A6LEF3__ERS852560_01356
ERR1913060.40675__1.40675	204516__U6RDD8__HMPREF1534_02559
ERR1913060.40676__1.40676	165179__A0A3E5AHY4__CFT61_07675
ERR1913060.40623__1.40623	33039__D4M6V6__yjjG
ERR1913060.40792__1.40792	88431__A0A174G8Q6__ERS852526_02711
ERR1913060.40899__1.40899	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913060.40964__1.40964	853__A0A2A7A4A9__C4N21_14870
ERR1913060.41097__1.41097	820__A0A139K4T0__ERS852510_03146
ERR1913060.41074__1.41074	166486__D4KXK8__xynB_1
ERR1913060.41222__1.41222	2293125__A0A374BSW4__DW917_13420
ERR1913060.41254__1.41254	166486__D4KJ71__ERS852572_03479
ERR1913060.41304__1.41304	357276__B6VVS0__HMPREF1064_03951
ERR1913060.41392__1.41392	301301__A0A173YZL6__RHOM_00815
ERR1913060.41598__1.41598	310298__B3JFK6__BACCOP_00656
ERR1913060.41628__1.41628	626930__F3PYU5__HMPREF9446_03903
ERR1913060.41729__1.41729	820__A0A174KKV6__DXC07_02635
ERR1913060.41809__1.41809	371601__I9A9S3__ERS852396_01220
ERR1913060.42206__1.42206	544644__GCA_001915615.1_02267
ERR1913060.42179__1.42179	166486__D4KXJ6__ERS852572_00336
ERR1913060.42473__1.42473	626932__G5H5D9__HMPREF9450_00149
ERR1913060.42433__1.42433	410072__A0A174GUX6__COPCOM_03717
ERR1913060.42781__1.42781	310298__B3JQJ5__BACCOP_04231
ERR1913060.42813__1.42813	487174__K0WUW8__DDY40_02615
ERR1913060.42954__1.42954	818__A0A1H7X9X1__SAMN02910322_04797
ERR1913060.43093__1.43093	357276__B6VW91__BACDOR_01584
ERR1913060.43115__1.43115	166486__D4L3K7__ERS852572_00904
ERR1913060.43126__1.43126	216816__A0A2U0BT35__BL1206_1860
ERR1913060.43248__1.43248	166486__D4KY48__gmr_5
ERR1913060.43390__1.43390	818__Q8A112__BT_3859
ERR1913060.43546__1.43546	165179__A0A3E5EAM5__DXC61_07785
ERR1913060.43607__1.43607	310298__B3JQJ5__BACCOP_04231
ERR1913060.43673__1.43673	33039__A0A174ZHW3__ERS852424_00452
ERR1913060.43696__1.43696	853__A0A2J4JL53__CRH10_10795
