ERR1913217.134__1.134	1624__A0A089QH34__B6U42_07040
ERR1913217.6447__1.6447	239935__A0A2N8IYM5__CXT84_05130
ERR1913217.6513__1.6513	823__A0A395YX30__M090_4590
ERR1913217.6687__1.6687	1262992__R5DCN3__BN795_00359
ERR1913217.6763__1.6763	564886__GeneID:6973115
ERR1913217.6900__1.6900	820__A0A3E4GA19__SAMN05444418_10562
ERR1913217.7027__1.7027	100886__E2NSF9__rpoB
ERR1913217.7043__1.7043	1262700__R5XBD0__BN695_00459
ERR1913217.7302__1.7302	1550024__A0A3B9WIW5__TQ39_04755
ERR1913217.7350__1.7350	301301__A0A395VDW7__RHOM_05405
ERR1913217.7376__1.7376	1680__A0A174BEE7__BSTER_1311
ERR1913217.7506__1.7506	820__A0A139KJ23__celCCA
ERR1913217.7647__1.7647	357276__A0A076IRX7__HMPREF1064_00526
ERR1913217.7710__1.7710	820__A7V092__hldE
ERR1913217.7788__1.7788	820__A0A173W419__DXC68_17760
ERR1913217.8008__1.8008	1263006__R6LUH1__BN515_01483
ERR1913217.8183__1.8183	357276__A0A076INK2__BSEG_04225
ERR1913217.8194__1.8194	1262882__R5N1T9__BN519_00804
ERR1913217.8507__1.8507	1550024__G9RWW8__TQ39_12140
ERR1913217.8637__1.8637	1681__A0A0H2PP44__BBTM_02041
ERR1913217.8757__1.8757	291645__I9SGK8__HMPREF1068_00004
ERR1913217.8856__1.8856	1680__A0A087DHN0__AL0462_1532
ERR1913217.8881__1.8881	820__A0A396CMY7__HMPREF1072_03009
ERR1913217.8888__1.8888	74426__rpoC
ERR1913217.9074__1.9074	301301__A0A395VEJ3__hupR1
ERR1913217.9250__1.9250	239935__A0A2N8IRL2__CXU06_01170
ERR1913217.9620__1.9620	1550024__A0A0W7TN61__ASJ35_14460
ERR1913217.9671__1.9671	1262911__R6GPM2__BN557_00937
ERR1913217.9875__1.9875	820__A0A3E4W6P0__gmhA
ERR1913217.9952__1.9952	460384__A0A1I0KAM1__SAMN05216313_15910
ERR1913217.10006__1.10006	820__A0A374Q854__HMPREF1073_03281
ERR1913217.10081__1.10081	1262911__R6GPI7__BN557_00907
ERR1913217.10320__1.10320	820__A0A374QGD2__ERS852421_02382
ERR1913217.10418__1.10418	1550024__G9RZG0__ASJ35_05540
ERR1913217.10409__1.10409	1550024__A0A3B9WIA4__TQ39_14495
ERR1913217.10448__1.10448	820__A7V470__HMPREF1072_02076
ERR1913217.10534__1.10534	39496__A5Z5I2__EUBVEN_00963
ERR1913217.10560__1.10560	301301__A0A395V6P9__RHOM_04165
ERR1913217.11036__1.11036	239935__A0A2N8HDT1__CXT94_05270
ERR1913217.11127__1.11127	1262911__R6H2J2__BN557_01228
ERR1913217.11180__1.11180	39488__A0A174CH59__DXD91_12625
ERR1913217.11210__1.11210	239935__R6J5N6__CXT99_10770
ERR1913217.11293__1.11293	820__A0A174CG08__DXB62_13215
ERR1913217.11511__1.11511	357276__A0A076J726__IY41_15030
ERR1913217.11737__1.11737	820__A0A173YYG4__evgS_3
ERR1913217.11778__1.11778	357276__B6VYT9__HMPREF1063_05030
ERR1913217.11968__1.11968	40518__R5DU52__RB5AMG_02245
ERR1913217.12194__1.12194	1680__R5GRA4__ERS852382_01548
ERR1913217.12136__1.12136	649756__L1Q1A0__ERS852425_01427
ERR1913217.12234__1.12234	1235793__R9KSF0__C809_01679
ERR1913217.12335__1.12335	239935__A0A2N8IG27__CXT85_07805
ERR1913217.12296__1.12296	357276__D1K3K9__EL88_23995
ERR1913217.12523__1.12523	1550024__G9RWE3__TQ39_04170
ERR1913217.12589__1.12589	301302__A0A173SCU7__M72_12871
ERR1913217.12602__1.12602	1262911__R6H1K1__BN557_00910
ERR1913217.12713__1.12713	1263006__R6LWV2__BN515_00272
ERR1913217.12790__1.12790	301301__A0A174ENJ9__RHOM_05945
ERR1913217.12802__1.12802	853__A0A3E2U7E6__ERS852582_01640
ERR1913217.12762__1.12762	1550024__G9RY06__TQ39_00225
ERR1913217.12842__1.12842	820__A0A1T4IY71__HMPREF2141_02402
ERR1913217.12924__1.12924	39486__R6TBS7__DXD18_06190
ERR1913217.13124__1.13124	74426__infB
ERR1913217.13128__1.13128	301301__A0A395V944__ERS852391_00514
ERR1913217.13169__1.13169	820__A0A174Q0F0__DXB48_08080
ERR1913217.13148__1.13148	84109__J5W548__HMPREF0762_01696
ERR1913217.13161__1.13161	1111760__A0A1L7LLM3__SRT_18360
ERR1913217.13205__1.13205	1624__F7QS65__A8C45_05765
ERR1913217.13243__1.13243	357276__I9QWN0__ABI39_00335
ERR1913217.13529__1.13529	97478__A0A315ZJJ3__SAMN05216461_10676
ERR1913217.13460__1.13460	1624__A0A385XMI9__A8C42_01405
ERR1913217.13472__1.13472	820__A7V049__DXB48_04755
ERR1913217.13549__1.13549	1624__A0A0F7PQX2__A8C38_02390
ERR1913217.13698__1.13698	28118__R6F6C0__Odosp_0731
ERR1913217.13714__1.13714	301302__A0A0M6WPV4__M72_29701
ERR1913217.13676__1.13676	357276__I9QBT7__BSEG_03340
ERR1913217.13796__1.13796	1262882__R5MYP8__BN519_00439
ERR1913217.13908__1.13908	1358__Q9CGG8__CRM88_04010
ERR1913217.14054__1.14054	239935__A0A139TM51__CXT91_12120
ERR1913217.14234__1.14234	357276__D1JY58__BACDOR_04277
ERR1913217.14402__1.14402	820__A0A139K8N1__ERS852554_00951
ERR1913217.14388__1.14388	239935__A0A2N8IL82__CXU02_11740
ERR1913217.14556__1.14556	820__A0A174R952__DXB48_02570
ERR1913217.14658__1.14658	357276__C3R5A0__B5F00_02960
ERR1913217.14633__1.14633	552398__F4XCR9__HMPREF0866_01636
ERR1913217.14673__1.14673	357276__A0A0M1W9N4__GV66_05135
ERR1913217.14695__1.14695	1262882__R5MT42__BN519_01729
ERR1913217.14765__1.14765	1624__Q1WRR9__A8C45_02380
ERR1913217.14850__1.14850	40520__A0A396A2X4__RUMOBE_00875
ERR1913217.14964__1.14964	820__A0A3E4W4Y7__B5G17_02055
ERR1913217.15094__1.15094	214856__R6Z288__ERS852447_00734
ERR1913217.15131__1.15131	78258__E6K2I5__HMPREF0620_1658
ERR1913217.15399__1.15399	552398__F4XHU2__HMPREF0866_03196
ERR1913217.15435__1.15435	820__A7V8C2__ERS852554_01338
ERR1913217.15603__1.15603	239935__A0A139TPU7__CXT91_06575
ERR1913217.15735__1.15735	1263006__R6MMN2__BN515_01202
ERR1913217.15867__1.15867	1680__A0A173XYA2__B0703_0121
ERR1913217.15971__1.15971	1262911__R6H1A6__BN557_01286
ERR1913217.16018__1.16018	301302__R5UL57__ERS852420_00622
ERR1913217.16267__1.16267	649756__D4MW45__DCR88_11455
ERR1913217.16272__1.16272	1263006__R6LRT3__BN515_00657
ERR1913217.16435__1.16435	1262882__R5N0M6__BN519_00794
ERR1913217.16947__1.16947	1624__F7QST0__A8C46_07655
ERR1913217.16909__1.16909	1624__A0A2A2X0Z9__B6U57_01585
ERR1913217.17002__1.17002	1099853__G9S0P5__NSB1T_11890
ERR1913217.17119__1.17119	853__A0A173YYY4__DWZ04_09420
ERR1913217.17339__1.17339	1550024__A0A0D8J659__TQ39_00125
ERR1913217.17406__1.17406	1262911__R6GT76__BN557_01150
ERR1913217.17723__1.17723	820__A0A139K5E7__DXC68_09550
ERR1913217.17782__1.17782	1681__E4VCD3__BIFI_0514
ERR1913217.17801__1.17801	301301__A0A395V9G1__RHOM_02750
ERR1913217.17858__1.17858	1680__A0A0B5BIU5__BSTER_0145
ERR1913217.17818__1.17818	1550024__G9RWR2__TQ39_04385
ERR1913217.17966__1.17966	1681__K2I8N0__DXD62_05100
ERR1913217.18000__1.18000	28116__D4WJ30__DHW41_06080
ERR1913217.18071__1.18071	39492__D4JUS6__accD5
ERR1913217.18121__1.18121	239935__R6JD78__CXU05_09250
ERR1913217.18157__1.18157	820__A0A174CG08__DXB62_13215
ERR1913217.18317__1.18317	552398__T5S086__HMPREF0866_01580
ERR1913217.18323__1.18323	1680__R5GR82__AD0028_0014
ERR1913217.18427__1.18427	31754__GeneID:921302
ERR1913217.18433__1.18433	246787__R6KM92__AA416_01456
ERR1913217.18567__1.18567	1262882__R5N0M6__BN519_00794
ERR1913217.18627__1.18627	1628085__A0A374VSS7__C7386_101299
ERR1913217.18699__1.18699	563769__GeneID:6973158
ERR1913217.18709__1.18709	1263006__R6LWH5__BN515_00768
ERR1913217.18779__1.18779	1263109__GCA_000438135.1_01422
ERR1913217.19055__1.19055	1099853__G9S612__NSB1T_01470
ERR1913217.19084__1.19084	1550024__G9RPG8__TQ39_05515
ERR1913217.19176__1.19176	46503__R6Y449__ERS852463_00137
ERR1913217.19186__1.19186	552398__F4XCQ4__HMPREF0866_01621
ERR1913217.19197__1.19197	1550024__G9RPG8__TQ39_05515
ERR1913217.19330__1.19330	239935__R6J5N6__CXT99_10770
ERR1913217.19339__1.19339	78535__A0A380M1P9__trkH_2
ERR1913217.19606__1.19606	820__A0A174NUS8__DXC80_12885
ERR1913217.19515__1.19515	1624__A0A385XPP5__A8C55_08405
ERR1913217.19682__1.19682	1147149__GeneID:14183014
ERR1913217.19768__1.19768	544580__A0A1Q8VTP3__BKH24_02655
ERR1913217.19901__1.19901	1262911__R6GKW2__BN557_01379
ERR1913217.19964__1.19964	552398__F4XCR9__HMPREF0866_01636
ERR1913217.20069__1.20069	1965547__A0A1Y4U0T3__B5E62_04740
ERR1913217.20179__1.20179	1262882__R5N211__BN519_01033
ERR1913217.20202__1.20202	69974__A0A090FEL8__MPL3365_630008
ERR1913217.20468__1.20468	357276__A0A174L570__GV66_05720
ERR1913217.20519__1.20519	239935__A0A2N8IIB9__CXU04_01970
ERR1913217.20628__1.20628	1262911__R6H2B5__BN557_01151
ERR1913217.20705__1.20705	1262882__R5MHZ2__BN519_00742
ERR1913217.20661__1.20661	1262911__R6H0U7__BN557_01104
ERR1913217.20668__1.20668	40518__R5DX31__DXD86_09775
ERR1913217.20671__1.20671	357276__I8WPR6__EL88_06675
ERR1913217.20898__1.20898	1263006__R6LPA6__BN515_01864
ERR1913217.21043__1.21043	88431__R7FUI2__ERS852423_02700
ERR1913217.21088__1.21088	1550024__G9RT86__ASJ35_16935
ERR1913217.21199__1.21199	239935__A0A2N8I8X8__B5G29_00185
ERR1913217.21360__1.21360	357276__I8WBQ9__HMPREF1065_03212
ERR1913217.21378__1.21378	394340__carB
ERR1913217.21381__1.21381	563769__GeneID:6973158
ERR1913217.21464__1.21464	239935__A0A2N8HHY4__DEF40_10850
ERR1913217.21467__1.21467	630129__A0A087D065__BKAS_1991
ERR1913217.21558__1.21558	1262911__R6H174__BN557_01246
ERR1913217.21613__1.21613	1262911__R6H174__BN557_01246
ERR1913217.21673__1.21673	239935__A0A2N8IL82__CXU02_11740
ERR1913217.21903__1.21903	301302__R5UTG6__M72_25801
ERR1913217.21958__1.21958	1262882__R5ML49__BN519_01361
ERR1913217.21960__1.21960	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913217.22315__1.22315	239935__A0A2N8HTZ8__CXU09_01270
ERR1913217.22361__1.22361	40520__A0A3E5EMQ4__DXD81_00675
ERR1913217.22718__1.22718	671232__A0A2I1UUE7__ANG6_1082
ERR1913217.22848__1.22848	820__A0A139K426__B5G17_09115
ERR1913217.23092__1.23092	239935__A0A2N8IEP3__CXT84_03735
ERR1913217.23211__1.23211	823__A0A173VS36__M091_4727
ERR1913217.23342__1.23342	1680__A0A1X3AAI9__BADO_1163
ERR1913217.23378__1.23378	1262924__R7HQS1__BN585_00657
ERR1913217.23406__1.23406	301302__R5ULQ3__ERS852420_02626
ERR1913217.23428__1.23428	552398__F4XCQ4__HMPREF0866_01621
ERR1913217.23595__1.23595	1099853__G9S4N2__NSB1T_14365
ERR1913217.23898__1.23898	1262882__R5MGX3__BN519_00046
ERR1913217.23934__1.23934	552398__T5S086__HMPREF0866_01580
ERR1913217.23954__1.23954	1147152__GeneID:14181982
ERR1913217.23926__1.23926	239935__B2UPZ6__CXU03_03800
ERR1913217.24080__1.24080	446660__GCA_003428235.1_02337
ERR1913217.24259__1.24259	40518__R5DR39__mreB_2
ERR1913217.24317__1.24317	1263006__R6MR77__BN515_00434
ERR1913217.24341__1.24341	706562__GCA_900112995.1_02127
ERR1913217.24356__1.24356	820__A0A174LJB2__HMPREF1072_04112
ERR1913217.24360__1.24360	1262882__R5N526__BN519_01603
ERR1913217.24485__1.24485	820__A0A3E4VZT7__DXB48_16145
ERR1913217.24583__1.24583	820__A0A174P0L5__glcK_3
ERR1913217.24627__1.24627	1263006__R6M176__BN515_00274
ERR1913217.24707__1.24707	1262911__R6H1M1__BN557_00925
ERR1913217.25046__1.25046	1550024__A0A3B9WJJ2__TQ39_18110
ERR1913217.25010__1.25010	820__A0A3E4RTP0__C801_01067
ERR1913217.25135__1.25135	1263006__R6LMY4__BN515_01429
ERR1913217.25110__1.25110	239935__R6JD78__CXU05_09250
ERR1913217.25157__1.25157	820__A0A3E4WA06__ERS852554_03404
ERR1913217.25242__1.25242	1550024__A0A0D8IYB1__TQ39_12130
ERR1913217.25542__1.25542	116085__D4J803__DW747_06090
ERR1913217.25708__1.25708	820__A0A3E4VZY4__ERS852554_01211
ERR1913217.25717__1.25717	1263006__R6LYR2__BN515_01475
ERR1913217.25700__1.25700	820__A0A174CK74__DXB48_07060
ERR1913217.25790__1.25790	246787__A0A0P0FVC6__BACCELL_03671
ERR1913217.25802__1.25802	1262911__R6GT76__BN557_01150
ERR1913217.25761__1.25761	357276__A0A076IKP7__BACDOR_04239
ERR1913217.25840__1.25840	28116__A0A395VZB9__Bovatus_03205
ERR1913217.25886__1.25886	1681__A0A286TCN9__LMG13195_0626
ERR1913217.25976__1.25976	1099853__G9S2Y2__NSB1T_11350
ERR1913217.26165__1.26165	820__A7V092__hldE
ERR1913217.26303__1.26303	820__I9J701__ERS852510_01809
ERR1913217.26351__1.26351	671232__E6IYU0__HMPREF1126_0108
ERR1913217.26467__1.26467	239935__A0A2N8HQY4__CXT99_03170
ERR1913217.26551__1.26551	2173__A0A1D2WX19__METSMIF1_03132
ERR1913217.26768__1.26768	820__A0A174CG08__DXB62_13215
ERR1913217.26934__1.26934	1263006__R6LYA7__BN515_01307
ERR1913217.27002__1.27002	97478__A0A0D4CMG7__SAMN05216461_101234
ERR1913217.26975__1.26975	1681__A0A292G5S9__BBPR_1493
ERR1913217.26997__1.26997	820__A0A174LIN6__HMPREF1072_03144
ERR1913217.27079__1.27079	301301__A0A395V8W4__RHOM_04130
ERR1913217.27135__1.27135	1628085__A0A3E2XTK8__C7386_10217
ERR1913217.27317__1.27317	1363__K2PIH9__fba
ERR1913217.27364__1.27364	239935__R6JAS2__CXU02_10725
ERR1913217.27514__1.27514	40518__R5DP61__DXD86_06345
ERR1913217.27613__1.27613	1263000__R5ENX7__BN466_02096
ERR1913217.27708__1.27708	1111760__A0A1L7LLZ6__SRT_19730
ERR1913217.27816__1.27816	820__A0A139JRS5__HMPREF1073_04025
ERR1913217.27777__1.27777	357276__I8WPR6__EL88_06675
ERR1913217.27780__1.27780	1309__Q8DTL7__SMU63_07295
ERR1913217.27955__1.27955	820__A0A3E4FZM1__adaA_2
ERR1913217.27979__1.27979	1263006__R6LZM6__BN515_01762
ERR1913217.28033__1.28033	40518__R5DVR2__RBL236_00303
ERR1913217.28005__1.28005	69974__A0A090FEL8__MPL3365_630008
ERR1913217.28145__1.28145	1099853__G9S2I3__NSB1T_08715
ERR1913217.28166__1.28166	823__A0A355XKR1__DHP27_04035
ERR1913217.28122__1.28122	40518__R5DP21__RBATCC27255_00348
ERR1913217.28375__1.28375	626940__E8LBW8__DCQ00_03950
ERR1913217.28488__1.28488	158787__A0A087D3D2__BSCA_0369
ERR1913217.28584__1.28584	39492__B0MNL5__phoR_1
ERR1913217.28789__1.28789	357276__D1JYA0__EL88_06560
ERR1913217.28928__1.28928	239935__A0A2N8HW65__CXU09_08515
ERR1913217.28965__1.28965	1680__R5GRA4__ERS852382_01548
ERR1913217.29150__1.29150	218139__GCA_002259595.1_00686
ERR1913217.29497__1.29497	1160721__R6U7V4__BHW50_02190
ERR1913217.29542__1.29542	818__A0A3E5HHE1__Btheta7330_00796
ERR1913217.29738__1.29738	552398__F4XCR9__HMPREF0866_01636
ERR1913217.29758__1.29758	1262911__R6H174__BN557_01246
ERR1913217.29968__1.29968	823__A6LHK0__M090_1297
ERR1913217.29984__1.29984	158787__A0A087DIL2__BBSC_1000
ERR1913217.30170__1.30170	1596__A0A1V3Y1A3__M497_03325
ERR1913217.30247__1.30247	1680__A0A0B5BKZ3__DXD60_01450
ERR1913217.30382__1.30382	239935__A0A139TT05__CXU09_03335
ERR1913217.30470__1.30470	820__A0A174B4N2__M093_2531
ERR1913217.30412__1.30412	1262911__R6HN72__BN557_00911
ERR1913217.30604__1.30604	820__A0A139KJ23__celCCA
ERR1913217.30655__1.30655	301302__R5UK77__M72_08681
ERR1913217.30670__1.30670	78535__A0A0P0N9J4__strH
ERR1913217.30681__1.30681	78258__I8UNL8__A200_03389
ERR1913217.30798__1.30798	40518__R5DQD6__DXD83_09060
ERR1913217.30802__1.30802	1263006__R6LT73__BN515_01094
ERR1913217.30870__1.30870	1550024__G9RTA6__TQ39_10970
ERR1913217.30942__1.30942	712124__F9EC34__HMPREF9062_0006
ERR1913217.30945__1.30945	563769__GeneID:6973141
ERR1913217.31025__1.31025	853__C7H1R8__DW905_06675
ERR1913217.31114__1.31114	1550024__A0A0W7TNX6__ASJ35_13710
ERR1913217.31287__1.31287	301301__A0A395V407__ERS852391_02230
ERR1913217.31494__1.31494	1262911__R6GLH3__BN557_00339
ERR1913217.31522__1.31522	1262882__R5MIW5__BN519_00945
ERR1913217.31613__1.31613	357276__C3R9Y0__HMPREF1064_01889
ERR1913217.31575__1.31575	820__A7V470__HMPREF1072_02076
ERR1913217.31589__1.31589	1263006__R6LR21__BN515_00462
ERR1913217.32038__1.32038	1624__A0A089QF62__B6U51_07730
ERR1913217.32082__1.32082	147206__GCF_000156215.1_01776
ERR1913217.32150__1.32150	1262924__R7HQ03__BN585_01295
ERR1913217.32170__1.32170	1262882__R5MSX6__BN519_01697
ERR1913217.32317__1.32317	1680__A0A0B5BME4__DXD63_05015
ERR1913217.32236__1.32236	1160721__W0U2W0__BHW50_02075
ERR1913217.32371__1.32371	360807__C0FRZ9__RIL183_20711
ERR1913217.32490__1.32490	39492__D4JTF5__ybeY
ERR1913217.32688__1.32688	357276__A6L053__ABI39_04450
ERR1913217.32776__1.32776	853__A0A3E2V168__FAEPRAM212_00929
ERR1913217.32982__1.32982	357276__A0A1Y3Z6X3__GV66_07715
ERR1913217.33117__1.33117	1624__A0A385XQT6__B6U46_02745
ERR1913217.33063__1.33063	820__A0A139KIL9__DXC68_05945
ERR1913217.33139__1.33139	820__A0A173YYG4__evgS_3
ERR1913217.33203__1.33203	1262911__R6GPC5__BN557_00852
ERR1913217.33378__1.33378	820__A7V9F9__B5G17_14640
ERR1913217.33341__1.33341	1262882__R5MLP0__BN519_01597
ERR1913217.33417__1.33417	1262911__R6GY78__BN557_00532
ERR1913217.33562__1.33562	100886__A0A174GWP1__CATMIT_01006
ERR1913217.34045__1.34045	1262882__R5N3H1__BN519_01121
ERR1913217.34265__1.34265	74426__thrZ
ERR1913217.34376__1.34376	357276__C3R5A0__B5F00_02960
ERR1913217.34381__1.34381	40518__R5E6U1__yunB
ERR1913217.34396__1.34396	1680__A0A076JNH5__DXC60_03835
ERR1913217.34469__1.34469	357276__A0A076INK2__BSEG_04225
ERR1913217.34529__1.34529	1150298__R7JUS7__ytlR
ERR1913217.34667__1.34667	1263006__R6LV21__BN515_00171
ERR1913217.34794__1.34794	1263107__GCA_000436995.1_00211
ERR1913217.34856__1.34856	1262911__R6H212__BN557_01031
ERR1913217.34875__1.34875	1624__A0A089RV33__HMPREF0545_0267
ERR1913217.35040__1.35040	301301__A0A395VA99__rpfG_5
ERR1913217.35172__1.35172	357276__A0A076INK2__BSEG_04225
ERR1913217.35238__1.35238	706562__GCA_900112995.1_02127
ERR1913217.35255__1.35255	239935__A0A2N8HBM4__CXT85_06270
ERR1913217.35281__1.35281	1624__A0A385XKU0__A8C52_05550
ERR1913217.35470__1.35470	1262803__R6NL95__BN649_00814
ERR1913217.35694__1.35694	357276__I9QBT7__BSEG_03340
ERR1913217.35723__1.35723	40518__R5DZU5__RBL263_00458
ERR1913217.35977__1.35977	357276__C3R9Y0__HMPREF1064_01889
ERR1913217.36101__1.36101	552398__F4XCR9__HMPREF0866_01636
ERR1913217.36119__1.36119	301301__A0A395V7N0__ERS852391_02330
ERR1913217.36222__1.36222	745368__A0A1T4XS74__SAMN02745178_02179
ERR1913217.36514__1.36514	820__A0A374Q854__HMPREF1073_03281
ERR1913217.36571__1.36571	1099853__U5CCB3__NSB1T_08590
ERR1913217.36704__1.36704	1099853__R7DH49__NSB1T_05240
ERR1913217.36781__1.36781	1680__A0A2R4G1K8__BBMN23_0315
ERR1913217.36936__1.36936	1262882__R5N211__BN519_01033
ERR1913217.37034__1.37034	357276__B6VVS0__HMPREF1064_03951
ERR1913217.37094__1.37094	1262882__R5N0F4__BN519_00593
ERR1913217.37107__1.37107	357276__D1JZM4__HMPREF1065_01278
ERR1913217.37072__1.37072	820__A7V9F9__B5G17_14640
ERR1913217.37149__1.37149	239935__A0A2N8I1R3__CXU05_06075
ERR1913217.37204__1.37204	40518__R5DZ88__DXD93_06320
ERR1913217.37214__1.37214	1263006__R6M2H0__BN515_00628
ERR1913217.37364__1.37364	1304__A0A1V0H6X5__CQA85_03155
ERR1913217.37437__1.37437	626940__R6XX39__DCQ00_06610
ERR1913217.37574__1.37574	39486__R6SE83__DXD82_03080
ERR1913217.37732__1.37732	552398__F4XCR9__HMPREF0866_01636
ERR1913217.37781__1.37781	100886__E2NR13__CATMIT_01017
ERR1913217.37814__1.37814	853__D4K7X0__DW905_09540
ERR1913217.37836__1.37836	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913217.37962__1.37962	823__A0A078SYK6__DXB14_02485
ERR1913217.37995__1.37995	214856__R5UN64__ERS852447_02669
ERR1913217.38224__1.38224	227942__H4GKM2__FC60_GL000355
ERR1913217.38241__1.38241	1680__A7A7Z9__AAX71_05385
ERR1913217.38331__1.38331	820__A0A139KHX1__HMPREF2141_00289
ERR1913217.38400__1.38400	1624__A0A089RVX1__A8C47_04565
ERR1913217.38467__1.38467	1680__A0A173Y6N7__yhaH
ERR1913217.38589__1.38589	1304__A0A1W5ZCY0__CKU37_03270
ERR1913217.38616__1.38616	552398__F4XCR9__HMPREF0866_01636
ERR1913217.38770__1.38770	820__A0A3E4GA19__SAMN05444418_10562
ERR1913217.38815__1.38815	1550024__G9RP69__ASJ35_11625
ERR1913217.38892__1.38892	29361__B6FRT6__CLONEX_02860
ERR1913217.39000__1.39000	820__R9I3N4__M093_0061
ERR1913217.39025__1.39025	1681__K2H7F8__A0008_1255
ERR1913217.39347__1.39347	1262882__R5MGX3__BN519_00046
ERR1913217.39384__1.39384	1262700__R5XBD0__BN695_00459
ERR1913217.39502__1.39502	1262911__R6GPM2__BN557_00937
ERR1913217.39593__1.39593	158787__A0A087DJ24__BSCA_0555
ERR1913217.39560__1.39560	1680__A0A174BEE7__BSTER_1311
ERR1913217.39651__1.39651	1550024__A0A3B9WIB6__TQ39_08435
ERR1913217.39789__1.39789	88431__A0A3D0EYA4__atpH
