ERR1913143.22__1.22	40518__R5DP61__DXD86_06345
ERR1913143.3608__1.3608	239935__R7DVW2__CXU02_03915
ERR1913143.4032__1.4032	239935__A0A2N8I368__CXT95_04550
ERR1913143.4151__1.4151	102148__E7ML96__HMPREF9430_00387
ERR1913143.4189__1.4189	239935__A0A139TPD8__CXU12_11015
ERR1913143.4312__1.4312	820__A7VAS1__HMPREF2141_03259
ERR1913143.4380__1.4380	820__A0A174F696__macB_13
ERR1913143.4540__1.4540	818__Q8A3A6__Btheta7330_00071
ERR1913143.4445__1.4445	239935__R7DVL7__CXT93_01180
ERR1913143.4566__1.4566	357276__B6VXX7__HMPREF1063_02683
ERR1913143.4679__1.4679	1501391__GCA_000786575.1_00012
ERR1913143.4727__1.4727	357276__I9FRW5__B5F95_21685
ERR1913143.4743__1.4743	239935__A0A139TPU7__CXT91_06575
ERR1913143.4780__1.4780	1262882__R5N3T7__BN519_01188
ERR1913143.4781__1.4781	47678__R5UAY9__DW706_07200
ERR1913143.4840__1.4840	39485__C4Z0I4__ERS852492_00258
ERR1913143.4976__1.4976	39491__A0A395ZEN3__DXD95_12655
ERR1913143.5140__1.5140	820__A0A174QT76__B5G17_18060
ERR1913143.5165__1.5165	239935__A0A2N8J1K0__CXT97_05765
ERR1913143.5451__1.5451	818__A0A0N7I9M6__Btheta7330_00939
ERR1913143.5690__1.5690	745368__A0A1T4Y437__SAMN02745178_02934
ERR1913143.5692__1.5692	214856__R6XNE7__ERS852447_02267
ERR1913143.5715__1.5715	817__A0A2M9V8W4__M140_0910
ERR1913143.5861__1.5861	1501391__GCA_000786575.1_00081
ERR1913143.5827__1.5827	357276__I9FTR0__HMPREF1065_02861
ERR1913143.6118__1.6118	1262882__R5MLT4__BN519_01496
ERR1913143.6127__1.6127	1501391__GCA_000786575.1_00102
ERR1913143.6212__1.6212	457421__C5ERC0__CBFG_04276
ERR1913143.6294__1.6294	820__A0A3E4VZT7__DXB48_16145
ERR1913143.6298__1.6298	853__A0A174CVG7__CGS58_09335
ERR1913143.6628__1.6628	39486__R6SFA1__DXC93_11325
ERR1913143.6663__1.6663	1262911__R6GHG8__BN557_01301
ERR1913143.6781__1.6781	239935__A0A139TVJ4__CXT86_02020
ERR1913143.6813__1.6813	239935__A0A2N8HBM4__CXT85_06270
ERR1913143.6967__1.6967	35833__E5Y4F1__HMPREF0179_01063
ERR1913143.7024__1.7024	47678__R5U7P3__DXB67_08985
ERR1913143.7184__1.7184	357276__A0A174L570__GV66_05720
ERR1913143.7225__1.7225	239935__A0A2N8HSC0__CXU06_05505
ERR1913143.7375__1.7375	820__A7V092__hldE
ERR1913143.7600__1.7600	823__A0A355XN73__DXC05_07000
ERR1913143.7614__1.7614	40518__R5DS23__DXD86_01715
ERR1913143.7656__1.7656	1965560__A0A1Y4RFR5__B5E82_15700
ERR1913143.7807__1.7807	88431__A0A3D0EZF7__DXB16_08475
ERR1913143.7907__1.7907	818__Q8A0R7__ERS852461_00039
ERR1913143.8105__1.8105	239935__A0A2N8I390__CXU16_10675
ERR1913143.8110__1.8110	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913143.8168__1.8168	820__A0A3E4RU03__M093_0563
ERR1913143.8227__1.8227	239935__A0A2N8I6R6__CXU04_04335
ERR1913143.8182__1.8182	820__A0A3E4W9D9__B5G17_12400
ERR1913143.8199__1.8199	820__A0A3E4G3J9__ERS852459_02265
ERR1913143.8466__1.8466	1262882__R5MYX5__BN519_00333
ERR1913143.8737__1.8737	1897011__A0A1Q6RFC7__BHW41_03540
ERR1913143.8856__1.8856	239935__A0A2N8IKW7__pstA
ERR1913143.9012__1.9012	471189__GCA_003340385.1_00757
ERR1913143.9087__1.9087	1501391__GCA_000786575.1_00120
ERR1913143.9157__1.9157	1262882__R5MPY4__BN519_01128
ERR1913143.9248__1.9248	357276__I9FRW5__B5F95_21685
ERR1913143.9261__1.9261	1501391__GCA_000786575.1_00038
ERR1913143.9241__1.9241	39492__D4JTI2__ERS852540_00694
ERR1913143.9358__1.9358	820__A0A174GYA8__DXB64_07370
ERR1913143.9446__1.9446	818__R7KZF1__C5Z03_07410
ERR1913143.9598__1.9598	1550024__A0A0D8IYM8__ASJ35_18670
ERR1913143.9804__1.9804	649756__D4MW50__HMPREF0369_01323
ERR1913143.10069__1.10069	1262882__R5N4P6__BN519_01346
ERR1913143.10291__1.10291	1262992__R5DDW9__BN795_00572
ERR1913143.10369__1.10369	820__A0A174M9V5__M093_0237
ERR1913143.10502__1.10502	818__A0A1H7TGM1__BJP75_010615
ERR1913143.10472__1.10472	853__A0A174C5M1__CGS58_04460
ERR1913143.10574__1.10574	239935__A0A2N8IRH4__CXT92_05605
ERR1913143.10650__1.10650	649756__B0NZZ8__DO83_09740
ERR1913143.10531__1.10531	820__A0A139K426__B5G17_09115
ERR1913143.10553__1.10553	1262882__R5MKV8__BN519_01281
ERR1913143.10698__1.10698	46506__A0A120A3P8__SAMN05444283_1172
ERR1913143.10706__1.10706	820__A0A396EXA7__DXB37_15530
ERR1913143.10868__1.10868	1897011__A0A1Q6RE76__BHW41_04850
ERR1913143.10786__1.10786	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913143.10829__1.10829	1262882__R5MLE6__BN519_01423
ERR1913143.11051__1.11051	40518__R5DMZ0__DXD83_05610
ERR1913143.11084__1.11084	1262911__R6H2J2__BN557_01228
ERR1913143.11319__1.11319	47678__R5U978__ERS852558_01076
ERR1913143.11358__1.11358	239935__R7DVL7__CXT93_01180
ERR1913143.11380__1.11380	39492__D4JR20__trmD
ERR1913143.11421__1.11421	239935__R6JCH3__CXT95_08205
ERR1913143.11681__1.11681	239935__A0A3F3K985__CXT98_05805
ERR1913143.11686__1.11686	1150298__A0A174GDE8__ERS852535_00119
ERR1913143.11876__1.11876	820__A7UYX8__DXD40_11635
ERR1913143.11990__1.11990	357276__B6W5Q9__HMPREF1063_03125
ERR1913143.12046__1.12046	820__A0A3E5E0T0__ERS852554_00312
ERR1913143.12072__1.12072	820__A0A174LJB2__HMPREF1072_04112
ERR1913143.12166__1.12166	818__R7KP04__C5Z03_18665
ERR1913143.12176__1.12176	1501391__GCA_000786575.1_00083
ERR1913143.12278__1.12278	820__A0A3E4W4Y7__B5G17_02055
ERR1913143.12336__1.12336	46506__B0NQN6__AA415_00632
ERR1913143.12384__1.12384	820__A0A139K4W1__M093_0353
ERR1913143.12562__1.12562	818__Q8A0R7__ERS852461_00039
ERR1913143.12604__1.12604	239935__A0A2N8IF99__lpdA
ERR1913143.12809__1.12809	1263000__R5EMW8__BN466_00256
ERR1913143.12890__1.12890	239935__A0A2N8I3G2__CXT89_00720
ERR1913143.13334__1.13334	239935__A0A2N8ITX2__CXT86_11265
ERR1913143.13499__1.13499	410072__A0A3E4GT65__ERS852574_02325
ERR1913143.13512__1.13512	39496__A5Z778__EUBVEN_01561
ERR1913143.13593__1.13593	1262882__R5MGI7__BN519_00643
ERR1913143.13794__1.13794	820__A0A174Q0F0__DXB48_08080
ERR1913143.13797__1.13797	40518__R5DRY6__RB5AMG_00549
ERR1913143.13824__1.13824	239935__A0A2N8I390__CXU16_10675
ERR1913143.13837__1.13837	820__A0A139JUD3__DXC91_19380
ERR1913143.14205__1.14205	46503__A0A3E4ZW69__DXB85_02690
ERR1913143.14241__1.14241	853__E2ZJT1__C4N23_03535
ERR1913143.14255__1.14255	84112__F0HJU4__Elen_0723
ERR1913143.14269__1.14269	47678__R5UT83__DW706_09750
ERR1913143.14289__1.14289	239935__B2UNC5__B5G29_07685
ERR1913143.15244__1.15244	47678__R5UXY0__CGC64_03535
ERR1913143.15286__1.15286	820__A0A3E4VZS7__DXC07_14435
ERR1913143.15287__1.15287	1262882__R5N4F5__BN519_01266
ERR1913143.15289__1.15289	47678__R5V127__HMPREF1061_04334
ERR1913143.15299__1.15299	239935__A0A2N8ITX2__CXT86_11265
ERR1913143.15355__1.15355	239935__A0A2N8HT18__CXT93_06135
ERR1913143.15382__1.15382	820__A0A139K426__B5G17_09115
ERR1913143.15553__1.15553	1501391__GCA_000786575.1_00075
ERR1913143.15568__1.15568	357276__D1K526__GV66_17250
ERR1913143.15576__1.15576	239935__A0A2N8I8X8__B5G29_00185
ERR1913143.15645__1.15645	40518__R5DZM6__lytR_3
ERR1913143.16006__1.16006	1263000__R5EK63__BN466_02075
ERR1913143.16107__1.16107	1263000__R5EXT3__BN466_02213
ERR1913143.16122__1.16122	2137880__A0A316P679__DBY21_00300
ERR1913143.16452__1.16452	1262882__R5MEK3__BN519_00296
ERR1913143.16550__1.16550	821__C6ZAA5__ERS852556_00403
ERR1913143.16830__1.16830	239935__R7DVL7__CXT93_01180
ERR1913143.16845__1.16845	820__A0A139K5A6__DXB48_12175
ERR1913143.16990__1.16990	39488__A0A173U8N3__yhbU_1
ERR1913143.17196__1.17196	310298__B3JH49__BACCOP_01205
ERR1913143.17262__1.17262	820__A0A174LJB2__HMPREF1072_04112
ERR1913143.17509__1.17509	1501391__GCA_000786575.1_00043
ERR1913143.17753__1.17753	47678__R5UZM4__DW706_15680
ERR1913143.18207__1.18207	820__R7E9Z4__DXC68_06065
ERR1913143.18292__1.18292	40518__R5E282__DXD86_08940
ERR1913143.18481__1.18481	818__A0A139K2A0__SAMN02910322_00898
ERR1913143.18760__1.18760	239935__B2URG6__CXU02_00030
ERR1913143.18770__1.18770	820__A0A3E4PYB0__yejM
ERR1913143.18938__1.18938	310298__B3JQJ5__BACCOP_04231
ERR1913143.19103__1.19103	820__R9HXK9__DXB62_08265
ERR1913143.19171__1.19171	1550024__A0A3B9WJJ2__TQ39_18110
ERR1913143.19263__1.19263	410072__A0A174J5N8__sbcC
ERR1913143.19540__1.19540	239935__A0A2N8HUU6__CXT90_06150
ERR1913143.19671__1.19671	338188__R6S5J0__HMPREF1057_01983
ERR1913143.19888__1.19888	1262992__R5D3X7__BN795_00539
ERR1913143.19938__1.19938	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913143.19975__1.19975	39492__A0A174ZL16__EUBSIR_01269
ERR1913143.20151__1.20151	47678__A5ZI88__BACCAC_02617
ERR1913143.20231__1.20231	818__A0A396E023__ERS852430_02808
ERR1913143.20425__1.20425	820__A0A174VD39__DXD90_12235
ERR1913143.20431__1.20431	1262882__R5MKX1__BN519_01297
ERR1913143.20410__1.20410	40518__R5DT93__DXD86_08730
ERR1913143.20536__1.20536	820__A0A174F0C1__nreB
ERR1913143.20606__1.20606	239935__A0A2N8I694__CXU04_06245
ERR1913143.20661__1.20661	1501391__GCA_000786575.1_00055
ERR1913143.20872__1.20872	1501391__GCA_000786575.1_00077
ERR1913143.20900__1.20900	1550024__G9RTW5__TQ39_08270
ERR1913143.20941__1.20941	820__A0A139K5A6__DXB48_12175
ERR1913143.21387__1.21387	35833__E5Y8N1__HMPREF0179_02549
ERR1913143.21515__1.21515	357276__I9G0T7__BACDOR_04266
ERR1913143.22109__1.22109	1262882__R5N3H1__BN519_01121
ERR1913143.22294__1.22294	239935__A0A2N8HW65__CXU09_08515
ERR1913143.22460__1.22460	820__A0A174QT76__B5G17_18060
ERR1913143.22462__1.22462	239935__R6K0V8__CXT94_02055
ERR1913143.22679__1.22679	1262882__R5MYP8__BN519_00439
ERR1913143.22682__1.22682	239935__A0A2N8HEH9__CXU07_11710
ERR1913143.22738__1.22738	47678__R5UMP1__CGC64_03365
ERR1913143.22941__1.22941	820__A0A173WUD7__DXB48_08055
ERR1913143.22960__1.22960	239935__A0A139TPD4__CXT86_06450
ERR1913143.23031__1.23031	820__A0A174A6K0__M093_0079
ERR1913143.23106__1.23106	214856__A0A173YE57__ERS852559_00126
ERR1913143.23254__1.23254	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913143.23255__1.23255	820__A0A396EUV1__B5G17_06465
ERR1913143.23360__1.23360	820__A0A3E4IGA7__DXD40_07110
ERR1913143.23414__1.23414	820__A0A3E4PYB0__yejM
ERR1913143.23550__1.23550	116085__D4JAK3__DW747_10755
ERR1913143.23732__1.23732	46503__R6X3F9__DCY29_09585
ERR1913143.23919__1.23919	1262882__R5MF43__BN519_00282
ERR1913143.24159__1.24159	1262882__R5MGS8__BN519_00565
ERR1913143.24369__1.24369	818__A0A396EA53__ERS852557_04332
ERR1913143.24723__1.24723	820__A0A174VD39__DXD90_12235
ERR1913143.24864__1.24864	1501391__GCA_000786575.1_00060
ERR1913143.24950__1.24950	1550024__A0A0D8IYY8__TQ39_09180
ERR1913143.25041__1.25041	853__C7H7F5__DWZ46_01780
ERR1913143.25241__1.25241	310298__B3JQJ5__BACCOP_04231
ERR1913143.25332__1.25332	1262882__R5MKF5__BN519_00316
ERR1913143.25466__1.25466	239935__A0A3F3K9J9__DEF40_00940
ERR1913143.25645__1.25645	1263000__R5EC87__BN466_00713
ERR1913143.25932__1.25932	47678__R5UER2__CGC64_00710
ERR1913143.26069__1.26069	47678__R5U3U1__BACCAC_03593
ERR1913143.26174__1.26174	360807__C0FYZ7__ERS852444_03522
ERR1913143.26427__1.26427	239935__A0A2N8HPS5__Amuc_0950
ERR1913143.26585__1.26585	1262882__R5MYP8__BN519_00439
ERR1913143.26541__1.26541	239935__A0A2N8J1K0__CXT97_05765
ERR1913143.26587__1.26587	239935__B2UQP8__CXU15_01110
ERR1913143.26623__1.26623	239935__A0A2N8HL50__CXT98_09135
ERR1913143.26732__1.26732	1550024__A0A3B9WJZ9__TQ39_02585
ERR1913143.26838__1.26838	239935__A0A2N8IUW6__Amuc_1525
ERR1913143.26868__1.26868	371601__C3QHD1__SAMN05216250_11168
ERR1913143.26905__1.26905	239935__A0A2N8I3G2__CXT89_00720
ERR1913143.27104__1.27104	1263000__R5ETU4__BN466_01378
ERR1913143.27235__1.27235	328813__A0A1Y3QYI2__B5G41_07050
ERR1913143.27350__1.27350	239935__A0A2N8ILG3__CXT93_10135
ERR1913143.27436__1.27436	338188__C9L318__BACFIN_09000
ERR1913143.27546__1.27546	1263000__R5EI35__BN466_01649
ERR1913143.27557__1.27557	239935__A0A2N8J1K0__CXT97_05765
ERR1913143.27769__1.27769	357276__A0A076INK2__BSEG_04225
ERR1913143.27770__1.27770	820__A0A3E4VZY4__ERS852554_01211
ERR1913143.27844__1.27844	357276__B6VXX7__HMPREF1063_02683
ERR1913143.27845__1.27845	818__A0A396EA53__ERS852557_04332
ERR1913143.27819__1.27819	239935__A0A139TMG9__CXU07_10650
ERR1913143.27909__1.27909	239935__A0A2N8IHY1__CXU06_00035
ERR1913143.28260__1.28260	239935__R7DVW2__CXU02_03915
ERR1913143.28169__1.28169	40520__A0A396G5U6__DXC87_00520
ERR1913143.28273__1.28273	239935__A0A2N8HB50__CXU17_02615
ERR1913143.28436__1.28436	357276__A0A076J8D4__HMPREF1064_00553
ERR1913143.28524__1.28524	371601__I9A9L0__BN890_10720
ERR1913143.28727__1.28727	1262882__R5MHZ2__BN519_00742
ERR1913143.28947__1.28947	239935__A0A2N8INK7__Amuc_0521
ERR1913143.29083__1.29083	1262882__R5MNC1__BN519_00818
ERR1913143.29101__1.29101	239935__A0A2N8HZW2__A4V05_11120
ERR1913143.29061__1.29061	239935__A0A2N8I3G2__CXT89_00720
ERR1913143.29145__1.29145	239935__A0A2N8HUU6__CXT90_06150
ERR1913143.29238__1.29238	40520__A0A3E5EH57__ERS852533_00253
ERR1913143.29343__1.29343	818__A0A0N7I9M6__Btheta7330_00939
ERR1913143.29485__1.29485	1262882__R5MJJ9__BN519_01035
ERR1913143.29632__1.29632	1262882__R5MFN3__BN519_00392
ERR1913143.29672__1.29672	1981510__A0A2K9P4K8__B9O19_01592
ERR1913143.29734__1.29734	239935__A0A2N8HT18__CXT93_06135
ERR1913143.29923__1.29923	471189__GCA_003340385.1_00219
ERR1913143.30016__1.30016	239935__A0A139TT05__CXU09_03335
ERR1913143.30183__1.30183	1160721__W0U1Y8__BHW50_02040
ERR1913143.30212__1.30212	820__A0A173XIP7__B5G17_16050
ERR1913143.30313__1.30313	820__R9I2U8__DXC68_09590
ERR1913143.30506__1.30506	821__E5UMZ6__BVU_1450
ERR1913143.30677__1.30677	1262882__R5MND9__BN519_00831
ERR1913143.30717__1.30717	40518__R5DTG5__RBATCC27255_00890
ERR1913143.30721__1.30721	1262882__R5MND9__BN519_00831
ERR1913143.31307__1.31307	1262882__R5MEW7__BN519_00010
ERR1913143.31369__1.31369	1681__I3WJE2__DXC50_07465
ERR1913143.31393__1.31393	820__A0A139KA34__B5G17_05520
ERR1913143.31409__1.31409	28118__F9ZCH6__DHW44_07090
ERR1913143.31432__1.31432	338188__A0A1Q6HAT8__HMPREF1057_02069
ERR1913143.31684__1.31684	338188__C9L2Y9__BACFIN_08971
ERR1913143.31759__1.31759	818__A0A0N7IB02__BT_3500
ERR1913143.31965__1.31965	239935__A0A2N8IKW7__pstA
ERR1913143.32045__1.32045	1550024__A0A0D8IY45__ASJ35_05575
ERR1913143.32144__1.32144	239935__A0A2N8IRH4__CXT92_05605
ERR1913143.32176__1.32176	239935__A0A139TQT9__Amuc_1197
ERR1913143.32213__1.32213	40520__R7D6X4__addA
ERR1913143.32324__1.32324	214856__I3YMN6__Alfi_1938
ERR1913143.32344__1.32344	552398__F4XHU2__HMPREF0866_03196
ERR1913143.32558__1.32558	1262882__R5MMY3__BN519_00724
ERR1913143.32630__1.32630	1965538__A0A1Y4WB92__B5E43_07800
ERR1913143.32744__1.32744	1262882__R5ML49__BN519_01361
ERR1913143.32846__1.32846	239935__A0A2N8HHY4__DEF40_10850
ERR1913143.33340__1.33340	239935__B2UL21__CXT98_03395
ERR1913143.33619__1.33619	357276__B6VT86__IY41_22515
ERR1913143.33628__1.33628	1262882__R5MRT2__BN519_01494
ERR1913143.33691__1.33691	820__A0A3E4G3J9__ERS852459_02265
ERR1913143.33922__1.33922	328814__GCA_004558275.1_00986
ERR1913143.34462__1.34462	1501391__GCA_000786575.1_00112
ERR1913143.34475__1.34475	239935__A0A2N8HH03__CXU09_08875
ERR1913143.34741__1.34741	1550024__A0A0D8IZ16__ASJ35_10840
ERR1913143.34825__1.34825	1501391__GCA_000786575.1_00037
ERR1913143.35025__1.35025	1262882__R5MHZ2__BN519_00742
ERR1913143.35104__1.35104	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913143.35129__1.35129	418240__C6JGL2__ERS852523_00030
ERR1913143.35679__1.35679	410072__A0A174DIZ5__ERS852574_01258
ERR1913143.35867__1.35867	1965629__A0A1Y4BY52__B5F88_12870
ERR1913143.35941__1.35941	1262882__R5MRS7__BN519_01490
ERR1913143.36171__1.36171	1681__A0A0H3ECG3__BBBF_1813
ERR1913143.36240__1.36240	239935__A0A2N8HT44__CXT84_11035
ERR1913143.36244__1.36244	1262882__R5MIQ8__BN519_01036
ERR1913143.36285__1.36285	410072__C0B4V0__ERS852481_02420
ERR1913143.36327__1.36327	820__A0A3E4G826__C801_01612
ERR1913143.36379__1.36379	818__A0A0P0F525__C799_04575
ERR1913143.36530__1.36530	1262882__R5N048__BN519_00502
ERR1913143.36568__1.36568	1262882__R5N511__BN519_01592
ERR1913143.36591__1.36591	33043__D5HEK8__lytR_1
ERR1913143.36715__1.36715	1550024__A0A3B9WIB6__TQ39_08435
ERR1913143.36816__1.36816	239935__R6JD78__CXU05_09250
ERR1913143.36823__1.36823	239935__A0A2N8IHY1__CXU06_00035
ERR1913143.36824__1.36824	33039__D4M4L7__ripA
ERR1913143.36851__1.36851	40518__R5E6K5__speA
ERR1913143.36943__1.36943	239935__R6J5N6__CXT99_10770
ERR1913143.36976__1.36976	328814__GCA_004558275.1_00288
ERR1913143.37096__1.37096	818__A0A0N7I9H8__ERS852461_00040
ERR1913143.37310__1.37310	1262882__R5MYS0__BN519_00284
ERR1913143.37328__1.37328	820__A0A174F0C1__nreB
ERR1913143.37481__1.37481	35833__E5Y6S3__HMPREF0179_01886
ERR1913143.37603__1.37603	239935__A0A2N8HBP0__CXT94_04450
ERR1913143.37610__1.37610	239935__R6JAS2__CXU02_10725
ERR1913143.37637__1.37637	47678__R5UA58__ERS852558_01431
ERR1913143.37705__1.37705	357276__B6VVS0__HMPREF1064_03951
ERR1913143.37806__1.37806	338188__C9L2Z1__BACFIN_08973
ERR1913143.37943__1.37943	239935__A0A2N8ILG3__CXT93_10135
ERR1913143.38026__1.38026	1981510__A0A2K9P2J7__B9O19_00883
ERR1913143.38181__1.38181	357276__C3R9Y0__HMPREF1064_01889
ERR1913143.38156__1.38156	239935__A0A2N8HDT1__CXT94_05270
ERR1913143.38509__1.38509	1550024__A0A3B9WG46__ASJ35_14590
ERR1913143.38628__1.38628	357276__A0A076IKP2__HMPREF1063_00218
ERR1913143.38706__1.38706	1501391__GCA_000786575.1_00031
ERR1913143.38755__1.38755	239935__A0A2N8ILG3__CXT93_10135
ERR1913143.38804__1.38804	818__C6ILT7__BSIG_2708
ERR1913143.38923__1.38923	239935__A0A139TPU7__CXT91_06575
ERR1913143.38950__1.38950	239935__A0A139TPU7__CXT91_06575
ERR1913143.38973__1.38973	40520__A0A395X4V2__C4886_02700
ERR1913143.39488__1.39488	46503__R6Y8M7__ERS852463_01228
ERR1913143.39473__1.39473	239935__A0A2N8IVK9__CXU08_03750
ERR1913143.39730__1.39730	1262882__R5MEI8__BN519_00283
ERR1913143.39804__1.39804	818__A0A174TT69__SAMN02910322_02680
ERR1913143.39920__1.39920	1501391__GCA_000786575.1_00128
ERR1913143.39870__1.39870	818__A0A3E5HHL6__C799_04659
ERR1913143.39961__1.39961	820__A0A173XIP7__B5G17_16050
ERR1913143.39997__1.39997	1550024__G9RNN4__ASJ35_08335
ERR1913143.40348__1.40348	1501391__GCA_000786575.1_00128
ERR1913143.40423__1.40423	46506__A0A3E4USX2__BACSTE_03107
ERR1913143.40501__1.40501	46503__R6X5E7__PARMER_00245
ERR1913143.40547__1.40547	820__A0A3E4W4W5__ERS852554_02179
ERR1913143.40708__1.40708	47678__R5UXY0__CGC64_03535
ERR1913143.40803__1.40803	357276__A0A0M1W1I8__ABI39_13620
ERR1913143.40811__1.40811	1263000__R5EI35__BN466_01649
ERR1913143.41048__1.41048	239935__A0A2N8IRL2__CXU06_01170
ERR1913143.41063__1.41063	239935__R6J5N6__CXT99_10770
ERR1913143.41115__1.41115	820__A0A1Q6IDS8__chtA
ERR1913143.41119__1.41119	1262882__R5MQ68__BN519_01178
ERR1913143.41378__1.41378	1262882__R5MIC9__BN519_00834
ERR1913143.41477__1.41477	239935__B2URG9__CXU00_11290
ERR1913143.41745__1.41745	338188__R6RT73__HMPREF1057_02828
ERR1913143.41914__1.41914	239935__A0A2N8HZW2__A4V05_11120
ERR1913143.42161__1.42161	328814__GCA_004558275.1_00074
ERR1913143.42180__1.42180	1550024__G9RTA6__TQ39_10970
ERR1913143.42319__1.42319	818__A0A139L1D5__BT_2967
ERR1913143.42227__1.42227	820__A0A174LJB2__HMPREF1072_04112
ERR1913143.42349__1.42349	116085__D4J6W1__DW747_08460
ERR1913143.42356__1.42356	239935__A0A2N8IVR0__CXT87_07115
ERR1913143.42389__1.42389	818__A0A396EBF0__ERS852430_00820
ERR1913143.42390__1.42390	2108523__A0A2P2F504__LAWASA_1087
ERR1913143.42409__1.42409	239935__A0A2N8I9N0__CXT97_09915
ERR1913143.42469__1.42469	100884__E7GAR2__HMPREF9488_01852
ERR1913143.42522__1.42522	820__A0A3E4VZY4__ERS852554_01211
ERR1913143.42564__1.42564	239935__A0A2N8HZW2__A4V05_11120
ERR1913143.42645__1.42645	820__A0A3E4W4Y7__B5G17_02055
ERR1913143.42650__1.42650	820__A0A174M9V5__M093_0237
ERR1913143.42730__1.42730	1262882__R5N532__BN519_01420
ERR1913143.42886__1.42886	239935__A0A2N8ITX2__CXT86_11265
ERR1913143.42918__1.42918	1263107__GCA_000436995.1_00097
ERR1913143.43198__1.43198	1897011__A0A1Q6RJY0__BHW41_00040
ERR1913143.43265__1.43265	853__A0A2A7B1Y7__C7K05_11930
ERR1913143.43321__1.43321	239935__A0A2N8I8X8__B5G29_00185
ERR1913143.43430__1.43430	239935__A0A2N8IVR0__CXT87_07115
ERR1913143.43436__1.43436	47678__R5UUD7__bga_1
ERR1913143.43452__1.43452	239935__A0A2N8IUQ8__CXU09_01665
ERR1913143.43647__1.43647	239935__A0A2N8I9P4__CXT85_05050
ERR1913143.43868__1.43868	384638__B7APN3__BACPEC_00639
ERR1913143.43923__1.43923	328814__GCA_004558275.1_01004
ERR1913143.44013__1.44013	1501391__GCA_000786575.1_00003
ERR1913143.44022__1.44022	818__A0A3E5HNS1__BSIG_0465
ERR1913143.44086__1.44086	1262882__R5N004__BN519_00490
ERR1913143.44250__1.44250	357276__I8WBQ9__HMPREF1065_03212
ERR1913143.44303__1.44303	357276__A0A174L570__GV66_05720
ERR1913143.44315__1.44315	214856__R5UN64__ERS852447_02669
ERR1913143.44487__1.44487	820__A0A139K426__B5G17_09115
ERR1913143.44491__1.44491	239935__A0A2N8HT68__ADH72_00510
ERR1913143.44498__1.44498	39486__G1WQ06__DXD84_02875
