ERR1913214.431__1.431	821__A0A3E4WAR6__DXD64_10735
ERR1913214.8485__1.8485	820__A0A078S4C2__ERS417307_00828
ERR1913214.8649__1.8649	1263006__R6LLP6__BN515_01041
ERR1913214.8700__1.8700	28117__B0MSR5__BHV66_02095
ERR1913214.9798__1.9798	820__A0A174Q0F0__DXB48_08080
ERR1913214.9911__1.9911	1160721__W0U3I6__RBI_I00579
ERR1913214.10045__1.10045	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913214.10120__1.10120	246787__A0A0P0FYF1__HMPREF1062_05374
ERR1913214.10195__1.10195	1262825__R5E704__BN724_01845
ERR1913214.10206__1.10206	1150298__A0A174J629__ERS852498_00833
ERR1913214.10302__1.10302	1262935__R5GG83__BN773_00512
ERR1913214.10566__1.10566	1262889__R7HD87__BN634_01680
ERR1913214.10543__1.10543	820__R9HP61__DXC91_01090
ERR1913214.11104__1.11104	1262911__R6H1D2__BN557_00855
ERR1913214.11309__1.11309	371601__D4WBK5__BN891_3970
ERR1913214.11369__1.11369	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913214.11355__1.11355	1262886__R6QHF8__BN563_00567
ERR1913214.11446__1.11446	1262935__R5GEM8__BN773_01536
ERR1913214.11482__1.11482	39492__D4JVG1__ERS852540_00951
ERR1913214.11514__1.11514	39491__A0A395UYL9__ERS852417_00624
ERR1913214.11531__1.11531	357276__A0A076IXE0__HMPREF1064_04364
ERR1913214.11696__1.11696	1262889__R7H9H9__BN634_02436
ERR1913214.11702__1.11702	823__A0A355XLH0__fepA_1
ERR1913214.12024__1.12024	39488__A0A285PP42__cobQ
ERR1913214.12172__1.12172	823__A6LBY1__ERS852380_00510
ERR1913214.12349__1.12349	1547597__A0A0C3RJ03__BA92_03120
ERR1913214.13015__1.13015	487174__R5FN40__HMPREF9448_01366
ERR1913214.12983__1.12983	165179__A0A3E5EAM5__DXC61_07785
ERR1913214.13337__1.13337	246787__A0A0P0GF82__HMPREF1062_02163
ERR1913214.13377__1.13377	39492__D4JUL4__ERS852540_01381
ERR1913214.13962__1.13962	1262911__R6GPB5__BN557_00842
ERR1913214.13930__1.13930	1262935__R5GU54__BN773_00232
ERR1913214.14084__1.14084	1262935__R5GIC8__BN773_01423
ERR1913214.14332__1.14332	357276__I9FU68__HMPREF1063_00557
ERR1913214.14343__1.14343	47678__R5U6J0__ERS852558_00310
ERR1913214.14526__1.14526	357276__A0A076IS46__BACDOR_03265
ERR1913214.14587__1.14587	61171__B9Y789__HOLDEFILI_01684
ERR1913214.14921__1.14921	544644__GCA_001915615.1_01466
ERR1913214.14973__1.14973	1262889__R7H9Z3__BN634_00978
ERR1913214.15441__1.15441	357276__I9QDB8__B5F95_08105
ERR1913214.15867__1.15867	291644__I8Z4T0__ERS852428_03213
ERR1913214.16014__1.16014	166486__D4KVZ4__sleB_3
ERR1913214.16506__1.16506	821__E5UY21__C800_02204
ERR1913214.16670__1.16670	410072__A0A173XQG6__ERS852574_01620
ERR1913214.16873__1.16873	1263000__R5EK63__BN466_02075
ERR1913214.17063__1.17063	1535__A7VTN9__CLOLEP_01932
ERR1913214.17128__1.17128	626930__F3PWA3__HMPREF9446_03038
ERR1913214.17667__1.17667	28117__B0MY40__BHV66_05170
ERR1913214.17677__1.17677	165179__A0A3E5EA43__DXC61_07775
ERR1913214.17795__1.17795	28117__B0MSR5__BHV66_02095
ERR1913214.18081__1.18081	40518__R5DR72__RBL236_02110
ERR1913214.18083__1.18083	1262945__R6YNE9__BN600_00111
ERR1913214.18132__1.18132	1262935__R5GTK7__BN773_00203
ERR1913214.18887__1.18887	165179__A0A3E5DWZ6__DXC61_10880
ERR1913214.18962__1.18962	487174__K0X1D9__HMPREF9448_00919
ERR1913214.19218__1.19218	1262935__R5GUZ2__BN773_00533
ERR1913214.19193__1.19193	1262935__R5GTK7__BN773_00203
ERR1913214.19403__1.19403	823__A0A355XN73__DXC05_07000
ERR1913214.19537__1.19537	626932__G5H617__HMPREF9450_00377
ERR1913214.19592__1.19592	1628085__A0A2U1BCM4__C7386_10792
ERR1913214.19632__1.19632	1262889__R7HDN9__BN634_01543
ERR1913214.19640__1.19640	821__A0A173XDD3__DXB82_17180
ERR1913214.19862__1.19862	46506__R5K3I5__BACSTE_02520
ERR1913214.20487__1.20487	1262935__R5GLG4__BN773_00617
ERR1913214.20813__1.20813	39491__C4Z9K0__DXD95_07445
ERR1913214.21195__1.21195	165179__A0A174SA26__PREVCOP_05758
ERR1913214.21216__1.21216	357276__D1JYA0__EL88_06560
ERR1913214.21411__1.21411	357276__C3R9Y0__HMPREF1064_01889
ERR1913214.21456__1.21456	1547597__A0A0C3MCF5__BA92_12140
ERR1913214.21759__1.21759	1262886__R6QC93__BN563_01464
ERR1913214.22042__1.22042	820__A0A3E4VZY4__ERS852554_01211
ERR1913214.22135__1.22135	357276__C3RDQ5__HMPREF1065_03827
ERR1913214.22416__1.22416	39492__D4JRL2__ERS852540_01608
ERR1913214.22439__1.22439	1099853__U5CM58__NSB1T_09885
ERR1913214.22576__1.22576	821__D4VD59__BHV80_04260
ERR1913214.22750__1.22750	357276__A0A0M1W657__HMPREF1064_04629
ERR1913214.23138__1.23138	1262935__R5GCM2__BN773_01053
ERR1913214.23452__1.23452	39492__D4JVZ6__truB
ERR1913214.23621__1.23621	556259__E5C690__BSGG_1431
ERR1913214.23818__1.23818	46228__V8BY98__RUMLAC_00452
ERR1913214.24010__1.24010	28111__E5WUH3__BACEGG_02112
ERR1913214.24132__1.24132	28118__F9ZB50__Odosp_2374
ERR1913214.24137__1.24137	649756__D4MW63__DCR88_07570
ERR1913214.25044__1.25044	1262743__R5C054__BN727_01980
ERR1913214.25535__1.25535	418240__A0A174SJB0__toxA_3
ERR1913214.25819__1.25819	1501391__GCA_000786575.1_00021
ERR1913214.25982__1.25982	39492__D4JWA3__ERS852540_01332
ERR1913214.26128__1.26128	821__R9HFW2__DXD01_00365
ERR1913214.26254__1.26254	291644__R5J8I9__ERS852428_03546
ERR1913214.26316__1.26316	39492__D4JR58__EUBSIR_02090
ERR1913214.26416__1.26416	39491__A0A395ZHW9__DXC13_02590
ERR1913214.26469__1.26469	1262935__R5GUZ2__BN773_00533
ERR1913214.27240__1.27240	820__A0A3E4GA19__SAMN05444418_10562
ERR1913214.27355__1.27355	1262825__R5ED15__BN724_00006
ERR1913214.27817__1.27817	204516__U6RFV1__HMPREF1534_02560
ERR1913214.28092__1.28092	1547597__A0A318N5B0__DMB45_10160
ERR1913214.28217__1.28217	1262935__R5GHV4__BN773_00876
ERR1913214.28258__1.28258	1262777__R5W3X5__BN512_01201
ERR1913214.28260__1.28260	821__D4VD59__BHV80_04260
ERR1913214.28293__1.28293	823__A0A355XLT7__HMPREF1075_03402
ERR1913214.28400__1.28400	291644__I9HP97__HMPREF1532_00061
ERR1913214.28407__1.28407	1262935__R5GG00__BN773_00204
ERR1913214.28571__1.28571	291644__I9SIM2__evgS_11
ERR1913214.28780__1.28780	1501391__GCA_000786575.1_00024
ERR1913214.28968__1.28968	357276__I9QWD4__DXD47_15075
ERR1913214.29100__1.29100	487174__K0X068__DDY40_07105
ERR1913214.29134__1.29134	1262889__R7HGV8__BN634_01881
ERR1913214.29138__1.29138	820__A0A3E4W984__pssA
ERR1913214.29385__1.29385	28111__E5WUX3__HMPREF1016_00550
ERR1913214.29586__1.29586	1262889__R7HEJ5__BN634_01091
ERR1913214.29636__1.29636	39492__D4JRZ7__smc
ERR1913214.29704__1.29704	1628085__A0A2U1BAH2__C7386_11127
ERR1913214.30021__1.30021	46228__V8CHJ4__RUMLAC_00753
ERR1913214.30027__1.30027	46506__B0NUC3__SAMN05444283_1019
ERR1913214.30147__1.30147	165179__A0A174SA26__PREVCOP_05758
ERR1913214.30278__1.30278	1262888__R6QEL1__BN582_00759
ERR1913214.30210__1.30210	28117__B0MTV0__BHV66_06395
ERR1913214.30352__1.30352	1262911__R6GPC5__BN557_00852
ERR1913214.30806__1.30806	33039__A0A174Y5G7__ERS852530_01222
ERR1913214.30977__1.30977	572010__adhR
ERR1913214.31023__1.31023	357276__B6W1J2__BACDOR_03380
ERR1913214.31111__1.31111	1262825__R5E5W0__BN724_01760
ERR1913214.31727__1.31727	853__C7H1R8__DW905_06675
ERR1913214.31977__1.31977	823__A0A395YVY3__ERS852513_03204
ERR1913214.32101__1.32101	214856__I3YMB7__Alfi_1811
ERR1913214.32131__1.32131	1262825__R5E8Y7__BN724_02314
ERR1913214.32388__1.32388	458033__GCA_001482755.1_02203
ERR1913214.32344__1.32344	1897011__A0A1Q6RH97__BHW41_01945
ERR1913214.32707__1.32707	357276__A0A0K2HKT7__B5F95_21090
ERR1913214.32754__1.32754	246787__E2N7G0__resA_6
ERR1913214.33073__1.33073	1262935__R5GVF6__BN773_00033
ERR1913214.33244__1.33244	1262935__R5GH23__BN773_00804
ERR1913214.33961__1.33961	1262935__R5GH41__BN773_00979
ERR1913214.33999__1.33999	410072__A0A173YNZ0__ERS852481_00766
ERR1913214.34410__1.34410	820__A7V859__ERS852462_00341
ERR1913214.34584__1.34584	28111__E5WUX1__HMPREF1016_00548
ERR1913214.34764__1.34764	357276__I8VN30__HMPREF1065_03051
ERR1913214.34930__1.34930	454155__F3QTH4__HMPREF9442_01492
ERR1913214.34950__1.34950	821__A0A174JYD3__ERS852457_02610
ERR1913214.34960__1.34960	28116__C3QSX8__SAMN05444282_101331
ERR1913214.35115__1.35115	47678__A5ZEP5__CGC64_03450
ERR1913214.35331__1.35331	487174__K0X4F7__DDY40_08055
ERR1913214.35396__1.35396	821__A0A396F598__CUU_3259
ERR1913214.35556__1.35556	357276__I9G0T7__BACDOR_04266
ERR1913214.35616__1.35616	1262889__R7H8U5__BN634_02236
ERR1913214.35804__1.35804	357276__A0A0K2HG61__BACDOR_02028
ERR1913214.35870__1.35870	487174__K0X591__DDY40_01805
ERR1913214.35871__1.35871	28118__F9ZB36__B5F99_17235
ERR1913214.35873__1.35873	1262958__R7GZC7__BN645_01359
ERR1913214.36189__1.36189	487174__K0XH97__HMPREF9448_01909
ERR1913214.36234__1.36234	487174__K0WV19__HMPREF9448_01820
ERR1913214.36428__1.36428	384638__B7APN3__BACPEC_00639
ERR1913214.36445__1.36445	1262825__R5E419__BN724_01157
ERR1913214.36511__1.36511	418240__A0A174S3Z4__ypdA_6
ERR1913214.36571__1.36571	1262935__R5GIC8__BN773_01423
ERR1913214.36581__1.36581	1262935__R5GUT3__BN773_00488
ERR1913214.36839__1.36839	821__A0A396F1N0__M099_1553
ERR1913214.37005__1.37005	291644__I9TEJ3__luxQ_1
ERR1913214.37028__1.37028	291644__I9TER0__HMPREF1532_01526
ERR1913214.37217__1.37217	28117__B0MYI9__BHV66_05415
ERR1913214.37294__1.37294	28117__B0MU53__ALIPUT_00569
ERR1913214.37322__1.37322	310298__B3JQJ5__BACCOP_04231
ERR1913214.37549__1.37549	821__A0A174AYT0__DXC02_03530
ERR1913214.37687__1.37687	1262889__R7HBY1__BN634_01290
ERR1913214.37933__1.37933	357276__I9QWD4__DXD47_15075
ERR1913214.37939__1.37939	821__A0A3E4KIM1__M097_3660
ERR1913214.37948__1.37948	1262889__R7HGV8__BN634_01881
ERR1913214.38486__1.38486	357276__A0A076IS46__BACDOR_03265
ERR1913214.38924__1.38924	820__A0A396EUU8__luxQ_3
ERR1913214.39096__1.39096	487174__K0X524__DDY40_09270
ERR1913214.39058__1.39058	2293125__A0A374BSW4__DW917_13420
ERR1913214.39258__1.39258	823__A0A173V751__DXD05_02690
ERR1913214.39333__1.39333	821__E5UMZ6__BVU_1450
ERR1913214.39351__1.39351	1262935__R5GH94__BN773_00883
ERR1913214.39496__1.39496	28117__B0MUY3__BHV66_00515
ERR1913214.39582__1.39582	39492__D4MM10__EUBSIR_01460
ERR1913214.39613__1.39613	28117__R7JQW0__ALIPUT_01453
ERR1913214.39727__1.39727	1262911__R6H2J2__BN557_01228
ERR1913214.40278__1.40278	40518__R5DQW8__sipW_2
ERR1913214.40334__1.40334	1262886__R6RDI4__BN563_00643
ERR1913214.40450__1.40450	33039__A0A174XW11__RTO_07780
ERR1913214.41012__1.41012	1501391__GCA_000786575.1_00144
ERR1913214.41052__1.41052	291644__U6RCK0__HMPREF1532_04079
ERR1913214.41079__1.41079	28117__B0MTY2__BHV66_06485
ERR1913214.41594__1.41594	301301__A0A395V8X2__RHOM_00490
ERR1913214.41704__1.41704	1262889__R7HCF8__BN634_00395
ERR1913214.42223__1.42223	357276__B6W5Q9__HMPREF1063_03125
ERR1913214.42630__1.42630	357276__A0A076IRX4__ABI39_13585
ERR1913214.42860__1.42860	1262743__R5C054__BN727_01980
ERR1913214.42867__1.42867	46228__V8BRM9__HMPREF1202_02379
ERR1913214.42880__1.42880	291644__I9HP97__HMPREF1532_00061
ERR1913214.42819__1.42819	47678__R5U2F6__HMPREF1061_00767
ERR1913214.42890__1.42890	487174__K0WXG8__DIT83_09300
ERR1913214.43035__1.43035	46228__V8BLW9__DXD17_14090
ERR1913214.43150__1.43150	39492__D4JR08__ERS852540_02467
ERR1913214.43195__1.43195	1501391__GCA_000786575.1_00123
ERR1913214.43276__1.43276	357276__A0A0K2HNG3__HMPREF1064_03004
ERR1913214.43603__1.43603	46503__R6X0R5__DXB85_12380
ERR1913214.44015__1.44015	165179__A0A229I3Z6__PREVCOP_03666
ERR1913214.44125__1.44125	88431__A0A174NWK4__DORLON_02346
ERR1913214.44187__1.44187	28111__R5K222__bglX_7
ERR1913214.44555__1.44555	1262935__R5GVF6__BN773_00033
ERR1913214.44591__1.44591	1262889__R7H9Z3__BN634_00978
ERR1913214.44652__1.44652	46228__B5CKX6__RUMLAC_00090
ERR1913214.44726__1.44726	46228__V8CE73__DXD17_11635
ERR1913214.44775__1.44775	1897011__A0A1Q6RIF5__BHW41_01365
ERR1913214.45258__1.45258	291644__I9TLT3__inlJ_2
ERR1913214.45410__1.45410	544645__A0A373UZ25__DXC42_17170
ERR1913214.45590__1.45590	214856__R6YD52__ERS852447_02171
ERR1913214.45623__1.45623	823__A0A174VHT1__DHP27_04775
ERR1913214.45824__1.45824	1262992__R5CXM8__BN795_01024
ERR1913214.45849__1.45849	357276__A0A0K2HG61__BACDOR_02028
ERR1913214.45990__1.45990	1628085__A0A374VUI1__C7386_11920
ERR1913214.46055__1.46055	1262825__R5E8Y7__BN724_02314
ERR1913214.46008__1.46008	39492__D4JTG7__EUBSIR_00572
ERR1913214.46024__1.46024	820__A7V8C2__ERS852554_01338
ERR1913214.46241__1.46241	39492__D4JR08__ERS852540_02467
ERR1913214.46367__1.46367	214856__R6XUN2__rcsC_1
ERR1913214.46632__1.46632	39492__D4JR58__EUBSIR_02090
ERR1913214.46734__1.46734	1550024__G9RTN6__TQ39_08170
ERR1913214.47191__1.47191	204516__U6R9E6__HMPREF1534_03149
ERR1913214.47301__1.47301	1262935__R5GUE2__BN773_00325
ERR1913214.47599__1.47599	47678__R5UG22__ERS852558_01514
ERR1913214.47614__1.47614	357276__A0A0K2HI42__ABI39_06975
ERR1913214.47804__1.47804	1262958__R7GU70__BN645_01256
ERR1913214.48100__1.48100	46228__V8C484__HMPREF1202_01707
ERR1913214.48186__1.48186	28117__B0MXG8__ALIPUT_01814
ERR1913214.48200__1.48200	1550024__G9RWR2__TQ39_04385
ERR1913214.48520__1.48520	357276__G5SMD3__BSEG_02959
ERR1913214.48577__1.48577	28117__B0MXD0__ALIPUT_01669
ERR1913214.48664__1.48664	818__A0A3E5HN72__C799_03359
ERR1913214.48725__1.48725	28118__F9Z5M3__B5F93_14990
ERR1913214.48935__1.48935	487174__K0WUM9__HMPREF9448_02608
ERR1913214.49278__1.49278	821__A6L0C7__ERS852556_03520
ERR1913214.49391__1.49391	1262935__R5GL68__BN773_00556
ERR1913214.49477__1.49477	28118__F9Z332__NCTC10826_03194
ERR1913214.49528__1.49528	357276__C3R9Y0__HMPREF1064_01889
ERR1913214.49821__1.49821	35833__E5Y8N1__HMPREF0179_02549
ERR1913214.49875__1.49875	1262935__R5GGV4__BN773_00937
ERR1913214.50153__1.50153	1262935__R5GHP4__BN773_01210
ERR1913214.50289__1.50289	239935__A0A2N8HW65__CXU09_08515
ERR1913214.50323__1.50323	384638__B7APR1__BACPEC_00667
ERR1913214.50457__1.50457	1263006__R6LPZ5__BN515_02090
ERR1913214.50768__1.50768	291644__I9SJB6__HMPREF1532_04086
ERR1913214.50972__1.50972	1263000__R5EKG2__BN466_02040
ERR1913214.51044__1.51044	357276__I9RCD3__IY41_15070
ERR1913214.51157__1.51157	454155__F3QX42__HMPREF9442_02776
ERR1913214.51486__1.51486	1965604__A0A1Y4EPK1__B5F54_11440
ERR1913214.51888__1.51888	371601__W6P7Q9__BN890_32770
ERR1913214.52004__1.52004	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913214.52030__1.52030	823__A0A078TE44__DD466_14830
ERR1913214.52709__1.52709	357276__I9FTR0__HMPREF1065_02861
ERR1913214.52990__1.52990	1262935__R5GSF1__BN773_01646
ERR1913214.53050__1.53050	39491__A0A396FRE7__EUR_27520
ERR1913214.53152__1.53152	357276__A0A076ISD9__EL88_07480
ERR1913214.53285__1.53285	214856__I3YPP0__ERS852447_01388
ERR1913214.53256__1.53256	46228__B5CQI6__RUMLAC_01732
ERR1913214.53422__1.53422	40518__R5DZB3__RB5AMG_01719
ERR1913214.53590__1.53590	28118__R6FC74__DHW44_13330
ERR1913214.53712__1.53712	214856__A0A174BBG7__ERS852447_01289
ERR1913214.53872__1.53872	28116__A0A3D2LWY1__ERS852555_01619
ERR1913214.53993__1.53993	820__A0A174P0L5__glcK_3
ERR1913214.54210__1.54210	821__A0A0P0M5Z6__BVU_0429
ERR1913214.54290__1.54290	1547597__A0A0C3NDN5__BA92_12695
ERR1913214.54512__1.54512	1262935__R5GFE1__BN773_00206
ERR1913214.54646__1.54646	357276__A0A076ITU4__EL88_22160
ERR1913214.54968__1.54968	291644__R5JRX7__HMPREF1532_01053
ERR1913214.54940__1.54940	47678__R5UPZ8__ERS852494_01752
ERR1913214.55196__1.55196	853__C7H7F8__yccM_1
ERR1913214.55216__1.55216	28111__E5X1H4__HMPREF1016_02781
ERR1913214.55451__1.55451	1099853__U5CEJ4__NSB1T_04000
ERR1913214.55648__1.55648	1262889__R7H8U5__BN634_02236
ERR1913214.55701__1.55701	1262935__R5GF26__BN773_01700
ERR1913214.55808__1.55808	47678__R5U878__ERS852494_03300
ERR1913214.55866__1.55866	35833__E5YB06__HMPREF0179_03378
ERR1913214.55892__1.55892	1550024__G9RZN9__ASJ35_05735
ERR1913214.55945__1.55945	820__A0A174QLF0__SAMN05444418_109151
ERR1913214.56463__1.56463	1262935__R5GIS0__BN773_01547
ERR1913214.56747__1.56747	1628085__A0A2U1B477__C7386_12136
ERR1913214.56758__1.56758	46228__V8CAH7__HMPREF1202_00795
ERR1913214.57066__1.57066	29361__B6FRT6__CLONEX_02860
ERR1913214.57139__1.57139	1262911__R6GPC5__BN557_00852
ERR1913214.57659__1.57659	39488__A0A174JUI0__EUBHAL_01212
ERR1913214.57679__1.57679	820__A0A374Q854__HMPREF1073_03281
ERR1913214.57986__1.57986	28118__F9Z5N6__SAMEA44545918_01718
ERR1913214.58026__1.58026	46506__A0A108T991__AA415_01433
ERR1913214.58324__1.58324	454155__F3QPW2__HMPREF9442_00199
ERR1913214.58525__1.58525	46228__V8CE73__DXD17_11635
ERR1913214.58617__1.58617	39488__A0A374NJ86__mltG
ERR1913214.58635__1.58635	1262935__R5GRP8__BN773_01395
ERR1913214.58819__1.58819	1262935__R5GUE2__BN773_00325
ERR1913214.58909__1.58909	35833__E5YB58__HMPREF0179_03431
ERR1913214.59170__1.59170	1263006__R6LTR6__BN515_01217
ERR1913214.59208__1.59208	357276__A0A076IRX7__HMPREF1064_00526
ERR1913214.59254__1.59254	1262889__R7HCA8__BN634_01668
ERR1913214.59392__1.59392	47678__R5USS6__C5Z00_03300
ERR1913214.59347__1.59347	626932__G5HA20__HMPREF9450_01485
ERR1913214.59332__1.59332	39492__D4JVC7__yfgF
ERR1913214.59450__1.59450	487174__K0X429__HMPREF9448_00932
ERR1913214.59489__1.59489	820__A0A139KJ23__celCCA
ERR1913214.59637__1.59637	1262942__R7QVN9__BN520_00683
ERR1913214.59662__1.59662	165179__A0A3E5EA43__DXC61_07775
ERR1913214.59955__1.59955	1628085__A0A2U1BCE8__C7386_10723
ERR1913214.60307__1.60307	820__A0A174DZ97__SAMN05444418_101240
ERR1913214.60423__1.60423	357276__B6W1Y1__BSEG_03960
ERR1913214.60794__1.60794	1263044__GCA_000433375.1_03426
ERR1913214.60860__1.60860	165179__D1PHD6__DXC61_03380
ERR1913214.61088__1.61088	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913214.61521__1.61521	357276__I9F3U2__B5F00_20845
ERR1913214.61715__1.61715	820__A0A174QT76__B5G17_18060
ERR1913214.61945__1.61945	1262935__R5GK32__BN773_00174
ERR1913214.62554__1.62554	410072__C0BES0__ERS852389_01714
ERR1913214.63259__1.63259	487173__H1CXZ3__HMPREF9453_00231
ERR1913214.63406__1.63406	1262935__R5GCS7__BN773_00941
ERR1913214.63428__1.63428	458033__GCA_001482755.1_02203
ERR1913214.63438__1.63438	291644__I8YWU4__HMPREF1532_01473
ERR1913214.63457__1.63457	1262743__R5C054__BN727_01980
ERR1913214.64659__1.64659	371601__F7M533__ERS852396_01023
ERR1913214.64912__1.64912	33039__D4M1J4__ERS852390_02215
ERR1913214.65035__1.65035	40520__A0A174MPS0__DXD81_10450
ERR1913214.65211__1.65211	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913214.65417__1.65417	357276__E5UTL1__HMPREF1065_03551
ERR1913214.65372__1.65372	357276__I9QWD4__DXD47_15075
ERR1913214.65664__1.65664	28111__R5K5V1__NCTC11155_02461
ERR1913214.65817__1.65817	1262886__R6QJF6__BN563_01169
ERR1913214.66101__1.66101	39492__B0MM84__lgt
ERR1913214.66198__1.66198	291644__I9TEJ3__luxQ_1
ERR1913214.66387__1.66387	1547597__A0A0C3RFQ7__DMB45_02255
ERR1913214.66422__1.66422	1262889__R7H7F9__BN634_02079
ERR1913214.66509__1.66509	1262889__R7HD87__BN634_01680
ERR1913214.66716__1.66716	47678__R5U8Y1__BACCAC_02615
ERR1913214.66946__1.66946	487174__K0X665__DIT83_12000
ERR1913214.66977__1.66977	2108523__A0A2P2F666__LAWASA_1491
ERR1913214.67152__1.67152	1547597__A0A0C3R4W1__BA92_10375
ERR1913214.67503__1.67503	1262935__R5GG00__BN773_00204
ERR1913214.68027__1.68027	357276__A0A076IP73__BACDOR_04237
ERR1913214.68029__1.68029	1262889__R7HAY6__BN634_02225
ERR1913214.68032__1.68032	1262911__R6H2J2__BN557_01228
ERR1913214.68094__1.68094	1501391__GCA_000786575.1_00007
ERR1913214.68095__1.68095	116085__D4J6W1__DW747_08460
ERR1913214.68839__1.68839	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913214.69038__1.69038	166486__D4L3D1__ERS852572_03371
ERR1913214.69131__1.69131	821__C6Z087__DXB90_00750
ERR1913214.69171__1.69171	1262958__R7GXZ8__BN645_00110
ERR1913214.69223__1.69223	1262889__R7H9M3__BN634_00850
ERR1913214.69333__1.69333	166486__C7GAX1__ERS852572_03188
ERR1913214.69612__1.69612	46228__V8CAV6__addA
ERR1913214.69636__1.69636	39491__A0A395V1Y4__DXB99_08035
ERR1913214.69738__1.69738	1680__A0A173YLK6__BAD_0868
ERR1913214.69927__1.69927	1262935__R5GRK6__BN773_01192
ERR1913214.70232__1.70232	357276__I8WEY2__ABI39_04185
ERR1913214.70324__1.70324	28117__B0MWX3__BHV66_03010
ERR1913214.70349__1.70349	39491__A0A395ZF49__DXB69_05290
ERR1913214.70366__1.70366	371601__A0A0J9FJQ6__HMPREF1074_04066
ERR1913214.70484__1.70484	1780376__A0A143XQT4__BN3659_01658
ERR1913214.70515__1.70515	357276__I9R4T1__IY41_06800
ERR1913214.70542__1.70542	1262935__R5GR54__BN773_00986
ERR1913214.71254__1.71254	1897011__A0A1Q6RFG0__BHW41_03665
ERR1913214.71259__1.71259	291644__I8YWN0__ERS852428_00248
ERR1913214.71261__1.71261	28117__B0MYI9__BHV66_05415
ERR1913214.71602__1.71602	357276__A0A076J726__IY41_15030
ERR1913214.71727__1.71727	47678__A5ZJ80__BACCAC_02965
ERR1913214.71768__1.71768	46228__V8BL71__DXD17_11775
ERR1913214.71872__1.71872	1262736__R5Y4N0__BN496_00283
ERR1913214.71971__1.71971	214856__R6Y0B9__ERS852559_00164
ERR1913214.72171__1.72171	487174__K0XBH1__DIT83_01445
ERR1913214.72188__1.72188	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913214.72709__1.72709	291644__I8YWU4__HMPREF1532_01473
ERR1913214.72715__1.72715	47678__A5ZHP9__bioD1
ERR1913214.72815__1.72815	1262889__R7HCR1__BN634_01576
ERR1913214.72850__1.72850	820__A0A174P0L5__glcK_3
