ERR1913174.31__1.31	209880__A0A1G5WTG1__SAMN02910343_01605
ERR1913174.9695__1.9695	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913174.9668__1.9668	28117__B0MXG8__ALIPUT_01814
ERR1913174.9778__1.9778	40518__R5DXH2__DXD83_10135
ERR1913174.9897__1.9897	357276__I8WEY2__ABI39_04185
ERR1913174.10073__1.10073	28118__F9Z8Y7__DHW44_02235
ERR1913174.10080__1.10080	169435__A0A3E3IC26__B5F55_09505
ERR1913174.10243__1.10243	40518__R5DP91__RBL236_00890
ERR1913174.10268__1.10268	820__A0A139K2N9__DXB62_12420
ERR1913174.10468__1.10468	246787__A0A108T429__BACCELL_00192
ERR1913174.10486__1.10486	820__A0A374QGD2__ERS852421_02382
ERR1913174.10648__1.10648	291645__I8WZT8__HMPREF1068_04327
ERR1913174.10711__1.10711	487174__K0WX10__DIT83_10030
ERR1913174.10917__1.10917	357276__A0A076J9V8__BACDOR_01395
ERR1913174.11009__1.11009	47678__A0A3E5BQM1__DXB67_08970
ERR1913174.11155__1.11155	338188__A0A174ETX3__ERS852397_01955
ERR1913174.11165__1.11165	357276__I8WML9__DXD47_10570
ERR1913174.11337__1.11337	818__A0A2J6AAA9__NCTC10582_00162
ERR1913174.11360__1.11360	371601__A0A1H4GXQ8__CW1_1432
ERR1913174.11429__1.11429	357276__A0A0K2HJA6__DXD47_07320
ERR1913174.11441__1.11441	818__A0A3E5HN77__HMPREF2534_00072
ERR1913174.11650__1.11650	820__A0A374MXK3__HMPREF1072_00166
ERR1913174.11814__1.11814	357276__I9QBT4__GV66_09000
ERR1913174.12081__1.12081	39491__A0A396FPV7__ERS852580_01177
ERR1913174.12208__1.12208	821__C6ZAA5__ERS852556_00403
ERR1913174.12352__1.12352	40518__R5DVL2__penA
ERR1913174.12511__1.12511	357276__B6VT86__IY41_22515
ERR1913174.12580__1.12580	40518__R5DW64__RBL236_01394
ERR1913174.12645__1.12645	357276__A0A1Y3Z6X3__GV66_07715
ERR1913174.12673__1.12673	820__A0A3E4WCC2__lptB_1
ERR1913174.12840__1.12840	820__A0A374Q8T2__DXB64_16190
ERR1913174.12885__1.12885	820__A0A3E4GA19__SAMN05444418_10562
ERR1913174.12943__1.12943	820__R9I2U8__DXC68_09590
ERR1913174.13046__1.13046	357276__I9R994__BACDOR_04044
ERR1913174.13087__1.13087	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913174.13409__1.13409	357276__A0A076IN30__DXD47_09350
ERR1913174.13476__1.13476	820__A7VAS1__HMPREF2141_03259
ERR1913174.13563__1.13563	626929__F3PJ28__B5F24_03465
ERR1913174.13648__1.13648	820__A0A3E4G826__C801_01612
ERR1913174.13667__1.13667	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913174.13696__1.13696	1262992__R5DB53__BN795_01346
ERR1913174.13807__1.13807	823__D7IUM6__M091_1082
ERR1913174.13857__1.13857	39491__A0A395UUN5__EUBREC_0291
ERR1913174.13973__1.13973	820__A0A139K9Q2__DXD40_08795
ERR1913174.13999__1.13999	33038__A0A2N5PFY8__CDL19_06745
ERR1913174.14055__1.14055	357276__B6W5Q7__DXD47_13945
ERR1913174.14107__1.14107	820__A0A174GYA8__DXB64_07370
ERR1913174.14151__1.14151	487174__K0WXG8__DIT83_09300
ERR1913174.14183__1.14183	214856__A0A173ZQB9__ERS852559_00006
ERR1913174.14290__1.14290	39486__R6STY4__DXB36_12980
ERR1913174.14423__1.14423	357276__I9FTR0__HMPREF1065_02861
ERR1913174.14447__1.14447	39491__A0A0M6WLC7__ERS852497_00640
ERR1913174.14523__1.14523	357276__B6W1Y1__BSEG_03960
ERR1913174.14550__1.14550	818__A0A0P0F2P7__BT_1771
ERR1913174.14707__1.14707	1262920__R5KD76__BN467_01465
ERR1913174.14756__1.14756	357276__D1JZM4__HMPREF1065_01278
ERR1913174.14786__1.14786	823__D0TC25__B5F32_04575
ERR1913174.14885__1.14885	39491__C4Z872__LD38_07250
ERR1913174.14920__1.14920	820__R9HXK9__DXB62_08265
ERR1913174.14968__1.14968	1150298__A0A174DU21__toxA_3
ERR1913174.15033__1.15033	820__A0A3E4VXP2__yesR
ERR1913174.15188__1.15188	818__A0A3E5HN77__HMPREF2534_00072
ERR1913174.15394__1.15394	823__D7IUM6__M091_1082
ERR1913174.15411__1.15411	1262992__R5DE88__BN795_00202
ERR1913174.15468__1.15468	820__A0A3E4G3J9__ERS852459_02265
ERR1913174.15515__1.15515	216816__A0A133L1E2__ptsP
ERR1913174.15530__1.15530	360807__A0A1Q6T3E4__ROSEINA2194_03999
ERR1913174.15702__1.15702	39491__A0A396FNY7__LD38_16155
ERR1913174.15874__1.15874	357276__A0A0K2HKT7__B5F95_21090
ERR1913174.15951__1.15951	818__Q8A3I3__HMPREF2534_00068
ERR1913174.15957__1.15957	357276__I8WEY2__ABI39_04185
ERR1913174.16050__1.16050	820__A0A3E4HWJ4__DXD40_05945
ERR1913174.16355__1.16355	39491__A0A395UZ82__EUR_31520
ERR1913174.16388__1.16388	820__A0A3E4W7J3__DXC07_00330
ERR1913174.16429__1.16429	1262743__R5C054__BN727_01980
ERR1913174.16500__1.16500	39491__A0A395ZDC6__addB
ERR1913174.16502__1.16502	1262886__R6QI91__BN563_00800
ERR1913174.16474__1.16474	357276__I9R2M6__BSEG_03499
ERR1913174.16479__1.16479	818__A0A3E5HDS4__BJP75_002620
ERR1913174.16627__1.16627	487174__K0WS78__HMPREF9448_02825
ERR1913174.16714__1.16714	39491__A0A395ZG74__licR
ERR1913174.16784__1.16784	823__K6AS99__ERS852429_01856
ERR1913174.16804__1.16804	246787__A0A0P0G254__axeA1_2
ERR1913174.16821__1.16821	357276__A0A0K2HG61__BACDOR_02028
ERR1913174.16865__1.16865	820__A0A1T4IY71__HMPREF2141_02402
ERR1913174.16877__1.16877	47678__R5U8Y1__BACCAC_02615
ERR1913174.16862__1.16862	39488__A0A174ALY3__ERS852450_00805
ERR1913174.16921__1.16921	487174__K0XG81__HMPREF9448_02274
ERR1913174.16955__1.16955	28116__C3QQN3__CUY_4207
ERR1913174.16996__1.16996	820__A0A374MMF0__HMPREF1073_03811
ERR1913174.17006__1.17006	204516__U6R9L2__HMPREF1534_03110
ERR1913174.17016__1.17016	820__A0A139K8X8__DXC80_17665
ERR1913174.17083__1.17083	239935__A0A2N8IMD6__CXU03_05585
ERR1913174.17145__1.17145	818__A0A174RFL1__ERS852511_03380
ERR1913174.17329__1.17329	820__A0A173W419__DXC68_17760
ERR1913174.17435__1.17435	820__A0A174F696__macB_13
ERR1913174.17507__1.17507	820__A0A1T4IYF4__mprA_1
ERR1913174.17531__1.17531	820__A0A174CG08__DXB62_13215
ERR1913174.17610__1.17610	371601__C3QME2__CW1_3650
ERR1913174.17850__1.17850	39486__B0G3J8__DXB36_14480
ERR1913174.17951__1.17951	28116__D7K2E0__endOF2_3
ERR1913174.18065__1.18065	820__A0A3E4VZT7__DXB48_16145
ERR1913174.18018__1.18018	820__R9HP61__DXC91_01090
ERR1913174.18352__1.18352	116085__D4J4T6__DW747_02705
ERR1913174.18503__1.18503	820__A0A3E4PYB0__yejM
ERR1913174.18548__1.18548	821__A0A3E4WAR6__DXD64_10735
ERR1913174.18680__1.18680	28118__F9Z750__Odosp_3044
ERR1913174.18694__1.18694	820__A0A174Q0F0__DXB48_08080
ERR1913174.18754__1.18754	39492__A0A174Z2N0__EUBSIR_01615
ERR1913174.18783__1.18783	357276__A0A076J726__IY41_15030
ERR1913174.18827__1.18827	820__A0A174Q0F0__DXB48_08080
ERR1913174.18841__1.18841	821__C6ZAA5__ERS852556_00403
ERR1913174.19216__1.19216	239935__R6IZU4__CXT87_08085
ERR1913174.19241__1.19241	39491__D4JMW8__ERS852497_01971
ERR1913174.19419__1.19419	820__A0A139KH21__DXC80_01780
ERR1913174.19445__1.19445	1262992__R5D6G0__BN795_00277
ERR1913174.19548__1.19548	47678__R5U558__ERS852558_02232
ERR1913174.19686__1.19686	820__A0A3E4QZJ7__C801_01798
ERR1913174.19955__1.19955	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913174.20172__1.20172	357276__A6L053__ABI39_04450
ERR1913174.20245__1.20245	1150298__A0A174HXS4__ERS852498_00503
ERR1913174.20267__1.20267	820__A7V092__hldE
ERR1913174.20381__1.20381	371601__I9ABK9__B5E50_12420
ERR1913174.20384__1.20384	820__A0A3E4G826__C801_01612
ERR1913174.20392__1.20392	357276__B6W5Q7__DXD47_13945
ERR1913174.20422__1.20422	544644__GCA_001915615.1_02043
ERR1913174.20456__1.20456	239935__A0A2N8I9P4__CXT85_05050
ERR1913174.20484__1.20484	357276__B6W5Q9__HMPREF1063_03125
ERR1913174.20583__1.20583	1263107__GCA_000436995.1_00115
ERR1913174.20823__1.20823	28116__A0A395VZB9__Bovatus_03205
ERR1913174.21163__1.21163	357276__A0A0K2HG61__BACDOR_02028
ERR1913174.21122__1.21122	820__A0A3E4VZY4__ERS852554_01211
ERR1913174.21285__1.21285	28116__A0A1Y4PWN5__M088_3731
ERR1913174.21295__1.21295	821__I9R3W6__DXC16_12455
ERR1913174.21303__1.21303	39491__A0A395UVM9__DXB76_04540
ERR1913174.21331__1.21331	1150298__A0A174PC05__ERS852498_00682
ERR1913174.21367__1.21367	820__A0A139KJ23__celCCA
ERR1913174.21789__1.21789	239935__A0A2N8ILG3__CXT93_10135
ERR1913174.21800__1.21800	820__A0A3E4VXP2__yesR
ERR1913174.22087__1.22087	40518__R5DY73__DXD86_02865
ERR1913174.22089__1.22089	818__R9GZ02__C799_04453
ERR1913174.22227__1.22227	371601__E5CE41__ERS852396_04351
ERR1913174.22345__1.22345	357276__I9RHT4__EL88_09235
ERR1913174.22393__1.22393	820__A7V470__HMPREF1072_02076
ERR1913174.22612__1.22612	28117__B0MSQ3__ALIPUT_00347
ERR1913174.22700__1.22700	239935__A0A139TPD8__CXU12_11015
ERR1913174.22725__1.22725	28117__B0MTV3__BHV66_06405
ERR1913174.22893__1.22893	384638__B7APR1__BACPEC_00667
ERR1913174.22958__1.22958	853__D4K7X0__DW905_09540
ERR1913174.22983__1.22983	820__I9TWZ7__DXC80_10550
ERR1913174.23064__1.23064	357276__B6VVS0__HMPREF1064_03951
ERR1913174.23119__1.23119	28117__B0MYP3__BHV66_04995
ERR1913174.23372__1.23372	649756__A0A174FNS3__trkA
ERR1913174.23377__1.23377	28116__F7L4N5__BACOVA_00137
ERR1913174.23462__1.23462	28116__D7J6A7__NCTC11153_02798
ERR1913174.23489__1.23489	823__A0A069SAX6__ERS852380_00710
ERR1913174.23545__1.23545	820__A0A3E4W4Y7__B5G17_02055
ERR1913174.23563__1.23563	820__A0A1Y3V743__M093_0235
ERR1913174.23601__1.23601	246787__A0A3D6AWJ7__AA416_00506
ERR1913174.23611__1.23611	39491__A0A396FPV7__ERS852580_01177
ERR1913174.23730__1.23730	821__A0A174T998__DXB82_10860
ERR1913174.23865__1.23865	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913174.24002__1.24002	357276__I9QBT7__BSEG_03340
ERR1913174.24020__1.24020	28052__R7NCK3__ERS852499_02382
ERR1913174.24058__1.24058	649756__L1Q8U4__ERS852571_01677
ERR1913174.24107__1.24107	39491__A0A173VYV1__DXC13_02710
ERR1913174.24144__1.24144	649756__D4MXY1__ERS852425_00764
ERR1913174.24173__1.24173	39491__C4ZCH3__EUR_17560
ERR1913174.24242__1.24242	649756__D4MTV5__sorC
ERR1913174.24280__1.24280	821__A0A173XDD3__DXB82_17180
ERR1913174.24353__1.24353	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913174.24635__1.24635	33039__R6PAH6__ERS852577_01830
ERR1913174.24659__1.24659	820__A0A174A6K0__M093_0079
ERR1913174.24724__1.24724	487174__K0X694__DIT83_09060
ERR1913174.24730__1.24730	40518__R5E6X5__sbcD
ERR1913174.24786__1.24786	820__A7VAR9__ERS852421_00197
ERR1913174.24806__1.24806	204516__U6RDD8__HMPREF1534_02559
ERR1913174.24810__1.24810	1262888__R6PM16__BN582_00268
ERR1913174.24903__1.24903	29361__B6FKH5__CLONEX_00621
ERR1913174.25000__1.25000	357276__A0A076IS73__GV66_00410
ERR1913174.25074__1.25074	33039__A0A174YA68__ribU
ERR1913174.25277__1.25277	214856__A0A174FMT0__ERS852559_02565
ERR1913174.25364__1.25364	239935__A0A2N8HM32__CXT85_08075
ERR1913174.25703__1.25703	357276__A0A0K2HG61__BACDOR_02028
ERR1913174.25717__1.25717	47678__R5U3L4__C5Z00_12600
ERR1913174.25884__1.25884	745368__A0A1T4WBZ5__SAMN02745178_00335
ERR1913174.25940__1.25940	1796613__A0A1C7H6N8__ADH74_01350
ERR1913174.26064__1.26064	74426__purL
ERR1913174.26160__1.26160	166486__A0A173V5I7__ERS852572_02640
ERR1913174.26184__1.26184	820__A0A174NUS8__DXC80_12885
ERR1913174.26230__1.26230	1150298__A0A174RJ10__ERS852535_00223
ERR1913174.26242__1.26242	246787__R6K756__HMPREF1062_01819
ERR1913174.26411__1.26411	291645__I8WZT8__HMPREF1068_04327
ERR1913174.26451__1.26451	39486__G1WM36__DXD10_02135
ERR1913174.26469__1.26469	357276__A0A076J8M3__ABI39_13695
ERR1913174.26647__1.26647	649756__D4MUZ2__ERS852571_00392
ERR1913174.26670__1.26670	823__A0A174LWY0__lepB
ERR1913174.27048__1.27048	823__A0A174VBJ5__M091_5021
ERR1913174.27149__1.27149	39491__A0A395ZGU6__ERS852417_01456
ERR1913174.27165__1.27165	1660__J3EEV9__APY09_02625
ERR1913174.27210__1.27210	47678__R5U2W6__CGC64_03455
ERR1913174.27301__1.27301	1262888__R6P6G4__BN582_00070
ERR1913174.27361__1.27361	823__A0A174U5E4__BDI_3390
ERR1913174.27381__1.27381	239935__R6IZT7__CXU18_11710
ERR1913174.27384__1.27384	39486__G1WQ06__DXD84_02875
ERR1913174.27471__1.27471	820__R9HUV5__HMPREF2141_02582
ERR1913174.27501__1.27501	556259__E5CDQ6__BSGG_3921
ERR1913174.27540__1.27540	544645__A0A373UEZ6__DXC42_11590
ERR1913174.27560__1.27560	820__A0A3E4QZJ7__C801_01798
ERR1913174.27639__1.27639	818__Q8A3I3__HMPREF2534_00068
ERR1913174.27664__1.27664	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913174.27668__1.27668	487174__K0X3E8__DIT83_11025
ERR1913174.27843__1.27843	487174__K0X4L2__pgl
ERR1913174.27907__1.27907	1150298__A0A174DX06__ERS852498_00491
ERR1913174.27909__1.27909	1550024__A0A0D8J179__ASJ35_09245
ERR1913174.27953__1.27953	1262746__R5SVF6__BN750_00768
ERR1913174.27977__1.27977	418240__A0A174R660__rluD_1
ERR1913174.28011__1.28011	821__R9HFW2__DXD01_00365
ERR1913174.28200__1.28200	357276__B6W5Q7__DXD47_13945
ERR1913174.28369__1.28369	40518__R5DWP7__ansA
ERR1913174.28383__1.28383	33039__D4M5E1__ERS852577_03873
ERR1913174.28523__1.28523	853__A0A2A7A4A9__C4N21_14870
ERR1913174.28679__1.28679	39486__B0G9K3__DXD18_11205
ERR1913174.28831__1.28831	820__A0A3E4RUC4__DHU98_02635
ERR1913174.28750__1.28750	649756__D4MV98__ERS852475_00895
ERR1913174.28978__1.28978	820__A0A173WUD7__DXB48_08055
ERR1913174.29089__1.29089	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913174.29112__1.29112	357276__U6R8F9__DXD47_04035
ERR1913174.29116__1.29116	204516__U6RAM4__HMPREF1534_03439
ERR1913174.29146__1.29146	39486__B0G912__DXD84_12340
ERR1913174.29172__1.29172	39488__C0ESJ2__DXD91_14695
ERR1913174.29313__1.29313	820__A0A3E4VZT7__DXB48_16145
ERR1913174.29336__1.29336	820__R9I3Q7__HMPREF1072_01668
ERR1913174.29390__1.29390	821__A0A078R9Y9__M097_2119
ERR1913174.29425__1.29425	357276__I8VQA2__HMPREF1065_04183
ERR1913174.29437__1.29437	818__A0A3E5HDS4__BJP75_002620
ERR1913174.29477__1.29477	357276__A0A0K2HDP3__IY41_00705
ERR1913174.29545__1.29545	239935__R6JCH3__CXT95_08205
ERR1913174.29613__1.29613	357276__I8WEY2__ABI39_04185
ERR1913174.29787__1.29787	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913174.29801__1.29801	216816__D6DCQ7__HMPREF1312_1623
ERR1913174.29813__1.29813	820__R9HP61__DXC91_01090
ERR1913174.29892__1.29892	357276__E5UTL1__HMPREF1065_03551
ERR1913174.29999__1.29999	820__A0A396EUU8__luxQ_3
ERR1913174.30046__1.30046	28116__A0A1G8H1M8__DXF98_11065
ERR1913174.30079__1.30079	47678__A5ZHL2__DXB67_12495
ERR1913174.30084__1.30084	820__A0A3E4G8F8__ERS852421_01645
ERR1913174.30388__1.30388	239935__A0A2N8HMQ8__pgsA
ERR1913174.30475__1.30475	204516__U6REI9__HMPREF1534_02357
ERR1913174.30488__1.30488	357276__I8WPR6__EL88_06675
ERR1913174.30661__1.30661	823__D7IKW8__DXD05_10310
ERR1913174.30697__1.30697	820__A0A3E4RU03__M093_0563
ERR1913174.30859__1.30859	357276__I9QWN0__ABI39_00335
ERR1913174.31009__1.31009	820__A0A1Y3V743__M093_0235
ERR1913174.31076__1.31076	33039__D4M1A4__ERS852502_00742
ERR1913174.31085__1.31085	821__A0A174AYT0__DXC02_03530
ERR1913174.31088__1.31088	820__A0A3E4G3J9__ERS852459_02265
ERR1913174.31136__1.31136	39491__A0A396FI89__DXD95_01300
ERR1913174.31153__1.31153	28117__B0MSS1__ALIPUT_00273
ERR1913174.31160__1.31160	1150298__A0A174T452__kfoC_3
ERR1913174.31170__1.31170	246787__R6LGA6__tmoS_11
ERR1913174.31327__1.31327	39491__A0A395ZL98__DXB99_00620
ERR1913174.31360__1.31360	820__A0A174Q0F0__DXB48_08080
ERR1913174.31361__1.31361	357276__I9QWD4__DXD47_15075
ERR1913174.31367__1.31367	1262746__R5S759__BN750_00759
ERR1913174.31340__1.31340	39491__A0A173VYV1__DXC13_02710
ERR1913174.31391__1.31391	1150298__A0A174IG30__ERS852535_01135
ERR1913174.31396__1.31396	239935__A0A2N8IJI1__B5G29_04615
ERR1913174.31453__1.31453	39486__R6RY39__DXD82_07230
ERR1913174.31463__1.31463	357276__I9FRW5__B5F95_21685
ERR1913174.31475__1.31475	357276__I9QWD4__DXD47_15075
ERR1913174.31650__1.31650	820__A0A374Q8T2__DXB64_16190
ERR1913174.31880__1.31880	166486__D4L457__ROSINTL182_07087
ERR1913174.31910__1.31910	214856__R6Y6H8__ERS852447_01719
ERR1913174.31933__1.31933	47678__A5ZHL2__DXB67_12495
ERR1913174.31968__1.31968	39491__A0A173VH71__ERS852497_01827
ERR1913174.31997__1.31997	28117__B0MTW8__ALIPUT_00502
ERR1913174.32093__1.32093	39496__A5Z778__EUBVEN_01561
ERR1913174.32165__1.32165	47678__R5USR9__HMPREF1061_01404
ERR1913174.32168__1.32168	40518__R5DUG7__sbcC
ERR1913174.32180__1.32180	371601__F7MC81__BN890_8450
ERR1913174.32196__1.32196	626929__F3PF38__HMPREF9445_00603
ERR1913174.32214__1.32214	47678__R5U2W6__CGC64_03455
ERR1913174.32246__1.32246	820__A0A396EUU8__luxQ_3
ERR1913174.32291__1.32291	820__A0A139KG04__ERS852459_01249
ERR1913174.32363__1.32363	39496__A5Z5I2__EUBVEN_00963
ERR1913174.32410__1.32410	357276__I9QDB8__B5F95_08105
ERR1913174.32459__1.32459	39491__A0A174K9A3__DXB69_07785
ERR1913174.32606__1.32606	28117__B0MZ50__ALIPUT_02424
ERR1913174.32715__1.32715	39491__D4JMW8__ERS852497_01971
ERR1913174.32814__1.32814	820__A0A3E4RU03__M093_0563
ERR1913174.32866__1.32866	357276__D1K3K9__EL88_23995
ERR1913174.32913__1.32913	1262888__R6P855__BN582_00390
