ERR1913312.55__1.55	357276__A0A076IXE0__HMPREF1064_04364
ERR1913312.6868__1.6868	39491__A0A396FJJ9__DXB76_11995
ERR1913312.6837__1.6837	46228__V8C458__DXD17_08090
ERR1913312.7053__1.7053	853__A0A173XRA8__CGS56_09290
ERR1913312.7168__1.7168	1262882__R5MSI5__BN519_01596
ERR1913312.7341__1.7341	88431__A0A3D0F1X8__ERS852408_00673
ERR1913312.7423__1.7423	1262913__R7JBL4__BN646_01165
ERR1913312.7701__1.7701	1262924__R7HMZ4__BN585_01629
ERR1913312.7726__1.7726	1262882__R5MRS7__BN519_01490
ERR1913312.8057__1.8057	2108523__A0A2P2FCF6__LAWASA_3740
ERR1913312.8367__1.8367	1262992__R5DDW9__BN795_00572
ERR1913312.8618__1.8618	1262882__R5MEN9__BN519_00201
ERR1913312.8711__1.8711	328814__GCA_004558275.1_00033
ERR1913312.8948__1.8948	301301__A0A395V9P9__ERS852391_00747
ERR1913312.8965__1.8965	39492__D4JU30__EUBSIR_00838
ERR1913312.9076__1.9076	1262989__R6XZR4__BN815_01113
ERR1913312.9125__1.9125	418240__A0A173YIF6__ypdA_1
ERR1913312.9130__1.9130	487174__K0WR72__HMPREF9448_02610
ERR1913312.9156__1.9156	301301__A0A395V700__RHOM_03405
ERR1913312.9175__1.9175	1262882__R5MIP9__BN519_01028
ERR1913312.9262__1.9262	301301__A0A395VEV6__RHOM_05260
ERR1913312.9383__1.9383	1262882__R5N2A9__BN519_00921
ERR1913312.9633__1.9633	360807__A0A173WJE3__mcp4_4
ERR1913312.9674__1.9674	1262882__R5N5W2__BN519_00074
ERR1913312.10163__1.10163	39492__D4MIX3__ERS852540_01230
ERR1913312.10489__1.10489	246787__A0A0P0G684__cirA_10
ERR1913312.10416__1.10416	39492__D4JSS4__ERS852540_02517
ERR1913312.10419__1.10419	1262882__R5N349__BN519_01037
ERR1913312.10427__1.10427	39492__D4JWD3__EUBSIR_00151
ERR1913312.10463__1.10463	301301__A0A395V714__evgS
ERR1913312.10513__1.10513	40518__R5DUJ5__DXD83_01635
ERR1913312.10518__1.10518	357276__A0A174L570__GV66_05720
ERR1913312.10592__1.10592	301301__A0A395V7N0__ERS852391_02330
ERR1913312.10705__1.10705	39492__D4JVX0__udk
ERR1913312.10717__1.10717	649756__A0A173RGN8__DO83_04830
ERR1913312.10873__1.10873	371601__D6D747__CW3_0796
ERR1913312.10927__1.10927	1262882__R5N1R4__BN519_00788
ERR1913312.10967__1.10967	39492__D4JTL0__EUBSIR_01428
ERR1913312.11129__1.11129	1262882__R5MYG7__BN519_00405
ERR1913312.11159__1.11159	292800__A0A174XAG3__HMPREF0372_00094
ERR1913312.11205__1.11205	46228__V8BRM9__HMPREF1202_02379
ERR1913312.11336__1.11336	40518__R5DYM0__DXD86_08165
ERR1913312.11539__1.11539	371601__I9UUB0__SAMN04487924_11836
ERR1913312.11546__1.11546	1262889__R7H9Z3__BN634_00978
ERR1913312.11609__1.11609	1262924__R7HND0__BN585_00157
ERR1913312.11672__1.11672	214856__A0A174A0P3__ERS852447_00994
ERR1913312.11884__1.11884	39491__A0A395ZF49__DXB69_05290
ERR1913312.11910__1.11910	1262924__R7HM98__BN585_01697
ERR1913312.12020__1.12020	820__A0A139KG60__M094_2679
ERR1913312.12568__1.12568	39492__D4JUJ6__ssuB_2
ERR1913312.12575__1.12575	626933__H1DGX0__HMPREF9449_01506
ERR1913312.12687__1.12687	371601__A0A174ER12__HMPREF1074_02637
ERR1913312.12782__1.12782	39492__D4JRM9__bglB_2
ERR1913312.12834__1.12834	39485__C4Z685__EUBELI_20332
ERR1913312.12811__1.12811	1263109__GCA_000438135.1_00053
ERR1913312.12882__1.12882	649756__A0A174L4G4__cls_1
ERR1913312.13130__1.13130	301301__A0A395VA99__rpfG_5
ERR1913312.13156__1.13156	1262777__R5VQY2__BN512_00997
ERR1913312.13214__1.13214	1304__J7TF66__HSISS4_01331
ERR1913312.13288__1.13288	28117__B0MSS1__ALIPUT_00273
ERR1913312.13321__1.13321	39491__C4ZAT2__ERE_28440
ERR1913312.13415__1.13415	649756__D4N1B6__HMPREF0369_02032
ERR1913312.13539__1.13539	40518__A0A2N0UUY0__DXD83_02620
ERR1913312.13634__1.13634	39492__D4MIY5__EUBSIR_00233
ERR1913312.13619__1.13619	39492__D4JT75__EUBSIR_01776
ERR1913312.13875__1.13875	1262882__R5N1H7__BN519_00735
ERR1913312.13989__1.13989	1262882__R5MND9__BN519_00831
ERR1913312.14188__1.14188	39491__A0A173SH34__EUR_24920
ERR1913312.14251__1.14251	1263005__R6EYA2__BN497_01518
ERR1913312.14306__1.14306	853__A0A2A7B1Y7__C7K05_11930
ERR1913312.14363__1.14363	1262913__R7JHU4__BN646_02031
ERR1913312.14444__1.14444	626932__G5H7W2__HMPREF9450_00765
ERR1913312.14471__1.14471	1897011__A0A1Q6RE83__BHW41_04925
ERR1913312.14480__1.14480	821__A0A395US34__C5Z04_18975
ERR1913312.14687__1.14687	301302__R5V631__ERS852420_03369
ERR1913312.14757__1.14757	1262882__R5MRT2__BN519_01494
ERR1913312.14775__1.14775	1150298__A0A174PA84__sigM
ERR1913312.14794__1.14794	1862668__GCA_001945525.1_00031
ERR1913312.14892__1.14892	1680__A0A1E7Y0K2__DXC59_05185
ERR1913312.14909__1.14909	1262924__R7HPY0__BN585_01950
ERR1913312.15395__1.15395	214856__A0A174A0R8__ERS852447_00998
ERR1913312.15516__1.15516	301301__A0A395V8M7__ERS852391_00967
ERR1913312.15491__1.15491	39492__B0MNQ2__EUBSIR_01459
ERR1913312.15562__1.15562	39492__D4JTH4__ERS852540_00702
ERR1913312.15929__1.15929	39492__D4JQY4__EUBSIR_01325
ERR1913312.16213__1.16213	1262882__R5N004__BN519_00490
ERR1913312.16238__1.16238	246787__A0A3D6AWV8__gltP
ERR1913312.16369__1.16369	166486__D4L3V9__ROSINTL182_07680
ERR1913312.16441__1.16441	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913312.16735__1.16735	39492__D4MIX3__ERS852540_01230
ERR1913312.16904__1.16904	46228__V8CB66__RUMLAC_02810
ERR1913312.17032__1.17032	1262882__R5MEN9__BN519_00201
ERR1913312.17093__1.17093	40518__R5E6X5__sbcD
ERR1913312.17640__1.17640	301301__A0A173Z460__sunS_1
ERR1913312.17791__1.17791	218538__C9LQ92__GCWU000321_01724
ERR1913312.17993__1.17993	39492__D4JQS6__ykoD
ERR1913312.18051__1.18051	818__A0A0P0FBH7__ERS852557_03343
ERR1913312.18074__1.18074	1262882__R5MF58__BN519_00393
ERR1913312.18204__1.18204	39492__D4JVG7__ERS852540_00946
ERR1913312.18158__1.18158	39496__A5Z5I2__EUBVEN_00963
ERR1913312.18172__1.18172	246787__A0A120A560__BACCELL_01375
ERR1913312.18652__1.18652	1263005__R6F1V0__BN497_00939
ERR1913312.18765__1.18765	39485__A0A174ZI57__ERS852490_00285
ERR1913312.18973__1.18973	39492__D4JV86__spoIIE
ERR1913312.19080__1.19080	1262992__R5D645__BN795_00736
ERR1913312.19206__1.19206	821__E5UPR6__SAMN04487923_101768
ERR1913312.19218__1.19218	39492__D4JVX0__udk
ERR1913312.19262__1.19262	39491__R6UMS6__DXD13_07035
ERR1913312.19338__1.19338	39492__D4JV38__EUBSIR_01205
ERR1913312.19463__1.19463	1262882__R5N3H1__BN519_01121
ERR1913312.19594__1.19594	39492__D4JVZ6__truB
ERR1913312.19641__1.19641	371601__A0A1Y4VA23__SAMN04487924_1246
ERR1913312.19712__1.19712	1262911__R6GJ95__BN557_01617
ERR1913312.19816__1.19816	39492__D4JWY7__EUBSIR_01655
ERR1913312.19952__1.19952	46228__V8BL81__DXD17_11825
ERR1913312.19967__1.19967	823__A0A355XKQ8__DHP27_04010
ERR1913312.19971__1.19971	1262882__R5MHQ8__BN519_00707
ERR1913312.20215__1.20215	1297617__A0A0S2W5G6__C7373_10958
ERR1913312.20235__1.20235	39492__D4JVG1__ERS852540_00951
ERR1913312.20376__1.20376	1862668__GCA_001945525.1_00031
ERR1913312.20421__1.20421	39491__A0A395UWA3__DXB69_11805
ERR1913312.20526__1.20526	821__A0A174RA14__M099_1655
ERR1913312.20757__1.20757	40518__R5DYU1__DXD86_01160
ERR1913312.20770__1.20770	487174__R5EXS5__HMPREF9448_02541
ERR1913312.20821__1.20821	246787__A0A3D6AQP8__AA416_04153
ERR1913312.21025__1.21025	39491__A0A395UUN5__EUBREC_0291
ERR1913312.21229__1.21229	39491__A0A395ZHV7__ykvU
ERR1913312.21251__1.21251	1262882__R5MZZ3__BN519_00482
ERR1913312.21362__1.21362	301301__A0A173ZW33__RHOM_02600
ERR1913312.21281__1.21281	39492__D4JR08__ERS852540_02467
ERR1913312.21391__1.21391	1262882__R5MYX5__BN519_00333
ERR1913312.21656__1.21656	1262992__R5CXL2__BN795_00996
ERR1913312.21847__1.21847	357276__B6W5Q9__HMPREF1063_03125
ERR1913312.21963__1.21963	39491__A0A395ZHV7__ykvU
ERR1913312.22007__1.22007	39492__D4JV38__EUBSIR_01205
ERR1913312.22122__1.22122	39492__D4JS46__EUBSIR_02553
ERR1913312.22338__1.22338	28116__A0A1Y4PWN5__M088_3731
ERR1913312.22404__1.22404	1262992__R5DAK8__BN795_01248
ERR1913312.23036__1.23036	1262882__R5MF43__BN519_00282
ERR1913312.23166__1.23166	39488__A0A285PUH7__ERS852450_00520
ERR1913312.23349__1.23349	46503__R6X607__HMPREF1060_03545
ERR1913312.23564__1.23564	39491__A0A174G6M3__DXD13_14470
ERR1913312.23598__1.23598	371601__A0A1H4ANE8__SAMN05216250_10552
ERR1913312.23680__1.23680	39492__D4JT68__spoIIIE
ERR1913312.23652__1.23652	39492__D4JT68__spoIIIE
ERR1913312.23700__1.23700	214856__A0A174ZLY7__ERS852447_02456
ERR1913312.23909__1.23909	1042156__F7V3A8__HipB
ERR1913312.24150__1.24150	853__A0A174BZY1__xerD_1
ERR1913312.24153__1.24153	1150298__A0A174QS63__ERS852406_03087
ERR1913312.24375__1.24375	28118__F9ZAB2__SAMEA44545918_01079
ERR1913312.24619__1.24619	39492__D4MIY5__EUBSIR_00233
ERR1913312.24640__1.24640	1150298__A0A174U7I9__ERS852406_02991
ERR1913312.24674__1.24674	39491__A0A395ZE48__DXB76_02395
ERR1913312.24867__1.24867	39492__D4JWT3__ERS852540_00301
ERR1913312.25070__1.25070	39492__D4JRV5__acrR_2
ERR1913312.25042__1.25042	46228__V8CGF0__HMPREF1202_00126
ERR1913312.25057__1.25057	1262913__R7JL29__BN646_02715
ERR1913312.25154__1.25154	1432052__A0A1E3AQ54__BEI64_02255
ERR1913312.25274__1.25274	649756__D4MV02__CL2_23590
ERR1913312.25299__1.25299	39492__D4JV38__EUBSIR_01205
ERR1913312.25481__1.25481	39492__D4JUJ6__ssuB_2
ERR1913312.25490__1.25490	1262882__R5N1T9__BN519_00804
ERR1913312.25628__1.25628	301301__A0A174EZ95__graS_1
ERR1913312.25966__1.25966	1262882__R5MHA1__BN519_00763
ERR1913312.25967__1.25967	1262882__R5MSP5__BN519_01637
ERR1913312.26158__1.26158	1262882__R5MEW7__BN519_00010
ERR1913312.26403__1.26403	39485__C4Z5L8__ERS852490_00665
ERR1913312.26372__1.26372	28116__R6JI94__ERS852555_01222
ERR1913312.26449__1.26449	39491__A0A3E4E7C5__DXB69_03255
ERR1913312.26454__1.26454	1862668__GCA_001945525.1_00030
ERR1913312.26531__1.26531	28116__W6P631__HMPREF2532_01084
ERR1913312.26737__1.26737	1262882__R5MYP2__BN519_00435
ERR1913312.26766__1.26766	357276__B6VUQ5__B5F00_10940
ERR1913312.27088__1.27088	1262924__R7HQB3__BN585_00435
ERR1913312.27110__1.27110	39492__D4JW10__pppA
ERR1913312.27140__1.27140	47678__R5U819__DW706_12015
ERR1913312.27272__1.27272	1262882__R5N3H1__BN519_01121
ERR1913312.27344__1.27344	1262992__R5DBP5__BN795_00200
ERR1913312.27474__1.27474	218538__C9LQ92__GCWU000321_01724
ERR1913312.27402__1.27402	820__R9HP61__DXC91_01090
ERR1913312.27526__1.27526	1150298__R7JXH6__mecR1
ERR1913312.27669__1.27669	357276__A0A0M1W9N4__GV66_05135
ERR1913312.27727__1.27727	39492__D4JRZ7__smc
ERR1913312.27837__1.27837	39492__D4JQU2__EUBSIR_01294
ERR1913312.27959__1.27959	1262882__R5MEI8__BN519_00283
ERR1913312.28153__1.28153	39491__A0A395ZE48__DXB76_02395
ERR1913312.28278__1.28278	40518__R5DR39__mreB_2
ERR1913312.28368__1.28368	301301__A0A173ZW33__RHOM_02600
ERR1913312.28443__1.28443	39492__D4JR04__phoU
ERR1913312.28615__1.28615	46228__V8BQJ8__DXD17_00240
ERR1913312.28580__1.28580	166486__D4KX00__ROSINTL182_07577
ERR1913312.28708__1.28708	1262882__R5MND9__BN519_00831
ERR1913312.28717__1.28717	29361__B6FRT6__CLONEX_02860
ERR1913312.29091__1.29091	1262882__R5MSI5__BN519_01596
ERR1913312.29246__1.29246	39492__D4MM10__EUBSIR_01460
ERR1913312.29523__1.29523	626932__G5H776__HMPREF9450_00919
ERR1913312.29681__1.29681	28118__R6FX99__Odosp_1660
ERR1913312.29776__1.29776	371601__D6D6U6__BN891_31680
ERR1913312.29779__1.29779	1262924__R7HQS1__BN585_00657
ERR1913312.29805__1.29805	1150298__R7JUS5__soxS_1
ERR1913312.29870__1.29870	871324__A0A1M6C0H7__SAMN05444350_103243
ERR1913312.29942__1.29942	239935__A0A2N8HTZ8__CXU09_01270
ERR1913312.30234__1.30234	1262882__R5MEW7__BN519_00010
ERR1913312.30200__1.30200	1262924__R7HSH9__BN585_00133
ERR1913312.30352__1.30352	216816__A0A2U0BT35__BL1206_1860
ERR1913312.30382__1.30382	46228__B5CNB4__RUMLAC_00950
ERR1913312.30562__1.30562	204516__U6RDD8__HMPREF1534_02559
ERR1913312.30611__1.30611	371601__I9JEF3__DXD80_17785
ERR1913312.30635__1.30635	39492__D4JT67__EUBSIR_01784
ERR1913312.30670__1.30670	214856__A0A174EJT5__mnmA
ERR1913312.30781__1.30781	1262882__R5N211__BN519_01033
ERR1913312.30869__1.30869	2108523__A0A2P2FDA1__LAWASA_4052
ERR1913312.30935__1.30935	556259__E5C6L5__BSGG_0298
ERR1913312.30995__1.30995	46228__B5CLE1__HMPREF1202_01861
ERR1913312.30971__1.30971	301301__A0A395VGH2__dltB_2
ERR1913312.31026__1.31026	39492__D4JWI6__EUBSIR_01073
ERR1913312.31244__1.31244	1550024__A0A0W7TN61__ASJ35_14460
ERR1913312.31276__1.31276	301301__A0A395V4X8__ERS852391_01546
ERR1913312.31295__1.31295	1262992__R5D6G0__BN795_00277
ERR1913312.31465__1.31465	246787__A0A108TGJ4__AA416_00453
ERR1913312.31767__1.31767	1262882__R5N2A9__BN519_00921
ERR1913312.31674__1.31674	39491__A0A174LTW7__DXD13_08720
ERR1913312.31773__1.31773	357276__I9QBT4__GV66_09000
ERR1913312.31881__1.31881	39492__D4JVW2__EUBSIR_02285
ERR1913312.32022__1.32022	1262882__R5MT08__BN519_01706
ERR1913312.32162__1.32162	818__A0A139L1N9__ERS852430_00647
ERR1913312.32198__1.32198	1150298__A0A174HD82__yusO_2
ERR1913312.32375__1.32375	40518__R5DQJ0__DXD93_03790
ERR1913312.32384__1.32384	39491__R6UMS6__DXD13_07035
ERR1913312.32534__1.32534	1262924__R7HU74__BN585_00690
ERR1913312.32640__1.32640	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913312.32724__1.32724	387090__S0F7Y3__BACCOPRO_02028
ERR1913312.32839__1.32839	28116__A7LSB9__DXF98_11950
ERR1913312.32980__1.32980	418240__C6JGM0__ERS852478_02067
ERR1913312.33030__1.33030	1262989__R6YI19__BN815_02193
ERR1913312.33135__1.33135	1262913__R7J4R5__BN646_00631
ERR1913312.33312__1.33312	39491__A0A396FJJ9__DXB76_11995
ERR1913312.33401__1.33401	39492__D4JRV7__EUBSIR_01513
ERR1913312.33460__1.33460	28116__A0A1Y4PHM7__DXA80_25130
ERR1913312.33521__1.33521	39492__D4JSU6__dacB_3
ERR1913312.33500__1.33500	39492__D4JWG6__EUBSIR_00253
ERR1913312.33577__1.33577	1262882__R5MLT4__BN519_01496
ERR1913312.33612__1.33612	357276__I8WBQ9__HMPREF1065_03212
ERR1913312.33681__1.33681	357276__A0A076J0Y3__IY41_06810
ERR1913312.33784__1.33784	39492__D4JUD7__EUBSIR_01877
ERR1913312.33851__1.33851	820__A0A3E4IBC1__M094_0628
ERR1913312.33931__1.33931	214856__I3YMC8__ERS852447_02666
ERR1913312.33950__1.33950	418240__C6JGM0__ERS852478_02067
ERR1913312.34265__1.34265	39492__D4JU56__hemZ
ERR1913312.34271__1.34271	371601__A0A174FW12__HMPREF1074_03447
ERR1913312.34356__1.34356	39492__D4JT91__EUBSIR_01750
ERR1913312.34472__1.34472	1262913__R7JKR8__BN646_02592
ERR1913312.34507__1.34507	39491__A0A3E4YFT8__DXB69_10940
ERR1913312.34654__1.34654	487174__K0XRP0__DDY40_09260
ERR1913312.34703__1.34703	1263107__GCA_000436995.1_00214
ERR1913312.34745__1.34745	1262913__R7JEY4__BN646_02004
ERR1913312.35013__1.35013	39492__R6SA81__EUBSIR_00402
ERR1913312.35371__1.35371	1262882__R5MKV8__BN519_01281
ERR1913312.35418__1.35418	1262882__R5MIW5__BN519_00945
ERR1913312.35758__1.35758	1262882__R5N1R4__BN519_00788
ERR1913312.36003__1.36003	216816__C2GUV2__APC1478_0430
ERR1913312.36143__1.36143	1150298__A0A174HYM9__ERS852406_01664
ERR1913312.36263__1.36263	216816__A0A0A6VPB9__B624_1780
ERR1913312.36498__1.36498	1262882__R5MRS7__BN519_01490
ERR1913312.36610__1.36610	820__A7V8C2__ERS852554_01338
ERR1913312.36692__1.36692	39488__R6GBC5__DXD91_06450
ERR1913312.36634__1.36634	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913312.36869__1.36869	33039__A0A173VTT4__frdB_1
ERR1913312.36950__1.36950	821__A6L0C7__ERS852556_03520
ERR1913312.36917__1.36917	39488__R6GBC5__DXD91_06450
ERR1913312.36918__1.36918	39491__A0A395ZGE4__ERS852497_01269
ERR1913312.37322__1.37322	301301__A0A395VC27__adaA_5
ERR1913312.37338__1.37338	39491__A0A174G6M3__DXD13_14470
ERR1913312.37462__1.37462	39492__D4JSB6__ERS852540_00627
ERR1913312.37742__1.37742	1262882__R5N1Z9__BN519_01020
ERR1913312.37759__1.37759	1262924__R7HQB3__BN585_00435
ERR1913312.37861__1.37861	39492__D4JTL0__EUBSIR_01428
ERR1913312.37850__1.37850	1262913__R7JQ16__BN646_00365
ERR1913312.37949__1.37949	39491__A0A396FJJ9__DXB76_11995
ERR1913312.37953__1.37953	40518__R5DR72__RBL236_02110
ERR1913312.38042__1.38042	418240__A0A174NZX7__tagF_1
ERR1913312.38178__1.38178	39491__C4ZAT2__ERE_28440
ERR1913312.38191__1.38191	357276__I9R994__BACDOR_04044
ERR1913312.38281__1.38281	1262882__R5MFA5__BN519_00331
ERR1913312.38541__1.38541	46228__V8C7M2__RUMLAC_01453
ERR1913312.38583__1.38583	301302__A0A173TEJ2__M72_09031
ERR1913312.38875__1.38875	39491__A0A395V0H6__ERS852580_02570
ERR1913312.38879__1.38879	40518__R5DQJ0__DXD93_03790
ERR1913312.38882__1.38882	1897011__A0A1Q6RE59__BHW41_04605
ERR1913312.38998__1.38998	39491__A0A395ZJZ1__LD38_01870
ERR1913312.38954__1.38954	556259__E5CDQ6__BSGG_3921
ERR1913312.39221__1.39221	357276__A0A0M1W4C0__DXD47_07095
ERR1913312.39230__1.39230	1262882__R5MYI1__BN519_00416
ERR1913312.39335__1.39335	649756__D4MW63__DCR88_07570
ERR1913312.39582__1.39582	649756__D4MXW9__ERS852520_02286
ERR1913312.39736__1.39736	214856__A0A174EJT5__mnmA
ERR1913312.39750__1.39750	39492__D4JV38__EUBSIR_01205
ERR1913312.39857__1.39857	1262924__R7HKP8__BN585_01113
ERR1913312.40145__1.40145	39492__D4MIY5__EUBSIR_00233
ERR1913312.40181__1.40181	301301__A0A395VAZ8__RHOM_11660
ERR1913312.40467__1.40467	1262882__R5MLE6__BN519_01423
ERR1913312.40639__1.40639	35833__E5YB59__HMPREF0179_03432
ERR1913312.40750__1.40750	28116__A0A1Y4PWN5__M088_3731
ERR1913312.41095__1.41095	371601__A0A1H4GP73__B5E50_17960
ERR1913312.41170__1.41170	1150298__A0A173ZYU8__sipT_2
ERR1913312.41443__1.41443	357276__C3REQ8__GV66_09740
ERR1913312.41480__1.41480	1262882__R5N3H1__BN519_01121
ERR1913312.41614__1.41614	821__A0A397WGD6__M098_0084
ERR1913312.41685__1.41685	1262882__R5MM96__BN519_01545
ERR1913312.41904__1.41904	371601__A0A1Y4V1T2__DXD80_18495
ERR1913312.42042__1.42042	39491__A0A396FFW0__ERE_10580
ERR1913312.42117__1.42117	1262913__R7JMR4__BN646_02591
ERR1913312.42440__1.42440	39492__D4JUS6__accD5
ERR1913312.42631__1.42631	301301__A0A395VAZ8__RHOM_11660
ERR1913312.42671__1.42671	39491__A0A174LTW7__DXD13_08720
ERR1913312.42695__1.42695	1262992__R5DDW9__BN795_00572
ERR1913312.42759__1.42759	1262911__R6H1K1__BN557_00910
ERR1913312.42860__1.42860	1262882__R5MRT2__BN519_01494
ERR1913312.43026__1.43026	1262882__R5MF43__BN519_00282
ERR1913312.43322__1.43322	39492__D4JS88__ERS852540_00578
ERR1913312.43365__1.43365	39492__D4JRZ7__smc
ERR1913312.43457__1.43457	47678__R5UG96__C5Z00_12630
ERR1913312.43661__1.43661	626933__H1DGX0__HMPREF9449_01506
ERR1913312.43936__1.43936	39492__D4JWT3__ERS852540_00301
ERR1913312.43884__1.43884	1150298__R7JRK4__ERS852406_01648
ERR1913312.44112__1.44112	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913312.44676__1.44676	246787__R6KQ08__AA416_01934
ERR1913312.44658__1.44658	246787__A0A108T1Y3__fepA_8
ERR1913312.45056__1.45056	1262944__R7IN61__BN596_01204
ERR1913312.45090__1.45090	39492__D4JTF2__mutS2
ERR1913312.45463__1.45463	853__A0A173RZ39__C4N22_01650
ERR1913312.45817__1.45817	166486__D4KVY5__ERS852572_03136
ERR1913312.46084__1.46084	39492__D4JWR6__dnaN
ERR1913312.46265__1.46265	1262924__R7HQD9__BN585_00129
ERR1913312.46374__1.46374	39491__A0A174K265__DXB76_05915
ERR1913312.46360__1.46360	39488__C0ESJ6__EUBHAL_00369
ERR1913312.46459__1.46459	552398__T5S086__HMPREF0866_01580
ERR1913312.46405__1.46405	357276__A0A076IYE6__IY41_04275
ERR1913312.46410__1.46410	1262882__R5MEW7__BN519_00010
ERR1913312.46654__1.46654	39492__D4JRV7__EUBSIR_01513
ERR1913312.47089__1.47089	301301__A0A395VFK0__RHOM_05215
ERR1913312.47236__1.47236	39491__A0A395V0H3__ERS852417_01192
ERR1913312.47373__1.47373	301301__G2T0A9__RHOM_03910
ERR1913312.47480__1.47480	40518__R5DQD6__DXD83_09060
ERR1913312.47530__1.47530	418240__C6JAJ8__ERS852478_03436
ERR1913312.47594__1.47594	1262924__R7HT26__BN585_00306
ERR1913312.47561__1.47561	1550024__G9RXI8__TQ39_11495
ERR1913312.47638__1.47638	39492__D4JRV7__EUBSIR_01513
ERR1913312.47655__1.47655	1262882__R5MFA5__BN519_00331
ERR1913312.47693__1.47693	1262882__R5MKL9__BN519_00353
ERR1913312.47736__1.47736	2108523__A0A2P2FCZ3__LAWASA_3939
ERR1913312.47806__1.47806	1262924__R7HP98__BN585_02065
ERR1913312.47976__1.47976	46228__V8BL71__DXD17_11775
ERR1913312.47989__1.47989	39491__A0A0M6WNS5__DXC13_02015
ERR1913312.47965__1.47965	46228__V8C7M2__RUMLAC_01453
ERR1913312.48160__1.48160	821__A0A395US34__C5Z04_18975
ERR1913312.48351__1.48351	1150298__A0A174BP05__murAA
ERR1913312.48449__1.48449	1262924__R7HNZ2__BN585_02017
ERR1913312.48454__1.48454	216816__A0A395XYV2__APC1468_1887
ERR1913312.48524__1.48524	40518__R5DW64__RBL236_01394
ERR1913312.48629__1.48629	39492__D4JTG7__EUBSIR_00572
ERR1913312.48643__1.48643	1262924__R7HRE7__BN585_00055
ERR1913312.48538__1.48538	28116__I9TDA4__BACOV975_03134
ERR1913312.48712__1.48712	1262948__R7EDA7__BN671_00036
ERR1913312.48800__1.48800	46228__B5CP96__RUMLAC_01287
ERR1913312.48948__1.48948	1628085__A0A1C6BMM1__C7386_11221
