ERR1913265.120__1.120	1150298__R7JPB1__corA
ERR1913265.18125__1.18125	1263109__GCA_000438135.1_00481
ERR1913265.18238__1.18238	1304__A0A1W5ZCY0__CKU37_03270
ERR1913265.18360__1.18360	216816__E8MH24__APS65_02760
ERR1913265.18370__1.18370	40518__R5DNY7__RBATCC27255_00367
ERR1913265.18406__1.18406	1262992__R5DE88__BN795_00202
ERR1913265.18508__1.18508	821__A0A0P0L8F8__ERS852509_03705
ERR1913265.18441__1.18441	216816__A0A395XYV2__APC1468_1887
ERR1913265.18458__1.18458	1262992__R5DCM8__BN795_01561
ERR1913265.18668__1.18668	487175__D9Y8L9__HMPREF9439_01212
ERR1913265.18744__1.18744	487174__K0WYC5__HMPREF9448_01493
ERR1913265.18783__1.18783	328813__A0A1Y3QRL5__B5G41_11625
ERR1913265.19011__1.19011	39491__A0A395UXH0__EUBREC_0021
ERR1913265.19805__1.19805	310298__B3JGL4__BACCOP_01016
ERR1913265.19870__1.19870	823__E1YRQ7__M095_0737
ERR1913265.19824__1.19824	39491__A0A395ZG96__DXB69_15120
ERR1913265.20021__1.20021	821__R7P1Q7__M099_2990
ERR1913265.20058__1.20058	40518__R5DTH7__DXD83_02405
ERR1913265.20136__1.20136	487175__R5E7P2__HMPREF9439_00873
ERR1913265.20140__1.20140	1777878__A0A139NGZ4__STRDD10_00481
ERR1913265.20259__1.20259	328813__A0A1Y3QZ64__B5G41_14235
ERR1913265.20267__1.20267	853__E2ZGD9__C7J97_11715
ERR1913265.20442__1.20442	820__A0A3E4G493__ERS417307_00253
ERR1913265.20526__1.20526	821__A0A174NVL6__NCTC10583_01782
ERR1913265.20582__1.20582	40518__R5DS23__DXD86_01715
ERR1913265.20650__1.20650	1262936__R7J0W9__BN799_00634
ERR1913265.20841__1.20841	853__A0A2A7A4A9__C4N21_14870
ERR1913265.21014__1.21014	1262992__R5D3X7__BN795_00539
ERR1913265.21089__1.21089	853__A0A173T751__C4N24_10280
ERR1913265.21091__1.21091	39491__A0A174LTW7__DXD13_08720
ERR1913265.21220__1.21220	1304__T0T9N5__CQA85_09935
ERR1913265.21233__1.21233	1150298__R7JV71__ERS852498_00755
ERR1913265.21270__1.21270	40520__R7D954__DXB81_01905
ERR1913265.21542__1.21542	357276__A0A0M1W657__HMPREF1064_04629
ERR1913265.21550__1.21550	28117__B0MSL1__BHV66_06710
ERR1913265.21611__1.21611	821__A0A3E4HP25__SAMN04487923_102450
ERR1913265.21705__1.21705	1304__A0A0A1E2E1__A6J87_05400
ERR1913265.21752__1.21752	39491__A0A174LTW7__DXD13_08720
ERR1913265.21842__1.21842	40518__R5E1J7__RBL236_02062
ERR1913265.21872__1.21872	487174__K0WUM9__HMPREF9448_02608
ERR1913265.21878__1.21878	28117__B0MWP2__ALIPUT_01468
ERR1913265.22257__1.22257	853__E2ZGD9__C7J97_11715
ERR1913265.22681__1.22681	39491__A0A395UZ82__EUR_31520
ERR1913265.22736__1.22736	28117__B0MU76__ALIPUT_00202
ERR1913265.22862__1.22862	28117__B0MSS1__ALIPUT_00273
ERR1913265.22928__1.22928	40518__R5DT93__DXD86_08730
ERR1913265.23053__1.23053	1304__A0A1V0GGK6__SSALIVM18_02250
ERR1913265.23188__1.23188	39491__A0A395V1Y4__DXB99_08035
ERR1913265.23257__1.23257	39491__A0A395ZHH5__ERS852497_02076
ERR1913265.23242__1.23242	310298__B3JGJ2__BACCOP_00994
ERR1913265.23291__1.23291	47678__R5U2I4__ERS852558_03712
ERR1913265.23467__1.23467	310298__B3JI31__BACCOP_01543
ERR1913265.23569__1.23569	40518__R5DP21__RBATCC27255_00348
ERR1913265.23632__1.23632	40518__R5DS68__hcpC
ERR1913265.23638__1.23638	1680__A0A076JM61__DXD63_05245
ERR1913265.23761__1.23761	394340__glnA_1
ERR1913265.23942__1.23942	328813__A0A1Y3QWI2__B5G41_09460
ERR1913265.24124__1.24124	821__A0A174WBC9__ERS852556_03145
ERR1913265.24150__1.24150	39491__A0A396FJJ9__DXB76_11995
ERR1913265.24226__1.24226	1262992__R5D3X7__BN795_00539
ERR1913265.24411__1.24411	216816__A0A0M4NCP0__HMPREF1313_0712
ERR1913265.24419__1.24419	39491__A0A395ZDC6__addB
ERR1913265.24439__1.24439	1150298__R7JUV3__yfnB
ERR1913265.24490__1.24490	40518__R5DSI5__fieF
ERR1913265.24590__1.24590	39492__D4JVG7__ERS852540_00946
ERR1913265.24619__1.24619	39491__A0A395V464__EUBREC_1509
ERR1913265.24753__1.24753	40518__R5DXI4__DXD86_07420
ERR1913265.24709__1.24709	28117__B0MTY2__BHV66_06485
ERR1913265.24788__1.24788	360807__A0A173UZ94__ssuC_2
ERR1913265.24884__1.24884	40518__R5DVU7__RBL236_00839
ERR1913265.25031__1.25031	40518__R5DYU1__DXD86_01160
ERR1913265.25062__1.25062	40518__R5DR96__RBATCC27255_01185
ERR1913265.25261__1.25261	33043__D5HFA1__ERS852400_02183
ERR1913265.25576__1.25576	1262992__R5DBS7__BN795_00217
ERR1913265.25705__1.25705	216816__C2GUV2__APC1478_0430
ERR1913265.25710__1.25710	853__E2ZJT1__C4N23_03535
ERR1913265.25784__1.25784	176090__A0A0A0DF29__SSIN_1565
ERR1913265.25841__1.25841	46506__B0NP81__SAMN05444283_10688
ERR1913265.25982__1.25982	28117__B0MXQ6__ALIPUT_01917
ERR1913265.25893__1.25893	853__A0A173XRA8__CGS56_09290
ERR1913265.26214__1.26214	1680__A7A7Z9__AAX71_05385
ERR1913265.26664__1.26664	39485__A0A174YMC1__recN
ERR1913265.26684__1.26684	214856__A0A174ZZS1__ERS852559_01484
ERR1913265.26750__1.26750	39491__A0A396FMT0__EUBREC_3020
ERR1913265.26877__1.26877	40518__R5DUG7__sbcC
ERR1913265.27008__1.27008	28117__B0MUL5__ALIPUT_00722
ERR1913265.26952__1.26952	39485__C4Z467__ERS852490_01684
ERR1913265.27082__1.27082	1150298__R7JRK4__ERS852406_01648
ERR1913265.27099__1.27099	1680__A0A173X776__B0070_1318
ERR1913265.27198__1.27198	999425__K8MTY4__HMPREF9186_00582
ERR1913265.27278__1.27278	39491__A0A395ZGU6__ERS852417_01456
ERR1913265.27437__1.27437	1262911__R6H072__BN557_00615
ERR1913265.27676__1.27676	246787__A0A0P0GG22__BACCELL_01899
ERR1913265.27731__1.27731	853__A0A2A7A628__CGS57_13755
ERR1913265.27849__1.27849	1304__J7SHP5__SALIVA_1499
ERR1913265.27816__1.27816	1150298__R7JRU1__degA_3
ERR1913265.27879__1.27879	40518__R5DP21__RBATCC27255_00348
ERR1913265.27955__1.27955	310298__B3JLC6__BACCOP_02712
ERR1913265.27986__1.27986	39491__A0A395UZZ5__htpG_1
ERR1913265.27991__1.27991	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913265.28003__1.28003	40518__R5DME2__DXD86_07315
ERR1913265.28362__1.28362	1262948__R7EDA7__BN671_00036
ERR1913265.28546__1.28546	39491__A0A395V0H3__ERS852417_01192
ERR1913265.28826__1.28826	40518__R5DYU1__DXD86_01160
ERR1913265.28775__1.28775	39491__A0A395V0H6__ERS852580_02570
ERR1913265.28913__1.28913	1304__A0A0Y1UXU5__NX99_02180
ERR1913265.29068__1.29068	1263109__GCA_000438135.1_01442
ERR1913265.29103__1.29103	820__A0A3E4FWC8__DXC91_14635
ERR1913265.29259__1.29259	33043__D5HFA1__ERS852400_02183
ERR1913265.29225__1.29225	47678__R5U3U1__BACCAC_03593
ERR1913265.29393__1.29393	39491__C4ZEW3__T1815_18241
ERR1913265.29559__1.29559	28116__A0A139LF77__HMPREF2532_01174
ERR1913265.29585__1.29585	1680__A0A174BEE7__BSTER_1311
ERR1913265.29668__1.29668	216816__D6DC09__BLIC_a02334
ERR1913265.29848__1.29848	1263109__GCA_000438135.1_00605
ERR1913265.29870__1.29870	821__A0A396ER29__ERS852457_02298
ERR1913265.29871__1.29871	1680__A0A0C2YPV2__AL0462_1474
ERR1913265.30202__1.30202	821__A0A0P0M6M0__M097_4734
ERR1913265.30241__1.30241	39491__A0A395ZBW8__DXC13_08840
ERR1913265.30281__1.30281	39491__A0A396FQ67__DXB99_07505
ERR1913265.30541__1.30541	552398__F4XCR9__HMPREF0866_01636
ERR1913265.30667__1.30667	1262992__R5D733__BN795_00375
ERR1913265.30599__1.30599	47678__R5U6J0__ERS852558_00310
ERR1913265.30855__1.30855	328814__GCA_004558275.1_01741
ERR1913265.30822__1.30822	40518__R5DTJ1__DXD86_03635
ERR1913265.30894__1.30894	39491__A0A396FNY7__LD38_16155
ERR1913265.31159__1.31159	39491__R6TQ09__DXC13_03010
ERR1913265.31485__1.31485	40518__R5E1X3__clcA
ERR1913265.31449__1.31449	39491__A0A396FF66__DXD95_01810
ERR1913265.31497__1.31497	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913265.31634__1.31634	33043__D5HF09__ERS852575_02732
ERR1913265.31661__1.31661	33043__D5HIL8__ERS852386_02009
ERR1913265.31703__1.31703	1150298__R7JNU0__nagK
ERR1913265.31995__1.31995	88431__R7FUI2__ERS852423_02700
ERR1913265.32012__1.32012	39491__A0A3E4E7C5__DXB69_03255
ERR1913265.32062__1.32062	821__A0A174NM17__lacZ_6
ERR1913265.32115__1.32115	33043__A0A174B5C6__acm_3
ERR1913265.32184__1.32184	40518__R5E6K4__RB5AMG_02070
ERR1913265.32226__1.32226	853__C7H1R8__DW905_06675
ERR1913265.32213__1.32213	853__D4K7X0__DW905_09540
ERR1913265.32222__1.32222	28117__R7JR95__ALIPUT_01367
ERR1913265.32321__1.32321	40518__R5DVL2__penA
ERR1913265.32322__1.32322	821__A0A0P0LFP6__C5Z04_13890
ERR1913265.32387__1.32387	310298__B3JJ10__BACCOP_01872
ERR1913265.32391__1.32391	853__A0A329UEG4__CHR60_00585
ERR1913265.32446__1.32446	1680__A0A1E7XZY9__DXC60_05815
ERR1913265.32761__1.32761	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913265.32848__1.32848	28117__B0MWH8__BHV66_01330
ERR1913265.33153__1.33153	1304__W3Y6R6__RSSL_01366
ERR1913265.33164__1.33164	1680__A7A4N3__ERS852382_00779
ERR1913265.33423__1.33423	1262743__R5C054__BN727_01980
ERR1913265.33591__1.33591	823__A6LDT7__CEQ22_002595
ERR1913265.33663__1.33663	40518__R5DYP7__envC
ERR1913265.33625__1.33625	39491__A0A3E4E7C5__DXB69_03255
ERR1913265.33770__1.33770	204516__U6RNE3__HMPREF1534_00331
ERR1913265.33991__1.33991	328813__A0A1Y3QUP2__B5G41_06690
ERR1913265.34106__1.34106	40520__A5ZRI6__DXC87_12175
ERR1913265.34289__1.34289	745368__A0A1T4Y178__SAMN02745178_02628
ERR1913265.34341__1.34341	1150298__A0A174EBT8__ERS852406_01739
ERR1913265.34410__1.34410	357276__B6VYT9__HMPREF1063_05030
ERR1913265.34460__1.34460	1535__A7VR67__CH238_06010
ERR1913265.34483__1.34483	40518__R5E2F3__artQ
ERR1913265.34489__1.34489	853__A0A174C5M1__CGS58_04460
ERR1913265.34675__1.34675	214856__R6XUN2__rcsC_1
ERR1913265.34770__1.34770	40518__R5DU52__RB5AMG_02245
ERR1913265.34812__1.34812	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913265.34910__1.34910	216816__B7GPE8__I118_0062
ERR1913265.34915__1.34915	446660__GCA_003428235.1_00802
ERR1913265.35187__1.35187	28117__B0MT86__BHV66_02450
ERR1913265.35348__1.35348	28117__B0MXW9__ALIPUT_01981
ERR1913265.35289__1.35289	40518__R5E7S2__RBL263_00671
ERR1913265.35399__1.35399	40518__R5DW64__RBL236_01394
ERR1913265.35410__1.35410	310298__B3JFH4__BACCOP_00624
ERR1913265.35595__1.35595	78345__A0A087BK46__SAMN02745589_0061
ERR1913265.35696__1.35696	40518__R5DR72__RBL236_02110
ERR1913265.35689__1.35689	33043__A0A174FIJ8__ERS852445_02217
ERR1913265.35651__1.35651	1680__A0A2R4G1K8__BBMN23_0315
ERR1913265.35819__1.35819	39491__A0A395V0H6__ERS852580_02570
ERR1913265.35842__1.35842	487174__K0X665__DIT83_12000
ERR1913265.36027__1.36027	216816__A0A2U0BLP0__tsaB
ERR1913265.36047__1.36047	218538__C9LNL5__GCWU000321_01138
ERR1913265.36052__1.36052	310298__B3JJG1__BACCOP_02031
ERR1913265.36106__1.36106	1150298__A0A174R4D7__tmpC_2
ERR1913265.36156__1.36156	40518__R5DS37__DXD93_01965
ERR1913265.36325__1.36325	39491__D4JM76__DXC13_02150
ERR1913265.36483__1.36483	1263109__GCA_000438135.1_00659
ERR1913265.36664__1.36664	821__A0A174V2F3__NCTC10583_01474
ERR1913265.36764__1.36764	310298__B3JH76__BACCOP_01230
ERR1913265.36843__1.36843	853__A0A173TAZ8__DWZ46_14590
ERR1913265.36847__1.36847	853__A0A174BZY1__xerD_1
ERR1913265.36923__1.36923	905__D2RKL0__Acfer_1251
ERR1913265.37063__1.37063	40520__D4LUV4__DXB81_08455
ERR1913265.37202__1.37202	820__A0A139JV05__B5G17_18125
ERR1913265.37230__1.37230	1680__R5GRA4__ERS852382_01548
ERR1913265.37307__1.37307	40518__R5DSI5__fieF
ERR1913265.37340__1.37340	40519__U2MCQ8__RUMCAL_00556
ERR1913265.37388__1.37388	1262911__R6GSH8__BN557_00939
ERR1913265.37351__1.37351	28025__D3R3B1__BAAM0483_03040
ERR1913265.37432__1.37432	1245__A0A095BGW5__WZ79_04320
ERR1913265.37542__1.37542	100884__E7GDK9__DXB30_04385
ERR1913265.37615__1.37615	39491__C4Z9J5__DXB69_02495
ERR1913265.37793__1.37793	1150298__A0A174M5F7__ERS852535_00457
ERR1913265.37921__1.37921	1680__A0A076JM61__DXD63_05245
ERR1913265.37944__1.37944	291644__I9SS05__HMPREF1532_02661
ERR1913265.37956__1.37956	40518__R5E1J7__RBL236_02062
ERR1913265.38006__1.38006	1150298__A0A174K7D2__ERS852498_01147
ERR1913265.38018__1.38018	1150298__R7JPI7__cotI
ERR1913265.38068__1.38068	216816__D6ZSV1__CE169_00930
ERR1913265.38327__1.38327	216816__D6D9H5__APC1466_0493
ERR1913265.38342__1.38342	216816__E8MU45__DPC6316_1140
ERR1913265.38499__1.38499	39491__A0A395UWZ1__DXC13_02175
ERR1913265.38604__1.38604	28116__A0A1Y4PHJ3__HMPREF1070_05178
ERR1913265.38972__1.38972	116085__D4J3T3__DW747_12460
ERR1913265.38997__1.38997	40518__R5E4Y8__RBATCC27255_01448
ERR1913265.39060__1.39060	39491__A0A3E4YFT8__DXB69_10940
ERR1913265.39113__1.39113	1150298__A0A174N5I7__ERS852498_01953
ERR1913265.39297__1.39297	46506__A0A108TCU0__etk
ERR1913265.39310__1.39310	1680__A0A3E4SB79__BAD_1517
ERR1913265.39662__1.39662	40518__R5DXI4__DXD86_07420
ERR1913265.39621__1.39621	1263109__GCA_000438135.1_01180
ERR1913265.39702__1.39702	1304__J7TGU8__Ssal_02017
ERR1913265.39717__1.39717	818__R7KVH8__SAMN02910322_00597
ERR1913265.39779__1.39779	246787__R6KDR9__BcellWH2_02360
ERR1913265.39787__1.39787	821__A0A174K302__CUU_3129
ERR1913265.39802__1.39802	1263109__GCA_000438135.1_00942
ERR1913265.39907__1.39907	28117__B0MY40__BHV66_05170
ERR1913265.40032__1.40032	40518__R5DUJ5__DXD83_01635
ERR1913265.40450__1.40450	1304__T0SPD1__HSISS4_01717
ERR1913265.40475__1.40475	1680__A0A173XYA2__B0703_0121
ERR1913265.40707__1.40707	1263109__GCA_000438135.1_00973
ERR1913265.40717__1.40717	39491__A0A396FUZ3__phoR_1
ERR1913265.40891__1.40891	28117__B0MY41__BHV66_05165
ERR1913265.40845__1.40845	40518__R5DUU0__DXD93_03985
ERR1913265.41325__1.41325	1263109__GCA_000438135.1_01435
ERR1913265.41446__1.41446	1262992__R5CXL9__BN795_01014
ERR1913265.41698__1.41698	1304__A0A110Z5J8__SSALIVM18_06191
ERR1913265.41715__1.41715	40518__R5E4Y8__RBATCC27255_01448
ERR1913265.41865__1.41865	853__A0A173YYY4__DWZ04_09420
ERR1913265.41867__1.41867	1263109__GCA_000438135.1_01668
ERR1913265.42018__1.42018	823__A0A078SYK6__DXB14_02485
ERR1913265.42184__1.42184	39491__A0A396FEV5__EUR_24750
ERR1913265.42307__1.42307	410072__A0A174L0Z1__ERS852525_00863
ERR1913265.42270__1.42270	40518__R5DZ88__DXD93_06320
ERR1913265.42278__1.42278	410072__A0A173YGR9__ERS852389_00952
ERR1913265.42552__1.42552	853__A0A2A7B9I6__DW855_13690
ERR1913265.42666__1.42666	853__E2ZJT1__C4N23_03535
ERR1913265.42719__1.42719	853__A0A173YYY4__DWZ04_09420
ERR1913265.42797__1.42797	310298__B3JJG1__BACCOP_02031
