ERR1913243.162__1.162	487174__K0WZN5__HMPREF9448_01108
ERR1913243.7836__1.7836	1262882__R5ML49__BN519_01361
ERR1913243.7945__1.7945	471189__GCA_003340385.1_00260
ERR1913243.8081__1.8081	1262882__R5MHZ2__BN519_00742
ERR1913243.8192__1.8192	239935__A0A2N8IU14__ADH72_05655
ERR1913243.8337__1.8337	39492__D4JRM9__bglB_2
ERR1913243.8456__1.8456	1262882__R5MZZ3__BN519_00482
ERR1913243.8500__1.8500	39486__B0G3J8__DXB36_14480
ERR1913243.8506__1.8506	1262882__R5N3H1__BN519_01121
ERR1913243.8563__1.8563	1160721__W0U2T9__BHW50_11050
ERR1913243.8866__1.8866	40518__R5DUG7__sbcC
ERR1913243.8945__1.8945	487174__K0XDI7__DIT83_12065
ERR1913243.8955__1.8955	1965604__A0A1Y4EWE2__B5F54_04480
ERR1913243.8976__1.8976	40518__R5DME2__DXD86_07315
ERR1913243.8994__1.8994	28118__R6FX99__Odosp_1660
ERR1913243.9107__1.9107	471189__GCA_003340385.1_00494
ERR1913243.9162__1.9162	1262882__R5N1V0__BN519_00816
ERR1913243.9268__1.9268	820__A0A174F696__macB_13
ERR1913243.9494__1.9494	1263000__R5ECE2__BN466_00896
ERR1913243.9586__1.9586	39488__C0EZ49__ERS852578_00234
ERR1913243.9572__1.9572	40518__R5E4X1__DXD93_05270
ERR1913243.9611__1.9611	1358__D2BLL9__P620_11050
ERR1913243.9759__1.9759	46503__A7AG59__ERS852463_00349
ERR1913243.9902__1.9902	239935__A0A2N8I9P4__CXT85_05050
ERR1913243.9924__1.9924	1262882__R5MYI1__BN519_00416
ERR1913243.9925__1.9925	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913243.10058__1.10058	214856__A0A175A6T5__ERS852447_02658
ERR1913243.10103__1.10103	2292352__A0A374UKA6__DXC23_10805
ERR1913243.10243__1.10243	246787__A0A0P0FV02__AA416_03728
ERR1913243.10317__1.10317	1262882__R5MEN2__BN519_00200
ERR1913243.10341__1.10341	1235793__R9KS08__C809_01872
ERR1913243.10383__1.10383	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913243.10495__1.10495	328814__GCA_004558275.1_00060
ERR1913243.10769__1.10769	1550024__A0A3B9WG56__TQ39_01145
ERR1913243.10801__1.10801	649756__D4MYP6__DO83_09290
ERR1913243.11032__1.11032	1262882__R5MHZ2__BN519_00742
ERR1913243.11353__1.11353	40518__R5E8B6__RB5AMG_00876
ERR1913243.11360__1.11360	40518__R5DUU0__DXD93_03985
ERR1913243.11472__1.11472	1535__A7VPV5__CLOLEP_00582
ERR1913243.12023__1.12023	301302__A0A173TNM6__luxQ
ERR1913243.12207__1.12207	626929__F3PJ28__B5F24_03465
ERR1913243.12431__1.12431	328814__GCA_004558275.1_01620
ERR1913243.12439__1.12439	820__A0A174F696__macB_13
ERR1913243.12446__1.12446	39492__D4JWG6__EUBSIR_00253
ERR1913243.12387__1.12387	40520__A5ZSL9__DXC87_07025
ERR1913243.12504__1.12504	487174__K0X4V9__DDY40_12220
ERR1913243.12685__1.12685	328814__GCA_004558275.1_01846
ERR1913243.12671__1.12671	39492__D4JRV7__EUBSIR_01513
ERR1913243.12615__1.12615	626929__A0A1Y4JTW9__B5F97_02770
ERR1913243.12642__1.12642	35833__E5Y6S9__HMPREF0179_01914
ERR1913243.12726__1.12726	40518__R5DSI5__fieF
ERR1913243.12740__1.12740	853__A0A173XRA8__CGS56_09290
ERR1913243.12752__1.12752	39492__D4JTH4__ERS852540_00702
ERR1913243.12829__1.12829	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913243.12934__1.12934	328814__GCA_004558275.1_00060
ERR1913243.13301__1.13301	820__A0A374Q854__HMPREF1073_03281
ERR1913243.13587__1.13587	301302__R5V671__M72_27831
ERR1913243.13953__1.13953	821__A0A397WGD6__M098_0084
ERR1913243.13963__1.13963	239935__A0A2N8IJI1__B5G29_04615
ERR1913243.14018__1.14018	239935__R7E524__CXT91_06180
ERR1913243.14116__1.14116	821__R6F3Y1__SAMN04487923_104318
ERR1913243.14160__1.14160	39492__D4JV38__EUBSIR_01205
ERR1913243.14170__1.14170	39492__D4JQY4__EUBSIR_01325
ERR1913243.14388__1.14388	2108523__A0A2P2FCW6__LAWASA_3918
ERR1913243.14398__1.14398	1262882__R5MKL9__BN519_00353
ERR1913243.14476__1.14476	28117__B0MTV5__BHV66_06415
ERR1913243.14579__1.14579	471189__GCA_003340385.1_00337
ERR1913243.14581__1.14581	820__A0A174DZ97__SAMN05444418_101240
ERR1913243.14616__1.14616	239935__A0A2N8IL82__CXU02_11740
ERR1913243.14623__1.14623	1262824__R6SS73__BN719_02091
ERR1913243.14806__1.14806	39492__D4JTU4__ykfG
ERR1913243.14825__1.14825	39492__D4JTG7__EUBSIR_00572
ERR1913243.15119__1.15119	357276__B6VYT9__HMPREF1063_05030
ERR1913243.15325__1.15325	40518__R5DZI2__DXD93_06940
ERR1913243.15362__1.15362	28116__A0A3D2LWY1__ERS852555_01619
ERR1913243.15400__1.15400	169435__A0A1Y4MQE9__ANACOL_01986
ERR1913243.15976__1.15976	292800__A0A174V693__HMPREF9460_03050
ERR1913243.16095__1.16095	1263000__R5EMU9__BN466_00667
ERR1913243.16098__1.16098	39492__D4JT91__EUBSIR_01750
ERR1913243.16253__1.16253	649756__L1PTR0__ERS852425_01325
ERR1913243.16611__1.16611	328814__GCA_004558275.1_00991
ERR1913243.16919__1.16919	33039__D4M398__ERS852530_00575
ERR1913243.17712__1.17712	1535__A7VPU9__CLOLEP_00576
ERR1913243.17726__1.17726	1262882__R5MPY4__BN519_01128
ERR1913243.17749__1.17749	40520__A0A395X2X5__C4886_03165
ERR1913243.17823__1.17823	28117__R7JPX7__BHV66_00900
ERR1913243.17928__1.17928	40518__R5DLU0__fmt
ERR1913243.17944__1.17944	40518__R5DV58__htrA
ERR1913243.18046__1.18046	40518__R5DX31__DXD86_09775
ERR1913243.18276__1.18276	47678__A5ZB44__C5Z00_17730
ERR1913243.18447__1.18447	820__A0A139K024__B5G17_02060
ERR1913243.18599__1.18599	487174__K0X694__DIT83_09060
ERR1913243.18622__1.18622	239935__A0A2N8HZW2__A4V05_11120
ERR1913243.18643__1.18643	40518__A0A1C6H8N9__RBATCC27255_01374
ERR1913243.19111__1.19111	292800__A0A174T130__HMPREF9460_00060
ERR1913243.19120__1.19120	39492__D4JV86__spoIIE
ERR1913243.19232__1.19232	1263000__R5EH44__BN466_01492
ERR1913243.19285__1.19285	1262882__R5N4P6__BN519_01346
ERR1913243.19844__1.19844	1262882__R5MQ68__BN519_01178
ERR1913243.19942__1.19942	821__A0A396F9T7__M097_3427
ERR1913243.20116__1.20116	821__A6L0C7__ERS852556_03520
ERR1913243.20139__1.20139	1262882__R5MSS9__BN519_01662
ERR1913243.20231__1.20231	487174__R5FJY1__DDY40_07045
ERR1913243.20489__1.20489	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913243.20499__1.20499	74426__groL
ERR1913243.20704__1.20704	40518__R5DP21__RBATCC27255_00348
ERR1913243.20712__1.20712	39492__A0A174ZG93__EUBSIR_00254
ERR1913243.20906__1.20906	28116__A0A0J9IIV5__M089_5519
ERR1913243.20933__1.20933	214856__A0A174FWM7__ERS852559_00590
ERR1913243.20938__1.20938	410072__C0BC88__DXD67_11180
ERR1913243.21196__1.21196	47678__A5ZB44__C5Z00_17730
ERR1913243.21231__1.21231	1262911__R6GKS1__BN557_00184
ERR1913243.21441__1.21441	239935__A0A2N8IV82__CXT99_06735
ERR1913243.21450__1.21450	246787__A0A0P0FW66__sigW_7
ERR1913243.21624__1.21624	487174__K0X2Q8__DDY40_04590
ERR1913243.21763__1.21763	40518__R5DRY6__RB5AMG_00549
ERR1913243.21765__1.21765	28026__C0BV24__DXC75_08705
ERR1913243.21817__1.21817	28116__A0A078Q626__HMPREF1070_02735
ERR1913243.21720__1.21720	246787__A0A3D6AXU9__BACCELL_01366
ERR1913243.22038__1.22038	40518__R5E2Z2__DXD93_09295
ERR1913243.22305__1.22305	437897__H3K953__DXD38_04190
ERR1913243.22324__1.22324	649756__A0A174Q8Z0__mtlD_4
ERR1913243.22408__1.22408	40518__R5DTH7__DXD83_02405
ERR1913243.22534__1.22534	39492__D4JR31__EUBSIR_00106
ERR1913243.22637__1.22637	28116__A0A1Y4Q363__Bovatus_00608
ERR1913243.22641__1.22641	2108523__A0A2P2F8A7__LAWASA_2275
ERR1913243.22607__1.22607	46506__S3YVT5__BACSTE_02352
ERR1913243.22646__1.22646	1262882__R5MEW7__BN519_00010
ERR1913243.22692__1.22692	1262882__R5MHZ2__BN519_00742
ERR1913243.22821__1.22821	1262882__R5MY46__BN519_00355
ERR1913243.22852__1.22852	328814__GCA_004558275.1_00987
ERR1913243.22857__1.22857	357276__A0A076IYG1__B5F95_22465
ERR1913243.22964__1.22964	40518__R5DP91__RBL236_00890
ERR1913243.22945__1.22945	239935__A0A139TVH7__CXU22_00215
ERR1913243.22974__1.22974	28117__B0MYI9__BHV66_05415
ERR1913243.23028__1.23028	39492__D4JS87__EUBSIR_02328
ERR1913243.22997__1.22997	40520__R7D6X9__DXB81_05355
ERR1913243.23041__1.23041	301302__A0A0M6WHI7__M72_23941
ERR1913243.23481__1.23481	39492__D4JV86__spoIIE
ERR1913243.23616__1.23616	1262882__R5MGI7__BN519_00643
ERR1913243.23724__1.23724	328814__GCA_004558275.1_01005
ERR1913243.23940__1.23940	39492__B0MNL5__phoR_1
ERR1913243.24695__1.24695	40518__R5DNY7__RBATCC27255_00367
ERR1913243.24743__1.24743	410072__A0A173XQG6__ERS852574_01620
ERR1913243.25036__1.25036	74426__nifJ
ERR1913243.25051__1.25051	88431__A0A174EMW0__thiD_1
ERR1913243.25191__1.25191	2108523__A0A2P2F828__LAWASA_2158
ERR1913243.25284__1.25284	46503__R6Y4M7__HMPREF1078_03269
ERR1913243.25694__1.25694	821__D4VC51__M099_1508
ERR1913243.25796__1.25796	626929__R6L6C2__B5F97_02175
ERR1913243.25777__1.25777	1535__A7VY51__CLOLEP_03527
ERR1913243.25780__1.25780	40518__R5DZB3__RB5AMG_01719
ERR1913243.25862__1.25862	1262882__R5MRS7__BN519_01490
ERR1913243.25877__1.25877	214856__I3YMC8__ERS852447_02666
ERR1913243.25921__1.25921	626929__A0A1Y4JTW9__B5F97_02770
ERR1913243.26007__1.26007	28117__R7JJM9__ALIPUT_00662
ERR1913243.26378__1.26378	1550024__A0A3B9WI73__ASJ35_03410
ERR1913243.26473__1.26473	40518__R5DYT8__mscS
ERR1913243.26732__1.26732	487174__K0WRP3__HMPREF9448_02660
ERR1913243.26775__1.26775	1262882__R5MND9__BN519_00831
ERR1913243.26790__1.26790	1262882__R5N4P6__BN519_01346
ERR1913243.26897__1.26897	33039__D4M4L0__ERS852577_02891
ERR1913243.26918__1.26918	1262882__R5MYI1__BN519_00416
ERR1913243.27046__1.27046	239935__A0A2N8IEP3__CXT84_03735
ERR1913243.27103__1.27103	40518__R5E426__DXD93_04485
ERR1913243.27166__1.27166	169435__A0A174RV59__B5F11_12335
ERR1913243.27357__1.27357	40518__R5DXH2__DXD83_10135
ERR1913243.27365__1.27365	2173__A0A1D2WVF8__Msm_1030
ERR1913243.27367__1.27367	40518__R5DU52__RB5AMG_02245
ERR1913243.27394__1.27394	239935__A0A2N8HBM4__CXT85_06270
ERR1913243.27618__1.27618	35833__E5Y1H2__HMPREF0179_00031
ERR1913243.27625__1.27625	28116__F7L8I3__M089_1421
ERR1913243.27699__1.27699	39492__D4JUS6__accD5
ERR1913243.28029__1.28029	1550024__A0A3B9WFS7__ASJ35_05525
ERR1913243.28092__1.28092	821__D4VC51__M099_1508
ERR1913243.28364__1.28364	338188__R6RT73__HMPREF1057_02828
ERR1913243.28520__1.28520	1262882__R5MLE6__BN519_01423
ERR1913243.28578__1.28578	328814__GCA_004558275.1_00066
ERR1913243.28684__1.28684	40518__R5DRY6__RB5AMG_00549
ERR1913243.28736__1.28736	1262882__R5MXW0__BN519_00317
ERR1913243.28890__1.28890	471189__GCA_003340385.1_00066
ERR1913243.29147__1.29147	39488__A0A174CPK1__yyaC
ERR1913243.29160__1.29160	239935__A0A2N8IB69__CXU22_11315
ERR1913243.29239__1.29239	216816__A0A0M0VK23__BLGT_09805
ERR1913243.29546__1.29546	821__A0A0P0LH09__ERS852457_03390
ERR1913243.29920__1.29920	1262882__R5MEN9__BN519_00201
ERR1913243.29938__1.29938	40520__A5ZRI6__DXC87_12175
ERR1913243.30040__1.30040	1263107__GCA_000436995.1_00190
ERR1913243.30011__1.30011	1262882__R5MGI7__BN519_00643
ERR1913243.30118__1.30118	1263000__R5EMC1__BN466_00539
ERR1913243.30215__1.30215	821__A0A174NM17__lacZ_6
ERR1913243.30351__1.30351	1262882__R5MH81__BN519_00748
ERR1913243.30421__1.30421	487174__K0X6Z7__DDY40_11525
ERR1913243.30448__1.30448	446660__GCA_003428235.1_00802
ERR1913243.30678__1.30678	487174__K0X4L2__pgl
ERR1913243.31234__1.31234	239935__B2UL21__CXT98_03395
ERR1913243.31309__1.31309	301302__R5UKP4__cbiT
ERR1913243.31453__1.31453	39491__A0A395UZ82__EUR_31520
ERR1913243.31525__1.31525	239935__R7E524__CXT91_06180
ERR1913243.31536__1.31536	88431__A0A174LBC0__DORLON_00105
ERR1913243.31553__1.31553	40518__R5E7G3__DXD86_03405
ERR1913243.31764__1.31764	239935__A0A139TMG9__CXU07_10650
ERR1913243.31870__1.31870	239935__A0A2N8IU45__DEF40_02365
ERR1913243.31876__1.31876	338188__A0A174ETX3__ERS852397_01955
ERR1913243.32013__1.32013	39492__D4JV86__spoIIE
ERR1913243.32025__1.32025	371601__D7J175__DXD03_05675
ERR1913243.32130__1.32130	818__A0A174VV39__BT_3492
ERR1913243.32238__1.32238	1262882__R5MIW5__BN519_00945
ERR1913243.32271__1.32271	1262882__R5MGS8__BN519_00565
ERR1913243.32367__1.32367	239935__A0A2N8HAQ1__DEF40_05290
ERR1913243.32424__1.32424	2047__A0A2A8D8X9__B8W87_08955
ERR1913243.32461__1.32461	1262824__R6S3P3__BN719_02398
ERR1913243.32583__1.32583	40518__R5DR96__RBATCC27255_01185
ERR1913243.32677__1.32677	1262882__R5N3T7__BN519_01188
ERR1913243.32782__1.32782	821__A0A173XDD3__DXB82_17180
ERR1913243.32791__1.32791	46503__R6X2Z6__PARMER_01597
ERR1913243.32911__1.32911	821__E5UY21__C800_02204
ERR1913243.32984__1.32984	28116__A0A078Q626__HMPREF1070_02735
ERR1913243.33068__1.33068	28118__R6FX99__Odosp_1660
ERR1913243.33494__1.33494	487174__R5FJH0__DDY40_07055
ERR1913243.33507__1.33507	821__A0A396F1N0__M099_1553
ERR1913243.33698__1.33698	823__A0A174UR44__M095_2641
ERR1913243.33817__1.33817	471189__GCA_003340385.1_00423
ERR1913243.33830__1.33830	40518__R5DUJ5__DXD83_01635
ERR1913243.33886__1.33886	40518__R5E6X5__sbcD
ERR1913243.33961__1.33961	39492__D4JRV7__EUBSIR_01513
ERR1913243.34083__1.34083	28026__A0A173ZZ36__DXC75_05690
ERR1913243.34210__1.34210	1297617__A0A2U1C161__IB211_02571
ERR1913243.34211__1.34211	35833__E5Y926__HMPREF0179_02694
ERR1913243.34387__1.34387	204516__U6R898__HMPREF1534_03335
ERR1913243.34539__1.34539	39492__R6SPM9__pheT
ERR1913243.35053__1.35053	28117__B0MT38__BHV66_05995
ERR1913243.35129__1.35129	40518__R5DRX3__RBL236_02039
ERR1913243.35269__1.35269	39492__A0A174ZG93__EUBSIR_00254
ERR1913243.35292__1.35292	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913243.35744__1.35744	471189__GCA_003340385.1_00010
ERR1913243.35907__1.35907	1150298__A0A174SLE6__mlc_1
ERR1913243.36001__1.36001	187327__G4Q440__pepD
ERR1913243.35959__1.35959	820__A0A1T4IY80__ERS852554_01621
ERR1913243.36035__1.36035	40518__R5DR72__RBL236_02110
ERR1913243.36109__1.36109	821__R6F3Y1__SAMN04487923_104318
ERR1913243.36317__1.36317	40518__R5DXI4__DXD86_07420
ERR1913243.36399__1.36399	821__A0A3E4XY72__NCTC10583_01067
ERR1913243.36507__1.36507	40518__R5E2F3__artQ
ERR1913243.36547__1.36547	39492__D4JUL3__nreC_2
ERR1913243.36573__1.36573	39492__D4JSS9__btuF
ERR1913243.36834__1.36834	28026__A0A396BGX2__DXC71_05210
ERR1913243.36927__1.36927	487174__K0WUW8__DDY40_02615
ERR1913243.36930__1.36930	28117__R7JQW0__ALIPUT_01453
ERR1913243.37027__1.37027	301302__A0A0M6WPH4__ERS852420_01173
ERR1913243.37041__1.37041	2173__A0A1D2WVH4__METSMIALI_00947
ERR1913243.37125__1.37125	1262882__R5MYP2__BN519_00435
ERR1913243.37173__1.37173	853__A0A173XRA8__CGS56_09290
ERR1913243.37187__1.37187	40518__R5DV58__htrA
ERR1913243.37166__1.37166	246787__A0A0N7IFC5__HMPREF1062_01960
ERR1913243.37518__1.37518	487174__K0XL60__DDY40_11760
ERR1913243.37525__1.37525	820__A0A374MMF0__HMPREF1073_03811
ERR1913243.37541__1.37541	2173__R7PWI5__rplJ
ERR1913243.37722__1.37722	39492__D4JVC7__yfgF
ERR1913243.37756__1.37756	1262882__R5N2A9__BN519_00921
ERR1913243.37791__1.37791	2108523__A0A2P2FCT7__LAWASA_3851
ERR1913243.37892__1.37892	821__A0A078R9Y9__M097_2119
ERR1913243.37959__1.37959	1263107__GCA_000436995.1_00084
ERR1913243.38010__1.38010	1262882__R5MXW0__BN519_00317
ERR1913243.38112__1.38112	1550024__G9RZ38__ASJ35_12765
ERR1913243.38138__1.38138	2292352__A0A374ULW4__DXC23_07845
ERR1913243.38331__1.38331	821__A0A3E4HP25__SAMN04487923_102450
ERR1913243.38505__1.38505	821__A0A395UNT8__DXD64_15275
ERR1913243.38627__1.38627	328814__GCA_004558275.1_00059
ERR1913243.38656__1.38656	40518__R5DUU8__DXD86_08440
ERR1913243.38918__1.38918	328814__GCA_004558275.1_00061
ERR1913243.39005__1.39005	239935__A0A2N8HBP0__CXT94_04450
ERR1913243.39180__1.39180	40518__R5DR72__RBL236_02110
ERR1913243.39196__1.39196	239935__A0A2N8ITX2__CXT86_11265
ERR1913243.39391__1.39391	371601__D6CXF7__BN891_50120
ERR1913243.39708__1.39708	39492__D4JU94__ispE
ERR1913243.39779__1.39779	239935__A0A2N8I9P4__CXT85_05050
ERR1913243.39794__1.39794	1262824__R6SR17__BN719_01913
ERR1913243.39799__1.39799	40518__R5E1X3__clcA
ERR1913243.39974__1.39974	1262882__R5MFK5__BN519_00378
ERR1913243.40083__1.40083	1965604__A0A1Y4EXQ4__B5F54_03700
ERR1913243.40143__1.40143	239935__A0A2N8J2P6__ADH72_06730
ERR1913243.40267__1.40267	487174__K0WZ94__HMPREF9448_00984
ERR1913243.40355__1.40355	1263107__GCA_000436995.1_00030
ERR1913243.40369__1.40369	1262882__R5MLT4__BN519_01496
ERR1913243.40402__1.40402	39492__D4JR20__trmD
ERR1913243.40599__1.40599	487174__K0XER9__DDY40_08885
ERR1913243.40818__1.40818	487174__R5EV44__HMPREF9448_01630
ERR1913243.40830__1.40830	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913243.40947__1.40947	1262882__R5MZZ3__BN519_00482
ERR1913243.41016__1.41016	649756__E5VNF2__DO83_06405
ERR1913243.41017__1.41017	40518__R5E2F3__artQ
ERR1913243.41025__1.41025	1262882__R5N0H9__BN519_00764
ERR1913243.41206__1.41206	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913243.41184__1.41184	2292352__A0A374UKA6__DXC23_10805
ERR1913243.41254__1.41254	40518__R5E7G3__DXD86_03405
ERR1913243.41269__1.41269	28117__B0MTW8__ALIPUT_00502
ERR1913243.41278__1.41278	40518__R5DYT8__mscS
ERR1913243.41324__1.41324	745368__A0A1T4XXN7__SAMN02745178_02496
ERR1913243.41365__1.41365	28117__R7JIJ8__BHV66_01635
ERR1913243.41372__1.41372	1550024__A0A0D8J259__TQ39_04100
ERR1913243.41398__1.41398	487174__K0WTV8__DIT83_04385
ERR1913243.41421__1.41421	2292352__A0A374URH1__DXC23_03540
ERR1913243.41461__1.41461	28026__A0A0A7I2H0__AW18_05760
ERR1913243.41512__1.41512	2292352__A0A374URH1__DXC23_03540
ERR1913243.41523__1.41523	745368__A0A1T4Y7V7__SAMN02745178_02833
ERR1913243.41574__1.41574	1393034__GCA_001552785.1_00515
ERR1913243.41588__1.41588	28118__F9ZCH4__kfoC_2
ERR1913243.41802__1.41802	1262739__R6M9P7__BN659_01903
ERR1913243.41943__1.41943	40518__R5DU28__DXD86_07960
ERR1913243.41886__1.41886	1263000__R5EMC8__BN466_00317
ERR1913243.42037__1.42037	1965604__A0A1Y4EXQ1__B5F54_01105
ERR1913243.42096__1.42096	40518__R5DVQ2__DXD93_00365
ERR1913243.42190__1.42190	821__A0A0P0LH09__ERS852457_03390
ERR1913243.42326__1.42326	40518__R5DU52__RB5AMG_02245
ERR1913243.42311__1.42311	1262882__R5N5S3__BN519_00085
ERR1913243.42318__1.42318	1263107__GCA_000436995.1_00194
ERR1913243.42319__1.42319	357276__I9QBT7__BSEG_03340
ERR1913243.42498__1.42498	487174__K0X068__DDY40_07105
ERR1913243.42533__1.42533	1262882__R5MYP8__BN519_00439
ERR1913243.42706__1.42706	1501391__GCA_000786575.1_00096
ERR1913243.42748__1.42748	40518__R5DR72__RBL236_02110
ERR1913243.43388__1.43388	40518__R5E6X5__sbcD
ERR1913243.43505__1.43505	418240__A0A173XQZ4__yusO
ERR1913243.43564__1.43564	1262882__R5MIC9__BN519_00834
ERR1913243.43683__1.43683	39492__D4JTF2__mutS2
ERR1913243.43888__1.43888	821__A0A174NM17__lacZ_6
ERR1913243.43898__1.43898	1262911__R6H2J2__BN557_01228
ERR1913243.44151__1.44151	40518__A0A373KL92__RBATCC27255_01378
ERR1913243.44213__1.44213	39492__A0A174ZL16__EUBSIR_01269
ERR1913243.44387__1.44387	328814__GCA_004558275.1_00065
ERR1913243.44511__1.44511	820__A0A3E4VXP2__yesR
ERR1913243.44607__1.44607	246787__R6KBH9__HMPREF1062_04676
ERR1913243.44830__1.44830	39492__A0A174Z2N0__EUBSIR_01615
ERR1913243.44838__1.44838	39492__R6SA81__EUBSIR_00402
ERR1913243.45107__1.45107	239935__A0A2N8IVR0__CXT87_07115
ERR1913243.45169__1.45169	1262739__R6M9P7__BN659_01903
ERR1913243.45275__1.45275	1262882__R5MEK3__BN519_00296
ERR1913243.45347__1.45347	1262882__R5N1Z9__BN519_01020
ERR1913243.45365__1.45365	46506__S3YGB4__DXC41_06355
ERR1913243.45533__1.45533	28116__I9AKR7__DXA80_22960
ERR1913243.45537__1.45537	1262882__R5MMD8__BN519_01576
ERR1913243.45538__1.45538	214856__A0A175A6T5__ERS852447_02658
