ERR1913247.224__1.224	100886__E2NQ59__ERS852383_05954
ERR1913247.6470__1.6470	1263076__GCA_000437615.1_00118
ERR1913247.6554__1.6554	216816__D6DBD5__DXC32_04335
ERR1913247.6591__1.6591	40518__R5DU92__DXD93_03170
ERR1913247.6915__1.6915	100886__A0A174HSW5__supH
ERR1913247.7022__1.7022	1262911__R6GPA9__BN557_00286
ERR1913247.7141__1.7141	1501391__GCA_000786575.1_00129
ERR1913247.7226__1.7226	1304__J7TW34__msbA
ERR1913247.7269__1.7269	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913247.7282__1.7282	487175__R5EIB6__HMPREF9439_01345
ERR1913247.7403__1.7403	216816__B3DR71__CE159_04070
ERR1913247.7584__1.7584	357276__A0A076J8D4__HMPREF1064_00553
ERR1913247.7669__1.7669	562__P0AFH7__oppC
ERR1913247.7889__1.7889	40518__R5DU52__RB5AMG_02245
ERR1913247.8072__1.8072	10678__GeneID:2777437
ERR1913247.8206__1.8206	84112__T4BU97__Elen_2484
ERR1913247.8283__1.8283	1262911__R6H0J9__BN557_01024
ERR1913247.8294__1.8294	33039__D4M5E1__ERS852577_03873
ERR1913247.8246__1.8246	28118__F9ZAK9__DF785_10030
ERR1913247.8395__1.8395	418240__C6JGZ2__ERS852478_02682
ERR1913247.8498__1.8498	29361__B6FLM7__CLONEX_01049
ERR1913247.8477__1.8477	216816__D6DC09__BLIC_a02334
ERR1913247.8556__1.8556	1432052__A0A1E3A162__BEI62_17235
ERR1913247.8569__1.8569	1965576__A0A1Y4LJU5__B5F19_05340
ERR1913247.8659__1.8659	10678__GeneID:2777481
ERR1913247.8721__1.8721	216816__B7GPE8__I118_0062
ERR1913247.8835__1.8835	246787__R6KIG0__BcellWH2_02358
ERR1913247.8921__1.8921	357276__C3RDQ5__HMPREF1065_03827
ERR1913247.8884__1.8884	1432052__A0A1E3AUY8__BEI61_05984
ERR1913247.8890__1.8890	10678__GeneID:2777482
ERR1913247.8985__1.8985	1262911__R6GMH5__BN557_00511
ERR1913247.9144__1.9144	357276__A0A0K2HG61__BACDOR_02028
ERR1913247.9433__1.9433	40518__R5DZB3__RB5AMG_01719
ERR1913247.9544__1.9544	820__A0A173YYG4__evgS_3
ERR1913247.9550__1.9550	214856__R6XS46__ERS852559_00812
ERR1913247.9575__1.9575	487175__R5E0S2__HMPREF9439_00834
ERR1913247.9599__1.9599	10678__GeneID:2777413
ERR1913247.9655__1.9655	1550024__A0A0D8J179__ASJ35_09245
ERR1913247.9778__1.9778	40518__R5DW64__RBL236_01394
ERR1913247.10005__1.10005	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1913247.10121__1.10121	357276__A0A076J0Y3__IY41_06810
ERR1913247.10151__1.10151	418240__A0A174AX68__ERS852478_00844
ERR1913247.10304__1.10304	1262911__R6GKS1__BN557_00184
ERR1913247.10644__1.10644	214856__R6Z5D0__resA_4
ERR1913247.10650__1.10650	10678__GeneID:2777413
ERR1913247.10599__1.10599	1124654__GeneID:14005781
ERR1913247.10669__1.10669	287844__A0A0R1VWV2__FC15_GL001526
ERR1913247.10735__1.10735	214856__I3YPN9__ERS852447_01389
ERR1913247.10838__1.10838	371601__A0A1H4AKU1__BXY_45200
ERR1913247.10927__1.10927	10868__GeneID:1261859
ERR1913247.11484__1.11484	28116__A0A3D2LWY1__ERS852555_01619
ERR1913247.11702__1.11702	508460__GCF_000585335.1_00067
ERR1913247.11935__1.11935	214856__R6Y6H8__ERS852447_01719
ERR1913247.12052__1.12052	40518__R5DVR2__RBL236_00303
ERR1913247.12103__1.12103	357276__A0A076J8M3__ABI39_13695
ERR1913247.12187__1.12187	33039__A0A174XW11__RTO_07780
ERR1913247.12332__1.12332	10678__GeneID:2777434
ERR1913247.12374__1.12374	1501391__GCA_000786575.1_00072
ERR1913247.12424__1.12424	216816__B7GQF0__CE170_00160
ERR1913247.12453__1.12453	357276__I9QBT7__BSEG_03340
ERR1913247.12469__1.12469	1501391__GCA_000786575.1_00072
ERR1913247.12502__1.12502	33038__A0A2N5NUB0__CCY17_12840
ERR1913247.13017__1.13017	1535__A7VNP8__CH238_14985
ERR1913247.13110__1.13110	1262873__R6WEY1__BN605_01359
ERR1913247.13368__1.13368	357276__A0A0M1W9N4__GV66_05135
ERR1913247.13429__1.13429	216816__A0A395XZB7__DXD37_04075
ERR1913247.13525__1.13525	1147152__GeneID:14181982
ERR1913247.13484__1.13484	1501391__GCA_000786575.1_00144
ERR1913247.13566__1.13566	214856__I3YPR6__Alfi_2724
ERR1913247.13930__1.13930	1147152__GeneID:14182018
ERR1913247.14090__1.14090	214856__I3YPQ3__Alfi_2711
ERR1913247.14209__1.14209	214856__R5UN64__ERS852447_02669
ERR1913247.14334__1.14334	33039__A0A174ZIS2__RTO_10090
ERR1913247.14304__1.14304	357276__A0A1Y3Z3W0__IY41_20500
ERR1913247.14407__1.14407	487174__K0X789__DIT83_10440
ERR1913247.14579__1.14579	357276__I8WAB8__B5F00_08100
ERR1913247.14588__1.14588	562__P0ADK7__yibA
ERR1913247.14678__1.14678	28116__A7LS06__HMPREF2532_04668
ERR1913247.14945__1.14945	39491__A0A395ZGE4__ERS852497_01269
ERR1913247.14963__1.14963	10678__GeneID:2777405
ERR1913247.15035__1.15035	39492__D4JTJ1__EUBSIR_01453
ERR1913247.15099__1.15099	214856__R6XS46__ERS852559_00812
ERR1913247.15374__1.15374	357276__I8WBQ9__HMPREF1065_03212
ERR1913247.15518__1.15518	47678__I9ECI0__HMPREF1061_03742
ERR1913247.15620__1.15620	1262911__R6GT76__BN557_01150
ERR1913247.15756__1.15756	487175__D9Y403__HMPREF9439_02204
ERR1913247.15703__1.15703	10678__GeneID:2777386
ERR1913247.15960__1.15960	487174__K0XER9__DDY40_08885
ERR1913247.16040__1.16040	10678__GeneID:2777413
ERR1913247.16091__1.16091	562__P32704__COD56_15900
ERR1913247.16176__1.16176	246787__R6KQ08__AA416_01934
ERR1913247.16247__1.16247	1262911__R6H212__BN557_01031
ERR1913247.16235__1.16235	10678__GeneID:2777426
ERR1913247.16416__1.16416	40518__R5DUG7__sbcC
ERR1913247.16558__1.16558	246787__R6LGA6__tmoS_11
ERR1913247.16621__1.16621	214856__I3YPP0__ERS852447_01388
ERR1913247.16793__1.16793	823__A0A395YZ10__NCTC11152_02955
ERR1913247.16802__1.16802	246787__E2N7F5__AA416_04404
ERR1913247.16845__1.16845	218139__GCA_002259595.1_01049
ERR1913247.16890__1.16890	563769__GeneID:6973158
ERR1913247.16966__1.16966	357276__A0A0K2HHN3__GV66_08845
ERR1913247.17209__1.17209	39492__D4JR31__EUBSIR_00106
ERR1913247.17214__1.17214	418240__C6JEJ0__ERS852478_00752
ERR1913247.17263__1.17263	1694__D3R6E7__CQR51_1296
ERR1913247.17332__1.17332	821__I9R3W6__DXC16_12455
ERR1913247.17513__1.17513	204516__U6RAM4__HMPREF1534_03439
ERR1913247.17679__1.17679	357276__A0A076IYG1__B5F95_22465
ERR1913247.17809__1.17809	1262911__R6GUQ4__BN557_01581
ERR1913247.18378__1.18378	88431__A0A173WD09__zntR_1
ERR1913247.18600__1.18600	35833__E5Y6S3__HMPREF0179_01886
ERR1913247.18607__1.18607	10678__GeneID:2777415
ERR1913247.18576__1.18576	357276__I8WBQ9__HMPREF1065_03212
ERR1913247.18633__1.18633	1262911__R6GZ01__BN557_00641
ERR1913247.19000__1.19000	10678__GeneID:2777437
ERR1913247.18985__1.18985	1472761__GCA_002159295.1_01584
ERR1913247.19096__1.19096	563769__GeneID:6973158
ERR1913247.19100__1.19100	821__A0A173XDD3__DXB82_17180
ERR1913247.19061__1.19061	214856__R6XYY8__ERS852447_01722
ERR1913247.19151__1.19151	1262911__R6GI18__BN557_01377
ERR1913247.19243__1.19243	418240__C6JFI7__ERS852523_01130
ERR1913247.19354__1.19354	246787__R6KCH8__csbC
ERR1913247.19621__1.19621	246787__A0A0P0FV02__AA416_03728
ERR1913247.19530__1.19530	562__P0A9K7__AUQ29_19530
ERR1913247.19765__1.19765	39492__D4JWR6__dnaN
ERR1913247.19780__1.19780	84030__D4MT87__B5F06_00695
ERR1913247.19867__1.19867	1501391__GCA_000786575.1_00050
ERR1913247.19942__1.19942	100886__A0A174GQY1__ERS852383_03761
ERR1913247.19971__1.19971	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913247.19977__1.19977	418240__A0A173ZAZ4__ERS852478_00637
ERR1913247.19989__1.19989	10678__GeneID:2777481
ERR1913247.20162__1.20162	216816__A0A2N0SME6__BLIF_1881
ERR1913247.20258__1.20258	1262911__R6GUQ4__BN557_01581
ERR1913247.20405__1.20405	46503__A7AHD3__DXB85_00810
ERR1913247.20524__1.20524	823__D0T9Q9__M095_2648
ERR1913247.20732__1.20732	630129__A0A087ATC6__BKAS_1964
ERR1913247.20740__1.20740	10678__GeneID:2777479
ERR1913247.20854__1.20854	40518__R5DV58__htrA
ERR1913247.21026__1.21026	40518__R5DQR9__DXD83_00030
ERR1913247.21046__1.21046	1262911__R6GT76__BN557_01150
ERR1913247.21072__1.21072	823__A6LB62__B5F32_04550
ERR1913247.21152__1.21152	76489__A0A1E8EUC5__CLOACE_23150
ERR1913247.21168__1.21168	562__P75859__AML60_03870
ERR1913247.21281__1.21281	10678__GeneID:2777408
ERR1913247.21291__1.21291	328812__A0A0F5J9M6__HMPREF1076_05136
ERR1913247.21323__1.21323	1965604__A0A1Y4F5S5__B5F54_00140
ERR1913247.21371__1.21371	357276__B6W1Y1__BSEG_03960
ERR1913247.21464__1.21464	216816__C2GUV2__APC1478_0430
ERR1913247.21695__1.21695	246787__A0A3D6AWM8__BACCELL_01963
ERR1913247.21740__1.21740	328812__A0A0F5JH27__HMPREF1535_01537
ERR1913247.21811__1.21811	10678__GeneID:2777431
ERR1913247.21916__1.21916	487174__K0X455__HMPREF9448_00399
ERR1913247.21883__1.21883	40518__R5DR96__RBATCC27255_01185
ERR1913247.21964__1.21964	1472761__GCA_002159295.1_01700
ERR1913247.22052__1.22052	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913247.22193__1.22193	1099853__U5CER2__NSB1T_13270
ERR1913247.22254__1.22254	1965576__A0A1Y4L1T8__B5F19_14890
ERR1913247.22345__1.22345	33959__Q74JP1__D0Y49_00905
ERR1913247.22398__1.22398	1124654__GeneID:14005780
ERR1913247.22660__1.22660	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913247.22687__1.22687	216816__B7GQF0__CE170_00160
ERR1913247.22735__1.22735	1501391__GCA_000786575.1_00109
ERR1913247.22759__1.22759	216816__Q8G464__BFS25_05925
ERR1913247.22807__1.22807	10678__GeneID:2777410
ERR1913247.22777__1.22777	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913247.22915__1.22915	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913247.22916__1.22916	214856__R6Y6H8__ERS852447_01719
ERR1913247.22996__1.22996	10678__GeneID:2777406
ERR1913247.23070__1.23070	216816__D6DD25__APC1482_1109
ERR1913247.23157__1.23157	214856__R6Z288__ERS852447_00734
ERR1913247.23171__1.23171	1262911__R6GZX7__BN557_00838
ERR1913247.23305__1.23305	246787__A0A3D6ARE5__HMPREF1062_01788
ERR1913247.23312__1.23312	246787__R6K756__HMPREF1062_01819
ERR1913247.23346__1.23346	10678__GeneID:2777413
ERR1913247.23563__1.23563	357276__B6W1Y1__BSEG_03960
ERR1913247.23519__1.23519	216816__B7GP87__HMPREF0177_01055
ERR1913247.23533__1.23533	562__P23837__phoQ
ERR1913247.23591__1.23591	10678__GeneID:2777408
ERR1913247.23693__1.23693	1262911__R6H2B5__BN557_01151
ERR1913247.23840__1.23840	216816__B7GN29__BL72_08765
ERR1913247.23872__1.23872	10678__GeneID:2777434
ERR1913247.23942__1.23942	1744__A0A0B7P0V3__CB129slpB_0197
ERR1913247.23958__1.23958	1501391__GCA_000786575.1_00002
ERR1913247.23971__1.23971	357276__A0A0K2HG61__BACDOR_02028
ERR1913247.24071__1.24071	1262911__R6GMK4__BN557_00535
ERR1913247.24079__1.24079	1203556__S2Z6M3__HMPREF1478_01198
ERR1913247.24135__1.24135	214856__A0A174CRY5__ERS852559_01060
ERR1913247.24218__1.24218	638849__D1Y728__HMPREF7215_2506
ERR1913247.24329__1.24329	216816__A0A0A6VPB9__B624_1780
ERR1913247.24385__1.24385	357276__A0A0M1VZP2__IY41_00605
ERR1913247.24458__1.24458	10678__GeneID:2777437
ERR1913247.24498__1.24498	508460__GCF_000585335.1_00130
ERR1913247.24629__1.24629	216816__C2GTV2__BLIF_0674
ERR1913247.24731__1.24731	562__P26458__cydB
ERR1913247.24866__1.24866	371601__A0A1H4GWY8__CW1_1428
ERR1913247.25203__1.25203	214856__E4MF20__Alfi_0697
ERR1913247.25266__1.25266	1262873__R6W9R6__BN605_01254
ERR1913247.25351__1.25351	1501391__GCA_000786575.1_00043
ERR1913247.25237__1.25237	823__A0A395YZ10__NCTC11152_02955
ERR1913247.25451__1.25451	214856__I3YMC8__ERS852447_02666
ERR1913247.25404__1.25404	214856__R6XTZ7__ERS852447_02314
ERR1913247.25496__1.25496	100886__E2NRW9__ERS852383_05961
ERR1913247.25567__1.25567	1262911__R6H2J2__BN557_01228
ERR1913247.25837__1.25837	10678__GeneID:2777386
ERR1913247.25942__1.25942	357276__A0A1Y3Z3W0__IY41_20500
ERR1913247.26013__1.26013	100886__A0A174IRJ7__argD
ERR1913247.26045__1.26045	100886__A0A174M9X7__CATMIT_00555
ERR1913247.26214__1.26214	10678__GeneID:2777431
ERR1913247.26311__1.26311	10678__GeneID:2777421
ERR1913247.26362__1.26362	47678__R5U7U0__DW706_12005
ERR1913247.26749__1.26749	216816__A0A087BBV6__BFS26_06210
ERR1913247.26805__1.26805	1501391__GCA_000786575.1_00113
ERR1913247.27254__1.27254	1262911__R6GNY6__BN557_00004
ERR1913247.27290__1.27290	1501391__GCA_000786575.1_00103
ERR1913247.27321__1.27321	1262911__R6GZ01__BN557_00641
ERR1913247.27453__1.27453	2108523__A0A2P2FB24__LAWASA_3255
ERR1913247.28136__1.28136	563769__GeneID:6973157
ERR1913247.28188__1.28188	216816__D6D9J4__DPC6320_0487
ERR1913247.28264__1.28264	1432052__A0A1E3AVT1__BEI60_31910
ERR1913247.28560__1.28560	562__P46855__PU39_09885
ERR1913247.28599__1.28599	84030__D6DEV7__B5F06_01955
ERR1913247.28629__1.28629	246787__A0A108T1Y3__fepA_8
ERR1913247.28670__1.28670	1472761__GCA_002159295.1_00837
ERR1913247.28892__1.28892	40518__R5E7S2__RBL263_00671
ERR1913247.28933__1.28933	214856__A0A174H6R3__ERS852447_02809
ERR1913247.29137__1.29137	329854__R5LZK1__DXD27_00590
ERR1913247.29234__1.29234	100886__A0A174JPG5__CATMIT_00078
ERR1913247.29240__1.29240	10678__GeneID:2777385
ERR1913247.29312__1.29312	214856__I3YPI7__pepD_1
ERR1913247.29343__1.29343	216816__Q8G4D7__DD721_10575
ERR1913247.29369__1.29369	40518__R5E4V5__RBL263_01242
ERR1913247.29402__1.29402	823__A0A355XEX9__ERS852560_03521
ERR1913247.29638__1.29638	562__P0ABR8__antA
ERR1913247.29753__1.29753	78448__A0A087CNB0__BPULL_0254
ERR1913247.29888__1.29888	562__P64549__K758_00320
ERR1913247.29842__1.29842	40518__R5DZB3__RB5AMG_01719
ERR1913247.29963__1.29963	1432052__F7KE17__BEI60_07685
ERR1913247.30022__1.30022	1547__G9R3A9__CLORAM_00743
ERR1913247.30232__1.30232	823__A0A355XFH7__ERS852513_00769
ERR1913247.30501__1.30501	216816__A0A133L7N8__BL0153
ERR1913247.30767__1.30767	357276__I9RHT4__EL88_09235
ERR1913247.30843__1.30843	40518__R5E4V5__RBL263_01242
ERR1913247.30827__1.30827	28116__I9ST00__M088_5588
ERR1913247.30828__1.30828	1262911__R6GT12__BN557_01070
ERR1913247.31029__1.31029	562__P77183__CDL50_13955
ERR1913247.31059__1.31059	562__P64549__K758_00320
ERR1913247.31129__1.31129	214856__I3YPR5__ERS852447_01364
ERR1913247.31259__1.31259	28116__F7L4X5__M089_2857
ERR1913247.31196__1.31196	418240__A0A174AQ30__ERS852478_00945
ERR1913247.31294__1.31294	10678__GeneID:2777406
ERR1913247.31313__1.31313	216816__A0A087BBV6__BFS26_06210
ERR1913247.31477__1.31477	214856__R6Y9P5__ERS852559_01811
ERR1913247.31508__1.31508	33038__F7JTF2__CDL22_02335
ERR1913247.31645__1.31645	246787__R6KBH9__HMPREF1062_04676
ERR1913247.31603__1.31603	246787__R6KBH9__HMPREF1062_04676
ERR1913247.31728__1.31728	10678__GeneID:2777380
ERR1913247.31895__1.31895	47678__R5UES3__CGC64_00760
ERR1913247.31900__1.31900	214856__R6YC22__ERS852447_01215
ERR1913247.32156__1.32156	1099853__U5CNF1__NSB1T_01130
ERR1913247.32163__1.32163	418240__A0A173XT66__ERS852478_00742
ERR1913247.32270__1.32270	84030__D4MRY5__B5F06_15655
ERR1913247.32529__1.32529	1965576__A0A1Y4LJU5__B5F19_05340
ERR1913247.32838__1.32838	1501391__GCA_000786575.1_00083
ERR1913247.32864__1.32864	1744__A0A0A8TA18__PFR_JS2_1526
ERR1913247.32747__1.32747	1501391__GCA_000786575.1_00081
ERR1913247.32959__1.32959	1232426__group_1953
ERR1913247.33112__1.33112	1550024__A0A0W7TQU7__TQ39_10940
ERR1913247.33479__1.33479	1262911__R6H1M1__BN557_00925
ERR1913247.33552__1.33552	1262911__R6GLA5__BN557_01456
ERR1913247.33508__1.33508	10678__GeneID:2777481
ERR1913247.33728__1.33728	216816__B3DNW2__BL171B_07980
ERR1913247.33779__1.33779	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913247.33786__1.33786	357276__I9R2M6__BSEG_03499
ERR1913247.33758__1.33758	214856__R6Z7Q9__ERS852447_02172
ERR1913247.33973__1.33973	84030__D6DK59__B5F06_00950
ERR1913247.34086__1.34086	216816__A0A396FRQ5__DD678_01245
ERR1913247.34186__1.34186	214856__I3YPQ8__ERS852447_01371
ERR1913247.34190__1.34190	28116__E5C3S2__HMPREF1070_02476
ERR1913247.34323__1.34323	1262911__R6GSH0__BN557_00934
ERR1913247.34297__1.34297	47678__R5UXY0__CGC64_03535
ERR1913247.34681__1.34681	418240__C6JGL2__ERS852523_00030
ERR1913247.34700__1.34700	33039__D4M6E9__ERS852390_02866
ERR1913247.34744__1.34744	10678__GeneID:2777482
ERR1913247.34777__1.34777	40518__R5DYM0__DXD86_08165
ERR1913247.34915__1.34915	562__P76296__yecT
ERR1913247.34922__1.34922	1501391__GCA_000786575.1_00079
ERR1913247.34939__1.34939	1262889__R7HD84__BN634_01675
ERR1913247.35102__1.35102	40518__R5E1J7__RBL236_02062
ERR1913247.35106__1.35106	216816__D6D9H5__APC1466_0493
ERR1913247.35384__1.35384	1501391__GCA_000786575.1_00085
ERR1913247.35739__1.35739	214856__R5UN64__ERS852447_02669
ERR1913247.35702__1.35702	626932__G5H9W8__HMPREF9450_01433
ERR1913247.35789__1.35789	10678__GeneID:2777386
ERR1913247.35841__1.35841	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913247.35988__1.35988	216816__C2GTH2__CE159_03580
ERR1913247.36078__1.36078	1262911__R6GZX7__BN557_00838
ERR1913247.36080__1.36080	10678__GeneID:2777434
ERR1913247.36187__1.36187	823__A0A174U5E4__BDI_3390
ERR1913247.36384__1.36384	246787__A0A0P0GNX3__BACCELL_00807
ERR1913247.36629__1.36629	84026__C0EFQ6__CLOSTMETH_02698
ERR1913247.36892__1.36892	1432052__A0A1E3AY78__BEI62_20790
ERR1913247.36957__1.36957	84030__D6DE08__B5F06_11030
ERR1913247.36982__1.36982	1965604__A0A1Y4EPW2__B5F54_10640
ERR1913247.36992__1.36992	40518__R5E4X5__RB5AMG_01438
ERR1913247.37114__1.37114	10678__GeneID:2777381
ERR1913247.37129__1.37129	214856__R6Y1K2__ERS852447_02306
ERR1913247.37187__1.37187	216816__C2GSX7__DD678_03555
ERR1913247.37229__1.37229	1262911__R6H2J2__BN557_01228
ERR1913247.37411__1.37411	10678__GeneID:2777481
ERR1913247.37377__1.37377	508460__GCF_000585335.1_00250
ERR1913247.37684__1.37684	562__A0A376L0A6__CQA14_19985
ERR1913247.37823__1.37823	1262911__R6GSH0__BN557_00934
ERR1913247.37977__1.37977	100886__E2NRF9__ERS852383_03596
ERR1913247.37998__1.37998	2173__A0A1D2WT18__METSMIALI_00395
ERR1913247.38003__1.38003	1147153__GeneID:14181495
ERR1913247.37950__1.37950	33039__D4M2F6__RTO_06900
ERR1913247.38027__1.38027	84030__D4CBD2__B5F06_12740
ERR1913247.38038__1.38038	1472761__GCA_002159295.1_01584
ERR1913247.38171__1.38171	1147151__GeneID:14182074
ERR1913247.38249__1.38249	40518__R5E4V5__RBL263_01242
ERR1913247.38288__1.38288	638849__D1Y6R2__HMPREF7215_1090
ERR1913247.38401__1.38401	745368__A0A1T4YA51__SAMN02745178_02876
ERR1913247.38500__1.38500	40518__R5E6X5__sbcD
ERR1913247.38705__1.38705	40518__R5DTG5__RBATCC27255_00890
ERR1913247.38711__1.38711	394340__acsA_2
ERR1913247.39036__1.39036	544644__GCA_001915615.1_02267
ERR1913247.39125__1.39125	357276__A0A076IYE6__IY41_04275
ERR1913247.39205__1.39205	216816__B7GQ29__APC1465_1199
ERR1913247.39307__1.39307	216816__A0A2U0BT35__BL1206_1860
ERR1913247.39404__1.39404	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913247.39443__1.39443	246787__A0A0P0GNB7__xyl4
ERR1913247.39447__1.39447	40518__R5E5W1__RBL263_01034
ERR1913247.39422__1.39422	1432052__A0A1E3U7X7__BEH84_03293
ERR1913247.39843__1.39843	745368__A0A1T4X705__SAMN02745178_01472
ERR1913247.39800__1.39800	216816__R5MZK3__DPC6320_1630
ERR1913247.40336__1.40336	35833__E5Y9N8__HMPREF0179_02816
ERR1913247.40360__1.40360	745368__A0A1T4WEV8__SAMN02745178_00491
ERR1913247.40450__1.40450	216816__A0A2U0BT35__BL1206_1860
ERR1913247.40484__1.40484	10678__GeneID:2777456
ERR1913247.40598__1.40598	100886__E2NWE4__ERS852383_03670
ERR1913247.40684__1.40684	1124654__GeneID:14005780
ERR1913247.40782__1.40782	214856__I3YPP3__Alfi_2701
ERR1913247.41205__1.41205	84030__D6DL07__B5F06_10030
ERR1913247.41223__1.41223	216816__B7GQ29__APC1465_1199
ERR1913247.41255__1.41255	328814__GCA_004558275.1_00064
ERR1913247.41256__1.41256	33039__D4M2F6__RTO_06900
ERR1913247.41545__1.41545	216816__D6DC09__BLIC_a02334
ERR1913247.41555__1.41555	556259__E5C614__BSGG_0177
ERR1913247.41673__1.41673	216816__A0A396FVC5__BL71B_00290
ERR1913247.41723__1.41723	100886__A0A174GLQ1__ERS852383_03653
ERR1913247.41818__1.41818	1501391__GCA_000786575.1_00052
ERR1913247.41857__1.41857	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913247.42277__1.42277	626932__G5HAF0__HMPREF9450_01615
ERR1913247.42204__1.42204	745368__A0A1T4Y189__SAMN02745178_02637
ERR1913247.42347__1.42347	357276__A0A0K2HJA6__DXD47_07320
ERR1913247.42522__1.42522	563769__GeneID:6973141
ERR1913247.42536__1.42536	216816__C2GSX7__DD678_03555
ERR1913247.42612__1.42612	216816__A0A374SVM3__BLSL_0492
ERR1913247.42731__1.42731	214856__R6XS02__ERS852447_01685
ERR1913247.42865__1.42865	1262911__R6GZX7__BN557_00838
ERR1913247.42833__1.42833	39491__C4Z872__LD38_07250
ERR1913247.43052__1.43052	562__P76656__CD803_05075
ERR1913247.43171__1.43171	1262911__R6HN72__BN557_00911
ERR1913247.43419__1.43419	357276__C3R5C9__HMPREF1063_00213
ERR1913247.43423__1.43423	246787__A0A3D6AU53__AA416_01665
ERR1913247.43626__1.43626	246787__I9QX02__HMPREF1062_01641
