ERR1913216.557__1.557	823__E1YQ32__DXC05_04185
ERR1913216.29695__1.29695	1263000__R5ESM1__BN466_01440
ERR1913216.29891__1.29891	853__E2ZJT1__C4N23_03535
ERR1913216.30518__1.30518	28118__F9Z5M1__NCTC10826_02946
ERR1913216.30687__1.30687	823__A0A395YVY3__ERS852513_03204
ERR1913216.30695__1.30695	1262889__R7HCR1__BN634_01576
ERR1913216.30796__1.30796	820__A0A174CK74__DXB48_07060
ERR1913216.30997__1.30997	39496__A5Z890__EUBVEN_01930
ERR1913216.31183__1.31183	291644__I9HP97__HMPREF1532_00061
ERR1913216.31232__1.31232	166486__D4KU79__ROSINTL182_06970
ERR1913216.31380__1.31380	28111__E5WVR8__NCTC11155_02792
ERR1913216.31504__1.31504	46228__V8CE19__DXD17_01950
ERR1913216.31569__1.31569	28117__B0MVL2__BHV66_01645
ERR1913216.31875__1.31875	410072__A0A174DJM1__DXD67_05275
ERR1913216.31887__1.31887	301301__A0A395VGH2__dltB_2
ERR1913216.32091__1.32091	1263006__R6LZ17__BN515_01569
ERR1913216.32117__1.32117	487175__A0A3D4GD97__HMPREF9439_00773
ERR1913216.32583__1.32583	39492__D4JVG1__ERS852540_00951
ERR1913216.32681__1.32681	821__A0A3E4KIM1__M097_3660
ERR1913216.32692__1.32692	357276__A0A0M1W657__HMPREF1064_04629
ERR1913216.33474__1.33474	357276__A0A0M1W9N4__GV66_05135
ERR1913216.33573__1.33573	246787__A0A3D6AXG0__BACCELL_01743
ERR1913216.33767__1.33767	291644__R5JRX7__HMPREF1532_01053
ERR1913216.34073__1.34073	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913216.34429__1.34429	165179__A0A3E5EAM5__DXC61_07785
ERR1913216.34462__1.34462	1262889__R7HF34__BN634_01261
ERR1913216.35323__1.35323	357276__A0A076ITH2__BSEG_03273
ERR1913216.35414__1.35414	28118__F9Z3J9__B5F93_07500
ERR1913216.35507__1.35507	1262888__R6PKF4__BN582_01963
ERR1913216.35763__1.35763	1262935__R5GH94__BN773_00883
ERR1913216.36273__1.36273	357276__I9QBT4__GV66_09000
ERR1913216.36534__1.36534	818__A0A0P0F525__C799_04575
ERR1913216.36562__1.36562	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913216.36595__1.36595	291644__I9SZW4__HMPREF1071_02889
ERR1913216.36675__1.36675	823__D0T9Q9__M095_2648
ERR1913216.36688__1.36688	1796613__A0A1C7GYD6__A4V03_03700
ERR1913216.36780__1.36780	357276__C3R5A0__B5F00_02960
ERR1913216.36845__1.36845	28111__E5X0X9__HMPREF1016_02597
ERR1913216.36967__1.36967	301301__A0A395V747__ERS852391_01535
ERR1913216.37036__1.37036	357276__A0A076ITU4__EL88_22160
ERR1913216.37365__1.37365	357276__C3RA36__HMPREF1065_03270
ERR1913216.37806__1.37806	1262889__R7HAQ6__BN634_02130
ERR1913216.37747__1.37747	357276__A0A0M1VZP2__IY41_00605
ERR1913216.37947__1.37947	1547597__A0A0C3N9Y2__IE90_06270
ERR1913216.38444__1.38444	1262889__R7HAQ6__BN634_02130
ERR1913216.38808__1.38808	823__A0A355XLQ9__DXC05_02185
ERR1913216.38860__1.38860	821__A0A0P0LH09__ERS852457_03390
ERR1913216.39041__1.39041	1263000__R5EAZ0__BN466_00537
ERR1913216.39125__1.39125	544645__A0A1Y3VP90__DXC42_05845
ERR1913216.39618__1.39618	454155__F3QPW2__HMPREF9442_00199
ERR1913216.39573__1.39573	291644__I9HGA0__wzc
ERR1913216.39646__1.39646	246787__A0A3D6AVT6__BACCELL_02130
ERR1913216.40286__1.40286	821__I9R3W6__DXC16_12455
ERR1913216.40257__1.40257	823__D7IT19__DHP27_03495
ERR1913216.40420__1.40420	28117__B0MY40__BHV66_05170
ERR1913216.40722__1.40722	357276__A0A076IXE0__HMPREF1064_04364
ERR1913216.40859__1.40859	46228__V8CE24__thiD
ERR1913216.41330__1.41330	166486__D4L458__ROSINTL182_07088
ERR1913216.41611__1.41611	291644__I9T9Y0__HMPREF1071_01813
ERR1913216.41717__1.41717	818__Q8A335__HMPREF2534_01154
ERR1913216.41933__1.41933	291645__I8XPK0__HMPREF1068_01554
ERR1913216.42206__1.42206	165179__A0A3E5EAM5__DXC61_07785
ERR1913216.42298__1.42298	454155__F3QWJ8__HMPREF9442_02580
ERR1913216.42352__1.42352	1262743__R5C054__BN727_01980
ERR1913216.42472__1.42472	43675__A0A0K2RWU4__CYK05_05230
ERR1913216.42756__1.42756	357276__A0A0M1W9N4__GV66_05135
ERR1913216.43008__1.43008	1262935__R5GM63__BN773_00882
ERR1913216.43081__1.43081	28117__B0N028__BHV66_05935
ERR1913216.43596__1.43596	487174__K0X3H8__HMPREF9448_02822
ERR1913216.44021__1.44021	1465754__A0A1H3XCQ8__SAMN05444145_101157
ERR1913216.44048__1.44048	1150298__A0A174SLE6__mlc_1
ERR1913216.44817__1.44817	357276__B6VT86__IY41_22515
ERR1913216.44890__1.44890	820__A0A374Q1D8__SAMN05444418_112114
ERR1913216.45708__1.45708	39491__C4ZF05__vpr
ERR1913216.45913__1.45913	39492__D4JRL2__ERS852540_01608
ERR1913216.46710__1.46710	357276__A0A076IS73__GV66_00410
ERR1913216.47208__1.47208	1262935__R5GDB4__BN773_01091
ERR1913216.47293__1.47293	291644__I9SZW4__HMPREF1071_02889
ERR1913216.47396__1.47396	1262889__R7H8M8__BN634_00534
ERR1913216.47960__1.47960	1262911__R6H2B5__BN557_01151
ERR1913216.48151__1.48151	418240__A0A174AX68__ERS852478_00844
ERR1913216.48223__1.48223	820__A0A374Q1D8__SAMN05444418_112114
ERR1913216.48308__1.48308	706562__GCA_900112995.1_01419
ERR1913216.48316__1.48316	853__A8S882__C4N23_07600
ERR1913216.48416__1.48416	28117__R7JJM9__ALIPUT_00662
ERR1913216.48477__1.48477	39491__A0A174A751__DXB69_15525
ERR1913216.48522__1.48522	28117__B0MUX4__ALIPUT_00911
ERR1913216.48562__1.48562	292800__G9YPA9__HMPREF0372_01338
ERR1913216.48696__1.48696	1262935__R5GFE1__BN773_00206
ERR1913216.48709__1.48709	291644__I9TDL9__HMPREF1532_01624
ERR1913216.48823__1.48823	1263006__R6LT09__BN515_01035
ERR1913216.48877__1.48877	1262935__R5GVF6__BN773_00033
ERR1913216.49300__1.49300	1393034__GCA_001552785.1_00515
ERR1913216.49430__1.49430	1628085__A0A3E2Y1Z4__C7386_12230
ERR1913216.49470__1.49470	2293125__A0A374BSW4__DW917_13420
ERR1913216.49640__1.49640	291644__I9SIM2__evgS_11
ERR1913216.49778__1.49778	165179__A0A3E5EA43__DXC61_07775
ERR1913216.49794__1.49794	40518__R5DYU1__DXD86_01160
ERR1913216.50042__1.50042	487174__K0X3V7__DIT83_01400
ERR1913216.50922__1.50922	357276__A0A0M1W1I8__ABI39_13620
ERR1913216.51120__1.51120	384638__B7ASI3__BACPEC_02038
ERR1913216.51324__1.51324	291645__I9H4V3__HMPREF1068_00297
ERR1913216.51330__1.51330	28117__B0MY34__BHV66_05195
ERR1913216.51605__1.51605	1263006__R6LY93__BN515_00695
ERR1913216.51689__1.51689	28117__B0MVL2__BHV66_01645
ERR1913216.51823__1.51823	239935__A0A139TQT9__Amuc_1197
ERR1913216.51995__1.51995	1262935__R5GF26__BN773_01700
ERR1913216.52112__1.52112	39491__A0A396FSR4__ERS852580_02287
ERR1913216.52145__1.52145	39492__B0MPL6__EUBSIR_01779
ERR1913216.52323__1.52323	291644__I8Y6B7__HMPREF1532_02902
ERR1913216.52373__1.52373	165179__R6PU83__CFT61_14275
ERR1913216.52382__1.52382	357276__A0A076IN30__DXD47_09350
ERR1913216.52685__1.52685	46503__R6WX12__DXB85_11560
ERR1913216.52713__1.52713	487174__K0X347__DIT83_07775
ERR1913216.52855__1.52855	357276__A0A0K2HJA6__DXD47_07320
ERR1913216.52978__1.52978	39492__A0A174ZP27__EUBSIR_00033
ERR1913216.53104__1.53104	1680__A0A076JNH5__DXC60_03835
ERR1913216.53261__1.53261	821__A0A174NM17__lacZ_6
ERR1913216.53265__1.53265	853__A0A173XRA8__CGS56_09290
ERR1913216.54136__1.54136	214856__R6XS02__ERS852447_01685
ERR1913216.54172__1.54172	821__A0A395UNT8__DXD64_15275
ERR1913216.54247__1.54247	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913216.54327__1.54327	821__R9HFW2__DXD01_00365
ERR1913216.54422__1.54422	357276__A6L053__ABI39_04450
ERR1913216.54447__1.54447	291644__I9SIM2__evgS_11
ERR1913216.54683__1.54683	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913216.54825__1.54825	371601__I9A9L7__CW1_3649
ERR1913216.54996__1.54996	47678__R5UMC3__CGC64_08380
ERR1913216.55015__1.55015	28117__B0MZ14__ALIPUT_02383
ERR1913216.55239__1.55239	1550024__G9RNX5__ASJ35_11740
ERR1913216.55822__1.55822	357276__I8WDF1__B5F00_02455
ERR1913216.55919__1.55919	487174__K0X6A4__HMPREF9448_00105
ERR1913216.56467__1.56467	1262889__R7HAP4__BN634_00533
ERR1913216.56668__1.56668	39492__B0MM84__lgt
ERR1913216.56843__1.56843	357276__I9QDB8__B5F95_08105
ERR1913216.56974__1.56974	1262888__R6PEC5__BN582_00072
ERR1913216.57053__1.57053	820__A0A3E4FZM1__adaA_2
ERR1913216.57119__1.57119	1284680__A0A095YX02__HMPREF1627_03855
ERR1913216.57480__1.57480	46503__K5ZAK9__NCTC13052_03308
ERR1913216.57713__1.57713	204516__U6RAM4__HMPREF1534_03439
ERR1913216.57944__1.57944	357276__A0A0K2HJA6__DXD47_07320
ERR1913216.58109__1.58109	1262935__R5GEC6__BN773_01664
ERR1913216.58306__1.58306	357276__I9RCD3__IY41_15070
ERR1913216.58917__1.58917	291644__I9TER0__HMPREF1532_01526
ERR1913216.58955__1.58955	28111__E5X120__NCTC11155_02427
ERR1913216.59181__1.59181	204516__U6RFV1__HMPREF1534_02560
ERR1913216.59351__1.59351	1262935__R5GIC8__BN773_01423
ERR1913216.59353__1.59353	1263000__R5EMC8__BN466_00317
ERR1913216.59547__1.59547	1735__B7CDY0__EUBIFOR_02415
ERR1913216.60384__1.60384	487174__K0X1H0__DDY40_11080
ERR1913216.60692__1.60692	821__A0A174T998__DXB82_10860
ERR1913216.60798__1.60798	46228__B5CPX5__RUMLAC_01520
ERR1913216.61444__1.61444	821__A0A174NM17__lacZ_6
ERR1913216.61699__1.61699	35833__S2KTV4__HMPREF0179_05216
ERR1913216.62190__1.62190	823__A0A355XLQ9__DXC05_02185
ERR1913216.62537__1.62537	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913216.62678__1.62678	28118__R6FBF6__Odosp_2396
ERR1913216.63455__1.63455	649756__B0P0D0__ERS852571_02742
ERR1913216.63532__1.63532	1262889__R7HD87__BN634_01680
ERR1913216.63584__1.63584	46228__V8CB03__HMPREF1202_00647
ERR1913216.63768__1.63768	1796613__A0A1C7GYD6__A4V03_03700
ERR1913216.64020__1.64020	454154__G5SLR2__HMPREF9441_00281
ERR1913216.64130__1.64130	823__A0A395YZ10__NCTC11152_02955
ERR1913216.64141__1.64141	821__A0A174WBC9__ERS852556_03145
ERR1913216.64289__1.64289	384638__B7ASI3__BACPEC_02038
ERR1913216.64764__1.64764	214856__I3YMB7__Alfi_1811
ERR1913216.64801__1.64801	820__I9TWZ7__DXC80_10550
ERR1913216.65579__1.65579	820__A0A3E4RTP0__C801_01067
ERR1913216.65741__1.65741	301301__G2T0P1__RHOM_03005
ERR1913216.65775__1.65775	39488__A0A374MV67__DXD91_15895
ERR1913216.66099__1.66099	1262935__R5GU54__BN773_00232
ERR1913216.66495__1.66495	820__A0A3E4W9W8__C801_01069
ERR1913216.66458__1.66458	823__A0A174XJM9__CEQ22_007230
ERR1913216.66555__1.66555	165179__A0A3E5E4T9__DXB80_08030
ERR1913216.66620__1.66620	165179__A0A174SA26__PREVCOP_05758
ERR1913216.67036__1.67036	487174__K0WYI1__DDY40_08675
ERR1913216.67203__1.67203	651609__E6KUY7__HMPREF9006_2039
ERR1913216.67216__1.67216	823__A0A073I1X2__DXD05_18820
ERR1913216.67717__1.67717	28118__F9Z9B0__SAMEA44545918_02179
ERR1913216.67847__1.67847	823__A0A173VS36__M091_4727
ERR1913216.67926__1.67926	28111__E5X205__NCTC11155_00661
ERR1913216.68125__1.68125	246787__A0A3D6ARN8__yehU_6
ERR1913216.68576__1.68576	28117__B0MUB3__ALIPUT_00727
ERR1913216.68757__1.68757	291644__I8YYM8__HMPREF1532_01562
ERR1913216.68841__1.68841	310298__B3JQJ5__BACCOP_04231
ERR1913216.69254__1.69254	823__A0A395YZG9__M092_4358
ERR1913216.69840__1.69840	1262889__R7H9Z3__BN634_00978
ERR1913216.69983__1.69983	214856__A0A174CRY5__ERS852559_01060
ERR1913216.70000__1.70000	1262825__R5EER7__BN724_00148
ERR1913216.70104__1.70104	1897011__A0A1Q6RDE2__BHW41_05525
ERR1913216.70354__1.70354	357276__B6W1Y1__BSEG_03960
ERR1913216.70355__1.70355	310298__B3JQJ5__BACCOP_04231
ERR1913216.70385__1.70385	820__I9J701__ERS852510_01809
ERR1913216.70398__1.70398	214856__I3YMN6__Alfi_1938
ERR1913216.70546__1.70546	1796652__ltrA_3
ERR1913216.70596__1.70596	357276__I8WDF1__B5F00_02455
ERR1913216.70964__1.70964	1262935__R5GT62__BN773_01738
ERR1913216.70928__1.70928	1262886__R6Q765__BN563_00634
ERR1913216.71234__1.71234	2293125__A0A374BSW4__DW917_13420
ERR1913216.71365__1.71365	1262935__R5GJC7__BN773_01761
ERR1913216.71543__1.71543	1897011__A0A1Q6RCX0__BHW41_05880
ERR1913216.71796__1.71796	28118__F9Z6B5__SAMEA44545918_01808
ERR1913216.72025__1.72025	1262942__R7QVK2__BN520_01389
ERR1913216.72287__1.72287	544645__A0A1Y3VYF4__DXC42_05190
ERR1913216.72296__1.72296	818__Q8A0V7__BSIG_2755
ERR1913216.72416__1.72416	28111__E5WUH3__BACEGG_02112
ERR1913216.72709__1.72709	357276__C3R9Y0__HMPREF1064_01889
ERR1913216.72950__1.72950	544644__GCA_001915615.1_02255
ERR1913216.73339__1.73339	74426__rpoB
ERR1913216.73415__1.73415	823__A0A174V089__BDI_3204
ERR1913216.73561__1.73561	28117__B0MXD0__ALIPUT_01669
ERR1913216.73655__1.73655	46228__V8BRM9__HMPREF1202_02379
ERR1913216.74002__1.74002	1263027__R6ZR13__BN699_00106
ERR1913216.74194__1.74194	823__A0A395YRE1__DXC05_20005
ERR1913216.74406__1.74406	821__A6L0C7__ERS852556_03520
ERR1913216.74431__1.74431	821__R6F3Y1__SAMN04487923_104318
ERR1913216.74550__1.74550	823__A0A174U5E4__BDI_3390
ERR1913216.74867__1.74867	371601__R6KBI9__SAMN05216250_110102
ERR1913216.74833__1.74833	820__A0A3E4RUC4__DHU98_02635
ERR1913216.74933__1.74933	28111__R5JTT9__BACEGG_01644
ERR1913216.75344__1.75344	33039__A0A174Z8F8__ERS852530_05419
ERR1913216.75359__1.75359	204516__U6RFU0__HMPREF1534_02545
ERR1913216.75533__1.75533	821__A0A3E4WAR6__DXD64_10735
ERR1913216.75550__1.75550	1262889__R7HBH6__BN634_02400
ERR1913216.75684__1.75684	820__A0A139JY23__B5G17_06330
ERR1913216.76035__1.76035	357276__I8WEZ6__BACDOR_02323
ERR1913216.76290__1.76290	357276__B6W1Y1__BSEG_03960
ERR1913216.76515__1.76515	165179__A0A3E5EAM5__DXC61_07785
ERR1913216.76702__1.76702	46228__V8BLW9__DXD17_14090
ERR1913216.76779__1.76779	1262935__R5GCS7__BN773_00941
ERR1913216.76874__1.76874	28118__R6G2E8__DHW44_05790
ERR1913216.76841__1.76841	2293125__A0A374C3L4__DW917_09100
ERR1913216.77107__1.77107	357276__A0A076IYG1__B5F95_22465
ERR1913216.77125__1.77125	46506__B0NUC8__DXC34_03410
ERR1913216.77436__1.77436	1262992__R5CXM7__BN795_01016
ERR1913216.77647__1.77647	165179__A0A229I3Z6__PREVCOP_03666
ERR1913216.77764__1.77764	487174__K0WV96__HMPREF9448_01901
ERR1913216.77873__1.77873	1262935__R5GIC8__BN773_01423
ERR1913216.77923__1.77923	357276__A0A076IS26__EL88_15950
ERR1913216.78467__1.78467	853__A0A2J4JL53__CRH10_10795
ERR1913216.78823__1.78823	1262935__R5GFW3__BN773_00404
ERR1913216.78844__1.78844	371601__A0A1H4ANE8__SAMN05216250_10552
ERR1913216.78929__1.78929	357276__I8WBQ9__HMPREF1065_03212
ERR1913216.79034__1.79034	39492__D4JWA3__ERS852540_01332
ERR1913216.79047__1.79047	1501392__A0A0B2JJR5__PU94_03125
ERR1913216.79515__1.79515	1262739__R6MVZ8__BN659_00759
ERR1913216.79845__1.79845	46506__R6AEP1__HMPREF1181_01415
ERR1913216.79929__1.79929	357276__I8WAB8__B5F00_08100
ERR1913216.80320__1.80320	371601__I9UUB0__SAMN04487924_11836
ERR1913216.80345__1.80345	357276__I8WBQ9__HMPREF1065_03212
ERR1913216.80542__1.80542	1262911__R6H2J2__BN557_01228
ERR1913216.80646__1.80646	371601__C3QR34__DXD03_22980
ERR1913216.80700__1.80700	357276__I8WBQ9__HMPREF1065_03212
ERR1913216.80895__1.80895	39491__A0A395UUN5__EUBREC_0291
ERR1913216.81162__1.81162	820__A0A174KKV6__DXC07_02635
ERR1913216.81337__1.81337	39491__A0A395ZEN3__DXD95_12655
ERR1913216.81452__1.81452	823__A6LEF3__ERS852560_01356
ERR1913216.81579__1.81579	28118__F9Z695__DER54_04745
ERR1913216.82113__1.82113	1262935__R5GDB4__BN773_01091
ERR1913216.82521__1.82521	28118__F9Z7M5__B5F99_15930
ERR1913216.82867__1.82867	165179__A0A174SA26__PREVCOP_05758
ERR1913216.82830__1.82830	1262935__R5GLD8__BN773_00587
ERR1913216.82995__1.82995	39488__A0A174GS53__dnaC_1
ERR1913216.83225__1.83225	1263107__GCA_000436995.1_00231
ERR1913216.83306__1.83306	820__A0A3E4W9W8__C801_01069
