ERR1913252.674__1.674	1262924__R7HST1__BN585_00215
ERR1913252.32336__1.32336	820__A0A174G065__DXB62_08975
ERR1913252.32707__1.32707	1262992__R5D637__BN795_00221
ERR1913252.32879__1.32879	39486__G1WQ05__DXD10_14820
ERR1913252.33330__1.33330	820__A0A139K8X8__DXC80_17665
ERR1913252.33504__1.33504	410072__A0A3E4GLJ0__ERS852481_02689
ERR1913252.33680__1.33680	1378168__V2YA11__N510_02528
ERR1913252.33740__1.33740	821__A0A174WBC9__ERS852556_03145
ERR1913252.34215__1.34215	360807__C0G0A1__ERS852444_02410
ERR1913252.34608__1.34608	357276__A6L053__ABI39_04450
ERR1913252.34938__1.34938	39488__A0A173Y251__mscS
ERR1913252.35705__1.35705	39491__A0A395ZGU6__ERS852417_01456
ERR1913252.35823__1.35823	821__A6L0C7__ERS852556_03520
ERR1913252.35936__1.35936	818__A0A174VDI6__BSIG_1023
ERR1913252.35999__1.35999	310298__B3JQD7__BACCOP_04095
ERR1913252.36066__1.36066	821__I9R3W6__DXC16_12455
ERR1913252.36068__1.36068	820__A0A3E4G8F8__ERS852421_01645
ERR1913252.36245__1.36245	1262992__R5D6J2__BN795_00288
ERR1913252.36268__1.36268	2293125__A0A374BUM7__DW917_12980
ERR1913252.36630__1.36630	39488__C0EVS1__ERS852450_02297
ERR1913252.36757__1.36757	818__A0A3E5HGN6__Btheta7330_00798
ERR1913252.37089__1.37089	310298__B3JFK6__BACCOP_00656
ERR1913252.37100__1.37100	28118__R6F7J8__Odosp_3206
ERR1913252.37141__1.37141	165179__A0A229I4J4__proA
ERR1913252.37157__1.37157	47678__A5ZG68__ERS852494_02968
ERR1913252.37202__1.37202	310298__B3JMZ2__BACCOP_03297
ERR1913252.37320__1.37320	165179__D1PCL6__DXB80_13435
ERR1913252.37355__1.37355	820__A0A139KHX1__HMPREF2141_00289
ERR1913252.37391__1.37391	28052__R7N8Y9__macB_4
ERR1913252.37464__1.37464	2293125__A0A374BSW4__DW917_13420
ERR1913252.37817__1.37817	1099853__R7DG25__NSB1T_10155
ERR1913252.37818__1.37818	165179__D1PAV8__DXB80_13055
ERR1913252.37955__1.37955	410072__A0A173YNZ0__ERS852481_00766
ERR1913252.38094__1.38094	28116__C3QMW4__BACOVA_04147
ERR1913252.38181__1.38181	853__A0A2A7B1Y7__C7K05_11930
ERR1913252.38639__1.38639	357276__A0A076ISD9__EL88_07480
ERR1913252.38661__1.38661	165179__A0A3E5ED28__PREVCOP_06655
ERR1913252.39003__1.39003	357276__A0A076IKP7__BACDOR_04239
ERR1913252.38919__1.38919	1099853__U5CJQ4__NSB1T_11640
ERR1913252.38927__1.38927	310298__B3JJ24__BACCOP_01886
ERR1913252.39045__1.39045	165179__R6XLJ7__CFT61_06250
ERR1913252.39112__1.39112	2293125__A0A374BUM7__DW917_12980
ERR1913252.39193__1.39193	818__Q8A3A6__Btheta7330_00071
ERR1913252.39626__1.39626	821__A0A3E4WAR6__DXD64_10735
ERR1913252.39699__1.39699	1262924__R7HQD9__BN585_00129
ERR1913252.39756__1.39756	165179__A0A3E5A5E5__DXC61_13965
ERR1913252.39769__1.39769	820__A0A139KJR5__M093_4469
ERR1913252.39784__1.39784	166486__D4L1P3__ERS852572_00760
ERR1913252.39889__1.39889	74426__nrdD
ERR1913252.40027__1.40027	487174__K0WUZ1__DIT83_10815
ERR1913252.40527__1.40527	357276__A0A076IN21__BSEG_03078
ERR1913252.40621__1.40621	357276__I9R1V6__DXD47_04125
ERR1913252.40643__1.40643	46503__R6X5W5__HMPREF1078_03156
ERR1913252.40881__1.40881	310298__B3JI31__BACCOP_01543
ERR1913252.40899__1.40899	649756__A0A173R860__DO83_09130
ERR1913252.40914__1.40914	46503__R6WWC9__PARMER_03215
ERR1913252.40984__1.40984	1262930__R6A8N0__BN693_02179
ERR1913252.41225__1.41225	2293125__A0A374BSW4__DW917_13420
ERR1913252.41383__1.41383	360807__A0A396AIW2__ERS852444_01568
ERR1913252.41498__1.41498	1262930__R6ALR2__BN693_00077
ERR1913252.41688__1.41688	853__D4JY61__C4N21_10560
ERR1913252.41728__1.41728	387661__K5ZFR2__B5F96_11430
ERR1913252.41769__1.41769	310298__B3JEV6__BACCOP_00400
ERR1913252.41997__1.41997	821__A0A3E4WAR6__DXD64_10735
ERR1913252.42028__1.42028	823__A0A395YX30__M090_4590
ERR1913252.42083__1.42083	357276__A0A076IYE6__IY41_04275
ERR1913252.42177__1.42177	357276__I9QBT7__BSEG_03340
ERR1913252.42291__1.42291	165179__D1PHC0__PREVCOP_06640
ERR1913252.42314__1.42314	310298__B3JKM0__BACCOP_02451
ERR1913252.42375__1.42375	823__A0A078SYK6__DXB14_02485
ERR1913252.42533__1.42533	33025__A0A395JHB7__C8D73_101754
ERR1913252.42833__1.42833	1150298__R7JUX4__ERS852535_02669
ERR1913252.42910__1.42910	1262924__R7HUJ5__BN585_00830
ERR1913252.43267__1.43267	357276__A0A076INR8__EL88_12300
ERR1913252.43774__1.43774	301301__A0A395VA45__RHOM_02615
ERR1913252.43972__1.43972	2293125__A0A374BSW4__DW917_13420
ERR1913252.44227__1.44227	1262948__R7EBD6__BN671_01768
ERR1913252.44255__1.44255	2293125__A0A374BUM7__DW917_12980
ERR1913252.44476__1.44476	310298__B3JM32__BACCOP_00571
ERR1913252.44709__1.44709	165179__D1PGU8__PREVCOP_06463
ERR1913252.45609__1.45609	28118__R6F6C0__Odosp_0731
ERR1913252.45682__1.45682	2293125__A0A374C9I8__DW917_06795
ERR1913252.45933__1.45933	1262739__R6M9P7__BN659_01903
ERR1913252.46145__1.46145	1150298__A0A174PHI0__ERS852498_00826
ERR1913252.46652__1.46652	310298__B3JQL6__BACCOP_04252
ERR1913252.46971__1.46971	88431__A0A174GCE2__ERS852423_01397
ERR1913252.47022__1.47022	1099853__G9S8N6__NSB1T_06925
ERR1913252.47234__1.47234	821__E5UPR6__SAMN04487923_101768
ERR1913252.47608__1.47608	1262930__R6A8Q7__BN693_01064
ERR1913252.47646__1.47646	418240__A0A174SJB0__toxA_3
ERR1913252.47753__1.47753	706562__GCA_900112995.1_01175
ERR1913252.47804__1.47804	166486__A0A173T114__ROSINTL182_05085
ERR1913252.47997__1.47997	357276__I8VLL2__HMPREF1065_03395
ERR1913252.48030__1.48030	39488__C0EUW7__ERS852578_01381
ERR1913252.48103__1.48103	821__I9R3W6__DXC16_12455
ERR1913252.48148__1.48148	487174__K0WXI5__DDY40_07185
ERR1913252.48300__1.48300	2293125__A0A374BSW4__DW917_13420
ERR1913252.48500__1.48500	310298__B3JQJ5__BACCOP_04231
ERR1913252.48585__1.48585	853__A0A174AML0__FPR_08640
ERR1913252.48731__1.48731	310298__B3JPN8__BACCOP_03837
ERR1913252.48806__1.48806	39496__A5Z8N1__EUBVEN_02073
ERR1913252.48955__1.48955	820__A0A173WZS4__DXD90_10250
ERR1913252.49044__1.49044	1262930__R6A8N0__BN693_02179
ERR1913252.49057__1.49057	649756__R7C5S2__CL2_01190
ERR1913252.49192__1.49192	1378168__V2YA11__N510_02528
ERR1913252.49274__1.49274	544644__GCA_001915615.1_00029
ERR1913252.49290__1.49290	1262739__R6M9P7__BN659_01903
ERR1913252.49308__1.49308	487174__K0XLV6__DIT83_00940
ERR1913252.49464__1.49464	2293125__A0A374BUM7__DW917_12980
ERR1913252.49638__1.49638	626932__G5H744__HMPREF9450_00887
ERR1913252.49826__1.49826	310298__B3JJ24__BACCOP_01886
ERR1913252.49830__1.49830	156456__G9YIG0__HMPREF0080_01452
ERR1913252.49839__1.49839	165179__D1PGU8__PREVCOP_06463
ERR1913252.50114__1.50114	310298__B3JQJ5__BACCOP_04231
ERR1913252.50463__1.50463	853__D4KAK8__C4N21_13380
ERR1913252.50253__1.50253	310298__B3JQJ5__BACCOP_04231
ERR1913252.50871__1.50871	1150298__R7JTX5__ERS852535_01291
ERR1913252.50873__1.50873	544644__GCA_001915615.1_02091
ERR1913252.50877__1.50877	820__A0A3E4FZM1__adaA_2
ERR1913252.50909__1.50909	357276__A0A076INK2__BSEG_04225
ERR1913252.51076__1.51076	410072__A0A3E4GT98__ERS852574_02351
ERR1913252.51176__1.51176	418240__A0A174L567__ERS852478_01510
ERR1913252.51418__1.51418	301301__A0A395V8E1__RHOM_11160
ERR1913252.51582__1.51582	46506__R6B8Z4__SAMN05444283_11711
ERR1913252.51786__1.51786	820__A0A139KJ23__celCCA
ERR1913252.51920__1.51920	1262930__R5ZXU1__BN693_01352
ERR1913252.51963__1.51963	823__A0A355XF06__B5F32_11480
ERR1913252.52097__1.52097	338188__A0A174EU88__BACFIN_08820
ERR1913252.52640__1.52640	410072__A0A174DFS8__ERS852574_01251
ERR1913252.52680__1.52680	1262743__R5C054__BN727_01980
ERR1913252.52698__1.52698	1099853__G9S128__NSB1T_01840
ERR1913252.52736__1.52736	39496__A5Z3H5__EUBVEN_00221
ERR1913252.52839__1.52839	357276__A0A0K2HKT7__B5F95_21090
ERR1913252.52946__1.52946	166486__D4L456__rpfG_10
ERR1913252.53024__1.53024	166486__D4L378__hcaR
ERR1913252.53196__1.53196	853__A0A3E2U7E6__ERS852582_01640
ERR1913252.53234__1.53234	165179__D1PHC0__PREVCOP_06640
ERR1913252.53361__1.53361	166486__D4L284__ERS852572_01651
ERR1913252.53383__1.53383	46503__R6X0R5__DXB85_12380
ERR1913252.53492__1.53492	2293125__A0A374C9I8__DW917_06795
ERR1913252.53549__1.53549	357276__A0A076ITH2__BSEG_03273
ERR1913252.53610__1.53610	39492__D4JR31__EUBSIR_00106
ERR1913252.53741__1.53741	1150298__A0A174LE54__cysA
ERR1913252.53854__1.53854	1262924__R7HSV7__BN585_00245
ERR1913252.54439__1.54439	39486__G1WSX8__DXD82_08635
ERR1913252.54581__1.54581	853__A0A173YYY4__DWZ04_09420
ERR1913252.54801__1.54801	853__A0A174C5M1__CGS58_04460
ERR1913252.54880__1.54880	28132__D9RV83__HMPREF0660_00835
ERR1913252.54894__1.54894	310298__B3JQJ5__BACCOP_04231
ERR1913252.54973__1.54973	1262930__R6AQM8__BN693_01323
ERR1913252.55853__1.55853	371601__I9ABK9__B5E50_12420
ERR1913252.55873__1.55873	818__A0A0N7I9H8__ERS852461_00040
ERR1913252.55929__1.55929	301301__A0A395V8E1__RHOM_11160
ERR1913252.56242__1.56242	821__R7P1Q7__M099_2990
ERR1913252.56460__1.56460	1263044__GCA_000433375.1_03385
ERR1913252.56490__1.56490	820__A0A139KIL9__DXC68_05945
ERR1913252.56574__1.56574	357276__I9QPN3__EL88_09245
ERR1913252.56662__1.56662	2293125__A0A374BUM7__DW917_12980
ERR1913252.56929__1.56929	28116__R6JAK2__DXD69_23875
ERR1913252.57033__1.57033	2293125__A0A374C9I8__DW917_06795
ERR1913252.57012__1.57012	820__A0A374Q8T2__DXB64_16190
ERR1913252.57181__1.57181	1150298__A0A174BP05__murAA
ERR1913252.57450__1.57450	1263044__GCA_000433375.1_00023
ERR1913252.57472__1.57472	33025__A0A395J973__C8D73_11010
ERR1913252.57507__1.57507	2108523__A0A2P2FAG7__LAWASA_3009
ERR1913252.57660__1.57660	166486__D4KXZ7__ROSINTL182_05052
ERR1913252.57671__1.57671	556259__E5CDQ6__BSGG_3921
ERR1913252.57926__1.57926	39488__A0A285PQP4__DXD91_02025
ERR1913252.57930__1.57930	28118__F9Z7U8__DF785_12305
ERR1913252.57961__1.57961	33025__A0A395J947__C8D73_11315
ERR1913252.58270__1.58270	165179__A0A229I3Z6__PREVCOP_03666
ERR1913252.58366__1.58366	820__A0A3E4GE89__DXB48_02565
ERR1913252.58618__1.58618	28118__F9ZCN9__DHW44_07820
ERR1913252.58847__1.58847	329854__B3CI76__DXD27_20370
ERR1913252.59106__1.59106	1262948__R7EG33__BN671_00086
ERR1913252.59155__1.59155	1262930__R6AX81__BN693_00293
ERR1913252.59284__1.59284	46503__R6WVN9__HMPREF1078_01964
ERR1913252.59425__1.59425	818__A0A0P0FKT1__C5Z03_19050
ERR1913252.59583__1.59583	458033__GCA_001482755.1_02203
ERR1913252.59670__1.59670	821__A0A3E4WAR6__DXD64_10735
ERR1913252.59688__1.59688	33025__A0A395JBU5__C8D73_10423
ERR1913252.59929__1.59929	671267__R9I7B5__C802_04018
ERR1913252.60055__1.60055	357276__I9QBT4__GV66_09000
ERR1913252.60106__1.60106	821__A0A174NM17__lacZ_6
ERR1913252.60137__1.60137	820__A0A174GYA8__DXB64_07370
ERR1913252.60154__1.60154	1262924__R7HS18__BN585_01949
ERR1913252.60444__1.60444	1262930__R6AQF3__BN693_01271
ERR1913252.60508__1.60508	410072__A0A173Y8R3__rng
ERR1913252.60590__1.60590	410072__A0A173WZ94__DXD67_05780
ERR1913252.60773__1.60773	371601__I9ALH7__DXD80_15875
ERR1913252.60913__1.60913	28116__A0A3D2LWY1__ERS852555_01619
ERR1913252.61090__1.61090	165179__D1PGU8__PREVCOP_06463
ERR1913252.61714__1.61714	821__A0A3E4XY72__NCTC10583_01067
ERR1913252.61805__1.61805	165179__A0A174SA26__PREVCOP_05758
ERR1913252.62082__1.62082	357276__C3R9Y0__HMPREF1064_01889
ERR1913252.62412__1.62412	649756__A0A174L4G4__cls_1
ERR1913252.62453__1.62453	1262930__R6AY75__BN693_00384
ERR1913252.63095__1.63095	1262924__R7HR75__BN585_00689
ERR1913252.63187__1.63187	39486__B0G239__DXD82_09385
ERR1913252.63419__1.63419	821__D4VD59__BHV80_04260
ERR1913252.63469__1.63469	189722__E0NQU7__HMPREF0658_0548
ERR1913252.63602__1.63602	165179__A0A229I3Z6__PREVCOP_03666
ERR1913252.63860__1.63860	410072__C0BB27__ERS852525_01089
ERR1913252.63963__1.63963	28116__C3R1N5__SAMN05444282_12443
ERR1913252.64290__1.64290	821__A6L0C7__ERS852556_03520
ERR1913252.64472__1.64472	218538__C9LR31__GCWU000321_02013
ERR1913252.64488__1.64488	301301__A0A395V9A0__RHOM_08800
ERR1913252.64525__1.64525	310298__B3JFK5__BACCOP_00655
ERR1913252.64564__1.64564	165179__A0A3E5AHY4__CFT61_07675
ERR1913252.64715__1.64715	1262816__R6CTN7__BN687_00033
ERR1913252.64666__1.64666	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913252.64687__1.64687	46503__R6X0R5__DXB85_12380
ERR1913252.64852__1.64852	371601__A0A1Y4Q353__CW1_1747
ERR1913252.64879__1.64879	310298__B3JK97__BACCOP_02326
ERR1913252.64897__1.64897	165179__A0A229I3Z6__PREVCOP_03666
ERR1913252.65071__1.65071	853__A0A2A7B9I6__DW855_13690
ERR1913252.65112__1.65112	357276__B6W1J2__BACDOR_03380
ERR1913252.65556__1.65556	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913252.65659__1.65659	821__A0A0P0L952__M097_4235
ERR1913252.65660__1.65660	165179__A0A3E5AER8__DXB80_07075
ERR1913252.65811__1.65811	28116__I9ST00__M088_5588
ERR1913252.65892__1.65892	2293125__A0A374BUM7__DW917_12980
