ERR1913315.80__1.80	649756__L1Q8X1__DCR88_03995
ERR1913315.2453__1.2453	292800__U2BU47__ERS852544_01880
ERR1913315.2477__1.2477	39491__D6E2U1__EUBREC_3278
ERR1913315.2514__1.2514	820__A0A3E4XDK3__ERS852554_03650
ERR1913315.2717__1.2717	39491__A0A395V5R3__EUBREC_1883
ERR1913315.2729__1.2729	820__A0A3E4HWJ4__DXD40_05945
ERR1913315.2794__1.2794	820__A7V470__HMPREF1072_02076
ERR1913315.2889__1.2889	28116__A0A139LD88__CUY_2408
ERR1913315.2851__1.2851	823__A0A395YXR9__M091_4086
ERR1913315.2852__1.2852	1680__R5GRA4__ERS852382_01548
ERR1913315.2925__1.2925	187327__G4Q7Q6__ACDG_00853
ERR1913315.2968__1.2968	821__I9R3W6__DXC16_12455
ERR1913315.3017__1.3017	821__D4VD59__BHV80_04260
ERR1913315.3019__1.3019	626929__F3PE27__SAMN05444376_0469
ERR1913315.3030__1.3030	40518__R5E2Z2__DXD93_09295
ERR1913315.3056__1.3056	823__A0A174MNW4__M091_0199
ERR1913315.3154__1.3154	301301__G2SZ87__RHOM_00995
ERR1913315.3168__1.3168	40519__U2M5N8__RUMCAL_02017
ERR1913315.3207__1.3207	1297617__A0A0S2W477__C7373_102334
ERR1913315.3278__1.3278	820__A0A3E4G826__C801_01612
ERR1913315.3325__1.3325	820__A0A174F696__macB_13
ERR1913315.3382__1.3382	328814__GCA_004558275.1_00059
ERR1913315.3410__1.3410	1472761__GCA_002159295.1_00731
ERR1913315.3430__1.3430	40518__R5DSI5__fieF
ERR1913315.3451__1.3451	821__A0A174WBC9__ERS852556_03145
ERR1913315.3457__1.3457	823__A0A078SYK6__DXB14_02485
ERR1913315.3488__1.3488	357276__I8VLL2__HMPREF1065_03395
ERR1913315.3597__1.3597	39488__A0A174CJ01__DXD91_03830
ERR1913315.3620__1.3620	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913315.4179__1.4179	820__A0A3E4QZJ7__C801_01798
ERR1913315.4465__1.4465	187327__G4Q4A5__ACDG_01070
ERR1913315.4575__1.4575	40518__R5DU28__DXD86_07960
ERR1913315.4646__1.4646	821__D4VC51__M099_1508
ERR1913315.4684__1.4684	46506__R5K3I5__BACSTE_02520
ERR1913315.4860__1.4860	821__A0A174WBC9__ERS852556_03145
ERR1913315.5110__1.5110	216816__A0A133LQN7__BL15B_00780
ERR1913315.5493__1.5493	821__A0A174ALF2__BvMPK_3016
ERR1913315.5494__1.5494	820__A0A396CMY7__HMPREF1072_03009
ERR1913315.5579__1.5579	818__C6IJ08__BJP75_000645
ERR1913315.5535__1.5535	820__A0A139K1Y6__DXB48_02610
ERR1913315.5536__1.5536	457421__C5ERC0__CBFG_04276
ERR1913315.5647__1.5647	39488__A0A174BS94__DXD91_16570
ERR1913315.5744__1.5744	820__A0A374MMF0__HMPREF1073_03811
ERR1913315.5878__1.5878	821__A0A174NVL6__NCTC10583_01782
ERR1913315.6096__1.6096	187327__G4Q6A3__ACDG_01732
ERR1913315.6097__1.6097	820__A0A3E4VZT7__DXB48_16145
ERR1913315.6187__1.6187	40518__R5DWP7__ansA
ERR1913315.6219__1.6219	649756__A0A173R860__DO83_09130
ERR1913315.6303__1.6303	820__A0A3E4W984__pssA
ERR1913315.6307__1.6307	820__A0A139K8X8__DXC80_17665
ERR1913315.6511__1.6511	28116__A0A395VT11__SAMN05444282_11739
ERR1913315.6667__1.6667	246787__A0A0P0G254__axeA1_2
ERR1913315.6668__1.6668	820__A7VAR9__ERS852421_00197
ERR1913315.6690__1.6690	360807__C0FZM4__RIL183_06871
ERR1913315.6770__1.6770	1150298__R7JRU1__degA_3
ERR1913315.6733__1.6733	40518__R5DS37__DXD93_01965
ERR1913315.6855__1.6855	820__E5VEH7__ERS852459_01300
ERR1913315.6862__1.6862	187327__G4Q682__Acin_1672
ERR1913315.7018__1.7018	46506__R5JSP7__AA415_01143
ERR1913315.7063__1.7063	821__A0A174NM17__lacZ_6
ERR1913315.7165__1.7165	820__A0A139KG60__M094_2679
ERR1913315.7300__1.7300	187327__U2U4L1__Acin_2007
ERR1913315.7335__1.7335	820__A0A3E4VZT7__DXB48_16145
ERR1913315.7342__1.7342	39491__A0A3E4E7C5__DXB69_03255
ERR1913315.7398__1.7398	39491__C4Z872__LD38_07250
ERR1913315.7465__1.7465	28116__A0A1Y4PZ83__DHW41_02625
ERR1913315.7553__1.7553	820__A0A374Q854__HMPREF1073_03281
ERR1913315.7581__1.7581	28117__R7JR95__ALIPUT_01367
ERR1913315.7632__1.7632	556259__I0PXW0__BSGG_5187
ERR1913315.7639__1.7639	821__A0A396F9T7__M097_3427
ERR1913315.7877__1.7877	40520__R7DBI2__ERS852533_03021
ERR1913315.7964__1.7964	216816__A0A133LQN7__BL15B_00780
ERR1913315.8028__1.8028	820__A0A396EWL3__ERS417307_03868
ERR1913315.8163__1.8163	820__A0A396CMY7__HMPREF1072_03009
ERR1913315.8235__1.8235	820__R9I3Q7__HMPREF1072_01668
ERR1913315.8266__1.8266	820__A0A174CG08__DXB62_13215
ERR1913315.8382__1.8382	28116__D7K2E0__endOF2_3
ERR1913315.8383__1.8383	39491__A0A395UWA3__DXB69_11805
ERR1913315.8395__1.8395	88431__A0A3D0F1H3__ERS852573_02429
ERR1913315.8477__1.8477	301302__R5UTG6__M72_25801
ERR1913315.8513__1.8513	40518__R5DVH6__DXD86_08955
ERR1913315.8597__1.8597	820__A0A3E4VZY4__ERS852554_01211
ERR1913315.8660__1.8660	418240__C6J8M5__yiaD
ERR1913315.8632__1.8632	187327__G4Q682__Acin_1672
ERR1913315.8699__1.8699	216816__B7GNA5__BL71B_04625
ERR1913315.8701__1.8701	187327__G4Q2R6__Acin_2204
ERR1913315.8767__1.8767	292800__A0A096B6V4__tap_3
ERR1913315.8771__1.8771	39488__A0A173SSM6__EUBHAL_01799
ERR1913315.8831__1.8831	40518__R5E6K5__speA
ERR1913315.8860__1.8860	820__A0A173YYG4__evgS_3
ERR1913315.8862__1.8862	1776081__A0A1B8WUT1__A0U42_08955
ERR1913315.8904__1.8904	823__A6LEP0__M091_1976
ERR1913315.8931__1.8931	820__A0A374Q8T2__DXB64_16190
ERR1913315.9072__1.9072	1263107__GCA_000436995.1_00059
ERR1913315.9152__1.9152	216816__C2GSX7__DD678_03555
ERR1913315.9251__1.9251	28117__B0MU76__ALIPUT_00202
ERR1913315.9263__1.9263	820__A7V859__ERS852462_00341
ERR1913315.9297__1.9297	820__A7V470__HMPREF1072_02076
ERR1913315.9304__1.9304	1680__A0A0C2YPV2__AL0462_1474
ERR1913315.9425__1.9425	187327__U2TUH7__ACDG_00970
ERR1913315.9535__1.9535	820__A7V9F9__B5G17_14640
ERR1913315.9646__1.9646	46506__B0NRL4__HMPREF1181_00205
ERR1913315.9688__1.9688	626929__F3PGY0__SAMN05444376_1243
ERR1913315.9711__1.9711	820__A0A3E4VXP2__yesR
ERR1913315.9720__1.9720	39488__A0A374NU13__mtnK_2
ERR1913315.9753__1.9753	216816__D6ZXY6__BL105A_0298
ERR1913315.9756__1.9756	214856__I3YK71__ERS852559_02472
ERR1913315.9794__1.9794	1680__R5GKP2__DXD60_06200
ERR1913315.9920__1.9920	820__A7V470__HMPREF1072_02076
ERR1913315.10140__1.10140	187327__G4Q628__ACDG_01178
ERR1913315.10172__1.10172	649756__A0A174J035__DO83_03925
ERR1913315.10197__1.10197	820__A0A3E4RUC4__DHU98_02635
ERR1913315.10388__1.10388	246787__A0A3D6B0E4__BACCELL_02533
ERR1913315.10317__1.10317	357276__A0A076IS26__EL88_15950
ERR1913315.10338__1.10338	821__E5UY21__C800_02204
ERR1913315.10398__1.10398	820__R9I3N4__M093_0061
ERR1913315.10452__1.10452	820__A0A174M9V5__M093_0237
ERR1913315.10484__1.10484	28116__D7K7K3__SAMN05192581_103348
ERR1913315.10499__1.10499	820__A0A174QT76__B5G17_18060
ERR1913315.10509__1.10509	820__A0A3E4G493__ERS417307_00253
ERR1913315.10613__1.10613	1150298__R7JU23__ERS852498_02342
ERR1913315.10738__1.10738	823__C7XBX3__HMPREF1059_03212
ERR1913315.10873__1.10873	39488__C0EZ49__ERS852578_00234
ERR1913315.10922__1.10922	820__A0A3E4W7J3__DXC07_00330
ERR1913315.10944__1.10944	40518__R5E304__thiT
ERR1913315.11021__1.11021	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913315.11046__1.11046	572010__ppdK
ERR1913315.11344__1.11344	821__A0A3E4HP25__SAMN04487923_102450
ERR1913315.11396__1.11396	818__A0A3E5HK02__BSIG_1732
ERR1913315.11587__1.11587	820__A0A3E4VZF8__C801_00319
ERR1913315.11560__1.11560	820__A0A173YYG4__evgS_3
ERR1913315.11724__1.11724	28118__F9ZBL4__NCTC10826_02348
ERR1913315.11655__1.11655	1235790__S0J8L6__C805_00148
ERR1913315.11757__1.11757	823__A6L9D3__ERS852560_03374
ERR1913315.11772__1.11772	360807__A0A1Q6T3E4__ROSEINA2194_03999
ERR1913315.11895__1.11895	40518__R5DTH7__DXD83_02405
ERR1913315.11896__1.11896	820__A0A139KJ23__celCCA
ERR1913315.11907__1.11907	823__A0A355XIK0__CEQ22_011965
ERR1913315.11924__1.11924	487174__R5F3K6__DDY40_04230
ERR1913315.12150__1.12150	820__A0A3E4RU03__M093_0563
ERR1913315.12175__1.12175	823__D0TDY6__DHP27_09090
ERR1913315.12227__1.12227	74426__nifJ
ERR1913315.12388__1.12388	1550024__G9RZG0__ASJ35_05540
ERR1913315.12394__1.12394	187327__G4Q5A9__Acin_2086
ERR1913315.12608__1.12608	820__A0A3E4VZF8__C801_00319
ERR1913315.12658__1.12658	487174__K0WYI1__DDY40_08675
ERR1913315.12796__1.12796	820__A0A139K8X8__DXC80_17665
ERR1913315.12918__1.12918	820__A0A174GYA8__DXB64_07370
ERR1913315.13018__1.13018	821__E5UY21__C800_02204
ERR1913315.13064__1.13064	820__A0A139K8N1__ERS852554_00951
ERR1913315.13097__1.13097	28116__R6DIL2__DXD69_10970
ERR1913315.13168__1.13168	40518__R5DXW3__DXD86_07900
ERR1913315.13266__1.13266	40518__R5DZE2__DXD86_07400
ERR1913315.13318__1.13318	820__A0A3E4GE89__DXB48_02565
ERR1913315.13487__1.13487	47678__R5U8Y1__BACCAC_02615
ERR1913315.13509__1.13509	40518__R5DQK2__DXD93_03730
ERR1913315.13513__1.13513	328813__A0A1Y3QZ24__B5G41_08040
ERR1913315.13529__1.13529	820__A0A3E4WCX3__C801_02709
ERR1913315.13584__1.13584	820__A0A174R952__DXB48_02570
ERR1913315.13607__1.13607	820__A0A173XIP7__B5G17_16050
ERR1913315.13710__1.13710	820__R9HP61__DXC91_01090
ERR1913315.13727__1.13727	28116__A7LXT7__HMPREF1070_00356
ERR1913315.13769__1.13769	823__A0A395YRE1__DXC05_20005
ERR1913315.13781__1.13781	820__A0A174R952__DXB48_02570
ERR1913315.13782__1.13782	821__A0A174JYD3__ERS852457_02610
ERR1913315.13792__1.13792	40518__R5DR96__RBATCC27255_01185
ERR1913315.13859__1.13859	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913315.13925__1.13925	40518__R5DYP7__envC
ERR1913315.14002__1.14002	820__A0A174DZ97__SAMN05444418_101240
ERR1913315.14081__1.14081	40518__R5DP91__RBL236_00890
ERR1913315.14217__1.14217	820__A0A173WZS4__DXD90_10250
ERR1913315.14226__1.14226	357276__B6W1J2__BACDOR_03380
ERR1913315.14301__1.14301	820__A0A3E4WCC2__lptB_1
ERR1913315.14281__1.14281	820__A0A3E4IGA7__DXD40_07110
ERR1913315.14401__1.14401	572010__ydhV
ERR1913315.14482__1.14482	187327__G4Q6E0__ACDG_00710
ERR1913315.14492__1.14492	821__C6Z087__DXB90_00750
ERR1913315.14590__1.14590	47678__R5V127__HMPREF1061_04334
ERR1913315.14666__1.14666	820__A0A3E4HWJ4__DXD40_05945
ERR1913315.14715__1.14715	820__A0A3E4FZM1__adaA_2
ERR1913315.14721__1.14721	187327__G4Q903__ACDG_00440
ERR1913315.14901__1.14901	187327__G4Q394__ACDG_01705
ERR1913315.14932__1.14932	820__A7V470__HMPREF1072_02076
ERR1913315.15005__1.15005	820__A0A139KIL9__DXC68_05945
ERR1913315.15044__1.15044	820__A0A139K9Q2__DXD40_08795
ERR1913315.15156__1.15156	47678__R5UES3__CGC64_00760
ERR1913315.15222__1.15222	216816__E8MH24__APS65_02760
ERR1913315.15401__1.15401	418240__C6J9Y8__ERS852478_00235
ERR1913315.15416__1.15416	74426__rpoC
ERR1913315.15437__1.15437	46506__R5JSP7__AA415_01143
ERR1913315.15616__1.15616	187327__U2VMS3__ACDG_00972
ERR1913315.15668__1.15668	74426__rpoC
ERR1913315.15685__1.15685	820__A0A139KH21__DXC80_01780
ERR1913315.15769__1.15769	820__A0A3E4VXP2__yesR
ERR1913315.15829__1.15829	328814__GCA_004558275.1_00236
ERR1913315.16019__1.16019	187327__R6M966__Acin_0193
ERR1913315.16049__1.16049	28116__A0A139L6N6__HMPREF2532_02529
ERR1913315.16108__1.16108	820__A7V470__HMPREF1072_02076
ERR1913315.16350__1.16350	40518__R5E4Y8__RBATCC27255_01448
ERR1913315.16357__1.16357	39491__C4Z872__LD38_07250
ERR1913315.16404__1.16404	820__A0A173YYG4__evgS_3
ERR1913315.16470__1.16470	487174__K0WWY0__DIT83_10195
ERR1913315.16484__1.16484	301302__A0A173T010__M72_26571
ERR1913315.16618__1.16618	187327__G4Q3H4__Acin_1758
ERR1913315.16662__1.16662	187327__G4Q6P7__ACDG_01266
ERR1913315.16650__1.16650	1776081__A0A1B8WVF9__A0U42_07950
ERR1913315.16791__1.16791	487174__K0X4L2__pgl
ERR1913315.16828__1.16828	74426__nifJ
ERR1913315.16830__1.16830	100884__E7G6Y7__HMPREF9488_00525
ERR1913315.16836__1.16836	1262869__R7CQJ4__BN625_01587
ERR1913315.16937__1.16937	28117__B0MXG8__ALIPUT_01814
ERR1913315.16986__1.16986	28118__F9Z8K4__Odosp_0843
ERR1913315.16999__1.16999	1472761__GCA_002159295.1_00731
ERR1913315.17166__1.17166	28117__B0N007__BHV66_10275
ERR1913315.17218__1.17218	556259__E5C8F1__BSGG_0698
ERR1913315.17235__1.17235	820__A0A139KIL9__DXC68_05945
ERR1913315.17247__1.17247	820__A0A3E4RTP0__C801_01067
ERR1913315.17324__1.17324	1150298__A0A173W9F4__ERS852498_02567
ERR1913315.17381__1.17381	1099853__R7DEQ7__NSB1T_12415
ERR1913315.17391__1.17391	40518__R5DUU2__yvhJ_2
ERR1913315.17656__1.17656	820__A0A139K1Y6__DXB48_02610
ERR1913315.17639__1.17639	371601__W6P7Q9__BN890_32770
ERR1913315.17696__1.17696	28116__I9AKR7__DXA80_22960
ERR1913315.17704__1.17704	187327__G4Q8D7__ACDG_00525
ERR1913315.17755__1.17755	187327__G4Q4A5__ACDG_01070
ERR1913315.17858__1.17858	40518__R5E6K5__speA
ERR1913315.17948__1.17948	47678__R5UAI1__BACCAC_01922
ERR1913315.18043__1.18043	820__A0A174R952__DXB48_02570
ERR1913315.18113__1.18113	820__A0A374MMF0__HMPREF1073_03811
ERR1913315.18143__1.18143	1160721__W0U633__BHW50_00240
ERR1913315.18180__1.18180	47678__R5U3A7__ERS852494_02965
ERR1913315.18192__1.18192	301302__A0A173TEJ2__M72_09031
ERR1913315.18206__1.18206	821__E5UY21__C800_02204
ERR1913315.18318__1.18318	28117__B0MWZ9__ALIPUT_01735
ERR1913315.18360__1.18360	28052__R7NCD4__ERS852451_00170
ERR1913315.18364__1.18364	187327__G4Q4L2__Acin_0690
ERR1913315.18549__1.18549	338188__C9L067__ERS852397_00004
ERR1913315.18642__1.18642	216816__C2GTV6__AS143_01355
ERR1913315.18754__1.18754	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913315.18814__1.18814	821__R9HFW2__DXD01_00365
ERR1913315.18896__1.18896	371601__A0A1H3XPY7__CW1_0993
ERR1913315.18985__1.18985	820__A0A173YYG4__evgS_3
ERR1913315.19199__1.19199	292800__A0A174N232__ADH75_10840
ERR1913315.19193__1.19193	47678__A5ZI88__BACCAC_02617
ERR1913315.19252__1.19252	821__E5UY21__C800_02204
ERR1913315.19307__1.19307	187327__G4Q5F1__Acin_2129
ERR1913315.19417__1.19417	1680__A0A0C2VBJ4__birA
ERR1913315.19470__1.19470	1262869__R7CNL6__BN625_01290
ERR1913315.19567__1.19567	33038__R5UBY3__lutR_1
ERR1913315.19620__1.19620	39491__A0A396FBR6__DXC13_08575
ERR1913315.19800__1.19800	820__A0A078S4C2__ERS417307_00828
ERR1913315.19808__1.19808	28116__A0A1Y4P7B7__M088_2098
ERR1913315.19758__1.19758	187327__G4Q2T1__ACDG_01978
ERR1913315.19775__1.19775	487174__K0XRA9__HMPREF9448_00572
ERR1913315.19790__1.19790	28117__B0MUB4__BHV66_01895
ERR1913315.19891__1.19891	46506__B0NU72__DXC41_00075
ERR1913315.19979__1.19979	28116__A7LXU0__HMPREF1070_00358
ERR1913315.20105__1.20105	820__A0A396EUU8__luxQ_3
ERR1913315.20145__1.20145	216816__A0A395XYV2__APC1468_1887
ERR1913315.20289__1.20289	40518__R5DUU0__DXD93_03985
ERR1913315.20403__1.20403	820__A0A3E4PYB0__yejM
ERR1913315.20437__1.20437	28116__A0A3D2LWY1__ERS852555_01619
ERR1913315.20524__1.20524	820__A0A139JY23__B5G17_06330
ERR1913315.20536__1.20536	40520__A0A396G5U6__DXC87_00520
ERR1913315.20565__1.20565	820__A0A174CG08__DXB62_13215
ERR1913315.20641__1.20641	169435__B0P947__ERS852551_00468
ERR1913315.20651__1.20651	187327__G4Q2R6__Acin_2204
ERR1913315.20701__1.20701	187327__R6M6U9__xseA
ERR1913315.20713__1.20713	820__E5VA63__DXC80_01025
ERR1913315.20728__1.20728	1263107__GCA_000436995.1_00031
ERR1913315.20744__1.20744	292800__A0A174CG92__B5F52_13290
ERR1913315.20779__1.20779	74426__thrZ
ERR1913315.20793__1.20793	328813__A0A1Y3QQH7__B5G41_13925
ERR1913315.20799__1.20799	821__A0A396F598__CUU_3259
ERR1913315.20840__1.20840	820__A0A3E4WCX3__C801_02709
ERR1913315.20875__1.20875	626929__F3PGX9__HMPREF9445_01323
ERR1913315.20897__1.20897	28116__R6K4N7__ERS852555_03750
ERR1913315.20845__1.20845	40518__R5DVR2__RBL236_00303
ERR1913315.21208__1.21208	28116__A0A396DFW5__C5Z02_07010
ERR1913315.21464__1.21464	357276__B6W1J2__BACDOR_03380
ERR1913315.21432__1.21432	40518__R5DXI4__DXD86_07420
ERR1913315.21475__1.21475	357276__B6W1J2__BACDOR_03380
ERR1913315.21643__1.21643	556259__I0PXY6__BSGG_5174
ERR1913315.21587__1.21587	820__A0A3E4G493__ERS417307_00253
ERR1913315.21710__1.21710	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913315.21715__1.21715	301301__A0A395V4X8__ERS852391_01546
ERR1913315.21723__1.21723	301302__R5UTG6__M72_25801
ERR1913315.21895__1.21895	357276__I8VN30__HMPREF1065_03051
ERR1913315.21925__1.21925	418240__C6JH11__ERS852523_02507
ERR1913315.22004__1.22004	1262963__R6CBY4__BN718_00134
ERR1913315.22014__1.22014	1776081__A0A1B8WTP3__A0U42_10575
ERR1913315.22095__1.22095	1550024__G9RNN4__ASJ35_08335
ERR1913315.22098__1.22098	820__A0A139K8N1__ERS852554_00951
ERR1913315.22146__1.22146	28117__B0MXU6__ALIPUT_01958
ERR1913315.22282__1.22282	40518__R5DMC7__blaR1
ERR1913315.22302__1.22302	28117__B0MWX3__BHV66_03010
ERR1913315.22317__1.22317	1896974__A0A1Q6H2Z3__BHV77_11085
ERR1913315.22456__1.22456	820__A0A3E4G826__C801_01612
ERR1913315.22508__1.22508	28116__A0A3D2LWY1__ERS852555_01619
ERR1913315.22537__1.22537	1262954__R7FDM0__BN611_02159
ERR1913315.22600__1.22600	820__A7V470__HMPREF1072_02076
ERR1913315.22703__1.22703	39486__R6SAN5__DXB12_03855
ERR1913315.22837__1.22837	2173__A0A1D2WXI2__METSMIF1_02140
ERR1913315.22884__1.22884	820__A0A173W419__DXC68_17760
ERR1913315.22940__1.22940	820__A0A3E4W4Y7__B5G17_02055
ERR1913315.22936__1.22936	246787__A0A0P0FV02__AA416_03728
ERR1913315.22974__1.22974	28026__C0BTQ4__DXC75_02895
ERR1913315.23105__1.23105	820__A0A139JRH8__HMPREF2141_04326
ERR1913315.23272__1.23272	214856__I3YPQ8__ERS852447_01371
ERR1913315.23324__1.23324	820__A0A3E4VXP2__yesR
ERR1913315.23295__1.23295	572010__srrA
ERR1913315.23308__1.23308	1150298__A0A174RL88__ERS852535_00196
ERR1913315.23317__1.23317	820__A0A174DZ97__SAMN05444418_101240
ERR1913315.23390__1.23390	626929__F3PKF4__SAMN05444376_0707
ERR1913315.23569__1.23569	820__A0A139K8X8__DXC80_17665
ERR1913315.23716__1.23716	1628085__A0A396MR64__C7386_10983
ERR1913315.23748__1.23748	626929__F3PHP2__SAMN05444376_1070
ERR1913315.23834__1.23834	40518__R5E4Y8__RBATCC27255_01448
ERR1913315.23901__1.23901	818__A0A0P0EV21__NCTC13706_01181
ERR1913315.23936__1.23936	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913315.23949__1.23949	1628085__A0A2U1BC41__C7386_10839
ERR1913315.24040__1.24040	556259__I0PXY6__BSGG_5174
ERR1913315.24195__1.24195	39491__A0A396FMF1__EUR_28700
ERR1913315.24205__1.24205	820__A0A139KH21__DXC80_01780
ERR1913315.24214__1.24214	28116__A7LS06__HMPREF2532_04668
ERR1913315.24215__1.24215	821__A0A173XDD3__DXB82_17180
ERR1913315.24279__1.24279	820__A0A3E4RU03__M093_0563
ERR1913315.24324__1.24324	821__A0A174JYD3__ERS852457_02610
ERR1913315.24344__1.24344	1262746__R5SS80__BN750_02125
ERR1913315.24370__1.24370	1628085__A0A1C6AZZ4__C7386_101481
ERR1913315.24428__1.24428	187327__R6MDJ4__ACDG_00402
ERR1913315.24485__1.24485	820__A0A174M9V5__M093_0237
ERR1913315.24554__1.24554	820__A7V8C2__ERS852554_01338
ERR1913315.24637__1.24637	446660__GCA_003428235.1_01715
ERR1913315.24645__1.24645	40518__R5DVH6__DXD86_08955
ERR1913315.24673__1.24673	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913315.24774__1.24774	187327__U2VZ61__Acin_0538
ERR1913315.24830__1.24830	46228__V8C9Q0__srtB
ERR1913315.24896__1.24896	47678__R5UER2__CGC64_00710
ERR1913315.24904__1.24904	28052__A0A174GK20__ERS852451_00454
ERR1913315.25078__1.25078	820__A0A3E4VZY4__ERS852554_01211
ERR1913315.25129__1.25129	47678__R5U7X8__C5Z00_18270
ERR1913315.25221__1.25221	820__A0A139K2N9__DXB62_12420
ERR1913315.25212__1.25212	214856__A0A173YE57__ERS852559_00126
ERR1913315.25349__1.25349	28117__B0MTH2__ALIPUT_00061
ERR1913315.25401__1.25401	28116__R6DIL2__DXD69_10970
ERR1913315.25558__1.25558	187327__G4Q682__Acin_1672
ERR1913315.25611__1.25611	187327__G4Q682__Acin_1672
ERR1913315.25625__1.25625	820__A0A174QLF0__SAMN05444418_109151
ERR1913315.25846__1.25846	820__A0A173XIP7__B5G17_16050
ERR1913315.25857__1.25857	820__A0A374Q854__HMPREF1073_03281
ERR1913315.25882__1.25882	649756__D4MUT1__ERS852520_00545
ERR1913315.25936__1.25936	1628085__A0A2U1B224__C7386_12221
ERR1913315.25901__1.25901	821__D4VC51__M099_1508
ERR1913315.26010__1.26010	28116__A7LXT4__DXF98_03755
ERR1913315.26038__1.26038	821__A0A174T998__DXB82_10860
ERR1913315.26118__1.26118	820__A0A3E4QZJ7__C801_01798
ERR1913315.26166__1.26166	28117__R7JIJ8__BHV66_01635
ERR1913315.26206__1.26206	820__A0A3E4W4W5__ERS852554_02179
ERR1913315.26263__1.26263	40518__R5DUG7__sbcC
ERR1913315.26323__1.26323	40518__R5DTP7__DXD83_02415
ERR1913315.26330__1.26330	820__A7V470__HMPREF1072_02076
ERR1913315.26332__1.26332	1550024__G9RNX0__ASJ35_11770
ERR1913315.26382__1.26382	328814__GCA_004558275.1_00051
ERR1913315.26397__1.26397	28117__B0MXL6__ALIPUT_01851
ERR1913315.26473__1.26473	28117__B0MZ50__ALIPUT_02424
ERR1913315.26531__1.26531	246787__A0A3D6AXG0__BACCELL_01743
ERR1913315.26548__1.26548	394340__dnaK
ERR1913315.26718__1.26718	40518__R5DVH6__DXD86_08955
ERR1913315.26758__1.26758	820__A7VAR9__ERS852421_00197
ERR1913315.26833__1.26833	40518__R5DW64__RBL236_01394
ERR1913315.26878__1.26878	1603888__A0A133SFW3__HMPREF3201_01850
ERR1913315.26890__1.26890	28117__R7JPX7__BHV66_00900
ERR1913315.26872__1.26872	1776081__A0A1B8WXH8__A0U42_04770
ERR1913315.26975__1.26975	821__A0A173XDD3__DXB82_17180
ERR1913315.27007__1.27007	821__E5UY21__C800_02204
ERR1913315.27041__1.27041	820__A0A374MMF0__HMPREF1073_03811
ERR1913315.27133__1.27133	1150298__A0A174B7I7__ERS852535_01258
ERR1913315.27108__1.27108	40518__R5E1X3__clcA
ERR1913315.27200__1.27200	28116__A0A1Y4Q363__Bovatus_00608
ERR1913315.27238__1.27238	1680__A7A4N3__ERS852382_00779
ERR1913315.27282__1.27282	216816__C2GTV6__AS143_01355
ERR1913315.27321__1.27321	820__A0A3E4PYB0__yejM
ERR1913315.27402__1.27402	820__A0A174A6K0__M093_0079
ERR1913315.27366__1.27366	187327__G4Q7P5__ACDG_00844
ERR1913315.27419__1.27419	40518__R5DYU1__DXD86_01160
