ERR1913048.648__1.648	166486__D4KZH8__ERS852572_00419
ERR1913048.10290__1.10290	1263000__R5F0P4__BN466_00308
ERR1913048.10317__1.10317	28117__B0MZ22__BHV66_04430
ERR1913048.10656__1.10656	820__A0A174DZ97__SAMN05444418_101240
ERR1913048.10710__1.10710	360807__A0A396AF38__RIL183_00781
ERR1913048.10732__1.10732	166486__D4L449__ROSINTL182_08802
ERR1913048.11276__1.11276	166486__D4L398__ERS852572_03633
ERR1913048.12186__1.12186	1263006__R6MRG8__BN515_00513
ERR1913048.12377__1.12377	35833__E5Y2U0__HMPREF0179_00454
ERR1913048.12451__1.12451	216816__B3DNW2__BL171B_07980
ERR1913048.13019__1.13019	1897011__A0A1Q6RDI2__BHW41_05530
ERR1913048.13043__1.13043	301301__A0A395V714__evgS
ERR1913048.13135__1.13135	1262911__R6H2J2__BN557_01228
ERR1913048.13197__1.13197	821__R6F3Y1__SAMN04487923_104318
ERR1913048.13179__1.13179	216816__A0A1V8RHV4__DXD44_06445
ERR1913048.13342__1.13342	1150298__A0A174QZ74__ERS852406_01102
ERR1913048.13372__1.13372	901__B6WX14__mviN
ERR1913048.13671__1.13671	1262911__R6GJ95__BN557_01617
ERR1913048.13937__1.13937	745368__A0A1T4XL98__SAMN02745178_01986
ERR1913048.13968__1.13968	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913048.13986__1.13986	1739406__A0A1S1EEM3__HMPREF2902_09445
ERR1913048.13997__1.13997	1262911__R6GQM3__BN557_01245
ERR1913048.14178__1.14178	147206__GCF_000156215.1_01776
ERR1913048.14422__1.14422	1263000__R5F0P4__BN466_00308
ERR1913048.14450__1.14450	28117__B0MXG8__ALIPUT_01814
ERR1913048.14452__1.14452	1263000__R5EH44__BN466_01492
ERR1913048.14583__1.14583	901__B6WTR9__DESPIG_01476
ERR1913048.14609__1.14609	28117__B0MYI9__BHV66_05415
ERR1913048.14742__1.14742	1897011__A0A1Q6RGG6__BHW41_02770
ERR1913048.14781__1.14781	39491__A0A395V1R3__T1815_08181
ERR1913048.14794__1.14794	901__B6WUN6__DHV46_11020
ERR1913048.14858__1.14858	1262927__R7EX56__BN677_00089
ERR1913048.14886__1.14886	487174__K0X3V7__DIT83_01400
ERR1913048.15026__1.15026	1628085__A0A2U1BH64__C7386_101226
ERR1913048.15107__1.15107	1262927__R7EX56__BN677_00089
ERR1913048.15410__1.15410	147206__GCF_000156215.1_01777
ERR1913048.15974__1.15974	1263000__R5EF60__BN466_01316
ERR1913048.16070__1.16070	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913048.16403__1.16403	1262927__R7EX56__BN677_00089
ERR1913048.16533__1.16533	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913048.16558__1.16558	2108523__A0A2P2F7S5__LAWASA_2095
ERR1913048.16634__1.16634	147207__atpD
ERR1913048.16647__1.16647	1150298__R7JTX5__ERS852535_01291
ERR1913048.16687__1.16687	28117__B0MZ22__BHV66_04430
ERR1913048.16751__1.16751	360807__A0A0M6WHH1__RIL183_16811
ERR1913048.16882__1.16882	1262927__R7EX56__BN677_00089
ERR1913048.16856__1.16856	1263000__R5ELA0__BN466_02255
ERR1913048.16858__1.16858	1262777__R5VT20__BN512_01657
ERR1913048.17581__1.17581	1262927__R7EX56__BN677_00089
ERR1913048.17663__1.17663	745368__A0A1T4XF62__SAMN02745178_01833
ERR1913048.17861__1.17861	487174__K0XG81__HMPREF9448_02274
ERR1913048.18067__1.18067	1262927__R7EX56__BN677_00089
ERR1913048.18131__1.18131	1897011__A0A1Q6RH61__BHW41_01970
ERR1913048.18181__1.18181	28118__R6FY14__NCTC10826_00745
ERR1913048.18558__1.18558	901__B6WQD9__DESPIG_00259
ERR1913048.18876__1.18876	328814__GCA_004558275.1_00018
ERR1913048.18996__1.18996	1897011__A0A1Q6REX0__BHW41_04225
ERR1913048.19059__1.19059	820__A0A174F0C1__nreB
ERR1913048.19119__1.19119	166486__D4KWM6__ERS852572_00729
ERR1913048.19225__1.19225	901__B6WQB0__DHV46_07090
ERR1913048.19433__1.19433	28117__R7JIY2__BHV66_06465
ERR1913048.19452__1.19452	853__A0A3E2V168__FAEPRAM212_00929
ERR1913048.19902__1.19902	46228__V8CCW7__DXD17_07330
ERR1913048.19924__1.19924	1897011__A0A1Q6REW8__BHW41_04435
ERR1913048.19992__1.19992	901__B6WQD9__DESPIG_00259
ERR1913048.20012__1.20012	166486__D4KZ24__ROSINTL182_05766
ERR1913048.20362__1.20362	214856__R6Y0B9__ERS852559_00164
ERR1913048.20557__1.20557	1262886__R6QBQ5__BN563_01294
ERR1913048.20633__1.20633	328814__GCA_004558275.1_00236
ERR1913048.21017__1.21017	147206__GCF_000156215.1_01774
ERR1913048.21128__1.21128	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913048.21492__1.21492	901__B6WUF4__DESPIG_01712
ERR1913048.21530__1.21530	1263000__R5EWT9__BN466_02076
ERR1913048.21536__1.21536	39491__A0A395ZDC6__addB
ERR1913048.21622__1.21622	147206__GCF_000156215.1_01777
ERR1913048.21711__1.21711	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913048.21817__1.21817	214856__A0A174ZZS1__ERS852559_01484
ERR1913048.21882__1.21882	169435__A0A174RJJ3__B5F55_15575
ERR1913048.22031__1.22031	853__A0A173RZ39__C4N22_01650
ERR1913048.22003__1.22003	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913048.22346__1.22346	1262927__R7EX56__BN677_00089
ERR1913048.22347__1.22347	901__B6WUL1__DESPIG_01755
ERR1913048.22383__1.22383	901__B6WRB3__DESPIGER_0300
ERR1913048.22408__1.22408	901__B6WTR4__DESPIGER_1248
ERR1913048.22488__1.22488	1263000__R5EUM2__BN466_01747
ERR1913048.22508__1.22508	1550024__G9RP65__ASJ35_11645
ERR1913048.22751__1.22751	74426__nifJ
ERR1913048.22955__1.22955	328814__GCA_004558275.1_02278
ERR1913048.23085__1.23085	1897011__A0A1Q6RH61__BHW41_01970
ERR1913048.23292__1.23292	1262886__R6QAH7__BN563_01646
ERR1913048.23394__1.23394	1263000__R5EKR4__BN466_01609
ERR1913048.23470__1.23470	1263000__R5EQI3__BN466_00125
ERR1913048.23477__1.23477	446660__GCA_003428235.1_02156
ERR1913048.23609__1.23609	1262886__R6Q9S2__BN563_00641
ERR1913048.23588__1.23588	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913048.24410__1.24410	1501391__GCA_000786575.1_00051
ERR1913048.24901__1.24901	1263044__GCA_000433375.1_00653
ERR1913048.24991__1.24991	572010__hgdC_1
ERR1913048.25051__1.25051	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913048.25127__1.25127	817__Q64N43__HMPREF1205_01348
ERR1913048.25364__1.25364	487174__K0X079__DIT83_00640
ERR1913048.25511__1.25511	214856__R6XUN2__rcsC_1
ERR1913048.25558__1.25558	216816__D6DC91__DXC72_07710
ERR1913048.25631__1.25631	39491__A0A395ZM93__DXD13_03490
ERR1913048.25645__1.25645	147206__GCF_000156215.1_01777
ERR1913048.25674__1.25674	821__A0A174NM17__lacZ_6
ERR1913048.25720__1.25720	853__A0A173TAZ8__DWZ46_14590
ERR1913048.26215__1.26215	46228__V8C7P7__HMPREF1202_01523
ERR1913048.26243__1.26243	46228__V8C7P7__HMPREF1202_01523
ERR1913048.26473__1.26473	246787__A0A0P0FSC9__BACCELL_02534
ERR1913048.26724__1.26724	671266__GCA_004801615.1_00125
ERR1913048.26988__1.26988	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.26967__1.26967	745368__A0A1T4Y178__SAMN02745178_02628
ERR1913048.27187__1.27187	853__A0A329UEG4__CHR60_00585
ERR1913048.27311__1.27311	1501391__GCA_000786575.1_00056
ERR1913048.27324__1.27324	35833__E5Y3G7__HMPREF0179_00728
ERR1913048.27804__1.27804	301301__A0A395V7U1__ycdT
ERR1913048.27934__1.27934	147206__GCF_000156215.1_01775
ERR1913048.28029__1.28029	35833__E5Y6S3__HMPREF0179_01886
ERR1913048.28120__1.28120	74426__rpoC
ERR1913048.28159__1.28159	2108523__A0A2P2F4E1__LAWASA_871
ERR1913048.28371__1.28371	172901__A0A2U1ASZ8__C8D82_1208
ERR1913048.28507__1.28507	446660__GCA_003428235.1_01285
ERR1913048.28584__1.28584	674529__R6VF01__DXB21_13480
ERR1913048.28658__1.28658	204516__U6R9E6__HMPREF1534_03149
ERR1913048.28792__1.28792	487174__K0WUZ1__DIT83_10815
ERR1913048.29041__1.29041	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913048.29201__1.29201	28117__R7JN92__BHV66_00550
ERR1913048.29466__1.29466	1150298__A0A174N5I7__ERS852498_01953
ERR1913048.29529__1.29529	901__B6WVX9__DESPIG_02247
ERR1913048.29617__1.29617	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913048.29625__1.29625	357276__A0A076IYG1__B5F95_22465
ERR1913048.29821__1.29821	820__A0A139JRS5__HMPREF1073_04025
ERR1913048.29872__1.29872	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913048.29884__1.29884	106588__A6P303__BACCAP_04887
ERR1913048.30103__1.30103	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1913048.30447__1.30447	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913048.30604__1.30604	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913048.30795__1.30795	47678__I9EFP9__DXB67_08530
ERR1913048.30903__1.30903	47678__I9EFP9__DXB67_08530
ERR1913048.30964__1.30964	1235835__R9LCU2__C814_02677
ERR1913048.31022__1.31022	28117__B0MWX3__BHV66_03010
ERR1913048.31221__1.31221	853__A0A174AML0__FPR_08640
ERR1913048.31293__1.31293	572010__nifJ
ERR1913048.31663__1.31663	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913048.31744__1.31744	39492__D4JTJ1__EUBSIR_01453
ERR1913048.31994__1.31994	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913048.32152__1.32152	901__B6WVS1__DESPIG_02189
ERR1913048.32374__1.32374	901__B6WY11__DESPIGER_1484
ERR1913048.32456__1.32456	1501391__GCA_000786575.1_00071
ERR1913048.32482__1.32482	216816__A0A0S2MCH0__AYW81_04880
ERR1913048.32543__1.32543	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913048.32654__1.32654	214856__R6Y0B9__ERS852559_00164
ERR1913048.32826__1.32826	28117__B0MYP3__BHV66_04995
ERR1913048.32881__1.32881	39485__C4Z028__ERS852492_00100
ERR1913048.33047__1.33047	214856__R5UN64__ERS852447_02669
ERR1913048.33373__1.33373	853__A0A173T751__C4N24_10280
ERR1913048.33354__1.33354	1150298__R7JUS7__ytlR
ERR1913048.33393__1.33393	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913048.33524__1.33524	1262927__R7EX56__BN677_00089
ERR1913048.33616__1.33616	214856__R6XUN2__rcsC_1
ERR1913048.33675__1.33675	28117__B0MVL5__BHV66_01660
ERR1913048.33694__1.33694	216816__A0A374SVM3__BLSL_0492
ERR1913048.33860__1.33860	39491__A0A395ZE48__DXB76_02395
ERR1913048.34112__1.34112	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913048.34252__1.34252	1262927__R7EX56__BN677_00089
ERR1913048.34321__1.34321	1897011__A0A1Q6RH73__BHW41_01885
ERR1913048.34354__1.34354	28117__B0MXW9__ALIPUT_01981
ERR1913048.34402__1.34402	1262911__R6H2J2__BN557_01228
ERR1913048.35092__1.35092	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913048.35204__1.35204	901__B6WVX9__DESPIG_02247
ERR1913048.35229__1.35229	166486__C7GAX1__ERS852572_03188
ERR1913048.35325__1.35325	74426__sugC
ERR1913048.35364__1.35364	1150298__A0A174CCD5__ERS852406_01310
ERR1913048.35374__1.35374	901__B6WYA8__DESPIGER_1386
ERR1913048.35380__1.35380	1262911__R6H2J2__BN557_01228
ERR1913048.35728__1.35728	166486__D4L0E1__ypdA_4
ERR1913048.35989__1.35989	820__A0A139K4W1__M093_0353
ERR1913048.36302__1.36302	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913048.36529__1.36529	1896974__A0A1Q6H018__BHV77_13175
ERR1913048.36691__1.36691	1235835__R9LCU2__C814_02677
ERR1913048.36787__1.36787	46228__V8CBX9__HMPREF1202_00568
ERR1913048.36978__1.36978	1235835__R9LCU2__C814_02677
ERR1913048.37056__1.37056	216816__A0A1V8RHV4__DXD44_06445
ERR1913048.37127__1.37127	901__B6WUI5__DESPIGER_1817
ERR1913048.37206__1.37206	28117__B0N028__BHV66_05935
ERR1913048.37361__1.37361	1897011__A0A1Q6RGG6__BHW41_02770
ERR1913048.37379__1.37379	821__A0A174RA14__M099_1655
ERR1913048.37391__1.37391	1262889__R7HB16__BN634_02255
ERR1913048.37992__1.37992	1263000__R5ES99__BN466_01121
ERR1913048.38125__1.38125	301301__A0A395VD84__RHOM_09080
ERR1913048.38278__1.38278	39485__C4Z2X2__ERS852492_01808
ERR1913048.38487__1.38487	39492__D4JU30__EUBSIR_00838
ERR1913048.38613__1.38613	29361__B6FKH5__CLONEX_00621
ERR1913048.38669__1.38669	1262927__R7EX56__BN677_00089
ERR1913048.38788__1.38788	901__B6WTW8__DESPIGER_1202
ERR1913048.38870__1.38870	328814__GCA_004558275.1_00296
ERR1913048.39207__1.39207	1501391__GCA_000786575.1_00075
ERR1913048.39270__1.39270	820__A0A174CG08__DXB62_13215
ERR1913048.39303__1.39303	301301__A0A395V6G4__ERS852391_00892
ERR1913048.39490__1.39490	410072__C0B9G1__ERS852525_01203
ERR1913048.39589__1.39589	1262753__R5B0C5__BN813_01872
ERR1913048.40898__1.40898	1897011__A0A1Q6RHB1__BHW41_01830
ERR1913048.40895__1.40895	39485__C4Z1Y9__EUBELI_00143
ERR1913048.41258__1.41258	28117__B0MTV3__BHV66_06405
ERR1913048.41824__1.41824	1263044__GCA_000433375.1_01144
ERR1913048.41880__1.41880	1263006__R6LWN2__BN515_02179
ERR1913048.41908__1.41908	1897011__A0A1Q6RDY7__BHW41_05255
ERR1913048.42299__1.42299	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913048.42354__1.42354	853__A0A173T0Y8__CGS54_07215
ERR1913048.42845__1.42845	1263000__R5EPJ2__BN466_00954
ERR1913048.43119__1.43119	853__A8SB03__C4Q21_07960
ERR1913048.43287__1.43287	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913048.43560__1.43560	1897011__A0A1Q6RIP7__BHW41_00530
ERR1913048.43676__1.43676	1263000__R5EMW8__BN466_00256
ERR1913048.43912__1.43912	1262927__R7EX56__BN677_00089
ERR1913048.43989__1.43989	166486__D4KRN2__ERS852572_01816
ERR1913048.44079__1.44079	1263000__R5EU91__BN466_01432
ERR1913048.44682__1.44682	1550024__A0A3B9WGK5__TQ39_08450
ERR1913048.44718__1.44718	39491__C4Z9K7__EUBREC_0050
ERR1913048.44875__1.44875	901__B6WUN6__DHV46_11020
ERR1913048.45207__1.45207	360807__A0A0M6WXP1__ROSEINA2194_03223
ERR1913048.45213__1.45213	74426__rpoB
ERR1913048.45572__1.45572	166486__D4KYD7__ERS852572_03817
ERR1913048.45643__1.45643	28117__B0MTV5__BHV66_06415
ERR1913048.45996__1.45996	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913048.46281__1.46281	1897011__A0A1Q6RDI3__BHW41_05415
ERR1913048.46251__1.46251	901__B6WQM5__cobM
ERR1913048.46662__1.46662	853__A0A173RZ39__C4N22_01650
ERR1913048.46664__1.46664	820__A0A3E5BMG9__DXD40_05130
ERR1913048.47276__1.47276	74426__nifJ
ERR1913048.47545__1.47545	901__A0A1K1LG50__DESPIG_01817
ERR1913048.47712__1.47712	28117__B0MTV0__BHV66_06395
ERR1913048.47754__1.47754	246787__A0A0P0FV02__AA416_03728
ERR1913048.48113__1.48113	166486__D4KY84__ERS852572_02606
ERR1913048.48141__1.48141	901__B6WXS9__pssA
ERR1913048.48216__1.48216	166486__D4KM62__ERS852572_03251
ERR1913048.48487__1.48487	74426__purL
ERR1913048.48496__1.48496	214856__A0A174CRY5__ERS852559_01060
ERR1913048.48741__1.48741	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913048.48868__1.48868	74426__purL
ERR1913048.49297__1.49297	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913048.49706__1.49706	821__A0A174MBW9__SAMN04487923_10272
ERR1913048.49713__1.49713	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913048.49828__1.49828	1262911__R6H0S8__BN557_01079
ERR1913048.50691__1.50691	1262911__R6H2J2__BN557_01228
ERR1913048.50731__1.50731	28117__B0MTV3__BHV66_06405
ERR1913048.50734__1.50734	1262893__R5GKW3__BN782_01660
ERR1913048.50910__1.50910	901__B6WVE1__DESPIGER_2036
ERR1913048.51016__1.51016	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913048.51145__1.51145	901__B6WTQ4__DESPIGER_1255
ERR1913048.51614__1.51614	820__A0A174CG08__DXB62_13215
ERR1913048.51758__1.51758	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913048.52461__1.52461	853__A0A2A7B9I6__DW855_13690
ERR1913048.52519__1.52519	1263000__R5ETL6__BN466_01607
ERR1913048.52617__1.52617	39488__A0A285PQP4__DXD91_02025
ERR1913048.52653__1.52653	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913048.52704__1.52704	1262927__R7EX56__BN677_00089
ERR1913048.52754__1.52754	853__A0A3E2U7E6__ERS852582_01640
ERR1913048.53424__1.53424	46228__V8CD18__DXD17_11645
ERR1913048.53434__1.53434	166486__D4KX29__ROSINTL182_09734
ERR1913048.53498__1.53498	360807__C0FSM3__ROSEINA2194_01739
ERR1913048.53618__1.53618	1262927__R7EX56__BN677_00089
ERR1913048.53946__1.53946	901__B6WXD6__DHV46_02215
ERR1913048.54028__1.54028	166486__D4KV78__aroA
ERR1913048.54034__1.54034	853__A0A2A6Z8X1__FPR_03410
ERR1913048.54038__1.54038	1262927__R7EX56__BN677_00089
ERR1913048.54239__1.54239	376805__F0R8B1__Bacsa_3573
ERR1913048.54366__1.54366	166486__D4KUE4__ROSINTL182_08606
ERR1913048.55260__1.55260	1262927__R7EX56__BN677_00089
ERR1913048.55383__1.55383	1263000__R5EF60__BN466_01316
ERR1913048.55471__1.55471	1897011__A0A1Q6RET2__BHW41_04000
ERR1913048.55641__1.55641	394340__infB
ERR1913048.55672__1.55672	853__A0A173RZ39__C4N22_01650
ERR1913048.55719__1.55719	901__B6WV45__DESPIGER_1962
ERR1913048.56431__1.56431	35833__E5Y2U0__HMPREF0179_00454
ERR1913048.56584__1.56584	1263000__R5EXT3__BN466_02213
ERR1913048.56858__1.56858	901__B6WX15__DESPIG_02640
ERR1913048.56937__1.56937	35833__S2KT88__HMPREF0179_05280
ERR1913048.57228__1.57228	28117__R7JJM9__ALIPUT_00662
ERR1913048.57477__1.57477	901__A0A1K1LGQ2__DESPIG_02072
ERR1913048.57916__1.57916	216816__C5E9A6__mutT4
ERR1913048.57896__1.57896	39485__A0A174YRS0__ERS852492_00307
ERR1913048.58512__1.58512	1262992__R5DBS7__BN795_00217
ERR1913048.58608__1.58608	39485__C4Z058__ERS852492_00130
ERR1913048.58660__1.58660	1550024__G9RPK6__TQ39_05330
ERR1913048.58746__1.58746	301301__A0A395V7C8__RHOM_02390
ERR1913048.59004__1.59004	28117__B0MWZ9__ALIPUT_01735
ERR1913048.59019__1.59019	1897011__A0A1Q6RCY0__BHW41_05945
ERR1913048.59184__1.59184	1235835__R9LCU2__C814_02677
ERR1913048.59433__1.59433	1628085__A0A396MGZ2__C7386_12111
ERR1913048.59507__1.59507	1263000__R5EAZ0__BN466_00537
ERR1913048.59567__1.59567	46228__V8C5T7__DXD17_10485
ERR1913048.59794__1.59794	28117__B0MXU0__BHV66_07550
ERR1913048.60166__1.60166	328814__GCA_004558275.1_00294
ERR1913048.60218__1.60218	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913048.60300__1.60300	821__A0A395US34__C5Z04_18975
ERR1913048.60660__1.60660	216816__D6D9A3__BLNIAS_01911
ERR1913048.60664__1.60664	901__B6WUH5__DESPIGER_1779
ERR1913048.60665__1.60665	1262889__R7H9A4__BN634_00112
ERR1913048.60986__1.60986	901__B6WV45__DESPIGER_1962
ERR1913048.61045__1.61045	28117__B0MTH2__ALIPUT_00061
ERR1913048.61055__1.61055	853__A0A174UDE9__C4N25_12775
ERR1913048.61170__1.61170	552398__F4XHN7__HMPREF0866_03141
ERR1913048.61295__1.61295	74426__rpoC
ERR1913048.61500__1.61500	1263000__R5EUM2__BN466_01747
ERR1913048.61589__1.61589	901__B6WYA8__DESPIGER_1386
ERR1913048.61867__1.61867	216816__D6DD25__APC1482_1109
ERR1913048.61873__1.61873	28117__B0MYW5__ALIPUT_02334
ERR1913048.62084__1.62084	28117__B0MY40__BHV66_05170
ERR1913048.62269__1.62269	853__A0A174UDE9__C4N25_12775
ERR1913048.62274__1.62274	853__E2ZGD9__C7J97_11715
ERR1913048.62240__1.62240	901__B6WY50__DESPIGER_1446
ERR1913048.62333__1.62333	820__A0A174B4N2__M093_2531
ERR1913048.62496__1.62496	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913048.62818__1.62818	28117__B0MVL2__BHV66_01645
ERR1913048.62865__1.62865	1262911__R6GZW9__BN557_00833
ERR1913048.62987__1.62987	901__B6WXH1__DESPIGER_1644
ERR1913048.63569__1.63569	1897011__A0A1Q6RF88__BHW41_03295
ERR1913048.63674__1.63674	147206__GCF_000156215.1_01776
ERR1913048.63690__1.63690	214856__A0A175A6T5__ERS852447_02658
ERR1913048.63736__1.63736	853__A0A174C5M1__CGS58_04460
ERR1913048.64329__1.64329	328814__GCA_004558275.1_01005
ERR1913048.64391__1.64391	1262744__R6FST0__BN744_00381
ERR1913048.64486__1.64486	1897011__A0A1Q6REZ1__BHW41_04525
ERR1913048.64955__1.64955	28117__B0MYP3__BHV66_04995
ERR1913048.65046__1.65046	901__B6WUL1__DESPIG_01755
ERR1913048.65108__1.65108	292800__A0A174UQD2__B5F52_18205
ERR1913048.65184__1.65184	371601__I9ABK9__B5E50_12420
ERR1913048.65200__1.65200	1262992__R5DCU3__BN795_00404
ERR1913048.65419__1.65419	216816__A0A396FRQ5__DD678_01245
ERR1913048.65549__1.65549	172901__A0A2U1API3__C8D82_1273
ERR1913048.65687__1.65687	1262824__R6RM20__BN719_01820
ERR1913048.65793__1.65793	74426__pflB_2
ERR1913048.65905__1.65905	821__A0A395UNT8__DXD64_15275
ERR1913048.65893__1.65893	394340__gyrB
ERR1913048.65941__1.65941	901__B6WTW8__DESPIGER_1202
ERR1913048.65971__1.65971	1897011__A0A1Q6REV3__BHW41_04080
ERR1913048.66043__1.66043	214856__A0A175A6T5__ERS852447_02658
ERR1913048.66080__1.66080	28117__B0MY36__BHV66_05185
ERR1913048.66148__1.66148	901__B6WY35__DESPIGER_1461
ERR1913048.66498__1.66498	446660__GCA_003428235.1_00291
ERR1913048.66712__1.66712	1262777__R5VH86__BN512_00766
ERR1913048.67317__1.67317	901__B6WTW8__DESPIGER_1202
ERR1913048.67606__1.67606	901__B6WRI9__DESPIGER_0385
ERR1913048.68313__1.68313	1105031__J1H3W2__HMPREF1141_2783
ERR1913048.68900__1.68900	487174__R5F3K6__DDY40_04230
ERR1913048.69012__1.69012	446660__GCA_003428235.1_02156
ERR1913048.69155__1.69155	1263044__GCA_000433375.1_00904
ERR1913048.69579__1.69579	853__A0A173T0Y8__CGS54_07215
ERR1913048.69640__1.69640	1262927__R7EX56__BN677_00089
ERR1913048.69877__1.69877	853__A0A173RZ39__C4N22_01650
ERR1913048.70009__1.70009	214856__A0A175A6T5__ERS852447_02658
ERR1913048.70097__1.70097	28117__B0MY40__BHV66_05170
ERR1913048.70199__1.70199	901__B6WX96__DHV46_02375
ERR1913048.70461__1.70461	853__A0A174UDE9__C4N25_12775
ERR1913048.70913__1.70913	28117__B0MWP2__ALIPUT_01468
ERR1913048.71323__1.71323	901__B6WUI5__DESPIGER_1817
ERR1913048.71361__1.71361	901__B6WUN9__DESPIGER_1850
ERR1913048.71458__1.71458	901__B6WVN3__DHV46_02690
ERR1913048.71672__1.71672	46228__V8CGF0__HMPREF1202_00126
ERR1913048.71756__1.71756	1262913__R7JDJ2__BN646_01863
ERR1913048.71801__1.71801	821__A0A396EVC9__DXB90_03525
ERR1913048.71807__1.71807	394340__purL
