study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	read_count	base_count	fastq_ftp	submitted_ftp	sra_ftp
PRJEB17784	SAMEA103958125	ERX1973533	ERR1912956	408170	human gut metagenome	7392545	1279180509	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/006/ERR1912956/ERR1912956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/006/ERR1912956/ERR1912956_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912956/PD-22-11-0-0_14s005976-4-1_lane4.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912956/PD-22-11-0-0_14s005976-4-1_lane4.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/006/ERR1912956
PRJEB17784	SAMEA103958159	ERX1973534	ERR1912957	408170	human gut metagenome	10292444	2189407382	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/007/ERR1912957/ERR1912957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/007/ERR1912957/ERR1912957_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912957/DC-12-11-0-0_16s000083-1-1_lane5.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912957/DC-12-11-0-0_16s000083-1-1_lane5.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/007/ERR1912957
PRJEB17784	SAMEA103958114	ERX1973535	ERR1912958	408170	human gut metagenome	6787153	1576966739	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1912958/ERR1912958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1912958/ERR1912958_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912958/PD-21-11-0-0_15s012403-1-1_lane6.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912958/PD-21-11-0-0_15s012403-1-1_lane6.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/008/ERR1912958
PRJEB17784	SAMEA103958114	ERX1973536	ERR1912959	408170	human gut metagenome	8282699	2004225686	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/009/ERR1912959/ERR1912959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/009/ERR1912959/ERR1912959_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912959/PD-21-11-0-0_15s012403-2-1_lane7.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912959/PD-21-11-0-0_15s012403-2-1_lane7.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/009/ERR1912959
PRJEB17784	SAMEA103958114	ERX1973537	ERR1912960	408170	human gut metagenome	7229714	1735732090	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912960/ERR1912960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912960/ERR1912960_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912960/PD-21-11-0-0_15s012403-3-1_lane8.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912960/PD-21-11-0-0_15s012403-3-1_lane8.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/000/ERR1912960
PRJEB17784	SAMEA103958137	ERX1973538	ERR1912961	408170	human gut metagenome	6368859	1450537734	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/001/ERR1912961/ERR1912961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/001/ERR1912961/ERR1912961_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912961/CO-03-11-0-0_15s012616-1-1_lane6.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912961/CO-03-11-0-0_15s012616-1-1_lane6.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/001/ERR1912961
PRJEB17784	SAMEA103958137	ERX1973539	ERR1912962	408170	human gut metagenome	8208955	1946352875	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/002/ERR1912962/ERR1912962_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/002/ERR1912962/ERR1912962_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912962/CO-03-11-0-0_15s012616-2-1_lane7.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912962/CO-03-11-0-0_15s012616-2-1_lane7.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/002/ERR1912962
PRJEB17784	SAMEA103958137	ERX1973540	ERR1912963	408170	human gut metagenome	6902492	1631088141	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/003/ERR1912963/ERR1912963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/003/ERR1912963/ERR1912963_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912963/CO-03-11-0-0_15s012616-3-1_lane8.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912963/CO-03-11-0-0_15s012616-3-1_lane8.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/003/ERR1912963
PRJEB17784	SAMEA103958130	ERX1973541	ERR1912964	408170	human gut metagenome	5058299	1160006631	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/004/ERR1912964/ERR1912964_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/004/ERR1912964/ERR1912964_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912964/PD-20-11-0-0_15s012404-1-1_lane6.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912964/PD-20-11-0-0_15s012404-1-1_lane6.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/004/ERR1912964
PRJEB17784	SAMEA103958130	ERX1973542	ERR1912965	408170	human gut metagenome	6428619	1534576421	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/005/ERR1912965/ERR1912965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/005/ERR1912965/ERR1912965_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912965/PD-20-11-0-0_15s012404-2-1_lane7.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912965/PD-20-11-0-0_15s012404-2-1_lane7.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/005/ERR1912965
PRJEB17784	SAMEA103958130	ERX1973543	ERR1912966	408170	human gut metagenome	5494034	1300639355	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/006/ERR1912966/ERR1912966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/006/ERR1912966/ERR1912966_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912966/PD-20-11-0-0_15s012404-3-1_lane8.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912966/PD-20-11-0-0_15s012404-3-1_lane8.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/006/ERR1912966
PRJEB17784	SAMEA103958121	ERX1973544	ERR1912967	408170	human gut metagenome	8916481	1541252614	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/007/ERR1912967/ERR1912967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/007/ERR1912967/ERR1912967_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912967/PD-01-11-0-0_14s005974-1-1_lane1.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912967/PD-01-11-0-0_14s005974-1-1_lane1.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/007/ERR1912967
PRJEB17784	SAMEA103958121	ERX1973545	ERR1912968	408170	human gut metagenome	8851743	1531800436	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1912968/ERR1912968_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1912968/ERR1912968_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912968/PD-01-11-0-0_14s005974-2-1_lane2.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912968/PD-01-11-0-0_14s005974-2-1_lane2.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/008/ERR1912968
PRJEB17784	SAMEA103958121	ERX1973546	ERR1912969	408170	human gut metagenome	8870936	1577452395	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/009/ERR1912969/ERR1912969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/009/ERR1912969/ERR1912969_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912969/PD-01-11-0-0_14s005974-3-1_lane3.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912969/PD-01-11-0-0_14s005974-3-1_lane3.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/009/ERR1912969
PRJEB17784	SAMEA103958121	ERX1973547	ERR1912970	408170	human gut metagenome	8820793	1525486651	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912970/ERR1912970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912970/ERR1912970_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912970/PD-01-11-0-0_14s005974-4-1_lane4.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912970/PD-01-11-0-0_14s005974-4-1_lane4.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/000/ERR1912970
PRJEB17784	SAMEA103958161	ERX1973548	ERR1912971	408170	human gut metagenome	11931925	2498977499	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/001/ERR1912971/ERR1912971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/001/ERR1912971/ERR1912971_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912971/DC-14-11-0-0_16s000085-1-1_lane5.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912971/DC-14-11-0-0_16s000085-1-1_lane5.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/001/ERR1912971
PRJEB17784	SAMEA103958134	ERX1973549	ERR1912972	408170	human gut metagenome	9408354	1668540267	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/002/ERR1912972/ERR1912972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/002/ERR1912972/ERR1912972_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912972/PD-11-11-0-0_14s005973-1-1_lane1.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912972/PD-11-11-0-0_14s005973-1-1_lane1.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/002/ERR1912972
PRJEB17784	SAMEA103958134	ERX1973550	ERR1912973	408170	human gut metagenome	9326129	1655729388	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/003/ERR1912973/ERR1912973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/003/ERR1912973/ERR1912973_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912973/PD-11-11-0-0_14s005973-2-1_lane2.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912973/PD-11-11-0-0_14s005973-2-1_lane2.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/003/ERR1912973
PRJEB17784	SAMEA103958134	ERX1973551	ERR1912974	408170	human gut metagenome	9233687	1642906396	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/004/ERR1912974/ERR1912974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/004/ERR1912974/ERR1912974_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912974/PD-11-11-0-0_14s005973-3-1_lane3.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912974/PD-11-11-0-0_14s005973-3-1_lane3.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/004/ERR1912974
PRJEB17784	SAMEA103958134	ERX1973552	ERR1912975	408170	human gut metagenome	9170128	1626187884	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/005/ERR1912975/ERR1912975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/005/ERR1912975/ERR1912975_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912975/PD-11-11-0-0_14s005973-4-1_lane4.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912975/PD-11-11-0-0_14s005973-4-1_lane4.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/005/ERR1912975
PRJEB17784	SAMEA103958116	ERX1973553	ERR1912976	408170	human gut metagenome	4706482	1031676029	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/006/ERR1912976/ERR1912976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/006/ERR1912976/ERR1912976_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912976/PD-36-11-0-0_15s012400-1-1_lane6.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912976/PD-36-11-0-0_15s012400-1-1_lane6.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/006/ERR1912976
PRJEB17784	SAMEA103958116	ERX1973554	ERR1912977	408170	human gut metagenome	6118189	1412950639	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/007/ERR1912977/ERR1912977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/007/ERR1912977/ERR1912977_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912977/PD-36-11-0-0_15s012400-2-1_lane7.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912977/PD-36-11-0-0_15s012400-2-1_lane7.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/007/ERR1912977
PRJEB17784	SAMEA103958116	ERX1973555	ERR1912978	408170	human gut metagenome	5170047	1192252894	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1912978/ERR1912978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1912978/ERR1912978_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912978/PD-36-11-0-0_15s012400-3-1_lane8.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912978/PD-36-11-0-0_15s012400-3-1_lane8.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/008/ERR1912978
PRJEB17784	SAMEA103958150	ERX1973556	ERR1912979	408170	human gut metagenome	7149452	1224718785	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/009/ERR1912979/ERR1912979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/009/ERR1912979/ERR1912979_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912979/DC-06-11-0-0_15s013030-1-1_lane1.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912979/DC-06-11-0-0_15s013030-1-1_lane1.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/009/ERR1912979
PRJEB17784	SAMEA103958150	ERX1973557	ERR1912980	408170	human gut metagenome	6960800	1192268637	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912980/ERR1912980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912980/ERR1912980_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912980/DC-06-11-0-0_15s013030-2-1_lane2.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912980/DC-06-11-0-0_15s013030-2-1_lane2.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/000/ERR1912980
PRJEB17784	SAMEA103958150	ERX1973558	ERR1912981	408170	human gut metagenome	6940326	1187630406	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/001/ERR1912981/ERR1912981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/001/ERR1912981/ERR1912981_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912981/DC-06-11-0-0_15s013030-3-1_lane3.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912981/DC-06-11-0-0_15s013030-3-1_lane3.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/001/ERR1912981
PRJEB17784	SAMEA103958150	ERX1973559	ERR1912982	408170	human gut metagenome	6948045	1190958345	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/002/ERR1912982/ERR1912982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/002/ERR1912982/ERR1912982_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912982/DC-06-11-0-0_15s013030-4-1_lane4.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912982/DC-06-11-0-0_15s013030-4-1_lane4.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/002/ERR1912982
PRJEB17784	SAMEA103958131	ERX1973560	ERR1912983	408170	human gut metagenome	5004878	1174801583	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/003/ERR1912983/ERR1912983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/003/ERR1912983/ERR1912983_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912983/PD-38-11-0-0_15s012617-1-1_lane6.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1912983/PD-38-11-0-0_15s012617-1-1_lane6.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/003/ERR1912983
