ERR1912995.212__1.212	301302__A0A173RZU9__M72_23561
ERR1912995.8387__1.8387	1680__A0A2R4G1K8__BBMN23_0315
ERR1912995.8431__1.8431	45851__D4RYS8__BUTYVIB_00989
ERR1912995.8806__1.8806	1262936__R7IYJ1__BN799_00810
ERR1912995.9204__1.9204	1262882__R5MKV8__BN519_01281
ERR1912995.9245__1.9245	1897011__A0A1Q6RGX0__BHW41_01465
ERR1912995.9327__1.9327	239935__A0A2N8I3G2__CXT89_00720
ERR1912995.9534__1.9534	1262936__R7IYJ1__BN799_00810
ERR1912995.9729__1.9729	165179__A0A3E5E4P9__DXB80_07930
ERR1912995.10577__1.10577	301302__A0A173TZN3__M72_00321
ERR1912995.10807__1.10807	40518__R5DZ88__DXD93_06320
ERR1912995.10832__1.10832	301302__A0A173R6H4__M72_21671
ERR1912995.11085__1.11085	147206__GCF_000156215.1_01775
ERR1912995.11621__1.11621	45851__D4RWI2__BHV86_07325
ERR1912995.11954__1.11954	901__B6WUN6__DHV46_11020
ERR1912995.12136__1.12136	1680__A0A374QDL4__LMG18897_0432
ERR1912995.12246__1.12246	292800__A0A174NIK9__rbsC_3
ERR1912995.12545__1.12545	292800__A0A174NIK9__rbsC_3
ERR1912995.12871__1.12871	901__A0A1K1LGQ2__DESPIG_02072
ERR1912995.12935__1.12935	901__A0A1K1LG50__DESPIG_01817
ERR1912995.13022__1.13022	1628085__A0A374VP93__C7386_10150
ERR1912995.13395__1.13395	901__B6WXH1__DESPIGER_1644
ERR1912995.13686__1.13686	45851__D4S1R7__BUTYVIB_02039
ERR1912995.13711__1.13711	28111__R5JQQ7__NCTC11155_02278
ERR1912995.13740__1.13740	1262936__R7IYW8__BN799_00842
ERR1912995.13789__1.13789	239935__B2UQB8__CXT86_01740
ERR1912995.13853__1.13853	901__B6WUN6__DHV46_11020
ERR1912995.14857__1.14857	39488__A0A374NJV6__EUBHAL_02710
ERR1912995.14956__1.14956	1263000__R5EFA7__BN466_01197
ERR1912995.14958__1.14958	1262936__R7IY33__BN799_00622
ERR1912995.15181__1.15181	338188__C9L2F6__ERS852397_02011
ERR1912995.15373__1.15373	1262936__R7IYW8__BN799_00842
ERR1912995.15354__1.15354	901__B6WX15__DESPIG_02640
ERR1912995.15393__1.15393	1262924__R7HNL2__BN585_01068
ERR1912995.15397__1.15397	1680__A0A087DHN0__AL0462_1532
ERR1912995.15544__1.15544	1628085__A0A1C6C323__C7386_10747
ERR1912995.15512__1.15512	1262936__R7IY78__BN799_00717
ERR1912995.15586__1.15586	901__B6WQD5__DESPIG_00255
ERR1912995.15591__1.15591	820__A0A173WUD7__DXB48_08055
ERR1912995.15773__1.15773	2173__A0A1D2WRQ8__METSMIALI_00487
ERR1912995.15825__1.15825	301302__A0A173T010__M72_26571
ERR1912995.15845__1.15845	1680__A0A0C2VBJ4__birA
ERR1912995.15846__1.15846	39491__A0A174K9A3__DXB69_07785
ERR1912995.15926__1.15926	147206__GCF_000156215.1_01777
ERR1912995.16207__1.16207	1262882__R5MQ68__BN519_01178
ERR1912995.16389__1.16389	418240__A0A173WPF0__spoIIIAE
ERR1912995.16644__1.16644	1262882__R5MY46__BN519_00355
ERR1912995.16674__1.16674	1262882__R5MY46__BN519_00355
ERR1912995.16824__1.16824	1680__A7A2Y2__NCTC11814_00537
ERR1912995.16869__1.16869	853__A0A3E2V168__FAEPRAM212_00929
ERR1912995.16910__1.16910	626940__E8LDB3__prkC
ERR1912995.17151__1.17151	1680__A0A174BEE7__BSTER_1311
ERR1912995.17236__1.17236	239935__A0A3F3KBB8__CXU16_06755
ERR1912995.17297__1.17297	901__B6WXD6__DHV46_02215
ERR1912995.17359__1.17359	28052__R7N6Q7__rafA
ERR1912995.17631__1.17631	1263027__R6ZT42__BN699_02013
ERR1912995.17632__1.17632	1263027__R6ZT42__BN699_02013
ERR1912995.17739__1.17739	1262911__R6H174__BN557_01246
ERR1912995.17956__1.17956	1680__A0A374QDL4__LMG18897_0432
ERR1912995.18069__1.18069	40519__U2KGF3__RUMCAL_00014
ERR1912995.18042__1.18042	1262936__R7J420__BN799_00406
ERR1912995.18305__1.18305	28052__A0A174MH21__ERS852499_01905
ERR1912995.18593__1.18593	40518__R5DUG7__sbcC
ERR1912995.18721__1.18721	1680__A0A374QDL4__LMG18897_0432
ERR1912995.18785__1.18785	28111__E5WYC3__NCTC11155_03517
ERR1912995.19482__1.19482	45851__D4RWR5__BHV86_06295
ERR1912995.19528__1.19528	45851__D4RZF4__BUTYVIB_01220
ERR1912995.19795__1.19795	100884__E7GFK8__HMPREF9488_03551
ERR1912995.19869__1.19869	165179__A0A3E4SB95__DXC61_13455
ERR1912995.19922__1.19922	1735__B7CE14__EUBIFOR_02449
ERR1912995.19954__1.19954	301301__A0A395V7P2__ERS852391_05080
ERR1912995.20198__1.20198	610243__A0A060QJF7__ASAP_2763
ERR1912995.20403__1.20403	2022527__A0A264Y5J5__CHL74_11035
ERR1912995.20515__1.20515	901__B6WTR9__DESPIG_01476
ERR1912995.20926__1.20926	446660__GCA_003428235.1_00882
ERR1912995.21189__1.21189	216816__B3DNW2__BL171B_07980
ERR1912995.21925__1.21925	239935__A0A2N8HMQ8__pgsA
ERR1912995.22246__1.22246	165179__A0A3E5E4P9__DXB80_07930
ERR1912995.22374__1.22374	901__B6WTT7__DESPIG_01494
ERR1912995.22937__1.22937	1262936__R7J1Q2__BN799_01767
ERR1912995.22960__1.22960	1262911__R6GKS1__BN557_00184
ERR1912995.23201__1.23201	40520__R7DAS6__ERS852533_00380
ERR1912995.23251__1.23251	239935__A0A3F3K9J9__DEF40_00940
ERR1912995.23312__1.23312	147206__GCF_000156215.1_01777
ERR1912995.23383__1.23383	1262936__R7J0S3__BN799_01459
ERR1912995.23554__1.23554	572010__rpoB
ERR1912995.23808__1.23808	1262936__R7J116__BN799_01346
ERR1912995.24639__1.24639	45851__D4RZ84__BUTYVIB_01149
ERR1912995.24806__1.24806	1680__A0A0C2VBJ4__birA
ERR1912995.24921__1.24921	45851__D4RXA4__BUTYVIB_00455
ERR1912995.24990__1.24990	1262936__R7J2K7__BN799_00229
ERR1912995.25065__1.25065	1680__A0A374QDL4__LMG18897_0432
ERR1912995.25427__1.25427	1680__A0A174BEE7__BSTER_1311
ERR1912995.25428__1.25428	1680__A0A174BEE7__BSTER_1311
ERR1912995.25467__1.25467	45851__D4S2J5__BUTYVIB_02317
ERR1912995.25582__1.25582	216816__Q8G4X6__DXD52_09895
ERR1912995.27279__1.27279	1262924__R7HML0__BN585_01508
ERR1912995.27381__1.27381	1262936__R7J1V8__BN799_00957
ERR1912995.27401__1.27401	45851__D4RXN5__BUTYVIB_00586
ERR1912995.27619__1.27619	28052__A0A174YGN0__mcp4_2
ERR1912995.27697__1.27697	216816__C5E9A6__mutT4
ERR1912995.27724__1.27724	45851__D4RYA4__BHV86_02030
ERR1912995.27866__1.27866	1262936__R7IY33__BN799_00622
ERR1912995.27812__1.27812	1262911__R6HHR1__BN557_01622
ERR1912995.28009__1.28009	1680__A0A087DHN0__AL0462_1532
ERR1912995.28169__1.28169	45851__D4RWC6__BHV86_07010
ERR1912995.28357__1.28357	1897011__A0A1Q6RHB1__BHW41_01830
ERR1912995.28445__1.28445	1263027__R6ZHU0__BN699_00079
ERR1912995.28657__1.28657	301302__R5UQ61__M72_23071
ERR1912995.28754__1.28754	100884__E7GFK8__HMPREF9488_03551
ERR1912995.28773__1.28773	39485__A0A174ZNW9__luxQ_1
ERR1912995.28901__1.28901	2022527__A0A264YA09__CHL74_03035
ERR1912995.29190__1.29190	100884__E7GFK8__HMPREF9488_03551
ERR1912995.29686__1.29686	1262954__R7FCM4__BN611_00058
ERR1912995.29709__1.29709	216816__E8MVM4__APC1480_1562
ERR1912995.30301__1.30301	1262882__R5N2U9__BN519_01221
ERR1912995.30355__1.30355	1680__A0A0C2VBJ4__birA
ERR1912995.30653__1.30653	384638__B7APN3__BACPEC_00639
ERR1912995.30668__1.30668	45851__D4RZ84__BUTYVIB_01149
ERR1912995.30891__1.30891	40518__R5DXH2__DXD83_10135
ERR1912995.31389__1.31389	39486__B0G5S8__DXC93_00210
ERR1912995.31475__1.31475	853__A0A174C5M1__CGS58_04460
ERR1912995.31561__1.31561	552398__F4XCQ4__HMPREF0866_01621
ERR1912995.31788__1.31788	45851__D4RYI3__BHV86_01630
ERR1912995.31994__1.31994	239935__A0A2N8HUU6__CXT90_06150
ERR1912995.32061__1.32061	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1912995.32079__1.32079	1263027__R7A006__BN699_02145
ERR1912995.32330__1.32330	301302__A0A0M6WKN8__M72_27741
ERR1912995.32475__1.32475	1680__R5GKP2__DXD60_06200
ERR1912995.33085__1.33085	1150298__A0A174PC05__ERS852498_00682
ERR1912995.33384__1.33384	39485__R5ZSH7__EUBELI_00953
ERR1912995.33426__1.33426	39485__R5ZHA7__ERS852490_00039
ERR1912995.33476__1.33476	1263000__R5EXT3__BN466_02213
ERR1912995.33610__1.33610	74426__groL
ERR1912995.33825__1.33825	1262936__R7J3B1__BN799_00034
ERR1912995.33849__1.33849	1628085__A0A3E2XST6__C7386_11832
ERR1912995.34198__1.34198	552398__F4XCQ4__HMPREF0866_01621
ERR1912995.34267__1.34267	1655__A0A1Q8VM35__BKH25_11430
ERR1912995.34484__1.34484	1680__A0A173XYA2__B0703_0121
ERR1912995.34794__1.34794	1262936__R7J2D3__BN799_01784
ERR1912995.34929__1.34929	1262911__R6H2J2__BN557_01228
ERR1912995.34990__1.34990	45851__R5LTE7__BHV86_04805
ERR1912995.35435__1.35435	1680__A0A173Y6N7__yhaH
ERR1912995.35519__1.35519	74426__purL
ERR1912995.35973__1.35973	901__B6WW26__DESPIG_02294
ERR1912995.36080__1.36080	1262936__R7IYJ1__BN799_00810
ERR1912995.36145__1.36145	74426__purL
ERR1912995.36302__1.36302	901__B6WR13__DHV46_00815
ERR1912995.36671__1.36671	1680__A1A1R1__BIFADO_00076
ERR1912995.37086__1.37086	147206__GCF_000156215.1_01777
ERR1912995.37496__1.37496	2292352__A0A374UNV2__DXC23_05215
ERR1912995.37538__1.37538	1628085__A0A1C5ZCR8__C7386_10447
ERR1912995.37614__1.37614	901__A0A1K1LI09__BHW59_05710
ERR1912995.37615__1.37615	28052__A0A174P635__ERS852499_02418
ERR1912995.37835__1.37835	45851__D4RY08__BUTYVIB_00711
ERR1912995.38164__1.38164	471189__GCA_003340385.1_00243
ERR1912995.38351__1.38351	147206__GCF_000156215.1_01775
ERR1912995.38634__1.38634	1262992__R5D6G0__BN795_00277
ERR1912995.38715__1.38715	1262959__R5Y6L0__BN680_01484
ERR1912995.38724__1.38724	1680__A0A374QDL4__LMG18897_0432
ERR1912995.38839__1.38839	239935__A0A2N8IMC3__CXT96_03840
ERR1912995.39035__1.39035	1262911__R6GZW9__BN557_00833
ERR1912995.39439__1.39439	301302__A0A0M6WWE7__ERS852420_01309
ERR1912995.39478__1.39478	1680__A0A0C2VBJ4__birA
ERR1912995.39616__1.39616	1262936__R7J247__BN799_01051
ERR1912995.39702__1.39702	1628085__A0A374VS54__C7386_101156
ERR1912995.39833__1.39833	2022527__A0A264Y4B7__CHL74_13115
ERR1912995.39843__1.39843	1263000__R5EXT3__BN466_02213
ERR1912995.39909__1.39909	1628085__A0A2U1BH64__C7386_101226
ERR1912995.40086__1.40086	74426__thrZ
ERR1912995.40237__1.40237	1680__A0A174BEE7__BSTER_1311
ERR1912995.40278__1.40278	745368__A0A1T4Y7W7__SAMN02745178_02825
ERR1912995.40371__1.40371	45851__D4RWJ7__BHV86_05950
ERR1912995.40418__1.40418	1680__A0A174BEE7__BSTER_1311
ERR1912995.40503__1.40503	40518__R5DTJ1__DXD86_03635
ERR1912995.40509__1.40509	1262936__R7J429__BN799_00416
ERR1912995.40692__1.40692	1550024__A0A3B9WLJ1__TQ39_10125
ERR1912995.40854__1.40854	1262924__R7HNL2__BN585_01068
ERR1912995.40906__1.40906	1680__A0A076JNH5__DXC60_03835
ERR1912995.40987__1.40987	1262936__R7J5M6__BN799_00272
ERR1912995.41066__1.41066	1897011__A0A1Q6RI70__BHW41_00995
ERR1912995.41626__1.41626	1680__A0A076JM61__DXD63_05245
ERR1912995.41604__1.41604	1262936__R7J6F9__BN799_00540
ERR1912995.41727__1.41727	45851__D4RZF5__BUTYVIB_01221
ERR1912995.41736__1.41736	1262936__R7J2D3__BN799_01784
ERR1912995.41985__1.41985	74426__infB
ERR1912995.42557__1.42557	74426__purL
ERR1912995.43047__1.43047	1262882__R5MLP0__BN519_01597
ERR1912995.43077__1.43077	74426__group_4823
ERR1912995.43148__1.43148	216816__A0A0M4NCP0__HMPREF1313_0712
ERR1912995.43372__1.43372	1897011__A0A1Q6RET2__BHW41_04000
ERR1912995.43400__1.43400	1262936__R7J360__BN799_00345
ERR1912995.43435__1.43435	1262924__R7HML0__BN585_01508
ERR1912995.43490__1.43490	1680__A0A087DLC6__C8077_00815
ERR1912995.43518__1.43518	1263000__R5EXT3__BN466_02213
ERR1912995.43651__1.43651	216816__V6XY04__APK78_02285
ERR1912995.43595__1.43595	2022527__A0A264Y8R9__CHL74_05250
ERR1912995.43775__1.43775	1628085__A0A2U1AT50__C7386_1406
ERR1912995.44119__1.44119	39485__A0A174ZG70__ERS852492_00929
ERR1912995.44175__1.44175	1262936__R7J1V8__BN799_00957
ERR1912995.44206__1.44206	1262924__R7HQ14__BN585_00419
ERR1912995.44337__1.44337	1262911__R6GQM3__BN557_01245
ERR1912995.44658__1.44658	301302__A0A0M6X0D2__cpsB_2
ERR1912995.44673__1.44673	1297617__A0A0S2W326__IB211_01371c
ERR1912995.45110__1.45110	1897011__A0A1Q6RI93__BHW41_01175
ERR1912995.45149__1.45149	1262988__R7MY44__BN816_00917
ERR1912995.45321__1.45321	45851__R5LYR7__BHV86_03710
ERR1912995.45464__1.45464	1680__A0A374QDL4__LMG18897_0432
ERR1912995.45505__1.45505	239935__A0A3F3KBB8__CXU16_06755
ERR1912995.45612__1.45612	45851__D4RXL7__BUTYVIB_00568
ERR1912995.45865__1.45865	1263006__R6LU28__BN515_01365
ERR1912995.45882__1.45882	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1912995.46296__1.46296	901__A0A1K1LGQ2__DESPIG_02072
ERR1912995.46751__1.46751	1262924__R7HQ14__BN585_00419
ERR1912995.47003__1.47003	1550024__G9RWD3__ASJ35_03625
ERR1912995.47076__1.47076	74426__group_4808
ERR1912995.47107__1.47107	74426__rpoC
ERR1912995.47109__1.47109	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1912995.47187__1.47187	1262936__R7IZZ2__BN799_01307
ERR1912995.47397__1.47397	1680__A0A0C2YPV2__AL0462_1474
ERR1912995.47413__1.47413	1262936__R7J1I2__BN799_01776
ERR1912995.47549__1.47549	301302__R5VF67__M72_01841
ERR1912995.47600__1.47600	384638__B7AVU0__BACPEC_02840
ERR1912995.47634__1.47634	1897011__A0A1Q6RDY7__BHW41_05255
ERR1912995.47915__1.47915	1262882__R5N4D8__BN519_01497
ERR1912995.47928__1.47928	1848158__A0A1E3C344__A7W90_15845
ERR1912995.47992__1.47992	40518__R5DVR2__RBL236_00303
ERR1912995.48310__1.48310	1897011__A0A1Q6RET2__BHW41_04000
ERR1912995.48398__1.48398	1628085__A0A1C5ZCR8__C7386_10447
ERR1912995.48551__1.48551	1263030__R5D053__BN705_01287
ERR1912995.48928__1.48928	28111__E5WV21__NCTC11155_01580
ERR1912995.49363__1.49363	384638__B7APN3__BACPEC_00639
ERR1912995.49717__1.49717	28052__A0A174I9N3__ERS852499_00684
ERR1912995.50569__1.50569	901__B6WPV2__DHV46_04070
ERR1912995.50675__1.50675	301302__R5UL57__ERS852420_00622
ERR1912995.50911__1.50911	552398__F4XCQ4__HMPREF0866_01621
ERR1912995.51128__1.51128	74426__rpoC
ERR1912995.51397__1.51397	1680__A0A1E7Y0K2__DXC59_05185
ERR1912995.51436__1.51436	1897011__A0A1Q6RE83__BHW41_04925
ERR1912995.51567__1.51567	901__B6WRK4__DESPIG_00695
ERR1912995.51731__1.51731	1150298__A0A174HHW8__yhbU_1
ERR1912995.51805__1.51805	1150298__R7JU97__ERS852498_02579
ERR1912995.52431__1.52431	1680__A0A3E4SB79__BAD_1517
ERR1912995.52514__1.52514	1262959__R5XXK3__BN680_00902
ERR1912995.52916__1.52916	2022527__A0A264YA09__CHL74_03035
ERR1912995.53038__1.53038	1897011__A0A1Q6RCU3__BHW41_05920
ERR1912995.53145__1.53145	1262761__R6QVL2__BN606_00807
ERR1912995.53214__1.53214	45851__R5LTQ3__BHV86_02315
ERR1912995.53389__1.53389	1655__E7N8L3__CYJ18_06970
ERR1912995.53528__1.53528	1262936__R7J3N4__BN799_00434
ERR1912995.53690__1.53690	901__B6WR17__DHV46_00835
ERR1912995.53708__1.53708	301302__A0A0M6WCE2__M72_20161
ERR1912995.53675__1.53675	1262936__R7J3N4__BN799_00434
ERR1912995.53725__1.53725	1897011__A0A1Q6RIA0__BHW41_01275
ERR1912995.53766__1.53766	1965587__A0A1Y4HVC6__B5F35_09360
ERR1912995.54011__1.54011	1897011__A0A1Q6RDW7__BHW41_05280
ERR1912995.54096__1.54096	74426__purL
ERR1912995.54241__1.54241	165179__R6C3K4__PREVCOP_05795
ERR1912995.54317__1.54317	745368__A0A1T4XY03__SAMN02745178_02465
ERR1912995.54339__1.54339	39485__A0A174YJA4__EUBELI_20421
ERR1912995.54596__1.54596	572010__pnp
ERR1912995.54858__1.54858	33043__A8SPT5__yfiN_2
ERR1912995.54989__1.54989	1680__A0A2R4G1K8__BBMN23_0315
ERR1912995.55177__1.55177	1680__A0A087DHN0__AL0462_1532
ERR1912995.55282__1.55282	74426__group_1871
ERR1912995.55433__1.55433	301302__R5UI99__M72_25591
ERR1912995.55407__1.55407	45851__D4RXC9__BUTYVIB_00480
ERR1912995.55609__1.55609	39491__A0A2U2EED4__ERS852580_01584
ERR1912995.55776__1.55776	74426__purL
ERR1912995.55809__1.55809	147206__GCF_000156215.1_01774
ERR1912995.55846__1.55846	1628085__A0A3E2XTK8__C7386_10217
ERR1912995.55854__1.55854	28111__E5WTP3__BACEGG_01876
ERR1912995.56130__1.56130	165179__A0A3E5DN34__DXC61_07865
ERR1912995.56353__1.56353	165179__A0A3E4SDC8__PREVCOP_05706
ERR1912995.56430__1.56430	820__A0A174NUS8__DXC80_12885
ERR1912995.56473__1.56473	165179__A0A3E5E643__DXB80_06030
ERR1912995.56756__1.56756	1262889__R7HCL5__BN634_01590
ERR1912995.56837__1.56837	28111__E5WTP3__BACEGG_01876
ERR1912995.57289__1.57289	74426__sugC
ERR1912995.57302__1.57302	216816__A0A0A1GN66__APC1468_1044
ERR1912995.57761__1.57761	1262882__R5MS31__BN519_01529
ERR1912995.57865__1.57865	40518__R5DNY7__RBATCC27255_00367
ERR1912995.57929__1.57929	28111__E5X3P5__HMPREF1016_03553
ERR1912995.57981__1.57981	1262992__R5DCV6__BN795_00412
ERR1912995.58009__1.58009	165179__A0A3E5E2C8__folA
ERR1912995.58054__1.58054	2022527__A0A264Y4S4__CHL74_12270
ERR1912995.58198__1.58198	1299998__GCA_001494635.1_00296
ERR1912995.58681__1.58681	572010__nrdD
ERR1912995.59198__1.59198	572010__nrdD
ERR1912995.59383__1.59383	418240__R7CMK4__ERS852478_03653
ERR1912995.59386__1.59386	1680__R5GZF2__DXC60_01925
ERR1912995.59760__1.59760	901__B6WYD7__DESPIG_03118
ERR1912995.60054__1.60054	1262911__R6H2J2__BN557_01228
ERR1912995.60502__1.60502	1262882__R5N532__BN519_01420
ERR1912995.60534__1.60534	45851__D4S247__BUTYVIB_02169
ERR1912995.60644__1.60644	1262882__R5MZZ3__BN519_00482
ERR1912995.60787__1.60787	216816__A0A1V8RHV4__DXD44_06445
ERR1912995.60833__1.60833	1550024__G9RPC6__TQ39_05630
ERR1912995.60873__1.60873	1262936__R7J169__BN799_00083
ERR1912995.60977__1.60977	45851__D4RWS3__BUTYVIB_00110
ERR1912995.61006__1.61006	239935__A0A3F3K9J9__DEF40_00940
ERR1912995.61410__1.61410	74426__purL
ERR1912995.61571__1.61571	40518__R5DWP7__ansA
ERR1912995.61976__1.61976	45851__D4S0D7__BUTYVIB_01556
ERR1912995.61988__1.61988	820__A0A374MMF0__HMPREF1073_03811
ERR1912995.62027__1.62027	216816__A0A087BBV6__BFS26_06210
ERR1912995.62036__1.62036	1263000__R5EFJ5__BN466_01372
ERR1912995.62138__1.62138	1897011__A0A1Q6RIP3__BHW41_00615
ERR1912995.62180__1.62180	39485__A0A1Q6PHD7__ERS852492_01801
ERR1912995.62386__1.62386	2022527__A0A264Y4S4__CHL74_12270
ERR1912995.62696__1.62696	1680__A0A374QDL4__LMG18897_0432
ERR1912995.62785__1.62785	301302__R5UL57__ERS852420_00622
ERR1912995.62849__1.62849	1897011__A0A1Q6RE92__BHW41_04980
ERR1912995.62929__1.62929	1262741__R6DBD1__BN697_00095
ERR1912995.63048__1.63048	1897011__A0A1Q6RDG0__BHW41_05600
ERR1912995.63126__1.63126	853__A0A174C5M1__CGS58_04460
ERR1912995.63234__1.63234	1262936__R7J358__BN799_01390
ERR1912995.63236__1.63236	147206__GCF_000156215.1_01776
ERR1912995.63300__1.63300	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1912995.63305__1.63305	745368__A0A1T4Y119__SAMN02745178_02629
ERR1912995.63282__1.63282	74426__group_4823
ERR1912995.63452__1.63452	2108523__A0A2P2F2M4__LAWASA_205
ERR1912995.63541__1.63541	45851__D4S317__BUTYVIB_02469
ERR1912995.63547__1.63547	301302__R5VFU2__xynA1
ERR1912995.63745__1.63745	1262911__R6H2J2__BN557_01228
ERR1912995.63812__1.63812	1628085__A0A3E2XTK8__C7386_10217
ERR1912995.63899__1.63899	1262936__R7J146__BN799_01697
ERR1912995.63973__1.63973	147206__GCF_000156215.1_01776
ERR1912995.63988__1.63988	487174__K0XEB6__DDY40_08400
ERR1912995.64055__1.64055	1262882__R5N2U9__BN519_01221
ERR1912995.64209__1.64209	292800__G9YUW4__B5F52_16920
ERR1912995.64236__1.64236	1262936__R7J354__BN799_00281
ERR1912995.64299__1.64299	1263011__R6E1J2__BN553_01468
ERR1912995.64342__1.64342	1680__A0A174BEE7__BSTER_1311
ERR1912995.64343__1.64343	301302__R5UL57__ERS852420_00622
ERR1912995.64401__1.64401	1262959__R5YH34__BN680_01621
ERR1912995.64434__1.64434	1262919__R5P589__BN465_00619
ERR1912995.64547__1.64547	1897011__A0A1Q6RJV2__BHW41_00030
ERR1912995.64690__1.64690	1262936__R7IZZ2__BN799_01307
ERR1912995.64748__1.64748	2173__A0A1D2WSY5__METSMIF1_03017
ERR1912995.64870__1.64870	823__D7IUM6__M091_1082
ERR1912995.65026__1.65026	1262929__R6F6B7__BN691_01334
ERR1912995.65053__1.65053	45851__D4RZ84__BUTYVIB_01149
ERR1912995.65167__1.65167	1550024__G9RX51__TQ39_04720
ERR1912995.65459__1.65459	1628085__A0A1C6D825__C7386_1061
ERR1912995.65669__1.65669	45851__D4RYC7__BUTYVIB_00832
ERR1912995.65717__1.65717	239935__A0A2N8I390__CXU16_10675
ERR1912995.66422__1.66422	1262936__R7J5J9__BN799_00247
ERR1912995.66633__1.66633	39485__A0A175A403__EUBELI_20577
ERR1912995.66748__1.66748	853__A0A174C5M1__CGS58_04460
ERR1912995.67063__1.67063	1897011__A0A1Q6REW8__BHW41_04435
ERR1912995.67199__1.67199	1262959__R5YEU3__BN680_00855
ERR1912995.67222__1.67222	901__B6WUI5__DESPIGER_1817
ERR1912995.67372__1.67372	454155__F3QVZ4__HMPREF9442_02317
ERR1912995.67593__1.67593	39485__C4Z389__ERS852490_01920
ERR1912995.67702__1.67702	301302__A0A0M6WYL6__ERS852420_02628
ERR1912995.67779__1.67779	147206__GCF_000156215.1_00014
ERR1912995.68070__1.68070	1262936__R7J2E3__BN799_00170
ERR1912995.68802__1.68802	1262924__R7HLJ5__BN585_01491
ERR1912995.68941__1.68941	74426__group_1871
ERR1912995.69363__1.69363	216816__A0A0M4NCP0__HMPREF1313_0712
ERR1912995.69411__1.69411	45851__D4RWS3__BUTYVIB_00110
ERR1912995.69519__1.69519	1262924__R7HQB3__BN585_00435
ERR1912995.69532__1.69532	1150298__A0A174SLE6__mlc_1
ERR1912995.69647__1.69647	1262959__R5XYX0__BN680_00040
ERR1912995.69874__1.69874	301302__A0A0M6WWK6__M72_13961
