ERR1913233.21__1.21	204516__U6RJY4__HMPREF1534_01494
ERR1913233.25382__1.25382	1262913__R7JGU5__BN646_02158
ERR1913233.25519__1.25519	204516__U6RFB2__HMPREF1534_01733
ERR1913233.25587__1.25587	28118__F9Z857__DER54_07670
ERR1913233.25803__1.25803	165179__D1PHC0__PREVCOP_06640
ERR1913233.26070__1.26070	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913233.26164__1.26164	165179__D1PGU8__PREVCOP_06463
ERR1913233.26219__1.26219	1262924__R7HQ03__BN585_01295
ERR1913233.26358__1.26358	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913233.26395__1.26395	39485__A0A174YSU1__ERS852492_00576
ERR1913233.26487__1.26487	1262924__R7HRE7__BN585_00055
ERR1913233.26520__1.26520	69974__A0A090FEL8__MPL3365_630008
ERR1913233.26554__1.26554	40518__R5DR39__mreB_2
ERR1913233.26638__1.26638	165179__A0A3E5EB26__CFT61_02800
ERR1913233.26759__1.26759	544645__A0A1Y3VNI5__DXC42_05950
ERR1913233.26951__1.26951	310298__B3JK49__BACCOP_02273
ERR1913233.27088__1.27088	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913233.27105__1.27105	165179__A0A229I4J4__proA
ERR1913233.27194__1.27194	853__A0A2A7B9I6__DW855_13690
ERR1913233.27208__1.27208	28117__B0MY36__BHV66_05185
ERR1913233.27465__1.27465	487173__H1D020__HMPREF9453_00958
ERR1913233.27559__1.27559	1262992__R5D3X7__BN795_00539
ERR1913233.27606__1.27606	69974__A0A090FEL8__MPL3365_630008
ERR1913233.27729__1.27729	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913233.27818__1.27818	410072__C0B733__ERS852525_00482
ERR1913233.28127__1.28127	820__A0A173WUD7__DXB48_08055
ERR1913233.28177__1.28177	165179__D1PGU8__PREVCOP_06463
ERR1913233.28356__1.28356	69974__A0A090FEL8__MPL3365_630008
ERR1913233.28449__1.28449	69974__A0A090FEL8__MPL3365_630008
ERR1913233.28546__1.28546	69974__A0A090FEL8__MPL3365_630008
ERR1913233.28883__1.28883	817__A0A396EMI5__M134_2664
ERR1913233.29010__1.29010	1262911__R6GPM2__BN557_00937
ERR1913233.29290__1.29290	39485__A0A174ZPH7__ERS852490_01992
ERR1913233.29315__1.29315	39491__A0A395V2Y7__DXB72_13970
ERR1913233.29318__1.29318	1262924__R7HTA4__BN585_00391
ERR1913233.29474__1.29474	204516__U6R7Y8__HMPREF1534_03942
ERR1913233.29527__1.29527	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913233.29563__1.29563	853__A0A2A7A4A9__C4N21_14870
ERR1913233.30138__1.30138	310298__B3JK97__BACCOP_02326
ERR1913233.30311__1.30311	40518__R5DP61__DXD86_06345
ERR1913233.30526__1.30526	1262924__R7HRA8__BN585_01680
ERR1913233.30564__1.30564	33039__A0A174ZX07__dapE_1
ERR1913233.30559__1.30559	39492__D4JWL2__ERS852540_01201
ERR1913233.30627__1.30627	310298__B3JK99__BACCOP_02328
ERR1913233.30848__1.30848	47678__A5ZEA3__ERS852558_00257
ERR1913233.30938__1.30938	626932__G5H6E7__HMPREF9450_00507
ERR1913233.31027__1.31027	165179__A0A3E5DN34__DXC61_07865
ERR1913233.31087__1.31087	626933__H1DGX0__HMPREF9449_01506
ERR1913233.31255__1.31255	69974__A0A090FEL8__MPL3365_630008
ERR1913233.31346__1.31346	39491__A0A396FFW0__ERE_10580
ERR1913233.31487__1.31487	853__D4JY61__C4N21_10560
ERR1913233.31496__1.31496	69974__A0A090FEL8__MPL3365_630008
ERR1913233.31637__1.31637	626933__H1DGX0__HMPREF9449_01506
ERR1913233.31598__1.31598	165179__A0A3E5DN34__DXC61_07865
ERR1913233.31564__1.31564	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913233.31566__1.31566	69974__A0A090FEL8__MPL3365_630008
ERR1913233.31853__1.31853	821__A0A396F598__CUU_3259
ERR1913233.31941__1.31941	69974__A0A090FEL8__MPL3365_630008
ERR1913233.31957__1.31957	69974__A0A090FEL8__MPL3365_630008
ERR1913233.32138__1.32138	204516__U6R8I1__HMPREF1534_03341
ERR1913233.32212__1.32212	39491__C4ZC33__DXC13_11585
ERR1913233.32551__1.32551	853__A0A2A7B9I6__DW855_13690
ERR1913233.32603__1.32603	69974__A0A090FEL8__MPL3365_630008
ERR1913233.32834__1.32834	544644__GCA_001915615.1_02076
ERR1913233.32873__1.32873	853__A0A174C5M1__CGS58_04460
ERR1913233.32946__1.32946	165179__W1I4H6__DXB80_13655
ERR1913233.33012__1.33012	28117__B0MUB4__BHV66_01895
ERR1913233.33146__1.33146	818__Q8A3A6__Btheta7330_00071
ERR1913233.33281__1.33281	2293125__A0A374CIC9__DW917_02045
ERR1913233.33462__1.33462	39483__D4JFK7__HMPREF0367_00072
ERR1913233.33529__1.33529	487173__H1CYJ4__HMPREF9453_00432
ERR1913233.33587__1.33587	165179__A0A3E5DY64__CFT61_10025
ERR1913233.33712__1.33712	165179__A0A3E5EB26__CFT61_02800
ERR1913233.33971__1.33971	69974__A0A090FEL8__MPL3365_630008
ERR1913233.33983__1.33983	853__A0A173T0Y8__CGS54_07215
ERR1913233.34111__1.34111	165179__A0A3E5ED28__PREVCOP_06655
ERR1913233.34117__1.34117	28117__B0MTH2__ALIPUT_00061
ERR1913233.34214__1.34214	40518__R5E7G3__DXD86_03405
ERR1913233.34239__1.34239	1965632__A0A1Y4A853__B5F91_11650
ERR1913233.34267__1.34267	1262913__R7JGP8__BN646_01880
ERR1913233.34303__1.34303	69974__A0A090FEL8__MPL3365_630008
ERR1913233.34344__1.34344	310298__B3JNG7__BACCOP_03480
ERR1913233.34502__1.34502	1262924__R7HKX0__BN585_01279
ERR1913233.34638__1.34638	39491__C4Z8B6__ERE_17960
ERR1913233.34590__1.34590	301302__R5V671__M72_27831
ERR1913233.34695__1.34695	820__A0A139JRS5__HMPREF1073_04025
ERR1913233.34780__1.34780	1262739__R6MNX4__BN659_01528
ERR1913233.35037__1.35037	1262992__R5DGC6__BN795_00540
ERR1913233.35109__1.35109	165179__A0A229I6N7__DXC61_06720
ERR1913233.35193__1.35193	936548__J0SLJ3__HMPREF1136_1215
ERR1913233.35276__1.35276	28118__R6F0X5__NCTC10826_02952
ERR1913233.35507__1.35507	1262911__R6GPM2__BN557_00937
ERR1913233.35582__1.35582	1150298__A0A174BC67__ERS852498_00837
ERR1913233.35688__1.35688	165179__A0A174IPI3__CFT61_10940
ERR1913233.35813__1.35813	1628085__A0A396MGZ2__C7386_12111
ERR1913233.36069__1.36069	39492__A0A174ZL16__EUBSIR_01269
ERR1913233.36074__1.36074	1680__A1A1R1__BIFADO_00076
ERR1913233.36258__1.36258	1550024__G9RNX0__ASJ35_11770
ERR1913233.36219__1.36219	165179__A0A3E5AFJ9__CFT61_15180
ERR1913233.36585__1.36585	626933__H1DGX0__HMPREF9449_01506
ERR1913233.36604__1.36604	69974__A0A090FEL8__MPL3365_630008
ERR1913233.36643__1.36643	1849041__A0A3E2T6C0__DW086_01760
ERR1913233.36685__1.36685	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913233.36845__1.36845	310298__B3JED9__BACCOP_00230
ERR1913233.36925__1.36925	39485__A0A174ZG70__ERS852492_00929
ERR1913233.36969__1.36969	69974__A0A090FEL8__MPL3365_630008
ERR1913233.37298__1.37298	28117__B0MWC6__BHV66_00965
ERR1913233.37349__1.37349	1262924__R7HKZ9__BN585_01304
ERR1913233.37421__1.37421	165179__A0A3E5A554__DXB80_13805
ERR1913233.37486__1.37486	165179__A0A3E5E8N5__DXC61_13460
ERR1913233.37658__1.37658	165179__A0A174IPI3__CFT61_10940
ERR1913233.37633__1.37633	28117__R7JN92__BHV66_00550
ERR1913233.38128__1.38128	165179__A0A3E4SB95__DXC61_13455
ERR1913233.38226__1.38226	626933__H1DGX0__HMPREF9449_01506
ERR1913233.38573__1.38573	28117__B0MUB4__BHV66_01895
ERR1913233.38732__1.38732	69974__A0A090FEL8__MPL3365_630008
ERR1913233.38751__1.38751	69974__A0A090FEL8__MPL3365_630008
ERR1913233.38882__1.38882	39485__C4Z6K2__ERS852490_00407
ERR1913233.39205__1.39205	338188__A0A174ETX3__ERS852397_01955
ERR1913233.39373__1.39373	1897011__A0A1Q6RIN7__BHW41_00540
ERR1913233.39790__1.39790	40518__R5E1J7__RBL236_02062
ERR1913233.39824__1.39824	28117__B0MVL5__BHV66_01660
ERR1913233.40038__1.40038	165179__A0A3E5EAM5__DXC61_07785
ERR1913233.40117__1.40117	28118__R6FFY9__DHW44_14630
ERR1913233.40370__1.40370	69974__A0A090FEL8__MPL3365_630008
ERR1913233.40290__1.40290	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913233.40410__1.40410	28118__R6F891__NCTC10826_02656
ERR1913233.40496__1.40496	820__A0A396EUU8__luxQ_3
ERR1913233.40479__1.40479	1262924__R7HTA4__BN585_00391
ERR1913233.40653__1.40653	1262924__R7HMZ0__BN585_01986
ERR1913233.40668__1.40668	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913233.40688__1.40688	216816__C2GUV2__APC1478_0430
ERR1913233.40694__1.40694	310298__B3JNG7__BACCOP_03480
ERR1913233.40772__1.40772	39485__C4Z6V7__walK
ERR1913233.40816__1.40816	39491__C4Z8B6__ERE_17960
ERR1913233.40868__1.40868	165179__A0A3E5DN34__DXC61_07865
ERR1913233.41077__1.41077	1262992__R5D6H6__BN795_00284
ERR1913233.41566__1.41566	69974__A0A090FEL8__MPL3365_630008
ERR1913233.41506__1.41506	39491__A0A173RJ81__DXB76_01570
ERR1913233.41859__1.41859	69974__A0A090FEL8__MPL3365_630008
ERR1913233.41917__1.41917	853__A0A2A7B9I6__DW855_13690
ERR1913233.41938__1.41938	310298__B3JNH3__BACCOP_03486
ERR1913233.41982__1.41982	165179__D1PES9__DXB80_11585
ERR1913233.41942__1.41942	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913233.42040__1.42040	165179__A0A3E5A554__DXB80_13805
ERR1913233.42262__1.42262	328814__GCA_004558275.1_00043
ERR1913233.42452__1.42452	28118__R6F7J8__Odosp_3206
ERR1913233.42534__1.42534	1680__A0A173X776__B0070_1318
ERR1913233.42730__1.42730	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913233.42832__1.42832	69974__A0A090FEL8__MPL3365_630008
ERR1913233.43055__1.43055	1262924__R7HRJ9__BN585_00557
ERR1913233.43141__1.43141	853__A0A2A7B9I6__DW855_13690
ERR1913233.43174__1.43174	1262913__R7JGU2__BN646_02213
ERR1913233.43526__1.43526	165179__A0A3E5A554__DXB80_13805
ERR1913233.43575__1.43575	292800__G9YTT2__HMPREF0372_02944
ERR1913233.43742__1.43742	165179__A0A3E5EA43__DXC61_07775
ERR1913233.43753__1.43753	39491__D4JMW8__ERS852497_01971
ERR1913233.43768__1.43768	1262963__R6D9I4__BN718_00461
ERR1913233.43888__1.43888	214856__R6YC22__ERS852447_01215
ERR1913233.43841__1.43841	143393__X8K1X1__ADJ67_01735
ERR1913233.43984__1.43984	458033__GCA_001482755.1_02203
ERR1913233.44067__1.44067	853__A0A2A7B9I6__DW855_13690
ERR1913233.44160__1.44160	28118__F9Z5M1__NCTC10826_02946
ERR1913233.44092__1.44092	35833__E5Y8N1__HMPREF0179_02549
ERR1913233.44129__1.44129	1262924__R7HMZ4__BN585_01629
ERR1913233.44297__1.44297	487175__F3QK43__HMPREF9439_01300
ERR1913233.44560__1.44560	853__A0A173T6P2__DWZ46_14595
ERR1913233.44726__1.44726	820__A0A3E4GA19__SAMN05444418_10562
ERR1913233.44840__1.44840	165179__A0A3E5EA43__DXC61_07775
ERR1913233.45057__1.45057	39491__A0A3E4E7C5__DXB69_03255
ERR1913233.45190__1.45190	1262986__R6AC02__BN492_01722
ERR1913233.45423__1.45423	39491__A0A396FJJ9__DXB76_11995
ERR1913233.45570__1.45570	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913233.45686__1.45686	1535__A7VPY7__CLOLEP_00614
ERR1913233.45689__1.45689	165179__D1PCL6__DXB80_13435
ERR1913233.45772__1.45772	821__A0A0P0M2J4__DXD46_10295
