ERR1913185.233__1.233	487174__K0WYG8__HMPREF9448_01522
ERR1913185.8032__1.8032	28052__A0A174NY34__ERS852499_02326
ERR1913185.8172__1.8172	39491__A0A3E4E7C5__DXB69_03255
ERR1913185.8675__1.8675	418240__C6JGM0__ERS852478_02067
ERR1913185.8706__1.8706	820__A0A3E4G8F8__ERS852421_01645
ERR1913185.8719__1.8719	907__G0VP67__SAMN04488492_11236
ERR1913185.8736__1.8736	39491__C4ZHS4__EUR_24420
ERR1913185.9133__1.9133	820__A0A3E5E0T0__ERS852554_00312
ERR1913185.9148__1.9148	39491__D6E408__EUBREC_1466
ERR1913185.9232__1.9232	394340__gyrA
ERR1913185.9180__1.9180	39491__A0A174K9A3__DXB69_07785
ERR1913185.9255__1.9255	410072__A0A174E1G6__phoR_6
ERR1913185.9403__1.9403	39491__A0A395V1T9__DXD13_03310
ERR1913185.9409__1.9409	46506__R5JSP7__AA415_01143
ERR1913185.9417__1.9417	1150298__A0A174NLT0__araC_6
ERR1913185.9468__1.9468	46506__B0NPF6__BACSTE_01357
ERR1913185.9572__1.9572	853__A0A3E2U7E6__ERS852582_01640
ERR1913185.9677__1.9677	907__G0VPA8__C6362_06980
ERR1913185.9631__1.9631	823__D7IXG8__ERS852560_01232
ERR1913185.9758__1.9758	1262882__R5MSX6__BN519_01697
ERR1913185.9866__1.9866	46506__A0A108TCV1__AA415_00106
ERR1913185.10039__1.10039	39491__A0A174A751__DXB69_15525
ERR1913185.10085__1.10085	1262882__R5N3T7__BN519_01188
ERR1913185.10099__1.10099	1262882__R5MPJ1__BN519_01023
ERR1913185.10187__1.10187	40518__R5DT16__ysdC_2
ERR1913185.10295__1.10295	821__A0A3E4WAR6__DXD64_10735
ERR1913185.10408__1.10408	40518__R5DVL2__penA
ERR1913185.10437__1.10437	39491__A0A396FJJ9__DXB76_11995
ERR1913185.10537__1.10537	40518__R5E4X1__DXD93_05270
ERR1913185.10743__1.10743	820__A0A139JY23__B5G17_06330
ERR1913185.10893__1.10893	820__A0A078S4C2__ERS417307_00828
ERR1913185.11019__1.11019	1262882__R5MHZ2__BN519_00742
ERR1913185.11071__1.11071	1262911__R6GHG8__BN557_01301
ERR1913185.11106__1.11106	907__A0A2S0M466__SAMN02910401_01656
ERR1913185.11110__1.11110	47678__A5ZL09__BACCAC_03608
ERR1913185.11149__1.11149	1262882__R5N048__BN519_00502
ERR1913185.11302__1.11302	39491__A0A396FM36__DXB99_00820
ERR1913185.11356__1.11356	46506__B0NQN6__AA415_00632
ERR1913185.11390__1.11390	151535__GeneID:920294
ERR1913185.11396__1.11396	39491__A0A395ZEI6__ERE_07950
ERR1913185.11471__1.11471	39491__C4Z9K7__EUBREC_0050
ERR1913185.11557__1.11557	187327__G4Q7Q6__ACDG_00853
ERR1913185.11640__1.11640	214856__R6YD52__ERS852447_02171
ERR1913185.11678__1.11678	187327__G4Q3P2__ACDG_00349
ERR1913185.11740__1.11740	46506__A0A120A3P8__SAMN05444283_1172
ERR1913185.11717__1.11717	39491__A0A173VYV1__DXC13_02710
ERR1913185.11731__1.11731	39491__A0A395V0E5__ERE_31370
ERR1913185.11816__1.11816	46506__A0A3E4UIV1__DXC34_17755
ERR1913185.11886__1.11886	40518__R5DME2__DXD86_07315
ERR1913185.12052__1.12052	820__A0A174QT76__B5G17_18060
ERR1913185.12006__1.12006	1262882__R5MGK3__BN519_00655
ERR1913185.12092__1.12092	907__A0A2S0M7P4__SAMN04488492_11270
ERR1913185.12455__1.12455	28116__D7K2E0__endOF2_3
ERR1913185.12450__1.12450	1262986__R6A745__BN492_00966
ERR1913185.12539__1.12539	487174__K0XDI7__DIT83_12065
ERR1913185.12607__1.12607	46506__S3YT03__AA415_01895
ERR1913185.12609__1.12609	487174__K0XRP0__DDY40_09260
ERR1913185.12635__1.12635	46506__A0A108TAK3__fepA_3
ERR1913185.12714__1.12714	28111__E5WYY8__HMPREF1016_01893
ERR1913185.12740__1.12740	820__A0A173YYG4__evgS_3
ERR1913185.12737__1.12737	1160721__R6TGH1__BHW50_05060
ERR1913185.12820__1.12820	410072__C0BDJ9__ERS852525_02311
ERR1913185.12881__1.12881	46506__S3YS03__DXC34_03445
ERR1913185.12925__1.12925	1160721__W0U8M9__RBI_II00386
ERR1913185.13007__1.13007	1262986__R6A878__BN492_00369
ERR1913185.13047__1.13047	39483__D4JES3__B5G15_06270
ERR1913185.13080__1.13080	74426__sugC
ERR1913185.13091__1.13091	1680__A0A2R4G1K8__BBMN23_0315
ERR1913185.13189__1.13189	1262882__R5MT42__BN519_01729
ERR1913185.13280__1.13280	1262882__R5MEN9__BN519_00201
ERR1913185.13421__1.13421	1681__A0A3E4TVZ7__DD715_06415
ERR1913185.13571__1.13571	1262954__R7F8T1__BN611_01015
ERR1913185.13575__1.13575	1262954__R7FEW1__BN611_00175
ERR1913185.13732__1.13732	820__A0A173W419__DXC68_17760
ERR1913185.13739__1.13739	40518__R5DX93__DXD93_03055
ERR1913185.13787__1.13787	39492__D4JX50__EUBSIR_00410
ERR1913185.13938__1.13938	292800__A0A1C7FV36__A4U99_10420
ERR1913185.14086__1.14086	39491__A0A2U2EED4__ERS852580_01584
ERR1913185.14136__1.14136	39491__A0A395ZGE4__ERS852497_01269
ERR1913185.14185__1.14185	1262911__R6H1K1__BN557_00910
ERR1913185.14299__1.14299	47678__R5U6B9__BACCAC_01372
ERR1913185.14375__1.14375	40518__R5E1X3__clcA
ERR1913185.14352__1.14352	1318__W1VC28__HMPREF9962_1236
ERR1913185.14458__1.14458	1262911__R6GPI7__BN557_00907
ERR1913185.14468__1.14468	39491__A0A173TAZ5__DXB99_09520
ERR1913185.14524__1.14524	820__A0A396EXA7__DXB37_15530
ERR1913185.14624__1.14624	28117__B0MY40__BHV66_05170
ERR1913185.14773__1.14773	1160721__R6T3X1__BHW50_03685
ERR1913185.14791__1.14791	28052__R7NHJ5__ERS852499_01501
ERR1913185.14796__1.14796	853__A0A3E2U7E6__ERS852582_01640
ERR1913185.14797__1.14797	39491__C4ZHS4__EUR_24420
ERR1913185.14814__1.14814	204516__U6R9E7__HMPREF1534_03313
ERR1913185.14994__1.14994	1680__A0A0C2YPV2__AL0462_1474
ERR1913185.14995__1.14995	1262882__R5MEK3__BN519_00296
ERR1913185.15008__1.15008	39491__R6UMS6__DXD13_07035
ERR1913185.15132__1.15132	1262882__R5N1T9__BN519_00804
ERR1913185.15190__1.15190	46506__S3YS03__DXC34_03445
ERR1913185.15209__1.15209	46506__B0NPY3__BACSTE_02000
ERR1913185.15254__1.15254	106588__A6P303__BACCAP_04887
ERR1913185.15259__1.15259	1262954__R7FHH3__BN611_00268
ERR1913185.15331__1.15331	821__A0A174T998__DXB82_10860
ERR1913185.15364__1.15364	39491__A0A395V297__EUR_01010
ERR1913185.15494__1.15494	394340__group_617
ERR1913185.15500__1.15500	1262882__R5MHQ8__BN519_00707
ERR1913185.15455__1.15455	46503__R6Y2Y6__ERS852463_03103
ERR1913185.15507__1.15507	821__A0A173WG51__BVU_2549
ERR1913185.15550__1.15550	820__A0A139K1Y6__DXB48_02610
ERR1913185.15661__1.15661	1680__A1A0V3__C8077_03025
ERR1913185.16009__1.16009	187327__G4Q600__ACDG_00661
ERR1913185.16060__1.16060	1262986__R6ARX6__BN492_01653
ERR1913185.16129__1.16129	1160721__W0U2W0__BHW50_02075
ERR1913185.16191__1.16191	357276__I9FRW5__B5F95_21685
ERR1913185.16319__1.16319	46503__A0A3E4ZQ73__ERS852463_01043
ERR1913185.16346__1.16346	1262986__R6A8Q9__BN492_00460
ERR1913185.16382__1.16382	1262911__R6H1P0__BN557_00940
ERR1913185.16682__1.16682	820__A0A374QGD2__ERS852421_02382
ERR1913185.16720__1.16720	46503__R6WYJ8__DXB85_13825
ERR1913185.16703__1.16703	357276__A0A076IXE0__HMPREF1064_04364
ERR1913185.16712__1.16712	33039__A0A174YCL2__ERS852424_00029
ERR1913185.16877__1.16877	1262911__R6H1M1__BN557_00925
ERR1913185.16885__1.16885	1150298__A0A174SLE6__mlc_1
ERR1913185.16960__1.16960	47678__R5UU25__DXB67_16190
ERR1913185.17135__1.17135	46506__R6AC22__HMPREF1181_00516
ERR1913185.17177__1.17177	418240__C6JFI6__ERS852523_01129
ERR1913185.17194__1.17194	1897011__A0A1Q6RI77__BHW41_01180
ERR1913185.17337__1.17337	1262882__R5MYP8__BN519_00439
ERR1913185.17417__1.17417	187327__G4Q3F6__ACDG_01512
ERR1913185.17440__1.17440	907__R7MZS8__JY94_08580
ERR1913185.17564__1.17564	1262743__R5C054__BN727_01980
ERR1913185.17592__1.17592	820__A0A174TRB5__DXD40_11305
ERR1913185.17761__1.17761	39491__A0A395V2P3__DXB69_08700
ERR1913185.17923__1.17923	1262882__R5N1Z9__BN519_01020
ERR1913185.17988__1.17988	28026__A0A3E5HSJ3__ERS852455_00104
ERR1913185.18218__1.18218	1262882__R5MYP2__BN519_00435
ERR1913185.18242__1.18242	39491__A0A395ZHH5__ERS852497_02076
ERR1913185.18357__1.18357	39491__A0A396FKI0__DXC13_11560
ERR1913185.18389__1.18389	1262882__R5MSP5__BN519_01637
ERR1913185.18446__1.18446	28117__B0MXR4__BHV66_08025
ERR1913185.18450__1.18450	823__A0A355XF06__B5F32_11480
ERR1913185.18469__1.18469	46506__A0A108TAK3__fepA_3
ERR1913185.18492__1.18492	1262882__R5MF58__BN519_00393
ERR1913185.18523__1.18523	39491__A0A396FJJ9__DXB76_11995
ERR1913185.18561__1.18561	39491__A0A395ZEN3__DXD95_12655
ERR1913185.18611__1.18611	39483__D4JDT1__HMPREF0367_01249
ERR1913185.18752__1.18752	39483__D4JER1__HMPREF0367_00646
ERR1913185.18815__1.18815	46506__S3YVF9__BACSTE_02487
ERR1913185.18916__1.18916	1262882__R5MFN3__BN519_00392
ERR1913185.18991__1.18991	187327__U2TUH7__ACDG_00970
ERR1913185.19170__1.19170	1680__A0A087DLC6__C8077_00815
ERR1913185.19280__1.19280	214856__I3YPP3__Alfi_2701
ERR1913185.19359__1.19359	1262882__R5MIQ8__BN519_01036
ERR1913185.19425__1.19425	39491__D4JMW8__ERS852497_01971
ERR1913185.19447__1.19447	1262911__R6GR13__BN557_00618
ERR1913185.19667__1.19667	1262986__R6ANN3__BN492_01101
ERR1913185.19673__1.19673	46506__S3YS03__DXC34_03445
ERR1913185.19719__1.19719	28111__R5JSC9__HMPREF1016_01677
ERR1913185.19748__1.19748	46503__R6X5E7__PARMER_00245
ERR1913185.19779__1.19779	40518__R5E6X5__sbcD
ERR1913185.19809__1.19809	1262882__R5MSQ8__BN519_01647
ERR1913185.19878__1.19878	39491__A0A395UZ82__EUR_31520
ERR1913185.19884__1.19884	1262882__R5MKV8__BN519_01281
ERR1913185.19905__1.19905	46506__S3YS03__DXC34_03445
ERR1913185.19906__1.19906	371601__D6D5Q9__BN890_35020
ERR1913185.19967__1.19967	418240__C6JAJ8__ERS852478_03436
ERR1913185.20009__1.20009	1262882__R5N004__BN519_00490
ERR1913185.20261__1.20261	301301__G2T1C2__RHOM_06165
ERR1913185.20311__1.20311	46506__S3YT03__AA415_01895
ERR1913185.20317__1.20317	28111__E5WUE7__BACEGG_02087
ERR1913185.20319__1.20319	100886__E2NRQ1__ERS852383_04552
ERR1913185.20322__1.20322	1262882__R5MPL0__BN519_01038
ERR1913185.20372__1.20372	28111__E5X119__NCTC11155_02426
ERR1913185.20441__1.20441	40518__R5DU52__RB5AMG_02245
ERR1913185.20563__1.20563	1263000__R5ETL6__BN466_01607
ERR1913185.20606__1.20606	187327__U2VKS6__Acin_2226
ERR1913185.20659__1.20659	1262954__R7FB91__BN611_01809
ERR1913185.20720__1.20720	301302__R5UKP4__cbiT
ERR1913185.20882__1.20882	28111__E5WUU3__HMPREF1016_00520
ERR1913185.20888__1.20888	1150298__A0A174SLE6__mlc_1
ERR1913185.20921__1.20921	46506__S3YBS6__AA415_01011
ERR1913185.21065__1.21065	1262882__R5MM10__BN519_01679
ERR1913185.21096__1.21096	39491__A0A396FPV7__ERS852580_01177
ERR1913185.21121__1.21121	1262882__R5N345__BN519_01034
ERR1913185.21125__1.21125	1262882__R5MIQ8__BN519_01036
ERR1913185.21200__1.21200	1262882__R5N2U9__BN519_01221
ERR1913185.21269__1.21269	40518__R5DZC6__mreC
ERR1913185.21237__1.21237	214856__A0A174FWM7__ERS852559_00590
ERR1913185.21240__1.21240	1262882__R5MHQ8__BN519_00707
ERR1913185.21304__1.21304	2108523__A0A2P2F3I3__LAWASA_548
ERR1913185.21314__1.21314	40518__R5DPA7__RBATCC27255_01319
ERR1913185.21343__1.21343	39491__A0A395V464__EUBREC_1509
ERR1913185.21352__1.21352	410072__A0A174AMX4__dacB_1
ERR1913185.21354__1.21354	371601__D7J4W7__CW3_3382
ERR1913185.21451__1.21451	301301__A0A395VAX9__ERS852391_01264
ERR1913185.21472__1.21472	292800__A0A174N232__ADH75_10840
ERR1913185.21630__1.21630	165179__A0A229I2W6__PREVCOP_04332
ERR1913185.21650__1.21650	39491__C4Z9D4__DXD95_00055
ERR1913185.21666__1.21666	39491__A0A395ZDC6__addB
ERR1913185.21700__1.21700	1680__A0A173W5Z2__DXC53_01290
ERR1913185.21778__1.21778	46506__A0A108TBL0__BACSTE_01998
ERR1913185.21780__1.21780	823__D7IW29__DXD05_13365
ERR1913185.22071__1.22071	28117__R7JH62__BHV66_05735
ERR1913185.22072__1.22072	626929__F3PJ28__B5F24_03465
ERR1913185.22058__1.22058	371601__D6CXU6__CW3_4709
ERR1913185.22120__1.22120	907__A0A1M6RW57__SAMN02910401_02018
ERR1913185.22155__1.22155	39491__D4JMW8__ERS852497_01971
ERR1913185.22215__1.22215	487174__K0XRP0__DDY40_09260
ERR1913185.22241__1.22241	1681__E4V8Z1__BBTM_00104
ERR1913185.22282__1.22282	46503__R6WTN6__PARMER_00136
ERR1913185.22490__1.22490	39491__A0A395UZ89__DXB72_12805
ERR1913185.22629__1.22629	28117__B0MY82__BHV66_04755
ERR1913185.22816__1.22816	187327__U2TUH7__ACDG_00970
ERR1913185.22922__1.22922	292800__A0A174XBF3__ERS852504_03492
ERR1913185.22933__1.22933	820__I9A4U7__DHU98_12785
ERR1913185.23014__1.23014	47678__R5U3L4__C5Z00_12600
ERR1913185.23030__1.23030	907__A0A269TGY7__C6362_10010
ERR1913185.23144__1.23144	907__G0VMP1__C6Y28_02145
ERR1913185.23247__1.23247	187327__G4Q5E5__Acin_2123
ERR1913185.23358__1.23358	853__A0A174CVG7__CGS58_09335
ERR1913185.23446__1.23446	39491__A0A395UZZ5__htpG_1
ERR1913185.23576__1.23576	218538__C9LPE5__GCWU000321_01424
ERR1913185.23667__1.23667	214856__A0A174G9T6__ERS852447_02535
ERR1913185.23706__1.23706	39491__A0A395ZEN3__DXD95_12655
ERR1913185.23749__1.23749	1262882__R5MHQ8__BN519_00707
ERR1913185.23754__1.23754	1262882__R5MIQ8__BN519_01036
ERR1913185.23899__1.23899	821__A0A3E4HP25__SAMN04487923_102450
ERR1913185.23902__1.23902	39491__A0A0M6WWT1__dus_2
ERR1913185.23977__1.23977	301302__A0A173TNM6__luxQ
ERR1913185.24197__1.24197	28111__E5X205__NCTC11155_00661
ERR1913185.24278__1.24278	46506__R6AEZ1__BACSTE_01801
ERR1913185.24314__1.24314	39491__A0A396FVC0__ERE_15900
ERR1913185.24375__1.24375	2108523__A0A2P2FC97__LAWASA_3643
ERR1913185.24383__1.24383	187327__G4Q6Y0__ACDG_01211
ERR1913185.24415__1.24415	328813__A0A1Y3QT24__B5G41_09455
ERR1913185.24474__1.24474	74426__groL
ERR1913185.24520__1.24520	820__A7V470__HMPREF1072_02076
ERR1913185.24545__1.24545	28052__R7NCD4__ERS852451_00170
ERR1913185.24694__1.24694	39491__C4ZCH3__EUR_17560
ERR1913185.24821__1.24821	1262743__R5C054__BN727_01980
ERR1913185.24798__1.24798	33039__A0A173VSH9__ERS852530_05439
ERR1913185.24860__1.24860	1262882__R5MKV8__BN519_01281
ERR1913185.24925__1.24925	1262911__R6GPI7__BN557_00907
ERR1913185.25057__1.25057	418240__A0A173XCL4__ERS852523_02725
ERR1913185.25112__1.25112	40518__R5DUG7__sbcC
ERR1913185.25123__1.25123	1262911__R6H1M1__BN557_00925
ERR1913185.25200__1.25200	1160721__W0U3Z9__RBI_I00543
ERR1913185.25201__1.25201	820__A0A174GK47__ERS852421_00200
ERR1913185.25347__1.25347	39491__D6DXZ8__DXB72_15035
ERR1913185.25326__1.25326	820__A0A396EUV1__B5G17_06465
ERR1913185.25481__1.25481	187327__G4Q682__Acin_1672
ERR1913185.25568__1.25568	28111__E5X205__NCTC11155_00661
ERR1913185.25667__1.25667	301302__R5UKP4__cbiT
ERR1913185.25717__1.25717	1262882__R5N1T9__BN519_00804
ERR1913185.25728__1.25728	187327__G4Q2R6__Acin_2204
ERR1913185.25867__1.25867	820__A0A3E4VZY4__ERS852554_01211
ERR1913185.25896__1.25896	487174__K0WUM9__HMPREF9448_02608
ERR1913185.25905__1.25905	187327__U2VMS3__ACDG_00972
ERR1913185.25933__1.25933	214856__I3YPP3__Alfi_2701
ERR1913185.25996__1.25996	40518__R5DVL2__penA
ERR1913185.26011__1.26011	328814__GCA_004558275.1_00062
ERR1913185.26058__1.26058	39491__A0A395ZM93__DXD13_03490
ERR1913185.26212__1.26212	410072__C0B8G3__DXD67_01535
ERR1913185.26140__1.26140	1262911__R6H1M1__BN557_00925
ERR1913185.26433__1.26433	820__A0A139K337__ERS852459_02375
ERR1913185.26647__1.26647	823__A0A174UR44__M095_2641
ERR1913185.26739__1.26739	907__G0VS01__C6362_10115
ERR1913185.26714__1.26714	46503__R6X6Y1__DCY29_15600
ERR1913185.26769__1.26769	301302__A0A173TYC8__M72_00761
ERR1913185.26771__1.26771	907__A0A2S0M466__SAMN02910401_01656
ERR1913185.26870__1.26870	187327__G4Q7J0__ACDG_00809
ERR1913185.26897__1.26897	1796652__group_61
ERR1913185.26983__1.26983	46506__R6B8Z4__SAMN05444283_11711
ERR1913185.26953__1.26953	544645__A0A3E4SW24__DXC42_17195
ERR1913185.27067__1.27067	357276__I9R002__HMPREF1064_01826
ERR1913185.27070__1.27070	187327__G4Q2T1__ACDG_01978
ERR1913185.27034__1.27034	853__A8SB03__C4Q21_07960
ERR1913185.27094__1.27094	46503__R6WSB3__DCY29_07745
ERR1913185.27096__1.27096	187327__G4Q6Y4__pstC
ERR1913185.27105__1.27105	1796652__group_61
ERR1913185.27107__1.27107	820__A0A374Q854__HMPREF1073_03281
ERR1913185.27137__1.27137	820__A0A3E4W6P0__gmhA
ERR1913185.27267__1.27267	487175__R6AAH6__HMPREF9439_02585
ERR1913185.27305__1.27305	820__A7V859__ERS852462_00341
ERR1913185.27388__1.27388	1681__A0A0H2NPR5__BBBF_1287
ERR1913185.27613__1.27613	28117__B0MTD2__ALIPUT_00428
ERR1913185.27620__1.27620	626929__A0A1Y4JTW9__B5F97_02770
ERR1913185.27757__1.27757	88431__A0A3D0EY52__ERS852573_01763
ERR1913185.27805__1.27805	47678__A5ZF31__DXB67_11050
ERR1913185.27818__1.27818	1160721__R6T344__RBI_I00565
ERR1913185.28077__1.28077	1262911__R6HN81__BN557_00921
ERR1913185.28047__1.28047	100886__E2NPN4__mutX_3
ERR1913185.28141__1.28141	214856__I3YPN9__ERS852447_01389
ERR1913185.28171__1.28171	1262911__R6HN87__BN557_00926
ERR1913185.28257__1.28257	187327__G4Q394__ACDG_01705
ERR1913185.28332__1.28332	1160721__R6TH82__BHW50_00835
ERR1913185.28525__1.28525	820__A0A3E5E0T0__ERS852554_00312
ERR1913185.28667__1.28667	39488__A0A374NJP4__DXD91_10845
