ERR1913259.103__1.103	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913259.25775__1.25775	39491__A0A174EQV2__DXB69_10230
ERR1913259.25850__1.25850	239935__A0A2N8I3G2__CXT89_00720
ERR1913259.26023__1.26023	460384__A0A1I0I9R0__SAMN05216313_12025
ERR1913259.26041__1.26041	28117__B0MTV0__BHV66_06395
ERR1913259.26140__1.26140	651822__GCA_000210715.1_00753
ERR1913259.26300__1.26300	187327__G4Q2J7__ACDG_01693
ERR1913259.26346__1.26346	1262848__R6V8J8__BN818_00569
ERR1913259.26456__1.26456	39491__C4Z8S1__DXB76_06750
ERR1913259.26487__1.26487	820__A0A174TRB5__DXD40_11305
ERR1913259.26637__1.26637	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913259.26665__1.26665	39491__A0A2U2EI54__DXD95_12010
ERR1913259.26778__1.26778	39491__A0A173QT73__alaS_2
ERR1913259.26932__1.26932	1263107__GCA_000436995.1_00014
ERR1913259.27038__1.27038	1263107__GCA_000436995.1_00100
ERR1913259.27240__1.27240	1262924__R7HRJ9__BN585_00557
ERR1913259.27335__1.27335	40518__R5DV58__htrA
ERR1913259.27558__1.27558	1897011__A0A1Q6RE22__BHW41_04590
ERR1913259.27684__1.27684	1099853__R7DMJ2__NSB1T_12820
ERR1913259.27761__1.27761	1262873__R6W6D9__BN605_02180
ERR1913259.27908__1.27908	1628085__A0A3E2Y1Z4__C7386_12230
ERR1913259.27942__1.27942	239935__B2UL21__CXT98_03395
ERR1913259.27970__1.27970	820__A0A174G065__DXB62_08975
ERR1913259.28049__1.28049	1680__R5GZF2__DXC60_01925
ERR1913259.28113__1.28113	40520__C6JG23__ERS852533_01990
ERR1913259.28234__1.28234	1263000__R5ESM1__BN466_01440
ERR1913259.28330__1.28330	204516__U6R9H3__HMPREF1534_03348
ERR1913259.28421__1.28421	1262736__R5Y3Y0__BN496_01937
ERR1913259.28490__1.28490	1550024__G9RZG0__ASJ35_05540
ERR1913259.28809__1.28809	39491__A0A173QT73__alaS_2
ERR1913259.28820__1.28820	1262882__R5MF43__BN519_00282
ERR1913259.29041__1.29041	239935__A0A2N8IKW7__pstA
ERR1913259.29077__1.29077	216816__B3DRY8__DPC6320_0936
ERR1913259.29238__1.29238	40518__R5E304__thiT
ERR1913259.29375__1.29375	1680__A0A087DHN0__AL0462_1532
ERR1913259.29346__1.29346	28117__B0MXR1__BHV66_08035
ERR1913259.29405__1.29405	39491__A0A396FEW6__T1815_18721
ERR1913259.29442__1.29442	39491__C4ZAT2__ERE_28440
ERR1913259.29701__1.29701	1232426__clpB
ERR1913259.29890__1.29890	28025__D3R3B1__BAAM0483_03040
ERR1913259.30007__1.30007	40520__R7D6X4__addA
ERR1913259.30119__1.30119	853__A0A2A7B9I6__DW855_13690
ERR1913259.30157__1.30157	33043__A0A174BPN9__kfoC_2
ERR1913259.30381__1.30381	39491__C4ZHS4__EUR_24420
ERR1913259.30386__1.30386	267818__K1M3G5__B8W86_10480
ERR1913259.30410__1.30410	1897011__A0A1Q6RJV2__BHW41_00030
ERR1913259.30521__1.30521	1262848__R6U9X1__BN818_01687
ERR1913259.30672__1.30672	239935__A0A2N8IIB9__CXU04_01970
ERR1913259.30752__1.30752	33025__A0A395JAJ0__C8D73_107105
ERR1913259.30710__1.30710	1680__A0A087DHN0__AL0462_1532
ERR1913259.30819__1.30819	28052__R7N6Q7__rafA
ERR1913259.30905__1.30905	1263030__R5CTB6__BN705_00381
ERR1913259.31022__1.31022	1897011__A0A1Q6RE83__BHW41_04925
ERR1913259.31133__1.31133	239935__A0A2N8IMD6__CXU03_05585
ERR1913259.31315__1.31315	40520__R7D9K2__DXC87_04105
ERR1913259.31265__1.31265	418240__C6JFI6__ERS852523_01129
ERR1913259.31401__1.31401	40518__R5E550__aroK
ERR1913259.31478__1.31478	116085__D4J6U4__DW747_08365
ERR1913259.31749__1.31749	1262911__R6GJ95__BN557_01617
ERR1913259.31753__1.31753	33043__A0A173ZEP9__araC_1
ERR1913259.31915__1.31915	74426__infB
ERR1913259.31962__1.31962	1550024__G9RPG8__TQ39_05515
ERR1913259.32000__1.32000	1263011__R6E3A4__BN553_01848
ERR1913259.32143__1.32143	46503__K5YT67__HMPREF1060_04023
ERR1913259.32238__1.32238	239935__A0A2N8HT68__ADH72_00510
ERR1913259.32344__1.32344	1897011__A0A1Q6REA0__BHW41_04660
ERR1913259.32459__1.32459	39488__A0A174GS53__dnaC_1
ERR1913259.32706__1.32706	1897011__A0A1Q6RG59__BHW41_02475
ERR1913259.32936__1.32936	1263107__GCA_000436995.1_00199
ERR1913259.33582__1.33582	39488__A0A174CJ01__DXD91_03830
ERR1913259.33635__1.33635	28117__B0MVL2__BHV66_01645
ERR1913259.33751__1.33751	40518__R5DYP7__envC
ERR1913259.34314__1.34314	39491__A0A395ZG74__licR
ERR1913259.34409__1.34409	45851__R5LTE7__BHV86_04805
ERR1913259.34444__1.34444	1150298__R7JUS2__ERS852498_02193
ERR1913259.34495__1.34495	1263011__R6EM33__BN553_01830
ERR1913259.34498__1.34498	884684__GCA_002892425.1_01408
ERR1913259.34677__1.34677	33043__A0A174A113__ERS852445_00416
ERR1913259.34732__1.34732	394340__purL
ERR1913259.34811__1.34811	1680__A0A0B5BL52__ERS852382_00480
ERR1913259.34839__1.34839	1262924__R7HRJ9__BN585_00557
ERR1913259.34876__1.34876	1262924__R7HLJ9__BN585_01064
ERR1913259.34917__1.34917	1680__A0A087DLC6__C8077_00815
ERR1913259.34959__1.34959	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913259.34963__1.34963	40520__R7D9Z5__DXD81_01525
ERR1913259.35074__1.35074	239935__A0A139TPG3__CXT86_08810
ERR1913259.35120__1.35120	1680__R5GKP2__DXD60_06200
ERR1913259.35129__1.35129	1579__A0A3A9YFT4__DB331_00995
ERR1913259.35279__1.35279	74426__nifJ
ERR1913259.35364__1.35364	28025__D3R7N9__DD695_06270
ERR1913259.35338__1.35338	1263107__GCA_000436995.1_00126
ERR1913259.35449__1.35449	1262942__R7QZT1__BN520_02233
ERR1913259.35521__1.35521	74426__asnS
ERR1913259.35777__1.35777	2173__A0A1D2WVA1__Msm_0411
ERR1913259.36134__1.36134	1262736__R5Y5M4__BN496_00634
ERR1913259.36174__1.36174	2173__A0A1D2WU48__Msm_1454
ERR1913259.36227__1.36227	40518__R5DUU8__DXD86_08440
ERR1913259.36237__1.36237	158787__A0A087DG80__BSCA_1742
ERR1913259.36327__1.36327	1262992__R5DAK8__BN795_01248
ERR1913259.36459__1.36459	1680__A0A087DHN0__AL0462_1532
ERR1913259.36499__1.36499	1263000__R5EXT3__BN466_02213
ERR1913259.36729__1.36729	458033__GCA_001482755.1_02203
ERR1913259.36672__1.36672	39491__A0A396FSK3__ERS852417_00383
ERR1913259.36757__1.36757	74426__group_1088
ERR1913259.37198__1.37198	1262924__R7HPS8__BN585_00646
ERR1913259.37266__1.37266	1680__A0A087DLC6__C8077_00815
ERR1913259.37336__1.37336	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913259.37375__1.37375	39491__A0A174M1X5__DXB99_18695
ERR1913259.37411__1.37411	2173__A5UNC4__METSMIALI_00562
ERR1913259.37473__1.37473	820__A0A139KIL9__DXC68_05945
ERR1913259.37677__1.37677	820__A0A174Q0F0__DXB48_08080
ERR1913259.37901__1.37901	88431__A0A173XSN2__ERS852526_00723
ERR1913259.38017__1.38017	1680__R5GZJ8__BSTER_1195
ERR1913259.38034__1.38034	239935__A0A2N8HL14__CXT98_09285
ERR1913259.38090__1.38090	820__I9A4U7__DHU98_12785
ERR1913259.38211__1.38211	1681__A0A0H2PP44__BBTM_02041
ERR1913259.38377__1.38377	1262911__R6GX31__BN557_00315
ERR1913259.38339__1.38339	39491__A0A396FNY7__LD38_16155
ERR1913259.38467__1.38467	820__A0A173YYG4__evgS_3
ERR1913259.38961__1.38961	1550024__A0A0D8IY45__ASJ35_05575
ERR1913259.38981__1.38981	74426__group_4823
ERR1913259.39148__1.39148	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913259.39365__1.39365	1150298__R7JTX5__ERS852535_01291
ERR1913259.39611__1.39611	1681__E4V807__BIFI_0882
ERR1913259.39723__1.39723	1262924__R7HQD9__BN585_00129
ERR1913259.40113__1.40113	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913259.40272__1.40272	626929__F3PLK2__B5F97_09745
ERR1913259.40290__1.40290	28052__R7N8Y9__macB_4
ERR1913259.40340__1.40340	1680__A0A087DHN0__AL0462_1532
ERR1913259.40378__1.40378	239935__R7DVW2__CXU02_03915
ERR1913259.40301__1.40301	818__A0A174N1L6__ERS852511_02039
ERR1913259.40310__1.40310	39491__R6TQ09__DXC13_03010
ERR1913259.40424__1.40424	1680__A0A374QDL4__LMG18897_0432
ERR1913259.40527__1.40527	184870__A0A134BLK5__Q618_VCMC00001G1155
ERR1913259.40531__1.40531	216816__A0A2I1IYC5__BLNIAS_00571
ERR1913259.40536__1.40536	820__A0A139K1Y6__DXB48_02610
ERR1913259.40722__1.40722	626940__E8LCB4__DCQ00_08105
ERR1913259.40729__1.40729	214856__R6XTZ7__ERS852447_02314
ERR1913259.40773__1.40773	239935__A0A2N8I1R3__CXU05_06075
ERR1913259.40822__1.40822	40520__R7D624__DXC87_06475
ERR1913259.40782__1.40782	39491__A0A0M6WLC7__ERS852497_00640
ERR1913259.40968__1.40968	1262848__R6VIN8__BN818_01634
ERR1913259.41226__1.41226	39491__A0A395UWZ1__DXC13_02175
ERR1913259.41299__1.41299	39486__A0A3E4M8R7__mobB
ERR1913259.41281__1.41281	1263000__R5F0H4__BN466_00249
ERR1913259.41328__1.41328	33043__A0A173ZDC4__malL_1
ERR1913259.41351__1.41351	1262911__R6H1D2__BN557_00855
ERR1913259.41394__1.41394	74426__gap
ERR1913259.41473__1.41473	28025__D3R3F9__BLC1_0248
ERR1913259.41548__1.41548	39492__A0A174ZG93__EUBSIR_00254
ERR1913259.41559__1.41559	1262924__R7HM17__BN585_01318
ERR1913259.41651__1.41651	39492__R6SPM9__pheT
ERR1913259.41749__1.41749	301302__A0A173T3P5__ERS852420_01836
ERR1913259.41790__1.41790	239935__R6J5N6__CXT99_10770
ERR1913259.41845__1.41845	1197717__A0A1B2I6G5__BED41_11100
ERR1913259.41995__1.41995	40518__R5E6Y7__DXD83_08230
ERR1913259.42140__1.42140	1262848__R6UJ33__BN818_00932
ERR1913259.42122__1.42122	239935__A0A2N8INK7__Amuc_0521
ERR1913259.42224__1.42224	1681__A0A3E4TVE9__HMPREF3196_01855
ERR1913259.42193__1.42193	39492__D4JVT0__EUBSIR_00059
ERR1913259.42232__1.42232	239935__A0A139TT05__CXU09_03335
ERR1913259.42242__1.42242	1263107__GCA_000436995.1_00097
ERR1913259.42335__1.42335	1263107__GCA_000436995.1_00194
ERR1913259.42349__1.42349	1680__A0A087DHN0__AL0462_1532
ERR1913259.42353__1.42353	74426__group_4823
ERR1913259.42576__1.42576	33043__A0A174AEP1__apr
ERR1913259.42808__1.42808	39491__R6TNE2__LD38_07270
ERR1913259.43167__1.43167	267818__A0A0R1PHZ1__WANG_1385
ERR1913259.43670__1.43670	820__A0A174QLF0__SAMN05444418_109151
ERR1913259.43813__1.43813	39491__A0A395UZL1__DXB76_05950
ERR1913259.43922__1.43922	147206__GCF_000156215.1_01387
ERR1913259.44226__1.44226	884684__GCA_002892425.1_01408
ERR1913259.44365__1.44365	39485__A0A174ZQ05__EUBELI_01606
ERR1913259.44399__1.44399	1262736__R5YAB9__BN496_01574
ERR1913259.44437__1.44437	39491__A0A395ZDC6__addB
ERR1913259.44472__1.44472	239935__A0A2N8HDT1__CXT94_05270
ERR1913259.44482__1.44482	239935__A0A2N8IYM5__CXT84_05130
ERR1913259.44485__1.44485	820__A0A374Q854__HMPREF1073_03281
ERR1913259.44552__1.44552	301301__A0A395V8E1__RHOM_11160
ERR1913259.44566__1.44566	239935__A0A2N8HSC0__CXU06_05505
ERR1913259.44741__1.44741	2173__A0A1D2WX40__BK798_08810
ERR1913259.44746__1.44746	1550024__G9RZG0__ASJ35_05540
ERR1913259.44955__1.44955	39491__A0A395ZJZ1__LD38_01870
ERR1913259.45169__1.45169	1262848__R6V8K7__BN818_00573
ERR1913259.45242__1.45242	1897011__A0A1Q6RBT0__BHW41_06785
ERR1913259.45302__1.45302	649756__L1PU84__ERS852571_01295
ERR1913259.45269__1.45269	40518__R5E550__aroK
ERR1913259.45328__1.45328	74426__rpoC
ERR1913259.45570__1.45570	214856__I3YPI7__pepD_1
ERR1913259.45658__1.45658	74426__sugC
ERR1913259.45665__1.45665	446660__GCA_003428235.1_00097
ERR1913259.45703__1.45703	1680__R5GR82__AD0028_0014
ERR1913259.46054__1.46054	1262924__R7HLJ9__BN585_01064
ERR1913259.46066__1.46066	39488__A0A174CJ01__DXD91_03830
ERR1913259.46279__1.46279	1262924__R7HMZ0__BN585_01986
ERR1913259.46383__1.46383	246787__A0A3D6AQP8__AA416_04153
ERR1913259.46572__1.46572	1680__A0A0C2YNK5__BADO_0780
ERR1913259.46585__1.46585	458033__GCA_001482755.1_02203
ERR1913259.46657__1.46657	1680__A0A174BEE7__BSTER_1311
ERR1913259.46748__1.46748	40520__R7DDA4__RUMOBE_00531
ERR1913259.46802__1.46802	267818__A0A1G5W539__B8W86_04065
ERR1913259.47478__1.47478	40520__R7D565__DXC87_03555
ERR1913259.47503__1.47503	39492__D4JTU4__ykfG
ERR1913259.47572__1.47572	853__A0A173YYY4__DWZ04_09420
ERR1913259.47645__1.47645	39491__A0A396FEW6__T1815_18721
ERR1913259.47800__1.47800	12390__GeneID:2767957
ERR1913259.47890__1.47890	246787__A0A0P0G684__cirA_10
ERR1913259.47897__1.47897	907__G0VRX3__MELS_1794
ERR1913259.48056__1.48056	1262848__R6TXR7__BN818_00316
ERR1913259.48140__1.48140	39491__C4ZAT2__ERE_28440
ERR1913259.48181__1.48181	1262848__R6VHS2__BN818_01514
ERR1913259.48325__1.48325	1680__R5GRA4__ERS852382_01548
ERR1913259.48408__1.48408	184870__A0A134BI98__lacI4
ERR1913259.48422__1.48422	1263011__R6DQB4__BN553_01080
ERR1913259.48467__1.48467	39485__C4Z0F4__ERS852490_00945
ERR1913259.48718__1.48718	40518__R5DYF6__RBL263_01812
ERR1913259.48822__1.48822	357276__I8W1E1__B5F00_10785
ERR1913259.48778__1.48778	74426__nifJ
ERR1913259.48920__1.48920	1262924__R7HNA9__BN585_00137
ERR1913259.48937__1.48937	1150298__A0A174SLE6__mlc_1
ERR1913259.49252__1.49252	1262924__R7HMZ0__BN585_01986
ERR1913259.49351__1.49351	216816__B3DR71__CE159_04070
ERR1913259.49498__1.49498	39491__A0A395ZG74__licR
