ERR1913271.7__1.7	1628085__A0A396QTT4__C7386_103139
ERR1913271.14555__1.14555	818__A0A1H7L4U6__BSIG_3287
ERR1913271.14843__1.14843	371601__D6D2Q4__HMPREF1074_00826
ERR1913271.15017__1.15017	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913271.15041__1.15041	818__Q8A0V7__BSIG_2755
ERR1913271.15231__1.15231	28117__R7JH62__BHV66_05735
ERR1913271.15320__1.15320	1150298__R7JPI7__cotI
ERR1913271.15393__1.15393	649756__A0A174Q8Z0__mtlD_4
ERR1913271.15617__1.15617	28117__B0MST6__BHV66_06090
ERR1913271.15592__1.15592	74426__nifJ
ERR1913271.15659__1.15659	1628085__A0A2U1BCR5__C7386_10796
ERR1913271.15817__1.15817	214856__A0A174ZLY7__ERS852447_02456
ERR1913271.15871__1.15871	166486__D4KUC4__arcB_1
ERR1913271.16081__1.16081	821__A0A174NSU0__BVU_3144
ERR1913271.16299__1.16299	818__D7I7V5__BJP75_001030
ERR1913271.16767__1.16767	818__A0A174RFL1__ERS852511_03380
ERR1913271.16826__1.16826	39485__A0A174YNF6__lytR_1
ERR1913271.16958__1.16958	487174__K0XKD7__HMPREF9448_01550
ERR1913271.16989__1.16989	1262700__R5XC07__BN695_01332
ERR1913271.17001__1.17001	28116__F7L4N5__BACOVA_00137
ERR1913271.17004__1.17004	649756__D4MVS5__yxeP
ERR1913271.17015__1.17015	418240__A0A174QSP2__kinA_1
ERR1913271.17016__1.17016	821__A0A395UNT8__DXD64_15275
ERR1913271.17140__1.17140	39485__A0A174ZLH6__EUBELI_01564
ERR1913271.17169__1.17169	216816__A0A2I1IYC5__BLNIAS_00571
ERR1913271.17190__1.17190	39485__C4Z5L2__ERS852490_00659
ERR1913271.17332__1.17332	818__A0A1H7S810__BJP75_003270
ERR1913271.17379__1.17379	28118__F9Z7M5__B5F99_15930
ERR1913271.17501__1.17501	418240__C6JET3__ERS852478_01564
ERR1913271.17576__1.17576	28117__R7JJM9__ALIPUT_00662
ERR1913271.17623__1.17623	821__U6RDC2__DXD46_15675
ERR1913271.17729__1.17729	204516__U6RAM4__HMPREF1534_03439
ERR1913271.17825__1.17825	166486__D4KZ04__ERS852572_01569
ERR1913271.18031__1.18031	818__A0A3E5HHL6__C799_04659
ERR1913271.18249__1.18249	166486__D4KWR9__dapF_1
ERR1913271.18212__1.18212	39485__A0A174YMI9__cph2_5
ERR1913271.18274__1.18274	39485__C4Z684__ERS852492_01895
ERR1913271.18368__1.18368	817__A0A396EEF1__HMPREF2533_00532
ERR1913271.18371__1.18371	166486__D4L1P2__ROSINTL182_05240
ERR1913271.18350__1.18350	166486__A0A173T114__ROSINTL182_05085
ERR1913271.18419__1.18419	28117__B0MYW7__ALIPUT_02336
ERR1913271.18501__1.18501	166486__D4L1D8__ROSINTL182_06455
ERR1913271.18599__1.18599	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.18703__1.18703	214856__A0A173ZSM1__ERS852447_00944
ERR1913271.18954__1.18954	818__A0A174VV39__BT_3492
ERR1913271.18978__1.18978	166486__C7GCP5__ROSINTL182_07683
ERR1913271.19054__1.19054	166486__D4L0Q4__ERS852572_03675
ERR1913271.19059__1.19059	818__A0A396E9L6__C799_02774
ERR1913271.19069__1.19069	214856__A0A174A1J3__ERS852447_01000
ERR1913271.19090__1.19090	818__A0A139KMR0__Btheta7330_03958
ERR1913271.19203__1.19203	821__A6L0C7__ERS852556_03520
ERR1913271.19297__1.19297	821__A0A174WBC9__ERS852556_03145
ERR1913271.19366__1.19366	384638__B7APN3__BACPEC_00639
ERR1913271.19773__1.19773	39485__C4Z6K2__ERS852490_00407
ERR1913271.19714__1.19714	818__A0A3E5H5M0__SAMN05216253_12081
ERR1913271.19922__1.19922	817__Q5LEA1__M126_2047
ERR1913271.19856__1.19856	818__A0A3E5HGB5__ERS852511_02145
ERR1913271.19979__1.19979	166486__D4L378__hcaR
ERR1913271.19981__1.19981	1262989__R6ZJK5__BN815_01843
ERR1913271.20052__1.20052	166486__D4KW03__ERS852572_03114
ERR1913271.20080__1.20080	328814__GCA_004558275.1_01745
ERR1913271.20200__1.20200	166486__D4KUC8__ERS852572_00958
ERR1913271.20350__1.20350	821__A0A0P0M405__DXC02_15075
ERR1913271.20393__1.20393	817__Q64ZG0__CQW35_00939
ERR1913271.20463__1.20463	28117__B0N007__BHV66_10275
ERR1913271.20544__1.20544	214856__I3YMB7__Alfi_1811
ERR1913271.20627__1.20627	818__A0A1H7L4U6__BSIG_3287
ERR1913271.20670__1.20670	166486__D4L1P5__ERS852572_00758
ERR1913271.20795__1.20795	821__A0A396F1N0__M099_1553
ERR1913271.21205__1.21205	821__A0A173XDD3__DXB82_17180
ERR1913271.21240__1.21240	39485__C4Z2I5__ERS852492_02214
ERR1913271.21310__1.21310	216816__B7GPE8__I118_0062
ERR1913271.21347__1.21347	1262899__R7J6V3__BN657_01623
ERR1913271.21599__1.21599	166486__A0A173T114__ROSINTL182_05085
ERR1913271.21664__1.21664	28116__A0A1Y4PUF8__DXF98_07610
ERR1913271.21818__1.21818	28117__R7JJM9__ALIPUT_00662
ERR1913271.22012__1.22012	1262899__R7JCT6__BN657_02305
ERR1913271.22239__1.22239	166486__D4L1P2__ROSINTL182_05240
ERR1913271.22486__1.22486	28117__B0MTH2__ALIPUT_00061
ERR1913271.22592__1.22592	649756__A0A173TJC0__DO83_00275
ERR1913271.22660__1.22660	818__A0A1H7S810__BJP75_003270
ERR1913271.22675__1.22675	818__A0A0P0F7K1__ERS852461_02719
ERR1913271.22839__1.22839	214856__A0A174FWM7__ERS852559_00590
ERR1913271.23201__1.23201	218538__C9LR48__GCWU000321_00316
ERR1913271.23309__1.23309	649756__B0P3M9__ERS852475_01934
ERR1913271.23317__1.23317	28117__B0MVL5__BHV66_01660
ERR1913271.23527__1.23527	28116__A0A1Y4PWN5__M088_3731
ERR1913271.23761__1.23761	166486__D4L0L8__ROSINTL182_08063
ERR1913271.23819__1.23819	166486__D4L458__ROSINTL182_07088
ERR1913271.23939__1.23939	853__A0A173XRA8__CGS56_09290
ERR1913271.24268__1.24268	1262992__R5D3X7__BN795_00539
ERR1913271.24360__1.24360	821__A0A173XDD3__DXB82_17180
ERR1913271.24480__1.24480	216816__B3DNW2__BL171B_07980
ERR1913271.24651__1.24651	487174__K0X5B1__DDY40_01695
ERR1913271.24817__1.24817	214856__A0A174A257__ERS852447_01007
ERR1913271.25019__1.25019	216816__B7GPE8__I118_0062
ERR1913271.25097__1.25097	166486__D4L398__ERS852572_03633
ERR1913271.25171__1.25171	28116__E5C687__DXA80_21890
ERR1913271.25289__1.25289	28117__R7JN92__BHV66_00550
ERR1913271.25400__1.25400	552398__F4XEV0__HMPREF0866_02122
ERR1913271.25402__1.25402	818__A0A0P0FWH4__Btheta7330_05099
ERR1913271.25310__1.25310	166486__D4L0Q4__ERS852572_03675
ERR1913271.25523__1.25523	166486__D4L456__rpfG_10
ERR1913271.25866__1.25866	39485__A0A174YW66__ERS852490_03040
ERR1913271.25812__1.25812	818__E5C5U7__SAMN05216253_101163
ERR1913271.26043__1.26043	487174__K0XA11__DDY40_03585
ERR1913271.26644__1.26644	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913271.26739__1.26739	39485__C4Z6K2__ERS852490_00407
ERR1913271.26752__1.26752	821__A0A174NM17__lacZ_6
ERR1913271.26832__1.26832	817__Q64VD4__M113_1792
ERR1913271.26902__1.26902	166486__D4KV78__aroA
ERR1913271.26858__1.26858	487174__K0X5U7__DDY40_04950
ERR1913271.27077__1.27077	166486__D4L398__ERS852572_03633
ERR1913271.27254__1.27254	1262992__R5D5Z8__BN795_00201
ERR1913271.27301__1.27301	166486__A0A173T114__ROSINTL182_05085
ERR1913271.27337__1.27337	28116__A0A3D2LPA1__CUY_3388
ERR1913271.27223__1.27223	358743__A0A0F0CDB4__HMPREF9469_04682
ERR1913271.27411__1.27411	166486__C7GAX1__ERS852572_03188
ERR1913271.27561__1.27561	1150298__A0A173YHI7__ERS852406_00466
ERR1913271.27584__1.27584	214856__A0A174ZED5__ERS852559_00591
ERR1913271.27639__1.27639	487174__W0ES49__HMPREF9448_00709
ERR1913271.27752__1.27752	166486__D4KNM9__ERS852572_00072
ERR1913271.27763__1.27763	216816__A0A396FVC5__BL71B_00290
ERR1913271.27846__1.27846	39485__A0A174YMI9__cph2_5
ERR1913271.27931__1.27931	216816__E8MVM4__APC1480_1562
ERR1913271.27932__1.27932	1262992__R5D4D9__BN795_00562
ERR1913271.27941__1.27941	818__A0A0P0FBI1__NCTC10582_00163
ERR1913271.27957__1.27957	166486__D4L457__ROSINTL182_07087
ERR1913271.28020__1.28020	214856__A0A173ZSM1__ERS852447_00944
ERR1913271.28062__1.28062	166486__C7GAX1__ERS852572_03188
ERR1913271.28110__1.28110	166486__D4KXK8__xynB_1
ERR1913271.28362__1.28362	1262992__R5D6J2__BN795_00288
ERR1913271.28335__1.28335	292800__A0A096B6V4__tap_3
ERR1913271.28369__1.28369	39485__A0A174YVS4__EUBELI_00620
ERR1913271.28561__1.28561	39490__A0A173U8I1__LG34_05080
ERR1913271.28597__1.28597	745368__A0A1T4XXN7__SAMN02745178_02496
ERR1913271.28601__1.28601	166486__D4L458__ROSINTL182_07088
ERR1913271.28644__1.28644	166486__D4L255__mcp4_5
ERR1913271.29020__1.29020	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913271.29027__1.29027	817__R5RHL6__AC239_05800
ERR1913271.29066__1.29066	821__A0A174RA14__M099_1655
ERR1913271.29337__1.29337	552398__F4XFG7__HMPREF0866_02342
ERR1913271.29422__1.29422	1262992__R5D3T4__BN795_00483
ERR1913271.29488__1.29488	1262873__R6WKN1__BN605_00901
ERR1913271.29586__1.29586	28117__B0MSL1__BHV66_06710
ERR1913271.29588__1.29588	818__A0A3E5HNS1__BSIG_0465
ERR1913271.29611__1.29611	166486__D4L337__msbA_4
ERR1913271.29817__1.29817	39485__A0A174Z9M2__yhbU_1
ERR1913271.30065__1.30065	166486__D4L1P5__ERS852572_00758
ERR1913271.30517__1.30517	214856__A0A174ZEW0__ERS852447_00985
ERR1913271.30789__1.30789	166486__D4KUC8__ERS852572_00958
ERR1913271.30774__1.30774	1343__E8KXA9__HMPREF9192_0245
ERR1913271.30849__1.30849	39485__R5ZZA6__ERS852490_00168
ERR1913271.30952__1.30952	166486__A0A1Q6SCR5__ROSINTL182_05686
ERR1913271.31008__1.31008	1262992__R5D645__BN795_00736
ERR1913271.31054__1.31054	166486__D4KWZ7__cph2_5
ERR1913271.31161__1.31161	39485__C4Z390__EUBELI_01689
ERR1913271.31274__1.31274	487174__K0XLH2__HMPREF9448_01152
ERR1913271.31315__1.31315	28117__B0MTI4__ALIPUT_00084
ERR1913271.31442__1.31442	214856__A0A174A0R8__ERS852447_00998
ERR1913271.31451__1.31451	1383__GCA_001438885.1_00443
ERR1913271.31555__1.31555	817__Q64RY5__M122_2555
ERR1913271.31790__1.31790	649756__B0P3X1__DCR88_11540
ERR1913271.31739__1.31739	28116__F7LC60__AA414_00422
ERR1913271.31852__1.31852	28117__B0MWC6__BHV66_00965
ERR1913271.32144__1.32144	487174__K0XLC3__HMPREF9448_01065
ERR1913271.32495__1.32495	818__A0A0N7IB02__BT_3500
ERR1913271.32539__1.32539	487174__K0XLV6__DIT83_00940
ERR1913271.32696__1.32696	817__F7LVE5__HMPREF1066_03880
ERR1913271.32618__1.32618	33038__A0A2N5NWJ7__CDL25_16350
ERR1913271.32650__1.32650	166486__D4KXZ7__ROSINTL182_05052
ERR1913271.32763__1.32763	204516__U6RAM4__HMPREF1534_03439
ERR1913271.32775__1.32775	649756__B0P1Y8__ERS852571_00196
ERR1913271.32931__1.32931	53442__A0A1E7S3R5__SAMN04515649_10324
ERR1913271.32932__1.32932	106588__A6NUL8__BACCAP_01900
ERR1913271.33251__1.33251	817__A0A015YR67__M130_0551
ERR1913271.33383__1.33383	208479__A8S3U7__CGC65_07535
ERR1913271.33640__1.33640	189722__E0NQU7__HMPREF0658_0548
ERR1913271.33791__1.33791	853__A0A174BZY1__xerD_1
ERR1913271.33921__1.33921	166486__A0A173T114__ROSINTL182_05085
ERR1913271.34081__1.34081	39485__A0A1Q6PH92__cbbX
ERR1913271.34235__1.34235	1262992__R5DBP5__BN795_00200
ERR1913271.34318__1.34318	818__A0A174RFL1__ERS852511_03380
ERR1913271.34456__1.34456	357276__I9QBT7__BSEG_03340
ERR1913271.34621__1.34621	28116__E5C3L8__DXF98_06270
ERR1913271.34655__1.34655	166486__C7G7A6__ROSINTL182_05773
ERR1913271.34791__1.34791	1262948__R7EEL8__BN671_00728
ERR1913271.34805__1.34805	218538__C9LR41__GCWU000321_00309
ERR1913271.34898__1.34898	166486__D4KUC4__arcB_1
ERR1913271.34901__1.34901	1262992__R5CYF8__BN795_01273
ERR1913271.34971__1.34971	216816__D6DBD5__DXC32_04335
ERR1913271.35079__1.35079	1780376__A0A143XSC4__BN3659_01663
ERR1913271.35042__1.35042	1262992__R5D733__BN795_00375
ERR1913271.35125__1.35125	40520__A0A3E5A422__RUMOBE_00654
ERR1913271.35186__1.35186	166486__D4L458__ROSINTL182_07088
ERR1913271.35534__1.35534	166486__A0A173T114__ROSINTL182_05085
ERR1913271.35611__1.35611	384638__B7AVU0__BACPEC_02840
ERR1913271.36009__1.36009	487174__K0X177__HMPREF9448_00818
ERR1913271.36104__1.36104	487174__K0WV63__DIT83_11035
ERR1913271.36336__1.36336	818__A0A3E5HN72__C799_03359
ERR1913271.36301__1.36301	649756__A0A173SZT9__ptsG_1
ERR1913271.36382__1.36382	218538__C9LNQ3__GCWU000321_01176
ERR1913271.36526__1.36526	818__A0A174T624__HMPREF2534_01176
ERR1913271.36541__1.36541	821__A0A0P0M2J4__DXD46_10295
ERR1913271.36614__1.36614	166486__D4L1H3__sacC
ERR1913271.36584__1.36584	487174__K0X3E9__DDY40_04905
ERR1913271.36712__1.36712	821__A0A3E4WAR6__DXD64_10735
ERR1913271.36718__1.36718	28117__B0MT86__BHV66_02450
ERR1913271.36803__1.36803	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913271.36918__1.36918	649756__L1PU84__ERS852571_01295
ERR1913271.37130__1.37130	1262992__R5DCG2__BN795_00315
ERR1913271.37148__1.37148	214856__A0A174A0P3__ERS852447_00994
ERR1913271.37194__1.37194	239935__A0A2N8HHY4__DEF40_10850
ERR1913271.37302__1.37302	384638__B7AVU0__BACPEC_02840
ERR1913271.37322__1.37322	853__A0A2A7B9I6__DW855_13690
ERR1913271.37342__1.37342	818__A0A0P0F2P7__BT_1771
ERR1913271.37445__1.37445	28117__R7JN92__BHV66_00550
ERR1913271.37502__1.37502	28117__R7JH62__BHV66_05735
ERR1913271.37617__1.37617	853__C7H1R8__DW905_06675
ERR1913271.37786__1.37786	166486__C7GCP5__ROSINTL182_07683
ERR1913271.37898__1.37898	166486__A0A173RAP7__ROSINTL182_07969
ERR1913271.37938__1.37938	649756__A0A173TB83__HMPREF0369_01758
ERR1913271.37923__1.37923	28116__A0A1Y4PWN5__M088_3731
ERR1913271.38139__1.38139	818__A0A0P0FI06__BJP75_017205
ERR1913271.38216__1.38216	216816__R5MZK3__DPC6320_1630
ERR1913271.38158__1.38158	853__A0A173YYY4__DWZ04_09420
ERR1913271.38281__1.38281	458033__GCA_001482755.1_02203
ERR1913271.38313__1.38313	821__A0A174WBC9__ERS852556_03145
ERR1913271.38304__1.38304	214856__A0A174ZLY7__ERS852447_02456
ERR1913271.38335__1.38335	818__A0A139L1N9__ERS852430_00647
ERR1913271.38486__1.38486	818__A0A174N1L6__ERS852511_02039
ERR1913271.38828__1.38828	821__A0A174ALF2__BvMPK_3016
ERR1913271.38922__1.38922	818__A0A0P0F989__BJP75_019080
ERR1913271.39010__1.39010	821__R6F3Y1__SAMN04487923_104318
ERR1913271.39048__1.39048	818__A0A3E5HGB5__ERS852511_02145
ERR1913271.39087__1.39087	28118__R6FX99__Odosp_1660
ERR1913271.39232__1.39232	166486__C7G8R8__ROSINTL182_06294
ERR1913271.39318__1.39318	166486__D4KZ27__ROSINTL182_05762
ERR1913271.39352__1.39352	357276__I9QBT7__BSEG_03340
ERR1913271.39478__1.39478	166486__D4KUK5__thiM
ERR1913271.39537__1.39537	28116__A0A078Q9S5__DXD69_13430
ERR1913271.39631__1.39631	1235790__S0J8L6__C805_00148
ERR1913271.39693__1.39693	166486__D4L1D8__ROSINTL182_06455
ERR1913271.39708__1.39708	1735__B7CE21__EUBIFOR_02456
ERR1913271.39789__1.39789	818__A0A3E5HDU6__C799_04515
ERR1913271.40236__1.40236	487174__K0WYI1__DDY40_08675
ERR1913271.40281__1.40281	166486__D4L2T9__lytM
ERR1913271.40297__1.40297	821__A0A397WGD6__M098_0084
ERR1913271.40349__1.40349	28117__B0MXI8__BHV66_08505
ERR1913271.40526__1.40526	28116__A7LS06__HMPREF2532_04668
ERR1913271.40548__1.40548	487174__K0WRZ5__HMPREF9448_02826
ERR1913271.40615__1.40615	818__D7I7V5__BJP75_001030
ERR1913271.40632__1.40632	487174__K0WUZ1__DIT83_10815
ERR1913271.40658__1.40658	818__A0A3E5HN77__HMPREF2534_00072
ERR1913271.40673__1.40673	166486__D4L082__yicI_5
ERR1913271.41313__1.41313	166486__D4KWN4__ERS852572_01865
ERR1913271.41465__1.41465	166486__D4KY48__gmr_5
ERR1913271.41577__1.41577	166486__R6AY46__ROSINTL182_06128
ERR1913271.41659__1.41659	166486__D4KUE4__ROSINTL182_08606
ERR1913271.41723__1.41723	28117__B0MYM2__BHV66_04910
ERR1913271.41746__1.41746	28117__B0MY34__BHV66_05195
ERR1913271.41856__1.41856	487174__K0WTV8__DIT83_04385
ERR1913271.42084__1.42084	818__A0A0P0FT56__BSIG_1453
ERR1913271.42164__1.42164	817__A0A396C3S8__CQW36_02929
ERR1913271.42289__1.42289	821__A0A0P0M405__DXC02_15075
ERR1913271.42292__1.42292	166486__D4L1D8__ROSINTL182_06455
ERR1913271.42309__1.42309	28117__B0MTS2__ALIPUT_00159
ERR1913271.42469__1.42469	853__A0A2J4JL53__CRH10_10795
ERR1913271.42519__1.42519	487174__K0XLV6__DIT83_00940
ERR1913271.42622__1.42622	817__Q5LEA1__M126_2047
ERR1913271.42714__1.42714	818__A0A1H7S810__BJP75_003270
ERR1913271.42775__1.42775	218538__C9LQU1__GCWU000321_01923
ERR1913271.42917__1.42917	1262992__R5CXL9__BN795_01014
ERR1913271.42924__1.42924	166486__D4KJ71__ERS852572_03479
ERR1913271.43376__1.43376	33038__A0A396G7U5__CDL21_03845
ERR1913271.43600__1.43600	214856__A0A174FWM7__ERS852559_00590
ERR1913271.43575__1.43575	166486__D4KUM5__afr
ERR1913271.43709__1.43709	817__Q64PG5__M084_3388
ERR1913271.43715__1.43715	166486__D4L346__ROSINTL182_06263
ERR1913271.43802__1.43802	853__A0A329UEG4__CHR60_00585
ERR1913271.43850__1.43850	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.44130__1.44130	853__A0A174BA00__DW905_01145
ERR1913271.44147__1.44147	39485__A0A174ZG70__ERS852492_00929
ERR1913271.44293__1.44293	166486__D4L337__msbA_4
