ERR1913199.530__1.530	544645__A0A3E4TGD2__DXC42_03440
ERR1913199.8832__1.8832	291645__I8XPK0__HMPREF1068_01554
ERR1913199.8856__1.8856	216816__B7GQM4__BLIC_f01073
ERR1913199.9550__1.9550	47678__R5UAY9__DW706_07200
ERR1913199.9763__1.9763	1628085__A0A2U1BGK0__C7386_10145
ERR1913199.9926__1.9926	649756__B0P1V9__CL2_10750
ERR1913199.9944__1.9944	28026__A0A174CDN1__DXC83_09100
ERR1913199.10015__1.10015	1034346__A0A2V2FYK1__DES51_106219
ERR1913199.10042__1.10042	1262948__R7EEL8__BN671_00728
ERR1913199.10080__1.10080	418240__A0A174BCX7__ERS852478_02371
ERR1913199.10055__1.10055	47678__R5U969__C5Z00_13130
ERR1913199.10296__1.10296	820__A0A139K1Y6__DXB48_02610
ERR1913199.10459__1.10459	1262743__R5C054__BN727_01980
ERR1913199.11014__1.11014	823__A0A355XLS2__ERS852380_02644
ERR1913199.10981__1.10981	357276__A0A076J4B1__DXD47_03445
ERR1913199.11189__1.11189	47678__A5ZEA3__ERS852558_00257
ERR1913199.11219__1.11219	821__A0A0P0M405__DXC02_15075
ERR1913199.11165__1.11165	360807__A0A1Q6SXK5__RIL183_06541
ERR1913199.11406__1.11406	1897011__A0A1Q6REU8__BHW41_04300
ERR1913199.11361__1.11361	74426__purC
ERR1913199.11459__1.11459	216816__D6DCL7__BFS26_02835
ERR1913199.11744__1.11744	820__E5VEH7__ERS852459_01300
ERR1913199.11727__1.11727	357276__I8VLL2__HMPREF1065_03395
ERR1913199.11795__1.11795	39491__A0A396FMF1__EUR_28700
ERR1913199.11914__1.11914	1680__A0A076JM61__DXD63_05245
ERR1913199.12083__1.12083	357276__I9FRW5__B5F95_21685
ERR1913199.12272__1.12272	28026__A0A267WJP6__AW18_01035
ERR1913199.12317__1.12317	216816__D6D9J4__DPC6320_0487
ERR1913199.12365__1.12365	552398__F4XCR9__HMPREF0866_01636
ERR1913199.12425__1.12425	166486__D4KNM9__ERS852572_00072
ERR1913199.12441__1.12441	821__R9HFW2__DXD01_00365
ERR1913199.12482__1.12482	821__A0A396F598__CUU_3259
ERR1913199.12811__1.12811	357276__B6W5Q7__DXD47_13945
ERR1913199.13226__1.13226	216816__A0A1V8QFN0__HMPREF1315_0061
ERR1913199.13330__1.13330	46503__R6XCJ0__PARMER_01847
ERR1913199.13388__1.13388	301302__R5V5K3__M72_10541
ERR1913199.13534__1.13534	46503__R6X6Y1__DCY29_15600
ERR1913199.13572__1.13572	821__D4VC51__M099_1508
ERR1913199.13643__1.13643	1262743__R5C054__BN727_01980
ERR1913199.13652__1.13652	310298__B3JQJ5__BACCOP_04231
ERR1913199.13744__1.13744	818__D7IK38__ERS852430_03017
ERR1913199.13855__1.13855	357276__I9R994__BACDOR_04044
ERR1913199.13931__1.13931	338188__A0A174EU88__BACFIN_08820
ERR1913199.14008__1.14008	216816__B3DNW2__BL171B_07980
ERR1913199.14093__1.14093	821__C6ZAA5__ERS852556_00403
ERR1913199.14068__1.14068	310298__B3JQJ5__BACCOP_04231
ERR1913199.14135__1.14135	39491__C4ZAT2__ERE_28440
ERR1913199.14233__1.14233	301302__R5UI99__M72_25591
ERR1913199.14432__1.14432	371601__E5CE41__ERS852396_04351
ERR1913199.14468__1.14468	649756__A0A173SZT9__ptsG_1
ERR1913199.14537__1.14537	820__A0A374Q854__HMPREF1073_03281
ERR1913199.14683__1.14683	33905__A0A0C2Z570__CQR47_0419
ERR1913199.14755__1.14755	216816__C2GTV6__AS143_01355
ERR1913199.14909__1.14909	166486__D4L1P3__ERS852572_00760
ERR1913199.15047__1.15047	820__A0A173WUD7__DXB48_08055
ERR1913199.15084__1.15084	1150298__A0A174QZ74__ERS852406_01102
ERR1913199.15264__1.15264	1735__B7CDA5__EUBIFOR_02186
ERR1913199.15370__1.15370	821__D4VD59__BHV80_04260
ERR1913199.15413__1.15413	216816__B3DRY8__DPC6320_0936
ERR1913199.15567__1.15567	310298__B3JQJ5__BACCOP_04231
ERR1913199.15898__1.15898	357276__I9QBT4__GV66_09000
ERR1913199.15945__1.15945	820__R9HXK9__DXB62_08265
ERR1913199.16153__1.16153	360807__A0A174EVF2__RIL183_27331
ERR1913199.16174__1.16174	821__A6L0C7__ERS852556_03520
ERR1913199.16276__1.16276	823__A0A355XIK0__CEQ22_011965
ERR1913199.16331__1.16331	821__E5UY21__C800_02204
ERR1913199.16294__1.16294	166486__D4L082__yicI_5
ERR1913199.16412__1.16412	821__E5UY21__C800_02204
ERR1913199.16432__1.16432	166486__D4KZY5__ROSINTL182_07635
ERR1913199.16535__1.16535	28026__A0A173ZSU0__DXC83_01895
ERR1913199.16537__1.16537	418240__R7CP87__ERS852523_03380
ERR1913199.16656__1.16656	821__A0A395UNT8__DXD64_15275
ERR1913199.16973__1.16973	166486__D4L1P3__ERS852572_00760
ERR1913199.16957__1.16957	216816__Q8G5T7__HMPREF0175_0394
ERR1913199.17001__1.17001	818__A0A1H7L4U6__BSIG_3287
ERR1913199.17108__1.17108	166486__D4L2T9__lytM
ERR1913199.17081__1.17081	1628085__A0A3E2Y1Z4__C7386_12230
ERR1913199.17152__1.17152	166486__C7GFD3__ERS852572_00983
ERR1913199.17236__1.17236	216816__B7GP87__HMPREF0177_01055
ERR1913199.17477__1.17477	39491__A0A395ZEN3__DXD95_12655
ERR1913199.17495__1.17495	214856__A0A174C683__ERS852559_00523
ERR1913199.17546__1.17546	1262743__R5C054__BN727_01980
ERR1913199.17709__1.17709	47678__R5UXJ2__DW706_08325
ERR1913199.17690__1.17690	46503__R6Y4W3__DXB85_01650
ERR1913199.17859__1.17859	46503__R6Y9P8__evgS_3
ERR1913199.18054__1.18054	78258__I8AP86__HMPREF9017_00700
ERR1913199.18492__1.18492	357276__A0A076IYE6__IY41_04275
ERR1913199.18414__1.18414	1680__A0A0B5BL52__ERS852382_00480
ERR1913199.18507__1.18507	820__A7V470__HMPREF1072_02076
ERR1913199.18609__1.18609	487174__K0WV96__HMPREF9448_01901
ERR1913199.18797__1.18797	102148__E7MM98__HMPREF9430_00698
ERR1913199.18889__1.18889	1680__A7A4N3__ERS852382_00779
ERR1913199.18930__1.18930	487174__R5FJY1__DDY40_07045
ERR1913199.18944__1.18944	823__A0A174VHT1__DHP27_04775
ERR1913199.18965__1.18965	821__A0A173WG51__BVU_2549
ERR1913199.18975__1.18975	360807__A0A173SE91__murR
ERR1913199.19007__1.19007	28026__A0A396BEF1__DXD43_08450
ERR1913199.19432__1.19432	1308__G6ERN5__A9497_05625
ERR1913199.19456__1.19456	47678__R5U6J0__ERS852558_00310
ERR1913199.19458__1.19458	33039__A0A174ZCB2__ERS852577_04014
ERR1913199.19508__1.19508	39491__A0A395V0H6__ERS852580_02570
ERR1913199.19536__1.19536	47678__A5ZI88__BACCAC_02617
ERR1913199.19571__1.19571	301302__R5UKP4__cbiT
ERR1913199.19659__1.19659	821__A0A174NM17__lacZ_6
ERR1913199.19696__1.19696	47678__R5U4P2__CGC64_17185
ERR1913199.19713__1.19713	47678__A5ZF31__DXB67_11050
ERR1913199.19804__1.19804	216816__D6ZW33__azlC
ERR1913199.19805__1.19805	1685__A0A2K9B2Z1__CDA69_00677
ERR1913199.19884__1.19884	357276__B6W1J2__BACDOR_03380
ERR1913199.20165__1.20165	47678__R5UHH8__HMPREF1061_02584
ERR1913199.20184__1.20184	853__A0A173YYY4__DWZ04_09420
ERR1913199.20199__1.20199	387090__S0F421__BACCOPRO_00166
ERR1913199.20382__1.20382	853__A0A173RZ39__C4N22_01650
ERR1913199.20345__1.20345	357276__I8WFU9__BACDOR_02006
ERR1913199.20349__1.20349	853__A0A3E2U7E6__ERS852582_01640
ERR1913199.20350__1.20350	820__I9A4U7__DHU98_12785
ERR1913199.20310__1.20310	310298__B3JQJ5__BACCOP_04231
ERR1913199.20490__1.20490	649756__D4MV03__ERS852425_01248
ERR1913199.20571__1.20571	39491__A0A396FP46__cobD_2
ERR1913199.20618__1.20618	166486__D4L1H3__sacC
ERR1913199.20659__1.20659	418240__C6JFI7__ERS852523_01130
ERR1913199.20990__1.20990	47678__A5ZH12__DXB67_04890
ERR1913199.20993__1.20993	1263109__GCA_000438135.1_01184
ERR1913199.21086__1.21086	310298__B3JK97__BACCOP_02326
ERR1913199.21228__1.21228	310298__B3JQJ5__BACCOP_04231
ERR1913199.21586__1.21586	166486__D4L0J8__ROSINTL182_08089
ERR1913199.21589__1.21589	216816__A0A0M4NCP0__HMPREF1313_0712
ERR1913199.21690__1.21690	216816__C2GSX7__DD678_03555
ERR1913199.21766__1.21766	39486__B0G7S5__DXD50_04355
ERR1913199.21724__1.21724	823__A6LEP0__M091_1976
ERR1913199.21742__1.21742	39491__A0A395ZDC6__addB
ERR1913199.21814__1.21814	301302__A0A0M6WF57__M72_22681
ERR1913199.21823__1.21823	28026__A0A174BM23__DXD87_08160
ERR1913199.21934__1.21934	820__R9HP61__DXC91_01090
ERR1913199.21938__1.21938	820__R9I3Q7__HMPREF1072_01668
ERR1913199.21965__1.21965	214856__R6Y0B9__ERS852559_00164
ERR1913199.22096__1.22096	28026__A0A174A436__pknE_2
ERR1913199.22104__1.22104	821__A0A174T998__DXB82_10860
ERR1913199.22162__1.22162	47678__R5UA23__C5Z00_15610
ERR1913199.22229__1.22229	821__A0A0P0M405__DXC02_15075
ERR1913199.22197__1.22197	357276__A0A076ISJ4__B5F95_19420
ERR1913199.22407__1.22407	823__A0A395YRW4__DD466_15895
ERR1913199.22826__1.22826	216816__C2GSX7__DD678_03555
ERR1913199.22904__1.22904	1308__A0A2U2M0Z8__CW339_04140
ERR1913199.22965__1.22965	46503__R6X0P2__DD461_08655
ERR1913199.22970__1.22970	357276__A0A076IS26__EL88_15950
ERR1913199.23012__1.23012	1680__R5GPK0__B0487_0620
ERR1913199.23071__1.23071	821__A0A174JYD3__ERS852457_02610
ERR1913199.23169__1.23169	166486__D4KPQ7__ROSINTL182_09065
ERR1913199.23196__1.23196	47678__R5UMC3__CGC64_08380
ERR1913199.23360__1.23360	33039__D4M149__ERS852390_03118
ERR1913199.23365__1.23365	821__A0A0P0M2J4__DXD46_10295
ERR1913199.23457__1.23457	821__A0A3E4XY72__NCTC10583_01067
ERR1913199.23836__1.23836	487174__R5F4K8__HMPREF9448_01532
ERR1913199.23862__1.23862	357276__A0A0M1W657__HMPREF1064_04629
ERR1913199.23880__1.23880	39491__A0A174K1W6__DXB99_15020
ERR1913199.23927__1.23927	147207__atpD
ERR1913199.23979__1.23979	47678__A5ZEX0__DW706_08045
ERR1913199.24218__1.24218	39491__A0A396FMF1__EUR_28700
ERR1913199.24339__1.24339	823__A0A395YZG9__M092_4358
ERR1913199.24606__1.24606	487174__K0X4F7__DDY40_08055
ERR1913199.24714__1.24714	47678__A5ZG68__ERS852494_02968
ERR1913199.24795__1.24795	671267__R9ICM6__C802_00589
ERR1913199.24772__1.24772	821__A0A395UNT8__DXD64_15275
ERR1913199.24825__1.24825	47678__R5U7L8__DXB67_16595
ERR1913199.24922__1.24922	818__A0A139K1T6__SAMN05216253_11033
ERR1913199.25222__1.25222	1628085__A0A3E2XSL7__C7386_12131
ERR1913199.25228__1.25228	88431__A6BF91__ERS852573_01159
ERR1913199.25367__1.25367	360807__A0A0M6WKA4__ERS852392_00206
ERR1913199.25510__1.25510	357276__A0A076J8D4__HMPREF1064_00553
ERR1913199.25890__1.25890	1262743__R5C054__BN727_01980
ERR1913199.26264__1.26264	821__A0A173XDD3__DXB82_17180
ERR1913199.26185__1.26185	166486__D4KZ24__ROSINTL182_05766
ERR1913199.26180__1.26180	301302__R5UJV1__ERS852420_01672
ERR1913199.26317__1.26317	357276__I8WML9__DXD47_10570
ERR1913199.26334__1.26334	820__A0A3E4G3J9__ERS852459_02265
ERR1913199.26401__1.26401	301302__R5VF67__M72_01841
ERR1913199.26511__1.26511	47678__R5UAF6__ERS852494_02966
ERR1913199.26599__1.26599	820__A0A396EXA7__DXB37_15530
ERR1913199.26547__1.26547	216816__C2GV16__APC1504_1666
ERR1913199.26775__1.26775	1150298__A0A174S4G4__dacB_1
ERR1913199.26860__1.26860	820__A0A174M9V5__M093_0237
ERR1913199.27036__1.27036	1735__B7CCF2__EUBIFOR_01879
ERR1913199.27049__1.27049	357276__A0A076IRV2__BACDOR_02822
ERR1913199.27111__1.27111	33039__A0A173U4W1__ERS852502_00464
ERR1913199.27338__1.27338	387090__S0F8F6__BACCOPRO_01915
ERR1913199.27347__1.27347	216816__D6D9A3__BLNIAS_01911
ERR1913199.27536__1.27536	357276__C3R9Y0__HMPREF1064_01889
ERR1913199.27722__1.27722	47678__R5UT79__ERS852558_03890
ERR1913199.27922__1.27922	821__A0A174JYD3__ERS852457_02610
ERR1913199.27948__1.27948	821__A0A0P0M405__DXC02_15075
ERR1913199.28089__1.28089	357276__I8WPR6__EL88_06675
ERR1913199.28109__1.28109	821__C3RB94__DXC03_15585
ERR1913199.28236__1.28236	853__E2ZGD9__C7J97_11715
ERR1913199.28200__1.28200	823__A0A395YSW8__CF162_05645
ERR1913199.28375__1.28375	357276__B6W5Q9__HMPREF1063_03125
ERR1913199.28489__1.28489	410072__A0A174DIZ5__ERS852574_01258
ERR1913199.28410__1.28410	357276__I8W1E1__B5F00_10785
ERR1913199.28502__1.28502	166486__D4L458__ROSINTL182_07088
ERR1913199.28689__1.28689	39496__A5Z937__EUBVEN_02230
ERR1913199.28725__1.28725	820__A0A3E4RUC4__DHU98_02635
ERR1913199.28750__1.28750	371601__D4VH76__rhaR_1
ERR1913199.28918__1.28918	28139__A0A379MUK5__xerD_3
ERR1913199.28973__1.28973	820__A0A139K1Y6__DXB48_02610
ERR1913199.29020__1.29020	820__A0A3E4VZT7__DXB48_16145
ERR1913199.29115__1.29115	820__A0A139KJ23__celCCA
ERR1913199.29192__1.29192	310298__B3JQJ5__BACCOP_04231
ERR1913199.29286__1.29286	46503__R6WQ01__PARMER_03826
ERR1913199.29308__1.29308	39496__A5ZAD7__licT
ERR1913199.29339__1.29339	357276__D1K3K9__EL88_23995
ERR1913199.29423__1.29423	820__A0A3E4G3J9__ERS852459_02265
ERR1913199.29596__1.29596	47678__R5UT79__ERS852558_03890
ERR1913199.29622__1.29622	40520__A0A174PQ80__DXB81_04035
ERR1913199.29681__1.29681	39490__U2PBV8__ERS852448_00639
ERR1913199.29830__1.29830	384638__B7AVU0__BACPEC_02840
ERR1913199.29939__1.29939	357276__B6W1Y1__BSEG_03960
ERR1913199.30047__1.30047	39490__U2QIC3__ERS852448_00043
ERR1913199.30188__1.30188	216816__A0A374SVM3__BLSL_0492
ERR1913199.30453__1.30453	357276__B6W1J2__BACDOR_03380
ERR1913199.30525__1.30525	821__A0A3E4KIM1__M097_3660
ERR1913199.30544__1.30544	387090__S0FEJ2__BACCOPRO_03269
ERR1913199.30618__1.30618	1628085__A0A1C6BMM1__C7386_11221
ERR1913199.30718__1.30718	820__A7V470__HMPREF1072_02076
ERR1913199.30756__1.30756	387090__S0FEH5__BACCOPRO_03183
ERR1913199.31050__1.31050	166486__D4KYW5__ROSINTL182_05595
ERR1913199.31123__1.31123	357276__A0A076ITU4__EL88_22160
ERR1913199.31279__1.31279	47678__A5ZF31__DXB67_11050
ERR1913199.31689__1.31689	28116__A0A139LL51__B5F02_01570
ERR1913199.31947__1.31947	357276__I9F327__DXD47_22495
ERR1913199.31959__1.31959	853__A0A2J4JL53__CRH10_10795
ERR1913199.31970__1.31970	1262920__R5KD76__BN467_01465
ERR1913199.32038__1.32038	357276__B6W1Y1__BSEG_03960
ERR1913199.32127__1.32127	821__A0A395UNT8__DXD64_15275
ERR1913199.32162__1.32162	166486__D4KVZ2__cbiT
ERR1913199.32179__1.32179	1680__A0A087DHN0__AL0462_1532
ERR1913199.32184__1.32184	216816__B3DU85__APC1504_0160
ERR1913199.32393__1.32393	33039__A0A174XW11__RTO_07780
ERR1913199.32548__1.32548	821__A0A0P0LNX8__ERS852509_03015
ERR1913199.32565__1.32565	47678__R5U2F6__HMPREF1061_00767
ERR1913199.32604__1.32604	820__A0A3E4IGA7__DXD40_07110
ERR1913199.32642__1.32642	301302__A0A0M6WYL6__ERS852420_02628
ERR1913199.32757__1.32757	166486__D4KVZ2__cbiT
ERR1913199.32805__1.32805	487174__R5EUJ8__DDY40_00460
ERR1913199.33189__1.33189	371601__D4VH76__rhaR_1
ERR1913199.33299__1.33299	1262743__R5C054__BN727_01980
ERR1913199.33311__1.33311	1680__A0A087DHN0__AL0462_1532
ERR1913199.33589__1.33589	823__A0A395YZ10__NCTC11152_02955
ERR1913199.33672__1.33672	357276__A0A076J8M3__ABI39_13695
ERR1913199.33909__1.33909	166486__D4KZI1__ERS852572_00422
ERR1913199.34002__1.34002	820__A0A139KJ23__celCCA
ERR1913199.34043__1.34043	216816__A0A396FRQ5__DD678_01245
ERR1913199.34207__1.34207	47678__R5UXJ2__DW706_08325
ERR1913199.34355__1.34355	301302__R5V7G4__ywtF
ERR1913199.34451__1.34451	301302__R5UMB9__M72_25011
ERR1913199.34456__1.34456	387090__S0F6G1__BACCOPRO_00685
ERR1913199.34645__1.34645	820__A0A174QLF0__SAMN05444418_109151
ERR1913199.34769__1.34769	47678__R5UHH8__HMPREF1061_02584
ERR1913199.34935__1.34935	216816__A0A133LQN7__BL15B_00780
ERR1913199.35013__1.35013	33039__A0A173U9Q3__ERS852390_00518
ERR1913199.35040__1.35040	357276__A0A0M1W4C0__DXD47_07095
ERR1913199.35483__1.35483	1628085__A0A2U1BHQ4__C7386_101458
ERR1913199.35697__1.35697	47678__R5UER2__CGC64_00710
ERR1913199.35698__1.35698	166486__D4L1H3__sacC
ERR1913199.35905__1.35905	39486__R6TK96__DXB12_05650
ERR1913199.36156__1.36156	1262743__R5C054__BN727_01980
ERR1913199.36315__1.36315	39488__A0A174ALY3__ERS852450_00805
ERR1913199.36401__1.36401	47678__R5U9Z0__HMPREF1061_03210
ERR1913199.36411__1.36411	1547__B0N848__CLORAM_02782
ERR1913199.36490__1.36490	166486__D4KWT3__ROSINTL182_05973
ERR1913199.36497__1.36497	357276__I9F327__DXD47_22495
ERR1913199.36752__1.36752	410072__A0A3E4GN60__truA
ERR1913199.36759__1.36759	820__A0A139K5E7__DXC68_09550
ERR1913199.36694__1.36694	821__A0A397WGD6__M098_0084
ERR1913199.36927__1.36927	310298__B3JQJ5__BACCOP_04231
ERR1913199.36939__1.36939	310297__R5VAF2__DXC17_13935
ERR1913199.37085__1.37085	820__A0A173YYG4__evgS_3
ERR1913199.37135__1.37135	821__A0A0P0LNX8__ERS852509_03015
ERR1913199.37146__1.37146	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913199.37256__1.37256	487174__K0WTV8__DIT83_04385
ERR1913199.37276__1.37276	216816__D6DBD5__DXC32_04335
ERR1913199.37277__1.37277	820__A0A139KHX1__HMPREF2141_00289
ERR1913199.37309__1.37309	820__A0A374QGD2__ERS852421_02382
ERR1913199.37362__1.37362	410072__C0B9G6__ERS852481_03113
ERR1913199.37389__1.37389	301302__R5UVR7__ERS852420_00118
ERR1913199.37456__1.37456	821__A0A174T998__DXB82_10860
ERR1913199.37669__1.37669	823__A0A174XJM9__CEQ22_007230
ERR1913199.37811__1.37811	28026__A0A174ALX1__DXB66_00950
ERR1913199.37902__1.37902	820__A0A3E4QZJ7__C801_01798
ERR1913199.37962__1.37962	821__A0A397WGD6__M098_0084
ERR1913199.38156__1.38156	33039__D4M1A7__RTO_02350
ERR1913199.38261__1.38261	357276__A0A076INK2__BSEG_04225
ERR1913199.38373__1.38373	357276__B6W1J2__BACDOR_03380
ERR1913199.38432__1.38432	47678__R5UXY0__CGC64_03535
ERR1913199.38465__1.38465	46503__R6WVI6__HMPREF1060_03610
ERR1913199.38563__1.38563	46503__R6X8R7__PARMER_00141
ERR1913199.38683__1.38683	166486__D4L284__ERS852572_01651
ERR1913199.38699__1.38699	338188__R6RT73__HMPREF1057_02828
ERR1913199.38803__1.38803	821__D4VD59__BHV80_04260
ERR1913199.38878__1.38878	47678__R5USS6__C5Z00_03300
ERR1913199.39158__1.39158	216816__A0A0A1GS44__BBG7_0558
ERR1913199.39188__1.39188	46503__R6WVI6__HMPREF1060_03610
ERR1913199.39215__1.39215	47678__R5U206__C5Z00_07065
ERR1913199.39220__1.39220	820__A0A139KHX1__HMPREF2141_00289
ERR1913199.39367__1.39367	1262743__R5C054__BN727_01980
ERR1913199.39427__1.39427	357276__I9QXD4__IY41_00345
ERR1913199.39525__1.39525	357276__C3R9Y0__HMPREF1064_01889
ERR1913199.39778__1.39778	1735__B7CAL3__EUBIFOR_01234
ERR1913199.39780__1.39780	745368__A0A1T4Y5S3__SAMN02745178_02736
ERR1913199.39822__1.39822	166486__D4L334__mcp3_1
ERR1913199.39989__1.39989	301302__A0A0M6WBZ5__spr
ERR1913199.40058__1.40058	39491__A0A173RA59__EUR_24800
ERR1913199.40141__1.40141	301302__R5UNJ6__M72_26701
ERR1913199.40349__1.40349	821__A0A396F9T7__M097_3427
ERR1913199.40607__1.40607	823__C7XBX3__HMPREF1059_03212
ERR1913199.40963__1.40963	820__A0A139K426__B5G17_09115
ERR1913199.41288__1.41288	310298__B3JQJ5__BACCOP_04231
ERR1913199.41309__1.41309	1897011__A0A1Q6RDI3__BHW41_05415
ERR1913199.41362__1.41362	820__A0A174NUS8__DXC80_12885
ERR1913199.41800__1.41800	47678__R5U7L8__DXB67_16595
ERR1913199.42059__1.42059	39488__A0A285PPV7__DXD91_14610
ERR1913199.42078__1.42078	1680__A0A173W5Z2__DXC53_01290
ERR1913199.42137__1.42137	166486__D4L0G5__ROSINTL182_08176
ERR1913199.42215__1.42215	1150298__A0A174RP87__uppP_1
ERR1913199.42233__1.42233	820__A0A139K1Y6__DXB48_02610
ERR1913199.42357__1.42357	1263107__GCA_000436995.1_00208
ERR1913199.42365__1.42365	216816__A0A0S2MCH0__AYW81_04880
ERR1913199.42656__1.42656	47678__R5U7X8__C5Z00_18270
ERR1913199.42672__1.42672	39496__A5Z5V9__EUBVEN_01091
ERR1913199.42701__1.42701	820__A0A174QLF0__SAMN05444418_109151
ERR1913199.42705__1.42705	28026__R6P2N7__DXD71_02940
ERR1913199.42821__1.42821	820__A0A174QT76__B5G17_18060
ERR1913199.42868__1.42868	74426__sufB
ERR1913199.42997__1.42997	40520__A0A174RXB2__DXD81_16980
ERR1913199.43128__1.43128	821__A0A3E4XY72__NCTC10583_01067
ERR1913199.43239__1.43239	166486__D4KXJ6__ERS852572_00336
ERR1913199.43275__1.43275	166486__D4L1H8__ERS852572_02204
