ERR1913196.134__1.134	301302__R5UIY5__M72_17461
ERR1913196.17020__1.17020	165179__A0A3E5DZD8__DXB80_09150
ERR1913196.17243__1.17243	301302__R5UTE0__ERS852420_02625
ERR1913196.17413__1.17413	165179__A0A3E5A554__DXB80_13805
ERR1913196.18539__1.18539	165179__A0A3E5EA43__DXC61_07775
ERR1913196.18580__1.18580	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913196.18831__1.18831	165179__A0A229I2W6__PREVCOP_04332
ERR1913196.18844__1.18844	165179__D1PE06__DXC61_05975
ERR1913196.19049__1.19049	301302__A0A173RZU9__M72_23561
ERR1913196.19323__1.19323	1262882__R5MSI5__BN519_01596
ERR1913196.19402__1.19402	1262929__R6FUB1__BN691_00386
ERR1913196.19524__1.19524	1262882__R5N349__BN519_01037
ERR1913196.19717__1.19717	33043__A0A173WTR4__ERS852386_00324
ERR1913196.19733__1.19733	165179__A0A174IHQ2__PREVCOP_05478
ERR1913196.19742__1.19742	1284775__A0A095Y653__HMPREF1640_07170
ERR1913196.19759__1.19759	649756__A0A174FNS3__trkA
ERR1913196.20039__1.20039	301302__A0A0M6WCT0__M72_03221
ERR1913196.20162__1.20162	47715__A0A1Y0E0H8__PY95_05865
ERR1913196.20521__1.20521	1284775__A0A095Y637__HMPREF1640_07040
ERR1913196.20578__1.20578	165179__A0A3E5DX15__DXC61_00345
ERR1913196.20545__1.20545	39491__A0A3E4YFT8__DXB69_10940
ERR1913196.20583__1.20583	360807__C0FYL6__ROSEINA2194_03855
ERR1913196.20771__1.20771	1262882__R5MIQ8__BN519_01036
ERR1913196.20893__1.20893	165179__A0A3E5AE59__DXC61_12885
ERR1913196.20968__1.20968	147206__GCF_000156215.1_01777
ERR1913196.21003__1.21003	301302__A0A0M6WJW1__ERS852420_02245
ERR1913196.21041__1.21041	165179__A0A3E5A5E5__DXC61_13965
ERR1913196.21230__1.21230	1262929__R6F4F7__BN691_01167
ERR1913196.21277__1.21277	165179__A0A3E5EBM5__DXC61_02170
ERR1913196.21327__1.21327	1262882__R5MHA1__BN519_00763
ERR1913196.21545__1.21545	165179__A0A174SA26__PREVCOP_05758
ERR1913196.21583__1.21583	901__A0A1K1LI09__BHW59_05710
ERR1913196.21647__1.21647	301302__R5UKP4__cbiT
ERR1913196.21728__1.21728	33043__D5HHY4__luxQ_1
ERR1913196.21953__1.21953	410072__A0A3E4GN60__truA
ERR1913196.22043__1.22043	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913196.22051__1.22051	165179__A0A3E5E189__PREVCOP_06699
ERR1913196.22267__1.22267	165179__A0A3E5E7D5__PREVCOP_03928
ERR1913196.22263__1.22263	165179__D1PGD2__DXC61_10875
ERR1913196.22444__1.22444	301302__A0A0M6WWE7__ERS852420_01309
ERR1913196.22453__1.22453	28052__A0A174JFU5__yhbU_1
ERR1913196.22663__1.22663	165179__R6CNX7__DXB80_02200
ERR1913196.22745__1.22745	165179__A0A174UTZ7__DXC61_06705
ERR1913196.22756__1.22756	100886__E2NTX6__macB_18
ERR1913196.22900__1.22900	301302__A0A0M6W9I4__M72_19871
ERR1913196.23008__1.23008	626940__E8LE65__HMPREF9443_01136
ERR1913196.23131__1.23131	626940__R6WNN9__BHW43_04575
ERR1913196.23158__1.23158	165179__A0A3E5DRF6__DXC61_00200
ERR1913196.23279__1.23279	165179__A0A3E5DRF6__DXC61_00200
ERR1913196.23309__1.23309	165179__A0A174NK27__PREVCOP_06433
ERR1913196.23485__1.23485	40518__R5E550__aroK
ERR1913196.23906__1.23906	165179__A0A3E5E920__DXB80_11625
ERR1913196.24232__1.24232	301302__A0A173T1J1__M72_18951
ERR1913196.24212__1.24212	1262882__R5N1L4__BN519_00757
ERR1913196.24217__1.24217	418240__C6JFI7__ERS852523_01130
ERR1913196.24523__1.24523	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913196.24529__1.24529	39488__A0A285PQV2__ERS852450_01290
ERR1913196.24677__1.24677	165179__R6CNX7__DXB80_02200
ERR1913196.24679__1.24679	165179__A0A3E5DZD8__DXB80_09150
ERR1913196.25022__1.25022	363265__G6AWS7__HMPREF0673_01076
ERR1913196.25036__1.25036	301302__R5V671__M72_27831
ERR1913196.25280__1.25280	100886__A0A174HQ52__sacA_2
ERR1913196.25358__1.25358	853__A0A2A7B9I6__DW855_13690
ERR1913196.25458__1.25458	165179__A0A229I3Z6__PREVCOP_03666
ERR1913196.25514__1.25514	357276__G5SMD3__BSEG_02959
ERR1913196.25517__1.25517	1911679__A0A2S7ZQ00__VCHSUH03_00295
ERR1913196.25704__1.25704	39486__G1WPD7__DORFOR_00931
ERR1913196.25794__1.25794	1262882__R5MN65__BN519_00771
ERR1913196.25934__1.25934	1262882__R5N4F5__BN519_01266
ERR1913196.26342__1.26342	39488__A0A174GS53__dnaC_1
ERR1913196.26399__1.26399	363265__R6FQP4__HMPREF0673_00216
ERR1913196.26692__1.26692	301302__A0A173R048__M72_22311
ERR1913196.26736__1.26736	165179__A0A229I6N7__DXC61_06720
ERR1913196.26742__1.26742	165179__D1PGD2__DXC61_10875
ERR1913196.26817__1.26817	39491__A0A396FGM9__fliU_1
ERR1913196.26970__1.26970	165179__A0A174SA26__PREVCOP_05758
ERR1913196.27008__1.27008	1262882__R5N5S3__BN519_00085
ERR1913196.27224__1.27224	40518__R5DYU1__DXD86_01160
ERR1913196.27240__1.27240	33043__D5HEL7__ERS852400_00347
ERR1913196.27558__1.27558	165179__D1PDG7__DXB80_11180
ERR1913196.27531__1.27531	216816__R5MZK3__DPC6320_1630
ERR1913196.27591__1.27591	165179__A0A3E5A5E5__DXC61_13965
ERR1913196.27610__1.27610	1262882__R5MJZ7__BN519_01272
ERR1913196.27796__1.27796	301302__R5UTE0__ERS852420_02625
ERR1913196.27980__1.27980	301302__R5V7G4__ywtF
ERR1913196.28033__1.28033	1262911__R6GKS1__BN557_00184
ERR1913196.28118__1.28118	165179__A0A174SA26__PREVCOP_05758
ERR1913196.28400__1.28400	1284775__A0A095Y5J4__HMPREF1640_07320
ERR1913196.28457__1.28457	33043__A8SWI7__bcrC
ERR1913196.28519__1.28519	626940__R6XYY7__DCQ00_03935
ERR1913196.28614__1.28614	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913196.28910__1.28910	165179__A0A3E5AER8__DXB80_07075
ERR1913196.28927__1.28927	39491__A0A395V297__EUR_01010
ERR1913196.29116__1.29116	1284775__A0A095ZFV3__HMPREF1640_07245
ERR1913196.29247__1.29247	40520__A0A395X2X5__C4886_03165
ERR1913196.29446__1.29446	165179__A0A3E5AGH1__DXB80_05820
ERR1913196.29723__1.29723	165179__A0A3E5DRF6__DXC61_00200
ERR1913196.29948__1.29948	165179__A0A174SA26__PREVCOP_05758
ERR1913196.29917__1.29917	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913196.30057__1.30057	165179__A0A174WGF6__PREVCOP_04095
ERR1913196.30066__1.30066	28117__B0MXD0__ALIPUT_01669
ERR1913196.30172__1.30172	165179__A0A174SA26__PREVCOP_05758
ERR1913196.30333__1.30333	301302__A0A0M6WH46__M72_23101
ERR1913196.30294__1.30294	1262882__R5N5J6__BN519_01504
ERR1913196.30785__1.30785	165179__A0A174SA26__PREVCOP_05758
ERR1913196.30801__1.30801	853__A0A173YYY4__DWZ04_09420
ERR1913196.30902__1.30902	853__A0A173XRA8__CGS56_09290
ERR1913196.31009__1.31009	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913196.31421__1.31421	165179__A0A3E5DZA5__DXB80_12550
ERR1913196.31571__1.31571	33043__A0A173WWJ5__ERS852386_00339
ERR1913196.31645__1.31645	649756__D4MVD8__ERS852475_00940
ERR1913196.31910__1.31910	165179__D1PE06__DXC61_05975
ERR1913196.31934__1.31934	1284775__A0A095Y4Z7__HMPREF1640_07200
ERR1913196.31980__1.31980	165179__D1PE06__DXC61_05975
ERR1913196.32122__1.32122	1262929__R6EYQ0__BN691_00631
ERR1913196.32367__1.32367	820__A0A139JUD3__DXC91_19380
ERR1913196.32480__1.32480	165179__D1PE06__DXC61_05975
ERR1913196.32621__1.32621	165179__A0A3E5E2S3__DXB80_03455
ERR1913196.32805__1.32805	360807__A0A1Q6SWU5__ERS852444_03068
ERR1913196.32815__1.32815	301302__R5UQK8__M72_11501
ERR1913196.32835__1.32835	165179__D1PCL6__DXB80_13435
ERR1913196.32872__1.32872	239935__A0A139TMD2__CXU18_02250
ERR1913196.33137__1.33137	1535__A7VPX1__CLOLEP_00598
ERR1913196.33263__1.33263	853__A0A3E2U7E6__ERS852582_01640
ERR1913196.33279__1.33279	410072__A0A174BMP0__DXD67_03635
ERR1913196.33289__1.33289	165179__A0A3E5DN34__DXC61_07865
ERR1913196.33543__1.33543	1744__A0A2C7Z748__PFR_JS7-1_1803
ERR1913196.33641__1.33641	165179__D1PCL6__DXB80_13435
ERR1913196.33683__1.33683	165179__A0A174K816__DXB80_12000
ERR1913196.33754__1.33754	626940__E8LC65__HMPREF9443_00431
ERR1913196.33811__1.33811	46503__R6Y8M7__ERS852463_01228
ERR1913196.33870__1.33870	165179__A0A3E5AER8__DXB80_07075
ERR1913196.33906__1.33906	301302__R5UQW7__ERS852420_02102
ERR1913196.33966__1.33966	33043__A0A374K1H3__ykoD_2
ERR1913196.34038__1.34038	649756__A0A174L4G4__cls_1
ERR1913196.34258__1.34258	1284775__A0A095Y5F5__HMPREF1640_07020
ERR1913196.34356__1.34356	823__C7XA51__BDI_0499
ERR1913196.34405__1.34405	1262911__R6H0U7__BN557_01104
ERR1913196.34505__1.34505	301302__R5UUM8__ganB_1
ERR1913196.34588__1.34588	649756__D4MW28__cap8A
ERR1913196.34822__1.34822	165179__A0A3E5A554__DXB80_13805
ERR1913196.34874__1.34874	360807__A0A1Q6T7T2__artP
ERR1913196.34914__1.34914	165179__A0A174W369__PREVCOP_04548
ERR1913196.34948__1.34948	165179__A0A229I3Z6__PREVCOP_03666
ERR1913196.35133__1.35133	165179__A0A3E5DV57__DXB80_11400
ERR1913196.35575__1.35575	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913196.35707__1.35707	363265__G6AZB1__HMPREF0673_01975
ERR1913196.35760__1.35760	165179__D1PCU4__PREVCOP_05029
ERR1913196.35970__1.35970	165179__D1PAJ7__PREVCOP_04222
ERR1913196.36043__1.36043	301302__A0A0M6WIX9__ERS852420_01972
ERR1913196.36072__1.36072	33043__A0A173ZL29__ERS852386_01345
ERR1913196.36206__1.36206	165179__A0A174IPI3__CFT61_10940
ERR1913196.36355__1.36355	165179__D1PCT4__DXB80_09470
ERR1913196.36420__1.36420	649756__L1Q1A0__ERS852425_01427
ERR1913196.36432__1.36432	1284775__A0A095Y5I6__HMPREF1640_07260
ERR1913196.36548__1.36548	165179__A0A3E5AHY4__CFT61_07675
ERR1913196.36584__1.36584	301302__A0A173TWC1__phoR_7
ERR1913196.36560__1.36560	165179__A0A3E5E9I4__DXB80_09745
ERR1913196.36617__1.36617	626940__R6WNR3__DCQ00_05790
ERR1913196.36647__1.36647	328814__GCA_004558275.1_01002
ERR1913196.36699__1.36699	33043__D5HIC8__vspIM
ERR1913196.37082__1.37082	328814__GCA_004558275.1_01000
ERR1913196.37212__1.37212	165179__A0A3E5AER8__DXB80_07075
ERR1913196.37236__1.37236	1150298__A0A174QAL8__ERS852498_02570
ERR1913196.37303__1.37303	40518__R5DQJ0__DXD93_03790
ERR1913196.37336__1.37336	165179__D1PE06__DXC61_05975
ERR1913196.37266__1.37266	1262882__R5MLT4__BN519_01496
ERR1913196.37546__1.37546	1680__A7A7Z9__AAX71_05385
ERR1913196.37550__1.37550	33043__A0A174A113__ERS852445_00416
ERR1913196.37622__1.37622	301302__R5VFU2__xynA1
ERR1913196.37765__1.37765	165179__D1PCU4__PREVCOP_05029
ERR1913196.37791__1.37791	1262929__R6FV28__BN691_00620
ERR1913196.37907__1.37907	1680__R5GR82__AD0028_0014
ERR1913196.37885__1.37885	165179__D1PCT4__DXB80_09470
ERR1913196.38026__1.38026	328814__GCA_004558275.1_00096
ERR1913196.38141__1.38141	166486__D4KJ71__ERS852572_03479
ERR1913196.38276__1.38276	165179__A0A174W369__PREVCOP_04548
ERR1913196.38451__1.38451	33043__D5HIC8__vspIM
ERR1913196.38519__1.38519	165179__A0A3E5AER8__DXB80_07075
ERR1913196.38550__1.38550	301302__R5V671__M72_27831
ERR1913196.38665__1.38665	649756__L1PU84__ERS852571_01295
ERR1913196.38806__1.38806	1680__A0A076JNH5__DXC60_03835
ERR1913196.39043__1.39043	1262882__R5MKV8__BN519_01281
ERR1913196.38948__1.38948	1262882__R5MFY4__BN519_00529
ERR1913196.39083__1.39083	33043__A0A173W4M0__dnaD
ERR1913196.39223__1.39223	301302__A0A0M6WCT0__M72_03221
ERR1913196.39225__1.39225	39488__C0EX25__DXD91_11965
ERR1913196.39248__1.39248	2022527__A0A264Y4Q4__CHL74_12585
ERR1913196.39276__1.39276	1284775__A0A095Y5J4__HMPREF1640_07320
ERR1913196.39396__1.39396	165179__A0A174SA26__PREVCOP_05758
ERR1913196.39597__1.39597	165179__A0A3E5A554__DXB80_13805
ERR1913196.39606__1.39606	165179__A0A3E5DWZ6__DXC61_10880
ERR1913196.39640__1.39640	40518__R5DZE2__DXD86_07400
ERR1913196.39670__1.39670	1262882__R5MT42__BN519_01729
ERR1913196.40020__1.40020	292800__A0A096BAF6__HMPREF9460_01483
ERR1913196.40038__1.40038	1262929__R6EXT3__BN691_00303
ERR1913196.40119__1.40119	301302__A0A173S436__M72_16191
ERR1913196.40460__1.40460	1262882__R5N349__BN519_01037
ERR1913196.40508__1.40508	165179__A0A3E5E2C8__folA
ERR1913196.40611__1.40611	1262882__R5N1R4__BN519_00788
ERR1913196.40731__1.40731	301301__A0A395V5S1__ERS852391_01890
ERR1913196.40991__1.40991	1262924__R7HRW7__BN585_01894
ERR1913196.41012__1.41012	1284775__A0A095Y4Y3__HMPREF1640_07095
ERR1913196.41032__1.41032	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913196.41098__1.41098	1284775__A0A095ZFV3__HMPREF1640_07245
ERR1913196.41074__1.41074	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913196.41361__1.41361	410072__C0BAQ2__ERS852574_01938
ERR1913196.41362__1.41362	78345__A0A087BDB1__SAMN02745589_1378
ERR1913196.41528__1.41528	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913196.41641__1.41641	214851__D1PSM7__SUBVAR_07410
ERR1913196.41676__1.41676	28116__A0A1Y4Q112__evgS_13
ERR1913196.41679__1.41679	301302__A0A0M6WCT0__M72_03221
ERR1913196.41661__1.41661	301302__R5VBR7__phoR_11
ERR1913196.41703__1.41703	1262924__R7HQD9__BN585_00129
ERR1913196.41857__1.41857	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913196.41883__1.41883	1683__A0A126SU27__Bang102_001985
ERR1913196.41963__1.41963	1735__B7C8Y9__EUBIFOR_00645
ERR1913196.41994__1.41994	165179__A0A3E5AER8__DXB80_07075
ERR1913196.42194__1.42194	1262919__R5PMG4__BN465_00428
ERR1913196.42335__1.42335	1262882__R5N2E1__BN519_01117
ERR1913196.42268__1.42268	1680__A0A173Y6N7__yhaH
ERR1913196.42381__1.42381	165179__A0A3E4SEG4__DXC61_11235
ERR1913196.42684__1.42684	1262882__R5MMP8__BN519_01654
ERR1913196.42814__1.42814	165179__D1PGU8__PREVCOP_06463
ERR1913196.43227__1.43227	165179__A0A3E5EB26__CFT61_02800
ERR1913196.43355__1.43355	706562__GCA_900112995.1_01415
ERR1913196.43418__1.43418	165179__A0A3E5DWZ6__DXC61_10880
ERR1913196.43497__1.43497	100886__A0A174HGR4__pepD
ERR1913196.43460__1.43460	363265__R7H219__HMPREF0673_01818
ERR1913196.43475__1.43475	165179__A0A3E5A554__DXB80_13805
ERR1913196.43515__1.43515	165179__R6BQP4__DXC61_02015
ERR1913196.43630__1.43630	301302__R5VBR7__phoR_11
ERR1913196.43678__1.43678	2293125__A0A374C955__DW917_08135
ERR1913196.44053__1.44053	552398__T5S086__HMPREF0866_01580
ERR1913196.44212__1.44212	1623__F7QXB9__LRP_1773
ERR1913196.44241__1.44241	2293125__A0A374BSW4__DW917_13420
ERR1913196.44522__1.44522	1680__R5GR82__AD0028_0014
ERR1913196.44682__1.44682	1683__C4FGL0__BIANG_0978
ERR1913196.44808__1.44808	165179__A0A229I3Z6__PREVCOP_03666
ERR1913196.44988__1.44988	165179__A0A174PS14__DXC61_13945
ERR1913196.45324__1.45324	28117__B0MSR5__BHV66_02095
ERR1913196.45405__1.45405	165179__D1PGD2__DXC61_10875
ERR1913196.45582__1.45582	165179__A0A3E5A5E5__DXC61_13965
ERR1913196.45649__1.45649	165179__A0A3E5AGH1__DXB80_05820
ERR1913196.45983__1.45983	165179__A0A174WRI9__DXB80_04870
ERR1913196.45947__1.45947	165179__A0A174SA26__PREVCOP_05758
ERR1913196.46282__1.46282	1262929__R6EXK1__BN691_00228
ERR1913196.46426__1.46426	165179__A0A3E5DZA5__DXB80_12550
ERR1913196.46518__1.46518	901__B6WUI5__DESPIGER_1817
ERR1913196.46621__1.46621	649756__D4MW28__cap8A
ERR1913196.46769__1.46769	1683__A0A126SUE9__BIFANG_03659
ERR1913196.46698__1.46698	165179__A0A3E5E3D6__DXC61_05750
ERR1913196.46794__1.46794	901__B6WUF4__DESPIG_01712
ERR1913196.46950__1.46950	165179__A0A3E5E189__PREVCOP_06699
ERR1913196.47124__1.47124	165179__A0A3E5EB26__CFT61_02800
ERR1913196.47229__1.47229	1262924__R7HPB3__BN585_00488
ERR1913196.47314__1.47314	33043__A0A174DSP1__essC_2
ERR1913196.47764__1.47764	1262882__R5MM25__BN519_00600
ERR1913196.47769__1.47769	1284775__A0A095Y4Y3__HMPREF1640_07095
ERR1913196.47868__1.47868	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913196.47820__1.47820	165179__A0A3E5A554__DXB80_13805
ERR1913196.48036__1.48036	301302__A0A0M6WJW1__ERS852420_02245
ERR1913196.48174__1.48174	1262882__R5MQ68__BN519_01178
