ERR1913062.179__1.179	33039__D4M2F6__RTO_06900
ERR1913062.6023__1.6023	821__A0A174MBW9__SAMN04487923_10272
ERR1913062.6148__1.6148	487174__K0XA48__DDY40_03955
ERR1913062.6255__1.6255	39492__A0A3D4MN89__nadD
ERR1913062.6295__1.6295	371601__D0TKK2__BXY_21540
ERR1913062.6327__1.6327	2293125__A0A374CMK5__DW917_00330
ERR1913062.6401__1.6401	310298__B3JQJ5__BACCOP_04231
ERR1913062.6426__1.6426	169435__A0A174UYW8__DXC40_11815
ERR1913062.6675__1.6675	487174__K0WTV8__DIT83_04385
ERR1913062.6814__1.6814	1099853__G9S2B8__NSB1T_09105
ERR1913062.6886__1.6886	820__A0A139K337__ERS852459_02375
ERR1913062.7003__1.7003	1262700__R5XC07__BN695_01332
ERR1913062.7066__1.7066	1628085__A0A3E2XRQ2__C7386_10552
ERR1913062.7127__1.7127	166486__D4KVZ0__ERS852572_03130
ERR1913062.7304__1.7304	1262930__R5ZV69__BN693_01268
ERR1913062.7321__1.7321	818__A0A0P0FT56__BSIG_1453
ERR1913062.7796__1.7796	165179__A0A174SA26__PREVCOP_05758
ERR1913062.8005__1.8005	166486__D4KYB5__mcp3_2
ERR1913062.8241__1.8241	853__A0A174BZY1__xerD_1
ERR1913062.8316__1.8316	1099853__G9S5B5__NSB1T_00810
ERR1913062.8394__1.8394	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913062.8456__1.8456	39486__B0G928__DORFOR_02790
ERR1913062.8463__1.8463	820__A7VAR9__ERS852421_00197
ERR1913062.8478__1.8478	2293125__A0A374BSW4__DW917_13420
ERR1913062.8685__1.8685	853__A0A174C5M1__CGS58_04460
ERR1913062.8661__1.8661	46503__R6WPS1__lepB
ERR1913062.8878__1.8878	1150298__A0A174HYM9__ERS852406_01664
ERR1913062.8965__1.8965	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913062.9055__1.9055	357276__B6W1J2__BACDOR_03380
ERR1913062.9141__1.9141	29361__B6FRT6__CLONEX_02860
ERR1913062.9307__1.9307	360807__A0A173TV21__RIL183_14191
ERR1913062.9359__1.9359	39488__A0A174BS94__DXD91_16570
ERR1913062.9467__1.9467	1262930__R6AHR4__BN693_00447
ERR1913062.9478__1.9478	823__A0A073I1X2__DXD05_18820
ERR1913062.9569__1.9569	165179__A0A174SA26__PREVCOP_05758
ERR1913062.9611__1.9611	2293125__A0A374BUM7__DW917_12980
ERR1913062.9655__1.9655	2293125__A0A374C9I8__DW917_06795
ERR1913062.9699__1.9699	410072__A0A3E4GMB7__COPCOM_03357
ERR1913062.9827__1.9827	853__A0A2A7AXC8__C4N21_14120
ERR1913062.9836__1.9836	166486__D4L337__msbA_4
ERR1913062.9912__1.9912	626929__F3PHN9__HMPREF9445_01527
ERR1913062.10253__1.10253	301301__G2SX14__RHOM_09085
ERR1913062.10371__1.10371	40520__R7DD10__glgB
ERR1913062.10383__1.10383	821__A0A173WG51__BVU_2549
ERR1913062.10434__1.10434	166486__A0A173V5I7__ERS852572_02640
ERR1913062.10450__1.10450	821__A0A174TD86__C800_00949
ERR1913062.10796__1.10796	39488__C0F0P8__EUBHAL_03272
ERR1913062.10853__1.10853	78257__A0A087CUE0__BSAE_1156
ERR1913062.10946__1.10946	166486__A0A173V5I7__ERS852572_02640
ERR1913062.11155__1.11155	310298__B3JMG0__BACCOP_03099
ERR1913062.11234__1.11234	2293125__A0A374C8A8__DW917_07550
ERR1913062.11284__1.11284	823__A0A355XLT7__HMPREF1075_03402
ERR1913062.11332__1.11332	357276__A0A076IN21__BSEG_03078
ERR1913062.11629__1.11629	821__A0A396EVC9__DXB90_03525
ERR1913062.12151__1.12151	1099853__G9S2I3__NSB1T_08715
ERR1913062.12449__1.12449	823__A6L9W2__DXB14_07905
ERR1913062.12528__1.12528	1262992__R5DG08__BN795_00475
ERR1913062.12598__1.12598	1628085__A0A1C6CGB4__C7386_11411
ERR1913062.12614__1.12614	39491__C4ZHS4__EUR_24420
ERR1913062.12746__1.12746	821__E5UMZ6__BVU_1450
ERR1913062.12752__1.12752	820__A0A3E4G8F8__ERS852421_01645
ERR1913062.12850__1.12850	1262930__R6A1N0__BN693_00917
ERR1913062.12993__1.12993	821__A0A396F1N0__M099_1553
ERR1913062.13205__1.13205	1150298__R7JU23__ERS852498_02342
ERR1913062.13213__1.13213	39488__C0EY66__prkC_1
ERR1913062.13228__1.13228	1262924__R7HTA4__BN585_00391
ERR1913062.13323__1.13323	1150298__A0A174DX06__ERS852498_00491
ERR1913062.13695__1.13695	1262992__R5D7H2__BN795_00443
ERR1913062.13709__1.13709	853__A0A173YYY4__DWZ04_09420
ERR1913062.13828__1.13828	853__A0A173YYY4__DWZ04_09420
ERR1913062.14017__1.14017	410072__A0A174QX27__murE_2
ERR1913062.14023__1.14023	39491__C4ZCV5__DXB99_11855
ERR1913062.14058__1.14058	39496__A5Z7Y8__EUBVEN_01828
ERR1913062.14197__1.14197	410072__A0A174PW62__DXD67_02115
ERR1913062.14239__1.14239	357276__I8VQA2__HMPREF1065_04183
ERR1913062.14430__1.14430	310298__B3JFK5__BACCOP_00655
ERR1913062.14518__1.14518	823__K6AS99__ERS852429_01856
ERR1913062.14561__1.14561	357276__D1JYA0__EL88_06560
ERR1913062.14941__1.14941	823__A0A395YZG9__M092_4358
ERR1913062.14964__1.14964	410072__A0A174H348__sfp_2
ERR1913062.14993__1.14993	2293125__A0A374C9I8__DW917_06795
ERR1913062.15029__1.15029	357276__I9F327__DXD47_22495
ERR1913062.15319__1.15319	853__A0A174CVG7__CGS58_09335
ERR1913062.15385__1.15385	626930__F3PYU5__HMPREF9446_03903
ERR1913062.15354__1.15354	46503__R6X0L4__DXB61_05325
ERR1913062.15474__1.15474	360807__A0A396AFL7__ERS852444_02858
ERR1913062.15493__1.15493	310298__B3JMG0__BACCOP_03099
ERR1913062.15548__1.15548	39488__C0EVS1__ERS852450_02297
ERR1913062.15755__1.15755	1262992__R5D1X3__BN795_00176
ERR1913062.15888__1.15888	165179__A0A3E5A5E5__DXC61_13965
ERR1913062.16323__1.16323	28118__R6F707__B5F99_15665
ERR1913062.16328__1.16328	338188__A0A174ETX3__ERS852397_01955
ERR1913062.16544__1.16544	1628085__A0A374VV54__C7386_11332
ERR1913062.16546__1.16546	204516__U6RH18__HMPREF1534_01847
ERR1913062.16552__1.16552	165179__A0A3E5AER8__DXB80_07075
ERR1913062.16649__1.16649	820__A0A3E4VXP2__yesR
ERR1913062.16655__1.16655	1796613__A0A1C7H300__A4V03_17350
ERR1913062.16675__1.16675	39488__A0A374MTU0__ERS852578_02616
ERR1913062.16701__1.16701	1262930__R6AYA7__BN693_00428
ERR1913062.16870__1.16870	360807__A0A1Q6T542__RIL183_02161
ERR1913062.16867__1.16867	39486__R6S4F3__DXD84_10345
ERR1913062.17022__1.17022	818__A0A174TT69__SAMN02910322_02680
ERR1913062.17046__1.17046	418240__A0A173X9D3__ERS852478_00421
ERR1913062.17153__1.17153	165179__A0A3E5DN34__DXC61_07865
ERR1913062.17120__1.17120	46503__A7AB74__DD461_00855
ERR1913062.17178__1.17178	818__A0A3E5HN77__HMPREF2534_00072
ERR1913062.17279__1.17279	166486__R6AY46__ROSINTL182_06128
ERR1913062.17399__1.17399	165179__A0A3E5ED28__PREVCOP_06655
ERR1913062.17462__1.17462	46503__A7ADV9__ERS852463_01504
ERR1913062.17434__1.17434	821__A0A395UNT8__DXD64_15275
ERR1913062.17444__1.17444	357276__A0A076IYG1__B5F95_22465
ERR1913062.17567__1.17567	821__A6L0C7__ERS852556_03520
ERR1913062.17519__1.17519	823__A0A355XKR1__DHP27_04035
ERR1913062.17677__1.17677	310298__B3JGJ2__BACCOP_00994
ERR1913062.17833__1.17833	649756__L1Q1Y2__DO83_04045
ERR1913062.17843__1.17843	823__A0A395YRE1__DXC05_20005
ERR1913062.18016__1.18016	853__A0A2A7AXC8__C4N21_14120
ERR1913062.18156__1.18156	649756__A0A173TB83__HMPREF0369_01758
ERR1913062.18316__1.18316	820__A0A374Q1D8__SAMN05444418_112114
ERR1913062.18348__1.18348	39486__G1WN57__DORFOR_02477
ERR1913062.18541__1.18541	310298__B3JQJ5__BACCOP_04231
ERR1913062.18623__1.18623	28118__F9Z7U8__DF785_12305
ERR1913062.18681__1.18681	821__A0A174AYT0__DXC02_03530
ERR1913062.18742__1.18742	1262992__R5DCG2__BN795_00315
ERR1913062.18846__1.18846	2293125__A0A374BY09__DW917_11855
ERR1913062.19144__1.19144	821__A6L0C7__ERS852556_03520
ERR1913062.19183__1.19183	823__A0A395YSW8__CF162_05645
ERR1913062.19215__1.19215	1262980__R5BIK8__BN814_00008
ERR1913062.19302__1.19302	823__A0A073I9P2__CF162_18000
ERR1913062.19338__1.19338	821__I9R3W6__DXC16_12455
ERR1913062.19354__1.19354	357276__I8VN30__HMPREF1065_03051
ERR1913062.19562__1.19562	1262930__R6AYC4__BN693_00448
ERR1913062.19643__1.19643	818__R7KP04__C5Z03_18665
ERR1913062.19918__1.19918	310298__B3JF96__BACCOP_00544
ERR1913062.19949__1.19949	33025__A0A395JAF6__C8D73_10758
ERR1913062.20073__1.20073	410072__C0B8G3__DXD67_01535
ERR1913062.20288__1.20288	218538__C9LR31__GCWU000321_02013
ERR1913062.20614__1.20614	166486__D4KV78__aroA
ERR1913062.20705__1.20705	1262930__R5ZXU1__BN693_01352
ERR1913062.20963__1.20963	33039__A0A173U4W1__ERS852502_00464
ERR1913062.21023__1.21023	322505__frlB
ERR1913062.21103__1.21103	357276__B6W5Q9__HMPREF1063_03125
ERR1913062.21322__1.21322	820__A0A3E4RTP0__C801_01067
ERR1913062.21458__1.21458	821__A0A174V2F3__NCTC10583_01474
ERR1913062.21436__1.21436	820__R9HUV5__HMPREF2141_02582
ERR1913062.21511__1.21511	2293125__A0A374C9I8__DW917_06795
ERR1913062.21505__1.21505	166486__D4L0Q4__ERS852572_03675
ERR1913062.21538__1.21538	818__A0A0P0F7K1__ERS852461_02719
ERR1913062.22026__1.22026	1262924__R7HP98__BN585_02065
ERR1913062.22084__1.22084	2293125__A0A374CMK5__DW917_00330
ERR1913062.22105__1.22105	821__U6RDC2__DXD46_15675
ERR1913062.22231__1.22231	166486__D4L334__mcp3_1
ERR1913062.22323__1.22323	1262930__R6A468__BN693_01366
ERR1913062.22343__1.22343	1262924__R7HMZ4__BN585_01629
ERR1913062.22422__1.22422	165179__R6B8D8__DXC61_09245
ERR1913062.22793__1.22793	823__A6LHJ7__ERS852380_00253
ERR1913062.22761__1.22761	1262930__R5ZWP2__BN693_01542
ERR1913062.22769__1.22769	821__A0A396F9T7__M097_3427
ERR1913062.22846__1.22846	1263044__GCA_000433375.1_03404
ERR1913062.23007__1.23007	820__A0A139JRS5__HMPREF1073_04025
ERR1913062.23111__1.23111	46506__B0NU77__AA415_02810
ERR1913062.23150__1.23150	410072__A0A174LWU8__ERS852481_03155
ERR1913062.23200__1.23200	371601__A0A174FW12__HMPREF1074_03447
ERR1913062.23336__1.23336	39486__R6TIP5__DXD50_08735
ERR1913062.23360__1.23360	821__C6Z451__BHV80_04265
ERR1913062.23513__1.23513	165179__D1PHC0__PREVCOP_06640
ERR1913062.23572__1.23572	626930__F3PYU5__HMPREF9446_03903
ERR1913062.23647__1.23647	820__A0A3E4G8F8__ERS852421_01645
ERR1913062.23733__1.23733	821__R9HFW2__DXD01_00365
ERR1913062.23904__1.23904	357276__B6W1Y1__BSEG_03960
ERR1913062.24039__1.24039	2293125__A0A374CJ42__DW917_03305
ERR1913062.24092__1.24092	853__A0A173YYY4__DWZ04_09420
ERR1913062.24126__1.24126	410072__A0A174IQI6__ERS852574_01030
ERR1913062.24341__1.24341	310298__B3JFK6__BACCOP_00656
ERR1913062.24409__1.24409	310298__B3JNR4__BACCOP_03579
ERR1913062.24547__1.24547	33039__D4M378__cysL_1
ERR1913062.24758__1.24758	2293125__A0A374BMK9__DW917_16190
ERR1913062.24778__1.24778	166486__D4KW03__ERS852572_03114
ERR1913062.25026__1.25026	357276__I8WC65__EL88_00520
ERR1913062.25080__1.25080	823__A0A395YRX4__ERS852513_03444
ERR1913062.25102__1.25102	357276__B6VYT9__HMPREF1063_05030
ERR1913062.25144__1.25144	418240__C6JHP9__ERS852478_02092
ERR1913062.25239__1.25239	1262930__R6A468__BN693_01366
ERR1913062.25266__1.25266	310298__B3JQJ5__BACCOP_04231
ERR1913062.25305__1.25305	357276__A0A1Y3Z3W0__IY41_20500
ERR1913062.25311__1.25311	821__A6L0C7__ERS852556_03520
ERR1913062.25445__1.25445	39488__A0A285PS10__ERS852578_00426
ERR1913062.25495__1.25495	28118__F9Z5A4__DHW44_14035
ERR1913062.25544__1.25544	357276__A0A0M1W1I8__ABI39_13620
ERR1913062.25552__1.25552	28118__A0A1Y3Y204__NCTC10826_02015
ERR1913062.25582__1.25582	821__I9R3W6__DXC16_12455
ERR1913062.25608__1.25608	28111__E5WUE9__NCTC11155_01729
ERR1913062.25786__1.25786	357276__A0A174L570__GV66_05720
ERR1913062.25882__1.25882	2293125__A0A374BSW4__DW917_13420
ERR1913062.25946__1.25946	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913062.26147__1.26147	310298__B3JPD1__BACCOP_02317
ERR1913062.26183__1.26183	821__A0A174V2F3__NCTC10583_01474
ERR1913062.26218__1.26218	487174__K0WWT0__DIT83_10190
ERR1913062.26368__1.26368	410072__A0A3E4GRE0__DXD67_07105
ERR1913062.26475__1.26475	544644__GCA_001915615.1_00029
ERR1913062.26564__1.26564	46503__A7AFT6__ERS852463_00204
ERR1913062.26660__1.26660	853__A0A173YYY4__DWZ04_09420
ERR1913062.26767__1.26767	166486__D4L2T9__lytM
ERR1913062.26794__1.26794	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913062.26808__1.26808	2293125__A0A374BUM7__DW917_12980
ERR1913062.27072__1.27072	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.27115__1.27115	357276__A0A076J8M3__ABI39_13695
ERR1913062.27204__1.27204	166486__D4KUC4__arcB_1
ERR1913062.27394__1.27394	487174__K0WZ94__HMPREF9448_00984
ERR1913062.27479__1.27479	2293125__A0A374CMK5__DW917_00330
ERR1913062.27540__1.27540	821__C6ZAA5__ERS852556_00403
ERR1913062.27557__1.27557	166486__D4KWZ7__cph2_5
ERR1913062.27565__1.27565	821__A0A174V2F3__NCTC10583_01474
ERR1913062.27670__1.27670	165179__D1PGU8__PREVCOP_06463
ERR1913062.27759__1.27759	2293125__A0A374C9I8__DW917_06795
ERR1913062.27807__1.27807	821__A0A396F1N0__M099_1553
ERR1913062.27808__1.27808	360807__A0A1Q6T9R3__ERS852392_02666
ERR1913062.27835__1.27835	360807__C0FVT5__RIL183_27241
ERR1913062.27857__1.27857	487174__K0XLV6__DIT83_00940
ERR1913062.27904__1.27904	1262930__R6AX76__BN693_00292
ERR1913062.27933__1.27933	360807__A0A396ACQ8__ROSEINA2194_00690
ERR1913062.27950__1.27950	165179__A0A3E5EA43__DXC61_07775
ERR1913062.27959__1.27959	820__A0A173W419__DXC68_17760
ERR1913062.28031__1.28031	166486__D4L255__mcp4_5
ERR1913062.28228__1.28228	166486__D4L398__ERS852572_03633
ERR1913062.28264__1.28264	418240__A0A174C465__ydaM
ERR1913062.28270__1.28270	2293125__A0A374BUM7__DW917_12980
ERR1913062.28304__1.28304	357276__B6W1Y1__BSEG_03960
ERR1913062.28377__1.28377	818__A0A139K9H8__C5Z03_23905
ERR1913062.28489__1.28489	1262739__R6M9P7__BN659_01903
ERR1913062.28545__1.28545	357276__C3R5A0__B5F00_02960
ERR1913062.28703__1.28703	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.28718__1.28718	544645__A0A3E4T524__DXC42_10825
ERR1913062.28727__1.28727	820__R7E9Z4__DXC68_06065
ERR1913062.28825__1.28825	821__A0A3E4WAR6__DXD64_10735
ERR1913062.28810__1.28810	310298__B3JMZ2__BACCOP_03297
ERR1913062.29029__1.29029	821__R7P1Q7__M099_2990
ERR1913062.29033__1.29033	310298__B3JEE8__BACCOP_00239
ERR1913062.29052__1.29052	33039__A0A174ZCB2__ERS852577_04014
ERR1913062.29215__1.29215	823__A0A395Z066__M091_0663
ERR1913062.29281__1.29281	821__A0A3E4WAR6__DXD64_10735
ERR1913062.29300__1.29300	544644__GCA_001915615.1_01953
ERR1913062.29348__1.29348	2293125__A0A374BSW4__DW917_13420
ERR1913062.29455__1.29455	165179__D1PHC0__PREVCOP_06640
ERR1913062.29545__1.29545	338188__A0A174ETX3__ERS852397_01955
ERR1913062.29600__1.29600	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913062.29738__1.29738	1262930__R6ATZ0__BN693_01860
ERR1913062.29937__1.29937	1262930__R5ZXU1__BN693_01352
ERR1913062.30082__1.30082	166486__D4KUM5__afr
ERR1913062.30084__1.30084	1099853__G9S4Z9__NSB1T_00210
ERR1913062.30123__1.30123	821__I9R3W6__DXC16_12455
ERR1913062.30308__1.30308	28118__R6F5T0__Odosp_2509
ERR1913062.30549__1.30549	39486__B0G7R1__DXD10_04295
ERR1913062.30602__1.30602	165179__A0A3E5E4T9__DXB80_08030
ERR1913062.30695__1.30695	853__A0A173T6P2__DWZ46_14595
ERR1913062.30795__1.30795	823__A6L9W2__DXB14_07905
ERR1913062.31012__1.31012	853__A0A2A7A4A9__C4N21_14870
ERR1913062.31114__1.31114	2293125__A0A374BUM7__DW917_12980
ERR1913062.31147__1.31147	410072__C0BAZ4__ERS852574_02324
ERR1913062.31160__1.31160	1150298__A0A174KW35__cbbX
ERR1913062.31544__1.31544	1262948__R7EFS3__BN671_00884
ERR1913062.31580__1.31580	821__D4VD59__BHV80_04260
ERR1913062.31625__1.31625	33025__A0A395J8P0__C8D73_1144
ERR1913062.31668__1.31668	853__A0A2A7A4A9__C4N21_14870
ERR1913062.31680__1.31680	166486__D4L0Q4__ERS852572_03675
ERR1913062.31690__1.31690	820__A0A139K5E7__DXC68_09550
ERR1913062.31741__1.31741	166486__D4L2C5__ERS852572_01688
ERR1913062.31817__1.31817	1262930__R6A2Q0__BN693_00487
ERR1913062.31879__1.31879	166486__D4L337__msbA_4
ERR1913062.31882__1.31882	166486__A0A1Q6SGI9__ERS852572_00327
ERR1913062.32116__1.32116	2293125__A0A374BSW4__DW917_13420
ERR1913062.32247__1.32247	818__D7I7V5__BJP75_001030
ERR1913062.32447__1.32447	165179__A0A3E5DY64__CFT61_10025
ERR1913062.32461__1.32461	165179__D1PCL6__DXB80_13435
ERR1913062.32498__1.32498	360807__C0FTG2__RIL183_32211
ERR1913062.32857__1.32857	371601__I9ABK9__B5E50_12420
ERR1913062.32804__1.32804	1262930__R6A8Q7__BN693_01064
ERR1913062.32893__1.32893	310298__B3JQJ5__BACCOP_04231
ERR1913062.32897__1.32897	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913062.32900__1.32900	338188__A0A174ETX3__ERS852397_01955
ERR1913062.33204__1.33204	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.33272__1.33272	39486__B0G7A3__DXD10_08110
ERR1913062.33275__1.33275	166486__D4KW03__ERS852572_03114
ERR1913062.33326__1.33326	818__E5C5U7__SAMN05216253_101163
ERR1913062.33639__1.33639	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913062.33873__1.33873	820__A0A139KHD8__ERS417307_00569
ERR1913062.34049__1.34049	166486__D4KUK5__thiM
ERR1913062.34216__1.34216	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913062.34275__1.34275	165179__R6XLJ7__CFT61_06250
ERR1913062.34290__1.34290	2293125__A0A374BUM7__DW917_12980
ERR1913062.34388__1.34388	166486__D4KY48__gmr_5
ERR1913062.34426__1.34426	165179__A0A3E5AAM8__DXB80_10240
ERR1913062.34489__1.34489	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913062.34688__1.34688	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913062.34729__1.34729	166486__D4L082__yicI_5
ERR1913062.34893__1.34893	818__A0A174N1L6__ERS852511_02039
ERR1913062.34984__1.34984	1262948__R7E9U5__BN671_02041
ERR1913062.35014__1.35014	823__K6A253__DHP27_13535
ERR1913062.35041__1.35041	823__A0A355XLS2__ERS852380_02644
ERR1913062.35155__1.35155	820__A0A174A6K0__M093_0079
ERR1913062.35467__1.35467	328814__GCA_004558275.1_00089
ERR1913062.35546__1.35546	2293125__A0A374BSW4__DW917_13420
ERR1913062.35584__1.35584	2293125__A0A374BSW4__DW917_13420
ERR1913062.35569__1.35569	1628085__A0A1C6C323__C7386_10747
ERR1913062.35727__1.35727	357276__A0A0M1W9N4__GV66_05135
ERR1913062.35804__1.35804	853__C7H7F5__DWZ46_01780
ERR1913062.36096__1.36096	1262924__R7HR75__BN585_00689
ERR1913062.36175__1.36175	310298__B3JMG0__BACCOP_03099
ERR1913062.36213__1.36213	46503__R6X0L4__DXB61_05325
ERR1913062.36501__1.36501	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.36541__1.36541	2293125__A0A374CBD1__DW917_06995
ERR1913062.36547__1.36547	310298__B3JMG0__BACCOP_03099
ERR1913062.36736__1.36736	487174__K0X2Y1__lepB
ERR1913062.36823__1.36823	166486__R6AY46__ROSINTL182_06128
ERR1913062.36860__1.36860	410072__A0A174AQ98__COPCOM_03377
ERR1913062.37118__1.37118	1262924__R7HKZ9__BN585_01304
ERR1913062.37246__1.37246	216816__D6ZWI5__B5781_1661
ERR1913062.37455__1.37455	165179__A0A3E5AER8__DXB80_07075
ERR1913062.37461__1.37461	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.37519__1.37519	310298__B3JI31__BACCOP_01543
ERR1913062.37540__1.37540	46506__S3YS03__DXC34_03445
ERR1913062.37610__1.37610	357276__I9RCD3__IY41_15070
ERR1913062.37808__1.37808	46503__R5DLM3__HMPREF1078_03417
ERR1913062.37857__1.37857	360807__A0A173SE91__murR
ERR1913062.37845__1.37845	328814__GCA_004558275.1_00091
ERR1913062.37889__1.37889	357276__A6L053__ABI39_04450
ERR1913062.38136__1.38136	823__A6LEF1__CF162_12695
ERR1913062.38336__1.38336	371601__F7LA63__HMPREF1074_04288
ERR1913062.38338__1.38338	1262739__R6MRD4__BN659_02013
ERR1913062.38403__1.38403	165179__D1PGU8__PREVCOP_06463
ERR1913062.38409__1.38409	360807__A0A396AK01__RIL183_20461
ERR1913062.38496__1.38496	821__A0A174WBC9__ERS852556_03145
ERR1913062.38506__1.38506	2293125__A0A374CCM7__DW917_05375
ERR1913062.38718__1.38718	118748__GCF_000177375.1_00419
ERR1913062.38784__1.38784	1150298__R7JRU1__degA_3
ERR1913062.39013__1.39013	310298__B3JGJ2__BACCOP_00994
ERR1913062.39052__1.39052	2293125__A0A374BUM7__DW917_12980
ERR1913062.39229__1.39229	853__A0A173XRA8__CGS56_09290
ERR1913062.39269__1.39269	823__D0TDY6__DHP27_09090
ERR1913062.39307__1.39307	1099853__U5CD68__NSB1T_05535
ERR1913062.39414__1.39414	165179__A0A174UTZ7__DXC61_06705
ERR1913062.39440__1.39440	61171__B9Y6J6__HOLDEFILI_01437
ERR1913062.39798__1.39798	165179__D1PGU8__PREVCOP_06463
ERR1913062.39788__1.39788	853__D4KAK8__C4N21_13380
ERR1913062.39875__1.39875	410072__A0A174GUX6__COPCOM_03717
ERR1913062.39992__1.39992	2293125__A0A374CCM7__DW917_05375
ERR1913062.40031__1.40031	310298__B3JQJ5__BACCOP_04231
ERR1913062.40036__1.40036	1262948__R7E9U5__BN671_02041
ERR1913062.40116__1.40116	360807__C0FN02__ERS852392_01841
ERR1913062.40117__1.40117	410072__A0A174B9D6__COPCOM_00384
ERR1913062.40306__1.40306	310298__B3JJX9__BACCOP_02203
ERR1913062.40416__1.40416	310298__B3JFK4__BACCOP_00654
ERR1913062.40377__1.40377	1262924__R7HUR1__BN585_00057
ERR1913062.40479__1.40479	1262930__R6A0L1__BN693_02245
ERR1913062.40538__1.40538	310298__B3JQJ5__BACCOP_04231
ERR1913062.40662__1.40662	1262911__R6GSH8__BN557_00939
ERR1913062.40771__1.40771	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.40807__1.40807	357276__I9QBT7__BSEG_03340
ERR1913062.40941__1.40941	166486__D4KUT4__ERS852572_01421
ERR1913062.40997__1.40997	28116__I9AKR7__DXA80_22960
