ERR1913155.341__1.341	387661__R5DFX1__PRABACTJOHN_01199
ERR1913155.5580__1.5580	820__A0A3E4GA19__SAMN05444418_10562
ERR1913155.5804__1.5804	410072__A0A174B435__COPCOM_00497
ERR1913155.5827__1.5827	820__A0A139KH21__DXC80_01780
ERR1913155.6169__1.6169	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913155.6419__1.6419	46503__R6XCJ0__PARMER_01847
ERR1913155.6755__1.6755	301301__G2SZN8__RHOM_00825
ERR1913155.6825__1.6825	301302__A0A0M6WIX9__ERS852420_01972
ERR1913155.6860__1.6860	301302__A0A0M6WJW1__ERS852420_02245
ERR1913155.6921__1.6921	239935__A0A2N8HB50__CXU17_02615
ERR1913155.6996__1.6996	28118__R6F6C0__Odosp_0731
ERR1913155.7086__1.7086	556259__E5C445__BSGG_0931
ERR1913155.7129__1.7129	1150298__R7JPI7__cotI
ERR1913155.7173__1.7173	216816__A0A2U0BT35__BL1206_1860
ERR1913155.7252__1.7252	100886__A0A174K8B7__lolD_6
ERR1913155.7510__1.7510	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913155.7634__1.7634	1780376__A0A143XQT4__BN3659_01658
ERR1913155.7654__1.7654	357276__B6W5Q7__DXD47_13945
ERR1913155.7693__1.7693	100886__A0A174LEG5__ERS852383_05606
ERR1913155.7710__1.7710	301302__R5UL57__ERS852420_00622
ERR1913155.7745__1.7745	1105031__J1H3W2__HMPREF1141_2783
ERR1913155.7750__1.7750	1150298__A0A174RJU1__gsiA_4
ERR1913155.7807__1.7807	39485__C4Z6J7__ERS852492_02047
ERR1913155.7909__1.7909	1105031__J1H3W2__HMPREF1141_2783
ERR1913155.7948__1.7948	47678__A5ZF31__DXB67_11050
ERR1913155.8053__1.8053	33025__A0A395J9R3__C8D73_10817
ERR1913155.8156__1.8156	216816__B7GTP7__BLIC_h02039
ERR1913155.8374__1.8374	853__E2ZGD9__C7J97_11715
ERR1913155.8478__1.8478	39485__A0A174Z501__EUBELI_00678
ERR1913155.8483__1.8483	745368__A0A1T4Y178__SAMN02745178_02628
ERR1913155.8728__1.8728	88431__A0A3E5GJ50__DORLON_02273
ERR1913155.8800__1.8800	1150298__A0A174K7D2__ERS852498_01147
ERR1913155.8816__1.8816	487174__K0X4F7__DDY40_08055
ERR1913155.8854__1.8854	100886__E2NWE4__ERS852383_03670
ERR1913155.8960__1.8960	1262911__R6H174__BN557_01246
ERR1913155.9350__1.9350	301302__A0A173T7E8__M72_26791
ERR1913155.9409__1.9409	46228__V8C7M2__RUMLAC_01453
ERR1913155.9453__1.9453	116085__D4J6U4__DW747_08365
ERR1913155.9469__1.9469	454154__G5SS69__HMPREF9441_02219
ERR1913155.9522__1.9522	853__A0A174C5M1__CGS58_04460
ERR1913155.9540__1.9540	40518__R5DU52__RB5AMG_02245
ERR1913155.9634__1.9634	1150298__A0A174S2H3__spoIIQ
ERR1913155.9655__1.9655	823__C7XA51__BDI_0499
ERR1913155.9670__1.9670	1150298__A0A174B7I7__ERS852535_01258
ERR1913155.9897__1.9897	214856__A0A173ZUI6__ERS852447_00955
ERR1913155.9930__1.9930	820__A0A3E4W4W5__ERS852554_02179
ERR1913155.10084__1.10084	40518__R5DYF6__RBL263_01812
ERR1913155.10605__1.10605	820__A0A3E4RU03__M093_0563
ERR1913155.10718__1.10718	853__A0A173XRA8__CGS56_09290
ERR1913155.10864__1.10864	100886__A0A174K0P2__cysA_2
ERR1913155.10870__1.10870	1262924__R7HM17__BN585_01318
ERR1913155.10913__1.10913	33043__A0A173WU55__ganB_2
ERR1913155.10949__1.10949	28111__E5WUE9__NCTC11155_01729
ERR1913155.10968__1.10968	853__A0A173XRA8__CGS56_09290
ERR1913155.11040__1.11040	40518__R5DW64__RBL236_01394
ERR1913155.11098__1.11098	39491__A0A174G6M3__DXD13_14470
ERR1913155.11195__1.11195	821__A6L0C7__ERS852556_03520
ERR1913155.11353__1.11353	301302__A0A173TNM6__luxQ
ERR1913155.11647__1.11647	338188__R6D6U2__ERS852397_02840
ERR1913155.11673__1.11673	301302__R5V6L8__M72_16121
ERR1913155.11736__1.11736	216816__A0A133LQN7__BL15B_00780
ERR1913155.11688__1.11688	328814__GCA_004558275.1_00997
ERR1913155.11798__1.11798	74426__nifJ
ERR1913155.11948__1.11948	216816__B7GTR6__BLD_0992
ERR1913155.12037__1.12037	823__D0TGD9__hpt
ERR1913155.12091__1.12091	821__A0A395UNT8__DXD64_15275
ERR1913155.12114__1.12114	821__A0A174MBW9__SAMN04487923_10272
ERR1913155.12494__1.12494	40518__R5DT93__DXD86_08730
ERR1913155.12499__1.12499	1262743__R5C054__BN727_01980
ERR1913155.12732__1.12732	1150298__A0A174E950__ERS852498_02096
ERR1913155.13009__1.13009	301302__A0A173S3L8__vpr
ERR1913155.13029__1.13029	371601__A0A1H4AKU1__BXY_45200
ERR1913155.12980__1.12980	818__A0A174T624__HMPREF2534_01176
ERR1913155.13101__1.13101	40518__R5DPE0__DXD86_06515
ERR1913155.13548__1.13548	33025__A0A395JDV3__C8D73_101685
ERR1913155.13805__1.13805	39492__A0A174ZP27__EUBSIR_00033
ERR1913155.13946__1.13946	39491__A0A173RA59__EUR_24800
ERR1913155.13983__1.13983	28117__B0MTV0__BHV66_06395
ERR1913155.14242__1.14242	1501391__GCA_000786575.1_00121
ERR1913155.14286__1.14286	84030__D6DK01__B5F06_00655
ERR1913155.14315__1.14315	39491__R6UMS6__DXD13_07035
ERR1913155.14459__1.14459	1150298__A0A174GJF6__bglX_2
ERR1913155.14486__1.14486	328814__GCA_004558275.1_00051
ERR1913155.14506__1.14506	39491__A0A395ZHV7__ykvU
ERR1913155.14513__1.14513	239935__A0A2N8HJX0__CXU19_08380
ERR1913155.14784__1.14784	1150298__A0A174DPC6__ERS852535_01374
ERR1913155.15103__1.15103	40518__R5DX93__DXD93_03055
ERR1913155.15261__1.15261	821__E5UY21__C800_02204
ERR1913155.15300__1.15300	39491__A0A395V5L2__ERE_28270
ERR1913155.15548__1.15548	410072__A0A174K1W4__apxIB
ERR1913155.15829__1.15829	88431__A0A174EMW0__thiD_1
ERR1913155.15864__1.15864	1150298__A0A174KDX3__ERS852498_01212
ERR1913155.15915__1.15915	1262886__R6QNJ6__BN563_00594
ERR1913155.16012__1.16012	1262886__R6RCD3__BN563_00341
ERR1913155.16087__1.16087	28052__A0A174IE05__ypdA_2
ERR1913155.16091__1.16091	301302__R5VGE0__ERS852420_00121
ERR1913155.16105__1.16105	28116__A0A1Y4Q112__evgS_13
ERR1913155.16107__1.16107	39491__A0A395ZDC6__addB
ERR1913155.16241__1.16241	820__A0A173WZS4__DXD90_10250
ERR1913155.16345__1.16345	820__A0A3E4FWC8__DXC91_14635
ERR1913155.16354__1.16354	821__A0A174NSU0__BVU_3144
ERR1913155.16859__1.16859	1263044__GCA_000433375.1_01152
ERR1913155.16886__1.16886	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913155.17047__1.17047	216816__D6DBD5__DXC32_04335
ERR1913155.17000__1.17000	823__A0A395YXR9__M091_4086
ERR1913155.17005__1.17005	820__R9HXK9__DXB62_08265
ERR1913155.17023__1.17023	46506__B0NT08__BACSTE_02624
ERR1913155.17099__1.17099	1150298__A0A174DU21__toxA_3
ERR1913155.17154__1.17154	1150298__A0A174KDX3__ERS852498_01212
ERR1913155.17207__1.17207	338188__K5CHU1__ERS852397_02431
ERR1913155.17237__1.17237	418240__A0A173X9D3__ERS852478_00421
ERR1913155.17868__1.17868	40518__R5DTH7__DXD83_02405
ERR1913155.17997__1.17997	649756__B0NZZ8__DO83_09740
ERR1913155.18055__1.18055	40518__R5DWP7__ansA
ERR1913155.18046__1.18046	40518__R5DVX3__RBL263_01584
ERR1913155.18048__1.18048	820__A0A3E5E0T0__ERS852554_00312
ERR1913155.18098__1.18098	40518__R5E4X5__RB5AMG_01438
ERR1913155.18100__1.18100	853__A0A174C5M1__CGS58_04460
ERR1913155.18118__1.18118	820__A0A396EUV1__B5G17_06465
ERR1913155.18244__1.18244	2259594__B3DPV5__DR871_17155
ERR1913155.18249__1.18249	821__A0A395UNT8__DXD64_15275
ERR1913155.18191__1.18191	301302__R5UMU6__M72_26821
ERR1913155.18294__1.18294	301302__R5VFU2__xynA1
ERR1913155.18399__1.18399	166486__A0A173T114__ROSINTL182_05085
ERR1913155.18448__1.18448	1262911__R6H212__BN557_01031
ERR1913155.18457__1.18457	821__A0A174V2F3__NCTC10583_01474
ERR1913155.18588__1.18588	47678__R5UWN2__BACCAC_01649
ERR1913155.18638__1.18638	853__A0A173XRA8__CGS56_09290
ERR1913155.18731__1.18731	823__D7IUM6__M091_1082
ERR1913155.18759__1.18759	1150298__A0A174HEB6__ypdC_2
ERR1913155.18760__1.18760	1150298__A0A173W9F4__ERS852498_02567
ERR1913155.18815__1.18815	1262886__R6QPP8__BN563_00924
ERR1913155.18820__1.18820	1759399__A0A127TU20__ATM98_06435
ERR1913155.19057__1.19057	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913155.19090__1.19090	216816__C2GUV2__APC1478_0430
ERR1913155.19350__1.19350	338188__R6RPM1__BACFIN_05401
ERR1913155.19438__1.19438	823__A6LB63__M095_1847
ERR1913155.19642__1.19642	328814__GCA_004558275.1_02279
ERR1913155.19735__1.19735	33043__A0A173R1J6__rpfG_1
ERR1913155.19718__1.19718	40518__R5E0F2__RBATCC27255_01890
ERR1913155.19815__1.19815	40518__R5E2U9__RBL263_01292
ERR1913155.19880__1.19880	1262924__R7HTA4__BN585_00391
ERR1913155.19991__1.19991	40518__R5DMC7__blaR1
ERR1913155.20176__1.20176	39491__A0A173VYV1__DXC13_02710
ERR1913155.20169__1.20169	360807__A0A0M6WHB7__ERS852444_00092
ERR1913155.20353__1.20353	33043__D5HFE3__lacR
ERR1913155.20420__1.20420	1262886__R6QHF8__BN563_00567
ERR1913155.20488__1.20488	1262911__R6GUQ4__BN557_01581
ERR1913155.20631__1.20631	884684__GCA_002892425.1_01408
ERR1913155.20639__1.20639	820__A0A139K5A6__DXB48_12175
ERR1913155.20691__1.20691	46503__R6XDP9__ERS852463_01752
ERR1913155.21063__1.21063	360807__A0A0M6WV00__ERS852444_02114
ERR1913155.21076__1.21076	216816__C5E7T6__B5781_0828
ERR1913155.21118__1.21118	301302__R5UH47__M72_02301
ERR1913155.21192__1.21192	40518__R5DWP7__ansA
ERR1913155.21165__1.21165	46503__R5DM05__DD461_09230
ERR1913155.21218__1.21218	40518__R5DX31__DXD86_09775
ERR1913155.21222__1.21222	40518__R5DWP7__ansA
ERR1913155.21310__1.21310	821__A0A174WBC9__ERS852556_03145
ERR1913155.21519__1.21519	1150298__A0A174QNY9__ERS852498_01028
ERR1913155.21656__1.21656	40518__R5DYU1__DXD86_01160
ERR1913155.21854__1.21854	820__A0A174CK74__DXB48_07060
ERR1913155.21902__1.21902	1150298__R7JRU1__degA_3
ERR1913155.21982__1.21982	239935__A0A2N8IUE8__CXU20_02935
ERR1913155.22042__1.22042	301302__A0A173TWC1__phoR_7
ERR1913155.22082__1.22082	820__A0A139KHD8__ERS417307_00569
ERR1913155.22115__1.22115	1535__A7VY32__CLOLEP_03508
ERR1913155.22158__1.22158	28116__D7K7K3__SAMN05192581_103348
ERR1913155.22185__1.22185	100884__E7G7G1__HMPREF9488_00675
ERR1913155.22264__1.22264	40518__R5DU52__RB5AMG_02245
ERR1913155.22325__1.22325	100886__E2NWG3__CATMIT_02958
ERR1913155.22434__1.22434	1262927__R7EX56__BN677_00089
ERR1913155.22535__1.22535	40518__R5DU52__RB5AMG_02245
ERR1913155.22867__1.22867	1680__A7A8N9__BBMN23_1271
ERR1913155.22990__1.22990	39491__A0A395ZDC6__addB
ERR1913155.23003__1.23003	301302__A0A0M6W9I4__M72_19871
ERR1913155.22935__1.22935	820__A0A174A6K0__M093_0079
ERR1913155.23150__1.23150	33038__A0A2N5Q375__RUMGNA_00645
ERR1913155.23270__1.23270	39486__G1WMX5__HMPREF9457_00476
ERR1913155.23280__1.23280	33043__D5HEY0__ERS852386_01426
ERR1913155.23457__1.23457	47678__R5U332__C5Z00_16810
ERR1913155.23584__1.23584	239935__R6IZT7__CXU18_11710
ERR1913155.23725__1.23725	823__C7XBX3__HMPREF1059_03212
ERR1913155.23872__1.23872	239935__A0A2N8IQU3__CXU22_05890
ERR1913155.23881__1.23881	301302__A0A0M6W9H8__M72_19621
ERR1913155.23893__1.23893	823__A0A395Z0N9__DHW69_05890
ERR1913155.24024__1.24024	1262886__R6QQC0__BN563_01076
ERR1913155.24053__1.24053	328814__GCA_004558275.1_00087
ERR1913155.24234__1.24234	216816__R5MZK3__DPC6320_1630
ERR1913155.24293__1.24293	329854__R5M6T4__HMPREF2531_03715
ERR1913155.24360__1.24360	338188__R6RPM1__BACFIN_05401
ERR1913155.24484__1.24484	40518__R5DXH2__DXD83_10135
ERR1913155.24450__1.24450	301302__R5VCU3__cbiK_2
ERR1913155.24530__1.24530	376805__F0R8H8__Bacsa_0435
ERR1913155.24578__1.24578	820__A0A374MMF0__HMPREF1073_03811
ERR1913155.24585__1.24585	821__C3RB94__DXC03_15585
ERR1913155.24667__1.24667	820__A0A396EUU8__luxQ_3
ERR1913155.24690__1.24690	1897011__A0A1Q6RG59__BHW41_02475
ERR1913155.24820__1.24820	216816__A0A395XYV2__APC1468_1887
ERR1913155.24936__1.24936	820__A0A3E4XDK3__ERS852554_03650
ERR1913155.24944__1.24944	28117__B0MZ14__ALIPUT_02383
ERR1913155.24954__1.24954	338188__C9KT46__BACFIN_05482
ERR1913155.25054__1.25054	40518__R5DVL2__penA
ERR1913155.25069__1.25069	820__A0A3E4GA19__SAMN05444418_10562
ERR1913155.25131__1.25131	572010__infC
ERR1913155.25096__1.25096	487174__K0X551__HMPREF9448_02151
ERR1913155.25100__1.25100	39492__B0MNL5__phoR_1
ERR1913155.25337__1.25337	1150298__R7JV71__ERS852498_00755
ERR1913155.25394__1.25394	40518__R5DZB3__RB5AMG_01719
ERR1913155.25498__1.25498	1262911__R6H174__BN557_01246
ERR1913155.25513__1.25513	1150298__A0A174HYM9__ERS852406_01664
ERR1913155.25571__1.25571	40518__R5DR72__RBL236_02110
ERR1913155.25574__1.25574	46228__B5CPT7__HMPREF1202_00616
ERR1913155.25601__1.25601	1150298__A0A174RP87__uppP_1
ERR1913155.25962__1.25962	28117__B0MU58__BHV66_05630
ERR1913155.26007__1.26007	216816__A0A083XFS3__APC1472_0413
ERR1913155.26040__1.26040	823__A6LBY1__ERS852380_00510
ERR1913155.26240__1.26240	46228__V8BLJ0__DXD17_08675
ERR1913155.26385__1.26385	39486__B0G759__DXB36_00705
ERR1913155.26399__1.26399	28117__R7JIJ8__BHV66_01635
ERR1913155.26472__1.26472	28111__E5WVZ4__NCTC11155_02635
ERR1913155.26503__1.26503	821__A0A174JYD3__ERS852457_02610
ERR1913155.26574__1.26574	40518__R5DME2__DXD86_07315
ERR1913155.26622__1.26622	165179__A0A3E5AHY4__CFT61_07675
ERR1913155.26642__1.26642	33043__D5HH34__ERS852386_00170
ERR1913155.26768__1.26768	40518__R5DVL2__penA
ERR1913155.26776__1.26776	39492__D4JWJ4__EUBSIR_01090
ERR1913155.26792__1.26792	310297__B5CXJ7__DXB87_06645
ERR1913155.26856__1.26856	487174__K0WZN5__HMPREF9448_01108
ERR1913155.27025__1.27025	301302__R5VFU2__xynA1
ERR1913155.27269__1.27269	1262911__R6H2J2__BN557_01228
ERR1913155.27387__1.27387	1262743__R5C054__BN727_01980
ERR1913155.27773__1.27773	106588__A6NUL8__BACCAP_01900
ERR1913155.27794__1.27794	821__A0A174V2F3__NCTC10583_01474
ERR1913155.28011__1.28011	28117__B0N028__BHV66_05935
ERR1913155.28069__1.28069	40518__R5E7S2__RBL263_00671
ERR1913155.28079__1.28079	820__A0A3E4RTP0__C801_01067
ERR1913155.28129__1.28129	853__D4JY61__C4N21_10560
ERR1913155.28197__1.28197	40518__R5DNI6__RBATCC27255_00844
ERR1913155.28346__1.28346	821__A0A174V2F3__NCTC10583_01474
ERR1913155.28484__1.28484	28117__B0MZ14__ALIPUT_02383
ERR1913155.28542__1.28542	301301__A0A395VBI2__RHOM_00545
ERR1913155.28667__1.28667	28111__R5JN40__HMPREF1016_01803
ERR1913155.28690__1.28690	40518__R5DZC6__mreC
ERR1913155.28751__1.28751	40518__R5DQD6__DXD83_09060
ERR1913155.28872__1.28872	301302__R5UQ61__M72_23071
ERR1913155.28878__1.28878	40518__R5DRG6__ylbJ
ERR1913155.28996__1.28996	40518__R5DXH2__DXD83_10135
ERR1913155.29141__1.29141	387090__S0F8B2__BACCOPRO_02129
ERR1913155.29233__1.29233	301302__R5UJV1__ERS852420_01672
ERR1913155.29256__1.29256	820__A0A396EXA7__DXB37_15530
ERR1913155.29384__1.29384	821__A0A3E4HP25__SAMN04487923_102450
ERR1913155.29420__1.29420	216816__B3DNW2__BL171B_07980
ERR1913155.29693__1.29693	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913155.29775__1.29775	46228__B5CS18__RUMLAC_02269
ERR1913155.29868__1.29868	216816__D6DC09__BLIC_a02334
ERR1913155.29932__1.29932	820__A0A174DZ97__SAMN05444418_101240
ERR1913155.29995__1.29995	1150298__A0A174GQV8__ERS852406_02454
ERR1913155.30138__1.30138	39486__R6SE83__DXD82_03080
ERR1913155.30172__1.30172	820__A0A3E4XM43__DXC91_13960
ERR1913155.30126__1.30126	821__E5UY21__C800_02204
ERR1913155.30225__1.30225	820__E5VA63__DXC80_01025
ERR1913155.30310__1.30310	46506__R6AEP1__HMPREF1181_01415
ERR1913155.30421__1.30421	1150298__R7JRT0__ERS852498_01068
ERR1913155.30435__1.30435	39491__A0A174EQV2__DXB69_10230
ERR1913155.30544__1.30544	39491__A0A395ZBQ4__cph2_2
ERR1913155.30554__1.30554	40518__R5DUG7__sbcC
ERR1913155.30586__1.30586	745368__A0A1T4XC26__SAMN02745178_01685
ERR1913155.30640__1.30640	820__A0A3E4XDK3__ERS852554_03650
ERR1913155.30675__1.30675	216816__A0A396FVC5__BL71B_00290
ERR1913155.30694__1.30694	40518__R5DU92__DXD93_03170
ERR1913155.30746__1.30746	820__A0A174GYA8__DXB64_07370
ERR1913155.30749__1.30749	33025__A0A395J9V5__C8D73_10846
ERR1913155.30793__1.30793	418240__A0A174SJB0__toxA_3
ERR1913155.30892__1.30892	310298__B3JQJ5__BACCOP_04231
ERR1913155.30893__1.30893	626933__H1DGX0__HMPREF9449_01506
ERR1913155.30904__1.30904	40518__R5DUG7__sbcC
ERR1913155.31027__1.31027	46503__B7BG40__ERS852463_01623
ERR1913155.31029__1.31029	46506__R6AEM4__DXC41_06545
ERR1913155.31068__1.31068	28111__E5X121__BACEGG_03113
ERR1913155.31188__1.31188	216816__A0A2U0BLP0__tsaB
ERR1913155.31354__1.31354	40518__R5DXI4__DXD86_07420
ERR1913155.31566__1.31566	820__R9HP61__DXC91_01090
ERR1913155.31626__1.31626	823__A0A395YRX4__ERS852513_03444
ERR1913155.31629__1.31629	823__A0A069SAX6__ERS852380_00710
ERR1913155.31748__1.31748	39491__A0A396FIU1__DXC13_07905
ERR1913155.31788__1.31788	40518__R5DUG7__sbcC
ERR1913155.31877__1.31877	40518__R5DSI5__fieF
ERR1913155.31976__1.31976	821__A6L0C7__ERS852556_03520
ERR1913155.32007__1.32007	33043__A0A174DAG8__dapF
ERR1913155.32097__1.32097	301302__A0A173UN64__manA_2
ERR1913155.32221__1.32221	239935__A0A2N8IQX1__dnaA
ERR1913155.32340__1.32340	28117__R7JQW0__ALIPUT_01453
ERR1913155.32390__1.32390	46506__B0NRL5__DXC34_10445
ERR1913155.32413__1.32413	457421__C5ERC0__CBFG_04276
ERR1913155.32589__1.32589	1262911__R6H212__BN557_01031
ERR1913155.32679__1.32679	28118__F9Z695__DER54_04745
ERR1913155.32680__1.32680	28116__I9ST00__M088_5588
ERR1913155.32709__1.32709	1744__D7GEW1__PFR_JS7-1_777
ERR1913155.32718__1.32718	46228__B5CPT9__DXD17_07345
ERR1913155.32791__1.32791	301302__A0A0M6WKN8__M72_27741
ERR1913155.33026__1.33026	216816__Q8G464__BFS25_05925
ERR1913155.33117__1.33117	46503__R6X0R5__DXB85_12380
ERR1913155.33216__1.33216	820__I9J701__ERS852510_01809
ERR1913155.33217__1.33217	1150298__A0A174SLJ2__ERS852498_03294
ERR1913155.33246__1.33246	33025__A0A395JEP7__C8D73_10844
ERR1913155.33265__1.33265	1262911__R6GXH0__BN557_00389
ERR1913155.33384__1.33384	820__A0A3E4PYB0__yejM
ERR1913155.33580__1.33580	40520__A0A396A2X4__RUMOBE_00875
ERR1913155.33660__1.33660	40518__R5DU92__DXD93_03170
ERR1913155.33771__1.33771	39491__A0A395V464__EUBREC_1509
ERR1913155.33986__1.33986	310298__B3JEV4__BACCOP_00398
ERR1913155.33992__1.33992	169435__A0A174PZ54__B5F10_07370
ERR1913155.34093__1.34093	360807__A0A174EVF2__RIL183_27331
ERR1913155.34153__1.34153	820__A0A3E4G2R7__DXC07_00510
ERR1913155.34251__1.34251	357276__A0A0K2HDP3__IY41_00705
ERR1913155.34224__1.34224	46228__V8C8S2__RUMLAC_01015
ERR1913155.34314__1.34314	454154__G5SWP7__HMPREF9441_03820
ERR1913155.34347__1.34347	39491__A0A173U0X0__DXB72_05865
ERR1913155.34354__1.34354	301302__R5V4M3__ERS852420_01171
ERR1913155.34431__1.34431	823__A0A395YZG9__M092_4358
ERR1913155.34501__1.34501	216816__Q8G585__APC1473_0508
ERR1913155.34558__1.34558	166486__D4KWM6__ERS852572_00729
ERR1913155.34687__1.34687	46506__S3YVF9__BACSTE_02487
ERR1913155.34722__1.34722	28111__E5WYC1__BACEGG_00354
ERR1913155.34736__1.34736	823__C7XA51__BDI_0499
ERR1913155.34803__1.34803	357276__B6VYT9__HMPREF1063_05030
ERR1913155.35089__1.35089	28117__B0MXU6__ALIPUT_01958
ERR1913155.35188__1.35188	823__A6LB62__B5F32_04550
ERR1913155.35407__1.35407	1150298__A0A174HEB6__ypdC_2
ERR1913155.35634__1.35634	544644__GCA_001915615.1_01912
ERR1913155.35656__1.35656	821__R9HFW2__DXD01_00365
ERR1913155.35798__1.35798	46228__V8C458__DXD17_08090
ERR1913155.35829__1.35829	301302__A0A0M6W9H8__M72_19621
ERR1913155.35845__1.35845	40518__R5DY73__DXD86_02865
ERR1913155.35922__1.35922	1150298__A0A174HEB6__ypdC_2
ERR1913155.36087__1.36087	1150298__A0A174HHW8__yhbU_1
ERR1913155.36428__1.36428	820__A0A3E4G3J9__ERS852459_02265
ERR1913155.36441__1.36441	820__A0A174F696__macB_13
ERR1913155.36462__1.36462	820__A0A139K4T0__ERS852510_03146
ERR1913155.36595__1.36595	1262911__R6H0U7__BN557_01104
ERR1913155.36657__1.36657	39492__D4JT68__spoIIIE
ERR1913155.36812__1.36812	1150298__R7JRK4__ERS852406_01648
ERR1913155.36892__1.36892	39491__C4Z8Y4__ERS852417_00909
ERR1913155.36996__1.36996	33025__A0A395JBU5__C8D73_10423
ERR1913155.37178__1.37178	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913155.37213__1.37213	46228__B5CTE5__HMPREF1202_00334
ERR1913155.37362__1.37362	820__A0A174DZ97__SAMN05444418_101240
ERR1913155.37635__1.37635	40518__R5E328__DXD86_08885
ERR1913155.37636__1.37636	853__A0A173T751__C4N24_10280
ERR1913155.37815__1.37815	39491__D6DXZ8__DXB72_15035
ERR1913155.37767__1.37767	1262886__R6RDI4__BN563_00643
ERR1913155.37831__1.37831	40518__R5DR96__RBATCC27255_01185
ERR1913155.37929__1.37929	649756__L1Q069__CL2_23450
ERR1913155.38228__1.38228	33043__A0A173WXS1__ERS852445_00262
ERR1913155.38263__1.38263	39491__A0A396FRE7__EUR_27520
ERR1913155.38317__1.38317	360807__C0FNM4__ERS852444_01447
ERR1913155.38280__1.38280	1262986__R5ZVR7__BN492_01484
ERR1913155.38322__1.38322	310298__B3JQJ5__BACCOP_04231
ERR1913155.38431__1.38431	1262824__R6RW67__BN719_02144
ERR1913155.38584__1.38584	1262911__R6H2J2__BN557_01228
ERR1913155.38781__1.38781	853__A8S882__C4N23_07600
