ERR1913249.568__1.568	1680__A0A374QDL4__LMG18897_0432
ERR1913249.20542__1.20542	1550024__G9RXY7__TQ39_00100
ERR1913249.20658__1.20658	1262911__R6GTZ4__BN557_01440
ERR1913249.20731__1.20731	28117__B0MUR5__BHV66_03900
ERR1913249.20832__1.20832	216816__C2GSX7__DD678_03555
ERR1913249.20869__1.20869	357276__A0A0M1W657__HMPREF1064_04629
ERR1913249.20937__1.20937	28117__B0MTH2__ALIPUT_00061
ERR1913249.21066__1.21066	328814__GCA_004558275.1_00293
ERR1913249.21130__1.21130	239935__A0A2N8IEP3__CXT84_03735
ERR1913249.21356__1.21356	853__A0A174C5M1__CGS58_04460
ERR1913249.21377__1.21377	216816__D6ZSV1__CE169_00930
ERR1913249.21278__1.21278	817__A0A081UA45__M112_0802
ERR1913249.21727__1.21727	1393034__GCA_001552785.1_00510
ERR1913249.22210__1.22210	817__E1WPG4__M133_4264
ERR1913249.22386__1.22386	820__R9HUV5__HMPREF2141_02582
ERR1913249.22441__1.22441	1628085__A0A396Q6V9__C7386_102126
ERR1913249.22604__1.22604	239935__A0A2N8HB50__CXU17_02615
ERR1913249.22740__1.22740	239935__A0A139TPD8__CXU12_11015
ERR1913249.22951__1.22951	214856__A0A174A1J3__ERS852447_01000
ERR1913249.23042__1.23042	239935__A0A2N8I1R3__CXU05_06075
ERR1913249.23248__1.23248	40518__R5DUG7__sbcC
ERR1913249.23382__1.23382	239935__A0A2N8IVR0__CXT87_07115
ERR1913249.23468__1.23468	239935__A0A2N8I7W6__CXT90_04245
ERR1913249.23561__1.23561	239935__A0A2N8ITX2__CXT86_11265
ERR1913249.23650__1.23650	1780376__A0A143XEY2__BN3659_00222
ERR1913249.23652__1.23652	216816__B3DQ11__APC1466_1528
ERR1913249.24196__1.24196	239935__A0A2N8IZ16__CXT84_05850
ERR1913249.24334__1.24334	1262911__R6GZX7__BN557_00838
ERR1913249.24368__1.24368	239935__A0A2N8HH03__CXU09_08875
ERR1913249.24704__1.24704	239935__R6IZU4__CXT87_08085
ERR1913249.24762__1.24762	216816__B3DNW2__BL171B_07980
ERR1913249.24959__1.24959	572010__ydhV
ERR1913249.25010__1.25010	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913249.25745__1.25745	310298__B3JQD7__BACCOP_04095
ERR1913249.25956__1.25956	821__E5UPR6__SAMN04487923_101768
ERR1913249.26224__1.26224	394340__lepA
ERR1913249.26180__1.26180	1897011__A0A1Q6RIQ9__BHW41_00470
ERR1913249.26419__1.26419	1680__A0A173YLK6__BAD_0868
ERR1913249.26441__1.26441	239935__A0A2N8ILG3__CXT93_10135
ERR1913249.26443__1.26443	239935__A0A2N8IHY1__CXU06_00035
ERR1913249.26538__1.26538	1550024__A0A3B9WKW6__TQ39_07780
ERR1913249.26615__1.26615	853__E2ZGD9__C7J97_11715
ERR1913249.26801__1.26801	1680__A1A0V3__C8077_03025
ERR1913249.26853__1.26853	1262911__R6GLA5__BN557_01456
ERR1913249.27503__1.27503	1965604__A0A1Y4EU20__B5F54_04675
ERR1913249.27590__1.27590	821__R6F3Y1__SAMN04487923_104318
ERR1913249.27620__1.27620	823__A0A174VBJ5__M091_5021
ERR1913249.27964__1.27964	2173__A0A1D2WTS0__BK798_08640
ERR1913249.28057__1.28057	10680__GeneID:1261099
ERR1913249.28170__1.28170	343516__GeneID:3953000
ERR1913249.28319__1.28319	817__A0A0E2SQU5__M067_3544
ERR1913249.28352__1.28352	239935__R6J5N6__CXT99_10770
ERR1913249.28356__1.28356	1262869__R7CVG2__BN625_00790
ERR1913249.28365__1.28365	239935__A0A139TPG3__CXT86_08810
ERR1913249.28417__1.28417	239935__A0A2N8IU45__DEF40_02365
ERR1913249.28625__1.28625	239935__A0A2N8IMC9__CXU09_02095
ERR1913249.28791__1.28791	1297617__A0A0S2W6L4__BIV19_07985
ERR1913249.28859__1.28859	1262869__R7CP00__BN625_01342
ERR1913249.29029__1.29029	239935__A0A139TQT9__Amuc_1197
ERR1913249.29439__1.29439	1501391__GCA_000786575.1_00156
ERR1913249.29580__1.29580	216816__A0A061M1M5__HMPREF0177_01046
ERR1913249.30191__1.30191	1150298__A0A174RJ10__ERS852535_00223
ERR1913249.30555__1.30555	35833__E5Y5K9__HMPREF0179_01472
ERR1913249.30584__1.30584	28117__B0MTW8__ALIPUT_00502
ERR1913249.30853__1.30853	572010__tgt
ERR1913249.31070__1.31070	35833__E5YAA4__HMPREF0179_03124
ERR1913249.31359__1.31359	357276__A0A076IRX4__ABI39_13585
ERR1913249.31451__1.31451	239935__R7DVL7__CXT93_01180
ERR1913249.32033__1.32033	239935__A0A2N8HT18__CXT93_06135
ERR1913249.32088__1.32088	1550024__A0A0D8J112__TQ39_05560
ERR1913249.32111__1.32111	28117__B0MYI9__BHV66_05415
ERR1913249.32224__1.32224	1550024__A0A0D8J274__ASJ35_12405
ERR1913249.32411__1.32411	1550024__G9RTW4__TQ39_08265
ERR1913249.32713__1.32713	1262869__R7CLS0__BN625_01160
ERR1913249.32817__1.32817	239935__A0A2N8ITX2__CXT86_11265
ERR1913249.33070__1.33070	1262911__R6GUE9__BN557_01306
ERR1913249.33113__1.33113	28117__R7JPX7__BHV66_00900
ERR1913249.33387__1.33387	28117__B0MVL5__BHV66_01660
ERR1913249.33584__1.33584	1263000__R5EXT3__BN466_02213
ERR1913249.33630__1.33630	239935__A0A2N8IVK9__CXU08_03750
ERR1913249.33723__1.33723	239935__A0A139TT05__CXU09_03335
ERR1913249.33943__1.33943	328814__GCA_004558275.1_00296
ERR1913249.33971__1.33971	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.34051__1.34051	239935__A0A2N8IUK0__CXU01_07370
ERR1913249.34232__1.34232	552398__F4XHM4__HMPREF0866_03128
ERR1913249.34265__1.34265	44742__A0A109W4A4__AXF13_08225
ERR1913249.34686__1.34686	1263030__R5CUH1__BN705_00716
ERR1913249.34957__1.34957	239935__A0A2N8HT18__CXT93_06135
ERR1913249.34958__1.34958	239935__A0A2N8IG27__CXT85_07805
ERR1913249.35012__1.35012	239935__A0A2N8HBM4__CXT85_06270
ERR1913249.35130__1.35130	239935__R6JD78__CXU05_09250
ERR1913249.35574__1.35574	239935__A0A139TPG3__CXT86_08810
ERR1913249.35685__1.35685	1680__A0A087DKM6__B0042_0664
ERR1913249.36046__1.36046	1262911__R6H2J2__BN557_01228
ERR1913249.36289__1.36289	1262992__R5CXM7__BN795_01016
ERR1913249.36153__1.36153	1262911__R6H2J2__BN557_01228
ERR1913249.36722__1.36722	817__K1FQG1__DWS34_07240
ERR1913249.36938__1.36938	28117__B0MXG8__ALIPUT_01814
ERR1913249.37118__1.37118	239935__B2UL21__CXT98_03395
ERR1913249.37307__1.37307	239935__A0A2N8IRW0__A4V05_11620
ERR1913249.37273__1.37273	239935__A0A2N8IUK0__CXU01_07370
ERR1913249.37473__1.37473	1147152__GeneID:14181999
ERR1913249.37763__1.37763	410072__C0BDJ9__ERS852525_02311
ERR1913249.37770__1.37770	1681__A0A0H2PP44__BBTM_02041
ERR1913249.37886__1.37886	239935__A0A2N8IVR0__CXT87_07115
ERR1913249.37893__1.37893	239935__R6J9N8__CXT96_07990
ERR1913249.38140__1.38140	1262911__R6HGD7__BN557_00108
ERR1913249.38250__1.38250	1680__A0A173XYA2__B0703_0121
ERR1913249.38382__1.38382	1262803__R6NVS3__BN649_00019
ERR1913249.38280__1.38280	239935__A0A139TVH7__CXU22_00215
ERR1913249.38298__1.38298	214856__A0A173W3Y5__ERS852559_02032
ERR1913249.38962__1.38962	214856__A0A174ZEW0__ERS852447_00985
ERR1913249.39642__1.39642	357276__C3R5A0__B5F00_02960
ERR1913249.39643__1.39643	239935__A0A2N8I9P4__CXT85_05050
ERR1913249.39847__1.39847	820__A0A174Q0F0__DXB48_08080
ERR1913249.40177__1.40177	28117__B0MUY3__BHV66_00515
ERR1913249.40242__1.40242	216816__A0A0A6VML2__DD678_06965
ERR1913249.40526__1.40526	239935__A0A2N8ITX2__CXT86_11265
ERR1913249.40770__1.40770	216816__B7GP87__HMPREF0177_01055
ERR1913249.40996__1.40996	239935__A0A2N8HQR1__Amuc_0287
ERR1913249.41177__1.41177	239935__A0A2N8HS88__CXU19_12255
ERR1913249.41200__1.41200	1681__E4V8Z1__BBTM_00104
ERR1913249.41421__1.41421	239935__A0A2N8ITX2__CXT86_11265
ERR1913249.41504__1.41504	40518__R5DV58__htrA
ERR1913249.41731__1.41731	239935__A0A2N8IVR0__CXT87_07115
ERR1913249.41928__1.41928	239935__A0A2N8HPX2__CXT90_09930
ERR1913249.42217__1.42217	214856__A0A174G9T6__ERS852447_02535
ERR1913249.42299__1.42299	214856__A0A174G9T6__ERS852447_02535
ERR1913249.43197__1.43197	74426__nifJ
ERR1913249.43331__1.43331	1262911__R6GPC5__BN557_00852
ERR1913249.43337__1.43337	239935__A0A139TPG3__CXT86_08810
ERR1913249.43277__1.43277	214856__A0A174H3U9__ERS852559_00612
ERR1913249.43328__1.43328	239935__A0A2N8IMC9__CXU09_02095
ERR1913249.43430__1.43430	1150298__A0A174E950__ERS852498_02096
ERR1913249.43449__1.43449	239935__A0A2N8ITG2__Amuc_0335
ERR1913249.43490__1.43490	44742__A0A120KMU1__AXF13_01155
ERR1913249.43811__1.43811	820__A0A3E4W980__M093_3873
ERR1913249.43916__1.43916	387090__S0F7Y3__BACCOPRO_02028
ERR1913249.44000__1.44000	853__E2ZGD9__C7J97_11715
ERR1913249.44123__1.44123	853__A0A174C5M1__CGS58_04460
ERR1913249.44246__1.44246	1262869__R7CLK0__BN625_01124
ERR1913249.44276__1.44276	239935__A0A2N8HH03__CXU09_08875
ERR1913249.44280__1.44280	239935__A0A2N8I9P4__CXT85_05050
ERR1913249.44474__1.44474	413497__K8AZ63__BN134_3732
ERR1913249.44725__1.44725	216816__D6DD25__APC1482_1109
ERR1913249.44968__1.44968	1262911__R6GYJ1__BN557_00330
ERR1913249.45004__1.45004	239935__A0A2N8INK7__Amuc_0521
ERR1913249.45005__1.45005	10680__GeneID:1261099
ERR1913249.45357__1.45357	239935__A0A2N8HS88__CXU19_12255
ERR1913249.45391__1.45391	328814__GCA_004558275.1_01741
ERR1913249.45985__1.45985	239935__A0A2N8HBM4__CXT85_06270
ERR1913249.46226__1.46226	28117__B0MYW5__ALIPUT_02334
ERR1913249.46453__1.46453	239935__R6J776__CXU07_02355
ERR1913249.46538__1.46538	574930__A0A0F5IS69__HMPREF1536_04865
ERR1913249.46574__1.46574	28117__B0MWX3__BHV66_03010
ERR1913249.46749__1.46749	239935__A0A139TVJ4__CXT86_02020
ERR1913249.46808__1.46808	239935__A0A139TPG3__CXT86_08810
ERR1913249.46863__1.46863	328814__GCA_004558275.1_00391
ERR1913249.47011__1.47011	1680__A0A076JNH5__DXC60_03835
ERR1913249.47043__1.47043	239935__A0A2N8HHY4__DEF40_10850
ERR1913249.47147__1.47147	239935__A0A139TVG9__CXU13_01700
ERR1913249.47428__1.47428	817__Q64RY5__M122_2555
ERR1913249.47459__1.47459	239935__A0A2N8ITW6__CXT91_06265
ERR1913249.47510__1.47510	239935__R6J4Y4__CXU17_09810
ERR1913249.47862__1.47862	853__A0A3E2U7E6__ERS852582_01640
ERR1913249.47912__1.47912	817__F7LJ87__HMPREF1067_00952
ERR1913249.48192__1.48192	820__A0A139KJ23__celCCA
ERR1913249.48350__1.48350	1680__A0A173Y6N7__yhaH
ERR1913249.48311__1.48311	853__A0A173YYY4__DWZ04_09420
ERR1913249.48408__1.48408	239935__A0A139TT05__CXU09_03335
ERR1913249.48435__1.48435	1501391__GCA_000786575.1_00068
ERR1913249.48721__1.48721	46503__R6X0F0__DD461_05620
ERR1913249.48742__1.48742	239935__A0A2N8IEP3__CXT84_03735
ERR1913249.49513__1.49513	239935__A0A139TPD4__CXT86_06450
ERR1913249.49648__1.49648	1550024__G9RNN4__ASJ35_08335
ERR1913249.49730__1.49730	820__A0A3E4G493__ERS417307_00253
ERR1913249.49715__1.49715	216816__B3DPC3__CE169_06855
ERR1913249.49952__1.49952	1550024__G9RWG1__ASJ35_03770
ERR1913249.50140__1.50140	39496__A5Z5I2__EUBVEN_00963
ERR1913249.50246__1.50246	1550024__G9RWE0__TQ39_04155
ERR1913249.50257__1.50257	239935__A0A2N8HB50__CXU17_02615
ERR1913249.50694__1.50694	562__P26458__cydB
ERR1913249.50735__1.50735	29361__B6FKH5__CLONEX_00621
ERR1913249.51210__1.51210	817__K1FQG1__DWS34_07240
ERR1913249.51679__1.51679	853__A0A3E2U7E6__ERS852582_01640
ERR1913249.51820__1.51820	1680__A0A3E4SB79__BAD_1517
ERR1913249.51904__1.51904	28117__B0MXG8__ALIPUT_01814
ERR1913249.52113__1.52113	817__K1FR66__M075_3803
ERR1913249.52185__1.52185	1680__A0A3E4SB79__BAD_1517
ERR1913249.52261__1.52261	239935__A0A139TVH7__CXU22_00215
ERR1913249.52353__1.52353	853__A0A2A7B9I6__DW855_13690
ERR1913249.52412__1.52412	239935__A0A2N8IMC3__CXT96_03840
ERR1913249.52621__1.52621	853__D4JY61__C4N21_10560
ERR1913249.52742__1.52742	239935__A0A2N8IMD6__CXU03_05585
ERR1913249.53177__1.53177	820__A0A139KIL9__DXC68_05945
ERR1913249.53362__1.53362	61171__B9Y5T8__HOLDEFILI_01170
ERR1913249.53557__1.53557	1680__A0A174BEE7__BSTER_1311
ERR1913249.53547__1.53547	1262911__R6H174__BN557_01246
ERR1913249.53997__1.53997	239935__A0A2N8HL14__CXT98_09285
ERR1913249.54022__1.54022	239935__A0A2N8HB50__CXU17_02615
ERR1913249.54025__1.54025	239935__A0A139TT05__CXU09_03335
ERR1913249.54102__1.54102	216816__Q8G585__APC1473_0508
ERR1913249.54156__1.54156	239935__A0A2N8HQY4__CXT99_03170
ERR1913249.54185__1.54185	1550024__A0A3B9WFS7__ASJ35_05525
ERR1913249.54518__1.54518	1520815__A0A1I3L347__SAMN02910435_00746
ERR1913249.54590__1.54590	1262911__R6GT99__BN557_01335
ERR1913249.54868__1.54868	239935__A0A2N8HDT1__CXT94_05270
ERR1913249.55106__1.55106	1680__A0A174BEE7__BSTER_1311
ERR1913249.55680__1.55680	239935__A0A2N8ILG3__CXT93_10135
ERR1913249.55786__1.55786	28117__B0MVL5__BHV66_01660
ERR1913249.55787__1.55787	239935__A0A2N8ITX2__CXT86_11265
ERR1913249.55924__1.55924	1680__A0A0C2YPV2__AL0462_1474
ERR1913249.56064__1.56064	1628085__A0A2U1BCY4__C7386_10635
ERR1913249.56149__1.56149	1263107__GCA_000436995.1_00176
ERR1913249.56229__1.56229	28117__B0MT38__BHV66_05995
ERR1913249.56595__1.56595	820__A0A174CG08__DXB62_13215
ERR1913249.56934__1.56934	487174__K0XES7__HMPREF9448_00566
ERR1913249.56982__1.56982	239935__R7DVL7__CXT93_01180
ERR1913249.57380__1.57380	1686__B6XS54__BCAT_0916
ERR1913249.57459__1.57459	1262911__R6GPC5__BN557_00852
ERR1913249.57525__1.57525	239935__A0A139TTZ7__CXU14_07900
ERR1913249.58035__1.58035	1550024__A0A3B9WFS7__ASJ35_05525
ERR1913249.58115__1.58115	1150298__A0A174HXS4__ERS852498_00503
ERR1913249.58274__1.58274	239935__A0A3F3K985__CXT98_05805
ERR1913249.58379__1.58379	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.58413__1.58413	328814__GCA_004558275.1_02279
ERR1913249.58519__1.58519	817__Q64U85__M125_2680
ERR1913249.58866__1.58866	1897011__A0A1Q6RBR7__BHW41_06875
ERR1913249.58947__1.58947	1550024__A0A3B9WIA4__TQ39_14495
ERR1913249.58969__1.58969	1550024__G9RPS1__TQ39_05000
ERR1913249.59053__1.59053	239935__A0A2N8HT44__CXT84_11035
ERR1913249.59673__1.59673	239935__A0A2N8HL14__CXT98_09285
ERR1913249.59959__1.59959	214856__A0A174G9T6__ERS852447_02535
ERR1913249.60169__1.60169	239935__A0A139TQT9__Amuc_1197
ERR1913249.60207__1.60207	1681__K2HUZ1__B0085_0362
ERR1913249.60358__1.60358	1262911__R6GT99__BN557_01335
ERR1913249.60885__1.60885	239935__A0A139TQT9__Amuc_1197
ERR1913249.60950__1.60950	1550024__G9RT56__TQ39_09200
ERR1913249.61026__1.61026	216816__A0A2U0BLP0__tsaB
ERR1913249.61151__1.61151	853__D4JY61__C4N21_10560
ERR1913249.61259__1.61259	1262911__R6GN33__BN557_00616
ERR1913249.61354__1.61354	239935__A0A139TPD4__CXT86_06450
ERR1913249.61393__1.61393	239935__A0A2N8HL50__CXT98_09135
ERR1913249.61577__1.61577	1263064__GCA_000431175.1_00165
ERR1913249.61805__1.61805	239935__A0A2N8HZW2__A4V05_11120
ERR1913249.61930__1.61930	1262869__R7CRN3__BN625_01760
ERR1913249.62361__1.62361	214856__R6YC22__ERS852447_01215
ERR1913249.62421__1.62421	214856__A0A174G9T6__ERS852447_02535
ERR1913249.62637__1.62637	357276__A0A076INK2__BSEG_04225
ERR1913249.62809__1.62809	208479__R5FCH8__CGC65_29215
ERR1913249.63004__1.63004	74426__rpoC
ERR1913249.63246__1.63246	239935__B2URG6__CXU02_00030
ERR1913249.63257__1.63257	853__E2ZGD9__C7J97_11715
ERR1913249.63137__1.63137	78343__A0A086ZPH1__BBOU_0551
ERR1913249.63215__1.63215	40518__R5E6K4__RB5AMG_02070
ERR1913249.63323__1.63323	239935__A0A2N8I694__CXU04_06245
ERR1913249.63334__1.63334	552398__F4XCQ4__HMPREF0866_01621
ERR1913249.63457__1.63457	28117__R7JN92__BHV66_00550
ERR1913249.63494__1.63494	328814__GCA_004558275.1_01847
ERR1913249.63538__1.63538	384638__B7APR0__BACPEC_00666
ERR1913249.63590__1.63590	28117__B0MWX3__BHV66_03010
ERR1913249.63605__1.63605	239935__A0A139TMG9__CXU07_10650
ERR1913249.63774__1.63774	853__A0A2A7B1Y7__C7K05_11930
ERR1913249.63871__1.63871	1262911__R6GKX4__BN557_01388
ERR1913249.64288__1.64288	239935__A0A2N8HAQ1__DEF40_05290
ERR1913249.64493__1.64493	1262911__R6GVB3__BN557_01690
ERR1913249.64634__1.64634	239935__A0A139TPG3__CXT86_08810
ERR1913249.65457__1.65457	1550024__A0A3B9WJX7__ASJ35_07080
ERR1913249.66222__1.66222	239935__A0A2N8IMC9__CXU09_02095
ERR1913249.66436__1.66436	239935__A0A139TQT9__Amuc_1197
ERR1913249.66740__1.66740	1735__B7C9V5__EUBIFOR_00959
ERR1913249.67015__1.67015	1501391__GCA_000786575.1_00071
ERR1913249.67317__1.67317	28052__A0A174PNN9__ERS852451_02058
ERR1913249.67906__1.67906	28117__B0MZ14__ALIPUT_02383
ERR1913249.68010__1.68010	1263000__R5EXT3__BN466_02213
ERR1913249.68613__1.68613	1263109__GCA_000438135.1_01131
ERR1913249.68626__1.68626	239935__A0A2N8HEH9__CXU07_11710
ERR1913249.69241__1.69241	410072__A0A3E4GT65__ERS852574_02325
ERR1913249.69564__1.69564	817__A0A2M9V8W4__M140_0910
ERR1913249.69836__1.69836	239935__A0A2N8ITX2__CXT86_11265
ERR1913249.69843__1.69843	74426__gap
ERR1913249.70125__1.70125	853__A0A3E2U7E6__ERS852582_01640
ERR1913249.70496__1.70496	239935__A0A2N8HT44__CXT84_11035
ERR1913249.70780__1.70780	106588__A6P303__BACCAP_04887
ERR1913249.70827__1.70827	853__A0A329UEG4__CHR60_00585
ERR1913249.70915__1.70915	28117__B0MWC6__BHV66_00965
ERR1913249.70993__1.70993	820__A7V859__ERS852462_00341
ERR1913249.71090__1.71090	239935__R6JAS2__CXU02_10725
ERR1913249.71076__1.71076	28117__B0MWC6__BHV66_00965
ERR1913249.71425__1.71425	239935__A0A139TQT9__Amuc_1197
ERR1913249.71442__1.71442	216816__B7GP87__HMPREF0177_01055
ERR1913249.71456__1.71456	239935__R6JD78__CXU05_09250
