ERR1913283.120__1.120	820__A0A139K426__B5G17_09115
ERR1913283.13643__1.13643	338188__K5CLC2__BACFIN_05485
ERR1913283.13682__1.13682	33025__A0A395JHB7__C8D73_101754
ERR1913283.13843__1.13843	39491__A0A395UUN5__EUBREC_0291
ERR1913283.13929__1.13929	29466__W1UT64__CYK26_05190
ERR1913283.13915__1.13915	338188__A0A173WKZ0__BACFIN_07292
ERR1913283.14065__1.14065	823__A0A355XLQ9__DXC05_02185
ERR1913283.14159__1.14159	239935__A0A2N8IU45__DEF40_02365
ERR1913283.14173__1.14173	384638__B7AT14__BACPEC_01282
ERR1913283.14500__1.14500	239935__A0A2N8I3G2__CXT89_00720
ERR1913283.14528__1.14528	39491__C4ZF05__vpr
ERR1913283.14546__1.14546	239935__A0A2N8I390__CXU16_10675
ERR1913283.14584__1.14584	47678__A5ZEP5__CGC64_03450
ERR1913283.14627__1.14627	246787__A0A0P0GG59__BcellWH2_02752
ERR1913283.14687__1.14687	239935__R7DVW2__CXU02_03915
ERR1913283.15058__1.15058	28117__B0MVL5__BHV66_01660
ERR1913283.15242__1.15242	39492__A0A174ZG93__EUBSIR_00254
ERR1913283.15293__1.15293	823__A0A173W8N5__ERS852513_00780
ERR1913283.15466__1.15466	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913283.15523__1.15523	820__A0A139JRH8__HMPREF2141_04326
ERR1913283.15628__1.15628	820__R9I2U8__DXC68_09590
ERR1913283.15767__1.15767	357276__A0A076IYE6__IY41_04275
ERR1913283.15780__1.15780	1262743__R5C054__BN727_01980
ERR1913283.16142__1.16142	33025__A0A395JAF6__C8D73_10758
ERR1913283.16171__1.16171	674529__R6V187__DXB21_21665
ERR1913283.16248__1.16248	1262889__R7HAH9__BN634_01158
ERR1913283.16504__1.16504	338188__R6S8N0__BACFIN_06127
ERR1913283.16567__1.16567	28117__B0MWX3__BHV66_03010
ERR1913283.16582__1.16582	39492__D4JUL3__nreC_2
ERR1913283.16623__1.16623	820__R9I2U8__DXC68_09590
ERR1913283.16691__1.16691	1262700__R5Y691__BN695_00466
ERR1913283.16707__1.16707	1262992__R5D2Z2__BN795_00316
ERR1913283.16938__1.16938	338188__C9KS24__HMPREF1057_00049
ERR1913283.16981__1.16981	166486__D4L458__ROSINTL182_07088
ERR1913283.17033__1.17033	39492__D4JWM0__atpF
ERR1913283.17324__1.17324	39491__A0A396FUZ3__phoR_1
ERR1913283.17672__1.17672	166486__A0A173T114__ROSINTL182_05085
ERR1913283.17843__1.17843	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913283.18026__1.18026	1897011__A0A1Q6RFG0__BHW41_03665
ERR1913283.18204__1.18204	357276__A0A076IXE0__HMPREF1064_04364
ERR1913283.18268__1.18268	47678__R5UGX6__CGC64_16275
ERR1913283.18361__1.18361	1262700__R5XDY1__BN695_01269
ERR1913283.18455__1.18455	823__A0A355XKQ8__DHP27_04010
ERR1913283.18460__1.18460	39492__D4JU56__hemZ
ERR1913283.18714__1.18714	674529__R6V9C9__DXB21_16435
ERR1913283.18792__1.18792	820__A0A139KG60__M094_2679
ERR1913283.19094__1.19094	239935__R6JFR5__CXT84_04850
ERR1913283.19198__1.19198	239935__A0A2N8HB50__CXU17_02615
ERR1913283.19237__1.19237	1897011__A0A1Q6RCX0__BHW41_05880
ERR1913283.19801__1.19801	1263044__GCA_000433375.1_01439
ERR1913283.20002__1.20002	820__A0A174F0C1__nreB
ERR1913283.20056__1.20056	410072__C0B9A6__yvhJ
ERR1913283.20206__1.20206	1262911__R6H1K1__BN557_00910
ERR1913283.20275__1.20275	28117__B0MXU0__BHV66_07550
ERR1913283.21163__1.21163	216816__D6ZXY6__BL105A_0298
ERR1913283.21406__1.21406	106588__A6NVA6__BACCAP_02141
ERR1913283.21455__1.21455	40518__R5E175__RB5AMG_00757
ERR1913283.21566__1.21566	239935__A0A2N8I8X8__B5G29_00185
ERR1913283.21522__1.21522	820__A0A3E4IBC1__M094_0628
ERR1913283.21759__1.21759	239935__A0A2N8J2P6__ADH72_06730
ERR1913283.21924__1.21924	33039__D4M1A4__ERS852502_00742
ERR1913283.21969__1.21969	1262911__R6GPI7__BN557_00907
ERR1913283.21995__1.21995	360807__C0FSM3__ROSEINA2194_01739
ERR1913283.22104__1.22104	239935__A0A2N8IUQ8__CXU09_01665
ERR1913283.22114__1.22114	338188__A0A173WKZ0__BACFIN_07292
ERR1913283.22198__1.22198	487174__K0X1V7__DIT83_03020
ERR1913283.22220__1.22220	823__A0A174U5E4__BDI_3390
ERR1913283.22318__1.22318	820__A0A139K337__ERS852459_02375
ERR1913283.22333__1.22333	820__A0A3E4W6P0__gmhA
ERR1913283.22339__1.22339	39491__A0A396FRE7__EUR_27520
ERR1913283.22435__1.22435	820__A0A374MXK3__HMPREF1072_00166
ERR1913283.22970__1.22970	1262889__R7H927__BN634_00660
ERR1913283.23004__1.23004	40518__R5DVH6__DXD86_08955
ERR1913283.23213__1.23213	40518__R5DX31__DXD86_09775
ERR1913283.23466__1.23466	1262743__R5C054__BN727_01980
ERR1913283.23834__1.23834	2108523__A0A2P2F828__LAWASA_2158
ERR1913283.23860__1.23860	239935__A0A2N8IXN0__CXT95_01765
ERR1913283.23903__1.23903	626932__G5H6N6__HMPREF9450_00596
ERR1913283.24003__1.24003	1262889__R7HBT3__BN634_01319
ERR1913283.24053__1.24053	39485__A0A174YYW2__benM
ERR1913283.24059__1.24059	1160721__W0U3P2__RBI_I00640
ERR1913283.24086__1.24086	301301__G2T5V7__RHOM_15795
ERR1913283.24267__1.24267	853__A0A3E2U7E6__ERS852582_01640
ERR1913283.24591__1.24591	166486__R6B4E4__sinR_2
ERR1913283.24594__1.24594	239935__A0A2N8IVR0__CXT87_07115
ERR1913283.24859__1.24859	487174__K0X488__HMPREF9448_00323
ERR1913283.24828__1.24828	818__A0A0P0F004__SAMN02910322_02925
ERR1913283.25010__1.25010	39492__D4JWM0__atpF
ERR1913283.25169__1.25169	1262700__R5XHF8__BN695_00181
ERR1913283.25191__1.25191	239935__A0A2N8IG27__CXT85_07805
ERR1913283.25323__1.25323	239935__A0A139TQT9__Amuc_1197
ERR1913283.25327__1.25327	40518__R5DU74__RBATCC27255_00707
ERR1913283.25425__1.25425	823__C7XA51__BDI_0499
ERR1913283.25576__1.25576	820__A0A3E4G3J9__ERS852459_02265
ERR1913283.26003__1.26003	28117__B0MTH2__ALIPUT_00061
ERR1913283.26017__1.26017	821__A0A0P0M2J4__DXD46_10295
ERR1913283.26168__1.26168	40518__R5E6K5__speA
ERR1913283.26365__1.26365	28117__R7JJM9__ALIPUT_00662
ERR1913283.26377__1.26377	246787__A0A0P0G254__axeA1_2
ERR1913283.26545__1.26545	338188__A0A174ADC5__HMPREF1057_02306
ERR1913283.26751__1.26751	820__A0A139KG60__M094_2679
ERR1913283.26773__1.26773	39491__C4ZEW3__T1815_18241
ERR1913283.26879__1.26879	39491__C4ZCV5__DXB99_11855
ERR1913283.26933__1.26933	239935__B2UPZ6__CXU03_03800
ERR1913283.27080__1.27080	1262911__R6HIJ8__BN557_01742
ERR1913283.27170__1.27170	28117__B0MTW8__ALIPUT_00502
ERR1913283.27424__1.27424	1897011__A0A1Q6RJV2__BHW41_00030
ERR1913283.27527__1.27527	1263044__GCA_000433375.1_02420
ERR1913283.27938__1.27938	1262886__R6QP39__BN563_00737
ERR1913283.28170__1.28170	47678__R5U2X1__ERS852494_00033
ERR1913283.28337__1.28337	853__A0A173T6P2__DWZ46_14595
ERR1913283.28339__1.28339	823__A6LEP0__M091_1976
ERR1913283.28390__1.28390	39491__A0A395ZF49__DXB69_05290
ERR1913283.28641__1.28641	1262700__R5Y6U0__BN695_00696
ERR1913283.28700__1.28700	823__A0A078SYK6__DXB14_02485
ERR1913283.28739__1.28739	544645__A0A1U7LAX8__DXC42_11245
ERR1913283.28933__1.28933	1262736__R5Y2W2__BN496_01173
ERR1913283.28968__1.28968	39485__A0A174Z2K9__ERS852490_02052
ERR1913283.29208__1.29208	1262911__R6H1P0__BN557_00940
ERR1913283.29434__1.29434	674529__A0A174P761__SAMN05444400_106145
ERR1913283.29526__1.29526	821__A0A174WBC9__ERS852556_03145
ERR1913283.29654__1.29654	1262911__R6HN72__BN557_00911
ERR1913283.29629__1.29629	338188__R6RY59__BACFIN_08333
ERR1913283.30022__1.30022	853__A0A2A7B9I6__DW855_13690
ERR1913283.30420__1.30420	239935__R6JD78__CXU05_09250
ERR1913283.30753__1.30753	820__A0A139KHD8__ERS417307_00569
ERR1913283.30877__1.30877	40518__R5DVR2__RBL236_00303
ERR1913283.31199__1.31199	820__A0A139K5A6__DXB48_12175
ERR1913283.31579__1.31579	1262700__R5Y6J6__BN695_00596
ERR1913283.31611__1.31611	239935__A0A2N8HHB6__B5G29_11500
ERR1913283.31830__1.31830	28117__B0MY82__BHV66_04755
ERR1913283.32023__1.32023	239935__B2URG6__CXU02_00030
ERR1913283.32119__1.32119	1160721__W0U274__RBI_I00073
ERR1913283.32418__1.32418	239935__R7E524__CXT91_06180
ERR1913283.32421__1.32421	239935__A0A2N8IRL2__CXU06_01170
ERR1913283.32527__1.32527	820__A0A139KJ23__celCCA
ERR1913283.32574__1.32574	1965576__A0A1Y4L4M7__B5F19_14830
ERR1913283.32581__1.32581	820__A0A3E4VZY4__ERS852554_01211
ERR1913283.32763__1.32763	1262889__R7H9H9__BN634_02436
ERR1913283.32914__1.32914	1965538__A0A1Y4W145__B5E43_13055
ERR1913283.33393__1.33393	328814__GCA_004558275.1_00025
ERR1913283.33395__1.33395	357276__C3R9Y0__HMPREF1064_01889
ERR1913283.33534__1.33534	116085__D4J4J5__DW747_14035
ERR1913283.33581__1.33581	1680__A0A0C2YNK5__BADO_0780
ERR1913283.33582__1.33582	239935__A0A2N8IEP3__CXT84_03735
ERR1913283.33844__1.33844	674529__A0A174I0V6__DXB21_05415
ERR1913283.33996__1.33996	820__A0A1T4IYF4__mprA_1
ERR1913283.34016__1.34016	1262736__R5Y035__BN496_00793
ERR1913283.34438__1.34438	291645__I9S0N1__HMPREF1068_02854
ERR1913283.34673__1.34673	39491__C4ZCV5__DXB99_11855
ERR1913283.34836__1.34836	626929__F3PJP6__SAMN05444376_2985
ERR1913283.34848__1.34848	28117__B0MZ22__BHV66_04430
ERR1913283.35320__1.35320	239935__A0A139TT05__CXU09_03335
ERR1913283.35402__1.35402	1262700__R5XC07__BN695_01332
ERR1913283.35385__1.35385	28118__F9ZBG8__DHW44_04410
ERR1913283.35523__1.35523	239935__A0A2N8ITG2__Amuc_0335
ERR1913283.35662__1.35662	214856__I3YPR2__Alfi_2720
ERR1913283.35702__1.35702	39492__D4JWJ4__EUBSIR_01090
ERR1913283.35712__1.35712	338188__A0A173WKZ0__BACFIN_07292
ERR1913283.35777__1.35777	674529__R6V7P0__SAMN05444400_102331
ERR1913283.35903__1.35903	1550024__G9RXH7__TQ39_11565
ERR1913283.36260__1.36260	28117__B0MST6__BHV66_06090
ERR1913283.36343__1.36343	47678__R5UUS9__ERS852558_01432
ERR1913283.36391__1.36391	239935__B2UQP8__CXU15_01110
ERR1913283.36473__1.36473	1262911__R6H212__BN557_01031
ERR1913283.36559__1.36559	853__A0A173YYY4__DWZ04_09420
ERR1913283.36738__1.36738	821__A0A395VIK7__BVU_1225
ERR1913283.37086__1.37086	28116__A0A078Q626__HMPREF1070_02735
ERR1913283.37138__1.37138	46503__A7AGD9__HMPREF1078_01631
ERR1913283.37191__1.37191	28117__R7JPX7__BHV66_00900
ERR1913283.37316__1.37316	487174__K0X177__HMPREF9448_00818
ERR1913283.37411__1.37411	39491__A0A395V464__EUBREC_1509
ERR1913283.37455__1.37455	1160721__W0U560__RBI_I01229
ERR1913283.37588__1.37588	360807__C0FVL5__ERS852392_00391
ERR1913283.37631__1.37631	649756__D4MU45__ERS852425_01466
ERR1913283.37716__1.37716	1160721__W0U3I6__RBI_I00579
ERR1913283.37757__1.37757	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913283.37763__1.37763	357276__I9F327__DXD47_22495
ERR1913283.37844__1.37844	338188__C9KVY1__rcsC_2
ERR1913283.37886__1.37886	116085__D4J7V4__DW747_05820
ERR1913283.38149__1.38149	1262736__R5YCL7__BN496_00384
ERR1913283.38265__1.38265	39491__A0A173TFQ1__rsmF
ERR1913283.38380__1.38380	166486__D4KUC4__arcB_1
ERR1913283.38634__1.38634	33025__A0A395J947__C8D73_11315
ERR1913283.38665__1.38665	820__A0A174KKV6__DXC07_02635
ERR1913283.38716__1.38716	39492__D4JWL2__ERS852540_01201
ERR1913283.38725__1.38725	39491__A0A395ZHV7__ykvU
ERR1913283.39098__1.39098	47678__A0A3E5B7J9__HMPREF1061_03888
ERR1913283.39341__1.39341	47678__A5ZF31__DXB67_11050
ERR1913283.39390__1.39390	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1913283.39392__1.39392	39491__A0A396FQV7__T1815_10751
ERR1913283.39653__1.39653	820__A0A3E4WCC2__lptB_1
ERR1913283.39871__1.39871	823__A6LBY1__ERS852380_00510
ERR1913283.39900__1.39900	28117__B0MY40__BHV66_05170
ERR1913283.40020__1.40020	1680__R5GZF2__DXC60_01925
ERR1913283.40142__1.40142	2173__A0A1D2WT15__BK798_04490
ERR1913283.40304__1.40304	28117__B0MTW8__ALIPUT_00502
ERR1913283.40404__1.40404	357276__I8WBQ9__HMPREF1065_03212
ERR1913283.40472__1.40472	33039__A0A173VTT4__frdB_1
ERR1913283.40556__1.40556	338188__A0A1Q6HCN7__ptrA
ERR1913283.40605__1.40605	28116__A0A078Q626__HMPREF1070_02735
ERR1913283.41378__1.41378	820__A0A139KEW8__DXB64_06405
ERR1913283.41569__1.41569	1262700__R5XCA0__BN695_00029
ERR1913283.41651__1.41651	1796613__A0A1C7GYD6__A4V03_03700
ERR1913283.41853__1.41853	1262889__R7HCM3__BN634_01536
ERR1913283.42013__1.42013	39492__A0A174ZHV5__msbA_2
ERR1913283.42329__1.42329	1262777__R5VJA6__BN512_00008
ERR1913283.42377__1.42377	39491__A0A395ZG74__licR
ERR1913283.42425__1.42425	357276__D1JZM4__HMPREF1065_01278
ERR1913283.42478__1.42478	1262700__R5XM04__BN695_00162
ERR1913283.42737__1.42737	821__C3RB94__DXC03_15585
ERR1913283.42791__1.42791	360807__C0FXX7__ERS852392_02700
ERR1913283.42843__1.42843	1262736__R5YHJ1__BN496_00811
ERR1913283.42932__1.42932	39491__A0A173TFQ1__rsmF
ERR1913283.42983__1.42983	821__A0A395UNT8__DXD64_15275
ERR1913283.43021__1.43021	853__A0A173TAZ8__DWZ46_14590
ERR1913283.43053__1.43053	1263000__R5EXT3__BN466_02213
ERR1913283.43203__1.43203	310298__B3JMG0__BACCOP_03099
ERR1913283.43588__1.43588	39492__D4JTF2__mutS2
ERR1913283.44421__1.44421	1683__C4FH49__BIANG_0820
ERR1913283.44458__1.44458	487174__K0WWY0__DIT83_10195
ERR1913283.44494__1.44494	239935__A0A2N8IUW6__Amuc_1525
ERR1913283.44508__1.44508	2108523__A0A2P2F3I3__LAWASA_548
ERR1913283.45046__1.45046	310298__B3JQD7__BACCOP_04095
ERR1913283.45058__1.45058	820__A0A139KJR5__M093_4469
ERR1913283.45256__1.45256	39491__A0A2U2EED4__ERS852580_01584
ERR1913283.45401__1.45401	39492__D4JRZ7__smc
ERR1913283.45469__1.45469	39491__A0A173TAZ5__DXB99_09520
ERR1913283.45524__1.45524	674529__A0A174VGZ4__SAMN05444400_14914
ERR1913283.45632__1.45632	884684__GCA_002892425.1_01408
ERR1913283.45676__1.45676	47678__R5UPG7__C5Z00_18695
ERR1913283.45731__1.45731	39491__A0A3E4YFT8__DXB69_10940
ERR1913283.46065__1.46065	487174__K0X9T7__HMPREF9448_00996
ERR1913283.46071__1.46071	487174__K0WZ94__HMPREF9448_00984
ERR1913283.46083__1.46083	39488__C0ESJ2__DXD91_14695
ERR1913283.46152__1.46152	820__A0A139JRH8__HMPREF2141_04326
ERR1913283.46263__1.46263	1262911__R6GLF4__BN557_01493
ERR1913283.46376__1.46376	239935__A0A2N8IZ16__CXT84_05850
ERR1913283.46419__1.46419	166486__R6AY46__ROSINTL182_06128
ERR1913283.46443__1.46443	239935__A0A2N8IMD6__CXU03_05585
ERR1913283.46699__1.46699	487174__K0XA11__DDY40_03585
ERR1913283.46764__1.46764	487174__R5FMM3__DDY40_00820
ERR1913283.46783__1.46783	39491__A0A395UWA3__DXB69_11805
ERR1913283.47024__1.47024	301301__A0A395VA45__RHOM_02615
ERR1913283.47246__1.47246	1628085__A0A2U1AX94__C7386_1283
ERR1913283.47310__1.47310	1262911__R6GPM2__BN557_00937
ERR1913283.47314__1.47314	487174__K0WUZ1__DIT83_10815
ERR1913283.47366__1.47366	823__A6LEQ6__DXB14_05705
ERR1913283.47404__1.47404	487174__K0WYI1__DDY40_08675
ERR1913283.47450__1.47450	40518__R5DUU0__DXD93_03985
ERR1913283.47488__1.47488	239935__A0A2N8HBM4__CXT85_06270
ERR1913283.47506__1.47506	33025__A0A395JHD9__C8D73_101774
ERR1913283.47807__1.47807	1262700__R5Y691__BN695_00466
ERR1913283.47814__1.47814	1262889__R7H9A4__BN634_00112
ERR1913283.47879__1.47879	28117__B0MWH8__BHV66_01330
ERR1913283.47986__1.47986	239935__A0A139TPG3__CXT86_08810
ERR1913283.48149__1.48149	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913283.48104__1.48104	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913283.48316__1.48316	310298__B3JFK6__BACCOP_00656
ERR1913283.48776__1.48776	1262736__R5Y5M4__BN496_00634
ERR1913283.49227__1.49227	39492__D4JR08__ERS852540_02467
ERR1913283.49266__1.49266	28117__B0MWX3__BHV66_03010
ERR1913283.49491__1.49491	39491__A0A2U2EED4__ERS852580_01584
ERR1913283.49561__1.49561	28117__R7JJM9__ALIPUT_00662
ERR1913283.49579__1.49579	33025__A0A395JHD9__C8D73_101774
ERR1913283.49583__1.49583	487174__K0X694__DIT83_09060
ERR1913283.49701__1.49701	1263044__GCA_000433375.1_01145
ERR1913283.49705__1.49705	28117__B0MY45__ALIPUT_02164
ERR1913283.49744__1.49744	884684__GCA_002892425.1_01408
ERR1913283.49795__1.49795	28132__D9RV83__HMPREF0660_00835
ERR1913283.49836__1.49836	1262911__R6GLA5__BN557_01456
ERR1913283.49966__1.49966	1262911__R6GYL3__BN557_00607
ERR1913283.50397__1.50397	360807__A0A1Q6T6D8__yehT_5
ERR1913283.50521__1.50521	1160721__W0U2W0__BHW50_02075
ERR1913283.51370__1.51370	823__D7IUM6__M091_1082
ERR1913283.51439__1.51439	338188__R6S8N0__BACFIN_06127
ERR1913283.51523__1.51523	357276__A0A076ISD9__EL88_07480
ERR1913283.51544__1.51544	239935__B2URG9__CXU00_11290
ERR1913283.51751__1.51751	1263000__R5EKG2__BN466_02040
ERR1913283.51720__1.51720	820__A0A174CK74__DXB48_07060
ERR1913283.51678__1.51678	820__E5VEH7__ERS852459_01300
ERR1913283.51993__1.51993	818__A0A1H7TGM1__BJP75_010615
ERR1913283.52049__1.52049	338188__A0A174FX32__BACFIN_08981
ERR1913283.52100__1.52100	820__A0A3E4FZM1__adaA_2
ERR1913283.52009__1.52009	28117__B0MTV5__BHV66_06415
ERR1913283.52245__1.52245	338188__R6RR59__ERS852397_00954
ERR1913283.52331__1.52331	39488__A0A285PVA5__ERS852450_01472
ERR1913283.52349__1.52349	820__A0A3E4RU03__M093_0563
ERR1913283.52458__1.52458	338188__R6T1V3__BACFIN_07936
ERR1913283.52425__1.52425	630129__A0A173Z5R6__BKAS_0486
ERR1913283.52540__1.52540	39492__D4JRM9__bglB_2
ERR1913283.52600__1.52600	1262911__R6H0U7__BN557_01104
ERR1913283.52677__1.52677	853__A0A173XRA8__CGS56_09290
ERR1913283.52700__1.52700	2173__A0A1D2WX40__BK798_08810
ERR1913283.52989__1.52989	39491__A0A395ZHW3__ERS852417_01359
ERR1913283.53055__1.53055	1262700__R5X902__BN695_00437
ERR1913283.53403__1.53403	651822__GCA_000210715.1_00753
ERR1913283.53474__1.53474	357276__B6VT86__IY41_22515
ERR1913283.53604__1.53604	218538__C9LQZ7__GCWU000321_01979
ERR1913283.53758__1.53758	1263044__GCA_000433375.1_00353
ERR1913283.54010__1.54010	944036__A0A196SJI0__AV274_1789
