ERR1913168.436__1.436	360807__A0A0M6WZJ4__ERS852392_03439
ERR1913168.19506__1.19506	821__E5UY21__C800_02204
ERR1913168.19529__1.19529	384638__B7APN3__BACPEC_00639
ERR1913168.19698__1.19698	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1913168.19717__1.19717	853__A0A3E2V168__FAEPRAM212_00929
ERR1913168.20289__1.20289	28052__R7NCR8__ERS852499_01142
ERR1913168.20209__1.20209	165179__A0A3E5AGH1__DXB80_05820
ERR1913168.20450__1.20450	487174__R5F4K8__HMPREF9448_01532
ERR1913168.20775__1.20775	1550024__A0A0D8J440__TQ39_00140
ERR1913168.20872__1.20872	239935__A0A3F3K9J9__DEF40_00940
ERR1913168.20958__1.20958	487174__K0X177__HMPREF9448_00818
ERR1913168.21051__1.21051	821__A0A0P0M2J4__DXD46_10295
ERR1913168.21321__1.21321	328814__GCA_004558275.1_00296
ERR1913168.21423__1.21423	1776045__A0A0U5J7K7__BN3456_00132
ERR1913168.21837__1.21837	556259__I0PYJ6__BSGG_5210
ERR1913168.21887__1.21887	821__A6L0C7__ERS852556_03520
ERR1913168.22011__1.22011	371601__D6D2Q4__HMPREF1074_00826
ERR1913168.22106__1.22106	1262824__R6RL63__BN719_02160
ERR1913168.22239__1.22239	821__A0A0P0M405__DXC02_15075
ERR1913168.22591__1.22591	410072__A0A173SR68__ERS852525_01153
ERR1913168.22844__1.22844	165179__A0A3E5AER8__DXB80_07075
ERR1913168.23144__1.23144	33038__A0A396GES8__CDL19_08885
ERR1913168.23181__1.23181	1263076__GCA_000437615.1_00124
ERR1913168.23373__1.23373	360807__A0A396AK01__RIL183_20461
ERR1913168.23637__1.23637	821__A0A395UNT8__DXD64_15275
ERR1913168.23933__1.23933	28052__R7NCR8__ERS852499_01142
ERR1913168.24166__1.24166	2173__A0A1D2WTV4__Msm_1285
ERR1913168.24415__1.24415	820__A0A3E4W4Y7__B5G17_02055
ERR1913168.24471__1.24471	460384__A0A2T3F744__C7256_24645
ERR1913168.24546__1.24546	1262824__R6RSB1__BN719_01655
ERR1913168.25070__1.25070	821__I9R3W6__DXC16_12455
ERR1913168.25114__1.25114	328814__GCA_004558275.1_00296
ERR1913168.25179__1.25179	39492__D4JRV7__EUBSIR_01513
ERR1913168.25201__1.25201	28116__A0A1G6G396__DXD69_22115
ERR1913168.25336__1.25336	821__U6RDC2__DXD46_15675
ERR1913168.25558__1.25558	384639__GCA_003096855.1_01171
ERR1913168.25585__1.25585	1263000__R5EXT3__BN466_02213
ERR1913168.25826__1.25826	39485__A0A174YZE2__spoIIE
ERR1913168.25877__1.25877	39485__C4Z2J8__ERS852490_02044
ERR1913168.26067__1.26067	821__A0A173XDD3__DXB82_17180
ERR1913168.26102__1.26102	706562__GCA_900112995.1_01175
ERR1913168.26226__1.26226	360807__A0A1Q6T6N0__RIL183_24191
ERR1913168.26253__1.26253	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913168.26324__1.26324	165179__A0A3E5EAM5__DXC61_07785
ERR1913168.26387__1.26387	329854__R5MP07__DXD27_22930
ERR1913168.26475__1.26475	328814__GCA_004558275.1_00069
ERR1913168.26976__1.26976	33038__A7B5U7__CDL18_11280
ERR1913168.27077__1.27077	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.27571__1.27571	1263000__R5EKG2__BN466_02040
ERR1913168.27551__1.27551	33038__A0A2N5PW99__DXD36_03540
ERR1913168.27682__1.27682	165179__A0A3E5EDV6__DXC61_03365
ERR1913168.27779__1.27779	387090__S0F8B2__BACCOPRO_02129
ERR1913168.27917__1.27917	216816__D6DAZ0__DXD28_02040
ERR1913168.27983__1.27983	33038__A0A396G7U5__CDL21_03845
ERR1913168.28099__1.28099	820__A0A173YYG4__evgS_3
ERR1913168.28321__1.28321	371601__D0TQQ4__BN891_30250
ERR1913168.28535__1.28535	706562__GCA_900112995.1_01625
ERR1913168.28544__1.28544	28901__G5SHB5__secG
ERR1913168.28622__1.28622	1150298__R7JRJ7__ERS852406_01438
ERR1913168.28705__1.28705	671267__R9IB12__C802_00696
ERR1913168.28982__1.28982	501571__R8W1N7__SAMN02745978_00186
ERR1913168.29176__1.29176	165179__A0A229I6N7__DXC61_06720
ERR1913168.29308__1.29308	29361__B6FUD0__CLONEX_03758
ERR1913168.29472__1.29472	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.29711__1.29711	371601__A0A139LNM6__BN891_32770
ERR1913168.29756__1.29756	1235835__R9LCU2__C814_02677
ERR1913168.29870__1.29870	357276__I8VN48__ABI39_07855
ERR1913168.30052__1.30052	1262921__R5LMK9__BN473_01331
ERR1913168.30164__1.30164	329854__R5MCT6__BACINT_04189
ERR1913168.30305__1.30305	552398__F4XCR9__HMPREF0866_01636
ERR1913168.30265__1.30265	33038__A0A2N5PPH4__DXD36_06695
ERR1913168.30355__1.30355	33038__A0A2N5PPG0__CDL25_06295
ERR1913168.30360__1.30360	329854__A0A3E4IFR4__DXD27_22685
ERR1913168.30421__1.30421	28117__B0MXG8__ALIPUT_01814
ERR1913168.30530__1.30530	562__A0A377AAV3__CDL32_10800
ERR1913168.30625__1.30625	328814__GCA_004558275.1_00296
ERR1913168.30804__1.30804	28117__B0MU58__BHV66_05630
ERR1913168.31406__1.31406	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913168.31458__1.31458	39488__A0A285PP42__cobQ
ERR1913168.31574__1.31574	1263109__GCA_000438135.1_01320
ERR1913168.32048__1.32048	821__D4VD59__BHV80_04260
ERR1913168.32190__1.32190	261299__B0A989__ERS852493_02287
ERR1913168.32278__1.32278	487174__K0WTV8__DIT83_04385
ERR1913168.32692__1.32692	33038__A0A396G729__RUMGNA_01796
ERR1913168.32821__1.32821	33038__A0A2N5NVA0__CDL24_11780
ERR1913168.32859__1.32859	1297617__A0A2U1BCD8__C7373_11722
ERR1913168.32863__1.32863	821__A0A0P0M5Z6__BVU_0429
ERR1913168.32944__1.32944	1232426__group_1895
ERR1913168.32956__1.32956	301301__A0A395V714__evgS
ERR1913168.33317__1.33317	1160721__W0U5X6__RBI_I01796
ERR1913168.33482__1.33482	360807__A0A0M6WHH1__RIL183_16811
ERR1913168.33793__1.33793	292800__A0A174UQD2__B5F52_18205
ERR1913168.33912__1.33912	216816__B7GPE8__I118_0062
ERR1913168.34266__1.34266	706562__GCA_900112995.1_01415
ERR1913168.34412__1.34412	165179__A0A229I9X5__CFT61_01205
ERR1913168.34465__1.34465	28118__R6FC74__DHW44_13330
ERR1913168.34490__1.34490	29361__B6FSN1__CLONEX_03156
ERR1913168.34517__1.34517	394340__yedY
ERR1913168.34644__1.34644	853__A0A2A7B9I6__DW855_13690
ERR1913168.34709__1.34709	28117__B0MXX3__BHV66_07695
ERR1913168.35100__1.35100	33038__A0A396G851__tig
ERR1913168.35138__1.35138	706562__GCA_900112995.1_02104
ERR1913168.35410__1.35410	106588__A6NUL8__BACCAP_01900
ERR1913168.35422__1.35422	853__A0A3E2U7E6__ERS852582_01640
ERR1913168.35766__1.35766	1547__H1ARK5__DW242_07870
ERR1913168.35772__1.35772	357276__A0A076IS46__BACDOR_03265
ERR1913168.36445__1.36445	817__D1JR62__M110_0404
ERR1913168.36491__1.36491	33038__A0A2N5NWR8__CDL18_14140
ERR1913168.37026__1.37026	2292352__A0A374UKA6__DXC23_10805
ERR1913168.37156__1.37156	394340__tufA
ERR1913168.37275__1.37275	33038__A0A2N5PSF6__CDL27_05770
ERR1913168.37545__1.37545	853__A0A2A7B9I6__DW855_13690
ERR1913168.37663__1.37663	1262988__R7N8H1__BN816_00011
ERR1913168.37666__1.37666	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.37828__1.37828	360807__A0A1Q6T5F3__ERS852392_00510
ERR1913168.37922__1.37922	239935__A0A2N8IRW0__A4V05_11620
ERR1913168.38506__1.38506	487174__R5FN40__HMPREF9448_01366
ERR1913168.38517__1.38517	28116__A0A139L6N6__HMPREF2532_02529
ERR1913168.38670__1.38670	28052__R7NBT0__mltF
ERR1913168.38932__1.38932	214856__A0A174H3U9__ERS852559_00612
ERR1913168.39182__1.39182	33038__A0A2N5NNJ7__CDL26_12635
ERR1913168.39304__1.39304	329854__R5MD93__DXD27_17140
ERR1913168.39364__1.39364	418240__C6J940__ERS852478_01123
ERR1913168.39780__1.39780	39485__A0A174YMM2__ERS852490_01019
ERR1913168.39912__1.39912	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.39920__1.39920	165179__D1PDF6__DXB80_12430
ERR1913168.40019__1.40019	214856__A0A174ZED5__ERS852559_00591
ERR1913168.40390__1.40390	487174__K0X6Z7__DDY40_11525
ERR1913168.40483__1.40483	820__A0A174A6K0__M093_0079
ERR1913168.40686__1.40686	821__A0A173XDD3__DXB82_17180
ERR1913168.40964__1.40964	1262924__R7HUG0__BN585_00790
ERR1913168.41142__1.41142	820__A0A174CG08__DXB62_13215
ERR1913168.41168__1.41168	39492__D4JRV7__EUBSIR_01513
ERR1913168.41382__1.41382	487174__K0X4Y9__DDY40_09115
ERR1913168.41579__1.41579	821__A0A0P0LFP6__C5Z04_13890
ERR1913168.41790__1.41790	239935__A0A2N8HAQ1__DEF40_05290
ERR1913168.42616__1.42616	28116__A7LSB9__DXF98_11950
ERR1913168.42611__1.42611	39492__D4JWG3__EUBSIR_00308
ERR1913168.42987__1.42987	357276__I8VN48__ABI39_07855
ERR1913168.43192__1.43192	329854__A0A3E4IPA9__BACINT_02342
ERR1913168.43213__1.43213	165179__A0A3E5A554__DXB80_13805
ERR1913168.43498__1.43498	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913168.43450__1.43450	446660__GCA_003428235.1_02344
ERR1913168.43536__1.43536	33038__A0A2N5P082__CDL24_08780
ERR1913168.43685__1.43685	39485__C4Z6J7__ERS852492_02047
ERR1913168.43939__1.43939	40518__R5E4E8__phoR_4
ERR1913168.43943__1.43943	2292352__A0A374UKA6__DXC23_10805
ERR1913168.44176__1.44176	821__A0A396F9T7__M097_3427
ERR1913168.44245__1.44245	821__A0A174JYD3__ERS852457_02610
ERR1913168.44310__1.44310	28116__A0A1G8P076__AA414_01051
ERR1913168.44328__1.44328	562__P0ABR8__antA
ERR1913168.44867__1.44867	562__P0ABQ5__COD41_16240
ERR1913168.45008__1.45008	501571__R8W067__B5F15_11945
ERR1913168.45075__1.45075	1262743__R5C054__BN727_01980
ERR1913168.45246__1.45246	329854__R5M3H0__DXD57_06945
ERR1913168.45565__1.45565	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913168.45515__1.45515	820__A0A139JY23__B5G17_06330
ERR1913168.45611__1.45611	329854__R5M3H0__DXD57_06945
ERR1913168.45885__1.45885	40519__U2MCQ8__RUMCAL_00556
ERR1913168.45942__1.45942	556259__I0PYJ6__BSGG_5210
ERR1913168.46313__1.46313	329854__R5LZ68__BACINT_01603
ERR1913168.46403__1.46403	29361__B6FKH5__CLONEX_00621
ERR1913168.46572__1.46572	1263000__R5EKY1__BN466_02098
ERR1913168.46630__1.46630	820__I9TWZ7__DXC80_10550
ERR1913168.46640__1.46640	929814__GeneID:14006948
ERR1913168.46999__1.46999	446660__GCA_003428235.1_00470
ERR1913168.47121__1.47121	33039__A0A174XW11__RTO_07780
ERR1913168.47136__1.47136	821__A0A174WBC9__ERS852556_03145
ERR1913168.47277__1.47277	821__A0A395UNT8__DXD64_15275
ERR1913168.48074__1.48074	562__A0A376L0A6__CQA14_19985
ERR1913168.48102__1.48102	29361__B6FTH3__CLONEX_03450
ERR1913168.48295__1.48295	33038__A0A2N5NQ00__HMPREF1201_01708
ERR1913168.48597__1.48597	552398__F4XCR9__HMPREF0866_01636
ERR1913168.48811__1.48811	328814__GCA_004558275.1_00296
ERR1913168.48980__1.48980	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.49163__1.49163	214851__D1PSL1__SUBVAR_07394
ERR1913168.49212__1.49212	2108523__A0A2P2F6V3__LAWASA_1735
ERR1913168.49327__1.49327	214856__A0A174ZLY7__ERS852447_02456
ERR1913168.49417__1.49417	244366__A0A0B7GCL1__sucC
ERR1913168.50777__1.50777	28116__A0A1Y4PHJ3__HMPREF1070_05178
ERR1913168.50749__1.50749	33038__A0A2N5PPZ0__CDL27_15150
ERR1913168.50933__1.50933	821__A0A396F598__CUU_3259
ERR1913168.51184__1.51184	821__A0A174NM17__lacZ_6
ERR1913168.51368__1.51368	2292352__A0A374UNQ1__DXC23_00970
ERR1913168.51371__1.51371	239935__A0A2N8HDT1__CXT94_05270
ERR1913168.51430__1.51430	39485__R5ZII6__EUBELI_00986
ERR1913168.51516__1.51516	214856__A0A174ZB00__ERS852559_00631
ERR1913168.51701__1.51701	821__A0A0P0L952__M097_4235
ERR1913168.51919__1.51919	487174__W0ES49__HMPREF9448_00709
ERR1913168.52593__1.52593	706562__GCA_900112995.1_01428
ERR1913168.52689__1.52689	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913168.52776__1.52776	28117__B0MYA9__BHV66_07790
ERR1913168.53078__1.53078	329854__R5LT64__BACINT_03703
ERR1913168.53630__1.53630	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913168.53688__1.53688	33038__A0A2N5P082__CDL24_08780
ERR1913168.54039__1.54039	28052__R7N8Y9__macB_4
ERR1913168.54731__1.54731	33038__A0A396G851__tig
ERR1913168.55257__1.55257	2173__A5UNC4__METSMIALI_00562
ERR1913168.55339__1.55339	360807__A0A1Q6T7T2__artP
ERR1913168.55505__1.55505	292800__G9YM38__ADH75_14815
ERR1913168.55568__1.55568	745368__A0A1T4Y178__SAMN02745178_02628
ERR1913168.55688__1.55688	360807__A0A396ADE9__ROSEINA2194_02917
ERR1913168.55742__1.55742	165179__A0A3E5AGH1__DXB80_05820
ERR1913168.56170__1.56170	329854__R5LT64__BACINT_03703
ERR1913168.56125__1.56125	39485__A0A175A273__plsX_2
ERR1913168.56136__1.56136	214856__A0A174A1J3__ERS852447_01000
ERR1913168.56367__1.56367	360807__A0A396AK01__RIL183_20461
ERR1913168.56480__1.56480	239935__A0A2N8IMC9__CXU09_02095
ERR1913168.56770__1.56770	446660__GCA_003428235.1_01770
ERR1913168.56803__1.56803	150055__A0A2X3WGQ7__yhgE
ERR1913168.56817__1.56817	301301__A0A395V8E1__RHOM_11160
ERR1913168.56878__1.56878	33038__A7B8H2__CDL21_04845
ERR1913168.56973__1.56973	301302__A0A0M6WTB1__M72_11101
ERR1913168.56999__1.56999	39488__A0A174GS53__dnaC_1
ERR1913168.57022__1.57022	301302__R5UU15__ERS852420_02998
ERR1913168.57214__1.57214	39485__A0A175A403__EUBELI_20577
ERR1913168.57470__1.57470	328814__GCA_004558275.1_00292
ERR1913168.57631__1.57631	821__A0A395UNT8__DXD64_15275
ERR1913168.57670__1.57670	39492__D4JR43__ERS852540_02379
ERR1913168.57693__1.57693	242750__D1PVG9__HMPREF0645_0954
ERR1913168.57992__1.57992	1262988__R7N443__BN816_01543
ERR1913168.58109__1.58109	33038__A0A3E4K696__HMPREF1201_01836
ERR1913168.58288__1.58288	329854__R5MLZ7__DXD27_15500
ERR1913168.58313__1.58313	1535__G9RWN9__CH238_11575
ERR1913168.58387__1.58387	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913168.58700__1.58700	40518__R5E6X1__DXD83_01720
ERR1913168.58746__1.58746	563769__GeneID:6973141
ERR1913168.58819__1.58819	165179__D1PGU8__PREVCOP_06463
ERR1913168.59107__1.59107	28118__R6FD01__B5F99_06665
ERR1913168.59085__1.59085	821__I9R3W6__DXC16_12455
ERR1913168.59331__1.59331	204516__U6RAM4__HMPREF1534_03439
ERR1913168.59460__1.59460	1263000__R5EXT3__BN466_02213
ERR1913168.59474__1.59474	1263000__R5EXT3__BN466_02213
ERR1913168.59596__1.59596	820__A0A3E4W4Y7__B5G17_02055
ERR1913168.60461__1.60461	820__A7UYX8__DXD40_11635
ERR1913168.60401__1.60401	39485__A0A174YYW2__benM
ERR1913168.60702__1.60702	1720294__U2BHC3__DWY69_01105
ERR1913168.60807__1.60807	33038__A0A396G4S6__CDL21_13680
ERR1913168.60870__1.60870	301301__A0A395V714__evgS
ERR1913168.61326__1.61326	28116__C3R0H4__DXD69_00155
ERR1913168.61344__1.61344	74426__pflB_2
ERR1913168.61446__1.61446	39491__A0A396FIU1__DXC13_07905
ERR1913168.61782__1.61782	39485__C4Z028__ERS852492_00100
ERR1913168.62157__1.62157	458033__GCA_001482755.1_02203
ERR1913168.62366__1.62366	28052__R7NE99__ERS852451_00573
ERR1913168.62965__1.62965	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.63162__1.63162	1262989__R6Y585__BN815_02251
ERR1913168.63233__1.63233	418240__A0A174DPU9__ERS852523_01652
ERR1913168.63294__1.63294	2292352__A0A374URU2__DXC23_04195
ERR1913168.63429__1.63429	1897011__A0A1Q6RG37__BHW41_02405
ERR1913168.63931__1.63931	329854__R7DLP0__DXD27_18335
ERR1913168.64024__1.64024	556259__E5C7J6__BSGG_0472
ERR1913168.64177__1.64177	552398__F4XCR9__HMPREF0866_01636
ERR1913168.64450__1.64450	552398__F4XCR9__HMPREF0866_01636
ERR1913168.64604__1.64604	1262743__R5C054__BN727_01980
ERR1913168.64617__1.64617	39485__C4Z355__ERS852490_01971
ERR1913168.65071__1.65071	853__R6QDR1__C4N27_08170
ERR1913168.65072__1.65072	28118__R6FFC1__Odosp_2660
ERR1913168.65287__1.65287	165179__D1PHC0__PREVCOP_06640
ERR1913168.65582__1.65582	28117__B0MXU6__ALIPUT_01958
ERR1913168.65725__1.65725	820__A0A174F0C1__nreB
ERR1913168.65694__1.65694	329854__R7E733__DXD57_00120
ERR1913168.66058__1.66058	457421__C5ERC0__CBFG_04276
ERR1913168.66499__1.66499	33038__A0A2N5NVQ3__CDL19_02550
ERR1913168.66522__1.66522	40519__U2MCQ8__RUMCAL_00556
ERR1913168.66538__1.66538	28116__A0A1Y4Q112__evgS_13
ERR1913168.66655__1.66655	165179__A0A3E5EDV6__DXC61_03365
ERR1913168.66820__1.66820	33038__A0A396G729__RUMGNA_01796
ERR1913168.67207__1.67207	328814__GCA_004558275.1_00293
ERR1913168.67390__1.67390	360807__C0FVL1__ERS852392_00394
ERR1913168.67612__1.67612	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1913168.67670__1.67670	29361__B6FQ81__CLONEX_02300
ERR1913168.67883__1.67883	821__E5UY21__C800_02204
ERR1913168.67964__1.67964	165179__A0A3E5EDV6__DXC61_03365
ERR1913168.67987__1.67987	28052__A0A174NHE1__spoIIIE
ERR1913168.68129__1.68129	39485__R6AET9__EUBELI_01205
ERR1913168.68176__1.68176	39491__A0A395ZG74__licR
ERR1913168.68229__1.68229	28052__R7NF63__ERS852499_01792
ERR1913168.68543__1.68543	552398__F4XCQ4__HMPREF0866_01621
ERR1913168.68971__1.68971	329854__R5MCJ1__DXD57_00165
ERR1913168.69005__1.69005	562__P77393__PU31_14870
ERR1913168.69111__1.69111	487174__K0WS78__HMPREF9448_02825
ERR1913168.69481__1.69481	74426__rpoB
ERR1913168.70174__1.70174	33038__F7JTF2__CDL22_02335
ERR1913168.70205__1.70205	329854__R5ML94__DXD57_11235
ERR1913168.70454__1.70454	28052__A0A174MF60__ERS852499_01909
ERR1913168.70564__1.70564	818__A0A3E5HHE1__Btheta7330_00796
ERR1913168.70982__1.70982	1262911__R6GYS8__BN557_00614
ERR1913168.71161__1.71161	33038__A7AYC4__CDL21_13075
ERR1913168.71308__1.71308	649756__A0A173S8W9__DCR88_01065
ERR1913168.71604__1.71604	328814__GCA_004558275.1_00074
ERR1913168.71847__1.71847	31971__A8RBA3__EUBDOL_01032
ERR1913168.71854__1.71854	1160721__W0U4D5__RBI_I01230
ERR1913168.71993__1.71993	360807__C0FSM3__ROSEINA2194_01739
ERR1913168.72346__1.72346	33038__A0A2N5NYI5__C5Y99_09140
ERR1913168.72413__1.72413	821__A0A174MBW9__SAMN04487923_10272
ERR1913168.72776__1.72776	301302__A0A0M6WIX9__ERS852420_01972
ERR1913168.73013__1.73013	33038__A0A396G387__HMPREF1201_01180
ERR1913168.73113__1.73113	1160721__R6TAA3__BHW50_03385
ERR1913168.73234__1.73234	2292352__A0A374UKZ5__DXC23_11285
ERR1913168.73384__1.73384	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913168.73366__1.73366	33038__A7AYC4__CDL21_13075
ERR1913168.73707__1.73707	39485__A0A174YNW2__cph2_3
ERR1913168.73712__1.73712	214856__A0A174A0P3__ERS852447_00994
