ERR1913166.89__1.89	1262743__R5C7C5__BN727_00596
ERR1913166.5063__1.5063	820__A0A3E4RUC4__DHU98_02635
ERR1913166.5148__1.5148	239935__R6K0V8__CXT94_02055
ERR1913166.5211__1.5211	1318__I1ZNF4__CYK20_03530
ERR1913166.5234__1.5234	47678__R5UT79__ERS852558_03890
ERR1913166.5173__1.5173	820__A0A173WUD7__DXB48_08055
ERR1913166.5267__1.5267	28116__R6JI94__ERS852555_01222
ERR1913166.5416__1.5416	820__R9HP61__DXC91_01090
ERR1913166.5524__1.5524	820__A0A174P0L5__glcK_3
ERR1913166.6134__1.6134	820__A0A3E4QZJ7__C801_01798
ERR1913166.6299__1.6299	820__A0A3E4W9D9__B5G17_12400
ERR1913166.6348__1.6348	1262882__A0A356PSJ4__BN519_01180
ERR1913166.6572__1.6572	820__A0A139KIL9__DXC68_05945
ERR1913166.6689__1.6689	301301__G2SZJ7__RHOM_00620
ERR1913166.6714__1.6714	820__A0A174CK74__DXB48_07060
ERR1913166.6744__1.6744	820__A0A3E4PYB0__yejM
ERR1913166.6753__1.6753	820__A0A139KHX1__HMPREF2141_00289
ERR1913166.7112__1.7112	674529__A0A174IYM6__SAMN05444400_107161
ERR1913166.7092__1.7092	487173__H1CYJ4__HMPREF9453_00432
ERR1913166.7204__1.7204	820__A0A174F0C1__nreB
ERR1913166.7322__1.7322	338188__A0A174GXA9__bglX_10
ERR1913166.7414__1.7414	1262882__R5MH82__BN519_00752
ERR1913166.7510__1.7510	487173__H1CYJ4__HMPREF9453_00432
ERR1913166.7531__1.7531	820__I9TWZ7__DXC80_10550
ERR1913166.7546__1.7546	1262882__R5MM69__BN519_00075
ERR1913166.7701__1.7701	246787__A0A3D6B182__HMPREF1062_00600
ERR1913166.7720__1.7720	1262882__R5MFY4__BN519_00529
ERR1913166.7898__1.7898	820__A0A374Q854__HMPREF1073_03281
ERR1913166.7932__1.7932	820__A0A174NUS8__DXC80_12885
ERR1913166.7968__1.7968	1262882__R5MEN9__BN519_00201
ERR1913166.7971__1.7971	820__A7UYX8__DXD40_11635
ERR1913166.8027__1.8027	820__A0A3E4G2R7__DXC07_00510
ERR1913166.8034__1.8034	1262882__R5MIY9__BN519_01097
ERR1913166.8119__1.8119	820__A0A139K4W5__HMPREF2141_02394
ERR1913166.8236__1.8236	28117__B0MXX3__BHV66_07695
ERR1913166.8270__1.8270	820__A0A374Q854__HMPREF1073_03281
ERR1913166.8305__1.8305	28111__R5K5V1__NCTC11155_02461
ERR1913166.8582__1.8582	1262882__R5MRT2__BN519_01494
ERR1913166.8583__1.8583	820__A0A173YYG4__evgS_3
ERR1913166.8632__1.8632	820__A0A139K1Y6__DXB48_02610
ERR1913166.8690__1.8690	818__R6VB25__BSIG_5053
ERR1913166.8753__1.8753	820__A0A3E4W9D9__B5G17_12400
ERR1913166.8892__1.8892	371601__A0A1H4AUL8__BXY_43960
ERR1913166.8961__1.8961	820__A0A1T4IY71__HMPREF2141_02402
ERR1913166.9078__1.9078	28111__R5K9F8__BACEGG_01519
ERR1913166.9203__1.9203	239935__A0A2N8HBM4__CXT85_06270
ERR1913166.9395__1.9395	239935__A0A3F3K9J9__DEF40_00940
ERR1913166.9439__1.9439	820__A0A078STJ8__DXC68_04690
ERR1913166.9456__1.9456	1262911__R6GX31__BN557_00315
ERR1913166.9616__1.9616	820__A0A3E4PYB0__yejM
ERR1913166.9678__1.9678	820__A0A3E5E0T0__ERS852554_00312
ERR1913166.9695__1.9695	820__A7UYX8__DXD40_11635
ERR1913166.9700__1.9700	820__A0A3E4GA19__SAMN05444418_10562
ERR1913166.9741__1.9741	820__I9A4U7__DHU98_12785
ERR1913166.9818__1.9818	1262924__R7HNT3__BN585_00018
ERR1913166.9824__1.9824	820__A0A139KHX1__HMPREF2141_00289
ERR1913166.9876__1.9876	1262882__R5MT08__BN519_01706
ERR1913166.9951__1.9951	818__R6VB25__BSIG_5053
ERR1913166.9969__1.9969	1550024__A0A0W7TTP8__TQ39_06385
ERR1913166.9973__1.9973	1262882__R5MEN9__BN519_00201
ERR1913166.9927__1.9927	1550024__G9RZN9__ASJ35_05735
ERR1913166.10058__1.10058	853__A0A173SUU8__CGS54_06840
ERR1913166.10204__1.10204	204516__U6RFU0__HMPREF1534_02545
ERR1913166.10238__1.10238	1263044__GCA_000433375.1_02962
ERR1913166.10269__1.10269	1550024__G9RWE3__TQ39_04170
ERR1913166.10443__1.10443	384639__GCA_003096855.1_00253
ERR1913166.10447__1.10447	204516__U6R8I1__HMPREF1534_03341
ERR1913166.10543__1.10543	820__A0A173YYG4__evgS_3
ERR1913166.10528__1.10528	1262882__R5MM90__BN519_01721
ERR1913166.10634__1.10634	820__A0A139KIL9__DXC68_05945
ERR1913166.10582__1.10582	28111__E5X333__NCTC11155_03016
ERR1913166.10616__1.10616	39491__A0A396FRE7__EUR_27520
ERR1913166.11042__1.11042	454155__F3QR04__HMPREF9442_00598
ERR1913166.11052__1.11052	204516__U6RAM4__HMPREF1534_03439
ERR1913166.11150__1.11150	820__A0A139KHX1__HMPREF2141_00289
ERR1913166.11231__1.11231	820__A0A374MXK3__HMPREF1072_00166
ERR1913166.11246__1.11246	1550024__G9RXV5__TQ39_13455
ERR1913166.11256__1.11256	820__A0A078S569__gmhB
ERR1913166.11287__1.11287	820__A0A173YYG4__evgS_3
ERR1913166.11336__1.11336	28037__E9FKQ3__SMIM3IV_00762
ERR1913166.11444__1.11444	1796613__A0A1C7GYD6__A4V03_03700
ERR1913166.11485__1.11485	301302__A0A173T010__M72_26571
ERR1913166.11517__1.11517	39488__R5G6A7__DXD91_05835
ERR1913166.11589__1.11589	823__A6LHK0__M090_1297
ERR1913166.11624__1.11624	820__A0A396EUU8__luxQ_3
ERR1913166.11599__1.11599	1262882__R5N4I5__BN519_01288
ERR1913166.11615__1.11615	40520__R7DE21__DXD81_02990
ERR1913166.11839__1.11839	28117__B0MTI4__ALIPUT_00084
ERR1913166.12054__1.12054	820__A0A139KJ23__celCCA
ERR1913166.12087__1.12087	28117__R7JH62__BHV66_05735
ERR1913166.12257__1.12257	1262882__R5MYI1__BN519_00416
ERR1913166.12316__1.12316	371601__A0A1H4AKU1__BXY_45200
ERR1913166.12586__1.12586	1160721__W0U4W5__BHW50_05260
ERR1913166.12765__1.12765	820__A7V859__ERS852462_00341
ERR1913166.12828__1.12828	28116__D7K7K3__SAMN05192581_103348
ERR1913166.12953__1.12953	1262882__R5MZZ3__BN519_00482
ERR1913166.13010__1.13010	820__A0A139KEW8__DXB64_06405
ERR1913166.12995__1.12995	823__A6LB63__M095_1847
ERR1913166.13165__1.13165	46503__K5ZBF7__DD461_15285
ERR1913166.13331__1.13331	1262882__R5N5W2__BN519_00074
ERR1913166.13615__1.13615	239935__A0A2N8HX65__CXU17_02540
ERR1913166.13726__1.13726	823__A0A173VPM3__DHW69_17170
ERR1913166.13953__1.13953	820__A0A374Q854__HMPREF1073_03281
ERR1913166.14183__1.14183	823__A6LHK0__M090_1297
ERR1913166.14202__1.14202	1262882__R5MKV8__BN519_01281
ERR1913166.14470__1.14470	674529__R6UPU0__SAMN05444400_108101
ERR1913166.14498__1.14498	35833__E5Y477__HMPREF0179_00988
ERR1913166.14648__1.14648	1263044__GCA_000433375.1_03640
ERR1913166.14693__1.14693	1550024__A0A3B9WE41__ASJ35_03585
ERR1913166.14750__1.14750	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913166.14783__1.14783	820__A0A139KHD8__ERS417307_00569
ERR1913166.14809__1.14809	820__A0A174QLF0__SAMN05444418_109151
ERR1913166.14946__1.14946	1262924__R7HQD4__BN585_02072
ERR1913166.15080__1.15080	47678__R5USR9__HMPREF1061_01404
ERR1913166.15090__1.15090	39492__D4JRZ7__smc
ERR1913166.15122__1.15122	820__A0A3E4VXP2__yesR
ERR1913166.15107__1.15107	820__A0A174GYA8__DXB64_07370
ERR1913166.15248__1.15248	357276__B6W1J2__BACDOR_03380
ERR1913166.15400__1.15400	1262882__R5MKV8__BN519_01281
ERR1913166.15462__1.15462	820__A0A396EUU8__luxQ_3
ERR1913166.15656__1.15656	28111__E5WVI9__BACEGG_03583
ERR1913166.15799__1.15799	820__A0A374Q854__HMPREF1073_03281
ERR1913166.15876__1.15876	1150298__A0A174N5I7__ERS852498_01953
ERR1913166.15844__1.15844	357276__I9F327__DXD47_22495
ERR1913166.15924__1.15924	820__R9I2U8__DXC68_09590
ERR1913166.15987__1.15987	1150298__A0A174FWV5__ERS852535_01842
ERR1913166.15957__1.15957	820__A0A139KIL9__DXC68_05945
ERR1913166.16046__1.16046	454154__G5SU81__HMPREF9441_02936
ERR1913166.16097__1.16097	1550024__G9RT62__ASJ35_10800
ERR1913166.16110__1.16110	1262882__R5MHZ2__BN519_00742
ERR1913166.16135__1.16135	39496__A5Z5I2__EUBVEN_00963
ERR1913166.16147__1.16147	820__A0A139KA34__B5G17_05520
ERR1913166.16206__1.16206	28111__E5WUE9__NCTC11155_01729
ERR1913166.16419__1.16419	674529__R6V0V1__DXB21_06395
ERR1913166.16535__1.16535	1262882__R5MJM8__BN519_01064
ERR1913166.16566__1.16566	820__A0A174GK47__ERS852421_00200
ERR1913166.16648__1.16648	39485__A0A174ZKZ4__spoIIQ_1
ERR1913166.16627__1.16627	820__R9HP61__DXC91_01090
ERR1913166.16640__1.16640	820__A0A374MMF0__HMPREF1073_03811
ERR1913166.16646__1.16646	39492__A0A174ZL16__EUBSIR_01269
ERR1913166.17442__1.17442	1297617__A0A2U1C164__BIV19_07970
ERR1913166.17543__1.17543	239935__A0A2N8IMC9__CXU09_02095
ERR1913166.17592__1.17592	39491__C4ZHS4__EUR_24420
ERR1913166.17767__1.17767	1550024__G9RWE0__TQ39_04155
ERR1913166.17783__1.17783	1262882__R5MGS8__BN519_00565
ERR1913166.18217__1.18217	1262882__R5MEN2__BN519_00200
ERR1913166.18230__1.18230	820__A0A3E4QZJ7__C801_01798
ERR1913166.18255__1.18255	820__A0A139KH21__DXC80_01780
ERR1913166.18302__1.18302	338188__A0A174ETX3__ERS852397_01955
ERR1913166.18605__1.18605	204516__U6R9H3__HMPREF1534_03348
ERR1913166.18640__1.18640	820__A0A174TRB5__DXD40_11305
ERR1913166.18654__1.18654	820__A0A374MXK3__HMPREF1072_00166
ERR1913166.18658__1.18658	820__A0A174LJB2__HMPREF1072_04112
ERR1913166.18681__1.18681	28117__B0N028__BHV66_05935
ERR1913166.18789__1.18789	204516__U6R9E6__HMPREF1534_03149
ERR1913166.18898__1.18898	28052__R6JVH3__ERS852499_00454
ERR1913166.19099__1.19099	1262882__R5N3H1__BN519_01121
ERR1913166.19124__1.19124	820__A0A174CG08__DXB62_13215
ERR1913166.19148__1.19148	820__A0A3E4XM43__DXC91_13960
ERR1913166.19277__1.19277	371601__A0A1Y4VA23__SAMN04487924_1246
ERR1913166.19281__1.19281	454155__F3QQA0__HMPREF9442_00338
ERR1913166.19362__1.19362	1262882__R5MH82__BN519_00752
ERR1913166.19383__1.19383	820__A0A3E4PYB0__yejM
ERR1913166.19475__1.19475	47678__R5UST1__ERS852558_03505
ERR1913166.19489__1.19489	1262882__R5N1L4__BN519_00757
ERR1913166.19514__1.19514	487174__K0WRI1__DIT83_06780
ERR1913166.19585__1.19585	1150298__R7JRU1__degA_3
ERR1913166.19611__1.19611	39491__A0A396FP46__cobD_2
ERR1913166.19752__1.19752	820__A0A139K4W5__HMPREF2141_02394
ERR1913166.19823__1.19823	487174__R5FN40__HMPREF9448_01366
ERR1913166.19887__1.19887	823__A0A355XF06__B5F32_11480
ERR1913166.19845__1.19845	820__A0A3E4W9D9__B5G17_12400
ERR1913166.19889__1.19889	46503__R6Y9P8__evgS_3
ERR1913166.20261__1.20261	28117__B0MTW8__ALIPUT_00502
ERR1913166.20326__1.20326	820__R9I2U8__DXC68_09590
ERR1913166.20359__1.20359	371601__I9A9Z3__CW3_2765
ERR1913166.20410__1.20410	1263006__R6LYW4__BN515_01529
ERR1913166.20424__1.20424	820__A0A3E4G493__ERS417307_00253
ERR1913166.20443__1.20443	100884__E7G896__HMPREF9488_00984
ERR1913166.20453__1.20453	28111__E5WTU8__BACEGG_01922
ERR1913166.20482__1.20482	39492__D4JVC7__yfgF
ERR1913166.20898__1.20898	820__A0A139KA34__B5G17_05520
ERR1913166.21008__1.21008	454154__G5SS69__HMPREF9441_02219
ERR1913166.20978__1.20978	820__A0A3E4WCX3__C801_02709
ERR1913166.21178__1.21178	820__A0A3E4WA06__ERS852554_03404
ERR1913166.21240__1.21240	820__A0A173W419__DXC68_17760
ERR1913166.21256__1.21256	823__D0TGD9__hpt
ERR1913166.21278__1.21278	239935__A0A2N8IIB9__CXU04_01970
ERR1913166.21287__1.21287	820__A7V8C2__ERS852554_01338
ERR1913166.21342__1.21342	820__A0A139K9Q2__DXD40_08795
ERR1913166.21429__1.21429	1262882__R5N5D7__BN519_01676
ERR1913166.21703__1.21703	357276__I9QBT7__BSEG_03340
ERR1913166.21869__1.21869	820__A0A139K4T0__ERS852510_03146
ERR1913166.22125__1.22125	28118__R6FCW4__DF785_08500
ERR1913166.22189__1.22189	820__A0A3E4WCX3__C801_02709
ERR1913166.22420__1.22420	1262882__R5MY46__BN519_00355
ERR1913166.22437__1.22437	1262743__R5C054__BN727_01980
ERR1913166.22546__1.22546	1262924__R7HQ03__BN585_01295
ERR1913166.22576__1.22576	820__R9I324__HMPREF2141_02414
ERR1913166.22580__1.22580	1262924__R7HQV3__BN585_00017
ERR1913166.22648__1.22648	820__A0A139K426__B5G17_09115
ERR1913166.22740__1.22740	820__A0A174DZ97__SAMN05444418_101240
ERR1913166.22822__1.22822	820__A0A374Q4X1__HMPREF2141_02370
ERR1913166.22888__1.22888	239935__A0A2N8HL14__CXT98_09285
ERR1913166.22942__1.22942	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913166.22967__1.22967	820__A0A139K4W1__M093_0353
ERR1913166.22987__1.22987	820__A0A139K1Y6__DXB48_02610
ERR1913166.23054__1.23054	1262882__R5MSX6__BN519_01697
ERR1913166.23096__1.23096	820__A0A396EUU8__luxQ_3
ERR1913166.23132__1.23132	1262743__R5C7B5__BN727_00586
ERR1913166.23157__1.23157	820__A0A139KJ23__celCCA
ERR1913166.23199__1.23199	823__A0A395YY84__DXC05_19515
ERR1913166.23528__1.23528	544645__A0A1U7L9B0__DXC42_03910
ERR1913166.23538__1.23538	823__A0A355XLQ9__DXC05_02185
ERR1913166.23573__1.23573	1150298__A0A174DPC6__ERS852535_01374
ERR1913166.23578__1.23578	820__A0A3E4W084__BACUNI_04042
ERR1913166.23591__1.23591	28111__E5X120__NCTC11155_02427
ERR1913166.23597__1.23597	458033__GCA_001482755.1_02203
ERR1913166.23697__1.23697	1262980__R5C0H7__BN814_00054
ERR1913166.23727__1.23727	820__A0A396EUU8__luxQ_3
ERR1913166.23917__1.23917	820__A0A174CG08__DXB62_13215
ERR1913166.24047__1.24047	820__A0A139KHX1__HMPREF2141_00289
ERR1913166.24161__1.24161	820__A0A173XIP7__B5G17_16050
ERR1913166.24254__1.24254	820__A0A3E4W980__M093_3873
ERR1913166.24402__1.24402	371601__R6DWQ9__SAMN04487924_11954
ERR1913166.24449__1.24449	40518__R5DW64__RBL236_01394
ERR1913166.24474__1.24474	239935__A0A2N8I6R6__CXU04_04335
ERR1913166.24499__1.24499	823__A0A174PDQ0__DXC05_08200
ERR1913166.24637__1.24637	2173__A0A1D2WWU1__METSMIALI_01068
ERR1913166.25221__1.25221	1262882__R5MZ41__BN519_00356
ERR1913166.25243__1.25243	204516__U6RN30__HMPREF1534_00370
ERR1913166.25284__1.25284	1160721__W0U2H8__BHW50_07775
ERR1913166.25584__1.25584	1262882__R5MT42__BN519_01729
ERR1913166.25647__1.25647	487173__H1D2L5__HMPREF9453_01853
ERR1913166.25663__1.25663	239935__A0A2N8IVR0__CXT87_07115
ERR1913166.25715__1.25715	301302__A0A173UAS4__M72_15061
ERR1913166.25760__1.25760	329854__B3CIE6__DXD27_22690
ERR1913166.26454__1.26454	39492__D4JRV7__EUBSIR_01513
ERR1913166.26556__1.26556	820__A0A3E4WA06__ERS852554_03404
ERR1913166.26711__1.26711	40518__R5DUG7__sbcC
ERR1913166.26910__1.26910	823__A0A174KUS4__araC_7
ERR1913166.26970__1.26970	39491__A0A396FS17__envC
ERR1913166.26992__1.26992	28111__E5X124__NCTC11155_02431
ERR1913166.27031__1.27031	487174__K0XLH2__HMPREF9448_01152
ERR1913166.27053__1.27053	1262882__R5N3H1__BN519_01121
ERR1913166.27256__1.27256	47678__A5ZEA3__ERS852558_00257
ERR1913166.27367__1.27367	1262882__R5MFT7__BN519_00494
ERR1913166.27514__1.27514	820__A0A3E4VZT7__DXB48_16145
ERR1913166.27521__1.27521	820__A0A078S4C2__ERS417307_00828
ERR1913166.27637__1.27637	820__A0A139K8N1__ERS852554_00951
ERR1913166.27609__1.27609	1262992__R5CXK6__BN795_00999
ERR1913166.27795__1.27795	239935__A0A2N8I3G2__CXT89_00720
ERR1913166.27856__1.27856	1160721__R6TH23__RBI_I00201
ERR1913166.27923__1.27923	1150298__R7JTY5__ERS852406_02079
ERR1913166.28170__1.28170	1262882__R5MLT4__BN519_01496
ERR1913166.28501__1.28501	820__A0A374Q351__DXD40_05850
ERR1913166.28465__1.28465	820__A0A3E4WCC2__lptB_1
ERR1913166.28604__1.28604	246787__A0A3D6AZ54__BcellWH2_03646
ERR1913166.28721__1.28721	544645__A0A1U7L9U1__DXC42_00420
ERR1913166.28689__1.28689	820__A0A174F696__macB_13
ERR1913166.28785__1.28785	39485__R5ZPP8__EUBELI_20334
ERR1913166.28908__1.28908	1262882__R5MFM2__BN519_00460
ERR1913166.28944__1.28944	649756__L1PTR2__ERS852571_01304
ERR1913166.28929__1.28929	454155__F3QTG9__HMPREF9442_01487
ERR1913166.28970__1.28970	239935__B2UPZ6__CXU03_03800
ERR1913166.29052__1.29052	39492__D4JSB6__ERS852540_00627
ERR1913166.29001__1.29001	820__R9I3Q7__HMPREF1072_01668
ERR1913166.29114__1.29114	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913166.29168__1.29168	820__A0A3E4W9W8__C801_01069
ERR1913166.29216__1.29216	818__A0A0P0F7K1__ERS852461_02719
ERR1913166.29224__1.29224	371601__A0A174KGU6__CW3_4554
ERR1913166.29234__1.29234	820__A0A173YYG4__evgS_3
ERR1913166.29236__1.29236	1262992__R5D1X3__BN795_00176
ERR1913166.29273__1.29273	823__D7ILK2__ERS852380_00031
ERR1913166.29286__1.29286	1262882__R5N1T9__BN519_00804
ERR1913166.29407__1.29407	820__A0A3E4PYB0__yejM
ERR1913166.29528__1.29528	1965538__A0A1Y4W3Y5__B5E43_12125
ERR1913166.29545__1.29545	820__A0A174A6K0__M093_0079
ERR1913166.29549__1.29549	1262882__R5MLA4__BN519_01536
ERR1913166.29765__1.29765	1262882__R5MYX5__BN519_00333
ERR1913166.29788__1.29788	820__I9TWZ7__DXC80_10550
ERR1913166.29833__1.29833	1262882__R5MRT2__BN519_01494
ERR1913166.29944__1.29944	357276__I9F327__DXD47_22495
ERR1913166.29923__1.29923	820__A0A3E4WA06__ERS852554_03404
ERR1913166.30322__1.30322	820__A0A174QT76__B5G17_18060
ERR1913166.30329__1.30329	1262992__R5D559__BN795_00706
ERR1913166.30340__1.30340	820__A0A3E4WA06__ERS852554_03404
ERR1913166.30373__1.30373	1262992__R5DCN3__BN795_00359
ERR1913166.30439__1.30439	1262882__R5N5S3__BN519_00085
ERR1913166.30482__1.30482	1262992__R5D4D2__BN795_00592
ERR1913166.30697__1.30697	820__E5VEH7__ERS852459_01300
ERR1913166.30755__1.30755	820__A0A174G065__DXB62_08975
ERR1913166.31046__1.31046	1262992__R5CZ75__BN795_01422
ERR1913166.31015__1.31015	1550024__A0A3B9WIA4__TQ39_14495
ERR1913166.31120__1.31120	338188__K5CB50__BACFIN_05402
ERR1913166.31457__1.31457	674529__R6V187__DXB21_21665
ERR1913166.31624__1.31624	371601__I9AJK3__SAMN04487924_10989
ERR1913166.31661__1.31661	1262882__R5MIC9__BN519_00834
ERR1913166.31693__1.31693	820__A7V859__ERS852462_00341
ERR1913166.31718__1.31718	1262882__R5MND9__BN519_00831
ERR1913166.31916__1.31916	28117__B0MYZ8__BHV66_04535
ERR1913166.32240__1.32240	820__A0A139K5A6__DXB48_12175
ERR1913166.32341__1.32341	28118__F9Z7B3__SAMEA44545918_00670
ERR1913166.32376__1.32376	454155__F3QXY1__HMPREF9442_03071
ERR1913166.32626__1.32626	820__A0A374Q854__HMPREF1073_03281
ERR1913166.32781__1.32781	1550024__A0A0D8IY45__ASJ35_05575
ERR1913166.32856__1.32856	820__A7V9F9__B5G17_14640
ERR1913166.33026__1.33026	820__A0A139K0J1__HMPREF2141_03205
ERR1913166.33158__1.33158	820__A0A139K024__B5G17_02060
ERR1913166.33162__1.33162	820__A0A174LJB2__HMPREF1072_04112
ERR1913166.33249__1.33249	1550024__G9RPC6__TQ39_05630
ERR1913166.33316__1.33316	1262882__R5MH81__BN519_00748
ERR1913166.33317__1.33317	28111__E5WZR2__HMPREF1016_02168
ERR1913166.33346__1.33346	820__A0A139K8X8__DXC80_17665
ERR1913166.33434__1.33434	820__A0A3E4WA06__ERS852554_03404
ERR1913166.33435__1.33435	820__A0A174CG08__DXB62_13215
ERR1913166.33445__1.33445	239935__A0A2N8I3G2__CXT89_00720
ERR1913166.33676__1.33676	1550024__A0A0D8J0L2__ASJ35_04680
ERR1913166.33678__1.33678	820__A0A139K0J1__HMPREF2141_03205
ERR1913166.33728__1.33728	28117__B0N007__BHV66_10275
ERR1913166.33908__1.33908	820__A0A3E4GA19__SAMN05444418_10562
ERR1913166.33910__1.33910	39492__D4JWJ4__EUBSIR_01090
ERR1913166.33964__1.33964	820__A0A174CG08__DXB62_13215
ERR1913166.34048__1.34048	1262882__R5MSQ8__BN519_01647
ERR1913166.34105__1.34105	820__A0A173WUD7__DXB48_08055
ERR1913166.34174__1.34174	820__A0A139KJ23__celCCA
ERR1913166.34182__1.34182	214856__A0A174CRY5__ERS852559_01060
ERR1913166.34263__1.34263	1550024__A0A0D8IWU5__TQ39_13940
ERR1913166.34321__1.34321	28117__B0MYI9__BHV66_05415
ERR1913166.34408__1.34408	1262882__R5N1V0__BN519_00816
ERR1913166.34553__1.34553	239935__A0A2N8HW65__CXU09_08515
ERR1913166.34557__1.34557	239935__A0A2N8HUU6__CXT90_06150
ERR1913166.34529__1.34529	820__A0A139KJ23__celCCA
ERR1913166.34564__1.34564	823__A0A174MNW4__M091_0199
ERR1913166.34591__1.34591	1262882__R5MEK3__BN519_00296
ERR1913166.34661__1.34661	487174__K0X109__DDY40_03235
ERR1913166.34729__1.34729	487173__H1D1P5__HMPREF9453_01533
ERR1913166.34822__1.34822	820__A0A139K4W5__HMPREF2141_02394
ERR1913166.35048__1.35048	28111__E5WVI9__BACEGG_03583
ERR1913166.35159__1.35159	28111__R5JN40__HMPREF1016_01803
ERR1913166.35253__1.35253	454154__G5SPR9__HMPREF9441_01352
ERR1913166.35328__1.35328	820__A0A3E4XDK3__ERS852554_03650
ERR1913166.35353__1.35353	239935__A0A2N8I5A2__DEF40_08455
ERR1913166.35543__1.35543	820__A0A374QGD2__ERS852421_02382
ERR1913166.35647__1.35647	204516__U6RFV1__HMPREF1534_02560
ERR1913166.35667__1.35667	1796613__A0A1C7H2F0__ADH74_00145
ERR1913166.35709__1.35709	820__A0A174QLF0__SAMN05444418_109151
ERR1913166.35829__1.35829	1150298__R7JUS7__ytlR
ERR1913166.35996__1.35996	820__A0A3E4VZY4__ERS852554_01211
ERR1913166.36088__1.36088	820__A7V859__ERS852462_00341
ERR1913166.36124__1.36124	1262882__R5MKL9__BN519_00353
ERR1913166.36238__1.36238	820__A0A174A6K0__M093_0079
ERR1913166.36239__1.36239	1262924__R7HMZ4__BN585_01629
ERR1913166.36270__1.36270	39492__D4JXA0__ERS852540_02538
ERR1913166.36283__1.36283	1262882__R5MZ58__BN519_00525
ERR1913166.36317__1.36317	1262882__R5MGS8__BN519_00565
ERR1913166.36435__1.36435	820__A0A1T4IY71__HMPREF2141_02402
ERR1913166.36581__1.36581	1262980__R5C0H7__BN814_00054
ERR1913166.36651__1.36651	1796613__A0A1C7GYD6__A4V03_03700
ERR1913166.36742__1.36742	40518__R5DLM5__RB5AMG_00422
ERR1913166.36914__1.36914	239935__A0A139TVJ4__CXT86_02020
ERR1913166.36943__1.36943	246787__A0A0P0GR24__BcellWH2_03263
