ERR1912964.104__1.104	1680__A0A087DKM6__B0042_0664
ERR1912964.12544__1.12544	40518__R5DYU1__DXD86_01160
ERR1912964.12588__1.12588	239935__A0A2N8I8X8__B5G29_00185
ERR1912964.12775__1.12775	1263027__R6ZZS9__BN699_02055
ERR1912964.12837__1.12837	1680__R5GMB5__AD0028_1137
ERR1912964.12858__1.12858	1161942__celI_5
ERR1912964.12953__1.12953	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1912964.13234__1.13234	165179__D1P9T6__PREVCOP_04016
ERR1912964.13378__1.13378	33043__A0A173YSY7__tilS
ERR1912964.13560__1.13560	1262761__R6R380__BN606_01693
ERR1912964.13638__1.13638	33043__D5HFZ0__rlmH
ERR1912964.14339__1.14339	1262869__R7CLU9__BN625_01053
ERR1912964.14407__1.14407	1262961__R6DW08__BN710_00228
ERR1912964.14663__1.14663	1262986__R5ZTC2__BN492_01087
ERR1912964.14987__1.14987	1897011__A0A1Q6RDL4__BHW41_05540
ERR1912964.15012__1.15012	1262961__R6EMW7__BN710_01172
ERR1912964.14993__1.14993	1680__R5GR82__AD0028_0014
ERR1912964.15121__1.15121	239935__A0A2N8HUU6__CXT90_06150
ERR1912964.15143__1.15143	165179__A0A3E5A5E5__DXC61_13965
ERR1912964.15178__1.15178	239935__A0A2N8HUU6__CXT90_06150
ERR1912964.15181__1.15181	39492__D4JX40__EUBSIR_00020
ERR1912964.15206__1.15206	33043__A0A174E9K7__sigF_1
ERR1912964.15246__1.15246	944036__A0A196SBX7__AV274_3863
ERR1912964.15316__1.15316	301302__R5VFU2__xynA1
ERR1912964.15365__1.15365	853__A0A2A7B1Y7__C7K05_11930
ERR1912964.15533__1.15533	1680__A0A173Y6N7__yhaH
ERR1912964.15607__1.15607	1262869__R7CR03__BN625_01769
ERR1912964.15823__1.15823	1262915__R6HDY7__BN574_00301
ERR1912964.15827__1.15827	1262961__R6EF25__BN710_00125
ERR1912964.15888__1.15888	165179__D1PB89__DXC61_08425
ERR1912964.16172__1.16172	1297617__A0A0S2W8B4__BIV19_10675
ERR1912964.16196__1.16196	39492__D4JR08__ERS852540_02467
ERR1912964.16212__1.16212	239935__A0A3F3KBB8__CXU16_06755
ERR1912964.16250__1.16250	165179__A0A229I7F5__DXB80_02650
ERR1912964.16255__1.16255	301302__A0A0M6WH46__M72_23101
ERR1912964.16303__1.16303	310297__R5VBJ5__DXC17_12085
ERR1912964.16368__1.16368	239935__A0A2N8IXN0__CXT95_01765
ERR1912964.16341__1.16341	1161942__cph2_2
ERR1912964.16831__1.16831	1263000__R5EKG2__BN466_02040
ERR1912964.16910__1.16910	1680__A0A174BH90__B0487_1759
ERR1912964.16914__1.16914	1262988__R7N4U5__BN816_00495
ERR1912964.17226__1.17226	46503__A7ADV9__ERS852463_01504
ERR1912964.17324__1.17324	1262761__R6R840__BN606_01433
ERR1912964.17575__1.17575	239935__R6J776__CXU07_02355
ERR1912964.17667__1.17667	1262986__R5ZUP0__BN492_01284
ERR1912964.17715__1.17715	328814__GCA_004558275.1_01205
ERR1912964.17909__1.17909	239935__B2UPZ6__CXU03_03800
ERR1912964.17950__1.17950	1897011__A0A1Q6RE78__BHW41_04770
ERR1912964.18110__1.18110	239935__A0A2N8IMC3__CXT96_03840
ERR1912964.18406__1.18406	1161942__celI_4
ERR1912964.18469__1.18469	239935__R6JCH3__CXT95_08205
ERR1912964.18496__1.18496	328814__GCA_004558275.1_00296
ERR1912964.18571__1.18571	165179__A0A3E5DZA5__DXB80_12550
ERR1912964.18581__1.18581	944036__A0A196S9L6__AV274_5258
ERR1912964.18775__1.18775	216816__A0A2N0SME6__BLIF_1881
ERR1912964.18992__1.18992	239935__A0A2N8IVR0__CXT87_07115
ERR1912964.19040__1.19040	821__A0A3E4WAR6__DXD64_10735
ERR1912964.19536__1.19536	821__A0A174MBW9__SAMN04487923_10272
ERR1912964.19537__1.19537	40518__R5DW64__RBL236_01394
ERR1912964.19539__1.19539	853__A0A174BA00__DW905_01145
ERR1912964.19709__1.19709	1262869__R7CLS0__BN625_01160
ERR1912964.19877__1.19877	1262959__R5YSA1__BN680_00535
ERR1912964.20149__1.20149	1161942__csd_2
ERR1912964.20155__1.20155	39492__D4JU79__EUBSIR_01975
ERR1912964.20268__1.20268	944036__A0A196SA43__AV274_5341
ERR1912964.20466__1.20466	165179__A0A3E4SEG4__DXC61_11235
ERR1912964.20740__1.20740	853__E2ZGD9__C7J97_11715
ERR1912964.20963__1.20963	1897011__A0A1Q6RDI3__BHW41_05415
ERR1912964.20948__1.20948	1262761__R6RTQ9__BN606_01087
ERR1912964.21073__1.21073	39485__C4Z6V1__ERS852492_02640
ERR1912964.21203__1.21203	552398__F4XHJ7__HMPREF0866_03101
ERR1912964.21251__1.21251	239935__R7DVL7__CXT93_01180
ERR1912964.21688__1.21688	61171__B9Y5T8__HOLDEFILI_01170
ERR1912964.21723__1.21723	33043__D5HHD5__ERS852575_00049
ERR1912964.21996__1.21996	165179__A0A3E4SID1__DXB80_01945
ERR1912964.22070__1.22070	239935__A0A139TPD4__CXT86_06450
ERR1912964.22053__1.22053	165179__A0A3E5DY64__CFT61_10025
ERR1912964.22282__1.22282	1262761__R6QUS0__BN606_00152
ERR1912964.22350__1.22350	239935__A0A2N8I8X8__B5G29_00185
ERR1912964.22683__1.22683	1262761__R6QWS5__BN606_02019
ERR1912964.22705__1.22705	944036__A0A196S8S8__AV274_5932
ERR1912964.22732__1.22732	745368__A0A1T4Y7W7__SAMN02745178_02825
ERR1912964.22744__1.22744	165179__A0A3E4SDC8__PREVCOP_05706
ERR1912964.22763__1.22763	239935__A0A2N8HT18__CXT93_06135
ERR1912964.22877__1.22877	74426__infB
ERR1912964.23104__1.23104	239935__A0A2N8HQR1__Amuc_0287
ERR1912964.23120__1.23120	901__B6WTW8__DESPIGER_1202
ERR1912964.23416__1.23416	901__B6WTG1__glpB
ERR1912964.23517__1.23517	239935__A0A2N8HH03__CXU09_08875
ERR1912964.23530__1.23530	77917__A0A2P8EHG9__NCTC13121_01886
ERR1912964.23537__1.23537	1262761__R6R840__BN606_01433
ERR1912964.23665__1.23665	239935__A0A2N8HL50__CXT98_09135
ERR1912964.23670__1.23670	28026__C0BV24__DXC75_08705
ERR1912964.23883__1.23883	1263000__R5EFY3__BN466_01416
ERR1912964.23940__1.23940	821__A0A395UNT8__DXD64_15275
ERR1912964.23948__1.23948	1161942__baeS
ERR1912964.23979__1.23979	45851__D4S288__BHV86_04325
ERR1912964.24054__1.24054	33043__A0A173YPE0__thiD
ERR1912964.24276__1.24276	33043__D5HIK4__ERS852400_01112
ERR1912964.24427__1.24427	1235835__R9LCU2__C814_02677
ERR1912964.24451__1.24451	74426__groL
ERR1912964.24541__1.24541	33043__A8SWM2__ERS852575_01910
ERR1912964.24521__1.24521	1680__R5GZJ8__BSTER_1195
ERR1912964.24570__1.24570	1262911__R6H1B2__BN557_00840
ERR1912964.24751__1.24751	1262911__R6H2J2__BN557_01228
ERR1912964.24798__1.24798	1262948__R7EDA7__BN671_00036
ERR1912964.25156__1.25156	1161942__celD_2
ERR1912964.25183__1.25183	944036__A0A196S9J5__AV274_5314
ERR1912964.25347__1.25347	1262761__R6RU22__BN606_01110
ERR1912964.25400__1.25400	328814__GCA_004558275.1_00998
ERR1912964.25502__1.25502	239935__A0A2N8HUU6__CXT90_06150
ERR1912964.25557__1.25557	1263000__R5EJ27__BN466_01916
ERR1912964.25795__1.25795	487175__R5E7Z6__HMPREF9439_00332
ERR1912964.25826__1.25826	853__A0A2A7A628__CGS57_13755
ERR1912964.26042__1.26042	328814__GCA_004558275.1_00076
ERR1912964.26050__1.26050	239935__A0A139TVJ4__CXT86_02020
ERR1912964.26215__1.26215	1680__A0A087CWH8__ERS852382_00646
ERR1912964.26310__1.26310	239935__A0A2N8IKW7__pstA
ERR1912964.26330__1.26330	165179__D1PHV2__PREVCOP_06822
ERR1912964.26404__1.26404	1680__A0A174BEE7__BSTER_1311
ERR1912964.26494__1.26494	239935__A0A139TPG3__CXT86_08810
ERR1912964.26684__1.26684	1262961__R6E698__BN710_01517
ERR1912964.26778__1.26778	454154__G5SSX4__HMPREF9441_02474
ERR1912964.26809__1.26809	33043__D5HF09__ERS852575_02732
ERR1912964.26934__1.26934	39485__A0A1Q6PG30__ERS852492_00010
ERR1912964.26984__1.26984	239935__R6JD78__CXU05_09250
ERR1912964.27079__1.27079	239935__R6JFR5__CXT84_04850
ERR1912964.27215__1.27215	820__A0A374Q1D8__SAMN05444418_112114
ERR1912964.27374__1.27374	1262988__R7N4Z9__BN816_00543
ERR1912964.27441__1.27441	1897011__A0A1Q6RDV6__BHW41_05295
ERR1912964.27450__1.27450	165179__D1P8Q2__trpF
ERR1912964.27466__1.27466	239935__A0A2N8I694__CXU04_06245
ERR1912964.27584__1.27584	1897011__A0A1Q6RJI3__BHW41_00255
ERR1912964.27585__1.27585	106588__A6NUL8__BACCAP_01900
ERR1912964.27657__1.27657	216816__A0A083X5W4__HMPREF0177_01593
ERR1912964.27764__1.27764	106588__A6P303__BACCAP_04887
ERR1912964.27931__1.27931	1161942__baeS
ERR1912964.27957__1.27957	360807__A0A173VD35__suhB
ERR1912964.28080__1.28080	239935__A0A139TT05__CXU09_03335
ERR1912964.28189__1.28189	410072__A0A174PW62__DXD67_02115
ERR1912964.28448__1.28448	1897011__A0A1Q6RI93__BHW41_01175
ERR1912964.28455__1.28455	901__B6WUY7__DHV46_11425
ERR1912964.28610__1.28610	239935__A0A2N8HL50__CXT98_09135
ERR1912964.28817__1.28817	901__B6WQH5__DESPIG_00299
ERR1912964.28992__1.28992	46503__A7AG59__ERS852463_00349
ERR1912964.29159__1.29159	1965604__A0A1Y4EVJ2__B5F54_11240
ERR1912964.29173__1.29173	33043__A0A173X520__ERS852575_01617
ERR1912964.29177__1.29177	1680__A0A3E4SB79__BAD_1517
ERR1912964.29180__1.29180	853__D4K7X0__DW905_09540
ERR1912964.29302__1.29302	28118__F9Z7M2__B5F99_10065
ERR1912964.29278__1.29278	1161942__addA_3
ERR1912964.29402__1.29402	1262986__R5ZUV9__BN492_01330
ERR1912964.29612__1.29612	216816__C5EBT1__BLIF_1344
ERR1912964.29826__1.29826	239935__A0A2N8HQR1__Amuc_0287
ERR1912964.29924__1.29924	1660__S2Z6V4__hrpB
ERR1912964.30235__1.30235	1263000__R5ES99__BN466_01121
ERR1912964.30272__1.30272	301302__A0A0M6W9I4__M72_19871
ERR1912964.30428__1.30428	239935__A0A2N8IRH4__CXT92_05605
ERR1912964.30443__1.30443	239935__A0A2N8HBM4__CXT85_06270
ERR1912964.30498__1.30498	1680__A0A3E4SB79__BAD_1517
ERR1912964.30670__1.30670	1897011__A0A1Q6RI37__BHW41_00895
ERR1912964.30688__1.30688	1897011__A0A1Q6RI37__BHW41_00895
ERR1912964.30859__1.30859	33043__A0A173QUA9__ERS852400_01795
ERR1912964.30904__1.30904	1262825__R5EHP5__BN724_01707
ERR1912964.31071__1.31071	1262761__R6R5E1__BN606_01164
ERR1912964.31116__1.31116	1161942__cshA
ERR1912964.31262__1.31262	1263027__R6ZBW0__BN699_01452
ERR1912964.31759__1.31759	1262961__R6DYA6__BN710_00447
ERR1912964.31842__1.31842	1263027__R7A6G1__BN699_00047
ERR1912964.32161__1.32161	1628085__A0A396QC65__C7386_101113
ERR1912964.32189__1.32189	40520__A0A174HSN4__ltaS1_2
ERR1912964.32298__1.32298	1262986__R6AF33__BN492_00406
ERR1912964.32453__1.32453	944036__A0A196SBX7__AV274_3863
ERR1912964.32496__1.32496	33043__A0A174EI47__inlJ
ERR1912964.32523__1.32523	239935__A0A2N8HT44__CXT84_11035
ERR1912964.32609__1.32609	1262986__R6A297__BN492_00796
ERR1912964.32878__1.32878	1262746__R5SLM9__BN750_01953
ERR1912964.32882__1.32882	301302__R5UMB9__M72_25011
ERR1912964.32950__1.32950	239935__A0A2N8HZW2__A4V05_11120
ERR1912964.32959__1.32959	1680__R5GZF2__DXC60_01925
ERR1912964.33151__1.33151	1262945__R6YL13__BN600_00850
ERR1912964.33178__1.33178	360807__A0A1Q6T5B1__ERS852444_03147
ERR1912964.33347__1.33347	820__A0A174CK74__DXB48_07060
ERR1912964.33353__1.33353	33043__A0A174CPX4__ERS852386_02360
ERR1912964.33355__1.33355	853__A0A173YYY4__DWZ04_09420
ERR1912964.33356__1.33356	328814__GCA_004558275.1_00835
ERR1912964.33379__1.33379	33043__A0A173SQ62__ERS852575_01610
ERR1912964.33383__1.33383	33043__D5HIK4__ERS852400_01112
ERR1912964.33470__1.33470	1263000__R5ENX5__BN466_00466
ERR1912964.33591__1.33591	239935__A0A2N8IU45__DEF40_02365
ERR1912964.33615__1.33615	1263000__R5EGY6__BN466_00973
ERR1912964.34358__1.34358	46503__K5ZAK9__NCTC13052_03308
ERR1912964.34385__1.34385	944036__A0A196SI53__AV274_2307
ERR1912964.34422__1.34422	216816__D6DD25__APC1482_1109
ERR1912964.34639__1.34639	77917__A0A2P8EHG9__NCTC13121_01886
ERR1912964.34664__1.34664	1262915__R6IC65__BN574_01686
ERR1912964.35017__1.35017	1262761__R6QJJ2__BN606_00358
ERR1912964.35386__1.35386	33043__A8SWL7__ERS852386_02506
ERR1912964.35439__1.35439	901__B6WY11__DESPIGER_1484
ERR1912964.35614__1.35614	165179__A0A3E5E920__DXB80_11625
ERR1912964.35787__1.35787	239935__A0A2N8HMQ8__pgsA
ERR1912964.35869__1.35869	1262761__R6QUP0__BN606_01674
ERR1912964.35949__1.35949	301302__R5UVR7__ERS852420_00118
ERR1912964.36138__1.36138	33043__A0A174EI47__inlJ
ERR1912964.36208__1.36208	820__A0A173W419__DXC68_17760
ERR1912964.36358__1.36358	33043__D5HGR0__rpfC_2
ERR1912964.36621__1.36621	33043__D5HEY0__ERS852386_01426
ERR1912964.36647__1.36647	39496__A5Z5I2__EUBVEN_00963
ERR1912964.36727__1.36727	33043__A8SWM2__ERS852575_01910
ERR1912964.36746__1.36746	33043__A0A173WU55__ganB_2
ERR1912964.36781__1.36781	1262761__R6QS21__BN606_00301
ERR1912964.36914__1.36914	853__A0A174UDE9__C4N25_12775
ERR1912964.36968__1.36968	1262911__R6HJV5__BN557_00309
ERR1912964.37019__1.37019	239935__A0A2N8IFA0__CXT92_02050
ERR1912964.37191__1.37191	239935__R6JD78__CXU05_09250
ERR1912964.37364__1.37364	39492__D4JQM9__EUBSIR_00669
ERR1912964.37427__1.37427	1262700__R5XAQ8__BN695_00997
ERR1912964.37443__1.37443	106588__A6NUL8__BACCAP_01900
ERR1912964.37446__1.37446	1161942__celI_4
ERR1912964.37606__1.37606	239935__A0A2N8IMD6__CXU03_05585
ERR1912964.37635__1.37635	239935__A0A2N8IU14__ADH72_05655
ERR1912964.37637__1.37637	106588__A6NUL8__BACCAP_01900
ERR1912964.37761__1.37761	165179__A0A229I740__DXC61_10430
ERR1912964.37793__1.37793	165179__A0A229I1J2__DXB80_03950
ERR1912964.37900__1.37900	1262761__R6QW09__BN606_00873
ERR1912964.38039__1.38039	1262761__R6RNL8__BN606_00387
ERR1912964.38169__1.38169	239935__A0A2N8I5A2__DEF40_08455
ERR1912964.38233__1.38233	165179__A0A3E5E7J5__DXC61_10360
ERR1912964.38211__1.38211	33043__D5HH34__ERS852386_00170
ERR1912964.38215__1.38215	1680__A0A0C2YPV2__AL0462_1474
ERR1912964.38249__1.38249	239935__R7E524__CXT91_06180
ERR1912964.38660__1.38660	1150298__A0A174MLY5__ERS852498_01797
ERR1912964.38849__1.38849	216816__A0A083XVP2__HMPREF1315_0108
ERR1912964.38876__1.38876	1263000__R5ES99__BN466_01121
ERR1912964.38931__1.38931	216816__A0A0M0VKE6__BL0626
ERR1912964.39319__1.39319	165179__D1PDJ4__DXB80_08505
ERR1912964.39464__1.39464	165179__A0A3E5EAM5__DXC61_07785
ERR1912964.39578__1.39578	165179__A0A229I4J4__proA
ERR1912964.39798__1.39798	1680__R5GKP2__DXD60_06200
ERR1912964.39909__1.39909	239935__B2UQB8__CXT86_01740
ERR1912964.39968__1.39968	1262961__R6DSH9__BN710_01201
ERR1912964.40461__1.40461	1263027__R6ZI16__BN699_01371
ERR1912964.40485__1.40485	1965629__A0A1Y4BW56__B5F88_12000
ERR1912964.40524__1.40524	1263107__GCA_000436995.1_00066
ERR1912964.40501__1.40501	239935__A0A2N8HTZ8__CXU09_01270
ERR1912964.40819__1.40819	853__C7H7F5__DWZ46_01780
ERR1912964.40996__1.40996	853__A0A173TAZ8__DWZ46_14590
ERR1912964.41017__1.41017	165179__A0A174W369__PREVCOP_04548
ERR1912964.41048__1.41048	239935__R6JAS2__CXU02_10725
ERR1912964.41206__1.41206	165179__D1PDF6__DXB80_12430
ERR1912964.41881__1.41881	165179__R6BPK1__DXB80_04445
ERR1912964.42204__1.42204	28117__R7JIJ8__BHV66_01635
ERR1912964.42216__1.42216	239935__A0A2N8I3G2__CXT89_00720
ERR1912964.42440__1.42440	853__R6QDR1__C4N27_08170
ERR1912964.42608__1.42608	216816__D6DD25__APC1482_1109
ERR1912964.42815__1.42815	1262961__R6EMW7__BN710_01172
ERR1912964.42856__1.42856	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1912964.42937__1.42937	1161942__celI_5
ERR1912964.42993__1.42993	1897011__A0A1Q6RIP7__BHW41_00530
ERR1912964.43420__1.43420	1235835__R9LCU2__C814_02677
ERR1912964.43849__1.43849	944036__A0A196SIU9__AV274_2183
ERR1912964.43991__1.43991	239935__A0A139TQT9__Amuc_1197
ERR1912964.44074__1.44074	33043__D5HEE1__ERS852386_01671
ERR1912964.44088__1.44088	33043__D5HIK4__ERS852400_01112
ERR1912964.44282__1.44282	239935__A0A2N8HAQ1__DEF40_05290
ERR1912964.44378__1.44378	165179__A0A3E4SDC8__PREVCOP_05706
ERR1912964.44547__1.44547	165179__R6PU83__CFT61_14275
ERR1912964.44729__1.44729	33043__A0A174CV49__ERS852386_02395
ERR1912964.44788__1.44788	39486__R6TFT5__DXB36_01825
ERR1912964.44945__1.44945	33043__A0A173YEP6__ERS852575_00888
ERR1912964.45141__1.45141	33043__A0A173YSY7__tilS
ERR1912964.45260__1.45260	39485__C4Z0T2__ykvU
ERR1912964.45523__1.45523	1262761__R6RU22__BN606_01110
ERR1912964.45829__1.45829	1263000__R5ESM1__BN466_01440
ERR1912964.46128__1.46128	310298__B3JII2__BACCOP_01694
ERR1912964.46134__1.46134	78346__A0A087D3Y1__BRUM_1576
ERR1912964.46529__1.46529	165179__A0A3E4SDC8__PREVCOP_05706
ERR1912964.46602__1.46602	1262869__R7CTK3__BN625_00198
ERR1912964.46613__1.46613	745368__A0A1T4Y178__SAMN02745178_02628
ERR1912964.46787__1.46787	1262761__R6RU22__BN606_01110
ERR1912964.46954__1.46954	165179__D1PAV8__DXB80_13055
ERR1912964.47019__1.47019	239935__A0A139TPU7__CXT91_06575
ERR1912964.47103__1.47103	74426__group_4851
ERR1912964.47118__1.47118	239935__A0A2N8IUQ8__CXU09_01665
ERR1912964.47126__1.47126	246787__A0A0P0GJP1__BcellWH2_03982
ERR1912964.47143__1.47143	239935__A0A2N8I3G2__CXT89_00720
ERR1912964.47156__1.47156	33043__D5HH62__ERS852575_00121
ERR1912964.47210__1.47210	33043__A8SQU6__ERS852386_01237
ERR1912964.47448__1.47448	29361__B6FKH5__CLONEX_00621
ERR1912964.47632__1.47632	944036__A0A196SEQ5__AV274_2738
ERR1912964.47677__1.47677	165179__A0A3E4SDC8__PREVCOP_05706
ERR1912964.47690__1.47690	40518__R5DR96__RBATCC27255_01185
ERR1912964.47979__1.47979	239935__A0A3F3KBB8__CXU16_06755
ERR1912964.47986__1.47986	39496__A5Z5I2__EUBVEN_00963
ERR1912964.47995__1.47995	165179__D1PHV2__PREVCOP_06822
ERR1912964.48050__1.48050	1263000__R5ESM1__BN466_01440
ERR1912964.48111__1.48111	239935__A0A139TSG7__CXU17_09600
ERR1912964.48291__1.48291	674529__A0A174P761__SAMN05444400_106145
ERR1912964.48419__1.48419	1263027__R7A011__BN699_02150
ERR1912964.48432__1.48432	1735__B7C777__EUBIFOR_00024
ERR1912964.48560__1.48560	39492__D4JR31__EUBSIR_00106
ERR1912964.48869__1.48869	1262761__R6R744__BN606_01303
ERR1912964.49135__1.49135	1550024__G9RPC6__TQ39_05630
ERR1912964.49174__1.49174	239935__A0A2N8IMC9__CXU09_02095
