ERR1913306.253__1.253	821__A0A396F9T7__M097_3427
ERR1913306.5437__1.5437	387090__S0FBK4__BACCOPRO_01365
ERR1913306.5695__1.5695	357276__I9QBT7__BSEG_03340
ERR1913306.5906__1.5906	46228__V8CAH7__HMPREF1202_00795
ERR1913306.5918__1.5918	1501391__GCA_000786575.1_00056
ERR1913306.5933__1.5933	853__A0A2A7B1Y7__C7K05_11930
ERR1913306.5982__1.5982	291644__I8Y011__HMPREF1071_04228
ERR1913306.6321__1.6321	165179__D1PES9__DXB80_11585
ERR1913306.6441__1.6441	39491__A0A396FQV7__T1815_10751
ERR1913306.6644__1.6644	1262777__R5VJ33__BN512_01225
ERR1913306.6837__1.6837	820__A7V092__hldE
ERR1913306.7088__1.7088	853__A0A173TAZ8__DWZ46_14590
ERR1913306.7169__1.7169	28117__B0MU76__ALIPUT_00202
ERR1913306.7254__1.7254	1263000__R5EAZ0__BN466_00537
ERR1913306.7488__1.7488	2049043__A0A316MFH6__DBY37_15165
ERR1913306.7827__1.7827	165179__D1PDJ4__DXB80_08505
ERR1913306.8220__1.8220	33043__D5HIA8__ERS852575_01867
ERR1913306.8207__1.8207	165179__A0A3E4SEG4__DXC61_11235
ERR1913306.8292__1.8292	165179__A0A3E5DY64__CFT61_10025
ERR1913306.8270__1.8270	1535__A7VTI7__CLOLEP_01879
ERR1913306.8912__1.8912	2049043__A0A316MVV2__DBY37_06995
ERR1913306.8945__1.8945	371601__D7J3Z9__CW1_1788
ERR1913306.9198__1.9198	853__A0A173T0Y8__CGS54_07215
ERR1913306.9253__1.9253	1262533__GeneID:16385386
ERR1913306.9264__1.9264	165179__A0A3E5E3D6__DXC61_05750
ERR1913306.9350__1.9350	544645__A0A3E4TCP7__DXC42_06585
ERR1913306.9550__1.9550	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913306.9698__1.9698	1501391__GCA_000786575.1_00062
ERR1913306.9732__1.9732	1897011__A0A1Q6RBR7__BHW41_06875
ERR1913306.9904__1.9904	165179__D1P8V8__DXC61_01940
ERR1913306.10045__1.10045	33043__A0A173SQ62__ERS852575_01610
ERR1913306.9971__1.9971	33043__A0A374K1H3__ykoD_2
ERR1913306.10001__1.10001	28117__B0MXG8__ALIPUT_01814
ERR1913306.10157__1.10157	1263000__R5EYJ0__BN466_02095
ERR1913306.10315__1.10315	384638__B7AT21__BACPEC_01289
ERR1913306.10509__1.10509	33043__A0A173YEP6__ERS852575_00888
ERR1913306.10720__1.10720	28117__B0MY40__BHV66_05170
ERR1913306.11191__1.11191	1520815__A0A1I3QD82__SAMN02910435_01792
ERR1913306.11226__1.11226	33043__A0A173SS22__yceG
ERR1913306.11298__1.11298	216816__B3DRU6__DPC6323_0992
ERR1913306.11490__1.11490	1501391__GCA_000786575.1_00033
ERR1913306.11693__1.11693	33043__A0A173YUV6__ERS852386_00507
ERR1913306.11713__1.11713	28117__R7JH62__BHV66_05735
ERR1913306.11842__1.11842	33043__A8SV35__ERS852386_01106
ERR1913306.11785__1.11785	820__A0A173YYG4__evgS_3
ERR1913306.11964__1.11964	165179__A0A3E4SB95__DXC61_13455
ERR1913306.11985__1.11985	33043__A0A173YLD4__ERS852575_00535
ERR1913306.12061__1.12061	216816__A0A083XFS3__APC1472_0413
ERR1913306.12194__1.12194	28117__B0MU76__ALIPUT_00202
ERR1913306.12255__1.12255	853__A0A173TAZ8__DWZ46_14590
ERR1913306.12386__1.12386	165179__A0A3E5A832__DXC61_13685
ERR1913306.12429__1.12429	165179__A0A3E5E2C8__folA
ERR1913306.12638__1.12638	39485__C4Z355__ERS852490_01971
ERR1913306.12702__1.12702	33043__D5HIC8__vspIM
ERR1913306.12708__1.12708	28117__R7JIJ8__BHV66_01635
ERR1913306.12821__1.12821	291644__I9SZW4__HMPREF1071_02889
ERR1913306.12896__1.12896	853__C7H7F8__yccM_1
ERR1913306.13062__1.13062	1235835__R9LCU2__C814_02677
ERR1913306.13038__1.13038	1501391__GCA_000786575.1_00081
ERR1913306.13152__1.13152	28117__B0MTV0__BHV66_06395
ERR1913306.13236__1.13236	291644__R5JNC3__HMPREF1071_03576
ERR1913306.13247__1.13247	165179__A0A3E5E2B6__DXB80_02820
ERR1913306.13271__1.13271	165179__A0A229I443__DXB80_10950
ERR1913306.13507__1.13507	1262959__R5Y0H8__BN680_01375
ERR1913306.13574__1.13574	821__I9R3W6__DXC16_12455
ERR1913306.13672__1.13672	165179__A0A3E5E7D5__PREVCOP_03928
ERR1913306.13714__1.13714	165179__A0A3E5AI09__DXC61_05815
ERR1913306.13814__1.13814	820__A0A174CK74__DXB48_07060
ERR1913306.13827__1.13827	360807__A0A173WE18__prkC_2
ERR1913306.14199__1.14199	46228__V8BLJ0__DXD17_08675
ERR1913306.14264__1.14264	820__A0A139KG04__ERS852459_01249
ERR1913306.14772__1.14772	2049043__A0A316MZ91__DBY37_03760
ERR1913306.14780__1.14780	165179__A0A3E5DZ45__DXC61_02820
ERR1913306.14806__1.14806	626940__E8LCL8__DCQ00_09880
ERR1913306.14979__1.14979	1262911__R6H092__BN557_00938
ERR1913306.15115__1.15115	216816__E8MU45__DPC6316_1140
ERR1913306.15314__1.15314	39492__D4JWB3__EUBSIR_00040
ERR1913306.15408__1.15408	853__A0A173XRA8__CGS56_09290
ERR1913306.15508__1.15508	1535__A7VTN9__CLOLEP_01932
ERR1913306.15620__1.15620	1501391__GCA_000786575.1_00079
ERR1913306.15673__1.15673	301301__A0A395VAV8__ERS852391_02437
ERR1913306.15740__1.15740	214856__A0A175A6T5__ERS852447_02658
ERR1913306.15861__1.15861	823__A0A395YRX4__ERS852513_03444
ERR1913306.16016__1.16016	371601__I9UUC0__DXD80_12950
ERR1913306.16169__1.16169	33043__D5HI36__ERS852400_02168
ERR1913306.16322__1.16322	291644__I8Z5C0__HMPREF1532_00843
ERR1913306.16868__1.16868	28117__B0MXR4__BHV66_08025
ERR1913306.17206__1.17206	39485__A0A174ZNZ2__ERS852492_02345
ERR1913306.17367__1.17367	165179__D1PEQ5__PREVCOP_05711
ERR1913306.17430__1.17430	39492__D4JUJ6__ssuB_2
ERR1913306.17451__1.17451	40518__R5E7S2__RBL263_00671
ERR1913306.17533__1.17533	853__A0A2A7AXC8__C4N21_14120
ERR1913306.17686__1.17686	301302__A0A0M6WWK6__M72_13961
ERR1913306.17817__1.17817	291644__R5JSL7__HMPREF1071_01282
ERR1913306.17993__1.17993	165179__D1PAV8__DXB80_13055
ERR1913306.18036__1.18036	165179__D1PFV4__PREVCOP_06112
ERR1913306.18150__1.18150	1262736__R5Y733__BN496_00623
ERR1913306.18200__1.18200	1628085__A0A374VP93__C7386_10150
ERR1913306.18286__1.18286	1501391__GCA_000786575.1_00099
ERR1913306.18517__1.18517	165179__D1PHD6__DXC61_03380
ERR1913306.18642__1.18642	165179__A0A174K816__DXB80_12000
ERR1913306.18725__1.18725	165179__A0A3E5DN34__DXC61_07865
ERR1913306.18916__1.18916	818__A0A0P0FT56__BSIG_1453
ERR1913306.19462__1.19462	165179__A0A3E5E6S6__DXB80_07575
ERR1913306.19597__1.19597	1262886__R6Q824__BN563_00941
ERR1913306.19611__1.19611	384638__B7APR0__BACPEC_00666
ERR1913306.19678__1.19678	165179__A0A229I9X5__CFT61_01205
ERR1913306.19747__1.19747	357276__I9QBT7__BSEG_03340
ERR1913306.20189__1.20189	165179__A0A229I7F5__DXB80_02650
ERR1913306.20207__1.20207	33043__A0A174EI47__inlJ
ERR1913306.20271__1.20271	74426__infB
ERR1913306.20289__1.20289	33039__D4M149__ERS852390_03118
ERR1913306.20236__1.20236	1232426__group_1730
ERR1913306.20436__1.20436	28117__B0MWH8__BHV66_01330
ERR1913306.20564__1.20564	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913306.20636__1.20636	1501391__GCA_000786575.1_00116
ERR1913306.20598__1.20598	33043__A0A174EI47__inlJ
ERR1913306.20667__1.20667	33043__A0A173YLD4__ERS852575_00535
ERR1913306.20748__1.20748	1262911__R6GQM3__BN557_01245
ERR1913306.20870__1.20870	39488__C0EUW7__ERS852578_01381
ERR1913306.21070__1.21070	165179__D1PAJ7__PREVCOP_04222
ERR1913306.21106__1.21106	291644__R5JR56__HMPREF1532_03512
ERR1913306.21342__1.21342	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913306.22425__1.22425	165179__A0A3E5DZ45__DXC61_02820
ERR1913306.22442__1.22442	47678__A5ZHL2__DXB67_12495
ERR1913306.22630__1.22630	33043__A0A173YSY7__tilS
ERR1913306.22806__1.22806	214856__I3YPP0__ERS852447_01388
ERR1913306.22950__1.22950	165179__A0A229I443__DXB80_10950
ERR1913306.22996__1.22996	33043__D5HI50__smf
ERR1913306.23305__1.23305	165179__A0A3E5DZ45__DXC61_02820
ERR1913306.23537__1.23537	165179__A0A3E5E189__PREVCOP_06699
ERR1913306.23559__1.23559	33043__D5HFA1__ERS852400_02183
ERR1913306.23674__1.23674	33043__D5HIK4__ERS852400_01112
ERR1913306.24136__1.24136	2137880__A0A316NQX2__DBY21_08720
ERR1913306.24304__1.24304	216816__A0A1V8QFN0__HMPREF1315_0061
ERR1913306.24328__1.24328	33043__A0A174DVD4__prkC_7
ERR1913306.24423__1.24423	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913306.24546__1.24546	820__A7UYG6__M094_0070
ERR1913306.24688__1.24688	1262959__R5XXM4__BN680_00922
ERR1913306.24763__1.24763	214856__E4MF20__Alfi_0697
ERR1913306.24893__1.24893	1685__W6EXB4__B31L_1221
ERR1913306.25328__1.25328	28117__B0MT86__BHV66_02450
ERR1913306.25516__1.25516	46228__V8CAV6__addA
ERR1913306.25488__1.25488	165179__D1PB89__DXC61_08425
ERR1913306.25633__1.25633	371601__I9UPT6__B5E50_12390
ERR1913306.25939__1.25939	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913306.26096__1.26096	165179__A0A3E5DR10__DXC61_03505
ERR1913306.26265__1.26265	936548__J0SUB6__HMPREF1136_1660
ERR1913306.26395__1.26395	165179__D1PE06__DXC61_05975
ERR1913306.26333__1.26333	33043__A0A174D8D4__ERS852386_02537
ERR1913306.26501__1.26501	1262803__R6NL95__BN649_00814
ERR1913306.26535__1.26535	823__A6LHK0__M090_1297
ERR1913306.26683__1.26683	28117__B0MVL2__BHV66_01645
ERR1913306.26934__1.26934	291644__I9SS05__HMPREF1532_02661
ERR1913306.27236__1.27236	165179__R6CNX7__DXB80_02200
ERR1913306.27745__1.27745	820__A0A3E4W9D9__B5G17_12400
ERR1913306.27984__1.27984	1897011__A0A1Q6RGA1__BHW41_02610
ERR1913306.28136__1.28136	28117__B0MSL1__BHV66_06710
ERR1913306.28156__1.28156	818__A0A3E5HZF3__HMPREF2534_03697
ERR1913306.28157__1.28157	28118__R6F891__NCTC10826_02656
ERR1913306.28213__1.28213	1501391__GCA_000786575.1_00131
ERR1913306.28445__1.28445	40518__R5DVL2__penA
ERR1913306.28501__1.28501	2049043__A0A316MFS9__DBY37_16570
ERR1913306.28881__1.28881	39485__A0A174YMC1__recN
ERR1913306.28955__1.28955	28117__B0MTV5__BHV66_06415
ERR1913306.29382__1.29382	165179__A0A3E5A554__DXB80_13805
ERR1913306.29500__1.29500	33043__A0A173YQY3__ERS852445_01438
ERR1913306.29762__1.29762	28118__R6FY14__NCTC10826_00745
ERR1913306.30118__1.30118	39492__D4JUS6__accD5
ERR1913306.30160__1.30160	823__A6LB63__M095_1847
ERR1913306.30232__1.30232	626940__R6XU34__BN587_01654
ERR1913306.30437__1.30437	165179__A0A3E5DR10__DXC61_03505
ERR1913306.30446__1.30446	165179__A0A3E4S980__PREVCOP_04626
ERR1913306.30558__1.30558	1501391__GCA_000786575.1_00085
ERR1913306.30634__1.30634	387090__S0FBK4__BACCOPRO_01365
ERR1913306.30831__1.30831	165179__A0A3E5DN34__DXC61_07865
ERR1913306.30860__1.30860	39485__R5ZVC3__ERS852490_00250
ERR1913306.31035__1.31035	1263006__R6LXG0__BN515_01067
ERR1913306.31096__1.31096	1262911__R6GHG8__BN557_01301
ERR1913306.31477__1.31477	33043__A0A174AEP1__apr
ERR1913306.31712__1.31712	33043__D5HHF5__ERS852386_00025
ERR1913306.31831__1.31831	165179__A0A174W369__PREVCOP_04548
ERR1913306.31990__1.31990	39492__D4JR43__ERS852540_02379
ERR1913306.32060__1.32060	360807__C0FUR6__RIL183_24171
ERR1913306.32258__1.32258	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913306.32475__1.32475	165179__A0A3E5AE59__DXC61_12885
ERR1913306.32506__1.32506	1262736__R5YDL1__BN496_00744
ERR1913306.32574__1.32574	33043__A0A173ZEP9__araC_1
ERR1913306.33123__1.33123	626940__R6XYY7__DCQ00_03935
ERR1913306.33364__1.33364	165179__A0A174SA26__PREVCOP_05758
ERR1913306.33455__1.33455	745368__A0A1T4XC26__SAMN02745178_01685
ERR1913306.33521__1.33521	1501391__GCA_000786575.1_00068
ERR1913306.33716__1.33716	165179__A0A174W369__PREVCOP_04548
ERR1913306.33843__1.33843	371601__C3QVE5__CW1_1049
ERR1913306.34109__1.34109	28117__B0MUX7__ALIPUT_00918
ERR1913306.34221__1.34221	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913306.34307__1.34307	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913306.34416__1.34416	39485__A0A174YR99__ERS852492_00943
ERR1913306.34662__1.34662	39485__A0A174ZBK4__ERS852490_01585
ERR1913306.34854__1.34854	47678__R5UT79__ERS852558_03890
ERR1913306.34969__1.34969	28117__B0MT84__ALIPUT_00402
ERR1913306.34979__1.34979	1680__A0A0C2YPV2__AL0462_1474
ERR1913306.35236__1.35236	147206__GCF_000156215.1_01775
ERR1913306.35823__1.35823	626940__E8LFB8__HMPREF9443_01558
ERR1913306.35842__1.35842	33043__D5HGZ8__nnr
ERR1913306.35854__1.35854	357276__A0A0K2HNG3__HMPREF1064_03004
ERR1913306.36468__1.36468	28117__B0MWP2__ALIPUT_01468
ERR1913306.36547__1.36547	165179__R6C330__DXC61_04975
ERR1913306.36600__1.36600	823__D7ILK2__ERS852380_00031
ERR1913306.36678__1.36678	165179__D1PAJ7__PREVCOP_04222
ERR1913306.36803__1.36803	33043__D5HI05__ERS852400_02760
ERR1913306.37043__1.37043	2137880__A0A316NUD0__DBY21_06900
ERR1913306.37296__1.37296	165179__R6CNX7__DXB80_02200
ERR1913306.37512__1.37512	2293125__A0A374BIB7__DW917_16550
ERR1913306.37515__1.37515	165179__W1I4H6__DXB80_13655
ERR1913306.37614__1.37614	544645__A0A1U7L8K0__DXC42_08675
ERR1913306.37705__1.37705	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913306.37785__1.37785	1262911__R6GKW2__BN557_01379
ERR1913306.37936__1.37936	853__C7H1R8__DW905_06675
ERR1913306.37967__1.37967	853__A0A173T751__C4N24_10280
ERR1913306.38060__1.38060	1628085__A0A3E2Y462__C7386_1246
ERR1913306.38089__1.38089	33043__A0A174DVD4__prkC_7
ERR1913306.38178__1.38178	165179__A0A3E5E643__DXB80_06030
ERR1913306.38275__1.38275	626940__E8LFF6__BHW43_06155
ERR1913306.38307__1.38307	165179__D1PDJ4__DXB80_08505
ERR1913306.38623__1.38623	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913306.38716__1.38716	28117__B0MZ50__ALIPUT_02424
ERR1913306.39019__1.39019	1263109__GCA_000438135.1_01593
ERR1913306.39078__1.39078	165179__A0A3E5EB26__CFT61_02800
ERR1913306.39144__1.39144	556259__I0PYM3__BSGG_5385
ERR1913306.39294__1.39294	853__A0A2A7B1Y7__C7K05_11930
ERR1913306.39314__1.39314	291644__I8Y011__HMPREF1071_04228
ERR1913306.39317__1.39317	821__A0A3E4WAR6__DXD64_10735
ERR1913306.39436__1.39436	1262911__R6HIV6__BN557_01807
ERR1913306.39451__1.39451	165179__A0A3E4SEG4__DXC61_11235
ERR1913306.39482__1.39482	1262886__R6QCG3__BN563_00145
ERR1913306.39661__1.39661	28117__B0MU76__ALIPUT_00202
ERR1913306.40037__1.40037	214856__A0A173YE57__ERS852559_00126
ERR1913306.40206__1.40206	329854__A0A3E4IFR4__DXD27_22685
ERR1913306.40209__1.40209	165179__A0A3E4S980__PREVCOP_04626
ERR1913306.40258__1.40258	301302__A0A173T010__M72_26571
ERR1913306.40299__1.40299	820__A0A139KJ23__celCCA
ERR1913306.40505__1.40505	33043__A0A173WU55__ganB_2
ERR1913306.40816__1.40816	47678__R5UBT0__CGC64_12195
ERR1913306.40960__1.40960	544645__A0A3E4TGB7__DXC42_03705
ERR1913306.40994__1.40994	1262959__R5YVJ9__BN680_01667
ERR1913306.41013__1.41013	165179__A0A3E5EDV6__DXC61_03365
ERR1913306.41300__1.41300	33043__D5HI39__baeS_1
ERR1913306.41374__1.41374	357276__I9QBT7__BSEG_03340
ERR1913306.41384__1.41384	1262959__R5Y157__BN680_01625
ERR1913306.41632__1.41632	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913306.42001__1.42001	820__A0A139KG04__ERS852459_01249
ERR1913306.42434__1.42434	2173__A0A1D2WTS0__BK798_08640
ERR1913306.42519__1.42519	28117__B0MT73__ALIPUT_00412
ERR1913306.42540__1.42540	165179__D1PCU4__PREVCOP_05029
ERR1913306.42558__1.42558	1501391__GCA_000786575.1_00074
ERR1913306.42997__1.42997	2173__A0A1D2WTF2__METSMIALI_00289
ERR1913306.43080__1.43080	1378168__V2YA11__N510_02528
ERR1913306.43200__1.43200	40518__R5E6K5__speA
ERR1913306.43255__1.43255	28117__B0MXR1__BHV66_08035
ERR1913306.43406__1.43406	28118__F9Z5M3__B5F93_14990
ERR1913306.43483__1.43483	33043__A0A374K1H3__ykoD_2
ERR1913306.43500__1.43500	165179__A0A3E5DRF6__DXC61_00200
ERR1913306.43759__1.43759	387090__S0F8B2__BACCOPRO_02129
ERR1913306.43781__1.43781	165179__A0A3E5DWZ6__DXC61_10880
ERR1913306.44076__1.44076	1263109__GCA_000438135.1_01150
ERR1913306.44436__1.44436	165179__D1PAJ7__PREVCOP_04222
ERR1913306.44566__1.44566	39485__C4Z0G6__spoIVB
ERR1913306.44653__1.44653	165179__A0A3E5DV57__DXB80_11400
ERR1913306.44742__1.44742	820__A0A374Q8T2__DXB64_16190
ERR1913306.44896__1.44896	820__R9I3N4__M093_0061
ERR1913306.45315__1.45315	1501391__GCA_000786575.1_00129
ERR1913306.45369__1.45369	1262959__R5YCS6__BN680_00073
ERR1913306.45598__1.45598	28116__A0A1Y4P7B7__M088_2098
ERR1913306.45659__1.45659	246787__A0A0P0GR24__BcellWH2_03263
ERR1913306.45828__1.45828	33043__D5HHY4__luxQ_1
ERR1913306.45874__1.45874	47678__A5ZG68__ERS852494_02968
ERR1913306.46014__1.46014	545__A0A078LDJ0__AM352_23385
ERR1913306.46217__1.46217	165179__A0A3E5ED28__PREVCOP_06655
ERR1913306.46388__1.46388	2049043__A0A316MYE9__DBY37_04475
ERR1913306.46390__1.46390	46228__V8BYF1__HMPREF1202_02029
ERR1913306.46572__1.46572	39486__G1WPY4__DXD82_02995
ERR1913306.47269__1.47269	544645__A0A3E4T962__DXC42_08310
ERR1913306.47304__1.47304	291644__R5IZM2__HMPREF1071_04522
ERR1913306.47515__1.47515	820__A0A374QGD2__ERS852421_02382
ERR1913306.47563__1.47563	1501391__GCA_000786575.1_00148
ERR1913306.47603__1.47603	165179__D1PDF6__DXB80_12430
ERR1913306.47622__1.47622	165179__A0A3E5DZA5__DXB80_12550
ERR1913306.47678__1.47678	28117__B0MYW7__ALIPUT_02336
ERR1913306.47840__1.47840	1501391__GCA_000786575.1_00082
ERR1913306.48114__1.48114	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913306.48142__1.48142	823__D7IPM3__DER51_17585
ERR1913306.48210__1.48210	47678__R5UA23__C5Z00_15610
ERR1913306.48363__1.48363	33043__A0A174A113__ERS852445_00416
ERR1913306.48374__1.48374	39778__A0A134C0X1__HMPREF1867_00975
ERR1913306.48506__1.48506	28117__B0MY41__BHV66_05165
ERR1913306.48516__1.48516	454155__F3QSU2__HMPREF9442_01256
ERR1913306.48657__1.48657	33968__A0A062XPN8__BMS71_02740
ERR1913306.48696__1.48696	2293125__A0A374BIB7__DW917_16550
ERR1913306.48698__1.48698	820__A0A374MMF0__HMPREF1073_03811
ERR1913306.48780__1.48780	165179__D1PEW8__DXB80_13775
ERR1913306.48870__1.48870	33043__A0A173YSY7__tilS
ERR1913306.48921__1.48921	1501391__GCA_000786575.1_00060
ERR1913306.48923__1.48923	2049043__A0A316ML57__DBY37_12305
ERR1913306.49186__1.49186	40518__R5DYM0__DXD86_08165
ERR1913306.49145__1.49145	165179__D1PGU8__PREVCOP_06463
ERR1913306.49202__1.49202	165179__A0A174W369__PREVCOP_04548
ERR1913306.49215__1.49215	33043__D5HF29__eglS_1
ERR1913306.49332__1.49332	165179__D1PAJ7__PREVCOP_04222
ERR1913306.49370__1.49370	165179__A0A3E5DY64__CFT61_10025
ERR1913306.49430__1.49430	47678__A5ZEP5__CGC64_03450
ERR1913306.49483__1.49483	626940__R6X1L5__HMPREF9443_00059
ERR1913306.49441__1.49441	33043__A0A173WCG7__ERS852575_01602
ERR1913306.49460__1.49460	2173__A0A1D2WU48__Msm_1454
ERR1913306.49540__1.49540	165179__A0A3E5E3D6__DXC61_05750
ERR1913306.49626__1.49626	165179__A0A3E5DX15__DXC61_00345
ERR1913306.49825__1.49825	28117__B0MU53__ALIPUT_00569
ERR1913306.49885__1.49885	2173__A0A1D2WTS0__BK798_08640
ERR1913306.49956__1.49956	216816__A0A0A0UDU9__BL1246
ERR1913306.50228__1.50228	39485__A0A174YNF6__lytR_1
ERR1913306.50467__1.50467	28117__B0MVL2__BHV66_01645
ERR1913306.50583__1.50583	33043__A0A174E9K7__sigF_1
ERR1913306.50606__1.50606	1501391__GCA_000786575.1_00146
ERR1913306.50768__1.50768	544645__A0A1U7L9B0__DXC42_03910
ERR1913306.50795__1.50795	1262959__R5XW19__BN680_01841
ERR1913306.51013__1.51013	33043__A0A173YEP6__ERS852575_00888
ERR1913306.51212__1.51212	1262889__R7HGV8__BN634_01881
ERR1913306.51244__1.51244	820__A0A174NUS8__DXC80_12885
ERR1913306.51249__1.51249	626940__R6WNR3__DCQ00_05790
ERR1913306.51301__1.51301	216816__A0A396FRQ5__DD678_01245
ERR1913306.51449__1.51449	165179__A0A3E5A554__DXB80_13805
ERR1913306.51782__1.51782	1535__A7VNP7__CH238_15000
ERR1913306.51855__1.51855	165179__A0A174SR12__DXB80_04410
ERR1913306.52005__1.52005	165179__A0A229I6N7__DXC61_06720
ERR1913306.52006__1.52006	165179__A0A3E5E920__DXB80_11625
ERR1913306.52141__1.52141	28117__B0MT73__ALIPUT_00412
ERR1913306.52237__1.52237	823__A6LHK0__M090_1297
ERR1913306.52285__1.52285	2137880__A0A316P2F3__DBY21_01145
ERR1913306.52571__1.52571	823__A0A173V751__DXD05_02690
ERR1913306.52635__1.52635	33043__A0A173RQ80__ERS852445_02211
ERR1913306.52753__1.52753	165179__D1P9T6__PREVCOP_04016
ERR1913306.52735__1.52735	165179__R6C3K4__PREVCOP_05795
ERR1913306.53142__1.53142	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913306.53214__1.53214	33043__A0A374K1H3__ykoD_2
ERR1913306.53596__1.53596	33043__D5HDZ9__ERS852386_00394
ERR1913306.53633__1.53633	165179__A0A174W369__PREVCOP_04548
ERR1913306.53609__1.53609	1262911__R6HHR1__BN557_01622
ERR1913306.53918__1.53918	338188__A0A1Q6HAT8__HMPREF1057_02069
ERR1913306.53974__1.53974	329854__R5MR15__BACINT_04809
ERR1913306.54565__1.54565	33043__A0A173X520__ERS852575_01617
ERR1913306.54580__1.54580	33043__A0A173X520__ERS852575_01617
ERR1913306.54619__1.54619	33043__D5HJ22__ERS852575_02302
ERR1913306.54648__1.54648	165179__R6C5D6__PREVCOP_04658
ERR1913306.54742__1.54742	47678__R5UME6__BACCAC_01239
ERR1913306.54920__1.54920	246787__A0A0P0GG59__BcellWH2_02752
ERR1913306.55022__1.55022	165179__A0A3E5DV57__DXB80_11400
ERR1913306.55177__1.55177	2049043__A0A316N439__DBY37_02510
