ERR1913205.32__1.32	649756__D4MXW8__gpr
ERR1913205.8386__1.8386	214856__R5UN64__ERS852447_02669
ERR1913205.8455__1.8455	270498__A0A0M2NIP9__AR437_01215
ERR1913205.8489__1.8489	47678__A5ZB44__C5Z00_17730
ERR1913205.8526__1.8526	1262882__A0A356PSJ4__BN519_01180
ERR1913205.8630__1.8630	214856__R6Y7P0__ERS852447_00307
ERR1913205.8744__1.8744	1262882__R5MEK3__BN519_00296
ERR1913205.8748__1.8748	1501391__GCA_000786575.1_00115
ERR1913205.8756__1.8756	1501391__GCA_000786575.1_00123
ERR1913205.8845__1.8845	239935__A0A2N8IMC3__CXT96_03840
ERR1913205.9012__1.9012	214856__I3YPR2__Alfi_2720
ERR1913205.9134__1.9134	556259__E5C609__BSGG_0172
ERR1913205.9174__1.9174	1262882__R5MKF5__BN519_00316
ERR1913205.9187__1.9187	853__A0A2A7B1Y7__C7K05_11930
ERR1913205.9383__1.9383	239935__A0A2N8IVR0__CXT87_07115
ERR1913205.9467__1.9467	818__A0A0P0F2P7__BT_1771
ERR1913205.9745__1.9745	214856__R6Y6H8__ERS852447_01719
ERR1913205.9877__1.9877	214856__I3YPQ6__Alfi_2714
ERR1913205.10006__1.10006	1262882__R5MYI1__BN519_00416
ERR1913205.10090__1.10090	214856__I3YPQ4__Alfi_2712
ERR1913205.10055__1.10055	214856__I3YPN3__ERS852447_01395
ERR1913205.10231__1.10231	214856__I3YPN3__ERS852447_01395
ERR1913205.10191__1.10191	1262882__R5MRS7__BN519_01490
ERR1913205.10202__1.10202	1262882__R5MGS8__BN519_00565
ERR1913205.10283__1.10283	214856__I3YMC8__ERS852447_02666
ERR1913205.10438__1.10438	853__A0A173XRA8__CGS56_09290
ERR1913205.10474__1.10474	47678__R5U978__ERS852558_01076
ERR1913205.10720__1.10720	214856__R6YD52__ERS852447_02171
ERR1913205.10858__1.10858	214856__R6XP73__ERS852447_00886
ERR1913205.10959__1.10959	1501391__GCA_000786575.1_00015
ERR1913205.11012__1.11012	1262911__R6HJS5__BN557_00288
ERR1913205.11166__1.11166	47678__R5UER2__CGC64_00710
ERR1913205.11138__1.11138	214856__R6YD52__ERS852447_02171
ERR1913205.11241__1.11241	487174__K0XK83__HMPREF9448_01485
ERR1913205.11299__1.11299	1262882__R5N4I8__BN519_01293
ERR1913205.11351__1.11351	214856__A0A174ZED5__ERS852559_00591
ERR1913205.11370__1.11370	214856__R6XQX8__ERS852559_02550
ERR1913205.11508__1.11508	214856__A0A174EQR4__rsmA
ERR1913205.11444__1.11444	214856__A0A173Z1B0__ERS852447_00765
ERR1913205.11642__1.11642	214856__A0A173ZUI6__ERS852447_00955
ERR1913205.11689__1.11689	1262882__R5N532__BN519_01420
ERR1913205.12042__1.12042	214856__I3YPP0__ERS852447_01388
ERR1913205.12326__1.12326	214856__R6XKW1__ERS852559_01141
ERR1913205.12485__1.12485	214856__I3YPP3__Alfi_2701
ERR1913205.12470__1.12470	1501391__GCA_000786575.1_00080
ERR1913205.12670__1.12670	214856__R6Y0B9__ERS852559_00164
ERR1913205.12678__1.12678	1262882__R5N004__BN519_00490
ERR1913205.12746__1.12746	1897011__A0A1Q6RI31__BHW41_00965
ERR1913205.12883__1.12883	1262911__R6HGD7__BN557_00108
ERR1913205.12848__1.12848	214856__I3YPP1__Alfi_2699
ERR1913205.12910__1.12910	649756__D4MW63__DCR88_07570
ERR1913205.13009__1.13009	47678__R5U7X8__C5Z00_18270
ERR1913205.13251__1.13251	39491__A0A173SH34__EUR_24920
ERR1913205.13342__1.13342	1628085__A0A1C6BMM1__C7386_11221
ERR1913205.13332__1.13332	1262882__R5MEK3__BN519_00296
ERR1913205.13423__1.13423	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913205.13478__1.13478	239935__A0A2N8HBM4__CXT85_06270
ERR1913205.13503__1.13503	214856__I3YPP9__Alfi_2707
ERR1913205.13543__1.13543	301302__R5ULQ3__ERS852420_02626
ERR1913205.13650__1.13650	214856__I3YPN9__ERS852447_01389
ERR1913205.13678__1.13678	1262882__R5MMY3__BN519_00724
ERR1913205.13811__1.13811	214856__R6YC22__ERS852447_01215
ERR1913205.14003__1.14003	214856__R6Z288__ERS852447_00734
ERR1913205.14045__1.14045	1262882__R5MXS6__BN519_00286
ERR1913205.14398__1.14398	239935__A0A2N8IXN0__CXT95_01765
ERR1913205.14413__1.14413	214856__R5UN64__ERS852447_02669
ERR1913205.14462__1.14462	214856__I3YPI7__pepD_1
ERR1913205.14527__1.14527	88431__A6BDR0__DXB16_07995
ERR1913205.14723__1.14723	1262882__R5MZZ3__BN519_00482
ERR1913205.14747__1.14747	214856__A0A173YXX1__ERS852559_01651
ERR1913205.14861__1.14861	1235835__R9LCU2__C814_02677
ERR1913205.14933__1.14933	214856__A0A175A6T5__ERS852447_02658
ERR1913205.14953__1.14953	1262882__R5MYX5__BN519_00333
ERR1913205.14957__1.14957	239935__B2UQP8__CXU15_01110
ERR1913205.15168__1.15168	853__A0A173XRA8__CGS56_09290
ERR1913205.15136__1.15136	214856__R6Z320__ERS852447_02148
ERR1913205.15240__1.15240	214856__I3YPQ0__ERS852447_01379
ERR1913205.15374__1.15374	39492__D4JQM9__EUBSIR_00669
ERR1913205.15330__1.15330	328814__GCA_004558275.1_00236
ERR1913205.15527__1.15527	214856__R6Y6H8__ERS852447_01719
ERR1913205.15539__1.15539	47678__R5U3L4__C5Z00_12600
ERR1913205.15548__1.15548	487174__K0WR72__HMPREF9448_02610
ERR1913205.15678__1.15678	1262882__R5MSX6__BN519_01697
ERR1913205.15874__1.15874	214856__I3YPP3__Alfi_2701
ERR1913205.16033__1.16033	214856__I3YMC8__ERS852447_02666
ERR1913205.16227__1.16227	214856__I3YPP9__Alfi_2707
ERR1913205.16196__1.16196	214856__R6Y6H8__ERS852447_01719
ERR1913205.16320__1.16320	649756__L1QAR3__CL2_07970
ERR1913205.16391__1.16391	214856__I3YK71__ERS852559_02472
ERR1913205.16580__1.16580	1262743__R5C054__BN727_01980
ERR1913205.16661__1.16661	1501391__GCA_000786575.1_00137
ERR1913205.16744__1.16744	47678__R5U9X5__BACCAC_01339
ERR1913205.16719__1.16719	239935__A0A2N8J1K0__CXT97_05765
ERR1913205.16764__1.16764	1262882__R5N3T7__BN519_01188
ERR1913205.16822__1.16822	214856__I3YPP0__ERS852447_01388
ERR1913205.16860__1.16860	239935__A0A2N8HT44__CXT84_11035
ERR1913205.16900__1.16900	1262882__R5MFM2__BN519_00460
ERR1913205.17145__1.17145	410072__A0A173YNZ0__ERS852481_00766
ERR1913205.17192__1.17192	214856__R6XKT4__ERS852559_01719
ERR1913205.17421__1.17421	214856__I3YPP0__ERS852447_01388
ERR1913205.17381__1.17381	39492__D4JUD7__EUBSIR_01877
ERR1913205.17581__1.17581	214856__A0A174EQR4__rsmA
ERR1913205.17585__1.17585	328813__A0A1Y3QZ64__B5G41_14235
ERR1913205.17614__1.17614	1628085__A0A3E2Y1L0__C7386_11254
ERR1913205.17778__1.17778	214856__I3YPQ4__Alfi_2712
ERR1913205.17847__1.17847	47678__A5ZB44__C5Z00_17730
ERR1913205.17856__1.17856	39492__D4JTI1__EUBSIR_01463
ERR1913205.17879__1.17879	214856__A0A173YXX1__ERS852559_01651
ERR1913205.18060__1.18060	823__A6LFW2__M095_1860
ERR1913205.18298__1.18298	214856__I3YPQ3__Alfi_2711
ERR1913205.18299__1.18299	1501391__GCA_000786575.1_00128
ERR1913205.18377__1.18377	214856__I3YPP9__Alfi_2707
ERR1913205.18449__1.18449	1262911__R6H174__BN557_01246
ERR1913205.18485__1.18485	214856__R6XS46__ERS852559_00812
ERR1913205.18622__1.18622	214856__A0A175A6T5__ERS852447_02658
ERR1913205.18654__1.18654	487174__K0WWY0__DIT83_10195
ERR1913205.18764__1.18764	214856__R6XS46__ERS852559_00812
ERR1913205.18765__1.18765	1501391__GCA_000786575.1_00077
ERR1913205.18793__1.18793	328813__A0A1Y3QQ66__B5G41_14240
ERR1913205.18861__1.18861	1262882__R5MYP8__BN519_00439
ERR1913205.18872__1.18872	214856__A0A174H6R3__ERS852447_02809
ERR1913205.18812__1.18812	239935__R7DVL7__CXT93_01180
ERR1913205.18896__1.18896	214856__A0A173YXX1__ERS852559_01651
ERR1913205.18991__1.18991	214856__R6Z288__ERS852447_00734
ERR1913205.18993__1.18993	39485__C4Z6J7__ERS852492_02047
ERR1913205.19070__1.19070	818__Q8A335__HMPREF2534_01154
ERR1913205.19206__1.19206	214856__R6XKW1__ERS852559_01141
ERR1913205.19393__1.19393	239935__A0A2N8ITX2__CXT86_11265
ERR1913205.19511__1.19511	214856__R6XTZ7__ERS852447_02314
ERR1913205.19569__1.19569	239935__A0A2N8IYM5__CXT84_05130
ERR1913205.19588__1.19588	1262882__R5MKL9__BN519_00353
ERR1913205.19658__1.19658	1628085__A0A3E2XRQ2__C7386_10552
ERR1913205.19856__1.19856	214856__I3YMN6__Alfi_1938
ERR1913205.20118__1.20118	214856__R6XS46__ERS852559_00812
ERR1913205.20131__1.20131	214856__R6Z7Q9__ERS852447_02172
ERR1913205.20141__1.20141	214856__A0A173YDP1__ERS852559_00120
ERR1913205.20158__1.20158	214856__I3YPQ3__Alfi_2711
ERR1913205.20168__1.20168	1262882__R5MMD8__BN519_01576
ERR1913205.20192__1.20192	47678__A5ZF31__DXB67_11050
ERR1913205.20351__1.20351	487174__K0X0F6__HMPREF9448_01444
ERR1913205.20371__1.20371	1262882__R5MT08__BN519_01706
ERR1913205.20395__1.20395	239935__A0A2N8IMD6__CXU03_05585
ERR1913205.20599__1.20599	1262882__R5MKF5__BN519_00316
ERR1913205.20693__1.20693	239935__A0A139TQT9__Amuc_1197
ERR1913205.20700__1.20700	818__C6IEU8__BSIG_0269
ERR1913205.20713__1.20713	1262992__R5D0E5__BN795_01570
ERR1913205.20791__1.20791	818__R7KV41__Btheta7330_04616
ERR1913205.20839__1.20839	487174__K0X789__DIT83_10440
ERR1913205.20994__1.20994	487174__K0XH97__HMPREF9448_01909
ERR1913205.21286__1.21286	214856__A0A173YXX1__ERS852559_01651
ERR1913205.21528__1.21528	357276__A0A0K2HDP3__IY41_00705
ERR1913205.21609__1.21609	239935__A0A2N8IHY1__CXU06_00035
ERR1913205.21613__1.21613	214856__I3YPI7__pepD_1
ERR1913205.21617__1.21617	1262882__R5MRT2__BN519_01494
ERR1913205.21714__1.21714	214856__A0A174ZJU0__ERS852559_00619
ERR1913205.21746__1.21746	214856__I3YK71__ERS852559_02472
ERR1913205.22097__1.22097	328814__GCA_004558275.1_00987
ERR1913205.22259__1.22259	239935__A0A2N8IRL2__CXU06_01170
ERR1913205.22307__1.22307	1501391__GCA_000786575.1_00119
ERR1913205.22493__1.22493	214856__R6Z288__ERS852447_00734
ERR1913205.22511__1.22511	214856__A0A175A6T5__ERS852447_02658
ERR1913205.22707__1.22707	1262882__R5MND9__BN519_00831
ERR1913205.22795__1.22795	214856__I3YPQ9__ERS852447_01370
ERR1913205.22850__1.22850	214856__I3YPQ4__Alfi_2712
ERR1913205.22856__1.22856	47678__R5U7A9__C5Z00_03635
ERR1913205.23012__1.23012	1897011__A0A1Q6RDI4__BHW41_05605
ERR1913205.23098__1.23098	214856__I3YPQ8__ERS852447_01371
ERR1913205.23199__1.23199	291645__I8WZT8__HMPREF1068_04327
ERR1913205.23276__1.23276	239935__A0A2N8ITX2__CXT86_11265
ERR1913205.23250__1.23250	1262882__R5N1V0__BN519_00816
ERR1913205.23265__1.23265	1262882__R5N526__BN519_01603
ERR1913205.23349__1.23349	214856__I3YPP0__ERS852447_01388
ERR1913205.23498__1.23498	47678__A5ZB44__C5Z00_17730
ERR1913205.23849__1.23849	1628085__A0A374VS54__C7386_101156
ERR1913205.23808__1.23808	328813__A0A1Y3QXE7__B5G41_03065
ERR1913205.23865__1.23865	39492__D4JWT3__ERS852540_00301
ERR1913205.23872__1.23872	853__A8SGX8__C4N21_08625
ERR1913205.23930__1.23930	487174__K0X353__DIT83_07800
ERR1913205.24148__1.24148	214856__A0A174CRY5__ERS852559_01060
ERR1913205.24157__1.24157	487174__R5G1E8__DIT83_00510
ERR1913205.24369__1.24369	301302__A0A173S3L8__vpr
ERR1913205.24392__1.24392	1204385__GCA_002148365.1_03409
ERR1913205.24423__1.24423	214856__I3YPQ0__ERS852447_01379
ERR1913205.24456__1.24456	301302__A0A173T010__M72_26571
ERR1913205.24868__1.24868	214856__R6Z288__ERS852447_00734
ERR1913205.25000__1.25000	1235835__R9LCU2__C814_02677
ERR1913205.25167__1.25167	214856__I3YMN6__Alfi_1938
ERR1913205.25172__1.25172	214856__R6XUN2__rcsC_1
ERR1913205.25180__1.25180	649756__A0A173TJC0__DO83_00275
ERR1913205.25271__1.25271	214856__I3YPN0__ERS852447_01398
ERR1913205.25273__1.25273	853__A0A173XRA8__CGS56_09290
ERR1913205.25287__1.25287	47678__R5U7P3__DXB67_08985
ERR1913205.25369__1.25369	39496__A5Z8N9__EUBVEN_02081
ERR1913205.25519__1.25519	214856__I3YPN0__ERS852447_01398
ERR1913205.25552__1.25552	1262882__R5N0C3__BN519_00731
ERR1913205.25817__1.25817	301302__A0A0M6WH46__M72_23101
ERR1913205.25819__1.25819	214856__R6Z288__ERS852447_00734
ERR1913205.25862__1.25862	39492__D4JRM9__bglB_2
ERR1913205.25865__1.25865	1262882__R5N211__BN519_01033
ERR1913205.25959__1.25959	1262882__R5N4P6__BN519_01346
ERR1913205.26063__1.26063	1262882__R5MEK3__BN519_00296
ERR1913205.26132__1.26132	487174__K0X455__HMPREF9448_00399
ERR1913205.26172__1.26172	214856__I3YMC8__ERS852447_02666
ERR1913205.26177__1.26177	39492__D4JT87__clpC
ERR1913205.26241__1.26241	214856__R6Z7Q9__ERS852447_02172
ERR1913205.26299__1.26299	214856__R6Z5D0__resA_4
ERR1913205.26337__1.26337	214856__A0A174AYS4__ERS852447_01192
ERR1913205.26361__1.26361	39492__D4JUS6__accD5
ERR1913205.26408__1.26408	214856__I3YMC8__ERS852447_02666
ERR1913205.26551__1.26551	487174__K0WY34__DDY40_07435
ERR1913205.26613__1.26613	1262882__R5MEI8__BN519_00283
ERR1913205.26648__1.26648	214856__R5UN64__ERS852447_02669
ERR1913205.26719__1.26719	214856__R6Z3P8__ERS852559_01737
ERR1913205.27007__1.27007	214856__I3YPP0__ERS852447_01388
ERR1913205.27048__1.27048	487174__K0XA48__DDY40_03955
ERR1913205.27187__1.27187	1235835__R9LCU2__C814_02677
ERR1913205.27196__1.27196	301302__A0A0M6WH46__M72_23101
ERR1913205.27207__1.27207	818__A0A0N7I9M6__Btheta7330_00939
ERR1913205.27263__1.27263	1262882__R5MIY9__BN519_01097
ERR1913205.27286__1.27286	1262882__R5MND9__BN519_00831
ERR1913205.27355__1.27355	1262882__R5MJ49__BN519_01124
ERR1913205.27513__1.27513	39492__D4JV38__EUBSIR_01205
ERR1913205.27543__1.27543	1501391__GCA_000786575.1_00024
ERR1913205.27620__1.27620	239935__A0A2N8J2P6__ADH72_06730
ERR1913205.27740__1.27740	214856__R6XKT4__ERS852559_01719
ERR1913205.27749__1.27749	1501391__GCA_000786575.1_00017
ERR1913205.27867__1.27867	214856__A0A174EJT5__mnmA
ERR1913205.27870__1.27870	1262882__R5N1Z9__BN519_01020
ERR1913205.27871__1.27871	214856__R6XS46__ERS852559_00812
ERR1913205.27878__1.27878	301302__R5UJR5__M72_06371
ERR1913205.27920__1.27920	239935__A0A2N8ITX2__CXT86_11265
ERR1913205.28132__1.28132	214856__I3YPP0__ERS852447_01388
ERR1913205.28193__1.28193	1235835__R9LCU2__C814_02677
ERR1913205.28264__1.28264	487174__K0X4F7__DDY40_08055
ERR1913205.28490__1.28490	214856__R6XP73__ERS852447_00886
ERR1913205.28570__1.28570	487174__K0X3L3__DDY40_11345
ERR1913205.28584__1.28584	1501391__GCA_000786575.1_00008
ERR1913205.28728__1.28728	1501391__GCA_000786575.1_00074
ERR1913205.28854__1.28854	214856__R6Y2Y4__ERS852447_01086
ERR1913205.28899__1.28899	214856__R6Z4Q8__ERS852447_00885
ERR1913205.28858__1.28858	328814__GCA_004558275.1_00073
ERR1913205.28865__1.28865	214856__R6XS02__ERS852447_01685
ERR1913205.28877__1.28877	1501391__GCA_000786575.1_00076
ERR1913205.28883__1.28883	214856__A0A174ZJU0__ERS852559_00619
ERR1913205.28963__1.28963	214856__R6XS46__ERS852559_00812
ERR1913205.29003__1.29003	301302__R5V6L8__M72_16121
ERR1913205.29072__1.29072	47678__R5U206__C5Z00_07065
ERR1913205.29315__1.29315	214856__R6Y2Y4__ERS852447_01086
ERR1913205.29340__1.29340	1262882__R5MHZ2__BN519_00742
ERR1913205.29494__1.29494	214856__I3YPP9__Alfi_2707
ERR1913205.29463__1.29463	39485__A0A174YZZ2__ERS852492_00215
ERR1913205.29502__1.29502	214856__A0A174ZLX0__ERS852559_00738
ERR1913205.29694__1.29694	214856__R6XS02__ERS852447_01685
ERR1913205.29790__1.29790	1501391__GCA_000786575.1_00132
ERR1913205.29927__1.29927	1150298__A0A174DX06__ERS852498_00491
ERR1913205.30074__1.30074	214856__I3YPR6__Alfi_2724
ERR1913205.30145__1.30145	214856__R6Y8K1__ERS852447_02509
ERR1913205.30275__1.30275	1262882__R5N048__BN519_00502
ERR1913205.30424__1.30424	214856__R6XUN2__rcsC_1
ERR1913205.30545__1.30545	214856__I3YMC8__ERS852447_02666
ERR1913205.30582__1.30582	1262882__R5N2A9__BN519_00921
ERR1913205.30864__1.30864	1501391__GCA_000786575.1_00108
ERR1913205.30819__1.30819	214856__R6Y2Y4__ERS852447_01086
ERR1913205.30783__1.30783	487174__R5EP60__DIT83_09045
ERR1913205.30883__1.30883	821__A0A395UNT8__DXD64_15275
ERR1913205.30897__1.30897	239935__B2UQB8__CXT86_01740
ERR1913205.30917__1.30917	1262882__R5MQW1__BN519_01295
ERR1913205.30968__1.30968	1262911__R6H0U7__BN557_01104
ERR1913205.31030__1.31030	1262882__R5MMP8__BN519_01654
ERR1913205.31097__1.31097	487174__K0X5B1__DDY40_01695
ERR1913205.31203__1.31203	214856__R6Z186__ERS852447_00718
ERR1913205.31255__1.31255	239935__A0A2N8INK7__Amuc_0521
ERR1913205.31239__1.31239	214856__I3YPP3__Alfi_2701
ERR1913205.31287__1.31287	626932__G5H9Q8__HMPREF9450_01373
ERR1913205.31510__1.31510	214856__R6XUN2__rcsC_1
ERR1913205.31513__1.31513	649756__B0NZY6__CL2_25770
ERR1913205.31560__1.31560	214856__R6Z320__ERS852447_02148
ERR1913205.31622__1.31622	853__A0A329UEG4__CHR60_00585
ERR1913205.31667__1.31667	214856__I3YPP0__ERS852447_01388
ERR1913205.31764__1.31764	39485__C4Z6V7__walK
ERR1913205.31767__1.31767	214856__R6Y1K2__ERS852447_02306
ERR1913205.31742__1.31742	1262882__R5MPJ1__BN519_01023
ERR1913205.31725__1.31725	214856__R6Y6H8__ERS852447_01719
ERR1913205.31883__1.31883	216816__B7GN29__BL72_08765
ERR1913205.32001__1.32001	1262882__R5MK82__BN519_00260
ERR1913205.31968__1.31968	214856__R5UN64__ERS852447_02669
ERR1913205.32000__1.32000	214856__A0A174AYS4__ERS852447_01192
ERR1913205.32233__1.32233	239935__A0A139TMZ5__CXU00_03150
ERR1913205.32327__1.32327	214856__I3YPN9__ERS852447_01389
ERR1913205.32550__1.32550	154046__A0A374PB95__glcR_3
ERR1913205.32623__1.32623	1262882__R5MFM2__BN519_00460
ERR1913205.32569__1.32569	1501391__GCA_000786575.1_00026
ERR1913205.32907__1.32907	214856__R6Y9P5__ERS852559_01811
ERR1913205.32909__1.32909	1262882__R5MXS6__BN519_00286
ERR1913205.32952__1.32952	214856__A0A174CRY5__ERS852559_01060
ERR1913205.33033__1.33033	214856__R5UN64__ERS852447_02669
ERR1913205.32975__1.32975	214856__A0A174CRY5__ERS852559_01060
ERR1913205.33140__1.33140	214856__A0A174EJT5__mnmA
ERR1913205.33117__1.33117	301302__A0A0M6WWK6__M72_13961
ERR1913205.33259__1.33259	214856__I3YPR6__Alfi_2724
ERR1913205.33319__1.33319	47678__R5UXJ2__DW706_08325
ERR1913205.33396__1.33396	214856__I3YPP9__Alfi_2707
ERR1913205.33403__1.33403	47678__R5U7A9__C5Z00_03635
ERR1913205.33460__1.33460	214856__R6YC22__ERS852447_01215
ERR1913205.33544__1.33544	47678__R5UAI1__BACCAC_01922
ERR1913205.33740__1.33740	328813__A0A1Y3QZ64__B5G41_14235
ERR1913205.34067__1.34067	106588__A6NUL8__BACCAP_01900
ERR1913205.34119__1.34119	214856__R6Z590__ERS852447_01059
ERR1913205.34182__1.34182	214856__I3YPP9__Alfi_2707
ERR1913205.34330__1.34330	214856__R5UN64__ERS852447_02669
ERR1913205.34438__1.34438	1203556__S3A8J0__HMPREF1478_01297
ERR1913205.34595__1.34595	649756__D4MY87__ERS852520_02651
ERR1913205.34737__1.34737	1262744__R6FST0__BN744_00381
ERR1913205.34770__1.34770	1262882__R5MLT4__BN519_01496
ERR1913205.34773__1.34773	214856__I3YPP0__ERS852447_01388
ERR1913205.34829__1.34829	214856__A0A175A1F5__ERS852559_01764
ERR1913205.34923__1.34923	214856__R6Y9P5__ERS852559_01811
ERR1913205.35030__1.35030	214856__R5UN64__ERS852447_02669
ERR1913205.35049__1.35049	487174__K0WZA7__DDY40_11890
ERR1913205.35050__1.35050	291645__I9S0N1__HMPREF1068_02854
ERR1913205.35123__1.35123	214856__I3YMC8__ERS852447_02666
ERR1913205.35212__1.35212	214856__R6YD52__ERS852447_02171
ERR1913205.35695__1.35695	1262882__R5N0M6__BN519_00794
ERR1913205.35761__1.35761	214856__A0A174AYS4__ERS852447_01192
ERR1913205.35896__1.35896	214856__A0A174AYS4__ERS852447_01192
ERR1913205.36041__1.36041	39492__D4JQS7__ERS852540_01645
ERR1913205.36061__1.36061	214856__A0A174AYS4__ERS852447_01192
ERR1913205.36275__1.36275	1262882__R5MH55__BN519_00725
ERR1913205.36347__1.36347	239935__A0A2N8IU45__DEF40_02365
ERR1913205.36417__1.36417	214856__I3YPP0__ERS852447_01388
ERR1913205.36570__1.36570	214856__A0A174EQR4__rsmA
ERR1913205.36585__1.36585	1262882__R5N3H1__BN519_01121
ERR1913205.36623__1.36623	214856__A0A174CRY5__ERS852559_01060
ERR1913205.36934__1.36934	214856__R6Y9P5__ERS852559_01811
ERR1913205.37047__1.37047	239935__B2UPZ6__CXU03_03800
ERR1913205.37185__1.37185	1501391__GCA_000786575.1_00006
ERR1913205.37124__1.37124	626932__G5HAR7__HMPREF9450_01732
ERR1913205.37279__1.37279	214856__R6Z5D0__resA_4
ERR1913205.37443__1.37443	214856__A0A174CRY5__ERS852559_01060
ERR1913205.37487__1.37487	214856__R5UN64__ERS852447_02669
ERR1913205.37811__1.37811	853__A0A2A7B1Y7__C7K05_11930
ERR1913205.37846__1.37846	487174__R5EP60__DIT83_09045
ERR1913205.37857__1.37857	1262882__R5N5W2__BN519_00074
ERR1913205.38007__1.38007	1262882__R5MQ68__BN519_01178
ERR1913205.38106__1.38106	214856__R6Y2Y4__ERS852447_01086
