ERR1913221.832__1.832	33043__A0A173X520__ERS852575_01617
ERR1913221.19009__1.19009	410072__C0B8G3__DXD67_01535
ERR1913221.19147__1.19147	1263006__R6LPK6__BN515_01980
ERR1913221.19206__1.19206	1262930__R5ZVQ3__BN693_01357
ERR1913221.19242__1.19242	39485__C4Z389__ERS852490_01920
ERR1913221.19814__1.19814	552398__F4XHU2__HMPREF0866_03196
ERR1913221.19873__1.19873	45851__D4RW73__BHV86_06745
ERR1913221.19937__1.19937	45851__R5LRP4__BUTYVIB_00447
ERR1913221.20064__1.20064	45851__D4RWJ0__BHV86_05915
ERR1913221.20239__1.20239	39485__C4Z355__ERS852490_01971
ERR1913221.20289__1.20289	45851__D4RZ40__BHV86_03390
ERR1913221.20533__1.20533	39485__A0A174Z7G5__EUBELI_01168
ERR1913221.20653__1.20653	1262882__R5MJ49__BN519_01124
ERR1913221.20881__1.20881	45851__D4S0Q4__lepB
ERR1913221.21041__1.21041	1262882__R5MIC9__BN519_00834
ERR1913221.21054__1.21054	100886__A0A174GWP1__CATMIT_01006
ERR1913221.21064__1.21064	165179__D1P8Q2__trpF
ERR1913221.21423__1.21423	45851__D4RW36__BUTYVIB_00166
ERR1913221.21524__1.21524	45851__D4RWC6__BHV86_07010
ERR1913221.21547__1.21547	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913221.21678__1.21678	45851__D4RXN5__BUTYVIB_00586
ERR1913221.21903__1.21903	33039__A0A173VTT4__frdB_1
ERR1913221.22053__1.22053	1262961__R6DXU7__BN710_00284
ERR1913221.22072__1.22072	1262825__R5E849__BN724_01960
ERR1913221.22174__1.22174	853__E2ZJT1__C4N23_03535
ERR1913221.22689__1.22689	1262761__R6QWS5__BN606_02019
ERR1913221.23149__1.23149	1150298__A0A174CCD5__ERS852406_01310
ERR1913221.23194__1.23194	28116__F7LC60__AA414_00422
ERR1913221.23209__1.23209	1262760__R5LMB9__BN758_00399
ERR1913221.23302__1.23302	39491__C4Z8S1__DXB76_06750
ERR1913221.23345__1.23345	821__R7P1Q7__M099_2990
ERR1913221.23516__1.23516	1262882__R5MM96__BN519_01545
ERR1913221.23681__1.23681	1262911__R6GVG8__BN557_01498
ERR1913221.23719__1.23719	45851__D4RY81__BUTYVIB_00786
ERR1913221.24323__1.24323	39491__A0A395ZEN3__DXD95_12655
ERR1913221.24325__1.24325	165179__R6XIF8__DXC61_07265
ERR1913221.24331__1.24331	1358__A2RIW1__LKF67_2443
ERR1913221.24332__1.24332	1262760__R5LYY2__BN758_00304
ERR1913221.24482__1.24482	39485__A0A175A273__plsX_2
ERR1913221.24502__1.24502	853__A0A2A7AXC8__C4N21_14120
ERR1913221.24804__1.24804	74426__purL
ERR1913221.24900__1.24900	165179__D1PGU8__PREVCOP_06463
ERR1913221.24963__1.24963	165179__D1PCL6__DXB80_13435
ERR1913221.25116__1.25116	165179__D1PGD2__DXC61_10875
ERR1913221.25172__1.25172	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913221.25244__1.25244	45851__D4RWJ0__BHV86_05915
ERR1913221.25429__1.25429	39485__R5ZNS8__rsmG
ERR1913221.25463__1.25463	1262761__R6RZF9__BN606_01803
ERR1913221.25473__1.25473	165179__A0A3E4SG51__DXC61_10575
ERR1913221.25715__1.25715	45851__D4S1P1__BHV86_08290
ERR1913221.25736__1.25736	1262825__R5EN22__BN724_00572
ERR1913221.25786__1.25786	301302__A0A0M6WF57__M72_22681
ERR1913221.25909__1.25909	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913221.26081__1.26081	572010__lepA
ERR1913221.26452__1.26452	39485__A0A174ZBJ8__speA_2
ERR1913221.26482__1.26482	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913221.26678__1.26678	39485__R5ZNS8__rsmG
ERR1913221.27137__1.27137	39485__A0A174ZTY8__ycfH
ERR1913221.27273__1.27273	165179__A0A3E5EDP4__DXB80_05800
ERR1913221.27276__1.27276	39491__A0A395ZF49__DXB69_05290
ERR1913221.27364__1.27364	572010__ppdK
ERR1913221.27572__1.27572	853__A0A3E2U7E6__ERS852582_01640
ERR1913221.27690__1.27690	45851__D4RXL5__BHV86_02950
ERR1913221.28582__1.28582	45851__D4RWG7__BUTYVIB_00298
ERR1913221.28720__1.28720	165179__A0A3E5E7J5__DXC61_10360
ERR1913221.28675__1.28675	165179__R6C3K4__PREVCOP_05795
ERR1913221.28857__1.28857	39485__A0A174YYW2__benM
ERR1913221.28840__1.28840	1262760__R5LYQ1__BN758_00266
ERR1913221.29365__1.29365	45851__D4RWI2__BHV86_07325
ERR1913221.29596__1.29596	821__A0A396F9T7__M097_3427
ERR1913221.29745__1.29745	328814__GCA_004558275.1_00294
ERR1913221.29833__1.29833	1262825__R5E9Y4__BN724_01769
ERR1913221.30099__1.30099	820__A0A173YYG4__evgS_3
ERR1913221.30191__1.30191	45851__D4RWC5__BHV86_07005
ERR1913221.30275__1.30275	1262961__R6DWJ6__BN710_00420
ERR1913221.30319__1.30319	45851__D4RWS3__BUTYVIB_00110
ERR1913221.30713__1.30713	853__A0A329UEG4__CHR60_00585
ERR1913221.30732__1.30732	1262825__R5E1G0__BN724_01308
ERR1913221.30775__1.30775	1150298__R7JUX4__ERS852535_02669
ERR1913221.31136__1.31136	39491__A0A395V464__EUBREC_1509
ERR1913221.31088__1.31088	165179__A0A174MTF2__DXC61_13200
ERR1913221.31201__1.31201	45851__D4S0P1__BUTYVIB_01660
ERR1913221.31143__1.31143	1262761__R6QR72__BN606_01181
ERR1913221.31337__1.31337	165179__R6C3A5__DXC61_11820
ERR1913221.31454__1.31454	39485__C4Z389__ERS852490_01920
ERR1913221.31468__1.31468	1262961__R6DWQ2__BN710_01824
ERR1913221.31626__1.31626	328814__GCA_004558275.1_00998
ERR1913221.32131__1.32131	45851__D4RY55__BHV86_05010
ERR1913221.32160__1.32160	33039__D4M4L0__ERS852577_02891
ERR1913221.32305__1.32305	45851__D4S2F2__BHV86_00830
ERR1913221.32338__1.32338	1262886__R6Q7C7__BN563_00709
ERR1913221.32475__1.32475	1262961__R6E3F4__BN710_01091
ERR1913221.32501__1.32501	45851__D4RWC3__BUTYVIB_00254
ERR1913221.32532__1.32532	1262882__R5N5D7__BN519_01676
ERR1913221.32581__1.32581	100886__A0A174GT42__ERS852383_03762
ERR1913221.32590__1.32590	39491__A0A395UYA6__EUBREC_0408
ERR1913221.32655__1.32655	39485__R5ZVC3__ERS852490_00250
ERR1913221.32993__1.32993	1262825__R5EJN3__BN724_01839
ERR1913221.33544__1.33544	1262760__R5L6L4__BN758_00893
ERR1913221.33582__1.33582	821__A0A174JYD3__ERS852457_02610
ERR1913221.33602__1.33602	45851__D4RXK7__BUTYVIB_00558
ERR1913221.33756__1.33756	1262761__R6RU22__BN606_01110
ERR1913221.34627__1.34627	45851__R5LRY3__BUTYVIB_01906
ERR1913221.34886__1.34886	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913221.34977__1.34977	301302__A0A173TWC1__phoR_7
ERR1913221.35320__1.35320	556259__I0PXW0__BSGG_5187
ERR1913221.35458__1.35458	1262761__R6QXE4__BN606_02110
ERR1913221.35366__1.35366	39485__A0A174YSU1__ERS852492_00576
ERR1913221.35848__1.35848	39485__A0A174YNV0__cheW_1
ERR1913221.35918__1.35918	88431__A0A174JYP5__DORLON_02789
ERR1913221.36074__1.36074	1262882__R5N0F4__BN519_00593
ERR1913221.36158__1.36158	1263000__R5EXT3__BN466_02213
ERR1913221.36229__1.36229	552398__F4XCQ4__HMPREF0866_01621
ERR1913221.36812__1.36812	39485__A0A174ZNW9__luxQ_1
ERR1913221.36820__1.36820	33039__A0A173U4W1__ERS852502_00464
ERR1913221.37072__1.37072	45851__R5LRY3__BUTYVIB_01906
ERR1913221.37190__1.37190	45851__D4S366__BUTYVIB_02552
ERR1913221.37207__1.37207	45851__D4S013__BHV86_10590
ERR1913221.37186__1.37186	1262992__R5D1K9__BN795_01025
ERR1913221.37266__1.37266	45851__R5LYV2__BHV86_00590
ERR1913221.37287__1.37287	821__A0A174WBC9__ERS852556_03145
ERR1913221.37531__1.37531	1262825__R5EA87__BN724_01038
ERR1913221.37875__1.37875	1262825__R5EAF0__BN724_01054
ERR1913221.38027__1.38027	165179__A0A3E5AF88__DXC61_14960
ERR1913221.38124__1.38124	1550024__A0A3B9WIA4__TQ39_14495
ERR1913221.38205__1.38205	45851__D4RZ17__BUTYVIB_01081
ERR1913221.38210__1.38210	821__A0A174NM17__lacZ_6
ERR1913221.38265__1.38265	1262924__R7HQD4__BN585_02072
ERR1913221.38337__1.38337	45851__D4RWP4__BHV86_06190
ERR1913221.38506__1.38506	45851__R5LHP6__BUTYVIB_00994
ERR1913221.38558__1.38558	39491__A0A3E4YFT8__DXB69_10940
ERR1913221.38563__1.38563	471189__GCA_003340385.1_00234
ERR1913221.38648__1.38648	39485__A0A175A403__EUBELI_20577
ERR1913221.38973__1.38973	45851__D4RZF5__BUTYVIB_01221
ERR1913221.39153__1.39153	1358__T0VT85__LLUC063_1594
ERR1913221.39265__1.39265	45851__D4RZ84__BUTYVIB_01149
ERR1913221.39308__1.39308	165179__A0A3E5E2B6__DXB80_02820
ERR1913221.39348__1.39348	165179__A0A3E5DWZ6__DXC61_10880
ERR1913221.39466__1.39466	901__B6WVE0__DESPIG_02056
ERR1913221.39481__1.39481	45851__D4RWS6__BHV86_06350
ERR1913221.39512__1.39512	45851__D4RWI2__BHV86_07325
ERR1913221.40210__1.40210	88431__A0A174G8Q6__ERS852526_02711
ERR1913221.40528__1.40528	45851__D4S283__BUTYVIB_02205
ERR1913221.41099__1.41099	2022527__A0A264Y9Y7__CHL74_02905
ERR1913221.41353__1.41353	45851__A0A3C0J7S9__BUTYVIB_01423
ERR1913221.41615__1.41615	853__A0A3E2U7E6__ERS852582_01640
ERR1913221.41639__1.41639	165179__D1PDG7__DXB80_11180
ERR1913221.41698__1.41698	1262945__R6YL13__BN600_00850
ERR1913221.41914__1.41914	39491__A0A395ZGU6__ERS852417_01456
ERR1913221.41883__1.41883	357276__A0A174L570__GV66_05720
ERR1913221.42089__1.42089	371601__A0A139LNM6__BN891_32770
ERR1913221.42141__1.42141	572010__argF
ERR1913221.42376__1.42376	45851__D4RXM8__BHV86_03015
ERR1913221.42497__1.42497	33043__D5HGK4__ERS852445_01371
ERR1913221.42724__1.42724	1262930__R6AST5__BN693_01722
ERR1913221.42772__1.42772	39485__A0A174ZBJ8__speA_2
ERR1913221.42832__1.42832	1262911__R6H1B2__BN557_00840
ERR1913221.42847__1.42847	33043__A0A173WZE5__ERS852386_00374
ERR1913221.42880__1.42880	33043__A0A174CV49__ERS852386_02395
ERR1913221.42885__1.42885	39486__B0G9D1__DXC93_13935
ERR1913221.42929__1.42929	45851__D4S0B1__BHV86_10120
ERR1913221.43225__1.43225	165179__A0A3E5DY64__CFT61_10025
ERR1913221.43274__1.43274	1262825__R5E4S3__BN724_00120
ERR1913221.43508__1.43508	45851__D4S069__spoIVA
ERR1913221.43725__1.43725	40520__A0A174IJ62__DXC87_06795
ERR1913221.44087__1.44087	45851__D4RZ82__BHV86_03550
ERR1913221.44123__1.44123	371601__I9ABK9__B5E50_12420
ERR1913221.44221__1.44221	116085__D4J3Z5__tig
ERR1913221.44561__1.44561	328814__GCA_004558275.1_01001
ERR1913221.44969__1.44969	39485__C4Z1J7__ERS852490_01574
ERR1913221.45068__1.45068	1262882__R5MQ63__BN519_01173
ERR1913221.45196__1.45196	1262761__R6R2P8__BN606_01616
ERR1913221.45373__1.45373	39491__A0A395ZF49__DXB69_05290
ERR1913221.45526__1.45526	45851__D4S069__spoIVA
ERR1913221.45626__1.45626	45851__D4RYD2__BUTYVIB_00837
ERR1913221.45814__1.45814	487174__K0X773__DIT83_07170
ERR1913221.46007__1.46007	39488__A0A173Z481__EHLA_2436
ERR1913221.46144__1.46144	1262886__R6QNJ6__BN563_00594
ERR1913221.46177__1.46177	1262924__R7HQ73__BN585_02030
ERR1913221.46257__1.46257	74426__purL
ERR1913221.46423__1.46423	45851__D4RYQ2__BUTYVIB_00960
ERR1913221.46620__1.46620	1381__group_927
ERR1913221.46628__1.46628	45851__D4S013__BHV86_10590
ERR1913221.46675__1.46675	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913221.46801__1.46801	1262961__R6DXU0__BN710_00642
ERR1913221.46945__1.46945	1262988__R7N397__BN816_01278
ERR1913221.47052__1.47052	45851__D4S288__BHV86_04325
ERR1913221.47310__1.47310	239935__A0A139TSG7__CXU17_09600
ERR1913221.47347__1.47347	301302__A0A173SCU7__M72_12871
ERR1913221.47457__1.47457	39492__A0A174ZHV5__msbA_2
ERR1913221.47487__1.47487	1262958__R7GWR4__BN645_01313
ERR1913221.47592__1.47592	45851__D4RWR5__BHV86_06295
ERR1913221.48202__1.48202	1262816__R6C3H4__BN687_02084
ERR1913221.48524__1.48524	45851__D4RWC6__BHV86_07010
ERR1913221.48526__1.48526	39491__A0A3E4E7C5__DXB69_03255
ERR1913221.48854__1.48854	45851__D4RXA4__BUTYVIB_00455
ERR1913221.48827__1.48827	165179__R6CNX7__DXB80_02200
ERR1913221.49233__1.49233	410072__C0BBP9__ERS852525_00825
ERR1913221.49271__1.49271	1262961__R6EMW7__BN710_01172
ERR1913221.49287__1.49287	39485__A0A174Z7G5__EUBELI_01168
ERR1913221.49355__1.49355	410072__C0BEV2__ERS852525_03010
ERR1913221.49376__1.49376	45851__D4RW69__BUTYVIB_00200
ERR1913221.49632__1.49632	39485__R5ZNS8__rsmG
ERR1913221.50066__1.50066	165179__D1PHC0__PREVCOP_06640
ERR1913221.50213__1.50213	39485__A0A174Z9M2__yhbU_1
ERR1913221.50344__1.50344	45851__R5LJL1__BHV86_09305
ERR1913221.50532__1.50532	33043__D5HH34__ERS852386_00170
ERR1913221.50715__1.50715	165179__A0A3E5E920__DXB80_11625
ERR1913221.51159__1.51159	2022527__A0A264YC84__CHL74_01220
ERR1913221.51182__1.51182	147206__GCF_000156215.1_01777
ERR1913221.51374__1.51374	1261__D3MR67__SAMN05660467_01650
ERR1913221.51581__1.51581	39485__A0A175A403__EUBELI_20577
ERR1913221.51808__1.51808	39485__A0A174Z9M2__yhbU_1
ERR1913221.51910__1.51910	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913221.52029__1.52029	39486__G1WS03__DXD50_12470
ERR1913221.52139__1.52139	1897011__A0A1Q6REZ1__BHW41_04525
ERR1913221.52186__1.52186	45851__D4S013__BHV86_10590
ERR1913221.52691__1.52691	1262882__R5N1L4__BN519_00757
ERR1913221.52706__1.52706	1262911__R6H2J2__BN557_01228
ERR1913221.52960__1.52960	39485__R6AET9__EUBELI_01205
ERR1913221.53047__1.53047	853__A0A173T751__C4N24_10280
ERR1913221.53048__1.53048	216816__A0A0A6VPB9__B624_1780
ERR1913221.53185__1.53185	1262882__R5MYG7__BN519_00405
ERR1913221.53372__1.53372	165179__A0A3E5DRF6__DXC61_00200
ERR1913221.53977__1.53977	39491__A0A396FBR6__DXC13_08575
ERR1913221.54009__1.54009	1263107__GCA_000436995.1_00175
ERR1913221.54015__1.54015	45851__D4S317__BUTYVIB_02469
ERR1913221.54017__1.54017	39491__A0A395ZDC6__addB
ERR1913221.54382__1.54382	39485__C4Z389__ERS852490_01920
ERR1913221.54390__1.54390	853__A0A174BA00__DW905_01145
ERR1913221.54647__1.54647	45851__D4RWI9__BHV86_05910
ERR1913221.54936__1.54936	1262911__R6GPC5__BN557_00852
ERR1913221.55092__1.55092	39485__A0A174YMI9__cph2_5
ERR1913221.55162__1.55162	28111__E5WUX3__HMPREF1016_00550
ERR1913221.55293__1.55293	1262886__R6RCF6__BN563_00371
ERR1913221.55512__1.55512	2022527__A0A264Y5D1__CHL74_11220
ERR1913221.55780__1.55780	33043__A8SPT5__yfiN_2
ERR1913221.56292__1.56292	1262961__R6DN84__BN710_00209
ERR1913221.56797__1.56797	1262919__R5PQI6__BN465_01459
ERR1913221.57025__1.57025	45851__D4RXL7__BUTYVIB_00568
ERR1913221.57238__1.57238	384639__GCA_003096855.1_00972
ERR1913221.57672__1.57672	39485__A0A174ZNW9__luxQ_1
ERR1913221.57853__1.57853	88431__A0A3D0EYE9__rafA
ERR1913221.57973__1.57973	45851__D4RYL1__lspA
ERR1913221.58034__1.58034	2173__A0A1D2WU54__METSMIALI_00342
ERR1913221.58477__1.58477	1262959__R5Y0V4__BN680_01500
ERR1913221.58506__1.58506	45851__D4S1P9__BUTYVIB_02021
ERR1913221.58462__1.58462	1150298__R7JRK4__ERS852406_01648
ERR1913221.58697__1.58697	165179__D1PDT3__PREVCOP_05375
ERR1913221.58770__1.58770	328812__A0A0F5JKW2__HMPREF1076_02902
ERR1913221.58855__1.58855	1263107__GCA_000436995.1_00225
ERR1913221.58877__1.58877	853__A0A174C5M1__CGS58_04460
ERR1913221.59017__1.59017	33043__A0A173WWJ5__ERS852386_00339
ERR1913221.59113__1.59113	39485__R5ZPP8__EUBELI_20334
ERR1913221.59303__1.59303	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913221.59420__1.59420	88431__A0A174EMW0__thiD_1
ERR1913221.59426__1.59426	821__C6Z087__DXB90_00750
ERR1913221.59438__1.59438	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913221.59465__1.59465	2022527__A0A264YBG2__CHL74_00640
ERR1913221.60308__1.60308	45851__D4S366__BUTYVIB_02552
ERR1913221.60334__1.60334	357276__C3R9Y0__HMPREF1064_01889
ERR1913221.60444__1.60444	1262761__R6QIY0__BN606_00617
ERR1913221.60538__1.60538	28052__R5HJU0__ERS852451_00148
ERR1913221.61241__1.61241	39485__A0A175A023__yhhT
ERR1913221.61414__1.61414	1262959__R5YDI8__BN680_00380
ERR1913221.61494__1.61494	45851__D4RXC9__BUTYVIB_00480
ERR1913221.61554__1.61554	1262825__R5E8Z9__BN724_02329
ERR1913221.61573__1.61573	45851__D4RXN5__BUTYVIB_00586
ERR1913221.61684__1.61684	45851__D4RW73__BHV86_06745
ERR1913221.62076__1.62076	45851__D4RWJ0__BHV86_05915
ERR1913221.62461__1.62461	1262992__R5D5B1__BN795_00105
ERR1913221.62685__1.62685	45851__D4RYU3__BUTYVIB_01007
ERR1913221.62764__1.62764	33043__A0A173YUV6__ERS852386_00507
ERR1913221.62810__1.62810	39485__A0A174YVS4__EUBELI_00620
ERR1913221.62897__1.62897	165179__A0A3E5EBY9__CFT61_01220
ERR1913221.63224__1.63224	418240__A0A173XQZ4__yusO
ERR1913221.63452__1.63452	45851__D4S283__BUTYVIB_02205
ERR1913221.63456__1.63456	28116__A0A395VSP8__ERS852555_02642
ERR1913221.63557__1.63557	1262945__R6YNE9__BN600_00111
ERR1913221.63608__1.63608	45851__D4RXA4__BUTYVIB_00455
ERR1913221.63888__1.63888	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913221.63906__1.63906	100886__A0A174KEC0__CATMIT_00757
ERR1913221.63930__1.63930	360807__A0A396AIV6__RIL183_05461
ERR1913221.64165__1.64165	116085__D4J4J2__DW747_14050
ERR1913221.64871__1.64871	165179__A0A3E5E9I4__DXB80_09745
ERR1913221.65440__1.65440	45851__D4RWG7__BUTYVIB_00298
ERR1913221.65445__1.65445	45851__D4RYS8__BUTYVIB_00989
ERR1913221.65760__1.65760	45851__D4RWR5__BHV86_06295
ERR1913221.65989__1.65989	1262911__R6GT99__BN557_01335
ERR1913221.66125__1.66125	1262760__R5LQC3__BN758_01182
ERR1913221.66270__1.66270	45851__D4S0F7__BUTYVIB_01576
ERR1913221.66455__1.66455	1262825__R5EJK4__BN724_02191
ERR1913221.66508__1.66508	1628085__A0A396Q9R7__C7386_10872
ERR1913221.66607__1.66607	39485__A0A174ZPH7__ERS852490_01992
ERR1913221.66719__1.66719	45851__D4S366__BUTYVIB_02552
ERR1913221.66722__1.66722	39485__C4Z6F3__EUBELI_20400
ERR1913221.66810__1.66810	165179__A0A174SA26__PREVCOP_05758
ERR1913221.66948__1.66948	2173__A0A1D2WS87__BK798_03170
ERR1913221.67052__1.67052	47678__R5U8Y1__BACCAC_02615
ERR1913221.67167__1.67167	45851__D4RYZ4__BHV86_03155
ERR1913221.67197__1.67197	45851__D4RXK7__BUTYVIB_00558
ERR1913221.67408__1.67408	45851__D4RWC8__BHV86_07020
ERR1913221.67471__1.67471	45851__D4RW73__BHV86_06745
ERR1913221.67562__1.67562	45851__D4RZ40__BHV86_03390
ERR1913221.67655__1.67655	39491__A0A395ZBW8__DXC13_08840
ERR1913221.67964__1.67964	1262911__R6H2J2__BN557_01228
ERR1913221.68073__1.68073	1262882__R5N089__BN519_00546
ERR1913221.68074__1.68074	33043__A0A174CV49__ERS852386_02395
ERR1913221.68096__1.68096	1262882__R5MKV8__BN519_01281
ERR1913221.68177__1.68177	1263030__R5CUH1__BN705_00716
