ERR1913040.45__1.45	1965560__A0A1Y4RFR5__B5E82_15700
ERR1913040.5096__1.5096	1262992__R5D0E5__BN795_01570
ERR1913040.5126__1.5126	39491__A0A395UZZ5__htpG_1
ERR1913040.5420__1.5420	69974__A0A090FEL8__MPL3365_630008
ERR1913040.5533__1.5533	165179__A0A3E5EAM5__DXC61_07785
ERR1913040.5577__1.5577	39485__A0A174ZBJ8__speA_2
ERR1913040.5751__1.5751	69974__A0A090FEL8__MPL3365_630008
ERR1913040.5873__1.5873	165179__A0A3E5E189__PREVCOP_06699
ERR1913040.5875__1.5875	69974__A0A090FEL8__MPL3365_630008
ERR1913040.5886__1.5886	1262924__R7HLK0__BN585_01496
ERR1913040.5913__1.5913	69974__A0A090FEL8__MPL3365_630008
ERR1913040.6042__1.6042	69974__A0A090FEL8__MPL3365_630008
ERR1913040.6163__1.6163	39485__C4Z1Y9__EUBELI_00143
ERR1913040.6227__1.6227	69974__A0A090FEL8__MPL3365_630008
ERR1913040.6297__1.6297	1262948__R7EGP9__BN671_01082
ERR1913040.6250__1.6250	310298__B3JK97__BACCOP_02326
ERR1913040.6251__1.6251	69974__A0A090FEL8__MPL3365_630008
ERR1913040.6361__1.6361	39485__A0A175A273__plsX_2
ERR1913040.6518__1.6518	410072__A0A173XU61__ykvU
ERR1913040.6745__1.6745	39485__C4Z2X2__ERS852492_01808
ERR1913040.6767__1.6767	39491__A0A396FBR6__DXC13_08575
ERR1913040.6771__1.6771	39491__A0A395V2Y7__DXB72_13970
ERR1913040.6867__1.6867	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913040.6889__1.6889	204516__U6RJY4__HMPREF1534_01494
ERR1913040.6920__1.6920	410072__A0A3E4GRE0__DXD67_07105
ERR1913040.6925__1.6925	40518__R5DLU0__fmt
ERR1913040.6941__1.6941	626932__G5H5L6__HMPREF9450_00226
ERR1913040.6962__1.6962	28117__B0MXU0__BHV66_07550
ERR1913040.7062__1.7062	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913040.7129__1.7129	69974__A0A090FEL8__MPL3365_630008
ERR1913040.7147__1.7147	69974__A0A090FEL8__MPL3365_630008
ERR1913040.7163__1.7163	261299__B0A989__ERS852493_02287
ERR1913040.7249__1.7249	39491__A0A396FE96__EUR_00280
ERR1913040.7281__1.7281	39485__R6AJT3__EUBELI_01178
ERR1913040.7315__1.7315	357276__B6VYT9__HMPREF1063_05030
ERR1913040.7332__1.7332	626933__H1DGX0__HMPREF9449_01506
ERR1913040.7364__1.7364	204516__U6RDX3__HMPREF1534_02093
ERR1913040.7374__1.7374	310298__B3JFK6__BACCOP_00656
ERR1913040.7384__1.7384	1262924__R7HU74__BN585_00690
ERR1913040.7406__1.7406	39492__D4JVC7__yfgF
ERR1913040.7478__1.7478	216816__A0A1S2VTC3__BLIC_e00847
ERR1913040.7521__1.7521	69974__A0A090FEL8__MPL3365_630008
ERR1913040.7549__1.7549	28117__B0MXG8__ALIPUT_01814
ERR1913040.7595__1.7595	371601__F7M1V2__DXD80_13245
ERR1913040.7646__1.7646	1262739__R6MK77__BN659_00760
ERR1913040.7727__1.7727	301302__A0A173UN64__manA_2
ERR1913040.7744__1.7744	1262924__R7HNA9__BN585_00137
ERR1913040.7837__1.7837	626933__H1DGX0__HMPREF9449_01506
ERR1913040.7958__1.7958	39491__D6E558__DXB69_00810
ERR1913040.8138__1.8138	28116__C3QVY2__SAMN05444282_12234
ERR1913040.8142__1.8142	165179__A0A3E5EB26__CFT61_02800
ERR1913040.8178__1.8178	69974__A0A090FEL8__MPL3365_630008
ERR1913040.8418__1.8418	39485__A0A174YMI9__cph2_5
ERR1913040.8455__1.8455	69974__A0A090FEL8__MPL3365_630008
ERR1913040.8458__1.8458	820__A0A139JY23__B5G17_06330
ERR1913040.8599__1.8599	310298__B3JMZ2__BACCOP_03297
ERR1913040.8708__1.8708	39491__A0A174EQV2__DXB69_10230
ERR1913040.8904__1.8904	165179__A0A174UTZ7__DXC61_06705
ERR1913040.8918__1.8918	154288__A0A174AHU1__scrB_2
ERR1913040.9003__1.9003	69974__A0A090FEL8__MPL3365_630008
ERR1913040.9009__1.9009	626933__H1DGX0__HMPREF9449_01506
ERR1913040.9211__1.9211	69974__A0A090FEL8__MPL3365_630008
ERR1913040.9236__1.9236	626933__H1DGX0__HMPREF9449_01506
ERR1913040.9237__1.9237	69974__A0A090FEL8__MPL3365_630008
ERR1913040.9382__1.9382	69974__A0A090FEL8__MPL3365_630008
ERR1913040.9492__1.9492	821__U6RDC2__DXD46_15675
ERR1913040.9547__1.9547	410072__C0B8M3__ERS852574_02182
ERR1913040.9578__1.9578	69974__A0A090FEL8__MPL3365_630008
ERR1913040.9624__1.9624	69974__A0A090FEL8__MPL3365_630008
ERR1913040.9634__1.9634	820__A0A3E4G8F8__ERS852421_01645
ERR1913040.9680__1.9680	410072__C0B7P0__DXD67_07205
ERR1913040.9935__1.9935	853__A0A174AML0__FPR_08640
ERR1913040.9939__1.9939	1262924__R7HRE7__BN585_00055
ERR1913040.9984__1.9984	28116__A0A1G8H1M8__DXF98_11065
ERR1913040.9987__1.9987	69974__A0A090FEL8__MPL3365_630008
ERR1913040.10047__1.10047	216816__C2GSX7__DD678_03555
ERR1913040.10088__1.10088	28117__B0MTY2__BHV66_06485
ERR1913040.10149__1.10149	1262924__R7HPY0__BN585_01950
ERR1913040.10150__1.10150	28117__B0MXR4__BHV66_08025
ERR1913040.10234__1.10234	165179__A0A3E5DY64__CFT61_10025
ERR1913040.10303__1.10303	823__D0TCC2__HMPREF1075_01590
ERR1913040.10515__1.10515	28118__F9ZB50__Odosp_2374
ERR1913040.10537__1.10537	310298__B3JK97__BACCOP_02326
ERR1913040.10529__1.10529	69974__A0A090FEL8__MPL3365_630008
ERR1913040.10697__1.10697	165179__A0A3E5EB26__CFT61_02800
ERR1913040.10702__1.10702	357276__A0A076ISJ4__B5F95_19420
ERR1913040.10818__1.10818	39485__A0A174Z851__cdaR_1
ERR1913040.11080__1.11080	487174__K0X3E9__DDY40_04905
ERR1913040.11155__1.11155	39491__A0A2U2EK03__ERE_28780
ERR1913040.11215__1.11215	69974__A0A090FEL8__MPL3365_630008
ERR1913040.11207__1.11207	310298__B3JJ24__BACCOP_01886
ERR1913040.11297__1.11297	310298__B3JK49__BACCOP_02273
ERR1913040.11319__1.11319	39491__A0A395ZBW8__DXC13_08840
ERR1913040.11326__1.11326	39485__A0A175A2T1__EUBELI_02034
ERR1913040.11341__1.11341	28117__B0MU76__ALIPUT_00202
ERR1913040.11369__1.11369	165179__A0A3E5EAM5__DXC61_07785
ERR1913040.11412__1.11412	626933__H1DGX0__HMPREF9449_01506
ERR1913040.11766__1.11766	165179__A0A3E4SB95__DXC61_13455
ERR1913040.11772__1.11772	165179__D1PHM6__DXC61_06700
ERR1913040.11815__1.11815	165179__A0A229I3Z6__PREVCOP_03666
ERR1913040.11937__1.11937	1160721__R6SW83__BHW50_08845
ERR1913040.11981__1.11981	69974__A0A090FEL8__MPL3365_630008
ERR1913040.12080__1.12080	820__A0A174GYA8__DXB64_07370
ERR1913040.12175__1.12175	69974__A0A090FEL8__MPL3365_630008
ERR1913040.12209__1.12209	1262924__R7HQK6__BN585_00186
ERR1913040.12259__1.12259	165179__D1PER3__DXB80_11525
ERR1913040.12280__1.12280	820__A0A139K5A6__DXB48_12175
ERR1913040.12490__1.12490	204516__U6R921__HMPREF1534_03932
ERR1913040.12478__1.12478	1262924__R7HLU6__BN585_01291
ERR1913040.12520__1.12520	165179__D1PGU8__PREVCOP_06463
ERR1913040.12743__1.12743	69974__A0A090FEL8__MPL3365_630008
ERR1913040.12767__1.12767	69974__A0A090FEL8__MPL3365_630008
ERR1913040.12816__1.12816	40518__R5DNY7__RBATCC27255_00367
ERR1913040.12995__1.12995	28118__F9Z3G8__B5F99_01835
ERR1913040.13044__1.13044	165179__D1PHC0__PREVCOP_06640
ERR1913040.13101__1.13101	165179__A0A3E5E4T9__DXB80_08030
ERR1913040.13143__1.13143	69974__A0A090FEL8__MPL3365_630008
ERR1913040.13158__1.13158	204516__U6R9H3__HMPREF1534_03348
ERR1913040.13289__1.13289	39485__A0A174ZJ13__ssuB
ERR1913040.13542__1.13542	487175__D9Y3I2__HMPREF9439_00938
ERR1913040.13568__1.13568	69974__A0A090FEL8__MPL3365_630008
ERR1913040.13626__1.13626	39491__A0A395ZDC6__addB
ERR1913040.13780__1.13780	69974__A0A090FEL8__MPL3365_630008
ERR1913040.13804__1.13804	69974__A0A090FEL8__MPL3365_630008
ERR1913040.13958__1.13958	28118__R6FBF6__Odosp_2396
ERR1913040.13989__1.13989	310298__B3JFS5__BACCOP_00726
ERR1913040.13975__1.13975	204516__U6R9H3__HMPREF1534_03348
ERR1913040.13981__1.13981	165179__A0A3E5EB26__CFT61_02800
ERR1913040.14119__1.14119	626933__H1DGX0__HMPREF9449_01506
ERR1913040.14221__1.14221	165179__A0A174IPI3__CFT61_10940
ERR1913040.14337__1.14337	69974__A0A090FEL8__MPL3365_630008
ERR1913040.14374__1.14374	69974__A0A090FEL8__MPL3365_630008
ERR1913040.14438__1.14438	165179__A0A3E5AER8__DXB80_07075
ERR1913040.14528__1.14528	69974__A0A090FEL8__MPL3365_630008
ERR1913040.14648__1.14648	69974__A0A090FEL8__MPL3365_630008
ERR1913040.14660__1.14660	165179__A0A3E5EA43__DXC61_07775
ERR1913040.14696__1.14696	39491__A0A395ZKJ0__DXD13_11010
ERR1913040.14745__1.14745	39491__A0A395ZG96__DXB69_15120
ERR1913040.14736__1.14736	69974__A0A090FEL8__MPL3365_630008
ERR1913040.14848__1.14848	28117__B0MWP2__ALIPUT_01468
ERR1913040.14925__1.14925	39485__C4Z5L8__ERS852490_00665
ERR1913040.14931__1.14931	1262929__R6F6C8__BN691_01344
ERR1913040.14977__1.14977	165179__A0A3E5E8N5__DXC61_13460
ERR1913040.14945__1.14945	820__A0A3E4RTP0__C801_01067
ERR1913040.15124__1.15124	69974__A0A090FEL8__MPL3365_630008
ERR1913040.15146__1.15146	1897011__A0A1Q6RIF1__BHW41_00635
ERR1913040.15220__1.15220	39491__A0A173SH34__EUR_24920
ERR1913040.15275__1.15275	853__A0A173XRA8__CGS56_09290
ERR1913040.15441__1.15441	69974__A0A090FEL8__MPL3365_630008
ERR1913040.15505__1.15505	39485__C4Z389__ERS852490_01920
ERR1913040.15511__1.15511	88431__A0A173UIQ4__lip2
ERR1913040.15636__1.15636	310298__B3JM32__BACCOP_00571
ERR1913040.15739__1.15739	69974__A0A090FEL8__MPL3365_630008
ERR1913040.15817__1.15817	626933__H1DGX0__HMPREF9449_01506
ERR1913040.15847__1.15847	69974__A0A090FEL8__MPL3365_630008
ERR1913040.15859__1.15859	39485__A0A174Z7G5__EUBELI_01168
ERR1913040.15864__1.15864	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913040.16086__1.16086	69974__A0A090FEL8__MPL3365_630008
ERR1913040.16122__1.16122	28117__B0MWP2__ALIPUT_01468
ERR1913040.16224__1.16224	39485__C4Z6J7__ERS852492_02047
ERR1913040.16225__1.16225	1262913__R7JAE2__BN646_01012
ERR1913040.16275__1.16275	69974__A0A090FEL8__MPL3365_630008
ERR1913040.16276__1.16276	310298__B3JFK5__BACCOP_00655
ERR1913040.16437__1.16437	165179__A0A3E4SID1__DXB80_01945
ERR1913040.16510__1.16510	165179__D1PHC0__PREVCOP_06640
ERR1913040.16563__1.16563	28116__R6JLW4__DHW41_14880
ERR1913040.16663__1.16663	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913040.16796__1.16796	69974__A0A090FEL8__MPL3365_630008
ERR1913040.16809__1.16809	821__A0A3E4KIM1__M097_3660
ERR1913040.16838__1.16838	69974__A0A090FEL8__MPL3365_630008
ERR1913040.16894__1.16894	853__A0A2A7B1Y7__C7K05_11930
ERR1913040.16868__1.16868	39485__C4Z1S0__ERS852492_00886
ERR1913040.16964__1.16964	487173__H1D187__HMPREF9453_01375
ERR1913040.16966__1.16966	410072__A0A3E4GP91__COPCOM_03835
ERR1913040.17044__1.17044	1262924__R7HTW2__BN585_00604
ERR1913040.17034__1.17034	28117__B0MUT8__ALIPUT_00879
ERR1913040.17042__1.17042	1160721__W0U532__RBI_I00944
ERR1913040.17099__1.17099	204516__U6RFB2__HMPREF1534_01733
ERR1913040.17257__1.17257	69974__A0A090FEL8__MPL3365_630008
ERR1913040.17333__1.17333	821__A0A174NSU0__BVU_3144
ERR1913040.17364__1.17364	28117__R7JG17__ALIPUT_01859
ERR1913040.17532__1.17532	74426__nifJ
ERR1913040.17658__1.17658	165179__A0A3E5AFJ9__CFT61_15180
ERR1913040.17686__1.17686	310298__B3JMG0__BACCOP_03099
ERR1913040.17965__1.17965	28116__A0A3E5HTL2__SAMN05444282_12366
ERR1913040.18050__1.18050	165179__A0A174IPI3__CFT61_10940
ERR1913040.18111__1.18111	47678__A5ZI88__BACCAC_02617
ERR1913040.18154__1.18154	204516__U6RFB2__HMPREF1534_01733
ERR1913040.18216__1.18216	371601__A0A1H4AKU1__BXY_45200
ERR1913040.18259__1.18259	28117__B0MWZ9__ALIPUT_01735
ERR1913040.18368__1.18368	204516__U6R989__HMPREF1534_03109
ERR1913040.18425__1.18425	1262924__R7HPU8__BN585_00010
ERR1913040.18438__1.18438	69974__A0A090FEL8__MPL3365_630008
ERR1913040.18440__1.18440	28118__R6FI30__NCTC10826_00479
ERR1913040.18513__1.18513	310298__B3JKM0__BACCOP_02451
ERR1913040.18600__1.18600	310298__B3JFS5__BACCOP_00726
ERR1913040.18650__1.18650	39485__A0A174Z501__EUBELI_00678
ERR1913040.18669__1.18669	626933__H1DGX0__HMPREF9449_01506
ERR1913040.18741__1.18741	626933__H1DGX0__HMPREF9449_01506
ERR1913040.18753__1.18753	69974__A0A090FEL8__MPL3365_630008
ERR1913040.18766__1.18766	310298__B3JGJ2__BACCOP_00994
ERR1913040.18910__1.18910	821__A0A174WBC9__ERS852556_03145
ERR1913040.18923__1.18923	69974__A0A090FEL8__MPL3365_630008
ERR1913040.18964__1.18964	69974__A0A090FEL8__MPL3365_630008
ERR1913040.19132__1.19132	487174__K0XRP0__DDY40_09260
ERR1913040.19218__1.19218	1262988__R7N1P1__BN816_02071
ERR1913040.19293__1.19293	165179__A0A3E5E8N5__DXC61_13460
ERR1913040.19326__1.19326	28116__A0A1Y4PWN5__M088_3731
ERR1913040.19407__1.19407	853__A0A2A6Z8X1__FPR_03410
ERR1913040.19436__1.19436	310298__B3JH75__BACCOP_01229
ERR1913040.19472__1.19472	28117__B0MZ14__ALIPUT_02383
ERR1913040.19498__1.19498	69974__A0A090FEL8__MPL3365_630008
ERR1913040.19536__1.19536	853__C7H7F5__DWZ46_01780
ERR1913040.19690__1.19690	39485__C4Z6J7__ERS852492_02047
ERR1913040.19734__1.19734	39485__A0A174YYW2__benM
ERR1913040.19811__1.19811	853__A0A173T6P2__DWZ46_14595
ERR1913040.19855__1.19855	69974__A0A090FEL8__MPL3365_630008
ERR1913040.19934__1.19934	28117__R7JLL3__ALIPUT_02219
ERR1913040.19990__1.19990	69974__A0A090FEL8__MPL3365_630008
ERR1913040.20002__1.20002	626933__H1DGX0__HMPREF9449_01506
ERR1913040.20022__1.20022	371601__C3R2J2__ERS852396_04353
ERR1913040.20165__1.20165	28117__B0MTS2__ALIPUT_00159
ERR1913040.20182__1.20182	301302__A0A0M6WB38__ERS852420_00286
ERR1913040.20225__1.20225	1262924__R7HQK6__BN585_00186
ERR1913040.20241__1.20241	1262924__R7HMN2__BN585_01573
ERR1913040.20273__1.20273	69974__A0A090FEL8__MPL3365_630008
ERR1913040.20300__1.20300	487173__H1CYJ4__HMPREF9453_00432
ERR1913040.20388__1.20388	204516__U6R989__HMPREF1534_03109
ERR1913040.20373__1.20373	1262913__R7JG42__BN646_02197
ERR1913040.20502__1.20502	39485__C4Z028__ERS852492_00100
ERR1913040.20556__1.20556	39491__A0A396FP46__cobD_2
ERR1913040.20595__1.20595	39485__A0A174Z501__EUBELI_00678
ERR1913040.20710__1.20710	204516__U6RAL8__HMPREF1534_03434
ERR1913040.20747__1.20747	39490__U2QQS7__HMPREF0373_02347
ERR1913040.20856__1.20856	310298__B3JLC6__BACCOP_02712
ERR1913040.20948__1.20948	1262924__R7HMZ4__BN585_01629
ERR1913040.21040__1.21040	40518__R5E6G1__DXD83_06815
ERR1913040.21049__1.21049	216816__E8MU45__DPC6316_1140
ERR1913040.21291__1.21291	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913040.21404__1.21404	820__A0A1Q6IDS8__chtA
ERR1913040.21432__1.21432	28116__F7M1Q5__CUY_1584
ERR1913040.21555__1.21555	853__A0A2A7B1Y7__C7K05_11930
ERR1913040.21593__1.21593	69974__A0A090FEL8__MPL3365_630008
ERR1913040.21626__1.21626	853__E2ZJT1__C4N23_03535
ERR1913040.21775__1.21775	556259__I0PYJ6__BSGG_5210
ERR1913040.21976__1.21976	28117__B0MSS1__ALIPUT_00273
ERR1913040.22053__1.22053	69974__A0A090FEL8__MPL3365_630008
ERR1913040.22089__1.22089	301302__A0A0M6WB53__mcp4_4
ERR1913040.22215__1.22215	69974__A0A090FEL8__MPL3365_630008
ERR1913040.22266__1.22266	40518__R5E7S2__RBL263_00671
ERR1913040.22318__1.22318	1034346__A0A3C0DBI0__DBX92_13185
ERR1913040.22421__1.22421	371601__A0A174KV09__B5E50_18085
ERR1913040.22467__1.22467	165179__A0A3E5EB26__CFT61_02800
ERR1913040.22649__1.22649	853__A0A173RZ39__C4N22_01650
ERR1913040.22663__1.22663	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913040.22768__1.22768	1262913__R7JEY4__BN646_02004
ERR1913040.22799__1.22799	69974__A0A090FEL8__MPL3365_630008
ERR1913040.22921__1.22921	69974__A0A090FEL8__MPL3365_630008
ERR1913040.23026__1.23026	310298__B3JNH3__BACCOP_03486
ERR1913040.23044__1.23044	165179__A0A3E5AG99__DXB80_04390
ERR1913040.23088__1.23088	69974__A0A090FEL8__MPL3365_630008
ERR1913040.23166__1.23166	39485__A0A174YJA4__EUBELI_20421
ERR1913040.23285__1.23285	69974__A0A090FEL8__MPL3365_630008
ERR1913040.23292__1.23292	818__Q8A3A6__Btheta7330_00071
ERR1913040.23489__1.23489	165179__A0A3E5E8N5__DXC61_13460
ERR1913040.23522__1.23522	39485__R5ZYJ0__ERS852492_00222
ERR1913040.23626__1.23626	853__D4JY61__C4N21_10560
ERR1913040.23670__1.23670	69974__A0A090FEL8__MPL3365_630008
ERR1913040.23756__1.23756	204516__U6R9L2__HMPREF1534_03110
ERR1913040.23936__1.23936	165179__D1PGU8__PREVCOP_06463
ERR1913040.23948__1.23948	69974__A0A090FEL8__MPL3365_630008
ERR1913040.23954__1.23954	626933__H1DGX0__HMPREF9449_01506
ERR1913040.24089__1.24089	1550024__G9RWC0__ASJ35_03560
ERR1913040.24412__1.24412	28117__B0MY41__BHV66_05165
ERR1913040.24422__1.24422	69974__A0A090FEL8__MPL3365_630008
ERR1913040.24577__1.24577	40518__R5E2U9__RBL263_01292
ERR1913040.24574__1.24574	216816__A0A1D7MV89__EK5BL_04715
ERR1913040.24661__1.24661	69974__A0A090FEL8__MPL3365_630008
ERR1913040.24670__1.24670	69974__A0A090FEL8__MPL3365_630008
ERR1913040.24760__1.24760	39485__R5ZHA7__ERS852490_00039
ERR1913040.24923__1.24923	69974__A0A090FEL8__MPL3365_630008
ERR1913040.24924__1.24924	84024__A0A174LEU5__cwlC2_2
ERR1913040.24965__1.24965	820__A0A3E4RTP0__C801_01067
ERR1913040.25092__1.25092	301301__A0A395VC27__adaA_5
ERR1913040.25226__1.25226	28118__F9Z750__Odosp_3044
ERR1913040.25204__1.25204	28116__A7LS06__HMPREF2532_04668
ERR1913040.25250__1.25250	626933__H1DGX0__HMPREF9449_01506
ERR1913040.25259__1.25259	301301__A0A395V9G1__RHOM_02750
ERR1913040.25303__1.25303	165179__A0A3E5EAM5__DXC61_07785
ERR1913040.25365__1.25365	214856__A0A173YXX1__ERS852559_01651
ERR1913040.25371__1.25371	1262924__R7HSF6__BN585_00844
ERR1913040.25410__1.25410	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913040.25456__1.25456	28118__F9ZAK8__NCTC10826_02458
ERR1913040.25484__1.25484	1262929__R6F6C8__BN691_01344
ERR1913040.25551__1.25551	39491__A0A395V0H3__ERS852417_01192
ERR1913040.25613__1.25613	69974__A0A090FEL8__MPL3365_630008
ERR1913040.25735__1.25735	853__A0A174BA00__DW905_01145
ERR1913040.25818__1.25818	69974__A0A090FEL8__MPL3365_630008
ERR1913040.25825__1.25825	487174__K0X4Y9__DDY40_09115
ERR1913040.25909__1.25909	40518__R5E6K5__speA
ERR1913040.26000__1.26000	853__A0A173T0Y8__CGS54_07215
ERR1913040.26006__1.26006	69974__A0A090FEL8__MPL3365_630008
ERR1913040.26018__1.26018	1160721__R6TGH1__BHW50_05060
ERR1913040.26047__1.26047	69974__A0A090FEL8__MPL3365_630008
ERR1913040.26056__1.26056	165179__D1PCL6__DXB80_13435
ERR1913040.26205__1.26205	69974__A0A090FEL8__MPL3365_630008
ERR1913040.26397__1.26397	143393__X8K178__HMPREF9092_0866
ERR1913040.26583__1.26583	28117__R7JMT0__BHV66_05875
ERR1913040.26742__1.26742	165179__A0A3E5DY64__CFT61_10025
ERR1913040.26778__1.26778	301302__R5V5K3__M72_10541
ERR1913040.26854__1.26854	310298__B3JQR0__BACCOP_04272
ERR1913040.26901__1.26901	69974__A0A090FEL8__MPL3365_630008
ERR1913040.26927__1.26927	310298__B3JK99__BACCOP_02328
ERR1913040.26958__1.26958	853__A0A173T751__C4N24_10280
ERR1913040.26968__1.26968	69974__A0A090FEL8__MPL3365_630008
ERR1913040.27074__1.27074	69974__A0A090FEL8__MPL3365_630008
ERR1913040.27143__1.27143	1262992__R5D733__BN795_00375
ERR1913040.27145__1.27145	165179__A0A3E5EA43__DXC61_07775
ERR1913040.27154__1.27154	69974__A0A090FEL8__MPL3365_630008
ERR1913040.27227__1.27227	39485__A0A174Z551__glnL
ERR1913040.27456__1.27456	28116__A0A1Y4Q112__evgS_13
ERR1913040.27520__1.27520	69974__A0A090FEL8__MPL3365_630008
ERR1913040.27565__1.27565	69974__A0A090FEL8__MPL3365_630008
ERR1913040.27602__1.27602	371601__D7K3R0__CW3_1453
ERR1913040.27619__1.27619	820__A0A174DZ97__SAMN05444418_101240
ERR1913040.27622__1.27622	40518__R5DMZ0__DXD83_05610
ERR1913040.27660__1.27660	39485__C4Z6J7__ERS852492_02047
