ERR1913022.106__1.106	454154__G5SMG6__HMPREF9441_00541
ERR1913022.7367__1.7367	28118__R6F2P2__NCTC10826_02131
ERR1913022.7388__1.7388	1263044__GCA_000433375.1_00023
ERR1913022.7467__1.7467	166486__D4KZ69__ERS852572_01502
ERR1913022.7505__1.7505	357276__A0A0M1W9N4__GV66_05135
ERR1913022.7645__1.7645	28116__A0A1Y4P7B7__M088_2098
ERR1913022.7697__1.7697	1262825__R5ECH5__BN724_02253
ERR1913022.7858__1.7858	357276__A0A0M1W9N4__GV66_05135
ERR1913022.8106__1.8106	28111__E5WUX1__HMPREF1016_00548
ERR1913022.8146__1.8146	818__A0A0P0F391__BJP75_009470
ERR1913022.8345__1.8345	28111__R5JPB6__NCTC11155_02514
ERR1913022.8373__1.8373	820__A0A374Q854__HMPREF1073_03281
ERR1913022.8430__1.8430	28118__R6F707__B5F99_15665
ERR1913022.8605__1.8605	39486__B0G2J6__DXB12_13190
ERR1913022.8627__1.8627	1262935__R5GUZ2__BN773_00533
ERR1913022.8660__1.8660	1262889__R7H9H9__BN634_02436
ERR1913022.8758__1.8758	818__A0A3E5HGB5__ERS852511_02145
ERR1913022.8877__1.8877	291644__I9T9Y0__HMPREF1071_01813
ERR1913022.8968__1.8968	47678__R5UXY0__CGC64_03535
ERR1913022.9010__1.9010	487174__K0XEB6__DDY40_08400
ERR1913022.9247__1.9247	46503__R6WY21__DXB85_01605
ERR1913022.9288__1.9288	357276__B6W1Y5__IY41_11405
ERR1913022.9293__1.9293	2293125__A0A374BSW4__DW917_13420
ERR1913022.9401__1.9401	487174__K0XG34__HMPREF9448_02234
ERR1913022.9569__1.9569	820__A0A139K426__B5G17_09115
ERR1913022.9649__1.9649	357276__A0A0P0M2G3__BACDOR_03913
ERR1913022.9710__1.9710	246787__A0A3D6AQP8__AA416_04153
ERR1913022.9756__1.9756	40518__R5E7S2__RBL263_00671
ERR1913022.9988__1.9988	487174__K0WRH0__DDY40_05725
ERR1913022.9965__1.9965	166486__D4KXK8__xynB_1
ERR1913022.10001__1.10001	371601__A0A174LAP7__BN891_21300
ERR1913022.10054__1.10054	39488__A0A374NTX6__DXD91_03400
ERR1913022.10036__1.10036	39488__A0A173URV1__DXD91_07100
ERR1913022.10045__1.10045	823__K6AS99__ERS852429_01856
ERR1913022.10180__1.10180	357276__A0A076IS26__EL88_15950
ERR1913022.10372__1.10372	1160721__R6TAA3__BHW50_03385
ERR1913022.10416__1.10416	821__A0A0P0LH09__ERS852457_03390
ERR1913022.10482__1.10482	1378168__V2YA11__N510_02528
ERR1913022.10765__1.10765	357276__A0A0K2HHN3__GV66_08845
ERR1913022.10849__1.10849	47678__A5ZI88__BACCAC_02617
ERR1913022.11275__1.11275	1262911__R6H1D2__BN557_00855
ERR1913022.11308__1.11308	28118__F9Z8K4__Odosp_0843
ERR1913022.11333__1.11333	47678__A5ZH12__DXB67_04890
ERR1913022.11341__1.11341	40518__R5DUU0__DXD93_03985
ERR1913022.11444__1.11444	820__A0A374Q8T2__DXB64_16190
ERR1913022.11579__1.11579	39496__A5Z5I2__EUBVEN_00963
ERR1913022.11666__1.11666	821__A0A396F9T7__M097_3427
ERR1913022.11905__1.11905	46228__V8BLW9__DXD17_14090
ERR1913022.11976__1.11976	33039__D4M5J1__spoIIIAE_2
ERR1913022.12077__1.12077	39488__C0EY66__prkC_1
ERR1913022.12039__1.12039	2293125__A0A374C671__DW917_09135
ERR1913022.12180__1.12180	214856__I3YMB7__Alfi_1811
ERR1913022.12181__1.12181	1262911__R6H0U7__BN557_01104
ERR1913022.12279__1.12279	1262935__R5GTF2__BN773_00142
ERR1913022.12324__1.12324	47678__R5UER2__CGC64_00710
ERR1913022.12516__1.12516	46228__V8C989__HMPREF1202_01036
ERR1913022.12579__1.12579	1263044__GCA_000433375.1_03428
ERR1913022.12539__1.12539	1262889__R7HB16__BN634_02255
ERR1913022.13116__1.13116	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913022.13181__1.13181	246787__A0A108T791__BcellWH2_04418
ERR1913022.13335__1.13335	1262935__R5GRK6__BN773_01192
ERR1913022.13378__1.13378	39492__D4JR08__ERS852540_02467
ERR1913022.13692__1.13692	28111__E5WYC3__NCTC11155_03517
ERR1913022.14162__1.14162	487174__K0X3E8__DIT83_11025
ERR1913022.14425__1.14425	1735__B7CD84__EUBIFOR_02163
ERR1913022.14785__1.14785	1262889__R7HCE8__BN634_01718
ERR1913022.15095__1.15095	39488__A0A174ALY3__ERS852450_00805
ERR1913022.15119__1.15119	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913022.15105__1.15105	487174__K0XIX0__DDY40_06625
ERR1913022.15144__1.15144	823__D0TJX4__M095_1560
ERR1913022.15328__1.15328	291644__I9T9Y0__HMPREF1071_01813
ERR1913022.15336__1.15336	357276__B6VYT9__HMPREF1063_05030
ERR1913022.15394__1.15394	357276__A0A0M1W9N4__GV66_05135
ERR1913022.15588__1.15588	47678__R5U7P3__DXB67_08985
ERR1913022.15668__1.15668	357276__B6W1Y1__BSEG_03960
ERR1913022.15891__1.15891	1262945__R6YTQ4__BN600_01086
ERR1913022.15906__1.15906	47678__R5U978__ERS852558_01076
ERR1913022.16084__1.16084	291644__R5JMN9__HMPREF1532_00991
ERR1913022.16131__1.16131	823__A6LFW2__M095_1860
ERR1913022.16287__1.16287	357276__I9FU68__HMPREF1063_00557
ERR1913022.16392__1.16392	1235790__S0J8L6__C805_00148
ERR1913022.16493__1.16493	823__A0A174W1A8__panE
ERR1913022.16620__1.16620	291645__I8WZT8__HMPREF1068_04327
ERR1913022.17211__1.17211	1262886__R6QJF6__BN563_01169
ERR1913022.17263__1.17263	357276__A0A076IN21__BSEG_03078
ERR1913022.17799__1.17799	818__A0A3E5HN92__C5Z03_22280
ERR1913022.18133__1.18133	46228__V8BL81__DXD17_11825
ERR1913022.18165__1.18165	821__A6L0C7__ERS852556_03520
ERR1913022.18247__1.18247	649756__B0NWY4__blaR1_3
ERR1913022.18542__1.18542	40518__R5E4Y8__RBATCC27255_01448
ERR1913022.18714__1.18714	706562__GCA_900112995.1_01419
ERR1913022.18950__1.18950	357276__I8WBQ9__HMPREF1065_03212
ERR1913022.19055__1.19055	357276__A0A174L570__GV66_05720
ERR1913022.19319__1.19319	33039__D4M1V4__RTO_04530
ERR1913022.19540__1.19540	487174__K0X3H8__HMPREF9448_02822
ERR1913022.19558__1.19558	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913022.19563__1.19563	357276__C3R9Y0__HMPREF1064_01889
ERR1913022.19851__1.19851	46506__B0NUC8__DXC34_03410
ERR1913022.20204__1.20204	46228__V8BYC1__RUMLAC_00426
ERR1913022.20375__1.20375	28118__R6FX99__Odosp_1660
ERR1913022.20925__1.20925	46228__V8BQJ4__DXD17_00215
ERR1913022.21036__1.21036	39492__D4JS88__ERS852540_00578
ERR1913022.21201__1.21201	46228__B5CPX5__RUMLAC_01520
ERR1913022.21316__1.21316	291644__R5JES5__HMPREF1071_02803
ERR1913022.21596__1.21596	253839__D9VQ27__SSNG_03091
ERR1913022.21635__1.21635	28117__B0MU57__ALIPUT_00175
ERR1913022.21940__1.21940	291644__I8Y2A3__HMPREF1532_03851
ERR1913022.21956__1.21956	1263006__R6LS76__BN515_00750
ERR1913022.22050__1.22050	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913022.22378__1.22378	487174__K0X3H8__HMPREF9448_02822
ERR1913022.22398__1.22398	1262935__R5GK32__BN773_00174
ERR1913022.22571__1.22571	47678__A5ZF31__DXB67_11050
ERR1913022.22853__1.22853	1262889__R7HAE2__BN634_00423
ERR1913022.22969__1.22969	291644__I9HP97__HMPREF1532_00061
ERR1913022.23056__1.23056	1550024__G9RTE9__ASJ35_09555
ERR1913022.23352__1.23352	39492__D4JVG1__ERS852540_00951
ERR1913022.23419__1.23419	1263044__GCA_000433375.1_03429
ERR1913022.23586__1.23586	357276__C3R5A0__B5F00_02960
ERR1913022.23601__1.23601	357276__I9QBT7__BSEG_03340
ERR1913022.23627__1.23627	823__A0A355XLH0__fepA_1
ERR1913022.23719__1.23719	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913022.23751__1.23751	357276__A0A0M1W1I8__ABI39_13620
ERR1913022.23877__1.23877	28111__R5K5Y0__NCTC11155_03071
ERR1913022.23951__1.23951	28111__R5K5Y3__BACEGG_03205
ERR1913022.24420__1.24420	487174__K0XL60__DDY40_11760
ERR1913022.24454__1.24454	820__A0A174R952__DXB48_02570
ERR1913022.24467__1.24467	39492__D4MIY5__EUBSIR_00233
ERR1913022.24468__1.24468	418240__C6JFJ7__ERS852523_01165
ERR1913022.24824__1.24824	28111__R5JUK8__NCTC11155_02515
ERR1913022.24876__1.24876	357276__I8WBQ9__HMPREF1065_03212
ERR1913022.25146__1.25146	357276__A0A0K2HG61__BACDOR_02028
ERR1913022.25159__1.25159	357276__A0A0K2HHN3__GV66_08845
ERR1913022.25313__1.25313	1262992__R5D9U9__BN795_01022
ERR1913022.25342__1.25342	357276__I8VN48__ABI39_07855
ERR1913022.25358__1.25358	1160721__W0U3I6__RBI_I00579
ERR1913022.25465__1.25465	291644__I8Y2A3__HMPREF1532_03851
ERR1913022.25475__1.25475	1263011__R6DPZ5__BN553_01010
ERR1913022.25740__1.25740	28118__F9Z9X9__DF785_11470
ERR1913022.25863__1.25863	1262935__R5GRP8__BN773_01395
ERR1913022.26037__1.26037	47678__R5U7X8__C5Z00_18270
ERR1913022.26220__1.26220	418240__C6JGL2__ERS852523_00030
ERR1913022.26235__1.26235	821__A0A174JYD3__ERS852457_02610
ERR1913022.26615__1.26615	821__A0A0P0LH09__ERS852457_03390
ERR1913022.26635__1.26635	46506__R6AEZ1__BACSTE_01801
ERR1913022.26729__1.26729	821__A0A174WBC9__ERS852556_03145
ERR1913022.26871__1.26871	291644__I9HGG9__HMPREF1071_03600
ERR1913022.26901__1.26901	246787__R6KIG0__BcellWH2_02358
ERR1913022.26902__1.26902	39491__A0A396FRK0__ERS852417_00541
ERR1913022.26928__1.26928	671267__R9IB12__C802_00696
ERR1913022.27037__1.27037	1262889__R7H801__BN634_02373
ERR1913022.27087__1.27087	357276__A0A076IRV2__BACDOR_02822
ERR1913022.27104__1.27104	821__A0A0P0LH09__ERS852457_03390
ERR1913022.27285__1.27285	46228__V8CB83__RUMLAC_02479
ERR1913022.27328__1.27328	1897011__A0A1Q6RJY0__BHW41_00040
ERR1913022.27510__1.27510	74426__nifJ
ERR1913022.27527__1.27527	357276__A0A076IKP7__BACDOR_04239
ERR1913022.27677__1.27677	357276__I8WPR6__EL88_06675
ERR1913022.27738__1.27738	1262886__R6Q765__BN563_00634
ERR1913022.27990__1.27990	2293125__A0A374BSW4__DW917_13420
ERR1913022.28125__1.28125	821__A0A396F598__CUU_3259
ERR1913022.28153__1.28153	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913022.28462__1.28462	1262980__R5BQ24__BN814_00064
ERR1913022.28519__1.28519	357276__I9FRW5__B5F95_21685
ERR1913022.28822__1.28822	410072__C0B9G6__ERS852481_03113
ERR1913022.28899__1.28899	552398__F4XCQ4__HMPREF0866_01621
ERR1913022.28915__1.28915	357276__C3RDQ5__HMPREF1065_03827
ERR1913022.29021__1.29021	1262992__R5CXM7__BN795_01016
ERR1913022.29221__1.29221	1262889__R7H8W1__BN634_00624
ERR1913022.29298__1.29298	820__A0A174CG08__DXB62_13215
ERR1913022.29484__1.29484	454155__F3QTH4__HMPREF9442_01492
ERR1913022.29584__1.29584	1965631__A0A1Y4AIV0__B5F90_04660
ERR1913022.29833__1.29833	39492__D4JRL2__ERS852540_01608
ERR1913022.29873__1.29873	357276__A0A0K2HG61__BACDOR_02028
ERR1913022.30004__1.30004	46228__V8CA96__RUMLAC_01531
ERR1913022.30020__1.30020	821__E5UY21__C800_02204
ERR1913022.30358__1.30358	1547597__A0A0C3N9Y2__IE90_06270
ERR1913022.30393__1.30393	165179__A0A3E5EAM5__DXC61_07785
ERR1913022.30636__1.30636	40518__R5DZC6__mreC
ERR1913022.30684__1.30684	487174__K0XG81__HMPREF9448_02274
ERR1913022.30963__1.30963	821__A0A078R9Y9__M097_2119
ERR1913022.31074__1.31074	39492__D4JRZ7__smc
ERR1913022.31165__1.31165	46506__B0NRJ1__DXC41_14065
ERR1913022.31171__1.31171	40518__R5DT93__DXD86_08730
ERR1913022.31376__1.31376	1262958__R7H0I7__BN645_01812
ERR1913022.31404__1.31404	820__R9I3N4__M093_0061
ERR1913022.31500__1.31500	357276__I9RAC4__BSEG_00561
ERR1913022.31533__1.31533	821__A0A174NM17__lacZ_6
ERR1913022.31557__1.31557	671267__R9IL60__C802_00379
ERR1913022.31589__1.31589	357276__B6W1Y5__IY41_11405
ERR1913022.31710__1.31710	821__A0A174AYT0__DXC02_03530
ERR1913022.31713__1.31713	1262958__R7GSW0__BN645_00908
ERR1913022.31791__1.31791	357276__E5UTL1__HMPREF1065_03551
ERR1913022.31908__1.31908	357276__A0A076J726__IY41_15030
ERR1913022.32173__1.32173	291644__U6RV10__ERS852428_00490
ERR1913022.32364__1.32364	46228__V8BY98__RUMLAC_00452
ERR1913022.32345__1.32345	820__A0A139K5A6__DXB48_12175
ERR1913022.32473__1.32473	47678__R5U8D1__CGC64_17595
ERR1913022.32483__1.32483	1262886__R6QPP8__BN563_00924
ERR1913022.32502__1.32502	46228__B5CPF2__RUMLAC_01345
ERR1913022.32571__1.32571	166486__D4KZ24__ROSINTL182_05766
ERR1913022.32692__1.32692	1262889__R7H967__BN634_00445
ERR1913022.32713__1.32713	39492__A0A174ZHV5__msbA_2
ERR1913022.32857__1.32857	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913022.32953__1.32953	818__Q8A112__BT_3859
ERR1913022.32993__1.32993	291644__R5JC88__HMPREF1532_00990
ERR1913022.33005__1.33005	47678__A5ZL09__BACCAC_03608
ERR1913022.33123__1.33123	1262736__R5YWX2__BN496_01074
ERR1913022.33372__1.33372	39492__D4JWB3__EUBSIR_00040
ERR1913022.33566__1.33566	821__C3RB94__DXC03_15585
ERR1913022.33689__1.33689	291644__I9ICQ4__HMPREF1532_00686
ERR1913022.33660__1.33660	820__A0A139KJ23__celCCA
ERR1913022.33776__1.33776	1796613__A0A1C7H2D7__ADH74_14565
ERR1913022.33874__1.33874	28117__B0MT84__ALIPUT_00402
ERR1913022.34015__1.34015	33039__D4M6E9__ERS852390_02866
ERR1913022.34058__1.34058	1262825__R5ED15__BN724_00006
ERR1913022.34211__1.34211	39492__A0A174ZHV5__msbA_2
ERR1913022.34221__1.34221	1262886__R6Q951__BN563_00504
ERR1913022.34355__1.34355	418240__A0A174AQ30__ERS852478_00945
ERR1913022.34416__1.34416	74426__group_4808
ERR1913022.34661__1.34661	357276__A0A076IRZ5__BACDOR_00630
ERR1913022.34858__1.34858	821__A0A395VMG0__DXC44_18080
ERR1913022.35030__1.35030	487174__K0WZP2__DDY40_04000
ERR1913022.34979__1.34979	2293125__A0A374C3L4__DW917_09100
ERR1913022.35046__1.35046	33039__D4LZZ3__psf-1
ERR1913022.35235__1.35235	1262825__R5ECQ2__BN724_02313
ERR1913022.35323__1.35323	28111__R5JN40__HMPREF1016_01803
ERR1913022.35345__1.35345	823__A0A173TL14__M095_0764
ERR1913022.35661__1.35661	487174__K0X591__DDY40_01805
ERR1913022.35702__1.35702	1262935__R5GIS0__BN773_01547
ERR1913022.35861__1.35861	357276__A0A0K2HI25__DXD47_04465
ERR1913022.36440__1.36440	821__C6Z087__DXB90_00750
ERR1913022.36459__1.36459	1262889__R7H9A4__BN634_00112
ERR1913022.36558__1.36558	46228__V8C989__HMPREF1202_01036
ERR1913022.36678__1.36678	214856__R5UN64__ERS852447_02669
ERR1913022.36719__1.36719	823__A6L9D3__ERS852560_03374
ERR1913022.36826__1.36826	46228__B5CQI6__RUMLAC_01732
ERR1913022.36861__1.36861	46228__B5CPF2__RUMLAC_01345
ERR1913022.36870__1.36870	47678__R5UAI1__BACCAC_01922
ERR1913022.36969__1.36969	214856__R6Z4Q8__ERS852447_00885
ERR1913022.37004__1.37004	1501391__GCA_000786575.1_00062
ERR1913022.37116__1.37116	357276__A0A076IYE6__IY41_04275
ERR1913022.37260__1.37260	165179__A0A3E5EAM5__DXC61_07785
ERR1913022.37475__1.37475	821__E5UY21__C800_02204
ERR1913022.37645__1.37645	291644__R5JUY5__HMPREF1071_00941
ERR1913022.37835__1.37835	46228__B5CKX6__RUMLAC_00090
ERR1913022.37838__1.37838	46503__A7AG59__ERS852463_00349
ERR1913022.37998__1.37998	1262889__R7HAH9__BN634_01158
ERR1913022.38002__1.38002	1262935__R5GG03__BN773_00437
ERR1913022.37978__1.37978	204516__U6RH18__HMPREF1534_01847
ERR1913022.38303__1.38303	357276__C3RA36__HMPREF1065_03270
ERR1913022.38414__1.38414	371601__A0A1C7H1Z9__BN890_35950
ERR1913022.38640__1.38640	410072__A0A173XQG6__ERS852574_01620
ERR1913022.38670__1.38670	28111__E5WUX1__HMPREF1016_00548
ERR1913022.39090__1.39090	1262935__R5GIS0__BN773_01547
ERR1913022.39311__1.39311	821__U6RDC2__DXD46_15675
ERR1913022.39334__1.39334	410072__A0A3E4GP91__COPCOM_03835
ERR1913022.39552__1.39552	823__D7ILK2__ERS852380_00031
ERR1913022.39658__1.39658	1262889__R7HAQ6__BN634_02130
ERR1913022.39694__1.39694	1501391__GCA_000786575.1_00028
ERR1913022.39848__1.39848	1501391__GCA_000786575.1_00003
ERR1913022.39877__1.39877	291644__I9TLT3__inlJ_2
ERR1913022.40212__1.40212	1262889__R7HA41__BN634_01028
ERR1913022.40320__1.40320	487174__K0X4F7__DDY40_08055
ERR1913022.40671__1.40671	2173__A0A1D2WSG3__METSMIALI_00588
ERR1913022.40696__1.40696	1263109__GCA_000438135.1_00485
ERR1913022.40979__1.40979	357276__A0A076INK2__BSEG_04225
ERR1913022.41029__1.41029	291644__I8Y6B7__HMPREF1532_02902
ERR1913022.41092__1.41092	357276__I9QWD4__DXD47_15075
ERR1913022.41335__1.41335	28116__I9JM49__NCTC11153_01044
ERR1913022.41383__1.41383	1262935__R5GGT6__BN773_00922
ERR1913022.41412__1.41412	165179__A0A229I7F5__DXB80_02650
ERR1913022.41633__1.41633	823__A0A355XFH7__ERS852513_00769
ERR1913022.41743__1.41743	823__A0A395Z066__M091_0663
ERR1913022.41694__1.41694	28111__E5WTU8__BACEGG_01922
ERR1913022.41879__1.41879	165179__A0A174SA26__PREVCOP_05758
ERR1913022.41947__1.41947	1501391__GCA_000786575.1_00081
ERR1913022.41980__1.41980	47678__R5U558__ERS852558_02232
ERR1913022.42015__1.42015	165179__A0A174SA26__PREVCOP_05758
ERR1913022.42109__1.42109	1262889__R7HD12__BN634_00607
ERR1913022.42167__1.42167	821__A0A395UNT8__DXD64_15275
ERR1913022.42297__1.42297	1262886__R6RCF6__BN563_00371
ERR1913022.42446__1.42446	357276__I8WBQ9__HMPREF1065_03212
ERR1913022.42542__1.42542	823__A6LH14__B5F32_11640
ERR1913022.42623__1.42623	46228__V8BPQ4__HMPREF1202_02321
ERR1913022.42672__1.42672	821__A0A3E4HP25__SAMN04487923_102450
ERR1913022.42834__1.42834	556259__E5C690__BSGG_1431
ERR1913022.42890__1.42890	1262889__R7H801__BN634_02373
ERR1913022.42975__1.42975	39491__C4Z9K7__EUBREC_0050
ERR1913022.43032__1.43032	371601__D6CXF7__BN891_50120
ERR1913022.43231__1.43231	204516__U6RFV1__HMPREF1534_02560
ERR1913022.43296__1.43296	291644__I9HP97__HMPREF1532_00061
ERR1913022.43345__1.43345	1628085__A0A374VQ80__C7386_10352
ERR1913022.43538__1.43538	28117__B0MXX3__BHV66_07695
ERR1913022.43643__1.43643	28111__E5WUE7__BACEGG_02087
ERR1913022.43898__1.43898	291644__U6RCK0__HMPREF1532_04079
ERR1913022.43957__1.43957	487174__R5FJY1__DDY40_07045
ERR1913022.44283__1.44283	46228__B5CTC0__RUMLAC_02743
ERR1913022.44367__1.44367	818__R7KLE6__BJP75_004275
ERR1913022.44455__1.44455	28111__R5JVV2__BACEGG_02950
ERR1913022.44516__1.44516	40518__R5DUU0__DXD93_03985
ERR1913022.44590__1.44590	46506__A0A108TAK3__fepA_3
ERR1913022.44734__1.44734	821__A0A174NSU0__BVU_3144
ERR1913022.44748__1.44748	821__A6L0C7__ERS852556_03520
ERR1913022.44816__1.44816	487174__K0WXI5__DDY40_07185
ERR1913022.44821__1.44821	1262886__R6Q953__BN563_01252
ERR1913022.44956__1.44956	40518__R5E0F2__RBATCC27255_01890
ERR1913022.45035__1.45035	552398__F4X9X8__HMPREF0866_00091
ERR1913022.45090__1.45090	1262935__R5GFE1__BN773_00206
ERR1913022.45270__1.45270	1262743__R5C054__BN727_01980
ERR1913022.45271__1.45271	821__A0A173WG51__BVU_2549
ERR1913022.45302__1.45302	28111__R5K5Y0__NCTC11155_03071
ERR1913022.45305__1.45305	1965538__A0A1Y4W145__B5E43_13055
ERR1913022.45484__1.45484	821__A0A174JYD3__ERS852457_02610
ERR1913022.45498__1.45498	1262911__R6H2J2__BN557_01228
ERR1913022.45656__1.45656	357276__A0A076IYG1__B5F95_22465
ERR1913022.45729__1.45729	1897011__A0A1Q6RD70__BHW41_05845
ERR1913022.45757__1.45757	1501391__GCA_000786575.1_00130
ERR1913022.45878__1.45878	357276__B6W1Y1__BSEG_03960
ERR1913022.45912__1.45912	1262889__R7HAA8__BN634_00776
ERR1913022.45943__1.45943	28111__E5WYY8__HMPREF1016_01893
ERR1913022.46002__1.46002	291644__R5J8R6__HMPREF1071_00398
ERR1913022.46151__1.46151	487174__R5EUJ8__DDY40_00460
ERR1913022.46159__1.46159	291645__I8XPK0__HMPREF1068_01554
ERR1913022.46195__1.46195	246787__A0A3D6AYS8__HMPREF1062_06098
ERR1913022.46287__1.46287	823__A0A173UDF6__CEQ22_003270
ERR1913022.46502__1.46502	387090__S0FBZ8__BACCOPRO_01470
ERR1913022.46584__1.46584	246787__A0A0P0GIA4__AA416_04405
ERR1913022.46843__1.46843	2293125__A0A374BSW4__DW917_13420
ERR1913022.46944__1.46944	291644__I9HQ59__HMPREF1071_02479
ERR1913022.46966__1.46966	357276__A0A076J9V8__BACDOR_01395
ERR1913022.47071__1.47071	1263000__R5EMM7__BN466_00616
ERR1913022.47123__1.47123	46228__B5CL89__RUMLAC_00210
ERR1913022.47188__1.47188	1263044__GCA_000433375.1_03428
ERR1913022.47215__1.47215	357276__B6W1J2__BACDOR_03380
ERR1913022.47455__1.47455	1262886__R6QAI4__BN563_00898
ERR1913022.47474__1.47474	46506__A0A108T991__AA415_01433
ERR1913022.47618__1.47618	823__C7XBX3__HMPREF1059_03212
ERR1913022.47694__1.47694	1262889__R7HAC7__BN634_01118
ERR1913022.47723__1.47723	1262935__R5GRK6__BN773_01192
ERR1913022.47782__1.47782	28117__B0MUX4__ALIPUT_00911
ERR1913022.47884__1.47884	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913022.47927__1.47927	1262935__R5GF26__BN773_01700
ERR1913022.48118__1.48118	1262886__R6QD55__BN563_01713
ERR1913022.48159__1.48159	820__R9HP61__DXC91_01090
ERR1913022.48136__1.48136	246787__R6K7I2__BcellWH2_03256
ERR1913022.48139__1.48139	291644__I9SMF9__HMPREF1532_02933
ERR1913022.48389__1.48389	39491__A0A395UXH0__EUBREC_0021
ERR1913022.48917__1.48917	2173__A5ULD0__BK798_05990
ERR1913022.49056__1.49056	1262888__R6PFM4__BN582_00334
ERR1913022.49057__1.49057	357276__C3REQ8__GV66_09740
