ERR1913139.199__1.199	901__B6WW26__DESPIG_02294
ERR1913139.19162__1.19162	1090133__GeneID:14008340
ERR1913139.19290__1.19290	43675__D2NPQ3__CO690_04465
ERR1913139.19454__1.19454	113107__E7S9F5__HMPREF9421_0595
ERR1913139.19465__1.19465	905__D2RJV1__SAMN02910455_00072
ERR1913139.19663__1.19663	165179__A0A3E5ED28__PREVCOP_06655
ERR1913139.19999__1.19999	853__A0A2A7B9I6__DW855_13690
ERR1913139.20146__1.20146	1262911__R6H212__BN557_01031
ERR1913139.20249__1.20249	1262920__R5KD76__BN467_01465
ERR1913139.20428__1.20428	28111__E5WXY3__NCTC11155_00116
ERR1913139.20728__1.20728	33043__D5HIL8__ERS852386_02009
ERR1913139.20833__1.20833	1262911__R6H1P0__BN557_00940
ERR1913139.20805__1.20805	901__B6WPV0__BHW59_02315
ERR1913139.20931__1.20931	165179__D1P9T6__PREVCOP_04016
ERR1913139.20936__1.20936	39485__R6AJT3__EUBELI_01178
ERR1913139.20999__1.20999	165179__A0A229I9X5__CFT61_01205
ERR1913139.21452__1.21452	1262886__R6QHZ9__BN563_00710
ERR1913139.21562__1.21562	165179__R6CNX7__DXB80_02200
ERR1913139.21631__1.21631	39491__A0A396FMT0__EUBREC_3020
ERR1913139.21868__1.21868	853__D4JY61__C4N21_10560
ERR1913139.21935__1.21935	165179__D1PGJ6__DXC61_07300
ERR1913139.22041__1.22041	1263006__R6LU28__BN515_01365
ERR1913139.22062__1.22062	1262959__R5XW12__BN680_00372
ERR1913139.22541__1.22541	820__A0A374Q8T2__DXB64_16190
ERR1913139.22710__1.22710	165179__A0A3E5E3D6__DXC61_05750
ERR1913139.22821__1.22821	2047__D8USU3__NCTC10917_02032
ERR1913139.22974__1.22974	1262911__R6HHR1__BN557_01622
ERR1913139.23296__1.23296	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913139.23378__1.23378	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913139.23755__1.23755	1262741__R6CXB0__BN697_02420
ERR1913139.24339__1.24339	820__A0A139JRS5__HMPREF1073_04025
ERR1913139.24434__1.24434	39491__A0A396FP46__cobD_2
ERR1913139.24487__1.24487	165179__A0A174K816__DXB80_12000
ERR1913139.24500__1.24500	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913139.24511__1.24511	1262936__R7J5M6__BN799_00272
ERR1913139.24600__1.24600	33043__A0A173WXS1__ERS852445_00262
ERR1913139.24679__1.24679	853__A0A174UDE9__C4N25_12775
ERR1913139.24702__1.24702	626940__E8LC93__DCQ00_09725
ERR1913139.24924__1.24924	1262936__R7IYM0__BN799_00052
ERR1913139.24976__1.24976	853__A0A2J4JL53__CRH10_10795
ERR1913139.25135__1.25135	1124654__GeneID:14005783
ERR1913139.25202__1.25202	165179__A0A3E5DWZ6__DXC61_10880
ERR1913139.25513__1.25513	853__A0A2A7B1Y7__C7K05_11930
ERR1913139.25560__1.25560	1263000__R5EMZ8__BN466_00707
ERR1913139.25779__1.25779	10680__GeneID:1261099
ERR1913139.25874__1.25874	820__A0A3E4G826__C801_01612
ERR1913139.25961__1.25961	901__B6WV62__DHV46_06145
ERR1913139.26179__1.26179	165179__R6BQP4__DXC61_02015
ERR1913139.26144__1.26144	39492__D4JSG7__EUBSIR_01006
ERR1913139.26530__1.26530	1262687__R7M090__BN701_00246
ERR1913139.26805__1.26805	626930__F3PWB4__HMPREF9446_03049
ERR1913139.26925__1.26925	1263000__R5EF36__BN466_01303
ERR1913139.26931__1.26931	1262882__R5MS31__BN519_01529
ERR1913139.27228__1.27228	1262936__R7J0Z2__BN799_00650
ERR1913139.27334__1.27334	165179__A0A3E5A554__DXB80_13805
ERR1913139.27347__1.27347	33043__D5HEK8__lytR_1
ERR1913139.27611__1.27611	165179__A0A3E4SG51__DXC61_10575
ERR1913139.27697__1.27697	821__A0A395UNT8__DXD64_15275
ERR1913139.27701__1.27701	820__E5VA63__DXC80_01025
ERR1913139.28299__1.28299	166486__D4L1H8__ERS852572_02204
ERR1913139.28548__1.28548	165179__R6C5D6__PREVCOP_04658
ERR1913139.28664__1.28664	820__A0A173YYG4__evgS_3
ERR1913139.28798__1.28798	1262535__GeneID:16385049
ERR1913139.28897__1.28897	33043__A8SPT5__yfiN_2
ERR1913139.29104__1.29104	1262936__R7J2K7__BN799_00229
ERR1913139.29111__1.29111	1262936__R7J146__BN799_01697
ERR1913139.29425__1.29425	907__G0VQ28__C6Y28_00880
ERR1913139.29478__1.29478	165179__R6C5D6__PREVCOP_04658
ERR1913139.29608__1.29608	165179__A0A229I9X5__CFT61_01205
ERR1913139.29810__1.29810	820__R9HUV5__HMPREF2141_02582
ERR1913139.29842__1.29842	552398__T5RKT4__HMPREF0866_04531
ERR1913139.29957__1.29957	39491__C4ZEW3__T1815_18241
ERR1913139.30054__1.30054	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913139.30154__1.30154	1262886__R6Q892__BN563_01001
ERR1913139.30226__1.30226	1262911__R6H054__BN557_00908
ERR1913139.30338__1.30338	562__A0A0E1LDD5__B9N12_14240
ERR1913139.30436__1.30436	204516__U6RDD8__HMPREF1534_02559
ERR1913139.30652__1.30652	853__A0A173SUU8__CGS54_06840
ERR1913139.31075__1.31075	1263000__R5EMW8__BN466_00256
ERR1913139.31161__1.31161	853__D4JY61__C4N21_10560
ERR1913139.31282__1.31282	2292352__A0A374UJE7__DXC23_11305
ERR1913139.31303__1.31303	371601__D6CXF8__DXD80_06045
ERR1913139.31363__1.31363	33039__R6P0F1__ERS852424_02256
ERR1913139.31489__1.31489	165179__D1PCY7__DXB80_02765
ERR1913139.31844__1.31844	39491__A0A395V1Y4__DXB99_08035
ERR1913139.32008__1.32008	1262911__R6GPI7__BN557_00907
ERR1913139.32194__1.32194	1262886__R6QJF6__BN563_01169
ERR1913139.32388__1.32388	1263109__GCA_000438135.1_01184
ERR1913139.32549__1.32549	1262936__R7J5M6__BN799_00272
ERR1913139.32481__1.32481	562__P08371__RW92_04043
ERR1913139.32705__1.32705	39491__A0A395UWZ1__DXC13_02175
ERR1913139.32813__1.32813	39491__A0A395UWZ1__DXC13_02175
ERR1913139.32886__1.32886	187979__A0A174A2K7__yjcC_2
ERR1913139.32975__1.32975	165179__D1P8Q2__trpF
ERR1913139.33526__1.33526	562__A0A0E1LDD5__B9N12_14240
ERR1913139.33538__1.33538	2292352__A0A374UIX0__DXC23_12260
ERR1913139.33601__1.33601	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913139.33751__1.33751	2292352__A0A374UKE7__DXC23_09500
ERR1913139.34139__1.34139	166486__D4KVN3__ERS852572_03944
ERR1913139.34270__1.34270	820__A0A139K1Y6__DXB48_02610
ERR1913139.34320__1.34320	28116__I8YA52__M088_0798
ERR1913139.34463__1.34463	1262936__R7J169__BN799_00083
ERR1913139.34647__1.34647	165179__D1P8V8__DXC61_01940
ERR1913139.34640__1.34640	414970__GeneID:5204421
ERR1913139.34866__1.34866	39491__A0A395V1Y4__DXB99_08035
ERR1913139.35024__1.35024	165179__A0A3E5DZD8__DXB80_09150
ERR1913139.35156__1.35156	165179__R6C5D6__PREVCOP_04658
ERR1913139.35230__1.35230	33043__A0A174GPT0__plsC_2
ERR1913139.35295__1.35295	1262936__R7J1I2__BN799_01776
ERR1913139.35442__1.35442	33043__D5HGR0__rpfC_2
ERR1913139.35443__1.35443	10680__GeneID:1261092
ERR1913139.35705__1.35705	853__A0A2A7B9I6__DW855_13690
ERR1913139.35827__1.35827	371601__A0A1Y4VG86__B5E50_11375
ERR1913139.36157__1.36157	301302__R5VFU2__xynA1
ERR1913139.36668__1.36668	823__A0A073I5R7__cloSI
ERR1913139.36768__1.36768	116085__A0A3E2TF13__mobB
ERR1913139.36897__1.36897	165179__A0A3E5AI09__DXC61_05815
ERR1913139.36909__1.36909	290054__A0A1T4N7L2__SAMN02745114_01501
ERR1913139.36996__1.36996	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913139.37017__1.37017	1680__R5GR82__AD0028_0014
ERR1913139.37171__1.37171	853__A0A3E2V168__FAEPRAM212_00929
ERR1913139.37644__1.37644	905__D2RNQ8__Acfer_0278
ERR1913139.37669__1.37669	39485__R6AKA4__rssA
ERR1913139.37883__1.37883	563769__GeneID:6973158
ERR1913139.37887__1.37887	165179__A0A229I4J4__proA
ERR1913139.37957__1.37957	10680__GeneID:1261099
ERR1913139.38019__1.38019	626940__E8LCL8__DCQ00_09880
ERR1913139.38503__1.38503	853__D4K7X0__DW905_09540
ERR1913139.38637__1.38637	853__A0A3E2U7E6__ERS852582_01640
ERR1913139.38705__1.38705	165179__D1PGD2__DXC61_10875
ERR1913139.38874__1.38874	39492__D4JVW2__EUBSIR_02285
ERR1913139.39100__1.39100	357276__A0A0M1W9N4__GV66_05135
ERR1913139.39088__1.39088	214856__I3YPP9__Alfi_2707
ERR1913139.39175__1.39175	1262936__R7J3N4__BN799_00434
ERR1913139.39296__1.39296	823__A6LEF3__ERS852560_01356
ERR1913139.39451__1.39451	458033__GCA_001482755.1_02203
ERR1913139.39526__1.39526	165179__D1P9T6__PREVCOP_04016
ERR1913139.39548__1.39548	165179__D1PES9__DXB80_11585
ERR1913139.39593__1.39593	165179__D1P9T6__PREVCOP_04016
ERR1913139.39594__1.39594	853__A0A3E2U7E6__ERS852582_01640
ERR1913139.39699__1.39699	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913139.40021__1.40021	165179__A0A3E4S980__PREVCOP_04626
ERR1913139.40078__1.40078	33043__D5HIC8__vspIM
ERR1913139.40585__1.40585	1262886__R6QPN8__BN563_00914
ERR1913139.40732__1.40732	33039__A0A174VX97__ERS852530_02623
ERR1913139.40676__1.40676	626940__E8LCB4__DCQ00_08105
ERR1913139.40694__1.40694	165179__A0A3E5E6S6__DXB80_07575
ERR1913139.40887__1.40887	905__D2RLZ8__Acfer_1744
ERR1913139.40889__1.40889	165179__D1PDJ4__DXB80_08505
ERR1913139.41297__1.41297	357276__A0A0K2HNG3__HMPREF1064_03004
ERR1913139.41407__1.41407	360807__A0A174C9G9__ERS852392_02115
ERR1913139.41823__1.41823	357276__A0A0M1W657__HMPREF1064_04629
ERR1913139.41835__1.41835	1262936__R7J5X5__BN799_00356
ERR1913139.42130__1.42130	853__A0A173XRA8__CGS56_09290
ERR1913139.42158__1.42158	33043__A0A173ZEG7__ERS852386_01252
ERR1913139.42168__1.42168	823__A0A078SYK6__DXB14_02485
ERR1913139.42536__1.42536	1304__F8LL79__CYK22_09535
ERR1913139.43038__1.43038	371601__A0A139LNL6__ERS852396_04350
ERR1913139.43473__1.43473	116085__D4J8F8__DW747_09060
ERR1913139.43474__1.43474	165179__D1PCT4__DXB80_09470
ERR1913139.43489__1.43489	901__B6WSB2__DESPIGER_0802
ERR1913139.43670__1.43670	165179__R6CJG8__DXC61_09290
ERR1913139.44062__1.44062	165179__A0A3E5A5E5__DXC61_13965
ERR1913139.44262__1.44262	1262936__R7J169__BN799_00083
ERR1913139.44377__1.44377	39486__B0G7W4__DXD50_04530
ERR1913139.44634__1.44634	328814__GCA_004558275.1_00033
ERR1913139.44747__1.44747	165179__A0A3E5A832__DXC61_13685
ERR1913139.44896__1.44896	1262936__R7J247__BN799_01051
ERR1913139.44962__1.44962	853__A0A2A7ATM9__DWZ89_13645
ERR1913139.45010__1.45010	39491__A0A395ZHW3__ERS852417_01359
ERR1913139.45120__1.45120	1357825__GeneID:17494397
ERR1913139.45209__1.45209	66284__GeneID:16384893
ERR1913139.45211__1.45211	823__A0A355XFH7__ERS852513_00769
ERR1913139.45424__1.45424	1262936__R7J2E3__BN799_00170
ERR1913139.45456__1.45456	853__A0A173YYY4__DWZ04_09420
ERR1913139.45555__1.45555	1262911__R6GUQ4__BN557_01581
ERR1913139.45618__1.45618	820__A0A139KIL9__DXC68_05945
ERR1913139.45685__1.45685	626940__R6XU34__BN587_01654
ERR1913139.46393__1.46393	907__S7J1Z1__C6Y28_11315
ERR1913139.46488__1.46488	165179__D1PAJ7__PREVCOP_04222
ERR1913139.46512__1.46512	1680__A0A3E4SB79__BAD_1517
ERR1913139.47130__1.47130	165179__A0A3E5AI09__DXC61_05815
ERR1913139.47204__1.47204	853__A0A173YYY4__DWZ04_09420
ERR1913139.47497__1.47497	165179__D1PGU8__PREVCOP_06463
ERR1913139.47574__1.47574	853__A0A174C5M1__CGS58_04460
ERR1913139.47806__1.47806	165179__A0A3E5E5M2__PREVCOP_03530
ERR1913139.47760__1.47760	166486__D4KVZ0__ERS852572_03130
ERR1913139.47903__1.47903	1262936__R7J272__BN799_00063
ERR1913139.48420__1.48420	28117__R7JJM9__ALIPUT_00662
ERR1913139.48885__1.48885	39492__R6RYB8__ERS852540_00322
ERR1913139.49092__1.49092	853__D4JY61__C4N21_10560
ERR1913139.49364__1.49364	820__A0A173YYG4__evgS_3
ERR1913139.49368__1.49368	165179__D1P8K1__DXB80_06045
ERR1913139.49435__1.49435	384638__B7AT21__BACPEC_01289
ERR1913139.49696__1.49696	562__P63202__gadW
ERR1913139.49774__1.49774	328814__GCA_004558275.1_00058
ERR1913139.49866__1.49866	1262936__R7J049__BN799_01347
ERR1913139.49943__1.49943	1262911__R6H2J2__BN557_01228
ERR1913139.49968__1.49968	564886__GeneID:6973115
ERR1913139.50032__1.50032	33039__D4M1A4__ERS852502_00742
ERR1913139.50311__1.50311	1318__A0A0F3H725__HMPREF9962_0624
ERR1913139.50553__1.50553	1147152__GeneID:14181982
ERR1913139.50772__1.50772	33043__D5HH62__ERS852575_00121
ERR1913139.50770__1.50770	907__G0VRJ9__SAMN04488492_101228
ERR1913139.50808__1.50808	2292352__A0A374UKJ4__DXC23_09360
ERR1913139.50929__1.50929	1262741__R6CF66__BN697_01955
ERR1913139.51129__1.51129	33043__A0A174BPV6__ERS852445_01773
ERR1913139.51180__1.51180	227940__GeneID:1260616
ERR1913139.51396__1.51396	626940__E8LGD9__cdsA
ERR1913139.51400__1.51400	165179__A0A3E5EAT2__DXC61_07585
ERR1913139.51533__1.51533	165179__A0A3E5AI09__DXC61_05815
ERR1913139.51540__1.51540	1262886__R6QD55__BN563_01713
ERR1913139.51700__1.51700	165179__R6CNX7__DXB80_02200
ERR1913139.51721__1.51721	165179__A0A3E5E5L1__DXB80_05980
ERR1913139.51931__1.51931	820__A0A139K2N9__DXB62_12420
ERR1913139.52011__1.52011	39491__A0A396FMT0__EUBREC_3020
ERR1913139.52074__1.52074	39491__A0A174K1W6__DXB99_15020
ERR1913139.52145__1.52145	363265__G6AWQ9__HMPREF0673_01057
ERR1913139.52292__1.52292	1897011__A0A1Q6RGB4__BHW41_02795
ERR1913139.52323__1.52323	33043__D5HGZ8__nnr
ERR1913139.52451__1.52451	39491__A0A395ZHW9__DXC13_02590
ERR1913139.52814__1.52814	116085__D4J501__DW747_07480
ERR1913139.52823__1.52823	165179__A0A3E5AEF7__DXC61_05000
ERR1913139.53294__1.53294	116085__D4J3V8__DW747_12340
ERR1913139.53461__1.53461	33043__A0A174E9K7__sigF_1
ERR1913139.53584__1.53584	821__A0A174MBW9__SAMN04487923_10272
ERR1913139.53789__1.53789	901__B6WVE1__DESPIGER_2036
ERR1913139.53967__1.53967	371601__G1UK36__HMPREF1074_03496
ERR1913139.54126__1.54126	671267__R9IB12__C802_00696
ERR1913139.54166__1.54166	360807__C0FQL8__tipA
ERR1913139.54449__1.54449	360807__A0A173WYK2__ROSEINA2194_02795
ERR1913139.54834__1.54834	820__A0A139KHX1__HMPREF2141_00289
ERR1913139.55001__1.55001	39491__A0A395ZDC6__addB
ERR1913139.55170__1.55170	165179__R6CNX7__DXB80_02200
ERR1913139.55506__1.55506	853__E2ZGD9__C7J97_11715
ERR1913139.55521__1.55521	853__A8SB03__C4Q21_07960
ERR1913139.55666__1.55666	1262911__R6H174__BN557_01246
ERR1913139.56004__1.56004	100886__A0A174GC97__murR_1
ERR1913139.56286__1.56286	1263000__R5EXT3__BN466_02213
ERR1913139.56441__1.56441	1263000__R5EIH8__BN466_01210
ERR1913139.56641__1.56641	2293125__A0A374C0K0__DW917_10610
ERR1913139.56576__1.56576	1263006__R6LRF6__BN515_00540
ERR1913139.56659__1.56659	165179__A0A3E5A554__DXB80_13805
ERR1913139.56779__1.56779	166486__A0A1Q6SGI9__ERS852572_00327
ERR1913139.56834__1.56834	165179__A0A3E5DX15__DXC61_00345
ERR1913139.56860__1.56860	1262741__R6DGB4__BN697_00418
ERR1913139.56940__1.56940	246787__A0A0P0GPP9__BACCELL_01902
ERR1913139.56966__1.56966	165179__A0A3E4SG51__DXC61_10575
ERR1913139.57267__1.57267	165179__A0A3E5A5E5__DXC61_13965
ERR1913139.57315__1.57315	166486__D4L0J8__ROSINTL182_08089
ERR1913139.57316__1.57316	1262886__R6QD45__BN563_01703
ERR1913139.57323__1.57323	33039__R6P9Z4__ERS852502_00114
ERR1913139.57428__1.57428	155148__GeneID:921005
ERR1913139.57552__1.57552	165179__D1P9T6__PREVCOP_04016
ERR1913139.57783__1.57783	348058__GeneID:7353029
ERR1913139.57974__1.57974	357276__A0A076IN30__DXD47_09350
ERR1913139.58045__1.58045	204516__U6RFV1__HMPREF1534_02560
ERR1913139.58270__1.58270	46506__B0NM94__HMPREF1181_03250
ERR1913139.58279__1.58279	165179__A0A3E5E7J5__DXC61_10360
ERR1913139.58323__1.58323	165179__A0A174SR12__DXB80_04410
ERR1913139.58396__1.58396	901__B6WXK8__DESPIG_02835
ERR1913139.58527__1.58527	562__P08371__RW92_04043
ERR1913139.58531__1.58531	165179__A0A229I9X5__CFT61_01205
ERR1913139.58622__1.58622	28117__B0MU76__ALIPUT_00202
ERR1913139.58675__1.58675	165179__A0A3E5DY64__CFT61_10025
