ERR1913163.20__1.20	47678__R5UU99__C5Z00_11925
ERR1913163.13427__1.13427	820__A0A139KHD8__ERS417307_00569
ERR1913163.13434__1.13434	821__A0A3E4KIM1__M097_3660
ERR1913163.13475__1.13475	39490__A0A173U8I1__LG34_05080
ERR1913163.13612__1.13612	28111__R5K222__bglX_7
ERR1913163.13703__1.13703	28111__E5WYC3__NCTC11155_03517
ERR1913163.13934__1.13934	820__A0A173YYG4__evgS_3
ERR1913163.14176__1.14176	47678__A5ZJ14__ERS852494_02225
ERR1913163.14376__1.14376	69974__A0A090FEL8__MPL3365_630008
ERR1913163.14434__1.14434	214856__I3YPR6__Alfi_2724
ERR1913163.14550__1.14550	820__A7V049__DXB48_04755
ERR1913163.14567__1.14567	1308__A0A2U2MC25__X841_01290
ERR1913163.14535__1.14535	820__A0A173YYG4__evgS_3
ERR1913163.14701__1.14701	820__A0A174A6K0__M093_0079
ERR1913163.14713__1.14713	291645__I8X8W9__HMPREF1068_03315
ERR1913163.14837__1.14837	821__A0A396F1N0__M099_1553
ERR1913163.14842__1.14842	671267__R9ICM6__C802_00589
ERR1913163.14788__1.14788	214856__I3YPQ4__Alfi_2712
ERR1913163.14793__1.14793	28111__E5WVZ4__NCTC11155_02635
ERR1913163.14794__1.14794	47678__R5U8Y1__BACCAC_02615
ERR1913163.14856__1.14856	357276__B6W1J2__BACDOR_03380
ERR1913163.15014__1.15014	28111__E5WVR8__NCTC11155_02792
ERR1913163.15104__1.15104	28111__E5X124__NCTC11155_02431
ERR1913163.15108__1.15108	69974__A0A090FEL8__MPL3365_630008
ERR1913163.15183__1.15183	821__C6ZAA5__ERS852556_00403
ERR1913163.15259__1.15259	820__A0A396EUU8__luxQ_3
ERR1913163.15262__1.15262	1550024__A0A0W7TVN4__ASJ35_01120
ERR1913163.15292__1.15292	511969__GeneID:3959334
ERR1913163.15493__1.15493	823__A0A078SLK0__ERS852513_02755
ERR1913163.15721__1.15721	46506__B0NM94__HMPREF1181_03250
ERR1913163.15746__1.15746	820__A0A139JRH8__HMPREF2141_04326
ERR1913163.16107__1.16107	820__A0A139KHX1__HMPREF2141_00289
ERR1913163.16037__1.16037	820__A0A3E4VXP2__yesR
ERR1913163.16163__1.16163	374840__GeneID:2546403
ERR1913163.16275__1.16275	821__D4VD59__BHV80_04260
ERR1913163.16322__1.16322	820__A0A139K0J1__HMPREF2141_03205
ERR1913163.16393__1.16393	214856__I3YMC8__ERS852447_02666
ERR1913163.16423__1.16423	46506__B0NQN6__AA415_00632
ERR1913163.16516__1.16516	28116__C3QVY2__SAMN05444282_12234
ERR1913163.16547__1.16547	1550024__A0A0D8J1R1__ASJ35_08490
ERR1913163.16652__1.16652	821__R9HFW2__DXD01_00365
ERR1913163.16909__1.16909	821__A0A173WG51__BVU_2549
ERR1913163.17065__1.17065	817__A0A015YR67__M130_0551
ERR1913163.17012__1.17012	820__A0A173YYG4__evgS_3
ERR1913163.17638__1.17638	357276__I8VN30__HMPREF1065_03051
ERR1913163.17608__1.17608	820__A0A139KJ23__celCCA
ERR1913163.17615__1.17615	821__A0A396F9T7__M097_3427
ERR1913163.17688__1.17688	28111__R5K3D9__NCTC11155_02788
ERR1913163.17697__1.17697	821__A0A395UNT8__DXD64_15275
ERR1913163.17726__1.17726	214856__A0A174CRY5__ERS852559_01060
ERR1913163.17784__1.17784	47678__R5UES3__CGC64_00760
ERR1913163.17932__1.17932	47678__R5U3L4__C5Z00_12600
ERR1913163.17922__1.17922	820__A0A374MMF0__HMPREF1073_03811
ERR1913163.17923__1.17923	69974__A0A090FEL8__MPL3365_630008
ERR1913163.18006__1.18006	818__A0A174N1L6__ERS852511_02039
ERR1913163.18028__1.18028	28111__E5WUH3__BACEGG_02112
ERR1913163.18420__1.18420	820__A0A139K0J1__HMPREF2141_03205
ERR1913163.18498__1.18498	820__A0A374Q8T2__DXB64_16190
ERR1913163.18512__1.18512	28111__E5X119__NCTC11155_02426
ERR1913163.18537__1.18537	820__A0A078STJ8__DXC68_04690
ERR1913163.18578__1.18578	820__A0A1Y3V743__M093_0235
ERR1913163.18829__1.18829	47678__A5ZG68__ERS852494_02968
ERR1913163.18874__1.18874	820__A0A3E4RU03__M093_0563
ERR1913163.18879__1.18879	47678__R5UAF6__ERS852494_02966
ERR1913163.18892__1.18892	371601__C3QR34__DXD03_22980
ERR1913163.18946__1.18946	214856__A0A175A6T5__ERS852447_02658
ERR1913163.18960__1.18960	28111__E5X0X9__HMPREF1016_02597
ERR1913163.18965__1.18965	1550024__A0A3B9WKW6__TQ39_07780
ERR1913163.18983__1.18983	1550024__G9RP65__ASJ35_11645
ERR1913163.19071__1.19071	28111__E5WUX1__HMPREF1016_00548
ERR1913163.19082__1.19082	28116__A0A078Q9S5__DXD69_13430
ERR1913163.19097__1.19097	28111__E5X120__NCTC11155_02427
ERR1913163.19276__1.19276	487175__R5E4E1__HMPREF9439_00344
ERR1913163.19308__1.19308	745368__A0A1T4Y7W7__SAMN02745178_02825
ERR1913163.19332__1.19332	214856__R6Y0B9__ERS852559_00164
ERR1913163.19522__1.19522	28111__E5X333__NCTC11155_03016
ERR1913163.19625__1.19625	823__A0A355XLS2__ERS852380_02644
ERR1913163.19642__1.19642	820__R9HP61__DXC91_01090
ERR1913163.19734__1.19734	189722__E0NQU7__HMPREF0658_0548
ERR1913163.19848__1.19848	28111__E5WUX3__HMPREF1016_00550
ERR1913163.19919__1.19919	28117__B0MTS2__ALIPUT_00159
ERR1913163.20062__1.20062	28111__E5X0Y0__HMPREF1016_02598
ERR1913163.20253__1.20253	491003__GeneID:6216277
ERR1913163.20671__1.20671	511969__GeneID:3959334
ERR1913163.20732__1.20732	820__A0A3E5BMG9__DXD40_05130
ERR1913163.20792__1.20792	47678__A5ZI88__BACCAC_02617
ERR1913163.20919__1.20919	214856__I3YPP0__ERS852447_01388
ERR1913163.20960__1.20960	821__D4VD59__BHV80_04260
ERR1913163.21057__1.21057	28111__E5WWI4__HMPREF1016_01032
ERR1913163.21128__1.21128	357276__I9QBT7__BSEG_03340
ERR1913163.21225__1.21225	821__C6ZAA5__ERS852556_00403
ERR1913163.21308__1.21308	292800__G9YMA2__HMPREF0372_00623
ERR1913163.21335__1.21335	214856__I3YPP0__ERS852447_01388
ERR1913163.21362__1.21362	544645__A0A3E4TER1__DXC42_05460
ERR1913163.21807__1.21807	820__A0A3E4WA06__ERS852554_03404
ERR1913163.21847__1.21847	28111__R5JN40__HMPREF1016_01803
ERR1913163.21959__1.21959	820__A0A3E4W980__M093_3873
ERR1913163.21970__1.21970	374840__GeneID:2546403
ERR1913163.21973__1.21973	820__A0A3E4QZJ7__C801_01798
ERR1913163.22179__1.22179	28118__R6F051__NCTC10826_00301
ERR1913163.22365__1.22365	1262924__R7HMN2__BN585_01573
ERR1913163.22727__1.22727	28111__E5WUU3__HMPREF1016_00520
ERR1913163.22800__1.22800	28111__E5X205__NCTC11155_00661
ERR1913163.22781__1.22781	821__A0A174MBW9__SAMN04487923_10272
ERR1913163.22906__1.22906	214856__R5UN64__ERS852447_02669
ERR1913163.23040__1.23040	454155__F3QTH4__HMPREF9442_01492
ERR1913163.23154__1.23154	818__Q8A2L4__Btheta7330_05011
ERR1913163.23250__1.23250	487175__D9Y3F1__HMPREF9439_00163
ERR1913163.23287__1.23287	820__A0A174G065__DXB62_08975
ERR1913163.23545__1.23545	214856__I3YPR5__ERS852447_01364
ERR1913163.23670__1.23670	544644__GCA_001915615.1_00358
ERR1913163.23690__1.23690	820__I9TWZ7__DXC80_10550
ERR1913163.23825__1.23825	820__A0A3E4WCC2__lptB_1
ERR1913163.23870__1.23870	820__A0A3E4W6P0__gmhA
ERR1913163.23954__1.23954	214856__I3YPR5__ERS852447_01364
ERR1913163.24046__1.24046	2108523__A0A2P2F5J6__LAWASA_1285
ERR1913163.24163__1.24163	745368__A0A1T4XQU7__SAMN02745178_02180
ERR1913163.24143__1.24143	820__A0A374QGD2__ERS852421_02382
ERR1913163.24314__1.24314	214856__R6XS02__ERS852447_01685
ERR1913163.24321__1.24321	1262924__R7HPG6__BN585_00099
ERR1913163.24547__1.24547	820__A0A374Q854__HMPREF1073_03281
ERR1913163.24698__1.24698	820__A0A1Q6IDS8__chtA
ERR1913163.24820__1.24820	853__A0A2A7B1Y7__C7K05_11930
ERR1913163.24960__1.24960	387090__S0F7Y3__BACCOPRO_02028
ERR1913163.25035__1.25035	28111__R5K3D9__NCTC11155_02788
ERR1913163.25047__1.25047	328813__A0A1Y3QQ66__B5G41_14240
ERR1913163.25009__1.25009	28116__A7LXT7__HMPREF1070_00356
ERR1913163.25082__1.25082	1262924__R7HSM4__BN585_00913
ERR1913163.25285__1.25285	28116__A0A1G6G396__DXD69_22115
ERR1913163.25353__1.25353	1796652__rpoC
ERR1913163.25357__1.25357	821__A0A3E4HP25__SAMN04487923_102450
ERR1913163.25342__1.25342	28111__R5JQQ7__NCTC11155_02278
ERR1913163.25458__1.25458	28116__C3QMW4__BACOVA_04147
ERR1913163.25490__1.25490	544644__GCA_001915615.1_02043
ERR1913163.25552__1.25552	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913163.25680__1.25680	28111__E5WYP5__BACEGG_00185
ERR1913163.25936__1.25936	818__C6IJ09__SAMN05216253_102150
ERR1913163.26078__1.26078	28111__R5K5X6__NCTC11155_02508
ERR1913163.26099__1.26099	387090__S0F8B2__BACCOPRO_02129
ERR1913163.26695__1.26695	69974__A0A090FEL8__MPL3365_630008
ERR1913163.26848__1.26848	28111__E5WYC3__NCTC11155_03517
ERR1913163.27453__1.27453	69974__A0A090FEL8__MPL3365_630008
ERR1913163.27729__1.27729	454155__F3QQI4__HMPREF9442_00426
ERR1913163.27960__1.27960	820__A0A139K5A6__DXB48_12175
ERR1913163.28212__1.28212	28118__F9Z5U5__DHW44_14270
ERR1913163.28296__1.28296	487175__R5EEJ8__HMPREF9439_00269
ERR1913163.28809__1.28809	33039__A0A174ZIS2__RTO_10090
ERR1913163.28817__1.28817	28111__E5WUE9__NCTC11155_01729
ERR1913163.28983__1.28983	818__Q8A3A6__Btheta7330_00071
ERR1913163.28997__1.28997	820__A0A3E4RU03__M093_0563
ERR1913163.29270__1.29270	338188__R6RT73__HMPREF1057_02828
ERR1913163.29355__1.29355	28116__E5C458__BACOV975_02730
ERR1913163.29371__1.29371	1262746__R5SS80__BN750_02125
ERR1913163.29509__1.29509	562__P0A9K7__AUQ29_19530
ERR1913163.29468__1.29468	820__A0A174CK74__DXB48_07060
ERR1913163.29598__1.29598	28111__E5WZR2__HMPREF1016_02168
ERR1913163.29601__1.29601	374840__GeneID:2546403
ERR1913163.29613__1.29613	511969__GeneID:3959334
ERR1913163.29688__1.29688	28111__E5WYC1__BACEGG_00354
ERR1913163.29792__1.29792	487175__D9Y3E4__HMPREF9439_00170
ERR1913163.29863__1.29863	28111__R5JRR0__NCTC11155_01063
ERR1913163.29981__1.29981	820__A7V092__hldE
ERR1913163.29998__1.29998	818__A0A139KCA0__SAMN05216253_102371
ERR1913163.30108__1.30108	214856__I3YPP0__ERS852447_01388
ERR1913163.30124__1.30124	821__A0A0P0LNX8__ERS852509_03015
ERR1913163.30256__1.30256	820__A0A1T4IYF4__mprA_1
ERR1913163.30315__1.30315	47678__A5ZG68__ERS852494_02968
ERR1913163.30340__1.30340	28111__R5JSC9__HMPREF1016_01677
ERR1913163.30369__1.30369	371601__I9UUB0__SAMN04487924_11836
ERR1913163.30413__1.30413	46506__A0A108TCV1__AA415_00106
ERR1913163.30736__1.30736	47678__R5UT79__ERS852558_03890
ERR1913163.30961__1.30961	820__A0A3E4WCX3__C801_02709
ERR1913163.30973__1.30973	820__A0A173YYG4__evgS_3
ERR1913163.31037__1.31037	2108523__A0A2P2F2M4__LAWASA_205
ERR1913163.31264__1.31264	39490__U2PCP5__HMPREF0373_03001
ERR1913163.31486__1.31486	1550024__G9RPC6__TQ39_05630
ERR1913163.31644__1.31644	820__A0A3E4W6P0__gmhA
ERR1913163.31765__1.31765	28111__E5WUH3__BACEGG_02112
ERR1913163.31883__1.31883	28111__R5K5Y0__NCTC11155_03071
ERR1913163.31861__1.31861	374840__GeneID:2546403
ERR1913163.32078__1.32078	1550024__G9RTN6__TQ39_08170
ERR1913163.32400__1.32400	821__A0A396F9T7__M097_3427
ERR1913163.32458__1.32458	820__A0A173XIP7__B5G17_16050
ERR1913163.32599__1.32599	1550024__A0A0D8IU01__TQ39_19670
ERR1913163.32745__1.32745	28118__R6FY14__NCTC10826_00745
ERR1913163.32758__1.32758	1550024__G9RXH7__TQ39_11565
ERR1913163.33020__1.33020	39490__U2QSI3__LG34_04240
ERR1913163.33093__1.33093	823__A0A174XJM9__CEQ22_007230
ERR1913163.33218__1.33218	28116__A7LS02__DXF98_24100
ERR1913163.33229__1.33229	820__A0A3E4XM43__DXC91_13960
ERR1913163.33393__1.33393	69974__A0A090FEL8__MPL3365_630008
ERR1913163.33408__1.33408	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913163.33550__1.33550	28111__E5WWI8__HMPREF1016_01036
ERR1913163.33742__1.33742	818__A0A139L1D5__BT_2967
ERR1913163.33760__1.33760	2108523__A0A2P2F7H5__LAWASA_1993
ERR1913163.33769__1.33769	28116__A7M018__M089_5540
ERR1913163.33809__1.33809	28116__A0A1Y4PWN5__M088_3731
ERR1913163.33811__1.33811	820__R9I3N4__M093_0061
ERR1913163.33850__1.33850	28116__A0A3A9HSJ8__DXD69_15065
ERR1913163.34030__1.34030	292800__H1C6M9__ERS852518_00105
ERR1913163.34202__1.34202	69974__A0A090FEL8__MPL3365_630008
ERR1913163.34151__1.34151	820__A0A139KHD8__ERS417307_00569
ERR1913163.34566__1.34566	820__A0A3E4RU03__M093_0563
ERR1913163.34581__1.34581	214856__A0A174CRY5__ERS852559_01060
ERR1913163.34635__1.34635	28111__E5WYC1__BACEGG_00354
ERR1913163.34852__1.34852	46506__R6A5T2__DXC41_10795
ERR1913163.34878__1.34878	823__A0A355XIK0__CEQ22_011965
ERR1913163.34824__1.34824	28111__E5WYC8__BACEGG_00347
ERR1913163.35040__1.35040	28111__R5K222__bglX_7
ERR1913163.35045__1.35045	454155__F3QT65__HMPREF9442_01382
ERR1913163.35116__1.35116	745368__A0A1T4Y6I3__SAMN02745178_02753
ERR1913163.35156__1.35156	328813__A0A1Y3QQ66__B5G41_14240
ERR1913163.35194__1.35194	544644__GCA_001915615.1_00365
ERR1913163.35297__1.35297	28111__R5JVV2__BACEGG_02950
ERR1913163.35445__1.35445	28116__A7M018__M089_5540
ERR1913163.35753__1.35753	1550024__G9RWG5__TQ39_04290
ERR1913163.36083__1.36083	28111__E5WWI8__HMPREF1016_01036
ERR1913163.36139__1.36139	28111__E5X237__NCTC11155_00628
ERR1913163.36368__1.36368	28111__R5K5V1__NCTC11155_02461
ERR1913163.36733__1.36733	28111__R5JUJ8__nanA_2
ERR1913163.36780__1.36780	214856__I3YMN6__Alfi_1938
ERR1913163.37008__1.37008	28111__E5X1H4__HMPREF1016_02781
ERR1913163.37030__1.37030	374840__GeneID:2546403
ERR1913163.37132__1.37132	46506__S3YVT5__BACSTE_02352
ERR1913163.37225__1.37225	821__U6RDC2__DXD46_15675
ERR1913163.37270__1.37270	820__A7V9F9__B5G17_14640
ERR1913163.37424__1.37424	28116__C3QVY2__SAMN05444282_12234
ERR1913163.37485__1.37485	821__C6Z087__DXB90_00750
ERR1913163.37587__1.37587	28111__R5K3D9__NCTC11155_02788
ERR1913163.37687__1.37687	28111__E5X237__NCTC11155_00628
ERR1913163.37751__1.37751	47678__R5U9Z0__HMPREF1061_03210
ERR1913163.37924__1.37924	28111__R5K5Y0__NCTC11155_03071
ERR1913163.38229__1.38229	28116__A0A078Q626__HMPREF1070_02735
ERR1913163.38321__1.38321	292800__A0A174V8M0__A4U99_15280
ERR1913163.38342__1.38342	820__A0A139KG04__ERS852459_01249
ERR1913163.38673__1.38673	214856__A0A174ZLW6__ERS852559_01424
ERR1913163.38647__1.38647	821__A0A395UNT8__DXD64_15275
ERR1913163.38756__1.38756	1262743__R5C054__BN727_01980
ERR1913163.38797__1.38797	28111__E5X120__NCTC11155_02427
ERR1913163.38844__1.38844	28111__R5K3D9__NCTC11155_02788
ERR1913163.38784__1.38784	214856__I3YPI7__pepD_1
ERR1913163.38916__1.38916	820__I9A4U7__DHU98_12785
ERR1913163.38963__1.38963	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913163.39018__1.39018	820__A0A173W419__DXC68_17760
ERR1913163.39023__1.39023	28111__R5K5Y0__NCTC11155_03071
ERR1913163.39407__1.39407	544645__A0A3E4T912__DXC42_08280
ERR1913163.39551__1.39551	820__A0A3E4VZT7__DXB48_16145
ERR1913163.39585__1.39585	214856__R6YD52__ERS852447_02171
ERR1913163.39869__1.39869	821__A0A395UNT8__DXD64_15275
ERR1913163.39934__1.39934	820__A0A139K4T0__ERS852510_03146
ERR1913163.40020__1.40020	820__A0A3E4WA06__ERS852554_03404
ERR1913163.40123__1.40123	1550024__A0A0W7TN61__ASJ35_14460
ERR1913163.40129__1.40129	820__R9I3N4__M093_0061
ERR1913163.40274__1.40274	821__A6L0C7__ERS852556_03520
ERR1913163.40363__1.40363	165179__A0A3E5A554__DXB80_13805
ERR1913163.40472__1.40472	745368__A0A1T4WEV8__SAMN02745178_00491
ERR1913163.40640__1.40640	28111__R5K3D9__NCTC11155_02788
ERR1913163.40785__1.40785	28111__R5JPF7__BACEGG_02051
ERR1913163.40816__1.40816	10726__GeneID:2777589
ERR1913163.40818__1.40818	821__A0A3E4HP25__SAMN04487923_102450
ERR1913163.40899__1.40899	292800__A0A174V693__HMPREF9460_03050
ERR1913163.40953__1.40953	214856__R6Y6H8__ERS852447_01719
ERR1913163.41217__1.41217	28111__E5WVR8__NCTC11155_02792
ERR1913163.41235__1.41235	820__A0A3E4GA19__SAMN05444418_10562
ERR1913163.41317__1.41317	69974__A0A090FEL8__MPL3365_630008
ERR1913163.41533__1.41533	820__A0A1T4IYF4__mprA_1
ERR1913163.41596__1.41596	820__A0A139KH21__DXC80_01780
ERR1913163.41616__1.41616	69974__A0A090FEL8__MPL3365_630008
ERR1913163.42259__1.42259	28111__E5WYC3__NCTC11155_03517
ERR1913163.42281__1.42281	745368__A0A1T4XBZ7__SAMN02745178_01676
ERR1913163.42283__1.42283	28116__A0A395VZB9__Bovatus_03205
ERR1913163.42768__1.42768	28111__R5K5X6__NCTC11155_02508
ERR1913163.42787__1.42787	820__A0A374MMF0__HMPREF1073_03811
ERR1913163.42789__1.42789	1550024__A0A3B9WJ82__ASJ35_03765
