ERR1913291.5__1.5	823__A0A174W1A8__panE
ERR1913291.2449__1.2449	28116__A0A078Q626__HMPREF1070_02735
ERR1913291.2798__1.2798	1897011__A0A1Q6RCY9__BHW41_06000
ERR1913291.2842__1.2842	821__U6RDC2__DXD46_15675
ERR1913291.2872__1.2872	338188__R6RT73__HMPREF1057_02828
ERR1913291.2890__1.2890	820__A0A174A6K0__M093_0079
ERR1913291.2915__1.2915	338188__A0A173XBT2__ERS852397_00329
ERR1913291.3051__1.3051	371601__C3R2J2__ERS852396_04353
ERR1913291.3239__1.3239	387090__S0F7Y3__BACCOPRO_02028
ERR1913291.3171__1.3171	471189__GCA_003340385.1_00365
ERR1913291.3211__1.3211	28116__A0A395VUS9__DXD69_03560
ERR1913291.3305__1.3305	39485__C4Z6J9__ERS852492_02049
ERR1913291.3747__1.3747	371601__A0A174FDF7__CW1_1994
ERR1913291.3789__1.3789	817__Q64XX5__M126_0821
ERR1913291.3859__1.3859	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913291.3821__1.3821	674529__R6VF01__DXB21_13480
ERR1913291.3928__1.3928	820__A0A3E4W9D9__B5G17_12400
ERR1913291.4145__1.4145	1262743__R5C054__BN727_01980
ERR1913291.4160__1.4160	1262882__R5MHA1__BN519_00763
ERR1913291.4170__1.4170	820__A0A3E4VXP2__yesR
ERR1913291.4277__1.4277	28116__A0A395W017__HMPREF1017_03721
ERR1913291.4443__1.4443	1897011__A0A1Q6RF44__BHW41_03065
ERR1913291.4445__1.4445	28116__A7LS06__HMPREF2532_04668
ERR1913291.4459__1.4459	28116__A0A1G8P076__AA414_01051
ERR1913291.4519__1.4519	246787__A0A3D6AXJ7__BACCELL_02379
ERR1913291.4576__1.4576	28116__A0A1Y4Q112__evgS_13
ERR1913291.4897__1.4897	387090__S0F8B2__BACCOPRO_02129
ERR1913291.5000__1.5000	28116__A0A3D2LPA1__CUY_3388
ERR1913291.5117__1.5117	28116__A0A395W0G7__NCTC11153_02716
ERR1913291.5165__1.5165	28116__A0A3D2LPA1__CUY_3388
ERR1913291.5169__1.5169	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1913291.5424__1.5424	328814__GCA_004558275.1_00079
ERR1913291.5692__1.5692	1796613__A0A1C7H6N8__ADH74_01350
ERR1913291.5858__1.5858	28116__D7J6B1__B5F02_07870
ERR1913291.5937__1.5937	28116__A0A395VSP8__ERS852555_02642
ERR1913291.5967__1.5967	394340__infB
ERR1913291.5988__1.5988	328814__GCA_004558275.1_02278
ERR1913291.6028__1.6028	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913291.6122__1.6122	1897011__A0A1Q6REX7__BHW41_04490
ERR1913291.6134__1.6134	821__A0A3E4HP25__SAMN04487923_102450
ERR1913291.6374__1.6374	214856__R6Y8K1__ERS852447_02509
ERR1913291.6384__1.6384	28116__A0A078QF71__HMPREF1070_01231
ERR1913291.6414__1.6414	310298__B3JQJ5__BACCOP_04231
ERR1913291.6470__1.6470	214856__A0A173Z1B0__ERS852447_00765
ERR1913291.6684__1.6684	39488__A0A173RXS4__ribF
ERR1913291.6791__1.6791	28118__F9Z5L6__Odosp_1662
ERR1913291.7006__1.7006	821__A0A3E4WAR6__DXD64_10735
ERR1913291.7042__1.7042	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913291.7078__1.7078	487175__D9Y3G5__HMPREF9439_00147
ERR1913291.7092__1.7092	39491__A0A395ZIT8__EUR_13460
ERR1913291.7170__1.7170	821__A0A0P0L8F8__ERS852509_03705
ERR1913291.7361__1.7361	28116__A0A078Q626__HMPREF1070_02735
ERR1913291.7273__1.7273	357276__A0A0M1W9N4__GV66_05135
ERR1913291.7483__1.7483	77917__A0A2P8EHG9__NCTC13121_01886
ERR1913291.7566__1.7566	214856__I3YPP3__Alfi_2701
ERR1913291.7626__1.7626	1262743__R5C054__BN727_01980
ERR1913291.7745__1.7745	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913291.7791__1.7791	817__A0A396C3S8__CQW36_02929
ERR1913291.7838__1.7838	28116__A0A1Y4Q119__DXD69_10975
ERR1913291.7998__1.7998	214856__I3YMC8__ERS852447_02666
ERR1913291.8042__1.8042	820__A0A174VD39__DXD90_12235
ERR1913291.8056__1.8056	28116__A0A1Y4Q119__DXD69_10975
ERR1913291.8121__1.8121	39492__D4JT87__clpC
ERR1913291.8314__1.8314	556259__I0PXW0__BSGG_5187
ERR1913291.8372__1.8372	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913291.8440__1.8440	214856__A0A174AYS4__ERS852447_01192
ERR1913291.8515__1.8515	371601__A0A1H4AKU1__BXY_45200
ERR1913291.8530__1.8530	28116__A7LXU0__HMPREF1070_00358
ERR1913291.8551__1.8551	820__A0A3E4XM43__DXC91_13960
ERR1913291.8594__1.8594	820__A0A139KH21__DXC80_01780
ERR1913291.8643__1.8643	28116__I9SW74__BACOVA_04237
ERR1913291.8725__1.8725	33025__A0A395JAA6__C8D73_10641
ERR1913291.8762__1.8762	556259__I0PXW0__BSGG_5187
ERR1913291.8819__1.8819	1897011__A0A1Q6RCX0__BHW41_05880
ERR1913291.8831__1.8831	39492__D4JRZ7__smc
ERR1913291.8919__1.8919	487174__K0WXI9__HMPREF9448_02340
ERR1913291.9149__1.9149	328814__GCA_004558275.1_00025
ERR1913291.9532__1.9532	820__A0A174G065__DXB62_08975
ERR1913291.10078__1.10078	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913291.10144__1.10144	820__A0A139KHD8__ERS417307_00569
ERR1913291.10268__1.10268	28116__A0A1Y4Q112__evgS_13
ERR1913291.10269__1.10269	1262882__R5MFN3__BN519_00392
ERR1913291.10399__1.10399	823__A0A174LWY0__lepB
ERR1913291.10431__1.10431	166486__D4KVA1__ROSINTL182_06909
ERR1913291.10588__1.10588	28116__A0A1Y4Q112__evgS_13
ERR1913291.10695__1.10695	28117__B0MWP2__ALIPUT_01468
ERR1913291.10707__1.10707	821__E5UY21__C800_02204
ERR1913291.10926__1.10926	487174__K0X250__DDY40_03675
ERR1913291.11113__1.11113	1262743__R5C054__BN727_01980
ERR1913291.11155__1.11155	556259__E5C8S0__BSGG_1769
ERR1913291.11310__1.11310	1262882__R5MYI1__BN519_00416
ERR1913291.11396__1.11396	1262537__GeneID:16385341
ERR1913291.11470__1.11470	28116__E5C3L8__DXF98_06270
ERR1913291.11727__1.11727	1262882__R5MXW0__BN519_00317
ERR1913291.11718__1.11718	853__D4JY61__C4N21_10560
ERR1913291.11802__1.11802	1981510__A0A2K9P4A7__B9O19_01948
ERR1913291.11877__1.11877	39492__D4JTI1__EUBSIR_01463
ERR1913291.11891__1.11891	28116__A0A1Y4PWE4__M089_4352
ERR1913291.11949__1.11949	246787__A0A0P0G684__cirA_10
ERR1913291.12005__1.12005	28117__B0MTV0__BHV66_06395
ERR1913291.12238__1.12238	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913291.12327__1.12327	821__A0A3E4HP25__SAMN04487923_102450
ERR1913291.12517__1.12517	28116__A0A1Y4PVG6__Bovatus_02664
ERR1913291.12639__1.12639	28116__F7LC60__AA414_00422
ERR1913291.12780__1.12780	1262944__R7IPV0__BN596_00063
ERR1913291.12791__1.12791	418240__A0A173WSQ7__ERS852478_01153
ERR1913291.12895__1.12895	820__A0A078STJ8__DXC68_04690
ERR1913291.13132__1.13132	46503__A7AB74__DD461_00855
ERR1913291.13096__1.13096	821__A0A3E4HP25__SAMN04487923_102450
ERR1913291.13194__1.13194	1262911__R6GPM2__BN557_00937
ERR1913291.13154__1.13154	28117__B0MTW8__ALIPUT_00502
ERR1913291.13325__1.13325	1261__D3MR67__SAMN05660467_01650
ERR1913291.13352__1.13352	28116__D7J6A7__NCTC11153_02798
ERR1913291.13275__1.13275	39492__D4JV38__EUBSIR_01205
ERR1913291.13505__1.13505	823__A0A355XGQ3__prmC
ERR1913291.13578__1.13578	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913291.13605__1.13605	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913291.13946__1.13946	33025__A0A395JBU5__C8D73_10423
ERR1913291.13993__1.13993	28116__A0A395VSP8__ERS852555_02642
ERR1913291.14196__1.14196	28117__B0MTI4__ALIPUT_00084
ERR1913291.14201__1.14201	357276__B6VYT9__HMPREF1063_05030
ERR1913291.14420__1.14420	821__A0A174K302__CUU_3129
ERR1913291.14538__1.14538	821__C6ZAA5__ERS852556_00403
ERR1913291.14587__1.14587	820__A0A3E4W984__pssA
ERR1913291.14626__1.14626	820__A0A3E4VXP2__yesR
ERR1913291.14923__1.14923	39488__A0A173SK21__EUBHAL_00799
ERR1913291.14926__1.14926	358743__A0A0F0CKP8__DWZ14_23935
ERR1913291.15111__1.15111	35833__E5Y1H2__HMPREF0179_00031
ERR1913291.15039__1.15039	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913291.15063__1.15063	28118__F9Z667__NCTC10826_00403
ERR1913291.15173__1.15173	28116__A7LS06__HMPREF2532_04668
ERR1913291.15205__1.15205	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913291.15404__1.15404	28116__A7LS02__DXF98_24100
ERR1913291.15587__1.15587	239935__R6JCH3__CXT95_08205
ERR1913291.15578__1.15578	28116__A0A395VSP8__ERS852555_02642
ERR1913291.15701__1.15701	28116__A0A1G6G9R4__CUY_0131
ERR1913291.15728__1.15728	39492__A0A174Z2N0__EUBSIR_01615
ERR1913291.15832__1.15832	1263044__GCA_000433375.1_00496
ERR1913291.15852__1.15852	820__A0A139KJR5__M093_4469
ERR1913291.15990__1.15990	820__A0A174F0C1__nreB
ERR1913291.16018__1.16018	28116__F7LEX0__CUY_5042
ERR1913291.16085__1.16085	820__A0A174GK47__ERS852421_00200
ERR1913291.16107__1.16107	387090__S0F7Y3__BACCOPRO_02028
ERR1913291.16108__1.16108	39492__D4JSS2__EUBSIR_00553
ERR1913291.16233__1.16233	28117__B0MXG8__ALIPUT_01814
ERR1913291.16322__1.16322	556259__E5C614__BSGG_0177
ERR1913291.16387__1.16387	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913291.16533__1.16533	410072__C0BBR9__yqeC
ERR1913291.16949__1.16949	28116__A0A1G6G396__DXD69_22115
ERR1913291.17284__1.17284	1263000__R5EXT3__BN466_02213
ERR1913291.17182__1.17182	820__A7VAS1__HMPREF2141_03259
ERR1913291.17201__1.17201	820__A0A174M9V5__M093_0237
ERR1913291.17311__1.17311	817__E1WTM7__M121_2859
ERR1913291.17312__1.17312	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913291.17352__1.17352	28116__I9ST00__M088_5588
ERR1913291.17354__1.17354	556259__I0PYM3__BSGG_5385
ERR1913291.17482__1.17482	28116__F7LC60__AA414_00422
ERR1913291.17503__1.17503	28116__A0A3D2LPA1__CUY_3388
ERR1913291.17506__1.17506	166486__D4KUM5__afr
ERR1913291.17558__1.17558	246787__A0A3D6AV26__BcellWH2_02579
ERR1913291.17578__1.17578	1262882__R5MKU7__BN519_01276
ERR1913291.17700__1.17700	28116__A0A1Y4PHM7__DXA80_25130
ERR1913291.17726__1.17726	820__A0A3E4G826__C801_01612
ERR1913291.17776__1.17776	28116__C3QSX8__SAMN05444282_101331
ERR1913291.18094__1.18094	28116__A7LXU0__HMPREF1070_00358
ERR1913291.18184__1.18184	820__A0A174CK74__DXB48_07060
ERR1913291.18267__1.18267	246787__R6KDR9__BcellWH2_02360
ERR1913291.18242__1.18242	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913291.18349__1.18349	820__A0A139K0J1__HMPREF2141_03205
ERR1913291.18373__1.18373	371601__E5CE41__ERS852396_04351
ERR1913291.18403__1.18403	328814__GCA_004558275.1_00036
ERR1913291.18433__1.18433	487174__K0XKD7__HMPREF9448_01550
ERR1913291.18590__1.18590	28116__D4WPD7__HMPREF1069_02183
ERR1913291.18714__1.18714	821__A0A397WGD6__M098_0084
ERR1913291.18734__1.18734	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913291.18738__1.18738	357276__C3R9Y0__HMPREF1064_01889
ERR1913291.18798__1.18798	821__A0A174NM17__lacZ_6
ERR1913291.18842__1.18842	28116__E5C5U2__HMPREF2532_02418
ERR1913291.18871__1.18871	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913291.18953__1.18953	39491__A0A174EQV2__DXB69_10230
ERR1913291.18907__1.18907	1262882__R5MEI8__BN519_00283
ERR1913291.19017__1.19017	818__A0A3E5HDU6__C799_04515
ERR1913291.19152__1.19152	853__A0A174BZY1__xerD_1
ERR1913291.19238__1.19238	1262882__R5MNC1__BN519_00818
ERR1913291.19360__1.19360	28116__I9SW74__BACOVA_04237
ERR1913291.19513__1.19513	821__A0A173XDD3__DXB82_17180
ERR1913291.19726__1.19726	28116__A7M019__HMPREF1070_01109
ERR1913291.19742__1.19742	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913291.20134__1.20134	246787__A0A108T429__BACCELL_00192
ERR1913291.20181__1.20181	28116__R6DIL2__DXD69_10970
ERR1913291.20188__1.20188	28116__I9ST00__M088_5588
ERR1913291.20224__1.20224	39492__D4JVX0__udk
ERR1913291.20282__1.20282	204516__U6RAM4__HMPREF1534_03439
ERR1913291.20207__1.20207	821__A0A3E4WAR6__DXD64_10735
ERR1913291.20430__1.20430	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913291.20468__1.20468	556259__I0PXW0__BSGG_5187
ERR1913291.20570__1.20570	165179__A0A3E4S980__PREVCOP_04626
ERR1913291.20765__1.20765	28116__I9ST00__M088_5588
ERR1913291.20797__1.20797	817__E4VY01__AE940_09870
ERR1913291.20803__1.20803	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913291.20848__1.20848	821__A0A174NSU0__BVU_3144
ERR1913291.20808__1.20808	1262882__R5MKI3__BN519_00334
ERR1913291.20817__1.20817	1628085__A0A396QTT4__C7386_103139
ERR1913291.20834__1.20834	166486__D4KVZ2__cbiT
ERR1913291.20988__1.20988	1680__A7A7Z9__AAX71_05385
ERR1913291.21018__1.21018	239935__B2UL21__CXT98_03395
ERR1913291.21180__1.21180	820__A0A3E4PYB0__yejM
ERR1913291.21243__1.21243	246787__E2N7F5__AA416_04404
ERR1913291.21424__1.21424	853__C7H1R8__DW905_06675
ERR1913291.21470__1.21470	28116__A0A1Y4PNX5__DXF98_26515
ERR1913291.21645__1.21645	246787__A0A0P0GG22__BACCELL_01899
ERR1913291.21648__1.21648	674529__A0A174I6X2__DXB21_05420
ERR1913291.21758__1.21758	1150298__A0A174HG99__ERS852498_00387
ERR1913291.21759__1.21759	1150298__A0A174HG99__ERS852498_00387
ERR1913291.22023__1.22023	28116__C3QVY2__SAMN05444282_12234
ERR1913291.22090__1.22090	821__A0A3E4HP25__SAMN04487923_102450
ERR1913291.22105__1.22105	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913291.22148__1.22148	28116__A0A3D2LPA1__CUY_3388
ERR1913291.22320__1.22320	28116__A0A078Q626__HMPREF1070_02735
ERR1913291.22448__1.22448	28117__R7JJM9__ALIPUT_00662
ERR1913291.22554__1.22554	1150298__R7JTX5__ERS852535_01291
ERR1913291.22671__1.22671	28116__E5CEE4__SAMN05444282_12363
ERR1913291.22721__1.22721	823__A0A174VHT1__DHP27_04775
ERR1913291.22780__1.22780	1262992__R5D637__BN795_00221
ERR1913291.22796__1.22796	820__A0A139KG60__M094_2679
ERR1913291.22901__1.22901	487174__K0XM88__DDY40_02935
ERR1913291.22971__1.22971	39492__D4MMN2__EUBSIR_00964
ERR1913291.23260__1.23260	1262911__R6HN81__BN557_00921
ERR1913291.23377__1.23377	28116__A0A395VSP8__ERS852555_02642
ERR1913291.23321__1.23321	1150298__A0A174I056__ERS852535_01387
ERR1913291.23330__1.23330	28116__A7LS02__DXF98_24100
ERR1913291.23468__1.23468	328814__GCA_004558275.1_02280
ERR1913291.23536__1.23536	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913291.23740__1.23740	246787__A0A108TGC6__HMPREF1062_02270
ERR1913291.23745__1.23745	823__A6LC27__DXB14_11470
ERR1913291.24257__1.24257	33025__A0A395J8P0__C8D73_1144
ERR1913291.24930__1.24930	823__A0A355XKQ8__DHP27_04010
ERR1913291.24946__1.24946	28116__A0A1Y4Q367__ERS852555_04706
ERR1913291.24978__1.24978	820__I9TWZ7__DXC80_10550
ERR1913291.25118__1.25118	371601__F7LA63__HMPREF1074_04288
ERR1913291.25064__1.25064	387090__S0F7Y3__BACCOPRO_02028
ERR1913291.25212__1.25212	28116__A0A3A9HTT7__BACOVA_05446
ERR1913291.25225__1.25225	674529__A0A174FE49__DXB21_01625
ERR1913291.25416__1.25416	371601__G1UK36__HMPREF1074_03496
ERR1913291.25335__1.25335	821__A0A395US34__C5Z04_18975
ERR1913291.25703__1.25703	301301__A0A395VAD5__RHOM_06975
ERR1913291.25775__1.25775	556259__I0PXW0__BSGG_5187
ERR1913291.25877__1.25877	446660__GCA_003428235.1_02337
ERR1913291.26017__1.26017	823__D7IUM6__M091_1082
ERR1913291.25993__1.25993	821__E5UMZ6__BVU_1450
ERR1913291.25997__1.25997	28116__A0A078QF71__HMPREF1070_01231
ERR1913291.26149__1.26149	246787__A0A3D6AZF8__BACCELL_02529
ERR1913291.26338__1.26338	674529__R6V730__DXB21_06405
ERR1913291.26365__1.26365	301301__A0A395VBG0__ERS852391_01236
ERR1913291.26382__1.26382	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913291.26390__1.26390	28116__A0A395W0G7__NCTC11153_02716
ERR1913291.26562__1.26562	556259__E5C690__BSGG_1431
ERR1913291.26652__1.26652	46503__A7AB27__DXB85_00430
ERR1913291.26681__1.26681	28116__A0A0J9FH50__BACOVA_00317
ERR1913291.27024__1.27024	28116__E5C5U2__HMPREF2532_02418
ERR1913291.27400__1.27400	28116__E5CH94__NCTC11153_03344
ERR1913291.27402__1.27402	28116__C3QMW5__M089_4133
ERR1913291.27616__1.27616	821__A0A0P0L8F8__ERS852509_03705
ERR1913291.27793__1.27793	371601__A0A1H4AKU1__BXY_45200
ERR1913291.27816__1.27816	28116__A0A1Y4PH15__DXA80_17985
ERR1913291.27874__1.27874	39492__D4JT90__coaE
ERR1913291.27902__1.27902	33025__A0A395J947__C8D73_11315
ERR1913291.27983__1.27983	556259__E5C690__BSGG_1431
ERR1913291.28276__1.28276	28116__I9JM49__NCTC11153_01044
ERR1913291.28257__1.28257	28116__A0A395VZB9__Bovatus_03205
ERR1913291.28356__1.28356	1262911__R6GPC5__BN557_00852
ERR1913291.28369__1.28369	246787__A0A3D6AV26__BcellWH2_02579
ERR1913291.28333__1.28333	821__A0A395VIK7__BVU_1225
ERR1913291.28336__1.28336	1262882__R5MYX5__BN519_00333
ERR1913291.28478__1.28478	214851__D1PSK8__SUBVAR_07391
ERR1913291.28704__1.28704	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913291.28794__1.28794	39492__D4JVX0__udk
ERR1913291.28917__1.28917	246787__A0A0P0G6F2__BcellWH2_02369
ERR1913291.29050__1.29050	28116__C3R1N5__SAMN05444282_12443
ERR1913291.29094__1.29094	28116__A0A1Y4P6Z8__HMPREF1069_04439
ERR1913291.29250__1.29250	214856__R6Z288__ERS852447_00734
ERR1913291.29284__1.29284	166486__A0A1Q6SCR5__ROSINTL182_05686
ERR1913291.29361__1.29361	39491__A0A395ZDC6__addB
ERR1913291.29445__1.29445	76489__A0A1E8EUC5__CLOACE_23150
ERR1913291.29446__1.29446	246787__R6KBH9__HMPREF1062_04676
ERR1913291.29545__1.29545	821__A0A395US34__C5Z04_18975
ERR1913291.29563__1.29563	853__A0A174CVG7__CGS58_09335
ERR1913291.29726__1.29726	28118__R6F891__NCTC10826_02656
ERR1913291.29965__1.29965	821__E5UY21__C800_02204
ERR1913291.29995__1.29995	28116__A0A139LF77__HMPREF2532_01174
ERR1913291.30137__1.30137	28116__A0A1Y4PHM7__DXA80_25130
ERR1913291.30159__1.30159	820__A0A3E5E0T0__ERS852554_00312
ERR1913291.30481__1.30481	821__R7P1Q7__M099_2990
ERR1913291.30503__1.30503	821__A0A174WBC9__ERS852556_03145
ERR1913291.30548__1.30548	214856__A0A174CRY5__ERS852559_01060
ERR1913291.30611__1.30611	28116__A0A1Y4Q363__Bovatus_00608
ERR1913291.30590__1.30590	39485__C4Z0K2__ERS852490_00991
ERR1913291.30653__1.30653	246787__A0A0P0GR24__BcellWH2_03263
ERR1913291.30698__1.30698	39492__D4JWY0__EUBSIR_01648
ERR1913291.30781__1.30781	28116__D7K7K3__SAMN05192581_103348
ERR1913291.30804__1.30804	39492__R6RKK9__EUBSIR_02022
ERR1913291.30827__1.30827	28116__A0A3D2LPA1__CUY_3388
ERR1913291.30839__1.30839	28118__F9Z8Y7__DHW44_02235
ERR1913291.30988__1.30988	556259__I0PXW0__BSGG_5187
ERR1913291.31099__1.31099	28116__C3R1N5__SAMN05444282_12443
ERR1913291.31249__1.31249	674529__R6UW30__SAMN05444400_107160
ERR1913291.31256__1.31256	674529__A0A174EXC1__DXB21_01255
ERR1913291.31319__1.31319	820__A0A3E4G826__C801_01612
ERR1913291.31334__1.31334	28118__R6F1T8__Odosp_0789
ERR1913291.31409__1.31409	28116__I8Y7V6__HMPREF1017_02728
ERR1913291.31520__1.31520	214856__R6XKT4__ERS852559_01719
ERR1913291.31644__1.31644	28118__F9Z4Q2__Odosp_2759
ERR1913291.31645__1.31645	28116__R6DIL2__DXD69_10970
ERR1913291.31898__1.31898	823__A0A173W8N5__ERS852513_00780
ERR1913291.31917__1.31917	246787__A0A3D6AQP8__AA416_04153
ERR1913291.32094__1.32094	28116__D7K7K3__SAMN05192581_103348
ERR1913291.32158__1.32158	214856__R6Z186__ERS852447_00718
ERR1913291.32268__1.32268	28116__A0A1Y4Q114__DXF98_00470
ERR1913291.32240__1.32240	246787__A0A3D6AZ54__BcellWH2_03646
ERR1913291.32246__1.32246	360807__C0FNY7__ERS852392_01257
ERR1913291.32382__1.32382	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913291.32455__1.32455	39488__A0A374NVK2__DXD91_03585
ERR1913291.32540__1.32540	817__D1JRG3__M076_0507
ERR1913291.32677__1.32677	1680__A0A174BEE7__BSTER_1311
ERR1913291.32784__1.32784	246787__A0A3D6AWM8__BACCELL_01963
ERR1913291.33088__1.33088	853__A0A174BA00__DW905_01145
ERR1913291.33273__1.33273	28116__A0A0J9IIV5__M089_5519
ERR1913291.33315__1.33315	823__C7XBX3__HMPREF1059_03212
ERR1913291.33336__1.33336	214851__D1PSM4__SUBVAR_07407
ERR1913291.33351__1.33351	301301__A0A395VA63__sbcC
ERR1913291.33697__1.33697	1263107__GCA_000436995.1_00213
ERR1913291.33847__1.33847	39492__D4JV86__spoIIE
ERR1913291.33811__1.33811	821__C6ZAA5__ERS852556_00403
ERR1913291.34300__1.34300	28116__D4WLZ3__C5Z02_24105
ERR1913291.34505__1.34505	820__A0A3E4VXP2__yesR
ERR1913291.34584__1.34584	1628085__A0A1C6CQE7__C7386_12126
ERR1913291.34865__1.34865	820__A7V049__DXB48_04755
ERR1913291.34930__1.34930	28116__A0A1G8P076__AA414_01051
ERR1913291.34911__1.34911	820__A0A139KA34__B5G17_05520
ERR1913291.34986__1.34986	1262882__R5MF43__BN519_00282
ERR1913291.35072__1.35072	371601__D6D4G5__DXD80_16235
ERR1913291.35117__1.35117	28116__E5CHV5__B5F02_08530
ERR1913291.35085__1.35085	214856__R6XTZ7__ERS852447_02314
ERR1913291.35128__1.35128	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913291.35167__1.35167	239935__R7E524__CXT91_06180
ERR1913291.35250__1.35250	1262882__R5N3T7__BN519_01188
ERR1913291.35312__1.35312	821__A0A174T998__DXB82_10860
ERR1913291.35399__1.35399	820__A0A139KHX1__HMPREF2141_00289
ERR1913291.35463__1.35463	818__A0A0N7I9H8__ERS852461_00040
ERR1913291.35472__1.35472	28117__B0MTS2__ALIPUT_00159
ERR1913291.35450__1.35450	28116__I9T1P7__BACOV975_02228
ERR1913291.35771__1.35771	1628085__A0A1C6D825__C7386_1061
ERR1913291.36014__1.36014	821__A0A174V2F3__NCTC10583_01474
ERR1913291.36163__1.36163	821__A0A396F9T7__M097_3427
ERR1913291.36175__1.36175	28116__E5CH91__B5F02_11815
ERR1913291.36107__1.36107	28116__A0A395VZB9__Bovatus_03205
ERR1913291.36109__1.36109	28116__I9ST00__M088_5588
ERR1913291.36216__1.36216	28116__I9T1P7__BACOV975_02228
ERR1913291.36254__1.36254	556259__E5C8S0__BSGG_1769
ERR1913291.36280__1.36280	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913291.36389__1.36389	28116__A0A1Y4PH15__DXA80_17985
ERR1913291.36437__1.36437	39492__A0A175A133__cycB_1
ERR1913291.36516__1.36516	357276__A0A0M1W9N4__GV66_05135
ERR1913291.36460__1.36460	1099853__G9S0I7__NSB1T_04980
ERR1913291.36591__1.36591	371601__A0A139LNL6__ERS852396_04350
ERR1913291.36702__1.36702	487174__K0X524__DDY40_09270
ERR1913291.36791__1.36791	39491__D4JMW8__ERS852497_01971
ERR1913291.36765__1.36765	556259__E5C690__BSGG_1431
ERR1913291.36915__1.36915	821__A0A174NVL6__NCTC10583_01782
ERR1913291.36928__1.36928	28116__I9JM49__NCTC11153_01044
ERR1913291.36984__1.36984	371601__C3R2J2__ERS852396_04353
ERR1913291.37220__1.37220	820__A0A374Q854__HMPREF1073_03281
ERR1913291.37228__1.37228	39488__A0A174CPK1__yyaC
ERR1913291.37288__1.37288	28116__C3QMW5__M089_4133
ERR1913291.37299__1.37299	357276__B6VYT9__HMPREF1063_05030
